Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 22:33 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, June 29, 2022 at 23:32 with Stable 1.71.5 on PS019

Data File = Data_17455 BDK-A.txt,         Sample Weight = 515,                      Vial Location = 38,                       Initial Sam Beam = 1.4791e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6455e-08,                Max Ref Beam = 1.0625e-07,                

Analysis undertaken at mass 46.02393
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.73676e-08,,,,,,1.1974e-02,4.2067e-03,4.8954e-05,4.6458e-06,5.3715e-08,
Sam 1,5.67724e-08,1.19374e-02,4.2267e-03,4.9013e-05,4.6892e-06,5.3333e-08,,,,,,           -3.0475,            4.7505,            1.2058,            9.7374,           -0.5624,           -6.2976,           -1.1657,           -0.3141,            0.2117,           -6.6189,
Ref 2,5.63782e-08,,,,,,1.1974e-02,4.2068e-03,4.8954e-05,4.6421e-06,5.3005e-08,,,,,,,,,,,
Sam 2,5.57842e-08,1.19373e-02,4.2268e-03,4.9019e-05,4.6868e-06,5.4022e-08,,,,,,           -3.0794,            4.7364,            1.2893,            9.2229,           42.4679,           -6.3312,           -1.1797,           -0.1838,           -0.2698,           36.2147,
Ref 3,5.54391e-08,,,,,,1.1974e-02,4.2069e-03,4.8958e-05,4.6458e-06,5.0616e-08,,,,,,,,,,,
Sam 3,5.48528e-08,1.19375e-02,4.2269e-03,4.9024e-05,4.6893e-06,5.3840e-08,,,,,,           -3.0649,            4.7395,            1.2452,            9.3138,           49.5845,           -6.3158,           -1.1767,           -0.2459,           -0.1859,           43.2662,
Ref 4,5.45368e-08,,,,,,1.1974e-02,4.2069e-03,4.8967e-05,4.6462e-06,5.1988e-08,,,,,,,,,,,
Sam 4,5.39518e-08,1.19376e-02,4.2269e-03,4.9019e-05,4.6904e-06,5.1548e-08,,,,,,           -3.0602,            4.7375,            1.1168,            9.6088,          -24.6788,           -6.3107,           -1.1787,           -0.3770,            0.1102,          -30.5512,
Ref 5,5.36472e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6454e-06,5.3730e-08,,,,,,,,,,,
Sam 5,5.30594e-08,1.19375e-02,4.2268e-03,4.9019e-05,4.6914e-06,5.3321e-08,,,,,,           -3.0572,            4.7156,            1.1613,            9.6868,           -9.9023,           -6.3068,           -1.2005,           -0.3142,            0.2312,          -15.8245,
Ref 6,5.27787e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6473e-06,5.3981e-08,,,,,,,,,,,
Sam 6,5.21872e-08,1.19377e-02,4.2270e-03,4.9020e-05,4.6933e-06,5.2297e-08,,,,,,           -3.0482,            4.7484,            1.1181,           10.2680,          -25.1638,           -6.2984,           -1.1679,           -0.3987,            0.7416,          -31.0663,
Ref 7,5.19357e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6439e-06,5.3308e-08,,,,,,,,,,,
Sam 7,5.13419e-08,1.19377e-02,4.2270e-03,4.9020e-05,4.6868e-06,5.1452e-08,,,,,,           -3.0562,            4.7377,            1.0780,            8.8948,          -23.3812,           -6.3065,           -1.1785,           -0.4200,           -0.5974,          -29.2659,
Ref 8,5.11100e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6471e-06,5.2049e-08,,,,,,,,,,,
Sam 8,5.05110e-08,1.19376e-02,4.2270e-03,4.9024e-05,4.6896e-06,5.4160e-08,,,,,,           -3.0597,            4.7286,            1.1592,            9.2058,           23.5927,           -6.3099,           -1.1875,           -0.3264,           -0.2712,           17.4469,
Ref 9,5.02913e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6466e-06,5.3788e-08,,,,,,,,,,,
Sam 9,4.96975e-08,1.19377e-02,4.2271e-03,4.9025e-05,4.6917e-06,5.6817e-08,,,,,,           -3.0555,            4.7465,            1.1762,            9.5159,           52.6002,           -6.3060,           -1.1698,           -0.3313,            0.0004,           46.2388,
Ref 10,4.94952e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6484e-06,5.4170e-08,,,,,,,,,,,
Sam 10,4.89046e-08,1.19377e-02,4.2270e-03,4.9019e-05,4.6944e-06,5.4612e-08,,,,,,           -3.0635,            4.7266,            1.0733,            9.8738,           14.9764,           -6.3139,           -1.1895,           -0.4063,            0.3944,            8.8902,
Ref 11,4.87188e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6486e-06,5.3436e-08,,,,,,,,,,,
Sam 11,4.81216e-08,1.19376e-02,4.2270e-03,4.9026e-05,4.6930e-06,5.2974e-08,,,,,,           -3.0605,            4.7215,            1.2316,            9.3697,          -17.1937,           -6.3105,           -1.1946,           -0.2465,           -0.0948,          -23.0804,
Ref 12,4.79529e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6503e-06,5.4372e-08,,,,,,,,,,,
Sam 12,4.73605e-08,1.19375e-02,4.2270e-03,4.9030e-05,4.6921e-06,5.6698e-08,,,,,,           -3.0542,            4.7340,            1.2806,            9.2334,            1.3921,           -6.3042,           -1.1821,           -0.2163,           -0.2547,           -4.6369,
Ref 13,4.71998e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6481e-06,5.8903e-08,,,,,,,,,,,
Sam 13,4.66132e-08,1.19373e-02,4.2270e-03,4.9027e-05,4.6945e-06,5.7814e-08,,,,,,           -3.0661,            4.7344,            1.1779,            9.8436,           18.8302,           -6.3169,           -1.1817,           -0.3068,            0.3490,           12.7083,
Ref 14,4.64618e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6493e-06,5.4554e-08,,,,,,,,,,,
Sam 14,4.58778e-08,1.19375e-02,4.2270e-03,4.9030e-05,4.6906e-06,5.6301e-08,,,,,,           -3.0551,            4.7415,            1.2237,            8.7747,           19.9999,           -6.3054,           -1.1747,           -0.2794,           -0.7239,           13.8450,
Ref 15,4.57358e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6504e-06,5.5850e-08,,,,,,,,,,,
Sam 15,4.51584e-08,1.19374e-02,4.2269e-03,4.9027e-05,4.6952e-06,5.3947e-08,,,,,,           -3.0536,            4.7396,            1.1635,            9.8024,            4.3350,           -6.3038,           -1.1767,           -0.3391,            0.2980,           -1.7231,
Ref 16,4.50292e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6490e-06,5.1545e-08,,,,,,,,,,,
Sam 16,4.44517e-08,1.19373e-02,4.2269e-03,4.9026e-05,4.6921e-06,5.7842e-08,,,,,,           -3.0504,            4.7438,            1.0560,            9.2748,           93.3478,           -6.3005,           -1.1725,           -0.4539,           -0.2331,           86.7401,
Ref 17,4.43350e-08,,,,,,1.1974e-02,4.2070e-03,4.8979e-05,4.6490e-06,5.4283e-08,,,,,,,,,,,
Sam 17,4.37615e-08,1.19372e-02,4.2269e-03,4.9036e-05,4.6919e-06,5.5873e-08,,,,,,           -3.0630,            4.7385,            1.1924,            9.1564,            8.1285,           -6.3138,           -1.1777,           -0.2995,           -0.3399,            2.0597,
Ref 18,4.36637e-08,,,,,,1.1974e-02,4.2070e-03,4.8975e-05,4.6498e-06,5.6580e-08,,,,,,,,,,,
Sam 18,4.30915e-08,1.19371e-02,4.2268e-03,4.9032e-05,4.6943e-06,5.5443e-08,,,,,,           -3.0631,            4.7220,            1.2084,            9.5886,           -1.1359,           -6.3133,           -1.1941,           -0.2674,            0.1210,           -7.1170,
Ref 19,4.29979e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6497e-06,5.4416e-08,,,,,,,,,,,
Sam 19,4.24411e-08,1.19370e-02,4.2268e-03,4.9029e-05,4.6942e-06,5.5648e-08,,,,,,           -3.0670,            4.7072,            1.1504,            9.2112,           21.3589,           -6.3169,           -1.2088,           -0.3067,           -0.2233,           15.2769,
Ref 20,4.23319e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6530e-06,5.4554e-08,,,,,,,,,,,
Sam 20,4.17706e-08,1.19370e-02,4.2268e-03,4.9033e-05,4.6936e-06,5.6576e-08,,,,,,           -3.0579,            4.7297,            1.1939,            8.8145,           17.1687,           -6.3080,           -1.1864,           -0.2947,           -0.6611,           11.0572,
Ref 21,4.16983e-08,,,,,,1.1974e-02,4.2069e-03,4.8975e-05,4.6521e-06,5.6704e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.13839e-08,,,,,,1.1974e-02,4.2069e-03,4.8973e-05,4.6465e-06,5.6988e-08,
Sam 1,4.08098e-08,1.19368e-02,4.2267e-03,4.9027e-05,4.6927e-06,5.8710e-08,,,,,,           -3.0741,            4.7291,            1.0454,            9.7582,           35.3272,           -6.3252,           -1.1870,           -0.4257,            0.2750,           29.1258,
Ref 2,4.07666e-08,,,,,,1.1974e-02,4.2069e-03,4.8979e-05,4.6483e-06,5.6421e-08,,,,,,,,,,,
Sam 2,4.01937e-08,1.19369e-02,4.2268e-03,4.9039e-05,4.6957e-06,5.6816e-08,,,,,,           -3.0516,            4.7435,            1.2268,            9.8565,           36.2961,           -6.3018,           -1.1728,           -0.2819,            0.3437,           30.0351,
Ref 3,4.01576e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6514e-06,5.3207e-08,,,,,,,,,,,
Sam 3,3.95977e-08,1.19368e-02,4.2267e-03,4.9033e-05,4.6959e-06,5.1913e-08,,,,,,           -3.0618,            4.7281,            1.1540,            9.6732,          -26.5822,           -6.3122,           -1.1880,           -0.3289,            0.1928,          -32.4236,
Ref 4,3.95615e-08,,,,,,1.1974e-02,4.2068e-03,4.8974e-05,4.6504e-06,5.3457e-08,,,,,,,,,,,
Sam 4,3.89883e-08,1.19367e-02,4.2268e-03,4.9033e-05,4.6953e-06,5.5220e-08,,,,,,           -3.0630,            4.7398,            1.2419,            9.6826,            4.3789,           -6.3138,           -1.1764,           -0.2514,            0.1788,           -1.6699,
Ref 5,3.89775e-08,,,,,,1.1973e-02,4.2068e-03,4.8970e-05,4.6502e-06,5.6524e-08,,,,,,,,,,,
Sam 5,3.84060e-08,1.19368e-02,4.2267e-03,4.9030e-05,4.6923e-06,5.6616e-08,,,,,,           -3.0487,            4.7311,            1.1919,            9.2606,          -13.7120,           -6.2983,           -1.1850,           -0.3075,           -0.2220,          -19.6502,
Ref 6,3.84040e-08,,,,,,1.1973e-02,4.2068e-03,4.8973e-05,4.6483e-06,5.8295e-08,,,,,,,,,,,
Sam 6,3.78316e-08,1.19367e-02,4.2267e-03,4.9033e-05,4.6934e-06,5.5561e-08,,,,,,           -3.0617,            4.7441,            1.1235,            9.2858,          -25.4031,           -6.3126,           -1.1721,           -0.3752,           -0.2229,          -31.2821,
Ref 7,3.78433e-08,,,,,,1.1973e-02,4.2068e-03,4.8984e-05,4.6523e-06,5.5705e-08,,,,,,,,,,,
Sam 7,3.72718e-08,1.19366e-02,4.2267e-03,4.9033e-05,4.6952e-06,5.8084e-08,,,,,,           -3.0579,            4.7567,            1.0994,            9.2992,           31.4707,           -6.3089,           -1.1596,           -0.4155,           -0.2346,           25.2193,
Ref 8,3.72904e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6517e-06,5.6928e-08,,,,,,,,,,,
Sam 8,3.67252e-08,1.19365e-02,4.2266e-03,4.9034e-05,4.6950e-06,6.0555e-08,,,,,,           -3.0521,            4.7321,            1.2510,            9.3116,           26.2087,           -6.3020,           -1.1841,           -0.2460,           -0.1734,           20.0320,
Ref 9,3.67489e-08,,,,,,1.1973e-02,4.2067e-03,4.8970e-05,4.6516e-06,6.1120e-08,,,,,,,,,,,
Sam 9,3.61798e-08,1.19363e-02,4.2266e-03,4.9030e-05,4.6913e-06,5.8004e-08,,,,,,           -3.0668,            4.7282,            1.1584,            8.5468,          -20.7768,           -6.3174,           -1.1879,           -0.3196,           -0.9233,          -26.6482,
Ref 10,3.62175e-08,,,,,,1.1973e-02,4.2067e-03,4.8977e-05,4.6515e-06,5.7321e-08,,,,,,,,,,,
Sam 10,3.56532e-08,1.19364e-02,4.2266e-03,4.9033e-05,4.6968e-06,5.7616e-08,,,,,,           -3.0627,            4.7345,            1.1393,            9.7773,           34.9239,           -6.3132,           -1.1817,           -0.3490,            0.2832,           28.7014,
Ref 11,3.56973e-08,,,,,,1.1973e-02,4.2066e-03,4.8976e-05,4.6512e-06,5.3999e-08,,,,,,,,,,,
Sam 11,3.51349e-08,1.19363e-02,4.2265e-03,4.9031e-05,4.6982e-06,5.5856e-08,,,,,,           -3.0545,            4.7392,            1.1111,           10.0173,           34.7155,           -6.3047,           -1.1770,           -0.3903,            0.5115,           28.4757,
Ref 12,3.52067e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6519e-06,5.3964e-08,,,,,,,,,,,
Sam 12,3.46329e-08,1.19361e-02,4.2264e-03,4.9033e-05,4.6934e-06,5.5860e-08,,,,,,           -3.0646,            4.7219,            1.1892,            8.9223,           10.4912,           -6.3148,           -1.1942,           -0.2849,           -0.5387,            4.4425,
Ref 13,3.47533e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6518e-06,5.6613e-08,,,,,,,,,,,
Sam 13,3.41566e-08,1.19362e-02,4.2264e-03,4.9038e-05,4.6986e-06,5.7094e-08,,,,,,           -3.0624,            4.7302,            1.2902,           10.0463,           27.6178,           -6.3128,           -1.1859,           -0.1944,            0.5582,           21.4475,
Ref 14,3.42042e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6520e-06,5.4490e-08,,,,,,,,,,,
Sam 14,3.36438e-08,1.19362e-02,4.2265e-03,4.9038e-05,4.6963e-06,5.4090e-08,,,,,,           -3.0655,            4.7310,            1.2669,            9.1574,          -20.1841,           -6.3162,           -1.1851,           -0.2153,           -0.3240,          -26.0657,
Ref 15,3.37173e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6553e-06,5.5929e-08,,,,,,,,,,,
Sam 15,3.31602e-08,1.19361e-02,4.2265e-03,4.9024e-05,4.6905e-06,5.6647e-08,,,,,,           -3.0668,            4.7433,            0.9572,            8.5325,           37.0464,           -6.3180,           -1.1729,           -0.5353,           -0.9675,           30.7978,
Ref 16,3.32464e-08,,,,,,1.1973e-02,4.2065e-03,4.8979e-05,4.6461e-06,5.3300e-08,,,,,,,,,,,
Sam 16,3.26862e-08,1.19362e-02,4.2265e-03,4.9025e-05,4.6937e-06,5.3891e-08,,,,,,           -3.0574,            4.7592,            0.9636,           10.0399,           -9.4704,           -6.3086,           -1.1571,           -0.5540,            0.4941,          -15.4791,
Ref 17,3.27852e-08,,,,,,1.1973e-02,4.2064e-03,4.8977e-05,4.6480e-06,5.5528e-08,,,,,,,,,,,
Sam 17,3.22228e-08,1.19360e-02,4.2264e-03,4.9033e-05,4.6959e-06,5.4300e-08,,,,,,           -3.0706,            4.7421,            1.2210,           10.1852,          -15.9954,           -6.3220,           -1.1741,           -0.2666,            0.6722,          -21.9179,
Ref 18,3.23244e-08,,,,,,1.1973e-02,4.2065e-03,4.8970e-05,4.6492e-06,5.4832e-08,,,,,,,,,,,
Sam 18,3.17633e-08,1.19360e-02,4.2263e-03,4.9027e-05,4.6945e-06,5.7844e-08,,,,,,           -3.0630,            4.7241,            1.1417,            9.6057,           67.7300,           -6.3133,           -1.1920,           -0.3361,            0.1339,           61.3323,
Ref 19,3.18776e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6505e-06,5.3508e-08,,,,,,,,,,,
Sam 19,3.13134e-08,1.19360e-02,4.2263e-03,4.9031e-05,4.6914e-06,5.4792e-08,,,,,,           -3.0494,            4.7252,            1.2093,            8.7547,          -15.5442,           -6.2989,           -1.1909,           -0.2837,           -0.7114,          -21.4593,
Ref 20,3.14593e-08,,,,,,1.1973e-02,4.2064e-03,4.8971e-05,4.6509e-06,5.7834e-08,,,,,,,,,,,
Sam 20,3.08884e-08,1.19357e-02,4.2263e-03,4.9029e-05,4.6914e-06,5.6553e-08,,,,,,           -3.0728,            4.7345,            1.2858,            8.8182,          -16.8911,           -6.3241,           -1.1816,           -0.1922,           -0.6669,          -22.7915,
Ref 21,3.10148e-08,,,,,,1.1973e-02,4.2064e-03,4.8961e-05,4.6500e-06,5.7210e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.07999e-08,,,,,,1.1973e-02,4.2064e-03,4.8973e-05,4.6494e-06,5.2054e-08,
Sam 1,3.02350e-08,1.19360e-02,4.2263e-03,4.9031e-05,4.6905e-06,5.3689e-08,,,,,,           -3.0507,            4.7529,            1.1788,            8.9976,           -1.1128,           -6.3012,           -1.1634,           -0.3399,           -0.5258,           -7.1671,
Ref 2,3.03779e-08,,,,,,1.1972e-02,4.2063e-03,4.8973e-05,4.6479e-06,5.5467e-08,,,,,,,,,,,
Sam 2,2.98132e-08,1.19358e-02,4.2263e-03,4.9037e-05,4.6951e-06,5.3519e-08,,,,,,           -3.0583,            4.7403,            1.2809,            9.8055,          -20.3012,           -6.3088,           -1.1759,           -0.2179,            0.2995,          -26.2073,
Ref 3,2.99626e-08,,,,,,1.1972e-02,4.2063e-03,4.8975e-05,4.6512e-06,5.3777e-08,,,,,,,,,,,
Sam 3,2.94014e-08,1.19358e-02,4.2262e-03,4.9022e-05,4.6924e-06,5.1726e-08,,,,,,           -3.0657,            4.7181,            0.9522,            9.0973,          -24.0226,           -6.3160,           -1.1980,           -0.5167,           -0.3578,          -29.8564,
Ref 4,2.95532e-08,,,,,,1.1973e-02,4.2064e-03,4.8976e-05,4.6490e-06,5.2210e-08,,,,,,,,,,,
Sam 4,2.89936e-08,1.19357e-02,4.2262e-03,4.9032e-05,4.6936e-06,5.1991e-08,,,,,,           -3.0671,            4.7147,            1.1152,            9.6978,           -5.3213,           -6.3173,           -1.2014,           -0.3490,            0.2439,          -11.2587,
Ref 5,2.91518e-08,,,,,,1.1972e-02,4.2063e-03,4.8979e-05,4.6479e-06,5.2328e-08,,,,,,,,,,,
Sam 5,2.85953e-08,1.19357e-02,4.2262e-03,4.9023e-05,4.6886e-06,5.3709e-08,,,,,,           -3.0621,            4.7401,            0.9428,            8.9270,           70.2748,           -6.3129,           -1.1761,           -0.5512,           -0.5703,           63.8274,
Ref 6,2.87727e-08,,,,,,1.1972e-02,4.2063e-03,4.8975e-05,4.6463e-06,4.8009e-08,,,,,,,,,,,
Sam 6,2.82101e-08,1.19356e-02,4.2262e-03,4.9026e-05,4.6895e-06,4.7439e-08,,,,,,           -3.0732,            4.7340,            1.0772,            8.6841,           32.1434,           -6.3244,           -1.1822,           -0.3997,           -0.7987,           25.9502,
Ref 7,2.83910e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6521e-06,4.3886e-08,,,,,,,,,,,
Sam 7,2.78262e-08,1.19355e-02,4.2261e-03,4.9031e-05,4.6937e-06,4.7733e-08,,,,,,           -3.0702,            4.7279,            1.1696,            9.5974,           79.0331,           -6.3210,           -1.1882,           -0.3046,            0.1180,           72.5678,
Ref 8,2.80014e-08,,,,,,1.1972e-02,4.2062e-03,4.8976e-05,4.6461e-06,4.4593e-08,,,,,,,,,,,
Sam 8,2.74496e-08,1.19354e-02,4.2261e-03,4.9020e-05,4.6933e-06,4.4336e-08,,,,,,           -3.0699,            4.7212,            0.8505,            9.9462,            2.3363,           -6.3204,           -1.1949,           -0.6170,            0.4770,           -3.6567,
Ref 9,2.76321e-08,,,,,,1.1972e-02,4.2062e-03,4.8980e-05,4.6482e-06,4.3869e-08,,,,,,,,,,,
Sam 9,2.70732e-08,1.19353e-02,4.2260e-03,4.9027e-05,4.6855e-06,4.1049e-08,,,,,,           -3.0756,            4.7137,            1.0581,            8.0821,          -56.3764,           -6.3263,           -1.2023,           -0.3964,           -1.3548,          -61.9989,
Ref 10,2.72640e-08,,,,,,1.1972e-02,4.2062e-03,4.8970e-05,4.6478e-06,4.3129e-08,,,,,,,,,,,
Sam 10,2.67392e-08,1.19354e-02,4.2260e-03,4.9031e-05,4.6861e-06,4.2739e-08,,,,,,           -3.0605,            4.7196,            1.2038,            8.3271,           63.3101,           -6.3105,           -1.1965,           -0.2722,           -1.1237,           56.9454,
Ref 11,2.69085e-08,,,,,,1.1972e-02,4.2062e-03,4.8975e-05,4.6470e-06,3.7220e-08,,,,,,,,,,,
Sam 11,2.63563e-08,1.19354e-02,4.2261e-03,4.9028e-05,4.6877e-06,3.9960e-08,,,,,,           -3.0535,            4.7338,            1.1168,            8.9730,           88.7660,           -6.3035,           -1.1824,           -0.3803,           -0.5122,           82.2106,
Ref 12,2.65711e-08,,,,,,1.1972e-02,4.2061e-03,4.8972e-05,4.6449e-06,3.6179e-08,,,,,,,,,,,
Sam 12,2.60160e-08,1.19353e-02,4.2261e-03,4.9032e-05,4.6896e-06,4.1019e-08,,,,,,           -3.0604,            4.7477,            1.2764,            9.4657,           46.0675,           -6.3113,           -1.1686,           -0.2273,           -0.0517,           39.7487,
Ref 13,2.62073e-08,,,,,,1.1972e-02,4.2061e-03,4.8966e-05,4.6464e-06,4.2289e-08,,,,,,,,,,,
Sam 13,2.56608e-08,1.19353e-02,4.2261e-03,4.9022e-05,4.6866e-06,4.5434e-08,,,,,,           -3.0639,            4.7445,            1.1062,            8.5250,           67.1620,           -6.3149,           -1.1718,           -0.3905,           -0.9772,           60.7264,
Ref 14,2.58690e-08,,,,,,1.1972e-02,4.2061e-03,4.8970e-05,4.6475e-06,4.2863e-08,,,,,,,,,,,
Sam 14,2.53210e-08,1.19352e-02,4.2260e-03,4.9021e-05,4.6905e-06,3.9412e-08,,,,,,           -3.0577,            4.7267,            1.0006,            9.8472,          -37.7057,           -6.3077,           -1.1894,           -0.4851,            0.3679,          -43.4821,
Ref 15,2.55310e-08,,,,,,1.1972e-02,4.2061e-03,4.8974e-05,4.6420e-06,3.9025e-08,,,,,,,,,,,
Sam 15,2.49868e-08,1.19351e-02,4.2260e-03,4.9033e-05,4.6884e-06,3.5080e-08,,,,,,           -3.0657,            4.7349,            1.2215,            9.5658,          -66.1993,           -6.3165,           -1.1813,           -0.2642,            0.0728,          -71.8115,
Ref 16,2.52136e-08,,,,,,1.1972e-02,4.2060e-03,4.8971e-05,4.6459e-06,3.6091e-08,,,,,,,,,,,
Sam 16,2.46609e-08,1.19350e-02,4.2259e-03,4.9029e-05,4.6880e-06,3.3970e-08,,,,,,           -3.0771,            4.7187,            1.2348,            9.1442,          -76.4561,           -6.3280,           -1.1974,           -0.2232,           -0.3124,          -81.9664,
Ref 17,2.48828e-08,,,,,,1.1972e-02,4.2060e-03,4.8966e-05,4.6450e-06,3.7483e-08,,,,,,,,,,,
Sam 17,2.43416e-08,1.19350e-02,4.2259e-03,4.9030e-05,4.6842e-06,3.4930e-08,,,,,,           -3.0772,            4.7313,            1.3318,            8.6246,          -10.4845,           -6.3287,           -1.1848,           -0.1386,           -0.8523,          -16.4126,
Ref 18,2.45715e-08,,,,,,1.1972e-02,4.2060e-03,4.8963e-05,4.6432e-06,3.3090e-08,,,,,,,,,,,
Sam 18,2.40264e-08,1.19350e-02,4.2258e-03,4.9031e-05,4.6902e-06,3.5761e-08,,,,,,           -3.0606,            4.7257,            1.2971,            9.9217,           40.8292,           -6.3107,           -1.1905,           -0.1849,            0.4438,           34.5868,
Ref 19,2.43193e-08,,,,,,1.1972e-02,4.2059e-03,4.8972e-05,4.6450e-06,3.5639e-08,,,,,,,,,,,
Sam 19,2.37618e-08,1.19349e-02,4.2258e-03,4.9026e-05,4.6832e-06,3.4074e-08,,,,,,           -3.0608,            4.7342,            1.1354,            8.8810,            5.8806,           -6.3112,           -1.1820,           -0.3546,           -0.6040,           -0.1687,
Ref 20,2.39905e-08,,,,,,1.1972e-02,4.2059e-03,4.8969e-05,4.6389e-06,3.2087e-08,,,,,,,,,,,
Sam 20,2.34402e-08,1.19349e-02,4.2258e-03,4.9029e-05,4.6833e-06,3.2307e-08,,,,,,           -3.0690,            4.7259,            1.3350,            9.2388,          -68.9690,           -6.3197,           -1.1902,           -0.1387,           -0.2332,          -74.5450,
Ref 21,2.36763e-08,,,,,,1.1972e-02,4.2059e-03,4.8957e-05,4.6419e-06,3.7347e-08,,,,,,,,,,,


