Nu Stable Isotope Analysis Program
Data Collected on Wednesday, June 29, 2022 at 23:55 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, June 30, 2022 at 00:54 with Stable 1.71.5 on PS019

Data File = Data_17456 ETH-1.txt,         Sample Weight = 468,                      Vial Location = 39,                       Initial Sam Beam = 1.5575e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5808e-08,                Max Ref Beam = 1.0612e-07,                

Analysis undertaken at mass 46.02392
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.03464e-08,,,,,,1.1974e-02,4.2065e-03,4.8949e-05,4.6471e-06,5.1656e-08,
Sam 1,5.97361e-08,1.20310e-02,4.2542e-03,4.9705e-05,4.7502e-06,5.4462e-08,,,,,,            4.7650,           11.2992,           15.3619,           22.5775,           37.4699,            1.7907,            5.3342,           -0.7114,           -0.1453,            9.6739,
Ref 2,5.92864e-08,,,,,,1.1974e-02,4.2068e-03,4.8957e-05,4.6435e-06,5.3349e-08,,,,,,,,,,,
Sam 2,5.86930e-08,1.20311e-02,4.2544e-03,4.9708e-05,4.7488e-06,5.3785e-08,,,,,,            4.7570,           11.3039,           15.3902,           22.4384,           13.6195,            1.7821,            5.3389,           -0.6799,           -0.2906,          -13.5382,
Ref 3,5.82900e-08,,,,,,1.1974e-02,4.2068e-03,4.8952e-05,4.6457e-06,5.2770e-08,,,,,,,,,,,
Sam 3,5.76957e-08,1.20312e-02,4.2544e-03,4.9711e-05,4.7513e-06,5.6078e-08,,,,,,            4.7577,           11.3053,           15.3792,           22.7538,           56.5618,            1.7827,            5.3403,           -0.6928,            0.0151,           28.2501,
Ref 4,5.73180e-08,,,,,,1.1974e-02,4.2069e-03,4.8965e-05,4.6456e-06,5.3387e-08,,,,,,,,,,,
Sam 4,5.67285e-08,1.20312e-02,4.2544e-03,4.9710e-05,4.7501e-06,5.7283e-08,,,,,,            4.7511,           11.2898,           15.2360,           22.4103,           86.0113,            1.7762,            5.3248,           -0.8119,           -0.2901,           56.9498,
Ref 5,5.63748e-08,,,,,,1.1974e-02,4.2069e-03,4.8962e-05,4.6463e-06,5.2095e-08,,,,,,,,,,,
Sam 5,5.57886e-08,1.20313e-02,4.2545e-03,4.9716e-05,4.7514e-06,5.4646e-08,,,,,,            4.7568,           11.3055,           15.4119,           22.6811,           49.9789,            1.7817,            5.3404,           -0.6599,           -0.0563,           21.8443,
Ref 6,5.54500e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6457e-06,5.1993e-08,,,,,,,,,,,
Sam 6,5.48523e-08,1.20314e-02,4.2545e-03,4.9714e-05,4.7524e-06,5.2908e-08,,,,,,            4.7601,           11.2996,           15.3903,           22.9464,           18.4527,            1.7855,            5.3345,           -0.6788,            0.2147,           -8.8293,
Ref 7,5.45479e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6460e-06,5.1906e-08,,,,,,,,,,,
Sam 7,5.39418e-08,1.20312e-02,4.2546e-03,4.9712e-05,4.7504e-06,5.4667e-08,,,,,,            4.7519,           11.3036,           15.2953,           22.3750,           46.7383,            1.7766,            5.3385,           -0.7677,           -0.3518,           18.6996,
Ref 8,5.36497e-08,,,,,,1.1974e-02,4.2070e-03,4.8966e-05,4.6469e-06,5.2551e-08,,,,,,,,,,,
Sam 8,5.30626e-08,1.20312e-02,4.2546e-03,4.9718e-05,4.7524e-06,5.4161e-08,,,,,,            4.7526,           11.2889,           15.4051,           22.6634,           40.4505,            1.7779,            5.3240,           -0.6463,           -0.0410,           12.6081,
Ref 9,5.27903e-08,,,,,,1.1974e-02,4.2071e-03,4.8962e-05,4.6474e-06,5.1551e-08,,,,,,,,,,,
Sam 9,5.21966e-08,1.20313e-02,4.2546e-03,4.9723e-05,4.7513e-06,5.1853e-08,,,,,,            4.7529,           11.2930,           15.5445,           22.2591,           13.8610,            1.7780,            5.3280,           -0.5131,           -0.4442,          -13.2777,
Ref 10,5.19380e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6482e-06,5.0730e-08,,,,,,,,,,,
Sam 10,5.13466e-08,1.20312e-02,4.2546e-03,4.9712e-05,4.7503e-06,5.4059e-08,,,,,,            4.7497,           11.2850,           15.2986,           22.0998,           34.7327,            1.7749,            5.3201,           -0.7443,           -0.5844,            7.0541,
Ref 11,5.11081e-08,,,,,,1.1974e-02,4.2071e-03,4.8964e-05,4.6469e-06,5.3783e-08,,,,,,,,,,,
Sam 11,5.05210e-08,1.20311e-02,4.2547e-03,4.9716e-05,4.7523e-06,5.6729e-08,,,,,,            4.7524,           11.3023,           15.3116,           22.6027,           24.6225,            1.7772,            5.3373,           -0.7510,           -0.1267,           -2.8220,
Ref 12,5.03000e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6476e-06,5.6975e-08,,,,,,,,,,,
Sam 12,4.97183e-08,1.20312e-02,4.2546e-03,4.9721e-05,4.7536e-06,5.7498e-08,,,,,,            4.7555,           11.2939,           15.3706,           22.8408,           26.0426,            1.7808,            5.3289,           -0.6880,            0.1226,           -1.4269,
Ref 13,4.94959e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6473e-06,5.5087e-08,,,,,,,,,,,
Sam 13,4.89205e-08,1.20312e-02,4.2546e-03,4.9718e-05,4.7529e-06,5.5347e-08,,,,,,            4.7478,           11.2875,           15.3206,           22.8899,           12.9793,            1.7728,            5.3225,           -0.7231,            0.1833,          -14.1201,
Ref 14,4.87218e-08,,,,,,1.1974e-02,4.2072e-03,4.8965e-05,4.6458e-06,5.4182e-08,,,,,,,,,,,
Sam 14,4.81465e-08,1.20311e-02,4.2547e-03,4.9722e-05,4.7533e-06,5.5293e-08,,,,,,            4.7426,           11.2833,           15.3929,           22.7556,           41.9301,            1.7674,            5.3184,           -0.6424,            0.0603,           14.0701,
Ref 15,4.79562e-08,,,,,,1.1974e-02,4.2072e-03,4.8970e-05,4.6493e-06,5.1937e-08,,,,,,,,,,,
Sam 15,4.73828e-08,1.20310e-02,4.2546e-03,4.9721e-05,4.7537e-06,5.4335e-08,,,,,,            4.7462,           11.2812,           15.3795,           22.7749,           38.4198,            1.7713,            5.3163,           -0.6573,            0.0834,           10.6540,
Ref 16,4.72005e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6463e-06,5.2719e-08,,,,,,,,,,,
Sam 16,4.66319e-08,1.20309e-02,4.2546e-03,4.9726e-05,4.7520e-06,5.6875e-08,,,,,,            4.7420,           11.2908,           15.5370,           22.4264,           35.5510,            1.7665,            5.3259,           -0.5073,           -0.2764,            7.8474,
Ref 17,4.64649e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6493e-06,5.7160e-08,,,,,,,,,,,
Sam 17,4.59023e-08,1.20311e-02,4.2546e-03,4.9728e-05,4.7525e-06,5.5239e-08,,,,,,            4.7524,           11.2860,           15.5038,           22.2759,           -2.1295,            1.7777,            5.3211,           -0.5459,           -0.4141,          -28.8265,
Ref 18,4.57417e-08,,,,,,1.1974e-02,4.2071e-03,4.8972e-05,4.6486e-06,5.3525e-08,,,,,,,,,,,
Sam 18,4.51821e-08,1.20308e-02,4.2546e-03,4.9719e-05,4.7539e-06,5.5062e-08,,,,,,            4.7376,           11.2877,           15.2746,           22.5781,           39.9539,            1.7619,            5.3228,           -0.7580,           -0.1219,           12.1434,
Ref 19,4.50414e-08,,,,,,1.1974e-02,4.2072e-03,4.8970e-05,4.6493e-06,5.2360e-08,,,,,,,,,,,
Sam 19,4.44938e-08,1.20310e-02,4.2547e-03,4.9720e-05,4.7546e-06,5.3615e-08,,,,,,            4.7510,           11.2947,           15.2788,           22.7448,          -17.6699,            1.7760,            5.3297,           -0.7745,            0.0273,          -43.9660,
Ref 20,4.43526e-08,,,,,,1.1974e-02,4.2071e-03,4.8974e-05,4.6484e-06,5.6834e-08,,,,,,,,,,,
Sam 20,4.37936e-08,1.20310e-02,4.2546e-03,4.9721e-05,4.7534e-06,5.9009e-08,,,,,,            4.7528,           11.2807,           15.3022,           22.6439,           41.1104,            1.7784,            5.3157,           -0.7396,           -0.0437,           13.2666,
Ref 21,4.36615e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6480e-06,5.6521e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.33297e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6501e-06,5.5786e-08,
Sam 1,4.27714e-08,1.20309e-02,4.2546e-03,4.9719e-05,4.7539e-06,5.7639e-08,,,,,,            4.7365,           11.2868,           15.2934,           22.4167,           90.0643,            1.7608,            5.3219,           -0.7375,           -0.2779,           60.9168,
Ref 2,4.26705e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6493e-06,4.9922e-08,,,,,,,,,,,
Sam 2,4.21142e-08,1.20308e-02,4.2546e-03,4.9725e-05,4.7525e-06,5.3643e-08,,,,,,            4.7371,           11.2909,           15.4301,           22.2272,           44.7284,            1.7613,            5.3259,           -0.6076,           -0.4713,           16.7844,
Ref 3,4.20310e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6491e-06,5.2792e-08,,,,,,,,,,,
Sam 3,4.14651e-08,1.20308e-02,4.2546e-03,4.9725e-05,4.7527e-06,5.3167e-08,,,,,,            4.7480,           11.3108,           15.4003,           22.2008,          -12.2490,            1.7722,            5.3457,           -0.6674,           -0.5365,          -38.7172,
Ref 4,4.13884e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6499e-06,5.4877e-08,,,,,,,,,,,
Sam 4,4.08438e-08,1.20305e-02,4.2544e-03,4.9728e-05,4.7551e-06,5.5110e-08,,,,,,            4.7380,           11.2730,           15.4579,           22.7307,            5.4757,            1.7629,            5.3081,           -0.5638,            0.0564,          -21.3851,
Ref 5,4.07693e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6488e-06,5.4741e-08,,,,,,,,,,,
Sam 5,4.02122e-08,1.20307e-02,4.2545e-03,4.9728e-05,4.7521e-06,5.3961e-08,,,,,,            4.7572,           11.2784,           15.4722,           22.0735,            4.9940,            1.7831,            5.3135,           -0.5746,           -0.5971,          -21.8843,
Ref 6,4.01565e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6502e-06,5.2629e-08,,,,,,,,,,,
Sam 6,3.96051e-08,1.20306e-02,4.2545e-03,4.9720e-05,4.7533e-06,5.4685e-08,,,,,,            4.7431,           11.3023,           15.3019,           22.1451,           44.5747,            1.7672,            5.3372,           -0.7509,           -0.5741,           16.6060,
Ref 7,3.95617e-08,,,,,,1.1974e-02,4.2069e-03,4.8970e-05,4.6504e-06,5.2069e-08,,,,,,,,,,,
Sam 7,3.90102e-08,1.20306e-02,4.2546e-03,4.9726e-05,4.7536e-06,5.6559e-08,,,,,,            4.7457,           11.3061,           15.3547,           22.4307,           85.3866,            1.7699,            5.3410,           -0.7054,           -0.3023,           56.3144,
Ref 8,3.89748e-08,,,,,,1.1974e-02,4.2071e-03,4.8979e-05,4.6483e-06,5.2151e-08,,,,,,,,,,,
Sam 8,3.84262e-08,1.20304e-02,4.2545e-03,4.9722e-05,4.7547e-06,5.2584e-08,,,,,,            4.7421,           11.2794,           15.2635,           22.8576,           13.0504,            1.7670,            5.3145,           -0.7654,            0.1678,          -14.0294,
Ref 9,3.84190e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6487e-06,5.1658e-08,,,,,,,,,,,
Sam 9,3.78552e-08,1.20303e-02,4.2543e-03,4.9719e-05,4.7510e-06,5.2258e-08,,,,,,            4.7447,           11.2717,           15.2631,           21.6488,           22.3741,            1.7701,            5.3068,           -0.7611,           -0.9990,           -4.9429,
Ref 10,3.78378e-08,,,,,,1.1973e-02,4.2069e-03,4.8974e-05,4.6520e-06,5.0561e-08,,,,,,,,,,,
Sam 10,3.72924e-08,1.20303e-02,4.2544e-03,4.9726e-05,4.7512e-06,5.0299e-08,,,,,,            4.7592,           11.2931,           15.3370,           21.4089,          -14.3450,            1.7847,            5.3280,           -0.7240,           -1.2757,          -40.7354,
Ref 11,3.72782e-08,,,,,,1.1973e-02,4.2068e-03,4.8976e-05,4.6513e-06,5.1507e-08,,,,,,,,,,,
Sam 11,3.67360e-08,1.20303e-02,4.2544e-03,4.9723e-05,4.7562e-06,5.3937e-08,,,,,,            4.7611,           11.3029,           15.2673,           22.8447,           28.7749,            1.7864,            5.3378,           -0.8041,            0.1087,            1.2089,
Ref 12,3.67388e-08,,,,,,1.1973e-02,4.2068e-03,4.8974e-05,4.6487e-06,5.3364e-08,,,,,,,,,,,
Sam 12,3.62012e-08,1.20302e-02,4.2543e-03,4.9719e-05,4.7554e-06,5.4255e-08,,,,,,            4.7538,           11.2908,           15.2290,           22.9569,           35.6139,            1.7791,            5.3258,           -0.8226,            0.2423,            7.8960,
Ref 13,3.62181e-08,,,,,,1.1973e-02,4.2068e-03,4.8973e-05,4.6486e-06,5.1401e-08,,,,,,,,,,,
Sam 13,3.56762e-08,1.20301e-02,4.2543e-03,4.9721e-05,4.7528e-06,5.3349e-08,,,,,,            4.7517,           11.3134,           15.2679,           22.2435,           61.8015,            1.7761,            5.3483,           -0.8040,           -0.4998,           33.3397,
Ref 14,3.57500e-08,,,,,,1.1973e-02,4.2067e-03,4.8974e-05,4.6501e-06,4.9072e-08,,,,,,,,,,,
Sam 14,3.51734e-08,1.20299e-02,4.2542e-03,4.9725e-05,4.7515e-06,5.1367e-08,,,,,,            4.7478,           11.2909,           15.3599,           22.0115,           42.4605,            1.7727,            5.3259,           -0.6877,           -0.6823,           14.5656,
Ref 15,3.51884e-08,,,,,,1.1973e-02,4.2067e-03,4.8971e-05,4.6482e-06,4.9480e-08,,,,,,,,,,,
Sam 15,3.46487e-08,1.20301e-02,4.2541e-03,4.9721e-05,4.7535e-06,5.3889e-08,,,,,,            4.7561,           11.2737,           15.3505,           22.5763,           89.6390,            1.7821,            5.3088,           -0.6886,           -0.0960,           60.5079,
Ref 16,3.46875e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6489e-06,4.9431e-08,,,,,,,,,,,
Sam 16,3.41480e-08,1.20298e-02,4.2542e-03,4.9721e-05,4.7545e-06,5.1940e-08,,,,,,            4.7368,           11.3021,           15.3394,           22.5108,           37.5848,            1.7606,            5.3371,           -0.7074,           -0.2163,            9.8102,
Ref 17,3.41967e-08,,,,,,1.1973e-02,4.2067e-03,4.8971e-05,4.6507e-06,5.0695e-08,,,,,,,,,,,
Sam 17,3.36522e-08,1.20298e-02,4.2542e-03,4.9726e-05,4.7537e-06,5.2488e-08,,,,,,            4.7440,           11.3079,           15.3806,           22.5977,           12.0736,            1.7680,            5.3428,           -0.6799,           -0.1426,          -15.0366,
Ref 18,3.37238e-08,,,,,,1.1973e-02,4.2066e-03,4.8974e-05,4.6465e-06,5.3044e-08,,,,,,,,,,,
Sam 18,3.31746e-08,1.20297e-02,4.2541e-03,4.9719e-05,4.7539e-06,5.4833e-08,,,,,,            4.7354,           11.2741,           15.2463,           22.7499,           45.4460,            1.7601,            5.3092,           -0.7704,            0.0731,           17.5179,
Ref 19,3.32407e-08,,,,,,1.1973e-02,4.2067e-03,4.8972e-05,4.6498e-06,5.1846e-08,,,,,,,,,,,
Sam 19,3.27000e-08,1.20297e-02,4.2541e-03,4.9730e-05,4.7527e-06,5.7674e-08,,,,,,            4.7446,           11.2871,           15.4430,           22.1113,           95.5991,            1.7694,            5.3221,           -0.5988,           -0.5771,           66.2939,
Ref 20,3.27762e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6500e-06,5.3448e-08,,,,,,,,,,,
Sam 20,3.22322e-08,1.20298e-02,4.2541e-03,4.9727e-05,4.7535e-06,6.0181e-08,,,,,,            4.7522,           11.2751,           15.3762,           22.2884,          133.8396,            1.7779,            5.3102,           -0.6607,           -0.3802,          103.5284,
Ref 21,3.23182e-08,,,,,,1.1973e-02,4.2067e-03,4.8973e-05,4.6497e-06,5.2701e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.20925e-08,,,,,,1.1973e-02,4.2066e-03,4.8976e-05,4.6498e-06,5.6420e-08,
Sam 1,3.15459e-08,1.20296e-02,4.2541e-03,4.9729e-05,4.7574e-06,5.2104e-08,,,,,,            4.7458,           11.2922,           15.4259,           22.5057,          -49.5880,            1.7705,            5.3272,           -0.6219,           -0.2016,          -75.0201,
Ref 2,3.16444e-08,,,,,,1.1973e-02,4.2065e-03,4.8971e-05,4.6556e-06,5.3202e-08,,,,,,,,,,,
Sam 2,3.11040e-08,1.20295e-02,4.2540e-03,4.9728e-05,4.7577e-06,5.5730e-08,,,,,,            4.7436,           11.2821,           15.4711,           22.4784,            8.1635,            1.7685,            5.3172,           -0.5653,           -0.2083,          -18.7924,
Ref 3,3.12267e-08,,,,,,1.1973e-02,4.2065e-03,4.8971e-05,4.6506e-06,5.7383e-08,,,,,,,,,,,
Sam 3,3.06731e-08,1.20295e-02,4.2539e-03,4.9722e-05,4.7534e-06,5.6099e-08,,,,,,            4.7534,           11.2761,           15.3057,           22.1014,          -10.6602,            1.7791,            5.3112,           -0.7323,           -0.5651,          -37.1115,
Ref 4,3.07836e-08,,,,,,1.1972e-02,4.2065e-03,4.8975e-05,4.6506e-06,5.6014e-08,,,,,,,,,,,
Sam 4,3.02422e-08,1.20294e-02,4.2539e-03,4.9719e-05,4.7548e-06,5.8228e-08,,,,,,            4.7540,           11.2840,           15.2180,           22.3823,            3.0811,            1.7796,            5.3190,           -0.8269,           -0.3060,          -23.7532,
Ref 5,3.04047e-08,,,,,,1.1973e-02,4.2064e-03,4.8972e-05,4.6509e-06,6.0111e-08,,,,,,,,,,,
Sam 5,2.98498e-08,1.20294e-02,4.2540e-03,4.9724e-05,4.7552e-06,5.8718e-08,,,,,,            4.7483,           11.2886,           15.3597,           22.1019,          -27.3579,            1.7733,            5.3236,           -0.6861,           -0.5893,          -53.3806,
Ref 6,2.99662e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6539e-06,6.0633e-08,,,,,,,,,,,
Sam 6,2.94214e-08,1.20293e-02,4.2539e-03,4.9725e-05,4.7557e-06,6.1324e-08,,,,,,            4.7434,           11.2681,           15.4585,           21.8603,            6.3219,            1.7688,            5.3033,           -0.5640,           -0.7851,          -20.5580,
Ref 7,2.95449e-08,,,,,,1.1972e-02,4.2065e-03,4.8964e-05,4.6540e-06,6.1249e-08,,,,,,,,,,,
Sam 7,2.90112e-08,1.20293e-02,4.2539e-03,4.9720e-05,4.7557e-06,6.1426e-08,,,,,,            4.7491,           11.2821,           15.4263,           21.7215,           27.5743,            1.7744,            5.3172,           -0.6152,           -0.9485,            0.0935,
Ref 8,2.91383e-08,,,,,,1.1972e-02,4.2064e-03,4.8966e-05,4.6553e-06,5.8287e-08,,,,,,,,,,,
Sam 8,2.86040e-08,1.20293e-02,4.2538e-03,4.9721e-05,4.7525e-06,5.9000e-08,,,,,,            4.7535,           11.2775,           15.3682,           20.6702,           -2.7886,            1.7792,            5.3126,           -0.6722,           -1.9673,          -29.4531,
Ref 9,2.87624e-08,,,,,,1.1972e-02,4.2063e-03,4.8972e-05,4.6571e-06,6.0055e-08,,,,,,,,,,,
Sam 9,2.82190e-08,1.20293e-02,4.2539e-03,4.9728e-05,4.7564e-06,6.1757e-08,,,,,,            4.7594,           11.3049,           15.4039,           21.7669,           50.4940,            1.7845,            5.3399,           -0.6698,           -0.9492,           22.3438,
Ref 10,2.83658e-08,,,,,,1.1972e-02,4.2063e-03,4.8975e-05,4.6530e-06,5.7504e-08,,,,,,,,,,,
Sam 10,2.78290e-08,1.20292e-02,4.2538e-03,4.9722e-05,4.7570e-06,6.0804e-08,,,,,,            4.7524,           11.2782,           15.3219,           22.4343,           55.9592,            1.7781,            5.3133,           -0.7174,           -0.2437,           27.7235,
Ref 11,2.79877e-08,,,,,,1.1972e-02,4.2064e-03,4.8967e-05,4.6523e-06,5.7661e-08,,,,,,,,,,,
Sam 11,2.74418e-08,1.20290e-02,4.2537e-03,4.9726e-05,4.7604e-06,6.2561e-08,,,,,,            4.7427,           11.2565,           15.4115,           23.0999,           26.1759,            1.7685,            5.2917,           -0.5982,            0.4500,           -1.2110,
Ref 12,2.76110e-08,,,,,,1.1972e-02,4.2063e-03,4.8974e-05,4.6536e-06,6.4315e-08,,,,,,,,,,,
Sam 12,2.70779e-08,1.20289e-02,4.2537e-03,4.9720e-05,4.7598e-06,6.6050e-08,,,,,,            4.7463,           11.2752,           15.2922,           23.3779,           27.7823,            1.7717,            5.3103,           -0.7375,            0.6849,            0.3124,
Ref 13,2.72478e-08,,,,,,1.1972e-02,4.2062e-03,4.8967e-05,4.6484e-06,6.4214e-08,,,,,,,,,,,
Sam 13,2.67181e-08,1.20288e-02,4.2536e-03,4.9728e-05,4.7579e-06,6.5788e-08,,,,,,            4.7473,           11.2559,           15.4875,           23.3239,            2.5635,            1.7733,            5.2911,           -0.5276,            0.6701,          -24.1968,
Ref 14,2.69167e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6505e-06,6.7044e-08,,,,,,,,,,,
Sam 14,2.63727e-08,1.20286e-02,4.2535e-03,4.9720e-05,4.7552e-06,6.7904e-08,,,,,,            4.7385,           11.2560,           15.2616,           21.6551,           43.3474,            1.7640,            5.2912,           -0.7409,           -0.9617,           15.5079,
Ref 15,2.65464e-08,,,,,,1.1972e-02,4.2062e-03,4.8974e-05,4.6584e-06,6.3095e-08,,,,,,,,,,,
Sam 15,2.60124e-08,1.20288e-02,4.2537e-03,4.9728e-05,4.7610e-06,6.8096e-08,,,,,,            4.7473,           11.2987,           15.4060,           22.3034,           33.9108,            1.7719,            5.3337,           -0.6493,           -0.4122,            6.2301,
Ref 16,2.62083e-08,,,,,,1.1972e-02,4.2062e-03,4.8973e-05,4.6559e-06,6.8665e-08,,,,,,,,,,,
Sam 16,2.56732e-08,1.20288e-02,4.2536e-03,4.9725e-05,4.7601e-06,6.8981e-08,,,,,,            4.7429,           11.2746,           15.2966,           22.9152,           15.1015,            1.7681,            5.3097,           -0.7291,            0.2336,          -12.0247,
Ref 17,2.58637e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6510e-06,6.7236e-08,,,,,,,,,,,
Sam 17,2.53318e-08,1.20287e-02,4.2536e-03,4.9723e-05,4.7606e-06,6.5591e-08,,,,,,            4.7418,           11.2655,           15.2507,           22.5817,          -26.9341,            1.7672,            5.3007,           -0.7643,           -0.0744,          -52.9192,
Ref 18,2.55260e-08,,,,,,1.1972e-02,4.2063e-03,4.8973e-05,4.6600e-06,6.7579e-08,,,,,,,,,,,
Sam 18,2.49948e-08,1.20287e-02,4.2536e-03,4.9730e-05,4.7589e-06,6.5731e-08,,,,,,            4.7474,           11.2849,           15.4931,           21.6493,           -1.7534,            1.7725,            5.3200,           -0.5504,           -1.0246,          -28.4534,
Ref 19,2.52531e-08,,,,,,1.1972e-02,4.2061e-03,4.8968e-05,4.6561e-06,6.4096e-08,,,,,,,,,,,
Sam 19,2.46998e-08,1.20286e-02,4.2536e-03,4.9730e-05,4.7593e-06,6.5112e-08,,,,,,            4.7448,           11.2933,           15.3826,           22.0991,           -8.3867,            1.7694,            5.3283,           -0.6646,           -0.6014,          -34.9223,
Ref 20,2.48870e-08,,,,,,1.1972e-02,4.2061e-03,4.8985e-05,4.6567e-06,6.7252e-08,,,,,,,,,,,
Sam 20,2.43461e-08,1.20286e-02,4.2535e-03,4.9724e-05,4.7588e-06,6.9921e-08,,,,,,            4.7491,           11.2696,           15.1728,           22.5708,           49.0885,            1.7748,            5.3048,           -0.8525,           -0.0934,           21.0572,
Ref 21,2.45644e-08,,,,,,1.1972e-02,4.2062e-03,4.8976e-05,4.6509e-06,6.6039e-08,,,,,,,,,,,


