Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 30, 2022 at 05:31 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, June 30, 2022 at 06:30 with Stable 1.71.5 on PS019

Data File = Data_17460 WBT-6-B.txt,       Sample Weight = 512,                      Vial Location = 43,                       Initial Sam Beam = 1.7863e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9783e-08,                Max Ref Beam = 1.0617e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.97068e-08,,,,,,1.1972e-02,4.2054e-03,4.8922e-05,4.6379e-06,5.2397e-08,
Sam 1,6.90155e-08,1.19051e-02,4.2204e-03,4.8799e-05,4.6729e-06,5.2414e-08,,,,,,           -5.6262,            3.5478,           -2.5908,            7.2733,           -3.5028,           -9.0004,           -2.3570,           -0.2653,            0.1639,           -4.4668,
Ref 2,6.84527e-08,,,,,,1.1973e-02,4.2057e-03,4.8931e-05,4.6405e-06,5.2804e-08,,,,,,,,,,,
Sam 2,6.77474e-08,1.19053e-02,4.2206e-03,4.8798e-05,4.6725e-06,5.3578e-08,,,,,,           -5.6580,            3.5122,           -2.7060,            6.8552,           11.2759,           -9.0330,           -2.3924,           -0.3129,           -0.1803,           10.4024,
Ref 3,6.72471e-08,,,,,,1.1973e-02,4.2059e-03,4.8931e-05,4.6408e-06,5.3160e-08,,,,,,,,,,,
Sam 3,6.65703e-08,1.19057e-02,4.2209e-03,4.8806e-05,4.6731e-06,5.2607e-08,,,,,,           -5.6413,            3.5515,           -2.5761,            6.8779,          -12.3564,           -9.0166,           -2.3533,           -0.2385,           -0.2361,          -13.3030,
Ref 4,6.60545e-08,,,,,,1.1973e-02,4.2059e-03,4.8933e-05,4.6416e-06,5.3373e-08,,,,,,,,,,,
Sam 4,6.53759e-08,1.19057e-02,4.2210e-03,4.8806e-05,4.6726e-06,5.4107e-08,,,,,,           -5.6500,            3.5579,           -2.6226,            6.7470,           -2.0940,           -9.0262,           -2.3469,           -0.2823,           -0.3788,           -3.0537,
Ref 5,6.49282e-08,,,,,,1.1973e-02,4.2061e-03,4.8936e-05,4.6408e-06,5.5083e-08,,,,,,,,,,,
Sam 5,6.42760e-08,1.19061e-02,4.2212e-03,4.8810e-05,4.6735e-06,5.5859e-08,,,,,,           -5.6380,            3.5464,           -2.6696,            6.9012,           15.0622,           -9.0130,           -2.3584,           -0.3306,           -0.2028,           14.0959,
Ref 6,6.38574e-08,,,,,,1.1974e-02,4.2063e-03,4.8945e-05,4.6421e-06,5.4977e-08,,,,,,,,,,,
Sam 6,6.31672e-08,1.19061e-02,4.2212e-03,4.8818e-05,4.6760e-06,5.5339e-08,,,,,,           -5.6470,            3.5371,           -2.6173,            7.2257,            9.0415,           -9.0222,           -2.3676,           -0.2598,            0.1380,            8.1089,
Ref 7,6.27714e-08,,,,,,1.1974e-02,4.2064e-03,4.8947e-05,4.6427e-06,5.4708e-08,,,,,,,,,,,
Sam 7,6.20789e-08,1.19063e-02,4.2214e-03,4.8816e-05,4.6711e-06,5.5405e-08,,,,,,           -5.6405,            3.5556,           -2.6986,            6.1767,           15.9589,           -9.0160,           -2.3492,           -0.3661,           -0.9406,           14.9761,
Ref 8,6.17085e-08,,,,,,1.1974e-02,4.2065e-03,4.8950e-05,4.6421e-06,5.4358e-08,,,,,,,,,,,
Sam 8,6.10185e-08,1.19063e-02,4.2214e-03,4.8819e-05,4.6778e-06,5.5363e-08,,,,,,           -5.6531,            3.5380,           -2.6567,            7.5317,            6.4084,           -9.0287,           -2.3667,           -0.2939,            0.4399,            5.4829,
Ref 9,6.06652e-08,,,,,,1.1974e-02,4.2066e-03,4.8948e-05,4.6436e-06,5.5674e-08,,,,,,,,,,,
Sam 9,5.99811e-08,1.19063e-02,4.2215e-03,4.8822e-05,4.6744e-06,5.6997e-08,,,,,,           -5.6513,            3.5452,           -2.6708,            6.6179,           -2.1698,           -9.0271,           -2.3596,           -0.3168,           -0.4817,           -3.1032,
Ref 10,5.96534e-08,,,,,,1.1974e-02,4.2067e-03,4.8957e-05,4.6439e-06,5.8593e-08,,,,,,,,,,,
Sam 10,5.89744e-08,1.19065e-02,4.2216e-03,4.8826e-05,4.6774e-06,5.9244e-08,,,,,,           -5.6415,            3.5432,           -2.6451,            7.2201,            6.5618,           -9.0166,           -2.3616,           -0.2993,            0.1203,            5.6137,
Ref 11,5.86591e-08,,,,,,1.1974e-02,4.2067e-03,4.8954e-05,4.6439e-06,5.9126e-08,,,,,,,,,,,
Sam 11,5.79809e-08,1.19064e-02,4.2217e-03,4.8827e-05,4.6766e-06,5.5142e-08,,,,,,           -5.6530,            3.5482,           -2.6333,            7.0617,          -40.5613,           -9.0290,           -2.3566,           -0.2804,           -0.0470,          -41.4627,
Ref 12,5.76889e-08,,,,,,1.1974e-02,4.2068e-03,4.8958e-05,4.6436e-06,5.5793e-08,,,,,,,,,,,
Sam 12,5.70167e-08,1.19065e-02,4.2217e-03,4.8825e-05,4.6793e-06,5.5896e-08,,,,,,           -5.6464,            3.5459,           -2.7159,            7.3487,            1.9178,           -9.0220,           -2.3588,           -0.3678,            0.2425,            0.9739,
Ref 13,5.67360e-08,,,,,,1.1974e-02,4.2068e-03,4.8957e-05,4.6468e-06,5.5785e-08,,,,,,,,,,,
Sam 13,5.60669e-08,1.19064e-02,4.2218e-03,4.8829e-05,4.6774e-06,5.7130e-08,,,,,,           -5.6538,            3.5448,           -2.6773,            6.9112,            2.9986,           -9.0298,           -2.3599,           -0.3203,           -0.1897,            2.0638,
Ref 14,5.58095e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6438e-06,5.8153e-08,,,,,,,,,,,
Sam 14,5.51488e-08,1.19065e-02,4.2218e-03,4.8832e-05,4.6786e-06,5.6823e-08,,,,,,           -5.6565,            3.5468,           -2.6836,            7.1454,          -25.9795,           -9.0327,           -2.3580,           -0.3259,            0.0389,          -26.8882,
Ref 15,5.48992e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6470e-06,5.8527e-08,,,,,,,,,,,
Sam 15,5.42434e-08,1.19065e-02,4.2218e-03,4.8837e-05,4.6792e-06,5.9548e-08,,,,,,           -5.6573,            3.5388,           -2.6446,            6.9526,           32.6715,           -9.0333,           -2.3659,           -0.2781,           -0.1367,           31.7250,
Ref 16,5.40032e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6467e-06,5.6787e-08,,,,,,,,,,,
Sam 16,5.33551e-08,1.19067e-02,4.2219e-03,4.8829e-05,4.6782e-06,5.7011e-08,,,,,,           -5.6376,            3.5377,           -2.8268,            6.5561,          -15.1108,           -9.0123,           -2.3671,           -0.4800,           -0.5280,          -16.0319,
Ref 17,5.31333e-08,,,,,,1.1974e-02,4.2070e-03,4.8966e-05,4.6488e-06,5.9002e-08,,,,,,,,,,,
Sam 17,5.24833e-08,1.19065e-02,4.2219e-03,4.8836e-05,4.6778e-06,6.0850e-08,,,,,,           -5.6494,            3.5535,           -2.6283,            6.4937,           14.6844,           -9.0254,           -2.3513,           -0.2843,           -0.6215,           13.7168,
Ref 18,5.22713e-08,,,,,,1.1974e-02,4.2070e-03,4.8964e-05,4.6464e-06,6.0953e-08,,,,,,,,,,,
Sam 18,5.16339e-08,1.19065e-02,4.2219e-03,4.8833e-05,4.6813e-06,6.1017e-08,,,,,,           -5.6529,            3.5430,           -2.7374,            7.3933,            0.4069,           -9.0287,           -2.3617,           -0.3799,            0.2926,           -0.5229,
Ref 19,5.14342e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6474e-06,6.1031e-08,,,,,,,,,,,
Sam 19,5.07966e-08,1.19067e-02,4.2219e-03,4.8839e-05,4.6814e-06,6.1530e-08,,,,,,           -5.6415,            3.5419,           -2.5999,            7.7055,            2.9995,           -9.0165,           -2.3628,           -0.2528,            0.6048,            2.0572,
Ref 20,5.06181e-08,,,,,,1.1974e-02,4.2070e-03,4.8963e-05,4.6437e-06,6.1665e-08,,,,,,,,,,,
Sam 20,4.99740e-08,1.19066e-02,4.2219e-03,4.8836e-05,4.6800e-06,6.1737e-08,,,,,,           -5.6457,            3.5430,           -2.5924,            7.4896,            6.9589,           -9.0210,           -2.3618,           -0.2419,            0.3883,            6.0154,
Ref 21,4.97978e-08,,,,,,1.1974e-02,4.2070e-03,4.8963e-05,4.6467e-06,6.0950e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.94010e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6484e-06,6.2833e-08,
Sam 1,4.87688e-08,1.19066e-02,4.2219e-03,4.8840e-05,4.6794e-06,6.0128e-08,,,,,,           -5.6531,            3.5421,           -2.7131,            6.5904,          -61.9514,           -9.0289,           -2.3626,           -0.3543,           -0.5029,          -62.8213,
Ref 2,4.86191e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6491e-06,6.5385e-08,,,,,,,,,,,
Sam 2,4.79928e-08,1.19066e-02,4.2219e-03,4.8836e-05,4.6808e-06,6.7445e-08,,,,,,           -5.6508,            3.5465,           -2.7618,            6.8260,           24.6015,           -9.0266,           -2.3583,           -0.4098,           -0.2776,           23.6399,
Ref 3,4.78589e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6491e-06,6.6274e-08,,,,,,,,,,,
Sam 3,4.72219e-08,1.19066e-02,4.2220e-03,4.8847e-05,4.6825e-06,6.5570e-08,,,,,,           -5.6449,            3.5563,           -2.5529,            7.1938,           -7.8491,           -9.0207,           -2.3486,           -0.2162,            0.0681,           -8.8054,
Ref 4,4.71071e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6490e-06,6.5901e-08,,,,,,,,,,,
Sam 4,4.64675e-08,1.19064e-02,4.2219e-03,4.8842e-05,4.6825e-06,6.6796e-08,,,,,,           -5.6549,            3.5388,           -2.7163,            7.0314,           16.7464,           -9.0307,           -2.3659,           -0.3525,           -0.0584,           15.8119,
Ref 5,4.63580e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6507e-06,6.5488e-08,,,,,,,,,,,
Sam 5,4.57240e-08,1.19064e-02,4.2220e-03,4.8841e-05,4.6823e-06,6.5016e-08,,,,,,           -5.6496,            3.5559,           -2.7181,            7.0157,           -9.1396,           -9.0256,           -2.3489,           -0.3766,           -0.1080,          -10.0891,
Ref 6,4.56413e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6487e-06,6.5745e-08,,,,,,,,,,,
Sam 6,4.50063e-08,1.19064e-02,4.2219e-03,4.8843e-05,4.6799e-06,6.6327e-08,,,,,,           -5.6430,            3.5463,           -2.6053,            6.5033,           23.1706,           -9.0183,           -2.3585,           -0.2608,           -0.5977,           22.2024,
Ref 7,4.49453e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6506e-06,6.3891e-08,,,,,,,,,,,
Sam 7,4.43013e-08,1.19064e-02,4.2219e-03,4.8847e-05,4.6839e-06,6.4953e-08,,,,,,           -5.6433,            3.5444,           -2.5405,            7.2056,          -13.9876,           -9.0185,           -2.3604,           -0.1937,            0.1035,          -14.9168,
Ref 8,4.42393e-08,,,,,,1.1974e-02,4.2071e-03,4.8972e-05,4.6501e-06,6.7889e-08,,,,,,,,,,,
Sam 8,4.36139e-08,1.19064e-02,4.2219e-03,4.8844e-05,4.6798e-06,6.7661e-08,,,,,,           -5.6473,            3.5277,           -2.5924,            6.5790,          -10.9880,           -9.0223,           -2.3770,           -0.2253,           -0.4855,          -11.8835,
Ref 9,4.35615e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6483e-06,6.8945e-08,,,,,,,,,,,
Sam 9,4.29360e-08,1.19062e-02,4.2218e-03,4.8842e-05,4.6831e-06,6.6997e-08,,,,,,           -5.6507,            3.5119,           -2.6533,            7.2106,          -12.8546,           -9.0253,           -2.3927,           -0.2673,            0.1731,          -13.7143,
Ref 10,4.29007e-08,,,,,,1.1974e-02,4.2070e-03,4.8975e-05,4.6508e-06,6.6777e-08,,,,,,,,,,,
Sam 10,4.22724e-08,1.19061e-02,4.2218e-03,4.8843e-05,4.6835e-06,6.8764e-08,,,,,,           -5.6572,            3.5273,           -2.6673,            6.8120,           27.4738,           -9.0327,           -2.3774,           -0.2897,           -0.2534,           26.5551,
Ref 11,4.22489e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6529e-06,6.7075e-08,,,,,,,,,,,
Sam 11,4.16275e-08,1.19061e-02,4.2218e-03,4.8848e-05,4.6841e-06,6.8699e-08,,,,,,           -5.6534,            3.5321,           -2.5864,            7.0006,           14.5877,           -9.0289,           -2.3726,           -0.2172,           -0.0757,           13.6670,
Ref 12,4.16106e-08,,,,,,1.1974e-02,4.2069e-03,4.8978e-05,4.6502e-06,6.8358e-08,,,,,,,,,,,
Sam 12,4.10061e-08,1.19061e-02,4.2218e-03,4.8844e-05,4.6841e-06,6.7752e-08,,,,,,           -5.6448,            3.5595,           -2.7641,            7.2186,           15.8258,           -9.0207,           -2.3453,           -0.4312,            0.0861,           14.8400,
Ref 13,4.10401e-08,,,,,,1.1974e-02,4.2069e-03,4.8980e-05,4.6509e-06,6.5012e-08,,,,,,,,,,,
Sam 13,4.03958e-08,1.19060e-02,4.2217e-03,4.8842e-05,4.6827e-06,6.8581e-08,,,,,,           -5.6496,            3.5282,           -2.8600,            6.9037,           25.9966,           -9.0247,           -2.3765,           -0.4916,           -0.1641,           25.0691,
Ref 14,4.03832e-08,,,,,,1.1974e-02,4.2069e-03,4.8984e-05,4.6502e-06,6.8704e-08,,,,,,,,,,,
Sam 14,3.97705e-08,1.19059e-02,4.2218e-03,4.8842e-05,4.6867e-06,6.6925e-08,,,,,,           -5.6478,            3.5311,           -2.7760,            7.8159,          -16.0976,           -9.0229,           -2.3736,           -0.4121,            0.7360,          -16.9945,
Ref 15,3.97861e-08,,,,,,1.1973e-02,4.2069e-03,4.8972e-05,4.6505e-06,6.7326e-08,,,,,,,,,,,
Sam 15,3.91741e-08,1.19059e-02,4.2217e-03,4.8845e-05,4.6828e-06,6.8140e-08,,,,,,           -5.6515,            3.5329,           -2.6597,            6.7145,           12.8868,           -9.0268,           -2.3718,           -0.2936,           -0.3614,           11.9638,
Ref 16,3.91997e-08,,,,,,1.1974e-02,4.2068e-03,4.8978e-05,4.6526e-06,6.7220e-08,,,,,,,,,,,
Sam 16,3.85869e-08,1.19059e-02,4.2216e-03,4.8844e-05,4.6825e-06,6.4775e-08,,,,,,           -5.6524,            3.5186,           -2.6827,            6.7897,          -50.5211,           -9.0273,           -2.3860,           -0.3016,           -0.2582,          -51.3587,
Ref 17,3.86358e-08,,,,,,1.1973e-02,4.2068e-03,4.8973e-05,4.6491e-06,6.9238e-08,,,,,,,,,,,
Sam 17,3.80217e-08,1.19057e-02,4.2217e-03,4.8849e-05,4.6836e-06,6.8846e-08,,,,,,           -5.6488,            3.5429,           -2.5886,            7.1960,           16.8594,           -9.0244,           -2.3618,           -0.2348,            0.0968,           15.9100,
Ref 18,3.80611e-08,,,,,,1.1973e-02,4.2068e-03,4.8979e-05,4.6512e-06,6.6149e-08,,,,,,,,,,,
Sam 18,3.74527e-08,1.19055e-02,4.2216e-03,4.8848e-05,4.6823e-06,6.7190e-08,,,,,,           -5.6518,            3.5401,           -2.6758,            6.4405,           -6.9607,           -9.0274,           -2.3646,           -0.3164,           -0.6477,           -7.8793,
Ref 19,3.75120e-08,,,,,,1.1973e-02,4.2067e-03,4.8979e-05,4.6535e-06,6.9196e-08,,,,,,,,,,,
Sam 19,3.68946e-08,1.19055e-02,4.2215e-03,4.8844e-05,4.6834e-06,7.4526e-08,,,,,,           -5.6508,            3.5263,           -2.7498,            6.6897,           54.2378,           -9.0259,           -2.3784,           -0.3780,           -0.3727,           53.2903,
Ref 20,3.69809e-08,,,,,,1.1973e-02,4.2067e-03,4.8978e-05,4.6511e-06,7.2211e-08,,,,,,,,,,,
Sam 20,3.63431e-08,1.19055e-02,4.2216e-03,4.8845e-05,4.6842e-06,7.1392e-08,,,,,,           -5.6472,            3.5330,           -2.6794,            7.0317,           -1.4072,           -9.0223,           -2.3717,           -0.3178,           -0.0465,           -2.3219,
Ref 21,3.64209e-08,,,,,,1.1973e-02,4.2067e-03,4.8974e-05,4.6518e-06,7.0763e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.61530e-08,,,,,,1.1973e-02,4.2066e-03,4.8973e-05,4.6538e-06,6.8186e-08,
Sam 1,3.55530e-08,1.19055e-02,4.2215e-03,4.8857e-05,4.6862e-06,7.1072e-08,,,,,,           -5.6450,            3.5453,           -2.4138,            7.0722,           15.3168,           -9.0204,           -2.3595,           -0.0659,           -0.0308,           14.3601,
Ref 2,3.56437e-08,,,,,,1.1973e-02,4.2067e-03,4.8977e-05,4.6527e-06,7.1839e-08,,,,,,,,,,,
Sam 2,3.50330e-08,1.19054e-02,4.2216e-03,4.8849e-05,4.6837e-06,7.1474e-08,,,,,,           -5.6535,            3.5476,           -2.6462,            6.8582,           21.7946,           -9.0295,           -2.3572,           -0.2923,           -0.2478,           20.8364,
Ref 3,3.51338e-08,,,,,,1.1973e-02,4.2066e-03,4.8980e-05,4.6508e-06,6.8032e-08,,,,,,,,,,,
Sam 3,3.45235e-08,1.19055e-02,4.2215e-03,4.8848e-05,4.6823e-06,6.6080e-08,,,,,,           -5.6414,            3.5436,           -2.6742,            6.9344,          -37.1285,           -9.0165,           -2.3612,           -0.3289,           -0.1642,          -38.0363,
Ref 4,3.46455e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6492e-06,6.9233e-08,,,,,,,,,,,
Sam 4,3.40299e-08,1.19053e-02,4.2214e-03,4.8845e-05,4.6846e-06,6.4705e-08,,,,,,           -5.6529,            3.5327,           -2.7013,            7.8309,           -7.7237,           -9.0283,           -2.3720,           -0.3335,            0.7477,           -8.6260,
Ref 5,3.41418e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6472e-06,6.1126e-08,,,,,,,,,,,
Sam 5,3.35347e-08,1.19052e-02,4.2214e-03,4.8844e-05,4.6822e-06,6.6471e-08,,,,,,           -5.6499,            3.5274,           -2.7627,            7.1911,           52.3611,           -9.0250,           -2.3773,           -0.3931,            0.1229,           51.4118,
Ref 6,3.36567e-08,,,,,,1.1973e-02,4.2066e-03,4.8981e-05,4.6503e-06,6.5232e-08,,,,,,,,,,,
Sam 6,3.30539e-08,1.19052e-02,4.2214e-03,4.8840e-05,4.6860e-06,6.4101e-08,,,,,,           -5.6434,            3.5160,           -2.7781,            7.5894,          -16.8864,           -9.0177,           -2.3887,           -0.4040,            0.5413,          -17.7581,
Ref 7,3.31804e-08,,,,,,1.1973e-02,4.2066e-03,4.8972e-05,4.6512e-06,6.5171e-08,,,,,,,,,,,
Sam 7,3.25731e-08,1.19051e-02,4.2214e-03,4.8845e-05,4.6836e-06,6.5996e-08,,,,,,           -5.6528,            3.5441,           -2.5426,            6.9823,          -17.8437,           -9.0287,           -2.3606,           -0.1858,           -0.1178,          -18.7588,
Ref 8,3.27220e-08,,,,,,1.1973e-02,4.2064e-03,4.8968e-05,4.6512e-06,6.9248e-08,,,,,,,,,,,
Sam 8,3.21189e-08,1.19051e-02,4.2214e-03,4.8846e-05,4.6818e-06,6.3946e-08,,,,,,           -5.6425,            3.5467,           -2.5745,            7.0139,          -43.8390,           -9.0178,           -2.3581,           -0.2309,           -0.0915,          -44.7452,
Ref 9,3.22638e-08,,,,,,1.1973e-02,4.2065e-03,4.8976e-05,4.6472e-06,6.4473e-08,,,,,,,,,,,
Sam 9,3.16684e-08,1.19049e-02,4.2213e-03,4.8842e-05,4.6819e-06,6.5070e-08,,,,,,           -5.6558,            3.5174,           -2.6486,            7.2713,           53.2099,           -9.0310,           -2.3872,           -0.2627,            0.2225,           52.2871,
Ref 10,3.18181e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6490e-06,5.9054e-08,,,,,,,,,,,
Sam 10,3.12698e-08,1.19050e-02,4.2213e-03,4.8848e-05,4.6828e-06,6.4378e-08,,,,,,           -5.6516,            3.5238,           -2.5207,            6.9804,           27.9790,           -9.0267,           -2.3809,           -0.1451,           -0.0791,           27.0609,
Ref 11,3.14059e-08,,,,,,1.1973e-02,4.2064e-03,4.8977e-05,4.6517e-06,6.6246e-08,,,,,,,,,,,
Sam 11,3.07998e-08,1.19048e-02,4.2212e-03,4.8836e-05,4.6792e-06,6.4914e-08,,,,,,           -5.6495,            3.5271,           -2.8750,            5.8563,          -60.8662,           -9.0245,           -2.3776,           -0.5058,           -1.2020,          -61.7133,
Ref 12,3.09611e-08,,,,,,1.1972e-02,4.2064e-03,4.8976e-05,4.6522e-06,7.2037e-08,,,,,,,,,,,
Sam 12,3.03592e-08,1.19049e-02,4.2212e-03,4.8842e-05,4.6833e-06,6.9713e-08,,,,,,           -5.6468,            3.5273,           -2.6213,            7.2256,            7.3935,           -9.0217,           -2.3774,           -0.2543,            0.1575,            6.4817,
Ref 13,3.05293e-08,,,,,,1.1973e-02,4.2064e-03,4.8964e-05,4.6472e-06,6.6326e-08,,,,,,,,,,,
Sam 13,2.99351e-08,1.19047e-02,4.2212e-03,4.8840e-05,4.6813e-06,6.8652e-08,,,,,,           -5.6637,            3.5171,           -2.5286,            6.9341,          -17.1034,           -9.0393,           -2.3875,           -0.1339,           -0.1117,          -17.9557,
Ref 14,3.01092e-08,,,,,,1.1973e-02,4.2063e-03,4.8964e-05,4.6509e-06,7.3416e-08,,,,,,,,,,,
Sam 14,2.95173e-08,1.19048e-02,4.2212e-03,4.8839e-05,4.6851e-06,7.3016e-08,,,,,,           -5.6509,            3.5175,           -2.6722,            7.7383,           34.5265,           -9.0258,           -2.3871,           -0.2915,            0.6860,           33.6145,
Ref 15,2.96945e-08,,,,,,1.1972e-02,4.2064e-03,4.8976e-05,4.6473e-06,6.7703e-08,,,,,,,,,,,
Sam 15,2.91081e-08,1.19048e-02,4.2212e-03,4.8842e-05,4.6786e-06,6.8760e-08,,,,,,           -5.6442,            3.5469,           -2.6952,            6.9599,          -12.7268,           -9.0196,           -2.3579,           -0.3504,           -0.1454,          -13.6610,
Ref 16,2.93163e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6453e-06,7.1614e-08,,,,,,,,,,,
Sam 16,2.87196e-08,1.19048e-02,4.2212e-03,4.8851e-05,4.6776e-06,6.9435e-08,,,,,,           -5.6412,            3.5556,           -2.4369,            6.7652,          -21.1945,           -9.0167,           -2.3492,           -0.1031,           -0.3562,          -22.1406,
Ref 17,2.89095e-08,,,,,,1.1972e-02,4.2062e-03,4.8970e-05,4.6471e-06,7.0253e-08,,,,,,,,,,,
Sam 17,2.83206e-08,1.19046e-02,4.2211e-03,4.8841e-05,4.6815e-06,6.8077e-08,,,,,,           -5.6541,            3.5382,           -2.6938,            7.0577,          -20.8219,           -9.0298,           -2.3665,           -0.3302,           -0.0311,          -21.7215,
Ref 18,2.85148e-08,,,,,,1.1972e-02,4.2063e-03,4.8977e-05,4.6503e-06,6.8786e-08,,,,,,,,,,,
Sam 18,2.79325e-08,1.19046e-02,4.2212e-03,4.8845e-05,4.6827e-06,6.9010e-08,,,,,,           -5.6450,            3.5444,           -2.6266,            7.3783,           -0.5110,           -9.0203,           -2.3603,           -0.2783,            0.2749,           -1.4512,
Ref 19,2.81402e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6465e-06,6.9308e-08,,,,,,,,,,,
Sam 19,2.75499e-08,1.19046e-02,4.2211e-03,4.8836e-05,4.6823e-06,7.0916e-08,,,,,,           -5.6365,            3.5485,           -2.6937,            7.9880,           16.4510,           -9.0114,           -2.3563,           -0.3584,            0.8721,           15.4775,
Ref 20,2.78148e-08,,,,,,1.1972e-02,4.2062e-03,4.8966e-05,4.6438e-06,7.0234e-08,,,,,,,,,,,
Sam 20,2.71971e-08,1.19043e-02,4.2211e-03,4.8843e-05,4.6805e-06,6.3604e-08,,,,,,           -5.6607,            3.5432,           -2.5940,            7.2903,          -33.8009,           -9.0371,           -2.3616,           -0.2281,            0.1900,          -34.6911,
