Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 30, 2022 at 09:39 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, June 30, 2022 at 10:37 with Stable 1.71.5 on PS019

Data File = Data_17463 KDW-131_8-H-A.txt, Sample Weight = 506,                      Vial Location = 46,                       Initial Sam Beam = 1.4498e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7585e-08,                Max Ref Beam = 1.0606e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.57803e-08,,,,,,1.1974e-02,4.2068e-03,4.8956e-05,4.6414e-06,5.4477e-08,
Sam 1,5.51868e-08,1.20051e-02,4.2469e-03,4.9525e-05,4.7312e-06,5.5475e-08,,,,,,            2.5849,            9.5025,           11.5446,           18.9973,           24.9933,           -0.4675,            3.5509,           -0.4899,           -0.0962,            3.3414,
Ref 2,5.48212e-08,,,,,,1.1974e-02,4.2070e-03,4.8964e-05,4.6445e-06,5.3761e-08,,,,,,,,,,,
Sam 2,5.42389e-08,1.20052e-02,4.2470e-03,4.9527e-05,4.7301e-06,5.6853e-08,,,,,,            2.5853,            9.5004,           11.5494,           18.4261,           53.1844,           -0.4670,            3.5488,           -0.4835,           -0.6525,           30.9408,
Ref 3,5.39106e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6445e-06,5.4208e-08,,,,,,,,,,,
Sam 3,5.33247e-08,1.20052e-02,4.2470e-03,4.9532e-05,4.7295e-06,5.5772e-08,,,,,,            2.5779,            9.5079,           11.6902,           18.6006,           41.2232,           -0.4752,            3.5563,           -0.3441,           -0.4961,           19.2253,
Ref 4,5.30257e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6419e-06,5.2910e-08,,,,,,,,,,,
Sam 4,5.24414e-08,1.20053e-02,4.2471e-03,4.9528e-05,4.7312e-06,5.7871e-08,,,,,,            2.5793,            9.5139,           11.5531,           19.0200,           58.5980,           -0.4738,            3.5623,           -0.4868,           -0.0965,           36.2194,
Ref 5,5.21774e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6440e-06,5.6454e-08,,,,,,,,,,,
Sam 5,5.15862e-08,1.20053e-02,4.2471e-03,4.9535e-05,4.7330e-06,5.8241e-08,,,,,,            2.5851,            9.4993,           11.6480,           19.2656,           38.6885,           -0.4671,            3.5478,           -0.3848,            0.1734,           16.7534,
Ref 6,5.13383e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6430e-06,5.5684e-08,,,,,,,,,,,
Sam 6,5.07500e-08,1.20052e-02,4.2470e-03,4.9539e-05,4.7316e-06,5.6611e-08,,,,,,            2.5810,            9.4880,           11.7312,           19.0530,           33.8876,           -0.4711,            3.5365,           -0.2873,           -0.0128,           12.0806,
Ref 7,5.05185e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6433e-06,5.3812e-08,,,,,,,,,,,
Sam 7,4.99329e-08,1.20052e-02,4.2471e-03,4.9538e-05,4.7305e-06,5.7330e-08,,,,,,            2.5822,            9.5086,           11.7508,           18.8754,           54.8764,           -0.4706,            3.5570,           -0.2893,           -0.2279,           32.5839,
Ref 8,4.97212e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6424e-06,5.4891e-08,,,,,,,,,,,
Sam 8,4.91325e-08,1.20053e-02,4.2471e-03,4.9533e-05,4.7312e-06,5.5338e-08,,,,,,            2.5891,            9.4991,           11.6082,           18.8540,            4.3733,           -0.4629,            3.5475,           -0.4280,           -0.2300,          -16.8409,
Ref 9,4.89379e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6449e-06,5.5305e-08,,,,,,,,,,,
Sam 9,4.83483e-08,1.20052e-02,4.2471e-03,4.9543e-05,4.7286e-06,5.8184e-08,,,,,,            2.5843,            9.4955,           11.7443,           18.2512,           50.4737,           -0.4679,            3.5439,           -0.2850,           -0.8144,           28.2983,
Ref 10,4.81648e-08,,,,,,1.1974e-02,4.2072e-03,4.8969e-05,4.6428e-06,5.5473e-08,,,,,,,,,,,
Sam 10,4.75793e-08,1.20051e-02,4.2470e-03,4.9543e-05,4.7300e-06,5.6298e-08,,,,,,            2.5784,            9.4906,           11.7139,           18.8063,           14.4355,           -0.4740,            3.5391,           -0.3043,           -0.2601,           -6.9635,
Ref 11,4.74138e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6426e-06,5.5522e-08,,,,,,,,,,,
Sam 11,4.68274e-08,1.20050e-02,4.2470e-03,4.9534e-05,4.7314e-06,6.0108e-08,,,,,,            2.5749,            9.5006,           11.5998,           19.1527,           56.7623,           -0.4781,            3.5491,           -0.4232,            0.0600,           34.4541,
Ref 12,4.66747e-08,,,,,,1.1974e-02,4.2071e-03,4.8961e-05,4.6423e-06,5.8259e-08,,,,,,,,,,,
Sam 12,4.60935e-08,1.20050e-02,4.2470e-03,4.9538e-05,4.7285e-06,5.6340e-08,,,,,,            2.5819,            9.4961,           11.7104,           18.1303,           -2.8014,           -0.4705,            3.5446,           -0.3167,           -0.9343,          -23.8508,
Ref 13,4.59502e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6463e-06,5.4710e-08,,,,,,,,,,,
Sam 13,4.53668e-08,1.20050e-02,4.2470e-03,4.9538e-05,4.7348e-06,5.7861e-08,,,,,,            2.5883,            9.5017,           11.6778,           19.2126,           42.6994,           -0.4638,            3.5501,           -0.3609,            0.1168,           20.6715,
Ref 14,4.52390e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6449e-06,5.6286e-08,,,,,,,,,,,
Sam 14,4.46629e-08,1.20049e-02,4.2471e-03,4.9538e-05,4.7308e-06,5.7420e-08,,,,,,            2.5759,            9.5083,           11.6906,           18.5741,            2.4134,           -0.4773,            3.5567,           -0.3420,           -0.5228,          -18.7632,
Ref 15,4.45429e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6443e-06,5.8293e-08,,,,,,,,,,,
Sam 15,4.39693e-08,1.20048e-02,4.2470e-03,4.9533e-05,4.7332e-06,5.7517e-08,,,,,,            2.5707,            9.4950,           11.5233,           19.2264,          -13.6335,           -0.4824,            3.5435,           -0.4890,            0.1434,          -34.4407,
Ref 16,4.38589e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6435e-06,5.8330e-08,,,,,,,,,,,
Sam 16,4.32919e-08,1.20048e-02,4.2470e-03,4.9539e-05,4.7302e-06,6.1329e-08,,,,,,            2.5858,            9.4990,           11.6077,           18.5702,           39.3564,           -0.4664,            3.5475,           -0.4251,           -0.5084,           17.4070,
Ref 17,4.31931e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6445e-06,5.9693e-08,,,,,,,,,,,
Sam 17,4.26283e-08,1.20047e-02,4.2469e-03,4.9533e-05,4.7340e-06,6.3227e-08,,,,,,            2.5845,            9.5013,           11.5082,           19.4149,           49.3539,           -0.4679,            3.5497,           -0.5242,            0.3161,           27.1903,
Ref 18,4.25499e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6431e-06,6.0822e-08,,,,,,,,,,,
Sam 18,4.19745e-08,1.20045e-02,4.2469e-03,4.9540e-05,4.7291e-06,5.9053e-08,,,,,,            2.5709,            9.4848,           11.7031,           18.2490,          -57.5176,           -0.4818,            3.5334,           -0.3016,           -0.7954,          -77.3810,
Ref 19,4.18845e-08,,,,,,1.1974e-02,4.2070e-03,4.8966e-05,4.6456e-06,6.4521e-08,,,,,,,,,,,
Sam 19,4.13212e-08,1.20045e-02,4.2469e-03,4.9540e-05,4.7318e-06,6.3540e-08,,,,,,            2.5783,            9.4842,           11.6481,           18.5430,           -5.3621,           -0.4739,            3.5327,           -0.3629,           -0.5057,          -26.3311,
Ref 20,4.12552e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6457e-06,6.3234e-08,,,,,,,,,,,
Sam 20,4.19380e-08,1.19952e-02,4.2349e-03,4.9364e-05,4.7033e-06,6.0716e-08,,,,,,            1.8001,            6.6504,            8.0118,           12.3633,            2.7494,           -1.2043,            0.7143,           -0.3969,           -0.9688,          -12.1320,
Ref 21,4.07930e-08,,,,,,1.1974e-02,4.2069e-03,4.8969e-05,4.6460e-06,5.7835e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.04906e-08,,,,,,1.1974e-02,4.2069e-03,4.8976e-05,4.6467e-06,6.0921e-08,
Sam 1,3.99313e-08,1.20046e-02,4.2468e-03,4.9545e-05,4.7341e-06,6.2428e-08,,,,,,            2.5889,            9.4827,           11.6420,           18.9597,           40.9944,           -0.4626,            3.5312,           -0.3784,           -0.0938,           19.0396,
Ref 2,3.98879e-08,,,,,,1.1974e-02,4.2069e-03,4.8974e-05,4.6454e-06,5.9004e-08,,,,,,,,,,,
Sam 2,3.93231e-08,1.20047e-02,4.2469e-03,4.9544e-05,4.7332e-06,6.0757e-08,,,,,,            2.5924,            9.4945,           11.7576,           19.2996,           11.6217,           -0.4593,            3.5429,           -0.2791,            0.2165,           -9.7400,
Ref 3,3.93001e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6419e-06,6.1129e-08,,,,,,,,,,,
Sam 3,3.87335e-08,1.20046e-02,4.2469e-03,4.9545e-05,4.7287e-06,6.1691e-08,,,,,,            2.5870,            9.4889,           11.8489,           18.3426,           37.4310,           -0.4648,            3.5374,           -0.1781,           -0.7117,           15.5411,
Ref 4,3.87271e-08,,,,,,1.1974e-02,4.2069e-03,4.8967e-05,4.6453e-06,5.7776e-08,,,,,,,,,,,
Sam 4,3.81519e-08,1.20044e-02,4.2469e-03,4.9539e-05,4.7313e-06,5.8947e-08,,,,,,            2.5885,            9.4980,           11.6338,           18.4776,           15.1163,           -0.4636,            3.5464,           -0.4010,           -0.5972,           -6.3219,
Ref 5,3.81512e-08,,,,,,1.1973e-02,4.2069e-03,4.8971e-05,4.6457e-06,5.8367e-08,,,,,,,,,,,
Sam 5,3.75814e-08,1.20043e-02,4.2468e-03,4.9541e-05,4.7321e-06,5.7239e-08,,,,,,            2.5847,            9.4964,           11.6755,           18.5935,          -23.6993,           -0.4675,            3.5449,           -0.3544,           -0.4803,          -44.3111,
Ref 6,3.75909e-08,,,,,,1.1973e-02,4.2068e-03,4.8968e-05,4.6457e-06,5.8894e-08,,,,,,,,,,,
Sam 6,3.70262e-08,1.20042e-02,4.2468e-03,4.9543e-05,4.7311e-06,6.3434e-08,,,,,,            2.5810,            9.4922,           11.7233,           18.5885,           48.6663,           -0.4713,            3.5406,           -0.2992,           -0.4768,           26.5392,
Ref 7,3.70412e-08,,,,,,1.1973e-02,4.2068e-03,4.8971e-05,4.6438e-06,6.2110e-08,,,,,,,,,,,
Sam 7,3.64777e-08,1.20042e-02,4.2468e-03,4.9540e-05,4.7354e-06,6.2883e-08,,,,,,            2.5835,            9.4985,           11.6905,           19.5128,           26.1313,           -0.4689,            3.5470,           -0.3404,            0.4176,            4.4646,
Ref 8,3.65046e-08,,,,,,1.1973e-02,4.2068e-03,4.8965e-05,4.6458e-06,6.0441e-08,,,,,,,,,,,
Sam 8,3.59678e-08,1.20040e-02,4.2467e-03,4.9539e-05,4.7332e-06,5.6929e-08,,,,,,            2.5763,            9.4983,           11.6555,           19.0548,          -35.8015,           -0.4765,            3.5467,           -0.3673,           -0.0314,          -56.1528,
Ref 9,3.59840e-08,,,,,,1.1973e-02,4.2067e-03,4.8972e-05,4.6436e-06,5.7624e-08,,,,,,,,,,,
Sam 9,3.54194e-08,1.20042e-02,4.2467e-03,4.9541e-05,4.7344e-06,5.8658e-08,,,,,,            2.5921,            9.5095,           11.6517,           19.6338,            7.8946,           -0.4601,            3.5578,           -0.3981,            0.5146,          -13.4170,
Ref 10,3.54600e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6429e-06,5.8783e-08,,,,,,,,,,,
Sam 10,3.48980e-08,1.20041e-02,4.2467e-03,4.9544e-05,4.7314e-06,6.4643e-08,,,,,,            2.5833,            9.5105,           11.6801,           18.5293,           74.9471,           -0.4695,            3.5589,           -0.3621,           -0.5712,           52.2254,
Ref 11,3.49464e-08,,,,,,1.1973e-02,4.2067e-03,4.8976e-05,4.6477e-06,6.1509e-08,,,,,,,,,,,
Sam 11,3.43890e-08,1.20039e-02,4.2467e-03,4.9546e-05,4.7316e-06,6.1383e-08,,,,,,            2.5736,            9.5094,           11.6983,           18.6856,           27.2537,           -0.4798,            3.5578,           -0.3331,           -0.4157,            5.5526,
Ref 12,3.44492e-08,,,,,,1.1973e-02,4.2067e-03,4.8970e-05,4.6418e-06,5.7975e-08,,,,,,,,,,,
Sam 12,3.38944e-08,1.20039e-02,4.2466e-03,4.9543e-05,4.7336e-06,6.1202e-08,,,,,,            2.5789,            9.4845,           11.6710,           19.5375,           32.2669,           -0.4732,            3.5330,           -0.3413,            0.4696,           10.5032,
Ref 13,3.39770e-08,,,,,,1.1973e-02,4.2066e-03,4.8973e-05,4.6441e-06,6.0622e-08,,,,,,,,,,,
Sam 13,3.34126e-08,1.20039e-02,4.2465e-03,4.9536e-05,4.7354e-06,6.4237e-08,,,,,,            2.5890,            9.4941,           11.5035,           19.6012,           74.8696,           -0.4629,            3.5426,           -0.5265,            0.5130,           52.1767,
Ref 14,3.34859e-08,,,,,,1.1973e-02,4.2066e-03,4.8973e-05,4.6446e-06,5.8889e-08,,,,,,,,,,,
Sam 14,3.29374e-08,1.20038e-02,4.2466e-03,4.9539e-05,4.7327e-06,5.8866e-08,,,,,,            2.5848,            9.5065,           11.5387,           19.0244,           27.8379,           -0.4678,            3.5549,           -0.4994,           -0.0774,            6.1183,
Ref 15,3.30237e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6442e-06,5.5631e-08,,,,,,,,,,,
Sam 15,3.24712e-08,1.20038e-02,4.2466e-03,4.9541e-05,4.7295e-06,5.6792e-08,,,,,,            2.5820,            9.5038,           11.6510,           18.1216,           21.8401,           -0.4707,            3.5522,           -0.3829,           -0.9580,            0.2555,
Ref 16,3.25647e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6464e-06,5.5526e-08,,,,,,,,,,,
Sam 16,3.20265e-08,1.20037e-02,4.2465e-03,4.9546e-05,4.7306e-06,5.8307e-08,,,,,,            2.5749,            9.4882,           11.8237,           18.1708,           35.8153,           -0.4777,            3.5367,           -0.1899,           -0.8789,           13.9739,
Ref 17,3.21209e-08,,,,,,1.1973e-02,4.2066e-03,4.8967e-05,4.6459e-06,5.7066e-08,,,,,,,,,,,
Sam 17,3.15602e-08,1.20038e-02,4.2464e-03,4.9536e-05,4.7345e-06,5.8709e-08,,,,,,            2.5857,            9.4729,           11.5797,           18.8404,          -44.4061,           -0.4657,            3.5215,           -0.4272,           -0.1915,          -64.5388,
Ref 18,3.16718e-08,,,,,,1.1973e-02,4.2066e-03,4.8970e-05,4.6480e-06,6.5870e-08,,,,,,,,,,,
Sam 18,3.11413e-08,1.20035e-02,4.2464e-03,4.9545e-05,4.7296e-06,6.1767e-08,,,,,,            2.5710,            9.4816,           11.7034,           17.8801,          -29.8206,           -0.4815,            3.5301,           -0.2983,           -1.1510,          -50.2619,
Ref 19,3.12419e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6450e-06,6.1431e-08,,,,,,,,,,,
Sam 19,3.06757e-08,1.20036e-02,4.2464e-03,4.9546e-05,4.7360e-06,5.9667e-08,,,,,,            2.5856,            9.4977,           11.7101,           20.0609,          -10.9849,           -0.4666,            3.5462,           -0.3223,            0.9569,          -31.8684,
Ref 20,3.08021e-08,,,,,,1.1973e-02,4.2065e-03,4.8969e-05,4.6407e-06,5.9214e-08,,,,,,,,,,,
Sam 20,3.02423e-08,1.20034e-02,4.2464e-03,4.9540e-05,4.7323e-06,5.5757e-08,,,,,,            2.5688,            9.4857,           11.6400,           18.9060,          -61.8960,           -0.4841,            3.5342,           -0.3627,           -0.1524,          -81.6666,
Ref 21,3.03792e-08,,,,,,1.1973e-02,4.2065e-03,4.8971e-05,4.6484e-06,5.9661e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.01740e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6478e-06,5.3999e-08,
Sam 1,2.96124e-08,1.20035e-02,4.2464e-03,4.9544e-05,4.7338e-06,5.5826e-08,,,,,,            2.5760,            9.4960,           11.6474,           18.4034,           37.8652,           -0.4768,            3.5445,           -0.3728,           -0.6661,           15.9639,
Ref 2,2.97611e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6487e-06,5.3576e-08,,,,,,,,,,,
Sam 2,2.92032e-08,1.20034e-02,4.2463e-03,4.9541e-05,4.7374e-06,5.6210e-08,,,,,,            2.5752,            9.4907,           11.6474,           19.5018,           41.9724,           -0.4775,            3.5392,           -0.3667,            0.4224,           19.9960,
Ref 3,2.93600e-08,,,,,,1.1973e-02,4.2064e-03,4.8969e-05,4.6448e-06,5.4320e-08,,,,,,,,,,,
Sam 3,2.88010e-08,1.20032e-02,4.2463e-03,4.9536e-05,4.7324e-06,6.1074e-08,,,,,,            2.5701,            9.4774,           11.5063,           18.8473,           41.1327,           -0.4824,            3.5260,           -0.4881,           -0.1937,           19.2057,
Ref 4,2.89622e-08,,,,,,1.1972e-02,4.2065e-03,4.8976e-05,4.6449e-06,6.3062e-08,,,,,,,,,,,
Sam 4,2.84331e-08,1.20031e-02,4.2461e-03,4.9536e-05,4.7291e-06,6.4524e-08,,,,,,            2.5652,            9.4469,           11.4647,           17.9127,           50.0624,           -0.4866,            3.4956,           -0.4943,           -1.0504,           28.0138,
Ref 5,2.85802e-08,,,,,,1.1972e-02,4.2063e-03,4.8974e-05,4.6468e-06,5.9813e-08,,,,,,,,,,,
Sam 5,2.80220e-08,1.20032e-02,4.2463e-03,4.9542e-05,4.7325e-06,6.4412e-08,,,,,,            2.5752,            9.4892,           11.5870,           18.3864,            8.7372,           -0.4774,            3.5377,           -0.4251,           -0.6693,          -12.5356,
Ref 6,2.81943e-08,,,,,,1.1972e-02,4.2064e-03,4.8975e-05,4.6473e-06,6.7950e-08,,,,,,,,,,,
Sam 6,2.76382e-08,1.20032e-02,4.2462e-03,4.9541e-05,4.7361e-06,6.8729e-08,,,,,,            2.5717,            9.4735,           11.5480,           19.0064,           35.8129,           -0.4806,            3.5221,           -0.4447,           -0.0298,           14.0040,
Ref 7,2.78168e-08,,,,,,1.1972e-02,4.2063e-03,4.8976e-05,4.6482e-06,6.4733e-08,,,,,,,,,,,
Sam 7,2.72606e-08,1.20031e-02,4.2462e-03,4.9542e-05,4.7317e-06,6.3837e-08,,,,,,            2.5768,            9.4878,           11.6133,           18.1043,          -35.4459,           -0.4756,            3.5363,           -0.3994,           -0.9434,          -55.7859,
Ref 8,2.74466e-08,,,,,,1.1972e-02,4.2062e-03,4.8972e-05,4.6469e-06,6.7652e-08,,,,,,,,,,,
Sam 8,2.68929e-08,1.20030e-02,4.2461e-03,4.9540e-05,4.7385e-06,6.8539e-08,,,,,,            2.5773,            9.4913,           11.5955,           19.2809,           32.2424,           -0.4752,            3.5398,           -0.4208,            0.2042,           10.4676,
Ref 9,2.70824e-08,,,,,,1.1972e-02,4.2062e-03,4.8972e-05,4.6508e-06,6.5128e-08,,,,,,,,,,,
Sam 9,2.65306e-08,1.20030e-02,4.2462e-03,4.9534e-05,4.7364e-06,6.8404e-08,,,,,,            2.5859,            9.5188,           11.4626,           18.5774,           35.3332,           -0.4670,            3.5671,           -0.5877,           -0.5403,           13.4298,
Ref 10,2.67926e-08,,,,,,1.1972e-02,4.2061e-03,4.8974e-05,4.6491e-06,6.7020e-08,,,,,,,,,,,
Sam 10,2.62148e-08,1.20029e-02,4.2461e-03,4.9545e-05,4.7331e-06,7.4023e-08,,,,,,            2.5752,            9.5079,           11.6626,           18.1153,           70.9661,           -0.4780,            3.5563,           -0.3686,           -0.9723,           48.3428,
Ref 11,2.64033e-08,,,,,,1.1972e-02,4.2061e-03,4.8974e-05,4.6486e-06,7.1246e-08,,,,,,,,,,,
Sam 11,2.58460e-08,1.20028e-02,4.2461e-03,4.9543e-05,4.7366e-06,7.3875e-08,,,,,,            2.5666,            9.4923,           11.6216,           19.1516,           51.3756,           -0.4866,            3.5408,           -0.3850,            0.0755,           29.2069,
Ref 12,2.60485e-08,,,,,,1.1972e-02,4.2061e-03,4.8974e-05,4.6466e-06,6.9271e-08,,,,,,,,,,,
Sam 12,2.54981e-08,1.20028e-02,4.2459e-03,4.9552e-05,4.7380e-06,7.1664e-08,,,,,,            2.5734,            9.4641,           11.7742,           19.5093,           25.5489,           -0.4785,            3.5127,           -0.2137,            0.4824,            3.9727,
Ref 13,2.57234e-08,,,,,,1.1972e-02,4.2061e-03,4.8976e-05,4.6481e-06,7.0494e-08,,,,,,,,,,,
Sam 13,2.51680e-08,1.20027e-02,4.2460e-03,4.9546e-05,4.7369e-06,7.1397e-08,,,,,,            2.5683,            9.4743,           11.6035,           19.5879,          -47.7234,           -0.4842,            3.5229,           -0.3871,            0.5393,          -67.7715,
Ref 14,2.53799e-08,,,,,,1.1972e-02,4.2062e-03,4.8980e-05,4.6437e-06,7.9516e-08,,,,,,,,,,,
Sam 14,2.48329e-08,1.20027e-02,4.2460e-03,4.9543e-05,4.7388e-06,8.1699e-08,,,,,,            2.5776,            9.4901,           11.4906,           19.6461,           67.4046,           -0.4749,            3.5386,           -0.5236,            0.5650,           44.8902,
Ref 15,2.50498e-08,,,,,,1.1972e-02,4.2061e-03,4.8981e-05,4.6513e-06,7.3525e-08,,,,,,,,,,,
Sam 15,2.45030e-08,1.20025e-02,4.2460e-03,4.9542e-05,4.7390e-06,8.1916e-08,,,,,,            2.5580,            9.4965,           11.5184,           18.9976,           87.4014,           -0.4960,            3.5450,           -0.4822,           -0.0839,           64.4742,
Ref 16,2.47287e-08,,,,,,1.1972e-02,4.2061e-03,4.8975e-05,4.6501e-06,7.7162e-08,,,,,,,,,,,
Sam 16,2.41934e-08,1.20026e-02,4.2460e-03,4.9548e-05,4.7371e-06,8.2721e-08,,,,,,            2.5668,            9.4910,           11.6962,           18.7852,           66.9259,           -0.4864,            3.5396,           -0.3103,           -0.2816,           44.4316,
Ref 17,2.44217e-08,,,,,,1.1972e-02,4.2060e-03,4.8975e-05,4.6495e-06,7.7906e-08,,,,,,,,,,,
Sam 17,2.38748e-08,1.20026e-02,4.2460e-03,4.9541e-05,4.7383e-06,7.5922e-08,,,,,,            2.5774,            9.4931,           11.4911,           19.1728,            0.2931,           -0.4752,            3.5416,           -0.5258,            0.0947,          -20.8113,
Ref 18,2.41101e-08,,,,,,1.1972e-02,4.2060e-03,4.8981e-05,4.6488e-06,7.3869e-08,,,,,,,,,,,
Sam 18,2.35665e-08,1.20025e-02,4.2458e-03,4.9543e-05,4.7384e-06,8.4678e-08,,,,,,            2.5739,            9.4750,           11.5328,           19.0791,           85.4399,           -0.4783,            3.5236,           -0.4634,            0.0387,           62.5806,
Ref 19,2.38043e-08,,,,,,1.1972e-02,4.2059e-03,4.8975e-05,4.6506e-06,8.2210e-08,,,,,,,,,,,
Sam 19,2.32639e-08,1.20024e-02,4.2459e-03,4.9546e-05,4.7362e-06,8.3405e-08,,,,,,            2.5678,            9.5002,           11.6350,           18.0957,           21.2264,           -0.4856,            3.5487,           -0.3808,           -0.9763,           -0.3234,
Ref 20,2.35074e-08,,,,,,1.1972e-02,4.2059e-03,4.8978e-05,4.6535e-06,8.1126e-08,,,,,,,,,,,
Sam 20,2.29630e-08,1.20025e-02,4.2459e-03,4.9552e-05,4.7405e-06,8.4194e-08,,,,,,            2.5830,            9.4981,           11.6534,           18.4926,           28.8221,           -0.4694,            3.5465,           -0.3761,           -0.5826,            7.1001,
Ref 21,2.32222e-08,,,,,,1.1972e-02,4.2059e-03,4.8984e-05,4.6554e-06,8.2553e-08,,,,,,,,,,,


