Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 30, 2022 at 13:46 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, June 30, 2022 at 14:45 with Stable 1.71.5 on PS019

Data File = Data_17466 ETH-3.txt,         Sample Weight = 460,                      Vial Location = 49,                       Initial Sam Beam = 1.5015e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5627e-08,                Max Ref Beam = 1.0608e-07,                

Analysis undertaken at mass 46.02644
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.82223e-08,,,,,,1.1974e-02,4.2068e-03,4.8960e-05,4.6452e-06,5.5816e-08,
Sam 1,5.76195e-08,1.20280e-02,4.2566e-03,4.9742e-05,4.7547e-06,5.6677e-08,,,,,,            4.4936,           11.8268,           15.9832,           23.5407,           23.5633,            1.4837,            5.8598,           -0.3349,           -0.2470,           -4.5959,
Ref 2,5.72164e-08,,,,,,1.1974e-02,4.2069e-03,4.8960e-05,4.6455e-06,5.4919e-08,,,,,,,,,,,
Sam 2,5.66378e-08,1.20281e-02,4.2568e-03,4.9747e-05,4.7546e-06,5.6254e-08,,,,,,            4.4849,           11.8323,           16.0664,           23.4660,            2.6171,            1.4742,            5.8653,           -0.2494,           -0.3307,          -24.9672,
Ref 3,5.62728e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6457e-06,5.7315e-08,,,,,,,,,,,
Sam 3,5.56832e-08,1.20281e-02,4.2568e-03,4.9746e-05,4.7537e-06,5.7113e-08,,,,,,            4.4888,           11.8256,           15.9868,           23.3080,           20.1545,            1.4786,            5.8586,           -0.3253,           -0.4719,           -7.9035,
Ref 4,5.53484e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6452e-06,5.4631e-08,,,,,,,,,,,
Sam 4,5.47506e-08,1.20280e-02,4.2568e-03,4.9751e-05,4.7544e-06,5.6596e-08,,,,,,            4.4822,           11.8246,           16.0144,           23.5361,           25.3638,            1.4716,            5.8576,           -0.2903,           -0.2471,           -2.8286,
Ref 5,5.44422e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6450e-06,5.5770e-08,,,,,,,,,,,
Sam 5,5.38418e-08,1.20281e-02,4.2568e-03,4.9755e-05,4.7567e-06,5.7120e-08,,,,,,            4.4865,           11.8312,           16.1572,           23.9008,           16.5352,            1.4759,            5.8642,           -0.1606,            0.0961,          -11.4316,
Ref 6,5.35614e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6465e-06,5.6618e-08,,,,,,,,,,,
Sam 6,5.29560e-08,1.20280e-02,4.2568e-03,4.9751e-05,4.7561e-06,5.8055e-08,,,,,,            4.4809,           11.8184,           16.1106,           23.5281,           33.4765,            1.4704,            5.8515,           -0.1883,           -0.2427,            5.0746,
Ref 7,5.26971e-08,,,,,,1.1974e-02,4.2072e-03,4.8963e-05,4.6471e-06,5.5724e-08,,,,,,,,,,,
Sam 7,5.20881e-08,1.20281e-02,4.2569e-03,4.9748e-05,4.7562e-06,5.8263e-08,,,,,,            4.4871,           11.8210,           15.9994,           23.3365,           51.0050,            1.4770,            5.8540,           -0.3066,           -0.4349,           22.1094,
Ref 8,5.18511e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6484e-06,5.5143e-08,,,,,,,,,,,
Sam 8,5.12424e-08,1.20280e-02,4.2568e-03,4.9753e-05,4.7605e-06,5.7107e-08,,,,,,            4.4780,           11.8049,           16.0720,           24.2788,           46.1502,            1.4678,            5.8380,           -0.2101,            0.5175,           17.4300,
Ref 9,5.10229e-08,,,,,,1.1974e-02,4.2072e-03,4.8966e-05,4.6469e-06,5.4023e-08,,,,,,,,,,,
Sam 9,5.04141e-08,1.20280e-02,4.2569e-03,4.9747e-05,4.7572e-06,6.0872e-08,,,,,,            4.4805,           11.8353,           15.9060,           23.9077,           58.6412,            1.4694,            5.8682,           -0.4055,            0.0948,           29.5144,
Ref 10,5.02103e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6454e-06,6.1034e-08,,,,,,,,,,,
Sam 10,4.95817e-08,1.20280e-02,4.2569e-03,4.9756e-05,4.7599e-06,5.9914e-08,,,,,,            4.4847,           11.8356,           16.0331,           24.1363,          -10.4369,            1.4739,            5.8686,           -0.2852,            0.3174,          -37.6681,
Ref 11,4.93918e-08,,,,,,1.1974e-02,4.2071e-03,4.8972e-05,4.6501e-06,6.0050e-08,,,,,,,,,,,
Sam 11,4.87832e-08,1.20278e-02,4.2569e-03,4.9754e-05,4.7555e-06,5.9835e-08,,,,,,            4.4787,           11.8211,           15.9798,           22.9376,           11.0068,            1.4680,            5.8541,           -0.3173,           -0.8247,          -16.7803,
Ref 12,4.86139e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6477e-06,5.8304e-08,,,,,,,,,,,
Sam 12,4.80076e-08,1.20277e-02,4.2569e-03,4.9757e-05,4.7556e-06,6.2068e-08,,,,,,            4.4742,           11.8222,           16.0497,           23.1044,           39.3867,            1.4632,            5.8553,           -0.2450,           -0.6640,           10.8220,
Ref 13,4.78534e-08,,,,,,1.1974e-02,4.2071e-03,4.8971e-05,4.6488e-06,6.1151e-08,,,,,,,,,,,
Sam 13,4.72555e-08,1.20278e-02,4.2569e-03,4.9760e-05,4.7599e-06,6.2334e-08,,,,,,            4.4847,           11.8560,           16.1020,           24.1398,           22.5700,            1.4731,            5.8889,           -0.2372,            0.2805,           -5.6089,
Ref 14,4.71186e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6466e-06,6.0761e-08,,,,,,,,,,,
Sam 14,4.65160e-08,1.20277e-02,4.2569e-03,4.9761e-05,4.7556e-06,6.2563e-08,,,,,,            4.4757,           11.8392,           16.0716,           23.2845,           19.7559,            1.4642,            5.8721,           -0.2416,           -0.5215,           -8.3035,
Ref 15,4.63871e-08,,,,,,1.1974e-02,4.2071e-03,4.8976e-05,4.6481e-06,6.1951e-08,,,,,,,,,,,
Sam 15,4.57970e-08,1.20277e-02,4.2568e-03,4.9760e-05,4.7580e-06,6.3600e-08,,,,,,            4.4771,           11.8022,           16.0444,           23.4680,           19.7254,            1.4670,            5.8353,           -0.2338,           -0.2692,           -8.2633,
Ref 16,4.56691e-08,,,,,,1.1974e-02,4.2072e-03,4.8973e-05,4.6497e-06,6.2796e-08,,,,,,,,,,,
Sam 16,4.50732e-08,1.20277e-02,4.2568e-03,4.9759e-05,4.7578e-06,6.5613e-08,,,,,,            4.4771,           11.8051,           16.0302,           23.2382,           48.2899,            1.4669,            5.8383,           -0.2506,           -0.4996,           19.5113,
Ref 17,4.49681e-08,,,,,,1.1974e-02,4.2071e-03,4.8975e-05,4.6497e-06,6.2383e-08,,,,,,,,,,,
Sam 17,4.43711e-08,1.20276e-02,4.2568e-03,4.9762e-05,4.7589e-06,6.3407e-08,,,,,,            4.4779,           11.8282,           15.9900,           23.5468,           12.5061,            1.4670,            5.8612,           -0.3134,           -0.2437,          -15.3351,
Ref 18,4.42757e-08,,,,,,1.1974e-02,4.2071e-03,4.8982e-05,4.6491e-06,6.2870e-08,,,,,,,,,,,
Sam 18,4.36841e-08,1.20277e-02,4.2568e-03,4.9769e-05,4.7582e-06,6.3795e-08,,,,,,            4.4853,           11.8102,           16.0879,           23.4599,            0.0108,            1.4754,            5.8433,           -0.2072,           -0.2931,          -27.4604,
Ref 19,4.36090e-08,,,,,,1.1974e-02,4.2071e-03,4.8980e-05,4.6492e-06,6.4733e-08,,,,,,,,,,,
Sam 19,4.30113e-08,1.20275e-02,4.2568e-03,4.9761e-05,4.7597e-06,6.6539e-08,,,,,,            4.4782,           11.8116,           15.9418,           23.6627,           -6.1078,            1.4678,            5.8447,           -0.3449,           -0.0977,          -33.4062,
Ref 20,4.29377e-08,,,,,,1.1974e-02,4.2071e-03,4.8979e-05,4.6501e-06,6.9197e-08,,,,,,,,,,,
Sam 20,4.23358e-08,1.20274e-02,4.2568e-03,4.9763e-05,4.7617e-06,6.9602e-08,,,,,,            4.4750,           11.8144,           16.0374,           24.1110,           24.6639,            1.4643,            5.8475,           -0.2504,            0.3347,           -3.4818,
Ref 21,4.22743e-08,,,,,,1.1974e-02,4.2070e-03,4.8976e-05,4.6491e-06,6.6637e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.19561e-08,,,,,,1.1974e-02,4.2070e-03,4.8981e-05,4.6480e-06,6.4824e-08,
Sam 1,4.13616e-08,1.20274e-02,4.2567e-03,4.9763e-05,4.7628e-06,7.3801e-08,,,,,,            4.4761,           11.8265,           15.9881,           24.3279,           76.4510,            1.4651,            5.8595,           -0.3118,            0.5226,           46.8570,
Ref 2,4.13221e-08,,,,,,1.1974e-02,4.2070e-03,4.8979e-05,4.6515e-06,7.2353e-08,,,,,,,,,,,
Sam 2,4.07402e-08,1.20273e-02,4.2567e-03,4.9767e-05,4.7614e-06,7.7104e-08,,,,,,            4.4801,           11.8111,           16.0565,           23.4077,           56.4296,            1.4698,            5.8442,           -0.2336,           -0.3458,           27.4123,
Ref 3,4.07089e-08,,,,,,1.1974e-02,4.2070e-03,4.8982e-05,4.6535e-06,7.3627e-08,,,,,,,,,,,
Sam 3,4.01076e-08,1.20272e-02,4.2566e-03,4.9763e-05,4.7652e-06,8.1164e-08,,,,,,            4.4814,           11.8107,           15.9901,           23.9848,          102.5648,            1.4712,            5.8437,           -0.2998,            0.2188,           72.2798,
Ref 4,4.00870e-08,,,,,,1.1974e-02,4.2069e-03,4.8979e-05,4.6537e-06,7.3601e-08,,,,,,,,,,,
Sam 4,3.94941e-08,1.20272e-02,4.2566e-03,4.9760e-05,4.7643e-06,7.5512e-08,,,,,,            4.4801,           11.8145,           15.9302,           23.7415,           32.1449,            1.4697,            5.8476,           -0.3611,           -0.0264,            3.7882,
Ref 5,3.95044e-08,,,,,,1.1973e-02,4.2069e-03,4.8980e-05,4.6540e-06,7.2713e-08,,,,,,,,,,,
Sam 5,3.89069e-08,1.20271e-02,4.2567e-03,4.9762e-05,4.7638e-06,7.1311e-08,,,,,,            4.4870,           11.8431,           15.9307,           23.3819,           -1.1601,            1.4761,            5.8760,           -0.3956,           -0.4343,          -28.6630,
Ref 6,3.89179e-08,,,,,,1.1973e-02,4.2069e-03,4.8984e-05,4.6558e-06,7.0055e-08,,,,,,,,,,,
Sam 6,3.83228e-08,1.20270e-02,4.2566e-03,4.9765e-05,4.7622e-06,7.3004e-08,,,,,,            4.4818,           11.8126,           15.9636,           23.3291,           22.7264,            1.4716,            5.8457,           -0.3282,           -0.4256,           -5.3699,
Ref 7,3.83448e-08,,,,,,1.1973e-02,4.2069e-03,4.8982e-05,4.6515e-06,7.2729e-08,,,,,,,,,,,
Sam 7,3.77509e-08,1.20269e-02,4.2566e-03,4.9767e-05,4.7617e-06,7.0539e-08,,,,,,            4.4767,           11.8169,           16.0438,           23.3927,          -21.2359,            1.4661,            5.8500,           -0.2483,           -0.3719,          -48.1272,
Ref 8,3.77817e-08,,,,,,1.1973e-02,4.2068e-03,4.8980e-05,4.6542e-06,7.1399e-08,,,,,,,,,,,
Sam 8,3.71897e-08,1.20269e-02,4.2565e-03,4.9760e-05,4.7629e-06,7.2661e-08,,,,,,            4.4791,           11.8265,           15.8968,           23.3298,           20.0094,            1.4683,            5.8595,           -0.4047,           -0.4522,           -8.0361,
Ref 9,3.72828e-08,,,,,,1.1973e-02,4.2067e-03,4.8983e-05,4.6544e-06,7.1070e-08,,,,,,,,,,,
Sam 9,3.66577e-08,1.20268e-02,4.2565e-03,4.9763e-05,4.7586e-06,7.0228e-08,,,,,,            4.4769,           11.8201,           15.9525,           22.6522,          -29.0563,            1.4661,            5.8531,           -0.3413,           -1.1014,          -55.7386,
Ref 10,3.66959e-08,,,,,,1.1973e-02,4.2068e-03,4.8981e-05,4.6519e-06,7.3609e-08,,,,,,,,,,,
Sam 10,3.61033e-08,1.20268e-02,4.2565e-03,4.9769e-05,4.7610e-06,7.4818e-08,,,,,,            4.4723,           11.8181,           16.0899,           23.4351,            8.4870,            1.4612,            5.8512,           -0.1996,           -0.3330,          -19.2186,
Ref 11,3.61692e-08,,,,,,1.1973e-02,4.2068e-03,4.8981e-05,4.6521e-06,7.4775e-08,,,,,,,,,,,
Sam 11,3.55730e-08,1.20267e-02,4.2564e-03,4.9768e-05,4.7615e-06,7.4943e-08,,,,,,            4.4750,           11.8061,           16.0464,           23.1940,            0.9735,            1.4646,            5.8392,           -0.2335,           -0.5446,          -26.5058,
Ref 12,3.56383e-08,,,,,,1.1973e-02,4.2067e-03,4.8983e-05,4.6551e-06,7.4966e-08,,,,,,,,,,,
Sam 12,3.50550e-08,1.20266e-02,4.2564e-03,4.9756e-05,4.7617e-06,7.2041e-08,,,,,,            4.4767,           11.8178,           15.7879,           22.9172,          -20.8263,            1.4660,            5.8509,           -0.5009,           -0.8382,          -47.7304,
Ref 13,3.51284e-08,,,,,,1.1973e-02,4.2067e-03,4.8983e-05,4.6551e-06,7.2160e-08,,,,,,,,,,,
Sam 13,3.45481e-08,1.20266e-02,4.2564e-03,4.9762e-05,4.7641e-06,7.3403e-08,,,,,,            4.4815,           11.8200,           15.8053,           23.7171,           -2.3725,            1.4710,            5.8531,           -0.4909,           -0.0613,          -29.7928,
Ref 14,3.46276e-08,,,,,,1.1973e-02,4.2066e-03,4.8992e-05,4.6524e-06,7.5016e-08,,,,,,,,,,,
Sam 14,3.40493e-08,1.20266e-02,4.2564e-03,4.9756e-05,4.7585e-06,7.8181e-08,,,,,,            4.4863,           11.8323,           15.7103,           22.7784,           71.5279,            1.4757,            5.8653,           -0.6012,           -1.0024,           42.0462,
Ref 15,3.41389e-08,,,,,,1.1973e-02,4.2067e-03,4.8980e-05,4.6527e-06,7.0878e-08,,,,,,,,,,,
Sam 15,3.35592e-08,1.20265e-02,4.2564e-03,4.9762e-05,4.7648e-06,7.3296e-08,,,,,,            4.4738,           11.8248,           15.9534,           23.9170,           37.8130,            1.4627,            5.8578,           -0.3419,            0.1247,            9.2871,
Ref 16,3.36667e-08,,,,,,1.1973e-02,4.2066e-03,4.8981e-05,4.6544e-06,7.0370e-08,,,,,,,,,,,
Sam 16,3.30800e-08,1.20264e-02,4.2563e-03,4.9763e-05,4.7652e-06,7.3217e-08,,,,,,            4.4751,           11.8089,           15.8941,           23.8562,           15.7778,            1.4646,            5.8420,           -0.3861,            0.0966,          -12.1133,
Ref 17,3.32049e-08,,,,,,1.1973e-02,4.2066e-03,4.8988e-05,4.6538e-06,7.3815e-08,,,,,,,,,,,
Sam 17,3.26095e-08,1.20263e-02,4.2562e-03,4.9768e-05,4.7648e-06,7.7115e-08,,,,,,            4.4788,           11.8105,           15.9946,           23.7614,           20.1075,            1.4685,            5.8436,           -0.2926,            0.0010,           -7.9095,
Ref 18,3.27245e-08,,,,,,1.1973e-02,4.2066e-03,4.8981e-05,4.6547e-06,7.7401e-08,,,,,,,,,,,
Sam 18,3.21398e-08,1.20262e-02,4.2562e-03,4.9764e-05,4.7596e-06,7.6684e-08,,,,,,            4.4729,           11.8093,           15.9185,           22.7891,          -22.8642,            1.4623,            5.8424,           -0.3603,           -0.9465,          -49.6928,
Ref 19,3.22681e-08,,,,,,1.1973e-02,4.2066e-03,4.8988e-05,4.6523e-06,7.9571e-08,,,,,,,,,,,
Sam 19,3.16844e-08,1.20263e-02,4.2562e-03,4.9762e-05,4.7627e-06,8.3006e-08,,,,,,            4.4832,           11.8150,           15.8576,           23.3963,           43.5977,            1.4730,            5.8480,           -0.4363,           -0.3646,           14.9219,
Ref 20,3.18222e-08,,,,,,1.1973e-02,4.2065e-03,4.8983e-05,4.6553e-06,7.9506e-08,,,,,,,,,,,
Sam 20,3.12331e-08,1.20262e-02,4.2562e-03,4.9762e-05,4.7651e-06,8.5517e-08,,,,,,            4.4834,           11.8178,           15.8763,           23.2515,           59.8232,            1.4732,            5.8508,           -0.4208,           -0.5115,           30.6957,
Ref 21,3.13782e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6583e-06,8.1890e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.11647e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6557e-06,8.1120e-08,
Sam 1,3.05786e-08,1.20261e-02,4.2562e-03,4.9768e-05,4.7660e-06,8.4663e-08,,,,,,            4.4609,           11.8093,           15.9947,           23.6662,           14.6878,            1.4495,            5.8425,           -0.2730,           -0.0898,          -13.1594,
Ref 2,3.07535e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6558e-06,8.5786e-08,,,,,,,,,,,
Sam 2,3.01549e-08,1.20262e-02,4.2561e-03,4.9771e-05,4.7689e-06,8.4483e-08,,,,,,            4.4765,           11.8071,           15.9915,           23.9378,          -41.3681,            1.4662,            5.8402,           -0.2900,            0.1799,          -67.6882,
Ref 3,3.03180e-08,,,,,,1.1973e-02,4.2064e-03,4.8991e-05,4.6590e-06,9.0504e-08,,,,,,,,,,,
Sam 3,2.97321e-08,1.20262e-02,4.2562e-03,4.9761e-05,4.7664e-06,8.8968e-08,,,,,,            4.4806,           11.8212,           15.8067,           23.0793,           -3.1049,            1.4701,            5.8543,           -0.4898,           -0.6865,          -30.5064,
Ref 4,2.99035e-08,,,,,,1.1973e-02,4.2064e-03,4.8982e-05,4.6587e-06,8.7968e-08,,,,,,,,,,,
Sam 4,2.93188e-08,1.20260e-02,4.2561e-03,4.9768e-05,4.7628e-06,8.5093e-08,,,,,,            4.4749,           11.8170,           15.9991,           22.4425,          -12.3247,            1.4641,            5.8501,           -0.2904,           -1.3002,          -39.4591,
Ref 5,2.95142e-08,,,,,,1.1972e-02,4.2064e-03,4.8987e-05,4.6578e-06,8.4317e-08,,,,,,,,,,,
Sam 5,2.89251e-08,1.20260e-02,4.2562e-03,4.9768e-05,4.7674e-06,8.6912e-08,,,,,,            4.4886,           11.8265,           15.9383,           23.5599,           24.1626,            1.4784,            5.8595,           -0.3737,           -0.2276,           -4.0071,
Ref 6,2.91058e-08,,,,,,1.1972e-02,4.2064e-03,4.8988e-05,4.6574e-06,8.5414e-08,,,,,,,,,,,
Sam 6,2.85757e-08,1.20258e-02,4.2560e-03,4.9771e-05,4.7672e-06,8.7556e-08,,,,,,            4.4708,           11.7924,           15.9769,           23.6715,           23.5665,            1.4606,            5.8256,           -0.2843,           -0.0511,           -4.5021,
Ref 7,2.87528e-08,,,,,,1.1972e-02,4.2064e-03,4.8988e-05,4.6565e-06,8.5667e-08,,,,,,,,,,,
Sam 7,2.81573e-08,1.20259e-02,4.2560e-03,4.9777e-05,4.7674e-06,8.6545e-08,,,,,,            4.4727,           11.8069,           16.1407,           23.5034,            4.1860,            1.4621,            5.8400,           -0.1390,           -0.2440,          -23.3805,
Ref 8,2.83433e-08,,,,,,1.1972e-02,4.2063e-03,4.8985e-05,4.6593e-06,8.6709e-08,,,,,,,,,,,
Sam 8,2.77489e-08,1.20259e-02,4.2559e-03,4.9774e-05,4.7706e-06,9.1234e-08,,,,,,            4.4792,           11.8023,           16.0867,           23.5928,           84.5553,            1.4692,            5.8355,           -0.1945,           -0.1476,           54.7845,
Ref 9,2.79595e-08,,,,,,1.1972e-02,4.2063e-03,4.8987e-05,4.6620e-06,8.1498e-08,,,,,,,,,,,
Sam 9,2.73671e-08,1.20257e-02,4.2559e-03,4.9768e-05,4.7725e-06,9.0880e-08,,,,,,            4.4709,           11.7837,           15.9573,           23.9780,           52.6942,            1.4610,            5.8169,           -0.2951,            0.2655,           23.8442,
Ref 10,2.75732e-08,,,,,,1.1972e-02,4.2063e-03,4.8986e-05,4.6596e-06,9.1232e-08,,,,,,,,,,,
Sam 10,2.69854e-08,1.20257e-02,4.2560e-03,4.9774e-05,4.7679e-06,9.0158e-08,,,,,,            4.4650,           11.8009,           16.0128,           23.1455,           13.8760,            1.4541,            5.8341,           -0.2512,           -0.5818,          -13.9370,
Ref 11,2.72050e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6605e-06,8.6584e-08,,,,,,,,,,,
Sam 11,2.66252e-08,1.20258e-02,4.2559e-03,4.9765e-05,4.7682e-06,8.9860e-08,,,,,,            4.4795,           11.7980,           15.8879,           22.8667,           10.5527,            1.4697,            5.8311,           -0.3861,           -0.8483,          -17.1787,
Ref 12,2.68447e-08,,,,,,1.1972e-02,4.2063e-03,4.8981e-05,4.6628e-06,9.1290e-08,,,,,,,,,,,
Sam 12,2.62687e-08,1.20257e-02,4.2559e-03,4.9773e-05,4.7632e-06,9.0596e-08,,,,,,            4.4708,           11.7938,           16.1611,           21.4647,            9.7913,            1.4605,            5.8270,           -0.1043,           -2.2096,          -17.9022,
Ref 13,2.64882e-08,,,,,,1.1972e-02,4.2063e-03,4.8982e-05,4.6633e-06,8.8124e-08,,,,,,,,,,,
Sam 13,2.59161e-08,1.20257e-02,4.2559e-03,4.9772e-05,4.7722e-06,9.1076e-08,,,,,,            4.4752,           11.8051,           16.1113,           23.1389,           15.5630,            1.4648,            5.8383,           -0.1689,           -0.5965,          -12.3151,
Ref 14,2.61567e-08,,,,,,1.1972e-02,4.2062e-03,4.8983e-05,4.6652e-06,9.1257e-08,,,,,,,,,,,
Sam 14,2.55776e-08,1.20255e-02,4.2558e-03,4.9769e-05,4.7700e-06,8.7283e-08,,,,,,            4.4710,           11.7986,           15.9938,           22.7930,          -43.0854,            1.4606,            5.8318,           -0.2739,           -0.9215,          -69.3377,
Ref 15,2.58075e-08,,,,,,1.1972e-02,4.2061e-03,4.8987e-05,4.6622e-06,9.1168e-08,,,,,,,,,,,
Sam 15,2.52351e-08,1.20256e-02,4.2557e-03,4.9770e-05,4.7678e-06,9.7106e-08,,,,,,            4.4794,           11.7829,           16.0401,           22.7590,           48.2682,            1.4700,            5.8161,           -0.2215,           -0.9236,           19.5319,
Ref 16,2.54772e-08,,,,,,1.1972e-02,4.2062e-03,4.8982e-05,4.6613e-06,9.4119e-08,,,,,,,,,,,
Sam 16,2.49032e-08,1.20255e-02,4.2559e-03,4.9780e-05,4.7700e-06,9.6906e-08,,,,,,            4.4723,           11.8235,           16.2763,           23.0559,            4.3036,            1.4612,            5.8566,           -0.0215,           -0.7140,          -23.2974,
Ref 17,2.51625e-08,,,,,,1.1972e-02,4.2061e-03,4.8984e-05,4.6637e-06,9.8892e-08,,,,,,,,,,,
Sam 17,2.45755e-08,1.20256e-02,4.2558e-03,4.9786e-05,4.7749e-06,9.8031e-08,,,,,,            4.4894,           11.8061,           16.2830,           23.7388,          -21.6764,            1.4799,            5.8392,           -0.0154,           -0.0125,          -48.5484,
Ref 18,2.48272e-08,,,,,,1.1972e-02,4.2062e-03,4.8992e-05,4.6646e-06,1.0153e-07,,,,,,,,,,,
Sam 18,2.42546e-08,1.20253e-02,4.2558e-03,4.9782e-05,4.7747e-06,1.0035e-07,,,,,,            4.4713,           11.8110,           16.0926,           23.7529,           -3.7609,            1.4605,            5.8441,           -0.1890,           -0.0084,          -31.1157,
Ref 19,2.45079e-08,,,,,,1.1972e-02,4.2061e-03,4.8995e-05,4.6633e-06,9.9907e-08,,,,,,,,,,,
Sam 19,2.39334e-08,1.20254e-02,4.2558e-03,4.9778e-05,4.7757e-06,9.9510e-08,,,,,,            4.4870,           11.8119,           16.0047,           23.4980,            7.8019,            1.4771,            5.8450,           -0.2924,           -0.2592,          -19.8883,
Ref 20,2.42087e-08,,,,,,1.1972e-02,4.2061e-03,4.8993e-05,4.6690e-06,9.7559e-08,,,,,,,,,,,
Sam 20,2.36318e-08,1.20254e-02,4.2557e-03,4.9772e-05,4.7701e-06,1.0463e-07,,,,,,            4.4769,           11.7922,           15.8556,           22.3004,           58.0044,            1.4670,            5.8254,           -0.4096,           -1.3901,           28.9852,
Ref 21,2.38942e-08,,,,,,1.1972e-02,4.2061e-03,4.8997e-05,4.6631e-06,1.0025e-07,,,,,,,,,,,


