Nu Stable Isotope Analysis Program
Data Collected on Thursday, June 30, 2022 at 22:42 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, June 30, 2022 at 23:41 with Stable 1.71.5 on PS019

Data File = Data_17471 ETH-4.txt,         Sample Weight = 455,                      Vial Location = 4,                        Initial Sam Beam = 1.5482e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7987e-08,                Max Ref Beam = 1.0629e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.02383e-08,,,,,,1.1974e-02,4.2066e-03,4.8957e-05,4.6442e-06,5.2343e-08,
Sam 1,5.96196e-08,1.18873e-02,4.1836e-03,4.8298e-05,4.5925e-06,5.2727e-08,,,,,,           -7.2595,           -5.4970,          -13.5212,          -11.1733,            9.9462,          -10.4250,          -11.3545,           -0.6796,           -0.2119,           28.8977,
Ref 2,5.91937e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6446e-06,5.2070e-08,,,,,,,,,,,
Sam 2,5.85975e-08,1.18874e-02,4.1837e-03,4.8305e-05,4.5930e-06,5.2569e-08,,,,,,           -7.2683,           -5.5108,          -13.4613,          -11.1043,           10.9337,          -10.4339,          -11.3682,           -0.5961,           -0.1145,           29.9415,
Ref 3,5.82099e-08,,,,,,1.1975e-02,4.2069e-03,4.8965e-05,4.6446e-06,5.1930e-08,,,,,,,,,,,
Sam 3,5.76023e-08,1.18875e-02,4.1837e-03,4.8307e-05,4.5951e-06,5.0588e-08,,,,,,           -7.2696,           -5.5084,          -13.3548,          -10.7704,          -43.1614,          -10.4353,          -11.3659,           -0.4893,            0.2185,          -25.1737,
Ref 4,5.72410e-08,,,,,,1.1975e-02,4.2070e-03,4.8957e-05,4.6456e-06,5.3825e-08,,,,,,,,,,,
Sam 4,5.66269e-08,1.18876e-02,4.1838e-03,4.8313e-05,4.5937e-06,5.0802e-08,,,,,,           -7.2703,           -5.5181,          -13.2085,          -10.8667,          -48.3086,          -10.4357,          -11.3755,           -0.3308,            0.1406,          -30.3984,
Ref 5,5.62662e-08,,,,,,1.1975e-02,4.2070e-03,4.8961e-05,4.6426e-06,5.2930e-08,,,,,,,,,,,
Sam 5,5.56732e-08,1.18876e-02,4.1839e-03,4.8309e-05,4.5910e-06,5.2690e-08,,,,,,           -7.2645,           -5.4946,          -13.3267,          -11.4328,          -34.4694,          -10.4304,          -11.3521,           -0.4797,           -0.4791,          -16.3507,
Ref 6,5.53643e-08,,,,,,1.1975e-02,4.2070e-03,4.8962e-05,4.6456e-06,5.6240e-08,,,,,,,,,,,
Sam 6,5.47469e-08,1.18877e-02,4.1839e-03,4.8312e-05,4.5959e-06,5.3896e-08,,,,,,           -7.2611,           -5.5066,          -13.2669,          -10.6107,          -35.4037,          -10.4263,          -11.3641,           -0.4108,            0.3763,          -17.2827,
Ref 7,5.44646e-08,,,,,,1.1975e-02,4.2070e-03,4.8962e-05,4.6448e-06,5.5501e-08,,,,,,,,,,,
Sam 7,5.38158e-08,1.18876e-02,4.1840e-03,4.8317e-05,4.5952e-06,5.5207e-08,,,,,,           -7.2705,           -5.4866,          -13.2134,          -10.7662,          -26.5555,          -10.4370,          -11.3441,           -0.3667,            0.1787,           -8.2976,
Ref 8,5.35849e-08,,,,,,1.1975e-02,4.2070e-03,4.8966e-05,4.6456e-06,5.7944e-08,,,,,,,,,,,
Sam 8,5.29583e-08,1.18876e-02,4.1839e-03,4.8313e-05,4.5939e-06,5.4912e-08,,,,,,           -7.2702,           -5.5052,          -13.3485,          -10.9142,          -20.4229,          -10.4360,          -11.3627,           -0.4854,            0.0666,           -2.0136,
Ref 9,5.26981e-08,,,,,,1.1975e-02,4.2072e-03,4.8967e-05,4.6436e-06,5.4138e-08,,,,,,,,,,,
Sam 9,5.20906e-08,1.18876e-02,4.1840e-03,4.8319e-05,4.5940e-06,5.3778e-08,,,,,,           -7.2689,           -5.5031,          -13.1743,          -10.8849,           -9.7457,          -10.4347,          -11.3606,           -0.3124,            0.0920,            8.8587,
Ref 10,5.18737e-08,,,,,,1.1975e-02,4.2071e-03,4.8962e-05,4.6455e-06,5.4478e-08,,,,,,,,,,,
Sam 10,5.12304e-08,1.18876e-02,4.1840e-03,4.8320e-05,4.5974e-06,5.1197e-08,,,,,,           -7.2741,           -5.4881,          -13.1444,           -9.9711,          -77.4740,          -10.4407,          -11.3456,           -0.2916,            0.9857,          -60.1646,
Ref 11,5.10493e-08,,,,,,1.1975e-02,4.2071e-03,4.8965e-05,4.6418e-06,5.6531e-08,,,,,,,,,,,
Sam 11,5.04125e-08,1.18876e-02,4.1840e-03,4.8316e-05,4.5968e-06,5.6355e-08,,,,,,           -7.2731,           -5.5012,          -13.3561,          -10.1280,            5.8480,          -10.4393,          -11.3587,           -0.4941,            0.8534,           24.7460,
Ref 12,5.02313e-08,,,,,,1.1975e-02,4.2072e-03,4.8975e-05,4.6459e-06,5.5515e-08,,,,,,,,,,,
Sam 12,4.95766e-08,1.18874e-02,4.1840e-03,4.8322e-05,4.5946e-06,5.3377e-08,,,,,,           -7.2809,           -5.4905,          -13.2766,          -11.0300,          -20.6893,          -10.4480,          -11.3480,           -0.4161,           -0.0801,           -2.3026,
Ref 13,4.94459e-08,,,,,,1.1975e-02,4.2071e-03,4.8969e-05,4.6458e-06,5.3479e-08,,,,,,,,,,,
Sam 13,4.87987e-08,1.18877e-02,4.1841e-03,4.8317e-05,4.5961e-06,5.6123e-08,,,,,,           -7.2559,           -5.4804,          -13.3096,          -10.9373,           32.4274,          -10.4217,          -11.3380,           -0.4854,           -0.0067,           51.7621,
Ref 14,4.86518e-08,,,,,,1.1975e-02,4.2072e-03,4.8969e-05,4.6480e-06,5.5256e-08,,,,,,,,,,,
Sam 14,4.80434e-08,1.18875e-02,4.1840e-03,4.8324e-05,4.5980e-06,5.4188e-08,,,,,,           -7.2683,           -5.5135,          -13.2292,          -10.7411,          -22.1614,          -10.4337,          -11.3709,           -0.3584,            0.2583,           -3.7705,
Ref 15,4.78771e-08,,,,,,1.1975e-02,4.2071e-03,4.8974e-05,4.6480e-06,5.5578e-08,,,,,,,,,,,
Sam 15,4.72599e-08,1.18874e-02,4.1840e-03,4.8323e-05,4.5951e-06,5.6100e-08,,,,,,           -7.2641,           -5.4956,          -13.2411,          -11.1040,            6.9124,          -10.4299,          -11.3531,           -0.3925,           -0.1447,           25.8092,
Ref 16,4.71549e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6453e-06,5.5853e-08,,,,,,,,,,,
Sam 16,4.65068e-08,1.18875e-02,4.1842e-03,4.8320e-05,4.5983e-06,5.6201e-08,,,,,,           -7.2511,           -5.4468,          -13.2866,          -10.0806,          -14.0208,          -10.4177,          -11.3046,           -0.5003,            0.7919,            4.3723,
Ref 17,4.64212e-08,,,,,,1.1974e-02,4.2072e-03,4.8972e-05,4.6450e-06,5.8165e-08,,,,,,,,,,,
Sam 17,4.58076e-08,1.18874e-02,4.1839e-03,4.8320e-05,4.5933e-06,5.3112e-08,,,,,,           -7.2531,           -5.5481,          -13.3726,          -11.1967,          -68.0583,          -10.4163,          -11.4054,           -0.4852,           -0.1328,          -50.4809,
Ref 18,4.56858e-08,,,,,,1.1974e-02,4.2074e-03,4.8977e-05,4.6456e-06,5.5798e-08,,,,,,,,,,,
Sam 18,4.50805e-08,1.18872e-02,4.1840e-03,4.8321e-05,4.5947e-06,5.4635e-08,,,,,,           -7.2615,           -5.5319,          -13.3724,          -10.8989,          -28.1747,          -10.4259,          -11.3893,           -0.4922,            0.1358,           -9.8679,
Ref 19,4.50011e-08,,,,,,1.1974e-02,4.2071e-03,4.8974e-05,4.6451e-06,5.6647e-08,,,,,,,,,,,
Sam 19,4.43954e-08,1.18872e-02,4.1839e-03,4.8319e-05,4.5971e-06,5.3175e-08,,,,,,           -7.2859,           -5.5370,          -13.3659,          -10.8368,          -30.7705,          -10.4517,          -11.3943,           -0.4553,            0.2088,          -12.4769,
Ref 20,4.42972e-08,,,,,,1.1975e-02,4.2073e-03,4.8973e-05,4.6500e-06,5.3050e-08,,,,,,,,,,,
Sam 20,4.37084e-08,1.18872e-02,4.1839e-03,4.8318e-05,4.5966e-06,5.2812e-08,,,,,,           -7.2776,           -5.5403,          -13.3888,          -10.7148,          -16.1290,          -10.4427,          -11.3976,           -0.4839,            0.3388,            2.4386,
Ref 21,4.36152e-08,,,,,,1.1974e-02,4.2072e-03,4.8974e-05,4.6428e-06,5.4314e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.33098e-08,,,,,,1.1974e-02,4.2071e-03,4.8977e-05,4.6479e-06,5.7307e-08,
Sam 1,4.26854e-08,1.18870e-02,4.1839e-03,4.8309e-05,4.5924e-06,5.4576e-08,,,,,,           -7.2807,           -5.5371,          -13.0750,          -11.3593,          -41.2519,          -10.4461,          -11.3944,           -0.1659,           -0.3193,          -23.1613,
Ref 2,4.26384e-08,,,,,,1.1974e-02,4.2073e-03,4.8920e-05,4.6423e-06,5.6536e-08,,,,,,,,,,,
Sam 2,4.19432e-08,1.18882e-02,4.1846e-03,4.8332e-05,4.5936e-06,5.5073e-08,,,,,,           -7.1720,           -5.3559,          -12.5092,          -11.1978,           13.2887,          -10.3367,          -11.2143,            0.1150,           -0.5203,           31.9182,
Ref 3,4.19973e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6489e-06,5.2132e-08,,,,,,,,,,,
Sam 3,4.12952e-08,1.18876e-02,4.1844e-03,4.8331e-05,4.5979e-06,4.8788e-08,,,,,,           -7.2197,           -5.3836,          -13.0503,          -10.7315,          -10.2814,          -10.3865,          -11.2417,           -0.3561,            0.0067,            8.0214,
Ref 4,4.13475e-08,,,,,,1.1974e-02,4.2071e-03,4.8972e-05,4.6466e-06,4.6412e-08,,,,,,,,,,,
Sam 4,4.07125e-08,1.18871e-02,4.1842e-03,4.8329e-05,4.5933e-06,5.1107e-08,,,,,,           -7.3034,           -5.4978,          -13.2910,          -11.3077,            6.9119,          -10.4717,          -11.3552,           -0.4000,           -0.3462,           25.8564,
Ref 5,4.06685e-08,,,,,,1.1975e-02,4.2077e-03,4.8988e-05,4.6450e-06,5.5172e-08,,,,,,,,,,,
Sam 5,4.01136e-08,1.18870e-02,4.1836e-03,4.8347e-05,4.5994e-06,5.2017e-08,,,,,,           -7.3125,           -5.6497,          -12.9471,           -9.8568,          -64.8350,          -10.4761,          -11.5064,            0.1083,            1.4268,          -46.9445,
Ref 6,4.01373e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6453e-06,5.6080e-08,,,,,,,,,,,
Sam 6,3.95086e-08,1.18873e-02,4.1841e-03,4.8324e-05,4.5947e-06,5.1211e-08,,,,,,           -7.2230,           -5.4537,          -13.2757,          -10.9641,          -62.3894,          -10.3876,          -11.3116,           -0.5115,           -0.0874,          -44.9142,
Ref 7,3.95186e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6459e-06,5.3135e-08,,,,,,,,,,,
Sam 7,3.89313e-08,1.18868e-02,4.1839e-03,4.8325e-05,4.5943e-06,4.9408e-08,,,,,,           -7.2904,           -5.5816,          -13.3467,          -11.0938,          -24.9653,          -10.4548,          -11.4386,           -0.3872,            0.0385,           -6.4698,
Ref 8,3.88949e-08,,,,,,1.1974e-02,4.2077e-03,4.8983e-05,4.6458e-06,4.8171e-08,,,,,,,,,,,
Sam 8,3.83510e-08,1.18867e-02,4.1838e-03,4.8322e-05,4.5955e-06,4.8659e-08,,,,,,           -7.2951,           -5.5818,          -13.4368,          -10.6606,          -34.2124,          -10.4598,          -11.4388,           -0.4733,            0.4771,          -15.8869,
Ref 9,3.83950e-08,,,,,,1.1974e-02,4.2068e-03,4.8977e-05,4.6444e-06,5.2622e-08,,,,,,,,,,,
Sam 9,3.77857e-08,1.18866e-02,4.1837e-03,4.8328e-05,4.5918e-06,5.1327e-08,,,,,,           -7.2730,           -5.4825,          -13.1935,          -11.7269,          -23.7031,          -10.4398,          -11.3401,           -0.3479,           -0.8007,           -5.3971,
Ref 10,3.78307e-08,,,,,,1.1974e-02,4.2068e-03,4.8972e-05,4.6481e-06,5.2523e-08,,,,,,,,,,,
Sam 10,3.72249e-08,1.18866e-02,4.1837e-03,4.8323e-05,4.5939e-06,5.0020e-08,,,,,,           -7.2648,           -5.5017,          -13.2589,          -11.4086,          -15.3724,          -10.4305,          -11.3591,           -0.4037,           -0.4405,            3.1190,
Ref 11,3.72768e-08,,,,,,1.1973e-02,4.2068e-03,4.8974e-05,4.6457e-06,4.9054e-08,,,,,,,,,,,
Sam 11,3.66745e-08,1.18865e-02,4.1836e-03,4.8323e-05,4.5942e-06,4.7036e-08,,,,,,           -7.2701,           -5.5104,          -13.2894,          -11.0535,          -37.9544,          -10.4358,          -11.3678,           -0.4205,           -0.0638,          -19.8646,
Ref 12,3.67371e-08,,,,,,1.1974e-02,4.2068e-03,4.8975e-05,4.6454e-06,4.8728e-08,,,,,,,,,,,
Sam 12,3.61399e-08,1.18865e-02,4.1837e-03,4.8326e-05,4.5921e-06,4.9097e-08,,,,,,           -7.2589,           -5.5001,          -13.2615,          -11.3461,           20.0095,          -10.4242,          -11.3576,           -0.4140,           -0.3803,           39.1556,
Ref 13,3.62090e-08,,,,,,1.1973e-02,4.2068e-03,4.8976e-05,4.6442e-06,4.7532e-08,,,,,,,,,,,
Sam 13,3.56139e-08,1.18863e-02,4.1836e-03,4.8319e-05,4.5891e-06,4.9526e-08,,,,,,           -7.2665,           -5.4971,          -13.3724,          -11.7831,           21.3363,          -10.4323,          -11.3546,           -0.5216,           -0.8282,           40.5095,
Ref 14,3.56902e-08,,,,,,1.1973e-02,4.2067e-03,4.8973e-05,4.6434e-06,4.9466e-08,,,,,,,,,,,
Sam 14,3.51219e-08,1.18864e-02,4.1835e-03,4.8320e-05,4.5932e-06,4.9828e-08,,,,,,           -7.2656,           -5.5038,          -13.2774,          -11.1161,           57.8570,          -10.4312,          -11.3613,           -0.4196,           -0.1405,           77.7290,
Ref 15,3.51935e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6462e-06,4.4707e-08,,,,,,,,,,,
Sam 15,3.45942e-08,1.18863e-02,4.1836e-03,4.8322e-05,4.5957e-06,4.5760e-08,,,,,,           -7.2633,           -5.4733,          -13.2180,          -10.5575,           31.8623,          -10.4298,          -11.3310,           -0.3920,            0.3631,           51.1801,
Ref 16,3.47075e-08,,,,,,1.1973e-02,4.2066e-03,4.8972e-05,4.6432e-06,4.3983e-08,,,,,,,,,,,
Sam 16,3.40958e-08,1.18862e-02,4.1835e-03,4.8326e-05,4.5958e-06,4.2480e-08,,,,,,           -7.2666,           -5.4939,          -13.1517,          -10.1549,          -39.4039,          -10.4326,          -11.3515,           -0.3010,            0.8117,          -21.3769,
Ref 17,3.41979e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6427e-06,4.4466e-08,,,,,,,,,,,
Sam 17,3.35999e-08,1.18863e-02,4.1835e-03,4.8314e-05,4.5933e-06,4.3852e-08,,,,,,           -7.2616,           -5.5022,          -13.3429,          -10.6622,          -18.4588,          -10.4270,          -11.3597,           -0.4916,            0.3153,           -0.0277,
Ref 18,3.37148e-08,,,,,,1.1973e-02,4.2066e-03,4.8968e-05,4.6429e-06,4.4891e-08,,,,,,,,,,,
Sam 18,3.31144e-08,1.18861e-02,4.1835e-03,4.8328e-05,4.5866e-06,4.2081e-08,,,,,,           -7.2729,           -5.5008,          -13.0820,          -12.2400,          -12.8947,          -10.4391,          -11.3583,           -0.2170,           -1.2828,            5.6502,
Ref 19,3.32414e-08,,,,,,1.1973e-02,4.2066e-03,4.8969e-05,4.6439e-06,4.0339e-08,,,,,,,,,,,
Sam 19,3.26411e-08,1.18862e-02,4.1835e-03,4.8320e-05,4.5944e-06,4.0922e-08,,,,,,           -7.2642,           -5.4929,          -13.2197,          -10.5456,           18.1833,          -10.4301,          -11.3505,           -0.3733,            0.4146,           37.2864,
Ref 20,3.27785e-08,,,,,,1.1973e-02,4.2066e-03,4.8966e-05,4.6428e-06,4.0041e-08,,,,,,,,,,,
Sam 20,3.21784e-08,1.18862e-02,4.1835e-03,4.8320e-05,4.5905e-06,4.1455e-08,,,,,,           -7.2545,           -5.4879,          -13.2575,          -11.0765,           68.6949,          -10.4199,          -11.3455,           -0.4267,           -0.1323,           88.7233,
Ref 21,3.23344e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6410e-06,3.7522e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.21028e-08,,,,,,1.1973e-02,4.2066e-03,4.8966e-05,4.6424e-06,4.2338e-08,
Sam 1,3.14986e-08,1.18861e-02,4.1834e-03,4.8322e-05,4.5910e-06,3.9994e-08,,,,,,           -7.2667,           -5.5024,          -13.2240,          -10.9503,          -51.7319,          -10.4324,          -11.3599,           -0.3657,            0.0245,          -33.9199,
Ref 2,3.16547e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6412e-06,4.2011e-08,,,,,,,,,,,
Sam 2,3.10751e-08,1.18859e-02,4.1834e-03,4.8313e-05,4.5902e-06,3.7984e-08,,,,,,           -7.2729,           -5.4967,          -13.4121,          -10.9049,         -106.1948,          -10.4392,          -11.3542,           -0.5555,            0.0589,          -89.4099,
Ref 3,3.12252e-08,,,,,,1.1973e-02,4.2065e-03,4.8966e-05,4.6404e-06,4.2990e-08,,,,,,,,,,,
Sam 3,3.06233e-08,1.18859e-02,4.1834e-03,4.8318e-05,4.5893e-06,4.2398e-08,,,,,,           -7.2674,           -5.4916,          -13.2393,          -11.3463,           15.3660,          -10.4335,          -11.3492,           -0.3911,           -0.3976,           34.4170,
Ref 4,3.07909e-08,,,,,,1.1973e-02,4.2065e-03,4.8968e-05,4.6436e-06,4.0507e-08,,,,,,,,,,,
Sam 4,3.01924e-08,1.18860e-02,4.1834e-03,4.8323e-05,4.5894e-06,3.7146e-08,,,,,,           -7.2601,           -5.4881,          -13.1364,          -11.7646,          -67.3340,          -10.4259,          -11.3457,           -0.2980,           -0.8276,          -49.8487,
Ref 5,3.03679e-08,,,,,,1.1973e-02,4.2065e-03,4.8964e-05,4.6444e-06,3.9139e-08,,,,,,,,,,,
Sam 5,2.97730e-08,1.18859e-02,4.1834e-03,4.8317e-05,4.5917e-06,4.3555e-08,,,,,,           -7.2723,           -5.4862,          -13.2536,          -10.2374,          157.6634,          -10.4390,          -11.3438,           -0.4058,            0.7128,          179.3777,
Ref 6,2.99543e-08,,,,,,1.1973e-02,4.2065e-03,4.8967e-05,4.6340e-06,3.6086e-08,,,,,,,,,,,
Sam 6,2.93587e-08,1.18859e-02,4.1833e-03,4.8322e-05,4.5908e-06,3.0916e-08,,,,,,           -7.2579,           -5.4957,          -13.2066,          -10.1443,         -119.2105,          -10.4233,          -11.3533,           -0.3639,            0.8259,         -102.6863,
Ref 7,2.95474e-08,,,,,,1.1973e-02,4.2064e-03,4.8970e-05,4.6417e-06,3.4102e-08,,,,,,,,,,,
Sam 7,2.89544e-08,1.18858e-02,4.1833e-03,4.8317e-05,4.5883e-06,3.5714e-08,,,,,,           -7.2612,           -5.4924,          -13.2965,          -11.0046,          106.9569,          -10.4269,          -11.3500,           -0.4548,           -0.0505,          127.7205,
Ref 8,2.91514e-08,,,,,,1.1973e-02,4.2064e-03,4.8967e-05,4.6370e-06,3.0400e-08,,,,,,,,,,,
Sam 8,2.85616e-08,1.18856e-02,4.1833e-03,4.8314e-05,4.5866e-06,3.0176e-08,,,,,,           -7.2745,           -5.4876,          -13.3584,          -11.7643,            1.8617,          -10.4412,          -11.3452,           -0.5084,           -0.8283,           20.6590,
Ref 9,2.87607e-08,,,,,,1.1973e-02,4.2063e-03,4.8969e-05,4.6454e-06,2.9837e-08,,,,,,,,,,,
Sam 9,2.82266e-08,1.18855e-02,4.1832e-03,4.8312e-05,4.5874e-06,2.9077e-08,,,,,,           -7.2699,           -5.4973,          -13.3233,          -11.7574,          -37.1866,          -10.4360,          -11.3548,           -0.4680,           -0.8018,          -19.1079,
Ref 10,2.84114e-08,,,,,,1.1972e-02,4.2063e-03,4.8961e-05,4.6386e-06,3.0569e-08,,,,,,,,,,,
Sam 10,2.78106e-08,1.18854e-02,4.1832e-03,4.8304e-05,4.5859e-06,2.8156e-08,,,,,,           -7.2702,           -5.4869,          -13.4383,          -11.0987,         -173.3786,          -10.4367,          -11.3444,           -0.5946,           -0.1568,         -157.8742,
Ref 11,2.80131e-08,,,,,,1.1972e-02,4.2062e-03,4.8962e-05,4.6361e-06,3.7604e-08,,,,,,,,,,,
Sam 11,2.74202e-08,1.18855e-02,4.1831e-03,4.8312e-05,4.5863e-06,3.5593e-08,,,,,,           -7.2668,           -5.4996,          -13.2780,          -10.7641,          -66.2355,          -10.4326,          -11.3571,           -0.4230,            0.2071,          -48.7010,
Ref 12,2.76374e-08,,,,,,1.1972e-02,4.2063e-03,4.8963e-05,4.6364e-06,3.8639e-08,,,,,,,,,,,
Sam 12,2.70462e-08,1.18855e-02,4.1832e-03,4.8314e-05,4.5876e-06,3.4399e-08,,,,,,           -7.2630,           -5.4893,          -13.2388,          -10.7118,         -108.8267,          -10.4289,          -11.3469,           -0.3975,            0.2393,          -92.1142,
Ref 13,2.72672e-08,,,,,,1.1972e-02,4.2062e-03,4.8960e-05,4.6382e-06,3.8560e-08,,,,,,,,,,,
Sam 13,2.66836e-08,1.18854e-02,4.1831e-03,4.8313e-05,4.5903e-06,3.7467e-08,,,,,,           -7.2653,           -5.4831,          -13.2293,          -10.1353,           32.8328,          -10.4316,          -11.3407,           -0.3916,            0.8097,           52.1915,
Ref 14,2.69107e-08,,,,,,1.1972e-02,4.2062e-03,4.8961e-05,4.6362e-06,3.3961e-08,,,,,,,,,,,
Sam 14,2.63264e-08,1.18854e-02,4.1832e-03,4.8312e-05,4.5839e-06,3.3343e-08,,,,,,           -7.2603,           -5.4711,          -13.1707,          -11.2704,          -11.1773,          -10.4267,          -11.3288,           -0.3493,           -0.3621,            7.3272,
Ref 15,2.65590e-08,,,,,,1.1972e-02,4.2062e-03,4.8953e-05,4.6361e-06,3.3475e-08,,,,,,,,,,,
Sam 15,2.59753e-08,1.18854e-02,4.1831e-03,4.8317e-05,4.5765e-06,2.9071e-08,,,,,,           -7.2756,           -5.4869,          -13.0927,          -12.6005,          -39.0574,          -10.4424,          -11.3444,           -0.2389,           -1.6753,          -21.0281,
Ref 16,2.62115e-08,,,,,,1.1973e-02,4.2062e-03,4.8962e-05,4.6336e-06,2.6988e-08,,,,,,,,,,,
Sam 16,2.56520e-08,1.18853e-02,4.1832e-03,4.8315e-05,4.5829e-06,2.4398e-08,,,,,,           -7.2730,           -5.4787,          -13.1089,          -11.2464,          -79.2596,          -10.4400,          -11.3363,           -0.2660,           -0.3226,          -62.0022,
Ref 17,2.58780e-08,,,,,,1.1972e-02,4.2061e-03,4.8952e-05,4.6364e-06,2.6002e-08,,,,,,,,,,,
Sam 17,2.52962e-08,1.18853e-02,4.1831e-03,4.8304e-05,4.5840e-06,2.4083e-08,,,,,,           -7.2626,           -5.4912,          -13.2503,          -11.5014,          -72.9925,          -10.4284,          -11.3488,           -0.4077,           -0.5552,          -55.6049,
Ref 18,2.55439e-08,,,,,,1.1972e-02,4.2062e-03,4.8953e-05,4.6382e-06,2.5957e-08,,,,,,,,,,,
Sam 18,2.49647e-08,1.18854e-02,4.1831e-03,4.8304e-05,4.5833e-06,2.3014e-08,,,,,,           -7.2573,           -5.4874,          -13.2433,          -11.6260,         -178.6887,          -10.4229,          -11.3449,           -0.4099,           -0.6889,         -163.2946,
Ref 19,2.52147e-08,,,,,,1.1972e-02,4.2062e-03,4.8952e-05,4.6363e-06,3.0111e-08,,,,,,,,,,,
Sam 19,2.46291e-08,1.18853e-02,4.1830e-03,4.8304e-05,4.5827e-06,2.4017e-08,,,,,,           -7.2654,           -5.4922,          -13.3110,          -11.2935,          -91.8345,          -10.4314,          -11.3497,           -0.4653,           -0.3431,          -74.7957,
Ref 20,2.48820e-08,,,,,,1.1972e-02,4.2061e-03,4.8960e-05,4.6337e-06,2.2731e-08,,,,,,,,,,,
