Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 02:48 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 03:47 with Stable 1.71.5 on PS019

Data File = Data_17474 BD4-30-35_1-B.txt, Sample Weight = 479,                      Vial Location = 7,                        Initial Sam Beam = 1.5429e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6006e-08,                Max Ref Beam = 1.0656e-07,                

Analysis undertaken at mass 46.0215
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.01624e-08,,,,,,1.1974e-02,4.2065e-03,4.8946e-05,4.6406e-06,5.4887e-08,
Sam 1,5.95466e-08,1.19581e-02,4.2227e-03,4.9045e-05,4.6752e-06,5.3903e-08,,,,,,           -1.3409,            3.8043,            1.9480,            7.1211,            3.7851,           -4.4486,           -2.1111,           -0.4083,           -0.4982,           -2.2629,
Ref 2,5.90953e-08,,,,,,1.1974e-02,4.2068e-03,4.8955e-05,4.6437e-06,5.2490e-08,,,,,,,,,,,
Sam 2,5.85045e-08,1.19581e-02,4.2228e-03,4.9047e-05,4.6769e-06,5.6070e-08,,,,,,           -1.3547,            3.7860,            1.8817,            7.3671,           45.1206,           -4.4627,           -2.1293,           -0.4422,           -0.2176,           38.8761,
Ref 3,5.80937e-08,,,,,,1.1974e-02,4.2069e-03,4.8956e-05,4.6417e-06,5.4829e-08,,,,,,,,,,,
Sam 3,5.75106e-08,1.19582e-02,4.2228e-03,4.9045e-05,4.6784e-06,5.3923e-08,,,,,,           -1.3588,            3.7834,            1.8003,            7.7630,          -27.8002,           -4.4670,           -2.1319,           -0.5166,            0.1806,          -33.5998,
Ref 4,5.71312e-08,,,,,,1.1975e-02,4.2070e-03,4.8958e-05,4.6431e-06,5.6113e-08,,,,,,,,,,,
Sam 4,5.65427e-08,1.19582e-02,4.2229e-03,4.9050e-05,4.6793e-06,5.5808e-08,,,,,,           -1.3658,            3.7827,            1.8387,            7.6247,           -6.4098,           -4.4744,           -2.1326,           -0.4704,            0.0447,          -12.3282,
Ref 5,5.61909e-08,,,,,,1.1975e-02,4.2070e-03,4.8961e-05,4.6446e-06,5.6224e-08,,,,,,,,,,,
Sam 5,5.55973e-08,1.19583e-02,4.2230e-03,4.9057e-05,4.6769e-06,5.5911e-08,,,,,,           -1.3578,            3.7944,            1.9746,            7.1338,          -23.5326,           -4.4663,           -2.1209,           -0.3545,           -0.4658,          -29.3797,
Ref 6,5.52662e-08,,,,,,1.1974e-02,4.2071e-03,4.8960e-05,4.6429e-06,5.8310e-08,,,,,,,,,,,
Sam 6,5.46750e-08,1.19583e-02,4.2231e-03,4.9056e-05,4.6784e-06,5.4823e-08,,,,,,           -1.3483,            3.7978,            1.9986,            7.9426,          -56.1663,           -4.4563,           -2.1176,           -0.3438,            0.3301,          -61.8336,
Ref 7,5.43698e-08,,,,,,1.1974e-02,4.2071e-03,4.8957e-05,4.6401e-06,5.7857e-08,,,,,,,,,,,
Sam 7,5.37764e-08,1.19583e-02,4.2230e-03,4.9055e-05,4.6761e-06,5.8253e-08,,,,,,           -1.3497,            3.7870,            1.9665,            7.5052,           15.1480,           -4.4575,           -2.1283,           -0.3636,           -0.0826,            9.0753,
Ref 8,5.34911e-08,,,,,,1.1975e-02,4.2071e-03,4.8959e-05,4.6425e-06,5.6902e-08,,,,,,,,,,,
Sam 8,5.28804e-08,1.19584e-02,4.2231e-03,4.9056e-05,4.6788e-06,5.1899e-08,,,,,,           -1.3496,            3.8068,            1.9625,            7.9105,          -47.2296,           -4.4580,           -2.1086,           -0.3872,            0.2803,          -52.9660,
Ref 9,5.26058e-08,,,,,,1.1975e-02,4.2071e-03,4.8961e-05,4.6416e-06,5.2000e-08,,,,,,,,,,,
Sam 9,5.20094e-08,1.19584e-02,4.2231e-03,4.9059e-05,4.6772e-06,5.2008e-08,,,,,,           -1.3545,            3.7998,            1.9272,            7.5390,            9.0277,           -4.4629,           -2.1156,           -0.4106,           -0.0744,            2.9715,
Ref 10,5.17589e-08,,,,,,1.1975e-02,4.2072e-03,4.8968e-05,4.6427e-06,5.1079e-08,,,,,,,,,,,
Sam 10,5.11638e-08,1.19583e-02,4.2231e-03,4.9055e-05,4.6770e-06,5.3105e-08,,,,,,           -1.3570,            3.7947,            1.8020,            7.0395,           21.6198,           -4.4655,           -2.1207,           -0.5278,           -0.5600,           15.5011,
Ref 11,5.09304e-08,,,,,,1.1974e-02,4.2072e-03,4.8966e-05,4.6459e-06,5.2899e-08,,,,,,,,,,,
Sam 11,5.03396e-08,1.19583e-02,4.2231e-03,4.9057e-05,4.6790e-06,5.4888e-08,,,,,,           -1.3554,            3.7981,            1.8543,            7.4413,           35.5064,           -4.4638,           -2.1173,           -0.4807,           -0.1680,           29.2957,
Ref 12,5.01253e-08,,,,,,1.1975e-02,4.2071e-03,4.8966e-05,4.6429e-06,5.3114e-08,,,,,,,,,,,
Sam 12,4.95464e-08,1.19582e-02,4.2231e-03,4.9057e-05,4.6793e-06,5.2540e-08,,,,,,           -1.3598,            3.7902,            1.8300,            7.6082,          -14.8977,           -4.4683,           -2.1251,           -0.4927,            0.0133,          -20.7864,
Ref 13,4.93454e-08,,,,,,1.1974e-02,4.2072e-03,4.8970e-05,4.6451e-06,5.3559e-08,,,,,,,,,,,
Sam 13,4.87588e-08,1.19582e-02,4.2231e-03,4.9062e-05,4.6806e-06,5.4658e-08,,,,,,           -1.3575,            3.7883,            1.9196,            7.5813,            1.8749,           -4.4657,           -2.1270,           -0.4038,           -0.0095,           -4.1127,
Ref 14,4.85715e-08,,,,,,1.1974e-02,4.2072e-03,4.8967e-05,4.6457e-06,5.5568e-08,,,,,,,,,,,
Sam 14,4.79895e-08,1.19582e-02,4.2231e-03,4.9055e-05,4.6790e-06,5.7218e-08,,,,,,           -1.3535,            3.7940,            1.7771,            7.2866,           25.1862,           -4.4617,           -2.1213,           -0.5557,           -0.3135,           19.0434,
Ref 15,4.77938e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6446e-06,5.6061e-08,,,,,,,,,,,
Sam 15,4.72126e-08,1.19582e-02,4.2231e-03,4.9063e-05,4.6779e-06,5.7148e-08,,,,,,           -1.3549,            3.7932,            1.9868,            7.2886,           34.3547,           -4.4632,           -2.1222,           -0.3441,           -0.3098,           28.1603,
Ref 16,4.70436e-08,,,,,,1.1974e-02,4.2072e-03,4.8961e-05,4.6435e-06,5.4427e-08,,,,,,,,,,,
Sam 16,4.64676e-08,1.19583e-02,4.2232e-03,4.9057e-05,4.6769e-06,5.4270e-08,,,,,,           -1.3498,            3.7905,            1.9144,            6.9180,           -9.0667,           -4.4577,           -2.1249,           -0.4190,           -0.6722,          -15.0011,
Ref 17,4.63126e-08,,,,,,1.1975e-02,4.2072e-03,4.8966e-05,4.6460e-06,5.5112e-08,,,,,,,,,,,
Sam 17,4.57388e-08,1.19582e-02,4.2231e-03,4.9066e-05,4.6786e-06,5.6230e-08,,,,,,           -1.3607,            3.7936,            1.9838,            7.1453,          -13.6936,           -4.4694,           -2.1217,           -0.3416,           -0.4529,          -19.5950,
Ref 18,4.55998e-08,,,,,,1.1974e-02,4.2072e-03,4.8971e-05,4.6447e-06,5.8938e-08,,,,,,,,,,,
Sam 18,4.50411e-08,1.19581e-02,4.2232e-03,4.9064e-05,4.6794e-06,5.5747e-08,,,,,,           -1.3603,            3.7952,            1.9369,            7.6241,          -20.2002,           -4.4689,           -2.1201,           -0.3905,            0.0191,          -26.0662,
Ref 19,4.49097e-08,,,,,,1.1974e-02,4.2072e-03,4.8967e-05,4.6432e-06,5.4823e-08,,,,,,,,,,,
Sam 19,4.43471e-08,1.19582e-02,4.2231e-03,4.9063e-05,4.6796e-06,5.5422e-08,,,,,,           -1.3461,            3.7787,            1.8657,            7.4994,           15.0185,           -4.4533,           -2.1366,           -0.4598,           -0.0716,            8.9591,
Ref 20,4.42256e-08,,,,,,1.1974e-02,4.2072e-03,4.8976e-05,4.6464e-06,5.4377e-08,,,,,,,,,,,
Sam 20,4.36489e-08,1.19579e-02,4.2231e-03,4.9058e-05,4.6788e-06,5.6460e-08,,,,,,           -1.3570,            3.7878,            1.6798,            6.8372,           23.3014,           -4.4652,           -2.1275,           -0.6430,           -0.7471,           17.1862,
Ref 21,4.35506e-08,,,,,,1.1974e-02,4.2071e-03,4.8975e-05,4.6478e-06,5.5984e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.32108e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6450e-06,5.6825e-08,
Sam 1,4.26430e-08,1.19579e-02,4.2231e-03,4.9063e-05,4.6798e-06,5.9830e-08,,,,,,           -1.3599,            3.7983,            1.9055,            7.6818,           23.8068,           -4.4686,           -2.1170,           -0.4252,            0.0702,           17.6707,
Ref 2,4.25572e-08,,,,,,1.1974e-02,4.2071e-03,4.8971e-05,4.6433e-06,6.0076e-08,,,,,,,,,,,
Sam 2,4.19866e-08,1.19579e-02,4.2231e-03,4.9060e-05,4.6773e-06,5.7903e-08,,,,,,           -1.3588,            3.7956,            1.8148,            7.1728,          -35.1989,           -4.4674,           -2.1198,           -0.5141,           -0.4295,          -40.9772,
Ref 3,4.18983e-08,,,,,,1.1974e-02,4.2071e-03,4.8971e-05,4.6446e-06,5.9954e-08,,,,,,,,,,,
Sam 3,4.13295e-08,1.19577e-02,4.2230e-03,4.9064e-05,4.6756e-06,5.8742e-08,,,,,,           -1.3672,            3.7851,            1.9092,            6.9440,          -34.2521,           -4.4760,           -2.1302,           -0.4009,           -0.6357,          -40.0078,
Ref 4,4.12660e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6421e-06,6.1709e-08,,,,,,,,,,,
Sam 4,4.06968e-08,1.19576e-02,4.2230e-03,4.9064e-05,4.6788e-06,6.3328e-08,,,,,,           -1.3651,            3.7845,            1.8948,            7.5188,           32.5579,           -4.4738,           -2.1308,           -0.4169,           -0.0640,           26.4029,
Ref 5,4.06580e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6456e-06,6.0948e-08,,,,,,,,,,,
Sam 5,4.00857e-08,1.19577e-02,4.2230e-03,4.9065e-05,4.6786e-06,6.5663e-08,,,,,,           -1.3533,            3.8020,            1.8768,            7.2905,           77.8713,           -4.4618,           -2.1134,           -0.4642,           -0.3254,           71.3960,
Ref 6,4.00444e-08,,,,,,1.1974e-02,4.2069e-03,4.8973e-05,4.6438e-06,6.0890e-08,,,,,,,,,,,
Sam 6,3.94860e-08,1.19575e-02,4.2229e-03,4.9067e-05,4.6785e-06,6.1421e-08,,,,,,           -1.3595,            3.7988,            1.8772,            7.4134,          -17.4092,           -4.4682,           -2.1166,           -0.4543,           -0.1971,          -23.2995,
Ref 7,3.94637e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6443e-06,6.4151e-08,,,,,,,,,,,
Sam 7,3.88989e-08,1.19575e-02,4.2229e-03,4.9062e-05,4.6777e-06,6.3193e-08,,,,,,           -1.3579,            3.7947,            1.8307,            6.9868,            9.8815,           -4.4664,           -2.1207,           -0.4983,           -0.6123,            3.8340,
Ref 8,3.88828e-08,,,,,,1.1974e-02,4.2070e-03,4.8969e-05,4.6463e-06,6.0975e-08,,,,,,,,,,,
Sam 8,3.83305e-08,1.19574e-02,4.2228e-03,4.9066e-05,4.6741e-06,6.5642e-08,,,,,,           -1.3593,            3.7574,            1.9337,            6.0155,           74.4984,           -4.4666,           -2.1577,           -0.3577,           -1.5022,           68.1434,
Ref 9,3.83115e-08,,,,,,1.1974e-02,4.2070e-03,4.8974e-05,4.6460e-06,6.1208e-08,,,,,,,,,,,
Sam 9,3.77469e-08,1.19575e-02,4.2228e-03,4.9061e-05,4.6782e-06,6.3241e-08,,,,,,           -1.3558,            3.7763,            1.7439,            7.3955,            5.9418,           -4.4635,           -2.1389,           -0.5691,           -0.1702,           -0.0485,
Ref 10,3.77475e-08,,,,,,1.1974e-02,4.2069e-03,4.8978e-05,4.6416e-06,6.4553e-08,,,,,,,,,,,
Sam 10,3.71840e-08,1.19575e-02,4.2229e-03,4.9073e-05,4.6796e-06,6.3420e-08,,,,,,           -1.3502,            3.7972,            2.0287,            7.9185,          -14.3454,           -4.4583,           -2.1182,           -0.3112,            0.3073,          -20.2608,
Ref 11,3.71962e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6441e-06,6.4130e-08,,,,,,,,,,,
Sam 11,3.66365e-08,1.19574e-02,4.2228e-03,4.9065e-05,4.6802e-06,6.3889e-08,,,,,,           -1.3468,            3.7797,            1.9506,            7.8233,          -24.1051,           -4.4540,           -2.1356,           -0.3755,            0.2477,          -29.9322,
Ref 12,3.66567e-08,,,,,,1.1974e-02,4.2069e-03,4.8968e-05,4.6437e-06,6.6825e-08,,,,,,,,,,,
Sam 12,3.60996e-08,1.19574e-02,4.2228e-03,4.9071e-05,4.6804e-06,6.7291e-08,,,,,,           -1.3509,            3.7820,            2.0785,            7.7653,            4.7829,           -4.4585,           -2.1333,           -0.2458,            0.1856,           -1.2167,
Ref 13,3.61388e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6449e-06,6.7119e-08,,,,,,,,,,,
Sam 13,3.55781e-08,1.19572e-02,4.2228e-03,4.9064e-05,4.6778e-06,6.6091e-08,,,,,,           -1.3577,            3.7926,            1.9034,            6.7608,          -31.9939,           -4.4661,           -2.1227,           -0.4240,           -0.8325,          -37.7870,
Ref 14,3.56191e-08,,,,,,1.1973e-02,4.2068e-03,4.8970e-05,4.6478e-06,6.9449e-08,,,,,,,,,,,
Sam 14,3.50599e-08,1.19571e-02,4.2228e-03,4.9068e-05,4.6794e-06,6.6186e-08,,,,,,           -1.3569,            3.7926,            1.9755,            7.0088,          -38.7759,           -4.4653,           -2.1227,           -0.3528,           -0.5864,          -44.5292,
Ref 15,3.51056e-08,,,,,,1.1973e-02,4.2068e-03,4.8972e-05,4.6459e-06,6.8254e-08,,,,,,,,,,,
Sam 15,3.45525e-08,1.19569e-02,4.2227e-03,4.9060e-05,4.6816e-06,6.5274e-08,,,,,,           -1.3704,            3.7871,            1.8350,            8.2912,          -16.6304,           -4.4795,           -2.1282,           -0.4737,            0.6974,          -22.4917,
Ref 16,3.46092e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6403e-06,6.4475e-08,,,,,,,,,,,
Sam 16,3.40538e-08,1.19570e-02,4.2227e-03,4.9063e-05,4.6806e-06,6.7989e-08,,,,,,           -1.3554,            3.8080,            1.8569,            8.0934,           43.9151,           -4.4642,           -2.1074,           -0.4878,            0.4594,           37.6339,
Ref 17,3.41420e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6458e-06,6.5792e-08,,,,,,,,,,,
Sam 17,3.35707e-08,1.19570e-02,4.2226e-03,4.9066e-05,4.6805e-06,6.3103e-08,,,,,,           -1.3505,            3.7828,            1.9028,            7.5530,          -14.7931,           -4.4581,           -2.1325,           -0.4224,           -0.0267,          -20.6778,
Ref 18,3.36452e-08,,,,,,1.1973e-02,4.2068e-03,4.8971e-05,4.6450e-06,6.2283e-08,,,,,,,,,,,
Sam 18,3.30884e-08,1.19567e-02,4.2226e-03,4.9069e-05,4.6793e-06,6.0872e-08,,,,,,           -1.3689,            3.7617,            2.0129,            7.5985,          -12.1266,           -4.4769,           -2.1535,           -0.2728,            0.0605,          -17.9674,
Ref 19,3.31714e-08,,,,,,1.1973e-02,4.2067e-03,4.8971e-05,4.6430e-06,6.0946e-08,,,,,,,,,,,
Sam 19,3.26072e-08,1.19568e-02,4.2227e-03,4.9065e-05,4.6809e-06,5.9314e-08,,,,,,           -1.3589,            3.7944,            1.9635,            7.8680,          -58.3445,           -4.4675,           -2.1209,           -0.3645,            0.2628,          -63.9820,
Ref 20,3.27036e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6457e-06,6.5060e-08,,,,,,,,,,,
Sam 20,3.21425e-08,1.19569e-02,4.2226e-03,4.9067e-05,4.6813e-06,6.0778e-08,,,,,,           -1.3505,            3.7915,            1.8883,            7.6343,          -34.7103,           -4.4584,           -2.1238,           -0.4454,            0.0366,          -40.4925,
Ref 21,3.22554e-08,,,,,,1.1973e-02,4.2067e-03,4.8982e-05,4.6459e-06,6.0837e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.20270e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6436e-06,6.3900e-08,
Sam 1,3.14627e-08,1.19567e-02,4.2225e-03,4.9065e-05,4.6873e-06,6.4688e-08,,,,,,           -1.3609,            3.7935,            1.9130,            9.3882,            5.6492,           -4.4696,           -2.1218,           -0.4120,            1.7733,           -0.3676,
Ref 2,3.15819e-08,,,,,,1.1973e-02,4.2066e-03,4.8966e-05,4.6438e-06,6.4755e-08,,,,,,,,,,,
Sam 2,3.10199e-08,1.19566e-02,4.2225e-03,4.9062e-05,4.6809e-06,6.3438e-08,,,,,,           -1.3599,            3.7853,            1.8851,            7.8817,          -12.7286,           -4.4682,           -2.1300,           -0.4327,            0.2945,          -18.6207,
Ref 3,3.11459e-08,,,,,,1.1973e-02,4.2066e-03,4.8974e-05,4.6449e-06,6.3750e-08,,,,,,,,,,,
Sam 3,3.05922e-08,1.19565e-02,4.2225e-03,4.9072e-05,4.6797e-06,6.2121e-08,,,,,,           -1.3660,            3.7940,            1.9660,            7.6691,          -30.0976,           -4.4750,           -2.1213,           -0.3542,            0.0661,          -35.8961,
Ref 4,3.07378e-08,,,,,,1.1973e-02,4.2065e-03,4.8978e-05,4.6432e-06,6.4352e-08,,,,,,,,,,,
Sam 4,3.01627e-08,1.19566e-02,4.2225e-03,4.9066e-05,4.6827e-06,6.5235e-08,,,,,,           -1.3535,            3.7954,            1.8569,            8.0536,           14.2261,           -4.4617,           -2.1199,           -0.4775,            0.4449,            8.1463,
Ref 5,3.02984e-08,,,,,,1.1973e-02,4.2065e-03,4.8972e-05,4.6473e-06,6.4288e-08,,,,,,,,,,,
Sam 5,2.97408e-08,1.19563e-02,4.2224e-03,4.9066e-05,4.6803e-06,6.5054e-08,,,,,,           -1.3761,            3.7819,            1.8865,            7.5069,            6.4520,           -4.4854,           -2.1334,           -0.4113,           -0.0707,            0.4694,
Ref 6,2.98877e-08,,,,,,1.1973e-02,4.2066e-03,4.8974e-05,4.6435e-06,6.4992e-08,,,,,,,,,,,
Sam 6,2.93390e-08,1.19564e-02,4.2224e-03,4.9062e-05,4.6812e-06,6.4312e-08,,,,,,           -1.3614,            3.7822,            1.7882,            7.7123,           -9.6823,           -4.4697,           -2.1331,           -0.5249,            0.1325,          -15.5850,
Ref 7,2.94914e-08,,,,,,1.1973e-02,4.2065e-03,4.8974e-05,4.6474e-06,6.4889e-08,,,,,,,,,,,
Sam 7,2.89332e-08,1.19564e-02,4.2224e-03,4.9063e-05,4.6790e-06,6.6054e-08,,,,,,           -1.3519,            3.7843,            1.7722,            7.1725,            3.2116,           -4.4596,           -2.1310,           -0.5527,           -0.4074,           -2.7823,
Ref 8,2.90904e-08,,,,,,1.1973e-02,4.2065e-03,4.8978e-05,4.6440e-06,6.6810e-08,,,,,,,,,,,
Sam 8,2.85331e-08,1.19564e-02,4.2224e-03,4.9074e-05,4.6787e-06,6.7075e-08,,,,,,           -1.3568,            3.7860,            2.0466,            7.2764,            7.5531,           -4.4649,           -2.1293,           -0.2755,           -0.3075,            1.5353,
Ref 9,2.86970e-08,,,,,,1.1973e-02,4.2065e-03,4.8970e-05,4.6457e-06,6.6330e-08,,,,,,,,,,,
Sam 9,2.81606e-08,1.19564e-02,4.2224e-03,4.9072e-05,4.6785e-06,7.0858e-08,,,,,,           -1.3559,            3.7897,            2.0415,            7.0990,           45.1894,           -4.4641,           -2.1257,           -0.2852,           -0.4909,           38.9383,
Ref 10,2.83229e-08,,,,,,1.1972e-02,4.2064e-03,4.8974e-05,4.6454e-06,6.9277e-08,,,,,,,,,,,
Sam 10,2.77599e-08,1.19564e-02,4.2223e-03,4.9067e-05,4.6786e-06,7.0656e-08,,,,,,           -1.3428,            3.7940,            1.8856,            7.2873,           -3.1954,           -4.4503,           -2.1213,           -0.4585,           -0.3128,           -9.1794,
Ref 11,2.79404e-08,,,,,,1.1972e-02,4.2063e-03,4.8976e-05,4.6441e-06,7.2510e-08,,,,,,,,,,,
Sam 11,2.73989e-08,1.19560e-02,4.2222e-03,4.9077e-05,4.6767e-06,7.6110e-08,,,,,,           -1.3651,            3.7712,            2.0266,            6.9088,           31.9187,           -4.4732,           -2.1440,           -0.2724,           -0.6430,           25.7941,
Ref 12,2.75666e-08,,,,,,1.1972e-02,4.2064e-03,4.8979e-05,4.6451e-06,7.5018e-08,,,,,,,,,,,
Sam 12,2.70135e-08,1.19560e-02,4.2222e-03,4.9070e-05,4.6783e-06,6.9590e-08,,,,,,           -1.3616,            3.7695,            1.9390,            7.1334,          -60.9014,           -4.4695,           -2.1458,           -0.3618,           -0.4165,          -66.4752,
Ref 13,2.71998e-08,,,,,,1.1972e-02,4.2063e-03,4.8971e-05,4.6452e-06,7.3176e-08,,,,,,,,,,,
Sam 13,2.66458e-08,1.19560e-02,4.2222e-03,4.9070e-05,4.6822e-06,7.2966e-08,,,,,,           -1.3571,            3.7685,            1.9273,            7.8659,           -5.7652,           -4.4646,           -2.1467,           -0.3771,            0.3124,          -11.6693,
Ref 14,2.68394e-08,,,,,,1.1972e-02,4.2063e-03,4.8979e-05,4.6462e-06,7.3606e-08,,,,,,,,,,,
Sam 14,2.62921e-08,1.19560e-02,4.2222e-03,4.9075e-05,4.6812e-06,7.4825e-08,,,,,,           -1.3647,            3.7725,            1.9559,            7.7308,           28.1056,           -4.4729,           -2.1428,           -0.3445,            0.1704,           22.0009,
Ref 15,2.64905e-08,,,,,,1.1972e-02,4.2064e-03,4.8979e-05,4.6444e-06,7.1943e-08,,,,,,,,,,,
Sam 15,2.59423e-08,1.19561e-02,4.2222e-03,4.9071e-05,4.6852e-06,7.3939e-08,,,,,,           -1.3544,            3.7977,            1.9551,            8.4377,           50.8315,           -4.4628,           -2.1177,           -0.3807,            0.8217,           44.5287,
Ref 16,2.61458e-08,,,,,,1.1972e-02,4.2062e-03,4.8971e-05,4.6477e-06,6.8760e-08,,,,,,,,,,,
Sam 16,2.55976e-08,1.19559e-02,4.2221e-03,4.9070e-05,4.6820e-06,7.2077e-08,,,,,,           -1.3622,            3.7626,            1.9535,            7.3018,           36.2805,           -4.4699,           -2.1526,           -0.3398,           -0.2357,           30.1444,
Ref 17,2.58090e-08,,,,,,1.1972e-02,4.2063e-03,4.8977e-05,4.6484e-06,7.0358e-08,,,,,,,,,,,
Sam 17,2.52610e-08,1.19559e-02,4.2222e-03,4.9071e-05,4.6860e-06,6.4932e-08,,,,,,           -1.3521,            3.8069,            1.8814,            8.4069,          -75.5419,           -4.4606,           -2.1085,           -0.4657,            0.7727,          -81.1056,
Ref 18,2.55095e-08,,,,,,1.1972e-02,4.2061e-03,4.8980e-05,4.6453e-06,7.0118e-08,,,,,,,,,,,
Sam 18,2.49425e-08,1.19557e-02,4.2221e-03,4.9078e-05,4.6846e-06,7.1354e-08,,,,,,           -1.3559,            3.7837,            1.9661,            8.0940,           14.6585,           -4.4639,           -2.1316,           -0.3545,            0.5084,            8.6018,
Ref 19,2.51600e-08,,,,,,1.1972e-02,4.2062e-03,4.8984e-05,4.6487e-06,7.0531e-08,,,,,,,,,,,
Sam 19,2.46073e-08,1.19557e-02,4.2221e-03,4.9071e-05,4.6838e-06,7.3495e-08,,,,,,           -1.3618,            3.7726,            1.8416,            7.6905,           39.3636,           -4.4698,           -2.1426,           -0.4618,            0.1300,           33.1885,
Ref 20,2.48415e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6474e-06,7.0895e-08,,,,,,,,,,,
Sam 20,2.42835e-08,1.19558e-02,4.2221e-03,4.9082e-05,4.6847e-06,7.3364e-08,,,,,,           -1.3567,            3.7819,            2.1138,            7.4683,           27.1638,           -4.4646,           -2.1334,           -0.2046,           -0.1090,           21.0370,
Ref 21,2.45165e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6527e-06,7.1959e-08,,,,,,,,,,,


