Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 04:11 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 05:10 with Stable 1.71.5 on PS019

Data File = Data_17475 BD4-30-35_1-C.txt, Sample Weight = 446,                      Vial Location = 8,                        Initial Sam Beam = 1.4628e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5318e-08,                Max Ref Beam = 1.0619e-07,                

Analysis undertaken at mass 46.02148
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.65539e-08,,,,,,1.1974e-02,4.2068e-03,4.8958e-05,4.6458e-06,5.5139e-08,
Sam 1,5.59723e-08,1.19493e-02,4.2338e-03,4.9137e-05,4.7035e-06,5.6268e-08,,,,,,           -2.0783,            6.4106,            3.6483,           12.6127,           38.9548,           -5.3236,            0.4842,           -0.5034,           -0.2465,           28.2478,
Ref 2,5.55748e-08,,,,,,1.1974e-02,4.2069e-03,4.8959e-05,4.6441e-06,5.3160e-08,,,,,,,,,,,
Sam 2,5.49992e-08,1.19495e-02,4.2339e-03,4.9144e-05,4.7019e-06,5.4825e-08,,,,,,           -2.0736,            6.4009,            3.8278,           12.2756,            0.3057,           -5.3182,            0.4745,           -0.3200,           -0.5600,           -9.9891,
Ref 3,5.46400e-08,,,,,,1.1974e-02,4.2070e-03,4.8954e-05,4.6457e-06,5.6485e-08,,,,,,,,,,,
Sam 3,5.40752e-08,1.19495e-02,4.2340e-03,4.9145e-05,4.7036e-06,5.7968e-08,,,,,,           -2.0782,            6.4043,            3.7814,           12.5560,            6.7871,           -5.3233,            0.4779,           -0.3649,           -0.2900,           -3.5762,
Ref 4,5.37536e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6448e-06,5.8687e-08,,,,,,,,,,,
Sam 4,5.31834e-08,1.19495e-02,4.2340e-03,4.9141e-05,4.7027e-06,5.6014e-08,,,,,,           -2.0841,            6.4005,            3.6054,           12.5616,          -12.5060,           -5.3294,            0.4741,           -0.5303,           -0.2769,          -22.6573,
Ref 5,5.28812e-08,,,,,,1.1974e-02,4.2071e-03,4.8964e-05,4.6439e-06,5.4728e-08,,,,,,,,,,,
Sam 5,5.23046e-08,1.19495e-02,4.2340e-03,4.9145e-05,4.7040e-06,5.4388e-08,,,,,,           -2.0796,            6.3852,            3.7068,           12.9384,          -12.1979,           -5.3241,            0.4589,           -0.4190,            0.1255,          -22.3279,
Ref 6,5.20337e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6439e-06,5.5396e-08,,,,,,,,,,,
Sam 6,5.14533e-08,1.19496e-02,4.2340e-03,4.9137e-05,4.7038e-06,5.5583e-08,,,,,,           -2.0688,            6.3949,            3.6152,           13.1050,            1.8158,           -5.3129,            0.4685,           -0.5308,            0.2709,           -8.4880,
Ref 7,5.12018e-08,,,,,,1.1974e-02,4.2071e-03,4.8957e-05,4.6421e-06,5.5570e-08,,,,,,,,,,,
Sam 7,5.06202e-08,1.19495e-02,4.2340e-03,4.9140e-05,4.7035e-06,5.4421e-08,,,,,,           -2.0785,            6.3929,            3.6282,           13.1995,            3.2577,           -5.3232,            0.4666,           -0.5060,            0.3680,           -7.0469,
Ref 8,5.03883e-08,,,,,,1.1974e-02,4.2072e-03,4.8968e-05,4.6423e-06,5.2897e-08,,,,,,,,,,,
Sam 8,4.98039e-08,1.19495e-02,4.2340e-03,4.9140e-05,4.7046e-06,5.2078e-08,,,,,,           -2.0725,            6.3705,            3.5377,           13.0424,           -6.0862,           -5.3160,            0.4443,           -0.5804,            0.2574,          -16.2580,
Ref 9,4.95928e-08,,,,,,1.1974e-02,4.2072e-03,4.8965e-05,4.6458e-06,5.1889e-08,,,,,,,,,,,
Sam 9,4.90091e-08,1.19494e-02,4.2341e-03,4.9146e-05,4.7044e-06,5.3200e-08,,,,,,           -2.0777,            6.3971,            3.7748,           12.9042,           33.1030,           -5.3225,            0.4707,           -0.3648,            0.0682,           22.4827,
Ref 10,4.88157e-08,,,,,,1.1974e-02,4.2072e-03,4.8958e-05,4.6432e-06,5.1096e-08,,,,,,,,,,,
Sam 10,4.82294e-08,1.19495e-02,4.2341e-03,4.9140e-05,4.7021e-06,5.1817e-08,,,,,,           -2.0732,            6.4129,            3.6225,           12.4611,            6.6902,           -5.3182,            0.4864,           -0.5366,           -0.4007,           -3.6941,
Ref 11,4.80421e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6453e-06,5.1855e-08,,,,,,,,,,,
Sam 11,4.74674e-08,1.19495e-02,4.2340e-03,4.9147e-05,4.7024e-06,5.2261e-08,,,,,,           -2.0732,            6.3910,            3.6646,           12.8205,           11.7407,           -5.3174,            0.4646,           -0.4733,           -0.0023,            1.3471,
Ref 12,4.73012e-08,,,,,,1.1974e-02,4.2072e-03,4.8969e-05,4.6404e-06,5.1450e-08,,,,,,,,,,,
Sam 12,4.67172e-08,1.19493e-02,4.2340e-03,4.9146e-05,4.7014e-06,4.7512e-08,,,,,,           -2.0889,            6.3769,            3.6539,           12.6532,          -57.6784,           -5.3337,            0.4507,           -0.4540,           -0.1395,          -67.3175,
Ref 13,4.65675e-08,,,,,,1.1974e-02,4.2072e-03,4.8965e-05,4.6450e-06,4.9373e-08,,,,,,,,,,,
Sam 13,4.59779e-08,1.19494e-02,4.2340e-03,4.9137e-05,4.7032e-06,5.0352e-08,,,,,,           -2.0787,            6.3939,            3.5167,           12.6688,           -6.7218,           -5.3234,            0.4676,           -0.6178,           -0.1579,          -16.9256,
Ref 14,4.58321e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6437e-06,5.2034e-08,,,,,,,,,,,
Sam 14,4.52585e-08,1.19493e-02,4.2341e-03,4.9144e-05,4.7023e-06,5.3286e-08,,,,,,           -2.0865,            6.4083,            3.6562,           12.6057,           47.3147,           -5.3323,            0.4819,           -0.4849,           -0.2489,           36.5353,
Ref 15,4.51263e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6438e-06,4.9706e-08,,,,,,,,,,,
Sam 15,4.45556e-08,1.19492e-02,4.2340e-03,4.9148e-05,4.7026e-06,4.9175e-08,,,,,,           -2.0888,            6.3906,            3.7244,           12.6914,           10.0051,           -5.3341,            0.4643,           -0.3972,           -0.1290,           -0.3533,
Ref 16,4.44357e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6436e-06,4.7653e-08,,,,,,,,,,,
Sam 16,4.38634e-08,1.19492e-02,4.2340e-03,4.9146e-05,4.7010e-06,4.8198e-08,,,,,,           -2.0807,            6.3870,            3.7054,           12.5553,          -26.1473,           -5.3253,            0.4607,           -0.4210,           -0.2562,          -36.1364,
Ref 17,4.37575e-08,,,,,,1.1974e-02,4.2071e-03,4.8964e-05,4.6419e-06,5.1359e-08,,,,,,,,,,,
Sam 17,4.31876e-08,1.19492e-02,4.2340e-03,4.9150e-05,4.7038e-06,5.1502e-08,,,,,,           -2.0782,            6.3951,            3.7203,           13.1728,            8.1187,           -5.3230,            0.4687,           -0.4166,            0.3375,           -2.2403,
Ref 18,4.30915e-08,,,,,,1.1974e-02,4.2071e-03,4.8972e-05,4.6434e-06,5.0812e-08,,,,,,,,,,,
Sam 18,4.25176e-08,1.19490e-02,4.2339e-03,4.9140e-05,4.7018e-06,4.8634e-08,,,,,,           -2.0870,            6.3766,            3.5127,           12.3119,          -59.6256,           -5.3317,            0.4504,           -0.5962,           -0.4760,          -69.2462,
Ref 19,4.24297e-08,,,,,,1.1974e-02,4.2071e-03,4.8964e-05,4.6458e-06,5.2637e-08,,,,,,,,,,,
Sam 19,4.18678e-08,1.19489e-02,4.2340e-03,4.9145e-05,4.7018e-06,5.1430e-08,,,,,,           -2.0917,            6.3941,            3.7041,           12.1890,           10.0199,           -5.3373,            0.4678,           -0.4179,           -0.6320,           -0.3424,
Ref 20,4.17937e-08,,,,,,1.1974e-02,4.2070e-03,4.8963e-05,4.6444e-06,4.9177e-08,,,,,,,,,,,
Sam 20,4.12326e-08,1.19490e-02,4.2339e-03,4.9141e-05,4.7045e-06,4.9274e-08,,,,,,           -2.0858,            6.3920,            3.6673,           12.9249,           22.1331,           -5.3309,            0.4657,           -0.4586,            0.0987,           11.6443,
Ref 21,4.11688e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6446e-06,4.7222e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.08605e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6399e-06,4.5933e-08,
Sam 1,4.02947e-08,1.19490e-02,4.2339e-03,4.9146e-05,4.7020e-06,4.2104e-08,,,,,,           -2.0849,            6.3974,            3.7023,           13.0721,          -72.1544,           -5.3301,            0.4710,           -0.4299,            0.2334,          -81.6861,
Ref 2,4.02700e-08,,,,,,1.1974e-02,4.2070e-03,4.8963e-05,4.6427e-06,4.4817e-08,,,,,,,,,,,
Sam 2,3.96898e-08,1.19487e-02,4.2338e-03,4.9147e-05,4.6989e-06,4.6981e-08,,,,,,           -2.0997,            6.3791,            3.7245,           12.1349,           61.1603,           -5.3453,            0.4528,           -0.3745,           -0.6555,           50.3133,
Ref 3,3.96550e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6424e-06,4.3722e-08,,,,,,,,,,,
Sam 3,3.90884e-08,1.19490e-02,4.2339e-03,4.9149e-05,4.7007e-06,4.1633e-08,,,,,,           -2.0682,            6.4016,            3.7182,           12.5903,          -29.4463,           -5.3125,            0.4752,           -0.4354,           -0.2507,          -39.4418,
Ref 4,3.90669e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6421e-06,4.2059e-08,,,,,,,,,,,
Sam 4,3.85002e-08,1.19487e-02,4.2339e-03,4.9146e-05,4.7016e-06,4.1675e-08,,,,,,           -2.0932,            6.3979,            3.6493,           12.6400,           -2.0266,           -5.3390,            0.4715,           -0.4746,           -0.1943,          -12.2710,
Ref 5,3.84924e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6438e-06,4.1456e-08,,,,,,,,,,,
Sam 5,3.79259e-08,1.19487e-02,4.2338e-03,4.9148e-05,4.6971e-06,4.2075e-08,,,,,,           -2.0867,            6.3813,            3.6955,           12.0193,          -19.7238,           -5.3315,            0.4550,           -0.4191,           -0.7741,          -29.7618,
Ref 6,3.79296e-08,,,,,,1.1974e-02,4.2069e-03,4.8967e-05,4.6389e-06,4.4409e-08,,,,,,,,,,,
Sam 6,3.73650e-08,1.19487e-02,4.2338e-03,4.9141e-05,4.6992e-06,4.4621e-08,,,,,,           -2.0825,            6.3927,            3.5972,           12.5725,           11.1903,           -5.3275,            0.4664,           -0.5324,           -0.2505,            0.8090,
Ref 7,3.73855e-08,,,,,,1.1974e-02,4.2069e-03,4.8962e-05,4.6428e-06,4.3841e-08,,,,,,,,,,,
Sam 7,3.68150e-08,1.19486e-02,4.2338e-03,4.9143e-05,4.6997e-06,4.7055e-08,,,,,,           -2.0821,            6.3973,            3.6703,           12.7153,           70.0840,           -5.3272,            0.4709,           -0.4646,           -0.1187,           59.0881,
Ref 8,3.68342e-08,,,,,,1.1974e-02,4.2069e-03,4.8965e-05,4.6386e-06,4.4108e-08,,,,,,,,,,,
Sam 8,3.62732e-08,1.19487e-02,4.2338e-03,4.9143e-05,4.6991e-06,4.4352e-08,,,,,,           -2.0725,            6.3934,            3.6511,           12.7314,           33.2955,           -5.3168,            0.4671,           -0.4899,           -0.0952,           22.6749,
Ref 9,3.63028e-08,,,,,,1.1973e-02,4.2068e-03,4.8962e-05,4.6415e-06,4.1720e-08,,,,,,,,,,,
Sam 9,3.57418e-08,1.19485e-02,4.2337e-03,4.9142e-05,4.6986e-06,4.4861e-08,,,,,,           -2.0859,            6.3764,            3.6843,           12.4803,           41.7261,           -5.3305,            0.4501,           -0.4262,           -0.3091,           31.0680,
Ref 10,3.57801e-08,,,,,,1.1973e-02,4.2068e-03,4.8961e-05,4.6399e-06,4.4428e-08,,,,,,,,,,,
Sam 10,3.52204e-08,1.19485e-02,4.2337e-03,4.9144e-05,4.6974e-06,4.4667e-08,,,,,,           -2.0802,            6.3832,            3.7312,           12.2902,            8.7808,           -5.3247,            0.4569,           -0.3921,           -0.5105,           -1.5597,
Ref 11,3.52672e-08,,,,,,1.1973e-02,4.2068e-03,4.8961e-05,4.6409e-06,4.4126e-08,,,,,,,,,,,
Sam 11,3.47101e-08,1.19482e-02,4.2336e-03,4.9140e-05,4.6969e-06,4.3887e-08,,,,,,           -2.0907,            6.3861,            3.6025,           12.7579,          -26.3781,           -5.3359,            0.4599,           -0.5124,           -0.0545,          -36.3530,
Ref 12,3.47774e-08,,,,,,1.1973e-02,4.2068e-03,4.8967e-05,4.6344e-06,4.6039e-08,,,,,,,,,,,
Sam 12,3.42163e-08,1.19481e-02,4.2336e-03,4.9144e-05,4.6989e-06,4.7582e-08,,,,,,           -2.0886,            6.3754,            3.6769,           13.4201,           50.1448,           -5.3334,            0.4491,           -0.4298,            0.6208,           39.4056,
Ref 13,3.43008e-08,,,,,,1.1973e-02,4.2067e-03,4.8961e-05,4.6389e-06,4.4572e-08,,,,,,,,,,,
Sam 13,3.37316e-08,1.19481e-02,4.2335e-03,4.9137e-05,4.6935e-06,4.3283e-08,,,,,,           -2.0867,            6.3832,            3.6055,           11.6119,          -26.9929,           -5.3316,            0.4570,           -0.5107,           -1.1802,          -36.9601,
Ref 14,3.37977e-08,,,,,,1.1973e-02,4.2067e-03,4.8959e-05,4.6403e-06,4.4394e-08,,,,,,,,,,,
Sam 14,3.32429e-08,1.19480e-02,4.2336e-03,4.9141e-05,4.6955e-06,4.1251e-08,,,,,,           -2.0914,            6.3905,            3.6841,           12.3749,          -57.5211,           -5.3368,            0.4642,           -0.4345,           -0.4412,          -67.1841,
Ref 15,3.33253e-08,,,,,,1.1973e-02,4.2067e-03,4.8962e-05,4.6358e-06,4.3135e-08,,,,,,,,,,,
Sam 15,3.27691e-08,1.19480e-02,4.2335e-03,4.9137e-05,4.6945e-06,4.0855e-08,,,,,,           -2.0917,            6.3886,            3.5820,           12.6304,          -66.2228,           -5.3371,            0.4623,           -0.5341,           -0.1853,          -75.7930,
Ref 16,3.28590e-08,,,,,,1.1973e-02,4.2066e-03,4.8961e-05,4.6361e-06,4.4378e-08,,,,,,,,,,,
Sam 16,3.23035e-08,1.19481e-02,4.2335e-03,4.9137e-05,4.7002e-06,4.5197e-08,,,,,,           -2.0782,            6.3971,            3.5749,           13.6864,           44.1508,           -5.3230,            0.4707,           -0.5634,            0.8405,           33.4174,
Ref 17,3.24027e-08,,,,,,1.1973e-02,4.2066e-03,4.8963e-05,4.6374e-06,4.2178e-08,,,,,,,,,,,
Sam 17,3.18839e-08,1.19480e-02,4.2334e-03,4.9140e-05,4.6977e-06,4.1081e-08,,,,,,           -2.0871,            6.3824,            3.6020,           12.8288,           -4.3164,           -5.3320,            0.4561,           -0.5129,            0.0230,          -14.5139,
Ref 18,3.19739e-08,,,,,,1.1973e-02,4.2066e-03,4.8963e-05,4.6390e-06,4.0328e-08,,,,,,,,,,,
Sam 18,3.14061e-08,1.19480e-02,4.2335e-03,4.9140e-05,4.6963e-06,4.2366e-08,,,,,,           -2.0860,            6.3806,            3.6559,           12.6243,           29.5752,           -5.3308,            0.4543,           -0.4586,           -0.1753,           19.0331,
Ref 19,3.15226e-08,,,,,,1.1973e-02,4.2067e-03,4.8958e-05,4.6366e-06,4.1983e-08,,,,,,,,,,,
Sam 19,3.09585e-08,1.19478e-02,4.2335e-03,4.9132e-05,4.6961e-06,4.0766e-08,,,,,,           -2.0882,            6.3807,            3.5365,           12.8186,          -33.0424,           -5.3331,            0.4545,           -0.5753,            0.0161,          -42.9414,
Ref 20,3.10802e-08,,,,,,1.1973e-02,4.2066e-03,4.8959e-05,4.6367e-06,4.2339e-08,,,,,,,,,,,
Sam 20,3.05174e-08,1.19479e-02,4.2334e-03,4.9133e-05,4.6947e-06,3.9996e-08,,,,,,           -2.0801,            6.3879,            3.5417,           12.7336,            4.2615,           -5.3247,            0.4616,           -0.5856,           -0.0820,           -6.0419,
Ref 21,3.06504e-08,,,,,,1.1973e-02,4.2065e-03,4.8960e-05,4.6347e-06,3.7279e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.04381e-08,,,,,,1.1973e-02,4.2065e-03,4.8954e-05,4.6399e-06,3.5131e-08,
Sam 1,2.98757e-08,1.19479e-02,4.2333e-03,4.9139e-05,4.6980e-06,4.2046e-08,,,,,,           -2.0845,            6.3680,            3.8151,           12.8642,          119.5875,           -5.3287,            0.4418,           -0.2893,            0.0865,          108.1491,
Ref 2,3.00214e-08,,,,,,1.1973e-02,4.2065e-03,4.8951e-05,4.6367e-06,4.0014e-08,,,,,,,,,,,
Sam 2,2.94634e-08,1.19477e-02,4.2333e-03,4.9126e-05,4.6933e-06,4.0559e-08,,,,,,           -2.0928,            6.3767,            3.5601,           12.0139,           29.1487,           -5.3378,            0.4505,           -0.5432,           -0.7703,           18.6260,
Ref 3,2.96203e-08,,,,,,1.1973e-02,4.2064e-03,4.8953e-05,4.6384e-06,3.8799e-08,,,,,,,,,,,
Sam 3,2.90574e-08,1.19477e-02,4.2333e-03,4.9130e-05,4.6956e-06,3.4683e-08,,,,,,           -2.0845,            6.3892,            3.5980,           12.7112,          -54.6972,           -5.3295,            0.4629,           -0.5261,           -0.1066,          -64.3936,
Ref 4,2.92296e-08,,,,,,1.1973e-02,4.2064e-03,4.8955e-05,4.6350e-06,3.4552e-08,,,,,,,,,,,
Sam 4,2.86563e-08,1.19476e-02,4.2333e-03,4.9127e-05,4.6985e-06,3.6566e-08,,,,,,           -2.0915,            6.3968,            3.4996,           14.1353,           87.8773,           -5.3372,            0.4705,           -0.6244,            1.2843,           76.7104,
Ref 5,2.88212e-08,,,,,,1.1973e-02,4.2065e-03,4.8956e-05,4.6309e-06,3.2659e-08,,,,,,,,,,,
Sam 5,2.82627e-08,1.19476e-02,4.2333e-03,4.9136e-05,4.6922e-06,3.0078e-08,,,,,,           -2.0919,            6.3803,            3.6873,           13.2652,          -85.6545,           -5.3370,            0.4541,           -0.4209,            0.4580,          -95.0106,
Ref 6,2.84344e-08,,,,,,1.1973e-02,4.2064e-03,4.8954e-05,4.6307e-06,3.3135e-08,,,,,,,,,,,
Sam 6,2.78779e-08,1.19475e-02,4.2332e-03,4.9131e-05,4.6932e-06,3.0698e-08,,,,,,           -2.0821,            6.3691,            3.6503,           13.6214,          -82.5479,           -5.3262,            0.4429,           -0.4569,            0.8319,          -91.9254,
Ref 7,2.80576e-08,,,,,,1.1972e-02,4.2064e-03,4.8952e-05,4.6295e-06,3.3790e-08,,,,,,,,,,,
Sam 7,2.74997e-08,1.19477e-02,4.2333e-03,4.9137e-05,4.6940e-06,2.9183e-08,,,,,,           -2.0604,            6.3983,            3.8905,           13.1967,          -78.2855,           -5.3041,            0.4719,           -0.2687,            0.3545,          -87.7798,
Ref 8,2.77248e-08,,,,,,1.1972e-02,4.2063e-03,4.8941e-05,4.6363e-06,2.9507e-08,,,,,,,,,,,
Sam 8,2.71524e-08,1.19475e-02,4.2332e-03,4.9125e-05,4.6902e-06,2.6652e-08,,,,,,           -2.0771,            6.3851,            3.6643,           12.1175,         -127.2582,           -5.3215,            0.4588,           -0.4638,           -0.6848,         -136.2103,
Ref 9,2.73341e-08,,,,,,1.1972e-02,4.2064e-03,4.8951e-05,4.6319e-06,3.1584e-08,,,,,,,,,,,
Sam 9,2.67775e-08,1.19476e-02,4.2333e-03,4.9125e-05,4.6929e-06,2.9235e-08,,,,,,           -2.0846,            6.3909,            3.5677,           13.2134,          -69.6070,           -5.3296,            0.4646,           -0.5578,            0.3859,          -79.1535,
Ref 10,2.69830e-08,,,,,,1.1973e-02,4.2064e-03,4.8949e-05,4.6315e-06,3.1259e-08,,,,,,,,,,,
Sam 10,2.64217e-08,1.19476e-02,4.2332e-03,4.9131e-05,4.6883e-06,3.1091e-08,,,,,,           -2.0882,            6.3948,            3.6742,           12.2349,           -3.8672,           -5.3335,            0.4684,           -0.4519,           -0.5880,          -14.0920,
Ref 11,2.66184e-08,,,,,,1.1973e-02,4.2063e-03,4.8953e-05,4.6318e-06,3.1163e-08,,,,,,,,,,,
Sam 11,2.60665e-08,1.19478e-02,4.2332e-03,4.9127e-05,4.6906e-06,2.5286e-08,,,,,,           -2.0679,            6.3919,            3.5964,           12.8061,         -111.9791,           -5.3119,            0.4656,           -0.5475,           -0.0184,         -121.1082,
Ref 12,2.62706e-08,,,,,,1.1972e-02,4.2064e-03,4.8949e-05,4.6307e-06,2.5749e-08,,,,,,,,,,,
Sam 12,2.57208e-08,1.19476e-02,4.2333e-03,4.9131e-05,4.6881e-06,2.4951e-08,,,,,,           -2.0768,            6.3908,            3.6580,           12.7017,          -50.3141,           -5.3213,            0.4645,           -0.4759,           -0.1192,          -60.0662,
Ref 13,2.59310e-08,,,,,,1.1972e-02,4.2064e-03,4.8956e-05,4.6279e-06,2.6804e-08,,,,,,,,,,,
Sam 13,2.53803e-08,1.19474e-02,4.2331e-03,4.9131e-05,4.6911e-06,2.5124e-08,,,,,,           -2.0822,            6.3594,            3.6007,           13.0277,          -37.8598,           -5.3260,            0.4332,           -0.4967,            0.2651,          -47.6758,
Ref 14,2.55922e-08,,,,,,1.1972e-02,4.2063e-03,4.8954e-05,4.6338e-06,2.5412e-08,,,,,,,,,,,
Sam 14,2.50443e-08,1.19473e-02,4.2331e-03,4.9126e-05,4.6871e-06,2.4897e-08,,,,,,           -2.0879,            6.3856,            3.5485,           11.7388,            0.1075,           -5.3329,            0.4593,           -0.5685,           -1.0596,          -10.1406,
Ref 15,2.52846e-08,,,,,,1.1972e-02,4.2062e-03,4.8950e-05,4.6317e-06,2.4370e-08,,,,,,,,,,,
Sam 15,2.47273e-08,1.19474e-02,4.2331e-03,4.9132e-05,4.6917e-06,2.2750e-08,,,,,,           -2.0740,            6.3859,            3.7036,           12.7980,          -70.1057,           -5.3182,            0.4596,           -0.4286,           -0.0144,          -79.6484,
Ref 16,2.49494e-08,,,,,,1.1972e-02,4.2063e-03,4.8951e-05,4.6332e-06,2.4561e-08,,,,,,,,,,,
Sam 16,2.44004e-08,1.19472e-02,4.2331e-03,4.9128e-05,4.6862e-06,2.7034e-08,,,,,,           -2.0887,            6.3814,            3.5869,           11.1819,          147.2958,           -5.3337,            0.4551,           -0.5252,           -1.6011,          135.5498,
Ref 17,2.46501e-08,,,,,,1.1972e-02,4.2063e-03,4.8953e-05,4.6355e-06,2.2553e-08,,,,,,,,,,,
Sam 17,2.40922e-08,1.19473e-02,4.2331e-03,4.9131e-05,4.6921e-06,2.8560e-08,,,,,,           -2.0816,            6.3918,            3.6527,           12.8180,          398.1879,           -5.3265,            0.4655,           -0.4773,           -0.0063,          383.8346,
Ref 18,2.43197e-08,,,,,,1.1972e-02,4.2062e-03,4.8952e-05,4.6299e-06,1.8271e-08,,,,,,,,,,,
Sam 18,2.37710e-08,1.19473e-02,4.2331e-03,4.9115e-05,4.6889e-06,2.4056e-08,,,,,,           -2.0806,            6.3855,            3.3779,           12.7719,          120.3887,           -5.3252,            0.4592,           -0.7458,           -0.0394,          108.8997,
Ref 19,2.40075e-08,,,,,,1.1972e-02,4.2063e-03,4.8948e-05,4.6297e-06,2.4713e-08,,,,,,,,,,,
Sam 19,2.34620e-08,1.19473e-02,4.2331e-03,4.9126e-05,4.6855e-06,2.2475e-08,,,,,,           -2.0867,            6.3782,            3.6026,           11.5290,          -92.7429,           -5.3314,            0.4520,           -0.5086,           -1.2521,         -102.0278,
Ref 20,2.37040e-08,,,,,,1.1972e-02,4.2062e-03,4.8950e-05,4.6345e-06,2.4834e-08,,,,,,,,,,,
Sam 20,2.32043e-08,1.19471e-02,4.2331e-03,4.9116e-05,4.6897e-06,1.7246e-08,,,,,,           -2.0891,            6.3779,            3.3706,           12.9508,         -214.0521,           -5.3340,            0.4516,           -0.7368,            0.1524,         -222.0930,
Ref 21,2.34455e-08,,,,,,1.1972e-02,4.2062e-03,4.8952e-05,4.6249e-06,1.9021e-08,,,,,,,,,,,


