Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 05:33 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 06:32 with Stable 1.71.5 on PS019

Data File = Data_17476 ETH-4.txt,         Sample Weight = 430,                      Vial Location = 9,                        Initial Sam Beam = 1.4288e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4646e-08,                Max Ref Beam = 1.0652e-07,                

Analysis undertaken at mass 46.02148
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.51770e-08,,,,,,1.1974e-02,4.2069e-03,4.8954e-05,4.6407e-06,5.9740e-08,
Sam 1,5.46056e-08,1.18874e-02,4.1838e-03,4.8307e-05,4.5906e-06,5.8010e-08,,,,,,           -7.2669,           -5.5052,          -13.2779,          -10.8897,          -13.9999,          -10.4325,          -11.3626,           -0.4174,            0.0912,            4.5265,
Ref 2,5.42226e-08,,,,,,1.1975e-02,4.2070e-03,4.8961e-05,4.6416e-06,5.7912e-08,,,,,,,,,,,
Sam 2,5.36669e-08,1.18875e-02,4.1838e-03,4.8307e-05,4.5923e-06,5.5460e-08,,,,,,           -7.2668,           -5.5275,          -13.4009,          -10.7736,          -57.7401,          -10.4317,          -11.3848,           -0.5200,            0.2535,          -39.9932,
Ref 3,5.33240e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6430e-06,5.9820e-08,,,,,,,,,,,
Sam 3,5.27743e-08,1.18875e-02,4.1839e-03,4.8310e-05,4.5885e-06,5.8268e-08,,,,,,           -7.2643,           -5.5054,          -13.3905,          -11.6909,          -20.5392,          -10.4298,          -11.3629,           -0.5339,           -0.7183,           -2.1380,
Ref 4,5.24644e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6425e-06,5.9154e-08,,,,,,,,,,,
Sam 4,5.19107e-08,1.18875e-02,4.1839e-03,4.8311e-05,4.5905e-06,5.6974e-08,,,,,,           -7.2641,           -5.5271,          -13.3327,          -11.1750,          -49.4752,          -10.4288,          -11.3845,           -0.4541,           -0.1530,          -31.5761,
Ref 5,5.16230e-08,,,,,,1.1975e-02,4.2072e-03,4.8963e-05,4.6422e-06,6.0738e-08,,,,,,,,,,,
Sam 5,5.10627e-08,1.18874e-02,4.1839e-03,4.8308e-05,4.5904e-06,5.8579e-08,,,,,,           -7.2742,           -5.5283,          -13.3765,          -11.2597,           -5.0519,          -10.4395,          -11.3857,           -0.4867,           -0.2363,           13.6971,
Ref 6,5.07974e-08,,,,,,1.1975e-02,4.2072e-03,4.8963e-05,4.6430e-06,5.6984e-08,,,,,,,,,,,
Sam 6,5.02333e-08,1.18874e-02,4.1839e-03,4.8312e-05,4.5905e-06,5.9251e-08,,,,,,           -7.2711,           -5.5229,          -13.2944,          -11.2055,            3.5482,          -10.4364,          -11.3802,           -0.4122,           -0.1924,           22.4447,
Ref 7,4.99865e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6421e-06,6.1132e-08,,,,,,,,,,,
Sam 7,4.94246e-08,1.18874e-02,4.1839e-03,4.8315e-05,4.5894e-06,5.9457e-08,,,,,,           -7.2743,           -5.5239,          -13.1964,          -11.5059,          -16.2733,          -10.4397,          -11.3813,           -0.3086,           -0.4941,            2.2555,
Ref 8,4.91949e-08,,,,,,1.1974e-02,4.2071e-03,4.8960e-05,4.6435e-06,5.9738e-08,,,,,,,,,,,
Sam 8,4.86340e-08,1.18872e-02,4.1839e-03,4.8306e-05,4.5931e-06,5.8397e-08,,,,,,           -7.2787,           -5.5263,          -13.4140,          -10.9881,          -15.4327,          -10.4444,          -11.3836,           -0.5221,            0.0343,            3.1214,
Ref 9,4.84202e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6447e-06,5.8881e-08,,,,,,,,,,,
Sam 9,4.78597e-08,1.18872e-02,4.1839e-03,4.8312e-05,4.5905e-06,5.9615e-08,,,,,,           -7.2706,           -5.5067,          -13.3874,          -11.4555,            6.3083,          -10.4364,          -11.3642,           -0.5229,           -0.4776,           25.2236,
Ref 10,4.76615e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6427e-06,5.9608e-08,,,,,,,,,,,
Sam 10,4.71013e-08,1.18871e-02,4.1839e-03,4.8310e-05,4.5935e-06,6.1467e-08,,,,,,           -7.2817,           -5.5177,          -13.4189,          -10.6419,            5.4729,          -10.4478,          -11.3751,           -0.5325,            0.3670,           24.4068,
Ref 11,4.69162e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6432e-06,6.2681e-08,,,,,,,,,,,
Sam 11,4.63596e-08,1.18873e-02,4.1839e-03,4.8314e-05,4.5932e-06,5.9909e-08,,,,,,           -7.2652,           -5.5129,          -13.3285,          -10.7072,          -40.7360,          -10.4304,          -11.3703,           -0.4628,            0.2913,          -22.6988,
Ref 12,4.61859e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6427e-06,6.2221e-08,,,,,,,,,,,
Sam 12,4.56304e-08,1.18873e-02,4.1839e-03,4.8316e-05,4.5918e-06,6.1320e-08,,,,,,           -7.2676,           -5.5206,          -13.3434,          -11.0223,          -17.9093,          -10.4327,          -11.3780,           -0.4677,           -0.0117,            0.5749,
Ref 13,4.54738e-08,,,,,,1.1974e-02,4.2071e-03,4.8973e-05,4.6432e-06,6.2660e-08,,,,,,,,,,,
Sam 13,4.49195e-08,1.18872e-02,4.1839e-03,4.8314e-05,4.5931e-06,6.2024e-08,,,,,,           -7.2749,           -5.5220,          -13.4366,          -10.5685,            5.2723,          -10.4405,          -11.3794,           -0.5531,            0.4500,           24.2038,
Ref 14,4.47752e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6411e-06,6.0723e-08,,,,,,,,,,,
Sam 14,4.42229e-08,1.18872e-02,4.1839e-03,4.8318e-05,4.5926e-06,6.0252e-08,,,,,,           -7.2711,           -5.5095,          -13.2667,          -10.9284,            1.4925,          -10.4368,          -11.3669,           -0.3974,            0.0608,           20.3233,
Ref 15,4.40880e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6456e-06,5.9592e-08,,,,,,,,,,,
Sam 15,4.35433e-08,1.18872e-02,4.1839e-03,4.8321e-05,4.5922e-06,5.8728e-08,,,,,,           -7.2688,           -5.5065,          -13.1917,          -11.1808,          -17.6437,          -10.4345,          -11.3640,           -0.3268,           -0.2003,            0.8189,
Ref 16,4.34183e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6426e-06,5.9976e-08,,,,,,,,,,,
Sam 16,4.28766e-08,1.18871e-02,4.1839e-03,4.8320e-05,4.5906e-06,5.9204e-08,,,,,,           -7.2756,           -5.5240,          -13.3169,          -11.5094,          -31.3286,          -10.4411,          -11.3813,           -0.4293,           -0.4975,          -13.0819,
Ref 17,4.27670e-08,,,,,,1.1974e-02,4.2071e-03,4.8977e-05,4.6456e-06,6.2278e-08,,,,,,,,,,,
Sam 17,4.22220e-08,1.18871e-02,4.1839e-03,4.8320e-05,4.5928e-06,6.0193e-08,,,,,,           -7.2798,           -5.5192,          -13.3446,          -10.8465,          -41.1216,          -10.4458,          -11.3766,           -0.4576,            0.1632,          -23.0641,
Ref 18,4.21185e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6408e-06,6.3279e-08,,,,,,,,,,,
Sam 18,4.15784e-08,1.18872e-02,4.1839e-03,4.8310e-05,4.5922e-06,6.0059e-08,,,,,,           -7.2592,           -5.5111,          -13.4708,          -10.6065,          -27.6935,          -10.4241,          -11.3685,           -0.6149,            0.3895,           -9.4210,
Ref 19,4.14767e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6421e-06,6.0236e-08,,,,,,,,,,,
Sam 19,4.09359e-08,1.18870e-02,4.1839e-03,4.8320e-05,4.5939e-06,5.9429e-08,,,,,,           -7.2670,           -5.5073,          -13.2906,          -10.7734,          -21.8499,          -10.4326,          -11.3647,           -0.4281,            0.2130,           -3.4667,
Ref 20,4.08577e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6458e-06,6.1284e-08,,,,,,,,,,,
Sam 20,4.03267e-08,1.18870e-02,4.1839e-03,4.8315e-05,4.5936e-06,6.0185e-08,,,,,,           -7.2661,           -5.5007,          -13.4263,          -11.2229,          -34.4740,          -10.4318,          -11.3581,           -0.5730,           -0.2547,          -16.3419,
Ref 21,4.02568e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6457e-06,6.3398e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.99581e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6435e-06,6.3179e-08,
Sam 1,3.94304e-08,1.18869e-02,4.1838e-03,4.8318e-05,4.5927e-06,6.2210e-08,,,,,,           -7.2686,           -5.5342,          -13.3779,          -10.7609,          -43.0861,          -10.4333,          -11.3915,           -0.4882,            0.2799,          -25.0485,
Ref 2,3.93665e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6418e-06,6.6871e-08,,,,,,,,,,,
Sam 2,3.88270e-08,1.18868e-02,4.1837e-03,4.8316e-05,4.5944e-06,6.5512e-08,,,,,,           -7.2673,           -5.5251,          -13.4205,          -10.6250,            6.0156,          -10.4323,          -11.3825,           -0.5416,            0.3990,           24.9590,
Ref 3,3.87874e-08,,,,,,1.1974e-02,4.2070e-03,4.8970e-05,4.6457e-06,6.3343e-08,,,,,,,,,,,
Sam 3,3.82477e-08,1.18868e-02,4.1838e-03,4.8317e-05,4.5948e-06,6.6817e-08,,,,,,           -7.2625,           -5.5005,          -13.3530,          -10.7479,           16.6144,          -10.4280,          -11.3580,           -0.5026,            0.2254,           35.7016,
Ref 4,3.82172e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6437e-06,6.8143e-08,,,,,,,,,,,
Sam 4,3.76749e-08,1.18867e-02,4.1837e-03,4.8316e-05,4.5949e-06,6.8488e-08,,,,,,           -7.2643,           -5.5007,          -13.3307,          -10.6537,          -14.9257,          -10.4299,          -11.3582,           -0.4780,            0.3209,            3.5716,
Ref 5,3.76566e-08,,,,,,1.1974e-02,4.2068e-03,4.8965e-05,4.6451e-06,7.0929e-08,,,,,,,,,,,
Sam 5,3.71173e-08,1.18866e-02,4.1837e-03,4.8313e-05,4.5939e-06,6.6405e-08,,,,,,           -7.2706,           -5.5017,          -13.3546,          -11.2185,          -37.1831,          -10.4366,          -11.3592,           -0.4947,           -0.2482,          -19.0951,
Ref 6,3.71105e-08,,,,,,1.1974e-02,4.2069e-03,4.8968e-05,4.6469e-06,6.6981e-08,,,,,,,,,,,
Sam 6,3.65694e-08,1.18865e-02,4.1837e-03,4.8322e-05,4.5906e-06,6.4231e-08,,,,,,           -7.2700,           -5.5111,          -13.2291,          -11.8285,          -28.3929,          -10.4356,          -11.3685,           -0.3589,           -0.8460,          -10.1220,
Ref 7,3.65756e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6442e-06,6.5223e-08,,,,,,,,,,,
Sam 7,3.60313e-08,1.18865e-02,4.1836e-03,4.8317e-05,4.5902e-06,6.3816e-08,,,,,,           -7.2677,           -5.5210,          -13.3616,          -12.0777,          -29.2402,          -10.4328,          -11.3784,           -0.4856,           -1.0780,          -10.9683,
Ref 8,3.60430e-08,,,,,,1.1974e-02,4.2068e-03,4.8971e-05,4.6485e-06,6.6261e-08,,,,,,,,,,,
Sam 8,3.55068e-08,1.18865e-02,4.1836e-03,4.8320e-05,4.5919e-06,6.9019e-08,,,,,,           -7.2601,           -5.5167,          -13.3019,          -12.0078,           22.5527,          -10.4249,          -11.3742,           -0.4373,           -1.0159,           41.7821,
Ref 9,3.55283e-08,,,,,,1.1973e-02,4.2068e-03,4.8972e-05,4.6469e-06,6.8751e-08,,,,,,,,,,,
Sam 9,3.49936e-08,1.18863e-02,4.1835e-03,4.8321e-05,4.5940e-06,6.6224e-08,,,,,,           -7.2699,           -5.5309,          -13.2591,          -11.3692,          -51.7166,          -10.4349,          -11.3882,           -0.3697,           -0.3419,          -33.8466,
Ref 10,3.50386e-08,,,,,,1.1973e-02,4.2068e-03,4.8968e-05,4.6468e-06,7.0937e-08,,,,,,,,,,,
Sam 10,3.44970e-08,1.18863e-02,4.1836e-03,4.8321e-05,4.5910e-06,6.7110e-08,,,,,,           -7.2644,           -5.5111,          -13.2945,          -11.9018,          -13.5032,          -10.4297,          -11.3686,           -0.4308,           -0.9201,            5.0417,
Ref 11,3.45299e-08,,,,,,1.1973e-02,4.2067e-03,4.8976e-05,4.6459e-06,6.5078e-08,,,,,,,,,,,
Sam 11,3.39936e-08,1.18864e-02,4.1836e-03,4.8323e-05,4.5934e-06,6.5127e-08,,,,,,           -7.2572,           -5.4947,          -13.2948,          -11.1507,          -15.1763,          -10.4226,          -11.3522,           -0.4549,           -0.1937,            3.2968,
Ref 12,3.40615e-08,,,,,,1.1973e-02,4.2066e-03,4.8972e-05,4.6445e-06,6.7197e-08,,,,,,,,,,,
Sam 12,3.35153e-08,1.18862e-02,4.1835e-03,4.8318e-05,4.5898e-06,6.6189e-08,,,,,,           -7.2694,           -5.5121,          -13.4167,          -11.8569,           -8.7361,          -10.4349,          -11.3695,           -0.5486,           -0.8728,            9.9057,
Ref 13,3.35593e-08,,,,,,1.1973e-02,4.2067e-03,4.8977e-05,4.6452e-06,6.6343e-08,,,,,,,,,,,
Sam 13,3.30289e-08,1.18862e-02,4.1836e-03,4.8324e-05,4.5938e-06,6.5454e-08,,,,,,           -7.2686,           -5.4948,          -13.2782,          -10.9876,          -15.9197,          -10.4347,          -11.3523,           -0.4262,           -0.0286,            2.5519,
Ref 14,3.30864e-08,,,,,,1.1973e-02,4.2067e-03,4.8971e-05,4.6444e-06,6.6685e-08,,,,,,,,,,,
Sam 14,3.25549e-08,1.18862e-02,4.1835e-03,4.8319e-05,4.5926e-06,6.9340e-08,,,,,,           -7.2642,           -5.4992,          -13.2955,          -11.2444,           -9.9514,          -10.4299,          -11.3567,           -0.4439,           -0.2794,            8.6363,
Ref 15,3.26212e-08,,,,,,1.1973e-02,4.2067e-03,4.8968e-05,4.6453e-06,7.3436e-08,,,,,,,,,,,
Sam 15,3.20940e-08,1.18860e-02,4.1834e-03,4.8321e-05,4.5931e-06,6.7137e-08,,,,,,           -7.2714,           -5.5212,          -13.1988,          -11.5431,          -64.7941,          -10.4368,          -11.3786,           -0.3167,           -0.5372,          -47.1872,
Ref 16,3.21704e-08,,,,,,1.1973e-02,4.2066e-03,4.8966e-05,4.6483e-06,7.0118e-08,,,,,,,,,,,
Sam 16,3.16396e-08,1.18860e-02,4.1835e-03,4.8329e-05,4.5952e-06,6.7265e-08,,,,,,           -7.2560,           -5.5021,          -13.0474,          -11.3674,            2.1634,          -10.4211,          -11.3596,           -0.1982,           -0.3980,           20.9754,
Ref 17,3.17385e-08,,,,,,1.1973e-02,4.2066e-03,4.8969e-05,4.6478e-06,6.4081e-08,,,,,,,,,,,
Sam 17,3.11941e-08,1.18859e-02,4.1834e-03,4.8326e-05,4.5943e-06,6.2476e-08,,,,,,           -7.2727,           -5.5128,          -13.1919,          -11.1638,          -23.7649,          -10.4385,          -11.3702,           -0.3166,           -0.1705,           -5.4007,
Ref 18,3.12878e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6445e-06,6.3912e-08,,,,,,,,,,,
Sam 18,3.07537e-08,1.18859e-02,4.1834e-03,4.8326e-05,4.5933e-06,6.4574e-08,,,,,,           -7.2628,           -5.5066,          -13.2409,          -11.0883,          -53.4366,          -10.4281,          -11.3641,           -0.3827,           -0.1067,          -35.6526,
Ref 19,3.08568e-08,,,,,,1.1973e-02,4.2065e-03,4.8974e-05,4.6451e-06,7.2588e-08,,,,,,,,,,,
Sam 19,3.03218e-08,1.18858e-02,4.1833e-03,4.8322e-05,4.5965e-06,6.7476e-08,,,,,,           -7.2603,           -5.5024,          -13.3034,          -10.8423,          -63.6457,          -10.4256,          -11.3599,           -0.4528,            0.1337,          -46.0639,
Ref 20,3.05102e-08,,,,,,1.1973e-02,4.2065e-03,4.8973e-05,4.6488e-06,7.1531e-08,,,,,,,,,,,
Sam 20,2.99559e-08,1.18857e-02,4.1833e-03,4.8320e-05,4.5985e-06,7.2025e-08,,,,,,           -7.2730,           -5.5027,          -13.3680,          -10.6244,          -34.8073,          -10.4391,          -11.3602,           -0.5047,            0.3547,          -16.6702,
Ref 21,3.00600e-08,,,,,,1.1973e-02,4.2064e-03,4.8977e-05,4.6470e-06,7.7760e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.98488e-08,,,,,,1.1973e-02,4.2065e-03,4.8976e-05,4.6480e-06,7.7495e-08,
Sam 1,2.93066e-08,1.18857e-02,4.1833e-03,4.8323e-05,4.5975e-06,7.8880e-08,,,,,,           -7.2699,           -5.5097,          -13.3886,          -10.9428,          -20.4514,          -10.4355,          -11.3671,           -0.5220,            0.0467,           -2.0342,
Ref 2,2.94330e-08,,,,,,1.1973e-02,4.2064e-03,4.8982e-05,4.6487e-06,8.3602e-08,,,,,,,,,,,
Sam 2,2.88907e-08,1.18856e-02,4.1833e-03,4.8329e-05,4.5983e-06,8.2151e-08,,,,,,           -7.2721,           -5.5117,          -13.3230,          -10.8475,            9.8453,          -10.4378,          -11.3691,           -0.4512,            0.1471,           28.8387,
Ref 3,2.90250e-08,,,,,,1.1973e-02,4.2065e-03,4.8981e-05,4.6487e-06,7.9066e-08,,,,,,,,,,,
Sam 3,2.84867e-08,1.18856e-02,4.1833e-03,4.8328e-05,4.5974e-06,8.1772e-08,,,,,,           -7.2729,           -5.5065,          -13.2971,          -10.7091,           27.0347,          -10.4388,          -11.3639,           -0.4293,            0.2765,           46.3415,
Ref 4,2.86308e-08,,,,,,1.1973e-02,4.2064e-03,4.8978e-05,4.6456e-06,8.0180e-08,,,,,,,,,,,
Sam 4,2.80968e-08,1.18856e-02,4.1833e-03,4.8328e-05,4.5974e-06,8.3511e-08,,,,,,           -7.2749,           -5.5045,          -13.2538,          -11.1443,           17.0101,          -10.4411,          -11.3619,           -0.3853,           -0.1675,           36.1265,
Ref 5,2.82486e-08,,,,,,1.1973e-02,4.2064e-03,4.8976e-05,4.6528e-06,8.4075e-08,,,,,,,,,,,
Sam 5,2.77150e-08,1.18855e-02,4.1833e-03,4.8327e-05,4.5975e-06,8.7068e-08,,,,,,           -7.2755,           -5.5056,          -13.2978,          -11.6652,           44.5137,          -10.4416,          -11.3631,           -0.4281,           -0.6919,           64.1502,
Ref 6,2.78897e-08,,,,,,1.1972e-02,4.2064e-03,4.8982e-05,4.6508e-06,8.2631e-08,,,,,,,,,,,
Sam 6,2.73532e-08,1.18855e-02,4.1832e-03,4.8323e-05,4.5957e-06,8.6187e-08,,,,,,           -7.2653,           -5.5127,          -13.4024,          -11.1836,            4.0880,          -10.4306,          -11.3702,           -0.5377,           -0.1907,           22.9678,
Ref 7,2.75131e-08,,,,,,1.1973e-02,4.2063e-03,4.8978e-05,4.6445e-06,8.9085e-08,,,,,,,,,,,
Sam 7,2.69792e-08,1.18856e-02,4.1832e-03,4.8326e-05,4.5968e-06,9.0165e-08,,,,,,           -7.2579,           -5.4933,          -13.3807,          -10.8996,           -7.1599,          -10.4233,          -11.3509,           -0.5426,            0.0575,           11.4615,
Ref 8,2.71477e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6505e-06,9.2570e-08,,,,,,,,,,,
Sam 8,2.66168e-08,1.18853e-02,4.1832e-03,4.8329e-05,4.6006e-06,8.6865e-08,,,,,,           -7.2759,           -5.5168,          -13.4266,          -10.7921,          -43.1623,          -10.4417,          -11.3742,           -0.5471,            0.2133,          -25.1520,
Ref 9,2.67920e-08,,,,,,1.1972e-02,4.2064e-03,4.8988e-05,4.6511e-06,8.8973e-08,,,,,,,,,,,
Sam 9,2.62605e-08,1.18854e-02,4.1831e-03,4.8338e-05,4.6028e-06,8.6471e-08,,,,,,           -7.2625,           -5.5067,          -13.1702,           -9.9470,          -25.7771,          -10.4278,          -11.3642,           -0.3113,            1.0475,           -7.4737,
Ref 10,2.64501e-08,,,,,,1.1972e-02,4.2063e-03,4.8978e-05,4.6471e-06,8.8541e-08,,,,,,,,,,,
Sam 10,2.59136e-08,1.18852e-02,4.1831e-03,4.8327e-05,4.6042e-06,8.9187e-08,,,,,,           -7.2714,           -5.4915,          -13.2826,           -9.8929,           10.7947,          -10.4378,          -11.3490,           -0.4309,            1.0717,           29.7641,
Ref 11,2.61210e-08,,,,,,1.1972e-02,4.2061e-03,4.8977e-05,4.6533e-06,8.7925e-08,,,,,,,,,,,
Sam 11,2.55847e-08,1.18852e-02,4.1830e-03,4.8324e-05,4.6001e-06,9.1194e-08,,,,,,           -7.2581,           -5.5079,          -13.3983,          -11.6856,           36.2545,          -10.4231,          -11.3654,           -0.5457,           -0.7078,           55.7210,
Ref 12,2.57718e-08,,,,,,1.1972e-02,4.2062e-03,4.8983e-05,4.6558e-06,8.8083e-08,,,,,,,,,,,
Sam 12,2.52415e-08,1.18851e-02,4.1830e-03,4.8328e-05,4.6026e-06,9.0308e-08,,,,,,           -7.2709,           -5.5131,          -13.3176,          -11.3443,           28.6872,          -10.4366,          -11.3705,           -0.4456,           -0.3524,           48.0366,
Ref 13,2.54344e-08,,,,,,1.1972e-02,4.2062e-03,4.8978e-05,4.6550e-06,8.7493e-08,,,,,,,,,,,
Sam 13,2.49047e-08,1.18852e-02,4.1831e-03,4.8317e-05,4.5990e-06,9.3317e-08,,,,,,           -7.2710,           -5.4970,          -13.5744,          -11.6706,           45.3830,          -10.4372,          -11.3545,           -0.7216,           -0.7146,           65.0127,
Ref 14,2.50991e-08,,,,,,1.1972e-02,4.2062e-03,4.8987e-05,4.6515e-06,9.1063e-08,,,,,,,,,,,
Sam 14,2.45699e-08,1.18851e-02,4.1831e-03,4.8334e-05,4.6016e-06,9.2086e-08,,,,,,           -7.2753,           -5.4997,          -13.3622,          -11.0433,          -28.3800,          -10.4417,          -11.3572,           -0.4995,           -0.0750,          -10.1256,
Ref 15,2.47743e-08,,,,,,1.1972e-02,4.2062e-03,4.8989e-05,4.6544e-06,9.8536e-08,,,,,,,,,,,
Sam 15,2.42502e-08,1.18852e-02,4.1831e-03,4.8336e-05,4.6064e-06,9.3890e-08,,,,,,           -7.2566,           -5.4906,          -13.3129,          -10.6499,          -42.2913,          -10.4221,          -11.3481,           -0.4779,            0.3044,          -24.3353,
Ref 16,2.44783e-08,,,,,,1.1972e-02,4.2062e-03,4.8987e-05,4.6575e-06,9.7529e-08,,,,,,,,,,,
Sam 16,2.39497e-08,1.18852e-02,4.1831e-03,4.8338e-05,4.6047e-06,8.9528e-08,,,,,,           -7.2585,           -5.4865,          -13.1944,          -11.0743,          -74.1412,          -10.4243,          -11.3441,           -0.3599,           -0.1328,          -56.7880,
Ref 17,2.41599e-08,,,,,,1.1972e-02,4.2061e-03,4.8981e-05,4.6551e-06,9.5854e-08,,,,,,,,,,,
Sam 17,2.36324e-08,1.18851e-02,4.1830e-03,4.8331e-05,4.6056e-06,9.9666e-08,,,,,,           -7.2649,           -5.5060,          -13.3124,          -10.8182,           29.7916,          -10.4304,          -11.3635,           -0.4535,            0.1652,           49.1403,
Ref 18,2.38514e-08,,,,,,1.1972e-02,4.2062e-03,4.8984e-05,4.6568e-06,9.7723e-08,,,,,,,,,,,
Sam 18,2.33229e-08,1.18852e-02,4.1831e-03,4.8340e-05,4.6075e-06,9.2991e-08,,,,,,           -7.2528,           -5.4815,          -13.1706,          -10.4672,          -44.9163,          -10.4183,          -11.3391,           -0.3467,            0.4709,          -27.0310,
Ref 19,2.35642e-08,,,,,,1.1972e-02,4.2062e-03,4.8986e-05,4.6556e-06,9.7002e-08,,,,,,,,,,,
Sam 19,2.30340e-08,1.18850e-02,4.1830e-03,4.8341e-05,4.6067e-06,9.8490e-08,,,,,,           -7.2652,           -5.4977,          -13.1031,          -10.6453,          -12.2135,          -10.4309,          -11.3552,           -0.2495,            0.3234,            6.3297,
Ref 20,2.32627e-08,,,,,,1.1972e-02,4.2061e-03,4.8980e-05,4.6569e-06,1.0245e-07,,,,,,,,,,,
