Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 08:25 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 09:24 with Stable 1.71.5 on PS019

Data File = Data_17478 KDW-131_8-A.txt,   Sample Weight = 550,                      Vial Location = 11,                       Initial Sam Beam = 1.4990e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1152e-08,                Max Ref Beam = 1.0622e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.77939e-08,,,,,,1.1974e-02,4.2069e-03,4.8951e-05,4.6431e-06,5.3594e-08,
Sam 1,5.72290e-08,1.19861e-02,4.2370e-03,4.9339e-05,4.7069e-06,5.4473e-08,,,,,,            0.9639,            7.1452,            7.8656,           13.8353,           19.9197,           -2.1112,            1.2086,           -0.1654,           -0.4990,            4.7040,
Ref 2,5.68012e-08,,,,,,1.1975e-02,4.2070e-03,4.8958e-05,4.6424e-06,5.3221e-08,,,,,,,,,,,
Sam 2,5.62538e-08,1.19862e-02,4.2370e-03,4.9335e-05,4.7082e-06,5.2976e-08,,,,,,            0.9631,            7.1179,            7.6790,           14.3900,           17.0085,           -2.1112,            1.1815,           -0.3230,            0.1020,            1.8905,
Ref 3,5.58625e-08,,,,,,1.1975e-02,4.2072e-03,4.8960e-05,4.6404e-06,5.0940e-08,,,,,,,,,,,
Sam 3,5.53167e-08,1.19863e-02,4.2371e-03,4.9338e-05,4.7081e-06,5.2122e-08,,,,,,            0.9662,            7.1119,            7.7621,           14.3552,           14.0463,           -2.1076,            1.1754,           -0.2378,            0.0797,           -1.0192,
Ref 4,5.49438e-08,,,,,,1.1975e-02,4.2072e-03,4.8956e-05,4.6424e-06,5.1867e-08,,,,,,,,,,,
Sam 4,5.43952e-08,1.19861e-02,4.2371e-03,4.9339e-05,4.7086e-06,5.1331e-08,,,,,,            0.9530,            7.1076,            7.7147,           14.2110,          -25.9167,           -2.1216,            1.1712,           -0.2669,           -0.0539,          -40.3669,
Ref 5,5.40505e-08,,,,,,1.1975e-02,4.2072e-03,4.8965e-05,4.6429e-06,5.3541e-08,,,,,,,,,,,
Sam 5,5.34971e-08,1.19862e-02,4.2372e-03,4.9343e-05,4.7097e-06,5.0625e-08,,,,,,            0.9551,            7.1271,            7.7449,           14.2048,          -45.2664,           -2.1200,            1.1906,           -0.2583,           -0.0988,          -59.4675,
Ref 6,5.31723e-08,,,,,,1.1975e-02,4.2072e-03,4.8961e-05,4.6446e-06,5.2502e-08,,,,,,,,,,,
Sam 6,5.26131e-08,1.19863e-02,4.2372e-03,4.9340e-05,4.7095e-06,5.1615e-08,,,,,,            0.9660,            7.1219,            7.7461,           14.0640,           -0.9732,           -2.1082,            1.1853,           -0.2632,           -0.2272,          -15.8345,
Ref 7,5.23115e-08,,,,,,1.1975e-02,4.2073e-03,4.8961e-05,4.6438e-06,5.0816e-08,,,,,,,,,,,
Sam 7,5.17536e-08,1.19863e-02,4.2372e-03,4.9343e-05,4.7080e-06,5.4252e-08,,,,,,            0.9625,            7.1105,            7.7774,           14.0050,           59.0103,           -2.1116,            1.1740,           -0.2174,           -0.2628,           43.2839,
Ref 8,5.14712e-08,,,,,,1.1975e-02,4.2073e-03,4.8963e-05,4.6421e-06,5.1649e-08,,,,,,,,,,,
Sam 8,5.09115e-08,1.19863e-02,4.2372e-03,4.9341e-05,4.7079e-06,5.4159e-08,,,,,,            0.9692,            7.1199,            7.6627,           14.0617,           35.0797,           -2.1047,            1.1834,           -0.3473,           -0.2255,           19.6825,
Ref 9,5.06464e-08,,,,,,1.1975e-02,4.2072e-03,4.8969e-05,4.6432e-06,5.3009e-08,,,,,,,,,,,
Sam 9,5.00873e-08,1.19862e-02,4.2372e-03,4.9342e-05,4.7095e-06,5.4633e-08,,,,,,            0.9641,            7.1249,            7.6314,           14.3243,           -4.5322,           -2.1103,            1.1884,           -0.3781,            0.0235,          -19.3444,
Ref 10,4.98364e-08,,,,,,1.1975e-02,4.2073e-03,4.8968e-05,4.6427e-06,5.6784e-08,,,,,,,,,,,
Sam 10,4.92757e-08,1.19862e-02,4.2372e-03,4.9341e-05,4.7088e-06,5.3057e-08,,,,,,            0.9595,            7.1133,            7.6018,           14.2288,          -36.7893,           -2.1149,            1.1768,           -0.3912,           -0.0477,          -51.0953,
Ref 11,4.90433e-08,,,,,,1.1975e-02,4.2073e-03,4.8970e-05,4.6427e-06,5.3356e-08,,,,,,,,,,,
Sam 11,4.84890e-08,1.19862e-02,4.2372e-03,4.9345e-05,4.7106e-06,5.4169e-08,,,,,,            0.9610,            7.1188,            7.6761,           14.5579,            6.5382,           -2.1135,            1.1823,           -0.3244,            0.2658,           -8.4235,
Ref 12,4.82699e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6433e-06,5.4285e-08,,,,,,,,,,,
Sam 12,4.77206e-08,1.19860e-02,4.2372e-03,4.9347e-05,4.7106e-06,5.3501e-08,,,,,,            0.9559,            7.1121,            7.7413,           14.4771,          -23.6596,           -2.1186,            1.1756,           -0.2481,            0.1995,          -38.1547,
Ref 13,4.75138e-08,,,,,,1.1975e-02,4.2073e-03,4.8969e-05,4.6435e-06,5.5319e-08,,,,,,,,,,,
Sam 13,4.69651e-08,1.19860e-02,4.2372e-03,4.9343e-05,4.7105e-06,5.0691e-08,,,,,,            0.9568,            7.1151,            7.6228,           14.0800,          -76.5081,           -2.1178,            1.1786,           -0.3694,           -0.1980,          -90.2248,
Ref 14,4.67780e-08,,,,,,1.1975e-02,4.2073e-03,4.8971e-05,4.6468e-06,5.4457e-08,,,,,,,,,,,
Sam 14,4.62285e-08,1.19860e-02,4.2372e-03,4.9343e-05,4.7096e-06,5.5054e-08,,,,,,            0.9553,            7.1222,            7.5733,           13.9745,            6.1635,           -2.1196,            1.1857,           -0.4240,           -0.3162,           -8.7934,
Ref 15,4.60464e-08,,,,,,1.1975e-02,4.2073e-03,4.8973e-05,4.6425e-06,5.4980e-08,,,,,,,,,,,
Sam 15,4.55033e-08,1.19860e-02,4.2372e-03,4.9342e-05,4.7095e-06,5.2650e-08,,,,,,            0.9562,            7.1200,            7.5196,           14.0976,          -20.6042,           -2.1186,            1.1835,           -0.4760,           -0.1904,          -35.1598,
Ref 16,4.53337e-08,,,,,,1.1975e-02,4.2073e-03,4.8974e-05,4.6456e-06,5.2516e-08,,,,,,,,,,,
Sam 16,4.47954e-08,1.19859e-02,4.2372e-03,4.9343e-05,4.7116e-06,5.4460e-08,,,,,,            0.9608,            7.1173,            7.6185,           14.1538,          -23.2872,           -2.1136,            1.1808,           -0.3799,           -0.1295,          -37.8026,
Ref 17,4.46496e-08,,,,,,1.1974e-02,4.2072e-03,4.8966e-05,4.6460e-06,5.9051e-08,,,,,,,,,,,
Sam 17,4.41013e-08,1.19859e-02,4.2372e-03,4.9346e-05,4.7116e-06,5.9680e-08,,,,,,            0.9627,            7.1240,            7.7524,           14.2679,           15.2333,           -2.1118,            1.1875,           -0.2556,           -0.0304,            0.1303,
Ref 18,4.39565e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6447e-06,5.8514e-08,,,,,,,,,,,
Sam 18,4.34220e-08,1.19859e-02,4.2372e-03,4.9348e-05,4.7103e-06,6.0358e-08,,,,,,            0.9553,            7.1127,            7.7600,           13.7450,           75.8308,           -2.1193,            1.1763,           -0.2294,           -0.5236,           59.8579,
Ref 19,4.32864e-08,,,,,,1.1974e-02,4.2072e-03,4.8970e-05,4.6482e-06,5.3657e-08,,,,,,,,,,,
Sam 19,4.27532e-08,1.19858e-02,4.2372e-03,4.9346e-05,4.7111e-06,5.6514e-08,,,,,,            0.9593,            7.1068,            7.5871,           13.7972,           30.5926,           -2.1148,            1.1704,           -0.3994,           -0.4605,           15.2988,
Ref 20,4.26281e-08,,,,,,1.1974e-02,4.2073e-03,4.8979e-05,4.6457e-06,5.6033e-08,,,,,,,,,,,
Sam 20,4.20975e-08,1.19857e-02,4.2371e-03,4.9350e-05,4.7126e-06,6.0346e-08,,,,,,            0.9570,            7.1053,            7.6812,           14.2121,           43.0272,           -2.1172,            1.1689,           -0.3022,           -0.0484,           27.5544,
Ref 21,4.20030e-08,,,,,,1.1974e-02,4.2072e-03,4.8970e-05,4.6474e-06,5.9707e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.16773e-08,,,,,,1.1974e-02,4.2072e-03,4.8974e-05,4.6428e-06,5.8891e-08,
Sam 1,4.11410e-08,1.19857e-02,4.2371e-03,4.9341e-05,4.7105e-06,5.9437e-08,,,,,,            0.9586,            7.1178,            7.5057,           14.2361,            2.4844,           -2.1160,            1.1813,           -0.4901,           -0.0495,          -12.4127,
Ref 2,4.10502e-08,,,,,,1.1974e-02,4.2072e-03,4.8972e-05,4.6459e-06,5.9694e-08,,,,,,,,,,,
Sam 2,4.05159e-08,1.19858e-02,4.2371e-03,4.9348e-05,4.7106e-06,6.0499e-08,,,,,,            0.9677,            7.1091,            7.6158,           13.9078,            3.5354,           -2.1060,            1.1726,           -0.3817,           -0.3558,          -11.3700,
Ref 3,4.04342e-08,,,,,,1.1974e-02,4.2072e-03,4.8977e-05,4.6462e-06,6.0887e-08,,,,,,,,,,,
Sam 3,3.99010e-08,1.19855e-02,4.2370e-03,4.9343e-05,4.7124e-06,6.0141e-08,,,,,,            0.9546,            7.1028,            7.5218,           14.1078,           -4.6827,           -2.1197,            1.1664,           -0.4555,           -0.1462,          -19.4405,
Ref 4,3.98318e-08,,,,,,1.1974e-02,4.2071e-03,4.8973e-05,4.6475e-06,5.9954e-08,,,,,,,,,,,
Sam 4,3.93079e-08,1.19856e-02,4.2371e-03,4.9353e-05,4.7125e-06,6.0744e-08,,,,,,            0.9668,            7.1175,            7.8073,           14.0097,           41.0984,           -2.1072,            1.1810,           -0.1991,           -0.2720,           25.6192,
Ref 5,3.92444e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6472e-06,5.6714e-08,,,,,,,,,,,
Sam 5,3.87026e-08,1.19856e-02,4.2370e-03,4.9343e-05,4.7145e-06,5.8672e-08,,,,,,            0.9707,            7.1108,            7.6083,           14.6725,            2.7958,           -2.1029,            1.1743,           -0.3939,            0.3947,          -12.1051,
Ref 6,3.86583e-08,,,,,,1.1974e-02,4.2071e-03,4.8971e-05,4.6455e-06,6.0331e-08,,,,,,,,,,,
Sam 6,3.81199e-08,1.19854e-02,4.2370e-03,4.9346e-05,4.7137e-06,6.3134e-08,,,,,,            0.9637,            7.1185,            7.6930,           14.8867,           75.4625,           -2.1106,            1.1820,           -0.3102,            0.5906,           59.4736,
Ref 7,3.80864e-08,,,,,,1.1974e-02,4.2070e-03,4.8967e-05,4.6435e-06,5.7053e-08,,,,,,,,,,,
Sam 7,3.75537e-08,1.19854e-02,4.2370e-03,4.9352e-05,4.7151e-06,5.8020e-08,,,,,,            0.9717,            7.1335,            7.8299,           15.0195,            1.4898,           -2.1025,            1.1969,           -0.1973,            0.6916,          -13.4366,
Ref 8,3.75743e-08,,,,,,1.1974e-02,4.2069e-03,4.8971e-05,4.6472e-06,5.8825e-08,,,,,,,,,,,
Sam 8,3.70106e-08,1.19852e-02,4.2369e-03,4.9349e-05,4.7144e-06,5.9562e-08,,,,,,            0.9590,            7.1242,            7.6675,           14.4292,           -7.1388,           -2.1158,            1.1877,           -0.3362,            0.1282,          -21.9056,
Ref 9,3.69886e-08,,,,,,1.1974e-02,4.2070e-03,4.8976e-05,4.6475e-06,6.1173e-08,,,,,,,,,,,
Sam 9,3.64543e-08,1.19852e-02,4.2369e-03,4.9347e-05,4.7125e-06,5.4707e-08,,,,,,            0.9612,            7.1126,            7.6169,           14.0518,          -53.6893,           -2.1130,            1.1762,           -0.3774,           -0.2209,          -67.7448,
Ref 10,3.64504e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6469e-06,5.4399e-08,,,,,,,,,,,
Sam 10,3.59180e-08,1.19851e-02,4.2369e-03,4.9350e-05,4.7131e-06,5.7043e-08,,,,,,            0.9575,            7.1050,            7.7193,           13.8682,           21.2831,           -2.1167,            1.1686,           -0.2645,           -0.3867,            6.1330,
Ref 11,3.59188e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6504e-06,5.7330e-08,,,,,,,,,,,
Sam 11,3.53907e-08,1.19852e-02,4.2368e-03,4.9351e-05,4.7146e-06,6.0479e-08,,,,,,            0.9698,            7.1050,            7.6702,           13.8497,           58.8283,           -2.1036,            1.1686,           -0.3260,           -0.4051,           43.1075,
Ref 12,3.54015e-08,,,,,,1.1974e-02,4.2069e-03,4.8977e-05,4.6500e-06,5.6905e-08,,,,,,,,,,,
Sam 12,3.48753e-08,1.19850e-02,4.2368e-03,4.9349e-05,4.7151e-06,6.3429e-08,,,,,,            0.9622,            7.1135,            7.6188,           14.1519,           75.7345,           -2.1120,            1.1770,           -0.3773,           -0.1239,           59.7539,
Ref 13,3.49037e-08,,,,,,1.1973e-02,4.2069e-03,4.8974e-05,4.6486e-06,6.1052e-08,,,,,,,,,,,
Sam 13,3.43713e-08,1.19850e-02,4.2368e-03,4.9352e-05,4.7073e-06,6.3881e-08,,,,,,            0.9613,            7.1131,            7.6939,           12.7966,           42.4707,           -2.1130,            1.1766,           -0.3015,           -1.4594,           26.9860,
Ref 14,3.44034e-08,,,,,,1.1974e-02,4.2069e-03,4.8977e-05,4.6471e-06,6.1508e-08,,,,,,,,,,,
Sam 14,3.38759e-08,1.19849e-02,4.2368e-03,4.9353e-05,4.7176e-06,6.4086e-08,,,,,,            0.9518,            7.1191,            7.6901,           14.9730,           39.1057,           -2.1233,            1.1826,           -0.3014,            0.6744,           23.6692,
Ref 15,3.39190e-08,,,,,,1.1973e-02,4.2069e-03,4.8975e-05,4.6490e-06,6.1843e-08,,,,,,,,,,,
Sam 15,3.33914e-08,1.19850e-02,4.2368e-03,4.9351e-05,4.7160e-06,6.5680e-08,,,,,,            0.9661,            7.1130,            7.6745,           14.6178,           66.7931,           -2.1079,            1.1765,           -0.3256,            0.3365,           50.9419,
Ref 16,3.34442e-08,,,,,,1.1973e-02,4.2068e-03,4.8976e-05,4.6472e-06,6.1289e-08,,,,,,,,,,,
Sam 16,3.29095e-08,1.19848e-02,4.2367e-03,4.9351e-05,4.7157e-06,6.3855e-08,,,,,,            0.9607,            7.1150,            7.5724,           14.2728,           30.1151,           -2.1136,            1.1785,           -0.4234,           -0.0078,           14.8106,
Ref 17,3.29924e-08,,,,,,1.1973e-02,4.2068e-03,4.8983e-05,4.6515e-06,6.2697e-08,,,,,,,,,,,
Sam 17,3.24467e-08,1.19848e-02,4.2367e-03,4.9355e-05,4.7143e-06,6.2098e-08,,,,,,            0.9728,            7.1209,            7.5941,           13.6660,          -45.6183,           -2.1010,            1.1844,           -0.4200,           -0.6177,          -59.8205,
Ref 18,3.25161e-08,,,,,,1.1973e-02,4.2068e-03,4.8983e-05,4.6500e-06,6.7470e-08,,,,,,,,,,,
Sam 18,3.19829e-08,1.19847e-02,4.2366e-03,4.9357e-05,4.7161e-06,6.6146e-08,,,,,,            0.9613,            7.1003,            7.7703,           14.5780,          -12.3393,           -2.1125,            1.1639,           -0.2133,            0.3225,          -26.9856,
Ref 19,3.20619e-08,,,,,,1.1973e-02,4.2067e-03,4.8970e-05,4.6467e-06,6.6468e-08,,,,,,,,,,,
Sam 19,3.15260e-08,1.19847e-02,4.2367e-03,4.9349e-05,4.7155e-06,6.4689e-08,,,,,,            0.9651,            7.1189,            7.6813,           14.2962,          -57.9515,           -2.1091,            1.1824,           -0.3238,            0.0075,          -71.9590,
Ref 20,3.16170e-08,,,,,,1.1973e-02,4.2067e-03,4.8976e-05,4.6513e-06,7.0899e-08,,,,,,,,,,,
Sam 20,3.10805e-08,1.19847e-02,4.2367e-03,4.9358e-05,4.7157e-06,7.0984e-08,,,,,,            0.9731,            7.1280,            7.7851,           13.8306,           -4.0596,           -2.1009,            1.1914,           -0.2378,           -0.4694,          -18.8940,
Ref 21,3.11822e-08,,,,,,1.1973e-02,4.2067e-03,4.8977e-05,4.6514e-06,7.1652e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.09666e-08,,,,,,1.1973e-02,4.2067e-03,4.8978e-05,4.6506e-06,7.0488e-08,
Sam 1,3.04651e-08,1.19846e-02,4.2366e-03,4.9357e-05,4.7137e-06,7.1772e-08,,,,,,            0.9494,            7.1008,            7.7134,           13.6384,           67.6636,           -2.1251,            1.1644,           -0.2580,           -0.6050,           51.8431,
Ref 2,3.05592e-08,,,,,,1.1973e-02,4.2066e-03,4.8980e-05,4.6500e-06,6.3915e-08,,,,,,,,,,,
Sam 2,3.00143e-08,1.19846e-02,4.2366e-03,4.9352e-05,4.7161e-06,7.0044e-08,,,,,,            0.9624,            7.1139,            7.6558,           14.3106,           96.2404,           -2.1118,            1.1775,           -0.3413,            0.0316,           79.9538,
Ref 3,3.01309e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6491e-06,6.3874e-08,,,,,,,,,,,
Sam 3,2.95908e-08,1.19846e-02,4.2366e-03,4.9348e-05,4.7200e-06,6.9505e-08,,,,,,            0.9679,            7.1118,            7.6068,           15.2641,           35.3450,           -2.1058,            1.1753,           -0.3935,            0.9760,           19.9615,
Ref 4,2.97175e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6489e-06,7.0437e-08,,,,,,,,,,,
Sam 4,2.91794e-08,1.19844e-02,4.2366e-03,4.9352e-05,4.7170e-06,6.8334e-08,,,,,,            0.9471,            7.1109,            7.6262,           14.6098,          -39.3086,           -2.1280,            1.1744,           -0.3520,            0.3328,          -53.5602,
Ref 5,2.93140e-08,,,,,,1.1973e-02,4.2067e-03,4.8982e-05,4.6494e-06,7.1833e-08,,,,,,,,,,,
Sam 5,2.87766e-08,1.19844e-02,4.2365e-03,4.9357e-05,4.7187e-06,6.9210e-08,,,,,,            0.9594,            7.0990,            7.6258,           14.4897,          -46.9518,           -2.1144,            1.1626,           -0.3535,            0.2379,          -61.0806,
Ref 6,2.89278e-08,,,,,,1.1973e-02,4.2066e-03,4.8984e-05,4.6533e-06,7.3417e-08,,,,,,,,,,,
Sam 6,2.83849e-08,1.19844e-02,4.2365e-03,4.9354e-05,4.7163e-06,7.2181e-08,,,,,,            0.9662,            7.1112,            7.6677,           13.8329,          -26.6590,           -2.1077,            1.1747,           -0.3308,           -0.4338,          -41.1183,
Ref 7,2.85351e-08,,,,,,1.1973e-02,4.2066e-03,4.8973e-05,4.6506e-06,7.4909e-08,,,,,,,,,,,
Sam 7,2.80061e-08,1.19843e-02,4.2365e-03,4.9357e-05,4.7188e-06,7.2736e-08,,,,,,            0.9654,            7.1256,            7.8312,           14.4351,           -8.0108,           -2.1091,            1.1890,           -0.1817,            0.1313,          -22.7738,
Ref 8,2.81576e-08,,,,,,1.1973e-02,4.2065e-03,4.8974e-05,4.6527e-06,7.1716e-08,,,,,,,,,,,
Sam 8,2.76201e-08,1.19844e-02,4.2364e-03,4.9356e-05,4.7177e-06,7.5824e-08,,,,,,            0.9751,            7.1122,            7.8201,           14.4937,           22.9114,           -2.0982,            1.1757,           -0.1897,            0.2156,            7.7041,
Ref 9,2.77788e-08,,,,,,1.1973e-02,4.2065e-03,4.8973e-05,4.6478e-06,7.6569e-08,,,,,,,,,,,
Sam 9,2.72411e-08,1.19842e-02,4.2365e-03,4.9357e-05,4.7145e-06,6.9455e-08,,,,,,            0.9556,            7.1131,            7.8715,           13.7780,          -72.0191,           -2.1190,            1.1766,           -0.1195,           -0.4917,          -85.7977,
Ref 10,2.74097e-08,,,,,,1.1973e-02,4.2066e-03,4.8971e-05,4.6530e-06,7.3099e-08,,,,,,,,,,,
Sam 10,2.68832e-08,1.19840e-02,4.2364e-03,4.9355e-05,4.7173e-06,7.5688e-08,,,,,,            0.9389,            7.1084,            7.8058,           14.3808,            2.0868,           -2.1366,            1.1720,           -0.1629,            0.1119,          -12.7656,
Ref 11,2.70537e-08,,,,,,1.1973e-02,4.2064e-03,4.8975e-05,4.6478e-06,7.7993e-08,,,,,,,,,,,
Sam 11,2.65148e-08,1.19841e-02,4.2364e-03,4.9355e-05,4.7142e-06,7.6780e-08,,,,,,            0.9570,            7.1083,            7.7075,           13.8227,            7.8538,           -2.1173,            1.1719,           -0.2791,           -0.4383,           -7.1032,
Ref 12,2.66929e-08,,,,,,1.1973e-02,4.2065e-03,4.8980e-05,4.6522e-06,7.4345e-08,,,,,,,,,,,
Sam 12,2.61596e-08,1.19842e-02,4.2364e-03,4.9352e-05,4.7205e-06,7.5389e-08,,,,,,            0.9737,            7.1226,            7.6378,           14.5557,           30.2127,           -2.1001,            1.1861,           -0.3793,            0.2561,           14.8778,
Ref 13,2.63445e-08,,,,,,1.1973e-02,4.2065e-03,4.8977e-05,4.6534e-06,7.1995e-08,,,,,,,,,,,
Sam 13,2.58139e-08,1.19841e-02,4.2364e-03,4.9347e-05,4.7189e-06,7.4286e-08,,,,,,            0.9705,            7.1345,            7.5926,           14.3429,           11.3126,           -2.1039,            1.1979,           -0.4324,            0.0228,           -3.7607,
Ref 14,2.60573e-08,,,,,,1.1972e-02,4.2063e-03,4.8973e-05,4.6509e-06,7.4930e-08,,,,,,,,,,,
Sam 14,2.55159e-08,1.19840e-02,4.2363e-03,4.9348e-05,4.7187e-06,7.5658e-08,,,,,,            0.9658,            7.1190,            7.5819,           14.4138,           46.4166,           -2.1084,            1.1825,           -0.4230,            0.1234,           30.8565,
Ref 15,2.57086e-08,,,,,,1.1972e-02,4.2063e-03,4.8979e-05,4.6524e-06,6.9638e-08,,,,,,,,,,,
Sam 15,2.51732e-08,1.19838e-02,4.2362e-03,4.9359e-05,4.7195e-06,7.0217e-08,,,,,,            0.9528,            7.0931,            7.7812,           14.2405,            1.6484,           -2.1213,            1.1567,           -0.1866,            0.0040,          -13.1825,
Ref 16,2.53739e-08,,,,,,1.1972e-02,4.2063e-03,4.8977e-05,4.6541e-06,7.0570e-08,,,,,,,,,,,
Sam 16,2.48387e-08,1.19839e-02,4.2362e-03,4.9359e-05,4.7157e-06,7.2854e-08,,,,,,            0.9676,            7.0982,            7.8264,           13.1018,          -12.1329,           -2.1057,            1.1618,           -0.1621,           -1.1289,          -26.7849,
Ref 17,2.50441e-08,,,,,,1.1972e-02,4.2063e-03,4.8974e-05,4.6554e-06,7.6969e-08,,,,,,,,,,,
Sam 17,2.45204e-08,1.19838e-02,4.2362e-03,4.9358e-05,4.7184e-06,8.2682e-08,,,,,,            0.9595,            7.1016,            7.8654,           13.9721,           56.4454,           -2.1145,            1.1652,           -0.1183,           -0.2775,           40.7785,
Ref 18,2.47404e-08,,,,,,1.1972e-02,4.2063e-03,4.8972e-05,4.6515e-06,7.9576e-08,,,,,,,,,,,
Sam 18,2.42014e-08,1.19836e-02,4.2361e-03,4.9357e-05,4.7256e-06,7.3590e-08,,,,,,            0.9432,            7.0989,            7.7861,           15.2525,          -65.0082,           -2.1317,            1.1625,           -0.1776,            0.9903,          -78.8532,
Ref 19,2.44167e-08,,,,,,1.1972e-02,4.2063e-03,4.8979e-05,4.6578e-06,7.7826e-08,,,,,,,,,,,
Sam 19,2.38786e-08,1.19837e-02,4.2362e-03,4.9359e-05,4.7228e-06,7.7633e-08,,,,,,            0.9490,            7.1292,            7.6778,           14.0764,          -33.8949,           -2.1266,            1.1927,           -0.3206,           -0.2295,          -48.2629,
Ref 20,2.41006e-08,,,,,,1.1972e-02,4.2062e-03,4.8987e-05,4.6567e-06,8.2920e-08,,,,,,,,,,,
Sam 20,2.35617e-08,1.19837e-02,4.2362e-03,4.9356e-05,4.7229e-06,8.2297e-08,,,,,,            0.9578,            7.1018,            7.5614,           13.8026,          -21.7968,           -2.1163,            1.1654,           -0.4183,           -0.4450,          -36.3021,
Ref 21,2.37874e-08,,,,,,1.1972e-02,4.2063e-03,4.8984e-05,4.6606e-06,8.5357e-08,,,,,,,,,,,


