Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 12:31 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 13:30 with Stable 1.71.5 on PS019

Data File = Data_17481 ETH-2.txt,         Sample Weight = 497,                      Vial Location = 14,                       Initial Sam Beam = 1.6407e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9200e-08,                Max Ref Beam = 1.0660e-07,                

Analysis undertaken at mass 46.02644
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.38962e-08,,,,,,1.1974e-02,4.2065e-03,4.8945e-05,4.6397e-06,5.3309e-08,
Sam 1,6.32648e-08,1.18892e-02,4.1842e-03,4.8306e-05,4.5931e-06,5.3194e-08,,,,,,           -7.1044,           -5.3134,          -13.1004,          -10.1020,           -0.0023,          -10.2663,          -11.1722,           -0.5958,            0.5019,           18.2235,
Ref 2,6.27675e-08,,,,,,1.1974e-02,4.2067e-03,4.8949e-05,4.6403e-06,5.3077e-08,,,,,,,,,,,
Sam 2,6.21488e-08,1.18895e-02,4.1844e-03,4.8308e-05,4.5905e-06,5.3245e-08,,,,,,           -7.0990,           -5.3080,          -13.1838,          -10.8738,          -23.0243,          -10.2607,          -11.1667,           -0.6913,           -0.2892,           -5.2346,
Ref 3,6.16930e-08,,,,,,1.1974e-02,4.2068e-03,4.8958e-05,4.6417e-06,5.5949e-08,,,,,,,,,,,
Sam 3,6.10742e-08,1.18895e-02,4.1845e-03,4.8312e-05,4.5939e-06,5.4252e-08,,,,,,           -7.1047,           -5.3098,          -13.2283,          -10.4537,          -25.4536,          -10.2667,          -11.1686,           -0.7286,            0.1391,           -7.6984,
Ref 4,6.06547e-08,,,,,,1.1975e-02,4.2068e-03,4.8961e-05,4.6432e-06,5.5385e-08,,,,,,,,,,,
Sam 4,6.00364e-08,1.18897e-02,4.1846e-03,4.8315e-05,4.5937e-06,5.3695e-08,,,,,,           -7.0973,           -5.3073,          -13.2248,          -10.7341,          -29.8016,          -10.2589,          -11.1661,           -0.7353,           -0.1493,          -12.1384,
Ref 5,5.96457e-08,,,,,,1.1975e-02,4.2070e-03,4.8964e-05,4.6438e-06,5.5303e-08,,,,,,,,,,,
Sam 5,5.90168e-08,1.18897e-02,4.1847e-03,4.8311e-05,4.5935e-06,5.5150e-08,,,,,,           -7.1034,           -5.3178,          -13.3209,          -10.9000,           -4.4728,          -10.2651,          -11.1765,           -0.8158,           -0.2959,           13.6792,
Ref 6,5.86539e-08,,,,,,1.1975e-02,4.2071e-03,4.8961e-05,4.6444e-06,5.5494e-08,,,,,,,,,,,
Sam 6,5.80248e-08,1.18898e-02,4.1848e-03,4.8316e-05,4.5935e-06,5.0567e-08,,,,,,           -7.0967,           -5.3074,          -13.1895,          -11.0905,          -86.9611,          -10.2582,          -11.1662,           -0.7001,           -0.5093,          -70.3389,
Ref 7,5.76871e-08,,,,,,1.1975e-02,4.2071e-03,4.8961e-05,4.6455e-06,5.5271e-08,,,,,,,,,,,
Sam 7,5.70492e-08,1.18899e-02,4.1848e-03,4.8320e-05,4.5934e-06,5.2846e-08,,,,,,           -7.1005,           -5.3183,          -13.1240,          -11.0964,          -20.4927,          -10.2620,          -11.1770,           -0.6190,           -0.4935,           -2.6349,
Ref 8,5.67347e-08,,,,,,1.1975e-02,4.2072e-03,4.8964e-05,4.6444e-06,5.2609e-08,,,,,,,,,,,
Sam 8,5.61015e-08,1.18899e-02,4.1848e-03,4.8315e-05,4.5961e-06,5.2565e-08,,,,,,           -7.1062,           -5.3129,          -13.2948,          -10.5030,           -3.8237,          -10.2682,          -11.1717,           -0.7913,            0.0955,           14.3335,
Ref 9,5.58119e-08,,,,,,1.1975e-02,4.2072e-03,4.8967e-05,4.6454e-06,5.2928e-08,,,,,,,,,,,
Sam 9,5.51754e-08,1.18898e-02,4.1848e-03,4.8323e-05,4.5950e-06,5.3681e-08,,,,,,           -7.1134,           -5.3256,          -13.1745,          -10.7602,            3.0186,          -10.2754,          -11.1843,           -0.6496,           -0.1390,           21.3339,
Ref 10,5.49020e-08,,,,,,1.1975e-02,4.2072e-03,4.8970e-05,4.6446e-06,5.4121e-08,,,,,,,,,,,
Sam 10,5.42649e-08,1.18897e-02,4.1849e-03,4.8320e-05,4.5952e-06,5.2671e-08,,,,,,           -7.1132,           -5.3026,          -13.2395,          -10.6397,          -16.2311,          -10.2760,          -11.1614,           -0.7382,           -0.0633,            1.6870,
Ref 11,5.40103e-08,,,,,,1.1975e-02,4.2072e-03,4.8966e-05,4.6448e-06,5.2949e-08,,,,,,,,,,,
Sam 11,5.33732e-08,1.18900e-02,4.1850e-03,4.8326e-05,4.5973e-06,5.3266e-08,,,,,,           -7.0820,           -5.2920,          -13.1068,          -10.1541,          -30.8599,          -10.2431,          -11.1509,           -0.6468,            0.4060,          -13.2620,
Ref 12,5.31345e-08,,,,,,1.1975e-02,4.2073e-03,4.8971e-05,4.6441e-06,5.7008e-08,,,,,,,,,,,
Sam 12,5.25014e-08,1.18897e-02,4.1849e-03,4.8327e-05,4.5937e-06,5.3915e-08,,,,,,           -7.1065,           -5.3106,          -13.1535,          -11.1347,          -33.2509,          -10.2685,          -11.1694,           -0.6502,           -0.5475,          -15.6343,
Ref 13,5.22821e-08,,,,,,1.1975e-02,4.2073e-03,4.8972e-05,4.6468e-06,5.4511e-08,,,,,,,,,,,
Sam 13,5.16551e-08,1.18898e-02,4.1849e-03,4.8323e-05,4.5962e-06,5.3895e-08,,,,,,           -7.0963,           -5.3237,          -13.2437,          -10.8105,          -11.7972,          -10.2572,          -11.1825,           -0.7392,           -0.1935,            6.2254,
Ref 14,5.14551e-08,,,,,,1.1975e-02,4.2073e-03,4.8972e-05,4.6462e-06,5.4567e-08,,,,,,,,,,,
Sam 14,5.08277e-08,1.18898e-02,4.1850e-03,4.8321e-05,4.5979e-06,5.5437e-08,,,,,,           -7.0984,           -5.3108,          -13.3430,          -10.3552,          -29.5492,          -10.2599,          -11.1696,           -0.8503,            0.2407,          -11.8733,
Ref 15,5.06364e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6458e-06,5.9726e-08,,,,,,,,,,,
Sam 15,5.00102e-08,1.18898e-02,4.1850e-03,4.8328e-05,4.5961e-06,5.6959e-08,,,,,,           -7.1016,           -5.3084,          -13.2536,          -10.8401,          -24.8222,          -10.2635,          -11.1672,           -0.7588,           -0.2543,           -7.0616,
Ref 16,4.98312e-08,,,,,,1.1975e-02,4.2073e-03,4.8979e-05,4.6472e-06,5.7070e-08,,,,,,,,,,,
Sam 16,4.92056e-08,1.18898e-02,4.1850e-03,4.8330e-05,4.5961e-06,5.7875e-08,,,,,,           -7.1035,           -5.3096,          -13.1975,          -10.9241,            5.1113,          -10.2654,          -11.1683,           -0.6989,           -0.3368,           23.4216,
Ref 17,4.90427e-08,,,,,,1.1975e-02,4.2073e-03,4.8974e-05,4.6465e-06,5.8100e-08,,,,,,,,,,,
Sam 17,4.84245e-08,1.18897e-02,4.1849e-03,4.8324e-05,4.5958e-06,5.9086e-08,,,,,,           -7.1090,           -5.3124,          -13.2899,          -11.0144,           -2.4205,          -10.2711,          -11.1711,           -0.7840,           -0.4224,           15.7641,
Ref 18,4.82725e-08,,,,,,1.1975e-02,4.2073e-03,4.8977e-05,4.6475e-06,6.0376e-08,,,,,,,,,,,
Sam 18,4.76622e-08,1.18896e-02,4.1850e-03,4.8323e-05,4.5965e-06,5.9059e-08,,,,,,           -7.1092,           -5.2978,          -13.3327,          -10.7831,          -26.1681,          -10.2719,          -11.1566,           -0.8416,           -0.2180,           -8.4447,
Ref 19,4.75235e-08,,,,,,1.1975e-02,4.2073e-03,4.8975e-05,4.6456e-06,6.0921e-08,,,,,,,,,,,
Sam 19,4.69093e-08,1.18897e-02,4.1850e-03,4.8330e-05,4.5960e-06,5.7880e-08,,,,,,           -7.0961,           -5.2865,          -13.2093,          -10.7320,          -28.6025,          -10.2584,          -11.1454,           -0.7413,           -0.1890,          -10.9593,
Ref 20,4.67747e-08,,,,,,1.1975e-02,4.2073e-03,4.8978e-05,4.6462e-06,5.8226e-08,,,,,,,,,,,
Sam 20,4.61591e-08,1.18896e-02,4.1850e-03,4.8330e-05,4.5989e-06,5.8608e-08,,,,,,           -7.1000,           -5.2943,          -13.2176,          -10.3624,           -6.3556,          -10.2622,          -11.1532,           -0.7381,            0.2002,           11.7114,
Ref 21,4.60452e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6480e-06,5.9751e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.56895e-08,,,,,,1.1975e-02,4.2073e-03,4.8980e-05,4.6497e-06,5.7441e-08,
Sam 1,4.50758e-08,1.18895e-02,4.1849e-03,4.8334e-05,4.5986e-06,5.7299e-08,,,,,,           -7.1113,           -5.3130,          -13.1816,          -10.8443,          -16.4512,          -10.2736,          -11.1717,           -0.6713,           -0.2493,            1.4813,
Ref 2,4.49834e-08,,,,,,1.1974e-02,4.2073e-03,4.8979e-05,4.6482e-06,5.9086e-08,,,,,,,,,,,
Sam 2,4.43660e-08,1.18896e-02,4.1850e-03,4.8336e-05,4.5975e-06,6.0783e-08,,,,,,           -7.0861,           -5.2885,          -13.0592,          -11.0194,            0.8713,          -10.2477,          -11.1475,           -0.5977,           -0.4753,           19.0430,
Ref 3,4.42882e-08,,,,,,1.1974e-02,4.2072e-03,4.8971e-05,4.6492e-06,6.2400e-08,,,,,,,,,,,
Sam 3,4.36689e-08,1.18894e-02,4.1849e-03,4.8335e-05,4.6016e-06,5.9923e-08,,,,,,           -7.1071,           -5.3120,          -13.0353,          -10.3328,          -61.9010,          -10.2692,          -11.1708,           -0.5285,            0.2658,          -44.8031,
Ref 4,4.36061e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6501e-06,6.5377e-08,,,,,,,,,,,
Sam 4,4.29956e-08,1.18894e-02,4.1849e-03,4.8338e-05,4.6006e-06,6.4010e-08,,,,,,           -7.1066,           -5.3182,          -13.1046,          -10.5390,            5.3822,          -10.2684,          -11.1770,           -0.5931,            0.0698,           23.7183,
Ref 5,4.29517e-08,,,,,,1.1974e-02,4.2072e-03,4.8983e-05,4.6490e-06,6.1931e-08,,,,,,,,,,,
Sam 5,4.23382e-08,1.18893e-02,4.1849e-03,4.8334e-05,4.5969e-06,6.4775e-08,,,,,,           -7.1045,           -5.3059,          -13.2150,          -11.2970,           11.6188,          -10.2666,          -11.1647,           -0.7193,           -0.7210,           30.0412,
Ref 6,4.23064e-08,,,,,,1.1974e-02,4.2072e-03,4.8980e-05,4.6499e-06,6.6164e-08,,,,,,,,,,,
Sam 6,4.16888e-08,1.18892e-02,4.1849e-03,4.8337e-05,4.5992e-06,6.5227e-08,,,,,,           -7.1084,           -5.2901,          -13.1122,          -11.0690,          -14.0022,          -10.2713,          -11.1489,           -0.6267,           -0.5224,            3.9264,
Ref 7,4.16660e-08,,,,,,1.1974e-02,4.2071e-03,4.8979e-05,4.6515e-06,6.6142e-08,,,,,,,,,,,
Sam 7,4.10518e-08,1.18893e-02,4.1848e-03,4.8338e-05,4.6005e-06,6.8765e-08,,,,,,           -7.0992,           -5.3082,          -13.1358,          -10.8449,           20.1626,          -10.2609,          -11.1670,           -0.6422,           -0.2595,           38.7394,
Ref 8,4.10424e-08,,,,,,1.1974e-02,4.2071e-03,4.8984e-05,4.6504e-06,6.8689e-08,,,,,,,,,,,
Sam 8,4.04266e-08,1.18891e-02,4.1847e-03,4.8337e-05,4.5989e-06,6.6441e-08,,,,,,           -7.1046,           -5.3220,          -13.2161,          -11.0365,          -45.3989,          -10.2662,          -11.1807,           -0.7043,           -0.4254,          -27.9836,
Ref 9,4.04435e-08,,,,,,1.1974e-02,4.2071e-03,4.8984e-05,4.6501e-06,7.0525e-08,,,,,,,,,,,
Sam 9,3.98171e-08,1.18890e-02,4.1848e-03,4.8339e-05,4.6007e-06,6.7512e-08,,,,,,           -7.0942,           -5.2919,          -13.1183,          -10.5913,           -5.8487,          -10.2562,          -11.1508,           -0.6458,           -0.0360,           12.2165,
Ref 10,3.98362e-08,,,,,,1.1974e-02,4.2070e-03,4.8980e-05,4.6497e-06,6.5253e-08,,,,,,,,,,,
Sam 10,3.92214e-08,1.18889e-02,4.1846e-03,4.8329e-05,4.6009e-06,6.3326e-08,,,,,,           -7.0997,           -5.3136,          -13.3468,          -10.5037,          -36.8671,          -10.2613,          -11.1724,           -0.8501,            0.0963,          -19.3177,
Ref 11,3.92447e-08,,,,,,1.1974e-02,4.2070e-03,4.8985e-05,4.6497e-06,6.6254e-08,,,,,,,,,,,
Sam 11,3.86344e-08,1.18887e-02,4.1847e-03,4.8341e-05,4.5987e-06,6.7014e-08,,,,,,           -7.1131,           -5.2986,          -13.0284,          -11.1208,           -3.1691,          -10.2761,          -11.1574,           -0.5285,           -0.5577,           14.9787,
Ref 12,3.86676e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6511e-06,6.8214e-08,,,,,,,,,,,
Sam 12,3.80622e-08,1.18889e-02,4.1847e-03,4.8335e-05,4.5985e-06,6.7514e-08,,,,,,           -7.0939,           -5.2909,          -13.1241,          -11.0878,           -6.9953,          -10.2559,          -11.1498,           -0.6530,           -0.5397,           11.0468,
Ref 13,3.81156e-08,,,,,,1.1974e-02,4.2070e-03,4.8983e-05,4.6491e-06,6.7762e-08,,,,,,,,,,,
Sam 13,3.75019e-08,1.18888e-02,4.1846e-03,4.8338e-05,4.6006e-06,6.6544e-08,,,,,,           -7.0995,           -5.3121,          -13.1852,          -10.5065,          -13.0470,          -10.2610,          -11.1709,           -0.6881,            0.0904,            4.9331,
Ref 14,3.75511e-08,,,,,,1.1974e-02,4.2069e-03,4.8984e-05,4.6499e-06,6.7081e-08,,,,,,,,,,,
Sam 14,3.69469e-08,1.18887e-02,4.1846e-03,4.8337e-05,4.6009e-06,6.8366e-08,,,,,,           -7.1014,           -5.3096,          -13.2175,          -10.7455,           24.9472,          -10.2632,          -11.1683,           -0.7213,           -0.1563,           43.6164,
Ref 15,3.70067e-08,,,,,,1.1974e-02,4.2069e-03,4.8985e-05,4.6518e-06,6.6318e-08,,,,,,,,,,,
Sam 15,3.64077e-08,1.18887e-02,4.1846e-03,4.8336e-05,4.6012e-06,6.9600e-08,,,,,,           -7.1018,           -5.2890,          -13.2811,          -10.8229,           12.6319,          -10.2643,          -11.1479,           -0.8058,           -0.2759,           31.0353,
Ref 16,3.64735e-08,,,,,,1.1974e-02,4.2069e-03,4.8989e-05,4.6512e-06,7.1181e-08,,,,,,,,,,,
Sam 16,3.58756e-08,1.18886e-02,4.1846e-03,4.8337e-05,4.6056e-06,7.2930e-08,,,,,,           -7.1043,           -5.2992,          -13.3481,           -9.9786,           17.0976,          -10.2667,          -11.1580,           -0.8608,            0.5980,           35.6059,
Ref 17,3.59583e-08,,,,,,1.1974e-02,4.2068e-03,4.8994e-05,4.6529e-06,7.2235e-08,,,,,,,,,,,
Sam 17,3.53545e-08,1.18886e-02,4.1845e-03,4.8345e-05,4.6011e-06,7.0429e-08,,,,,,           -7.0946,           -5.2890,          -13.2027,          -10.9973,           -6.7086,          -10.2566,          -11.1479,           -0.7337,           -0.4521,           11.3356,
Ref 18,3.54362e-08,,,,,,1.1974e-02,4.2068e-03,4.8989e-05,4.6516e-06,6.9555e-08,,,,,,,,,,,
Sam 18,3.48429e-08,1.18886e-02,4.1846e-03,4.8340e-05,4.6032e-06,7.1915e-08,,,,,,           -7.0936,           -5.2859,          -13.2263,          -10.2790,           12.9540,          -10.2557,          -11.1448,           -0.7618,            0.2676,           31.3478,
Ref 19,3.49306e-08,,,,,,1.1974e-02,4.2068e-03,4.8987e-05,4.6503e-06,7.2456e-08,,,,,,,,,,,
Sam 19,3.43600e-08,1.18885e-02,4.1844e-03,4.8331e-05,4.6016e-06,7.2301e-08,,,,,,           -7.0982,           -5.3131,          -13.3877,          -10.8904,            1.7704,          -10.2597,          -11.1718,           -0.8935,           -0.2956,           20.0211,
Ref 20,3.44411e-08,,,,,,1.1973e-02,4.2068e-03,4.8986e-05,4.6542e-06,7.1887e-08,,,,,,,,,,,
Sam 20,3.38503e-08,1.18883e-02,4.1844e-03,4.8336e-05,4.6026e-06,7.0484e-08,,,,,,           -7.1031,           -5.3102,          -13.2268,          -10.8944,          -16.3434,          -10.2650,          -11.1690,           -0.7284,           -0.3055,            1.5768,
Ref 21,3.39524e-08,,,,,,1.1973e-02,4.2068e-03,4.8982e-05,4.6523e-06,7.1421e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.37136e-08,,,,,,1.1974e-02,4.2068e-03,4.8985e-05,4.6518e-06,6.7339e-08,
Sam 1,3.31278e-08,1.18884e-02,4.1845e-03,4.8337e-05,4.6067e-06,6.5058e-08,,,,,,           -7.1084,           -5.2986,          -13.1679,           -9.6966,          -12.2464,          -10.2710,          -11.1574,           -0.6748,            0.8817,            5.7311,
Ref 2,3.32402e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6519e-06,6.4370e-08,,,,,,,,,,,
Sam 2,3.26593e-08,1.18882e-02,4.1845e-03,4.8341e-05,4.6034e-06,6.2789e-08,,,,,,           -7.1172,           -5.2972,          -13.0584,          -10.6732,          -44.6308,          -10.2804,          -11.1560,           -0.5560,           -0.1080,          -27.2361,
Ref 3,3.27765e-08,,,,,,1.1973e-02,4.2067e-03,4.8984e-05,4.6542e-06,6.7093e-08,,,,,,,,,,,
Sam 3,3.22108e-08,1.18881e-02,4.1844e-03,4.8339e-05,4.6043e-06,6.8243e-08,,,,,,           -7.1083,           -5.3059,          -13.1462,          -10.5645,           33.9273,          -10.2707,          -11.1647,           -0.6456,            0.0194,           52.7603,
Ref 4,3.23352e-08,,,,,,1.1973e-02,4.2067e-03,4.8982e-05,4.6527e-06,6.4900e-08,,,,,,,,,,,
Sam 4,3.17555e-08,1.18881e-02,4.1843e-03,4.8338e-05,4.6031e-06,6.5798e-08,,,,,,           -7.1100,           -5.3051,          -13.1714,          -10.0896,           11.8574,          -10.2725,          -11.1638,           -0.6702,            0.4976,           30.2885,
Ref 5,3.18931e-08,,,,,,1.1973e-02,4.2067e-03,4.8985e-05,4.6472e-06,6.5155e-08,,,,,,,,,,,
Sam 5,3.13108e-08,1.18881e-02,4.1844e-03,4.8336e-05,4.6042e-06,6.5847e-08,,,,,,           -7.1036,           -5.2832,          -13.2554,           -9.6343,           -9.4931,          -10.2665,          -11.1421,           -0.7835,            0.9138,            8.4987,
Ref 6,3.14386e-08,,,,,,1.1973e-02,4.2067e-03,4.8986e-05,4.6508e-06,6.7820e-08,,,,,,,,,,,
Sam 6,3.08852e-08,1.18880e-02,4.1843e-03,4.8337e-05,4.6041e-06,6.3941e-08,,,,,,           -7.1152,           -5.3062,          -13.2514,          -10.1994,          -58.3444,          -10.2780,          -11.1650,           -0.7446,            0.3890,          -41.1843,
Ref 7,3.10151e-08,,,,,,1.1973e-02,4.2066e-03,4.8987e-05,4.6522e-06,6.7986e-08,,,,,,,,,,,
Sam 7,3.04412e-08,1.18880e-02,4.1843e-03,4.8345e-05,4.6069e-06,6.2994e-08,,,,,,           -7.1065,           -5.3100,          -13.0935,           -9.7609,          -68.4472,          -10.2687,          -11.1688,           -0.5900,            0.8398,          -51.4730,
Ref 8,3.05867e-08,,,,,,1.1973e-02,4.2066e-03,4.8985e-05,4.6524e-06,6.7254e-08,,,,,,,,,,,
Sam 8,3.00190e-08,1.18878e-02,4.1842e-03,4.8336e-05,4.6012e-06,6.7621e-08,,,,,,           -7.1150,           -5.3259,          -13.2425,          -11.0676,           -3.2856,          -10.2771,          -11.1845,           -0.7165,           -0.4490,           14.9169,
Ref 9,3.01686e-08,,,,,,1.1973e-02,4.2066e-03,4.8983e-05,4.6530e-06,6.8441e-08,,,,,,,,,,,
Sam 9,2.96078e-08,1.18879e-02,4.1842e-03,4.8341e-05,4.5993e-06,6.2635e-08,,,,,,           -7.1024,           -5.2992,          -13.1302,          -11.2085,          -67.9838,          -10.2646,          -11.1580,           -0.6421,           -0.6451,          -51.0256,
Ref 10,2.97630e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6498e-06,6.5949e-08,,,,,,,,,,,
Sam 10,2.92081e-08,1.18879e-02,4.1842e-03,4.8339e-05,4.6005e-06,6.6620e-08,,,,,,           -7.0912,           -5.3004,          -13.1149,          -10.8039,           -9.6814,          -10.2526,          -11.1592,           -0.6371,           -0.2338,            8.3277,
Ref 11,2.93610e-08,,,,,,1.1973e-02,4.2066e-03,4.8977e-05,4.6516e-06,6.8612e-08,,,,,,,,,,,
Sam 11,2.88036e-08,1.18878e-02,4.1842e-03,4.8333e-05,4.6021e-06,6.6184e-08,,,,,,           -7.1025,           -5.3156,          -13.2371,          -10.7666,          -34.0422,          -10.2642,          -11.1744,           -0.7340,           -0.1654,          -16.4344,
Ref 12,2.89679e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6527e-06,6.8419e-08,,,,,,,,,,,
Sam 12,2.84120e-08,1.18877e-02,4.1842e-03,4.8334e-05,4.5962e-06,6.7153e-08,,,,,,           -7.1069,           -5.3021,          -13.2619,          -11.8699,          -11.4670,          -10.2693,          -11.1609,           -0.7681,           -1.3078,            6.5300,
Ref 13,2.86074e-08,,,,,,1.1973e-02,4.2064e-03,4.8982e-05,4.6502e-06,6.7438e-08,,,,,,,,,,,
Sam 13,2.80364e-08,1.18877e-02,4.1842e-03,4.8334e-05,4.5988e-06,6.7925e-08,,,,,,           -7.1073,           -5.2901,          -13.2033,          -11.2796,           -4.2908,          -10.2702,          -11.1490,           -0.7201,           -0.7352,           13.8133,
Ref 14,2.82051e-08,,,,,,1.1973e-02,4.2065e-03,4.8979e-05,4.6524e-06,6.9009e-08,,,,,,,,,,,
Sam 14,2.76537e-08,1.18877e-02,4.1841e-03,4.8337e-05,4.6031e-06,6.7979e-08,,,,,,           -7.1025,           -5.3118,          -13.1757,          -10.0562,            6.7261,          -10.2643,          -11.1706,           -0.6757,            0.5449,           25.0691,
Ref 15,2.78319e-08,,,,,,1.1973e-02,4.2065e-03,4.8987e-05,4.6474e-06,6.6021e-08,,,,,,,,,,,
Sam 15,2.72820e-08,1.18877e-02,4.1842e-03,4.8333e-05,4.5958e-06,6.3406e-08,,,,,,           -7.1001,           -5.3058,          -13.2670,          -11.5143,          -19.2041,          -10.2619,          -11.1646,           -0.7766,           -0.9408,           -1.3479,
Ref 16,2.74711e-08,,,,,,1.1973e-02,4.2065e-03,4.8978e-05,4.6514e-06,6.3256e-08,,,,,,,,,,,
Sam 16,2.69158e-08,1.18876e-02,4.1842e-03,4.8336e-05,4.5947e-06,6.6893e-08,,,,,,           -7.0991,           -5.2999,          -13.1407,          -11.8499,           31.5989,          -10.2610,          -11.1588,           -0.6555,           -1.2919,           50.3666,
Ref 17,2.71019e-08,,,,,,1.1973e-02,4.2064e-03,4.8981e-05,4.6482e-06,6.6453e-08,,,,,,,,,,,
Sam 17,2.65563e-08,1.18875e-02,4.1841e-03,4.8328e-05,4.5986e-06,6.4243e-08,,,,,,           -7.1113,           -5.3026,          -13.3213,          -11.0106,          -24.6995,          -10.2739,          -11.1614,           -0.8231,           -0.4381,           -6.9376,
Ref 18,2.67458e-08,,,,,,1.1973e-02,4.2064e-03,4.8979e-05,4.6515e-06,6.5279e-08,,,,,,,,,,,
Sam 18,2.62041e-08,1.18876e-02,4.1842e-03,4.8331e-05,4.5989e-06,6.2896e-08,,,,,,           -7.1048,           -5.2771,          -13.1758,          -11.3992,          -52.8621,          -10.2680,          -11.1360,           -0.7076,           -0.8821,          -35.6684,
Ref 19,2.64085e-08,,,,,,1.1973e-02,4.2064e-03,4.8974e-05,4.6524e-06,6.7548e-08,,,,,,,,,,,
Sam 19,2.58614e-08,1.18875e-02,4.1842e-03,4.8334e-05,4.5982e-06,6.3722e-08,,,,,,           -7.0990,           -5.2649,          -13.0154,          -11.3663,          -48.0209,          -10.2622,          -11.1239,           -0.5633,           -0.8734,          -30.7688,
Ref 20,2.60681e-08,,,,,,1.1972e-02,4.2062e-03,4.8968e-05,4.6497e-06,6.6318e-08,,,,,,,,,,,
