Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 15:59 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 16:58 with Stable 1.71.5 on PS019

Data File = Data_17483 KDW_131_8_J-B.txt, Sample Weight = 573,                      Vial Location = 16,                       Initial Sam Beam = 1.3937e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7702e-08,                Max Ref Beam = 1.0646e-07,                

Analysis undertaken at mass 46.02148
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.34168e-08,,,,,,1.1975e-02,4.2072e-03,4.8962e-05,4.6445e-06,5.3370e-08,
Sam 1,5.28528e-08,1.19991e-02,4.2416e-03,4.9449e-05,4.7187e-06,5.7129e-08,,,,,,            2.0338,            8.1782,            9.9096,           15.9855,           71.4415,           -1.0083,            2.2343,           -0.2490,           -0.4307,           52.1352,
Ref 2,5.25196e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6444e-06,5.3270e-08,,,,,,,,,,,
Sam 2,5.19685e-08,1.19991e-02,4.2417e-03,4.9451e-05,4.7219e-06,5.6684e-08,,,,,,            2.0328,            8.1786,            9.8843,           16.6803,           17.7179,           -1.0094,            2.2347,           -0.2735,            0.2520,           -0.6201,
Ref 3,5.16762e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6445e-06,5.8164e-08,,,,,,,,,,,
Sam 3,5.11181e-08,1.19990e-02,4.2417e-03,4.9449e-05,4.7189e-06,5.7347e-08,,,,,,            2.0324,            8.1731,            9.8359,           16.1629,            0.7805,           -1.0096,            2.2292,           -0.3156,           -0.2461,          -17.2413,
Ref 4,5.08520e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6431e-06,5.6427e-08,,,,,,,,,,,
Sam 4,5.02887e-08,1.19990e-02,4.2417e-03,4.9450e-05,4.7163e-06,5.5505e-08,,,,,,            2.0318,            8.1841,            9.8811,           15.5395,            1.1489,           -1.0107,            2.2401,           -0.2809,           -0.8811,          -16.8999,
Ref 5,5.00473e-08,,,,,,1.1975e-02,4.2073e-03,4.8966e-05,4.6453e-06,5.4440e-08,,,,,,,,,,,
Sam 5,4.94755e-08,1.19990e-02,4.2417e-03,4.9450e-05,4.7222e-06,5.6616e-08,,,,,,            2.0330,            8.1715,            9.8681,           16.5344,           26.3974,           -1.0089,            2.2275,           -0.2827,            0.1227,            7.9169,
Ref 6,4.92531e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6454e-06,5.5892e-08,,,,,,,,,,,
Sam 6,4.86805e-08,1.19989e-02,4.2417e-03,4.9446e-05,4.7180e-06,5.7989e-08,,,,,,            2.0290,            8.1677,            9.7524,           15.8137,           23.7431,           -1.0131,            2.2237,           -0.3894,           -0.5788,            5.3221,
Ref 7,4.84843e-08,,,,,,1.1975e-02,4.2073e-03,4.8970e-05,4.6437e-06,5.7409e-08,,,,,,,,,,,
Sam 7,4.79041e-08,1.19989e-02,4.2417e-03,4.9448e-05,4.7195e-06,5.8492e-08,,,,,,            2.0326,            8.1714,            9.7019,           15.9233,           12.2823,           -1.0094,            2.2275,           -0.4468,           -0.4785,           -5.9436,
Ref 8,4.77272e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6474e-06,5.8162e-08,,,,,,,,,,,
Sam 8,4.71423e-08,1.19989e-02,4.2417e-03,4.9449e-05,4.7224e-06,6.1656e-08,,,,,,            2.0284,            8.1723,            9.7239,           16.3088,           56.6933,           -1.0138,            2.2284,           -0.4216,           -0.1010,           37.6706,
Ref 9,4.69841e-08,,,,,,1.1975e-02,4.2073e-03,4.8969e-05,4.6459e-06,5.8538e-08,,,,,,,,,,,
Sam 9,4.64014e-08,1.19990e-02,4.2418e-03,4.9452e-05,4.7193e-06,5.9963e-08,,,,,,            2.0356,            8.1811,            9.8051,           15.7523,           24.0764,           -1.0065,            2.2371,           -0.3572,           -0.6659,            5.6160,
Ref 10,4.62543e-08,,,,,,1.1975e-02,4.2073e-03,4.8975e-05,4.6463e-06,5.8568e-08,,,,,,,,,,,
Sam 10,4.56714e-08,1.19988e-02,4.2417e-03,4.9458e-05,4.7206e-06,5.9637e-08,,,,,,            2.0318,            8.1652,            9.8994,           16.1313,           23.4206,           -1.0100,            2.2213,           -0.2444,           -0.2614,            5.0074,
Ref 11,4.55402e-08,,,,,,1.1974e-02,4.2073e-03,4.8972e-05,4.6451e-06,5.7971e-08,,,,,,,,,,,
Sam 11,4.49567e-08,1.19990e-02,4.2417e-03,4.9454e-05,4.7235e-06,5.9567e-08,,,,,,            2.0490,            8.1803,            9.8446,           16.7104,           26.4690,           -0.9922,            2.2363,           -0.3311,            0.2782,            7.9527,
Ref 12,4.48427e-08,,,,,,1.1974e-02,4.2073e-03,4.8973e-05,4.6466e-06,5.8091e-08,,,,,,,,,,,
Sam 12,4.42586e-08,1.19987e-02,4.2417e-03,4.9459e-05,4.7224e-06,6.2890e-08,,,,,,            2.0322,            8.1779,            9.8638,           16.3556,           60.2306,           -1.0100,            2.2340,           -0.2925,           -0.0660,           41.1287,
Ref 13,4.41557e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6461e-06,6.0562e-08,,,,,,,,,,,
Sam 13,4.35762e-08,1.19987e-02,4.2416e-03,4.9456e-05,4.7188e-06,6.4162e-08,,,,,,            2.0308,            8.1676,            9.7370,           15.6890,           53.6232,           -1.0111,            2.2237,           -0.4065,           -0.7013,           34.6627,
Ref 14,4.34858e-08,,,,,,1.1974e-02,4.2072e-03,4.8979e-05,4.6457e-06,6.1236e-08,,,,,,,,,,,
Sam 14,4.29061e-08,1.19986e-02,4.2417e-03,4.9459e-05,4.7226e-06,6.0701e-08,,,,,,            2.0274,            8.1857,            9.8238,           16.3895,           -3.5893,           -1.0153,            2.2417,           -0.3347,           -0.0480,          -21.5512,
Ref 15,4.28286e-08,,,,,,1.1974e-02,4.2073e-03,4.8977e-05,4.6472e-06,6.0598e-08,,,,,,,,,,,
Sam 15,4.22502e-08,1.19986e-02,4.2416e-03,4.9458e-05,4.7195e-06,6.0894e-08,,,,,,            2.0275,            8.1555,            9.7908,           15.6023,            4.0974,           -1.0143,            2.2116,           -0.3380,           -0.7627,          -13.9451,
Ref 16,4.21802e-08,,,,,,1.1974e-02,4.2073e-03,4.8979e-05,4.6467e-06,6.0694e-08,,,,,,,,,,,
Sam 16,4.16077e-08,1.19986e-02,4.2416e-03,4.9459e-05,4.7235e-06,6.2148e-08,,,,,,            2.0328,            8.1720,            9.7821,           16.3249,           37.9305,           -1.0091,            2.2281,           -0.3683,           -0.0845,           19.2415,
Ref 17,4.15485e-08,,,,,,1.1974e-02,4.2072e-03,4.8980e-05,4.6485e-06,5.9047e-08,,,,,,,,,,,
Sam 17,4.09754e-08,1.19983e-02,4.2416e-03,4.9456e-05,4.7250e-06,6.2531e-08,,,,,,            2.0181,            8.1771,            9.7071,           16.6922,           30.1779,           -1.0250,            2.2332,           -0.4323,            0.2667,           11.6341,
Ref 18,4.09312e-08,,,,,,1.1974e-02,4.2071e-03,4.8980e-05,4.6464e-06,6.2375e-08,,,,,,,,,,,
Sam 18,4.03457e-08,1.19984e-02,4.2415e-03,4.9457e-05,4.7245e-06,6.4544e-08,,,,,,            2.0416,            8.1715,            9.7216,           16.4780,           12.2125,           -0.9997,            2.2276,           -0.4367,            0.0671,           -6.0218,
Ref 19,4.03080e-08,,,,,,1.1974e-02,4.2072e-03,4.8982e-05,4.6495e-06,6.5176e-08,,,,,,,,,,,
Sam 19,3.97382e-08,1.19982e-02,4.2414e-03,4.9458e-05,4.7224e-06,6.7164e-08,,,,,,            2.0334,            8.1526,            9.7451,           16.0532,           21.7389,           -1.0078,            2.2088,           -0.3866,           -0.3133,            3.3787,
Ref 20,3.97126e-08,,,,,,1.1974e-02,4.2071e-03,4.8979e-05,4.6459e-06,6.6302e-08,,,,,,,,,,,
Sam 20,3.91394e-08,1.19982e-02,4.2414e-03,4.9458e-05,4.7240e-06,6.5240e-08,,,,,,            2.0284,            8.1548,            9.7296,           16.6548,           -2.5682,           -1.0133,            2.2110,           -0.3988,            0.2742,          -20.4905,
Ref 21,3.91250e-08,,,,,,1.1974e-02,4.2071e-03,4.8983e-05,4.6474e-06,6.4501e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.88370e-08,,,,,,1.1974e-02,4.2071e-03,4.8983e-05,4.6508e-06,6.7157e-08,
Sam 1,3.82639e-08,1.19982e-02,4.2415e-03,4.9464e-05,4.7253e-06,6.8827e-08,,,,,,            2.0325,            8.1789,            9.9272,           16.1398,           22.9643,           -1.0097,            2.2349,           -0.2310,           -0.2802,            4.5316,
Ref 2,3.82841e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6497e-06,6.7408e-08,,,,,,,,,,,
Sam 2,3.76965e-08,1.19981e-02,4.2414e-03,4.9466e-05,4.7240e-06,6.9995e-08,,,,,,            2.0283,            8.1736,            9.9916,           16.0703,           23.6092,           -1.0140,            2.2297,           -0.1577,           -0.3382,            5.1796,
Ref 3,3.77096e-08,,,,,,1.1974e-02,4.2070e-03,4.8981e-05,4.6489e-06,6.9369e-08,,,,,,,,,,,
Sam 3,3.71343e-08,1.19979e-02,4.2414e-03,4.9465e-05,4.7296e-06,7.0116e-08,,,,,,            2.0196,            8.1755,            9.9561,           17.2566,           28.1926,           -1.0233,            2.2316,           -0.1859,            0.8252,            9.6861,
Ref 4,3.71609e-08,,,,,,1.1974e-02,4.2069e-03,4.8975e-05,4.6498e-06,6.7001e-08,,,,,,,,,,,
Sam 4,3.65863e-08,1.19979e-02,4.2414e-03,4.9453e-05,4.7235e-06,7.0756e-08,,,,,,            2.0314,            8.1950,            9.7066,           15.8600,           46.1282,           -1.0114,            2.2510,           -0.4640,           -0.5876,           27.2469,
Ref 5,3.66241e-08,,,,,,1.1973e-02,4.2069e-03,4.8980e-05,4.6497e-06,6.8281e-08,,,,,,,,,,,
Sam 5,3.60505e-08,1.19977e-02,4.2412e-03,4.9462e-05,4.7251e-06,7.1247e-08,,,,,,            2.0224,            8.1461,            9.8216,           15.9383,           48.9710,           -1.0193,            2.2023,           -0.2931,           -0.4135,           30.1465,
Ref 6,3.60985e-08,,,,,,1.1974e-02,4.2069e-03,4.8982e-05,4.6522e-06,6.7556e-08,,,,,,,,,,,
Sam 6,3.55230e-08,1.19977e-02,4.2413e-03,4.9463e-05,4.7281e-06,7.1489e-08,,,,,,            2.0263,            8.1626,            9.8974,           16.1945,           32.3275,           -1.0157,            2.2187,           -0.2382,           -0.1941,           13.7649,
Ref 7,3.55760e-08,,,,,,1.1973e-02,4.2069e-03,4.8975e-05,4.6532e-06,7.0970e-08,,,,,,,,,,,
Sam 7,3.50026e-08,1.19977e-02,4.2413e-03,4.9456e-05,4.7268e-06,6.9002e-08,,,,,,            2.0334,            8.1708,            9.7360,           15.8958,          -13.7984,           -1.0084,            2.2268,           -0.4133,           -0.5042,          -31.5543,
Ref 8,3.50681e-08,,,,,,1.1973e-02,4.2069e-03,4.8984e-05,4.6524e-06,6.8949e-08,,,,,,,,,,,
Sam 8,3.44959e-08,1.19977e-02,4.2412e-03,4.9462e-05,4.7267e-06,7.1270e-08,,,,,,            2.0298,            8.1665,            9.8181,           16.1225,           34.7886,           -1.0121,            2.2226,           -0.3241,           -0.2727,           16.1702,
Ref 9,3.45972e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6510e-06,6.8797e-08,,,,,,,,,,,
Sam 9,3.40053e-08,1.19976e-02,4.2412e-03,4.9462e-05,4.7283e-06,7.2861e-08,,,,,,            2.0279,            8.1637,            9.7556,           16.6956,           51.5598,           -1.0141,            2.2198,           -0.3813,            0.2967,           32.6474,
Ref 10,3.40809e-08,,,,,,1.1973e-02,4.2069e-03,4.8989e-05,4.6502e-06,6.9787e-08,,,,,,,,,,,
Sam 10,3.35096e-08,1.19977e-02,4.2411e-03,4.9462e-05,4.7264e-06,7.1174e-08,,,,,,            2.0352,            8.1426,            9.7698,           16.2154,          -22.9983,           -1.0056,            2.1988,           -0.3542,           -0.1340,          -40.5377,
Ref 11,3.35987e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6518e-06,7.5956e-08,,,,,,,,,,,
Sam 11,3.30331e-08,1.19975e-02,4.2411e-03,4.9463e-05,4.7283e-06,7.6699e-08,,,,,,            2.0267,            8.1593,            9.8073,           16.3847,           20.1708,           -1.0152,            2.2154,           -0.3247,           -0.0005,            1.8328,
Ref 12,3.31294e-08,,,,,,1.1973e-02,4.2068e-03,4.8986e-05,4.6523e-06,7.4398e-08,,,,,,,,,,,
Sam 12,3.25617e-08,1.19976e-02,4.2412e-03,4.9460e-05,4.7343e-06,7.1956e-08,,,,,,            2.0411,            8.1955,            9.6556,           17.3291,          -28.6753,           -1.0012,            2.2515,           -0.5249,            0.8568,          -46.2172,
Ref 13,3.26634e-08,,,,,,1.1973e-02,4.2067e-03,4.8987e-05,4.6550e-06,7.3757e-08,,,,,,,,,,,
Sam 13,3.21009e-08,1.19974e-02,4.2411e-03,4.9468e-05,4.7345e-06,7.9216e-08,,,,,,            2.0256,            8.1656,            9.7966,           16.8908,           46.2297,           -1.0166,            2.2218,           -0.3403,            0.4849,           27.4118,
Ref 14,3.22133e-08,,,,,,1.1973e-02,4.2068e-03,4.8989e-05,4.6566e-06,7.7702e-08,,,,,,,,,,,
Sam 14,3.16460e-08,1.19974e-02,4.2411e-03,4.9462e-05,4.7300e-06,7.6908e-08,,,,,,            2.0326,            8.1657,            9.7149,           15.6474,           -8.8701,           -1.0091,            2.2218,           -0.4284,           -0.7386,          -26.7043,
Ref 15,3.17687e-08,,,,,,1.1973e-02,4.2068e-03,4.8983e-05,4.6576e-06,7.7489e-08,,,,,,,,,,,
Sam 15,3.12060e-08,1.19974e-02,4.2410e-03,4.9468e-05,4.7315e-06,7.4537e-08,,,,,,            2.0276,            8.1493,            9.8372,           16.1029,          -29.5731,           -1.0139,            2.2055,           -0.2862,           -0.2579,          -46.9993,
Ref 16,3.13609e-08,,,,,,1.1973e-02,4.2067e-03,4.8990e-05,4.6553e-06,7.6119e-08,,,,,,,,,,,
Sam 16,3.07808e-08,1.19973e-02,4.2410e-03,4.9466e-05,4.7355e-06,7.4684e-08,,,,,,            2.0226,            8.1446,            9.7306,           16.7373,            6.9694,           -1.0190,            2.2008,           -0.3819,            0.3757,          -11.0986,
Ref 17,3.09145e-08,,,,,,1.1973e-02,4.2068e-03,4.8989e-05,4.6599e-06,7.2186e-08,,,,,,,,,,,
Sam 17,3.03483e-08,1.19973e-02,4.2410e-03,4.9464e-05,4.7346e-06,7.7280e-08,,,,,,            2.0243,            8.1519,            9.6968,           16.3577,           45.0614,           -1.0175,            2.2081,           -0.4243,           -0.0124,           26.2934,
Ref 18,3.04859e-08,,,,,,1.1973e-02,4.2067e-03,4.8988e-05,4.6569e-06,7.5735e-08,,,,,,,,,,,
Sam 18,2.99085e-08,1.19973e-02,4.2410e-03,4.9461e-05,4.7365e-06,8.0503e-08,,,,,,            2.0265,            8.1641,            9.7597,           16.9948,           53.3634,           -1.0156,            2.2203,           -0.3762,            0.5902,           34.4193,
Ref 19,3.00595e-08,,,,,,1.1973e-02,4.2067e-03,4.8979e-05,4.6578e-06,7.7124e-08,,,,,,,,,,,
Sam 19,2.94866e-08,1.19973e-02,4.2411e-03,4.9474e-05,4.7359e-06,8.2073e-08,,,,,,            2.0248,            8.1753,           10.0451,           16.7948,            5.6752,           -1.0178,            2.2314,           -0.1028,            0.3713,          -12.4310,
Ref 20,2.96450e-08,,,,,,1.1973e-02,4.2066e-03,4.8984e-05,4.6576e-06,8.6159e-08,,,,,,,,,,,
Sam 20,2.90747e-08,1.19973e-02,4.2410e-03,4.9474e-05,4.7358e-06,8.1231e-08,,,,,,            2.0330,            8.1688,           10.0563,           16.5493,          -37.2999,           -1.0088,            2.2249,           -0.0939,            0.1426,          -54.6287,
Ref 21,2.92493e-08,,,,,,1.1973e-02,4.2066e-03,4.8979e-05,4.6598e-06,8.2574e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.90457e-08,,,,,,1.1973e-02,4.2066e-03,4.8981e-05,4.6568e-06,8.4101e-08,
Sam 1,2.84769e-08,1.19971e-02,4.2409e-03,4.9471e-05,4.7336e-06,8.9693e-08,,,,,,            2.0295,            8.1676,            9.9200,           15.8317,           55.3089,           -1.0125,            2.2237,           -0.2239,           -0.5609,           36.3195,
Ref 2,2.86555e-08,,,,,,1.1973e-02,4.2066e-03,4.8988e-05,4.6629e-06,8.5895e-08,,,,,,,,,,,
Sam 2,2.80850e-08,1.19971e-02,4.2410e-03,4.9468e-05,4.7326e-06,8.8773e-08,,,,,,            2.0258,            8.1711,            9.8077,           15.3811,           27.2175,           -1.0166,            2.2272,           -0.3348,           -1.0114,            8.7305,
Ref 3,2.82736e-08,,,,,,1.1973e-02,4.2066e-03,4.8986e-05,4.6589e-06,8.6954e-08,,,,,,,,,,,
Sam 3,2.77071e-08,1.19970e-02,4.2410e-03,4.9470e-05,4.7382e-06,9.3450e-08,,,,,,            2.0206,            8.1843,            9.8303,           16.8916,           50.1404,           -1.0225,            2.2404,           -0.3200,            0.4485,           31.2200,
Ref 4,2.79056e-08,,,,,,1.1973e-02,4.2065e-03,4.8991e-05,4.6600e-06,9.1049e-08,,,,,,,,,,,
Sam 4,2.73335e-08,1.19970e-02,4.2409e-03,4.9468e-05,4.7369e-06,9.3530e-08,,,,,,            2.0252,            8.1902,            9.7193,           16.7090,           50.5505,           -1.0179,            2.2462,           -0.4403,            0.2574,           31.6060,
Ref 5,2.75324e-08,,,,,,1.1973e-02,4.2065e-03,4.8992e-05,4.6581e-06,8.6983e-08,,,,,,,,,,,
Sam 5,2.69658e-08,1.19969e-02,4.2409e-03,4.9470e-05,4.7384e-06,9.4984e-08,,,,,,            2.0164,            8.1704,            9.7833,           17.3723,           60.3986,           -1.0265,            2.2265,           -0.3486,            0.9491,           41.3262,
Ref 6,2.71712e-08,,,,,,1.1973e-02,4.2066e-03,4.8989e-05,4.6568e-06,9.2200e-08,,,,,,,,,,,
Sam 6,2.66051e-08,1.19969e-02,4.2408e-03,4.9472e-05,4.7354e-06,9.3053e-08,,,,,,            2.0328,            8.1582,            9.8760,           16.5605,           18.6049,           -1.0087,            2.2143,           -0.2618,            0.1747,            0.2908,
Ref 7,2.68450e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6597e-06,9.0496e-08,,,,,,,,,,,
Sam 7,2.62635e-08,1.19969e-02,4.2408e-03,4.9473e-05,4.7359e-06,9.4726e-08,,,,,,            2.0382,            8.1649,            9.8971,           16.0129,           -3.1972,           -1.0032,            2.2210,           -0.2530,           -0.3775,          -21.1379,
Ref 8,2.64738e-08,,,,,,1.1972e-02,4.2065e-03,4.8991e-05,4.6628e-06,9.9627e-08,,,,,,,,,,,
Sam 8,2.59047e-08,1.19967e-02,4.2408e-03,4.9473e-05,4.7375e-06,9.7501e-08,,,,,,            2.0210,            8.1603,            9.8867,           17.2120,           -8.4644,           -1.0214,            2.2164,           -0.2411,            0.8115,          -26.2836,
Ref 9,2.61263e-08,,,,,,1.1973e-02,4.2065e-03,4.8987e-05,4.6519e-06,9.7024e-08,,,,,,,,,,,
Sam 9,2.55608e-08,1.19967e-02,4.2408e-03,4.9473e-05,4.7379e-06,9.9366e-08,,,,,,            2.0252,            8.1707,            9.8957,           17.7448,           28.6593,           -1.0172,            2.2268,           -0.2466,            1.3151,           10.1480,
Ref 10,2.57977e-08,,,,,,1.1972e-02,4.2064e-03,4.8990e-05,4.6588e-06,9.6166e-08,,,,,,,,,,,
Sam 10,2.52261e-08,1.19968e-02,4.2408e-03,4.9472e-05,4.7336e-06,9.8700e-08,,,,,,            2.0356,            8.1866,            9.7696,           15.2472,           24.8495,           -1.0067,            2.2426,           -0.3978,           -1.1737,            6.3643,
Ref 11,2.54719e-08,,,,,,1.1972e-02,4.2063e-03,4.8996e-05,4.6663e-06,9.6448e-08,,,,,,,,,,,
Sam 11,2.48978e-08,1.19967e-02,4.2407e-03,4.9477e-05,4.7417e-06,9.6338e-08,,,,,,            2.0359,            8.1781,            9.8779,           16.2958,            7.7806,           -1.0061,            2.2342,           -0.2826,           -0.1253,          -10.3807,
Ref 12,2.51320e-08,,,,,,1.1972e-02,4.2063e-03,4.8990e-05,4.6650e-06,9.4729e-08,,,,,,,,,,,
Sam 12,2.45690e-08,1.19967e-02,4.2407e-03,4.9467e-05,4.7384e-06,9.7373e-08,,,,,,            2.0339,            8.1621,            9.7138,           15.2814,           -1.0734,           -1.0076,            2.2182,           -0.4272,           -1.0915,          -19.0423,
Ref 13,2.48081e-08,,,,,,1.1972e-02,4.2064e-03,4.8992e-05,4.6692e-06,1.0026e-07,,,,,,,,,,,
Sam 13,2.42447e-08,1.19965e-02,4.2407e-03,4.9473e-05,4.7398e-06,9.7628e-08,,,,,,            2.0180,            8.1563,            9.8959,           15.5444,          -33.2012,           -1.0244,            2.2125,           -0.2251,           -0.8214,          -50.5655,
Ref 14,2.44903e-08,,,,,,1.1972e-02,4.2063e-03,4.8985e-05,4.6652e-06,1.0171e-07,,,,,,,,,,,
Sam 14,2.39316e-08,1.19967e-02,4.2407e-03,4.9477e-05,4.7396e-06,1.0290e-07,,,,,,            2.0318,            8.1714,           10.0343,           15.5633,           28.2383,           -1.0102,            2.2275,           -0.1170,           -0.8325,            9.7260,
Ref 15,2.41830e-08,,,,,,1.1972e-02,4.2063e-03,4.8985e-05,4.6688e-06,9.8424e-08,,,,,,,,,,,
Sam 15,2.36241e-08,1.19964e-02,4.2406e-03,4.9477e-05,4.7428e-06,1.0688e-07,,,,,,            2.0174,            8.1466,            9.9620,           16.3367,           55.4875,           -1.0246,            2.2028,           -0.1495,           -0.0225,           36.5506,
Ref 16,2.38873e-08,,,,,,1.1972e-02,4.2063e-03,4.8993e-05,4.6643e-06,1.0414e-07,,,,,,,,,,,
Sam 16,2.33260e-08,1.19965e-02,4.2406e-03,4.9481e-05,4.7475e-06,1.0498e-07,,,,,,            2.0257,            8.1681,            9.8761,           17.4969,            3.1307,           -1.0166,            2.2242,           -0.2640,            1.0764,          -14.9167,
Ref 17,2.35786e-08,,,,,,1.1972e-02,4.2062e-03,4.9001e-05,4.6675e-06,1.0518e-07,,,,,,,,,,,
Sam 17,2.30187e-08,1.19965e-02,4.2406e-03,4.9473e-05,4.7420e-06,1.0163e-07,,,,,,            2.0342,            8.1616,            9.7208,           15.9318,          -20.1001,           -1.0073,            2.2177,           -0.4202,           -0.4506,          -37.7261,
Ref 18,2.32834e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6678e-06,1.0223e-07,,,,,,,,,,,
Sam 18,2.27560e-08,1.19964e-02,4.2405e-03,4.9476e-05,4.7366e-06,1.0476e-07,,,,,,            2.0233,            8.1424,            9.8613,           14.4229,           24.8620,           -1.0182,            2.1986,           -0.2512,           -1.8972,            6.4766,
Ref 19,2.30172e-08,,,,,,1.1972e-02,4.2062e-03,4.8994e-05,4.6707e-06,1.0221e-07,,,,,,,,,,,
Sam 19,2.24552e-08,1.19963e-02,4.2405e-03,4.9479e-05,4.7432e-06,1.0635e-07,,,,,,            2.0279,            8.1599,            9.9431,           16.3787,           36.2678,           -1.0140,            2.2160,           -0.1920,           -0.0076,           17.6380,
Ref 20,2.27240e-08,,,,,,1.1972e-02,4.2062e-03,4.8990e-05,4.6628e-06,1.0305e-07,,,,,,,,,,,
Sam 20,2.21636e-08,1.19962e-02,4.2405e-03,4.9472e-05,4.7395e-06,1.0934e-07,,,,,,            2.0207,            8.1634,            9.8074,           16.1319,           61.0305,           -1.0217,            2.2196,           -0.3223,           -0.2574,           41.9563,
Ref 21,2.24380e-08,,,,,,1.1972e-02,4.2061e-03,4.8993e-05,4.6657e-06,1.0304e-07,,,,,,,,,,,


