Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 17:22 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 18:21 with Stable 1.71.5 on PS019

Data File = Data_17484 KDW_131_8_J-C.txt, Sample Weight = 1384,                     Vial Location = 17,                       Initial Sam Beam = 2.1075e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6983e-08,                Max Ref Beam = 1.0656e-07,                

Analysis undertaken at mass 46.02395
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.13491e-08,,,,,,1.1969e-02,4.2027e-03,4.8864e-05,4.6299e-06,5.1787e-08,
Sam 1,8.04239e-08,1.19985e-02,4.2398e-03,4.9398e-05,4.7103e-06,5.2895e-08,,,,,,            2.4140,            8.7618,           10.7639,           17.3094,           25.6588,           -0.6238,            2.8142,           -0.3639,           -0.2858,            5.6259,
Ref 2,7.98430e-08,,,,,,1.1970e-02,4.2033e-03,4.8880e-05,4.6304e-06,5.1351e-08,,,,,,,,,,,
Sam 2,7.89421e-08,1.19990e-02,4.2402e-03,4.9410e-05,4.7125e-06,5.0954e-08,,,,,,            2.3960,            8.7183,           10.7679,           17.3262,           -3.9424,           -0.6415,            2.7709,           -0.2990,           -0.1832,          -23.2956,
Ref 3,7.84080e-08,,,,,,1.1971e-02,4.2038e-03,4.8887e-05,4.6340e-06,5.0957e-08,,,,,,,,,,,
Sam 3,7.75015e-08,1.19996e-02,4.2407e-03,4.9417e-05,4.7143e-06,5.2148e-08,,,,,,            2.3956,            8.7439,           10.7657,           17.4721,           13.8966,           -0.6428,            2.7964,           -0.3258,           -0.0906,           -5.8525,
Ref 4,7.70004e-08,,,,,,1.1971e-02,4.2041e-03,4.8894e-05,4.6327e-06,5.1919e-08,,,,,,,,,,,
Sam 4,7.60991e-08,1.20002e-02,4.2411e-03,4.9425e-05,4.7128e-06,5.2583e-08,,,,,,            2.3882,            8.7395,           10.7748,           17.3093,           18.7423,           -0.6505,            2.7920,           -0.3049,           -0.2417,           -1.0848,
Ref 5,7.56323e-08,,,,,,1.1972e-02,4.2046e-03,4.8903e-05,4.6325e-06,5.1307e-08,,,,,,,,,,,
Sam 5,7.47284e-08,1.20006e-02,4.2414e-03,4.9432e-05,4.7141e-06,5.1190e-08,,,,,,            2.3883,            8.7193,           10.7547,           17.3355,           -4.7440,           -0.6497,            2.7719,           -0.3051,           -0.1760,          -24.0756,
Ref 6,7.42834e-08,,,,,,1.1972e-02,4.2048e-03,4.8909e-05,4.6351e-06,5.1564e-08,,,,,,,,,,,
Sam 6,7.22763e-08,1.20013e-02,4.2420e-03,4.9435e-05,4.7144e-06,5.2254e-08,,,,,,            2.4285,            8.7959,           10.6952,           17.2129,            9.6156,           -0.6096,            2.8481,           -0.4801,           -0.4484,          -10.1851,
Ref 7,7.29822e-08,,,,,,1.1972e-02,4.2051e-03,4.8915e-05,4.6342e-06,5.1952e-08,,,,,,,,,,,
Sam 7,7.15822e-08,1.20014e-02,4.2421e-03,4.9443e-05,4.7140e-06,5.2953e-08,,,,,,            2.4054,            8.7720,           10.7710,           17.1029,           44.2182,           -0.6333,            2.8244,           -0.3580,           -0.5091,           23.8116,
Ref 8,7.17098e-08,,,,,,1.1973e-02,4.2054e-03,4.8917e-05,4.6352e-06,4.9448e-08,,,,,,,,,,,
Sam 8,7.05026e-08,1.20016e-02,4.2423e-03,4.9448e-05,4.7156e-06,4.9599e-08,,,,,,            2.3946,            8.7539,           10.7760,           17.2506,            2.6918,           -0.6442,            2.8064,           -0.3243,           -0.3281,          -16.8572,
Ref 9,7.04558e-08,,,,,,1.1973e-02,4.2056e-03,4.8925e-05,4.6361e-06,4.9485e-08,,,,,,,,,,,
Sam 9,6.93545e-08,1.20021e-02,4.2425e-03,4.9451e-05,4.7160e-06,5.1398e-08,,,,,,            2.4025,            8.7469,           10.6968,           17.3536,           32.9579,           -0.6355,            2.7994,           -0.4040,           -0.2129,           12.8242,
Ref 10,6.92311e-08,,,,,,1.1974e-02,4.2059e-03,4.8929e-05,4.6351e-06,5.0035e-08,,,,,,,,,,,
Sam 10,6.81888e-08,1.20022e-02,4.2427e-03,4.9452e-05,4.7166e-06,4.8524e-08,,,,,,            2.3895,            8.7253,           10.6572,           17.5505,          -20.9706,           -0.6486,            2.7779,           -0.4087,            0.0234,          -39.9995,
Ref 11,6.80316e-08,,,,,,1.1974e-02,4.2061e-03,4.8933e-05,4.6355e-06,4.9083e-08,,,,,,,,,,,
Sam 11,6.70258e-08,1.20024e-02,4.2428e-03,4.9455e-05,4.7152e-06,5.0193e-08,,,,,,            2.3887,            8.7130,           10.6776,           16.9926,           33.6155,           -0.6491,            2.7657,           -0.3756,           -0.5006,           13.5508,
Ref 12,6.68552e-08,,,,,,1.1974e-02,4.2062e-03,4.8933e-05,4.6375e-06,4.8029e-08,,,,,,,,,,,
Sam 12,6.58876e-08,1.20026e-02,4.2430e-03,4.9465e-05,4.7195e-06,5.0357e-08,,,,,,            2.3879,            8.7093,           10.7994,           17.8732,           36.2563,           -0.6498,            2.7620,           -0.2508,            0.3722,           16.1485,
Ref 13,6.57126e-08,,,,,,1.1974e-02,4.2064e-03,4.8940e-05,4.6357e-06,4.9171e-08,,,,,,,,,,,
Sam 13,6.47719e-08,1.20026e-02,4.2431e-03,4.9466e-05,4.7182e-06,4.8193e-08,,,,,,            2.3844,            8.7090,           10.7262,           17.6920,          -12.9984,           -0.6535,            2.7617,           -0.3192,            0.1948,          -32.1461,
Ref 14,6.45901e-08,,,,,,1.1974e-02,4.2065e-03,4.8943e-05,4.6367e-06,4.8478e-08,,,,,,,,,,,
Sam 14,6.36722e-08,1.20029e-02,4.2433e-03,4.9471e-05,4.7164e-06,4.8250e-08,,,,,,            2.3929,            8.7210,           10.7776,           16.9084,            8.1757,           -0.6449,            2.7736,           -0.2889,           -0.5991,          -11.4150,
Ref 15,6.34967e-08,,,,,,1.1974e-02,4.2066e-03,4.8944e-05,4.6393e-06,4.7229e-08,,,,,,,,,,,
Sam 15,6.26003e-08,1.20030e-02,4.2433e-03,4.9468e-05,4.7188e-06,4.7874e-08,,,,,,            2.3912,            8.7198,           10.6935,           17.3681,           12.1292,           -0.6466,            2.7724,           -0.3691,           -0.1449,           -7.5341,
Ref 16,6.24211e-08,,,,,,1.1974e-02,4.2067e-03,4.8945e-05,4.6373e-06,4.7372e-08,,,,,,,,,,,
Sam 16,6.15479e-08,1.20030e-02,4.2435e-03,4.9476e-05,4.7193e-06,4.7475e-08,,,,,,            2.3878,            8.7320,           10.8052,           17.5539,           -3.9232,           -0.6507,            2.7845,           -0.2671,            0.0135,          -23.2944,
Ref 17,6.13697e-08,,,,,,1.1974e-02,4.2068e-03,4.8950e-05,4.6385e-06,4.7957e-08,,,,,,,,,,,
Sam 17,6.05126e-08,1.20032e-02,4.2436e-03,4.9479e-05,4.7190e-06,4.8326e-08,,,,,,            2.4001,            8.7212,           10.7560,           17.5710,           18.5540,           -0.6372,            2.7738,           -0.3179,            0.0515,           -1.2465,
Ref 18,6.03404e-08,,,,,,1.1975e-02,4.2070e-03,4.8955e-05,4.6365e-06,4.6926e-08,,,,,,,,,,,
Sam 18,5.95085e-08,1.20032e-02,4.2436e-03,4.9480e-05,4.7179e-06,4.7245e-08,,,,,,            2.3863,            8.7036,           10.7280,           17.3751,           11.1340,           -0.6513,            2.7563,           -0.3141,           -0.1059,           -8.4735,
Ref 19,5.93321e-08,,,,,,1.1975e-02,4.2071e-03,4.8955e-05,4.6383e-06,4.6521e-08,,,,,,,,,,,
Sam 19,5.85166e-08,1.20034e-02,4.2437e-03,4.9481e-05,4.7186e-06,4.7939e-08,,,,,,            2.3883,            8.7065,           10.7778,           17.2136,           -6.6752,           -0.6493,            2.7593,           -0.2699,           -0.2706,          -25.9450,
Ref 20,5.83501e-08,,,,,,1.1975e-02,4.2070e-03,4.8952e-05,4.6392e-06,5.0031e-08,,,,,,,,,,,
Sam 20,5.75420e-08,1.20033e-02,4.2437e-03,4.9478e-05,4.7178e-06,4.8335e-08,,,,,,            2.3887,            8.7163,           10.7177,           17.0656,          -22.2799,           -0.6492,            2.7689,           -0.3392,           -0.4353,          -41.2656,
Ref 21,5.73888e-08,,,,,,1.1975e-02,4.2071e-03,4.8955e-05,4.6381e-06,4.8831e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.69114e-08,,,,,,1.1975e-02,4.2071e-03,4.8956e-05,4.6391e-06,4.8785e-08,
Sam 1,5.61166e-08,1.20034e-02,4.2438e-03,4.9484e-05,4.7190e-06,4.8976e-08,,,,,,            2.3808,            8.7033,           10.7571,           16.9789,            4.9461,           -0.6571,            2.7561,           -0.2795,           -0.4949,          -14.5352,
Ref 2,5.59870e-08,,,,,,1.1975e-02,4.2072e-03,4.8959e-05,4.6414e-06,4.8684e-08,,,,,,,,,,,
Sam 2,5.51952e-08,1.20033e-02,4.2438e-03,4.9482e-05,4.7182e-06,4.7562e-08,,,,,,            2.3701,            8.6878,           10.7201,           16.8159,           32.0973,           -0.6680,            2.7406,           -0.2899,           -0.6242,           12.1319,
Ref 3,5.50636e-08,,,,,,1.1975e-02,4.2073e-03,4.8955e-05,4.6389e-06,4.3437e-08,,,,,,,,,,,
Sam 3,5.42897e-08,1.20034e-02,4.2439e-03,4.9486e-05,4.7184e-06,4.5051e-08,,,,,,            2.3798,            8.7016,           10.8202,           17.2413,           -1.7217,           -0.6582,            2.7543,           -0.2144,           -0.2336,          -21.0694,
Ref 4,5.41689e-08,,,,,,1.1975e-02,4.2073e-03,4.8957e-05,4.6380e-06,4.6849e-08,,,,,,,,,,,
Sam 4,5.34038e-08,1.20035e-02,4.2439e-03,4.9482e-05,4.7179e-06,4.7737e-08,,,,,,            2.3873,            8.7097,           10.6545,           17.2425,           28.5401,           -0.6505,            2.7624,           -0.3939,           -0.2485,            8.5819,
Ref 5,5.32946e-08,,,,,,1.1975e-02,4.2073e-03,4.8964e-05,4.6380e-06,4.5970e-08,,,,,,,,,,,
Sam 5,5.25363e-08,1.20036e-02,4.2440e-03,4.9483e-05,4.7192e-06,4.9108e-08,,,,,,            2.3897,            8.7299,           10.5913,           17.2654,           30.9958,           -0.6486,            2.7825,           -0.4785,           -0.2659,           10.9476,
Ref 6,5.24368e-08,,,,,,1.1975e-02,4.2073e-03,4.8966e-05,4.6402e-06,4.9320e-08,,,,,,,,,,,
Sam 6,5.16855e-08,1.20037e-02,4.2440e-03,4.9488e-05,4.7185e-06,4.8726e-08,,,,,,            2.4027,            8.7195,           10.6901,           17.1791,            4.9056,           -0.6344,            2.7721,           -0.3840,           -0.3301,          -14.6289,
Ref 7,5.16035e-08,,,,,,1.1975e-02,4.2073e-03,4.8963e-05,4.6373e-06,4.7642e-08,,,,,,,,,,,
Sam 7,5.08562e-08,1.20035e-02,4.2440e-03,4.9491e-05,4.7183e-06,5.0396e-08,,,,,,            2.3884,            8.7079,           10.7794,           17.2014,           46.0330,           -0.6492,            2.7606,           -0.2697,           -0.2852,           25.7378,
Ref 8,5.07714e-08,,,,,,1.1975e-02,4.2074e-03,4.8964e-05,4.6397e-06,4.8723e-08,,,,,,,,,,,
Sam 8,5.00378e-08,1.20035e-02,4.2440e-03,4.9485e-05,4.7182e-06,4.9340e-08,,,,,,            2.3910,            8.7144,           10.6013,           17.1939,           19.4095,           -0.6466,            2.7671,           -0.4550,           -0.3056,           -0.3847,
Ref 9,4.99646e-08,,,,,,1.1975e-02,4.2074e-03,4.8967e-05,4.6372e-06,4.8074e-08,,,,,,,,,,,
Sam 9,4.92409e-08,1.20033e-02,4.2440e-03,4.9483e-05,4.7190e-06,4.8272e-08,,,,,,            2.3782,            8.6935,           10.5788,           17.7688,           50.8297,           -0.6596,            2.7463,           -0.4435,            0.3010,           30.4816,
Ref 10,4.91712e-08,,,,,,1.1975e-02,4.2074e-03,4.8962e-05,4.6361e-06,4.3766e-08,,,,,,,,,,,
Sam 10,4.84551e-08,1.20033e-02,4.2440e-03,4.9485e-05,4.7177e-06,4.8834e-08,,,,,,            2.3805,            8.7037,           10.6789,           17.6874,           87.8394,           -0.6575,            2.7565,           -0.3569,            0.2006,           66.7506,
Ref 11,4.84043e-08,,,,,,1.1975e-02,4.2073e-03,4.8963e-05,4.6354e-06,4.6033e-08,,,,,,,,,,,
Sam 11,4.76750e-08,1.20033e-02,4.2440e-03,4.9490e-05,4.7176e-06,4.5166e-08,,,,,,            2.3814,            8.7227,           10.7231,           17.3467,            5.0368,           -0.6572,            2.7753,           -0.3326,           -0.1717,          -14.4840,
Ref 12,4.76247e-08,,,,,,1.1975e-02,4.2074e-03,4.8967e-05,4.6389e-06,4.3828e-08,,,,,,,,,,,
Sam 12,4.69269e-08,1.20034e-02,4.2440e-03,4.9486e-05,4.7208e-06,4.3863e-08,,,,,,            2.3849,            8.7068,           10.6239,           17.9500,           27.3678,           -0.6529,            2.7595,           -0.4189,            0.4526,            7.4406,
Ref 13,4.68792e-08,,,,,,1.1975e-02,4.2074e-03,4.8964e-05,4.6362e-06,4.1542e-08,,,,,,,,,,,
Sam 13,4.61847e-08,1.20033e-02,4.2440e-03,4.9488e-05,4.7199e-06,4.2519e-08,,,,,,            2.3786,            8.6933,           10.6535,           18.3958,            2.0544,           -0.6592,            2.7460,           -0.3698,            0.9177,          -17.3492,
Ref 14,4.61563e-08,,,,,,1.1975e-02,4.2074e-03,4.8969e-05,4.6331e-06,4.3336e-08,,,,,,,,,,,
Sam 14,4.54596e-08,1.20033e-02,4.2440e-03,4.9484e-05,4.7173e-06,4.3776e-08,,,,,,            2.3886,            8.7136,           10.5880,           17.4511,           12.8794,           -0.6492,            2.7663,           -0.4648,           -0.0511,           -6.7838,
Ref 15,4.54376e-08,,,,,,1.1975e-02,4.2073e-03,4.8962e-05,4.6397e-06,4.3100e-08,,,,,,,,,,,
Sam 15,4.47527e-08,1.20032e-02,4.2440e-03,4.9491e-05,4.7187e-06,4.3884e-08,,,,,,            2.3877,            8.7142,           10.8003,           17.1749,           60.4600,           -0.6502,            2.7669,           -0.2545,           -0.3238,           39.8729,
Ref 16,4.47475e-08,,,,,,1.1975e-02,4.2073e-03,4.8962e-05,4.6382e-06,3.9637e-08,,,,,,,,,,,
Sam 16,4.40606e-08,1.20032e-02,4.2440e-03,4.9489e-05,4.7164e-06,4.1951e-08,,,,,,            2.3906,            8.7074,           10.7287,           17.3010,           51.0134,           -0.6469,            2.7601,           -0.3216,           -0.1864,           30.6201,
Ref 17,4.40835e-08,,,,,,1.1974e-02,4.2073e-03,4.8966e-05,4.6340e-06,4.0197e-08,,,,,,,,,,,
Sam 17,4.33943e-08,1.20030e-02,4.2439e-03,4.9485e-05,4.7168e-06,4.2402e-08,,,,,,            2.3816,            8.7070,           10.6200,           17.5329,           52.1649,           -0.6564,            2.7597,           -0.4194,            0.0424,           31.7601,
Ref 18,4.34030e-08,,,,,,1.1974e-02,4.2073e-03,4.8965e-05,4.6370e-06,4.0403e-08,,,,,,,,,,,
Sam 18,4.27294e-08,1.20030e-02,4.2439e-03,4.9493e-05,4.7135e-06,4.0375e-08,,,,,,            2.3861,            8.7083,           10.7829,           16.7816,           -0.3604,           -0.6516,            2.7610,           -0.2642,           -0.6985,          -19.7538,
Ref 19,4.27419e-08,,,,,,1.1974e-02,4.2072e-03,4.8965e-05,4.6344e-06,4.0376e-08,,,,,,,,,,,
Sam 19,4.20553e-08,1.20030e-02,4.2439e-03,4.9489e-05,4.7164e-06,4.1558e-08,,,,,,            2.3895,            8.7076,           10.6814,           17.7047,            8.9119,           -0.6481,            2.7603,           -0.3675,            0.2099,          -10.6637,
Ref 20,4.20878e-08,,,,,,1.1974e-02,4.2073e-03,4.8967e-05,4.6344e-06,4.2019e-08,,,,,,,,,,,
Sam 20,4.14101e-08,1.20028e-02,4.2439e-03,4.9485e-05,4.7159e-06,4.1467e-08,,,,,,            2.3725,            8.6983,           10.5621,           17.9128,            6.4666,           -0.6658,            2.7511,           -0.4590,            0.4329,          -13.0259,
Ref 21,4.14634e-08,,,,,,1.1974e-02,4.2073e-03,4.8969e-05,4.6315e-06,4.0370e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.11454e-08,,,,,,1.1975e-02,4.2072e-03,4.8968e-05,4.6364e-06,3.9130e-08,
Sam 1,4.04689e-08,1.20029e-02,4.2438e-03,4.9483e-05,4.7153e-06,3.7372e-08,,,,,,            2.3667,            8.7039,           10.5303,           17.3180,          -32.3887,           -0.6721,            2.7566,           -0.4899,           -0.1627,          -51.1331,
Ref 2,4.05276e-08,,,,,,1.1974e-02,4.2072e-03,4.8966e-05,4.6336e-06,3.8108e-08,,,,,,,,,,,
Sam 2,3.98564e-08,1.20027e-02,4.2438e-03,4.9486e-05,4.7121e-06,3.8287e-08,,,,,,            2.3730,            8.7006,           10.6602,           16.8898,           -0.6332,           -0.6653,            2.7534,           -0.3647,           -0.5770,          -19.9931,
Ref 3,3.99237e-08,,,,,,1.1974e-02,4.2072e-03,4.8963e-05,4.6340e-06,3.8519e-08,,,,,,,,,,,
Sam 3,3.92563e-08,1.20027e-02,4.2437e-03,4.9485e-05,4.7151e-06,3.9552e-08,,,,,,            2.3840,            8.6939,           10.7221,           17.4584,           58.7798,           -0.6534,            2.7467,           -0.3082,           -0.0048,           38.2704,
Ref 4,3.93406e-08,,,,,,1.1974e-02,4.2071e-03,4.8958e-05,4.6344e-06,3.6176e-08,,,,,,,,,,,
Sam 4,3.86734e-08,1.20026e-02,4.2438e-03,4.9484e-05,4.7142e-06,3.9588e-08,,,,,,            2.3811,            8.7100,           10.6685,           17.0882,          109.6826,           -0.6571,            2.7627,           -0.3739,           -0.4006,           88.1564,
Ref 5,3.87559e-08,,,,,,1.1974e-02,4.2071e-03,4.8966e-05,4.6355e-06,3.5167e-08,,,,,,,,,,,
Sam 5,3.80959e-08,1.20026e-02,4.2438e-03,4.9482e-05,4.7092e-06,3.3223e-08,,,,,,            2.3829,            8.7153,           10.5588,           16.0200,          -83.2901,           -0.6553,            2.7680,           -0.4895,           -1.4611,         -101.0840,
Ref 6,3.81898e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6343e-06,3.7332e-08,,,,,,,,,,,
Sam 6,3.75361e-08,1.20025e-02,4.2437e-03,4.9490e-05,4.7140e-06,3.5128e-08,,,,,,            2.3808,            8.7106,           10.7493,           17.4199,          -52.9910,           -0.6574,            2.7633,           -0.2943,           -0.0758,          -71.3623,
Ref 7,3.76621e-08,,,,,,1.1974e-02,4.2070e-03,4.8962e-05,4.6322e-06,3.6853e-08,,,,,,,,,,,
Sam 7,3.69884e-08,1.20024e-02,4.2437e-03,4.9484e-05,4.7139e-06,3.3855e-08,,,,,,            2.3778,            8.7043,           10.7092,           17.7119,          -30.8649,           -0.6604,            2.7570,           -0.3247,            0.2237,          -49.6507,
Ref 8,3.70871e-08,,,,,,1.1974e-02,4.2071e-03,4.8957e-05,4.6314e-06,3.2984e-08,,,,,,,,,,,
Sam 8,3.64355e-08,1.20026e-02,4.2437e-03,4.9476e-05,4.7102e-06,3.2621e-08,,,,,,            2.3881,            8.6967,           10.5949,           16.8018,           14.5808,           -0.6492,            2.7495,           -0.4409,           -0.6558,           -5.0821,
Ref 9,3.65517e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6334e-06,3.1309e-08,,,,,,,,,,,
Sam 9,3.59060e-08,1.20024e-02,4.2436e-03,4.9487e-05,4.7109e-06,3.2385e-08,,,,,,            2.3801,            8.6978,           10.7530,           17.0369,           50.0183,           -0.6577,            2.7506,           -0.2774,           -0.4269,           29.6751,
Ref 10,3.60288e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6307e-06,3.0369e-08,,,,,,,,,,,
Sam 10,3.53829e-08,1.20024e-02,4.2436e-03,4.9476e-05,4.7146e-06,3.0029e-08,,,,,,            2.3876,            8.7001,           10.4949,           18.3285,           42.2877,           -0.6498,            2.7528,           -0.5427,            0.8380,           22.0816,
Ref 11,3.55450e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6287e-06,2.7231e-08,,,,,,,,,,,
Sam 11,3.48815e-08,1.20023e-02,4.2436e-03,4.9481e-05,4.7074e-06,2.8323e-08,,,,,,            2.3833,            8.6947,           10.6452,           16.8272,          -26.1440,           -0.6542,            2.7475,           -0.3843,           -0.6268,          -45.0090,
Ref 12,3.50073e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6303e-06,3.0964e-08,,,,,,,,,,,
Sam 12,3.43683e-08,1.20022e-02,4.2436e-03,4.9481e-05,4.7095e-06,2.5489e-08,,,,,,            2.3794,            8.7163,           10.7728,           17.1648,         -108.4371,           -0.6591,            2.7689,           -0.2751,           -0.3378,         -125.7412,
Ref 13,3.45071e-08,,,,,,1.1974e-02,4.2069e-03,4.8947e-05,4.6298e-06,2.6179e-08,,,,,,,,,,,
Sam 13,3.38724e-08,1.20022e-02,4.2435e-03,4.9484e-05,4.7101e-06,2.5936e-08,,,,,,            2.3765,            8.7073,           10.8252,           17.5399,          -11.9859,           -0.6619,            2.7600,           -0.2116,            0.0487,          -31.1421,
Ref 14,3.40201e-08,,,,,,1.1974e-02,4.2069e-03,4.8960e-05,4.6280e-06,2.6323e-08,,,,,,,,,,,
Sam 14,3.33870e-08,1.20020e-02,4.2435e-03,4.9487e-05,4.7058e-06,2.6259e-08,,,,,,            2.3679,            8.7155,           10.8168,           16.6377,           41.6018,           -0.6713,            2.7682,           -0.2191,           -0.8544,           21.3995,
Ref 15,3.35389e-08,,,,,,1.1974e-02,4.2068e-03,4.8955e-05,4.6295e-06,2.4083e-08,,,,,,,,,,,
Sam 15,3.29154e-08,1.20019e-02,4.2434e-03,4.9482e-05,4.7070e-06,2.5147e-08,,,,,,            2.3701,            8.6957,           10.7317,           16.7286,           63.3041,           -0.6683,            2.7485,           -0.2862,           -0.7257,           42.7188,
Ref 16,3.30723e-08,,,,,,1.1973e-02,4.2069e-03,4.8957e-05,4.6296e-06,2.3211e-08,,,,,,,,,,,
Sam 16,3.24471e-08,1.20019e-02,4.2434e-03,4.9483e-05,4.7069e-06,2.3835e-08,,,,,,            2.3813,            8.6997,           10.6935,           16.9686,           54.9915,           -0.6565,            2.7525,           -0.3394,           -0.4979,           34.5467,
Ref 17,3.26124e-08,,,,,,1.1973e-02,4.2068e-03,4.8962e-05,4.6271e-06,2.1965e-08,,,,,,,,,,,
Sam 17,3.19870e-08,1.20018e-02,4.2434e-03,4.9473e-05,4.7040e-06,2.2881e-08,,,,,,            2.3744,            8.6915,           10.4848,           17.1152,           35.7242,           -0.6636,            2.7443,           -0.5306,           -0.3374,           15.6766,
Ref 18,3.21741e-08,,,,,,1.1973e-02,4.2069e-03,4.8958e-05,4.6225e-06,2.2220e-08,,,,,,,,,,,
Sam 18,3.15388e-08,1.20020e-02,4.2434e-03,4.9479e-05,4.7061e-06,2.4527e-08,,,,,,            2.3901,            8.6948,           10.7923,           17.5588,          135.9259,           -0.6469,            2.7476,           -0.2460,            0.0920,          113.9130,
Ref 19,3.17177e-08,,,,,,1.1973e-02,4.2068e-03,4.8944e-05,4.6272e-06,2.0955e-08,,,,,,,,,,,
Sam 19,3.10899e-08,1.20019e-02,4.2434e-03,4.9475e-05,4.7055e-06,2.5611e-08,,,,,,            2.3905,            8.7163,           10.7160,           16.9406,          145.5408,           -0.6473,            2.7689,           -0.3427,           -0.5581,          123.2941,
Ref 20,3.13141e-08,,,,,,1.1973e-02,4.2067e-03,4.8957e-05,4.6270e-06,2.3778e-08,,,,,,,,,,,
Sam 20,3.06684e-08,1.20017e-02,4.2434e-03,4.9479e-05,4.7048e-06,2.4121e-08,,,,,,            2.3825,            8.7008,           10.6704,           17.1174,           52.2802,           -0.6552,            2.7536,           -0.3646,           -0.3538,           31.8844,
Ref 21,3.08577e-08,,,,,,1.1973e-02,4.2068e-03,4.8955e-05,4.6242e-06,2.2055e-08,,,,,,,,,,,


