Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 18:44 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 19:42 with Stable 1.71.5 on PS019

Data File = Data_17485 RM_4-A.txt,        Sample Weight = 465,                      Vial Location = 18,                       Initial Sam Beam = 1.4777e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6094e-08,                Max Ref Beam = 1.0596e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.72987e-08,,,,,,1.1975e-02,4.2071e-03,4.8955e-05,4.6397e-06,5.1979e-08,
Sam 1,5.67122e-08,1.19057e-02,4.2283e-03,4.8893e-05,4.6893e-06,5.3664e-08,,,,,,           -5.7829,            5.0197,           -1.3488,           10.4754,           18.3500,           -9.2182,           -0.8919,           -0.3006,            0.4066,           14.6062,
Ref 2,5.63170e-08,,,,,,1.1975e-02,4.2073e-03,4.8964e-05,4.6416e-06,5.3428e-08,,,,,,,,,,,
Sam 2,5.57434e-08,1.19059e-02,4.2285e-03,4.8895e-05,4.6877e-06,5.3243e-08,,,,,,           -5.7727,            5.0361,           -1.4632,            9.9567,           -1.7055,           -9.2079,           -0.8756,           -0.4418,           -0.1395,           -5.4183,
Ref 3,5.53819e-08,,,,,,1.1975e-02,4.2073e-03,4.8969e-05,4.6415e-06,5.3239e-08,,,,,,,,,,,
Sam 3,5.47945e-08,1.19060e-02,4.2285e-03,4.8897e-05,4.6904e-06,5.6032e-08,,,,,,           -5.7733,            5.0318,           -1.4493,           10.2409,           30.9719,           -9.2083,           -0.8799,           -0.4231,            0.1504,           27.1467,
Ref 4,5.44657e-08,,,,,,1.1975e-02,4.2074e-03,4.8966e-05,4.6442e-06,5.5477e-08,,,,,,,,,,,
Sam 4,5.38773e-08,1.19059e-02,4.2285e-03,4.8897e-05,4.6872e-06,5.1954e-08,,,,,,           -5.7820,            5.0206,           -1.4350,            9.5906,          -43.3779,           -9.2173,           -0.8910,           -0.3887,           -0.4712,          -46.8973,
Ref 5,5.35799e-08,,,,,,1.1975e-02,4.2075e-03,4.8968e-05,4.6411e-06,5.3124e-08,,,,,,,,,,,
Sam 5,5.29871e-08,1.19060e-02,4.2286e-03,4.8908e-05,4.6881e-06,5.3360e-08,,,,,,           -5.7792,            5.0217,           -1.2445,           10.0177,           32.4121,           -9.2143,           -0.8899,           -0.2020,           -0.0505,           28.6084,
Ref 6,5.27118e-08,,,,,,1.1975e-02,4.2074e-03,4.8970e-05,4.6422e-06,5.0223e-08,,,,,,,,,,,
Sam 6,5.21109e-08,1.19060e-02,4.2286e-03,4.8902e-05,4.6895e-06,5.0490e-08,,,,,,           -5.7715,            5.0189,           -1.3875,           10.3358,           16.0249,           -9.2060,           -0.8928,           -0.3504,            0.2701,           12.2789,
Ref 7,5.18633e-08,,,,,,1.1975e-02,4.2075e-03,4.8970e-05,4.6409e-06,4.9155e-08,,,,,,,,,,,
Sam 7,5.12634e-08,1.19061e-02,4.2286e-03,4.8901e-05,4.6872e-06,5.2176e-08,,,,,,           -5.7731,            5.0179,           -1.4184,            9.6748,           44.1191,           -9.2077,           -0.8937,           -0.3788,           -0.3824,           40.2732,
Ref 8,5.10397e-08,,,,,,1.1975e-02,4.2076e-03,4.8970e-05,4.6436e-06,5.0800e-08,,,,,,,,,,,
Sam 8,5.04312e-08,1.19059e-02,4.2286e-03,4.8905e-05,4.6879e-06,4.9399e-08,,,,,,           -5.7914,            5.0102,           -1.3551,           10.0205,           -4.7117,           -9.2269,           -0.9013,           -0.2889,           -0.0248,           -8.3433,
Ref 9,5.02266e-08,,,,,,1.1975e-02,4.2075e-03,4.8973e-05,4.6392e-06,4.8447e-08,,,,,,,,,,,
Sam 9,4.96107e-08,1.19060e-02,4.2286e-03,4.8905e-05,4.6864e-06,4.8071e-08,,,,,,           -5.7784,            5.0201,           -1.4055,           10.2826,            1.2677,           -9.2135,           -0.8915,           -0.3624,            0.2149,           -2.4189,
Ref 10,4.94298e-08,,,,,,1.1975e-02,4.2075e-03,4.8975e-05,4.6381e-06,4.7567e-08,,,,,,,,,,,
Sam 10,4.88124e-08,1.19059e-02,4.2286e-03,4.8904e-05,4.6888e-06,4.6238e-08,,,,,,           -5.7855,            5.0184,           -1.4182,           10.6328,          -26.9766,           -9.2209,           -0.8932,           -0.3662,            0.5651,          -30.5486,
Ref 11,4.86471e-08,,,,,,1.1975e-02,4.2076e-03,4.8972e-05,4.6409e-06,4.7472e-08,,,,,,,,,,,
Sam 11,4.80345e-08,1.19059e-02,4.2287e-03,4.8906e-05,4.6877e-06,4.7024e-08,,,,,,           -5.7855,            5.0268,           -1.3544,            9.9605,          -18.3083,           -9.2212,           -0.8848,           -0.3106,           -0.1173,          -21.9283,
Ref 12,4.78879e-08,,,,,,1.1975e-02,4.2074e-03,4.8972e-05,4.6420e-06,4.8337e-08,,,,,,,,,,,
Sam 12,4.72781e-08,1.19059e-02,4.2287e-03,4.8901e-05,4.6895e-06,4.9898e-08,,,,,,           -5.7721,            5.0339,           -1.4368,           10.2171,           26.4847,           -9.2072,           -0.8778,           -0.4138,            0.1227,           22.6708,
Ref 13,4.71458e-08,,,,,,1.1975e-02,4.2075e-03,4.8971e-05,4.6421e-06,4.8889e-08,,,,,,,,,,,
Sam 13,4.65315e-08,1.19059e-02,4.2286e-03,4.8902e-05,4.6895e-06,4.5853e-08,,,,,,           -5.7709,            5.0243,           -1.4244,           10.4728,          -17.8005,           -9.2056,           -0.8873,           -0.3933,            0.3949,          -21.4328,
Ref 14,4.64211e-08,,,,,,1.1975e-02,4.2075e-03,4.8972e-05,4.6396e-06,4.4444e-08,,,,,,,,,,,
Sam 14,4.58039e-08,1.19059e-02,4.2287e-03,4.8909e-05,4.6849e-06,4.2884e-08,,,,,,           -5.7688,            5.0367,           -1.2511,            9.7918,          -88.7562,           -9.2038,           -0.8750,           -0.2341,           -0.3040,          -92.1501,
Ref 15,4.57001e-08,,,,,,1.1975e-02,4.2075e-03,4.8970e-05,4.6394e-06,4.9720e-08,,,,,,,,,,,
Sam 15,4.50853e-08,1.19058e-02,4.2286e-03,4.8902e-05,4.6845e-06,4.5571e-08,,,,,,           -5.7755,            5.0109,           -1.4172,            9.7904,          -39.4587,           -9.2100,           -0.9007,           -0.3682,           -0.2541,          -42.9811,
Ref 16,4.49945e-08,,,,,,1.1975e-02,4.2075e-03,4.8973e-05,4.6388e-06,4.5130e-08,,,,,,,,,,,
Sam 16,4.43884e-08,1.19059e-02,4.2287e-03,4.8904e-05,4.6868e-06,4.7777e-08,,,,,,           -5.7763,            5.0326,           -1.3737,           10.1338,           43.0747,           -9.2116,           -0.8791,           -0.3451,            0.0427,           39.2063,
Ref 17,4.43036e-08,,,,,,1.1975e-02,4.2075e-03,4.8970e-05,4.6407e-06,4.6488e-08,,,,,,,,,,,
Sam 17,4.37005e-08,1.19057e-02,4.2286e-03,4.8902e-05,4.6862e-06,4.7015e-08,,,,,,           -5.7801,            5.0232,           -1.3499,           10.1628,           16.8641,           -9.2154,           -0.8885,           -0.3080,            0.0903,           13.1159,
Ref 18,4.36317e-08,,,,,,1.1975e-02,4.2074e-03,4.8966e-05,4.6374e-06,4.5978e-08,,,,,,,,,,,
Sam 18,4.30281e-08,1.19056e-02,4.2286e-03,4.8895e-05,4.6876e-06,4.4882e-08,,,,,,           -5.7780,            5.0299,           -1.5154,           10.3610,           11.7804,           -9.2133,           -0.8818,           -0.4825,            0.2731,            8.0353,
Ref 19,4.29745e-08,,,,,,1.1975e-02,4.2075e-03,4.8973e-05,4.6417e-06,4.2716e-08,,,,,,,,,,,
Sam 19,4.23695e-08,1.19056e-02,4.2285e-03,4.8902e-05,4.6881e-06,4.5960e-08,,,,,,           -5.7805,            5.0074,           -1.4554,           10.1495,           50.4622,           -9.2152,           -0.9041,           -0.3979,            0.1084,           46.6228,
Ref 20,4.23214e-08,,,,,,1.1975e-02,4.2074e-03,4.8974e-05,4.6403e-06,4.4803e-08,,,,,,,,,,,
Sam 20,4.17074e-08,1.19057e-02,4.2286e-03,4.8902e-05,4.6829e-06,4.2522e-08,,,,,,           -5.7712,            5.0293,           -1.4292,            9.3410,          -22.1773,           -9.2061,           -0.8824,           -0.4027,           -0.7356,          -25.8027,
Ref 21,4.16777e-08,,,,,,1.1975e-02,4.2075e-03,4.8969e-05,4.6389e-06,4.2149e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.13633e-08,,,,,,1.1975e-02,4.2074e-03,4.8970e-05,4.6355e-06,4.1410e-08,
Sam 1,4.07633e-08,1.19056e-02,4.2285e-03,4.8897e-05,4.6844e-06,4.1208e-08,,,,,,           -5.7786,            5.0057,           -1.5472,           10.2583,           10.2590,           -9.2131,           -0.9058,           -0.4900,            0.2196,            6.5678,
Ref 2,4.07543e-08,,,,,,1.1975e-02,4.2074e-03,4.8975e-05,4.6381e-06,4.0160e-08,,,,,,,,,,,
Sam 2,4.01478e-08,1.19055e-02,4.2286e-03,4.8907e-05,4.6874e-06,4.0579e-08,,,,,,           -5.7771,            5.0294,           -1.4450,           10.8944,          -11.3338,           -9.2123,           -0.8822,           -0.4125,            0.8020,          -14.9934,
Ref 3,4.01603e-08,,,,,,1.1975e-02,4.2074e-03,4.8981e-05,4.6356e-06,4.1943e-08,,,,,,,,,,,
Sam 3,3.95396e-08,1.19055e-02,4.2285e-03,4.8897e-05,4.6835e-06,4.1886e-08,,,,,,           -5.7738,            5.0234,           -1.6387,            9.8694,            0.1029,           -9.2086,           -0.8882,           -0.6039,           -0.2008,           -3.5908,
Ref 4,3.95505e-08,,,,,,1.1975e-02,4.2073e-03,4.8974e-05,4.6400e-06,4.1821e-08,,,,,,,,,,,
Sam 4,3.89415e-08,1.19053e-02,4.2284e-03,4.8904e-05,4.6809e-06,4.3356e-08,,,,,,           -5.7733,            5.0220,           -1.4073,            8.8741,           20.1406,           -9.2081,           -0.8897,           -0.3713,           -1.1832,           16.3753,
Ref 5,3.89628e-08,,,,,,1.1974e-02,4.2073e-03,4.8973e-05,4.6396e-06,4.3190e-08,,,,,,,,,,,
Sam 5,3.83604e-08,1.19052e-02,4.2284e-03,4.8903e-05,4.6826e-06,3.9743e-08,,,,,,           -5.7738,            5.0216,           -1.4077,            9.5279,          -16.5482,           -9.2086,           -0.8900,           -0.3710,           -0.5353,          -20.1770,
Ref 6,3.83913e-08,,,,,,1.1974e-02,4.2072e-03,4.8971e-05,4.6372e-06,3.7592e-08,,,,,,,,,,,
Sam 6,3.77836e-08,1.19051e-02,4.2284e-03,4.8892e-05,4.6854e-06,3.7137e-08,,,,,,           -5.7743,            5.0217,           -1.5976,           10.4652,          -21.0437,           -9.2091,           -0.8900,           -0.5606,            0.3927,          -24.6554,
Ref 7,3.78295e-08,,,,,,1.1974e-02,4.2073e-03,4.8970e-05,4.6365e-06,3.8283e-08,,,,,,,,,,,
Sam 7,3.72217e-08,1.19051e-02,4.2284e-03,4.8904e-05,4.6852e-06,3.8101e-08,,,,,,           -5.7694,            5.0319,           -1.3836,           10.5040,           13.3189,           -9.2042,           -0.8798,           -0.3614,            0.4107,            9.5549,
Ref 8,3.72772e-08,,,,,,1.1974e-02,4.2072e-03,4.8973e-05,4.6366e-06,3.6907e-08,,,,,,,,,,,
Sam 8,3.66718e-08,1.19050e-02,4.2283e-03,4.8902e-05,4.6848e-06,3.5108e-08,,,,,,           -5.7769,            5.0225,           -1.4038,           10.1092,          -83.6227,           -9.2119,           -0.8891,           -0.3648,            0.0385,          -87.0025,
Ref 9,3.67521e-08,,,,,,1.1974e-02,4.2072e-03,4.8968e-05,4.6394e-06,3.9736e-08,,,,,,,,,,,
Sam 9,3.61365e-08,1.19049e-02,4.2283e-03,4.8897e-05,4.6845e-06,3.6934e-08,,,,,,           -5.7855,            5.0195,           -1.4724,            9.7315,          -34.6275,           -9.2210,           -0.8921,           -0.4214,           -0.3294,          -38.1734,
Ref 10,3.62105e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6394e-06,3.6760e-08,,,,,,,,,,,
Sam 10,3.56191e-08,1.19049e-02,4.2283e-03,4.8897e-05,4.6839e-06,3.4112e-08,,,,,,           -5.7757,            5.0349,           -1.4393,           10.0355,          -88.7244,           -9.2110,           -0.8768,           -0.4136,           -0.0591,          -92.1086,
Ref 11,3.56911e-08,,,,,,1.1974e-02,4.2071e-03,4.8964e-05,4.6354e-06,3.8116e-08,,,,,,,,,,,
Sam 11,3.50902e-08,1.19048e-02,4.2282e-03,4.8899e-05,4.6818e-06,3.6012e-08,,,,,,           -5.7766,            5.0345,           -1.3544,           10.3282,          -71.2060,           -9.2120,           -0.8772,           -0.3272,            0.2316,          -74.6536,
Ref 12,3.51831e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6325e-06,3.9439e-08,,,,,,,,,,,
Sam 12,3.45829e-08,1.19048e-02,4.2282e-03,4.8895e-05,4.6825e-06,3.8024e-08,,,,,,           -5.7723,            5.0274,           -1.5864,           10.1595,           32.7971,           -9.2072,           -0.8842,           -0.5570,            0.0785,           28.9729,
Ref 13,3.46776e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6383e-06,3.4157e-08,,,,,,,,,,,
Sam 13,3.41183e-08,1.19047e-02,4.2282e-03,4.8897e-05,4.6794e-06,3.6933e-08,,,,,,           -5.7814,            5.0157,           -1.5025,            9.2900,           64.7501,           -9.2165,           -0.8959,           -0.4522,           -0.7590,           60.8423,
Ref 14,3.41985e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6343e-06,3.5226e-08,,,,,,,,,,,
Sam 14,3.35983e-08,1.19047e-02,4.2282e-03,4.8896e-05,4.6782e-06,3.3945e-08,,,,,,           -5.7656,            5.0276,           -1.3467,            9.7603,          -17.2859,           -9.2000,           -0.8840,           -0.3243,           -0.3171,          -20.9321,
Ref 15,3.37104e-08,,,,,,1.1974e-02,4.2070e-03,4.8961e-05,4.6315e-06,3.3848e-08,,,,,,,,,,,
Sam 15,3.31136e-08,1.19047e-02,4.2282e-03,4.8898e-05,4.6775e-06,3.4641e-08,,,,,,           -5.7623,            5.0357,           -1.2692,            9.2534,           64.7288,           -9.1968,           -0.8760,           -0.2581,           -0.8351,           60.7577,
Ref 16,3.32368e-08,,,,,,1.1974e-02,4.2070e-03,4.8960e-05,4.6377e-06,3.1204e-08,,,,,,,,,,,
Sam 16,3.26392e-08,1.19044e-02,4.2280e-03,4.8892e-05,4.6776e-06,3.2164e-08,,,,,,           -5.7858,            5.0071,           -1.4304,            9.1113,            6.0616,           -9.2208,           -0.9044,           -0.3670,           -0.9188,            2.3907,
Ref 17,3.27734e-08,,,,,,1.1974e-02,4.2069e-03,4.8965e-05,4.6331e-06,3.2747e-08,,,,,,,,,,,
Sam 17,3.21768e-08,1.19045e-02,4.2281e-03,4.8900e-05,4.6814e-06,3.7911e-08,,,,,,           -5.7735,            5.0268,           -1.2600,           10.3365,          252.9798,           -9.2085,           -0.8849,           -0.2284,            0.2551,          248.3436,
Ref 18,3.23176e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6339e-06,2.7732e-08,,,,,,,,,,,
Sam 18,3.17187e-08,1.19044e-02,4.2281e-03,4.8901e-05,4.6782e-06,2.6964e-08,,,,,,           -5.7861,            5.0227,           -1.3098,            9.4198,            8.5817,           -9.2217,           -0.8889,           -0.2612,           -0.6445,            4.8713,
Ref 19,3.18713e-08,,,,,,1.1974e-02,4.2069e-03,4.8973e-05,4.6351e-06,2.5724e-08,,,,,,,,,,,
Sam 19,3.12706e-08,1.19044e-02,4.2280e-03,4.8889e-05,4.6782e-06,2.5578e-08,,,,,,           -5.7736,            5.0324,           -1.6240,            9.7896,           -8.1387,           -9.2087,           -0.8793,           -0.5982,           -0.2976,          -11.8195,
Ref 20,3.14298e-08,,,,,,1.1973e-02,4.2069e-03,4.8964e-05,4.6305e-06,2.5852e-08,,,,,,,,,,,
Sam 20,3.08335e-08,1.19044e-02,4.2280e-03,4.8899e-05,4.6759e-06,2.6706e-08,,,,,,           -5.7642,            5.0309,           -1.3207,            9.8057,            9.0252,           -9.1987,           -0.8808,           -0.3028,           -0.2787,            5.2736,
Ref 21,3.10236e-08,,,,,,1.1973e-02,4.2068e-03,4.8964e-05,4.6305e-06,2.7090e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.07950e-08,,,,,,1.1974e-02,4.2069e-03,4.8963e-05,4.6319e-06,2.3981e-08,
Sam 1,3.01897e-08,1.19043e-02,4.2279e-03,4.8897e-05,4.6765e-06,2.3716e-08,,,,,,           -5.7725,            5.0265,           -1.3437,            9.9326,           15.9023,           -9.2073,           -0.8852,           -0.3131,           -0.1443,           12.1427,
Ref 2,3.04139e-08,,,,,,1.1973e-02,4.2067e-03,4.8963e-05,4.6291e-06,2.2700e-08,,,,,,,,,,,
Sam 2,2.97876e-08,1.19042e-02,4.2279e-03,4.8893e-05,4.6756e-06,2.8172e-08,,,,,,           -5.7689,            5.0214,           -1.3883,            9.9593,          296.4661,           -9.2034,           -0.8903,           -0.3563,           -0.1076,          291.6762,
Ref 3,2.99621e-08,,,,,,1.1973e-02,4.2068e-03,4.8959e-05,4.6300e-06,2.0745e-08,,,,,,,,,,,
Sam 3,2.93621e-08,1.19042e-02,4.2279e-03,4.8897e-05,4.6797e-06,2.1236e-08,,,,,,           -5.7788,            5.0120,           -1.3140,           10.2976,           61.0444,           -9.2135,           -0.8995,           -0.2626,            0.2459,           57.1547,
Ref 4,2.95501e-08,,,,,,1.1973e-02,4.2069e-03,4.8963e-05,4.6340e-06,1.9273e-08,,,,,,,,,,,
Sam 4,2.89541e-08,1.19042e-02,4.2279e-03,4.8889e-05,4.6758e-06,1.9374e-08,,,,,,           -5.7765,            5.0255,           -1.5056,            9.2628,          -94.9266,           -9.2116,           -0.8861,           -0.4700,           -0.8055,          -98.2704,
Ref 5,2.91509e-08,,,,,,1.1973e-02,4.2067e-03,4.8962e-05,4.6319e-06,2.3567e-08,,,,,,,,,,,
Sam 5,2.85590e-08,1.19042e-02,4.2279e-03,4.8894e-05,4.6749e-06,2.0487e-08,,,,,,           -5.7651,            5.0188,           -1.3064,            9.8233,          -96.4027,           -9.1992,           -0.8928,           -0.2759,           -0.2372,          -99.7403,
Ref 6,2.87619e-08,,,,,,1.1973e-02,4.2068e-03,4.8955e-05,4.6269e-06,2.1766e-08,,,,,,,,,,,
Sam 6,2.81678e-08,1.19041e-02,4.2279e-03,4.8889e-05,4.6752e-06,1.6029e-08,,,,,,           -5.7717,            5.0149,           -1.3301,           10.5089,         -187.7794,           -9.2060,           -0.8967,           -0.2889,            0.4493,         -190.7676,
Ref 7,2.83755e-08,,,,,,1.1973e-02,4.2068e-03,4.8954e-05,4.6263e-06,1.7676e-08,,,,,,,,,,,
Sam 7,2.77828e-08,1.19040e-02,4.2278e-03,4.8884e-05,4.6715e-06,1.8208e-08,,,,,,           -5.7803,            5.0100,           -1.4122,            9.2407,           78.3663,           -9.2150,           -0.9015,           -0.3574,           -0.7965,           74.4191,
Ref 8,2.79967e-08,,,,,,1.1973e-02,4.2067e-03,4.8953e-05,4.6313e-06,1.6083e-08,,,,,,,,,,,
Sam 8,2.74082e-08,1.19039e-02,4.2278e-03,4.8885e-05,4.6725e-06,1.3694e-08,,,,,,           -5.7856,            5.0099,           -1.3309,            9.2970,         -225.4667,           -9.2207,           -0.9017,           -0.2703,           -0.7405,         -228.2971,
Ref 9,2.76486e-08,,,,,,1.1973e-02,4.2067e-03,4.8947e-05,4.6276e-06,1.9299e-08,,,,,,,,,,,
Sam 9,2.70570e-08,1.19038e-02,4.2277e-03,4.8887e-05,4.6698e-06,1.5299e-08,,,,,,           -5.7872,            5.0142,           -1.3467,            9.6553,         -142.2196,           -9.2225,           -0.8974,           -0.2887,           -0.3944,         -145.3600,
Ref 10,2.72813e-08,,,,,,1.1973e-02,4.2066e-03,4.8959e-05,4.6227e-06,1.6353e-08,,,,,,,,,,,
Sam 10,2.66923e-08,1.19039e-02,4.2277e-03,4.8879e-05,4.6718e-06,1.4028e-08,,,,,,           -5.7715,            5.0192,           -1.6005,           10.2938,         -117.8385,           -9.2060,           -0.8924,           -0.5640,            0.2278,         -121.0915,
Ref 11,2.69191e-08,,,,,,1.1973e-02,4.2066e-03,4.8956e-05,4.6256e-06,1.5444e-08,,,,,,,,,,,
Sam 11,2.69837e-08,1.19170e-02,4.2233e-03,4.8919e-05,4.6644e-06,1.9390e-08,,,,,,           -4.6718,            3.9619,           -0.6909,            8.4766,          388.9632,           -7.9991,           -1.9470,            0.2431,            0.5327,          385.0800,
Ref 12,2.66486e-08,,,,,,1.1973e-02,4.2066e-03,4.8950e-05,4.6248e-06,1.2460e-08,,,,,,,,,,,
Sam 12,2.60714e-08,1.19037e-02,4.2277e-03,4.8877e-05,4.6708e-06,1.5562e-08,,,,,,           -5.7777,            5.0166,           -1.4449,           10.1911,          357.3371,           -9.2126,           -0.8950,           -0.3992,            0.1314,          352.3478,
Ref 13,2.63001e-08,,,,,,1.1973e-02,4.2067e-03,4.8946e-05,4.6226e-06,1.0457e-08,,,,,,,,,,,
Sam 13,2.57200e-08,1.19037e-02,4.2277e-03,4.8888e-05,4.6708e-06,6.2849e-09,,,,,,           -5.7823,            5.0039,           -1.1832,           10.9802,         -362.4719,           -9.2170,           -0.9076,           -0.1200,            0.9379,         -364.7965,
Ref 14,2.59576e-08,,,,,,1.1973e-02,4.2066e-03,4.8946e-05,4.6176e-06,9.2515e-09,,,,,,,,,,,
Sam 14,2.53774e-08,1.19036e-02,4.2276e-03,4.8890e-05,4.6708e-06,4.9604e-09,,,,,,           -5.7831,            5.0180,           -1.1899,           11.2559,         -475.5344,           -9.2183,           -0.8936,           -0.1397,            1.1828,         -477.4606,
Ref 15,2.56186e-08,,,,,,1.1973e-02,4.2064e-03,4.8952e-05,4.6201e-06,9.6673e-09,,,,,,,,,,,
Sam 15,2.50736e-08,1.19035e-02,4.2275e-03,4.8892e-05,4.6684e-06,5.9620e-09,,,,,,           -5.7740,            4.9996,           -1.1884,           10.4334,         -245.3134,           -9.2080,           -0.9120,           -0.1296,            0.4051,         -248.0655,
Ref 16,2.53102e-08,,,,,,1.1973e-02,4.2065e-03,4.8948e-05,4.6204e-06,6.1110e-09,,,,,,,,,,,
Sam 16,2.47245e-08,1.19036e-02,4.2276e-03,4.8885e-05,4.6640e-06,3.9416e-09,,,,,,           -5.7719,            5.0037,           -1.3053,            9.0419,         -283.0492,           -9.2059,           -0.9079,           -0.2529,           -0.9807,         -285.6710,
Ref 17,2.49730e-08,,,,,,1.1973e-02,4.2065e-03,4.8949e-05,4.6240e-06,4.8763e-09,,,,,,,,,,,
Sam 17,2.43983e-08,1.19035e-02,4.2276e-03,4.8879e-05,4.6673e-06,6.9258e-09,,,,,,           -5.7808,            5.0087,           -1.4755,            9.6326,         -115.0884,           -9.2156,           -0.9028,           -0.4189,           -0.4060,         -118.3247,
Ref 18,2.46513e-08,,,,,,1.1973e-02,4.2065e-03,4.8953e-05,4.6214e-06,1.0815e-08,,,,,,,,,,,
Sam 18,2.40754e-08,1.19036e-02,4.2277e-03,4.8880e-05,4.6694e-06,6.4543e-09,,,,,,           -5.7763,            5.0284,           -1.4587,           10.7882,         -263.3051,           -9.2114,           -0.8833,           -0.4260,            0.6991,         -266.0311,
Ref 19,2.43324e-08,,,,,,1.1973e-02,4.2065e-03,4.8950e-05,4.6178e-06,6.6801e-09,,,,,,,,,,,
Sam 19,2.37589e-08,1.19035e-02,4.2276e-03,4.8870e-05,4.6635e-06,5.8329e-09,,,,,,           -5.7724,            5.0203,           -1.5509,            9.5046,         -261.8724,           -9.2070,           -0.8913,           -0.5145,           -0.5558,         -264.5952,
Ref 20,2.40691e-08,,,,,,1.1972e-02,4.2064e-03,4.8942e-05,4.6214e-06,9.1378e-09,,,,,,,,,,,
Sam 20,2.34908e-08,1.19034e-02,4.2275e-03,4.8875e-05,4.6688e-06,9.2562e-09,,,,,,           -5.7706,            5.0108,           -1.4091,           10.5876,          486.0077,           -9.2048,           -0.9008,           -0.3651,            0.5355,          480.5509,
