Nu Stable Isotope Analysis Program
Data Collected on Friday, July 01, 2022 at 22:58 with Stable 1.71.5 on PS019,Reanalyzed on Friday, July 01, 2022 at 23:57 with Stable 1.71.5 on PS019

Data File = Data_17488 RM_4-B.txt,        Sample Weight = 599,                      Vial Location = 21,                       Initial Sam Beam = 1.5562e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2339e-08,                Max Ref Beam = 1.0664e-07,                

Analysis undertaken at mass 46.02396
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.99564e-08,,,,,,1.1974e-02,4.2070e-03,4.8959e-05,4.6414e-06,5.2997e-08,
Sam 1,5.93252e-08,1.19326e-02,4.2236e-03,4.8956e-05,4.6793e-06,5.7006e-08,,,,,,           -3.5202,            3.9142,           -0.1154,            7.8645,           34.4086,           -6.7718,           -1.9970,           -0.3262,            0.0206,           30.3453,
Ref 2,5.89184e-08,,,,,,1.1975e-02,4.2072e-03,4.8964e-05,4.6442e-06,5.7260e-08,,,,,,,,,,,
Sam 2,5.82973e-08,1.19327e-02,4.2237e-03,4.8957e-05,4.6800e-06,5.8199e-08,,,,,,           -3.5264,            3.9103,           -0.1377,            7.8239,           12.3258,           -6.7783,           -2.0008,           -0.3382,           -0.0120,            8.3637,
Ref 3,5.79283e-08,,,,,,1.1975e-02,4.2073e-03,4.8963e-05,4.6431e-06,5.7724e-08,,,,,,,,,,,
Sam 3,5.73126e-08,1.19328e-02,4.2237e-03,4.8956e-05,4.6796e-06,6.0796e-08,,,,,,           -3.5297,            3.9018,           -0.1938,            8.0626,           27.1929,           -6.7815,           -2.0093,           -0.3826,            0.2418,           23.1932,
Ref 4,5.69710e-08,,,,,,1.1975e-02,4.2073e-03,4.8968e-05,4.6412e-06,6.0674e-08,,,,,,,,,,,
Sam 4,5.63344e-08,1.19328e-02,4.2238e-03,4.8959e-05,4.6818e-06,6.0493e-08,,,,,,           -3.5322,            3.8990,           -0.1759,            8.3754,           11.5310,           -6.7840,           -2.0121,           -0.3593,            0.5578,            7.6005,
Ref 5,5.60314e-08,,,,,,1.1975e-02,4.2075e-03,4.8968e-05,4.6447e-06,5.8918e-08,,,,,,,,,,,
Sam 5,5.53806e-08,1.19328e-02,4.2238e-03,4.8962e-05,4.6785e-06,5.8952e-08,,,,,,           -3.5369,            3.8867,           -0.1378,            7.2919,           12.1035,           -6.7886,           -2.0243,           -0.3043,           -0.4927,            8.2002,
Ref 6,5.50942e-08,,,,,,1.1975e-02,4.2074e-03,4.8971e-05,4.6446e-06,5.7564e-08,,,,,,,,,,,
Sam 6,5.44546e-08,1.19328e-02,4.2238e-03,4.8963e-05,4.6824e-06,5.7505e-08,,,,,,           -3.5281,            3.9099,           -0.0989,            8.0400,          -27.3442,           -6.7801,           -2.0012,           -0.2973,            0.2033,          -31.1486,
Ref 7,5.41973e-08,,,,,,1.1975e-02,4.2074e-03,4.8966e-05,4.6455e-06,6.0704e-08,,,,,,,,,,,
Sam 7,5.35591e-08,1.19327e-02,4.2238e-03,4.8959e-05,4.6787e-06,5.9745e-08,,,,,,           -3.5300,            3.8952,           -0.1604,            7.1349,            2.2384,           -6.7816,           -2.0159,           -0.3424,           -0.6655,           -1.6509,
Ref 8,5.33436e-08,,,,,,1.1975e-02,4.2075e-03,4.8969e-05,4.6456e-06,5.8501e-08,,,,,,,,,,,
Sam 8,5.27018e-08,1.19330e-02,4.2239e-03,4.8965e-05,4.6818e-06,5.9695e-08,,,,,,           -3.5220,            3.8957,           -0.0982,            7.7426,           -6.5361,           -6.7731,           -2.0154,           -0.2890,           -0.0636,          -10.4007,
Ref 9,5.24870e-08,,,,,,1.1975e-02,4.2076e-03,4.8971e-05,4.6461e-06,6.1701e-08,,,,,,,,,,,
Sam 9,5.18417e-08,1.19329e-02,4.2239e-03,4.8969e-05,4.6841e-06,6.4228e-08,,,,,,           -3.5340,            3.8940,           -0.0412,            8.2190,           45.1066,           -6.7858,           -2.0170,           -0.2180,            0.4125,           41.0577,
Ref 10,5.16339e-08,,,,,,1.1975e-02,4.2075e-03,4.8972e-05,4.6457e-06,6.1207e-08,,,,,,,,,,,
Sam 10,5.10010e-08,1.19328e-02,4.2239e-03,4.8966e-05,4.6826e-06,6.0091e-08,,,,,,           -3.5322,            3.9008,           -0.1675,            7.7976,          -24.4386,           -6.7841,           -2.0103,           -0.3527,           -0.0192,          -28.2328,
Ref 11,5.08247e-08,,,,,,1.1975e-02,4.2075e-03,4.8977e-05,4.6470e-06,6.1992e-08,,,,,,,,,,,
Sam 11,5.01760e-08,1.19328e-02,4.2240e-03,4.8964e-05,4.6837e-06,6.3976e-08,,,,,,           -3.5326,            3.9084,           -0.2206,            8.1211,           23.0565,           -6.7848,           -2.0028,           -0.4127,            0.2868,           19.0630,
Ref 12,5.00195e-08,,,,,,1.1975e-02,4.2076e-03,4.8971e-05,4.6450e-06,6.3086e-08,,,,,,,,,,,
Sam 12,4.93703e-08,1.19328e-02,4.2239e-03,4.8973e-05,4.6839e-06,6.1808e-08,,,,,,           -3.5348,            3.8891,           -0.0204,            8.0328,            9.4853,           -6.7865,           -2.0219,           -0.1915,            0.2376,            5.5850,
Ref 13,4.92282e-08,,,,,,1.1975e-02,4.2076e-03,4.8977e-05,4.6481e-06,5.9338e-08,,,,,,,,,,,
Sam 13,4.85656e-08,1.19329e-02,4.2240e-03,4.8972e-05,4.6828e-06,6.0689e-08,,,,,,           -3.5279,            3.8931,           -0.0884,            7.6796,            9.1306,           -6.7793,           -2.0180,           -0.2705,           -0.1209,            5.2164,
Ref 14,4.84568e-08,,,,,,1.1975e-02,4.2076e-03,4.8975e-05,4.6461e-06,6.0954e-08,,,,,,,,,,,
Sam 14,4.77999e-08,1.19329e-02,4.2240e-03,4.8970e-05,4.6832e-06,6.2316e-08,,,,,,           -3.5297,            3.8919,           -0.1333,            7.6812,           13.7650,           -6.7811,           -2.0191,           -0.3125,           -0.1169,            9.8371,
Ref 15,4.76997e-08,,,,,,1.1975e-02,4.2076e-03,4.8978e-05,4.6490e-06,6.1993e-08,,,,,,,,,,,
Sam 15,4.70508e-08,1.19329e-02,4.2240e-03,4.8972e-05,4.6856e-06,6.1978e-08,,,,,,           -3.5217,            3.9004,           -0.1107,            7.8434,           15.2469,           -6.7729,           -2.0107,           -0.3064,            0.0271,           11.2879,
Ref 16,4.69403e-08,,,,,,1.1975e-02,4.2076e-03,4.8977e-05,4.6492e-06,6.0086e-08,,,,,,,,,,,
Sam 16,4.62690e-08,1.19326e-02,4.2239e-03,4.8972e-05,4.6828e-06,5.8534e-08,,,,,,           -3.5396,            3.8898,           -0.0563,            7.3558,          -15.7033,           -6.7916,           -2.0212,           -0.2231,           -0.4356,          -19.5026,
Ref 17,4.61981e-08,,,,,,1.1975e-02,4.2076e-03,4.8972e-05,4.6479e-06,5.8841e-08,,,,,,,,,,,
Sam 17,4.55509e-08,1.19325e-02,4.2239e-03,4.8970e-05,4.6842e-06,5.9602e-08,,,,,,           -3.5404,            3.8722,           -0.0718,            7.3384,           26.0241,           -6.7919,           -2.0388,           -0.2204,           -0.4178,           22.1000,
Ref 18,4.54954e-08,,,,,,1.1975e-02,4.2076e-03,4.8975e-05,4.6523e-06,5.7329e-08,,,,,,,,,,,
Sam 18,4.48693e-08,1.19324e-02,4.2239e-03,4.8971e-05,4.6846e-06,5.9336e-08,,,,,,           -3.5396,            3.8891,           -0.1797,            7.2314,           13.4988,           -6.7915,           -2.0219,           -0.3458,           -0.5576,            9.5883,
Ref 19,4.48068e-08,,,,,,1.1975e-02,4.2075e-03,4.8984e-05,4.6496e-06,5.9782e-08,,,,,,,,,,,
Sam 19,4.41693e-08,1.19325e-02,4.2239e-03,4.8974e-05,4.6869e-06,6.0191e-08,,,,,,           -3.5203,            3.8954,           -0.1887,            7.8721,           12.7200,           -6.7712,           -2.0157,           -0.3810,            0.0655,            8.7791,
Ref 20,4.41138e-08,,,,,,1.1975e-02,4.2074e-03,4.8982e-05,4.6509e-06,5.9084e-08,,,,,,,,,,,
Sam 20,4.34881e-08,1.19324e-02,4.2239e-03,4.8976e-05,4.6864e-06,5.9979e-08,,,,,,           -3.5281,            3.9092,           -0.2043,            7.6395,          -12.5785,           -6.7801,           -2.0020,           -0.4019,           -0.1926,          -16.4392,
Ref 21,4.34520e-08,,,,,,1.1975e-02,4.2074e-03,4.8989e-05,4.6509e-06,6.2428e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.31222e-08,,,,,,1.1975e-02,4.2074e-03,4.8989e-05,4.6509e-06,6.2926e-08,
Sam 1,4.24871e-08,1.19324e-02,4.2238e-03,4.8977e-05,4.6863e-06,6.1926e-08,,,,,,           -3.5249,            3.8982,           -0.1983,            7.5456,           -6.6114,           -6.7763,           -2.0129,           -0.3885,           -0.2640,          -10.4775,
Ref 2,4.24634e-08,,,,,,1.1975e-02,4.2074e-03,4.8983e-05,4.6515e-06,6.1742e-08,,,,,,,,,,,
Sam 2,4.18283e-08,1.19323e-02,4.2238e-03,4.8974e-05,4.6898e-06,6.7711e-08,,,,,,           -3.5392,            3.9017,           -0.1773,            8.2767,           66.3365,           -6.7916,           -2.0094,           -0.3562,            0.4545,           62.1954,
Ref 3,4.18260e-08,,,,,,1.1975e-02,4.2074e-03,4.8982e-05,4.6512e-06,6.5282e-08,,,,,,,,,,,
Sam 3,4.11888e-08,1.19324e-02,4.2238e-03,4.8975e-05,4.6865e-06,6.7469e-08,,,,,,           -3.5320,            3.9097,           -0.2086,            7.8908,            5.5100,           -6.7842,           -2.0015,           -0.4027,            0.0557,            1.5818,
Ref 4,4.11974e-08,,,,,,1.1975e-02,4.2074e-03,4.8988e-05,4.6484e-06,6.8943e-08,,,,,,,,,,,
Sam 4,4.05615e-08,1.19322e-02,4.2238e-03,4.8974e-05,4.6895e-06,6.6960e-08,,,,,,           -3.5318,            3.9093,           -0.2211,            8.2420,          -29.7365,           -6.7840,           -2.0018,           -0.4151,            0.4048,          -33.5266,
Ref 5,4.05812e-08,,,,,,1.1974e-02,4.2073e-03,4.8981e-05,4.6540e-06,6.9082e-08,,,,,,,,,,,
Sam 5,3.99415e-08,1.19322e-02,4.2237e-03,4.8982e-05,4.6877e-06,7.0587e-08,,,,,,           -3.5277,            3.8939,           -0.0196,            7.7517,           25.7524,           -6.7791,           -2.0172,           -0.2027,           -0.0509,           21.7720,
Ref 6,3.99895e-08,,,,,,1.1974e-02,4.2073e-03,4.8985e-05,4.6493e-06,6.8544e-08,,,,,,,,,,,
Sam 6,3.93416e-08,1.19320e-02,4.2238e-03,4.8977e-05,4.6866e-06,7.1018e-08,,,,,,           -3.5378,            3.9058,           -0.1993,            7.5248,           32.0114,           -6.7903,           -2.0053,           -0.3836,           -0.2998,           27.9938,
Ref 7,3.93780e-08,,,,,,1.1974e-02,4.2073e-03,4.8988e-05,4.6540e-06,6.9091e-08,,,,,,,,,,,
Sam 7,3.87485e-08,1.19319e-02,4.2236e-03,4.8978e-05,4.6872e-06,7.1136e-08,,,,,,           -3.5312,            3.8855,           -0.2258,            7.3521,            9.7077,           -6.7825,           -2.0255,           -0.3971,           -0.4307,            5.8098,
Ref 8,3.87926e-08,,,,,,1.1974e-02,4.2073e-03,4.8990e-05,4.6519e-06,7.1834e-08,,,,,,,,,,,
Sam 8,3.81724e-08,1.19320e-02,4.2237e-03,4.8975e-05,4.6858e-06,6.8374e-08,,,,,,           -3.5285,            3.9024,           -0.2411,            7.3372,          -25.2043,           -6.7803,           -2.0087,           -0.4317,           -0.4792,          -29.0023,
Ref 9,3.82331e-08,,,,,,1.1974e-02,4.2073e-03,4.8983e-05,4.6515e-06,6.8424e-08,,,,,,,,,,,
Sam 9,3.76034e-08,1.19317e-02,4.2236e-03,4.8976e-05,4.6882e-06,6.9403e-08,,,,,,           -3.5449,            3.8888,           -0.2563,            7.7770,           15.8381,           -6.7973,           -2.0222,           -0.4165,           -0.0156,           11.9249,
Ref 10,3.76886e-08,,,,,,1.1974e-02,4.2072e-03,4.8995e-05,4.6526e-06,6.8217e-08,,,,,,,,,,,
Sam 10,3.70439e-08,1.19317e-02,4.2236e-03,4.8979e-05,4.6892e-06,7.1200e-08,,,,,,           -3.5414,            3.8883,           -0.2069,            7.5950,          -10.4967,           -6.7935,           -2.0227,           -0.3703,           -0.1953,          -14.3113,
Ref 11,3.71251e-08,,,,,,1.1974e-02,4.2072e-03,4.8984e-05,4.6551e-06,7.5750e-08,,,,,,,,,,,
Sam 11,3.65021e-08,1.19316e-02,4.2236e-03,4.8977e-05,4.6873e-06,7.5999e-08,,,,,,           -3.5390,            3.9096,           -0.1670,            7.5154,           -8.5494,           -6.7916,           -2.0016,           -0.3538,           -0.3166,          -12.4151,
Ref 12,3.65917e-08,,,,,,1.1974e-02,4.2071e-03,4.8986e-05,4.6495e-06,7.7572e-08,,,,,,,,,,,
Sam 12,3.59590e-08,1.19315e-02,4.2235e-03,4.8983e-05,4.6892e-06,7.8002e-08,,,,,,           -3.5467,            3.8900,           -0.1848,            7.9143,          -10.5540,           -6.7992,           -2.0210,           -0.3443,            0.1183,          -14.3659,
Ref 13,3.60667e-08,,,,,,1.1974e-02,4.2071e-03,4.8998e-05,4.6553e-06,8.0114e-08,,,,,,,,,,,
Sam 13,3.54455e-08,1.19314e-02,4.2235e-03,4.8983e-05,4.6919e-06,7.9152e-08,,,,,,           -3.5462,            3.8905,           -0.2108,            7.7873,           -2.2212,           -6.7987,           -2.0205,           -0.3714,           -0.0088,           -6.0668,
Ref 14,3.55528e-08,,,,,,1.1974e-02,4.2071e-03,4.8988e-05,4.6560e-06,7.8531e-08,,,,,,,,,,,
Sam 14,3.49329e-08,1.19316e-02,4.2235e-03,4.8981e-05,4.6909e-06,7.8016e-08,,,,,,           -3.5314,            3.8984,           -0.1393,            7.7451,          -20.9309,           -6.7832,           -2.0127,           -0.3230,           -0.0665,          -24.7350,
Ref 15,3.50454e-08,,,,,,1.1974e-02,4.2071e-03,4.8988e-05,4.6537e-06,8.0852e-08,,,,,,,,,,,
Sam 15,3.44196e-08,1.19315e-02,4.2235e-03,4.8977e-05,4.6889e-06,7.6872e-08,,,,,,           -3.5311,            3.9142,           -0.1749,            7.0963,          -54.7562,           -6.7834,           -1.9970,           -0.3744,           -0.7417,          -58.4583,
Ref 16,3.45891e-08,,,,,,1.1974e-02,4.2070e-03,4.8984e-05,4.6579e-06,8.1805e-08,,,,,,,,,,,
Sam 16,3.39445e-08,1.19312e-02,4.2234e-03,4.8984e-05,4.6934e-06,8.0698e-08,,,,,,           -3.5399,            3.9096,           -0.0144,            7.7962,           -4.4420,           -6.7926,           -2.0015,           -0.2004,           -0.0381,           -8.3230,
Ref 17,3.40550e-08,,,,,,1.1974e-02,4.2070e-03,4.8986e-05,4.6563e-06,8.0300e-08,,,,,,,,,,,
Sam 17,3.34281e-08,1.19312e-02,4.2233e-03,4.8974e-05,4.6907e-06,8.2004e-08,,,,,,           -3.5374,            3.8916,           -0.2238,            7.4967,           19.7544,           -6.7893,           -2.0194,           -0.3947,           -0.2994,           15.8122,
Ref 18,3.35705e-08,,,,,,1.1973e-02,4.2070e-03,4.8983e-05,4.6552e-06,8.0532e-08,,,,,,,,,,,
Sam 18,3.29614e-08,1.19313e-02,4.2234e-03,4.8979e-05,4.6932e-06,7.8591e-08,,,,,,           -3.5314,            3.8952,           -0.1271,            7.7439,          -16.5203,           -6.7830,           -2.0158,           -0.3078,           -0.0613,          -20.3354,
Ref 19,3.31207e-08,,,,,,1.1974e-02,4.2070e-03,4.8988e-05,4.6591e-06,7.9282e-08,,,,,,,,,,,
Sam 19,3.24928e-08,1.19313e-02,4.2234e-03,4.8980e-05,4.6963e-06,8.0837e-08,,,,,,           -3.5428,            3.9107,           -0.2490,            7.6743,            0.6091,           -6.7957,           -2.0004,           -0.4330,           -0.1613,           -3.2906,
Ref 20,3.26526e-08,,,,,,1.1974e-02,4.2069e-03,4.8997e-05,4.6620e-06,8.2314e-08,,,,,,,,,,,
Sam 20,3.20268e-08,1.19313e-02,4.2233e-03,4.8980e-05,4.6954e-06,8.2437e-08,,,,,,           -3.5276,            3.9010,           -0.3333,            7.1229,           -9.8770,           -6.7792,           -2.0101,           -0.5234,           -0.6889,          -13.7329,
Ref 21,3.21967e-08,,,,,,1.1973e-02,4.2069e-03,4.8995e-05,4.6624e-06,8.4218e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.19800e-08,,,,,,1.1974e-02,4.2069e-03,4.8991e-05,4.6631e-06,8.5616e-08,
Sam 1,3.13476e-08,1.19312e-02,4.2234e-03,4.8982e-05,4.6972e-06,9.0144e-08,,,,,,           -3.5371,            3.8934,           -0.1902,            8.0619,           29.2571,           -6.7891,           -2.0176,           -0.3631,            0.2578,           25.2743,
Ref 2,3.15286e-08,,,,,,1.1974e-02,4.2070e-03,4.8992e-05,4.6560e-06,8.9576e-08,,,,,,,,,,,
Sam 2,3.09004e-08,1.19310e-02,4.2233e-03,4.8987e-05,4.6971e-06,8.7086e-08,,,,,,           -3.5456,            3.8788,           -0.1104,            9.0870,           -7.0719,           -6.7977,           -2.0322,           -0.2602,            1.3043,          -10.8767,
Ref 3,3.10971e-08,,,,,,1.1973e-02,4.2069e-03,4.8993e-05,4.6536e-06,8.5810e-08,,,,,,,,,,,
Sam 3,3.04740e-08,1.19312e-02,4.2233e-03,4.8989e-05,4.6997e-06,8.9266e-08,,,,,,           -3.5228,            3.9058,           -0.0864,            8.9386,           54.9008,           -6.7743,           -2.0053,           -0.2862,            1.1030,           50.7772,
Ref 4,3.06760e-08,,,,,,1.1973e-02,4.2069e-03,4.8993e-05,4.6626e-06,8.3415e-08,,,,,,,,,,,
Sam 4,3.00610e-08,1.19312e-02,4.2233e-03,4.8989e-05,4.6972e-06,8.6840e-08,,,,,,           -3.5187,            3.9084,           -0.1446,            7.3545,           20.6215,           -6.7700,           -2.0028,           -0.3512,           -0.4738,           16.6224,
Ref 5,3.02572e-08,,,,,,1.1973e-02,4.2069e-03,4.8999e-05,4.6632e-06,8.6780e-08,,,,,,,,,,,
Sam 5,2.96347e-08,1.19311e-02,4.2233e-03,4.8990e-05,4.6980e-06,8.8235e-08,,,,,,           -3.5270,            3.8946,           -0.1358,            7.4229,           25.8575,           -6.7784,           -2.0165,           -0.3203,           -0.3786,           21.8744,
Ref 6,2.98420e-08,,,,,,1.1973e-02,4.2069e-03,4.8995e-05,4.6636e-06,8.5231e-08,,,,,,,,,,,
Sam 6,2.92683e-08,1.19310e-02,4.2232e-03,4.8988e-05,4.6954e-06,9.2021e-08,,,,,,           -3.5318,            3.8934,           -0.1363,            7.0189,           49.1863,           -6.7835,           -2.0176,           -0.3147,           -0.7771,           45.1205,
Ref 7,2.94577e-08,,,,,,1.1973e-02,4.2067e-03,4.8994e-05,4.6617e-06,9.0216e-08,,,,,,,,,,,
Sam 7,2.88297e-08,1.19310e-02,4.2232e-03,4.8988e-05,4.6978e-06,9.0599e-08,,,,,,           -3.5315,            3.9151,           -0.1670,            7.9830,           16.7522,           -6.7839,           -1.9961,           -0.3670,            0.1365,           12.7688,
Ref 8,2.90433e-08,,,,,,1.1973e-02,4.2068e-03,4.8998e-05,4.6595e-06,8.7981e-08,,,,,,,,,,,
Sam 8,2.84324e-08,1.19309e-02,4.2232e-03,4.8988e-05,4.6972e-06,9.1840e-08,,,,,,           -3.5417,            3.9013,           -0.1570,            7.5373,           39.6496,           -6.7943,           -2.0098,           -0.3329,           -0.2784,           35.6157,
Ref 9,2.86531e-08,,,,,,1.1973e-02,4.2068e-03,4.8993e-05,4.6647e-06,8.8699e-08,,,,,,,,,,,
Sam 9,2.80375e-08,1.19308e-02,4.2231e-03,4.8994e-05,4.6988e-06,9.1207e-08,,,,,,           -3.5381,            3.8989,           -0.0028,            7.3186,           13.8053,           -6.7904,           -2.0122,           -0.1800,           -0.4906,            9.8726,
Ref 10,2.82655e-08,,,,,,1.1973e-02,4.2067e-03,4.8996e-05,4.6646e-06,9.1249e-08,,,,,,,,,,,
Sam 10,2.76556e-08,1.19308e-02,4.2230e-03,4.8988e-05,4.6979e-06,9.1646e-08,,,,,,           -3.5209,            3.8828,           -0.1295,            7.1427,           21.2244,           -6.7715,           -2.0283,           -0.3087,           -0.6331,           17.2763,
Ref 11,2.78886e-08,,,,,,1.1973e-02,4.2067e-03,4.8994e-05,4.6645e-06,8.8213e-08,,,,,,,,,,,
Sam 11,2.72805e-08,1.19306e-02,4.2231e-03,4.8978e-05,4.7020e-06,8.9969e-08,,,,,,           -3.5407,            3.9048,           -0.3835,            8.4706,            7.2463,           -6.7933,           -2.0063,           -0.5638,            0.6408,            3.3302,
Ref 12,2.75181e-08,,,,,,1.1973e-02,4.2067e-03,4.9000e-05,4.6605e-06,9.0447e-08,,,,,,,,,,,
Sam 12,2.69139e-08,1.19307e-02,4.2231e-03,4.8987e-05,4.7021e-06,9.2929e-08,,,,,,           -3.5304,            3.8933,           -0.2157,            8.3765,            8.5287,           -6.7820,           -2.0178,           -0.3954,            0.5703,            4.6192,
Ref 13,2.71569e-08,,,,,,1.1973e-02,4.2067e-03,4.8996e-05,4.6656e-06,9.3862e-08,,,,,,,,,,,
Sam 13,2.65539e-08,1.19307e-02,4.2230e-03,4.8991e-05,4.7023e-06,9.3940e-08,,,,,,           -3.5154,            3.8931,           -0.0726,            8.2722,           17.9499,           -6.7660,           -2.0180,           -0.2677,            0.4671,           13.9879,
Ref 14,2.68014e-08,,,,,,1.1973e-02,4.2066e-03,4.8993e-05,4.6619e-06,9.0684e-08,,,,,,,,,,,
Sam 14,2.62013e-08,1.19304e-02,4.2231e-03,4.8989e-05,4.6965e-06,9.6159e-08,,,,,,           -3.5405,            3.9202,           -0.0053,            7.1772,           29.8784,           -6.7936,           -1.9910,           -0.2011,           -0.6733,           25.8430,
Ref 15,2.64679e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6641e-06,9.6089e-08,,,,,,,,,,,
Sam 15,2.58602e-08,1.19305e-02,4.2230e-03,4.8985e-05,4.7007e-06,1.0362e-07,,,,,,           -3.5337,            3.9137,           -0.1763,            7.8999,           70.0838,           -6.7862,           -1.9974,           -0.3726,            0.0566,           65.8968,
Ref 16,2.61129e-08,,,,,,1.1973e-02,4.2066e-03,4.9003e-05,4.6635e-06,9.7580e-08,,,,,,,,,,,
Sam 16,2.55338e-08,1.19306e-02,4.2229e-03,4.8995e-05,4.7019e-06,1.0044e-07,,,,,,           -3.5220,            3.8779,           -0.1283,            7.8178,           -7.1711,           -6.7725,           -2.0331,           -0.3016,            0.0466,          -10.9987,
Ref 17,2.57818e-08,,,,,,1.1973e-02,4.2066e-03,4.8999e-05,4.6673e-06,1.0479e-07,,,,,,,,,,,
Sam 17,2.51781e-08,1.19305e-02,4.2230e-03,4.8992e-05,4.7012e-06,1.0271e-07,,,,,,           -3.5273,            3.9035,           -0.1195,            7.1805,          -36.5828,           -6.7790,           -2.0076,           -0.3125,           -0.6369,          -40.3399,
Ref 18,2.54427e-08,,,,,,1.1973e-02,4.2065e-03,4.8996e-05,4.6680e-06,1.0845e-07,,,,,,,,,,,
Sam 18,2.48441e-08,1.19304e-02,4.2230e-03,4.8989e-05,4.7063e-06,1.0733e-07,,,,,,           -3.5396,            3.9155,           -0.1378,            7.9888,           15.5946,           -6.7925,           -1.9957,           -0.3297,            0.1414,           11.6237,
Ref 19,2.51118e-08,,,,,,1.1973e-02,4.2065e-03,4.8996e-05,4.6701e-06,1.0287e-07,,,,,,,,,,,
Sam 19,2.45173e-08,1.19305e-02,4.2229e-03,4.8993e-05,4.7075e-06,1.0365e-07,,,,,,           -3.5313,            3.8943,           -0.0439,            7.5135,           -0.1360,           -6.7830,           -2.0168,           -0.2236,           -0.2880,           -4.0128,
Ref 20,2.47906e-08,,,,,,1.1973e-02,4.2065e-03,4.8995e-05,4.6748e-06,1.0447e-07,,,,,,,,,,,
Sam 20,2.41954e-08,1.19304e-02,4.2229e-03,4.8993e-05,4.6986e-06,1.0853e-07,,,,,,           -3.5348,            3.9003,           -0.1176,            5.8233,           45.1603,           -6.7869,           -2.0108,           -0.2997,           -1.9771,           41.0995,
