Nu Stable Isotope Analysis Program
Data Collected on Saturday, July 02, 2022 at 07:13 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, July 02, 2022 at 08:11 with Stable 1.71.5 on PS019

Data File = Data_17494 BDK_A.txt,         Sample Weight = 500,                      Vial Location = 27,                       Initial Sam Beam = 1.3730e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7717e-08,                Max Ref Beam = 1.0636e-07,                

Analysis undertaken at mass 46.02148
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.24313e-08,,,,,,1.1974e-02,4.2071e-03,4.8965e-05,4.6411e-06,5.5399e-08,
Sam 1,5.18742e-08,1.19382e-02,4.2276e-03,4.9032e-05,4.6837e-06,5.6301e-08,,,,,,           -3.0271,            4.8365,            1.2577,            8.8646,           37.5015,           -6.2789,           -1.0802,           -0.3675,           -0.8239,           31.0184,
Ref 2,5.15504e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6439e-06,5.3113e-08,,,,,,,,,,,
Sam 2,5.09965e-08,1.19382e-02,4.2276e-03,4.9029e-05,4.6846e-06,5.4230e-08,,,,,,           -3.0371,            4.8235,            1.1751,            8.9802,           26.6291,           -6.2892,           -1.0931,           -0.4268,           -0.6835,           20.2509,
Ref 3,5.07113e-08,,,,,,1.1975e-02,4.2073e-03,4.8967e-05,4.6418e-06,5.2529e-08,,,,,,,,,,,
Sam 3,5.01588e-08,1.19382e-02,4.2277e-03,4.9032e-05,4.6896e-06,5.3047e-08,,,,,,           -3.0376,            4.8326,            1.2741,           10.1959,          -17.0031,           -6.2900,           -1.0841,           -0.3364,            0.5025,          -23.1271,
Ref 4,4.98955e-08,,,,,,1.1975e-02,4.2073e-03,4.8972e-05,4.6428e-06,5.5423e-08,,,,,,,,,,,
Sam 4,4.93364e-08,1.19381e-02,4.2276e-03,4.9037e-05,4.6860e-06,5.3731e-08,,,,,,           -3.0371,            4.8283,            1.3388,            9.2960,          -14.9779,           -6.2892,           -1.0884,           -0.2681,           -0.3802,          -21.1068,
Ref 5,4.91056e-08,,,,,,1.1974e-02,4.2073e-03,4.8971e-05,4.6430e-06,5.3660e-08,,,,,,,,,,,
Sam 5,4.85449e-08,1.19381e-02,4.2276e-03,4.9034e-05,4.6905e-06,5.7127e-08,,,,,,           -3.0357,            4.8255,            1.2917,           10.1785,           17.3639,           -6.2878,           -1.0912,           -0.3138,            0.4994,           11.0378,
Ref 6,4.83324e-08,,,,,,1.1974e-02,4.2074e-03,4.8969e-05,4.6436e-06,5.8684e-08,,,,,,,,,,,
Sam 6,4.77665e-08,1.19381e-02,4.2276e-03,4.9035e-05,4.6900e-06,5.6583e-08,,,,,,           -3.0270,            4.8310,            1.3585,            9.9774,          -14.3095,           -6.2786,           -1.0857,           -0.2615,            0.2893,          -20.4583,
Ref 7,4.75780e-08,,,,,,1.1974e-02,4.2073e-03,4.8966e-05,4.6438e-06,5.6104e-08,,,,,,,,,,,
Sam 7,4.70055e-08,1.19381e-02,4.2276e-03,4.9031e-05,4.6874e-06,5.8945e-08,,,,,,           -3.0375,            4.8344,            1.2765,            9.3646,           43.3941,           -6.2899,           -1.0823,           -0.3358,           -0.3244,           36.8900,
Ref 8,4.68219e-08,,,,,,1.1974e-02,4.2073e-03,4.8971e-05,4.6441e-06,5.6888e-08,,,,,,,,,,,
Sam 8,4.62492e-08,1.19381e-02,4.2277e-03,4.9038e-05,4.6884e-06,5.9657e-08,,,,,,           -3.0399,            4.8410,            1.3491,            9.4245,           29.9160,           -6.2927,           -1.0758,           -0.2673,           -0.2782,           23.4853,
Ref 9,4.60883e-08,,,,,,1.1974e-02,4.2073e-03,4.8973e-05,4.6451e-06,5.8977e-08,,,,,,,,,,,
Sam 9,4.55317e-08,1.19380e-02,4.2277e-03,4.9031e-05,4.6891e-06,5.7082e-08,,,,,,           -3.0425,            4.8306,            1.2497,            9.3599,          -17.6380,           -6.2951,           -1.0861,           -0.3537,           -0.3215,          -23.7492,
Ref 10,4.53876e-08,,,,,,1.1974e-02,4.2073e-03,4.8966e-05,4.6461e-06,5.7224e-08,,,,,,,,,,,
Sam 10,4.48152e-08,1.19379e-02,4.2277e-03,4.9034e-05,4.6890e-06,5.9100e-08,,,,,,           -3.0376,            4.8348,            1.3532,            9.3777,           42.6349,           -6.2900,           -1.0819,           -0.2595,           -0.3122,           36.1349,
Ref 11,4.46919e-08,,,,,,1.1974e-02,4.2073e-03,4.8970e-05,4.6448e-06,5.6135e-08,,,,,,,,,,,
Sam 11,4.41219e-08,1.19379e-02,4.2276e-03,4.9036e-05,4.6912e-06,6.0386e-08,,,,,,           -3.0371,            4.8351,            1.2960,            9.9905,           42.1702,           -6.2895,           -1.0816,           -0.3175,            0.2940,           35.6718,
Ref 12,4.40112e-08,,,,,,1.1974e-02,4.2073e-03,4.8976e-05,4.6448e-06,5.9778e-08,,,,,,,,,,,
Sam 12,4.34400e-08,1.19378e-02,4.2276e-03,4.9035e-05,4.6897e-06,6.1206e-08,,,,,,           -3.0373,            4.8400,            1.2082,            9.8035,           44.9302,           -6.2899,           -1.0767,           -0.4098,            0.0990,           38.4048,
Ref 13,4.33408e-08,,,,,,1.1974e-02,4.2072e-03,4.8976e-05,4.6435e-06,5.7352e-08,,,,,,,,,,,
Sam 13,4.27712e-08,1.19378e-02,4.2276e-03,4.9038e-05,4.6905e-06,5.9701e-08,,,,,,           -3.0339,            4.8269,            1.2261,           10.0581,           15.4951,           -6.2859,           -1.0898,           -0.3825,            0.3774,            9.1760,
Ref 14,4.26845e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6442e-06,6.0249e-08,,,,,,,,,,,
Sam 14,4.21188e-08,1.19378e-02,4.2276e-03,4.9042e-05,4.6891e-06,6.0961e-08,,,,,,           -3.0345,            4.8292,            1.3597,            9.0845,           -3.2715,           -6.2866,           -1.0875,           -0.2507,           -0.5915,           -9.4778,
Ref 15,4.20463e-08,,,,,,1.1974e-02,4.2073e-03,4.8972e-05,4.6497e-06,6.2086e-08,,,,,,,,,,,
Sam 15,4.14808e-08,1.19376e-02,4.2275e-03,4.9036e-05,4.6911e-06,6.0855e-08,,,,,,           -3.0454,            4.8198,            1.3240,            9.0736,          -23.6832,           -6.2978,           -1.0968,           -0.2660,           -0.5837,          -29.7334,
Ref 16,4.14119e-08,,,,,,1.1974e-02,4.2073e-03,4.8971e-05,4.6481e-06,6.2580e-08,,,,,,,,,,,
Sam 16,4.08516e-08,1.19377e-02,4.2276e-03,4.9032e-05,4.6907e-06,6.0055e-08,,,,,,           -3.0392,            4.8260,            1.2836,            9.0480,          -36.2847,           -6.2915,           -1.0907,           -0.3188,           -0.6213,          -42.2746,
Ref 17,4.07932e-08,,,,,,1.1974e-02,4.2073e-03,4.8968e-05,4.6493e-06,6.2047e-08,,,,,,,,,,,
Sam 17,4.02357e-08,1.19378e-02,4.2276e-03,4.9044e-05,4.6918e-06,6.0698e-08,,,,,,           -3.0297,            4.8196,            1.4264,            9.4943,           14.5633,           -6.2811,           -1.0971,           -0.1797,           -0.1665,            8.2598,
Ref 18,4.01866e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6460e-06,5.7573e-08,,,,,,,,,,,
Sam 18,3.96334e-08,1.19376e-02,4.2276e-03,4.9044e-05,4.6912e-06,6.1260e-08,,,,,,           -3.0402,            4.8378,            1.2655,            9.7372,           44.2978,           -6.2929,           -1.0789,           -0.3474,            0.0379,           37.7841,
Ref 19,3.95952e-08,,,,,,1.1974e-02,4.2072e-03,4.8984e-05,4.6458e-06,5.9766e-08,,,,,,,,,,,
Sam 19,3.90506e-08,1.19375e-02,4.2274e-03,4.9040e-05,4.6906e-06,6.3090e-08,,,,,,           -3.0308,            4.8216,            1.3013,            9.3394,           31.6506,           -6.2824,           -1.0950,           -0.3054,           -0.3240,           25.2380,
Ref 20,3.90132e-08,,,,,,1.1974e-02,4.2071e-03,4.8969e-05,4.6485e-06,6.2564e-08,,,,,,,,,,,
Sam 20,3.84581e-08,1.19372e-02,4.2274e-03,4.9038e-05,4.6935e-06,6.5052e-08,,,,,,           -3.0475,            4.8191,            1.2974,            9.6923,           15.3711,           -6.3000,           -1.0975,           -0.2897,            0.0306,            9.0827,
Ref 21,3.84405e-08,,,,,,1.1974e-02,4.2071e-03,4.8979e-05,4.6483e-06,6.5594e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.81585e-08,,,,,,1.1974e-02,4.2071e-03,4.8970e-05,4.6470e-06,6.1692e-08,
Sam 1,3.76006e-08,1.19373e-02,4.2273e-03,4.9044e-05,4.6915e-06,6.0910e-08,,,,,,           -3.0298,            4.8168,            1.4678,            9.4683,           -8.8766,           -6.2811,           -1.0998,           -0.1357,           -0.1868,          -15.0291,
Ref 2,3.76639e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6480e-06,6.1216e-08,,,,,,,,,,,
Sam 2,3.70729e-08,1.19373e-02,4.2273e-03,4.9045e-05,4.6939e-06,6.2385e-08,,,,,,           -3.0314,            4.8099,            1.5422,            9.7952,          -38.5094,           -6.2826,           -1.1067,           -0.0529,            0.1507,          -44.4634,
Ref 3,3.70630e-08,,,,,,1.1974e-02,4.2071e-03,4.8967e-05,4.6488e-06,6.8611e-08,,,,,,,,,,,
Sam 3,3.64956e-08,1.19372e-02,4.2274e-03,4.9037e-05,4.6943e-06,6.8805e-08,,,,,,           -3.0423,            4.8274,            1.3371,            9.7865,           -5.0666,           -6.2948,           -1.0893,           -0.2635,            0.1074,          -11.2499,
Ref 4,3.65152e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6488e-06,6.9708e-08,,,,,,,,,,,
Sam 4,3.59557e-08,1.19373e-02,4.2274e-03,4.9042e-05,4.6954e-06,6.8834e-08,,,,,,           -3.0322,            4.8315,            1.3219,           10.1993,          -25.6316,           -6.2842,           -1.0852,           -0.2932,            0.5080,          -31.7054,
Ref 5,3.59905e-08,,,,,,1.1974e-02,4.2071e-03,4.8978e-05,4.6471e-06,7.1594e-08,,,,,,,,,,,
Sam 5,3.54308e-08,1.19371e-02,4.2273e-03,4.9044e-05,4.6983e-06,7.4108e-08,,,,,,           -3.0475,            4.8042,            1.3434,           10.7040,           45.2646,           -6.2995,           -1.1123,           -0.2292,            1.0621,           38.8212,
Ref 6,3.54834e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6501e-06,7.0193e-08,,,,,,,,,,,
Sam 6,3.49187e-08,1.19372e-02,4.2273e-03,4.9039e-05,4.6940e-06,6.9741e-08,,,,,,           -3.0389,            4.8076,            1.2786,            9.6257,          -23.6668,           -6.2905,           -1.1089,           -0.3061,           -0.0127,          -29.7006,
Ref 7,3.49693e-08,,,,,,1.1973e-02,4.2071e-03,4.8975e-05,4.6484e-06,7.2688e-08,,,,,,,,,,,
Sam 7,3.44184e-08,1.19372e-02,4.2274e-03,4.9041e-05,4.6970e-06,7.3015e-08,,,,,,           -3.0406,            4.8371,            1.2857,           10.4149,            6.7151,           -6.2933,           -1.0796,           -0.3261,            0.7105,            0.4378,
Ref 8,3.44777e-08,,,,,,1.1974e-02,4.2070e-03,4.8981e-05,4.6489e-06,7.2365e-08,,,,,,,,,,,
Sam 8,3.39216e-08,1.19371e-02,4.2273e-03,4.9040e-05,4.6931e-06,6.8386e-08,,,,,,           -3.0451,            4.8418,            1.2073,            9.3875,          -27.6945,           -6.2983,           -1.0749,           -0.4044,           -0.3165,          -33.7616,
Ref 9,3.39884e-08,,,,,,1.1973e-02,4.2069e-03,4.8981e-05,4.6500e-06,6.8272e-08,,,,,,,,,,,
Sam 9,3.34348e-08,1.19369e-02,4.2272e-03,4.9044e-05,4.6970e-06,6.9376e-08,,,,,,           -3.0334,            4.8124,            1.2234,            9.8851,            9.7297,           -6.2848,           -1.1042,           -0.3716,            0.2347,            3.4743,
Ref 10,3.35109e-08,,,,,,1.1973e-02,4.2069e-03,4.8988e-05,4.6521e-06,6.9149e-08,,,,,,,,,,,
Sam 10,3.29564e-08,1.19368e-02,4.2272e-03,4.9045e-05,4.6960e-06,7.0459e-08,,,,,,           -3.0355,            4.8212,            1.2701,            9.7977,           -6.3647,           -6.2874,           -1.0954,           -0.3314,            0.1307,          -12.5352,
Ref 11,3.30517e-08,,,,,,1.1973e-02,4.2069e-03,4.8978e-05,4.6487e-06,7.2696e-08,,,,,,,,,,,
Sam 11,3.24934e-08,1.19368e-02,4.2272e-03,4.9046e-05,4.6943e-06,7.3246e-08,,,,,,           -3.0373,            4.8281,            1.3411,            9.3712,          -14.8792,           -6.2895,           -1.0886,           -0.2654,           -0.3054,          -21.0081,
Ref 12,3.25963e-08,,,,,,1.1973e-02,4.2069e-03,4.8983e-05,4.6528e-06,7.6032e-08,,,,,,,,,,,
Sam 12,3.20316e-08,1.19367e-02,4.2272e-03,4.9047e-05,4.6937e-06,7.2689e-08,,,,,,           -3.0417,            4.8233,            1.3088,            8.7580,          -40.1423,           -6.2941,           -1.0933,           -0.2884,           -0.9033,          -46.1007,
Ref 13,3.21278e-08,,,,,,1.1973e-02,4.2069e-03,4.8983e-05,4.6532e-06,7.5421e-08,,,,,,,,,,,
Sam 13,3.15800e-08,1.19368e-02,4.2272e-03,4.9043e-05,4.6962e-06,7.7159e-08,,,,,,           -3.0280,            4.8340,            1.2769,            9.4169,          -10.4605,           -6.2798,           -1.0827,           -0.3448,           -0.2719,          -16.6381,
Ref 14,3.16878e-08,,,,,,1.1973e-02,4.2068e-03,4.8979e-05,4.6515e-06,8.0565e-08,,,,,,,,,,,
Sam 14,3.11393e-08,1.19366e-02,4.2271e-03,4.9033e-05,4.6997e-06,7.8246e-08,,,,,,           -3.0546,            4.8302,            1.1513,            9.9694,          -28.3683,           -6.3080,           -1.0865,           -0.4390,            0.2829,          -34.3994,
Ref 15,3.12533e-08,,,,,,1.1973e-02,4.2068e-03,4.8975e-05,4.6552e-06,8.0495e-08,,,,,,,,,,,
Sam 15,3.07025e-08,1.19367e-02,4.2271e-03,4.9052e-05,4.6960e-06,7.8357e-08,,,,,,           -3.0470,            4.8340,            1.4415,            8.9123,          -22.9591,           -6.3000,           -1.0827,           -0.1609,           -0.7716,          -29.0389,
Ref 16,3.08244e-08,,,,,,1.1973e-02,4.2068e-03,4.8988e-05,4.6539e-06,7.9898e-08,,,,,,,,,,,
Sam 16,3.02714e-08,1.19365e-02,4.2270e-03,4.9038e-05,4.6973e-06,8.0430e-08,,,,,,           -3.0419,            4.8133,            1.0892,            9.2349,           26.7920,           -6.2939,           -1.1033,           -0.4976,           -0.4109,           20.4383,
Ref 17,3.04044e-08,,,,,,1.1973e-02,4.2067e-03,4.8982e-05,4.6547e-06,7.6744e-08,,,,,,,,,,,
Sam 17,2.98504e-08,1.19365e-02,4.2270e-03,4.9038e-05,4.6998e-06,8.1954e-08,,,,,,           -3.0312,            4.8220,            1.1758,            9.8662,           48.4288,           -6.2827,           -1.0947,           -0.4308,            0.1971,           41.9116,
Ref 18,3.00191e-08,,,,,,1.1973e-02,4.2067e-03,4.8979e-05,4.6531e-06,7.9611e-08,,,,,,,,,,,
Sam 18,2.94430e-08,1.19364e-02,4.2270e-03,4.9039e-05,4.6956e-06,7.9250e-08,,,,,,           -3.0356,            4.8329,            1.0986,            9.1392,            8.4310,           -6.2879,           -1.0838,           -0.5139,           -0.5447,            2.1458,
Ref 19,2.96455e-08,,,,,,1.1973e-02,4.2066e-03,4.8992e-05,4.6531e-06,7.7550e-08,,,,,,,,,,,
Sam 19,2.90790e-08,1.19364e-02,4.2270e-03,4.9046e-05,4.6979e-06,7.8132e-08,,,,,,           -3.0335,            4.8391,            1.1883,            9.1461,           -3.9820,           -6.2858,           -1.0776,           -0.4327,           -0.5503,          -10.2042,
Ref 20,2.92269e-08,,,,,,1.1973e-02,4.2066e-03,4.8984e-05,4.6576e-06,7.9352e-08,,,,,,,,,,,
Sam 20,2.86596e-08,1.19362e-02,4.2269e-03,4.9042e-05,4.7051e-06,8.2033e-08,,,,,,           -3.0425,            4.8444,            1.2431,           10.4988,           -0.3069,           -6.2956,           -1.0723,           -0.3738,            0.7789,           -6.5527,
Ref 21,2.88201e-08,,,,,,1.1973e-02,4.2065e-03,4.8979e-05,4.6548e-06,8.4803e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.86290e-08,,,,,,1.1973e-02,4.2066e-03,4.8981e-05,4.6597e-06,8.0647e-08,
Sam 1,2.80673e-08,1.19363e-02,4.2269e-03,4.9043e-05,4.7018e-06,7.8005e-08,,,,,,           -3.0389,            4.8288,            1.2123,            9.4488,          -21.9154,           -6.2912,           -1.0879,           -0.3929,           -0.2298,          -28.0002,
Ref 2,2.82372e-08,,,,,,1.1973e-02,4.2066e-03,4.8985e-05,4.6559e-06,7.8847e-08,,,,,,,,,,,
Sam 2,2.77027e-08,1.19362e-02,4.2269e-03,4.9041e-05,4.7025e-06,8.2259e-08,,,,,,           -3.0434,            4.8255,            1.1793,            9.9886,           15.0320,           -6.2959,           -1.0912,           -0.4181,            0.3113,            8.7286,
Ref 3,2.78796e-08,,,,,,1.1973e-02,4.2066e-03,4.8982e-05,4.6562e-06,8.3264e-08,,,,,,,,,,,
Sam 3,2.73176e-08,1.19362e-02,4.2269e-03,4.9045e-05,4.7046e-06,8.3222e-08,,,,,,           -3.0359,            4.8212,            1.3213,           10.2673,            7.2316,           -6.2878,           -1.0954,           -0.2798,            0.5958,            0.9771,
Ref 4,2.74970e-08,,,,,,1.1972e-02,4.2066e-03,4.8979e-05,4.6574e-06,8.1977e-08,,,,,,,,,,,
Sam 4,2.69431e-08,1.19360e-02,4.2269e-03,4.9049e-05,4.7001e-06,8.4114e-08,,,,,,           -3.0409,            4.8392,            1.3483,            9.3557,           21.9100,           -6.2937,           -1.0775,           -0.2654,           -0.3429,           15.5339,
Ref 5,2.71483e-08,,,,,,1.1972e-02,4.2065e-03,4.8987e-05,4.6556e-06,8.2648e-08,,,,,,,,,,,
Sam 5,2.65947e-08,1.19361e-02,4.2268e-03,4.9045e-05,4.6982e-06,8.5727e-08,,,,,,           -3.0319,            4.8322,            1.1867,            8.9987,           24.4303,           -6.2839,           -1.0845,           -0.4291,           -0.6825,           18.0426,
Ref 6,2.67933e-08,,,,,,1.1972e-02,4.2065e-03,4.8985e-05,4.6571e-06,8.4731e-08,,,,,,,,,,,
Sam 6,2.62371e-08,1.19360e-02,4.2267e-03,4.9049e-05,4.7055e-06,8.6548e-08,,,,,,           -3.0394,            4.8165,            1.3090,           10.0004,           17.7374,           -6.2914,           -1.1001,           -0.2839,            0.3408,           11.4308,
Ref 7,2.64392e-08,,,,,,1.1972e-02,4.2064e-03,4.8984e-05,4.6608e-06,8.5352e-08,,,,,,,,,,,
Sam 7,2.58854e-08,1.19360e-02,4.2267e-03,4.9052e-05,4.7000e-06,8.7468e-08,,,,,,           -3.0354,            4.8306,            1.3600,            8.6802,           22.9383,           -6.2876,           -1.0861,           -0.2509,           -0.9947,           16.5670,
Ref 8,2.60966e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6584e-06,8.5664e-08,,,,,,,,,,,
Sam 8,2.55421e-08,1.19358e-02,4.2267e-03,4.9054e-05,4.7064e-06,8.6851e-08,,,,,,           -3.0405,            4.8203,            1.4094,           10.6739,          -18.0085,           -6.2927,           -1.0964,           -0.1862,            1.0004,          -24.0996,
Ref 9,2.57519e-08,,,,,,1.1972e-02,4.2065e-03,4.8984e-05,4.6550e-06,9.1261e-08,,,,,,,,,,,
Sam 9,2.51951e-08,1.19358e-02,4.2265e-03,4.9052e-05,4.7038e-06,9.1546e-08,,,,,,           -3.0341,            4.7873,            1.3959,           10.3862,           -6.0524,           -6.2847,           -1.1292,           -0.1741,            0.7811,          -12.1608,
Ref 10,2.54263e-08,,,,,,1.1972e-02,4.2063e-03,4.8982e-05,4.6559e-06,9.2957e-08,,,,,,,,,,,
Sam 10,2.48728e-08,1.19357e-02,4.2266e-03,4.9049e-05,4.7043e-06,1.0141e-07,,,,,,           -3.0479,            4.8249,            1.2724,            9.5728,           53.5122,           -6.3007,           -1.0917,           -0.3198,           -0.0995,           46.9761,
Ref 11,2.50920e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6635e-06,9.9605e-08,,,,,,,,,,,
Sam 11,2.45405e-08,1.19358e-02,4.2266e-03,4.9049e-05,4.7059e-06,9.5110e-08,,,,,,           -3.0273,            4.8298,            1.2500,            9.0382,          -29.0482,           -6.2789,           -1.0869,           -0.3684,           -0.6386,          -35.1026,
Ref 12,2.47612e-08,,,,,,1.1972e-02,4.2063e-03,4.8984e-05,4.6640e-06,9.6285e-08,,,,,,,,,,,
Sam 12,2.42156e-08,1.19357e-02,4.2266e-03,4.9048e-05,4.7047e-06,9.9791e-08,,,,,,           -3.0287,            4.8435,            1.2078,            8.7725,           15.0158,           -6.2809,           -1.0733,           -0.4225,           -0.9290,            8.6611,
Ref 13,2.44791e-08,,,,,,1.1972e-02,4.2062e-03,4.8994e-05,4.6635e-06,1.0037e-07,,,,,,,,,,,
Sam 13,2.39271e-08,1.19356e-02,4.2265e-03,4.9043e-05,4.7017e-06,1.0036e-07,,,,,,           -3.0418,            4.8087,            1.0206,            8.0547,           12.2950,           -6.2936,           -1.1078,           -0.5619,           -1.5708,            6.0398,
Ref 14,2.41547e-08,,,,,,1.1972e-02,4.2063e-03,4.8991e-05,4.6647e-06,9.7895e-08,,,,,,,,,,,
Sam 14,2.36020e-08,1.19357e-02,4.2266e-03,4.9052e-05,4.7127e-06,1.0452e-07,,,,,,           -3.0334,            4.8335,            1.3384,           10.2039,           56.8923,           -6.2856,           -1.0832,           -0.2774,            0.5086,           50.3014,
Ref 15,2.38382e-08,,,,,,1.1972e-02,4.2063e-03,4.8981e-05,4.6656e-06,9.9908e-08,,,,,,,,,,,
Sam 15,2.32909e-08,1.19357e-02,4.2266e-03,4.9056e-05,4.7058e-06,1.0389e-07,,,,,,           -3.0318,            4.8093,            1.4807,            8.8436,           26.8674,           -6.2830,           -1.1073,           -0.1133,           -0.7905,           20.5103,
Ref 16,2.35356e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6635e-06,1.0245e-07,,,,,,,,,,,
Sam 16,2.29937e-08,1.19356e-02,4.2266e-03,4.9050e-05,4.7118e-06,1.0769e-07,,,,,,           -3.0314,            4.8165,            1.2529,           10.2485,           18.9396,           -6.2828,           -1.1001,           -0.3483,            0.5866,           12.6168,
Ref 17,2.32366e-08,,,,,,1.1972e-02,4.2063e-03,4.8991e-05,4.6646e-06,1.0897e-07,,,,,,,,,,,
Sam 17,2.26975e-08,1.19355e-02,4.2265e-03,4.9065e-05,4.7080e-06,1.0651e-07,,,,,,           -3.0321,            4.8019,            1.4855,            9.2091,            4.5494,           -6.2830,           -1.1147,           -0.1009,           -0.4137,           -1.6547,
Ref 18,2.29501e-08,,,,,,1.1972e-02,4.2063e-03,4.8993e-05,4.6654e-06,1.0306e-07,,,,,,,,,,,
Sam 18,2.24085e-08,1.19353e-02,4.2265e-03,4.9056e-05,4.7133e-06,1.0864e-07,,,,,,           -3.0423,            4.8300,            1.2688,           10.1224,           39.1040,           -6.2949,           -1.0867,           -0.3342,            0.4349,           32.6409,
Ref 19,2.26616e-08,,,,,,1.1972e-02,4.2062e-03,4.8996e-05,4.6667e-06,1.0606e-07,,,,,,,,,,,
Sam 19,2.21208e-08,1.19353e-02,4.2265e-03,4.9055e-05,4.7091e-06,1.1314e-07,,,,,,           -3.0342,            4.8170,            1.1785,            8.2971,           62.4713,           -6.2858,           -1.0996,           -0.4201,           -1.3472,           55.8805,
Ref 20,2.24044e-08,,,,,,1.1972e-02,4.2062e-03,4.8999e-05,4.6740e-06,1.0692e-07,,,,,,,,,,,
Sam 20,2.18544e-08,1.19355e-02,4.2265e-03,4.9054e-05,4.7154e-06,1.0912e-07,,,,,,           -3.0337,            4.8335,            1.1648,            9.6387,           36.0635,           -6.2859,           -1.0832,           -0.4505,           -0.0512,           29.6027,
Ref 21,2.21116e-08,,,,,,1.1972e-02,4.2062e-03,4.8994e-05,4.6668e-06,1.0370e-07,,,,,,,,,,,


