Nu Stable Isotope Analysis Program
Data Collected on Saturday, July 02, 2022 at 09:58 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, July 02, 2022 at 10:57 with Stable 1.71.5 on PS019

Data File = Data_17496 ETH-3.txt,         Sample Weight = 476,                      Vial Location = 29,                       Initial Sam Beam = 1.2307e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6477e-08,                Max Ref Beam = 1.0594e-07,                

Analysis undertaken at mass 46.02395
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.70137e-08,,,,,,1.1974e-02,4.2072e-03,4.8975e-05,4.6427e-06,5.5622e-08,
Sam 1,4.65497e-08,1.20282e-02,4.2570e-03,4.9764e-05,4.7547e-06,5.7378e-08,,,,,,            4.4864,           11.8201,           16.0533,           23.7839,           38.2849,            1.4763,            5.8531,           -0.2520,            0.0038,            9.7416,
Ref 2,4.62363e-08,,,,,,1.1975e-02,4.2074e-03,4.8980e-05,4.6457e-06,5.4898e-08,,,,,,,,,,,
Sam 2,4.57851e-08,1.20282e-02,4.2571e-03,4.9764e-05,4.7571e-06,5.5743e-08,,,,,,            4.4852,           11.8131,           16.0351,           23.6630,           -1.7871,            1.4752,            5.8462,           -0.2618,           -0.1003,          -29.2143,
Ref 3,4.55002e-08,,,,,,1.1975e-02,4.2074e-03,4.8977e-05,4.6487e-06,5.6804e-08,,,,,,,,,,,
Sam 3,4.50477e-08,1.20280e-02,4.2571e-03,4.9761e-05,4.7558e-06,5.7557e-08,,,,,,            4.4740,           11.8093,           16.0350,           23.3052,           -5.1028,            1.4634,            5.8424,           -0.2467,           -0.4422,          -32.4202,
Ref 4,4.47970e-08,,,,,,1.1974e-02,4.2074e-03,4.8975e-05,4.6463e-06,5.8917e-08,,,,,,,,,,,
Sam 4,4.43386e-08,1.20282e-02,4.2571e-03,4.9763e-05,4.7555e-06,6.0409e-08,,,,,,            4.4840,           11.8261,           16.0932,           23.5299,           34.9475,            1.4735,            5.8591,           -0.2161,           -0.2561,            6.4868,
Ref 5,4.41057e-08,,,,,,1.1975e-02,4.2074e-03,4.8976e-05,4.6461e-06,5.7813e-08,,,,,,,,,,,
Sam 5,4.36501e-08,1.20280e-02,4.2571e-03,4.9763e-05,4.7578e-06,5.8642e-08,,,,,,            4.4699,           11.8188,           16.1137,           24.0194,           10.7474,            1.4587,            5.8518,           -0.1743,            0.2366,          -17.0190,
Ref 6,4.34425e-08,,,,,,1.1974e-02,4.2074e-03,4.8972e-05,4.6464e-06,5.8226e-08,,,,,,,,,,,
Sam 6,4.29790e-08,1.20280e-02,4.2571e-03,4.9757e-05,4.7582e-06,6.1476e-08,,,,,,            4.4851,           11.8328,           15.9121,           24.1629,           38.0850,            1.4744,            5.8658,           -0.4018,            0.3490,            9.5238,
Ref 7,4.27877e-08,,,,,,1.1974e-02,4.2073e-03,4.8982e-05,4.6454e-06,6.0229e-08,,,,,,,,,,,
Sam 7,4.23166e-08,1.20279e-02,4.2570e-03,4.9760e-05,4.7566e-06,5.9653e-08,,,,,,            4.4829,           11.8229,           15.8654,           23.8184,            0.9736,            1.4724,            5.8559,           -0.4360,            0.0321,          -26.5455,
Ref 8,4.21439e-08,,,,,,1.1974e-02,4.2073e-03,4.8983e-05,4.6465e-06,5.8951e-08,,,,,,,,,,,
Sam 8,4.16701e-08,1.20278e-02,4.2570e-03,4.9758e-05,4.7563e-06,6.2501e-08,,,,,,            4.4776,           11.8178,           15.8512,           23.5827,           64.1203,            1.4669,            5.8509,           -0.4396,           -0.1882,           34.8810,
Ref 9,4.15108e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6470e-06,5.8515e-08,,,,,,,,,,,
Sam 9,4.10354e-08,1.20278e-02,4.2570e-03,4.9758e-05,4.7536e-06,6.0496e-08,,,,,,            4.4875,           11.8185,           15.9660,           22.9676,           -3.2899,            1.4774,            5.8516,           -0.3374,           -0.7903,          -30.6884,
Ref 10,4.08912e-08,,,,,,1.1974e-02,4.2073e-03,4.8973e-05,4.6467e-06,6.2909e-08,,,,,,,,,,,
Sam 10,4.04131e-08,1.20278e-02,4.2570e-03,4.9762e-05,4.7523e-06,6.3357e-08,,,,,,            4.4839,           11.8168,           16.1475,           23.0367,           21.5234,            1.4737,            5.8499,           -0.1535,           -0.7195,           -6.5501,
Ref 11,4.02794e-08,,,,,,1.1974e-02,4.2073e-03,4.8971e-05,4.6439e-06,6.1121e-08,,,,,,,,,,,
Sam 11,3.98063e-08,1.20277e-02,4.2570e-03,4.9764e-05,4.7569e-06,6.1115e-08,,,,,,            4.4794,           11.8266,           16.1434,           24.0229,            2.2495,            1.4686,            5.8596,           -0.1624,            0.2245,          -25.3082,
Ref 12,3.96853e-08,,,,,,1.1974e-02,4.2072e-03,4.8976e-05,4.6468e-06,6.0833e-08,,,,,,,,,,,
Sam 12,3.91960e-08,1.20276e-02,4.2569e-03,4.9763e-05,4.7575e-06,6.1218e-08,,,,,,            4.4769,           11.8112,           16.0766,           23.7823,           12.8405,            1.4664,            5.8443,           -0.2106,            0.0199,          -14.9763,
Ref 13,3.90980e-08,,,,,,1.1974e-02,4.2072e-03,4.8976e-05,4.6472e-06,6.0045e-08,,,,,,,,,,,
Sam 13,3.86257e-08,1.20276e-02,4.2569e-03,4.9760e-05,4.7579e-06,6.1349e-08,,,,,,            4.4792,           11.8222,           15.9979,           24.0132,           25.1454,            1.4685,            5.8552,           -0.3011,            0.2237,           -3.0331,
Ref 14,3.85274e-08,,,,,,1.1974e-02,4.2072e-03,4.8976e-05,4.6455e-06,5.9640e-08,,,,,,,,,,,
Sam 14,3.80349e-08,1.20274e-02,4.2568e-03,4.9760e-05,4.7577e-06,6.1155e-08,,,,,,            4.4722,           11.8085,           15.9700,           23.8105,           27.3550,            1.4615,            5.8417,           -0.3081,            0.0528,           -0.8502,
Ref 15,3.79651e-08,,,,,,1.1974e-02,4.2071e-03,4.8980e-05,4.6487e-06,5.9411e-08,,,,,,,,,,,
Sam 15,3.74824e-08,1.20275e-02,4.2569e-03,4.9761e-05,4.7585e-06,6.2428e-08,,,,,,            4.4804,           11.8187,           16.0180,           24.0163,           35.3635,            1.4699,            5.8517,           -0.2792,            0.2337,            6.9097,
Ref 16,3.74175e-08,,,,,,1.1974e-02,4.2072e-03,4.8974e-05,4.6451e-06,6.1194e-08,,,,,,,,,,,
Sam 16,3.69408e-08,1.20273e-02,4.2568e-03,4.9758e-05,4.7557e-06,6.0144e-08,,,,,,            4.4679,           11.7947,           15.9749,           23.5747,           -4.7740,            1.4574,            5.8279,           -0.2854,           -0.1501,          -32.0667,
Ref 17,3.68659e-08,,,,,,1.1974e-02,4.2071e-03,4.8978e-05,4.6473e-06,5.9660e-08,,,,,,,,,,,
Sam 17,3.63888e-08,1.20273e-02,4.2568e-03,4.9756e-05,4.7558e-06,6.5041e-08,,,,,,            4.4731,           11.8203,           15.8982,           23.4353,           82.8692,            1.4621,            5.8534,           -0.3912,           -0.3370,           53.1147,
Ref 18,3.63400e-08,,,,,,1.1974e-02,4.2071e-03,4.8976e-05,4.6465e-06,6.0474e-08,,,,,,,,,,,
Sam 18,3.58693e-08,1.20274e-02,4.2569e-03,4.9759e-05,4.7586e-06,6.2324e-08,,,,,,            4.4848,           11.8349,           16.0500,           23.9414,           20.9981,            1.4740,            5.8679,           -0.2679,            0.1285,           -7.0968,
Ref 19,3.58241e-08,,,,,,1.1974e-02,4.2071e-03,4.8971e-05,4.6482e-06,6.1620e-08,,,,,,,,,,,
Sam 19,3.53490e-08,1.20272e-02,4.2568e-03,4.9756e-05,4.7607e-06,6.4036e-08,,,,,,            4.4741,           11.8167,           16.0205,           23.9733,           42.8849,            1.4632,            5.8498,           -0.2683,            0.1956,           14.2352,
Ref 20,3.53141e-08,,,,,,1.1974e-02,4.2070e-03,4.8973e-05,4.6504e-06,6.1183e-08,,,,,,,,,,,
Sam 20,3.48402e-08,1.20272e-02,4.2568e-03,4.9758e-05,4.7590e-06,6.4037e-08,,,,,,            4.4815,           11.8288,           15.9965,           23.3072,           35.5364,            1.4707,            5.8619,           -0.3113,           -0.4790,            7.0568,
Ref 21,3.48126e-08,,,,,,1.1973e-02,4.2070e-03,4.8977e-05,4.6508e-06,6.2506e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.45355e-08,,,,,,1.1973e-02,4.2069e-03,4.8978e-05,4.6472e-06,6.3059e-08,
Sam 1,3.41007e-08,1.20271e-02,4.2567e-03,4.9761e-05,4.7584e-06,7.0591e-08,,,,,,            4.4823,           11.8379,           15.9085,           23.4212,           99.4317,            1.4713,            5.8708,           -0.4076,           -0.3855,           69.1752,
Ref 2,3.40726e-08,,,,,,1.1974e-02,4.2069e-03,4.8984e-05,4.6518e-06,6.5370e-08,,,,,,,,,,,
Sam 2,3.35950e-08,1.20270e-02,4.2567e-03,4.9762e-05,4.7602e-06,6.5431e-08,,,,,,            4.4764,           11.8329,           15.9796,           23.3931,            9.1113,            1.4652,            5.8659,           -0.3267,           -0.4031,          -18.6440,
Ref 3,3.35805e-08,,,,,,1.1973e-02,4.2070e-03,4.8975e-05,4.6510e-06,6.4304e-08,,,,,,,,,,,
Sam 3,3.31109e-08,1.20270e-02,4.2567e-03,4.9762e-05,4.7591e-06,6.3693e-08,,,,,,            4.4765,           11.8151,           16.1047,           23.5148,          -30.9530,            1.4659,            5.8482,           -0.1864,           -0.2491,          -57.5738,
Ref 4,3.31297e-08,,,,,,1.1973e-02,4.2070e-03,4.8972e-05,4.6485e-06,6.7171e-08,,,,,,,,,,,
Sam 4,3.26488e-08,1.20271e-02,4.2566e-03,4.9760e-05,4.7596e-06,6.6665e-08,,,,,,            4.4820,           11.8082,           15.9612,           23.9738,           22.6754,            1.4719,            5.8413,           -0.3264,            0.2131,           -5.4110,
Ref 5,3.26610e-08,,,,,,1.1973e-02,4.2070e-03,4.8983e-05,4.6479e-06,6.3174e-08,,,,,,,,,,,
Sam 5,3.21800e-08,1.20270e-02,4.2566e-03,4.9764e-05,4.7602e-06,6.3841e-08,,,,,,            4.4858,           11.8114,           15.9822,           23.9584,           -4.2352,            1.4758,            5.8444,           -0.3127,            0.1917,          -31.5924,
Ref 6,3.22074e-08,,,,,,1.1973e-02,4.2069e-03,4.8978e-05,4.6498e-06,6.5063e-08,,,,,,,,,,,
Sam 6,3.17228e-08,1.20268e-02,4.2567e-03,4.9761e-05,4.7614e-06,6.7489e-08,,,,,,            4.4747,           11.8334,           16.0501,           24.1761,           25.2656,            1.4633,            5.8664,           -0.2561,            0.3607,           -2.9332,
Ref 7,3.17601e-08,,,,,,1.1973e-02,4.2069e-03,4.8972e-05,4.6482e-06,6.6599e-08,,,,,,,,,,,
Sam 7,3.12775e-08,1.20270e-02,4.2566e-03,4.9758e-05,4.7607e-06,6.9302e-08,,,,,,            4.4963,           11.8202,           15.9458,           24.0673,           38.4824,            1.4868,            5.8532,           -0.3680,            0.2805,            9.9230,
Ref 8,3.13480e-08,,,,,,1.1973e-02,4.2068e-03,4.8981e-05,4.6494e-06,6.6870e-08,,,,,,,,,,,
Sam 8,3.08582e-08,1.20266e-02,4.2565e-03,4.9763e-05,4.7581e-06,6.9484e-08,,,,,,            4.4751,           11.8110,           16.0351,           23.5243,           34.8299,            1.4645,            5.8441,           -0.2494,           -0.2317,            6.4116,
Ref 9,3.09068e-08,,,,,,1.1973e-02,4.2068e-03,4.8974e-05,4.6480e-06,6.7425e-08,,,,,,,,,,,
Sam 9,3.04235e-08,1.20265e-02,4.2565e-03,4.9757e-05,4.7602e-06,6.8508e-08,,,,,,            4.4699,           11.8251,           15.9012,           23.6079,            6.2322,            1.4585,            5.8581,           -0.3895,           -0.1778,          -21.4223,
Ref 10,3.04797e-08,,,,,,1.1973e-02,4.2068e-03,4.8982e-05,4.6529e-06,6.8751e-08,,,,,,,,,,,
Sam 10,3.00048e-08,1.20266e-02,4.2564e-03,4.9763e-05,4.7570e-06,7.4685e-08,,,,,,            4.4734,           11.8045,           15.9758,           22.8323,           48.7390,            1.4629,            5.8377,           -0.2998,           -0.8949,           19.9533,
Ref 11,3.00618e-08,,,,,,1.1973e-02,4.2068e-03,4.8978e-05,4.6487e-06,7.3710e-08,,,,,,,,,,,
Sam 11,2.95803e-08,1.20266e-02,4.2565e-03,4.9758e-05,4.7624e-06,7.2928e-08,,,,,,            4.4711,           11.8209,           15.9508,           24.2425,           16.5625,            1.4600,            5.8540,           -0.3380,            0.4503,          -11.3691,
Ref 12,2.96498e-08,,,,,,1.1973e-02,4.2068e-03,4.8976e-05,4.6507e-06,6.9741e-08,,,,,,,,,,,
Sam 12,2.91700e-08,1.20266e-02,4.2565e-03,4.9762e-05,4.7586e-06,7.2457e-08,,,,,,            4.4846,           11.8208,           15.9705,           23.2169,           31.3056,            1.4743,            5.8539,           -0.3323,           -0.5514,            2.9548,
Ref 13,2.92492e-08,,,,,,1.1973e-02,4.2068e-03,4.8982e-05,4.6506e-06,7.0782e-08,,,,,,,,,,,
Sam 13,2.87646e-08,1.20264e-02,4.2563e-03,4.9758e-05,4.7532e-06,7.3833e-08,,,,,,            4.4806,           11.7918,           15.9433,           21.9758,           35.0645,            1.4711,            5.8250,           -0.3268,           -1.7063,            6.6713,
Ref 14,2.88808e-08,,,,,,1.1973e-02,4.2067e-03,4.8971e-05,4.6513e-06,7.1889e-08,,,,,,,,,,,
Sam 14,2.83882e-08,1.20266e-02,4.2564e-03,4.9760e-05,4.7592e-06,6.7417e-08,,,,,,            4.4894,           11.8259,           16.0729,           23.5118,          -55.7044,            1.4792,            5.8589,           -0.2414,           -0.2733,          -81.6771,
Ref 15,2.84822e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6485e-06,7.0892e-08,,,,,,,,,,,
Sam 15,2.79953e-08,1.20264e-02,4.2563e-03,4.9758e-05,4.7620e-06,6.9200e-08,,,,,,            4.4760,           11.7958,           15.8744,           24.0545,          -31.8442,            1.4659,            5.8290,           -0.3936,            0.3162,          -58.4046,
Ref 16,2.80970e-08,,,,,,1.1973e-02,4.2066e-03,4.8986e-05,4.6519e-06,7.2068e-08,,,,,,,,,,,
Sam 16,2.76118e-08,1.20264e-02,4.2563e-03,4.9764e-05,4.7635e-06,6.7202e-08,,,,,,            4.4920,           11.7998,           15.9858,           24.2407,          -45.0114,            1.4829,            5.8329,           -0.3043,            0.4903,          -71.2335,
Ref 17,2.77232e-08,,,,,,1.1973e-02,4.2067e-03,4.8976e-05,4.6496e-06,6.8647e-08,,,,,,,,,,,
Sam 17,2.72373e-08,1.20263e-02,4.2563e-03,4.9764e-05,4.7614e-06,6.7049e-08,,,,,,            4.4890,           11.7954,           16.0573,           23.8402,          -49.4029,            1.4799,            5.8286,           -0.2267,            0.1077,          -75.4937,
Ref 18,2.73660e-08,,,,,,1.1973e-02,4.2066e-03,4.8978e-05,4.6514e-06,7.2444e-08,,,,,,,,,,,
Sam 18,2.68693e-08,1.20260e-02,4.2563e-03,4.9762e-05,4.7690e-06,6.7042e-08,,,,,,            4.4650,           11.8200,           16.0301,           25.4845,          -56.2964,            1.4535,            5.8531,           -0.2527,            1.6653,          -82.2185,
Ref 19,2.69945e-08,,,,,,1.1973e-02,4.2065e-03,4.8976e-05,4.6496e-06,6.9619e-08,,,,,,,,,,,
Sam 19,2.65054e-08,1.20261e-02,4.2562e-03,4.9762e-05,4.7638e-06,7.0951e-08,,,,,,            4.4808,           11.8248,           16.0582,           24.2334,           -0.4642,            1.4701,            5.8578,           -0.2460,            0.4336,          -27.9454,
Ref 20,2.66391e-08,,,,,,1.1972e-02,4.2065e-03,4.8975e-05,4.6527e-06,7.2367e-08,,,,,,,,,,,
Sam 20,2.61535e-08,1.20259e-02,4.2561e-03,4.9768e-05,4.7619e-06,6.9567e-08,,,,,,            4.4744,           11.8076,           16.0849,           23.5236,          -33.0835,            1.4638,            5.8407,           -0.1964,           -0.2257,          -59.6299,
Ref 21,2.62887e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6523e-06,7.1522e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.61188e-08,,,,,,1.1972e-02,4.2064e-03,4.8977e-05,4.6483e-06,6.9030e-08,
Sam 1,2.56535e-08,1.20260e-02,4.2561e-03,4.9765e-05,4.7603e-06,7.2109e-08,,,,,,            4.4797,           11.7999,           16.0428,           23.8561,           59.9179,            1.4698,            5.8331,           -0.2358,            0.1143,           30.8277,
Ref 2,2.58048e-08,,,,,,1.1972e-02,4.2065e-03,4.8981e-05,4.6504e-06,6.7022e-08,,,,,,,,,,,
Sam 2,2.53093e-08,1.20260e-02,4.2562e-03,4.9766e-05,4.7625e-06,7.3372e-08,,,,,,            4.4811,           11.8084,           15.9852,           23.7887,           17.2908,            1.4710,            5.8415,           -0.3021,            0.0318,          -10.6471,
Ref 3,2.54658e-08,,,,,,1.1972e-02,4.2065e-03,4.8984e-05,4.6533e-06,7.7295e-08,,,,,,,,,,,
Sam 3,2.49714e-08,1.20259e-02,4.2561e-03,4.9763e-05,4.7613e-06,7.8203e-08,,,,,,            4.4745,           11.7905,           15.9726,           23.1086,            2.4560,            1.4646,            5.8237,           -0.2903,           -0.5972,          -25.0338,
Ref 4,2.51636e-08,,,,,,1.1972e-02,4.2065e-03,4.8978e-05,4.6541e-06,7.8735e-08,,,,,,,,,,,
Sam 4,2.46634e-08,1.20260e-02,4.2562e-03,4.9763e-05,4.7606e-06,8.4059e-08,,,,,,            4.4745,           11.8204,           16.0362,           22.8849,           66.8092,            1.4636,            5.8534,           -0.2569,           -0.8747,           37.4943,
Ref 5,2.48218e-08,,,,,,1.1972e-02,4.2064e-03,4.8977e-05,4.6541e-06,7.8854e-08,,,,,,,,,,,
Sam 5,2.43290e-08,1.20259e-02,4.2561e-03,4.9760e-05,4.7655e-06,7.9775e-08,,,,,,            4.4731,           11.8107,           16.0221,           23.6873,            8.3071,            1.4624,            5.8438,           -0.2599,           -0.0719,          -19.3803,
Ref 6,2.45093e-08,,,,,,1.1972e-02,4.2064e-03,4.8973e-05,4.6565e-06,7.9385e-08,,,,,,,,,,,
Sam 6,2.40119e-08,1.20258e-02,4.2561e-03,4.9763e-05,4.7661e-06,7.7142e-08,,,,,,            4.4753,           11.8147,           16.0494,           23.6410,            7.5520,            1.4646,            5.8478,           -0.2392,           -0.1251,          -20.1246,
Ref 7,2.41879e-08,,,,,,1.1972e-02,4.2065e-03,4.8981e-05,4.6556e-06,7.3706e-08,,,,,,,,,,,
Sam 7,2.36966e-08,1.20258e-02,4.2561e-03,4.9753e-05,4.7592e-06,7.3898e-08,,,,,,            4.4730,           11.8084,           15.7017,           22.6159,            2.1589,            1.4624,            5.8415,           -0.5728,           -1.1138,          -25.3552,
Ref 8,2.38825e-08,,,,,,1.1972e-02,4.2064e-03,4.8987e-05,4.6522e-06,7.3772e-08,,,,,,,,,,,
Sam 8,2.33905e-08,1.20258e-02,4.2561e-03,4.9768e-05,4.7670e-06,7.7380e-08,,,,,,            4.4721,           11.8044,           16.0030,           24.5834,           -2.0885,            1.4616,            5.8375,           -0.2716,            0.8158,          -29.4775,
Ref 9,2.35756e-08,,,,,,1.1972e-02,4.2064e-03,4.8982e-05,4.6531e-06,8.1361e-08,,,,,,,,,,,
Sam 9,2.30889e-08,1.20258e-02,4.2560e-03,4.9771e-05,4.7667e-06,8.2627e-08,,,,,,            4.4659,           11.8028,           15.9883,           23.7186,            1.2321,            1.4550,            5.8360,           -0.2781,           -0.0256,          -26.2386,
Ref 10,2.32830e-08,,,,,,1.1972e-02,4.2064e-03,4.8993e-05,4.6594e-06,8.3705e-08,,,,,,,,,,,
Sam 10,2.27831e-08,1.20260e-02,4.2561e-03,4.9765e-05,4.7661e-06,8.0573e-08,,,,,,            4.4879,           11.8105,           15.8882,           23.0885,           11.5521,            1.4782,            5.8435,           -0.4065,           -0.6563,          -16.2394,
Ref 11,2.29848e-08,,,,,,1.1972e-02,4.2064e-03,4.8981e-05,4.6577e-06,7.5549e-08,,,,,,,,,,,
Sam 11,2.24960e-08,1.20259e-02,4.2561e-03,4.9765e-05,4.7623e-06,7.8899e-08,,,,,,            4.4869,           11.8147,           16.0249,           22.7642,           28.7061,            1.4769,            5.8478,           -0.2751,           -0.9815,            0.4362,
Ref 12,2.27301e-08,,,,,,1.1972e-02,4.2064e-03,4.8979e-05,4.6550e-06,7.7858e-08,,,,,,,,,,,
Sam 12,2.22408e-08,1.20261e-02,4.2561e-03,4.9763e-05,4.7699e-06,7.9008e-08,,,,,,            4.4949,           11.8009,           15.9209,           24.1110,            1.1910,            1.4860,            5.8340,           -0.3723,            0.3614,          -26.3049,
Ref 13,2.24481e-08,,,,,,1.1972e-02,4.2065e-03,4.8988e-05,4.6603e-06,7.9984e-08,,,,,,,,,,,
Sam 13,2.19470e-08,1.20259e-02,4.2560e-03,4.9768e-05,4.7648e-06,8.8140e-08,,,,,,            4.4712,           11.7958,           15.9622,           22.6829,           40.9147,            1.4609,            5.8290,           -0.3024,           -1.0236,           12.3633,
Ref 14,2.21586e-08,,,,,,1.1972e-02,4.2064e-03,4.8983e-05,4.6579e-06,8.9429e-08,,,,,,,,,,,
Sam 14,2.16726e-08,1.20260e-02,4.2560e-03,4.9766e-05,4.7667e-06,9.3522e-08,,,,,,            4.4791,           11.8065,           15.9305,           22.9587,           18.7992,            1.4689,            5.8397,           -0.3522,           -0.7753,           -9.1746,
Ref 15,2.19098e-08,,,,,,1.1972e-02,4.2064e-03,4.8989e-05,4.6616e-06,9.4191e-08,,,,,,,,,,,
Sam 15,2.14227e-08,1.20258e-02,4.2560e-03,4.9763e-05,4.7705e-06,9.1149e-08,,,,,,            4.4696,           11.7913,           15.7640,           23.6787,          -50.6552,            1.4593,            5.8245,           -0.4913,           -0.0419,          -76.6852,
Ref 16,2.16427e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6587e-06,9.7856e-08,,,,,,,,,,,
Sam 16,2.11553e-08,1.20260e-02,4.2561e-03,4.9769e-05,4.7704e-06,9.9578e-08,,,,,,            4.4920,           11.8180,           15.8278,           23.9352,           46.4187,            1.4823,            5.8510,           -0.4776,            0.1558,           17.6500,
Ref 17,2.13824e-08,,,,,,1.1972e-02,4.2064e-03,4.8995e-05,4.6592e-06,9.2433e-08,,,,,,,,,,,
Sam 17,2.08906e-08,1.20258e-02,4.2560e-03,4.9764e-05,4.7694e-06,9.5524e-08,,,,,,            4.4710,           11.7969,           15.7141,           23.2559,           15.8656,            1.4607,            5.8301,           -0.5474,           -0.4660,          -12.0005,
Ref 18,2.11189e-08,,,,,,1.1972e-02,4.2064e-03,4.8992e-05,4.6629e-06,9.5652e-08,,,,,,,,,,,
Sam 18,2.06276e-08,1.20259e-02,4.2560e-03,4.9770e-05,4.7717e-06,9.9760e-08,,,,,,            4.4804,           11.7960,           16.0558,           23.3715,           25.7073,            1.4706,            5.8292,           -0.2199,           -0.3514,           -2.4371,
Ref 19,2.08566e-08,,,,,,1.1972e-02,4.2063e-03,4.8975e-05,4.6625e-06,9.8887e-08,,,,,,,,,,,
Sam 19,2.03677e-08,1.20258e-02,4.2561e-03,4.9771e-05,4.7712e-06,1.0077e-07,,,,,,            4.4818,           11.8308,           16.1278,           23.6885,           16.7530,            1.4709,            5.8638,           -0.1843,           -0.1105,          -11.2140,
Ref 20,2.06064e-08,,,,,,1.1972e-02,4.2063e-03,4.8987e-05,4.6590e-06,9.9332e-08,,,,,,,,,,,
Sam 20,2.01138e-08,1.20260e-02,4.2561e-03,4.9769e-05,4.7732e-06,9.4351e-08,,,,,,            4.4973,           11.8232,           15.9087,           24.2019,          -41.3885,            1.4878,            5.8562,           -0.4085,            0.4060,          -67.7579,
Ref 21,2.03471e-08,,,,,,1.1972e-02,4.2063e-03,4.8992e-05,4.6618e-06,9.7505e-08,,,,,,,,,,,


