Nu Stable Isotope Analysis Program
Data Collected on Sunday, July 03, 2022 at 02:40 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, July 03, 2022 at 03:39 with Stable 1.71.5 on PS019

Data File = Data_17508 BD4-30-35_1-B.txt, Sample Weight = 528,                      Vial Location = 41,                       Initial Sam Beam = 1.8114e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2716e-08,                Max Ref Beam = 1.0635e-07,                

Analysis undertaken at mass 46.02645
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.08219e-08,,,,,,1.1973e-02,4.2057e-03,4.8926e-05,4.6342e-06,5.1759e-08,
Sam 1,7.01400e-08,1.19572e-02,4.2219e-03,4.9031e-05,4.6705e-06,5.3461e-08,,,,,,           -1.3465,            3.8106,            2.0180,            7.6275,            9.2746,           -4.4549,           -2.1049,           -0.3387,           -0.0081,            3.1873,
Ref 2,6.95203e-08,,,,,,1.1974e-02,4.2061e-03,4.8940e-05,4.6360e-06,5.4202e-08,,,,,,,,,,,
Sam 2,6.88743e-08,1.19575e-02,4.2221e-03,4.9033e-05,4.6728e-06,5.6206e-08,,,,,,           -1.3595,            3.7981,            1.8525,            7.6124,           39.1467,           -4.4682,           -2.1173,           -0.4783,            0.0018,           32.9187,
Ref 3,6.82981e-08,,,,,,1.1974e-02,4.2063e-03,4.8944e-05,4.6391e-06,5.3973e-08,,,,,,,,,,,
Sam 3,6.76529e-08,1.19578e-02,4.2223e-03,4.9036e-05,4.6733e-06,5.4694e-08,,,,,,           -1.3591,            3.7945,            1.9366,            7.4415,           23.3764,           -4.4677,           -2.1208,           -0.3913,           -0.1608,           17.2495,
Ref 4,6.71161e-08,,,,,,1.1974e-02,4.2064e-03,4.8938e-05,4.6385e-06,5.2907e-08,,,,,,,,,,,
Sam 4,6.64682e-08,1.19581e-02,4.2224e-03,4.9041e-05,4.6736e-06,5.6669e-08,,,,,,           -1.3525,            3.7901,            2.0180,            7.7152,           27.3270,           -4.4605,           -2.1252,           -0.3125,            0.1197,           21.1783,
Ref 5,6.59620e-08,,,,,,1.1974e-02,4.2066e-03,4.8947e-05,4.6372e-06,5.7457e-08,,,,,,,,,,,
Sam 5,6.53068e-08,1.19583e-02,4.2227e-03,4.9046e-05,4.6741e-06,5.6952e-08,,,,,,           -1.3447,            3.8135,            2.0045,            7.7830,            2.3085,           -4.4530,           -2.1020,           -0.3570,            0.1404,           -3.7445,
Ref 6,6.48241e-08,,,,,,1.1974e-02,4.2067e-03,4.8949e-05,4.6387e-06,5.6173e-08,,,,,,,,,,,
Sam 6,6.41737e-08,1.19583e-02,4.2228e-03,4.9051e-05,4.6727e-06,5.3769e-08,,,,,,           -1.3533,            3.8132,            2.0365,            7.0883,          -49.1417,           -4.4622,           -2.1022,           -0.3159,           -0.5485,          -54.8747,
Ref 7,6.37238e-08,,,,,,1.1974e-02,4.2068e-03,4.8953e-05,4.6410e-06,5.6930e-08,,,,,,,,,,,
Sam 7,6.30738e-08,1.19583e-02,4.2228e-03,4.9051e-05,4.6739e-06,5.8721e-08,,,,,,           -1.3604,            3.8065,            1.9755,            7.2391,           23.3297,           -4.4695,           -2.1089,           -0.3628,           -0.3856,           17.1807,
Ref 8,6.26464e-08,,,,,,1.1975e-02,4.2069e-03,4.8956e-05,4.6397e-06,5.7843e-08,,,,,,,,,,,
Sam 8,6.20000e-08,1.19585e-02,4.2229e-03,4.9056e-05,4.6778e-06,6.0330e-08,,,,,,           -1.3518,            3.8051,            2.0261,            8.0216,           35.9387,           -4.4603,           -2.1103,           -0.3198,            0.3939,           29.7074,
Ref 9,6.16003e-08,,,,,,1.1975e-02,4.2070e-03,4.8957e-05,4.6414e-06,5.8637e-08,,,,,,,,,,,
Sam 9,6.09503e-08,1.19586e-02,4.2230e-03,4.9055e-05,4.6754e-06,5.9104e-08,,,,,,           -1.3534,            3.8032,            1.9267,            7.2895,           -3.0867,           -4.4619,           -2.1122,           -0.4155,           -0.3289,           -9.0780,
Ref 10,6.05695e-08,,,,,,1.1975e-02,4.2070e-03,4.8964e-05,4.6418e-06,5.9948e-08,,,,,,,,,,,
Sam 10,5.99225e-08,1.19585e-02,4.2230e-03,4.9062e-05,4.6739e-06,5.7814e-08,,,,,,           -1.3651,            3.7894,            2.0506,            6.9501,          -26.0285,           -4.4738,           -2.1258,           -0.2664,           -0.6383,          -31.8437,
Ref 11,5.95603e-08,,,,,,1.1975e-02,4.2071e-03,4.8959e-05,4.6414e-06,5.8760e-08,,,,,,,,,,,
Sam 11,5.89121e-08,1.19586e-02,4.2232e-03,4.9059e-05,4.6759e-06,5.8280e-08,,,,,,           -1.3582,            3.8028,            1.9953,            7.4777,          -32.8414,           -4.4670,           -2.1126,           -0.3417,           -0.1414,          -38.6481,
Ref 12,5.85636e-08,,,,,,1.1975e-02,4.2072e-03,4.8963e-05,4.6411e-06,6.1784e-08,,,,,,,,,,,
Sam 12,5.79205e-08,1.19587e-02,4.2232e-03,4.9063e-05,4.6766e-06,5.8636e-08,,,,,,           -1.3601,            3.7934,            1.9335,            7.3801,          -24.0546,           -4.4687,           -2.1219,           -0.3922,           -0.2194,          -29.8942,
Ref 13,5.75951e-08,,,,,,1.1975e-02,4.2072e-03,4.8973e-05,4.6437e-06,5.8349e-08,,,,,,,,,,,
Sam 13,5.69673e-08,1.19589e-02,4.2233e-03,4.9059e-05,4.6757e-06,5.9601e-08,,,,,,           -1.3460,            3.8029,            1.7786,            7.0360,           18.3643,           -4.4541,           -2.1125,           -0.5705,           -0.5798,           12.2369,
Ref 14,5.66597e-08,,,,,,1.1975e-02,4.2073e-03,4.8970e-05,4.6422e-06,5.8707e-08,,,,,,,,,,,
Sam 14,5.60252e-08,1.19588e-02,4.2233e-03,4.9064e-05,4.6773e-06,6.0064e-08,,,,,,           -1.3630,            3.7816,            1.9639,            7.4222,           24.4585,           -4.4714,           -2.1337,           -0.3473,           -0.1540,           18.3554,
Ref 15,5.57676e-08,,,,,,1.1975e-02,4.2073e-03,4.8965e-05,4.6434e-06,5.8552e-08,,,,,,,,,,,
Sam 15,5.51217e-08,1.19588e-02,4.2234e-03,4.9069e-05,4.6766e-06,6.0442e-08,,,,,,           -1.3642,            3.8036,            2.0629,            7.1893,           10.1577,           -4.4734,           -2.1118,           -0.2688,           -0.4291,            4.0977,
Ref 16,5.48276e-08,,,,,,1.1975e-02,4.2074e-03,4.8970e-05,4.6431e-06,6.1138e-08,,,,,,,,,,,
Sam 16,5.42044e-08,1.19589e-02,4.2234e-03,4.9069e-05,4.6793e-06,6.2600e-08,,,,,,           -1.3411,            3.8056,            1.9327,            7.7579,           15.0888,           -4.4489,           -2.1099,           -0.4246,            0.1312,            8.9704,
Ref 17,5.39327e-08,,,,,,1.1975e-02,4.2074e-03,4.8979e-05,4.6434e-06,6.2209e-08,,,,,,,,,,,
Sam 17,5.33146e-08,1.19589e-02,4.2234e-03,4.9071e-05,4.6782e-06,6.1478e-08,,,,,,           -1.3418,            3.7961,            1.9325,            7.5988,           11.7053,           -4.4494,           -2.1193,           -0.4146,           -0.0077,            5.6269,
Ref 18,5.30588e-08,,,,,,1.1975e-02,4.2074e-03,4.8975e-05,4.6425e-06,5.9301e-08,,,,,,,,,,,
Sam 18,5.24417e-08,1.19589e-02,4.2234e-03,4.9070e-05,4.6774e-06,6.0765e-08,,,,,,           -1.3468,            3.7905,            1.9629,            7.4155,            3.8786,           -4.4544,           -2.1248,           -0.3738,           -0.1785,           -2.1368,
Ref 19,5.22048e-08,,,,,,1.1975e-02,4.2075e-03,4.8973e-05,4.6435e-06,6.1781e-08,,,,,,,,,,,
Sam 19,5.15981e-08,1.19590e-02,4.2235e-03,4.9068e-05,4.6782e-06,6.2438e-08,,,,,,           -1.3491,            3.7975,            1.8779,            7.1987,           16.6763,           -4.4572,           -2.1179,           -0.4630,           -0.4076,           10.5731,
Ref 20,5.13643e-08,,,,,,1.1975e-02,4.2075e-03,4.8979e-05,4.6462e-06,6.1041e-08,,,,,,,,,,,
Sam 20,5.07657e-08,1.19588e-02,4.2235e-03,4.9071e-05,4.6804e-06,6.1479e-08,,,,,,           -1.3558,            3.8087,            1.8705,            7.7191,            3.7603,           -4.4647,           -2.1067,           -0.4745,            0.0865,           -2.2803,
Ref 21,5.05487e-08,,,,,,1.1975e-02,4.2075e-03,4.8979e-05,4.6428e-06,6.1460e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.01497e-08,,,,,,1.1975e-02,4.2074e-03,4.8978e-05,4.6460e-06,6.2954e-08,
Sam 1,4.95570e-08,1.19588e-02,4.2234e-03,4.9069e-05,4.6800e-06,6.3895e-08,,,,,,           -1.3592,            3.7955,            1.8744,            7.7448,           16.2165,           -4.4678,           -2.1198,           -0.4542,            0.1383,           10.1307,
Ref 2,4.93572e-08,,,,,,1.1975e-02,4.2075e-03,4.8976e-05,4.6421e-06,6.2795e-08,,,,,,,,,,,
Sam 2,4.87620e-08,1.19588e-02,4.2235e-03,4.9075e-05,4.6813e-06,6.2916e-08,,,,,,           -1.3585,            3.8101,            2.0113,            7.8367,           15.5716,           -4.4676,           -2.1053,           -0.3326,            0.2004,            9.4600,
Ref 3,4.85800e-08,,,,,,1.1975e-02,4.2074e-03,4.8977e-05,4.6478e-06,6.1094e-08,,,,,,,,,,,
Sam 3,4.79797e-08,1.19587e-02,4.2235e-03,4.9073e-05,4.6802e-06,6.2168e-08,,,,,,           -1.3567,            3.8147,            1.9004,            7.3019,           12.0968,           -4.4658,           -2.1008,           -0.4496,           -0.3394,            5.9952,
Ref 4,4.78183e-08,,,,,,1.1975e-02,4.2074e-03,4.8984e-05,4.6447e-06,6.1761e-08,,,,,,,,,,,
Sam 4,4.72177e-08,1.19587e-02,4.2235e-03,4.9077e-05,4.6798e-06,6.4402e-08,,,,,,           -1.3417,            3.8255,            1.9012,            7.4770,           34.5597,           -4.4502,           -2.0900,           -0.4749,           -0.1873,           28.2844,
Ref 5,4.70656e-08,,,,,,1.1975e-02,4.2075e-03,4.8983e-05,4.6454e-06,6.2749e-08,,,,,,,,,,,
Sam 5,4.64814e-08,1.19587e-02,4.2234e-03,4.9073e-05,4.6820e-06,6.4610e-08,,,,,,           -1.3525,            3.7996,            1.8357,            7.9158,           21.8511,           -4.4609,           -2.1158,           -0.5037,            0.2998,           15.7162,
Ref 6,4.63392e-08,,,,,,1.1975e-02,4.2074e-03,4.8983e-05,4.6450e-06,6.3717e-08,,,,,,,,,,,
Sam 6,4.57401e-08,1.19587e-02,4.2235e-03,4.9076e-05,4.6802e-06,6.4758e-08,,,,,,           -1.3540,            3.8156,            1.9436,            7.7596,           17.0455,           -4.4630,           -2.0998,           -0.4102,            0.1129,           10.9093,
Ref 7,4.56192e-08,,,,,,1.1975e-02,4.2074e-03,4.8979e-05,4.6434e-06,6.3629e-08,,,,,,,,,,,
Sam 7,4.50275e-08,1.19585e-02,4.2235e-03,4.9071e-05,4.6804e-06,6.5330e-08,,,,,,           -1.3563,            3.8209,            1.8090,            7.7180,           28.1227,           -4.4657,           -2.0946,           -0.5472,            0.0611,           21.9117,
Ref 8,4.49170e-08,,,,,,1.1975e-02,4.2074e-03,4.8986e-05,4.6458e-06,6.3457e-08,,,,,,,,,,,
Sam 8,4.43243e-08,1.19584e-02,4.2234e-03,4.9071e-05,4.6788e-06,6.6553e-08,,,,,,           -1.3589,            3.7954,            1.7873,            6.7001,           27.4150,           -4.4675,           -2.1200,           -0.5412,           -0.8982,           21.2621,
Ref 9,4.42269e-08,,,,,,1.1975e-02,4.2074e-03,4.8980e-05,4.6496e-06,6.6117e-08,,,,,,,,,,,
Sam 9,4.36509e-08,1.19585e-02,4.2234e-03,4.9077e-05,4.6815e-06,6.8198e-08,,,,,,           -1.3493,            3.7973,            1.9536,            7.1783,           34.8391,           -4.4573,           -2.1181,           -0.3872,           -0.4275,           28.6274,
Ref 10,4.35551e-08,,,,,,1.1975e-02,4.2074e-03,4.8982e-05,4.6467e-06,6.5683e-08,,,,,,,,,,,
Sam 10,4.29691e-08,1.19584e-02,4.2233e-03,4.9077e-05,4.6836e-06,6.6945e-08,,,,,,           -1.3421,            3.7950,            1.9842,            7.8180,           12.9247,           -4.4496,           -2.1204,           -0.3617,            0.2120,            6.8414,
Ref 11,4.28931e-08,,,,,,1.1974e-02,4.2073e-03,4.8979e-05,4.6478e-06,6.6505e-08,,,,,,,,,,,
Sam 11,4.23061e-08,1.19583e-02,4.2233e-03,4.9074e-05,4.6841e-06,6.8434e-08,,,,,,           -1.3539,            3.7988,            1.9005,            7.5421,           11.0871,           -4.4623,           -2.1166,           -0.4368,           -0.0694,            5.0200,
Ref 12,4.22422e-08,,,,,,1.1975e-02,4.2073e-03,4.8983e-05,4.6503e-06,6.8880e-08,,,,,,,,,,,
Sam 12,4.16577e-08,1.19582e-02,4.2233e-03,4.9073e-05,4.6817e-06,6.7095e-08,,,,,,           -1.3592,            3.8100,            1.8441,            6.9995,          -30.5156,           -4.4683,           -2.1054,           -0.4987,           -0.6303,          -36.3489,
Ref 13,4.16210e-08,,,,,,1.1974e-02,4.2073e-03,4.8983e-05,4.6479e-06,6.9539e-08,,,,,,,,,,,
Sam 13,4.10277e-08,1.19583e-02,4.2234e-03,4.9077e-05,4.6824e-06,7.0824e-08,,,,,,           -1.3500,            3.8311,            1.9492,            7.0297,           32.6887,           -4.4593,           -2.0845,           -0.4238,           -0.6422,           26.4227,
Ref 14,4.09838e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6515e-06,6.7610e-08,,,,,,,,,,,
Sam 14,4.04056e-08,1.19582e-02,4.2233e-03,4.9078e-05,4.6841e-06,7.3330e-08,,,,,,           -1.3513,            3.8108,            1.9859,            7.6777,           66.0326,           -4.4599,           -2.1046,           -0.3661,            0.0412,           59.6078,
Ref 15,4.03779e-08,,,,,,1.1974e-02,4.2073e-03,4.8981e-05,4.6453e-06,6.9984e-08,,,,,,,,,,,
Sam 15,3.97996e-08,1.19580e-02,4.2232e-03,4.9080e-05,4.6834e-06,6.8754e-08,,,,,,           -1.3660,            3.8018,            2.0262,            8.1362,          -20.8265,           -4.4752,           -2.1136,           -0.3019,            0.5143,          -26.6953,
Ref 16,3.97868e-08,,,,,,1.1974e-02,4.2072e-03,4.8982e-05,4.6460e-06,7.0453e-08,,,,,,,,,,,
Sam 16,3.92031e-08,1.19579e-02,4.2232e-03,4.9086e-05,4.6824e-06,7.3664e-08,,,,,,           -1.3570,            3.8076,            2.0306,            7.6922,           24.7686,           -4.4659,           -2.1078,           -0.3124,            0.0620,           18.6050,
Ref 17,3.92231e-08,,,,,,1.1974e-02,4.2072e-03,4.8991e-05,4.6474e-06,7.3334e-08,,,,,,,,,,,
Sam 17,3.86149e-08,1.19579e-02,4.2232e-03,4.9077e-05,4.6828e-06,7.7184e-08,,,,,,           -1.3519,            3.8152,            1.7622,            7.3310,           54.0324,           -4.4607,           -2.1002,           -0.5929,           -0.3116,           47.6716,
Ref 18,3.86292e-08,,,,,,1.1974e-02,4.2072e-03,4.8990e-05,4.6500e-06,7.3120e-08,,,,,,,,,,,
Sam 18,3.80412e-08,1.19579e-02,4.2232e-03,4.9079e-05,4.6814e-06,7.6943e-08,,,,,,           -1.3479,            3.7960,            1.8613,            7.0439,           30.8426,           -4.4558,           -2.1193,           -0.4794,           -0.5584,           24.6559,
Ref 19,3.80677e-08,,,,,,1.1974e-02,4.2072e-03,4.8986e-05,4.6473e-06,7.6185e-08,,,,,,,,,,,
Sam 19,3.74765e-08,1.19577e-02,4.2231e-03,4.9077e-05,4.6826e-06,7.3202e-08,,,,,,           -1.3699,            3.7953,            1.8609,            7.4117,          -18.0554,           -4.4792,           -2.1200,           -0.4565,           -0.1919,          -23.9244,
Ref 20,3.75060e-08,,,,,,1.1974e-02,4.2071e-03,4.8985e-05,4.6491e-06,7.2887e-08,,,,,,,,,,,
Sam 20,3.68937e-08,1.19584e-02,4.2234e-03,4.9083e-05,4.6861e-06,7.7296e-08,,,,,,           -1.3155,            3.8618,            2.0553,            7.8910,           54.2617,           -4.4236,           -2.0539,           -0.3838,            0.1512,           47.7631,
Ref 21,3.69659e-08,,,,,,1.1974e-02,4.2071e-03,4.8980e-05,4.6497e-06,7.3754e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.67007e-08,,,,,,1.1974e-02,4.2071e-03,4.8983e-05,4.6477e-06,7.3756e-08,
Sam 1,3.61109e-08,1.19576e-02,4.2231e-03,4.9077e-05,4.6822e-06,7.6689e-08,,,,,,           -1.3589,            3.7968,            1.8921,            7.0414,            6.1128,           -4.4676,           -2.1186,           -0.4381,           -0.5624,            0.0848,
Ref 2,3.61714e-08,,,,,,1.1974e-02,4.2071e-03,4.8985e-05,4.6511e-06,7.8726e-08,,,,,,,,,,,
Sam 2,3.56162e-08,1.19576e-02,4.2230e-03,4.9077e-05,4.6830e-06,7.6002e-08,,,,,,           -1.3640,            3.7897,            1.8329,            6.8804,          -41.0694,           -4.4727,           -2.1256,           -0.4849,           -0.7079,          -46.7963,
Ref 3,3.56618e-08,,,,,,1.1974e-02,4.2071e-03,4.8989e-05,4.6509e-06,7.9795e-08,,,,,,,,,,,
Sam 3,3.50691e-08,1.19578e-02,4.2231e-03,4.9082e-05,4.6837e-06,7.5688e-08,,,,,,           -1.3456,            3.8167,            1.8526,            7.0374,          -22.8988,           -4.4541,           -2.0987,           -0.5107,           -0.6060,          -28.8047,
Ref 4,3.51418e-08,,,,,,1.1974e-02,4.2070e-03,4.8993e-05,4.6510e-06,7.5094e-08,,,,,,,,,,,
Sam 4,3.45561e-08,1.19577e-02,4.2231e-03,4.9079e-05,4.6846e-06,7.6863e-08,,,,,,           -1.3465,            3.8179,            1.7684,            7.5123,           10.6106,           -4.4551,           -2.0976,           -0.5949,           -0.1370,            4.5008,
Ref 5,3.46544e-08,,,,,,1.1974e-02,4.2071e-03,4.8991e-05,4.6484e-06,7.7032e-08,,,,,,,,,,,
Sam 5,3.40681e-08,1.19575e-02,4.2230e-03,4.9085e-05,4.6864e-06,8.1392e-08,,,,,,           -1.3600,            3.8005,            1.9553,            8.1148,           48.2236,           -4.4688,           -2.1149,           -0.3775,            0.4956,           41.9369,
Ref 6,3.41608e-08,,,,,,1.1974e-02,4.2070e-03,4.8986e-05,4.6489e-06,7.8271e-08,,,,,,,,,,,
Sam 6,3.35739e-08,1.19575e-02,4.2229e-03,4.9080e-05,4.6863e-06,8.2414e-08,,,,,,           -1.3539,            3.7886,            1.9530,            7.9428,           65.6150,           -4.4620,           -2.1268,           -0.3744,            0.3487,           59.2419,
Ref 7,3.36751e-08,,,,,,1.1974e-02,4.2070e-03,4.8983e-05,4.6499e-06,7.6395e-08,,,,,,,,,,,
Sam 7,3.30911e-08,1.19573e-02,4.2230e-03,4.9086e-05,4.6862e-06,7.9035e-08,,,,,,           -1.3662,            3.8041,            2.0611,            7.6022,           34.0948,           -4.4756,           -2.1113,           -0.2690,           -0.0204,           27.8923,
Ref 8,3.31959e-08,,,,,,1.1974e-02,4.2070e-03,4.8988e-05,4.6519e-06,7.6463e-08,,,,,,,,,,,
Sam 8,3.26158e-08,1.19577e-02,4.2231e-03,4.9085e-05,4.6885e-06,8.4419e-08,,,,,,           -1.3324,            3.8254,            1.9982,            8.2248,           57.3629,           -4.4403,           -2.0902,           -0.3876,            0.5552,           50.9392,
Ref 9,3.27496e-08,,,,,,1.1974e-02,4.2069e-03,4.8986e-05,4.6486e-06,8.3260e-08,,,,,,,,,,,
Sam 9,3.21617e-08,1.19573e-02,4.2230e-03,4.9087e-05,4.6863e-06,7.9990e-08,,,,,,           -1.3520,            3.8226,            1.9939,            7.6977,          -18.8321,           -4.4611,           -2.0929,           -0.3689,            0.0375,          -24.7672,
Ref 10,3.22817e-08,,,,,,1.1974e-02,4.2069e-03,4.8992e-05,4.6524e-06,7.9764e-08,,,,,,,,,,,
Sam 10,3.17000e-08,1.19573e-02,4.2229e-03,4.9089e-05,4.6866e-06,8.2785e-08,,,,,,           -1.3541,            3.8151,            2.0327,            6.9751,           17.4178,           -4.4630,           -2.1004,           -0.3207,           -0.6645,           11.2805,
Ref 11,3.18775e-08,,,,,,1.1973e-02,4.2069e-03,4.8987e-05,4.6558e-06,8.2991e-08,,,,,,,,,,,
Sam 11,3.12677e-08,1.19573e-02,4.2229e-03,4.9080e-05,4.6891e-06,8.2591e-08,,,,,,           -1.3478,            3.8166,            1.8924,            7.5338,           11.2619,           -4.4564,           -2.0988,           -0.4687,           -0.1133,            5.1520,
Ref 12,3.13928e-08,,,,,,1.1973e-02,4.2068e-03,4.8988e-05,4.6523e-06,8.0331e-08,,,,,,,,,,,
Sam 12,3.08107e-08,1.19572e-02,4.2230e-03,4.9086e-05,4.6869e-06,8.8059e-08,,,,,,           -1.3454,            3.8287,            1.9463,            7.2368,           51.3472,           -4.4543,           -2.0868,           -0.4292,           -0.4319,           44.9678,
Ref 13,3.09525e-08,,,,,,1.1973e-02,4.2069e-03,4.8993e-05,4.6542e-06,8.7234e-08,,,,,,,,,,,
Sam 13,3.03782e-08,1.19571e-02,4.2228e-03,4.9082e-05,4.6871e-06,9.1667e-08,,,,,,           -1.3532,            3.7968,            1.8492,            7.1361,           37.3464,           -4.4615,           -2.1186,           -0.4867,           -0.4683,           31.1250,
Ref 14,3.05310e-08,,,,,,1.1973e-02,4.2068e-03,4.8989e-05,4.6536e-06,8.9516e-08,,,,,,,,,,,
Sam 14,2.99498e-08,1.19572e-02,4.2229e-03,4.9087e-05,4.6881e-06,9.2429e-08,,,,,,           -1.3486,            3.8311,            1.9640,            7.5134,           15.3027,           -4.4578,           -2.0844,           -0.4107,           -0.1623,            9.1405,
Ref 15,3.01104e-08,,,,,,1.1973e-02,4.2068e-03,4.8992e-05,4.6527e-06,9.2577e-08,,,,,,,,,,,
Sam 15,2.95321e-08,1.19570e-02,4.2228e-03,4.9083e-05,4.6878e-06,9.3530e-08,,,,,,           -1.3599,            3.8151,            1.8794,            7.3837,           31.8967,           -4.4692,           -2.1003,           -0.4677,           -0.2591,           25.6784,
Ref 16,2.97015e-08,,,,,,1.1973e-02,4.2067e-03,4.8990e-05,4.6542e-06,8.8674e-08,,,,,,,,,,,
Sam 16,2.91302e-08,1.19571e-02,4.2227e-03,4.9079e-05,4.6905e-06,9.6932e-08,,,,,,           -1.3367,            3.8147,            1.8385,            7.4558,           90.7895,           -4.4445,           -2.1008,           -0.5320,           -0.1867,           84.1905,
Ref 17,2.93187e-08,,,,,,1.1973e-02,4.2067e-03,4.8989e-05,4.6573e-06,8.9057e-08,,,,,,,,,,,
Sam 17,2.87304e-08,1.19567e-02,4.2227e-03,4.9082e-05,4.6903e-06,9.2126e-08,,,,,,           -1.3691,            3.8022,            1.8380,            7.6169,           22.6484,           -4.4786,           -2.1131,           -0.4868,           -0.0020,           16.5214,
Ref 18,2.89075e-08,,,,,,1.1973e-02,4.2067e-03,4.8995e-05,4.6523e-06,9.1128e-08,,,,,,,,,,,
Sam 18,2.83334e-08,1.19568e-02,4.2227e-03,4.9088e-05,4.6887e-06,9.3291e-08,,,,,,           -1.3617,            3.8077,            1.9504,            8.0205,            6.2067,           -4.4709,           -2.1077,           -0.3877,            0.3877,            0.1597,
Ref 19,2.85197e-08,,,,,,1.1973e-02,4.2067e-03,4.8989e-05,4.6505e-06,9.4324e-08,,,,,,,,,,,
Sam 19,2.79462e-08,1.19569e-02,4.2226e-03,4.9091e-05,4.6903e-06,9.3149e-08,,,,,,           -1.3500,            3.7990,            2.1020,            7.9044,           11.4960,           -4.4582,           -2.1163,           -0.2400,            0.2897,            5.4218,
Ref 20,2.81377e-08,,,,,,1.1973e-02,4.2066e-03,4.8986e-05,4.6566e-06,8.9828e-08,,,,,,,,,,,
Sam 20,2.75643e-08,1.19567e-02,4.2226e-03,4.9085e-05,4.6904e-06,9.5076e-08,,,,,,           -1.3661,            3.7991,            1.9959,            7.5319,           52.3373,           -4.4753,           -2.1163,           -0.3293,           -0.0801,           46.0357,
Ref 21,2.77980e-08,,,,,,1.1973e-02,4.2066e-03,4.8989e-05,4.6540e-06,9.0874e-08,,,,,,,,,,,


