Nu Stable Isotope Analysis Program
Data Collected on Sunday, July 03, 2022 at 05:25 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, July 03, 2022 at 06:24 with Stable 1.71.5 on PS019

Data File = Data_17510 KDW-131_8-A.txt,   Sample Weight = 566,                      Vial Location = 43,                       Initial Sam Beam = 1.6407e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1303e-08,                Max Ref Beam = 1.0671e-07,                

Analysis undertaken at mass 46.02152
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.38653e-08,,,,,,1.1974e-02,4.2065e-03,4.8940e-05,4.6386e-06,5.1313e-08,
Sam 1,6.31927e-08,1.19855e-02,4.2366e-03,4.9324e-05,4.7081e-06,5.0784e-08,,,,,,            0.9505,            7.1417,            7.7589,           14.6821,            5.3646,           -2.1254,            1.2051,           -0.2540,            0.3427,           -9.6130,
Ref 2,6.27344e-08,,,,,,1.1974e-02,4.2067e-03,4.8948e-05,4.6415e-06,4.9698e-08,,,,,,,,,,,
Sam 2,6.20894e-08,1.19856e-02,4.2367e-03,4.9324e-05,4.7058e-06,5.1629e-08,,,,,,            0.9376,            7.1210,            7.6612,           13.7002,           39.8717,           -2.1384,            1.1846,           -0.3174,           -0.5843,           24.4354,
Ref 3,6.16703e-08,,,,,,1.1974e-02,4.2068e-03,4.8951e-05,4.6430e-06,4.9599e-08,,,,,,,,,,,
Sam 3,6.10218e-08,1.19857e-02,4.2368e-03,4.9327e-05,4.7086e-06,5.0888e-08,,,,,,            0.9405,            7.1195,            7.6752,           14.2729,           26.6659,           -2.1353,            1.1830,           -0.3050,           -0.0166,           11.4256,
Ref 4,6.06334e-08,,,,,,1.1974e-02,4.2069e-03,4.8952e-05,4.6417e-06,4.9533e-08,,,,,,,,,,,
Sam 4,5.99792e-08,1.19858e-02,4.2369e-03,4.9333e-05,4.7078e-06,4.8580e-08,,,,,,            0.9476,            7.1095,            7.7874,           13.8781,           -4.5197,           -2.1274,            1.1730,           -0.1912,           -0.3858,          -19.2853,
Ref 5,5.96183e-08,,,,,,1.1975e-02,4.2070e-03,4.8953e-05,4.6449e-06,4.8055e-08,,,,,,,,,,,
Sam 5,5.89616e-08,1.19858e-02,4.2370e-03,4.9334e-05,4.7093e-06,4.7872e-08,,,,,,            0.9421,            7.1256,            7.7201,           14.0721,          -19.2210,           -2.1338,            1.1891,           -0.2680,           -0.2266,          -33.7934,
Ref 6,5.86284e-08,,,,,,1.1975e-02,4.2070e-03,4.8959e-05,4.6429e-06,4.9577e-08,,,,,,,,,,,
Sam 6,5.79704e-08,1.19858e-02,4.2370e-03,4.9331e-05,4.7085e-06,4.9899e-08,,,,,,            0.9321,            7.1161,            7.5679,           14.0417,           -9.4236,           -2.1441,            1.1797,           -0.3994,           -0.2377,          -24.1131,
Ref 7,5.76610e-08,,,,,,1.1975e-02,4.2071e-03,4.8962e-05,4.6437e-06,5.1184e-08,,,,,,,,,,,
Sam 7,5.70053e-08,1.19861e-02,4.2371e-03,4.9335e-05,4.7092e-06,5.3712e-08,,,,,,            0.9533,            7.1218,            7.6448,           14.0368,           64.4981,           -2.1217,            1.1853,           -0.3505,           -0.2539,           48.6772,
Ref 8,5.67143e-08,,,,,,1.1975e-02,4.2072e-03,4.8960e-05,4.6443e-06,4.9718e-08,,,,,,,,,,,
Sam 8,5.60599e-08,1.19860e-02,4.2372e-03,4.9334e-05,4.7104e-06,5.1727e-08,,,,,,            0.9438,            7.1252,            7.6496,           14.4143,           46.5090,           -2.1320,            1.1887,           -0.3393,            0.1116,           30.9591,
Ref 9,5.57869e-08,,,,,,1.1975e-02,4.2072e-03,4.8959e-05,4.6426e-06,4.9134e-08,,,,,,,,,,,
Sam 9,5.51390e-08,1.19861e-02,4.2372e-03,4.9340e-05,4.7102e-06,5.1174e-08,,,,,,            0.9383,            7.1294,            7.6811,           14.2841,           28.6965,           -2.1379,            1.1929,           -0.3066,           -0.0251,           13.4089,
Ref 10,5.48808e-08,,,,,,1.1975e-02,4.2073e-03,4.8968e-05,4.6451e-06,5.0369e-08,,,,,,,,,,,
Sam 10,5.42303e-08,1.19862e-02,4.2372e-03,4.9339e-05,4.7086e-06,5.2058e-08,,,,,,            0.9459,            7.1238,            7.6139,           13.8442,           36.1564,           -2.1297,            1.1874,           -0.3756,           -0.4478,           20.7607,
Ref 11,5.39923e-08,,,,,,1.1975e-02,4.2073e-03,4.8964e-05,4.6434e-06,5.0112e-08,,,,,,,,,,,
Sam 11,5.33430e-08,1.19861e-02,4.2372e-03,4.9338e-05,4.7105e-06,5.1348e-08,,,,,,            0.9425,            7.1299,            7.6297,           14.2690,           20.0934,           -2.1336,            1.1934,           -0.3623,           -0.0411,            4.9280,
Ref 12,5.31215e-08,,,,,,1.1975e-02,4.2072e-03,4.8965e-05,4.6451e-06,5.0566e-08,,,,,,,,,,,
Sam 12,5.24752e-08,1.19860e-02,4.2373e-03,4.9341e-05,4.7103e-06,5.2974e-08,,,,,,            0.9415,            7.1322,            7.7210,           14.1194,           46.1387,           -2.1347,            1.1957,           -0.2731,           -0.1932,           30.5825,
Ref 13,5.22714e-08,,,,,,1.1975e-02,4.2073e-03,4.8961e-05,4.6444e-06,5.0711e-08,,,,,,,,,,,
Sam 13,5.16288e-08,1.19861e-02,4.2373e-03,4.9345e-05,4.7108e-06,5.3365e-08,,,,,,            0.9402,            7.1256,            7.8019,           14.1682,           45.0791,           -2.1358,            1.1892,           -0.1850,           -0.1320,           29.5534,
Ref 14,5.14353e-08,,,,,,1.1975e-02,4.2073e-03,4.8966e-05,4.6456e-06,5.1421e-08,,,,,,,,,,,
Sam 14,5.07998e-08,1.19860e-02,4.2373e-03,4.9342e-05,4.7108e-06,5.5837e-08,,,,,,            0.9398,            7.1208,            7.6663,           13.8013,           83.0182,           -2.1361,            1.1843,           -0.3144,           -0.4840,           66.9395,
Ref 15,5.06116e-08,,,,,,1.1975e-02,4.2073e-03,4.8966e-05,4.6477e-06,5.1696e-08,,,,,,,,,,,
Sam 15,4.99813e-08,1.19860e-02,4.2373e-03,4.9350e-05,4.7117e-06,5.2251e-08,,,,,,            0.9393,            7.1264,            7.7950,           14.0769,           24.4092,           -2.1368,            1.1899,           -0.1917,           -0.2235,            9.1901,
Ref 16,4.98103e-08,,,,,,1.1975e-02,4.2073e-03,4.8972e-05,4.6449e-06,5.0305e-08,,,,,,,,,,,
Sam 16,4.92270e-08,1.19859e-02,4.2373e-03,4.9347e-05,4.7114e-06,5.2100e-08,,,,,,            0.9435,            7.1163,            7.7197,           14.2587,           21.2247,           -2.1319,            1.1799,           -0.2609,           -0.0242,            6.0682,
Ref 17,4.90685e-08,,,,,,1.1975e-02,4.2073e-03,4.8966e-05,4.6454e-06,5.1740e-08,,,,,,,,,,,
Sam 17,4.84387e-08,1.19860e-02,4.2373e-03,4.9347e-05,4.7140e-06,4.9781e-08,,,,,,            0.9528,            7.1278,            7.7125,           14.7108,          -26.3660,           -2.1225,            1.1912,           -0.2888,            0.3988,          -40.8471,
Ref 18,4.82905e-08,,,,,,1.1975e-02,4.2073e-03,4.8972e-05,4.6458e-06,5.0507e-08,,,,,,,,,,,
Sam 18,4.76671e-08,1.19859e-02,4.2373e-03,4.9349e-05,4.7117e-06,5.2698e-08,,,,,,            0.9415,            7.1242,            7.7263,           14.1811,           32.8843,           -2.1344,            1.1877,           -0.2599,           -0.1164,           17.5412,
Ref 19,4.75188e-08,,,,,,1.1975e-02,4.2073e-03,4.8968e-05,4.6458e-06,5.1542e-08,,,,,,,,,,,
Sam 19,4.69000e-08,1.19860e-02,4.2373e-03,4.9346e-05,4.7168e-06,4.9794e-08,,,,,,            0.9502,            7.1269,            7.6541,           15.4098,          -30.2508,           -2.1252,            1.1904,           -0.3431,            1.0896,          -44.6700,
Ref 20,4.67692e-08,,,,,,1.1975e-02,4.2074e-03,4.8973e-05,4.6447e-06,5.1149e-08,,,,,,,,,,,
Sam 20,4.61558e-08,1.19859e-02,4.2373e-03,4.9344e-05,4.7133e-06,5.1848e-08,,,,,,            0.9505,            7.1148,            7.6310,           14.5667,            7.0234,           -2.1245,            1.1783,           -0.3545,            0.2825,           -7.9268,
Ref 21,4.60380e-08,,,,,,1.1974e-02,4.2073e-03,4.8967e-05,4.6466e-06,5.1829e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.56779e-08,,,,,,1.1974e-02,4.2073e-03,4.8969e-05,4.6495e-06,5.1822e-08,
Sam 1,4.50643e-08,1.19858e-02,4.2373e-03,4.9346e-05,4.7144e-06,5.4857e-08,,,,,,            0.9491,            7.1229,            7.6356,           14.0725,           47.6756,           -2.1263,            1.1864,           -0.3564,           -0.2208,           32.1072,
Ref 2,4.49809e-08,,,,,,1.1974e-02,4.2073e-03,4.8975e-05,4.6484e-06,5.2908e-08,,,,,,,,,,,
Sam 2,4.43683e-08,1.19858e-02,4.2373e-03,4.9349e-05,4.7141e-06,5.3022e-08,,,,,,            0.9387,            7.1304,            7.6168,           14.2670,          -23.0870,           -2.1376,            1.1939,           -0.3718,           -0.0440,          -37.6074,
Ref 3,4.42901e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6472e-06,5.5663e-08,,,,,,,,,,,
Sam 3,4.36716e-08,1.19857e-02,4.2372e-03,4.9353e-05,4.7160e-06,5.5124e-08,,,,,,            0.9352,            7.1081,            7.6744,           14.6351,           -1.5593,           -2.1405,            1.1717,           -0.2892,            0.3632,          -16.3533,
Ref 4,4.36004e-08,,,,,,1.1974e-02,4.2073e-03,4.8979e-05,4.6488e-06,5.4751e-08,,,,,,,,,,,
Sam 4,4.29833e-08,1.19857e-02,4.2373e-03,4.9352e-05,4.7134e-06,5.5121e-08,,,,,,            0.9437,            7.1223,            7.6643,           13.9531,           -3.2593,           -2.1319,            1.1858,           -0.3219,           -0.3374,          -18.0642,
Ref 5,4.29333e-08,,,,,,1.1974e-02,4.2073e-03,4.8974e-05,4.6484e-06,5.5860e-08,,,,,,,,,,,
Sam 5,4.23220e-08,1.19858e-02,4.2373e-03,4.9351e-05,4.7099e-06,5.6004e-08,,,,,,            0.9455,            7.1278,            7.6581,           12.8897,          -21.3367,           -2.1303,            1.1913,           -0.3352,           -1.3967,          -35.8852,
Ref 6,4.22794e-08,,,,,,1.1974e-02,4.2073e-03,4.8977e-05,4.6516e-06,5.8610e-08,,,,,,,,,,,
Sam 6,4.16712e-08,1.19855e-02,4.2372e-03,4.9349e-05,4.7155e-06,5.9376e-08,,,,,,            0.9328,            7.1145,            7.6116,           13.8889,           37.9187,           -2.1433,            1.1781,           -0.3553,           -0.3852,           22.5297,
Ref 7,4.16382e-08,,,,,,1.1974e-02,4.2073e-03,4.8974e-05,4.6501e-06,5.5781e-08,,,,,,,,,,,
Sam 7,4.10333e-08,1.19856e-02,4.2371e-03,4.9358e-05,4.7148e-06,5.5108e-08,,,,,,            0.9471,            7.1009,            7.7575,           13.8517,          -39.3088,           -2.1277,            1.1645,           -0.2119,           -0.3949,          -53.5420,
Ref 8,4.10181e-08,,,,,,1.1974e-02,4.2073e-03,4.8982e-05,4.6506e-06,5.8970e-08,,,,,,,,,,,
Sam 8,4.04065e-08,1.19855e-02,4.2372e-03,4.9353e-05,4.7153e-06,5.8455e-08,,,,,,            0.9431,            7.1258,            7.6213,           14.4247,          -33.8586,           -2.1327,            1.1893,           -0.3673,            0.1207,          -48.2148,
Ref 9,4.03985e-08,,,,,,1.1974e-02,4.2072e-03,4.8978e-05,4.6459e-06,6.2061e-08,,,,,,,,,,,
Sam 9,3.97973e-08,1.19854e-02,4.2372e-03,4.9352e-05,4.7132e-06,5.9247e-08,,,,,,            0.9530,            7.1332,            7.5854,           13.8084,          -50.8951,           -2.1225,            1.1966,           -0.4202,           -0.5017,          -65.0215,
Ref 10,3.97999e-08,,,,,,1.1974e-02,4.2071e-03,4.8984e-05,4.6522e-06,6.2792e-08,,,,,,,,,,,
Sam 10,3.92013e-08,1.19853e-02,4.2371e-03,4.9356e-05,4.7157e-06,6.2679e-08,,,,,,            0.9429,            7.1212,            7.6078,           13.7909,           18.0062,           -2.1328,            1.1847,           -0.3760,           -0.4951,            2.8885,
Ref 11,3.92099e-08,,,,,,1.1974e-02,4.2072e-03,4.8982e-05,4.6510e-06,6.0330e-08,,,,,,,,,,,
Sam 11,3.86077e-08,1.19853e-02,4.2371e-03,4.9359e-05,4.7152e-06,6.2489e-08,,,,,,            0.9407,            7.1180,            7.7473,           13.6929,           49.7412,           -2.1350,            1.1816,           -0.2322,           -0.5854,           34.1610,
Ref 12,3.86232e-08,,,,,,1.1974e-02,4.2072e-03,4.8978e-05,4.6521e-06,5.8714e-08,,,,,,,,,,,
Sam 12,3.80486e-08,1.19852e-02,4.2371e-03,4.9357e-05,4.7151e-06,6.0517e-08,,,,,,            0.9432,            7.1179,            7.7539,           13.5662,           -0.0054,           -2.1324,            1.1814,           -0.2281,           -0.7101,          -14.8496,
Ref 13,3.80702e-08,,,,,,1.1974e-02,4.2071e-03,4.8976e-05,4.6519e-06,6.2347e-08,,,,,,,,,,,
Sam 13,3.74796e-08,1.19850e-02,4.2370e-03,4.9357e-05,4.7193e-06,6.2858e-08,,,,,,            0.9386,            7.1031,            7.8092,           14.6446,           -5.9270,           -2.1367,            1.1667,           -0.1541,            0.3825,          -20.6502,
Ref 14,3.75137e-08,,,,,,1.1974e-02,4.2071e-03,4.8974e-05,4.6504e-06,6.4130e-08,,,,,,,,,,,
Sam 14,3.69231e-08,1.19852e-02,4.2371e-03,4.9351e-05,4.7190e-06,6.4832e-08,,,,,,            0.9580,            7.1386,            7.6629,           14.6873,           40.1110,           -2.1173,            1.2020,           -0.3538,            0.3542,           24.6139,
Ref 15,3.69679e-08,,,,,,1.1974e-02,4.2070e-03,4.8977e-05,4.6511e-06,6.0506e-08,,,,,,,,,,,
Sam 15,3.63788e-08,1.19849e-02,4.2370e-03,4.9354e-05,4.7182e-06,6.1496e-08,,,,,,            0.9411,            7.1219,            7.6024,           14.4932,           -9.4458,           -2.1347,            1.1855,           -0.3803,            0.1958,          -24.1553,
Ref 16,3.64504e-08,,,,,,1.1974e-02,4.2070e-03,4.8987e-05,4.6505e-06,6.3681e-08,,,,,,,,,,,
Sam 16,3.58435e-08,1.19849e-02,4.2370e-03,4.9366e-05,4.7215e-06,6.2369e-08,,,,,,            0.9443,            7.1259,            7.7671,           15.0770,          -12.8480,           -2.1314,            1.1894,           -0.2240,            0.7635,          -27.5180,
Ref 17,3.59089e-08,,,,,,1.1974e-02,4.2070e-03,4.8984e-05,4.6523e-06,6.2674e-08,,,,,,,,,,,
Sam 17,3.53169e-08,1.19847e-02,4.2369e-03,4.9355e-05,4.7160e-06,6.8165e-08,,,,,,            0.9343,            7.1242,            7.6241,           13.5114,          103.1613,           -2.1420,            1.1877,           -0.3539,           -0.7767,           86.7825,
Ref 18,3.53905e-08,,,,,,1.1973e-02,4.2069e-03,4.8979e-05,4.6540e-06,6.0894e-08,,,,,,,,,,,
Sam 18,3.47982e-08,1.19845e-02,4.2369e-03,4.9358e-05,4.7232e-06,6.6864e-08,,,,,,            0.9244,            7.1165,            7.7863,           14.6443,           49.9335,           -2.1523,            1.1801,           -0.1753,            0.3556,           34.3714,
Ref 19,3.48816e-08,,,,,,1.1973e-02,4.2069e-03,4.8974e-05,4.6562e-06,6.6514e-08,,,,,,,,,,,
Sam 19,3.42892e-08,1.19846e-02,4.2368e-03,4.9358e-05,4.7186e-06,7.1214e-08,,,,,,            0.9360,            7.1011,            7.7303,           13.8794,           54.9509,           -2.1394,            1.1647,           -0.2277,           -0.3679,           39.3330,
Ref 20,3.43794e-08,,,,,,1.1973e-02,4.2069e-03,4.8984e-05,4.6519e-06,6.8510e-08,,,,,,,,,,,
Sam 20,3.37936e-08,1.19847e-02,4.2369e-03,4.9357e-05,4.7194e-06,6.9640e-08,,,,,,            0.9441,            7.1196,            7.6040,           14.0223,            8.9340,           -2.1315,            1.1832,           -0.3794,           -0.2638,           -6.0471,
Ref 21,3.38970e-08,,,,,,1.1973e-02,4.2069e-03,4.8984e-05,4.6565e-06,6.9543e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.36599e-08,,,,,,1.1974e-02,4.2069e-03,4.8985e-05,4.6544e-06,6.9428e-08,
Sam 1,3.30718e-08,1.19847e-02,4.2367e-03,4.9356e-05,4.7208e-06,6.8186e-08,,,,,,            0.9372,            7.1089,            7.5485,           14.5407,           -6.8117,           -2.1385,            1.1725,           -0.4169,            0.2687,          -21.5313,
Ref 2,3.31870e-08,,,,,,1.1973e-02,4.2068e-03,4.8987e-05,4.6518e-06,6.7868e-08,,,,,,,,,,,
Sam 2,3.26046e-08,1.19846e-02,4.2367e-03,4.9361e-05,4.7207e-06,6.8412e-08,,,,,,            0.9423,            7.1189,            7.6546,           14.7582,           -9.4663,           -2.1333,            1.1825,           -0.3268,            0.4630,          -24.1712,
Ref 3,3.27306e-08,,,,,,1.1973e-02,4.2068e-03,4.8985e-05,4.6524e-06,7.0279e-08,,,,,,,,,,,
Sam 3,3.21406e-08,1.19844e-02,4.2367e-03,4.9354e-05,4.7201e-06,6.9215e-08,,,,,,            0.9335,            7.1196,            7.5608,           14.2000,           -8.0198,           -2.1428,            1.1832,           -0.4113,           -0.0887,          -22.7382,
Ref 4,3.22680e-08,,,,,,1.1973e-02,4.2068e-03,4.8983e-05,4.6557e-06,6.9264e-08,,,,,,,,,,,
Sam 4,3.16832e-08,1.19843e-02,4.2367e-03,4.9361e-05,4.7233e-06,7.5080e-08,,,,,,            0.9433,            7.1174,            7.6824,           14.5788,           57.9015,           -2.1322,            1.1809,           -0.2986,            0.2892,           42.1987,
Ref 5,3.18498e-08,,,,,,1.1973e-02,4.2067e-03,4.8986e-05,4.6551e-06,7.2699e-08,,,,,,,,,,,
Sam 5,3.12458e-08,1.19844e-02,4.2367e-03,4.9360e-05,4.7205e-06,7.4454e-08,,,,,,            0.9515,            7.1094,            7.6820,           13.8100,           18.5132,           -2.1233,            1.1730,           -0.2997,           -0.4530,            3.4019,
Ref 6,3.13877e-08,,,,,,1.1973e-02,4.2068e-03,4.8982e-05,4.6574e-06,7.3508e-08,,,,,,,,,,,
Sam 6,3.08000e-08,1.19842e-02,4.2367e-03,4.9353e-05,4.7202e-06,7.8109e-08,,,,,,            0.9338,            7.1309,            7.5111,           13.5360,           73.8975,           -2.1428,            1.1944,           -0.4720,           -0.7657,           57.9400,
Ref 7,3.09537e-08,,,,,,1.1973e-02,4.2067e-03,4.8988e-05,4.6569e-06,7.1950e-08,,,,,,,,,,,
Sam 7,3.03698e-08,1.19844e-02,4.2366e-03,4.9365e-05,4.7210e-06,8.0058e-08,,,,,,            0.9557,            7.1086,            7.7179,           13.9727,           96.9227,           -2.1187,            1.1722,           -0.2677,           -0.2909,           80.6449,
Ref 8,3.05303e-08,,,,,,1.1973e-02,4.2067e-03,4.8987e-05,4.6549e-06,7.4032e-08,,,,,,,,,,,
Sam 8,2.99481e-08,1.19842e-02,4.2366e-03,4.9355e-05,4.7233e-06,7.3841e-08,,,,,,            0.9457,            7.1063,            7.5636,           14.4801,          -10.8095,           -2.1293,            1.1699,           -0.4082,            0.2139,          -25.4738,
Ref 9,3.01151e-08,,,,,,1.1973e-02,4.2067e-03,4.8982e-05,4.6569e-06,7.5272e-08,,,,,,,,,,,
Sam 9,2.95345e-08,1.19841e-02,4.2365e-03,4.9360e-05,4.7211e-06,7.4167e-08,,,,,,            0.9417,            7.0997,            7.6463,           13.8870,           -4.5003,           -2.1333,            1.1634,           -0.3156,           -0.3578,          -19.2414,
Ref 10,2.97057e-08,,,,,,1.1973e-02,4.2066e-03,4.8988e-05,4.6561e-06,7.3721e-08,,,,,,,,,,,
Sam 10,2.91268e-08,1.19843e-02,4.2367e-03,4.9358e-05,4.7239e-06,7.6414e-08,,,,,,            0.9504,            7.1525,            7.5502,           14.6761,           15.8849,           -2.1259,            1.2158,           -0.4714,            0.3155,            0.7296,
Ref 11,2.93071e-08,,,,,,1.1973e-02,4.2066e-03,4.8988e-05,4.6551e-06,7.6737e-08,,,,,,,,,,,
Sam 11,2.87296e-08,1.19842e-02,4.2366e-03,4.9355e-05,4.7219e-06,7.3213e-08,,,,,,            0.9465,            7.1269,            7.5518,           13.7309,          -69.3499,           -2.1291,            1.1904,           -0.4408,           -0.5656,          -83.1841,
Ref 12,2.89452e-08,,,,,,1.1973e-02,4.2066e-03,4.8982e-05,4.6608e-06,8.0625e-08,,,,,,,,,,,
Sam 12,2.83634e-08,1.19840e-02,4.2365e-03,4.9366e-05,4.7253e-06,7.5710e-08,,,,,,            0.9335,            7.1191,            7.8716,           13.9551,          -31.3698,           -2.1427,            1.1826,           -0.1025,           -0.3290,          -45.7408,
Ref 13,2.85530e-08,,,,,,1.1973e-02,4.2065e-03,4.8979e-05,4.6597e-06,7.5664e-08,,,,,,,,,,,
Sam 13,2.79717e-08,1.19840e-02,4.2364e-03,4.9355e-05,4.7252e-06,7.4347e-08,,,,,,            0.9390,            7.1091,            7.6146,           14.3168,           13.2876,           -2.1365,            1.1727,           -0.3534,            0.0474,           -1.7322,
Ref 14,2.81629e-08,,,,,,1.1973e-02,4.2065e-03,4.8985e-05,4.6572e-06,7.1048e-08,,,,,,,,,,,
Sam 14,2.75904e-08,1.19836e-02,4.2364e-03,4.9353e-05,4.7184e-06,7.7507e-08,,,,,,            0.9184,            7.1001,            7.5661,           13.3323,           70.0988,           -2.1581,            1.1638,           -0.3716,           -0.9054,           54.2783,
Ref 15,2.77876e-08,,,,,,1.1973e-02,4.2065e-03,4.8980e-05,4.6553e-06,7.3829e-08,,,,,,,,,,,
Sam 15,2.72130e-08,1.19837e-02,4.2363e-03,4.9356e-05,4.7257e-06,7.7228e-08,,,,,,            0.9305,            7.1048,            7.6144,           14.8525,           52.2305,           -2.1455,            1.1685,           -0.3407,            0.5841,           36.6514,
Ref 16,2.74175e-08,,,,,,1.1972e-02,4.2064e-03,4.8986e-05,4.6577e-06,7.2954e-08,,,,,,,,,,,
Sam 16,2.68459e-08,1.19839e-02,4.2365e-03,4.9363e-05,4.7276e-06,7.3382e-08,,,,,,            0.9478,            7.1416,            7.5769,           14.6613,           26.7023,           -2.1283,            1.2051,           -0.4316,            0.3224,           11.4098,
Ref 17,2.70600e-08,,,,,,1.1973e-02,4.2065e-03,4.8998e-05,4.6609e-06,6.9973e-08,,,,,,,,,,,
Sam 17,2.65239e-08,1.19837e-02,4.2364e-03,4.9365e-05,4.7259e-06,7.0497e-08,,,,,,            0.9365,            7.1150,            7.6381,           14.4112,          -13.4443,           -2.1394,            1.1785,           -0.3333,            0.1288,          -28.0765,
Ref 18,2.67335e-08,,,,,,1.1972e-02,4.2064e-03,4.8984e-05,4.6565e-06,7.2961e-08,,,,,,,,,,,
Sam 18,2.61540e-08,1.19837e-02,4.2363e-03,4.9355e-05,4.7225e-06,7.7860e-08,,,,,,            0.9413,            7.0985,            7.5589,           13.9922,           56.6578,           -2.1337,            1.1621,           -0.4007,           -0.2515,           41.0141,
Ref 19,2.63734e-08,,,,,,1.1972e-02,4.2065e-03,4.8986e-05,4.6582e-06,7.4418e-08,,,,,,,,,,,
Sam 19,2.58016e-08,1.19837e-02,4.2363e-03,4.9358e-05,4.7263e-06,7.2263e-08,,,,,,            0.9367,            7.1199,            7.6552,           14.6325,          -41.7350,           -2.1394,            1.1835,           -0.3213,            0.3371,          -55.9569,
Ref 20,2.60307e-08,,,,,,1.1972e-02,4.2063e-03,4.8981e-05,4.6582e-06,7.6415e-08,,,,,,,,,,,
Sam 20,2.54541e-08,1.19836e-02,4.2363e-03,4.9353e-05,4.7243e-06,7.5610e-08,,,,,,            0.9324,            7.1141,            7.5767,           13.7790,           -5.7545,           -2.1438,            1.1777,           -0.3890,           -0.4928,          -20.4947,
Ref 21,2.56873e-08,,,,,,1.1972e-02,4.2064e-03,4.8983e-05,4.6621e-06,7.5675e-08,,,,,,,,,,,


