Nu Stable Isotope Analysis Program
Data Collected on Sunday, July 03, 2022 at 13:39 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, July 03, 2022 at 14:37 with Stable 1.71.5 on PS019

Data File = Data_17516 ETH-3.txt,         Sample Weight = 487,                      Vial Location = 49,                       Initial Sam Beam = 1.5775e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7124e-08,                Max Ref Beam = 1.0635e-07,                

Analysis undertaken at mass 46.02649
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.15552e-08,,,,,,1.1974e-02,4.2068e-03,4.8955e-05,4.6411e-06,4.9901e-08,
Sam 1,6.09619e-08,1.20284e-02,4.2568e-03,4.9744e-05,4.7507e-06,5.3384e-08,,,,,,            4.5055,           11.8616,           16.1178,           23.6144,           80.9604,            1.4951,            5.8944,           -0.2485,           -0.2438,           51.1379,
Ref 2,6.04999e-08,,,,,,1.1975e-02,4.2070e-03,4.8955e-05,4.6411e-06,4.8862e-08,,,,,,,,,,,
Sam 2,5.99201e-08,1.20286e-02,4.2569e-03,4.9745e-05,4.7489e-06,5.0994e-08,,,,,,            4.4928,           11.8442,           16.0995,           23.1581,           70.0316,            1.4822,            5.8771,           -0.2366,           -0.6550,           40.5597,
Ref 3,5.94819e-08,,,,,,1.1975e-02,4.2072e-03,4.8959e-05,4.6416e-06,4.6431e-08,,,,,,,,,,,
Sam 3,5.88960e-08,1.20288e-02,4.2570e-03,4.9751e-05,4.7505e-06,5.0427e-08,,,,,,            4.4936,           11.8327,           16.1528,           23.2898,           37.8198,            1.4835,            5.8657,           -0.1738,           -0.5037,            9.2569,
Ref 4,5.84885e-08,,,,,,1.1975e-02,4.2072e-03,4.8960e-05,4.6432e-06,5.0784e-08,,,,,,,,,,,
Sam 4,5.78952e-08,1.20288e-02,4.2570e-03,4.9752e-05,4.7485e-06,5.0606e-08,,,,,,            4.4857,           11.8367,           16.1418,           22.7982,           -2.0683,            1.4749,            5.8697,           -0.1803,           -0.9917,          -29.5328,
Ref 5,5.75173e-08,,,,,,1.1975e-02,4.2072e-03,4.8963e-05,4.6422e-06,5.0637e-08,,,,,,,,,,,
Sam 5,5.69332e-08,1.20289e-02,4.2571e-03,4.9749e-05,4.7507e-06,4.9150e-08,,,,,,            4.4954,           11.8468,           16.0487,           23.4325,          -21.1242,            1.4849,            5.8796,           -0.2916,           -0.3920,          -48.0926,
Ref 6,5.65863e-08,,,,,,1.1975e-02,4.2073e-03,4.8964e-05,4.6417e-06,4.9777e-08,,,,,,,,,,,
Sam 6,5.59861e-08,1.20287e-02,4.2571e-03,4.9752e-05,4.7508e-06,5.2073e-08,,,,,,            4.4851,           11.8436,           16.1253,           23.3785,           55.4563,            1.4740,            5.8765,           -0.2026,           -0.4385,           26.3956,
Ref 7,5.56589e-08,,,,,,1.1975e-02,4.2073e-03,4.8962e-05,4.6429e-06,4.8890e-08,,,,,,,,,,,
Sam 7,5.50661e-08,1.20289e-02,4.2572e-03,4.9753e-05,4.7519e-06,5.1131e-08,,,,,,            4.4951,           11.8426,           16.1036,           23.8239,           62.4941,            1.4847,            5.8755,           -0.2332,           -0.0016,           33.2305,
Ref 8,5.47531e-08,,,,,,1.1975e-02,4.2074e-03,4.8966e-05,4.6396e-06,4.7345e-08,,,,,,,,,,,
Sam 8,5.41650e-08,1.20288e-02,4.2572e-03,4.9754e-05,4.7513e-06,5.2022e-08,,,,,,            4.4850,           11.8363,           16.0687,           23.8622,           58.5546,            1.4742,            5.8693,           -0.2512,            0.0483,           29.4232,
Ref 9,5.38693e-08,,,,,,1.1975e-02,4.2074e-03,4.8968e-05,4.6415e-06,5.0973e-08,,,,,,,,,,,
Sam 9,5.32781e-08,1.20288e-02,4.2572e-03,4.9753e-05,4.7514e-06,5.2149e-08,,,,,,            4.4758,           11.8329,           16.0361,           23.4267,           38.5667,            1.4645,            5.8659,           -0.2704,           -0.3703,           10.0020,
Ref 10,5.29933e-08,,,,,,1.1975e-02,4.2074e-03,4.8967e-05,4.6438e-06,4.9440e-08,,,,,,,,,,,
Sam 10,5.23948e-08,1.20287e-02,4.2572e-03,4.9753e-05,4.7509e-06,5.1428e-08,,,,,,            4.4765,           11.8430,           16.0611,           23.0064,           31.7536,            1.4649,            5.8759,           -0.2564,           -0.8007,            3.3557,
Ref 11,5.21390e-08,,,,,,1.1975e-02,4.2074e-03,4.8967e-05,4.6442e-06,5.0257e-08,,,,,,,,,,,
Sam 11,5.15465e-08,1.20289e-02,4.2572e-03,4.9761e-05,4.7522e-06,5.0151e-08,,,,,,            4.4902,           11.8387,           16.1675,           23.4520,           -2.2601,            1.4796,            5.8717,           -0.1616,           -0.3571,          -29.7278,
Ref 12,5.12973e-08,,,,,,1.1975e-02,4.2074e-03,4.8971e-05,4.6424e-06,5.0273e-08,,,,,,,,,,,
Sam 12,5.07003e-08,1.20287e-02,4.2572e-03,4.9756e-05,4.7521e-06,4.8660e-08,,,,,,            4.4804,           11.8425,           16.0289,           23.5669,            6.9168,            1.4691,            5.8754,           -0.2916,           -0.2523,          -20.8005,
Ref 13,5.04569e-08,,,,,,1.1975e-02,4.2074e-03,4.8970e-05,4.6430e-06,4.6347e-08,,,,,,,,,,,
Sam 13,4.98815e-08,1.20288e-02,4.2572e-03,4.9758e-05,4.7554e-06,4.6874e-08,,,,,,            4.4968,           11.8401,           16.0823,           24.3700,          -14.5326,            1.4867,            5.8730,           -0.2536,            0.5369,          -41.6716,
Ref 14,4.96609e-08,,,,,,1.1975e-02,4.2074e-03,4.8971e-05,4.6414e-06,4.8804e-08,,,,,,,,,,,
Sam 14,4.90899e-08,1.20287e-02,4.2572e-03,4.9759e-05,4.7543e-06,4.8996e-08,,,,,,            4.4828,           11.8232,           16.1315,           24.2304,           54.7456,            1.4722,            5.8562,           -0.1743,            0.4339,           25.7477,
Ref 15,4.88820e-08,,,,,,1.1975e-02,4.2075e-03,4.8967e-05,4.6422e-06,4.4065e-08,,,,,,,,,,,
Sam 15,4.83172e-08,1.20288e-02,4.2572e-03,4.9756e-05,4.7528e-06,4.6590e-08,,,,,,            4.4805,           11.8227,           16.0267,           23.7009,           42.9688,            1.4699,            5.8558,           -0.2747,           -0.0824,           14.2979,
Ref 16,4.81179e-08,,,,,,1.1975e-02,4.2075e-03,4.8976e-05,4.6433e-06,4.5285e-08,,,,,,,,,,,
Sam 16,4.75475e-08,1.20288e-02,4.2572e-03,4.9760e-05,4.7527e-06,5.1428e-08,,,,,,            4.4914,           11.8360,           16.0391,           23.6325,           87.1849,            1.4810,            5.8689,           -0.2865,           -0.1754,           57.2591,
Ref 17,4.73678e-08,,,,,,1.1975e-02,4.2074e-03,4.8974e-05,4.6427e-06,4.9355e-08,,,,,,,,,,,
Sam 17,4.68050e-08,1.20287e-02,4.2572e-03,4.9756e-05,4.7518e-06,4.9337e-08,,,,,,            4.4958,           11.8411,           15.9223,           23.4375,            4.7090,            1.4855,            5.8740,           -0.4110,           -0.3759,          -22.9608,
Ref 18,4.66286e-08,,,,,,1.1975e-02,4.2074e-03,4.8978e-05,4.6432e-06,4.8852e-08,,,,,,,,,,,
Sam 18,4.60945e-08,1.20285e-02,4.2572e-03,4.9767e-05,4.7539e-06,5.2910e-08,,,,,,            4.4765,           11.8380,           16.1440,           23.9282,           89.7425,            1.4651,            5.8710,           -0.1701,            0.1095,           59.7588,
Ref 19,4.59229e-08,,,,,,1.1975e-02,4.2074e-03,4.8973e-05,4.6423e-06,4.8248e-08,,,,,,,,,,,
Sam 19,4.53640e-08,1.20285e-02,4.2572e-03,4.9762e-05,4.7518e-06,5.1184e-08,,,,,,            4.4779,           11.8362,           16.1227,           23.6286,           52.9125,            1.4666,            5.8691,           -0.1905,           -0.1796,           23.9444,
Ref 20,4.52064e-08,,,,,,1.1975e-02,4.2074e-03,4.8972e-05,4.6420e-06,4.8981e-08,,,,,,,,,,,
Sam 20,4.46526e-08,1.20284e-02,4.2572e-03,4.9758e-05,4.7514e-06,5.1623e-08,,,,,,            4.4817,           11.8374,           15.9983,           23.7895,           57.5614,            1.4706,            5.8704,           -0.3181,           -0.0249,           28.4587,
Ref 21,4.45136e-08,,,,,,1.1975e-02,4.2074e-03,4.8976e-05,4.6399e-06,4.8643e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.41721e-08,,,,,,1.1975e-02,4.2074e-03,4.8976e-05,4.6471e-06,4.8889e-08,
Sam 1,4.36194e-08,1.20285e-02,4.2572e-03,4.9758e-05,4.7549e-06,5.1976e-08,,,,,,            4.4931,           11.8428,           15.9646,           23.8230,           42.9051,            1.4826,            5.8758,           -0.3682,           -0.0028,           14.1828,
Ref 2,4.34981e-08,,,,,,1.1975e-02,4.2073e-03,4.8976e-05,4.6414e-06,5.0802e-08,,,,,,,,,,,
Sam 2,4.29425e-08,1.20283e-02,4.2572e-03,4.9762e-05,4.7514e-06,5.5340e-08,,,,,,            4.4859,           11.8538,           16.0652,           23.5279,           75.7338,            1.4745,            5.8867,           -0.2725,           -0.3128,           46.0930,
Ref 3,4.28399e-08,,,,,,1.1975e-02,4.2074e-03,4.8975e-05,4.6429e-06,5.2096e-08,,,,,,,,,,,
Sam 3,4.22870e-08,1.20283e-02,4.2571e-03,4.9760e-05,4.7510e-06,5.1356e-08,,,,,,            4.4869,           11.8143,           16.0187,           23.0462,           -8.7405,            1.4770,            5.8473,           -0.2808,           -0.7052,          -35.9806,
Ref 4,4.21926e-08,,,,,,1.1975e-02,4.2074e-03,4.8975e-05,4.6451e-06,5.1518e-08,,,,,,,,,,,
Sam 4,4.16475e-08,1.20283e-02,4.2572e-03,4.9765e-05,4.7494e-06,5.2673e-08,,,,,,            4.4884,           11.8218,           16.1441,           22.9423,           26.2999,            1.4783,            5.8548,           -0.1663,           -0.8215,           -1.9192,
Ref 5,4.15649e-08,,,,,,1.1974e-02,4.2074e-03,4.8973e-05,4.6406e-06,5.1125e-08,,,,,,,,,,,
Sam 5,4.10099e-08,1.20283e-02,4.2571e-03,4.9761e-05,4.7555e-06,5.1748e-08,,,,,,            4.4940,           11.8175,           16.1543,           24.4391,           33.5447,            1.4844,            5.8506,           -0.1579,            0.6490,            5.1287,
Ref 6,4.09382e-08,,,,,,1.1975e-02,4.2073e-03,4.8968e-05,4.6434e-06,4.8995e-08,,,,,,,,,,,
Sam 6,4.03925e-08,1.20282e-02,4.2571e-03,4.9756e-05,4.7512e-06,4.8103e-08,,,,,,            4.4784,           11.8311,           16.0502,           22.8955,          -13.7750,            1.4673,            5.8641,           -0.2575,           -0.8856,          -40.8994,
Ref 7,4.03324e-08,,,,,,1.1975e-02,4.2073e-03,4.8973e-05,4.6464e-06,4.8551e-08,,,,,,,,,,,
Sam 7,3.97779e-08,1.20282e-02,4.2571e-03,4.9760e-05,4.7538e-06,5.2856e-08,,,,,,            4.4866,           11.8045,           16.0607,           23.3718,           43.0513,            1.4770,            5.8376,           -0.2297,           -0.3679,           14.4075,
Ref 8,3.97197e-08,,,,,,1.1974e-02,4.2076e-03,4.8975e-05,4.6441e-06,5.2830e-08,,,,,,,,,,,
Sam 8,3.91881e-08,1.20282e-02,4.2570e-03,4.9753e-05,4.7533e-06,5.7544e-08,,,,,,            4.4978,           11.7805,           15.9059,           23.6390,           94.8076,            1.4897,            5.8137,           -0.3702,           -0.0594,           64.7795,
Ref 9,3.91469e-08,,,,,,1.1974e-02,4.2073e-03,4.8972e-05,4.6429e-06,5.2287e-08,,,,,,,,,,,
Sam 9,3.86026e-08,1.20280e-02,4.2570e-03,4.9759e-05,4.7563e-06,5.4141e-08,,,,,,            4.4907,           11.8235,           16.0826,           24.0760,           27.1869,            1.4807,            5.8565,           -0.2308,            0.2824,           -1.0625,
Ref 10,3.86104e-08,,,,,,1.1974e-02,4.2072e-03,4.8971e-05,4.6461e-06,5.3134e-08,,,,,,,,,,,
Sam 10,3.80542e-08,1.20278e-02,4.2570e-03,4.9755e-05,4.7524e-06,4.8944e-08,,,,,,            4.4713,           11.8297,           16.0125,           23.0870,          -17.1620,            1.4598,            5.8627,           -0.2859,           -0.6959,          -44.1835,
Ref 11,3.80340e-08,,,,,,1.1974e-02,4.2072e-03,4.8971e-05,4.6442e-06,4.6413e-08,,,,,,,,,,,
Sam 11,3.74895e-08,1.20280e-02,4.2569e-03,4.9762e-05,4.7554e-06,5.3640e-08,,,,,,            4.4816,           11.8094,           16.0652,           24.0073,          106.7015,            1.4715,            5.8425,           -0.2250,            0.2432,           76.3052,
Ref 12,3.74819e-08,,,,,,1.1974e-02,4.2073e-03,4.8980e-05,4.6436e-06,5.0555e-08,,,,,,,,,,,
Sam 12,3.69387e-08,1.20279e-02,4.2570e-03,4.9759e-05,4.7548e-06,5.1681e-08,,,,,,            4.4798,           11.8158,           15.9022,           23.9812,           58.3611,            1.4694,            5.8489,           -0.3897,            0.2051,           29.2817,
Ref 13,3.69389e-08,,,,,,1.1974e-02,4.2072e-03,4.8979e-05,4.6433e-06,4.7082e-08,,,,,,,,,,,
Sam 13,3.63955e-08,1.20277e-02,4.2570e-03,4.9753e-05,4.7556e-06,5.2074e-08,,,,,,            4.4728,           11.8309,           15.8100,           23.6043,           80.2063,            1.4614,            5.8639,           -0.4879,           -0.1928,           50.5037,
Ref 14,3.64045e-08,,,,,,1.1974e-02,4.2073e-03,4.8978e-05,4.6485e-06,4.9350e-08,,,,,,,,,,,
Sam 14,3.58682e-08,1.20277e-02,4.2569e-03,4.9758e-05,4.7499e-06,4.9778e-08,,,,,,            4.4891,           11.8103,           16.0733,           22.0551,           11.4179,            1.4794,            5.8434,           -0.2256,           -1.6654,          -16.3708,
Ref 15,3.58822e-08,,,,,,1.1974e-02,4.2071e-03,4.8963e-05,4.6464e-06,4.9081e-08,,,,,,,,,,,
Sam 15,3.53370e-08,1.20277e-02,4.2568e-03,4.9759e-05,4.7539e-06,5.0284e-08,,,,,,            4.4884,           11.8209,           16.2065,           23.3469,           45.0434,            1.4783,            5.8540,           -0.1041,           -0.4246,           16.3106,
Ref 16,3.53701e-08,,,,,,1.1974e-02,4.2071e-03,4.8968e-05,4.6445e-06,4.7138e-08,,,,,,,,,,,
Sam 16,3.48275e-08,1.20276e-02,4.2569e-03,4.9754e-05,4.7486e-06,5.1291e-08,,,,,,            4.4786,           11.8325,           16.0818,           22.5086,           83.7989,            1.4675,            5.8654,           -0.2279,           -1.2662,           53.9878,
Ref 17,3.48663e-08,,,,,,1.1974e-02,4.2070e-03,4.8965e-05,4.6437e-06,4.7516e-08,,,,,,,,,,,
Sam 17,3.43231e-08,1.20275e-02,4.2568e-03,4.9756e-05,4.7549e-06,4.9888e-08,,,,,,            4.4825,           11.8322,           15.9662,           23.5662,           11.6253,            1.4716,            5.8652,           -0.3453,           -0.2327,          -16.2041,
Ref 18,3.43677e-08,,,,,,1.1974e-02,4.2070e-03,4.8983e-05,4.6472e-06,5.1140e-08,,,,,,,,,,,
Sam 18,3.38197e-08,1.20278e-02,4.2569e-03,4.9755e-05,4.7503e-06,5.3925e-08,,,,,,            4.5052,           11.8348,           15.8589,           22.0833,           69.0012,            1.4958,            5.8677,           -0.4769,           -1.6861,           39.5631,
Ref 19,3.38800e-08,,,,,,1.1974e-02,4.2071e-03,4.8973e-05,4.6482e-06,4.9739e-08,,,,,,,,,,,
Sam 19,3.33687e-08,1.20275e-02,4.2568e-03,4.9752e-05,4.7547e-06,4.7264e-08,,,,,,            4.4832,           11.8367,           15.9297,           23.0409,          -62.0313,            1.4722,            5.8697,           -0.3864,           -0.7546,          -87.8431,
Ref 20,3.34335e-08,,,,,,1.1974e-02,4.2070e-03,4.8971e-05,4.6470e-06,5.1050e-08,,,,,,,,,,,
Sam 20,3.28782e-08,1.20276e-02,4.2567e-03,4.9763e-05,4.7510e-06,5.0172e-08,,,,,,            4.4948,           11.8293,           16.2150,           22.6093,           27.5507,            1.4848,            5.8622,           -0.1103,           -1.1615,           -0.7241,
Ref 21,3.29551e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6449e-06,4.6571e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.27221e-08,,,,,,1.1974e-02,4.2070e-03,4.8968e-05,4.6486e-06,4.8455e-08,
Sam 1,3.31522e-08,1.19942e-02,4.2260e-03,4.9279e-05,4.6885e-06,4.9423e-08,,,,,,            1.7084,            4.5150,            6.3162,            8.8880,           28.1362,           -1.2279,           -1.4105,            0.1037,           -0.1609,           17.2172,
Ref 2,3.23642e-08,,,,,,1.1974e-02,4.2070e-03,4.8972e-05,4.6459e-06,4.7681e-08,,,,,,,,,,,
Sam 2,3.18163e-08,1.20271e-02,4.2566e-03,4.9756e-05,4.7554e-06,5.0571e-08,,,,,,            4.4768,           11.8174,           16.0184,           23.5741,            5.8358,            1.4661,            5.8504,           -0.2738,           -0.1957,          -21.8002,
Ref 3,3.19136e-08,,,,,,1.1973e-02,4.2068e-03,4.8971e-05,4.6459e-06,5.2910e-08,,,,,,,,,,,
Sam 3,3.13664e-08,1.20271e-02,4.2566e-03,4.9752e-05,4.7533e-06,5.6831e-08,,,,,,            4.4880,           11.8269,           15.9158,           23.1803,           46.6004,            1.4777,            5.8599,           -0.3955,           -0.5991,           17.8134,
Ref 4,3.14737e-08,,,,,,1.1973e-02,4.2068e-03,4.8973e-05,4.6453e-06,5.5712e-08,,,,,,,,,,,
Sam 4,3.09258e-08,1.20271e-02,4.2566e-03,4.9759e-05,4.7580e-06,5.7173e-08,,,,,,            4.4884,           11.8333,           16.0043,           24.3104,          -10.3228,            1.4779,            5.8663,           -0.3151,            0.4920,          -37.5565,
Ref 5,3.10426e-08,,,,,,1.1973e-02,4.2068e-03,4.8977e-05,4.6448e-06,5.9855e-08,,,,,,,,,,,
Sam 5,3.04925e-08,1.20270e-02,4.2565e-03,4.9755e-05,4.7587e-06,5.5839e-08,,,,,,            4.4847,           11.8244,           15.9025,           24.3076,          -10.1441,            1.4743,            5.8574,           -0.4027,            0.5070,          -37.3622,
Ref 6,3.06108e-08,,,,,,1.1973e-02,4.2068e-03,4.8975e-05,4.6468e-06,5.2918e-08,,,,,,,,,,,
Sam 6,3.00643e-08,1.20268e-02,4.2566e-03,4.9768e-05,4.7540e-06,5.8216e-08,,,,,,            4.4738,           11.8400,           16.2048,           22.8946,           55.8205,            1.4621,            5.8730,           -0.1094,           -0.9041,           26.7692,
Ref 7,3.01921e-08,,,,,,1.1973e-02,4.2067e-03,4.8973e-05,4.6484e-06,5.7390e-08,,,,,,,,,,,
Sam 7,2.96463e-08,1.20269e-02,4.2566e-03,4.9760e-05,4.7556e-06,6.1070e-08,,,,,,            4.4822,           11.8467,           16.0533,           23.1134,           50.2595,            1.4708,            5.8797,           -0.2736,           -0.7036,           21.3387,
Ref 8,2.97804e-08,,,,,,1.1973e-02,4.2067e-03,4.8975e-05,4.6480e-06,5.8915e-08,,,,,,,,,,,
Sam 8,2.92344e-08,1.20269e-02,4.2565e-03,4.9757e-05,4.7586e-06,5.5979e-08,,,,,,            4.4845,           11.8273,           15.9973,           23.9329,          -35.2965,            1.4740,            5.8603,           -0.3122,            0.1351,          -61.8282,
Ref 9,2.93733e-08,,,,,,1.1973e-02,4.2067e-03,4.8972e-05,4.6467e-06,5.7126e-08,,,,,,,,,,,
Sam 9,2.88303e-08,1.20268e-02,4.2564e-03,4.9764e-05,4.7570e-06,6.0534e-08,,,,,,            4.4829,           11.8093,           16.1327,           23.7418,           52.9285,            1.4729,            5.8424,           -0.1597,           -0.0160,           24.0079,
Ref 10,2.89784e-08,,,,,,1.1973e-02,4.2068e-03,4.8977e-05,4.6467e-06,5.7862e-08,,,,,,,,,,,
Sam 10,2.84341e-08,1.20270e-02,4.2565e-03,4.9758e-05,4.7563e-06,5.6089e-08,,,,,,            4.4902,           11.8237,           16.0506,           23.5128,          -20.2768,            1.4802,            5.8567,           -0.2620,           -0.2680,          -47.2206,
Ref 11,2.85892e-08,,,,,,1.1973e-02,4.2068e-03,4.8967e-05,4.6474e-06,5.6629e-08,,,,,,,,,,,
Sam 11,2.80460e-08,1.20269e-02,4.2565e-03,4.9760e-05,4.7562e-06,5.5310e-08,,,,,,            4.4838,           11.8223,           16.0727,           23.5615,          -36.8682,            1.4734,            5.8553,           -0.2323,           -0.2176,          -63.3468,
Ref 12,2.82061e-08,,,,,,1.1973e-02,4.2067e-03,4.8978e-05,4.6460e-06,5.8235e-08,,,,,,,,,,,
Sam 12,2.76661e-08,1.20267e-02,4.2564e-03,4.9757e-05,4.7562e-06,6.3799e-08,,,,,,            4.4715,           11.8325,           16.0575,           23.6046,           39.8194,            1.4599,            5.8655,           -0.2445,           -0.1956,           11.2256,
Ref 13,2.78343e-08,,,,,,1.1973e-02,4.2066e-03,4.8963e-05,4.6469e-06,6.4519e-08,,,,,,,,,,,
Sam 13,2.72908e-08,1.20268e-02,4.2565e-03,4.9754e-05,4.7577e-06,6.0765e-08,,,,,,            4.4797,           11.8494,           16.0120,           24.2152,           -5.9114,            1.4681,            5.8823,           -0.3143,            0.3672,          -33.2879,
Ref 14,2.74837e-08,,,,,,1.1973e-02,4.2066e-03,4.8978e-05,4.6434e-06,5.7690e-08,,,,,,,,,,,
Sam 14,2.69309e-08,1.20267e-02,4.2564e-03,4.9764e-05,4.7550e-06,6.0939e-08,,,,,,            4.4838,           11.8298,           16.0843,           23.4823,           39.6483,            1.4731,            5.8627,           -0.2281,           -0.3098,           11.0514,
Ref 15,2.71042e-08,,,,,,1.1973e-02,4.2066e-03,4.8975e-05,4.6484e-06,5.9554e-08,,,,,,,,,,,
Sam 15,2.65672e-08,1.20265e-02,4.2563e-03,4.9754e-05,4.7607e-06,6.5227e-08,,,,,,            4.4738,           11.8124,           15.8547,           24.2056,           66.9432,            1.4631,            5.8455,           -0.4269,            0.4311,           37.6415,
Ref 16,2.67470e-08,,,,,,1.1973e-02,4.2067e-03,4.8981e-05,4.6480e-06,6.2736e-08,,,,,,,,,,,
Sam 16,2.62074e-08,1.20266e-02,4.2563e-03,4.9755e-05,4.7553e-06,6.2915e-08,,,,,,            4.4832,           11.7967,           15.8968,           23.5237,           -6.7263,            1.4737,            5.8298,           -0.3799,           -0.2039,          -33.9848,
Ref 17,2.63964e-08,,,,,,1.1973e-02,4.2067e-03,4.8972e-05,4.6439e-06,6.3955e-08,,,,,,,,,,,
Sam 17,2.58598e-08,1.20265e-02,4.2564e-03,4.9752e-05,4.7583e-06,6.8719e-08,,,,,,            4.4768,           11.8384,           15.8760,           24.0607,           89.4182,            1.4654,            5.8713,           -0.4343,            0.2382,           59.4424,
Ref 18,2.60557e-08,,,,,,1.1973e-02,4.2066e-03,4.8978e-05,4.6490e-06,6.2190e-08,,,,,,,,,,,
Sam 18,2.55137e-08,1.20265e-02,4.2563e-03,4.9764e-05,4.7637e-06,6.5712e-08,,,,,,            4.4755,           11.8180,           16.0435,           24.9483,           47.9706,            1.4647,            5.8511,           -0.2484,            1.1454,           19.1771,
Ref 19,2.57168e-08,,,,,,1.1973e-02,4.2065e-03,4.8979e-05,4.6464e-06,6.3225e-08,,,,,,,,,,,
Sam 19,2.51790e-08,1.20265e-02,4.2563e-03,4.9748e-05,4.7579e-06,6.9845e-08,,,,,,            4.4729,           11.8301,           15.7368,           23.5115,          104.8061,            1.4616,            5.8631,           -0.5593,           -0.2819,           74.4286,
Ref 20,2.53935e-08,,,,,,1.1973e-02,4.2065e-03,4.8975e-05,4.6509e-06,6.3214e-08,,,,,,,,,,,
Sam 20,2.48534e-08,1.20265e-02,4.2562e-03,4.9763e-05,4.7551e-06,6.9170e-08,,,,,,            4.4792,           11.8183,           16.1222,           22.4416,          104.4841,            1.4687,            5.8514,           -0.1751,           -1.3037,           74.1328,
Ref 21,2.50641e-08,,,,,,1.1973e-02,4.2065e-03,4.8971e-05,4.6506e-06,6.2032e-08,,,,,,,,,,,


