Batch,20230210 clumped Oman Thule ABJ KDB,Collected on,2023/02/11 12:46:35,Analysis Instrument,PS019,Acquisition Software,Stable 1.71.5,Reanalyzed  on,2023/02/11 13:45:32,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19273 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 12:46:35,426,1,9.6510e-08,2.265501E-10,CF,14.862,5.210e-02,0,5.0938e-02,15488, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9838e-08,1.0659e-07,9.2624e-08,9.4648e-08,9.4556e-08,9.3748e-08,0.96,2023/02/11 12:45:50,0.86,4882,8448,5.2096e-02,46.053,20,8,20,20,0.000,-2.6494e-13,-1.2537e-13,-1.3483e-13,-7.6275e-14,2.2942e-14,3.6621e-12,35.00,35.00,71.40,-1.93e02,-1.62e02,71.40,0.00,71.40,71.40,2023/02/11 11:50:39,2023/02/11 12:46:16,111,4.19148e-08,0.000,0,63,3.97933e-08,2.52026e-09,0,60,1.20360e-02,2.50786e-07,0,60,4.2577e-03,1.4714e-07,0,60,4.9765e-05,3.1420e-09,0,60,4.7493e-06,7.3753e-10,0,60,6.3826e-08,1.6607e-09,0,60,1.1980e-02,2.3028e-07,0,63,4.2108e-03,1.4393e-07,0,63,4.9017e-05,3.4109e-09,0,63,4.6453e-06,6.6084e-10,0,63,5.9576e-08,1.4302e-09,0,63,4.6867,0.0025,0,60,11.1313,0.0066,0,60,15.2554,0.0198,0,60,22.3741,0.0709,0,60,71.9382,4.8417,0,60,1.7132,0.0024,0,60,5.1673,0.0066,0,60,-0.5728,0.0140,0,60,-0.0121,0.0730,0,60,43.6464,4.7160,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19274 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 14:11:37,522,2,1.3332e-07,2.554006E-10,CF,20.111,5.094e-02,1,4.8698e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9048e-08,1.0621e-07,5.4667e-08,5.4490e-08,5.4458e-08,5.4332e-08,0.96,2023/02/11 14:10:52,0.23,6762,8448,5.0938e-02,46.049,20,8,20,20,0.000,-2.6365e-13,-1.2492e-13,-1.3443e-13,-7.5653e-14,2.3997e-14,3.7846e-12,22.00,22.00,71.32,-1.93e02,-1.73e02,71.32,0.18,70.96,71.40,2023/02/11 13:13:32,2023/02/11 13:49:34,72,3.45210e-08,0.000,0,63,3.34335e-08,1.14517e-09,0,60,1.18940e-02,1.74710e-07,0,60,4.1883e-03,7.5242e-08,0,60,4.8361e-05,1.2015e-09,0,60,4.5857e-06,7.3761e-10,0,60,3.2809e-08,1.7516e-09,0,60,1.1980e-02,1.6731e-07,0,63,4.2113e-03,6.9885e-08,0,63,4.9018e-05,1.2271e-09,0,63,4.6370e-06,6.9962e-10,0,63,3.3576e-08,1.6716e-09,0,63,-7.1877,0.0009,0,60,-5.4502,0.0017,0,60,-13.4065,0.0134,0,60,-11.0734,0.0727,0,60,-31.2532,17.5400,0,60,-10.3502,0.0010,0,60,-11.3082,0.0016,0,60,-0.6841,0.0133,0,60,-0.2049,0.0733,0,60,-13.2428,17.8658,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19275 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 15:33:38,429,3,1.3157e-07,3.0669E-10,CF,20.569,4.981e-02,1,4.9805e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8293e-08,1.0583e-07,5.4182e-08,5.4056e-08,5.4017e-08,5.3896e-08,0.96,2023/02/11 15:32:53,0.22,6724,8448,4.9805e-02,46.051,20,8,20,20,0.000,-2.6452e-13,-1.2526e-13,-1.3471e-13,-7.5697e-14,2.4247e-14,3.8660e-12,22.00,23.00,70.90,-1.93e02,-1.72e02,70.90,0.00,70.90,70.90,2023/02/11 14:35:05,2023/02/11 15:14:35,79,3.42380e-08,0.000,0,63,3.32850e-08,1.13477e-09,0,60,1.20334e-02,1.83162e-07,0,60,4.2606e-03,8.3897e-08,0,60,4.9802e-05,5.4821e-10,0,60,4.7532e-06,5.1741e-10,0,60,6.2164e-08,1.3252e-09,0,60,1.1980e-02,1.6998e-07,0,63,4.2115e-03,7.2522e-08,0,63,4.9028e-05,4.8629e-10,0,63,4.6446e-06,5.0454e-10,0,63,5.9954e-08,1.1872e-09,0,63,4.4207,0.0012,0,60,11.6530,0.0025,0,60,15.7852,0.0104,0,60,23.4022,0.0606,0,60,36.8405,4.6621,0,60,1.4121,0.0013,0,60,5.6870,0.0025,0,60,-0.2860,0.0103,0,60,-0.0388,0.0596,0,60,8.7350,4.5372,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19276 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 16:55:46,426,4,1.3489e-07,3.166532E-10,CF,20.477,4.981e-02,1,4.8698e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7599e-08,1.0650e-07,5.5702e-08,5.5765e-08,5.5724e-08,5.5597e-08,0.96,2023/02/11 16:55:00,0.23,6511,8447,4.9805e-02,46.051,20,8,20,20,0.000,-2.6397e-13,-1.2502e-13,-1.3450e-13,-7.5281e-14,2.5213e-14,3.8892e-12,22.00,23.00,70.90,-1.93e02,-1.62e02,70.90,0.00,70.90,70.90,2023/02/11 15:57:41,2023/02/11 16:36:38,78,3.52830e-08,0.000,0,63,3.42236e-08,1.15929e-09,0,60,1.19224e-02,4.61048e-07,0,60,4.2290e-03,2.2913e-07,0,60,4.8978e-05,1.5256e-08,0,60,4.6752e-06,9.6204e-10,0,60,3.1833e-08,1.4618e-09,0,60,1.1980e-02,1.5879e-07,0,63,4.2115e-03,6.4013e-08,0,63,4.9020e-05,1.2097e-09,0,63,4.6352e-06,6.3409e-10,0,63,3.1960e-08,1.4006e-09,0,63,-4.8474,0.0345,0,60,4.1654,0.0523,0,60,-0.8659,0.3115,0,60,8.6353,0.1540,0,60,-6.4615,12.2104,0,60,-8.1930,0.0385,0,60,-1.7441,0.0521,0,60,0.0507,0.3277,0,60,0.2861,0.2528,0,60,-9.4534,12.1663,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19277 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 18:17:45,456,5,1.5127e-07,3.317356E-10,CF,23.468,4.981e-02,1,4.8698e-02,15360, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6980e-08,1.0640e-07,6.3007e-08,6.3548e-08,6.3497e-08,6.3368e-08,0.96,2023/02/11 18:16:59,0.20,5930,8447,4.9805e-02,46.051,20,8,20,20,0.000,-2.6484e-13,-1.2540e-13,-1.3475e-13,-7.4768e-14,2.7001e-14,3.9294e-12,23.00,23.00,70.90,-1.93e02,-1.71e02,70.90,0.00,70.90,70.90,2023/02/11 17:19:49,2023/02/11 17:58:38,77,3.95020e-08,0.000,0,63,3.83845e-08,1.36537e-09,0,60,1.20420e-02,1.58101e-07,0,60,4.2583e-03,6.1983e-08,0,60,4.9791e-05,1.0215e-09,0,60,4.7483e-06,6.0690e-10,0,60,6.1411e-08,8.3922e-10,0,60,1.1981e-02,1.4432e-07,0,63,4.2117e-03,5.3450e-08,0,63,4.9026e-05,1.0526e-09,0,63,4.6461e-06,5.4166e-10,0,63,5.9289e-08,7.7920e-10,0,63,5.0935,0.0012,0,60,11.0587,0.0025,0,60,15.6068,0.0131,0,60,22.0067,0.0664,0,60,36.1563,4.2913,0,60,2.1486,0.0013,0,60,5.0941,0.0024,0,60,-0.5730,0.0129,0,60,-0.2279,0.0646,0,60,8.5172,4.1773,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19278 KDW_73_2_A.txt,KDW_73_2_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 19:42:13,451,6,6.3373e-08,1.405163E-10,CF,9.338,5.094e-02,0,4.8698e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6233e-08,1.0597e-07,6.0832e-08,5.5031e-08,5.4987e-08,5.4833e-08,0.96,2023/02/11 19:41:27,0.28,6472,8446,5.0938e-02,46.051,20,8,20,20,0.000,-2.6412e-13,-1.2510e-13,-1.3461e-13,-7.4819e-14,2.5588e-14,3.9715e-12,32.00,32.00,70.90,-1.93e02,-1.69e02,70.90,0.00,70.90,70.90,2023/02/11 18:41:53,2023/02/11 19:20:45,77,2.68897e-08,0.000,0,63,2.51541e-08,1.40552e-09,0,60,1.20307e-02,3.16428e-07,0,60,4.2586e-03,1.6407e-07,0,60,4.9766e-05,3.4588e-09,0,60,4.7328e-06,2.0735e-09,0,60,2.0475e-08,3.3339e-09,0,60,1.1979e-02,2.8735e-07,0,63,4.2107e-03,1.3893e-07,0,63,4.9014e-05,2.7675e-09,0,63,4.6287e-06,1.6267e-09,0,63,2.1233e-08,2.9794e-09,0,63,4.3245,0.0020,0,60,11.3769,0.0052,0,60,15.3354,0.0201,0,60,22.4664,0.1465,0,60,62.0925,195.0690,0,60,1.3192,0.0019,0,60,5.4124,0.0052,0,60,-0.3614,0.0174,0,60,-0.4076,0.1384,0,60,33.9822,189.9057,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19279 KDW_26_5_A.txt,KDW_26_5_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 21:03:54,469,7,1.6872e-07,3.597448E-10,CF,25.696,4.981e-02,1,4.7615e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5689e-08,1.0608e-07,7.0831e-08,7.1413e-08,7.1374e-08,7.1205e-08,0.96,2023/02/11 21:03:09,0.24,5375,8446,4.9805e-02,46.049,20,8,20,20,0.000,-2.6570e-13,-1.2567e-13,-1.3518e-13,-7.4787e-14,2.6608e-14,4.0314e-12,24.00,24.00,70.90,-1.93e02,-1.60e02,70.90,0.00,70.90,70.90,2023/02/11 20:04:29,2023/02/11 20:45:11,81,4.37735e-08,0.000,0,63,4.25866e-08,1.55772e-09,0,60,1.20587e-02,1.25527e-07,0,60,4.2537e-03,5.2575e-08,0,60,4.9814e-05,1.5424e-09,0,60,4.7331e-06,3.6162e-10,0,60,5.8743e-08,9.9099e-10,0,60,1.1981e-02,1.1299e-07,0,63,4.2118e-03,4.9421e-08,0,63,4.9024e-05,1.5917e-09,0,63,4.6413e-06,4.0634e-10,0,63,5.6712e-08,8.8993e-10,0,63,6.4557,0.0014,0,60,9.9662,0.0028,0,60,16.1073,0.0114,0,60,19.7501,0.0565,0,60,35.6545,4.5372,0,60,3.6361,0.0014,0,60,4.0039,0.0028,0,60,-0.4119,0.0107,0,60,-0.2762,0.0549,0,60,8.7219,4.4206,0,60,
C:\Nu Stable\Results\2023\20230210 clumped Oman Thule ABJ KDB,20230210 clumped Oman Thule ABJ KDB,Data_19280 KDW2_130_6A_B.txt,KDW2_130_6A_B,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/02/11 12:46:35,2023/02/11 22:26:48,462,8,1.1415e-07,2.470712E-10,CF,17.334,4.981e-02,1,4.9805e-02,15392, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4935e-08,1.0648e-07,4.6458e-08,4.6047e-08,4.6009e-08,4.5919e-08,0.96,2023/02/11 22:26:03,0.20,7021,8446,4.9805e-02,46.049,20,8,20,20,0.000,-2.6482e-13,-1.2542e-13,-1.3494e-13,-7.5823e-14,2.4962e-14,3.9125e-12,21.00,22.00,70.90,-1.93e02,-1.60e02,70.90,0.00,70.90,70.90,2023/02/11 21:28:22,2023/02/11 22:06:54,77,2.97228e-08,0.000,0,63,2.88797e-08,9.43902e-10,0,60,1.19975e-02,1.85191e-07,0,60,4.2504e-03,9.2455e-08,0,60,4.9525e-05,1.5934e-09,0,60,4.7207e-06,8.8722e-10,0,60,3.5204e-08,1.6501e-09,0,60,1.1980e-02,1.7592e-07,0,63,4.2112e-03,8.1665e-08,0,63,4.9020e-05,1.2710e-09,0,63,4.6348e-06,7.8289e-10,0,63,3.4440e-08,1.5012e-09,0,63,1.4881,0.0010,0,60,9.2979,0.0023,0,60,10.3006,0.0129,0,60,18.5367,0.0839,0,60,13.4986,13.2267,0,60,-1.6277,0.0010,0,60,3.3497,0.0023,0,60,-0.3930,0.0121,0,60,-0.1429,0.0819,0,60,-6.3599,12.9670,0,60,
