Nu Stable Isotope Analysis Program
Data Collected on Saturday, February 11, 2023 at 23:48 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 12, 2023 at 00:47 with Stable 1.71.5 on PS019

Data File = Data_19281 ETH-4.txt,         Sample Weight = 468,                      Vial Location = 9,                        Initial Sam Beam = 1.5720e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4397e-08,                Max Ref Beam = 1.0645e-07,                

Analysis undertaken at mass 46.04862
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.34761e-08,,,,,,1.1981e-02,4.2108e-03,4.8990e-05,4.6367e-06,4.8349e-08,
Sam 1,6.27073e-08,1.18935e-02,4.1873e-03,4.8335e-05,4.5838e-06,4.3851e-08,,,,,,           -7.2987,           -5.6106,          -13.4665,          -11.5034,          -56.9635,          -10.4628,          -11.4675,           -0.4711,           -0.3173,          -39.0112,
Ref 2,6.23891e-08,,,,,,1.1981e-02,4.2111e-03,4.9000e-05,4.6377e-06,4.4620e-08,,,,,,,,,,,
Sam 2,6.15865e-08,1.18939e-02,4.1875e-03,4.8343e-05,4.5860e-06,4.4199e-08,,,,,,           -7.3085,           -5.6300,          -13.4681,          -11.1418,          -34.3868,          -10.4724,          -11.4868,           -0.4434,            0.0874,          -15.9566,
Ref 3,6.13494e-08,,,,,,1.1982e-02,4.2114e-03,4.9006e-05,4.6376e-06,4.6947e-08,,,,,,,,,,,
Sam 3,6.04962e-08,1.18939e-02,4.1876e-03,4.8347e-05,4.5846e-06,4.5487e-08,,,,,,           -7.3248,           -5.6395,          -13.4460,          -11.5311,           11.0444,          -10.4895,          -11.4962,           -0.3947,           -0.2871,           30.3791,
Ref 4,6.03352e-08,,,,,,1.1982e-02,4.2114e-03,4.9006e-05,4.6386e-06,4.3000e-08,,,,,,,,,,,
Sam 4,5.94323e-08,1.18942e-02,4.1878e-03,4.8344e-05,4.5848e-06,4.2429e-08,,,,,,           -7.3171,           -5.6351,          -13.5428,          -11.5766,          -25.1906,          -10.4814,          -11.4919,           -0.5051,           -0.3420,           -6.5657,
Ref 5,5.93434e-08,,,,,,1.1982e-02,4.2116e-03,4.9009e-05,4.6383e-06,4.4059e-08,,,,,,,,,,,
Sam 5,5.83939e-08,1.18942e-02,4.1879e-03,4.8347e-05,4.5846e-06,4.2905e-08,,,,,,           -7.3276,           -5.6328,          -13.4132,          -11.5101,          -41.1559,          -10.4927,          -11.4896,           -0.3652,           -0.2793,          -22.8294,
Ref 6,5.83763e-08,,,,,,1.1982e-02,4.2116e-03,4.9000e-05,4.6377e-06,4.5445e-08,,,,,,,,,,,
Sam 6,5.73789e-08,1.18943e-02,4.1879e-03,4.8346e-05,4.5860e-06,4.1332e-08,,,,,,           -7.3190,           -5.6393,          -13.4610,          -11.2506,          -83.0293,          -10.4833,          -11.4960,           -0.4161,           -0.0039,          -65.4997,
Ref 7,5.74294e-08,,,,,,1.1982e-02,4.2117e-03,4.9012e-05,4.6387e-06,4.4699e-08,,,,,,,,,,,
Sam 7,5.63888e-08,1.18945e-02,4.1881e-03,4.8348e-05,4.5856e-06,4.4002e-08,,,,,,           -7.3029,           -5.6047,          -13.5531,          -11.3474,           -6.6849,          -10.4674,          -11.4616,           -0.5604,           -0.1713,           12.2173,
Ref 8,5.64997e-08,,,,,,1.1982e-02,4.2117e-03,4.9013e-05,4.6378e-06,4.3890e-08,,,,,,,,,,,
Sam 8,5.54175e-08,1.18944e-02,4.1880e-03,4.8358e-05,4.5857e-06,4.4638e-08,,,,,,           -7.3122,           -5.6232,          -13.3464,          -11.4670,          -11.1335,          -10.4766,          -11.4800,           -0.3230,           -0.2551,            7.7309,
Ref 9,5.55890e-08,,,,,,1.1982e-02,4.2117e-03,4.9012e-05,4.6401e-06,4.6411e-08,,,,,,,,,,,
Sam 9,5.44695e-08,1.18945e-02,4.1881e-03,4.8352e-05,4.5883e-06,4.5260e-08,,,,,,           -7.3121,           -5.6162,          -13.5105,          -11.2303,           31.1549,          -10.4768,          -11.4730,           -0.4962,           -0.0298,           50.8114,
Ref 10,5.46990e-08,,,,,,1.1982e-02,4.2118e-03,4.9018e-05,4.6406e-06,4.1334e-08,,,,,,,,,,,
Sam 10,5.35451e-08,1.18945e-02,4.1881e-03,4.8360e-05,4.5858e-06,4.0825e-08,,,,,,           -7.3173,           -5.6289,          -13.4018,          -11.6156,          -21.0574,          -10.4819,          -11.4857,           -0.3682,           -0.3939,           -2.3655,
Ref 11,5.38280e-08,,,,,,1.1982e-02,4.2118e-03,4.9015e-05,4.6388e-06,4.2079e-08,,,,,,,,,,,
Sam 11,5.26408e-08,1.18947e-02,4.1882e-03,4.8359e-05,4.5842e-06,4.0817e-08,,,,,,           -7.3047,           -5.6209,          -13.4055,          -12.1688,           -2.4404,          -10.4688,          -11.4777,           -0.3930,           -0.9695,           16.5770,
Ref 12,5.29711e-08,,,,,,1.1982e-02,4.2120e-03,4.9018e-05,4.6425e-06,3.9735e-08,,,,,,,,,,,
Sam 12,5.17552e-08,1.18947e-02,4.1883e-03,4.8361e-05,4.5857e-06,4.1270e-08,,,,,,           -7.3100,           -5.6256,          -13.3939,          -12.2079,            9.1372,          -10.4743,          -11.4824,           -0.3710,           -0.9995,           28.3909,
Ref 13,5.21319e-08,,,,,,1.1982e-02,4.2120e-03,4.9018e-05,4.6422e-06,4.2076e-08,,,,,,,,,,,
Sam 13,5.08895e-08,1.18947e-02,4.1883e-03,4.8362e-05,4.5870e-06,3.9611e-08,,,,,,           -7.3055,           -5.6178,          -13.4107,          -12.0047,          -44.9166,          -10.4697,          -11.4746,           -0.4004,           -0.8099,          -26.7140,
Ref 14,5.13144e-08,,,,,,1.1982e-02,4.2119e-03,4.9020e-05,4.6433e-06,4.0861e-08,,,,,,,,,,,
Sam 14,5.00454e-08,1.18946e-02,4.1883e-03,4.8357e-05,4.5900e-06,4.1211e-08,,,,,,           -7.3013,           -5.6169,          -13.5093,          -11.2995,           -2.9520,          -10.4653,          -11.4737,           -0.5056,           -0.0984,           16.0439,
Ref 15,5.05099e-08,,,,,,1.1982e-02,4.2120e-03,4.9018e-05,4.6416e-06,4.1813e-08,,,,,,,,,,,
Sam 15,4.92159e-08,1.18946e-02,4.1883e-03,4.8360e-05,4.5903e-06,4.0318e-08,,,,,,           -7.3078,           -5.6318,          -13.4588,          -10.9720,          -20.8993,          -10.4717,          -11.4886,           -0.4329,            0.2628,           -2.2088,
Ref 16,4.97207e-08,,,,,,1.1982e-02,4.2121e-03,4.9022e-05,4.6409e-06,4.0535e-08,,,,,,,,,,,
Sam 16,4.84045e-08,1.18946e-02,4.1884e-03,4.8366e-05,4.5912e-06,3.9247e-08,,,,,,           -7.3103,           -5.6102,          -13.4181,          -10.8310,          -50.6624,          -10.4751,          -11.4671,           -0.4105,            0.3620,          -32.5788,
Ref 17,4.89488e-08,,,,,,1.1982e-02,4.2120e-03,4.9026e-05,4.6420e-06,4.2160e-08,,,,,,,,,,,
Sam 17,4.76144e-08,1.18946e-02,4.1884e-03,4.8364e-05,4.5904e-06,4.2831e-08,,,,,,           -7.3092,           -5.6243,          -13.4996,          -10.9792,           -8.8500,          -10.4734,          -11.4811,           -0.4802,            0.2404,           10.0570,
Ref 18,4.81932e-08,,,,,,1.1982e-02,4.2121e-03,4.9026e-05,4.6408e-06,4.4283e-08,,,,,,,,,,,
Sam 18,4.68406e-08,1.18945e-02,4.1883e-03,4.8362e-05,4.5884e-06,4.1229e-08,,,,,,           -7.3099,           -5.6316,          -13.5501,          -11.4516,          -43.9973,          -10.4740,          -11.4883,           -0.5235,           -0.2227,          -25.7460,
Ref 19,4.74533e-08,,,,,,1.1982e-02,4.2120e-03,4.9026e-05,4.6423e-06,4.1952e-08,,,,,,,,,,,
Sam 19,4.60815e-08,1.18944e-02,4.1884e-03,4.8369e-05,4.5895e-06,4.5839e-08,,,,,,           -7.3150,           -5.6224,          -13.4261,          -11.4125,           67.8375,          -10.4796,          -11.4792,           -0.4016,           -0.2017,           88.2098,
Ref 20,4.67257e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6426e-06,4.3917e-08,,,,,,,,,,,
Sam 20,4.53322e-08,1.18944e-02,4.1884e-03,4.8363e-05,4.5866e-06,4.4467e-08,,,,,,           -7.3191,           -5.6284,          -13.5873,          -11.9173,           -6.5082,          -10.4838,          -11.4851,           -0.5548,           -0.7002,           12.4623,
Ref 21,4.60095e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6412e-06,4.5611e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.56620e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6399e-06,4.2622e-08,
Sam 1,4.42339e-08,1.18944e-02,4.1884e-03,4.8364e-05,4.5887e-06,4.3481e-08,,,,,,           -7.3299,           -5.6266,          -13.5119,          -11.2964,           -2.1830,          -10.4954,          -11.4834,           -0.4689,           -0.0757,           16.8784,
Ref 2,4.49722e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6424e-06,4.4544e-08,,,,,,,,,,,
Sam 2,4.35229e-08,1.18945e-02,4.1884e-03,4.8368e-05,4.5889e-06,4.3439e-08,,,,,,           -7.3149,           -5.6236,          -13.3614,          -11.7169,          -48.0226,          -10.4795,          -11.4804,           -0.3350,           -0.5071,          -29.8582,
Ref 3,4.42926e-08,,,,,,1.1982e-02,4.2121e-03,4.9022e-05,4.6443e-06,4.6734e-08,,,,,,,,,,,
Sam 3,4.28255e-08,1.18944e-02,4.1884e-03,4.8369e-05,4.5869e-06,4.1942e-08,,,,,,           -7.3154,           -5.6161,          -13.4039,          -12.2275,          -89.3444,          -10.4803,          -11.4729,           -0.3849,           -1.0386,          -71.9818,
Ref 4,4.36256e-08,,,,,,1.1982e-02,4.2121e-03,4.9031e-05,4.6431e-06,4.5370e-08,,,,,,,,,,,
Sam 4,4.21378e-08,1.18944e-02,4.1884e-03,4.8368e-05,4.5890e-06,4.2359e-08,,,,,,           -7.2990,           -5.6266,          -13.4933,          -11.7091,          -59.4373,          -10.4625,          -11.4834,           -0.4822,           -0.4932,          -41.5015,
Ref 5,4.29705e-08,,,,,,1.1982e-02,4.2121e-03,4.9028e-05,4.6436e-06,4.4697e-08,,,,,,,,,,,
Sam 5,4.14693e-08,1.18941e-02,4.1883e-03,4.8370e-05,4.5923e-06,4.1321e-08,,,,,,           -7.3182,           -5.6484,          -13.4932,          -11.0645,          -71.9342,          -10.4821,          -11.5050,           -0.4407,            0.2025,          -54.1765,
Ref 6,4.23274e-08,,,,,,1.1982e-02,4.2121e-03,4.9035e-05,4.6438e-06,4.4349e-08,,,,,,,,,,,
Sam 6,4.08182e-08,1.18941e-02,4.1883e-03,4.8374e-05,4.5867e-06,4.7036e-08,,,,,,           -7.3159,           -5.6377,          -13.5238,          -12.0269,           52.0526,          -10.4800,          -11.4944,           -0.4846,           -0.7922,           72.1573,
Ref 7,4.16985e-08,,,,,,1.1982e-02,4.2121e-03,4.9039e-05,4.6412e-06,4.5074e-08,,,,,,,,,,,
Sam 7,4.01769e-08,1.18941e-02,4.1884e-03,4.8367e-05,4.5887e-06,4.0376e-08,,,,,,           -7.3171,           -5.6283,          -13.6789,          -11.6523,          -93.7666,          -10.4817,          -11.4851,           -0.6497,           -0.4322,          -76.4642,
Ref 8,4.10782e-08,,,,,,1.1982e-02,4.2120e-03,4.9036e-05,4.6445e-06,4.4026e-08,,,,,,,,,,,
Sam 8,3.95537e-08,1.18941e-02,4.1883e-03,4.8365e-05,4.5922e-06,4.1849e-08,,,,,,           -7.3142,           -5.6263,          -13.6574,          -11.5426,          -35.1400,          -10.4786,          -11.4831,           -0.6330,           -0.3253,          -16.7253,
Ref 9,4.04811e-08,,,,,,1.1982e-02,4.2120e-03,4.9032e-05,4.6472e-06,4.2710e-08,,,,,,,,,,,
Sam 9,3.89504e-08,1.18940e-02,4.1883e-03,4.8371e-05,4.5906e-06,4.1336e-08,,,,,,           -7.3147,           -5.6513,          -13.4675,          -11.8647,          -42.6082,          -10.4783,          -11.5080,           -0.4153,           -0.6007,          -24.2873,
Ref 10,3.98863e-08,,,,,,1.1982e-02,4.2121e-03,4.9030e-05,4.6442e-06,4.3647e-08,,,,,,,,,,,
Sam 10,3.83460e-08,1.18939e-02,4.1883e-03,4.8373e-05,4.5920e-06,4.1167e-08,,,,,,           -7.3233,           -5.6339,          -13.4157,          -11.1510,          -69.9205,          -10.4881,          -11.4906,           -0.3710,            0.0860,          -52.1460,
Ref 11,3.92970e-08,,,,,,1.1982e-02,4.2120e-03,4.9033e-05,4.6434e-06,4.4884e-08,,,,,,,,,,,
Sam 11,3.77588e-08,1.18939e-02,4.1883e-03,4.8369e-05,4.5890e-06,4.7149e-08,,,,,,           -7.3109,           -5.6180,          -13.5414,          -11.7296,           10.7373,          -10.4755,          -11.4748,           -0.5270,           -0.5311,           30.0070,
Ref 12,3.87258e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6435e-06,4.8437e-08,,,,,,,,,,,
Sam 12,3.71869e-08,1.18936e-02,4.1882e-03,4.8366e-05,4.5932e-06,4.6167e-08,,,,,,           -7.3176,           -5.6338,          -13.5386,          -10.8248,           -2.4764,          -10.4821,          -11.4906,           -0.5015,            0.4157,           16.5805,
Ref 13,3.81608e-08,,,,,,1.1981e-02,4.2119e-03,4.9026e-05,4.6434e-06,4.4093e-08,,,,,,,,,,,
Sam 13,3.66244e-08,1.18936e-02,4.1881e-03,4.8373e-05,4.5888e-06,4.6768e-08,,,,,,           -7.3112,           -5.6372,          -13.3754,          -11.8050,           21.7040,          -10.4751,          -11.4939,           -0.3395,           -0.5689,           41.2226,
Ref 14,3.76153e-08,,,,,,1.1981e-02,4.2119e-03,4.9031e-05,4.6438e-06,4.7480e-08,,,,,,,,,,,
Sam 14,3.60769e-08,1.18935e-02,4.1881e-03,4.8366e-05,4.5866e-06,4.5079e-08,,,,,,           -7.3098,           -5.6254,          -13.5526,          -12.2502,          -69.4305,          -10.4740,          -11.4822,           -0.5323,           -1.0429,          -51.6765,
Ref 15,3.70775e-08,,,,,,1.1981e-02,4.2118e-03,4.9030e-05,4.6431e-06,4.9418e-08,,,,,,,,,,,
Sam 15,3.55357e-08,1.18934e-02,4.1881e-03,4.8371e-05,4.5926e-06,5.0123e-08,,,,,,           -7.3099,           -5.6313,          -13.5134,          -11.0019,          -21.2045,          -10.4740,          -11.4880,           -0.4865,            0.2314,           -2.5187,
Ref 16,3.65480e-08,,,,,,1.1981e-02,4.2118e-03,4.9037e-05,4.6443e-06,5.3026e-08,,,,,,,,,,,
Sam 16,3.50039e-08,1.18933e-02,4.1881e-03,4.8377e-05,4.5909e-06,4.8918e-08,,,,,,           -7.3239,           -5.6299,          -13.4540,          -11.7792,          -18.5453,          -10.4888,          -11.4866,           -0.4133,           -0.5574,            0.2035,
Ref 17,3.60289e-08,,,,,,1.1981e-02,4.2119e-03,4.9037e-05,4.6470e-06,4.6613e-08,,,,,,,,,,,
Sam 17,3.44812e-08,1.18933e-02,4.1881e-03,4.8376e-05,4.5917e-06,4.6439e-08,,,,,,           -7.3277,           -5.6374,          -13.4685,          -11.7949,            9.9299,          -10.4926,          -11.4941,           -0.4166,           -0.5582,           29.2421,
Ref 18,3.55197e-08,,,,,,1.1981e-02,4.2118e-03,4.9035e-05,4.6461e-06,4.5343e-08,,,,,,,,,,,
Sam 18,3.39670e-08,1.18934e-02,4.1881e-03,4.8375e-05,4.5930e-06,4.6047e-08,,,,,,           -7.3098,           -5.6292,          -13.4596,          -11.0610,           -1.0733,          -10.4738,          -11.4860,           -0.4343,            0.1676,           17.9925,
Ref 19,3.50181e-08,,,,,,1.1981e-02,4.2118e-03,4.9034e-05,4.6427e-06,4.6861e-08,,,,,,,,,,,
Sam 19,3.34631e-08,1.18932e-02,4.1880e-03,4.8379e-05,4.5911e-06,4.7441e-08,,,,,,           -7.3111,           -5.6270,          -13.3853,          -11.2626,           -4.3512,          -10.4754,          -11.4838,           -0.3598,           -0.0408,           14.6490,
Ref 20,3.45252e-08,,,,,,1.1981e-02,4.2117e-03,4.9036e-05,4.6441e-06,4.8446e-08,,,,,,,,,,,
Sam 20,3.29730e-08,1.18930e-02,4.1879e-03,4.8373e-05,4.5951e-06,4.7305e-08,,,,,,           -7.3227,           -5.6470,          -13.5103,          -10.8828,           -2.0528,          -10.4870,          -11.5036,           -0.4546,            0.3835,           17.0441,
Ref 21,3.40429e-08,,,,,,1.1981e-02,4.2117e-03,4.9034e-05,4.6474e-06,4.6344e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.38062e-08,,,,,,1.1981e-02,4.2116e-03,4.9039e-05,4.6469e-06,4.6848e-08,
Sam 1,3.22503e-08,1.18929e-02,4.1879e-03,4.8379e-05,4.5908e-06,4.7340e-08,,,,,,           -7.3159,           -5.6390,          -13.4022,          -11.6576,           17.1767,          -10.4800,          -11.4957,           -0.3600,           -0.4161,           36.6177,
Ref 2,3.33314e-08,,,,,,1.1980e-02,4.2116e-03,4.9033e-05,4.6429e-06,4.6228e-08,,,,,,,,,,,
Sam 2,3.17834e-08,1.18926e-02,4.1878e-03,4.8370e-05,4.5941e-06,4.5475e-08,,,,,,           -7.3304,           -5.6342,          -13.5391,          -10.8297,          -44.2124,          -10.4956,          -11.4909,           -0.4884,            0.4116,          -25.9387,
Ref 3,3.28706e-08,,,,,,1.1980e-02,4.2115e-03,4.9035e-05,4.6459e-06,4.8949e-08,,,,,,,,,,,
Sam 3,3.13197e-08,1.18927e-02,4.1878e-03,4.8372e-05,4.5933e-06,4.3539e-08,,,,,,           -7.3190,           -5.6292,          -13.5135,          -11.3194,          -83.6521,          -10.4837,          -11.4859,           -0.4792,           -0.0938,          -66.1531,
Ref 4,3.24130e-08,,,,,,1.1980e-02,4.2115e-03,4.9035e-05,4.6457e-06,4.6059e-08,,,,,,,,,,,
Sam 4,3.08713e-08,1.18926e-02,4.1877e-03,4.8380e-05,4.5963e-06,4.6326e-08,,,,,,           -7.3186,           -5.6390,          -13.3047,          -10.6651,          -12.1959,          -10.4829,          -11.4957,           -0.2585,            0.5876,            6.6866,
Ref 5,3.19700e-08,,,,,,1.1980e-02,4.2114e-03,4.9029e-05,4.6460e-06,4.7749e-08,,,,,,,,,,,
Sam 5,3.04322e-08,1.18925e-02,4.1877e-03,4.8374e-05,4.5956e-06,5.0409e-08,,,,,,           -7.3184,           -5.6427,          -13.4408,          -11.2260,           20.3309,          -10.4826,          -11.4994,           -0.3928,            0.0279,           39.8427,
Ref 6,3.15325e-08,,,,,,1.1980e-02,4.2115e-03,4.9038e-05,4.6497e-06,5.1082e-08,,,,,,,,,,,
Sam 6,2.99997e-08,1.18923e-02,4.1876e-03,4.8372e-05,4.5932e-06,5.0980e-08,,,,,,           -7.3359,           -5.6563,          -13.4983,          -11.8405,          -29.6345,          -10.5007,          -11.5129,           -0.4196,           -0.5663,          -11.0332,
Ref 7,3.11033e-08,,,,,,1.1980e-02,4.2114e-03,4.9031e-05,4.6467e-06,5.4012e-08,,,,,,,,,,,
Sam 7,2.95750e-08,1.18925e-02,4.1876e-03,4.8376e-05,4.5982e-06,5.3768e-08,,,,,,           -7.3191,           -5.6493,          -13.4243,          -10.6096,            4.3748,          -10.4830,          -11.5059,           -0.3690,            0.6645,           23.5954,
Ref 8,3.06805e-08,,,,,,1.1980e-02,4.2114e-03,4.9038e-05,4.6484e-06,5.3049e-08,,,,,,,,,,,
Sam 8,2.91597e-08,1.18923e-02,4.1875e-03,4.8371e-05,4.5936e-06,5.3326e-08,,,,,,           -7.3239,           -5.6593,          -13.6060,          -11.9866,          -10.5545,          -10.4879,          -11.5159,           -0.5381,           -0.7080,            8.4058,
Ref 9,3.02650e-08,,,,,,1.1980e-02,4.2113e-03,4.9038e-05,4.6503e-06,5.4752e-08,,,,,,,,,,,
Sam 9,2.87505e-08,1.18922e-02,4.1876e-03,4.8373e-05,4.5929e-06,5.3674e-08,,,,,,           -7.3180,           -5.6410,          -13.5932,          -12.1715,           -3.3578,          -10.4822,          -11.4977,           -0.5493,           -0.9318,           15.6971,
Ref 10,2.98586e-08,,,,,,1.1980e-02,4.2113e-03,4.9041e-05,4.6487e-06,5.2946e-08,,,,,,,,,,,
Sam 10,2.83516e-08,1.18921e-02,4.1876e-03,4.8373e-05,4.5951e-06,5.6416e-08,,,,,,           -7.3182,           -5.6193,          -13.6085,          -11.3668,           -3.9294,          -10.4832,          -11.4761,           -0.5861,           -0.1617,           15.0712,
Ref 11,2.94600e-08,,,,,,1.1980e-02,4.2112e-03,4.9039e-05,4.6471e-06,6.0382e-08,,,,,,,,,,,
Sam 11,2.79604e-08,1.18920e-02,4.1874e-03,4.8369e-05,4.5975e-06,5.5907e-08,,,,,,           -7.3211,           -5.6491,          -13.6370,          -11.0208,          -61.2560,          -10.4852,          -11.5058,           -0.5826,            0.2483,          -43.2895,
Ref 12,2.90673e-08,,,,,,1.1980e-02,4.2112e-03,4.9036e-05,4.6503e-06,5.8718e-08,,,,,,,,,,,
Sam 12,2.75741e-08,1.18920e-02,4.1875e-03,4.8373e-05,4.5976e-06,6.1535e-08,,,,,,           -7.3193,           -5.6213,          -13.5296,          -11.3422,           84.6471,          -10.4843,          -11.4781,           -0.5030,           -0.1327,          105.3429,
Ref 13,2.86813e-08,,,,,,1.1980e-02,4.2111e-03,4.9038e-05,4.6505e-06,5.4720e-08,,,,,,,,,,,
Sam 13,2.71943e-08,1.18921e-02,4.1875e-03,4.8372e-05,4.5958e-06,5.7239e-08,,,,,,           -7.3167,           -5.6255,          -13.5491,          -11.4640,           48.8199,          -10.4814,          -11.4823,           -0.5214,           -0.2475,           68.8380,
Ref 14,2.83003e-08,,,,,,1.1980e-02,4.2112e-03,4.9036e-05,4.6477e-06,5.4427e-08,,,,,,,,,,,
Sam 14,2.68226e-08,1.18919e-02,4.1873e-03,4.8370e-05,4.5972e-06,5.4106e-08,,,,,,           -7.3231,           -5.6555,          -13.6262,          -11.4773,          -53.2652,          -10.4871,          -11.5121,           -0.5632,           -0.2007,          -35.1316,
Ref 15,2.79286e-08,,,,,,1.1980e-02,4.2111e-03,4.9040e-05,4.6535e-06,5.9909e-08,,,,,,,,,,,
Sam 15,2.64603e-08,1.18918e-02,4.1873e-03,4.8371e-05,4.5917e-06,6.0381e-08,,,,,,           -7.3258,           -5.6400,          -13.6007,          -12.6397,          -35.5361,          -10.4906,          -11.4967,           -0.5498,           -1.4073,          -17.0900,
Ref 16,2.75613e-08,,,,,,1.1979e-02,4.2110e-03,4.9036e-05,4.6475e-06,6.5339e-08,,,,,,,,,,,
Sam 16,2.61003e-08,1.18917e-02,4.1872e-03,4.8376e-05,4.5979e-06,6.5708e-08,,,,,,           -7.3248,           -5.6526,          -13.4572,          -11.0348,            6.4788,          -10.4891,          -11.5093,           -0.3931,            0.2412,           25.7529,
Ref 17,2.72016e-08,,,,,,1.1979e-02,4.2110e-03,4.9036e-05,4.6509e-06,6.5231e-08,,,,,,,,,,,
Sam 17,2.57468e-08,1.18916e-02,4.1873e-03,4.8375e-05,4.6019e-06,6.3930e-08,,,,,,           -7.3320,           -5.6223,          -13.5373,          -10.3752,           19.9222,          -10.4977,          -11.4790,           -0.4969,            0.8472,           39.3990,
Ref 18,2.68471e-08,,,,,,1.1979e-02,4.2109e-03,4.9041e-05,4.6493e-06,6.0098e-08,,,,,,,,,,,
Sam 18,2.53990e-08,1.18915e-02,4.1872e-03,4.8379e-05,4.5987e-06,6.1348e-08,,,,,,           -7.3229,           -5.6181,          -13.4846,          -10.9476,          -38.6870,          -10.4882,          -11.4749,           -0.4570,            0.2599,          -20.3468,
Ref 19,2.64998e-08,,,,,,1.1979e-02,4.2109e-03,4.9040e-05,4.6498e-06,6.7586e-08,,,,,,,,,,,
Sam 19,2.50594e-08,1.18916e-02,4.1871e-03,4.8366e-05,4.6047e-06,6.6154e-08,,,,,,           -7.3151,           -5.6374,          -13.7053,           -9.8972,            1.8098,          -10.4792,          -11.4941,           -0.6696,            1.3610,           20.9529,
Ref 20,2.61575e-08,,,,,,1.1979e-02,4.2109e-03,4.9035e-05,4.6516e-06,6.4464e-08,,,,,,,,,,,
