Nu Stable Isotope Analysis Program
Data Collected on Sunday, February 12, 2023 at 01:10 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 12, 2023 at 02:09 with Stable 1.71.5 on PS019

Data File = Data_19282 ETH-3.txt,         Sample Weight = 441,                      Vial Location = 10,                       Initial Sam Beam = 1.4111e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.3633e-08,                Max Ref Beam = 1.0625e-07,                

Analysis undertaken at mass 46.05103
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.63346e-08,,,,,,1.1981e-02,4.2114e-03,4.9011e-05,4.6383e-06,4.7707e-08,
Sam 1,5.56226e-08,1.20350e-02,4.2609e-03,4.9795e-05,4.7494e-06,5.0806e-08,,,,,,            4.4633,           11.7205,           15.8950,           23.5878,           52.5538,            1.4551,            5.7540,           -0.2872,            0.0093,           23.8416,
Ref 2,5.53962e-08,,,,,,1.1982e-02,4.2118e-03,4.9022e-05,4.6415e-06,4.8842e-08,,,,,,,,,,,
Sam 2,5.46518e-08,1.20355e-02,4.2611e-03,4.9804e-05,4.7477e-06,4.7014e-08,,,,,,            4.4601,           11.6835,           15.9933,           23.0382,            9.8018,            1.4530,            5.7173,           -0.1512,           -0.4546,          -17.6702,
Ref 3,5.45027e-08,,,,,,1.1982e-02,4.2119e-03,4.9018e-05,4.6400e-06,4.4235e-08,,,,,,,,,,,
Sam 3,5.37126e-08,1.20354e-02,4.2612e-03,4.9796e-05,4.7499e-06,4.5675e-08,,,,,,            4.4428,           11.7009,           15.8516,           23.5093,           65.7830,            1.4340,            5.7346,           -0.2899,           -0.0288,           36.7718,
Ref 4,5.36348e-08,,,,,,1.1982e-02,4.2119e-03,4.9020e-05,4.6417e-06,4.1454e-08,,,,,,,,,,,
Sam 4,5.27927e-08,1.20355e-02,4.2612e-03,4.9798e-05,4.7495e-06,4.5922e-08,,,,,,            4.4459,           11.7037,           15.8612,           23.4428,           79.8561,            1.4371,            5.7374,           -0.2862,           -0.0993,           50.4528,
Ref 5,5.27840e-08,,,,,,1.1982e-02,4.2120e-03,4.9020e-05,4.6397e-06,4.3616e-08,,,,,,,,,,,
Sam 5,5.18949e-08,1.20355e-02,4.2613e-03,4.9800e-05,4.7489e-06,4.3312e-08,,,,,,            4.4449,           11.7031,           15.8073,           23.2253,           16.5559,            1.4361,            5.7368,           -0.3377,           -0.3105,          -11.1216,
Ref 6,5.19476e-08,,,,,,1.1982e-02,4.2120e-03,4.9029e-05,4.6426e-06,4.1582e-08,,,,,,,,,,,
Sam 6,5.10174e-08,1.20354e-02,4.2613e-03,4.9800e-05,4.7488e-06,4.6146e-08,,,,,,            4.4421,           11.7003,           15.7048,           22.9982,           63.2914,            1.4332,            5.7340,           -0.4330,           -0.5269,           34.3501,
Ref 7,5.11355e-08,,,,,,1.1982e-02,4.2120e-03,4.9030e-05,4.6414e-06,4.5246e-08,,,,,,,,,,,
Sam 7,5.01617e-08,1.20355e-02,4.2613e-03,4.9798e-05,4.7496e-06,5.0787e-08,,,,,,            4.4418,           11.6991,           15.7196,           23.2785,          131.1854,            1.4329,            5.7328,           -0.4169,           -0.2506,          100.3990,
Ref 8,5.03369e-08,,,,,,1.1982e-02,4.2121e-03,4.9025e-05,4.6418e-06,4.4543e-08,,,,,,,,,,,
Sam 8,4.93223e-08,1.20355e-02,4.2614e-03,4.9803e-05,4.7500e-06,4.6815e-08,,,,,,            4.4413,           11.7052,           15.8664,           23.2708,           43.0293,            1.4322,            5.7389,           -0.2779,           -0.2702,           14.6308,
Ref 9,4.95523e-08,,,,,,1.1982e-02,4.2121e-03,4.9026e-05,4.6421e-06,4.5230e-08,,,,,,,,,,,
Sam 9,4.85034e-08,1.20355e-02,4.2614e-03,4.9800e-05,4.7493e-06,4.6072e-08,,,,,,            4.4397,           11.7044,           15.7543,           22.8979,            8.4024,            1.4305,            5.7381,           -0.3857,           -0.6329,          -19.0501,
Ref 10,4.87862e-08,,,,,,1.1982e-02,4.2121e-03,4.9028e-05,4.6438e-06,4.6153e-08,,,,,,,,,,,
Sam 10,4.77014e-08,1.20356e-02,4.2615e-03,4.9803e-05,4.7508e-06,4.6202e-08,,,,,,            4.4485,           11.7075,           15.8188,           23.3288,           12.7770,            1.4398,            5.7411,           -0.3344,           -0.2181,          -14.8099,
Ref 11,4.80316e-08,,,,,,1.1982e-02,4.2122e-03,4.9027e-05,4.6412e-06,4.5076e-08,,,,,,,,,,,
Sam 11,4.69160e-08,1.20355e-02,4.2614e-03,4.9806e-05,4.7477e-06,5.1290e-08,,,,,,            4.4420,           11.6904,           15.9144,           22.8814,          104.2113,            1.4334,            5.7242,           -0.2169,           -0.6215,           74.1770,
Ref 12,4.72942e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6418e-06,4.7843e-08,,,,,,,,,,,
Sam 12,4.61498e-08,1.20355e-02,4.2614e-03,4.9800e-05,4.7515e-06,5.1068e-08,,,,,,            4.4408,           11.6812,           15.7519,           23.9021,           52.8616,            1.4325,            5.7150,           -0.3667,            0.3940,           24.2436,
Ref 13,4.65703e-08,,,,,,1.1982e-02,4.2122e-03,4.9030e-05,4.6393e-06,4.9175e-08,,,,,,,,,,,
Sam 13,4.53988e-08,1.20355e-02,4.2615e-03,4.9808e-05,4.7500e-06,5.0573e-08,,,,,,            4.4428,           11.6919,           15.8680,           23.8189,           38.9944,            1.4342,            5.7256,           -0.2649,            0.2917,           10.7303,
Ref 14,4.58613e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6396e-06,4.8168e-08,,,,,,,,,,,
Sam 14,4.46622e-08,1.20355e-02,4.2614e-03,4.9802e-05,4.7466e-06,4.8228e-08,,,,,,            4.4486,           11.6783,           15.7482,           22.7039,           47.6830,            1.4408,            5.7121,           -0.3755,           -0.7710,           19.2031,
Ref 15,4.51627e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6429e-06,4.3865e-08,,,,,,,,,,,
Sam 15,4.39406e-08,1.20353e-02,4.2614e-03,4.9806e-05,4.7497e-06,4.8280e-08,,,,,,            4.4435,           11.6894,           15.8627,           23.2226,           86.7738,            1.4350,            5.7232,           -0.2683,           -0.2861,           57.2142,
Ref 16,4.44798e-08,,,,,,1.1982e-02,4.2122e-03,4.9027e-05,4.6408e-06,4.4993e-08,,,,,,,,,,,
Sam 16,4.32388e-08,1.20353e-02,4.2614e-03,4.9802e-05,4.7496e-06,4.5226e-08,,,,,,            4.4452,           11.6952,           15.7947,           23.2735,            4.1859,            1.4367,            5.7289,           -0.3427,           -0.2478,          -23.1401,
Ref 17,4.38129e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6423e-06,4.5082e-08,,,,,,,,,,,
Sam 17,4.25499e-08,1.20353e-02,4.2614e-03,4.9808e-05,4.7490e-06,4.3853e-08,,,,,,            4.4401,           11.6890,           15.8957,           23.3303,          -19.0659,            1.4315,            5.7228,           -0.2321,           -0.1802,          -45.7426,
Ref 18,4.31563e-08,,,,,,1.1982e-02,4.2122e-03,4.9027e-05,4.6393e-06,4.4322e-08,,,,,,,,,,,
Sam 18,4.18765e-08,1.20352e-02,4.2614e-03,4.9807e-05,4.7513e-06,4.4664e-08,,,,,,            4.4344,           11.6964,           15.9211,           24.1550,           78.2369,            1.4252,            5.7302,           -0.2085,            0.6110,           48.9053,
Ref 19,4.25132e-08,,,,,,1.1982e-02,4.2121e-03,4.9026e-05,4.6391e-06,3.8481e-08,,,,,,,,,,,
Sam 19,4.12152e-08,1.20352e-02,4.2614e-03,4.9800e-05,4.7457e-06,3.7928e-08,,,,,,            4.4391,           11.6865,           15.7366,           22.5848,           82.4093,            1.4304,            5.7203,           -0.3851,           -0.9036,           52.9792,
Ref 20,4.18824e-08,,,,,,1.1982e-02,4.2122e-03,4.9030e-05,4.6427e-06,3.1547e-08,,,,,,,,,,,
Sam 20,4.05647e-08,1.20351e-02,4.2613e-03,4.9805e-05,4.7492e-06,4.0546e-08,,,,,,            4.4323,           11.6669,           15.8161,           23.6313,          196.4400,            1.4240,            5.7008,           -0.2809,            0.1577,          163.9621,
Ref 21,4.12645e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6364e-06,3.6266e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.09632e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6395e-06,3.7799e-08,
Sam 1,3.96121e-08,1.20349e-02,4.2613e-03,4.9799e-05,4.7495e-06,3.8022e-08,,,,,,            4.4287,           11.6762,           15.6580,           23.3259,            9.4282,            1.4197,            5.7101,           -0.4418,           -0.1591,          -17.9871,
Ref 2,4.03610e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6429e-06,3.7534e-08,,,,,,,,,,,
Sam 2,3.89887e-08,1.20349e-02,4.2613e-03,4.9808e-05,4.7479e-06,3.6452e-08,,,,,,            4.4234,           11.6722,           15.8817,           22.8010,          -21.2094,            1.4143,            5.7061,           -0.2124,           -0.6640,          -47.7799,
Ref 3,3.97700e-08,,,,,,1.1982e-02,4.2122e-03,4.9028e-05,4.6412e-06,3.6945e-08,,,,,,,,,,,
Sam 3,3.83796e-08,1.20349e-02,4.2613e-03,4.9801e-05,4.7459e-06,3.4114e-08,,,,,,            4.4285,           11.6612,           15.7550,           22.7634,          -99.9373,            1.4201,            5.6951,           -0.3316,           -0.6790,         -124.3565,
Ref 4,3.91878e-08,,,,,,1.1982e-02,4.2121e-03,4.9030e-05,4.6395e-06,3.8872e-08,,,,,,,,,,,
Sam 4,3.77840e-08,1.20349e-02,4.2612e-03,4.9807e-05,4.7486e-06,3.7420e-08,,,,,,            4.4424,           11.6711,           15.7930,           23.5384,           18.8006,            1.4345,            5.7050,           -0.3180,            0.0587,           -8.8737,
Ref 5,3.86188e-08,,,,,,1.1982e-02,4.2120e-03,4.9034e-05,4.6392e-06,3.4555e-08,,,,,,,,,,,
Sam 5,3.72017e-08,1.20348e-02,4.2612e-03,4.9804e-05,4.7498e-06,3.6006e-08,,,,,,            4.4373,           11.6831,           15.7844,           23.8957,           53.7887,            1.4287,            5.7169,           -0.3329,            0.3841,           25.1456,
Ref 6,3.80595e-08,,,,,,1.1982e-02,4.2120e-03,4.9025e-05,4.6387e-06,3.3776e-08,,,,,,,,,,,
Sam 6,3.66321e-08,1.20346e-02,4.2612e-03,4.9801e-05,4.7524e-06,3.6224e-08,,,,,,            4.4347,           11.6708,           15.7582,           24.6729,          140.0785,            1.4263,            5.7046,           -0.3441,            1.1678,          109.1195,
Ref 7,3.75096e-08,,,,,,1.1981e-02,4.2120e-03,4.9032e-05,4.6373e-06,2.9742e-08,,,,,,,,,,,
Sam 7,3.60744e-08,1.20346e-02,4.2612e-03,4.9806e-05,4.7469e-06,3.3310e-08,,,,,,            4.4389,           11.6662,           15.8753,           23.4776,           20.3361,            1.4310,            5.7001,           -0.2287,            0.0088,           -7.3669,
Ref 8,3.69715e-08,,,,,,1.1981e-02,4.2120e-03,4.9022e-05,4.6387e-06,3.5592e-08,,,,,,,,,,,
Sam 8,3.55276e-08,1.20345e-02,4.2612e-03,4.9800e-05,4.7473e-06,3.4109e-08,,,,,,            4.4363,           11.6801,           15.8217,           23.4918,           22.9075,            1.4277,            5.7139,           -0.2923,           -0.0047,           -4.8894,
Ref 9,3.64403e-08,,,,,,1.1981e-02,4.2119e-03,4.9027e-05,4.6380e-06,3.1066e-08,,,,,,,,,,,
Sam 9,3.49931e-08,1.20343e-02,4.2611e-03,4.9801e-05,4.7470e-06,3.2505e-08,,,,,,            4.4301,           11.6806,           15.8204,           23.4777,           54.1049,            1.4211,            5.7145,           -0.2878,           -0.0195,           25.4658,
Ref 10,3.59228e-08,,,,,,1.1981e-02,4.2119e-03,4.9025e-05,4.6382e-06,3.0603e-08,,,,,,,,,,,
Sam 10,3.44715e-08,1.20344e-02,4.2611e-03,4.9806e-05,4.7456e-06,2.8411e-08,,,,,,            4.4473,           11.6734,           15.9118,           23.4466,            9.5339,            1.4397,            5.7072,           -0.2084,           -0.0356,          -17.8982,
Ref 11,3.54119e-08,,,,,,1.1981e-02,4.2119e-03,4.9027e-05,4.6356e-06,2.5647e-08,,,,,,,,,,,
Sam 11,3.39592e-08,1.20343e-02,4.2611e-03,4.9801e-05,4.7491e-06,2.7976e-08,,,,,,            4.4421,           11.6722,           15.8342,           24.2080,           22.4067,            1.4342,            5.7060,           -0.2784,            0.7107,           -5.3674,
Ref 12,3.49108e-08,,,,,,1.1981e-02,4.2120e-03,4.9022e-05,4.6382e-06,2.9103e-08,,,,,,,,,,,
Sam 12,3.34653e-08,1.20343e-02,4.2610e-03,4.9794e-05,4.7427e-06,3.1034e-08,,,,,,            4.4366,           11.6569,           15.7207,           22.4282,           39.6120,            1.4289,            5.6909,           -0.3695,           -0.9981,           11.4063,
Ref 13,3.44373e-08,,,,,,1.1981e-02,4.2119e-03,4.9024e-05,4.6391e-06,3.0609e-08,,,,,,,,,,,
Sam 13,3.29850e-08,1.20342e-02,4.2610e-03,4.9799e-05,4.7432e-06,3.0293e-08,,,,,,            4.4295,           11.6596,           15.7333,           22.2993,           31.1828,            1.4212,            5.6936,           -0.3525,           -1.1294,            3.2081,
Ref 14,3.39492e-08,,,,,,1.1981e-02,4.2119e-03,4.9031e-05,4.6404e-06,2.8126e-08,,,,,,,,,,,
Sam 14,3.24939e-08,1.20340e-02,4.2610e-03,4.9796e-05,4.7453e-06,3.1829e-08,,,,,,            4.4226,           11.6673,           15.7008,           23.3130,           67.8316,            1.4137,            5.7012,           -0.3849,           -0.1541,           38.8548,
Ref 15,3.34791e-08,,,,,,1.1981e-02,4.2118e-03,4.9022e-05,4.6340e-06,3.1512e-08,,,,,,,,,,,
Sam 15,3.20223e-08,1.20340e-02,4.2609e-03,4.9798e-05,4.7458e-06,2.6580e-08,,,,,,            4.4311,           11.6617,           15.7997,           23.6966,         -126.9145,            1.4229,            5.6956,           -0.2908,            0.2318,         -150.6050,
Ref 16,3.30154e-08,,,,,,1.1981e-02,4.2118e-03,4.9025e-05,4.6379e-06,2.9360e-08,,,,,,,,,,,
Sam 16,3.15562e-08,1.20336e-02,4.2608e-03,4.9800e-05,4.7447e-06,3.0378e-08,,,,,,            4.4135,           11.6354,           15.8729,           23.1861,          -44.0389,            1.4050,            5.6695,           -0.1750,           -0.2150,          -69.9131,
Ref 17,3.25616e-08,,,,,,1.1981e-02,4.2117e-03,4.9019e-05,4.6364e-06,3.4229e-08,,,,,,,,,,,
Sam 17,3.10968e-08,1.20337e-02,4.2608e-03,4.9797e-05,4.7447e-06,3.1644e-08,,,,,,            4.4287,           11.6437,           15.8935,           23.4371,          -23.7747,            1.4209,            5.6777,           -0.1784,            0.0139,          -50.2281,
Ref 18,3.21139e-08,,,,,,1.1981e-02,4.2117e-03,4.9017e-05,4.6358e-06,3.0574e-08,,,,,,,,,,,
Sam 18,3.06468e-08,1.20337e-02,4.2608e-03,4.9800e-05,4.7418e-06,2.7557e-08,,,,,,            4.4307,           11.6623,           15.9080,           22.7549,          -48.0673,            1.4224,            5.6962,           -0.1843,           -0.6894,          -73.8980,
Ref 19,3.16753e-08,,,,,,1.1981e-02,4.2117e-03,4.9024e-05,4.6369e-06,2.7300e-08,,,,,,,,,,,
Sam 19,3.02029e-08,1.20336e-02,4.2608e-03,4.9799e-05,4.7397e-06,2.5742e-08,,,,,,            4.4354,           11.6702,           15.7967,           22.5217,           40.3876,            1.4271,            5.7041,           -0.3063,           -0.9329,           12.1361,
Ref 20,3.12422e-08,,,,,,1.1980e-02,4.2116e-03,4.9025e-05,4.6336e-06,2.2150e-08,,,,,,,,,,,
Sam 20,2.97708e-08,1.20334e-02,4.2607e-03,4.9794e-05,4.7440e-06,2.3305e-08,,,,,,            4.4162,           11.6373,           15.7729,           23.5470,           67.4589,            1.4078,            5.6714,           -0.2782,            0.1338,           38.5598,
Ref 21,3.08174e-08,,,,,,1.1981e-02,4.2117e-03,4.9018e-05,4.6362e-06,2.1509e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.06085e-08,,,,,,1.1980e-02,4.2116e-03,4.9026e-05,4.6382e-06,2.1726e-08,
Sam 1,2.91374e-08,1.20335e-02,4.2607e-03,4.9797e-05,4.7424e-06,2.2700e-08,,,,,,            4.4325,           11.6700,           15.7813,           23.0354,           52.4886,            1.4240,            5.7039,           -0.3184,           -0.4308,           23.9120,
Ref 2,3.01946e-08,,,,,,1.1980e-02,4.2116e-03,4.9022e-05,4.6330e-06,2.1408e-08,,,,,,,,,,,
Sam 2,2.87277e-08,1.20331e-02,4.2606e-03,4.9797e-05,4.7409e-06,2.4170e-08,,,,,,            4.4115,           11.6590,           15.7714,           23.2570,          226.4604,            1.4021,            5.6930,           -0.2959,           -0.1924,          193.2123,
Ref 3,2.97917e-08,,,,,,1.1980e-02,4.2115e-03,4.9026e-05,4.6333e-06,1.7982e-08,,,,,,,,,,,
Sam 3,2.83267e-08,1.20333e-02,4.2605e-03,4.9794e-05,4.7437e-06,1.9506e-08,,,,,,            4.4331,           11.6397,           15.7634,           23.5712,          -23.1306,            1.4257,            5.6738,           -0.3072,            0.1527,          -49.5986,
Ref 4,2.93929e-08,,,,,,1.1980e-02,4.2115e-03,4.9016e-05,4.6356e-06,2.1980e-08,,,,,,,,,,,
Sam 4,2.79318e-08,1.20332e-02,4.2605e-03,4.9790e-05,4.7451e-06,2.0755e-08,,,,,,            4.4350,           11.6435,           15.7736,           23.6995,           12.8464,            1.4276,            5.6775,           -0.3027,            0.2706,          -14.6056,
Ref 5,2.90032e-08,,,,,,1.1980e-02,4.2114e-03,4.9017e-05,4.6348e-06,1.8983e-08,,,,,,,,,,,
Sam 5,2.75446e-08,1.20330e-02,4.2605e-03,4.9784e-05,4.7379e-06,2.2241e-08,,,,,,            4.4191,           11.6499,           15.7410,           22.2038,           92.2177,            1.4105,            5.6839,           -0.3247,           -1.2034,           62.6192,
Ref 6,2.86193e-08,,,,,,1.1980e-02,4.2114e-03,4.9008e-05,4.6352e-06,2.1762e-08,,,,,,,,,,,
Sam 6,2.71653e-08,1.20329e-02,4.2603e-03,4.9790e-05,4.7398e-06,2.1176e-08,,,,,,            4.4226,           11.6167,           15.8683,           22.6341,           49.6296,            1.4153,            5.6508,           -0.1707,           -0.7174,           21.2473,
Ref 7,2.82392e-08,,,,,,1.1980e-02,4.2114e-03,4.9016e-05,4.6346e-06,1.8566e-08,,,,,,,,,,,
Sam 7,2.67893e-08,1.20329e-02,4.2604e-03,4.9787e-05,4.7426e-06,2.1760e-08,,,,,,            4.4308,           11.6355,           15.6082,           23.4618,          175.3458,            1.4234,            5.6696,           -0.4534,            0.0541,          143.5123,
Ref 8,2.78671e-08,,,,,,1.1980e-02,4.2113e-03,4.9028e-05,4.6332e-06,1.8461e-08,,,,,,,,,,,
Sam 8,2.64236e-08,1.20327e-02,4.2603e-03,4.9783e-05,4.7385e-06,1.8731e-08,,,,,,            4.4214,           11.6381,           15.4756,           22.9690,          -93.4029,            1.4133,            5.6722,           -0.5767,           -0.4325,         -117.9531,
Ref 9,2.75045e-08,,,,,,1.1980e-02,4.2112e-03,4.9020e-05,4.6310e-06,2.2891e-08,,,,,,,,,,,
Sam 9,2.60666e-08,1.20326e-02,4.2603e-03,4.9781e-05,4.7419e-06,2.1581e-08,,,,,,            4.4297,           11.6523,           15.5779,           23.4513,           19.5848,            1.4217,            5.6862,           -0.4985,            0.0108,           -8.0611,
Ref 10,2.71450e-08,,,,,,1.1979e-02,4.2112e-03,4.9015e-05,4.6356e-06,1.9420e-08,,,,,,,,,,,
Sam 10,2.57149e-08,1.20325e-02,4.2601e-03,4.9787e-05,4.7413e-06,2.3497e-08,,,,,,            4.4209,           11.6153,           15.8053,           22.9369,          131.6666,            1.4136,            5.6495,           -0.2296,           -0.4189,          101.0708,
Ref 11,2.67931e-08,,,,,,1.1980e-02,4.2112e-03,4.9010e-05,4.6344e-06,2.2124e-08,,,,,,,,,,,
Sam 11,2.53679e-08,1.20325e-02,4.2601e-03,4.9789e-05,4.7419e-06,2.3536e-08,,,,,,            4.4289,           11.6259,           15.8614,           23.7064,          236.1242,            1.4217,            5.6600,           -0.1930,            0.3122,          202.6694,
Ref 12,2.64473e-08,,,,,,1.1979e-02,4.2111e-03,4.9014e-05,4.6298e-06,1.5916e-08,,,,,,,,,,,
Sam 12,2.50282e-08,1.20322e-02,4.2601e-03,4.9790e-05,4.7404e-06,1.9204e-08,,,,,,            4.4120,           11.6343,           15.8296,           23.5806,          151.4162,            1.4034,            5.6684,           -0.2151,            0.1726,          120.2557,
Ref 13,2.61074e-08,,,,,,1.1979e-02,4.2110e-03,4.9015e-05,4.6326e-06,1.7452e-08,,,,,,,,,,,
Sam 13,2.46941e-08,1.20324e-02,4.2601e-03,4.9782e-05,4.7314e-06,1.6611e-08,,,,,,            4.4389,           11.6494,           15.7002,           21.1649,          -43.3980,            1.4316,            5.6834,           -0.3848,           -2.2177,          -69.3402,
Ref 14,2.57711e-08,,,,,,1.1979e-02,4.2110e-03,4.9011e-05,4.6340e-06,1.7277e-08,,,,,,,,,,,
Sam 14,2.43668e-08,1.20323e-02,4.2600e-03,4.9780e-05,4.7370e-06,2.1773e-08,,,,,,            4.4325,           11.6352,           15.7146,           22.2285,          476.6672,            1.4253,            5.6692,           -0.3501,           -1.1503,          436.6708,
Ref 15,2.54419e-08,,,,,,1.1979e-02,4.2110e-03,4.9009e-05,4.6340e-06,1.2180e-08,,,,,,,,,,,
Sam 15,2.40465e-08,1.20322e-02,4.2600e-03,4.9777e-05,4.7395e-06,1.4768e-08,,,,,,            4.4388,           11.6471,           15.7091,           22.8978,           72.9587,            1.4315,            5.6811,           -0.3737,           -0.5199,           43.8658,
Ref 16,2.51214e-08,,,,,,1.1979e-02,4.2109e-03,4.9006e-05,4.6329e-06,1.5368e-08,,,,,,,,,,,
Sam 16,2.37315e-08,1.20320e-02,4.2599e-03,4.9775e-05,4.7374e-06,1.7745e-08,,,,,,            4.4266,           11.6276,           15.6199,           22.8960,          403.8776,            1.4192,            5.6617,           -0.4299,           -0.4831,          365.8815,
Ref 17,2.48035e-08,,,,,,1.1979e-02,4.2109e-03,4.9013e-05,4.6299e-06,9.8766e-09,,,,,,,,,,,
Sam 17,2.34179e-08,1.20320e-02,4.2598e-03,4.9777e-05,4.7415e-06,1.0965e-08,,,,,,            4.4320,           11.6415,           15.6615,           23.5211,          -50.0947,            1.4244,            5.6755,           -0.4080,            0.1002,          -75.8342,
Ref 18,2.44891e-08,,,,,,1.1979e-02,4.2108e-03,4.9006e-05,4.6352e-06,1.3231e-08,,,,,,,,,,,
Sam 18,2.31132e-08,1.20318e-02,4.2598e-03,4.9780e-05,4.7409e-06,6.3983e-09,,,,,,            4.4365,           11.6557,           15.7501,           23.0181,         -399.0764,            1.4288,            5.6897,           -0.3393,           -0.4194,         -415.3785,
Ref 19,2.41799e-08,,,,,,1.1979e-02,4.2107e-03,4.9011e-05,4.6332e-06,8.0310e-09,,,,,,,,,,,
Sam 19,2.28098e-08,1.20317e-02,4.2597e-03,4.9781e-05,4.7372e-06,5.0171e-09,,,,,,            4.4355,           11.6321,           15.7466,           22.9984,         -342.2484,            1.4286,            5.6662,           -0.3188,           -0.3920,         -360.0621,
Ref 20,2.38779e-08,,,,,,1.1979e-02,4.2107e-03,4.9006e-05,4.6281e-06,7.2191e-09,,,,,,,,,,,
Sam 20,2.25144e-08,1.20314e-02,4.2597e-03,4.9774e-05,4.7388e-06,6.0518e-09,,,,,,            4.4149,           11.6496,           15.6906,           23.9577,         -335.1966,            1.4060,            5.6836,           -0.3698,            0.5108,         -353.2091,
Ref 21,2.35799e-08,,,,,,1.1979e-02,4.2107e-03,4.9005e-05,4.6278e-06,1.1011e-08,,,,,,,,,,,


