Nu Stable Isotope Analysis Program
Data Collected on Sunday, February 12, 2023 at 02:38 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 12, 2023 at 03:37 with Stable 1.71.5 on PS019

Data File = Data_19283 KDW_34_5_A.txt,    Sample Weight = 492,                      Vial Location = 11,                       Initial Sam Beam = 1.7826e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1345e-08,                Max Ref Beam = 1.0608e-07,                

Analysis undertaken at mass 46.05101
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.25310e-08,,,,,,1.1980e-02,4.2100e-03,4.8978e-05,4.6356e-06,4.5838e-08,
Sam 1,7.16389e-08,1.20593e-02,4.2539e-03,4.9798e-05,4.7312e-06,4.8363e-08,,,,,,            6.5929,           10.3902,           16.6666,           20.5953,           32.8569,            3.7675,            4.4255,           -0.4152,           -0.2869,            5.0209,
Ref 2,7.12424e-08,,,,,,1.1981e-02,4.2104e-03,4.8986e-05,4.6359e-06,4.7829e-08,,,,,,,,,,,
Sam 2,7.03153e-08,1.20599e-02,4.2542e-03,4.9804e-05,4.7323e-06,4.9869e-08,,,,,,            6.5864,           10.3773,           16.6174,           20.5879,           50.2783,            3.7610,            4.4128,           -0.4444,           -0.2688,           22.0052,
Ref 3,7.00077e-08,,,,,,1.1981e-02,4.2106e-03,4.8993e-05,4.6379e-06,4.7128e-08,,,,,,,,,,,
Sam 3,6.90278e-08,1.20601e-02,4.2544e-03,4.9805e-05,4.7337e-06,4.9473e-08,,,,,,            6.5881,           10.3733,           16.5931,           20.7326,           41.7420,            3.7629,            4.4088,           -0.4661,           -0.1192,           13.7049,
Ref 4,6.88029e-08,,,,,,1.1981e-02,4.2108e-03,4.8991e-05,4.6373e-06,4.7859e-08,,,,,,,,,,,
Sam 4,6.77741e-08,1.20602e-02,4.2545e-03,4.9808e-05,4.7322e-06,5.0966e-08,,,,,,            6.5831,           10.3663,           16.6190,           20.4543,           57.6440,            3.7578,            4.4018,           -0.4287,           -0.3778,           29.1983,
Ref 5,6.76271e-08,,,,,,1.1982e-02,4.2110e-03,4.8997e-05,4.6374e-06,4.8522e-08,,,,,,,,,,,
Sam 5,6.65498e-08,1.20605e-02,4.2547e-03,4.9810e-05,4.7346e-06,5.1062e-08,,,,,,            6.5870,           10.3811,           16.5658,           20.8758,           39.6563,            3.7615,            4.4165,           -0.4994,            0.0058,           11.6611,
Ref 6,6.64800e-08,,,,,,1.1982e-02,4.2111e-03,4.9000e-05,4.6381e-06,4.9717e-08,,,,,,,,,,,
Sam 6,6.53566e-08,1.20606e-02,4.2549e-03,4.9821e-05,4.7347e-06,5.1409e-08,,,,,,            6.5851,           10.3826,           16.7198,           20.6318,           18.7137,            3.7594,            4.4180,           -0.3475,           -0.2363,           -8.7185,
Ref 7,6.53647e-08,,,,,,1.1982e-02,4.2112e-03,4.9003e-05,4.6398e-06,5.1225e-08,,,,,,,,,,,
Sam 7,6.41960e-08,1.20606e-02,4.2550e-03,4.9824e-05,4.7371e-06,5.0737e-08,,,,,,            6.5709,           10.3777,           16.7493,           20.9607,            8.1033,            3.7445,            4.4132,           -0.2992,            0.0956,          -19.0191,
Ref 8,6.42667e-08,,,,,,1.1982e-02,4.2113e-03,4.9003e-05,4.6398e-06,4.9418e-08,,,,,,,,,,,
Sam 8,6.30586e-08,1.20610e-02,4.2551e-03,4.9827e-05,4.7371e-06,5.2321e-08,,,,,,            6.5930,           10.3825,           16.7720,           20.6698,           41.2116,            3.7678,            4.4179,           -0.3042,           -0.1989,           13.1653,
Ref 9,6.31944e-08,,,,,,1.1982e-02,4.2115e-03,4.9008e-05,4.6425e-06,5.1097e-08,,,,,,,,,,,
Sam 9,6.19486e-08,1.20609e-02,4.2551e-03,4.9821e-05,4.7360e-06,5.2185e-08,,,,,,            6.5795,           10.3571,           16.6153,           20.4883,           24.8108,            3.7543,            4.3926,           -0.4197,           -0.3264,           -2.7301,
Ref 10,6.21439e-08,,,,,,1.1982e-02,4.2115e-03,4.9006e-05,4.6393e-06,5.0743e-08,,,,,,,,,,,
Sam 10,6.08628e-08,1.20612e-02,4.2553e-03,4.9826e-05,4.7376e-06,5.1139e-08,,,,,,            6.5985,           10.3741,           16.6713,           20.8175,            6.9422,            3.7740,            4.4095,           -0.4007,           -0.0376,          -20.1706,
Ref 11,6.11204e-08,,,,,,1.1982e-02,4.2116e-03,4.9013e-05,4.6426e-06,5.0829e-08,,,,,,,,,,,
Sam 11,5.98028e-08,1.20611e-02,4.2553e-03,4.9831e-05,4.7358e-06,5.2482e-08,,,,,,            6.5845,           10.3673,           16.7055,           20.0585,           50.0010,            3.7593,            4.4028,           -0.3460,           -0.7676,           21.7575,
Ref 12,6.01118e-08,,,,,,1.1982e-02,4.2117e-03,4.9011e-05,4.6428e-06,4.9121e-08,,,,,,,,,,,
Sam 12,5.87629e-08,1.20612e-02,4.2554e-03,4.9828e-05,4.7378e-06,5.0985e-08,,,,,,            6.5871,           10.3746,           16.6708,           20.5009,            4.2045,            3.7618,            4.4100,           -0.3899,           -0.3486,          -22.8237,
Ref 13,5.91233e-08,,,,,,1.1982e-02,4.2118e-03,4.9012e-05,4.6424e-06,5.2450e-08,,,,,,,,,,,
Sam 13,5.77443e-08,1.20610e-02,4.2554e-03,4.9834e-05,4.7360e-06,5.3742e-08,,,,,,            6.5692,           10.3633,           16.7563,           20.4608,           25.6736,            3.7432,            4.3988,           -0.2766,           -0.3655,           -1.8918,
Ref 14,5.81564e-08,,,,,,1.1982e-02,4.2118e-03,4.9013e-05,4.6396e-06,5.2344e-08,,,,,,,,,,,
Sam 14,5.67549e-08,1.20611e-02,4.2555e-03,4.9835e-05,4.7380e-06,5.3542e-08,,,,,,            6.5729,           10.3725,           16.7777,           20.9055,           10.1716,            3.7467,            4.4080,           -0.2682,            0.0519,          -16.9984,
Ref 15,5.72130e-08,,,,,,1.1982e-02,4.2118e-03,4.9012e-05,4.6424e-06,5.3673e-08,,,,,,,,,,,
Sam 15,5.57858e-08,1.20612e-02,4.2556e-03,4.9838e-05,4.7365e-06,5.5023e-08,,,,,,            6.5869,           10.3676,           16.8092,           20.3394,           19.9369,            3.7618,            4.4030,           -0.2468,           -0.4929,           -7.5009,
Ref 16,5.62879e-08,,,,,,1.1982e-02,4.2119e-03,4.9016e-05,4.6418e-06,5.4228e-08,,,,,,,,,,,
Sam 16,5.48393e-08,1.20613e-02,4.2556e-03,4.9837e-05,4.7388e-06,5.5552e-08,,,,,,            6.5892,           10.3548,           16.7082,           20.6129,           71.4935,            3.7647,            4.3903,           -0.3360,           -0.1997,           42.6920,
Ref 17,5.53825e-08,,,,,,1.1982e-02,4.2119e-03,4.9019e-05,4.6444e-06,4.9425e-08,,,,,,,,,,,
Sam 17,5.39150e-08,1.20611e-02,4.2556e-03,4.9839e-05,4.7392e-06,5.4226e-08,,,,,,            6.5775,           10.3667,           16.7392,           20.6316,           65.9887,            3.7519,            4.4022,           -0.3051,           -0.2049,           37.3240,
Ref 18,5.44978e-08,,,,,,1.1982e-02,4.2120e-03,4.9017e-05,4.6423e-06,5.2337e-08,,,,,,,,,,,
Sam 18,5.30099e-08,1.20614e-02,4.2557e-03,4.9837e-05,4.7394e-06,5.2828e-08,,,,,,            6.5924,           10.3773,           16.6887,           20.8761,           -7.0744,            3.7673,            4.4127,           -0.3804,            0.0136,          -33.8096,
Ref 19,5.36287e-08,,,,,,1.1982e-02,4.2120e-03,4.9021e-05,4.6428e-06,5.4086e-08,,,,,,,,,,,
Sam 19,5.21264e-08,1.20613e-02,4.2557e-03,4.9838e-05,4.7405e-06,5.3545e-08,,,,,,            6.5796,           10.3706,           16.6550,           20.7833,           10.3016,            3.7540,            4.4060,           -0.3939,           -0.0640,          -16.8753,
Ref 20,5.27812e-08,,,,,,1.1982e-02,4.2121e-03,4.9022e-05,4.6451e-06,5.1895e-08,,,,,,,,,,,
Sam 20,5.12561e-08,1.20613e-02,4.2558e-03,4.9842e-05,4.7408e-06,5.6785e-08,,,,,,            6.5759,           10.3666,           16.6820,           20.7699,           53.8404,            3.7501,            4.4021,           -0.3597,           -0.0692,           25.5043,
Ref 21,5.19452e-08,,,,,,1.1982e-02,4.2121e-03,4.9026e-05,4.6435e-06,5.5904e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.15384e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6452e-06,5.5679e-08,
Sam 1,4.99816e-08,1.20613e-02,4.2557e-03,4.9845e-05,4.7420e-06,5.6880e-08,,,,,,            6.5765,           10.3455,           16.6604,           20.7811,           10.1085,            3.7515,            4.3811,           -0.3610,           -0.0165,          -17.0119,
Ref 2,5.07277e-08,,,,,,1.1982e-02,4.2122e-03,4.9033e-05,4.6457e-06,5.6953e-08,,,,,,,,,,,
Sam 2,4.91500e-08,1.20613e-02,4.2558e-03,4.9842e-05,4.7412e-06,5.5569e-08,,,,,,            6.5759,           10.3542,           16.6237,           20.3950,          -31.7959,            3.7506,            4.3898,           -0.4050,           -0.4121,          -57.8067,
Ref 3,4.99334e-08,,,,,,1.1983e-02,4.2122e-03,4.9021e-05,4.6472e-06,5.7841e-08,,,,,,,,,,,
Sam 3,4.83351e-08,1.20615e-02,4.2558e-03,4.9850e-05,4.7419e-06,5.8004e-08,,,,,,            6.5943,           10.3473,           16.8080,           20.7392,           -4.7717,            3.7704,            4.3828,           -0.2358,           -0.0611,          -31.5142,
Ref 4,4.91564e-08,,,,,,1.1983e-02,4.2123e-03,4.9030e-05,4.6439e-06,5.8730e-08,,,,,,,,,,,
Sam 4,4.75420e-08,1.20614e-02,4.2559e-03,4.9850e-05,4.7406e-06,5.7937e-08,,,,,,            6.5733,           10.3454,           16.7609,           20.7449,           20.0008,            3.7482,            4.3810,           -0.2588,           -0.0517,           -7.3817,
Ref 5,4.83929e-08,,,,,,1.1983e-02,4.2123e-03,4.9026e-05,4.6446e-06,5.4842e-08,,,,,,,,,,,
Sam 5,4.67635e-08,1.20613e-02,4.2559e-03,4.9849e-05,4.7410e-06,5.5112e-08,,,,,,            6.5646,           10.3581,           16.7381,           20.7594,           12.0536,            3.7384,            4.3937,           -0.2847,           -0.0628,          -15.1309,
Ref 6,4.76439e-08,,,,,,1.1983e-02,4.2123e-03,4.9031e-05,4.6445e-06,5.4064e-08,,,,,,,,,,,
Sam 6,4.60029e-08,1.20613e-02,4.2559e-03,4.9854e-05,4.7395e-06,5.7302e-08,,,,,,            6.5765,           10.3586,           16.7503,           20.5829,           16.7914,            3.7511,            4.3941,           -0.2853,           -0.2366,          -10.5338,
Ref 7,4.69097e-08,,,,,,1.1982e-02,4.2122e-03,4.9035e-05,4.6433e-06,5.8684e-08,,,,,,,,,,,
Sam 7,4.52602e-08,1.20612e-02,4.2559e-03,4.9850e-05,4.7405e-06,5.7216e-08,,,,,,            6.5760,           10.3707,           16.6397,           20.6166,            5.1817,            3.7501,            4.4062,           -0.4053,           -0.2275,          -21.8538,
Ref 8,4.61938e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6461e-06,5.5130e-08,,,,,,,,,,,
Sam 8,4.45366e-08,1.20611e-02,4.2559e-03,4.9848e-05,4.7413e-06,5.8499e-08,,,,,,            6.5754,           10.3745,           16.6681,           20.1680,           21.6269,            3.7494,            4.4099,           -0.3805,           -0.6745,           -5.8579,
Ref 9,4.54896e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6490e-06,5.9423e-08,,,,,,,,,,,
Sam 9,4.38245e-08,1.20611e-02,4.2558e-03,4.9856e-05,4.7465e-06,5.9682e-08,,,,,,            6.5804,           10.3465,           16.7958,           21.2977,            2.9774,            3.7556,            4.3821,           -0.2329,            0.4875,          -23.9575,
Ref 10,4.47972e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6459e-06,5.9587e-08,,,,,,,,,,,
Sam 10,4.31311e-08,1.20609e-02,4.2558e-03,4.9847e-05,4.7440e-06,6.1574e-08,,,,,,            6.5697,           10.3383,           16.5847,           20.7281,           36.2161,            3.7446,            4.3739,           -0.4215,           -0.0542,            8.4161,
Ref 11,4.41196e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6494e-06,5.9254e-08,,,,,,,,,,,
Sam 11,4.24524e-08,1.20608e-02,4.2558e-03,4.9849e-05,4.7437e-06,6.1564e-08,,,,,,            6.5692,           10.3593,           16.6548,           20.7639,           34.1611,            3.7433,            4.3949,           -0.3724,           -0.0608,            6.3756,
Ref 12,4.34542e-08,,,,,,1.1982e-02,4.2122e-03,4.9033e-05,4.6451e-06,5.9812e-08,,,,,,,,,,,
Sam 12,4.17852e-08,1.20608e-02,4.2558e-03,4.9854e-05,4.7455e-06,6.2038e-08,,,,,,            6.5724,           10.3585,           16.7503,           21.2324,           27.9730,            3.7467,            4.3941,           -0.2811,            0.3997,            0.3518,
Ref 13,4.28037e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6486e-06,6.0896e-08,,,,,,,,,,,
Sam 13,4.11355e-08,1.20607e-02,4.2557e-03,4.9853e-05,4.7432e-06,6.2014e-08,,,,,,            6.5733,           10.3438,           16.6579,           20.2356,           42.2178,            3.7482,            4.3794,           -0.3584,           -0.5475,           14.2421,
Ref 14,4.21654e-08,,,,,,1.1982e-02,4.2121e-03,4.9040e-05,4.6497e-06,5.8086e-08,,,,,,,,,,,
Sam 14,4.04981e-08,1.20607e-02,4.2557e-03,4.9849e-05,4.7450e-06,6.1731e-08,,,,,,            6.5788,           10.3509,           16.5014,           20.8817,           23.2088,            3.7538,            4.3865,           -0.5250,            0.0713,           -4.2764,
Ref 15,4.15436e-08,,,,,,1.1982e-02,4.2122e-03,4.9040e-05,4.6462e-06,6.2610e-08,,,,,,,,,,,
Sam 15,3.98736e-08,1.20607e-02,4.2557e-03,4.9852e-05,4.7462e-06,6.1097e-08,,,,,,            6.5762,           10.3418,           16.6138,           21.1424,           -7.9500,            3.7513,            4.3774,           -0.4029,            0.3447,          -34.5784,
Ref 16,4.09320e-08,,,,,,1.1982e-02,4.2122e-03,4.9034e-05,4.6497e-06,6.0548e-08,,,,,,,,,,,
Sam 16,3.92577e-08,1.20607e-02,4.2557e-03,4.9853e-05,4.7475e-06,6.2857e-08,,,,,,            6.5803,           10.3402,           16.6589,           21.0626,           24.8995,            3.7557,            4.3758,           -0.3612,            0.2696,           -2.6118,
Ref 17,4.03285e-08,,,,,,1.1982e-02,4.2121e-03,4.9038e-05,4.6495e-06,6.2124e-08,,,,,,,,,,,
Sam 17,3.86550e-08,1.20605e-02,4.2557e-03,4.9857e-05,4.7440e-06,6.2686e-08,,,,,,            6.5666,           10.3346,           16.6651,           20.2275,           -4.6326,            3.7414,            4.3702,           -0.3356,           -0.5372,          -31.3265,
Ref 18,3.97408e-08,,,,,,1.1982e-02,4.2122e-03,4.9042e-05,4.6505e-06,6.3844e-08,,,,,,,,,,,
Sam 18,3.80613e-08,1.20605e-02,4.2557e-03,4.9850e-05,4.7474e-06,6.8305e-08,,,,,,            6.5674,           10.3285,           16.5265,           20.7821,           79.9585,            3.7424,            4.3642,           -0.4667,            0.0181,           51.0075,
Ref 19,3.91605e-08,,,,,,1.1982e-02,4.2122e-03,4.9036e-05,4.6510e-06,6.2644e-08,,,,,,,,,,,
Sam 19,3.74774e-08,1.20605e-02,4.2556e-03,4.9858e-05,4.7479e-06,6.5886e-08,,,,,,            6.5810,           10.3330,           16.7455,           21.1108,           29.8545,            3.7568,            4.3687,           -0.2698,            0.3311,            2.2235,
Ref 20,3.85910e-08,,,,,,1.1982e-02,4.2121e-03,4.9037e-05,4.6484e-06,6.5329e-08,,,,,,,,,,,
Sam 20,3.69076e-08,1.20603e-02,4.2556e-03,4.9857e-05,4.7455e-06,6.9684e-08,,,,,,            6.5692,           10.3501,           16.6506,           20.6515,           74.0500,            3.7436,            4.3856,           -0.3676,           -0.1525,           45.2116,
Ref 21,3.80334e-08,,,,,,1.1982e-02,4.2120e-03,4.9044e-05,4.6506e-06,6.4425e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.77578e-08,,,,,,1.1982e-02,4.2121e-03,4.9048e-05,4.6477e-06,6.6984e-08,
Sam 1,3.60759e-08,1.20601e-02,4.2555e-03,4.9851e-05,4.7465e-06,6.8748e-08,,,,,,            6.5577,           10.3309,           16.4635,           21.0239,           41.0403,            3.7321,            4.3666,           -0.5212,            0.2502,           13.1381,
Ref 2,3.72143e-08,,,,,,1.1981e-02,4.2120e-03,4.9040e-05,4.6499e-06,6.5079e-08,,,,,,,,,,,
Sam 2,3.55362e-08,1.20603e-02,4.2556e-03,4.9858e-05,4.7465e-06,7.0119e-08,,,,,,            6.5820,           10.3518,           16.6974,           20.4886,           46.9161,            3.7571,            4.3874,           -0.3363,           -0.3156,           18.7890,
Ref 3,3.66799e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6524e-06,6.8903e-08,,,,,,,,,,,
Sam 3,3.50042e-08,1.20601e-02,4.2555e-03,4.9847e-05,4.7451e-06,7.3157e-08,,,,,,            6.5730,           10.3286,           16.4437,           20.0922,           53.6312,            3.7484,            4.3643,           -0.5540,           -0.6580,           25.3797,
Ref 4,3.61560e-08,,,,,,1.1981e-02,4.2120e-03,4.9042e-05,4.6508e-06,6.9971e-08,,,,,,,,,,,
Sam 4,3.44867e-08,1.20600e-02,4.2555e-03,4.9854e-05,4.7410e-06,7.4032e-08,,,,,,            6.5759,           10.3371,           16.5434,           19.3869,           84.2923,            3.7511,            4.3728,           -0.4672,           -1.3658,           55.1980,
Ref 5,3.56430e-08,,,,,,1.1981e-02,4.2120e-03,4.9042e-05,4.6510e-06,6.6558e-08,,,,,,,,,,,
Sam 5,3.39784e-08,1.20599e-02,4.2554e-03,4.9852e-05,4.7463e-06,7.3255e-08,,,,,,            6.5676,           10.3211,           16.5551,           20.2143,           70.8479,            3.7428,            4.3568,           -0.4316,           -0.5234,           42.1560,
Ref 6,3.51390e-08,,,,,,1.1981e-02,4.2119e-03,4.9038e-05,4.6536e-06,7.0286e-08,,,,,,,,,,,
Sam 6,3.34784e-08,1.20599e-02,4.2554e-03,4.9850e-05,4.7449e-06,7.2256e-08,,,,,,            6.5756,           10.3376,           16.5111,           19.8633,           18.8126,            3.7508,            4.3733,           -0.4991,           -0.9001,           -8.5253,
Ref 7,3.46429e-08,,,,,,1.1981e-02,4.2119e-03,4.9044e-05,4.6512e-06,7.1566e-08,,,,,,,,,,,
Sam 7,3.29848e-08,1.20598e-02,4.2555e-03,4.9850e-05,4.7457e-06,7.2009e-08,,,,,,            6.5772,           10.3566,           16.5131,           20.4132,            9.0385,            3.7519,            4.3922,           -0.5173,           -0.3989,          -18.0753,
Ref 8,3.41455e-08,,,,,,1.1981e-02,4.2118e-03,4.9038e-05,4.6503e-06,7.1158e-08,,,,,,,,,,,
Sam 8,3.25021e-08,1.20598e-02,4.2553e-03,4.9849e-05,4.7463e-06,7.4305e-08,,,,,,            6.5787,           10.3219,           16.4874,           20.3052,           16.8043,            3.7546,            4.3576,           -0.5103,           -0.4361,          -10.4527,
Ref 9,3.36690e-08,,,,,,1.1981e-02,4.2118e-03,4.9042e-05,4.6533e-06,7.5022e-08,,,,,,,,,,,
Sam 9,3.20328e-08,1.20597e-02,4.2553e-03,4.9855e-05,4.7495e-06,7.6298e-08,,,,,,            6.5764,           10.3397,           16.5836,           21.1533,           10.2723,            3.7517,            4.3753,           -0.4307,            0.3596,          -16.8414,
Ref 10,3.31997e-08,,,,,,1.1981e-02,4.2117e-03,4.9042e-05,4.6488e-06,7.6029e-08,,,,,,,,,,,
Sam 10,3.15737e-08,1.20596e-02,4.2552e-03,4.9860e-05,4.7492e-06,7.8376e-08,,,,,,            6.5806,           10.3370,           16.6732,           21.1555,           40.7684,            3.7562,            4.3727,           -0.3443,            0.3670,           12.8370,
Ref 11,3.27406e-08,,,,,,1.1981e-02,4.2117e-03,4.9043e-05,4.6528e-06,7.4572e-08,,,,,,,,,,,
Sam 11,3.11219e-08,1.20594e-02,4.2552e-03,4.9853e-05,4.7497e-06,7.8163e-08,,,,,,            6.5673,           10.3314,           16.4701,           20.9453,           42.7140,            3.7422,            4.3671,           -0.5250,            0.1722,           14.7558,
Ref 12,3.22885e-08,,,,,,1.1981e-02,4.2116e-03,4.9047e-05,4.6516e-06,7.5356e-08,,,,,,,,,,,
Sam 12,3.06797e-08,1.20592e-02,4.2551e-03,4.9864e-05,4.7516e-06,7.4563e-08,,,,,,            6.5635,           10.3145,           16.6647,           21.4718,           -5.7243,            3.7387,            4.3502,           -0.3132,            0.7216,          -32.3478,
Ref 13,3.18457e-08,,,,,,1.1981e-02,4.2117e-03,4.9047e-05,4.6519e-06,7.4624e-08,,,,,,,,,,,
Sam 13,3.02467e-08,1.20591e-02,4.2551e-03,4.9865e-05,4.7485e-06,7.7788e-08,,,,,,            6.5571,           10.3118,           16.6795,           20.7173,           42.8688,            3.7321,            4.3477,           -0.2896,           -0.0124,           14.9560,
Ref 14,3.14112e-08,,,,,,1.1980e-02,4.2116e-03,4.9047e-05,4.6523e-06,7.4557e-08,,,,,,,,,,,
Sam 14,2.98202e-08,1.20592e-02,4.2550e-03,4.9856e-05,4.7511e-06,7.8415e-08,,,,,,            6.5737,           10.3162,           16.4980,           21.1251,           36.4082,            3.7495,            4.3519,           -0.4892,            0.3785,            8.6423,
Ref 15,3.09844e-08,,,,,,1.1980e-02,4.2115e-03,4.9047e-05,4.6533e-06,7.6779e-08,,,,,,,,,,,
Sam 15,2.94014e-08,1.20591e-02,4.2550e-03,4.9851e-05,4.7479e-06,8.1746e-08,,,,,,            6.5609,           10.3286,           16.4163,           20.3727,           54.4437,            3.7355,            4.3643,           -0.5686,           -0.3832,           26.1836,
Ref 16,3.05632e-08,,,,,,1.1980e-02,4.2116e-03,4.9044e-05,4.6530e-06,7.8281e-08,,,,,,,,,,,
Sam 16,2.89916e-08,1.20590e-02,4.2550e-03,4.9864e-05,4.7502e-06,8.2864e-08,,,,,,            6.5591,           10.3157,           16.7592,           21.0798,           53.9484,            3.7340,            4.3515,           -0.2170,            0.3350,           25.7291,
Ref 17,3.01523e-08,,,,,,1.1980e-02,4.2115e-03,4.9040e-05,4.6512e-06,7.8969e-08,,,,,,,,,,,
Sam 17,2.85903e-08,1.20589e-02,4.2549e-03,4.9858e-05,4.7499e-06,8.1638e-08,,,,,,            6.5716,           10.3183,           16.6366,           20.8940,           45.8607,            3.7472,            4.3541,           -0.3530,            0.1478,           17.8395,
Ref 18,2.97490e-08,,,,,,1.1980e-02,4.2114e-03,4.9045e-05,4.6542e-06,7.7136e-08,,,,,,,,,,,
Sam 18,2.81937e-08,1.20585e-02,4.2549e-03,4.9859e-05,4.7448e-06,8.4169e-08,,,,,,            6.5552,           10.3291,           16.6097,           19.6450,           84.9154,            3.7295,            4.3648,           -0.3731,           -1.0970,           55.8439,
Ref 19,2.93500e-08,,,,,,1.1980e-02,4.2113e-03,4.9044e-05,4.6525e-06,7.8033e-08,,,,,,,,,,,
Sam 19,2.78038e-08,1.20586e-02,4.2548e-03,4.9859e-05,4.7485e-06,8.4076e-08,,,,,,            6.5708,           10.3329,           16.6719,           20.9773,           56.7074,            3.7459,            4.3686,           -0.3316,            0.2005,           28.3671,
Ref 20,2.89593e-08,,,,,,1.1980e-02,4.2113e-03,4.9040e-05,4.6494e-06,8.1117e-08,,,,,,,,,,,
Sam 20,2.74205e-08,1.20584e-02,4.2548e-03,4.9860e-05,4.7504e-06,8.1071e-08,,,,,,            6.5638,           10.3430,           16.7242,           21.0162,           -5.9501,            3.7381,            4.3786,           -0.2828,            0.2188,          -32.6216,
Ref 21,2.85746e-08,,,,,,1.1980e-02,4.2113e-03,4.9040e-05,4.6558e-06,8.2002e-08,,,,,,,,,,,


