Nu Stable Isotope Analysis Program
Data Collected on Sunday, February 12, 2023 at 10:50 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 12, 2023 at 11:49 with Stable 1.71.5 on PS019

Data File = Data_19289 KDW2_104_8B_A.txt, Sample Weight = 498,                      Vial Location = 17,                       Initial Sam Beam = 1.5306e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6657e-08,                Max Ref Beam = 1.0632e-07,                

Analysis undertaken at mass 46.04862
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.15672e-08,,,,,,1.1981e-02,4.2111e-03,4.9004e-05,4.6365e-06,4.7446e-08,
Sam 1,6.08142e-08,1.20367e-02,4.2614e-03,4.9793e-05,4.7467e-06,4.9674e-08,,,,,,            4.6045,           11.9029,           16.0457,           23.6076,           18.8169,            1.5990,            5.9353,           -0.4610,           -0.3320,           -9.4744,
Ref 2,6.05235e-08,,,,,,1.1982e-02,4.2115e-03,4.9010e-05,4.6380e-06,5.0090e-08,,,,,,,,,,,
Sam 2,5.97293e-08,1.20369e-02,4.2616e-03,4.9795e-05,4.7465e-06,4.9310e-08,,,,,,            4.5830,           11.8726,           16.0290,           23.4104,          -15.3175,            1.5772,            5.9052,           -0.4259,           -0.4646,          -42.5827,
Ref 3,5.95230e-08,,,,,,1.1982e-02,4.2116e-03,4.9009e-05,4.6378e-06,5.0064e-08,,,,,,,,,,,
Sam 3,5.86804e-08,1.20371e-02,4.2617e-03,4.9800e-05,4.7474e-06,4.9033e-08,,,,,,            4.5851,           11.8865,           16.1049,           23.6083,          -10.3516,            1.5790,            5.9190,           -0.3669,           -0.2988,          -37.7825,
Ref 4,5.85502e-08,,,,,,1.1982e-02,4.2117e-03,4.9013e-05,4.6380e-06,4.9020e-08,,,,,,,,,,,
Sam 4,5.76564e-08,1.20373e-02,4.2618e-03,4.9804e-05,4.7471e-06,5.1384e-08,,,,,,            4.5912,           11.8785,           16.1245,           23.4436,           14.7615,            1.5857,            5.9111,           -0.3461,           -0.4439,          -13.3565,
Ref 5,5.75927e-08,,,,,,1.1982e-02,4.2118e-03,4.9014e-05,4.6387e-06,5.2279e-08,,,,,,,,,,,
Sam 5,5.66524e-08,1.20372e-02,4.2618e-03,4.9805e-05,4.7487e-06,5.2872e-08,,,,,,            4.5785,           11.8675,           16.1073,           23.7917,           18.0147,            1.5726,            5.9001,           -0.3394,           -0.0823,          -10.1591,
Ref 6,5.66586e-08,,,,,,1.1982e-02,4.2119e-03,4.9017e-05,4.6379e-06,5.1588e-08,,,,,,,,,,,
Sam 6,5.56727e-08,1.20373e-02,4.2620e-03,4.9808e-05,4.7500e-06,5.5720e-08,,,,,,            4.5915,           11.8846,           16.1396,           24.0611,           69.5522,            1.5858,            5.9171,           -0.3375,            0.1472,           39.9034,
Ref 7,5.57452e-08,,,,,,1.1982e-02,4.2119e-03,4.9016e-05,4.6389e-06,5.2613e-08,,,,,,,,,,,
Sam 7,5.47174e-08,1.20374e-02,4.2620e-03,4.9805e-05,4.7472e-06,5.5644e-08,,,,,,            4.5932,           11.8889,           16.0211,           23.3566,           61.6569,            1.5876,            5.9214,           -0.4601,           -0.5495,           32.2163,
Ref 8,5.48519e-08,,,,,,1.1982e-02,4.2119e-03,4.9023e-05,4.6388e-06,5.2208e-08,,,,,,,,,,,
Sam 8,5.37820e-08,1.20373e-02,4.2621e-03,4.9813e-05,4.7471e-06,4.9958e-08,,,,,,            4.5861,           11.8945,           16.1277,           23.0135,           -8.2198,            1.5798,            5.9270,           -0.3534,           -0.8955,          -35.7258,
Ref 9,5.39756e-08,,,,,,1.1982e-02,4.2120e-03,4.9022e-05,4.6418e-06,4.8507e-08,,,,,,,,,,,
Sam 9,5.28708e-08,1.20372e-02,4.2620e-03,4.9814e-05,4.7474e-06,4.9673e-08,,,,,,            4.5789,           11.8867,           16.1651,           23.0885,            7.2174,            1.5724,            5.9192,           -0.3015,           -0.8068,          -20.6944,
Ref 10,5.31167e-08,,,,,,1.1982e-02,4.2120e-03,4.9020e-05,4.6387e-06,5.0140e-08,,,,,,,,,,,
Sam 10,5.19760e-08,1.20374e-02,4.2621e-03,4.9807e-05,4.7482e-06,4.8130e-08,,,,,,            4.5958,           11.8890,           16.0107,           23.3299,            1.3660,            1.5903,            5.9214,           -0.4731,           -0.5756,          -26.4055,
Ref 11,5.22757e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6412e-06,4.5956e-08,,,,,,,,,,,
Sam 11,5.11047e-08,1.20373e-02,4.2621e-03,4.9808e-05,4.7487e-06,4.8093e-08,,,,,,            4.5837,           11.8785,           16.0525,           23.2548,           44.3807,            1.5778,            5.9110,           -0.4093,           -0.6282,           15.4501,
Ref 12,5.14530e-08,,,,,,1.1982e-02,4.2121e-03,4.9019e-05,4.6404e-06,4.6145e-08,,,,,,,,,,,
Sam 12,5.02494e-08,1.20373e-02,4.2621e-03,4.9817e-05,4.7477e-06,4.8638e-08,,,,,,            4.5843,           11.8843,           16.2456,           23.2212,           44.3660,            1.5782,            5.9168,           -0.2256,           -0.6726,           15.4235,
Ref 13,5.06442e-08,,,,,,1.1982e-02,4.2121e-03,4.9022e-05,4.6395e-06,4.7006e-08,,,,,,,,,,,
Sam 13,4.94147e-08,1.20373e-02,4.2622e-03,4.9814e-05,4.7497e-06,5.0672e-08,,,,,,            4.5792,           11.8916,           16.0965,           23.6705,           76.1798,            1.5725,            5.9240,           -0.3741,           -0.2481,           46.3466,
Ref 14,4.98542e-08,,,,,,1.1982e-02,4.2122e-03,4.9027e-05,4.6404e-06,4.7166e-08,,,,,,,,,,,
Sam 14,4.85963e-08,1.20372e-02,4.2622e-03,4.9817e-05,4.7500e-06,5.2706e-08,,,,,,            4.5733,           11.8813,           16.0864,           23.8015,           77.6666,            1.5666,            5.9139,           -0.3681,           -0.0999,           47.8196,
Ref 15,4.90774e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6388e-06,5.0678e-08,,,,,,,,,,,
Sam 15,4.77980e-08,1.20373e-02,4.2622e-03,4.9816e-05,4.7483e-06,5.0414e-08,,,,,,            4.5882,           11.8920,           16.0580,           23.7324,            2.0460,            1.5820,            5.9244,           -0.4215,           -0.1884,          -25.7421,
Ref 16,4.83172e-08,,,,,,1.1982e-02,4.2121e-03,4.9028e-05,4.6376e-06,4.9939e-08,,,,,,,,,,,
Sam 16,4.70151e-08,1.20372e-02,4.2622e-03,4.9818e-05,4.7519e-06,5.3730e-08,,,,,,            4.5878,           11.8683,           16.1316,           24.6905,           40.9173,            1.5825,            5.9009,           -0.3257,            0.7941,           12.0983,
Ref 17,4.75721e-08,,,,,,1.1982e-02,4.2123e-03,4.9027e-05,4.6373e-06,5.3322e-08,,,,,,,,,,,
Sam 17,4.62517e-08,1.20372e-02,4.2622e-03,4.9818e-05,4.7489e-06,5.4153e-08,,,,,,            4.5852,           11.8740,           16.1280,           23.8633,           23.9949,            1.5795,            5.9065,           -0.3321,           -0.0250,           -4.3639,
Ref 18,4.68432e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6391e-06,5.2438e-08,,,,,,,,,,,
Sam 18,4.55039e-08,1.20371e-02,4.2621e-03,4.9820e-05,4.7486e-06,5.1325e-08,,,,,,            4.5844,           11.8688,           16.1525,           23.4764,          -10.5232,            1.5789,            5.9014,           -0.3023,           -0.3928,          -37.9157,
Ref 19,4.61268e-08,,,,,,1.1982e-02,4.2121e-03,4.9027e-05,4.6404e-06,5.1295e-08,,,,,,,,,,,
Sam 19,4.47699e-08,1.20372e-02,4.2622e-03,4.9818e-05,4.7506e-06,5.3353e-08,,,,,,            4.5937,           11.8798,           16.1752,           23.9069,           49.0673,            1.5884,            5.9124,           -0.3002,            0.0060,           19.9933,
Ref 20,4.54263e-08,,,,,,1.1982e-02,4.2122e-03,4.9022e-05,4.6390e-06,5.0413e-08,,,,,,,,,,,
Sam 20,4.40477e-08,1.20371e-02,4.2622e-03,4.9819e-05,4.7463e-06,5.2701e-08,,,,,,            4.5907,           11.8768,           16.2345,           22.8956,           33.2822,            1.5853,            5.9094,           -0.2358,           -0.9758,            4.6547,
Ref 21,4.47385e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6411e-06,5.1604e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.43996e-08,,,,,,1.1982e-02,4.2122e-03,4.9035e-05,4.6410e-06,5.2135e-08,
Sam 1,4.29850e-08,1.20370e-02,4.2622e-03,4.9817e-05,4.7474e-06,5.1554e-08,,,,,,            4.5801,           11.8823,           16.0503,           22.8882,           29.0995,            1.5738,            5.9148,           -0.4114,           -0.9937,            0.5887,
Ref 2,4.37294e-08,,,,,,1.1982e-02,4.2122e-03,4.9026e-05,4.6413e-06,4.8027e-08,,,,,,,,,,,
Sam 2,4.22950e-08,1.20369e-02,4.2622e-03,4.9815e-05,4.7542e-06,5.1431e-08,,,,,,            4.5789,           11.8698,           16.0906,           24.7670,           36.0389,            1.5729,            5.9023,           -0.3584,            0.8659,            7.3615,
Ref 3,4.30735e-08,,,,,,1.1982e-02,4.2122e-03,4.9026e-05,4.6372e-06,5.1282e-08,,,,,,,,,,,
Sam 3,4.16195e-08,1.20369e-02,4.2622e-03,4.9819e-05,4.7463e-06,5.3825e-08,,,,,,            4.5836,           11.8723,           16.1268,           22.9908,           48.1597,            1.5779,            5.9049,           -0.3301,           -0.8739,           19.1366,
Ref 4,4.24297e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6420e-06,5.1424e-08,,,,,,,,,,,
Sam 4,4.09616e-08,1.20369e-02,4.2622e-03,4.9819e-05,4.7525e-06,5.1075e-08,,,,,,            4.5838,           11.8680,           16.0145,           23.6991,          -23.2591,            1.5782,            5.9006,           -0.4366,           -0.1736,          -50.2967,
Ref 5,4.17978e-08,,,,,,1.1982e-02,4.2122e-03,4.9036e-05,4.6430e-06,5.3172e-08,,,,,,,,,,,
Sam 5,4.03159e-08,1.20368e-02,4.2621e-03,4.9811e-05,4.7496e-06,5.3903e-08,,,,,,            4.5774,           11.8629,           15.8138,           23.1831,           14.2266,            1.5716,            5.8956,           -0.6226,           -0.6675,          -13.8324,
Ref 6,4.11789e-08,,,,,,1.1982e-02,4.2121e-03,4.9035e-05,4.6410e-06,5.3120e-08,,,,,,,,,,,
Sam 6,3.96846e-08,1.20366e-02,4.2621e-03,4.9818e-05,4.7493e-06,4.9948e-08,,,,,,            4.5647,           11.8595,           15.9899,           23.1992,          -22.5089,            1.5582,            5.8922,           -0.4329,           -0.6450,          -49.5324,
Ref 7,4.05682e-08,,,,,,1.1982e-02,4.2121e-03,4.9032e-05,4.6421e-06,4.9045e-08,,,,,,,,,,,
Sam 7,3.90651e-08,1.20368e-02,4.2622e-03,4.9823e-05,4.7498e-06,5.0177e-08,,,,,,            4.5823,           11.8748,           16.0941,           23.6233,           11.2809,            1.5764,            5.9074,           -0.3633,           -0.2611,          -16.7243,
Ref 8,3.99678e-08,,,,,,1.1982e-02,4.2122e-03,4.9035e-05,4.6382e-06,5.0198e-08,,,,,,,,,,,
Sam 8,3.84596e-08,1.20366e-02,4.2621e-03,4.9817e-05,4.7515e-06,5.2710e-08,,,,,,            4.5798,           11.8612,           15.9313,           24.3113,           61.1479,            1.5742,            5.8938,           -0.5077,            0.4379,           31.7918,
Ref 9,3.93832e-08,,,,,,1.1982e-02,4.2120e-03,4.9037e-05,4.6392e-06,4.9140e-08,,,,,,,,,,,
Sam 9,3.78829e-08,1.20367e-02,4.2621e-03,4.9821e-05,4.7514e-06,4.8948e-08,,,,,,            4.5810,           11.8794,           15.9953,           24.1524,           -1.5391,            1.5749,            5.9120,           -0.4637,            0.2465,          -29.1967,
Ref 10,3.88229e-08,,,,,,1.1982e-02,4.2122e-03,4.9038e-05,4.6395e-06,4.8905e-08,,,,,,,,,,,
Sam 10,3.73004e-08,1.20364e-02,4.2621e-03,4.9823e-05,4.7516e-06,4.9622e-08,,,,,,            4.5576,           11.8638,           16.0951,           24.0589,           31.1390,            1.5505,            5.8964,           -0.3263,            0.1861,            2.6316,
Ref 11,3.82534e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6405e-06,4.7329e-08,,,,,,,,,,,
Sam 11,3.67363e-08,1.20365e-02,4.2620e-03,4.9822e-05,4.7512e-06,4.8067e-08,,,,,,            4.5817,           11.8558,           16.0864,           23.7385,           15.6297,            1.5764,            5.8885,           -0.3519,           -0.1110,          -12.4589,
Ref 12,3.77015e-08,,,,,,1.1982e-02,4.2121e-03,4.9036e-05,4.6415e-06,4.7325e-08,,,,,,,,,,,
Sam 12,3.61825e-08,1.20364e-02,4.2620e-03,4.9823e-05,4.7518e-06,4.6578e-08,,,,,,            4.5802,           11.8565,           16.1124,           23.5314,            2.0427,            1.5748,            5.8891,           -0.3253,           -0.3147,          -25.6699,
Ref 13,3.71580e-08,,,,,,1.1981e-02,4.2120e-03,4.9031e-05,4.6436e-06,4.5630e-08,,,,,,,,,,,
Sam 13,3.56399e-08,1.20363e-02,4.2620e-03,4.9828e-05,4.7506e-06,4.6379e-08,,,,,,            4.5768,           11.8546,           16.2892,           23.0623,           -4.0079,            1.5712,            5.8873,           -0.1461,           -0.7691,          -31.5460,
Ref 14,3.66278e-08,,,,,,1.1981e-02,4.2120e-03,4.9029e-05,4.6434e-06,4.7516e-08,,,,,,,,,,,
Sam 14,3.51077e-08,1.20363e-02,4.2621e-03,4.9819e-05,4.7517e-06,4.8310e-08,,,,,,            4.5885,           11.8828,           16.0661,           23.8058,           40.9163,            1.5827,            5.9154,           -0.4050,           -0.0987,           12.0679,
Ref 15,3.61061e-08,,,,,,1.1981e-02,4.2120e-03,4.9035e-05,4.6389e-06,4.5290e-08,,,,,,,,,,,
Sam 15,3.45879e-08,1.20362e-02,4.2619e-03,4.9823e-05,4.7523e-06,4.7454e-08,,,,,,            4.5835,           11.8572,           16.1088,           23.8502,           52.6216,            1.5783,            5.8899,           -0.3330,           -0.0047,           23.5051,
Ref 16,3.55993e-08,,,,,,1.1981e-02,4.2120e-03,4.9031e-05,4.6442e-06,4.4870e-08,,,,,,,,,,,
Sam 16,3.40736e-08,1.20361e-02,4.2619e-03,4.9824e-05,4.7520e-06,4.9739e-08,,,,,,            4.5735,           11.8497,           16.1351,           23.7964,           61.4117,            1.5679,            5.8824,           -0.2897,           -0.0425,           32.0780,
Ref 17,3.50959e-08,,,,,,1.1981e-02,4.2120e-03,4.9035e-05,4.6388e-06,4.8882e-08,,,,,,,,,,,
Sam 17,3.35659e-08,1.20360e-02,4.2619e-03,4.9821e-05,4.7504e-06,4.9528e-08,,,,,,            4.5753,           11.8566,           16.0490,           23.8130,           14.1191,            1.5696,            5.8892,           -0.3829,           -0.0397,          -13.9225,
Ref 18,3.46019e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6410e-06,4.8794e-08,,,,,,,,,,,
Sam 18,3.30699e-08,1.20359e-02,4.2619e-03,4.9826e-05,4.7511e-06,5.2238e-08,,,,,,            4.5746,           11.8647,           16.1585,           23.5832,           66.9163,            1.5686,            5.8973,           -0.2823,           -0.2802,           37.3992,
Ref 19,3.41158e-08,,,,,,1.1981e-02,4.2119e-03,4.9035e-05,4.6423e-06,4.9133e-08,,,,,,,,,,,
Sam 19,3.25823e-08,1.20358e-02,4.2618e-03,4.9816e-05,4.7534e-06,5.1862e-08,,,,,,            4.5686,           11.8563,           15.9547,           23.8785,          -29.5145,            1.5625,            5.8890,           -0.4684,            0.0248,          -56.3423,
Ref 20,3.36394e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6427e-06,5.7807e-08,,,,,,,,,,,
Sam 20,3.21062e-08,1.20357e-02,4.2618e-03,4.9822e-05,4.7522e-06,5.9849e-08,,,,,,            4.5737,           11.8593,           16.1407,           23.6363,           18.8817,            1.5678,            5.8919,           -0.2936,           -0.2177,           -9.2951,
Ref 21,3.31706e-08,,,,,,1.1981e-02,4.2118e-03,4.9029e-05,4.6422e-06,5.9686e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.29406e-08,,,,,,1.1981e-02,4.2119e-03,4.9034e-05,4.6431e-06,6.1775e-08,
Sam 1,3.14085e-08,1.20357e-02,4.2617e-03,4.9818e-05,4.7538e-06,6.0120e-08,,,,,,            4.5756,           11.8301,           15.8748,           23.8022,          -33.5346,            1.5709,            5.8629,           -0.5288,            0.0020,          -60.2105,
Ref 2,3.24842e-08,,,,,,1.1981e-02,4.2118e-03,4.9045e-05,4.6433e-06,6.2643e-08,,,,,,,,,,,
Sam 2,3.09566e-08,1.20354e-02,4.2616e-03,4.9825e-05,4.7502e-06,6.3464e-08,,,,,,            4.5569,           11.8401,           15.9266,           23.2752,           39.7149,            1.5506,            5.8729,           -0.4684,           -0.5326,           11.0176,
Ref 3,3.20346e-08,,,,,,1.1981e-02,4.2117e-03,4.9042e-05,4.6409e-06,5.9414e-08,,,,,,,,,,,
Sam 3,3.05113e-08,1.20355e-02,4.2615e-03,4.9822e-05,4.7507e-06,6.0141e-08,,,,,,            4.5806,           11.8260,           15.9626,           23.4967,           53.2583,            1.5763,            5.8588,           -0.4435,           -0.2883,           24.1896,
Ref 4,3.15961e-08,,,,,,1.1981e-02,4.2117e-03,4.9037e-05,4.6424e-06,5.4754e-08,,,,,,,,,,,
Sam 4,3.00770e-08,1.20354e-02,4.2616e-03,4.9826e-05,4.7551e-06,5.5213e-08,,,,,,            4.5759,           11.8489,           16.0663,           24.1612,           34.1147,            1.5705,            5.8816,           -0.3589,            0.3155,            5.5345,
Ref 5,3.11659e-08,,,,,,1.1981e-02,4.2116e-03,4.9040e-05,4.6434e-06,5.2010e-08,,,,,,,,,,,
Sam 5,2.96492e-08,1.20352e-02,4.2615e-03,4.9820e-05,4.7514e-06,5.6571e-08,,,,,,            4.5675,           11.8490,           15.9440,           23.4899,           26.9195,            1.5616,            5.8818,           -0.4708,           -0.3405,           -1.4532,
Ref 6,3.07413e-08,,,,,,1.1980e-02,4.2116e-03,4.9037e-05,4.6412e-06,5.8208e-08,,,,,,,,,,,
Sam 6,2.92311e-08,1.20354e-02,4.2615e-03,4.9822e-05,4.7549e-06,5.6719e-08,,,,,,            4.5815,           11.8564,           15.9831,           24.2896,            2.3831,            1.5762,            5.8891,           -0.4539,            0.4260,          -25.3401,
Ref 7,3.03252e-08,,,,,,1.1980e-02,4.2116e-03,4.9040e-05,4.6431e-06,5.4938e-08,,,,,,,,,,,
Sam 7,2.88201e-08,1.20351e-02,4.2614e-03,4.9828e-05,4.7501e-06,5.6269e-08,,,,,,            4.5641,           11.8408,           16.2080,           23.1682,           -4.2124,            1.5582,            5.8736,           -0.1995,           -0.6385,          -31.7059,
Ref 8,2.99172e-08,,,,,,1.1980e-02,4.2116e-03,4.9027e-05,4.6420e-06,5.8096e-08,,,,,,,,,,,
Sam 8,2.84173e-08,1.20349e-02,4.2614e-03,4.9827e-05,4.7534e-06,6.5284e-08,,,,,,            4.5588,           11.8261,           16.1891,           23.6016,           91.0687,            1.5531,            5.8590,           -0.1985,           -0.1861,           60.9806,
Ref 9,2.95173e-08,,,,,,1.1980e-02,4.2116e-03,4.9039e-05,4.6457e-06,6.1597e-08,,,,,,,,,,,
Sam 9,2.80240e-08,1.20349e-02,4.2613e-03,4.9822e-05,4.7531e-06,6.5511e-08,,,,,,            4.5682,           11.8237,           16.0280,           23.2279,           60.2298,            1.5632,            5.8565,           -0.3642,           -0.5463,           30.9869,
Ref 10,2.91252e-08,,,,,,1.1980e-02,4.2115e-03,4.9034e-05,4.6447e-06,6.1984e-08,,,,,,,,,,,
Sam 10,2.76364e-08,1.20348e-02,4.2613e-03,4.9818e-05,4.7549e-06,6.2457e-08,,,,,,            4.5638,           11.8367,           15.9668,           23.6911,            5.6610,            1.5580,            5.8695,           -0.4326,           -0.1195,          -22.0970,
Ref 11,2.87351e-08,,,,,,1.1980e-02,4.2115e-03,4.9036e-05,4.6451e-06,6.2228e-08,,,,,,,,,,,
Sam 11,2.72555e-08,1.20347e-02,4.2613e-03,4.9823e-05,4.7560e-06,5.9846e-08,,,,,,            4.5714,           11.8441,           16.0727,           23.7155,           22.5823,            1.5659,            5.8768,           -0.3434,           -0.1103,           -5.6651,
Ref 12,2.83543e-08,,,,,,1.1980e-02,4.2114e-03,4.9034e-05,4.6465e-06,5.4771e-08,,,,,,,,,,,
Sam 12,2.68821e-08,1.20347e-02,4.2612e-03,4.9813e-05,4.7550e-06,6.2999e-08,,,,,,            4.5718,           11.8289,           15.9158,           23.5070,           99.0714,            1.5668,            5.8617,           -0.4833,           -0.2840,           68.7423,
Ref 13,2.79787e-08,,,,,,1.1980e-02,4.2113e-03,4.9032e-05,4.6451e-06,5.9903e-08,,,,,,,,,,,
Sam 13,2.65159e-08,1.20345e-02,4.2611e-03,4.9821e-05,4.7586e-06,5.7072e-08,,,,,,            4.5657,           11.8418,           16.1395,           24.4940,          -38.9227,            1.5599,            5.8746,           -0.2696,            0.6545,          -65.4614,
Ref 14,2.76140e-08,,,,,,1.1980e-02,4.2112e-03,4.9027e-05,4.6445e-06,5.8856e-08,,,,,,,,,,,
Sam 14,2.61572e-08,1.20344e-02,4.2611e-03,4.9824e-05,4.7521e-06,6.4075e-08,,,,,,            4.5763,           11.8536,           16.2037,           22.8220,           43.8164,            1.5708,            5.8863,           -0.2287,           -1.0018,           14.9584,
Ref 15,2.72519e-08,,,,,,1.1980e-02,4.2112e-03,4.9032e-05,4.6477e-06,6.3949e-08,,,,,,,,,,,
Sam 15,2.58036e-08,1.20342e-02,4.2610e-03,4.9815e-05,4.7520e-06,6.1363e-08,,,,,,            4.5599,           11.8343,           15.9320,           22.5927,            6.4966,            1.5540,            5.8671,           -0.4604,           -1.1876,          -21.2758,
Ref 16,2.68991e-08,,,,,,1.1980e-02,4.2111e-03,4.9036e-05,4.6463e-06,5.7947e-08,,,,,,,,,,,
Sam 16,2.54573e-08,1.20342e-02,4.2610e-03,4.9818e-05,4.7618e-06,6.2114e-08,,,,,,            4.5673,           11.8384,           15.9480,           25.5451,           63.1788,            1.5617,            5.8712,           -0.4563,            1.6879,           33.8259,
Ref 17,2.65496e-08,,,,,,1.1979e-02,4.2112e-03,4.9036e-05,4.6401e-06,5.8905e-08,,,,,,,,,,,
Sam 17,2.51165e-08,1.20341e-02,4.2610e-03,4.9820e-05,4.7532e-06,5.8066e-08,,,,,,            4.5682,           11.8222,           16.0345,           24.7617,          -19.8467,            1.5632,            5.8550,           -0.3563,            0.9548,          -46.8782,
Ref 18,2.62090e-08,,,,,,1.1979e-02,4.2112e-03,4.9032e-05,4.6365e-06,5.9582e-08,,,,,,,,,,,
Sam 18,2.47810e-08,1.20341e-02,4.2609e-03,4.9814e-05,4.7552e-06,6.8435e-08,,,,,,            4.5758,           11.8279,           15.9908,           24.6676,          112.7145,            1.5711,            5.8607,           -0.4128,            0.8516,           82.0062,
Ref 19,2.58719e-08,,,,,,1.1979e-02,4.2111e-03,4.9029e-05,4.6450e-06,6.3448e-08,,,,,,,,,,,
Sam 19,2.44506e-08,1.20340e-02,4.2609e-03,4.9811e-05,4.7533e-06,6.3589e-08,,,,,,            4.5592,           11.8331,           16.0255,           23.4982,          -18.4500,            1.5532,            5.8659,           -0.3666,           -0.3008,          -45.5311,
Ref 20,2.55413e-08,,,,,,1.1979e-02,4.2110e-03,4.9021e-05,4.6433e-06,6.6138e-08,,,,,,,,,,,
Sam 20,2.41277e-08,1.20338e-02,4.2608e-03,4.9815e-05,4.7524e-06,7.1221e-08,,,,,,            4.5557,           11.8093,           16.0732,           23.4855,           33.2499,            1.5504,            5.8422,           -0.2930,           -0.2662,            4.7924,
Ref 21,2.52188e-08,,,,,,1.1979e-02,4.2111e-03,4.9033e-05,4.6435e-06,7.1756e-08,,,,,,,,,,,


