Nu Stable Isotope Analysis Program
Data Collected on Sunday, February 12, 2023 at 23:16 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 00:15 with Stable 1.71.5 on PS019

Data File = Data_19298 KDW_67_5_A.txt,    Sample Weight = 519,                      Vial Location = 26,                       Initial Sam Beam = 1.9537e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8585e-08,                Max Ref Beam = 1.0600e-07,                

Analysis undertaken at mass 46.05342
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.89743e-08,,,,,,1.1979e-02,4.2090e-03,4.8958e-05,4.6325e-06,4.6459e-08,
Sam 1,7.79099e-08,1.20520e-02,4.2563e-03,4.9793e-05,4.7357e-06,4.9534e-08,,,,,,            6.0673,           11.1621,           16.9678,           22.1852,           44.3476,            3.1815,            5.1949,           -0.3325,           -0.2578,           15.2396,
Ref 2,7.75277e-08,,,,,,1.1980e-02,4.2096e-03,4.8966e-05,4.6334e-06,4.8419e-08,,,,,,,,,,,
Sam 2,7.64179e-08,1.20523e-02,4.2565e-03,4.9792e-05,4.7374e-06,4.9277e-08,,,,,,            6.0320,           11.1094,           16.8071,           22.3405,           22.3764,            3.1457,            5.1425,           -0.4031,           -0.0015,           -5.9801,
Ref 3,7.61866e-08,,,,,,1.1980e-02,4.2099e-03,4.8971e-05,4.6343e-06,4.7974e-08,,,,,,,,,,,
Sam 3,7.50095e-08,1.20528e-02,4.2569e-03,4.9799e-05,4.7376e-06,5.0162e-08,,,,,,            6.0373,           11.1153,           16.8847,           22.2320,           41.8547,            3.1511,            5.1483,           -0.3379,           -0.1194,           12.9407,
Ref 4,7.48375e-08,,,,,,1.1981e-02,4.2102e-03,4.8974e-05,4.6348e-06,4.8322e-08,,,,,,,,,,,
Sam 4,7.35994e-08,1.20533e-02,4.2571e-03,4.9809e-05,4.7379e-06,5.0758e-08,,,,,,            6.0477,           11.1163,           17.0428,           22.0213,           69.8234,            3.1622,            5.1494,           -0.1942,           -0.3276,           40.1195,
Ref 5,7.35300e-08,,,,,,1.1981e-02,4.2104e-03,4.8976e-05,4.6369e-06,4.6553e-08,,,,,,,,,,,
Sam 5,7.22327e-08,1.20534e-02,4.2573e-03,4.9805e-05,4.7383e-06,4.9426e-08,,,,,,            6.0353,           11.1308,           16.8860,           21.8125,           51.4928,            3.1485,            5.1638,           -0.3497,           -0.5605,           22.2825,
Ref 6,7.22501e-08,,,,,,1.1981e-02,4.2106e-03,4.8981e-05,4.6374e-06,4.7467e-08,,,,,,,,,,,
Sam 6,7.08983e-08,1.20537e-02,4.2575e-03,4.9814e-05,4.7401e-06,5.0755e-08,,,,,,            6.0390,           11.1266,           16.9808,           22.1580,           87.4476,            3.1525,            5.1596,           -0.2562,           -0.2143,           57.2430,
Ref 7,7.10008e-08,,,,,,1.1982e-02,4.2108e-03,4.8985e-05,4.6372e-06,4.5867e-08,,,,,,,,,,,
Sam 7,6.95968e-08,1.20539e-02,4.2577e-03,4.9811e-05,4.7395e-06,4.8606e-08,,,,,,            6.0387,           11.1134,           16.7772,           21.9626,           35.8696,            3.1527,            5.1464,           -0.4431,           -0.3791,            7.1239,
Ref 8,6.97785e-08,,,,,,1.1982e-02,4.2109e-03,4.8994e-05,4.6381e-06,4.7997e-08,,,,,,,,,,,
Sam 8,6.83299e-08,1.20541e-02,4.2578e-03,4.9827e-05,4.7408e-06,4.9805e-08,,,,,,            6.0433,           11.1200,           16.9794,           22.2656,           33.4161,            3.1574,            5.1530,           -0.2555,           -0.0958,            4.7207,
Ref 9,6.85872e-08,,,,,,1.1982e-02,4.2111e-03,4.8996e-05,4.6371e-06,4.8396e-08,,,,,,,,,,,
Sam 9,6.92935e-08,1.20399e-02,4.2485e-03,4.9647e-05,4.7202e-06,4.9373e-08,,,,,,            4.8464,            8.8694,           13.2944,           17.5837,           26.9125,            1.9612,            2.9160,           -0.4658,           -0.2297,            4.0536,
Ref 10,6.76672e-08,,,,,,1.1982e-02,4.2112e-03,4.8995e-05,4.6402e-06,4.7759e-08,,,,,,,,,,,
Sam 10,6.61410e-08,1.20544e-02,4.2581e-03,4.9821e-05,4.7434e-06,4.7193e-08,,,,,,            6.0436,           11.1310,           16.8307,           22.2662,           -4.4779,            3.1573,            5.1639,           -0.4127,           -0.1170,          -32.1421,
Ref 11,6.65233e-08,,,,,,1.1982e-02,4.2112e-03,4.8998e-05,4.6399e-06,4.7045e-08,,,,,,,,,,,
Sam 11,6.49571e-08,1.20544e-02,4.2582e-03,4.9833e-05,4.7412e-06,4.7530e-08,,,,,,            6.0396,           11.1297,           17.0465,           21.8262,           15.9466,            3.1531,            5.1626,           -0.1952,           -0.5447,          -12.2784,
Ref 12,6.53975e-08,,,,,,1.1982e-02,4.2114e-03,4.8998e-05,4.6400e-06,4.6518e-08,,,,,,,,,,,
Sam 12,6.37998e-08,1.20547e-02,4.2583e-03,4.9833e-05,4.7422e-06,4.8255e-08,,,,,,            6.0418,           11.1216,           16.9711,           22.1266,           37.9029,            3.1557,            5.1546,           -0.2637,           -0.2350,            9.0813,
Ref 13,6.43003e-08,,,,,,1.1982e-02,4.2115e-03,4.9005e-05,4.6391e-06,4.6466e-08,,,,,,,,,,,
Sam 13,6.26681e-08,1.20549e-02,4.2584e-03,4.9834e-05,4.7434e-06,4.8202e-08,,,,,,            6.0474,           11.1244,           16.8916,           22.2990,           45.6685,            3.1616,            5.1574,           -0.3503,           -0.0719,           16.6198,
Ref 14,6.32257e-08,,,,,,1.1982e-02,4.2116e-03,4.9006e-05,4.6408e-06,4.5720e-08,,,,,,,,,,,
Sam 14,6.15615e-08,1.20549e-02,4.2585e-03,4.9835e-05,4.7425e-06,4.8377e-08,,,,,,            6.0423,           11.1162,           16.8392,           21.7014,           60.9532,            3.1564,            5.1493,           -0.3886,           -0.6403,           31.5017,
Ref 15,6.21744e-08,,,,,,1.1983e-02,4.2118e-03,4.9014e-05,4.6427e-06,4.5473e-08,,,,,,,,,,,
Sam 15,6.04798e-08,1.20550e-02,4.2586e-03,4.9840e-05,4.7444e-06,4.6679e-08,,,,,,            6.0410,           11.1149,           16.7898,           21.9678,           -0.4193,            3.1551,            5.1480,           -0.4347,           -0.3771,          -28.1633,
Ref 16,6.11392e-08,,,,,,1.1983e-02,4.2118e-03,4.9021e-05,4.6421e-06,4.7945e-08,,,,,,,,,,,
Sam 16,5.94273e-08,1.20551e-02,4.2587e-03,4.9848e-05,4.7427e-06,4.7304e-08,,,,,,            6.0353,           11.1200,           16.8806,           21.5149,           10.0197,            3.1488,            5.1531,           -0.3446,           -0.8302,          -18.0178,
Ref 17,6.01358e-08,,,,,,1.1983e-02,4.2120e-03,4.9020e-05,4.6436e-06,4.5706e-08,,,,,,,,,,,
Sam 17,5.83985e-08,1.20552e-02,4.2587e-03,4.9843e-05,4.7433e-06,4.6915e-08,,,,,,            6.0393,           11.0985,           16.7921,           21.6557,           43.3710,            3.1538,            5.1316,           -0.4145,           -0.6498,           14.4459,
Ref 18,5.91535e-08,,,,,,1.1983e-02,4.2120e-03,4.9020e-05,4.6420e-06,4.4213e-08,,,,,,,,,,,
Sam 18,5.73928e-08,1.20552e-02,4.2589e-03,4.9846e-05,4.7465e-06,4.8364e-08,,,,,,            6.0323,           11.1091,           16.8503,           22.3769,           78.7681,            3.1460,            5.1421,           -0.3606,            0.0346,           48.8479,
Ref 19,5.81883e-08,,,,,,1.1983e-02,4.2121e-03,4.9021e-05,4.6432e-06,4.5462e-08,,,,,,,,,,,
Sam 19,5.64076e-08,1.20554e-02,4.2590e-03,4.9846e-05,4.7428e-06,4.8834e-08,,,,,,            6.0380,           11.1322,           16.8500,           21.5649,           59.8215,            3.1513,            5.1652,           -0.3892,           -0.8055,           30.3740,
Ref 20,5.72426e-08,,,,,,1.1983e-02,4.2121e-03,4.9020e-05,4.6421e-06,4.6704e-08,,,,,,,,,,,
Sam 20,5.54374e-08,1.20552e-02,4.2589e-03,4.9848e-05,4.7469e-06,4.8189e-08,,,,,,            6.0279,           11.1027,           16.9005,           22.3674,           63.7602,            3.1415,            5.1359,           -0.3005,            0.0379,           34.2738,
Ref 21,5.63162e-08,,,,,,1.1983e-02,4.2122e-03,4.9020e-05,4.6439e-06,4.3875e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.58608e-08,,,,,,1.1983e-02,4.2123e-03,4.9021e-05,4.6417e-06,4.8253e-08,
Sam 1,5.40183e-08,1.20553e-02,4.2590e-03,4.9849e-05,4.7468e-06,4.6122e-08,,,,,,            6.0320,           11.1016,           16.8446,           22.4511,          -15.0605,            3.1459,            5.1347,           -0.3585,            0.1219,          -42.3641,
Ref 2,5.49628e-08,,,,,,1.1983e-02,4.2122e-03,4.9026e-05,4.6435e-06,4.5378e-08,,,,,,,,,,,
Sam 2,5.30980e-08,1.20553e-02,4.2591e-03,4.9848e-05,4.7447e-06,5.0703e-08,,,,,,            6.0390,           11.1105,           16.7741,           21.7521,           74.5186,            3.1531,            5.1435,           -0.4437,           -0.5793,           44.7060,
Ref 3,5.40802e-08,,,,,,1.1983e-02,4.2123e-03,4.9024e-05,4.6439e-06,4.9025e-08,,,,,,,,,,,
Sam 3,5.21973e-08,1.20554e-02,4.2591e-03,4.9852e-05,4.7469e-06,4.8813e-08,,,,,,            6.0450,           11.1100,           16.8614,           22.4644,           18.7345,            3.1595,            5.1430,           -0.3636,            0.1184,           -9.5357,
Ref 4,5.32180e-08,,,,,,1.1983e-02,4.2123e-03,4.9026e-05,4.6414e-06,4.6788e-08,,,,,,,,,,,
Sam 4,5.13175e-08,1.20553e-02,4.2591e-03,4.9854e-05,4.7476e-06,5.0047e-08,,,,,,            6.0413,           11.1030,           16.8659,           22.8960,           72.8072,            3.1557,            5.1361,           -0.3485,            0.5544,           43.0547,
Ref 5,5.23704e-08,,,,,,1.1983e-02,4.2123e-03,4.9028e-05,4.6412e-06,4.6511e-08,,,,,,,,,,,
Sam 5,5.04553e-08,1.20553e-02,4.2592e-03,4.9854e-05,4.7419e-06,4.8376e-08,,,,,,            6.0294,           11.1129,           16.8174,           21.8463,           33.8879,            3.1428,            5.1460,           -0.3936,           -0.4920,            5.2080,
Ref 6,5.15394e-08,,,,,,1.1983e-02,4.2124e-03,4.9031e-05,4.6399e-06,4.7074e-08,,,,,,,,,,,
Sam 6,4.96175e-08,1.20553e-02,4.2592e-03,4.9854e-05,4.7471e-06,4.7618e-08,,,,,,            6.0347,           11.1100,           16.8584,           22.5636,           37.6153,            3.1485,            5.1430,           -0.3559,            0.2155,            8.8321,
Ref 7,5.07307e-08,,,,,,1.1983e-02,4.2124e-03,4.9023e-05,4.6448e-06,4.4691e-08,,,,,,,,,,,
Sam 7,4.87991e-08,1.20553e-02,4.2592e-03,4.9857e-05,4.7448e-06,4.8783e-08,,,,,,            6.0358,           11.1015,           16.8983,           21.5785,           44.9669,            3.1499,            5.1346,           -0.3095,           -0.7314,           15.9953,
Ref 8,4.99346e-08,,,,,,1.1983e-02,4.2124e-03,4.9034e-05,4.6443e-06,4.8708e-08,,,,,,,,,,,
Sam 8,4.79957e-08,1.20552e-02,4.2592e-03,4.9852e-05,4.7504e-06,4.8791e-08,,,,,,            6.0296,           11.0960,           16.7381,           22.6463,            3.7641,            3.1436,            5.1292,           -0.4554,            0.3240,          -24.0484,
Ref 9,4.91551e-08,,,,,,1.1983e-02,4.2125e-03,4.9029e-05,4.6461e-06,4.8506e-08,,,,,,,,,,,
Sam 9,4.72121e-08,1.20552e-02,4.2592e-03,4.9860e-05,4.7485e-06,5.0063e-08,,,,,,            6.0328,           11.0897,           16.9427,           22.1837,           69.9588,            3.1472,            5.1229,           -0.2514,           -0.1162,           40.3214,
Ref 10,4.83896e-08,,,,,,1.1983e-02,4.2124e-03,4.9030e-05,4.6449e-06,4.5046e-08,,,,,,,,,,,
Sam 10,4.64469e-08,1.20552e-02,4.2592e-03,4.9865e-05,4.7476e-06,4.8358e-08,,,,,,            6.0406,           11.1041,           16.9979,           22.3600,           51.7769,            3.1550,            5.1372,           -0.2191,            0.0278,           22.6061,
Ref 11,4.76417e-08,,,,,,1.1983e-02,4.2125e-03,4.9033e-05,4.6427e-06,4.6924e-08,,,,,,,,,,,
Sam 11,4.56978e-08,1.20552e-02,4.2592e-03,4.9858e-05,4.7474e-06,4.7891e-08,,,,,,            6.0413,           11.1011,           16.8818,           22.5275,           33.3242,            3.1559,            5.1342,           -0.3310,            0.1977,            4.6703,
Ref 12,4.69078e-08,,,,,,1.1983e-02,4.2125e-03,4.9028e-05,4.6429e-06,4.5760e-08,,,,,,,,,,,
Sam 12,4.49618e-08,1.20552e-02,4.2592e-03,4.9857e-05,4.7447e-06,4.7108e-08,,,,,,            6.0403,           11.0992,           16.8441,           21.6390,           23.9129,            3.1548,            5.1324,           -0.3653,           -0.6677,           -4.4753,
Ref 13,4.61923e-08,,,,,,1.1983e-02,4.2125e-03,4.9033e-05,4.6456e-06,4.6259e-08,,,,,,,,,,,
Sam 13,4.42494e-08,1.20550e-02,4.2592e-03,4.9864e-05,4.7467e-06,4.8998e-08,,,,,,            6.0172,           11.0873,           16.9348,           21.8099,            2.0348,            3.1307,            5.1206,           -0.2409,           -0.4770,          -25.7005,
Ref 14,4.54889e-08,,,,,,1.1983e-02,4.2125e-03,4.9033e-05,4.6452e-06,5.1578e-08,,,,,,,,,,,
Sam 14,4.35481e-08,1.20550e-02,4.2592e-03,4.9863e-05,4.7482e-06,4.9154e-08,,,,,,            6.0218,           11.1010,           16.9757,           22.3302,            5.5539,            3.1351,            5.1342,           -0.2186,            0.0048,          -22.3095,
Ref 15,4.48018e-08,,,,,,1.1983e-02,4.2125e-03,4.9029e-05,4.6437e-06,4.6147e-08,,,,,,,,,,,
Sam 15,4.28619e-08,1.20550e-02,4.2591e-03,4.9862e-05,4.7476e-06,4.9941e-08,,,,,,            6.0226,           11.0741,           16.8801,           22.2450,           97.9915,            3.1369,            5.1074,           -0.2873,           -0.0253,           67.6216,
Ref 16,4.41249e-08,,,,,,1.1983e-02,4.2125e-03,4.9040e-05,4.6449e-06,4.4812e-08,,,,,,,,,,,
Sam 16,4.21809e-08,1.20549e-02,4.2591e-03,4.9859e-05,4.7508e-06,4.8564e-08,,,,,,            6.0275,           11.0670,           16.7316,           22.6063,            2.8605,            3.1423,            5.1003,           -0.4314,            0.3423,          -24.8696,
Ref 17,4.34618e-08,,,,,,1.1983e-02,4.2124e-03,4.9037e-05,4.6467e-06,5.2095e-08,,,,,,,,,,,
Sam 17,4.15162e-08,1.20547e-02,4.2591e-03,4.9857e-05,4.7507e-06,5.3442e-08,,,,,,            6.0217,           11.0909,           16.7122,           22.7529,           30.3294,            3.1353,            5.1241,           -0.4677,            0.4384,            1.7993,
Ref 18,4.28094e-08,,,,,,1.1983e-02,4.2124e-03,4.9039e-05,4.6433e-06,5.1640e-08,,,,,,,,,,,
Sam 18,4.08629e-08,1.20548e-02,4.2591e-03,4.9860e-05,4.7473e-06,5.2161e-08,,,,,,            6.0333,           11.0921,           16.8375,           22.1915,           63.1002,            3.1477,            5.1252,           -0.3576,           -0.1131,           33.6475,
Ref 19,4.21712e-08,,,,,,1.1982e-02,4.2124e-03,4.9030e-05,4.6452e-06,4.6451e-08,,,,,,,,,,,
Sam 19,4.02224e-08,1.20547e-02,4.2591e-03,4.9858e-05,4.7439e-06,5.0689e-08,,,,,,            6.0281,           11.0952,           16.7620,           21.1414,           54.2432,            3.1420,            5.1284,           -0.4296,           -1.1465,           25.0353,
Ref 20,4.15436e-08,,,,,,1.1982e-02,4.2124e-03,4.9041e-05,4.6462e-06,4.9736e-08,,,,,,,,,,,
Sam 20,3.95953e-08,1.20545e-02,4.2590e-03,4.9858e-05,4.7496e-06,5.2969e-08,,,,,,            6.0172,           11.0704,           16.7196,           21.9995,           23.7332,            3.1312,            5.1037,           -0.4359,           -0.2580,           -4.5698,
Ref 21,4.09261e-08,,,,,,1.1982e-02,4.2124e-03,4.9036e-05,4.6485e-06,5.3776e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.06234e-08,,,,,,1.1982e-02,4.2124e-03,4.9036e-05,4.6492e-06,5.1545e-08,
Sam 1,3.86787e-08,1.20544e-02,4.2590e-03,4.9858e-05,4.7491e-06,5.5962e-08,,,,,,            6.0211,           11.0723,           16.7232,           21.4516,           94.4332,            3.1353,            5.1056,           -0.4382,           -0.7977,           64.1673,
Ref 2,4.00246e-08,,,,,,1.1982e-02,4.2123e-03,4.9039e-05,4.6495e-06,5.0716e-08,,,,,,,,,,,
Sam 2,3.80848e-08,1.20544e-02,4.2590e-03,4.9863e-05,4.7490e-06,5.3586e-08,,,,,,            6.0247,           11.0825,           16.8266,           21.8010,           61.6604,            3.1388,            5.1157,           -0.3502,           -0.4762,           32.2762,
Ref 3,3.94354e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6458e-06,5.0227e-08,,,,,,,,,,,
Sam 3,3.75023e-08,1.20543e-02,4.2590e-03,4.9865e-05,4.7521e-06,5.1943e-08,,,,,,            6.0207,           11.0795,           16.8545,           22.5546,          -10.0351,            3.1347,            5.1128,           -0.3158,            0.2669,          -37.4253,
Ref 4,3.88552e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6487e-06,5.4746e-08,,,,,,,,,,,
Sam 4,3.69287e-08,1.20543e-02,4.2590e-03,4.9864e-05,4.7475e-06,5.6915e-08,,,,,,            6.0300,           11.0809,           16.8138,           21.6796,           48.5797,            3.1445,            5.1141,           -0.3667,           -0.5918,           19.5551,
Ref 5,3.82871e-08,,,,,,1.1982e-02,4.2123e-03,4.9038e-05,4.6449e-06,5.3802e-08,,,,,,,,,,,
Sam 5,3.63707e-08,1.20543e-02,4.2589e-03,4.9858e-05,4.7508e-06,5.6903e-08,,,,,,            6.0292,           11.0715,           16.6888,           22.7121,           61.9055,            3.1440,            5.1048,           -0.4796,            0.4367,           32.5317,
Ref 6,3.77328e-08,,,,,,1.1982e-02,4.2123e-03,4.9042e-05,4.6458e-06,5.3365e-08,,,,,,,,,,,
Sam 6,3.58243e-08,1.20542e-02,4.2588e-03,4.9860e-05,4.7523e-06,5.7222e-08,,,,,,            6.0163,           11.0579,           16.6816,           23.0300,           69.1171,            3.1308,            5.0913,           -0.4603,            0.7747,           39.5855,
Ref 7,3.71874e-08,,,,,,1.1982e-02,4.2122e-03,4.9041e-05,4.6448e-06,5.3681e-08,,,,,,,,,,,
Sam 7,3.52888e-08,1.20541e-02,4.2589e-03,4.9864e-05,4.7476e-06,5.4072e-08,,,,,,            6.0219,           11.0682,           16.8691,           21.8696,           27.7231,            3.1364,            5.1015,           -0.2917,           -0.3808,           -0.6910,
Ref 8,3.66552e-08,,,,,,1.1982e-02,4.2122e-03,4.9033e-05,4.6473e-06,5.1529e-08,,,,,,,,,,,
Sam 8,3.47659e-08,1.20539e-02,4.2588e-03,4.9851e-05,4.7492e-06,5.6335e-08,,,,,,            6.0183,           11.0744,           16.6778,           21.9140,           47.4842,            3.1323,            5.1077,           -0.4820,           -0.3496,           18.5155,
Ref 9,3.61316e-08,,,,,,1.1982e-02,4.2121e-03,4.9034e-05,4.6474e-06,5.6067e-08,,,,,,,,,,,
Sam 9,3.42527e-08,1.20537e-02,4.2587e-03,4.9858e-05,4.7488e-06,5.4700e-08,,,,,,            6.0031,           11.0641,           16.8449,           21.6545,          -37.5191,            3.1165,            5.0974,           -0.2922,           -0.5831,          -64.1032,
Ref 10,3.56149e-08,,,,,,1.1982e-02,4.2121e-03,4.9030e-05,4.6489e-06,5.7608e-08,,,,,,,,,,,
Sam 10,3.37476e-08,1.20537e-02,4.2587e-03,4.9855e-05,4.7481e-06,5.5619e-08,,,,,,            6.0210,           11.0760,           16.7157,           21.6474,          -14.6052,            3.1352,            5.1092,           -0.4491,           -0.6135,          -41.8626,
Ref 11,3.51048e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6461e-06,5.5262e-08,,,,,,,,,,,
Sam 11,3.32430e-08,1.20535e-02,4.2586e-03,4.9862e-05,4.7471e-06,5.7104e-08,,,,,,            6.0104,           11.0551,           16.6987,           21.4086,           16.6506,            3.1245,            5.0885,           -0.4346,           -0.8058,          -11.4200,
Ref 12,3.46019e-08,,,,,,1.1982e-02,4.2120e-03,4.9044e-05,4.6491e-06,5.7088e-08,,,,,,,,,,,
Sam 12,3.27594e-08,1.20534e-02,4.2586e-03,4.9861e-05,4.7477e-06,5.9791e-08,,,,,,            6.0028,           11.0689,           16.6995,           21.1616,           55.5146,            3.1160,            5.1023,           -0.4395,           -1.0748,           26.3515,
Ref 13,3.41155e-08,,,,,,1.1981e-02,4.2120e-03,4.9039e-05,4.6495e-06,5.6199e-08,,,,,,,,,,,
Sam 13,3.22859e-08,1.20533e-02,4.2585e-03,4.9857e-05,4.7486e-06,5.8591e-08,,,,,,            6.0079,           11.0430,           16.6930,           21.7036,           59.0899,            3.1223,            5.0764,           -0.4259,           -0.4933,           29.8744,
Ref 14,3.36386e-08,,,,,,1.1981e-02,4.2119e-03,4.9037e-05,4.6459e-06,5.4433e-08,,,,,,,,,,,
Sam 14,3.18180e-08,1.20532e-02,4.2585e-03,4.9848e-05,4.7523e-06,6.3533e-08,,,,,,            6.0139,           11.0623,           16.5370,           22.7143,          146.8497,            3.1281,            5.0956,           -0.6042,            0.4572,          115.1642,
Ref 15,3.31706e-08,,,,,,1.1981e-02,4.2119e-03,4.9037e-05,4.6476e-06,5.6376e-08,,,,,,,,,,,
Sam 15,3.13635e-08,1.20532e-02,4.2585e-03,4.9858e-05,4.7512e-06,5.4573e-08,,,,,,            6.0192,           11.0726,           16.7597,           21.8666,           10.8945,            3.1333,            5.1059,           -0.4007,           -0.3924,          -17.0599,
Ref 16,3.27107e-08,,,,,,1.1981e-02,4.2119e-03,4.9036e-05,4.6515e-06,5.1560e-08,,,,,,,,,,,
Sam 16,3.09134e-08,1.20531e-02,4.2584e-03,4.9854e-05,4.7540e-06,5.7317e-08,,,,,,            6.0204,           11.0479,           16.6765,           22.2525,           59.0604,            3.1355,            5.0813,           -0.4598,            0.0339,           29.8222,
Ref 17,3.22588e-08,,,,,,1.1981e-02,4.2119e-03,4.9036e-05,4.6495e-06,5.6717e-08,,,,,,,,,,,
Sam 17,3.04719e-08,1.20532e-02,4.2584e-03,4.9865e-05,4.7539e-06,6.0424e-08,,,,,,            6.0262,           11.0541,           16.8789,           22.3500,           57.0068,            3.1414,            5.0875,           -0.2727,            0.1170,           27.8066,
Ref 18,3.18119e-08,,,,,,1.1981e-02,4.2118e-03,4.9038e-05,4.6505e-06,5.7621e-08,,,,,,,,,,,
Sam 18,3.00357e-08,1.20530e-02,4.2584e-03,4.9856e-05,4.7506e-06,6.1201e-08,,,,,,            6.0139,           11.0619,           16.7475,           21.5729,           56.7442,            3.1281,            5.0953,           -0.3970,           -0.6586,           27.5489,
Ref 19,3.13717e-08,,,,,,1.1981e-02,4.2117e-03,4.9030e-05,4.6500e-06,5.8213e-08,,,,,,,,,,,
Sam 19,2.96085e-08,1.20529e-02,4.2583e-03,4.9852e-05,4.7539e-06,6.3310e-08,,,,,,            6.0176,           11.0684,           16.6807,           22.2399,           39.6142,            3.1317,            5.1017,           -0.4727,           -0.0190,           10.8755,
Ref 20,3.09428e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6510e-06,6.3619e-08,,,,,,,,,,,
Sam 20,2.91880e-08,1.20527e-02,4.2583e-03,4.9859e-05,4.7522e-06,6.3089e-08,,,,,,            6.0093,           11.0675,           16.6958,           21.9583,            7.4306,            3.1229,            5.1009,           -0.4484,           -0.2926,          -20.4080,
Ref 21,3.05138e-08,,,,,,1.1981e-02,4.2117e-03,4.9043e-05,4.6492e-06,6.1613e-08,,,,,,,,,,,


