Nu Stable Isotope Analysis Program
Data Collected on Monday, February 13, 2023 at 00:38 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 01:37 with Stable 1.71.5 on PS019

Data File = Data_19299 KDW_80_4_A.txt,    Sample Weight = 538,                      Vial Location = 27,                       Initial Sam Beam = 2.1123e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7653e-08,                Max Ref Beam = 1.0666e-07,                

Analysis undertaken at mass 46.05341
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.47123e-08,,,,,,1.1978e-02,4.2079e-03,4.8927e-05,4.6294e-06,4.6738e-08,
Sam 1,8.35679e-08,1.20373e-02,4.2566e-03,4.9724e-05,4.7344e-06,4.8176e-08,,,,,,            4.9457,           11.4989,           16.0998,           22.4087,           20.7288,            1.9761,            5.5325,           -0.3647,           -0.7050,           -7.1942,
Ref 2,8.31451e-08,,,,,,1.1979e-02,4.2086e-03,4.8945e-05,4.6319e-06,4.7667e-08,,,,,,,,,,,
Sam 2,8.19386e-08,1.20379e-02,4.2570e-03,4.9735e-05,4.7360e-06,4.9938e-08,,,,,,            4.9345,           11.4782,           16.0907,           22.5175,           65.5445,            1.9649,            5.5119,           -0.3420,           -0.5577,           36.4495,
Ref 3,8.16255e-08,,,,,,1.1979e-02,4.2089e-03,4.8949e-05,4.6316e-06,4.6050e-08,,,,,,,,,,,
Sam 3,8.03592e-08,1.20384e-02,4.2574e-03,4.9739e-05,4.7387e-06,4.7764e-08,,,,,,            4.9286,           11.4772,           16.0226,           22.9253,           31.0988,            1.9587,            5.5110,           -0.4021,           -0.1572,            2.9525,
Ref 4,8.01500e-08,,,,,,1.1980e-02,4.2092e-03,4.8960e-05,4.6335e-06,4.6601e-08,,,,,,,,,,,
Sam 4,7.88282e-08,1.20388e-02,4.2577e-03,4.9748e-05,4.7375e-06,4.8346e-08,,,,,,            4.9278,           11.4815,           16.1204,           22.5064,           45.6576,            1.9577,            5.5152,           -0.3092,           -0.5751,           17.1063,
Ref 5,7.87140e-08,,,,,,1.1980e-02,4.2095e-03,4.8958e-05,4.6330e-06,4.5863e-08,,,,,,,,,,,
Sam 5,7.73338e-08,1.20392e-02,4.2579e-03,4.9753e-05,4.7388e-06,4.8106e-08,,,,,,            4.9421,           11.4838,           16.1929,           22.7094,           27.1471,            1.9729,            5.5175,           -0.2549,           -0.3813,           -0.9184,
Ref 6,7.73116e-08,,,,,,1.1980e-02,4.2097e-03,4.8963e-05,4.6341e-06,4.7824e-08,,,,,,,,,,,
Sam 6,7.58781e-08,1.20394e-02,4.2582e-03,4.9755e-05,4.7407e-06,4.8647e-08,,,,,,            4.9347,           11.4887,           16.0801,           22.9713,           26.6739,            1.9648,            5.5223,           -0.3629,           -0.1349,           -1.3803,
Ref 7,7.59413e-08,,,,,,1.1980e-02,4.2100e-03,4.8973e-05,4.6344e-06,4.6935e-08,,,,,,,,,,,
Sam 7,7.44583e-08,1.20398e-02,4.2584e-03,4.9756e-05,4.7395e-06,5.0636e-08,,,,,,            4.9398,           11.4864,           15.9690,           22.6585,           54.7346,            1.9703,            5.5201,           -0.4753,           -0.4362,           25.9126,
Ref 8,7.46119e-08,,,,,,1.1981e-02,4.2101e-03,4.8974e-05,4.6346e-06,4.9101e-08,,,,,,,,,,,
Sam 8,7.30819e-08,1.20400e-02,4.2586e-03,4.9766e-05,4.7418e-06,5.2048e-08,,,,,,            4.9349,           11.4890,           16.1301,           23.0499,           66.7834,            1.9649,            5.5227,           -0.3142,           -0.0587,           37.6324,
Ref 9,7.33123e-08,,,,,,1.1981e-02,4.2103e-03,4.8977e-05,4.6354e-06,4.8472e-08,,,,,,,,,,,
Sam 9,7.17395e-08,1.20403e-02,4.2588e-03,4.9770e-05,4.7414e-06,4.9903e-08,,,,,,            4.9405,           11.4930,           16.1317,           22.7682,           34.0233,            1.9708,            5.5266,           -0.3222,           -0.3419,            5.7538,
Ref 10,7.20434e-08,,,,,,1.1981e-02,4.2105e-03,4.8983e-05,4.6364e-06,4.8047e-08,,,,,,,,,,,
Sam 10,7.04273e-08,1.20405e-02,4.2590e-03,4.9776e-05,4.7422e-06,4.8088e-08,,,,,,            4.9444,           11.4906,           16.1006,           22.7927,           13.2205,            1.9750,            5.5243,           -0.3545,           -0.3134,          -14.4799,
Ref 11,7.07978e-08,,,,,,1.1981e-02,4.2107e-03,4.8991e-05,4.6367e-06,4.6864e-08,,,,,,,,,,,
Sam 11,6.91454e-08,1.20406e-02,4.2591e-03,4.9778e-05,4.7426e-06,4.8398e-08,,,,,,            4.9337,           11.4779,           16.0834,           22.8266,           17.7812,            1.9641,            5.5116,           -0.3482,           -0.2550,          -10.0081,
Ref 12,6.95797e-08,,,,,,1.1982e-02,4.2109e-03,4.8990e-05,4.6369e-06,4.8253e-08,,,,,,,,,,,
Sam 12,6.78939e-08,1.20407e-02,4.2593e-03,4.9782e-05,4.7442e-06,4.5961e-08,,,,,,            4.9269,           11.4898,           16.1184,           23.1198,          -28.6775,            1.9565,            5.5235,           -0.3184,            0.0080,          -55.2135,
Ref 13,6.83906e-08,,,,,,1.1982e-02,4.2110e-03,4.8994e-05,4.6370e-06,4.6367e-08,,,,,,,,,,,
Sam 13,6.66721e-08,1.20410e-02,4.2595e-03,4.9780e-05,4.7427e-06,4.7300e-08,,,,,,            4.9396,           11.4980,           16.0076,           22.7927,           32.8182,            1.9697,            5.5316,           -0.4483,           -0.3279,            4.5728,
Ref 14,6.72250e-08,,,,,,1.1982e-02,4.2112e-03,4.8997e-05,4.6370e-06,4.5216e-08,,,,,,,,,,,
Sam 14,6.54807e-08,1.20411e-02,4.2595e-03,4.9786e-05,4.7442e-06,4.5694e-08,,,,,,            4.9426,           11.4755,           16.0702,           23.0464,          -10.7841,            1.9737,            5.5092,           -0.3679,           -0.0354,          -37.7980,
Ref 15,6.60868e-08,,,,,,1.1982e-02,4.2112e-03,4.9000e-05,4.6377e-06,4.7186e-08,,,,,,,,,,,
Sam 15,6.43186e-08,1.20411e-02,4.2597e-03,4.9783e-05,4.7462e-06,4.5305e-08,,,,,,            4.9240,           11.4865,           15.9575,           23.5747,          -21.6321,            1.9535,            5.5202,           -0.4705,            0.4591,          -48.3515,
Ref 16,6.49767e-08,,,,,,1.1982e-02,4.2114e-03,4.9002e-05,4.6361e-06,4.5413e-08,,,,,,,,,,,
Sam 16,6.31828e-08,1.20413e-02,4.2598e-03,4.9792e-05,4.7422e-06,4.8301e-08,,,,,,            4.9261,           11.4801,           16.0750,           22.6802,           47.4944,            1.9559,            5.5138,           -0.3507,           -0.4024,           18.8976,
Ref 17,6.38890e-08,,,,,,1.1982e-02,4.2115e-03,4.9007e-05,4.6380e-06,4.6822e-08,,,,,,,,,,,
Sam 17,6.20781e-08,1.20415e-02,4.2599e-03,4.9789e-05,4.7430e-06,4.5313e-08,,,,,,            4.9337,           11.4685,           15.9869,           22.4766,          -11.1143,            1.9644,            5.5022,           -0.4339,           -0.5785,          -38.0970,
Ref 18,6.28247e-08,,,,,,1.1982e-02,4.2116e-03,4.9005e-05,4.6395e-06,4.4806e-08,,,,,,,,,,,
Sam 18,6.09952e-08,1.20414e-02,4.2600e-03,4.9794e-05,4.7439e-06,4.5261e-08,,,,,,            4.9251,           11.4832,           16.0035,           22.5538,           16.1202,            1.9548,            5.5169,           -0.4232,           -0.5322,          -11.6251,
Ref 19,6.17865e-08,,,,,,1.1982e-02,4.2117e-03,4.9014e-05,4.6390e-06,4.4276e-08,,,,,,,,,,,
Sam 19,5.99309e-08,1.20415e-02,4.2600e-03,4.9799e-05,4.7449e-06,4.8139e-08,,,,,,            4.9326,           11.4706,           16.0610,           22.8712,           91.1830,            1.9631,            5.5043,           -0.3619,           -0.1970,           61.4059,
Ref 20,6.07644e-08,,,,,,1.1982e-02,4.2118e-03,4.9010e-05,4.6386e-06,4.3953e-08,,,,,,,,,,,
Sam 20,5.88916e-08,1.20416e-02,4.2601e-03,4.9794e-05,4.7455e-06,4.4652e-08,,,,,,            4.9303,           11.4624,           15.9929,           23.1216,           28.3292,            1.9610,            5.4962,           -0.4186,            0.0639,            0.2856,
Ref 21,5.97708e-08,,,,,,1.1983e-02,4.2119e-03,4.9010e-05,4.6379e-06,4.2883e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.92809e-08,,,,,,1.1983e-02,4.2119e-03,4.9011e-05,4.6375e-06,4.2890e-08,
Sam 1,5.73599e-08,1.20417e-02,4.2603e-03,4.9801e-05,4.7411e-06,4.3616e-08,,,,,,            4.9317,           11.4753,           16.1268,           22.2869,           -1.6728,            1.9621,            5.5090,           -0.3009,           -0.7774,          -28.9240,
Ref 2,5.83084e-08,,,,,,1.1983e-02,4.2120e-03,4.9010e-05,4.6381e-06,4.4501e-08,,,,,,,,,,,
Sam 2,5.63657e-08,1.20418e-02,4.2603e-03,4.9800e-05,4.7471e-06,4.6396e-08,,,,,,            4.9263,           11.4758,           16.0316,           23.2514,           75.6882,            1.9563,            5.5095,           -0.3894,            0.1644,           46.3303,
Ref 3,5.73586e-08,,,,,,1.1983e-02,4.2120e-03,4.9019e-05,4.6404e-06,4.1740e-08,,,,,,,,,,,
Sam 3,5.53934e-08,1.20418e-02,4.2603e-03,4.9803e-05,4.7463e-06,4.5167e-08,,,,,,            4.9311,           11.4745,           16.0739,           22.9253,           47.4648,            1.9614,            5.5083,           -0.3515,           -0.1519,           18.8745,
Ref 4,5.64224e-08,,,,,,1.1983e-02,4.2120e-03,4.9012e-05,4.6395e-06,4.4524e-08,,,,,,,,,,,
Sam 4,5.44450e-08,1.20419e-02,4.2605e-03,4.9802e-05,4.7464e-06,4.6769e-08,,,,,,            4.9354,           11.4759,           16.0841,           22.9891,           31.8956,            1.9659,            5.5096,           -0.3472,           -0.0922,            3.7230,
Ref 5,5.55146e-08,,,,,,1.1983e-02,4.2122e-03,4.9015e-05,4.6400e-06,4.6135e-08,,,,,,,,,,,
Sam 5,5.35232e-08,1.20418e-02,4.2605e-03,4.9807e-05,4.7458e-06,4.7621e-08,,,,,,            4.9220,           11.4623,           16.0750,           22.9959,           75.1485,            1.9522,            5.4961,           -0.3292,           -0.0587,           45.8374,
Ref 6,5.46144e-08,,,,,,1.1983e-02,4.2122e-03,4.9022e-05,4.6383e-06,4.2419e-08,,,,,,,,,,,
Sam 6,5.26139e-08,1.20421e-02,4.2606e-03,4.9809e-05,4.7446e-06,4.3876e-08,,,,,,            4.9352,           11.4800,           16.0106,           22.7965,           42.5464,            1.9656,            5.5137,           -0.4233,           -0.2885,           14.0752,
Ref 7,5.37393e-08,,,,,,1.1983e-02,4.2122e-03,4.9025e-05,4.6394e-06,4.1746e-08,,,,,,,,,,,
Sam 7,5.17389e-08,1.20418e-02,4.2605e-03,4.9802e-05,4.7456e-06,4.2296e-08,,,,,,            4.9157,           11.4631,           15.8706,           22.8962,           -4.8163,            1.9455,            5.4969,           -0.5247,           -0.1578,          -31.9424,
Ref 8,5.28879e-08,,,,,,1.1983e-02,4.2123e-03,4.9023e-05,4.6394e-06,4.3267e-08,,,,,,,,,,,
Sam 8,5.08825e-08,1.20417e-02,4.2606e-03,4.9810e-05,4.7452e-06,4.5868e-08,,,,,,            4.9106,           11.4718,           16.0384,           22.8938,          103.4283,            1.9397,            5.5056,           -0.3629,           -0.1774,           73.3393,
Ref 9,5.20508e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6386e-06,3.9844e-08,,,,,,,,,,,
Sam 9,5.00430e-08,1.20419e-02,4.2606e-03,4.9804e-05,4.7442e-06,4.3075e-08,,,,,,            4.9261,           11.4657,           15.9713,           22.6800,           33.3343,            1.9564,            5.4995,           -0.4388,           -0.3743,            5.1521,
Ref 10,5.12298e-08,,,,,,1.1983e-02,4.2123e-03,4.9018e-05,4.6394e-06,4.3557e-08,,,,,,,,,,,
Sam 10,4.92218e-08,1.20419e-02,4.2606e-03,4.9805e-05,4.7455e-06,4.2784e-08,,,,,,            4.9294,           11.4592,           16.0059,           22.7458,           10.4210,            1.9602,            5.4930,           -0.4018,           -0.2970,          -17.1272,
Ref 11,5.04230e-08,,,,,,1.1983e-02,4.2123e-03,4.9023e-05,4.6405e-06,4.1109e-08,,,,,,,,,,,
Sam 11,4.84153e-08,1.20418e-02,4.2606e-03,4.9810e-05,4.7441e-06,4.1576e-08,,,,,,            4.9145,           11.4648,           16.0238,           22.5219,           25.3389,            1.9441,            5.4986,           -0.3744,           -0.5269,           -2.6111,
Ref 12,4.96329e-08,,,,,,1.1983e-02,4.2123e-03,4.9025e-05,4.6388e-06,3.9980e-08,,,,,,,,,,,
Sam 12,4.76298e-08,1.20419e-02,4.2606e-03,4.9809e-05,4.7449e-06,3.9896e-08,,,,,,            4.9244,           11.4586,           16.0948,           23.1744,           26.6925,            1.9548,            5.4924,           -0.3086,            0.1232,           -1.2928,
Ref 13,4.88643e-08,,,,,,1.1983e-02,4.2124e-03,4.9015e-05,4.6360e-06,3.7721e-08,,,,,,,,,,,
Sam 13,4.68647e-08,1.20417e-02,4.2606e-03,4.9805e-05,4.7443e-06,3.8465e-08,,,,,,            4.9146,           11.4501,           16.0512,           23.1228,           38.5856,            1.9447,            5.4840,           -0.3332,            0.0895,           10.3033,
Ref 14,4.81098e-08,,,,,,1.1983e-02,4.2124e-03,4.9021e-05,4.6381e-06,3.6339e-08,,,,,,,,,,,
Sam 14,4.61108e-08,1.20417e-02,4.2606e-03,4.9815e-05,4.7441e-06,3.8101e-08,,,,,,            4.9219,           11.4461,           16.1487,           22.9934,           51.4702,            1.9527,            5.4799,           -0.2408,           -0.0291,           22.8370,
Ref 15,4.73731e-08,,,,,,1.1983e-02,4.2123e-03,4.9026e-05,4.6369e-06,3.6131e-08,,,,,,,,,,,
Sam 15,4.53702e-08,1.20418e-02,4.2606e-03,4.9814e-05,4.7448e-06,3.8364e-08,,,,,,            4.9286,           11.4510,           16.0821,           23.2669,           42.1979,            1.9596,            5.4849,           -0.3181,            0.2285,           13.8003,
Ref 16,4.66475e-08,,,,,,1.1983e-02,4.2124e-03,4.9026e-05,4.6369e-06,3.7501e-08,,,,,,,,,,,
Sam 16,4.46414e-08,1.20418e-02,4.2606e-03,4.9813e-05,4.7427e-06,3.9235e-08,,,,,,            4.9278,           11.4547,           16.0616,           22.5485,           43.1817,            1.9586,            5.4886,           -0.3410,           -0.4810,           14.7509,
Ref 17,4.59343e-08,,,,,,1.1983e-02,4.2124e-03,4.9025e-05,4.6393e-06,3.7721e-08,,,,,,,,,,,
Sam 17,4.39243e-08,1.20416e-02,4.2607e-03,4.9813e-05,4.7463e-06,4.0425e-08,,,,,,            4.9199,           11.4591,           16.0258,           23.1129,           62.8360,            1.9501,            5.4929,           -0.3723,            0.0620,           33.8694,
Ref 18,4.52341e-08,,,,,,1.1983e-02,4.2124e-03,4.9029e-05,4.6387e-06,3.8353e-08,,,,,,,,,,,
Sam 18,4.32275e-08,1.20415e-02,4.2606e-03,4.9808e-05,4.7450e-06,3.6944e-08,,,,,,            4.9131,           11.4305,           15.9172,           23.0619,          -17.5134,            1.9438,            5.4645,           -0.4444,            0.0687,          -44.2300,
Ref 19,4.45478e-08,,,,,,1.1983e-02,4.2124e-03,4.9025e-05,4.6374e-06,3.6840e-08,,,,,,,,,,,
Sam 19,4.25427e-08,1.20414e-02,4.2606e-03,4.9810e-05,4.7432e-06,3.7711e-08,,,,,,            4.9139,           11.4365,           16.0077,           22.7104,           29.8319,            1.9444,            5.4704,           -0.3620,           -0.2868,            1.8152,
Ref 20,4.38770e-08,,,,,,1.1982e-02,4.2124e-03,4.9026e-05,4.6385e-06,3.6393e-08,,,,,,,,,,,
Sam 20,4.18732e-08,1.20414e-02,4.2606e-03,4.9808e-05,4.7425e-06,3.4163e-08,,,,,,            4.9245,           11.4532,           15.9699,           22.5924,          -37.0812,            1.9551,            5.4871,           -0.4263,           -0.4351,          -63.3185,
Ref 21,4.32156e-08,,,,,,1.1982e-02,4.2123e-03,4.9025e-05,4.6369e-06,3.4550e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.28909e-08,,,,,,1.1983e-02,4.2124e-03,4.9023e-05,4.6383e-06,3.4441e-08,
Sam 1,4.08947e-08,1.20413e-02,4.2605e-03,4.9809e-05,4.7456e-06,3.3739e-08,,,,,,            4.9082,           11.4268,           15.9454,           23.2012,          -28.9450,            1.9387,            5.4608,           -0.4080,            0.2123,          -55.3391,
Ref 2,4.22488e-08,,,,,,1.1982e-02,4.2124e-03,4.9031e-05,4.6376e-06,3.5053e-08,,,,,,,,,,,
Sam 2,4.02588e-08,1.20412e-02,4.2605e-03,4.9811e-05,4.7421e-06,3.5284e-08,,,,,,            4.9072,           11.4357,           15.9939,           22.3902,           11.9737,            1.9374,            5.4697,           -0.3681,           -0.5983,          -15.5488,
Ref 3,4.16177e-08,,,,,,1.1982e-02,4.2123e-03,4.9024e-05,4.6389e-06,3.4678e-08,,,,,,,,,,,
Sam 3,3.96367e-08,1.20411e-02,4.2605e-03,4.9810e-05,4.7421e-06,3.1480e-08,,,,,,            4.9084,           11.4364,           15.9876,           21.9684,          -66.1995,            1.9386,            5.4703,           -0.3761,           -1.0119,          -91.5981,
Ref 4,4.10006e-08,,,,,,1.1982e-02,4.2123e-03,4.9028e-05,4.6413e-06,3.2731e-08,,,,,,,,,,,
Sam 4,3.90238e-08,1.20410e-02,4.2604e-03,4.9804e-05,4.7454e-06,3.3281e-08,,,,,,            4.9144,           11.4329,           15.8282,           22.4407,          -15.8629,            1.9451,            5.4669,           -0.5357,           -0.5433,          -42.6303,
Ref 5,4.03931e-08,,,,,,1.1982e-02,4.2123e-03,4.9029e-05,4.6411e-06,3.4919e-08,,,,,,,,,,,
Sam 5,3.84279e-08,1.20409e-02,4.2604e-03,4.9808e-05,4.7440e-06,3.2847e-08,,,,,,            4.9136,           11.4250,           15.9221,           22.6883,          -28.4623,            1.9445,            5.4590,           -0.4348,           -0.2857,          -54.8717,
Ref 6,3.97967e-08,,,,,,1.1982e-02,4.2122e-03,4.9026e-05,4.6364e-06,3.2684e-08,,,,,,,,,,,
Sam 6,3.78407e-08,1.20409e-02,4.2604e-03,4.9807e-05,4.7445e-06,3.4127e-08,,,,,,            4.9174,           11.4416,           15.9506,           22.9083,           23.1428,            1.9479,            5.4755,           -0.4268,           -0.1034,           -4.7054,
Ref 7,3.92125e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6400e-06,3.4037e-08,,,,,,,,,,,
Sam 7,3.72675e-08,1.20409e-02,4.2605e-03,4.9810e-05,4.7461e-06,3.4479e-08,,,,,,            4.9217,           11.4554,           16.0147,           23.1006,           51.5157,            1.9521,            5.4892,           -0.3816,            0.0573,           22.8630,
Ref 8,3.86385e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6378e-06,3.1525e-08,,,,,,,,,,,
Sam 8,3.67074e-08,1.20407e-02,4.2603e-03,4.9806e-05,4.7458e-06,3.0826e-08,,,,,,            4.9097,           11.4131,           15.9571,           23.4535,           22.5148,            1.9408,            5.4471,           -0.3847,            0.4860,           -5.2531,
Ref 9,3.80778e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6363e-06,2.8749e-08,,,,,,,,,,,
Sam 9,3.61557e-08,1.20407e-02,4.2603e-03,4.9804e-05,4.7451e-06,3.1553e-08,,,,,,            4.9145,           11.4310,           15.9049,           22.8584,           20.4431,            1.9452,            5.4650,           -0.4584,           -0.1312,           -7.3082,
Ref 10,3.75278e-08,,,,,,1.1982e-02,4.2121e-03,4.9025e-05,4.6418e-06,3.3125e-08,,,,,,,,,,,
Sam 10,3.56164e-08,1.20406e-02,4.2603e-03,4.9802e-05,4.7424e-06,3.1178e-08,,,,,,            4.9111,           11.4380,           15.8663,           21.8066,            7.7727,            1.9415,            5.4720,           -0.4998,           -1.1733,          -19.6439,
Ref 11,3.69863e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6406e-06,2.8717e-08,,,,,,,,,,,
Sam 11,3.50880e-08,1.20404e-02,4.2602e-03,4.9812e-05,4.7445e-06,3.0195e-08,,,,,,            4.9011,           11.4247,           16.0634,           22.7257,           26.2768,            1.9312,            5.4587,           -0.2826,           -0.2484,           -1.6067,
Ref 12,3.64555e-08,,,,,,1.1981e-02,4.2121e-03,4.9026e-05,4.6375e-06,3.0136e-08,,,,,,,,,,,
Sam 12,3.45680e-08,1.20404e-02,4.2602e-03,4.9805e-05,4.7423e-06,3.1280e-08,,,,,,            4.9159,           11.4288,           15.9607,           23.2987,           -9.6517,            1.9468,            5.4628,           -0.4029,            0.3035,          -36.5819,
Ref 13,3.59364e-08,,,,,,1.1982e-02,4.2121e-03,4.9019e-05,4.6310e-06,3.3055e-08,,,,,,,,,,,
Sam 13,3.40623e-08,1.20404e-02,4.2602e-03,4.9815e-05,4.7411e-06,2.9303e-08,,,,,,            4.9114,           11.4235,           16.1999,           22.8278,           -5.3745,            1.9422,            5.4576,           -0.1578,           -0.1463,          -32.4065,
Ref 14,3.54272e-08,,,,,,1.1982e-02,4.2121e-03,4.9023e-05,4.6396e-06,2.5817e-08,,,,,,,,,,,
Sam 14,3.35640e-08,1.20403e-02,4.2601e-03,4.9809e-05,4.7379e-06,2.8028e-08,,,,,,            4.9098,           11.4210,           15.9428,           21.7948,           53.4438,            1.9406,            5.4550,           -0.4067,           -1.1512,           24.8200,
Ref 15,3.49253e-08,,,,,,1.1981e-02,4.2120e-03,4.9033e-05,4.6340e-06,2.7407e-08,,,,,,,,,,,
Sam 15,3.30760e-08,1.20401e-02,4.2601e-03,4.9803e-05,4.7400e-06,2.8469e-08,,,,,,            4.9011,           11.4318,           15.7485,           22.1864,          115.8364,            1.9309,            5.4658,           -0.5993,           -0.7897,           85.5046,
Ref 16,3.44322e-08,,,,,,1.1981e-02,4.2120e-03,4.9029e-05,4.6403e-06,2.3593e-08,,,,,,,,,,,
Sam 16,3.25941e-08,1.20399e-02,4.2600e-03,4.9808e-05,4.7420e-06,2.7420e-08,,,,,,            4.8943,           11.4144,           15.8867,           22.4098,          137.6514,            1.9243,            5.4485,           -0.4394,           -0.5368,          106.7720,
Ref 17,3.39499e-08,,,,,,1.1981e-02,4.2119e-03,4.9029e-05,4.6357e-06,2.4618e-08,,,,,,,,,,,
Sam 17,3.21246e-08,1.20400e-02,4.2600e-03,4.9812e-05,4.7379e-06,2.8093e-08,,,,,,            4.9083,           11.4197,           16.0440,           21.7213,           50.7804,            1.9390,            5.4537,           -0.3042,           -1.2204,           22.2333,
Ref 18,3.34750e-08,,,,,,1.1981e-02,4.2119e-03,4.9023e-05,4.6387e-06,2.8883e-08,,,,,,,,,,,
Sam 18,3.16596e-08,1.20399e-02,4.2600e-03,4.9801e-05,4.7393e-06,2.4761e-08,,,,,,            4.9072,           11.4325,           15.8167,           22.0208,         -161.0207,            1.9375,            5.4665,           -0.5392,           -0.9529,         -183.8331,
Ref 19,3.30078e-08,,,,,,1.1981e-02,4.2119e-03,4.9028e-05,4.6356e-06,3.0153e-08,,,,,,,,,,,
Sam 19,3.12045e-08,1.20398e-02,4.2599e-03,4.9800e-05,4.7436e-06,2.9259e-08,,,,,,            4.9014,           11.4029,           15.7546,           23.5046,           16.3924,            1.9323,            5.4370,           -0.5656,            0.5561,          -11.1809,
Ref 20,3.25487e-08,,,,,,1.1981e-02,4.2118e-03,4.9028e-05,4.6337e-06,2.7403e-08,,,,,,,,,,,
Sam 20,3.07584e-08,1.20397e-02,4.2598e-03,4.9806e-05,4.7394e-06,2.5731e-08,,,,,,            4.9072,           11.4028,           15.8609,           22.9022,          -43.6386,            1.9385,            5.4370,           -0.4669,           -0.0328,          -69.5890,
Ref 21,3.20990e-08,,,,,,1.1981e-02,4.2118e-03,4.9029e-05,4.6329e-06,2.6400e-08,,,,,,,,,,,


