Nu Stable Isotope Analysis Program
Data Collected on Monday, February 13, 2023 at 04:44 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 05:43 with Stable 1.71.5 on PS019

Data File = Data_19302 ETH-3.txt,         Sample Weight = 441,                      Vial Location = 30,                       Initial Sam Beam = 1.4380e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5522e-08,                Max Ref Beam = 1.0648e-07,                

Analysis undertaken at mass 46.05341
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74071e-08,,,,,,1.1982e-02,4.2117e-03,4.9017e-05,4.6384e-06,4.8433e-08,
Sam 1,5.66586e-08,1.20356e-02,4.2614e-03,4.9801e-05,4.7502e-06,5.0894e-08,,,,,,            4.4573,           11.7596,           15.8994,           23.9632,           43.5550,            1.4473,            5.7930,           -0.3147,            0.2986,           15.0174,
Ref 2,5.64494e-08,,,,,,1.1983e-02,4.2120e-03,4.9026e-05,4.6397e-06,4.9112e-08,,,,,,,,,,,
Sam 2,5.56641e-08,1.20359e-02,4.2615e-03,4.9802e-05,4.7511e-06,4.8651e-08,,,,,,            4.4422,           11.7474,           15.8669,           24.0238,           16.0569,            1.4317,            5.7809,           -0.3193,            0.3821,          -11.6893,
Ref 3,5.55350e-08,,,,,,1.1983e-02,4.2121e-03,4.9023e-05,4.6396e-06,4.6633e-08,,,,,,,,,,,
Sam 3,5.46967e-08,1.20359e-02,4.2616e-03,4.9806e-05,4.7493e-06,4.7887e-08,,,,,,            4.4367,           11.7312,           15.9752,           23.4249,            2.5976,            1.4264,            5.7647,           -0.1913,           -0.1710,          -24.7446,
Ref 4,5.46407e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6415e-06,4.8911e-08,,,,,,,,,,,
Sam 4,5.37550e-08,1.20361e-02,4.2617e-03,4.9807e-05,4.7497e-06,5.0100e-08,,,,,,            4.4543,           11.7408,           15.8925,           23.3744,           46.5523,            1.4448,            5.7743,           -0.3001,           -0.2394,           17.9733,
Ref 5,5.37689e-08,,,,,,1.1983e-02,4.2122e-03,4.9032e-05,4.6408e-06,4.6814e-08,,,,,,,,,,,
Sam 5,5.28368e-08,1.20360e-02,4.2617e-03,4.9807e-05,4.7498e-06,4.9491e-08,,,,,,            4.4478,           11.7424,           15.8540,           23.2653,           53.0271,            1.4378,            5.7759,           -0.3329,           -0.3492,           24.2752,
Ref 6,5.29161e-08,,,,,,1.1983e-02,4.2122e-03,4.9027e-05,4.6429e-06,4.7187e-08,,,,,,,,,,,
Sam 6,5.19400e-08,1.20359e-02,4.2617e-03,4.9800e-05,4.7480e-06,4.8694e-08,,,,,,            4.4400,           11.7531,           15.7603,           22.8967,           27.0070,            1.4291,            5.7865,           -0.4275,           -0.7303,           -1.0469,
Ref 7,5.20797e-08,,,,,,1.1983e-02,4.2122e-03,4.9028e-05,4.6405e-06,4.7643e-08,,,,,,,,,,,
Sam 7,5.10619e-08,1.20359e-02,4.2617e-03,4.9811e-05,4.7519e-06,4.6187e-08,,,,,,            4.4390,           11.7405,           16.0174,           23.7814,          -33.9381,            1.4285,            5.7740,           -0.1612,            0.1588,          -60.3033,
Ref 8,5.12608e-08,,,,,,1.1983e-02,4.2123e-03,4.9024e-05,4.6425e-06,4.7978e-08,,,,,,,,,,,
Sam 8,5.02046e-08,1.20359e-02,4.2617e-03,4.9807e-05,4.7500e-06,4.9030e-08,,,,,,            4.4430,           11.7346,           15.8894,           23.4596,           23.4380,            1.4330,            5.7682,           -0.2856,           -0.1439,           -4.4859,
Ref 9,5.04567e-08,,,,,,1.1983e-02,4.2123e-03,4.9032e-05,4.6397e-06,4.7836e-08,,,,,,,,,,,
Sam 9,4.93632e-08,1.20360e-02,4.2618e-03,4.9808e-05,4.7515e-06,5.0525e-08,,,,,,            4.4539,           11.7482,           15.8257,           23.8208,           26.4950,            1.4441,            5.7817,           -0.3727,            0.1821,           -1.5502,
Ref 10,4.96685e-08,,,,,,1.1983e-02,4.2124e-03,4.9032e-05,4.6421e-06,5.0629e-08,,,,,,,,,,,
Sam 10,4.85425e-08,1.20360e-02,4.2619e-03,4.9813e-05,4.7509e-06,5.0477e-08,,,,,,            4.4429,           11.7426,           15.9445,           23.4136,            3.9803,            1.4326,            5.7761,           -0.2391,           -0.2047,          -23.4278,
Ref 11,4.88950e-08,,,,,,1.1983e-02,4.2124e-03,4.9030e-05,4.6424e-06,4.9919e-08,,,,,,,,,,,
Sam 11,4.77375e-08,1.20360e-02,4.2618e-03,4.9810e-05,4.7518e-06,5.2246e-08,,,,,,            4.4424,           11.7349,           15.9556,           23.6566,           74.9708,            1.4324,            5.7684,           -0.2201,            0.0480,           45.6409,
Ref 12,4.81383e-08,,,,,,1.1983e-02,4.2124e-03,4.9024e-05,4.6416e-06,4.7264e-08,,,,,,,,,,,
Sam 12,4.69522e-08,1.20360e-02,4.2618e-03,4.9815e-05,4.7503e-06,4.9182e-08,,,,,,            4.4465,           11.7314,           16.0472,           23.2876,           40.1887,            1.4368,            5.7649,           -0.1307,           -0.3056,           11.8104,
Ref 13,4.73957e-08,,,,,,1.1983e-02,4.2124e-03,4.9032e-05,4.6427e-06,4.7299e-08,,,,,,,,,,,
Sam 13,4.61828e-08,1.20360e-02,4.2619e-03,4.9812e-05,4.7496e-06,4.7531e-08,,,,,,            4.4527,           11.7362,           15.8463,           23.1508,           -3.4241,            1.4433,            5.7697,           -0.3394,           -0.4488,          -30.6280,
Ref 14,4.66708e-08,,,,,,1.1983e-02,4.2125e-03,4.9037e-05,4.6415e-06,4.8095e-08,,,,,,,,,,,
Sam 14,4.54325e-08,1.20359e-02,4.2619e-03,4.9814e-05,4.7509e-06,4.6679e-08,,,,,,            4.4451,           11.7366,           15.8088,           23.5370,           10.5683,            1.4351,            5.7701,           -0.3689,           -0.0722,          -17.0103,
Ref 15,4.59599e-08,,,,,,1.1983e-02,4.2124e-03,4.9040e-05,4.6417e-06,4.4256e-08,,,,,,,,,,,
Sam 15,4.46956e-08,1.20359e-02,4.2618e-03,4.9809e-05,4.7504e-06,4.6836e-08,,,,,,            4.4501,           11.7196,           15.7161,           23.0009,           86.6789,            1.4411,            5.7532,           -0.4489,           -0.5624,           57.0523,
Ref 16,4.52594e-08,,,,,,1.1982e-02,4.2124e-03,4.9036e-05,4.6454e-06,4.1926e-08,,,,,,,,,,,
Sam 16,4.39760e-08,1.20358e-02,4.2618e-03,4.9819e-05,4.7489e-06,4.5940e-08,,,,,,            4.4510,           11.7193,           15.9256,           22.6898,           62.5011,            1.4420,            5.7529,           -0.2433,           -0.8658,           33.5333,
Ref 17,4.45751e-08,,,,,,1.1982e-02,4.2125e-03,4.9041e-05,4.6417e-06,4.4568e-08,,,,,,,,,,,
Sam 17,4.32716e-08,1.20358e-02,4.2619e-03,4.9817e-05,4.7525e-06,4.6130e-08,,,,,,            4.4485,           11.7284,           15.8434,           23.6152,           11.7154,            1.4391,            5.7619,           -0.3305,            0.0205,          -15.8825,
Ref 18,4.39037e-08,,,,,,1.1983e-02,4.2124e-03,4.9041e-05,4.6441e-06,4.6638e-08,,,,,,,,,,,
Sam 18,4.25804e-08,1.20357e-02,4.2619e-03,4.9816e-05,4.7501e-06,4.4296e-08,,,,,,            4.4420,           11.7333,           15.8036,           22.9788,          -60.8436,            1.4320,            5.7668,           -0.3678,           -0.6110,          -86.4646,
Ref 19,4.32449e-08,,,,,,1.1982e-02,4.2124e-03,4.9042e-05,4.6426e-06,4.7700e-08,,,,,,,,,,,
Sam 19,4.19032e-08,1.20357e-02,4.2618e-03,4.9818e-05,4.7524e-06,4.6130e-08,,,,,,            4.4506,           11.7249,           15.9046,           23.4407,          -25.8530,            1.4414,            5.7585,           -0.2690,           -0.1433,          -52.4218,
Ref 20,4.25977e-08,,,,,,1.1982e-02,4.2124e-03,4.9034e-05,4.6446e-06,4.7002e-08,,,,,,,,,,,
Sam 20,4.12360e-08,1.20356e-02,4.2618e-03,4.9818e-05,4.7529e-06,4.7175e-08,,,,,,            4.4456,           11.7159,           16.0315,           23.6283,            8.5763,            1.4364,            5.7495,           -0.1302,            0.0579,          -18.9090,
Ref 21,4.19656e-08,,,,,,1.1982e-02,4.2125e-03,4.9030e-05,4.6418e-06,4.6543e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.16554e-08,,,,,,1.1983e-02,4.2124e-03,4.9043e-05,4.6431e-06,4.4017e-08,
Sam 1,4.02595e-08,1.20357e-02,4.2618e-03,4.9818e-05,4.7503e-06,4.7067e-08,,,,,,            4.4496,           11.7280,           15.8041,           22.8132,           69.6805,            1.4402,            5.7616,           -0.3698,           -0.7623,           40.5010,
Ref 2,4.10359e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6457e-06,4.3984e-08,,,,,,,,,,,
Sam 2,3.96243e-08,1.20353e-02,4.2618e-03,4.9816e-05,4.7505e-06,4.7149e-08,,,,,,            4.4282,           11.7364,           15.7969,           22.9729,           49.7182,            1.4172,            5.7699,           -0.3631,           -0.6228,           21.0898,
Ref 3,4.04289e-08,,,,,,1.1982e-02,4.2124e-03,4.9039e-05,4.6418e-06,4.5861e-08,,,,,,,,,,,
Sam 3,3.89965e-08,1.20353e-02,4.2617e-03,4.9821e-05,4.7496e-06,4.7610e-08,,,,,,            4.4288,           11.7173,           15.8862,           22.9141,           54.4109,            1.4185,            5.7510,           -0.2573,           -0.6427,           25.6918,
Ref 4,3.98277e-08,,,,,,1.1982e-02,4.2123e-03,4.9044e-05,4.6446e-06,4.4434e-08,,,,,,,,,,,
Sam 4,3.83891e-08,1.20353e-02,4.2617e-03,4.9816e-05,4.7502e-06,4.9914e-08,,,,,,            4.4404,           11.7137,           15.7640,           22.9787,          121.9067,            1.4310,            5.7474,           -0.3860,           -0.5725,           91.3435,
Ref 5,3.92487e-08,,,,,,1.1982e-02,4.2124e-03,4.9043e-05,4.6423e-06,4.4548e-08,,,,,,,,,,,
Sam 5,3.77930e-08,1.20352e-02,4.2616e-03,4.9821e-05,4.7503e-06,4.5601e-08,,,,,,            4.4292,           11.7048,           15.8054,           23.3326,            5.1206,            1.4193,            5.7385,           -0.3251,           -0.2090,          -22.2325,
Ref 6,3.86752e-08,,,,,,1.1982e-02,4.2123e-03,4.9048e-05,4.6416e-06,4.6202e-08,,,,,,,,,,,
Sam 6,3.72088e-08,1.20350e-02,4.2616e-03,4.9819e-05,4.7469e-06,4.8888e-08,,,,,,            4.4195,           11.7074,           15.7084,           22.6336,           58.5301,            1.4089,            5.7412,           -0.4132,           -0.8971,           29.7287,
Ref 7,3.81118e-08,,,,,,1.1982e-02,4.2123e-03,4.9050e-05,4.6421e-06,4.6167e-08,,,,,,,,,,,
Sam 7,3.66378e-08,1.20351e-02,4.2616e-03,4.9822e-05,4.7495e-06,4.7981e-08,,,,,,            4.4329,           11.7086,           15.7783,           23.1497,            9.0429,            1.4232,            5.7423,           -0.3593,           -0.3952,          -18.4281,
Ref 8,3.75598e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6420e-06,4.8955e-08,,,,,,,,,,,
Sam 8,3.60796e-08,1.20351e-02,4.2616e-03,4.9816e-05,4.7521e-06,4.8723e-08,,,,,,            4.4403,           11.7103,           15.7764,           23.5002,           -9.4568,            1.4309,            5.7439,           -0.3703,           -0.0562,          -36.4348,
Ref 9,3.70178e-08,,,,,,1.1982e-02,4.2122e-03,4.9039e-05,4.6440e-06,4.9426e-08,,,,,,,,,,,
Sam 9,3.55326e-08,1.20348e-02,4.2615e-03,4.9820e-05,4.7527e-06,5.1169e-08,,,,,,            4.4296,           11.7237,           15.9518,           23.2687,           49.2876,            1.4191,            5.7574,           -0.1999,           -0.3089,           20.6944,
Ref 10,3.64866e-08,,,,,,1.1982e-02,4.2121e-03,4.9037e-05,4.6452e-06,4.8096e-08,,,,,,,,,,,
Sam 10,3.49974e-08,1.20349e-02,4.2615e-03,4.9819e-05,4.7518e-06,5.0082e-08,,,,,,            4.4464,           11.7125,           15.9429,           23.0736,           35.6432,            1.4374,            5.7461,           -0.2149,           -0.4773,            7.4260,
Ref 11,3.59622e-08,,,,,,1.1982e-02,4.2122e-03,4.9037e-05,4.6441e-06,4.8624e-08,,,,,,,,,,,
Sam 11,3.44711e-08,1.20348e-02,4.2615e-03,4.9810e-05,4.7525e-06,5.4166e-08,,,,,,            4.4444,           11.7262,           15.6881,           23.8585,           95.8907,            1.4348,            5.7597,           -0.4768,            0.2625,           66.0059,
Ref 12,3.54522e-08,,,,,,1.1981e-02,4.2121e-03,4.9045e-05,4.6395e-06,5.0241e-08,,,,,,,,,,,
Sam 12,3.39588e-08,1.20346e-02,4.2615e-03,4.9824e-05,4.7531e-06,5.1666e-08,,,,,,            4.4345,           11.7168,           15.9064,           23.6878,           81.6619,            1.4246,            5.7504,           -0.2428,            0.1142,           52.1953,
Ref 13,3.49497e-08,,,,,,1.1981e-02,4.2121e-03,4.9042e-05,4.6468e-06,4.5254e-08,,,,,,,,,,,
Sam 13,3.34578e-08,1.20345e-02,4.2614e-03,4.9821e-05,4.7542e-06,4.8800e-08,,,,,,            4.4284,           11.7110,           15.8371,           23.2266,           52.2357,            1.4182,            5.7447,           -0.2990,           -0.3249,           23.5889,
Ref 14,3.44590e-08,,,,,,1.1981e-02,4.2121e-03,4.9046e-05,4.6458e-06,4.7517e-08,,,,,,,,,,,
Sam 14,3.29648e-08,1.20346e-02,4.2613e-03,4.9818e-05,4.7529e-06,5.0034e-08,,,,,,            4.4345,           11.6974,           15.7151,           23.8430,           47.4562,            1.4252,            5.7312,           -0.4122,            0.3041,           18.9598,
Ref 15,3.39779e-08,,,,,,1.1981e-02,4.2120e-03,4.9049e-05,4.6386e-06,4.8022e-08,,,,,,,,,,,
Sam 15,3.24816e-08,1.20344e-02,4.2615e-03,4.9820e-05,4.7545e-06,4.8549e-08,,,,,,            4.4315,           11.7287,           15.7613,           24.3394,           23.2406,            1.4209,            5.7623,           -0.3941,            0.7272,           -4.6544,
Ref 16,3.35088e-08,,,,,,1.1981e-02,4.2121e-03,4.9045e-05,4.6445e-06,4.6864e-08,,,,,,,,,,,
Sam 16,3.20072e-08,1.20344e-02,4.2613e-03,4.9817e-05,4.7516e-06,5.2012e-08,,,,,,            4.4298,           11.7052,           15.7590,           22.7196,           80.8324,            1.4199,            5.7389,           -0.3717,           -0.8087,           51.4175,
Ref 17,3.30419e-08,,,,,,1.1981e-02,4.2120e-03,4.9044e-05,4.6475e-06,4.9398e-08,,,,,,,,,,,
Sam 17,3.15358e-08,1.20343e-02,4.2613e-03,4.9817e-05,4.7508e-06,4.9813e-08,,,,,,            4.4307,           11.7203,           15.7951,           22.6316,           36.2714,            1.4204,            5.7539,           -0.3518,           -0.9245,            8.0386,
Ref 18,3.25852e-08,,,,,,1.1981e-02,4.2119e-03,4.9041e-05,4.6438e-06,4.6721e-08,,,,,,,,,,,
Sam 18,3.10790e-08,1.20343e-02,4.2613e-03,4.9824e-05,4.7552e-06,4.9394e-08,,,,,,            4.4452,           11.7191,           15.9829,           23.8340,           19.6683,            1.4359,            5.7527,           -0.1807,            0.2526,           -8.1252,
Ref 19,3.21353e-08,,,,,,1.1981e-02,4.2119e-03,4.9040e-05,4.6453e-06,5.0185e-08,,,,,,,,,,,
Sam 19,3.06275e-08,1.20341e-02,4.2612e-03,4.9824e-05,4.7550e-06,5.5581e-08,,,,,,            4.4316,           11.7126,           15.8912,           23.6103,          106.0253,            1.4216,            5.7462,           -0.2506,            0.0469,           75.9071,
Ref 20,3.16932e-08,,,,,,1.1981e-02,4.2119e-03,4.9049e-05,4.6454e-06,5.0321e-08,,,,,,,,,,,
Sam 20,3.01874e-08,1.20339e-02,4.2611e-03,4.9828e-05,4.7528e-06,5.1925e-08,,,,,,            4.4298,           11.6891,           15.9131,           23.3679,           32.4131,            1.4205,            5.7229,           -0.2045,           -0.1436,            4.3471,
Ref 21,3.12608e-08,,,,,,1.1981e-02,4.2119e-03,4.9045e-05,4.6431e-06,5.0268e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.10473e-08,,,,,,1.1981e-02,4.2117e-03,4.9044e-05,4.6467e-06,5.0337e-08,
Sam 1,2.95424e-08,1.20337e-02,4.2611e-03,4.9821e-05,4.7563e-06,5.2381e-08,,,,,,            4.4286,           11.7099,           15.8283,           24.5609,           19.1564,            1.4185,            5.7436,           -0.3069,            0.9808,           -8.5880,
Ref 2,3.06236e-08,,,,,,1.1981e-02,4.2117e-03,4.9044e-05,4.6379e-06,5.2470e-08,,,,,,,,,,,
Sam 2,2.91209e-08,1.20337e-02,4.2610e-03,4.9819e-05,4.7522e-06,5.5620e-08,,,,,,            4.4358,           11.6930,           15.7958,           24.0204,            3.1654,            1.4267,            5.7267,           -0.3298,            0.4863,          -24.1188,
Ref 3,3.02084e-08,,,,,,1.1981e-02,4.2118e-03,4.9045e-05,4.6435e-06,5.8460e-08,,,,,,,,,,,
Sam 3,2.87101e-08,1.20336e-02,4.2610e-03,4.9822e-05,4.7479e-06,5.9480e-08,,,,,,            4.4217,           11.6933,           15.7781,           22.1670,           -3.2343,            1.4117,            5.7271,           -0.3331,           -1.3252,          -30.3307,
Ref 4,2.98011e-08,,,,,,1.1981e-02,4.2117e-03,4.9051e-05,4.6463e-06,6.0902e-08,,,,,,,,,,,
Sam 4,2.83072e-08,1.20336e-02,4.2610e-03,4.9819e-05,4.7525e-06,6.0990e-08,,,,,,            4.4230,           11.7091,           15.6643,           23.1117,           48.1032,            1.4126,            5.7428,           -0.4618,           -0.4334,           19.5784,
Ref 5,2.94015e-08,,,,,,1.1980e-02,4.2117e-03,4.9050e-05,4.6439e-06,5.5442e-08,,,,,,,,,,,
Sam 5,2.79115e-08,1.20336e-02,4.2609e-03,4.9821e-05,4.7536e-06,6.0073e-08,,,,,,            4.4291,           11.6963,           15.8016,           23.3316,          127.5024,            1.4195,            5.7301,           -0.3205,           -0.1933,           96.8370,
Ref 6,2.90085e-08,,,,,,1.1981e-02,4.2117e-03,4.9041e-05,4.6466e-06,5.1089e-08,,,,,,,,,,,
Sam 6,2.75246e-08,1.20334e-02,4.2609e-03,4.9821e-05,4.7486e-06,5.0562e-08,,,,,,            4.4198,           11.6919,           15.8596,           22.6692,          -13.3649,            1.4098,            5.7257,           -0.2496,           -0.8318,          -40.1814,
Ref 7,2.86230e-08,,,,,,1.1980e-02,4.2116e-03,4.9046e-05,4.6400e-06,5.1408e-08,,,,,,,,,,,
Sam 7,2.71450e-08,1.20333e-02,4.2608e-03,4.9819e-05,4.7573e-06,5.4629e-08,,,,,,            4.4200,           11.6834,           15.7976,           25.1801,          -11.0076,            1.4103,            5.7173,           -0.3026,            1.6382,          -37.8725,
Ref 8,2.82451e-08,,,,,,1.1980e-02,4.2116e-03,4.9042e-05,4.6410e-06,5.9117e-08,,,,,,,,,,,
Sam 8,2.67726e-08,1.20333e-02,4.2608e-03,4.9808e-05,4.7536e-06,5.5115e-08,,,,,,            4.4290,           11.6883,           15.5738,           23.6942,           -6.3913,            1.4197,            5.7221,           -0.5368,            0.1769,          -33.4000,
Ref 9,2.78752e-08,,,,,,1.1980e-02,4.2115e-03,4.9046e-05,4.6462e-06,5.1774e-08,,,,,,,,,,,
Sam 9,2.64082e-08,1.20333e-02,4.2607e-03,4.9816e-05,4.7556e-06,5.3885e-08,,,,,,            4.4369,           11.6727,           15.7809,           23.9105,          -11.9456,            1.4287,            5.7066,           -0.3260,            0.4190,          -38.7823,
Ref 10,2.75103e-08,,,,,,1.1980e-02,4.2116e-03,4.9038e-05,4.6428e-06,5.7335e-08,,,,,,,,,,,
Sam 10,2.60479e-08,1.20331e-02,4.2607e-03,4.9821e-05,4.7529e-06,6.0630e-08,,,,,,            4.4241,           11.6793,           15.8658,           23.1410,           47.8649,            1.4148,            5.7132,           -0.2357,           -0.3460,           19.4044,
Ref 11,2.71499e-08,,,,,,1.1980e-02,4.2115e-03,4.9048e-05,4.6481e-06,5.8393e-08,,,,,,,,,,,
Sam 11,2.56949e-08,1.20331e-02,4.2606e-03,4.9813e-05,4.7510e-06,6.2444e-08,,,,,,            4.4351,           11.6663,           15.6576,           22.5735,           76.4198,            1.4270,            5.7002,           -0.4392,           -0.8746,           47.1982,
Ref 12,2.67955e-08,,,,,,1.1980e-02,4.2114e-03,4.9042e-05,4.6441e-06,5.7624e-08,,,,,,,,,,,
Sam 12,2.53476e-08,1.20331e-02,4.2606e-03,4.9818e-05,4.7574e-06,5.7726e-08,,,,,,            4.4367,           11.6875,           15.9318,           24.2274,            3.1753,            1.4279,            5.7213,           -0.1915,            0.6994,          -24.0997,
Ref 13,2.64475e-08,,,,,,1.1980e-02,4.2113e-03,4.9031e-05,4.6457e-06,5.7462e-08,,,,,,,,,,,
Sam 13,2.50068e-08,1.20327e-02,4.2605e-03,4.9815e-05,4.7546e-06,6.3455e-08,,,,,,            4.4186,           11.6708,           15.8717,           23.3999,           67.2781,            1.4092,            5.7047,           -0.2159,           -0.0761,           38.3137,
Ref 14,2.61068e-08,,,,,,1.1980e-02,4.2113e-03,4.9043e-05,4.6460e-06,6.1473e-08,,,,,,,,,,,
Sam 14,2.46718e-08,1.20328e-02,4.2606e-03,4.9811e-05,4.7498e-06,5.9721e-08,,,,,,            4.4367,           11.6979,           15.7655,           22.4623,           -5.0190,            1.4275,            5.7316,           -0.3653,           -1.0457,          -32.0908,
Ref 15,2.57687e-08,,,,,,1.1980e-02,4.2113e-03,4.9033e-05,4.6450e-06,5.8553e-08,,,,,,,,,,,
Sam 15,2.43454e-08,1.20325e-02,4.2605e-03,4.9814e-05,4.7490e-06,6.4341e-08,,,,,,            4.4249,           11.6865,           15.8890,           22.0126,          108.4209,            1.4154,            5.7203,           -0.2207,           -1.4626,           78.2997,
Ref 16,2.54411e-08,,,,,,1.1979e-02,4.2113e-03,4.9037e-05,4.6484e-06,5.7536e-08,,,,,,,,,,,
Sam 16,2.40226e-08,1.20324e-02,4.2604e-03,4.9827e-05,4.7562e-06,5.9281e-08,,,,,,            4.4209,           11.6951,           16.0830,           23.4765,           -4.6298,            1.4108,            5.7288,           -0.0339,           -0.0492,          -31.6908,
Ref 17,2.51168e-08,,,,,,1.1979e-02,4.2111e-03,4.9038e-05,4.6458e-06,6.1603e-08,,,,,,,,,,,
Sam 17,2.37046e-08,1.20325e-02,4.2603e-03,4.9812e-05,4.7547e-06,6.0294e-08,,,,,,            4.4294,           11.6826,           15.8384,           23.5798,           53.7349,            1.4203,            5.7164,           -0.2713,            0.0763,           25.1028,
Ref 18,2.47961e-08,,,,,,1.1979e-02,4.2111e-03,4.9032e-05,4.6445e-06,5.2780e-08,,,,,,,,,,,
Sam 18,2.33931e-08,1.20322e-02,4.2603e-03,4.9811e-05,4.7591e-06,5.6320e-08,,,,,,            4.4170,           11.6718,           15.7848,           24.3140,          -14.7697,            1.4074,            5.7057,           -0.3007,            0.8150,          -41.5077,
Ref 19,2.44835e-08,,,,,,1.1979e-02,4.2111e-03,4.9042e-05,4.6478e-06,6.1605e-08,,,,,,,,,,,
Sam 19,2.30864e-08,1.20323e-02,4.2603e-03,4.9813e-05,4.7480e-06,6.3776e-08,,,,,,            4.4245,           11.6907,           15.8177,           21.9186,            8.1540,            1.4148,            5.7245,           -0.2945,           -1.5628,          -19.2500,
Ref 20,2.41746e-08,,,,,,1.1979e-02,4.2110e-03,4.9033e-05,4.6446e-06,6.4936e-08,,,,,,,,,,,
Sam 20,2.27851e-08,1.20322e-02,4.2602e-03,4.9814e-05,4.7546e-06,6.9022e-08,,,,,,            4.4347,           11.7035,           15.8867,           22.6982,           64.7918,            1.4252,            5.7372,           -0.2495,           -0.8263,           35.8113,
Ref 21,2.38735e-08,,,,,,1.1979e-02,4.2110e-03,4.9036e-05,4.6536e-06,6.4706e-08,,,,,,,,,,,


