Nu Stable Isotope Analysis Program
Data Collected on Monday, February 13, 2023 at 08:57 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 09:56 with Stable 1.71.5 on PS019

Data File = Data_19305 TH_KB6_A.txt,      Sample Weight = 449,                      Vial Location = 33,                       Initial Sam Beam = 1.5507e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0316e-08,                Max Ref Beam = 1.0586e-07,                

Analysis undertaken at mass 46.05819
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.20426e-08,,,,,,1.1982e-02,4.2114e-03,4.9008e-05,4.6357e-06,4.9278e-08,
Sam 1,6.12472e-08,1.20389e-02,4.2745e-03,4.9957e-05,4.7779e-06,4.8281e-08,,,,,,            4.7410,           14.9342,           19.3430,           30.3297,           -1.5809,            1.6399,            8.9516,           -0.3049,            0.2313,          -35.1399,
Ref 2,6.09865e-08,,,,,,1.1983e-02,4.2118e-03,4.9011e-05,4.6388e-06,4.7420e-08,,,,,,,,,,,
Sam 2,6.01525e-08,1.20390e-02,4.2746e-03,4.9953e-05,4.7802e-06,4.9103e-08,,,,,,            4.7091,           14.9067,           19.1902,           30.1731,           27.7005,            1.6069,            8.9243,           -0.3953,            0.1334,           -6.7563,
Ref 3,5.99788e-08,,,,,,1.1983e-02,4.2119e-03,4.9015e-05,4.6417e-06,4.8145e-08,,,,,,,,,,,
Sam 3,5.90925e-08,1.20393e-02,4.2748e-03,4.9954e-05,4.7790e-06,4.9094e-08,,,,,,            4.7232,           14.9218,           19.1533,           29.4147,            4.9685,            1.6214,            8.9393,           -0.4606,           -0.6325,          -28.7690,
Ref 4,5.89910e-08,,,,,,1.1983e-02,4.2120e-03,4.9016e-05,4.6431e-06,4.9569e-08,,,,,,,,,,,
Sam 4,5.80548e-08,1.20392e-02,4.2748e-03,4.9956e-05,4.7805e-06,5.0252e-08,,,,,,            4.7070,           14.9083,           19.1588,           29.8765,           65.9817,            1.6046,            8.9259,           -0.4255,           -0.1576,           30.2404,
Ref 5,5.80280e-08,,,,,,1.1983e-02,4.2121e-03,4.9017e-05,4.6405e-06,4.4673e-08,,,,,,,,,,,
Sam 5,5.70436e-08,1.20393e-02,4.2749e-03,4.9960e-05,4.7804e-06,4.8299e-08,,,,,,            4.7130,           14.9190,           19.1851,           29.9582,           67.7727,            1.6106,            8.9366,           -0.4163,           -0.0995,           31.9434,
Ref 6,5.70829e-08,,,,,,1.1983e-02,4.2121e-03,4.9021e-05,4.6421e-06,4.5804e-08,,,,,,,,,,,
Sam 6,5.60569e-08,1.20394e-02,4.2749e-03,4.9962e-05,4.7827e-06,4.8413e-08,,,,,,            4.7107,           14.9112,           19.1856,           30.3187,           65.7231,            1.6084,            8.9288,           -0.4058,            0.2660,           29.9807,
Ref 7,5.61604e-08,,,,,,1.1983e-02,4.2121e-03,4.9023e-05,4.6418e-06,4.5044e-08,,,,,,,,,,,
Sam 7,5.50943e-08,1.20394e-02,4.2750e-03,4.9968e-05,4.7824e-06,4.6052e-08,,,,,,            4.7052,           14.9038,           19.2664,           30.2643,           11.7146,            1.6029,            8.9214,           -0.3138,            0.2278,          -22.1967,
Ref 8,5.52601e-08,,,,,,1.1983e-02,4.2123e-03,4.9025e-05,4.6421e-06,4.6001e-08,,,,,,,,,,,
Sam 8,5.41557e-08,1.20396e-02,4.2751e-03,4.9967e-05,4.7811e-06,5.1179e-08,,,,,,            4.7135,           14.9183,           19.2343,           29.7205,          101.2473,            1.6112,            8.9359,           -0.3679,           -0.3288,           64.2955,
Ref 9,5.43597e-08,,,,,,1.1983e-02,4.2123e-03,4.9023e-05,4.6441e-06,4.6954e-08,,,,,,,,,,,
Sam 9,5.32138e-08,1.20396e-02,4.2751e-03,4.9970e-05,4.7813e-06,4.8590e-08,,,,,,            4.7129,           14.9082,           19.3044,           29.1894,           28.6048,            1.6109,            8.9258,           -0.2887,           -0.8244,           -5.8892,
Ref 10,5.34882e-08,,,,,,1.1983e-02,4.2123e-03,4.9026e-05,4.6473e-06,4.7528e-08,,,,,,,,,,,
Sam 10,5.23106e-08,1.20394e-02,4.2751e-03,4.9969e-05,4.7825e-06,5.1675e-08,,,,,,            4.7070,           14.9081,           19.1745,           29.3908,           66.1341,            1.6046,            8.9257,           -0.4100,           -0.6287,           30.3882,
Ref 11,5.26362e-08,,,,,,1.1983e-02,4.2123e-03,4.9033e-05,4.6445e-06,4.9425e-08,,,,,,,,,,,
Sam 11,5.14278e-08,1.20395e-02,4.2751e-03,4.9969e-05,4.7818e-06,5.2781e-08,,,,,,            4.7113,           14.9185,           19.1709,           29.8444,           82.6805,            1.6088,            8.9360,           -0.4280,           -0.2088,           46.3539,
Ref 12,5.18094e-08,,,,,,1.1983e-02,4.2123e-03,4.9025e-05,4.6419e-06,4.8064e-08,,,,,,,,,,,
Sam 12,5.05703e-08,1.20395e-02,4.2751e-03,4.9970e-05,4.7817e-06,5.5246e-08,,,,,,            4.7083,           14.9059,           19.2406,           29.6844,           95.3056,            1.6061,            8.9235,           -0.3443,           -0.3395,           58.5845,
Ref 13,5.09973e-08,,,,,,1.1983e-02,4.2124e-03,4.9027e-05,4.6458e-06,5.2851e-08,,,,,,,,,,,
Sam 13,4.97284e-08,1.20394e-02,4.2752e-03,4.9972e-05,4.7847e-06,5.1891e-08,,,,,,            4.7066,           14.9076,           19.2209,           30.4600,          -29.0666,            1.6042,            8.9252,           -0.3636,            0.4102,          -61.6193,
Ref 14,5.01992e-08,,,,,,1.1983e-02,4.2124e-03,4.9031e-05,4.6406e-06,5.4048e-08,,,,,,,,,,,
Sam 14,4.89072e-08,1.20393e-02,4.2752e-03,4.9970e-05,4.7850e-06,5.5033e-08,,,,,,            4.7034,           14.9099,           19.0694,           30.4965,            5.7933,            1.6007,            8.9275,           -0.5110,            0.4412,          -27.9291,
Ref 15,4.94204e-08,,,,,,1.1983e-02,4.2124e-03,4.9039e-05,4.6462e-06,5.5395e-08,,,,,,,,,,,
Sam 15,4.81001e-08,1.20393e-02,4.2751e-03,4.9976e-05,4.7838e-06,5.6306e-08,,,,,,            4.6983,           14.9022,           19.1379,           29.9351,           41.5448,            1.5955,            8.9198,           -0.4312,           -0.0887,            6.6440,
Ref 16,4.86530e-08,,,,,,1.1983e-02,4.2123e-03,4.9036e-05,4.6434e-06,5.2704e-08,,,,,,,,,,,
Sam 16,4.73067e-08,1.20393e-02,4.2752e-03,4.9972e-05,4.7812e-06,5.3387e-08,,,,,,            4.7052,           14.9028,           19.0785,           29.4757,           19.1809,            1.6029,            8.9204,           -0.4971,           -0.5359,          -14.9788,
Ref 17,4.78948e-08,,,,,,1.1983e-02,4.2124e-03,4.9037e-05,4.6452e-06,5.2056e-08,,,,,,,,,,,
Sam 17,4.65317e-08,1.20395e-02,4.2752e-03,4.9972e-05,4.7810e-06,5.2486e-08,,,,,,            4.7143,           14.9048,           19.0782,           29.1383,            5.3570,            1.6125,            8.9224,           -0.5087,           -0.8674,          -28.3525,
Ref 18,4.71573e-08,,,,,,1.1983e-02,4.2124e-03,4.9036e-05,4.6461e-06,5.2358e-08,,,,,,,,,,,
Sam 18,4.57762e-08,1.20394e-02,4.2753e-03,4.9976e-05,4.7845e-06,5.2817e-08,,,,,,            4.7116,           14.9102,           19.1505,           29.6705,           11.7015,            1.6095,            8.9278,           -0.4402,           -0.3613,          -22.2282,
Ref 19,4.64391e-08,,,,,,1.1983e-02,4.2125e-03,4.9039e-05,4.6472e-06,5.2051e-08,,,,,,,,,,,
Sam 19,4.50391e-08,1.20393e-02,4.2752e-03,4.9967e-05,4.7850e-06,5.3741e-08,,,,,,            4.7059,           14.8981,           18.9574,           29.6523,           54.6774,            1.6038,            8.9158,           -0.6121,           -0.3552,           19.3365,
Ref 20,4.57322e-08,,,,,,1.1983e-02,4.2125e-03,4.9035e-05,4.6472e-06,4.9841e-08,,,,,,,,,,,
Sam 20,4.43089e-08,1.20393e-02,4.2752e-03,4.9978e-05,4.7853e-06,5.2911e-08,,,,,,            4.7126,           14.9052,           19.1664,           30.0427,           48.8238,            1.6106,            8.9228,           -0.4208,            0.0099,           13.6580,
Ref 21,4.50360e-08,,,,,,1.1983e-02,4.2124e-03,4.9041e-05,4.6443e-06,5.1064e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.46944e-08,,,,,,1.1983e-02,4.2124e-03,4.9034e-05,4.6460e-06,5.0182e-08,
Sam 1,4.32386e-08,1.20393e-02,4.2752e-03,4.9975e-05,4.7865e-06,5.2190e-08,,,,,,            4.7066,           14.8981,           19.1676,           30.0109,           47.0075,            1.6045,            8.9158,           -0.4066,           -0.0071,           11.9229,
Ref 2,4.40220e-08,,,,,,1.1983e-02,4.2125e-03,4.9037e-05,4.6481e-06,4.9507e-08,,,,,,,,,,,
Sam 2,4.25449e-08,1.20393e-02,4.2752e-03,4.9975e-05,4.7870e-06,5.5365e-08,,,,,,            4.7190,           14.8954,           19.1123,           29.8197,          104.0878,            1.6178,            8.9131,           -0.4709,           -0.1874,           67.0819,
Ref 3,4.33598e-08,,,,,,1.1983e-02,4.2124e-03,4.9038e-05,4.6486e-06,5.0795e-08,,,,,,,,,,,
Sam 3,4.18663e-08,1.20392e-02,4.2752e-03,4.9981e-05,4.7840e-06,5.4431e-08,,,,,,            4.7210,           14.8921,           19.2088,           29.3128,           61.7591,            1.6201,            8.9097,           -0.3752,           -0.6730,           26.1764,
Ref 4,4.27117e-08,,,,,,1.1983e-02,4.2124e-03,4.9040e-05,4.6469e-06,5.1741e-08,,,,,,,,,,,
Sam 4,4.12022e-08,1.20390e-02,4.2752e-03,4.9978e-05,4.7851e-06,5.2105e-08,,,,,,            4.7121,           14.8968,           19.1060,           29.7096,           -4.7579,            1.6104,            8.9144,           -0.4713,           -0.2969,          -38.1109,
Ref 5,4.20741e-08,,,,,,1.1982e-02,4.2124e-03,4.9042e-05,4.6471e-06,5.2976e-08,,,,,,,,,,,
Sam 5,4.05532e-08,1.20390e-02,4.2751e-03,4.9985e-05,4.7852e-06,5.7657e-08,,,,,,            4.7193,           14.9029,           19.2519,           29.8309,          124.2202,            1.6179,            8.9205,           -0.3416,           -0.1912,           86.5234,
Ref 6,4.14441e-08,,,,,,1.1982e-02,4.2124e-03,4.9039e-05,4.6461e-06,4.9570e-08,,,,,,,,,,,
Sam 6,3.99132e-08,1.20388e-02,4.2751e-03,4.9985e-05,4.7865e-06,4.7758e-08,,,,,,            4.7044,           14.8930,           19.2468,           30.1477,          -28.7926,            1.6023,            8.9106,           -0.3217,            0.1359,          -61.3256,
Ref 7,4.08257e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6468e-06,4.8771e-08,,,,,,,,,,,
Sam 7,3.92884e-08,1.20388e-02,4.2751e-03,4.9978e-05,4.7841e-06,4.9605e-08,,,,,,            4.7095,           14.9083,           19.0716,           29.7667,           54.6571,            1.6073,            8.9259,           -0.5135,           -0.2641,           19.2930,
Ref 8,4.02211e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6447e-06,4.5272e-08,,,,,,,,,,,
Sam 8,3.86766e-08,1.20388e-02,4.2751e-03,4.9978e-05,4.7866e-06,5.0431e-08,,,,,,            4.7079,           14.8931,           19.1084,           30.1735,           79.5941,            1.6061,            8.9107,           -0.4612,            0.1608,           43.4262,
Ref 9,3.96295e-08,,,,,,1.1982e-02,4.2123e-03,4.9039e-05,4.6481e-06,4.8176e-08,,,,,,,,,,,
Sam 9,3.80816e-08,1.20386e-02,4.2750e-03,4.9979e-05,4.7841e-06,4.9543e-08,,,,,,            4.7018,           14.8830,           19.1691,           29.4782,           29.3166,            1.5999,            8.9007,           -0.3856,           -0.4944,           -5.1410,
Ref 10,3.90525e-08,,,,,,1.1982e-02,4.2122e-03,4.9039e-05,4.6460e-06,4.8087e-08,,,,,,,,,,,
Sam 10,3.75001e-08,1.20386e-02,4.2750e-03,4.9971e-05,4.7809e-06,5.4069e-08,,,,,,            4.7111,           14.8921,           19.0199,           29.1544,           97.7742,            1.6095,            8.9098,           -0.5502,           -0.8267,           60.9957,
Ref 11,3.84883e-08,,,,,,1.1982e-02,4.2123e-03,4.9038e-05,4.6448e-06,5.0436e-08,,,,,,,,,,,
Sam 11,3.69378e-08,1.20386e-02,4.2750e-03,4.9975e-05,4.7843e-06,5.1488e-08,,,,,,            4.7126,           14.8710,           19.0718,           29.8256,           35.4384,            1.6119,            8.8888,           -0.4806,           -0.1336,            0.7876,
Ref 12,3.79333e-08,,,,,,1.1982e-02,4.2123e-03,4.9042e-05,4.6468e-06,4.9006e-08,,,,,,,,,,,
Sam 12,3.63780e-08,1.20387e-02,4.2750e-03,4.9978e-05,4.7868e-06,4.6884e-08,,,,,,            4.7214,           14.8948,           19.1203,           29.6906,          -14.7688,            1.6204,            8.9124,           -0.4650,           -0.3114,          -47.7921,
Ref 13,3.73856e-08,,,,,,1.1982e-02,4.2122e-03,4.9038e-05,4.6508e-06,4.6146e-08,,,,,,,,,,,
Sam 13,3.58316e-08,1.20385e-02,4.2750e-03,4.9986e-05,4.7871e-06,4.9210e-08,,,,,,            4.7105,           14.8993,           19.2844,           29.5176,           85.1452,            1.6087,            8.9170,           -0.2973,           -0.4884,           48.7757,
Ref 14,3.68503e-08,,,,,,1.1982e-02,4.2123e-03,4.9042e-05,4.6488e-06,4.4541e-08,,,,,,,,,,,
Sam 14,3.52965e-08,1.20384e-02,4.2749e-03,4.9980e-05,4.7875e-06,5.0007e-08,,,,,,            4.6983,           14.8859,           19.1566,           29.6241,          121.0282,            1.5961,            8.9036,           -0.3970,           -0.3585,           83.4983,
Ref 15,3.63259e-08,,,,,,1.1982e-02,4.2122e-03,4.9038e-05,4.6508e-06,4.4677e-08,,,,,,,,,,,
Sam 15,3.47678e-08,1.20383e-02,4.2748e-03,4.9979e-05,4.7873e-06,4.6226e-08,,,,,,            4.7025,           14.8666,           19.1481,           29.3722,           60.3453,            1.6013,            8.8844,           -0.3911,           -0.5651,           24.8807,
Ref 16,3.58103e-08,,,,,,1.1982e-02,4.2122e-03,4.9042e-05,4.6505e-06,4.2499e-08,,,,,,,,,,,
Sam 16,3.42498e-08,1.20383e-02,4.2749e-03,4.9981e-05,4.7872e-06,4.7719e-08,,,,,,            4.7062,           14.8890,           19.2280,           29.9876,           65.5426,            1.6044,            8.9067,           -0.3381,           -0.0117,           29.8555,
Ref 17,3.53061e-08,,,,,,1.1982e-02,4.2121e-03,4.9035e-05,4.6451e-06,4.7102e-08,,,,,,,,,,,
Sam 17,3.37407e-08,1.20381e-02,4.2748e-03,4.9980e-05,4.7841e-06,4.3330e-08,,,,,,            4.7021,           14.8780,           19.2562,           29.6748,          -70.8989,            1.6004,            8.8957,           -0.2955,           -0.2937,         -101.9931,
Ref 18,3.48061e-08,,,,,,1.1982e-02,4.2121e-03,4.9036e-05,4.6474e-06,4.6165e-08,,,,,,,,,,,
Sam 18,3.32410e-08,1.20380e-02,4.2747e-03,4.9981e-05,4.7871e-06,4.6112e-08,,,,,,            4.7002,           14.8704,           19.2436,           30.2205,           42.8266,            1.5986,            8.8882,           -0.2986,            0.2510,            7.9430,
Ref 19,3.43168e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6460e-06,4.2243e-08,,,,,,,,,,,
Sam 19,3.27479e-08,1.20379e-02,4.2747e-03,4.9975e-05,4.7858e-06,4.3661e-08,,,,,,            4.6966,           14.8862,           19.0946,           30.0975,           38.8524,            1.5943,            8.9039,           -0.4565,            0.1005,            4.0748,
Ref 20,3.38342e-08,,,,,,1.1982e-02,4.2120e-03,4.9039e-05,4.6459e-06,4.1810e-08,,,,,,,,,,,
Sam 20,3.22676e-08,1.20379e-02,4.2747e-03,4.9973e-05,4.7834e-06,4.7431e-08,,,,,,            4.6977,           14.8960,           19.0004,           29.0535,          129.6103,            1.5952,            8.9137,           -0.5594,           -0.9324,           91.7724,
Ref 21,3.33629e-08,,,,,,1.1982e-02,4.2120e-03,4.9044e-05,4.6508e-06,4.2170e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.31311e-08,,,,,,1.1981e-02,4.2120e-03,4.9041e-05,4.6481e-06,4.1197e-08,
Sam 1,3.15651e-08,1.20378e-02,4.2746e-03,4.9969e-05,4.7830e-06,4.1694e-08,,,,,,            4.7044,           14.8675,           18.8947,           29.3128,           12.5619,            1.6032,            8.8853,           -0.6424,           -0.6246,          -21.3082,
Ref 2,3.26724e-08,,,,,,1.1981e-02,4.2120e-03,4.9044e-05,4.6455e-06,4.1157e-08,,,,,,,,,,,
Sam 2,3.11099e-08,1.20376e-02,4.2745e-03,4.9977e-05,4.7824e-06,4.3230e-08,,,,,,            4.7036,           14.8672,           19.1428,           28.9515,           97.1903,            1.6024,            8.8850,           -0.3979,           -0.9746,           60.4910,
Ref 3,3.22221e-08,,,,,,1.1981e-02,4.2119e-03,4.9032e-05,4.6502e-06,3.7619e-08,,,,,,,,,,,
Sam 3,3.06640e-08,1.20375e-02,4.2745e-03,4.9972e-05,4.7880e-06,4.1117e-08,,,,,,            4.7059,           14.8748,           19.0572,           30.1657,           97.3416,            1.6046,            8.8926,           -0.4916,            0.1891,           60.6189,
Ref 4,3.17777e-08,,,,,,1.1981e-02,4.2118e-03,4.9043e-05,4.6454e-06,3.7319e-08,,,,,,,,,,,
Sam 4,3.02252e-08,1.20373e-02,4.2745e-03,4.9972e-05,4.7830e-06,4.3820e-08,,,,,,            4.7024,           14.8747,           18.9761,           30.0114,           74.0001,            1.6009,            8.8924,           -0.5674,            0.0397,           38.0628,
Ref 5,3.13449e-08,,,,,,1.1981e-02,4.2118e-03,4.9040e-05,4.6419e-06,4.4332e-08,,,,,,,,,,,
Sam 5,2.97976e-08,1.20373e-02,4.2745e-03,4.9977e-05,4.7820e-06,4.6112e-08,,,,,,            4.7044,           14.8866,           19.1648,           29.4642,           71.7573,            1.6025,            8.9043,           -0.3960,           -0.5152,           35.8688,
Ref 6,3.09181e-08,,,,,,1.1981e-02,4.2117e-03,4.9034e-05,4.6484e-06,4.1699e-08,,,,,,,,,,,
Sam 6,2.93752e-08,1.20372e-02,4.2744e-03,4.9976e-05,4.7874e-06,4.6933e-08,,,,,,            4.6943,           14.8793,           19.1138,           30.5870,           35.0272,            1.5921,            8.8970,           -0.4285,            0.5895,            0.3936,
Ref 7,3.04974e-08,,,,,,1.1981e-02,4.2118e-03,4.9043e-05,4.6421e-06,4.9040e-08,,,,,,,,,,,
Sam 7,2.89608e-08,1.20373e-02,4.2744e-03,4.9969e-05,4.7840e-06,5.0401e-08,,,,,,            4.7101,           14.8669,           18.9170,           30.2610,           61.1471,            1.6093,            8.8847,           -0.6257,            0.2973,           25.6469,
Ref 8,3.00849e-08,,,,,,1.1981e-02,4.2117e-03,4.9039e-05,4.6448e-06,4.5932e-08,,,,,,,,,,,
Sam 8,2.85553e-08,1.20372e-02,4.2743e-03,4.9978e-05,4.7844e-06,4.7629e-08,,,,,,            4.7019,           14.8595,           19.1598,           30.0466,           34.4128,            1.6009,            8.8773,           -0.3720,            0.1038,           -0.1700,
Ref 9,2.96819e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6449e-06,4.6158e-08,,,,,,,,,,,
Sam 9,2.81590e-08,1.20370e-02,4.2743e-03,4.9978e-05,4.7839e-06,4.1759e-08,,,,,,            4.6931,           14.8613,           19.1602,           29.8493,            7.9229,            1.5915,            8.8792,           -0.3645,           -0.0915,          -25.7687,
Ref 10,2.92834e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6455e-06,3.6638e-08,,,,,,,,,,,
Sam 10,2.77681e-08,1.20369e-02,4.2742e-03,4.9972e-05,4.7808e-06,4.0872e-08,,,,,,            4.6881,           14.8664,           19.0168,           29.4234,           58.1112,            1.5859,            8.8843,           -0.5048,           -0.5150,           22.7373,
Ref 11,2.88921e-08,,,,,,1.1981e-02,4.2116e-03,4.9042e-05,4.6428e-06,4.0643e-08,,,,,,,,,,,
Sam 11,2.73835e-08,1.20368e-02,4.2742e-03,4.9973e-05,4.7818e-06,4.0107e-08,,,,,,            4.6958,           14.8742,           19.1574,           29.7899,           53.2207,            1.5938,            8.8920,           -0.3824,           -0.1745,           17.9866,
Ref 12,2.85077e-08,,,,,,1.1980e-02,4.2115e-03,4.9026e-05,4.6442e-06,3.5484e-08,,,,,,,,,,,
Sam 12,2.70079e-08,1.20367e-02,4.2741e-03,4.9974e-05,4.7831e-06,3.0105e-08,,,,,,            4.7016,           14.8523,           19.1914,           30.0632,          -86.1000,            1.6007,            8.8702,           -0.3337,            0.1340,         -116.6410,
Ref 13,2.81312e-08,,,,,,1.1980e-02,4.2115e-03,4.9039e-05,4.6429e-06,3.0365e-08,,,,,,,,,,,
Sam 13,2.66391e-08,1.20367e-02,4.2741e-03,4.9968e-05,4.7842e-06,3.0065e-08,,,,,,            4.7064,           14.8642,           18.9677,           30.5202,          -42.2432,            1.6055,            8.8820,           -0.5697,            0.5543,          -74.2761,
Ref 14,2.77608e-08,,,,,,1.1980e-02,4.2115e-03,4.9037e-05,4.6422e-06,3.2432e-08,,,,,,,,,,,
Sam 14,2.62773e-08,1.20366e-02,4.2741e-03,4.9970e-05,4.7778e-06,3.4753e-08,,,,,,            4.7028,           14.8628,           19.0723,           29.3565,          116.2319,            1.6017,            8.8807,           -0.4620,           -0.5729,           78.9056,
Ref 15,2.73985e-08,,,,,,1.1980e-02,4.2114e-03,4.9032e-05,4.6409e-06,2.9819e-08,,,,,,,,,,,
Sam 15,2.59227e-08,1.20366e-02,4.2740e-03,4.9970e-05,4.7795e-06,3.1758e-08,,,,,,            4.7065,           14.8627,           19.1642,           29.9735,           -0.7027,            1.6057,            8.8806,           -0.3756,            0.0264,          -34.1223,
Ref 16,2.70434e-08,,,,,,1.1980e-02,4.2114e-03,4.9028e-05,4.6399e-06,3.3768e-08,,,,,,,,,,,
Sam 16,2.55749e-08,1.20364e-02,4.2739e-03,4.9968e-05,4.7831e-06,3.6469e-08,,,,,,            4.6978,           14.8554,           19.1321,           30.6713,          -12.7406,            1.5967,            8.8733,           -0.3911,            0.7183,          -45.7354,
Ref 17,2.66931e-08,,,,,,1.1980e-02,4.2113e-03,4.9032e-05,4.6416e-06,4.0153e-08,,,,,,,,,,,
Sam 17,2.52308e-08,1.20363e-02,4.2739e-03,4.9964e-05,4.7809e-06,3.5868e-08,,,,,,            4.6954,           14.8526,           18.9940,           29.7266,          -64.3849,            1.5942,            8.8705,           -0.5213,           -0.1934,          -95.6464,
Ref 18,2.63452e-08,,,,,,1.1980e-02,4.2114e-03,4.9033e-05,4.6442e-06,3.6496e-08,,,,,,,,,,,
Sam 18,2.48917e-08,1.20361e-02,4.2738e-03,4.9960e-05,4.7840e-06,3.6105e-08,,,,,,            4.6857,           14.8496,           18.9764,           30.4549,           33.8610,            1.5840,            8.8675,           -0.5258,            0.5197,           -0.6671,
Ref 19,2.60046e-08,,,,,,1.1980e-02,4.2112e-03,4.9026e-05,4.6409e-06,3.3329e-08,,,,,,,,,,,
Sam 19,2.45580e-08,1.20361e-02,4.2738e-03,4.9958e-05,4.7815e-06,3.1324e-08,,,,,,            4.6976,           14.8600,           19.0354,           30.3116,          -54.7675,            1.5963,            8.8778,           -0.4901,            0.3601,          -86.3654,
Ref 20,2.56713e-08,,,,,,1.1980e-02,4.2112e-03,4.9023e-05,4.6408e-06,3.2947e-08,,,,,,,,,,,
Sam 20,2.42319e-08,1.20358e-02,4.2738e-03,4.9960e-05,4.7778e-06,3.8712e-08,,,,,,            4.6873,           14.8578,           19.1031,           29.4063,          118.1563,            1.5853,            8.8756,           -0.4109,           -0.5145,           80.7940,
Ref 21,2.53424e-08,,,,,,1.1980e-02,4.2112e-03,4.9024e-05,4.6419e-06,3.6317e-08,,,,,,,,,,,


