Nu Stable Isotope Analysis Program
Data Collected on Monday, February 13, 2023 at 11:41 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 12:40 with Stable 1.71.5 on PS019

Data File = Data_19307 IAEA-C2.txt,       Sample Weight = 445,                      Vial Location = 35,                       Initial Sam Beam = 1.3083e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8801e-08,                Max Ref Beam = 1.0639e-07,                

Analysis undertaken at mass 46.05339
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.10317e-08,,,,,,1.1982e-02,4.2118e-03,4.9021e-05,4.6438e-06,4.9928e-08,
Sam 1,5.03537e-08,1.19238e-02,4.2299e-03,4.8966e-05,4.6812e-06,5.5277e-08,,,,,,           -4.8665,            4.2417,           -1.2512,            8.1512,           70.4532,           -8.2160,           -1.6681,           -0.3904,           -0.3473,           67.0976,
Ref 2,5.02054e-08,,,,,,1.1983e-02,4.2122e-03,4.9033e-05,4.6430e-06,5.3378e-08,,,,,,,,,,,
Sam 2,4.94989e-08,1.19240e-02,4.2300e-03,4.8974e-05,4.6839e-06,5.3826e-08,,,,,,           -4.8880,            4.2246,           -1.1906,            8.7968,           25.0540,           -8.2382,           -1.6851,           -0.2907,            0.3270,           21.8985,
Ref 3,4.94236e-08,,,,,,1.1983e-02,4.2122e-03,4.9031e-05,4.6432e-06,5.1629e-08,,,,,,,,,,,
Sam 3,4.86707e-08,1.19241e-02,4.2301e-03,4.8978e-05,4.6835e-06,5.0870e-08,,,,,,           -4.8805,            4.2299,           -1.0748,            8.4300,           -5.0342,           -8.2304,           -1.6798,           -0.1878,           -0.0474,           -8.1155,
Ref 4,4.86587e-08,,,,,,1.1983e-02,4.2123e-03,4.9031e-05,4.6455e-06,5.0618e-08,,,,,,,,,,,
Sam 4,4.78587e-08,1.19240e-02,4.2301e-03,4.8978e-05,4.6878e-06,4.8845e-08,,,,,,           -4.8860,            4.2236,           -1.1065,            9.5381,          -37.8870,           -8.2361,           -1.6861,           -0.2076,            1.0639,          -40.8491,
Ref 5,4.79053e-08,,,,,,1.1982e-02,4.2123e-03,4.9033e-05,4.6415e-06,5.0921e-08,,,,,,,,,,,
Sam 5,4.70587e-08,1.19241e-02,4.2301e-03,4.8979e-05,4.6830e-06,5.4615e-08,,,,,,           -4.8717,            4.2314,           -1.0793,            8.1149,           43.5136,           -8.2212,           -1.6783,           -0.2028,           -0.3628,           40.2692,
Ref 6,4.71505e-08,,,,,,1.1982e-02,4.2122e-03,4.9030e-05,4.6492e-06,5.3776e-08,,,,,,,,,,,
Sam 6,4.62691e-08,1.19239e-02,4.2300e-03,4.8978e-05,4.6850e-06,5.5098e-08,,,,,,           -4.8750,            4.2325,           -1.0553,            8.2469,            6.8807,           -8.2247,           -1.6773,           -0.1765,           -0.2341,            3.7516,
Ref 7,4.64231e-08,,,,,,1.1982e-02,4.2122e-03,4.9030e-05,4.6440e-06,5.5682e-08,,,,,,,,,,,
Sam 7,4.55126e-08,1.19239e-02,4.2300e-03,4.8976e-05,4.6877e-06,5.7032e-08,,,,,,           -4.8733,            4.2192,           -1.1030,            8.9120,           37.9764,           -8.2225,           -1.6906,           -0.2128,            0.4520,           34.7758,
Ref 8,4.57124e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6485e-06,5.4197e-08,,,,,,,,,,,
Sam 8,4.47622e-08,1.19240e-02,4.2300e-03,4.8983e-05,4.6809e-06,5.6646e-08,,,,,,           -4.8773,            4.2164,           -1.0191,            7.0484,           35.6381,           -8.2266,           -1.6933,           -0.1221,           -1.3904,           32.4547,
Ref 9,4.50345e-08,,,,,,1.1982e-02,4.2123e-03,4.9035e-05,4.6478e-06,5.5203e-08,,,,,,,,,,,
Sam 9,4.40423e-08,1.19238e-02,4.2301e-03,4.8979e-05,4.6852e-06,6.1185e-08,,,,,,           -4.8925,            4.2218,           -1.1768,            8.0786,           77.9501,           -8.2430,           -1.6878,           -0.2694,           -0.3797,           74.6427,
Ref 10,4.43498e-08,,,,,,1.1982e-02,4.2123e-03,4.9040e-05,4.6475e-06,5.8342e-08,,,,,,,,,,,
Sam 10,4.33260e-08,1.19239e-02,4.2300e-03,4.8981e-05,4.6876e-06,5.9976e-08,,,,,,           -4.8854,            4.2122,           -1.1548,            8.4110,          -11.9265,           -8.2351,           -1.6975,           -0.2454,           -0.0308,          -14.9470,
Ref 11,4.36665e-08,,,,,,1.1982e-02,4.2123e-03,4.9035e-05,4.6495e-06,6.3096e-08,,,,,,,,,,,
Sam 11,4.26307e-08,1.19238e-02,4.2300e-03,4.8981e-05,4.6883e-06,6.2762e-08,,,,,,           -4.8859,            4.2142,           -1.1519,            8.1633,           25.6819,           -8.2356,           -1.6954,           -0.2440,           -0.2806,           22.5428,
Ref 12,4.30307e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6511e-06,5.9257e-08,,,,,,,,,,,
Sam 12,4.19656e-08,1.19239e-02,4.2301e-03,4.8985e-05,4.6898e-06,6.2355e-08,,,,,,           -4.8800,            4.2308,           -1.1460,            8.5118,           26.7013,           -8.2300,           -1.6790,           -0.2604,            0.0320,           23.5195,
Ref 13,4.23880e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6493e-06,6.2231e-08,,,,,,,,,,,
Sam 13,4.13015e-08,1.19238e-02,4.2300e-03,4.8983e-05,4.6879e-06,6.1115e-08,,,,,,           -4.8870,            4.2146,           -1.1988,            8.3413,           10.1271,           -8.2368,           -1.6951,           -0.2901,           -0.1047,            7.0362,
Ref 14,4.17580e-08,,,,,,1.1982e-02,4.2123e-03,4.9042e-05,4.6490e-06,5.8747e-08,,,,,,,,,,,
Sam 14,4.06371e-08,1.19237e-02,4.2300e-03,4.8988e-05,4.6878e-06,6.1375e-08,,,,,,           -4.8928,            4.1997,           -1.0466,            8.1726,           25.0196,           -8.2425,           -1.7098,           -0.1172,           -0.2426,           21.9191,
Ref 15,4.11285e-08,,,,,,1.1982e-02,4.2123e-03,4.9037e-05,4.6507e-06,6.1024e-08,,,,,,,,,,,
Sam 15,3.99960e-08,1.19236e-02,4.2300e-03,4.8983e-05,4.6890e-06,6.0548e-08,,,,,,           -4.8916,            4.2034,           -1.1323,            8.4257,          -27.4167,           -8.2414,           -1.7062,           -0.2078,            0.0012,          -30.3667,
Ref 16,4.05219e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6490e-06,6.3504e-08,,,,,,,,,,,
Sam 16,3.93736e-08,1.19236e-02,4.2300e-03,4.8983e-05,4.6907e-06,6.2513e-08,,,,,,           -4.8851,            4.2093,           -1.1703,            8.8192,            8.8974,           -8.2346,           -1.7003,           -0.2584,            0.3796,            5.8185,
Ref 17,3.99331e-08,,,,,,1.1982e-02,4.2122e-03,4.9039e-05,4.6503e-06,6.0397e-08,,,,,,,,,,,
Sam 17,3.87641e-08,1.19237e-02,4.2300e-03,4.8989e-05,4.6883e-06,6.3861e-08,,,,,,           -4.8777,            4.2162,           -1.0217,            7.7732,           14.3344,           -8.2270,           -1.6935,           -0.1241,           -0.6715,           11.2172,
Ref 18,3.93396e-08,,,,,,1.1982e-02,4.2123e-03,4.9040e-05,4.6539e-06,6.5558e-08,,,,,,,,,,,
Sam 18,3.81525e-08,1.19233e-02,4.2299e-03,4.8986e-05,4.6912e-06,6.3924e-08,,,,,,           -4.8994,            4.2001,           -1.1082,            8.4182,           12.8096,           -8.2495,           -1.7095,           -0.1724,            0.0004,            9.7525,
Ref 19,3.87673e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6501e-06,6.0636e-08,,,,,,,,,,,
Sam 19,3.75607e-08,1.19234e-02,4.2300e-03,4.8986e-05,4.6881e-06,6.6202e-08,,,,,,           -4.8815,            4.2397,           -1.0937,            7.8795,           67.6628,           -8.2319,           -1.6701,           -0.2153,           -0.6128,           64.3371,
Ref 20,3.82070e-08,,,,,,1.1982e-02,4.2121e-03,4.9039e-05,4.6528e-06,6.3397e-08,,,,,,,,,,,
Sam 20,3.69752e-08,1.19232e-02,4.2299e-03,4.8983e-05,4.6921e-06,6.3507e-08,,,,,,           -4.8849,            4.2129,           -1.1371,            8.6253,          -13.4275,           -8.2346,           -1.6968,           -0.2288,            0.1802,          -16.4453,
Ref 21,3.76532e-08,,,,,,1.1982e-02,4.2122e-03,4.9039e-05,4.6512e-06,6.5360e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.73775e-08,,,,,,1.1982e-02,4.2121e-03,4.9047e-05,4.6500e-06,6.3331e-08,
Sam 1,3.61144e-08,1.19231e-02,4.2298e-03,4.8994e-05,4.6943e-06,6.4035e-08,,,,,,           -4.8883,            4.2001,           -1.0536,            8.9787,            5.5483,           -8.2377,           -1.7095,           -0.1292,            0.5562,            2.5012,
Ref 2,3.68358e-08,,,,,,1.1982e-02,4.2120e-03,4.9045e-05,4.6551e-06,6.4039e-08,,,,,,,,,,,
Sam 2,3.55587e-08,1.19232e-02,4.2298e-03,4.8988e-05,4.6928e-06,6.7309e-08,,,,,,           -4.8683,            4.2261,           -1.1268,            8.2685,           37.2291,           -8.2173,           -1.6837,           -0.2487,           -0.1999,           34.0112,
Ref 3,3.63093e-08,,,,,,1.1981e-02,4.2120e-03,4.9042e-05,4.6535e-06,6.5760e-08,,,,,,,,,,,
Sam 3,3.50191e-08,1.19231e-02,4.2298e-03,4.8993e-05,4.6947e-06,6.6855e-08,,,,,,           -4.8683,            4.2139,           -1.0266,            8.7890,           21.8467,           -8.2169,           -1.6958,           -0.1365,            0.3406,           18.7009,
Ref 4,3.57947e-08,,,,,,1.1981e-02,4.2121e-03,4.9044e-05,4.6541e-06,6.5087e-08,,,,,,,,,,,
Sam 4,3.44891e-08,1.19230e-02,4.2298e-03,4.8989e-05,4.6950e-06,6.4367e-08,,,,,,           -4.8803,            4.2218,           -1.1072,            8.2772,           17.8604,           -8.2300,           -1.6879,           -0.2125,           -0.1828,           14.7241,
Ref 5,3.52866e-08,,,,,,1.1982e-02,4.2120e-03,4.9043e-05,4.6588e-06,6.1362e-08,,,,,,,,,,,
Sam 5,3.39729e-08,1.19229e-02,4.2297e-03,4.8982e-05,4.6932e-06,6.4272e-08,,,,,,           -4.8902,            4.1984,           -1.3302,            7.7304,           21.6447,           -8.2397,           -1.7111,           -0.4025,           -0.6784,           18.5541,
Ref 6,3.47893e-08,,,,,,1.1981e-02,4.2121e-03,4.9050e-05,4.6555e-06,6.4480e-08,,,,,,,,,,,
Sam 6,3.34659e-08,1.19228e-02,4.2297e-03,4.8995e-05,4.6925e-06,7.0060e-08,,,,,,           -4.8863,            4.1931,           -1.1346,            7.7114,           30.7216,           -8.2354,           -1.7165,           -0.2055,           -0.6866,           27.6102,
Ref 7,3.42961e-08,,,,,,1.1981e-02,4.2119e-03,4.9051e-05,4.6576e-06,7.1513e-08,,,,,,,,,,,
Sam 7,3.29694e-08,1.19227e-02,4.2297e-03,4.8985e-05,4.6938e-06,7.1635e-08,,,,,,           -4.8817,            4.2128,           -1.4031,            8.2020,           24.5067,           -8.2311,           -1.6968,           -0.4984,           -0.2394,           21.3694,
Ref 8,3.38162e-08,,,,,,1.1981e-02,4.2119e-03,4.9056e-05,4.6537e-06,6.8308e-08,,,,,,,,,,,
Sam 8,3.24833e-08,1.19226e-02,4.2296e-03,4.8989e-05,4.6951e-06,7.4430e-08,,,,,,           -4.8940,            4.2038,           -1.2686,            8.8463,           56.3748,           -8.2439,           -1.7058,           -0.3421,            0.4175,           53.1725,
Ref 9,3.33486e-08,,,,,,1.1981e-02,4.2119e-03,4.9046e-05,4.6542e-06,7.2639e-08,,,,,,,,,,,
Sam 9,3.20103e-08,1.19226e-02,4.2296e-03,4.8992e-05,4.6958e-06,7.5000e-08,,,,,,           -4.8891,            4.2264,           -1.0579,            9.1543,           32.6508,           -8.2394,           -1.6833,           -0.1585,            0.6778,           29.4692,
Ref 10,3.28854e-08,,,,,,1.1981e-02,4.2118e-03,4.9043e-05,4.6522e-06,7.2618e-08,,,,,,,,,,,
Sam 10,3.15448e-08,1.19225e-02,4.2296e-03,4.8997e-05,4.6971e-06,7.7348e-08,,,,,,           -4.8816,            4.2362,           -0.9181,            9.5405,           59.7256,           -8.2318,           -1.6736,           -0.0360,            1.0412,           56.4320,
Ref 11,3.24287e-08,,,,,,1.1981e-02,4.2117e-03,4.9040e-05,4.6533e-06,7.3365e-08,,,,,,,,,,,
Sam 11,3.10858e-08,1.19223e-02,4.2295e-03,4.8991e-05,4.6967e-06,7.6574e-08,,,,,,           -4.8863,            4.2189,           -1.0782,            8.8152,           13.2554,           -8.2362,           -1.6908,           -0.1744,            0.3565,           10.1455,
Ref 12,3.19843e-08,,,,,,1.1981e-02,4.2118e-03,4.9047e-05,4.6581e-06,7.7811e-08,,,,,,,,,,,
Sam 12,3.06419e-08,1.19224e-02,4.2295e-03,4.8993e-05,4.6939e-06,7.6044e-08,,,,,,           -4.8673,            4.2089,           -1.1313,            7.8943,            4.9240,           -8.2157,           -1.7008,           -0.2373,           -0.5367,            1.8391,
Ref 13,3.15484e-08,,,,,,1.1981e-02,4.2117e-03,4.9049e-05,4.6562e-06,7.3502e-08,,,,,,,,,,,
Sam 13,3.02033e-08,1.19222e-02,4.2294e-03,4.8990e-05,4.6927e-06,7.6361e-08,,,,,,           -4.8772,            4.2077,           -1.1313,            7.7134,           37.1620,           -8.2262,           -1.7020,           -0.2259,           -0.7137,           33.9914,
Ref 14,3.11223e-08,,,,,,1.1981e-02,4.2116e-03,4.9043e-05,4.6573e-06,7.3750e-08,,,,,,,,,,,
Sam 14,2.97725e-08,1.19221e-02,4.2293e-03,4.8989e-05,4.6896e-06,7.6883e-08,,,,,,           -4.8856,            4.1976,           -1.1297,            7.2600,           31.8708,           -8.2348,           -1.7120,           -0.2057,           -1.1431,           28.7461,
Ref 15,3.07043e-08,,,,,,1.1981e-02,4.2116e-03,4.9047e-05,4.6542e-06,7.5278e-08,,,,,,,,,,,
Sam 15,2.93505e-08,1.19220e-02,4.2293e-03,4.8984e-05,4.6950e-06,7.7410e-08,,,,,,           -4.8853,            4.2092,           -1.2689,            8.4605,           25.6954,           -8.2349,           -1.7005,           -0.3567,            0.0242,           22.5658,
Ref 16,3.02893e-08,,,,,,1.1980e-02,4.2116e-03,4.9046e-05,4.6570e-06,7.5666e-08,,,,,,,,,,,
Sam 16,2.89316e-08,1.19220e-02,4.2293e-03,4.8990e-05,4.6961e-06,7.8222e-08,,,,,,           -4.8840,            4.2009,           -1.1275,            8.7314,           26.2250,           -8.2332,           -1.7087,           -0.2083,            0.3094,           23.1091,
Ref 17,2.98818e-08,,,,,,1.1981e-02,4.2116e-03,4.9044e-05,4.6539e-06,7.6787e-08,,,,,,,,,,,
Sam 17,2.85240e-08,1.19220e-02,4.2292e-03,4.8988e-05,4.6959e-06,8.3289e-08,,,,,,           -4.8834,            4.1928,           -1.2238,            8.3919,           51.2364,           -8.2323,           -1.7168,           -0.2976,           -0.0112,           48.0603,
Ref 18,2.94821e-08,,,,,,1.1980e-02,4.2115e-03,4.9052e-05,4.6598e-06,8.1704e-08,,,,,,,,,,,
Sam 18,2.81205e-08,1.19218e-02,4.2292e-03,4.8992e-05,4.6943e-06,8.1368e-08,,,,,,           -4.8872,            4.1986,           -1.1197,            7.8312,            0.2923,           -8.2365,           -1.7110,           -0.1951,           -0.5788,           -2.7372,
Ref 19,2.90901e-08,,,,,,1.1980e-02,4.2114e-03,4.9042e-05,4.6557e-06,8.0979e-08,,,,,,,,,,,
Sam 19,2.77255e-08,1.19218e-02,4.2292e-03,4.8991e-05,4.6991e-06,8.1534e-08,,,,,,           -4.8795,            4.2162,           -0.9883,            8.9517,           23.9644,           -8.2289,           -1.6935,           -0.0888,            0.4973,           20.8196,
Ref 20,2.87025e-08,,,,,,1.1980e-02,4.2115e-03,4.9037e-05,4.6591e-06,7.8254e-08,,,,,,,,,,,
Sam 20,2.73388e-08,1.19215e-02,4.2291e-03,4.8991e-05,4.6992e-06,8.6605e-08,,,,,,           -4.8956,            4.1744,           -1.0019,            8.7126,           56.9487,           -8.2446,           -1.7350,           -0.0448,            0.3434,           53.8071,
Ref 21,2.83230e-08,,,,,,1.1980e-02,4.2115e-03,4.9043e-05,4.6581e-06,8.5673e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.81362e-08,,,,,,1.1980e-02,4.2114e-03,4.9049e-05,4.6590e-06,8.0572e-08,
Sam 1,2.67732e-08,1.19215e-02,4.2290e-03,4.8994e-05,4.6977e-06,7.9552e-08,,,,,,           -4.8924,            4.1783,           -1.0907,            8.2455,          -13.0304,           -8.2414,           -1.7312,           -0.1407,           -0.1276,          -15.9748,
Ref 2,2.77629e-08,,,,,,1.1980e-02,4.2114e-03,4.9047e-05,4.6596e-06,8.0632e-08,,,,,,,,,,,
Sam 2,2.64055e-08,1.19214e-02,4.2290e-03,4.8987e-05,4.7047e-06,7.7246e-08,,,,,,           -4.8908,            4.1819,           -1.2056,            9.6743,          -64.4382,           -8.2398,           -1.7276,           -0.2609,            1.2823,          -67.2373,
Ref 3,2.73994e-08,,,,,,1.1980e-02,4.2113e-03,4.9045e-05,4.6597e-06,8.4528e-08,,,,,,,,,,,
Sam 3,2.60433e-08,1.19215e-02,4.2290e-03,4.8993e-05,4.6972e-06,8.8915e-08,,,,,,           -4.8722,            4.1948,           -1.0664,            8.0753,           20.8802,           -8.2204,           -1.7148,           -0.1535,           -0.3291,           17.7797,
Ref 4,2.70416e-08,,,,,,1.1980e-02,4.2113e-03,4.9046e-05,4.6594e-06,8.9699e-08,,,,,,,,,,,
Sam 4,2.56886e-08,1.19211e-02,4.2289e-03,4.8988e-05,4.7014e-06,8.9795e-08,,,,,,           -4.8912,            4.1890,           -1.1794,            8.4946,           11.1501,           -8.2404,           -1.7205,           -0.2413,            0.0982,            8.1111,
Ref 5,2.66904e-08,,,,,,1.1980e-02,4.2112e-03,4.9046e-05,4.6643e-06,8.7898e-08,,,,,,,,,,,
Sam 5,2.53441e-08,1.19210e-02,4.2288e-03,4.8990e-05,4.6962e-06,9.1008e-08,,,,,,           -4.8879,            4.1852,           -1.1494,            7.1989,            9.7771,           -8.2368,           -1.7243,           -0.2111,           -1.1792,            6.7460,
Ref 6,2.63464e-08,,,,,,1.1980e-02,4.2111e-03,4.9047e-05,4.6609e-06,9.2385e-08,,,,,,,,,,,
Sam 6,2.50021e-08,1.19210e-02,4.2288e-03,4.8994e-05,4.7012e-06,8.9678e-08,,,,,,           -4.8886,            4.2024,           -1.1170,            9.1561,          -19.7149,           -8.2382,           -1.7072,           -0.1946,            0.7275,          -22.6895,
Ref 7,2.60047e-08,,,,,,1.1980e-02,4.2111e-03,4.9050e-05,4.6561e-06,9.0567e-08,,,,,,,,,,,
Sam 7,2.46677e-08,1.19208e-02,4.2287e-03,4.8997e-05,4.6947e-06,9.1133e-08,,,,,,           -4.9047,            4.1845,           -1.0832,            7.4853,           11.6092,           -8.2546,           -1.7250,           -0.1266,           -0.8937,            8.5923,
Ref 8,2.56741e-08,,,,,,1.1979e-02,4.2111e-03,4.9050e-05,4.6636e-06,8.9602e-08,,,,,,,,,,,
Sam 8,2.43382e-08,1.19208e-02,4.2287e-03,4.8987e-05,4.7015e-06,9.1265e-08,,,,,,           -4.8910,            4.1924,           -1.2180,            8.5769,           35.4569,           -8.2403,           -1.7171,           -0.2836,            0.1730,           32.3376,
Ref 9,2.53449e-08,,,,,,1.1979e-02,4.2110e-03,4.9044e-05,4.6594e-06,8.6659e-08,,,,,,,,,,,
Sam 9,2.40165e-08,1.19207e-02,4.2286e-03,4.8993e-05,4.6984e-06,8.8601e-08,,,,,,           -4.8896,            4.1879,           -1.0315,            8.2243,           46.0025,           -8.2387,           -1.7216,           -0.0939,           -0.1677,           42.8591,
Ref 10,2.50220e-08,,,,,,1.1979e-02,4.2109e-03,4.9044e-05,4.6608e-06,8.2725e-08,,,,,,,,,,,
Sam 10,2.36988e-08,1.19205e-02,4.2286e-03,4.8996e-05,4.6979e-06,8.7223e-08,,,,,,           -4.8900,            4.1983,           -0.9857,            7.7134,           40.5988,           -8.2395,           -1.7113,           -0.0578,           -0.6949,           37.4511,
Ref 11,2.47051e-08,,,,,,1.1979e-02,4.2109e-03,4.9045e-05,4.6632e-06,8.4930e-08,,,,,,,,,,,
Sam 11,2.33884e-08,1.19203e-02,4.2285e-03,4.8984e-05,4.6946e-06,8.5766e-08,,,,,,           -4.9019,            4.2011,           -1.1077,            7.1899,           -7.7055,           -8.2522,           -1.7084,           -0.1704,           -1.2198,          -10.7001,
Ref 12,2.43946e-08,,,,,,1.1979e-02,4.2108e-03,4.9032e-05,4.6590e-06,8.7954e-08,,,,,,,,,,,
Sam 12,2.30839e-08,1.19204e-02,4.2285e-03,4.8989e-05,4.6997e-06,9.2251e-08,,,,,,           -4.8896,            4.2176,           -1.0491,            8.1632,           46.7467,           -8.2397,           -1.6920,           -0.1406,           -0.2874,           43.5403,
Ref 13,2.40875e-08,,,,,,1.1979e-02,4.2107e-03,4.9050e-05,4.6643e-06,8.8310e-08,,,,,,,,,,,
Sam 13,2.27832e-08,1.19203e-02,4.2285e-03,4.8993e-05,4.7020e-06,9.0886e-08,,,,,,           -4.8875,            4.2140,           -0.9965,            8.1601,           11.8993,           -8.2373,           -1.6957,           -0.0865,           -0.2832,            8.8047,
Ref 14,2.37870e-08,,,,,,1.1979e-02,4.2108e-03,4.9035e-05,4.6637e-06,9.1343e-08,,,,,,,,,,,
Sam 14,2.24904e-08,1.19202e-02,4.2284e-03,4.8983e-05,4.7006e-06,9.0868e-08,,,,,,           -4.8808,            4.1887,           -1.1924,            7.8003,           -3.0286,           -8.2294,           -1.7209,           -0.2647,           -0.5897,           -6.0355,
Ref 15,2.34922e-08,,,,,,1.1979e-02,4.2107e-03,4.9048e-05,4.6648e-06,9.0944e-08,,,,,,,,,,,
Sam 15,2.22002e-08,1.19199e-02,4.2283e-03,4.8983e-05,4.7035e-06,1.0051e-07,,,,,,           -4.9072,            4.1858,           -1.1735,            8.6457,           81.0383,           -8.2574,           -1.7237,           -0.2156,            0.2543,           77.8144,
Ref 16,2.32005e-08,,,,,,1.1979e-02,4.2107e-03,4.9034e-05,4.6616e-06,9.5039e-08,,,,,,,,,,,
Sam 16,2.19143e-08,1.19200e-02,4.2282e-03,4.8986e-05,4.6999e-06,9.6480e-08,,,,,,           -4.8846,            4.1736,           -1.0652,            8.9750,           15.1064,           -8.2329,           -1.7359,           -0.1187,            0.6053,           12.0789,
Ref 17,2.29138e-08,,,,,,1.1978e-02,4.2106e-03,4.9042e-05,4.6545e-06,9.5050e-08,,,,,,,,,,,
Sam 17,2.16362e-08,1.19200e-02,4.2283e-03,4.8971e-05,4.7063e-06,9.3092e-08,,,,,,           -4.8838,            4.1862,           -1.4031,           10.2085,            9.7888,           -8.2325,           -1.7233,           -0.4700,            1.8034,            6.7515,
Ref 18,2.26365e-08,,,,,,1.1979e-02,4.2107e-03,4.9039e-05,4.6631e-06,8.9294e-08,,,,,,,,,,,
Sam 18,2.13616e-08,1.19198e-02,4.2283e-03,4.8980e-05,4.6946e-06,9.6005e-08,,,,,,           -4.9028,            4.1954,           -1.1988,            7.0554,          128.5819,           -8.2531,           -1.7141,           -0.2550,           -1.3419,          125.1897,
Ref 19,2.23596e-08,,,,,,1.1979e-02,4.2106e-03,4.9039e-05,4.6604e-06,8.0787e-08,,,,,,,,,,,
Sam 19,2.10893e-08,1.19198e-02,4.2281e-03,4.8984e-05,4.6997e-06,8.7392e-08,,,,,,           -4.8979,            4.1722,           -1.2125,            7.9831,           43.2681,           -8.2470,           -1.7373,           -0.2510,           -0.3756,           40.1743,
Ref 20,2.20857e-08,,,,,,1.1978e-02,4.2106e-03,4.9048e-05,4.6647e-06,8.6785e-08,,,,,,,,,,,
Sam 20,2.08210e-08,1.19198e-02,4.2282e-03,4.8989e-05,4.7044e-06,8.5985e-08,,,,,,           -4.8891,            4.1959,           -1.0841,            9.1085,          -10.5925,           -8.2384,           -1.7137,           -0.1548,            0.6933,          -13.5818,
Ref 21,2.18168e-08,,,,,,1.1978e-02,4.2105e-03,4.9036e-05,4.6592e-06,8.7027e-08,,,,,,,,,,,


