Nu Stable Isotope Analysis Program
Data Collected on Monday, February 13, 2023 at 13:03 with Stable 1.71.5 on PS019,Reanalyzed on Monday, February 13, 2023 at 14:02 with Stable 1.71.5 on PS019

Data File = Data_19308 ST1_277_A.txt,     Sample Weight = 448,                      Vial Location = 36,                       Initial Sam Beam = 1.6367e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8149e-08,                Max Ref Beam = 1.0641e-07,                

Analysis undertaken at mass 46.05341
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.60343e-08,,,,,,1.1981e-02,4.2109e-03,4.8999e-05,4.6370e-06,4.5666e-08,
Sam 1,6.52138e-08,1.20589e-02,4.2817e-03,5.0117e-05,4.7939e-06,4.8187e-08,,,,,,            6.4779,           16.7741,           22.7710,           33.5120,           37.0897,            3.4251,           10.7788,           -0.5097,           -0.3071,           -3.1657,
Ref 2,6.48975e-08,,,,,,1.1982e-02,4.2113e-03,4.9003e-05,4.6400e-06,4.7276e-08,,,,,,,,,,,
Sam 2,6.40350e-08,1.20594e-02,4.2819e-03,5.0129e-05,4.7979e-06,4.8829e-08,,,,,,            6.4636,           16.7524,           22.9295,           34.0597,           25.1474,            3.4106,           10.7572,           -0.3192,            0.2652,          -14.5883,
Ref 3,6.38063e-08,,,,,,1.1982e-02,4.2115e-03,4.9007e-05,4.6398e-06,4.7992e-08,,,,,,,,,,,
Sam 3,6.28919e-08,1.20595e-02,4.2820e-03,5.0130e-05,4.7950e-06,5.1306e-08,,,,,,            6.4608,           16.7431,           22.8329,           33.2553,           82.9491,            3.4080,           10.7480,           -0.4017,           -0.4945,           40.9948,
Ref 4,6.27374e-08,,,,,,1.1982e-02,4.2116e-03,4.9015e-05,4.6416e-06,4.6749e-08,,,,,,,,,,,
Sam 4,6.17738e-08,1.20597e-02,4.2822e-03,5.0131e-05,4.7962e-06,5.1033e-08,,,,,,            6.4610,           16.7497,           22.8533,           33.2015,           66.5137,            3.4079,           10.7545,           -0.3883,           -0.5594,           25.1829,
Ref 5,6.16924e-08,,,,,,1.1982e-02,4.2117e-03,4.9008e-05,4.6426e-06,4.8970e-08,,,,,,,,,,,
Sam 5,6.06883e-08,1.20599e-02,4.2823e-03,5.0138e-05,4.7962e-06,4.8174e-08,,,,,,            6.4680,           16.7496,           22.9740,           33.2765,           12.3783,            3.4154,           10.7544,           -0.2775,           -0.4868,          -26.8616,
Ref 6,6.06757e-08,,,,,,1.1982e-02,4.2118e-03,4.9015e-05,4.6407e-06,4.6177e-08,,,,,,,,,,,
Sam 6,5.96275e-08,1.20598e-02,4.2823e-03,5.0141e-05,4.7968e-06,5.1002e-08,,,,,,            6.4509,           16.7366,           22.9502,           33.4498,           70.9298,            3.3977,           10.7415,           -0.2707,           -0.2936,           29.4647,
Ref 7,5.96788e-08,,,,,,1.1983e-02,4.2119e-03,4.9018e-05,4.6423e-06,4.9094e-08,,,,,,,,,,,
Sam 7,5.85860e-08,1.20599e-02,4.2824e-03,5.0136e-05,4.7963e-06,4.9256e-08,,,,,,            6.4537,           16.7295,           22.8316,           32.9381,           28.1290,            3.4009,           10.7344,           -0.3826,           -0.7747,          -11.6681,
Ref 8,5.87028e-08,,,,,,1.1983e-02,4.2120e-03,4.9017e-05,4.6444e-06,4.6703e-08,,,,,,,,,,,
Sam 8,5.75714e-08,1.20600e-02,4.2825e-03,5.0141e-05,4.7969e-06,5.2143e-08,,,,,,            6.4602,           16.7379,           22.9348,           33.3782,           67.9566,            3.4075,           10.7428,           -0.2964,           -0.3653,           26.5942,
Ref 9,5.77454e-08,,,,,,1.1983e-02,4.2120e-03,4.9017e-05,4.6395e-06,5.0982e-08,,,,,,,,,,,
Sam 9,5.65776e-08,1.20600e-02,4.2826e-03,5.0146e-05,4.7978e-06,5.2183e-08,,,,,,            6.4534,           16.7546,           22.9935,           33.6840,           26.3144,            3.3997,           10.7594,           -0.2483,           -0.1024,          -13.4600,
Ref 10,5.68081e-08,,,,,,1.1983e-02,4.2121e-03,4.9022e-05,4.6435e-06,5.0706e-08,,,,,,,,,,,
Sam 10,5.56133e-08,1.20601e-02,4.2826e-03,5.0141e-05,4.7984e-06,5.3484e-08,,,,,,            6.4630,           16.7508,           22.8291,           33.1565,           60.7614,            3.4100,           10.7556,           -0.4151,           -0.6053,           19.6491,
Ref 11,5.58994e-08,,,,,,1.1983e-02,4.2121e-03,4.9022e-05,4.6455e-06,5.0129e-08,,,,,,,,,,,
Sam 11,5.46635e-08,1.20601e-02,4.2827e-03,5.0144e-05,4.7991e-06,5.5041e-08,,,,,,            6.4599,           16.7493,           22.8656,           33.2114,           84.8030,            3.4068,           10.7541,           -0.3748,           -0.5491,           42.7654,
Ref 12,5.49947e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6443e-06,5.1357e-08,,,,,,,,,,,
Sam 12,5.37317e-08,1.20600e-02,4.2827e-03,5.0152e-05,4.7981e-06,5.4934e-08,,,,,,            6.4524,           16.7306,           23.0191,           33.5950,           42.3383,            3.3995,           10.7355,           -0.1991,           -0.1413,            1.9905,
Ref 13,5.41108e-08,,,,,,1.1983e-02,4.2122e-03,4.9025e-05,4.6401e-06,5.4070e-08,,,,,,,,,,,
Sam 13,5.28252e-08,1.20600e-02,4.2827e-03,5.0146e-05,4.8003e-06,5.3998e-08,,,,,,            6.4524,           16.7330,           22.8398,           34.2764,           41.4131,            3.3994,           10.7379,           -0.3766,            0.5131,            1.0964,
Ref 14,5.32456e-08,,,,,,1.1983e-02,4.2122e-03,4.9028e-05,4.6424e-06,4.9595e-08,,,,,,,,,,,
Sam 14,5.19292e-08,1.20602e-02,4.2828e-03,5.0144e-05,4.7990e-06,5.2447e-08,,,,,,            6.4595,           16.7376,           22.7275,           33.8158,           35.1373,            3.4067,           10.7425,           -0.4980,            0.0585,           -4.9527,
Ref 15,5.23986e-08,,,,,,1.1983e-02,4.2123e-03,4.9033e-05,4.6416e-06,5.1755e-08,,,,,,,,,,,
Sam 15,5.10636e-08,1.20603e-02,4.2828e-03,5.0152e-05,4.7980e-06,5.3238e-08,,,,,,            6.4674,           16.7267,           22.7943,           33.8693,           26.8673,            3.4156,           10.7316,           -0.4304,            0.1318,          -12.8898,
Ref 16,5.15723e-08,,,,,,1.1983e-02,4.2123e-03,4.9035e-05,4.6401e-06,5.1936e-08,,,,,,,,,,,
Sam 16,5.02217e-08,1.20601e-02,4.2828e-03,5.0155e-05,4.7967e-06,5.4686e-08,,,,,,            6.4483,           16.7390,           22.8869,           33.4328,           48.9995,            3.3949,           10.7439,           -0.3322,           -0.3147,            8.3818,
Ref 17,5.07608e-08,,,,,,1.1983e-02,4.2124e-03,4.9030e-05,4.6430e-06,5.2329e-08,,,,,,,,,,,
Sam 17,4.93898e-08,1.20600e-02,4.2828e-03,5.0153e-05,4.7972e-06,5.1994e-08,,,,,,            6.4440,           16.7361,           22.9145,           33.1882,          -18.9650,            3.3903,           10.7411,           -0.2980,           -0.5457,          -56.9415,
Ref 18,4.99681e-08,,,,,,1.1983e-02,4.2123e-03,4.9029e-05,4.6432e-06,5.3678e-08,,,,,,,,,,,
Sam 18,4.85748e-08,1.20601e-02,4.2828e-03,5.0147e-05,4.7985e-06,5.3315e-08,,,,,,            6.4564,           16.7370,           22.8056,           33.3918,           55.7825,            3.4035,           10.7419,           -0.4180,           -0.3505,           14.8974,
Ref 19,4.91872e-08,,,,,,1.1983e-02,4.2123e-03,4.9029e-05,4.6436e-06,4.7267e-08,,,,,,,,,,,
Sam 19,4.77810e-08,1.20603e-02,4.2829e-03,5.0147e-05,4.7987e-06,5.0893e-08,,,,,,            6.4689,           16.7393,           22.8204,           33.5681,           67.5267,            3.4167,           10.7442,           -0.4186,           -0.1844,           26.1687,
Ref 20,4.84316e-08,,,,,,1.1983e-02,4.2124e-03,4.9028e-05,4.6421e-06,4.8086e-08,,,,,,,,,,,
Sam 20,4.70127e-08,1.20602e-02,4.2829e-03,5.0146e-05,4.7998e-06,5.1595e-08,,,,,,            6.4584,           16.7343,           22.7904,           33.7265,           77.8363,            3.4058,           10.7393,           -0.4324,           -0.0215,           36.1002,
Ref 21,4.76939e-08,,,,,,1.1983e-02,4.2124e-03,4.9030e-05,4.6442e-06,4.7649e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.73295e-08,,,,,,1.1983e-02,4.2124e-03,4.9033e-05,4.6444e-06,4.6803e-08,
Sam 1,4.58657e-08,1.20601e-02,4.2829e-03,5.0155e-05,4.7995e-06,5.0519e-08,,,,,,            6.4473,           16.7339,           22.8826,           33.3985,           77.6590,            3.3939,           10.7388,           -0.3304,           -0.3379,           35.9429,
Ref 2,4.66010e-08,,,,,,1.1983e-02,4.2125e-03,4.9032e-05,4.6444e-06,4.6955e-08,,,,,,,,,,,
Sam 2,4.51198e-08,1.20602e-02,4.2829e-03,5.0151e-05,4.8008e-06,5.1187e-08,,,,,,            6.4611,           16.7295,           22.8280,           33.7141,           58.5371,            3.4087,           10.7345,           -0.3937,           -0.0240,           17.5550,
Ref 3,4.58887e-08,,,,,,1.1983e-02,4.2125e-03,4.9032e-05,4.6440e-06,4.9780e-08,,,,,,,,,,,
Sam 3,4.43921e-08,1.20600e-02,4.2829e-03,5.0153e-05,4.7965e-06,5.1036e-08,,,,,,            6.4473,           16.7225,           22.8579,           33.0726,           47.9052,            3.3944,           10.7275,           -0.3435,           -0.6307,            7.3631,
Ref 4,4.51917e-08,,,,,,1.1983e-02,4.2124e-03,4.9034e-05,4.6419e-06,4.7608e-08,,,,,,,,,,,
Sam 4,4.36801e-08,1.20599e-02,4.2829e-03,5.0154e-05,4.7973e-06,5.0709e-08,,,,,,            6.4529,           16.7409,           22.8293,           33.3395,           46.6078,            3.3996,           10.7458,           -0.3951,           -0.4088,            6.0741,
Ref 5,4.45054e-08,,,,,,1.1983e-02,4.2124e-03,4.9036e-05,4.6432e-06,4.9307e-08,,,,,,,,,,,
Sam 5,4.29778e-08,1.20599e-02,4.2829e-03,5.0162e-05,4.7988e-06,5.0156e-08,,,,,,            6.4592,           16.7420,           23.0274,           33.3793,           32.2403,            3.4063,           10.7469,           -0.2089,           -0.3725,           -7.7458,
Ref 6,4.38203e-08,,,,,,1.1982e-02,4.2124e-03,4.9029e-05,4.6445e-06,4.7862e-08,,,,,,,,,,,
Sam 6,4.22860e-08,1.20598e-02,4.2828e-03,5.0158e-05,4.8015e-06,5.1979e-08,,,,,,            6.4661,           16.7260,           22.9848,           34.0208,           96.9212,            3.4142,           10.7309,           -0.2422,            0.2796,           54.4546,
Ref 7,4.31598e-08,,,,,,1.1982e-02,4.2123e-03,4.9034e-05,4.6425e-06,4.6904e-08,,,,,,,,,,,
Sam 7,4.16187e-08,1.20596e-02,4.2828e-03,5.0150e-05,4.8003e-06,5.3066e-08,,,,,,            6.4553,           16.7231,           22.7874,           34.1537,          142.8185,            3.4028,           10.7280,           -0.4212,            0.4140,           98.5937,
Ref 8,4.25116e-08,,,,,,1.1982e-02,4.2124e-03,4.9032e-05,4.6410e-06,4.5957e-08,,,,,,,,,,,
Sam 8,4.09632e-08,1.20595e-02,4.2828e-03,5.0157e-05,4.7979e-06,4.8703e-08,,,,,,            6.4403,           16.7203,           22.8678,           33.4454,           57.0540,            3.3870,           10.7253,           -0.3246,           -0.2659,           16.1697,
Ref 9,4.18848e-08,,,,,,1.1982e-02,4.2124e-03,4.9039e-05,4.6443e-06,4.6193e-08,,,,,,,,,,,
Sam 9,4.03346e-08,1.20596e-02,4.2828e-03,5.0160e-05,4.7950e-06,4.8660e-08,,,,,,            6.4511,           16.7154,           22.8782,           32.5355,           17.1222,            3.3987,           10.7204,           -0.3207,           -1.1363,          -22.2194,
Ref 10,4.12643e-08,,,,,,1.1982e-02,4.2123e-03,4.9037e-05,4.6434e-06,4.9513e-08,,,,,,,,,,,
Sam 10,3.97069e-08,1.20596e-02,4.2827e-03,5.0159e-05,4.8007e-06,4.7587e-08,,,,,,            6.4615,           16.7194,           22.8940,           34.1277,           26.4421,            3.4096,           10.7244,           -0.3199,            0.3961,          -13.2785,
Ref 11,4.06544e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6410e-06,4.3161e-08,,,,,,,,,,,
Sam 11,3.90931e-08,1.20594e-02,4.2828e-03,5.0154e-05,4.8008e-06,4.7474e-08,,,,,,            6.4424,           16.7354,           22.7890,           34.5876,           54.3908,            3.3887,           10.7404,           -0.4185,            0.8093,           13.5776,
Ref 12,4.00488e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6396e-06,4.6917e-08,,,,,,,,,,,
Sam 12,3.84934e-08,1.20594e-02,4.2828e-03,5.0156e-05,4.8002e-06,5.2144e-08,,,,,,            6.4471,           16.7298,           22.8887,           34.2958,          156.6068,            3.3939,           10.7347,           -0.3203,            0.5383,          111.8437,
Ref 13,3.94636e-08,,,,,,1.1982e-02,4.2123e-03,4.9032e-05,4.6426e-06,4.3222e-08,,,,,,,,,,,
Sam 13,3.79043e-08,1.20595e-02,4.2827e-03,5.0160e-05,4.7978e-06,4.4878e-08,,,,,,            6.4605,           16.7269,           22.9473,           33.5493,           29.6667,            3.4082,           10.7318,           -0.2740,           -0.1782,          -10.1921,
Ref 14,3.88892e-08,,,,,,1.1982e-02,4.2123e-03,4.9037e-05,4.6416e-06,4.3953e-08,,,,,,,,,,,
Sam 14,3.73303e-08,1.20593e-02,4.2827e-03,5.0158e-05,4.7974e-06,4.4159e-08,,,,,,            6.4484,           16.7144,           22.8853,           33.1024,          -15.8400,            3.3957,           10.7194,           -0.3100,           -0.5860,          -53.9021,
Ref 15,3.83308e-08,,,,,,1.1982e-02,4.2123e-03,4.9034e-05,4.6457e-06,4.5801e-08,,,,,,,,,,,
Sam 15,3.67641e-08,1.20593e-02,4.2827e-03,5.0152e-05,4.7959e-06,4.8774e-08,,,,,,            6.4550,           16.7152,           22.7197,           32.5079,           81.2864,            3.4027,           10.7202,           -0.4794,           -1.1626,           39.4590,
Ref 16,3.77728e-08,,,,,,1.1982e-02,4.2122e-03,4.9041e-05,4.6442e-06,4.4404e-08,,,,,,,,,,,
Sam 16,3.61994e-08,1.20592e-02,4.2826e-03,5.0157e-05,4.7956e-06,4.8409e-08,,,,,,            6.4474,           16.7191,           22.7955,           32.7405,           66.3254,            3.3946,           10.7241,           -0.4014,           -0.9454,           25.0771,
Ref 17,3.72219e-08,,,,,,1.1982e-02,4.2122e-03,4.9038e-05,4.6429e-06,4.6407e-08,,,,,,,,,,,
Sam 17,3.56522e-08,1.20590e-02,4.2826e-03,5.0153e-05,4.7963e-06,4.7457e-08,,,,,,            6.4416,           16.7296,           22.7380,           33.5223,           70.8065,            3.3880,           10.7346,           -0.4618,           -0.2097,           29.3704,
Ref 18,3.66900e-08,,,,,,1.1982e-02,4.2121e-03,4.9039e-05,4.6386e-06,4.2201e-08,,,,,,,,,,,
Sam 18,3.51174e-08,1.20590e-02,4.2825e-03,5.0154e-05,4.8014e-06,4.7772e-08,,,,,,            6.4517,           16.7157,           22.8232,           34.6219,           73.7785,            3.3992,           10.7207,           -0.3754,            0.8814,           32.2441,
Ref 19,3.61663e-08,,,,,,1.1982e-02,4.2121e-03,4.9030e-05,4.6429e-06,4.6812e-08,,,,,,,,,,,
Sam 19,3.45903e-08,1.20588e-02,4.2825e-03,5.0149e-05,4.7969e-06,4.7652e-08,,,,,,            6.4463,           16.7010,           22.8706,           33.4624,           61.9395,            3.3940,           10.7061,           -0.3092,           -0.2114,           20.8980,
Ref 20,3.56493e-08,,,,,,1.1982e-02,4.2121e-03,4.9025e-05,4.6403e-06,4.2906e-08,,,,,,,,,,,
Sam 20,3.40751e-08,1.20586e-02,4.2824e-03,5.0152e-05,4.7925e-06,4.6646e-08,,,,,,            6.4362,           16.6907,           22.9386,           33.0038,          112.6724,            3.3836,           10.6958,           -0.2226,           -0.6347,           69.7028,
Ref 21,3.51422e-08,,,,,,1.1981e-02,4.2120e-03,4.9031e-05,4.6386e-06,4.0925e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.48947e-08,,,,,,1.1981e-02,4.2120e-03,4.9029e-05,4.6378e-06,4.3475e-08,
Sam 1,3.33215e-08,1.20586e-02,4.2824e-03,5.0151e-05,4.7942e-06,4.4514e-08,,,,,,            6.4440,           16.7154,           22.8419,           33.5470,           23.1571,            3.3910,           10.7205,           -0.3489,           -0.1580,          -16.4107,
Ref 2,3.44012e-08,,,,,,1.1981e-02,4.2120e-03,4.9032e-05,4.6393e-06,4.3538e-08,,,,,,,,,,,
Sam 2,3.28315e-08,1.20584e-02,4.2823e-03,5.0148e-05,4.7986e-06,4.1600e-08,,,,,,            6.4368,           16.7085,           22.8359,           34.3772,            1.6322,            3.3837,           10.7136,           -0.3408,            0.6588,          -37.0829,
Ref 3,3.39137e-08,,,,,,1.1981e-02,4.2119e-03,4.9024e-05,4.6389e-06,3.9497e-08,,,,,,,,,,,
Sam 3,3.23516e-08,1.20584e-02,4.2822e-03,5.0151e-05,4.7990e-06,4.5086e-08,,,,,,            6.4463,           16.6926,           22.8708,           34.1877,          116.1212,            3.3943,           10.6977,           -0.3010,            0.5069,           73.0031,
Ref 4,3.34423e-08,,,,,,1.1981e-02,4.2119e-03,4.9036e-05,4.6418e-06,4.1305e-08,,,,,,,,,,,
Sam 4,3.18817e-08,1.20582e-02,4.2823e-03,5.0145e-05,4.7940e-06,4.4163e-08,,,,,,            6.4383,           16.7076,           22.7109,           32.7304,          108.3209,            3.3852,           10.7127,           -0.4637,           -0.9325,           65.4820,
Ref 5,3.29830e-08,,,,,,1.1981e-02,4.2119e-03,4.9028e-05,4.6422e-06,3.8367e-08,,,,,,,,,,,
Sam 5,3.14272e-08,1.20581e-02,4.2823e-03,5.0151e-05,4.7962e-06,4.2190e-08,,,,,,            6.4401,           16.7127,           22.8883,           33.1876,           74.7713,            3.3869,           10.7178,           -0.2970,           -0.5002,           33.2172,
Ref 6,3.25259e-08,,,,,,1.1981e-02,4.2119e-03,4.9030e-05,4.6420e-06,4.0154e-08,,,,,,,,,,,
Sam 6,3.09742e-08,1.20583e-02,4.2822e-03,5.0147e-05,4.7908e-06,4.3246e-08,,,,,,            6.4543,           16.7067,           22.7585,           32.1184,           57.3090,            3.4023,           10.7118,           -0.4326,           -1.5229,           16.4265,
Ref 7,3.20765e-08,,,,,,1.1981e-02,4.2119e-03,4.9032e-05,4.6415e-06,4.1659e-08,,,,,,,,,,,
Sam 7,3.05315e-08,1.20581e-02,4.2822e-03,5.0146e-05,4.7998e-06,3.8982e-08,,,,,,            6.4440,           16.7033,           22.7925,           34.3378,          -66.7353,            3.3915,           10.7084,           -0.3856,            0.6310,         -102.8055,
Ref 8,3.16330e-08,,,,,,1.1981e-02,4.2118e-03,4.9026e-05,4.6394e-06,4.1881e-08,,,,,,,,,,,
Sam 8,3.00968e-08,1.20580e-02,4.2822e-03,5.0146e-05,4.7922e-06,3.9646e-08,,,,,,            6.4408,           16.6860,           22.7651,           32.8825,          -24.7747,            3.3887,           10.6912,           -0.3923,           -0.7429,          -62.4322,
Ref 9,3.12039e-08,,,,,,1.1981e-02,4.2119e-03,4.9034e-05,4.6399e-06,3.9409e-08,,,,,,,,,,,
Sam 9,2.96725e-08,1.20580e-02,4.2821e-03,5.0144e-05,4.7947e-06,3.7779e-08,,,,,,            6.4439,           16.6897,           22.6534,           33.1015,          -19.7224,            3.3918,           10.6948,           -0.5082,           -0.5382,          -57.5847,
Ref 10,3.07800e-08,,,,,,1.1981e-02,4.2117e-03,4.9032e-05,4.6423e-06,3.7657e-08,,,,,,,,,,,
Sam 10,2.92581e-08,1.20578e-02,4.2820e-03,5.0147e-05,4.7934e-06,3.5979e-08,,,,,,            6.4368,           16.6979,           22.8176,           32.6232,          -30.6907,            3.3840,           10.7030,           -0.3484,           -1.0171,          -68.1373,
Ref 11,3.03629e-08,,,,,,1.1981e-02,4.2116e-03,4.9026e-05,4.6416e-06,3.6572e-08,,,,,,,,,,,
Sam 11,2.88472e-08,1.20576e-02,4.2819e-03,5.0153e-05,4.7956e-06,3.6677e-08,,,,,,            6.4343,           16.6864,           23.0464,           33.7357,            2.4659,            3.3817,           10.6916,           -0.1111,            0.0818,          -36.2376,
Ref 12,2.99518e-08,,,,,,1.1980e-02,4.2116e-03,4.9021e-05,4.6365e-06,3.6602e-08,,,,,,,,,,,
Sam 12,2.84439e-08,1.20576e-02,4.2819e-03,5.0145e-05,4.7936e-06,3.8700e-08,,,,,,            6.4395,           16.6820,           22.8902,           33.7164,           10.7364,            3.3874,           10.6872,           -0.2647,            0.0718,          -28.2834,
Ref 13,2.95503e-08,,,,,,1.1980e-02,4.2117e-03,4.9024e-05,4.6381e-06,3.9998e-08,,,,,,,,,,,
Sam 13,2.80497e-08,1.20576e-02,4.2819e-03,5.0144e-05,4.7898e-06,3.0491e-08,,,,,,            6.4368,           16.6652,           22.8513,           32.4489,         -155.0079,            3.3851,           10.6705,           -0.2839,           -1.1216,         -187.6004,
Ref 14,2.91516e-08,,,,,,1.1980e-02,4.2117e-03,4.9024e-05,4.6405e-06,3.2117e-08,,,,,,,,,,,
Sam 14,2.76639e-08,1.20574e-02,4.2819e-03,5.0146e-05,4.7951e-06,3.4918e-08,,,,,,            6.4281,           16.6798,           22.8178,           33.5083,           67.0735,            3.3754,           10.6850,           -0.3218,           -0.1252,           25.8953,
Ref 15,2.87668e-08,,,,,,1.1980e-02,4.2115e-03,4.9029e-05,4.6388e-06,3.3336e-08,,,,,,,,,,,
Sam 15,2.72845e-08,1.20575e-02,4.2818e-03,5.0132e-05,4.7945e-06,3.6655e-08,,,,,,            6.4488,           16.6673,           22.5703,           33.4560,          114.8664,            3.3978,           10.6725,           -0.5728,           -0.1512,           71.8464,
Ref 16,2.83828e-08,,,,,,1.1980e-02,4.2116e-03,4.9022e-05,4.6398e-06,3.2414e-08,,,,,,,,,,,
Sam 16,2.69094e-08,1.20573e-02,4.2818e-03,5.0137e-05,4.7916e-06,3.6488e-08,,,,,,            6.4405,           16.6824,           22.7399,           32.7647,           48.0947,            3.3885,           10.6876,           -0.4131,           -0.8498,            7.6306,
Ref 17,2.80090e-08,,,,,,1.1980e-02,4.2115e-03,4.9023e-05,4.6394e-06,3.7245e-08,,,,,,,,,,,
Sam 17,2.65433e-08,1.20570e-02,4.2817e-03,5.0144e-05,4.7936e-06,3.3845e-08,,,,,,            6.4317,           16.6749,           22.8999,           33.7778,          -24.9083,            3.3793,           10.6802,           -0.2405,            0.1450,          -62.5316,
Ref 18,2.76397e-08,,,,,,1.1980e-02,4.2114e-03,4.9020e-05,4.6345e-06,3.2140e-08,,,,,,,,,,,
Sam 18,2.61815e-08,1.20570e-02,4.2816e-03,5.0133e-05,4.7856e-06,3.3883e-08,,,,,,            6.4412,           16.6830,           22.6434,           32.3848,            6.0581,            3.3892,           10.6882,           -0.5087,           -1.2184,          -32.7848,
Ref 19,2.72813e-08,,,,,,1.1980e-02,4.2113e-03,4.9025e-05,4.6365e-06,3.5237e-08,,,,,,,,,,,
Sam 19,2.58270e-08,1.20570e-02,4.2815e-03,5.0139e-05,4.7930e-06,3.0242e-08,,,,,,            6.4536,           16.6852,           22.7555,           33.3937,         -116.9269,            3.4023,           10.6903,           -0.4139,           -0.2467,         -151.0360,
Ref 20,2.69220e-08,,,,,,1.1980e-02,4.2112e-03,4.9021e-05,4.6397e-06,3.3243e-08,,,,,,,,,,,
Sam 20,2.54770e-08,1.20568e-02,4.2815e-03,5.0133e-05,4.7900e-06,3.2538e-08,,,,,,            6.4466,           16.6843,           22.6927,           32.5979,           72.6654,            3.3948,           10.6895,           -0.4673,           -1.0150,           31.2423,
Ref 21,2.65734e-08,,,,,,1.1980e-02,4.2112e-03,4.9020e-05,4.6378e-06,2.7387e-08,,,,,,,,,,,


