Nu Stable Isotope Analysis Program
Data Collected on Tuesday, February 14, 2023 at 23:23 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, February 15, 2023 at 00:22 with Stable 1.71.5 on PS019

Data File = Data_19327 IAEA-C1.txt,       Sample Weight = 499,                      Vial Location = 5,                        Initial Sam Beam = 1.7536e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6886e-08,                Max Ref Beam = 1.0592e-07,                

Analysis undertaken at mass 46.0563
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.07784e-08,,,,,,1.1980e-02,4.2102e-03,4.8981e-05,4.6342e-06,4.6885e-08,
Sam 1,6.98636e-08,1.20419e-02,4.2572e-03,4.9748e-05,4.7365e-06,4.8789e-08,,,,,,            5.1183,           11.1079,           15.5679,           22.1098,           12.5566,            2.1733,            5.1430,           -0.6847,           -0.2245,          -14.5735,
Ref 2,6.95270e-08,,,,,,1.1981e-02,4.2106e-03,4.8989e-05,4.6338e-06,4.9506e-08,,,,,,,,,,,
Sam 2,6.85650e-08,1.20423e-02,4.2573e-03,4.9755e-05,4.7383e-06,5.0941e-08,,,,,,            5.1108,           11.0853,           15.6080,           22.3941,           21.1866,            2.1661,            5.1205,           -0.6155,            0.0985,           -6.1230,
Ref 3,6.83290e-08,,,,,,1.1981e-02,4.2107e-03,4.8992e-05,4.6351e-06,5.0269e-08,,,,,,,,,,,
Sam 3,6.73085e-08,1.20424e-02,4.2575e-03,4.9758e-05,4.7380e-06,5.2503e-08,,,,,,            5.0965,           11.0960,           15.6761,           22.1024,           44.7614,            2.1506,            5.1312,           -0.5443,           -0.2081,           16.8155,
Ref 4,6.71613e-08,,,,,,1.1981e-02,4.2109e-03,4.8989e-05,4.6360e-06,5.0238e-08,,,,,,,,,,,
Sam 4,6.60811e-08,1.20427e-02,4.2577e-03,4.9761e-05,4.7384e-06,5.0112e-08,,,,,,            5.1006,           11.0830,           15.6547,           22.2616,           32.4435,            2.1553,            5.1183,           -0.5569,           -0.0267,            4.8481,
Ref 5,6.60210e-08,,,,,,1.1982e-02,4.2111e-03,4.8999e-05,4.6345e-06,4.6807e-08,,,,,,,,,,,
Sam 5,6.48909e-08,1.20428e-02,4.2578e-03,4.9764e-05,4.7394e-06,5.0059e-08,,,,,,            5.0926,           11.0758,           15.6590,           22.4828,           73.2865,            2.1471,            5.1111,           -0.5375,            0.2040,           44.6229,
Ref 6,6.49102e-08,,,,,,1.1982e-02,4.2112e-03,4.8993e-05,4.6358e-06,4.6471e-08,,,,,,,,,,,
Sam 6,6.37283e-08,1.20429e-02,4.2579e-03,4.9765e-05,4.7405e-06,5.0122e-08,,,,,,            5.0973,           11.0850,           15.6299,           22.4025,           60.0536,            2.1518,            5.1203,           -0.5799,            0.1073,           31.7198,
Ref 7,6.38206e-08,,,,,,1.1982e-02,4.2113e-03,4.9004e-05,4.6375e-06,4.8107e-08,,,,,,,,,,,
Sam 7,6.25894e-08,1.20431e-02,4.2581e-03,4.9768e-05,4.7393e-06,4.8799e-08,,,,,,            5.1062,           11.0860,           15.6272,           21.7873,           38.2021,            2.1612,            5.1212,           -0.5925,           -0.4965,           10.4409,
Ref 8,6.27546e-08,,,,,,1.1982e-02,4.2114e-03,4.9001e-05,4.6390e-06,4.5881e-08,,,,,,,,,,,
Sam 8,6.14780e-08,1.20432e-02,4.2582e-03,4.9771e-05,4.7400e-06,5.0330e-08,,,,,,            5.1059,           11.0848,           15.6604,           21.8534,           91.2175,            2.1610,            5.1201,           -0.5585,           -0.4295,           62.0414,
Ref 9,6.17093e-08,,,,,,1.1982e-02,4.2115e-03,4.9006e-05,4.6381e-06,4.6369e-08,,,,,,,,,,,
Sam 9,6.03941e-08,1.20434e-02,4.2583e-03,4.9769e-05,4.7394e-06,4.7290e-08,,,,,,            5.1101,           11.0933,           15.5351,           21.8525,           45.0501,            2.1650,            5.1285,           -0.6943,           -0.4471,           17.0873,
Ref 10,6.06912e-08,,,,,,1.1982e-02,4.2116e-03,4.9009e-05,4.6380e-06,4.4115e-08,,,,,,,,,,,
Sam 10,5.93368e-08,1.20435e-02,4.2584e-03,4.9773e-05,4.7398e-06,4.6855e-08,,,,,,            5.1072,           11.0946,           15.5987,           22.2034,           42.0089,            2.1619,            5.1298,           -0.6300,           -0.1065,           14.1279,
Ref 11,5.96909e-08,,,,,,1.1982e-02,4.2117e-03,4.9008e-05,4.6356e-06,4.5831e-08,,,,,,,,,,,
Sam 11,5.83006e-08,1.20434e-02,4.2584e-03,4.9780e-05,4.7412e-06,4.4780e-08,,,,,,            5.1000,           11.0850,           15.7710,           22.6814,          -29.8602,            2.1546,            5.1203,           -0.4437,            0.3801,          -55.7933,
Ref 12,5.87128e-08,,,,,,1.1982e-02,4.2117e-03,4.9006e-05,4.6364e-06,4.6491e-08,,,,,,,,,,,
Sam 12,5.72890e-08,1.20436e-02,4.2585e-03,4.9778e-05,4.7395e-06,4.8526e-08,,,,,,            5.1099,           11.0840,           15.6748,           22.1485,           31.7548,            2.1652,            5.1192,           -0.5476,           -0.1392,            4.1660,
Ref 13,5.77548e-08,,,,,,1.1982e-02,4.2118e-03,4.9014e-05,4.6373e-06,4.7584e-08,,,,,,,,,,,
Sam 13,5.62997e-08,1.20436e-02,4.2585e-03,4.9780e-05,4.7413e-06,4.8442e-08,,,,,,            5.1021,           11.0765,           15.6332,           22.4045,           25.6251,            2.1571,            5.1118,           -0.5732,            0.1260,           -1.7770,
Ref 14,5.68139e-08,,,,,,1.1983e-02,4.2119e-03,4.9014e-05,4.6376e-06,4.6874e-08,,,,,,,,,,,
Sam 14,5.53327e-08,1.20436e-02,4.2587e-03,4.9783e-05,4.7398e-06,4.7111e-08,,,,,,            5.1000,           11.0977,           15.6799,           22.1330,            6.0139,            2.1542,            5.1329,           -0.5457,           -0.1814,          -20.9023,
Ref 15,5.58955e-08,,,,,,1.1982e-02,4.2119e-03,4.9016e-05,4.6367e-06,4.6783e-08,,,,,,,,,,,
Sam 15,5.43935e-08,1.20437e-02,4.2587e-03,4.9785e-05,4.7394e-06,4.6057e-08,,,,,,            5.1066,           11.0929,           15.6405,           22.1300,          -14.4220,            2.1614,            5.1281,           -0.5866,           -0.1748,          -40.7892,
Ref 16,5.49999e-08,,,,,,1.1983e-02,4.2121e-03,4.9020e-05,4.6369e-06,4.6677e-08,,,,,,,,,,,
Sam 16,5.34717e-08,1.20436e-02,4.2587e-03,4.9786e-05,4.7384e-06,4.6209e-08,,,,,,            5.0956,           11.0871,           15.6274,           21.9720,            5.0442,            2.1499,            5.1223,           -0.5826,           -0.3179,          -21.8214,
Ref 17,5.41165e-08,,,,,,1.1983e-02,4.2120e-03,4.9020e-05,4.6361e-06,4.5265e-08,,,,,,,,,,,
Sam 17,5.25640e-08,1.20437e-02,4.2587e-03,4.9785e-05,4.7402e-06,4.7731e-08,,,,,,            5.1054,           11.0869,           15.6343,           22.4802,           47.9876,            2.1603,            5.1222,           -0.5857,            0.1795,           19.9638,
Ref 18,5.32492e-08,,,,,,1.1983e-02,4.2121e-03,4.9017e-05,4.6359e-06,4.5831e-08,,,,,,,,,,,
Sam 18,5.16807e-08,1.20436e-02,4.2588e-03,4.9786e-05,4.7379e-06,4.6990e-08,,,,,,            5.0930,           11.0772,           15.6284,           22.1019,           24.0111,            2.1474,            5.1125,           -0.5693,           -0.1714,           -3.3396,
Ref 19,5.24029e-08,,,,,,1.1983e-02,4.2121e-03,4.9022e-05,4.6349e-06,4.5947e-08,,,,,,,,,,,
Sam 19,5.08166e-08,1.20437e-02,4.2587e-03,4.9792e-05,4.7392e-06,5.0382e-08,,,,,,            5.1073,           11.0644,           15.6857,           22.2655,           95.8978,            2.1631,            5.0998,           -0.5151,            0.0139,           66.6375,
Ref 20,5.15748e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6371e-06,4.6001e-08,,,,,,,,,,,
Sam 20,4.99714e-08,1.20438e-02,4.2589e-03,4.9784e-05,4.7380e-06,4.3556e-08,,,,,,            5.1079,           11.0884,           15.4866,           21.6573,          -23.6859,            2.1629,            5.1236,           -0.7350,           -0.6284,          -49.7984,
Ref 21,5.07665e-08,,,,,,1.1983e-02,4.2122e-03,4.9027e-05,4.6380e-06,4.3201e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.03664e-08,,,,,,1.1983e-02,4.2122e-03,4.9021e-05,4.6382e-06,4.2483e-08,
Sam 1,4.87252e-08,1.20437e-02,4.2589e-03,4.9784e-05,4.7387e-06,4.3473e-08,,,,,,            5.1007,           11.0943,           15.6583,           21.8184,           39.3502,            2.1551,            5.1295,           -0.5645,           -0.4825,           11.5478,
Ref 2,4.95762e-08,,,,,,1.1983e-02,4.2122e-03,4.9011e-05,4.6368e-06,4.1161e-08,,,,,,,,,,,
Sam 2,4.79155e-08,1.20436e-02,4.2588e-03,4.9781e-05,4.7377e-06,4.3010e-08,,,,,,            5.0924,           11.0710,           15.6064,           21.8959,           36.1561,            2.1471,            5.1064,           -0.5844,           -0.3606,            8.4937,
Ref 3,4.88018e-08,,,,,,1.1983e-02,4.2122e-03,4.9022e-05,4.6356e-06,4.1862e-08,,,,,,,,,,,
Sam 3,4.71269e-08,1.20435e-02,4.2589e-03,4.9791e-05,4.7375e-06,4.2481e-08,,,,,,            5.0781,           11.0674,           15.6968,           21.8998,           32.7703,            2.1319,            5.1028,           -0.4773,           -0.3498,            5.2206,
Ref 4,4.80449e-08,,,,,,1.1983e-02,4.2122e-03,4.9020e-05,4.6364e-06,4.0393e-08,,,,,,,,,,,
Sam 4,4.63533e-08,1.20436e-02,4.2589e-03,4.9790e-05,4.7342e-06,4.2573e-08,,,,,,            5.0916,           11.0822,           15.6964,           21.0934,           45.1908,            2.1458,            5.1175,           -0.5059,           -1.1678,           17.2659,
Ref 5,4.73014e-08,,,,,,1.1983e-02,4.2122e-03,4.9021e-05,4.6364e-06,4.1077e-08,,,,,,,,,,,
Sam 5,4.55968e-08,1.20437e-02,4.2589e-03,4.9791e-05,4.7370e-06,4.3060e-08,,,,,,            5.1067,           11.0824,           15.6619,           21.8578,           52.7780,            2.1618,            5.1177,           -0.5554,           -0.4205,           24.6337,
Ref 6,4.65718e-08,,,,,,1.1982e-02,4.2123e-03,4.9027e-05,4.6349e-06,4.0722e-08,,,,,,,,,,,
Sam 6,4.48554e-08,1.20435e-02,4.2589e-03,4.9790e-05,4.7364e-06,4.2460e-08,,,,,,            5.0980,           11.0604,           15.6235,           21.8239,            1.6869,            2.1533,            5.0957,           -0.5628,           -0.4100,          -25.0407,
Ref 7,4.58551e-08,,,,,,1.1982e-02,4.2123e-03,4.9021e-05,4.6357e-06,4.4080e-08,,,,,,,,,,,
Sam 7,4.41306e-08,1.20435e-02,4.2589e-03,4.9788e-05,4.7360e-06,4.3254e-08,,,,,,            5.0917,           11.0694,           15.5932,           21.9100,           27.1387,            2.1463,            5.1047,           -0.5950,           -0.3436,           -0.2790,
Ref 8,4.51537e-08,,,,,,1.1982e-02,4.2123e-03,4.9026e-05,4.6333e-06,4.0112e-08,,,,,,,,,,,
Sam 8,4.34240e-08,1.20436e-02,4.2589e-03,4.9795e-05,4.7371e-06,3.9939e-08,,,,,,            5.1018,           11.0740,           15.7328,           22.2493,           19.2384,            2.1569,            5.1093,           -0.4725,           -0.0209,           -7.9879,
Ref 9,4.44695e-08,,,,,,1.1982e-02,4.2123e-03,4.9022e-05,4.6347e-06,3.8244e-08,,,,,,,,,,,
Sam 9,4.27314e-08,1.20435e-02,4.2590e-03,4.9735e-05,4.7337e-06,3.9565e-08,,,,,,            5.1006,           11.0811,           14.5030,           21.4283,           58.0309,            2.1554,            5.1164,           -1.6883,           -0.8380,           29.7554,
Ref 10,4.37914e-08,,,,,,1.1982e-02,4.2123e-03,4.9025e-05,4.6340e-06,3.6533e-08,,,,,,,,,,,
Sam 10,4.20566e-08,1.20434e-02,4.2589e-03,4.9790e-05,4.7353e-06,3.7241e-08,,,,,,            5.0916,           11.0643,           15.6406,           21.7962,           23.8477,            2.1464,            5.0997,           -0.5433,           -0.4449,           -3.4721,
Ref 11,4.31338e-08,,,,,,1.1982e-02,4.2122e-03,4.9022e-05,4.6346e-06,3.6212e-08,,,,,,,,,,,
Sam 11,4.13939e-08,1.20433e-02,4.2588e-03,4.9791e-05,4.7346e-06,3.7600e-08,,,,,,            5.0966,           11.0728,           15.6887,           21.2183,           22.3489,            2.1514,            5.1081,           -0.5094,           -1.0270,           -4.9527,
Ref 12,4.24862e-08,,,,,,1.1982e-02,4.2121e-03,4.9021e-05,4.6378e-06,3.7353e-08,,,,,,,,,,,
Sam 12,4.07459e-08,1.20431e-02,4.2588e-03,4.9790e-05,4.7311e-06,3.6965e-08,,,,,,            5.0929,           11.0783,           15.6533,           20.6322,           56.4908,            2.1473,            5.1136,           -0.5458,           -1.6112,           28.2705,
Ref 13,4.18509e-08,,,,,,1.1982e-02,4.2122e-03,4.9023e-05,4.6330e-06,3.2588e-08,,,,,,,,,,,
Sam 13,4.01116e-08,1.20431e-02,4.2588e-03,4.9792e-05,4.7361e-06,3.4139e-08,,,,,,            5.0894,           11.0658,           15.6885,           22.2386,           79.2848,            2.1440,            5.1011,           -0.4953,           -0.0150,           50.4851,
Ref 14,4.12281e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6331e-06,3.0660e-08,,,,,,,,,,,
Sam 14,3.94844e-08,1.20432e-02,4.2588e-03,4.9787e-05,4.7326e-06,3.1398e-08,,,,,,            5.1068,           11.0859,           15.5529,           21.7431,           26.8519,            2.1618,            5.1212,           -0.6661,           -0.5396,           -0.6062,
Ref 15,4.06158e-08,,,,,,1.1982e-02,4.2121e-03,4.9025e-05,4.6306e-06,3.0492e-08,,,,,,,,,,,
Sam 15,3.88735e-08,1.20429e-02,4.2587e-03,4.9787e-05,4.7338e-06,3.6330e-08,,,,,,            5.0891,           11.0592,           15.6062,           21.9702,          149.8732,            2.1439,            5.0946,           -0.5696,           -0.2646,          119.2046,
Ref 16,4.00167e-08,,,,,,1.1982e-02,4.2122e-03,4.9020e-05,4.6336e-06,3.2714e-08,,,,,,,,,,,
Sam 16,3.82709e-08,1.20428e-02,4.2588e-03,4.9789e-05,4.7311e-06,3.0711e-08,,,,,,            5.0803,           11.0615,           15.6587,           21.4293,          -20.7201,            2.1345,            5.0969,           -0.5112,           -0.7982,          -46.8341,
Ref 17,3.94267e-08,,,,,,1.1982e-02,4.2122e-03,4.9023e-05,4.6302e-06,2.9988e-08,,,,,,,,,,,
Sam 17,3.76755e-08,1.20429e-02,4.2588e-03,4.9789e-05,4.7323e-06,3.0931e-08,,,,,,            5.0837,           11.0727,           15.5908,           22.0088,           -1.8825,            2.1377,            5.1080,           -0.5924,           -0.2534,          -28.5235,
Ref 18,3.88523e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6307e-06,3.2005e-08,,,,,,,,,,,
Sam 18,3.71058e-08,1.20428e-02,4.2586e-03,4.9790e-05,4.7350e-06,3.0982e-08,,,,,,            5.0754,           11.0397,           15.6540,           22.2343,           24.9580,            2.1300,            5.0752,           -0.4896,            0.0324,           -2.3265,
Ref 19,3.82880e-08,,,,,,1.1982e-02,4.2121e-03,4.9020e-05,4.6334e-06,2.8423e-08,,,,,,,,,,,
Sam 19,3.65390e-08,1.20427e-02,4.2587e-03,4.9791e-05,4.7302e-06,2.8404e-08,,,,,,            5.0817,           11.0567,           15.7593,           20.9699,           81.9206,            2.1361,            5.0921,           -0.4089,           -1.2382,           53.0778,
Ref 20,3.77323e-08,,,,,,1.1982e-02,4.2121e-03,4.9018e-05,4.6327e-06,2.4051e-08,,,,,,,,,,,
Sam 20,3.59758e-08,1.20427e-02,4.2587e-03,4.9781e-05,4.7325e-06,2.2302e-08,,,,,,            5.0895,           11.0617,           15.5275,           21.6178,          -36.8858,            2.1442,            5.0971,           -0.6499,           -0.6144,          -62.5783,
Ref 21,3.71870e-08,,,,,,1.1982e-02,4.2120e-03,4.9022e-05,4.6319e-06,2.2249e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.69179e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6307e-06,2.4857e-08,
Sam 1,3.51718e-08,1.20427e-02,4.2586e-03,4.9786e-05,4.7313e-06,3.0153e-08,,,,,,            5.0976,           11.0517,           15.5790,           21.7709,          303.2127,            2.1532,            5.0871,           -0.5978,           -0.4447,          268.4615,
Ref 2,3.63849e-08,,,,,,1.1982e-02,4.2120e-03,4.9021e-05,4.6303e-06,2.1393e-08,,,,,,,,,,,
Sam 2,3.46472e-08,1.20425e-02,4.2586e-03,4.9788e-05,4.7326e-06,2.5759e-08,,,,,,            5.0872,           11.0644,           15.6639,           22.3495,          137.2341,            2.1417,            5.0998,           -0.5159,            0.0962,          106.8936,
Ref 3,3.58667e-08,,,,,,1.1982e-02,4.2120e-03,4.9019e-05,4.6280e-06,2.3926e-08,,,,,,,,,,,
Sam 3,3.41334e-08,1.20424e-02,4.2585e-03,4.9779e-05,4.7323e-06,2.4108e-08,,,,,,            5.0831,           11.0569,           15.5225,           22.8352,          -24.7311,            2.1376,            5.0923,           -0.6436,            0.5862,          -50.7323,
Ref 4,3.53561e-08,,,,,,1.1981e-02,4.2119e-03,4.9017e-05,4.6253e-06,2.5525e-08,,,,,,,,,,,
Sam 4,3.36292e-08,1.20422e-02,4.2585e-03,4.9785e-05,4.7321e-06,2.4390e-08,,,,,,            5.0792,           11.0547,           15.5980,           22.6278,          -46.6591,            2.1335,            5.0901,           -0.5632,            0.3877,          -72.0680,
Ref 5,3.48518e-08,,,,,,1.1981e-02,4.2120e-03,4.9024e-05,4.6295e-06,2.5643e-08,,,,,,,,,,,
Sam 5,3.31307e-08,1.20422e-02,4.2585e-03,4.9789e-05,4.7270e-06,2.6760e-08,,,,,,            5.0893,           11.0470,           15.6445,           21.0708,          -25.0825,            2.1446,            5.0825,           -0.5203,           -1.1203,          -51.0625,
Ref 6,3.43601e-08,,,,,,1.1981e-02,4.2119e-03,4.9020e-05,4.6293e-06,2.9279e-08,,,,,,,,,,,
Sam 6,3.26463e-08,1.20420e-02,4.2584e-03,4.9787e-05,4.7263e-06,2.5891e-08,,,,,,            5.0861,           11.0590,           15.6420,           21.2477,            0.0122,            2.1408,            5.0944,           -0.5312,           -0.9710,          -26.6559,
Ref 7,3.38756e-08,,,,,,1.1981e-02,4.2118e-03,4.9020e-05,4.6267e-06,2.2455e-08,,,,,,,,,,,
Sam 7,3.21688e-08,1.20420e-02,4.2583e-03,4.9782e-05,4.7294e-06,2.3680e-08,,,,,,            5.0949,           11.0597,           15.5431,           22.5188,          120.3168,            2.1501,            5.0950,           -0.6382,            0.2711,           90.4288,
Ref 8,3.33978e-08,,,,,,1.1981e-02,4.2118e-03,4.9020e-05,4.6237e-06,1.9799e-08,,,,,,,,,,,
Sam 8,3.17020e-08,1.20418e-02,4.2583e-03,4.9776e-05,4.7257e-06,1.7666e-08,,,,,,            5.0930,           11.0578,           15.5486,           22.0499,          -72.1583,            2.1481,            5.0932,           -0.6289,           -0.1839,          -96.9063,
Ref 9,3.29348e-08,,,,,,1.1981e-02,4.2117e-03,4.9007e-05,4.6237e-06,1.8270e-08,,,,,,,,,,,
Sam 9,3.12464e-08,1.20417e-02,4.2582e-03,4.9778e-05,4.7257e-06,1.4667e-08,,,,,,            5.0871,           11.0409,           15.6567,           21.9702,         -139.1730,            2.1424,            5.0764,           -0.5001,           -0.2285,         -162.1007,
Ref 10,3.24784e-08,,,,,,1.1981e-02,4.2117e-03,4.9015e-05,4.6245e-06,1.5790e-08,,,,,,,,,,,
Sam 10,3.07968e-08,1.20417e-02,4.2582e-03,4.9782e-05,4.7265e-06,1.7605e-08,,,,,,            5.0882,           11.0448,           15.6362,           22.1215,          104.0755,            2.1435,            5.0803,           -0.5253,           -0.0881,           74.6594,
Ref 11,3.20267e-08,,,,,,1.1981e-02,4.2117e-03,4.9016e-05,4.6240e-06,1.6102e-08,,,,,,,,,,,
Sam 11,3.03558e-08,1.20416e-02,4.2582e-03,4.9779e-05,4.7285e-06,1.4609e-08,,,,,,            5.0867,           11.0355,           15.6448,           22.6639,          -51.9852,            2.1421,            5.0710,           -0.5061,            0.4610,          -77.2250,
Ref 12,3.15858e-08,,,,,,1.1981e-02,4.2117e-03,4.9008e-05,4.6235e-06,1.4708e-08,,,,,,,,,,,
Sam 12,2.99246e-08,1.20416e-02,4.2582e-03,4.9780e-05,4.7276e-06,1.3051e-08,,,,,,            5.0981,           11.0357,           15.6917,           22.1674,         -207.8058,            2.1543,            5.0712,           -0.4718,           -0.0253,         -228.9067,
Ref 13,3.11527e-08,,,,,,1.1980e-02,4.2116e-03,4.9013e-05,4.6266e-06,1.8265e-08,,,,,,,,,,,
Sam 13,2.95010e-08,1.20413e-02,4.2581e-03,4.9781e-05,4.7263e-06,1.4438e-08,,,,,,            5.0843,           11.0466,           15.7412,           21.8376,           41.5615,            2.1393,            5.0821,           -0.4197,           -0.3695,           13.8116,
Ref 14,3.07272e-08,,,,,,1.1980e-02,4.2115e-03,4.9005e-05,4.6239e-06,9.3982e-09,,,,,,,,,,,
Sam 14,2.90874e-08,1.20411e-02,4.2580e-03,4.9773e-05,4.7234e-06,9.5042e-09,,,,,,            5.0738,           11.0420,           15.6192,           21.5146,          223.7927,            2.1282,            5.0775,           -0.5244,           -0.6763,          191.2117,
Ref 15,3.03113e-08,,,,,,1.1980e-02,4.2115e-03,4.9010e-05,4.6240e-06,6.1117e-09,,,,,,,,,,,
Sam 15,2.86784e-08,1.20411e-02,4.2580e-03,4.9772e-05,4.7252e-06,8.9350e-09,,,,,,            5.0714,           11.0433,           15.5705,           22.1198,          120.9604,            2.1256,            5.0788,           -0.5711,           -0.0867,           91.1171,
Ref 16,2.99005e-08,,,,,,1.1980e-02,4.2115e-03,4.9008e-05,4.6219e-06,9.8556e-09,,,,,,,,,,,
Sam 16,2.82782e-08,1.20410e-02,4.2579e-03,4.9773e-05,4.7249e-06,1.3829e-08,,,,,,            5.0736,           11.0301,           15.6693,           22.4595,          276.7921,            2.1284,            5.0657,           -0.4634,            0.2716,          242.8291,
Ref 17,2.94992e-08,,,,,,1.1980e-02,4.2115e-03,4.9003e-05,4.6202e-06,1.1820e-08,,,,,,,,,,,
Sam 17,2.78868e-08,1.20410e-02,4.2578e-03,4.9767e-05,4.7200e-06,7.6626e-09,,,,,,            5.0860,           11.0052,           15.5411,           21.6543,         -372.7939,            2.1425,            5.0409,           -0.5780,           -0.4669,         -389.4560,
Ref 18,2.91055e-08,,,,,,1.1980e-02,4.2115e-03,4.9008e-05,4.6198e-06,1.2619e-08,,,,,,,,,,,
Sam 18,2.74992e-08,1.20409e-02,4.2578e-03,4.9757e-05,4.7208e-06,1.6894e-08,,,,,,            5.0860,           11.0077,           15.3411,           21.4047,          183.4355,            2.1424,            5.0434,           -0.7773,           -0.7160,          151.9909,
Ref 19,2.87161e-08,,,,,,1.1980e-02,4.2115e-03,4.9001e-05,4.6241e-06,1.5953e-08,,,,,,,,,,,
Sam 19,2.71182e-08,1.20408e-02,4.2578e-03,4.9775e-05,4.7234e-06,1.7349e-08,,,,,,            5.0579,           10.9965,           15.6552,           21.9178,          206.9657,            2.1128,            5.0323,           -0.4285,           -0.1919,          174.9564,
Ref 20,2.83103e-08,,,,,,1.1980e-02,4.2116e-03,4.9013e-05,4.6200e-06,1.2772e-08,,,,,,,,,,,
Sam 20,2.67439e-08,1.20406e-02,4.2577e-03,4.9764e-05,4.7204e-06,1.1106e-08,,,,,,            5.0448,           10.9918,           15.4320,           21.4665,          -81.5347,            2.0991,            5.0276,           -0.6301,           -0.6241,         -105.8722,
Ref 21,2.79590e-08,,,,,,1.1980e-02,4.2113e-03,4.9002e-05,4.6224e-06,1.1403e-08,,,,,,,,,,,


