Nu Stable Isotope Analysis Program
Data Collected on Wednesday, February 15, 2023 at 00:45 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, February 15, 2023 at 01:44 with Stable 1.71.5 on PS019

Data File = Data_19328 ST1_277_A.txt,     Sample Weight = 429,                      Vial Location = 6,                        Initial Sam Beam = 1.4797e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6089e-08,                Max Ref Beam = 1.0657e-07,                

Analysis undertaken at mass 46.05128
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.93325e-08,,,,,,1.1981e-02,4.2114e-03,4.9002e-05,4.6373e-06,4.6310e-08,
Sam 1,5.85827e-08,1.20593e-02,4.2821e-03,5.0135e-05,4.7971e-06,5.1734e-08,,,,,,            6.4782,           16.7487,           22.9630,           34.2143,           89.6093,            3.4263,           10.7535,           -0.2978,            0.4222,           47.3664,
Ref 2,5.83065e-08,,,,,,1.1982e-02,4.2118e-03,4.9017e-05,4.6394e-06,4.8670e-08,,,,,,,,,,,
Sam 2,5.73257e-08,1.20615e-02,4.2838e-03,5.0155e-05,4.7916e-06,4.8732e-08,,,,,,            6.6249,           17.0893,           23.2628,           32.7930,           17.3485,            3.5707,           11.0921,           -0.4846,           -1.6217,          -22.8884,
Ref 3,5.73711e-08,,,,,,1.1982e-02,4.2118e-03,4.9012e-05,4.6394e-06,4.7120e-08,,,,,,,,,,,
Sam 3,5.65142e-08,1.20597e-02,4.2824e-03,5.0139e-05,4.7950e-06,4.8470e-08,,,,,,            6.3984,           16.6565,           22.8278,           33.3541,           49.7951,            3.3446,           10.6620,           -0.2592,           -0.2287,            9.3608,
Ref 4,5.63517e-08,,,,,,1.1984e-02,4.2127e-03,4.9027e-05,4.6410e-06,4.5205e-08,,,,,,,,,,,
Sam 4,5.55004e-08,1.20596e-02,4.2827e-03,5.0140e-05,4.7975e-06,4.8199e-08,,,,,,            6.3854,           16.6920,           22.8086,           33.7928,           14.0768,            3.3294,           10.6973,           -0.2988,            0.1260,          -25.0352,
Ref 5,5.55233e-08,,,,,,1.1982e-02,4.2120e-03,4.9017e-05,4.6403e-06,4.9889e-08,,,,,,,,,,,
Sam 5,5.45925e-08,1.20598e-02,4.2825e-03,5.0144e-05,4.7958e-06,5.2322e-08,,,,,,            6.4592,           16.7311,           22.9111,           33.5151,           33.3674,            3.4067,           10.7360,           -0.3121,           -0.2197,           -6.6414,
Ref 6,5.46281e-08,,,,,,1.1982e-02,4.2120e-03,4.9025e-05,4.6403e-06,5.1388e-08,,,,,,,,,,,
Sam 6,5.36510e-08,1.20600e-02,4.2826e-03,5.0145e-05,4.7967e-06,5.3873e-08,,,,,,            6.4657,           16.7431,           22.8681,           33.9899,           60.9763,            3.4132,           10.7479,           -0.3723,            0.2162,           19.8680,
Ref 7,5.37515e-08,,,,,,1.1983e-02,4.2121e-03,4.9024e-05,4.6378e-06,5.0157e-08,,,,,,,,,,,
Sam 7,5.27342e-08,1.20599e-02,4.2826e-03,5.0145e-05,4.7975e-06,5.3175e-08,,,,,,            6.4628,           16.7348,           22.8593,           34.1976,           63.6075,            3.4104,           10.7397,           -0.3700,            0.4334,           22.4168,
Ref 8,5.28961e-08,,,,,,1.1982e-02,4.2121e-03,4.9026e-05,4.6400e-06,4.9832e-08,,,,,,,,,,,
Sam 8,5.18385e-08,1.20597e-02,4.2826e-03,5.0147e-05,4.7978e-06,5.2428e-08,,,,,,            6.4521,           16.7469,           22.9764,           33.8559,           37.9497,            3.3986,           10.7517,           -0.2562,            0.0791,           -2.2593,
Ref 9,5.20569e-08,,,,,,1.1982e-02,4.2121e-03,4.9016e-05,4.6413e-06,5.1202e-08,,,,,,,,,,,
Sam 9,5.09633e-08,1.20597e-02,4.2826e-03,5.0148e-05,4.7968e-06,5.3613e-08,,,,,,            6.3631,           16.5732,           22.7451,           33.5827,           56.6982,            3.3098,           10.5791,           -0.2231,            0.1564,           16.1998,
Ref 10,5.11199e-08,,,,,,1.1984e-02,4.2135e-03,4.9050e-05,4.6405e-06,5.0262e-08,,,,,,,,,,,
Sam 10,4.99650e-08,1.20612e-02,4.2836e-03,5.0156e-05,4.7929e-06,5.4086e-08,,,,,,            6.4114,           16.6015,           22.5722,           32.8439,           71.4024,            3.3603,           10.6072,           -0.4690,           -0.6141,           30.2314,
Ref 11,5.03136e-08,,,,,,1.1984e-02,4.2137e-03,4.9048e-05,4.6404e-06,5.0705e-08,,,,,,,,,,,
Sam 11,4.07848e-08,1.21172e-02,4.3272e-03,5.0526e-05,4.6187e-06,-1.3977e-08,,,,,,           11.0531,           26.9056,           30.2896,           -4.5028,        -1275.4517,            7.9467,           20.8512,           -7.5873,          -55.9848,        -1258.3927,
Ref 12,4.95009e-08,,,,,,1.1985e-02,4.2140e-03,4.9032e-05,4.6388e-06,5.0782e-08,,,,,,,,,,,
Sam 12,4.84511e-08,1.20593e-02,4.2825e-03,5.0148e-05,4.7965e-06,5.3817e-08,,,,,,            6.2963,           16.4345,           22.7404,           33.6392,           86.3725,            3.2435,           10.4412,           -0.0251,            0.4840,           45.0909,
Ref 13,4.88077e-08,,,,,,1.1983e-02,4.2126e-03,4.9034e-05,4.6419e-06,4.8276e-08,,,,,,,,,,,
Sam 13,4.76041e-08,1.20615e-02,4.2836e-03,5.0165e-05,4.7986e-06,5.0278e-08,,,,,,            6.3365,           16.3938,           22.5381,           34.3804,           65.3825,            3.2877,           10.4006,           -0.2246,            1.2817,           24.9358,
Ref 14,4.76581e-08,,,,,,1.1989e-02,4.2165e-03,4.9086e-05,4.6362e-06,4.6082e-08,,,,,,,,,,,
Sam 14,4.68314e-08,1.20597e-02,4.2830e-03,5.0156e-05,4.7982e-06,5.0474e-08,,,,,,            6.1692,           16.2349,           22.2510,           34.2613,           76.3852,            3.1151,           10.2428,           -0.1803,            1.4796,           36.0224,
Ref 15,4.73399e-08,,,,,,1.1983e-02,4.2127e-03,4.9043e-05,4.6423e-06,4.7707e-08,,,,,,,,,,,
Sam 15,4.50375e-08,1.20706e-02,4.2906e-03,5.0257e-05,4.7829e-06,4.4178e-08,,,,,,            7.2633,           18.4230,           24.7275,           30.2251,          -81.9751,            4.2043,           12.4180,           -0.9967,           -6.7107,         -121.1460,
Ref 16,4.65469e-08,,,,,,1.1984e-02,4.2133e-03,4.9046e-05,4.6428e-06,4.8546e-08,,,,,,,,,,,
Sam 16,4.53337e-08,1.20596e-02,4.2828e-03,5.0154e-05,4.7973e-06,5.1214e-08,,,,,,            6.3761,           16.6265,           22.7243,           33.4614,           68.4415,            3.3218,           10.6321,           -0.3083,           -0.0658,           27.3729,
Ref 17,4.59164e-08,,,,,,1.1982e-02,4.2123e-03,4.9033e-05,4.6412e-06,4.7312e-08,,,,,,,,,,,
Sam 17,4.46128e-08,1.20595e-02,4.2827e-03,5.0158e-05,4.7989e-06,5.2062e-08,,,,,,            6.4504,           16.7117,           22.8928,           33.7565,           99.4122,            3.3980,           10.7168,           -0.3022,            0.0521,           56.8958,
Ref 18,4.52159e-08,,,,,,1.1982e-02,4.2123e-03,4.9037e-05,4.6431e-06,4.7397e-08,,,,,,,,,,,
Sam 18,4.38941e-08,1.20593e-02,4.2827e-03,5.0154e-05,4.7985e-06,5.0820e-08,,,,,,            6.4249,           16.6992,           22.7934,           33.3619,           41.0228,            3.3713,           10.7043,           -0.3611,           -0.3050,            0.8158,
Ref 19,4.45142e-08,,,,,,1.1983e-02,4.2125e-03,4.9035e-05,4.6441e-06,5.0261e-08,,,,,,,,,,,
Sam 19,4.31570e-08,1.20606e-02,4.2833e-03,5.0156e-05,4.7976e-06,5.2633e-08,,,,,,            6.5293,           16.8320,           22.8607,           33.5122,           66.7805,            3.4778,           10.8363,           -0.5307,           -0.4208,           25.2020,
Ref 20,4.38564e-08,,,,,,1.1982e-02,4.2123e-03,4.9035e-05,4.6400e-06,4.8401e-08,,,,,,,,,,,
Sam 20,4.24514e-08,1.20620e-02,4.2839e-03,5.0165e-05,4.7971e-06,5.1726e-08,,,,,,            6.6700,           17.0076,           23.0317,           33.5209,           34.0355,            3.6215,           11.0107,           -0.6774,           -0.7576,           -6.7517,
Ref 21,4.31749e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6431e-06,5.1671e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.28712e-08,,,,,,1.1982e-02,4.2122e-03,4.9034e-05,4.6429e-06,5.3413e-08,
Sam 1,4.14829e-08,1.20593e-02,4.2826e-03,5.0151e-05,4.7989e-06,5.6787e-08,,,,,,            6.4544,           16.7088,           22.7541,           33.3184,           92.1377,            3.4023,           10.7138,           -0.4390,           -0.3661,           49.9042,
Ref 2,4.22090e-08,,,,,,1.1982e-02,4.2123e-03,4.9038e-05,4.6453e-06,5.0557e-08,,,,,,,,,,,
Sam 2,4.08145e-08,1.20591e-02,4.2826e-03,5.0151e-05,4.8005e-06,5.3397e-08,,,,,,            6.3451,           16.5489,           22.5827,           33.8016,           94.1532,            3.2916,           10.5549,           -0.3400,            0.4161,           52.2887,
Ref 3,4.14447e-08,,,,,,1.1984e-02,4.2135e-03,4.9050e-05,4.6417e-06,4.7015e-08,,,,,,,,,,,
Sam 3,4.01660e-08,1.20591e-02,4.2826e-03,5.0147e-05,4.7982e-06,5.2287e-08,,,,,,            6.2453,           16.3956,           22.3642,           33.2821,           17.2142,            3.1906,           10.4026,           -0.3031,            0.2150,          -21.3130,
Ref 4,4.08616e-08,,,,,,1.1984e-02,4.2136e-03,4.9050e-05,4.6456e-06,5.5852e-08,,,,,,,,,,,
Sam 4,3.95295e-08,1.20595e-02,4.2830e-03,5.0103e-05,4.7966e-06,5.6246e-08,,,,,,            6.3789,           16.6307,           21.6475,           33.0235,           26.3237,            3.3247,           10.6363,           -1.3678,           -0.4977,          -13.1369,
Ref 5,4.03633e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6409e-06,5.3742e-08,,,,,,,,,,,
Sam 5,3.89008e-08,1.20593e-02,4.2827e-03,5.0085e-05,4.7926e-06,5.7348e-08,,,,,,            6.4804,           16.7169,           21.4145,           32.2669,           78.1015,            3.4297,           10.7219,           -1.7827,           -1.3992,           36.3661,
Ref 6,3.97531e-08,,,,,,1.1982e-02,4.2123e-03,4.9037e-05,4.6448e-06,5.2637e-08,,,,,,,,,,,
Sam 6,3.83060e-08,1.20589e-02,4.2824e-03,5.0147e-05,4.7999e-06,5.4439e-08,,,,,,            6.4558,           16.6699,           22.6899,           33.5557,           29.7114,            3.4051,           10.6752,           -0.4656,           -0.0600,          -10.0350,
Ref 7,3.91825e-08,,,,,,1.1982e-02,4.2121e-03,4.9032e-05,4.6433e-06,5.3102e-08,,,,,,,,,,,
Sam 7,3.77127e-08,1.20590e-02,4.2826e-03,5.0154e-05,4.7995e-06,5.7069e-08,,,,,,            6.4590,           16.7190,           22.9156,           33.5800,           56.6617,            3.4069,           10.7240,           -0.2957,           -0.1330,           15.7751,
Ref 8,3.85831e-08,,,,,,1.1982e-02,4.2122e-03,4.9029e-05,4.6439e-06,5.4928e-08,,,,,,,,,,,
Sam 8,3.71051e-08,1.20592e-02,4.2828e-03,5.0167e-05,4.7998e-06,5.3512e-08,,,,,,            6.4703,           16.7613,           23.1749,           33.5277,           -9.8819,            3.4175,           10.7660,           -0.0948,           -0.2667,          -48.2828,
Ref 9,3.80402e-08,,,,,,1.1982e-02,4.2122e-03,4.9032e-05,4.6443e-06,5.3150e-08,,,,,,,,,,,
Sam 9,3.65619e-08,1.20588e-02,4.2825e-03,5.0158e-05,4.8012e-06,5.5608e-08,,,,,,            6.4514,           16.7072,           22.9074,           33.8353,           43.7823,            3.3992,           10.7123,           -0.2846,            0.1371,            3.4250,
Ref 10,3.74930e-08,,,,,,1.1981e-02,4.2120e-03,4.9037e-05,4.6437e-06,5.3402e-08,,,,,,,,,,,
Sam 10,3.60068e-08,1.20587e-02,4.2824e-03,5.0156e-05,4.7981e-06,5.4662e-08,,,,,,            6.4520,           16.7160,           22.8451,           33.4059,           25.0090,            3.3995,           10.7210,           -0.3546,           -0.2956,          -14.6398,
Ref 11,3.69518e-08,,,,,,1.1981e-02,4.2120e-03,4.9035e-05,4.6423e-06,5.3255e-08,,,,,,,,,,,
Sam 11,3.54630e-08,1.20585e-02,4.2824e-03,5.0153e-05,4.7988e-06,5.5687e-08,,,,,,            6.4416,           16.6986,           22.8570,           34.0571,           15.3768,            3.3891,           10.7037,           -0.3155,            0.3687,          -23.8558,
Ref 12,3.64211e-08,,,,,,1.1981e-02,4.2121e-03,4.9030e-05,4.6392e-06,5.6456e-08,,,,,,,,,,,
Sam 12,3.49303e-08,1.20585e-02,4.2824e-03,5.0147e-05,4.7988e-06,5.9459e-08,,,,,,            6.4430,           16.6954,           22.7013,           33.8223,           56.3856,            3.3906,           10.7006,           -0.4659,            0.1478,           15.5732,
Ref 13,3.58918e-08,,,,,,1.1981e-02,4.2120e-03,4.9038e-05,4.6444e-06,5.6113e-08,,,,,,,,,,,
Sam 13,3.44091e-08,1.20583e-02,4.2823e-03,5.0153e-05,4.7991e-06,5.7268e-08,,,,,,            6.4333,           16.6830,           22.7890,           33.2285,           21.7866,            3.3807,           10.6882,           -0.3583,           -0.4023,          -17.6554,
Ref 14,3.53890e-08,,,,,,1.1981e-02,4.2120e-03,4.9033e-05,4.6450e-06,5.5980e-08,,,,,,,,,,,
Sam 14,3.38974e-08,1.20584e-02,4.2823e-03,5.0163e-05,4.7983e-06,5.6196e-08,,,,,,            6.4538,           16.6967,           23.0407,           33.0286,           41.7980,            3.4021,           10.7018,           -0.1466,           -0.6226,            1.5352,
Ref 15,3.48881e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6447e-06,5.1874e-08,,,,,,,,,,,
Sam 15,3.33957e-08,1.20583e-02,4.2822e-03,5.0159e-05,4.8016e-06,5.4540e-08,,,,,,            6.4512,           16.6917,           22.9592,           33.6548,           53.4362,            3.3995,           10.6968,           -0.2187,           -0.0068,           12.7364,
Ref 16,3.43981e-08,,,,,,1.1981e-02,4.2119e-03,4.9034e-05,4.6458e-06,5.1672e-08,,,,,,,,,,,
Sam 16,3.29018e-08,1.20583e-02,4.2823e-03,5.0151e-05,4.8012e-06,5.7125e-08,,,,,,            6.4489,           16.7121,           22.7938,           33.4795,           86.8172,            3.3964,           10.7171,           -0.3977,           -0.2167,           44.7888,
Ref 17,3.39170e-08,,,,,,1.1981e-02,4.2119e-03,4.9032e-05,4.6456e-06,5.3464e-08,,,,,,,,,,,
Sam 17,3.24161e-08,1.20580e-02,4.2822e-03,5.0156e-05,4.8016e-06,5.3353e-08,,,,,,            6.4312,           16.6986,           22.8283,           33.7431,            9.1367,            3.3780,           10.7037,           -0.3329,            0.0649,          -29.8442,
Ref 18,3.34420e-08,,,,,,1.1981e-02,4.2119e-03,4.9041e-05,4.6441e-06,5.2267e-08,,,,,,,,,,,
Sam 18,3.19392e-08,1.20581e-02,4.2822e-03,5.0161e-05,4.7988e-06,5.8203e-08,,,,,,            6.4433,           16.7099,           22.8698,           33.0780,           98.9897,            3.3905,           10.7150,           -0.3157,           -0.6008,           56.5013,
Ref 19,3.29748e-08,,,,,,1.1981e-02,4.2118e-03,4.9039e-05,4.6463e-06,5.3663e-08,,,,,,,,,,,
Sam 19,3.14727e-08,1.20581e-02,4.2822e-03,5.0160e-05,4.8013e-06,5.3702e-08,,,,,,            6.4449,           16.6998,           22.9530,           33.1380,           15.2447,            3.3926,           10.7050,           -0.2263,           -0.5229,          -23.9886,
Ref 20,3.25189e-08,,,,,,1.1981e-02,4.2118e-03,4.9030e-05,4.6483e-06,5.2117e-08,,,,,,,,,,,
Sam 20,3.10160e-08,1.20579e-02,4.2821e-03,5.0158e-05,4.8003e-06,5.9071e-08,,,,,,            6.4397,           16.6852,           22.9519,           32.9790,          104.9497,            3.3875,           10.6904,           -0.2078,           -0.6480,           62.2858,
Ref 21,3.20697e-08,,,,,,1.1981e-02,4.2118e-03,4.9035e-05,4.6457e-06,5.4821e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.18484e-08,,,,,,1.1981e-02,4.2117e-03,4.9032e-05,4.6491e-06,5.6151e-08,
Sam 1,3.03472e-08,1.20578e-02,4.2819e-03,5.0155e-05,4.8029e-06,5.7703e-08,,,,,,            6.4479,           16.6807,           22.8711,           33.3194,           56.3993,            3.3964,           10.6859,           -0.2908,           -0.3098,           15.6101,
Ref 2,3.14114e-08,,,,,,1.1980e-02,4.2117e-03,4.9036e-05,4.6471e-06,5.3073e-08,,,,,,,,,,,
Sam 2,2.99153e-08,1.20576e-02,4.2820e-03,5.0151e-05,4.8015e-06,5.2607e-08,,,,,,            6.4375,           16.6901,           22.7210,           33.3847,           -0.8173,            3.3850,           10.6953,           -0.4360,           -0.2652,          -39.4042,
Ref 3,3.09821e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6458e-06,5.2221e-08,,,,,,,,,,,
Sam 3,2.94879e-08,1.20575e-02,4.2819e-03,5.0159e-05,4.8014e-06,5.4042e-08,,,,,,            6.4315,           16.6881,           22.8830,           33.4301,           31.6627,            3.3787,           10.6933,           -0.2695,           -0.2173,           -8.1684,
Ref 4,3.05605e-08,,,,,,1.1980e-02,4.2116e-03,4.9036e-05,4.6463e-06,5.2549e-08,,,,,,,,,,,
Sam 4,2.90701e-08,1.20576e-02,4.2819e-03,5.0153e-05,4.8065e-06,5.8343e-08,,,,,,            6.4485,           16.6893,           22.7321,           34.2620,           66.8479,            3.3968,           10.6945,           -0.4357,            0.5852,           25.6374,
Ref 5,3.01454e-08,,,,,,1.1980e-02,4.2116e-03,4.9040e-05,4.6482e-06,5.6856e-08,,,,,,,,,,,
Sam 5,2.86606e-08,1.20576e-02,4.2818e-03,5.0158e-05,4.7996e-06,6.4087e-08,,,,,,            6.4553,           16.6876,           22.8321,           32.9797,          118.8003,            3.4040,           10.6928,           -0.3432,           -0.6520,           75.5788,
Ref 6,2.97403e-08,,,,,,1.1980e-02,4.2115e-03,4.9037e-05,4.6445e-06,5.7714e-08,,,,,,,,,,,
Sam 6,2.82586e-08,1.20571e-02,4.2817e-03,5.0149e-05,4.8021e-06,6.0069e-08,,,,,,            6.4363,           16.6879,           22.7766,           33.7297,           31.4431,            3.3838,           10.6931,           -0.3783,            0.0730,           -8.3842,
Ref 7,2.93403e-08,,,,,,1.1980e-02,4.2114e-03,4.9026e-05,4.6462e-06,5.8769e-08,,,,,,,,,,,
Sam 7,2.78646e-08,1.20568e-02,4.2817e-03,5.0152e-05,4.8044e-06,6.4070e-08,,,,,,            6.4281,           16.6839,           22.8831,           34.5457,           61.8434,            3.3752,           10.6892,           -0.2620,            0.8702,           20.8588,
Ref 8,2.89462e-08,,,,,,1.1980e-02,4.2114e-03,4.9034e-05,4.6417e-06,6.1929e-08,,,,,,,,,,,
Sam 8,2.74754e-08,1.20570e-02,4.2816e-03,5.0148e-05,4.7990e-06,6.4027e-08,,,,,,            6.4471,           16.6731,           22.6877,           33.2462,           -0.4625,            3.3958,           10.6783,           -0.4618,           -0.3656,          -39.0412,
Ref 9,2.85583e-08,,,,,,1.1980e-02,4.2113e-03,4.9037e-05,4.6474e-06,6.6214e-08,,,,,,,,,,,
Sam 9,2.70940e-08,1.20569e-02,4.2815e-03,5.0163e-05,4.8023e-06,7.2036e-08,,,,,,            6.4468,           16.6764,           23.0165,           33.4284,           70.2834,            3.3954,           10.6816,           -0.1434,           -0.1960,           28.9677,
Ref 10,2.81764e-08,,,,,,1.1980e-02,4.2113e-03,4.9033e-05,4.6465e-06,6.8413e-08,,,,,,,,,,,
Sam 10,2.67205e-08,1.20568e-02,4.2815e-03,5.0156e-05,4.8034e-06,6.8781e-08,,,,,,            6.4349,           16.6696,           22.9383,           33.5963,           13.1522,            3.3830,           10.6748,           -0.2011,           -0.0200,          -25.9329,
Ref 11,2.78060e-08,,,,,,1.1980e-02,4.2113e-03,4.9030e-05,4.6481e-06,6.7356e-08,,,,,,,,,,,
Sam 11,2.63551e-08,1.20568e-02,4.2815e-03,5.0149e-05,4.8027e-06,7.0399e-08,,,,,,            6.4485,           16.6774,           22.8193,           33.4095,           56.7484,            3.3971,           10.6826,           -0.3388,           -0.2162,           15.9515,
Ref 12,2.74393e-08,,,,,,1.1979e-02,4.2112e-03,4.9031e-05,4.6467e-06,6.5871e-08,,,,,,,,,,,
Sam 12,2.59953e-08,1.20567e-02,4.2815e-03,5.0151e-05,4.8053e-06,6.6861e-08,,,,,,            6.4488,           16.6923,           22.8232,           33.9215,           27.9563,            3.3969,           10.6975,           -0.3498,            0.2498,          -11.7579,
Ref 13,2.70797e-08,,,,,,1.1979e-02,4.2112e-03,4.9033e-05,4.6485e-06,6.4203e-08,,,,,,,,,,,
Sam 13,2.56447e-08,1.20564e-02,4.2814e-03,5.0145e-05,4.8033e-06,5.8508e-08,,,,,,            6.4313,           16.6759,           22.6685,           33.2587,          -39.1126,            3.3789,           10.6812,           -0.4673,           -0.3591,          -76.1893,
Ref 14,2.67291e-08,,,,,,1.1979e-02,4.2112e-03,4.9033e-05,4.6489e-06,5.7533e-08,,,,,,,,,,,
Sam 14,2.53012e-08,1.20565e-02,4.2815e-03,5.0161e-05,4.8075e-06,6.7706e-08,,,,,,            6.4446,           16.6975,           23.0222,           34.0799,          111.0245,            3.3922,           10.7026,           -0.1559,            0.3929,           68.0950,
Ref 15,2.63839e-08,,,,,,1.1979e-02,4.2111e-03,4.9030e-05,4.6492e-06,6.4392e-08,,,,,,,,,,,
Sam 15,2.49616e-08,1.20564e-02,4.2813e-03,5.0151e-05,4.8090e-06,6.7803e-08,,,,,,            6.4360,           16.6610,           22.8805,           34.2190,          -20.0174,            3.3844,           10.6663,           -0.2503,            0.5994,          -57.8082,
Ref 16,2.60446e-08,,,,,,1.1979e-02,4.2111e-03,4.9027e-05,4.6506e-06,7.4046e-08,,,,,,,,,,,
Sam 16,2.46269e-08,1.20562e-02,4.2812e-03,5.0156e-05,4.8089e-06,7.4272e-08,,,,,,            6.4313,           16.6562,           22.9421,           33.7578,           30.9744,            3.3795,           10.6616,           -0.1807,            0.1624,           -8.7688,
Ref 17,2.57079e-08,,,,,,1.1979e-02,4.2110e-03,4.9035e-05,4.6531e-06,7.0008e-08,,,,,,,,,,,
Sam 17,2.42955e-08,1.20561e-02,4.2812e-03,5.0154e-05,4.8055e-06,6.3833e-08,,,,,,            6.4366,           16.6817,           22.8587,           33.0739,          -84.7596,            3.3843,           10.6869,           -0.2924,           -0.5494,         -120.0896,
Ref 18,2.53768e-08,,,,,,1.1979e-02,4.2110e-03,4.9032e-05,4.6502e-06,6.9477e-08,,,,,,,,,,,
Sam 18,2.39710e-08,1.20561e-02,4.2811e-03,5.0147e-05,4.7959e-06,7.7707e-08,,,,,,            6.4399,           16.6750,           22.6770,           31.2619,           37.6253,            3.3880,           10.6803,           -0.4668,           -2.2892,           -2.4197,
Ref 19,2.50518e-08,,,,,,1.1979e-02,4.2109e-03,4.9038e-05,4.6509e-06,8.0371e-08,,,,,,,,,,,
Sam 19,2.36551e-08,1.20559e-02,4.2812e-03,5.0155e-05,4.8075e-06,8.1655e-08,,,,,,            6.4358,           16.6875,           22.8596,           33.6340,           65.8277,            3.3833,           10.6927,           -0.2962,           -0.0188,           24.6740,
Ref 20,2.47333e-08,,,,,,1.1979e-02,4.2109e-03,4.9031e-05,4.6512e-06,7.2803e-08,,,,,,,,,,,
Sam 20,2.33404e-08,1.20559e-02,4.2811e-03,5.0149e-05,4.8027e-06,7.2191e-08,,,,,,            6.4387,           16.6801,           22.7292,           32.8751,           22.4807,            3.3866,           10.6853,           -0.4194,           -0.7384,          -16.9881,
Ref 21,2.44177e-08,,,,,,1.1979e-02,4.2108e-03,4.9037e-05,4.6486e-06,6.8376e-08,,,,,,,,,,,


