Nu Stable Isotope Analysis Program
Data Collected on Wednesday, February 15, 2023 at 02:07 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, February 15, 2023 at 03:05 with Stable 1.71.5 on PS019

Data File = Data_19329 KDW_51_0_A.txt,    Sample Weight = 442,                      Vial Location = 7,                        Initial Sam Beam = 1.5073e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5383e-08,                Max Ref Beam = 1.0596e-07,                

Analysis undertaken at mass 46.05129
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.04380e-08,,,,,,1.1981e-02,4.2112e-03,4.9005e-05,4.6402e-06,5.0690e-08,
Sam 1,5.96545e-08,1.20497e-02,4.2613e-03,4.9851e-05,4.7527e-06,5.1674e-08,,,,,,            5.6891,           11.8594,           17.1883,           24.1238,           38.5519,            2.7549,            5.8896,           -0.4066,            0.2583,            8.6404,
Ref 2,5.94131e-08,,,,,,1.1982e-02,4.2116e-03,4.9013e-05,4.6413e-06,4.8805e-08,,,,,,,,,,,
Sam 2,5.85899e-08,1.20498e-02,4.2615e-03,4.9860e-05,4.7519e-06,5.0061e-08,,,,,,            5.6611,           11.8319,           17.2783,           23.6325,           40.1848,            2.7260,            5.8623,           -0.2627,           -0.1673,           10.3102,
Ref 3,5.84368e-08,,,,,,1.1982e-02,4.2117e-03,4.9013e-05,4.6431e-06,4.7439e-08,,,,,,,,,,,
Sam 3,5.75586e-08,1.20500e-02,4.2616e-03,4.9857e-05,4.7511e-06,5.2369e-08,,,,,,            5.6743,           11.8315,           17.2206,           23.1719,           59.7834,            2.7400,            5.8619,           -0.3326,           -0.6164,           29.3322,
Ref 4,5.74832e-08,,,,,,1.1982e-02,4.2117e-03,4.9014e-05,4.6438e-06,5.1423e-08,,,,,,,,,,,
Sam 4,5.65517e-08,1.20501e-02,4.2616e-03,4.9862e-05,4.7532e-06,5.3364e-08,,,,,,            5.6758,           11.8312,           17.2486,           23.6768,           57.1343,            2.7417,            5.8615,           -0.3064,           -0.1225,           26.7583,
Ref 5,5.65493e-08,,,,,,1.1982e-02,4.2118e-03,4.9019e-05,4.6428e-06,4.9522e-08,,,,,,,,,,,
Sam 5,5.55706e-08,1.20503e-02,4.2617e-03,4.9855e-05,4.7518e-06,5.0107e-08,,,,,,            5.6776,           11.8368,           17.0618,           23.4704,           29.7874,            2.7434,            5.8672,           -0.4973,           -0.3354,            0.1843,
Ref 6,5.56352e-08,,,,,,1.1982e-02,4.2119e-03,4.9019e-05,4.6428e-06,4.7780e-08,,,,,,,,,,,
Sam 6,5.46093e-08,1.20502e-02,4.2618e-03,4.9861e-05,4.7541e-06,5.1802e-08,,,,,,            5.6663,           11.8326,           17.2126,           24.1055,           96.4351,            2.7315,            5.8630,           -0.3334,            0.2933,           64.9376,
Ref 7,5.47561e-08,,,,,,1.1982e-02,4.2120e-03,4.9016e-05,4.6417e-06,4.6702e-08,,,,,,,,,,,
Sam 7,5.36911e-08,1.20504e-02,4.2619e-03,4.9864e-05,4.7526e-06,4.9230e-08,,,,,,            5.6862,           11.8484,           17.2803,           24.0299,           43.3839,            2.7522,            5.8787,           -0.3026,            0.1883,           13.3580,
Ref 8,5.38701e-08,,,,,,1.1982e-02,4.2120e-03,4.9018e-05,4.6405e-06,4.7673e-08,,,,,,,,,,,
Sam 8,5.27602e-08,1.20503e-02,4.2618e-03,4.9863e-05,4.7532e-06,5.0062e-08,,,,,,            5.6756,           11.8304,           17.2306,           23.9695,           31.6531,            2.7415,            5.8608,           -0.3231,            0.1649,            2.0110,
Ref 9,5.30116e-08,,,,,,1.1982e-02,4.2120e-03,4.9019e-05,4.6433e-06,4.9393e-08,,,,,,,,,,,
Sam 9,5.18636e-08,1.20502e-02,4.2618e-03,4.9864e-05,4.7520e-06,5.1010e-08,,,,,,            5.6674,           11.8194,           17.1817,           23.2661,           62.9531,            2.7332,            5.8498,           -0.3521,           -0.5005,           32.4427,
Ref 10,5.21707e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6446e-06,4.6562e-08,,,,,,,,,,,
Sam 10,5.09884e-08,1.20503e-02,4.2619e-03,4.9866e-05,4.7526e-06,4.9048e-08,,,,,,            5.6760,           11.8407,           17.2078,           23.5844,           43.1130,            2.7416,            5.8710,           -0.3559,           -0.2316,           13.1210,
Ref 11,5.13468e-08,,,,,,1.1982e-02,4.2120e-03,4.9020e-05,4.6416e-06,4.7487e-08,,,,,,,,,,,
Sam 11,5.01344e-08,1.20502e-02,4.2619e-03,4.9862e-05,4.7500e-06,5.0462e-08,,,,,,            5.6671,           11.8323,           17.1502,           23.3400,           73.5175,            2.7324,            5.8627,           -0.3953,           -0.4538,           42.6780,
Ref 12,5.05420e-08,,,,,,1.1982e-02,4.2121e-03,4.9022e-05,4.6417e-06,4.6517e-08,,,,,,,,,,,
Sam 12,4.92980e-08,1.20503e-02,4.2619e-03,4.9866e-05,4.7507e-06,4.6831e-08,,,,,,            5.6740,           11.8251,           17.2004,           23.0988,            3.6499,            2.7400,            5.8555,           -0.3460,           -0.6751,          -25.1759,
Ref 13,4.97514e-08,,,,,,1.1982e-02,4.2121e-03,4.9023e-05,4.6452e-06,4.6807e-08,,,,,,,,,,,
Sam 13,4.84772e-08,1.20503e-02,4.2619e-03,4.9861e-05,4.7548e-06,4.7447e-08,,,,,,            5.6767,           11.8254,           17.0986,           23.6039,           41.5034,            2.7429,            5.8558,           -0.4492,           -0.1824,           11.5869,
Ref 14,4.89741e-08,,,,,,1.1982e-02,4.2122e-03,4.9022e-05,4.6452e-06,4.4285e-08,,,,,,,,,,,
Sam 14,4.76757e-08,1.20500e-02,4.2620e-03,4.9867e-05,4.7544e-06,4.4603e-08,,,,,,            5.6577,           11.8190,           17.2291,           23.7719,           19.2557,            2.7228,            5.8495,           -0.2951,           -0.0056,           -9.9894,
Ref 15,4.82134e-08,,,,,,1.1982e-02,4.2122e-03,4.9023e-05,4.6429e-06,4.3226e-08,,,,,,,,,,,
Sam 15,4.68895e-08,1.20503e-02,4.2620e-03,4.9866e-05,4.7496e-06,4.4317e-08,,,,,,            5.6828,           11.8270,           17.1476,           23.1646,           -0.4251,            2.7493,            5.8574,           -0.4087,           -0.6146,          -29.1464,
Ref 16,4.74656e-08,,,,,,1.1982e-02,4.2122e-03,4.9027e-05,4.6412e-06,4.5463e-08,,,,,,,,,,,
Sam 16,4.61227e-08,1.20501e-02,4.2620e-03,4.9869e-05,4.7528e-06,4.9035e-08,,,,,,            5.6652,           11.8222,           17.1952,           23.9359,           94.1740,            2.7307,            5.8527,           -0.3393,            0.1482,           62.7641,
Ref 17,4.67396e-08,,,,,,1.1982e-02,4.2122e-03,4.9024e-05,4.6422e-06,4.4157e-08,,,,,,,,,,,
Sam 17,4.53759e-08,1.20500e-02,4.2620e-03,4.9865e-05,4.7534e-06,4.2985e-08,,,,,,            5.6603,           11.8351,           17.1451,           23.7667,           -4.0741,            2.7251,            5.8655,           -0.3960,           -0.0424,          -32.6828,
Ref 18,4.60248e-08,,,,,,1.1982e-02,4.2121e-03,4.9025e-05,4.6440e-06,4.2150e-08,,,,,,,,,,,
Sam 18,4.46444e-08,1.20502e-02,4.2621e-03,4.9869e-05,4.7524e-06,4.5769e-08,,,,,,            5.6747,           11.8489,           17.2265,           23.2864,          106.6636,            2.7399,            5.8792,           -0.3441,           -0.5389,           74.8287,
Ref 19,4.53250e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6446e-06,4.0552e-08,,,,,,,,,,,
Sam 19,4.39242e-08,1.20502e-02,4.2620e-03,4.9867e-05,4.7485e-06,4.2069e-08,,,,,,            5.6828,           11.8223,           17.2423,           22.5933,           29.2428,            2.7494,            5.8527,           -0.3111,           -1.1635,           -0.3219,
Ref 20,4.46330e-08,,,,,,1.1982e-02,4.2122e-03,4.9018e-05,4.6426e-06,4.1201e-08,,,,,,,,,,,
Sam 20,4.32144e-08,1.20500e-02,4.2620e-03,4.9870e-05,4.7518e-06,4.1660e-08,,,,,,            5.6713,           11.8228,           17.3438,           23.6372,           25.9466,            2.7372,            5.8532,           -0.2000,           -0.1446,           -3.5122,
Ref 21,4.39591e-08,,,,,,1.1982e-02,4.2122e-03,4.9022e-05,4.6415e-06,4.0002e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.36276e-08,,,,,,1.1982e-02,4.2122e-03,4.9025e-05,4.6448e-06,4.1716e-08,
Sam 1,4.21762e-08,1.20500e-02,4.2620e-03,4.9867e-05,4.7530e-06,4.0489e-08,,,,,,            5.6748,           11.8188,           17.0673,           23.6798,           28.0046,            2.7410,            5.8493,           -0.4715,           -0.0953,           -1.5093,
Ref 2,4.29691e-08,,,,,,1.1982e-02,4.2122e-03,4.9035e-05,4.6412e-06,3.7020e-08,,,,,,,,,,,
Sam 2,4.15004e-08,1.20499e-02,4.2620e-03,4.9876e-05,4.7550e-06,3.8382e-08,,,,,,            5.6628,           11.8258,           17.1896,           24.3085,            6.0868,            2.7280,            5.8563,           -0.3458,            0.5050,          -22.7988,
Ref 3,4.23229e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6431e-06,3.9297e-08,,,,,,,,,,,
Sam 3,4.08380e-08,1.20498e-02,4.2619e-03,4.9863e-05,4.7529e-06,4.1426e-08,,,,,,            5.6734,           11.8144,           17.0734,           23.8939,            4.0527,            2.7397,            5.8448,           -0.4597,            0.1228,          -24.7637,
Ref 4,4.16907e-08,,,,,,1.1982e-02,4.2121e-03,4.9020e-05,4.6408e-06,4.3251e-08,,,,,,,,,,,
Sam 4,4.01915e-08,1.20498e-02,4.2620e-03,4.9869e-05,4.7477e-06,4.3383e-08,,,,,,            5.6817,           11.8257,           17.1653,           23.4702,           66.7313,            2.7482,            5.8561,           -0.3890,           -0.3137,           36.0839,
Ref 5,4.10710e-08,,,,,,1.1982e-02,4.2122e-03,4.9035e-05,4.6369e-06,3.8048e-08,,,,,,,,,,,
Sam 5,3.95596e-08,1.20497e-02,4.2620e-03,4.9877e-05,4.7497e-06,4.0505e-08,,,,,,            5.6693,           11.8195,           17.2706,           24.1945,           91.4464,            2.7351,            5.8500,           -0.2667,            0.4062,           60.1158,
Ref 6,4.04600e-08,,,,,,1.1982e-02,4.2121e-03,4.9024e-05,4.6382e-06,3.6161e-08,,,,,,,,,,,
Sam 6,3.89358e-08,1.20496e-02,4.2620e-03,4.9879e-05,4.7485e-06,3.4398e-08,,,,,,            5.6689,           11.8561,           17.4077,           23.4427,          -45.5605,            2.7335,            5.8864,           -0.1672,           -0.4005,          -73.0238,
Ref 7,3.98622e-08,,,,,,1.1982e-02,4.2121e-03,4.9028e-05,4.6413e-06,3.5918e-08,,,,,,,,,,,
Sam 7,3.83341e-08,1.20494e-02,4.2619e-03,4.9869e-05,4.7498e-06,3.9248e-08,,,,,,            5.6627,           11.8116,           17.1309,           23.4354,           89.3278,            2.7284,            5.8421,           -0.3895,           -0.3197,           58.0817,
Ref 8,3.92625e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6409e-06,3.6143e-08,,,,,,,,,,,
Sam 8,3.77411e-08,1.20495e-02,4.2619e-03,4.9866e-05,4.7497e-06,3.7671e-08,,,,,,            5.6655,           11.8095,           17.0530,           23.2689,           14.3874,            2.7315,            5.8400,           -0.4670,           -0.4782,          -14.7080,
Ref 9,3.87021e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6424e-06,3.8145e-08,,,,,,,,,,,
Sam 9,3.71620e-08,1.20495e-02,4.2618e-03,4.9871e-05,4.7525e-06,3.9779e-08,,,,,,            5.6756,           11.8099,           17.2265,           23.7367,           65.3710,            2.7422,            5.8404,           -0.3072,           -0.0221,           34.8012,
Ref 10,3.81389e-08,,,,,,1.1981e-02,4.2121e-03,4.9024e-05,4.6422e-06,3.6519e-08,,,,,,,,,,,
Sam 10,3.65947e-08,1.20492e-02,4.2619e-03,4.9867e-05,4.7475e-06,3.5763e-08,,,,,,            5.6352,           11.7850,           17.1553,           23.1637,           26.3154,            2.7001,            5.8157,           -0.3117,           -0.5326,           -3.0429,
Ref 11,3.75616e-08,,,,,,1.1982e-02,4.2123e-03,4.9028e-05,4.6377e-06,3.3148e-08,,,,,,,,,,,
Sam 11,3.60234e-08,1.20494e-02,4.2618e-03,4.9868e-05,4.7450e-06,3.2300e-08,,,,,,            5.6460,           11.7831,           17.1740,           22.4389,           18.8752,            2.7116,            5.8138,           -0.3025,           -1.2369,          -10.2779,
Ref 12,3.70412e-08,,,,,,1.1981e-02,4.2120e-03,4.9025e-05,4.6441e-06,3.0234e-08,,,,,,,,,,,
Sam 12,3.54840e-08,1.20492e-02,4.2618e-03,4.9870e-05,4.7496e-06,3.1586e-08,,,,,,            5.6618,           11.8372,           17.2235,           23.4749,           52.5705,            2.7266,            5.8675,           -0.3225,           -0.3316,           22.3288,
Ref 13,3.65073e-08,,,,,,1.1981e-02,4.2119e-03,4.9025e-05,4.6371e-06,2.9780e-08,,,,,,,,,,,
Sam 13,3.49631e-08,1.20490e-02,4.2617e-03,4.9863e-05,4.7452e-06,3.3954e-08,,,,,,            5.6591,           11.8308,           17.1711,           23.2143,          169.1530,            2.7240,            5.8612,           -0.3650,           -0.5736,          135.5790,
Ref 14,3.59864e-08,,,,,,1.1981e-02,4.2119e-03,4.9017e-05,4.6380e-06,2.8293e-08,,,,,,,,,,,
Sam 14,3.44406e-08,1.20490e-02,4.2617e-03,4.9868e-05,4.7475e-06,2.9761e-08,,,,,,            5.6634,           11.8093,           17.2716,           23.8831,           31.5694,            2.7293,            5.8398,           -0.2498,            0.1222,            1.9838,
Ref 15,3.54655e-08,,,,,,1.1981e-02,4.2120e-03,4.9026e-05,4.6355e-06,2.9415e-08,,,,,,,,,,,
Sam 15,3.39211e-08,1.20489e-02,4.2617e-03,4.9867e-05,4.7479e-06,2.8993e-08,,,,,,            5.6598,           11.8061,           17.2431,           24.1607,          -41.2823,            2.7255,            5.8367,           -0.2710,            0.3996,          -68.7693,
Ref 16,3.49626e-08,,,,,,1.1981e-02,4.2119e-03,4.9018e-05,4.6362e-06,3.1081e-08,,,,,,,,,,,
Sam 16,3.34251e-08,1.20489e-02,4.2615e-03,4.9866e-05,4.7454e-06,3.0124e-08,,,,,,            5.6607,           11.7922,           17.2589,           22.9818,           -0.4711,            2.7269,            5.8228,           -0.2429,           -0.7245,          -29.1028,
Ref 17,3.44787e-08,,,,,,1.1981e-02,4.2118e-03,4.9022e-05,4.6413e-06,2.9183e-08,,,,,,,,,,,
Sam 17,3.29280e-08,1.20489e-02,4.2616e-03,4.9860e-05,4.7503e-06,2.8233e-08,,,,,,            5.6731,           11.8133,           17.0882,           24.2590,           71.7045,            2.7395,            5.8438,           -0.4439,            0.4814,           40.9488,
Ref 18,3.39953e-08,,,,,,1.1981e-02,4.2118e-03,4.9023e-05,4.6342e-06,2.3465e-08,,,,,,,,,,,
Sam 18,3.24416e-08,1.20486e-02,4.2616e-03,4.9856e-05,4.7448e-06,3.0817e-08,,,,,,            5.6636,           11.8039,           16.9732,           23.7150,          216.4466,            2.7297,            5.8345,           -0.5380,           -0.0314,          181.5706,
Ref 19,3.35114e-08,,,,,,1.1981e-02,4.2119e-03,4.9025e-05,4.6356e-06,2.7229e-08,,,,,,,,,,,
Sam 19,3.19597e-08,1.20486e-02,4.2616e-03,4.9864e-05,4.7455e-06,3.1740e-08,,,,,,            5.6641,           11.8231,           17.1765,           23.4957,          151.1952,            2.7296,            5.8536,           -0.3574,           -0.2836,          118.1477,
Ref 20,3.30488e-08,,,,,,1.1981e-02,4.2117e-03,4.9019e-05,4.6375e-06,2.7919e-08,,,,,,,,,,,
Sam 20,3.14951e-08,1.20486e-02,4.2615e-03,4.9857e-05,4.7452e-06,3.3316e-08,,,,,,            5.6622,           11.8139,           17.0475,           23.5567,          125.9979,            2.7278,            5.8444,           -0.4733,           -0.2057,           93.6956,
Ref 21,3.25896e-08,,,,,,1.1981e-02,4.2117e-03,4.9024e-05,4.6345e-06,3.1281e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.23641e-08,,,,,,1.1981e-02,4.2118e-03,4.9017e-05,4.6360e-06,3.3946e-08,
Sam 1,3.08135e-08,1.20485e-02,4.2614e-03,4.9859e-05,4.7460e-06,3.2021e-08,,,,,,            5.6690,           11.7876,           17.1893,           23.5217,          -67.1095,            2.7360,            5.8182,           -0.3154,           -0.1880,          -93.8322,
Ref 2,3.19155e-08,,,,,,1.1981e-02,4.2117e-03,4.9015e-05,4.6378e-06,3.4709e-08,,,,,,,,,,,
Sam 2,3.03599e-08,1.20483e-02,4.2615e-03,4.9859e-05,4.7472e-06,3.7306e-08,,,,,,            5.6605,           11.8179,           17.0949,           23.8220,          129.3207,            2.7259,            5.8484,           -0.4289,            0.0454,           96.9164,
Ref 3,3.14764e-08,,,,,,1.1980e-02,4.2117e-03,4.9026e-05,4.6355e-06,3.1336e-08,,,,,,,,,,,
Sam 3,2.99329e-08,1.20483e-02,4.2614e-03,4.9856e-05,4.7467e-06,3.0347e-08,,,,,,            5.6595,           11.8157,           17.0889,           23.7873,           -6.6960,            2.7249,            5.8461,           -0.4316,            0.0161,          -35.1922,
Ref 4,3.10441e-08,,,,,,1.1980e-02,4.2117e-03,4.9010e-05,4.6373e-06,2.9756e-08,,,,,,,,,,,
Sam 4,2.95066e-08,1.20482e-02,4.2613e-03,4.9851e-05,4.7444e-06,2.7616e-08,,,,,,            5.6647,           11.7910,           17.0255,           23.5499,          -40.9358,            2.7313,            5.8216,           -0.4752,           -0.1672,          -68.4102,
Ref 5,3.06203e-08,,,,,,1.1980e-02,4.2115e-03,4.9023e-05,4.6331e-06,2.7821e-08,,,,,,,,,,,
Sam 5,2.90866e-08,1.20481e-02,4.2612e-03,4.9855e-05,4.7451e-06,2.9613e-08,,,,,,            5.6647,           11.7937,           17.0532,           23.9474,           59.1262,            2.7311,            5.8243,           -0.4505,            0.2159,           28.7801,
Ref 6,3.02057e-08,,,,,,1.1980e-02,4.2115e-03,4.9015e-05,4.6352e-06,2.8102e-08,,,,,,,,,,,
Sam 6,2.86773e-08,1.20482e-02,4.2612e-03,4.9851e-05,4.7475e-06,2.8882e-08,,,,,,            5.6731,           11.7898,           17.0156,           24.0451,          -66.2042,            2.7403,            5.8204,           -0.4923,            0.3189,          -92.9606,
Ref 7,2.97983e-08,,,,,,1.1980e-02,4.2116e-03,4.9019e-05,4.6369e-06,3.3797e-08,,,,,,,,,,,
Sam 7,2.82740e-08,1.20480e-02,4.2612e-03,4.9855e-05,4.7438e-06,3.4777e-08,,,,,,            5.6623,           11.7850,           17.0708,           23.6504,           62.1301,            2.7289,            5.8156,           -0.4224,           -0.0571,           31.7179,
Ref 8,2.94006e-08,,,,,,1.1980e-02,4.2115e-03,4.9017e-05,4.6314e-06,3.1675e-08,,,,,,,,,,,
Sam 8,2.78787e-08,1.20478e-02,4.2611e-03,4.9865e-05,4.7432e-06,2.8959e-08,,,,,,            5.6547,           11.7925,           17.3531,           23.6081,          -65.6516,            2.7205,            5.8231,           -0.1444,           -0.1133,          -92.4109,
Ref 9,2.89907e-08,,,,,,1.1980e-02,4.2115e-03,4.9010e-05,4.6363e-06,3.0303e-08,,,,,,,,,,,
Sam 9,2.74886e-08,1.20478e-02,4.2610e-03,4.9855e-05,4.7484e-06,2.9780e-08,,,,,,            5.6634,           11.7813,           17.1645,           24.7252,           28.1829,            2.7302,            5.8119,           -0.3278,            1.0001,           -1.2512,
Ref 10,2.86106e-08,,,,,,1.1980e-02,4.2114e-03,4.9016e-05,4.6314e-06,2.7606e-08,,,,,,,,,,,
Sam 10,2.71084e-08,1.20476e-02,4.2610e-03,4.9851e-05,4.7451e-06,3.3944e-08,,,,,,            5.6564,           11.7668,           17.1808,           25.0968,          302.6147,            2.7232,            5.7975,           -0.2905,            1.3918,          265.3692,
Ref 11,2.81930e-08,,,,,,1.1980e-02,4.2115e-03,4.9002e-05,4.6265e-06,2.4488e-08,,,,,,,,,,,
Sam 11,2.67329e-08,1.20474e-02,4.2609e-03,4.9849e-05,4.7421e-06,2.7966e-08,,,,,,            5.6575,           11.7551,           17.1953,           24.5687,           85.0326,            2.7249,            5.7859,           -0.2661,            0.8991,           54.0312,
Ref 12,2.78560e-08,,,,,,1.1980e-02,4.2112e-03,4.9010e-05,4.6303e-06,2.7076e-08,,,,,,,,,,,
Sam 12,2.63685e-08,1.20473e-02,4.2609e-03,4.9853e-05,4.7428e-06,3.0394e-08,,,,,,            5.6608,           11.8030,           17.2964,           23.6491,           83.2816,            2.7267,            5.8335,           -0.2167,           -0.0939,           52.2286,
Ref 13,2.74886e-08,,,,,,1.1980e-02,4.2112e-03,4.9001e-05,4.6362e-06,2.9052e-08,,,,,,,,,,,
Sam 13,2.60084e-08,1.20473e-02,4.2608e-03,4.9849e-05,4.7410e-06,3.4246e-08,,,,,,            5.6520,           11.7693,           17.1534,           23.2126,           82.3411,            2.7185,            5.8000,           -0.3154,           -0.4537,           51.3938,
Ref 14,2.71274e-08,,,,,,1.1980e-02,4.2112e-03,4.9016e-05,4.6307e-06,3.4263e-08,,,,,,,,,,,
Sam 14,2.56567e-08,1.20472e-02,4.2608e-03,4.9847e-05,4.7447e-06,3.6966e-08,,,,,,            5.6546,           11.7667,           16.9216,           24.1269,          136.9718,            2.7213,            5.7974,           -0.5433,            0.4446,          104.4649,
Ref 15,2.67708e-08,,,,,,1.1979e-02,4.2113e-03,4.9018e-05,4.6352e-06,3.0739e-08,,,,,,,,,,,
Sam 15,2.53097e-08,1.20470e-02,4.2608e-03,4.9846e-05,4.7428e-06,2.9391e-08,,,,,,            5.6518,           11.7895,           16.9738,           23.1708,           83.5746,            2.7176,            5.8201,           -0.5113,           -0.5345,           52.5508,
Ref 16,2.64244e-08,,,,,,1.1979e-02,4.2110e-03,4.9010e-05,4.6355e-06,2.3461e-08,,,,,,,,,,,
Sam 16,2.49638e-08,1.20469e-02,4.2607e-03,4.9853e-05,4.7426e-06,2.6969e-08,,,,,,            5.6513,           11.7886,           17.2253,           23.4172,           40.3273,            2.7171,            5.8192,           -0.2628,           -0.2919,           10.5440,
Ref 17,2.60823e-08,,,,,,1.1979e-02,4.2110e-03,4.9007e-05,4.6327e-06,2.8417e-08,,,,,,,,,,,
Sam 17,2.46356e-08,1.20468e-02,4.2607e-03,4.9846e-05,4.7442e-06,2.7415e-08,,,,,,            5.6533,           11.8091,           17.2121,           23.8134,           15.7712,            2.7185,            5.8396,           -0.2977,            0.0546,          -13.3504,
Ref 18,2.57480e-08,,,,,,1.1979e-02,4.2108e-03,4.8999e-05,4.6350e-06,2.5543e-08,,,,,,,,,,,
Sam 18,2.43053e-08,1.20466e-02,4.2606e-03,4.9848e-05,4.7461e-06,3.3997e-08,,,,,,            5.6408,           11.8110,           17.3491,           24.4079,          304.4831,            2.7052,            5.8416,           -0.1522,            0.6314,          267.0960,
Ref 19,2.54164e-08,,,,,,1.1979e-02,4.2110e-03,4.8998e-05,4.6311e-06,2.6587e-08,,,,,,,,,,,
Sam 19,2.39835e-08,1.20467e-02,4.2605e-03,4.9842e-05,4.7415e-06,2.8436e-08,,,,,,            5.6558,           11.7882,           17.0794,           23.5801,          -12.7117,            2.7219,            5.8188,           -0.4104,           -0.1321,          -40.9803,
Ref 20,2.50943e-08,,,,,,1.1979e-02,4.2109e-03,4.9013e-05,4.6334e-06,3.1047e-08,,,,,,,,,,,
Sam 20,2.36673e-08,1.20465e-02,4.2604e-03,4.9843e-05,4.7441e-06,3.5639e-08,,,,,,            5.6598,           11.7697,           17.0258,           23.5414,          140.3730,            2.7268,            5.8004,           -0.4492,           -0.1334,          107.7562,
Ref 21,2.47765e-08,,,,,,1.1979e-02,4.2109e-03,4.9003e-05,4.6365e-06,3.1459e-08,,,,,,,,,,,


