Nu Stable Isotope Analysis Program
Data Collected on Wednesday, February 15, 2023 at 11:01 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, February 15, 2023 at 12:00 with Stable 1.71.5 on PS019

Data File = Data_19335 KDW2_101_9A_A.txt, Sample Weight = 481,                      Vial Location = 13,                       Initial Sam Beam = 1.5828e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1017e-08,                Max Ref Beam = 1.0614e-07,                

Analysis undertaken at mass 46.05631
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.36744e-08,,,,,,1.1981e-02,4.2108e-03,4.8997e-05,4.6392e-06,5.0683e-08,
Sam 1,6.28510e-08,1.20309e-02,4.2560e-03,4.9706e-05,4.7382e-06,5.2360e-08,,,,,,            4.1338,           10.6809,           14.3574,           21.1861,           45.1081,            1.1402,            4.7202,           -0.4519,           -0.2836,           19.0125,
Ref 2,6.25798e-08,,,,,,1.1982e-02,4.2112e-03,4.9008e-05,4.6406e-06,4.9507e-08,,,,,,,,,,,
Sam 2,6.17188e-08,1.20311e-02,4.2561e-03,4.9714e-05,4.7380e-06,5.3124e-08,,,,,,            4.1239,           10.6376,           14.3682,           21.1346,           49.1652,            1.1312,            4.6772,           -0.3889,           -0.2484,           23.0653,
Ref 3,6.15341e-08,,,,,,1.1982e-02,4.2113e-03,4.9012e-05,4.6392e-06,5.1781e-08,,,,,,,,,,,
Sam 3,6.06183e-08,1.20313e-02,4.2562e-03,4.9717e-05,4.7394e-06,5.3489e-08,,,,,,            4.1246,           10.6407,           14.3989,           21.5585,           14.9865,            1.1319,            4.6802,           -0.3624,            0.1606,          -10.2698,
Ref 4,6.05152e-08,,,,,,1.1982e-02,4.2114e-03,4.9011e-05,4.6395e-06,5.3634e-08,,,,,,,,,,,
Sam 4,5.95414e-08,1.20316e-02,4.2563e-03,4.9721e-05,4.7397e-06,5.3484e-08,,,,,,            4.1335,           10.6518,           14.4736,           21.3527,           11.5187,            1.1410,            4.6913,           -0.3089,           -0.0631,          -13.6821,
Ref 5,5.95135e-08,,,,,,1.1982e-02,4.2115e-03,4.9012e-05,4.6418e-06,5.2103e-08,,,,,,,,,,,
Sam 5,5.84984e-08,1.20316e-02,4.2564e-03,4.9718e-05,4.7394e-06,5.4444e-08,,,,,,            4.1339,           10.6636,           14.3644,           21.1643,           57.6994,            1.1410,            4.7030,           -0.4283,           -0.2708,           31.3239,
Ref 6,5.85366e-08,,,,,,1.1982e-02,4.2116e-03,4.9016e-05,4.6406e-06,5.0834e-08,,,,,,,,,,,
Sam 6,5.74739e-08,1.20316e-02,4.2564e-03,4.9719e-05,4.7394e-06,5.3473e-08,,,,,,            4.1269,           10.6412,           14.3645,           21.1207,           36.1377,            1.1343,            4.6808,           -0.3992,           -0.2692,           10.3514,
Ref 7,5.75819e-08,,,,,,1.1982e-02,4.2116e-03,4.9014e-05,4.6421e-06,5.2394e-08,,,,,,,,,,,
Sam 7,5.64746e-08,1.20317e-02,4.2565e-03,4.9727e-05,4.7420e-06,5.3440e-08,,,,,,            4.1291,           10.6480,           14.4843,           21.3257,           29.8110,            1.1364,            4.6875,           -0.2900,           -0.0819,            4.1666,
Ref 8,5.66465e-08,,,,,,1.1982e-02,4.2117e-03,4.9020e-05,4.6438e-06,5.1384e-08,,,,,,,,,,,
Sam 8,5.54997e-08,1.20316e-02,4.2565e-03,4.9728e-05,4.7413e-06,5.5252e-08,,,,,,            4.1173,           10.6314,           14.4060,           21.1781,           28.8027,            1.1244,            4.6710,           -0.3389,           -0.1936,            3.2283,
Ref 9,5.57323e-08,,,,,,1.1982e-02,4.2118e-03,4.9023e-05,4.6421e-06,5.6064e-08,,,,,,,,,,,
Sam 9,5.45450e-08,1.20318e-02,4.2567e-03,4.9725e-05,4.7414e-06,5.5875e-08,,,,,,            4.1279,           10.6484,           14.3340,           21.3340,            4.0629,            1.1351,            4.6879,           -0.4372,           -0.0746,          -20.9398,
Ref 10,5.48357e-08,,,,,,1.1982e-02,4.2118e-03,4.9021e-05,4.6426e-06,5.5227e-08,,,,,,,,,,,
Sam 10,5.36091e-08,1.20318e-02,4.2567e-03,4.9730e-05,4.7424e-06,5.7811e-08,,,,,,            4.1263,           10.6350,           14.4386,           21.2405,           23.9247,            1.1338,            4.6746,           -0.3195,           -0.1397,           -1.5450,
Ref 11,5.39532e-08,,,,,,1.1982e-02,4.2119e-03,4.9023e-05,4.6450e-06,5.7714e-08,,,,,,,,,,,
Sam 11,5.26996e-08,1.20318e-02,4.2568e-03,4.9729e-05,4.7438e-06,5.7815e-08,,,,,,            4.1221,           10.6507,           14.3893,           21.2327,           14.0081,            1.1288,            4.6902,           -0.3791,           -0.1783,          -11.2406,
Ref 12,5.30949e-08,,,,,,1.1982e-02,4.2119e-03,4.9025e-05,4.6454e-06,5.6307e-08,,,,,,,,,,,
Sam 12,5.18077e-08,1.20320e-02,4.2568e-03,4.9733e-05,4.7452e-06,5.8303e-08,,,,,,            4.1461,           10.6537,           14.4240,           21.4713,           36.2975,            1.1543,            4.6931,           -0.3724,            0.0494,           10.4622,
Ref 13,5.22503e-08,,,,,,1.1982e-02,4.2119e-03,4.9027e-05,4.6456e-06,5.6214e-08,,,,,,,,,,,
Sam 13,5.09394e-08,1.20318e-02,4.2568e-03,4.9728e-05,4.7430e-06,5.8422e-08,,,,,,            4.1250,           10.6455,           14.3621,           20.7118,           32.8616,            1.1322,            4.6850,           -0.4039,           -0.6780,            7.1505,
Ref 14,5.14274e-08,,,,,,1.1982e-02,4.2120e-03,4.9021e-05,4.6478e-06,5.6919e-08,,,,,,,,,,,
Sam 14,5.00904e-08,1.20319e-02,4.2569e-03,4.9732e-05,4.7442e-06,6.2743e-08,,,,,,            4.1350,           10.6477,           14.4133,           20.9062,           84.5751,            1.1427,            4.6872,           -0.3657,           -0.4921,           57.5610,
Ref 15,5.06144e-08,,,,,,1.1982e-02,4.2120e-03,4.9030e-05,4.6463e-06,5.8798e-08,,,,,,,,,,,
Sam 15,4.92576e-08,1.20317e-02,4.2568e-03,4.9736e-05,4.7470e-06,6.2287e-08,,,,,,            4.1225,           10.6399,           14.3836,           21.2639,           50.4838,            1.1296,            4.6794,           -0.3745,           -0.1263,           24.3480,
Ref 16,4.98253e-08,,,,,,1.1982e-02,4.2120e-03,4.9031e-05,4.6500e-06,5.9797e-08,,,,,,,,,,,
Sam 16,4.84406e-08,1.20318e-02,4.2569e-03,4.9740e-05,4.7448e-06,6.3607e-08,,,,,,            4.1238,           10.6455,           14.4513,           20.5913,           62.6662,            1.1309,            4.6850,           -0.3146,           -0.7959,           36.2145,
Ref 17,4.90464e-08,,,,,,1.1982e-02,4.2121e-03,4.9031e-05,4.6480e-06,5.9915e-08,,,,,,,,,,,
Sam 17,4.76400e-08,1.20319e-02,4.2569e-03,4.9735e-05,4.7426e-06,6.3542e-08,,,,,,            4.1257,           10.6323,           14.3647,           20.4653,           39.7544,            1.1333,            4.6719,           -0.3891,           -0.8933,           13.8970,
Ref 18,4.82804e-08,,,,,,1.1982e-02,4.2121e-03,4.9029e-05,4.6469e-06,6.2329e-08,,,,,,,,,,,
Sam 18,4.68602e-08,1.20318e-02,4.2569e-03,4.9735e-05,4.7455e-06,6.2466e-08,,,,,,            4.1279,           10.6412,           14.3782,           20.8325,           12.1285,            1.1354,            4.6807,           -0.3867,           -0.5513,          -13.0613,
Ref 19,4.75356e-08,,,,,,1.1982e-02,4.2121e-03,4.9031e-05,4.6504e-06,6.1097e-08,,,,,,,,,,,
Sam 19,4.60927e-08,1.20318e-02,4.2568e-03,4.9740e-05,4.7496e-06,6.2692e-08,,,,,,            4.1280,           10.6222,           14.4437,           21.8110,           23.4645,            1.1361,            4.6618,           -0.3038,            0.4443,           -1.9706,
Ref 20,4.68011e-08,,,,,,1.1982e-02,4.2121e-03,4.9033e-05,4.6459e-06,6.1414e-08,,,,,,,,,,,
Sam 20,4.53431e-08,1.20316e-02,4.2568e-03,4.9744e-05,4.7456e-06,6.0333e-08,,,,,,            4.1212,           10.6316,           14.5066,           20.8873,          -11.2087,            1.1286,            4.6712,           -0.2440,           -0.4787,          -35.7928,
Ref 21,4.60864e-08,,,,,,1.1982e-02,4.2120e-03,4.9032e-05,4.6512e-06,6.0613e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.57324e-08,,,,,,1.1982e-02,4.2120e-03,4.9035e-05,4.6501e-06,5.7997e-08,
Sam 1,4.42424e-08,1.20315e-02,4.2569e-03,4.9746e-05,4.7474e-06,6.3026e-08,,,,,,            4.1176,           10.6463,           14.4398,           21.0193,           49.6070,            1.1242,            4.6858,           -0.3204,           -0.3786,           23.4855,
Ref 2,4.50334e-08,,,,,,1.1982e-02,4.2120e-03,4.9041e-05,4.6492e-06,6.2130e-08,,,,,,,,,,,
Sam 2,4.35267e-08,1.20316e-02,4.2568e-03,4.9744e-05,4.7494e-06,6.3849e-08,,,,,,            4.1305,           10.6430,           14.3695,           21.3356,           11.5977,            1.1380,            4.6825,           -0.3997,           -0.0623,          -13.5849,
Ref 3,4.43499e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6511e-06,6.4119e-08,,,,,,,,,,,
Sam 3,4.28273e-08,1.20316e-02,4.2569e-03,4.9747e-05,4.7537e-06,6.4102e-08,,,,,,            4.1374,           10.6494,           14.4955,           21.9413,           -2.1160,            1.1452,            4.6889,           -0.2889,            0.5180,          -26.9766,
Ref 4,4.36788e-08,,,,,,1.1982e-02,4.2120e-03,4.9034e-05,4.6522e-06,6.4359e-08,,,,,,,,,,,
Sam 4,4.21417e-08,1.20315e-02,4.2568e-03,4.9738e-05,4.7505e-06,6.3024e-08,,,,,,            4.1275,           10.6335,           14.3044,           21.2454,          -20.2111,            1.1352,            4.6731,           -0.4515,           -0.1318,          -44.5812,
Ref 5,4.30209e-08,,,,,,1.1982e-02,4.2120e-03,4.9039e-05,4.6511e-06,6.4288e-08,,,,,,,,,,,
Sam 5,4.14703e-08,1.20314e-02,4.2568e-03,4.9744e-05,4.7532e-06,6.5277e-08,,,,,,            4.1210,           10.6358,           14.3905,           21.5919,           26.0786,            1.1283,            4.6753,           -0.3623,            0.2029,            0.5595,
Ref 6,4.23749e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6545e-06,6.2939e-08,,,,,,,,,,,
Sam 6,4.08155e-08,1.20312e-02,4.2568e-03,4.9745e-05,4.7529e-06,6.7486e-08,,,,,,            4.1103,           10.6375,           14.4105,           21.3292,           29.4860,            1.1167,            4.6771,           -0.3333,           -0.0578,            3.8902,
Ref 7,4.17420e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6528e-06,6.8207e-08,,,,,,,,,,,
Sam 7,4.01730e-08,1.20312e-02,4.2567e-03,4.9749e-05,4.7540e-06,6.7741e-08,,,,,,            4.1212,           10.6189,           14.4423,           21.7744,           -1.1872,            1.1290,            4.6586,           -0.2950,            0.4149,          -25.9964,
Ref 8,4.11189e-08,,,,,,1.1982e-02,4.2120e-03,4.9043e-05,4.6526e-06,6.7431e-08,,,,,,,,,,,
Sam 8,3.95448e-08,1.20312e-02,4.2568e-03,4.9742e-05,4.7562e-06,6.7954e-08,,,,,,            4.1240,           10.6270,           14.2689,           22.3214,           14.9749,            1.1317,            4.6666,           -0.4766,            0.9345,          -10.2542,
Ref 9,4.05091e-08,,,,,,1.1982e-02,4.2120e-03,4.9042e-05,4.6522e-06,6.6464e-08,,,,,,,,,,,
Sam 9,3.89297e-08,1.20311e-02,4.2568e-03,4.9750e-05,4.7539e-06,6.9482e-08,,,,,,            4.1245,           10.6352,           14.4340,           21.2141,           12.7465,            1.1320,            4.6747,           -0.3224,           -0.1658,          -12.4435,
Ref 10,3.99118e-08,,,,,,1.1982e-02,4.2119e-03,4.9042e-05,4.6582e-06,7.0783e-08,,,,,,,,,,,
Sam 10,3.83275e-08,1.20310e-02,4.2568e-03,4.9752e-05,4.7531e-06,6.9459e-08,,,,,,            4.1115,           10.6397,           14.4603,           20.7307,           -8.9448,            1.1179,            4.6793,           -0.2875,           -0.6480,          -33.5905,
Ref 11,3.93231e-08,,,,,,1.1982e-02,4.2120e-03,4.9044e-05,4.6550e-06,6.9378e-08,,,,,,,,,,,
Sam 11,3.77362e-08,1.20311e-02,4.2567e-03,4.9747e-05,4.7540e-06,7.3357e-08,,,,,,            4.1169,           10.6242,           14.4186,           21.4551,           56.1262,            1.1242,            4.6639,           -0.3191,            0.0918,           29.8875,
Ref 12,3.87480e-08,,,,,,1.1982e-02,4.2119e-03,4.9036e-05,4.6533e-06,6.9540e-08,,,,,,,,,,,
Sam 12,3.71587e-08,1.20310e-02,4.2567e-03,4.9748e-05,4.7530e-06,7.1350e-08,,,,,,            4.1180,           10.6207,           14.4509,           21.0513,           38.0371,            1.1255,            4.6603,           -0.2849,           -0.2965,           12.2537,
Ref 13,3.81802e-08,,,,,,1.1982e-02,4.2120e-03,4.9043e-05,4.6567e-06,6.7919e-08,,,,,,,,,,,
Sam 13,3.65956e-08,1.20308e-02,4.2567e-03,4.9745e-05,4.7519e-06,7.0195e-08,,,,,,            4.1120,           10.6259,           14.2718,           20.9678,           33.3305,            1.1190,            4.6655,           -0.4603,           -0.3885,            7.6601,
Ref 14,3.76322e-08,,,,,,1.1981e-02,4.2119e-03,4.9047e-05,4.6519e-06,6.7944e-08,,,,,,,,,,,
Sam 14,3.60427e-08,1.20307e-02,4.2565e-03,4.9753e-05,4.7554e-06,7.7667e-08,,,,,,            4.1208,           10.6056,           14.3894,           21.8923,          111.9117,            1.1290,            4.6453,           -0.3337,            0.5569,           84.3219,
Ref 15,3.70882e-08,,,,,,1.1981e-02,4.2118e-03,4.9047e-05,4.6552e-06,7.1785e-08,,,,,,,,,,,
Sam 15,3.54989e-08,1.20307e-02,4.2566e-03,4.9747e-05,4.7540e-06,7.4873e-08,,,,,,            4.1288,           10.6284,           14.3240,           20.9138,            7.9100,            1.1368,            4.6680,           -0.4287,           -0.4465,          -17.1513,
Ref 16,3.65582e-08,,,,,,1.1981e-02,4.2118e-03,4.9043e-05,4.6579e-06,7.6822e-08,,,,,,,,,,,
Sam 16,3.49646e-08,1.20307e-02,4.2566e-03,4.9748e-05,4.7560e-06,7.6349e-08,,,,,,            4.1276,           10.6376,           14.3410,           21.1523,            1.9255,            1.1351,            4.6771,           -0.4196,           -0.2311,          -23.0030,
Ref 17,3.60331e-08,,,,,,1.1981e-02,4.2118e-03,4.9047e-05,4.6569e-06,7.5574e-08,,,,,,,,,,,
Sam 17,3.44369e-08,1.20306e-02,4.2565e-03,4.9754e-05,4.7575e-06,7.5328e-08,,,,,,            4.1249,           10.6190,           14.4355,           21.6201,           23.1469,            1.1329,            4.6586,           -0.3055,            0.2637,           -2.2707,
Ref 18,3.55157e-08,,,,,,1.1981e-02,4.2118e-03,4.9044e-05,4.6568e-06,7.1645e-08,,,,,,,,,,,
Sam 18,3.39194e-08,1.20305e-02,4.2564e-03,4.9756e-05,4.7561e-06,7.8222e-08,,,,,,            4.1221,           10.6065,           14.4098,           21.1706,           45.8242,            1.1304,            4.6462,           -0.3158,           -0.1517,           19.8709,
Ref 19,3.50086e-08,,,,,,1.1981e-02,4.2117e-03,4.9054e-05,4.6583e-06,7.7990e-08,,,,,,,,,,,
Sam 19,3.34130e-08,1.20304e-02,4.2564e-03,4.9751e-05,4.7584e-06,7.7641e-08,,,,,,            4.1203,           10.6157,           14.2488,           21.2481,           29.0156,            1.1282,            4.6553,           -0.4817,           -0.0939,            3.4635,
Ref 20,3.45101e-08,,,,,,1.1981e-02,4.2117e-03,4.9050e-05,4.6606e-06,7.2878e-08,,,,,,,,,,,
Sam 20,3.29173e-08,1.20302e-02,4.2564e-03,4.9754e-05,4.7584e-06,7.7931e-08,,,,,,            4.1151,           10.6206,           14.3511,           20.6331,           54.6910,            1.1225,            4.6603,           -0.3803,           -0.7059,           28.4970,
Ref 21,3.40201e-08,,,,,,1.1981e-02,4.2117e-03,4.9049e-05,4.6638e-06,7.4916e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.37799e-08,,,,,,1.1981e-02,4.2116e-03,4.9049e-05,4.6613e-06,7.5554e-08,
Sam 1,3.21899e-08,1.20302e-02,4.2563e-03,4.9752e-05,4.7587e-06,7.6959e-08,,,,,,            4.1218,           10.6077,           14.3732,           21.2855,           13.3084,            1.1301,            4.6474,           -0.3528,           -0.0415,          -11.8399,
Ref 2,3.33072e-08,,,,,,1.1981e-02,4.2116e-03,4.9046e-05,4.6577e-06,7.6347e-08,,,,,,,,,,,
Sam 2,3.17233e-08,1.20300e-02,4.2563e-03,4.9749e-05,4.7575e-06,7.6755e-08,,,,,,            4.1134,           10.6229,           14.2988,           21.1074,          -11.1984,            1.1205,            4.6626,           -0.4323,           -0.2460,          -35.7584,
Ref 3,3.28451e-08,,,,,,1.1981e-02,4.2115e-03,4.9049e-05,4.6607e-06,7.8919e-08,,,,,,,,,,,
Sam 3,3.12641e-08,1.20300e-02,4.2564e-03,4.9758e-05,4.7579e-06,8.4431e-08,,,,,,            4.1152,           10.6372,           14.4504,           20.6760,           53.3907,            1.1220,            4.6767,           -0.2986,           -0.6966,           27.1959,
Ref 4,3.23924e-08,,,,,,1.1981e-02,4.2116e-03,4.9049e-05,4.6623e-06,8.1402e-08,,,,,,,,,,,
Sam 4,3.08122e-08,1.20299e-02,4.2562e-03,4.9750e-05,4.7638e-06,8.4741e-08,,,,,,            4.1179,           10.6109,           14.2609,           21.9838,           15.4004,            1.1258,            4.6506,           -0.4626,            0.6358,           -9.8019,
Ref 5,3.19422e-08,,,,,,1.1980e-02,4.2115e-03,4.9052e-05,4.6603e-06,8.5538e-08,,,,,,,,,,,
Sam 5,3.03714e-08,1.20298e-02,4.2562e-03,4.9757e-05,4.7615e-06,8.7371e-08,,,,,,            4.1190,           10.6232,           14.4408,           21.7363,           36.2915,            1.1265,            4.6629,           -0.2983,            0.3691,           10.5453,
Ref 6,3.15036e-08,,,,,,1.1980e-02,4.2115e-03,4.9046e-05,4.6600e-06,8.3068e-08,,,,,,,,,,,
Sam 6,2.99351e-08,1.20296e-02,4.2561e-03,4.9751e-05,4.7580e-06,8.7074e-08,,,,,,            4.1121,           10.6036,           14.3601,           20.9485,           27.8838,            1.1198,            4.6433,           -0.3517,           -0.3634,            2.3921,
Ref 7,3.10703e-08,,,,,,1.1980e-02,4.2115e-03,4.9047e-05,4.6608e-06,8.6379e-08,,,,,,,,,,,
Sam 7,2.95112e-08,1.20296e-02,4.2561e-03,4.9760e-05,4.7620e-06,8.9810e-08,,,,,,            4.1098,           10.6065,           14.4635,           21.5298,           34.3081,            1.1172,            4.6462,           -0.2502,            0.2001,            8.6539,
Ref 8,3.06482e-08,,,,,,1.1980e-02,4.2114e-03,4.9055e-05,4.6626e-06,8.7288e-08,,,,,,,,,,,
Sam 8,2.90956e-08,1.20296e-02,4.2561e-03,4.9756e-05,4.7647e-06,8.7700e-08,,,,,,            4.1227,           10.6234,           14.3130,           22.2623,           19.8923,            1.1305,            4.6630,           -0.4283,            0.8838,           -5.4507,
Ref 9,3.02351e-08,,,,,,1.1980e-02,4.2114e-03,4.9052e-05,4.6594e-06,8.4673e-08,,,,,,,,,,,
Sam 9,2.86879e-08,1.20295e-02,4.2560e-03,4.9757e-05,4.7611e-06,9.0947e-08,,,,,,            4.1216,           10.6027,           14.4285,           21.8366,           58.3274,            1.1300,            4.6425,           -0.2932,            0.5079,           32.0720,
Ref 10,2.98257e-08,,,,,,1.1980e-02,4.2113e-03,4.9047e-05,4.6594e-06,8.7214e-08,,,,,,,,,,,
Sam 10,2.82861e-08,1.20293e-02,4.2560e-03,4.9748e-05,4.7615e-06,9.0279e-08,,,,,,            4.1107,           10.6142,           14.2988,           21.6163,           29.8725,            1.1180,            4.6539,           -0.4211,            0.2695,            4.3122,
Ref 11,2.94238e-08,,,,,,1.1980e-02,4.2112e-03,4.9047e-05,4.6620e-06,8.8113e-08,,,,,,,,,,,
Sam 11,2.78931e-08,1.20293e-02,4.2560e-03,4.9758e-05,4.7608e-06,9.2006e-08,,,,,,            4.1165,           10.6206,           14.4546,           20.8627,           26.7991,            1.1240,            4.6603,           -0.2797,           -0.4810,            1.2964,
Ref 12,2.90308e-08,,,,,,1.1980e-02,4.2112e-03,4.9050e-05,4.6651e-06,9.1117e-08,,,,,,,,,,,
Sam 12,2.75055e-08,1.20292e-02,4.2558e-03,4.9753e-05,4.7662e-06,9.0053e-08,,,,,,            4.1136,           10.6060,           14.3572,           21.6184,           28.0428,            1.1213,            4.6458,           -0.3585,            0.2877,            2.5408,
Ref 13,2.86434e-08,,,,,,1.1980e-02,4.2111e-03,4.9048e-05,4.6656e-06,8.4028e-08,,,,,,,,,,,
Sam 13,2.71266e-08,1.20292e-02,4.2559e-03,4.9750e-05,4.7635e-06,8.7381e-08,,,,,,            4.1138,           10.6149,           14.2382,           21.4328,           52.3944,            1.1213,            4.6546,           -0.4847,            0.0884,           26.2703,
Ref 14,2.82627e-08,,,,,,1.1980e-02,4.2112e-03,4.9055e-05,4.6614e-06,8.2021e-08,,,,,,,,,,,
Sam 14,2.67537e-08,1.20289e-02,4.2558e-03,4.9760e-05,4.7649e-06,9.1814e-08,,,,,,            4.0932,           10.6114,           14.3489,           22.1464,           99.1944,            1.0994,            4.6511,           -0.3509,            0.7942,           71.9394,
Ref 15,2.78893e-08,,,,,,1.1980e-02,4.2111e-03,4.9056e-05,4.6620e-06,8.5056e-08,,,,,,,,,,,
Sam 15,2.63887e-08,1.20288e-02,4.2558e-03,4.9752e-05,4.7668e-06,9.0543e-08,,,,,,            4.1064,           10.6047,           14.1796,           22.3025,           53.2253,            1.1137,            4.6444,           -0.5249,            0.9602,           27.1091,
Ref 16,2.75245e-08,,,,,,1.1980e-02,4.2111e-03,4.9057e-05,4.6636e-06,8.6891e-08,,,,,,,,,,,
Sam 16,2.60304e-08,1.20289e-02,4.2557e-03,4.9755e-05,4.7657e-06,9.2737e-08,,,,,,            4.1174,           10.6050,           14.2830,           21.1770,           60.5352,            1.1255,            4.6448,           -0.4346,           -0.1425,           34.2249,
Ref 17,2.71622e-08,,,,,,1.1979e-02,4.2110e-03,4.9052e-05,4.6703e-06,8.8004e-08,,,,,,,,,,,
Sam 17,2.56780e-08,1.20287e-02,4.2556e-03,4.9752e-05,4.7635e-06,9.5507e-08,,,,,,            4.1118,           10.6010,           14.3081,           20.6713,          104.4086,            1.1196,            4.6408,           -0.4002,           -0.6297,           77.0248,
Ref 18,2.68120e-08,,,,,,1.1979e-02,4.2110e-03,4.9049e-05,4.6637e-06,8.4932e-08,,,,,,,,,,,
Sam 18,2.53350e-08,1.20287e-02,4.2556e-03,4.9751e-05,4.7631e-06,9.2354e-08,,,,,,            4.1212,           10.5984,           14.2478,           20.8197,           47.6794,            1.1297,            4.6382,           -0.4667,           -0.4793,           21.6972,
Ref 19,2.64646e-08,,,,,,1.1979e-02,4.2110e-03,4.9055e-05,4.6683e-06,9.1412e-08,,,,,,,,,,,
Sam 19,2.49947e-08,1.20285e-02,4.2556e-03,4.9754e-05,4.7650e-06,9.3296e-08,,,,,,            4.1031,           10.6022,           14.2648,           20.7445,           39.6337,            1.1103,            4.6419,           -0.4350,           -0.5603,           13.8631,
Ref 20,2.61218e-08,,,,,,1.1979e-02,4.2109e-03,4.9053e-05,4.6681e-06,8.8046e-08,,,,,,,,,,,
Sam 20,2.46559e-08,1.20285e-02,4.2555e-03,4.9762e-05,4.7681e-06,9.3331e-08,,,,,,            4.1122,           10.5983,           14.4760,           21.2878,           57.7404,            1.1201,            4.6380,           -0.2325,           -0.0207,           31.5188,
Ref 21,2.57840e-08,,,,,,1.1979e-02,4.2108e-03,4.9052e-05,4.6693e-06,8.8429e-08,,,,,,,,,,,


