Nu Stable Isotope Analysis Program
Data Collected on Thursday, February 16, 2023 at 19:24 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, February 16, 2023 at 20:23 with Stable 1.71.5 on PS019

Data File = Data_19343 SB1_69_A.txt,      Sample Weight = 430,                      Vial Location = 22,                       Initial Sam Beam = 1.5153e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1347e-08,                Max Ref Beam = 1.0666e-07,                

Analysis undertaken at mass 46.05129
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.04640e-08,,,,,,1.1982e-02,4.2116e-03,4.9008e-05,4.6417e-06,4.5529e-08,
Sam 1,5.96756e-08,1.20781e-02,4.2980e-03,5.0395e-05,4.8300e-06,5.0127e-08,,,,,,            7.9795,           20.4771,           28.2195,           40.6327,          102.6606,            4.8959,           14.4606,           -0.3105,           -0.7115,           50.6415,
Ref 2,5.94419e-08,,,,,,1.1983e-02,4.2119e-03,4.9017e-05,4.6412e-06,4.5391e-08,,,,,,,,,,,
Sam 2,5.86066e-08,1.20784e-02,4.2982e-03,5.0397e-05,4.8343e-06,5.0639e-08,,,,,,            7.9694,           20.4685,           28.1991,           41.6789,          117.0104,            4.8854,           14.4520,           -0.3117,            0.3102,           64.3435,
Ref 3,5.84545e-08,,,,,,1.1983e-02,4.2121e-03,4.9013e-05,4.6405e-06,4.5277e-08,,,,,,,,,,,
Sam 3,5.75700e-08,1.20786e-02,4.2983e-03,5.0398e-05,4.8313e-06,4.8317e-08,,,,,,            7.9727,           20.4682,           28.2577,           41.2104,           76.4513,            4.8890,           14.4517,           -0.2577,           -0.1391,           25.6938,
Ref 4,5.74970e-08,,,,,,1.1983e-02,4.2121e-03,4.9013e-05,4.6397e-06,4.4488e-08,,,,,,,,,,,
Sam 4,5.65634e-08,1.20787e-02,4.2984e-03,5.0399e-05,4.8310e-06,4.7824e-08,,,,,,            7.9774,           20.4769,           28.2714,           40.9820,           62.0381,            4.8937,           14.4604,           -0.2577,           -0.3756,           11.9382,
Ref 5,5.65604e-08,,,,,,1.1983e-02,4.2122e-03,4.9014e-05,4.6420e-06,4.5582e-08,,,,,,,,,,,
Sam 5,5.55809e-08,1.20787e-02,4.2984e-03,5.0397e-05,4.8324e-06,4.6829e-08,,,,,,            7.9770,           20.4585,           28.2112,           41.2068,           34.6509,            4.8939,           14.4420,           -0.2980,           -0.1235,          -14.1216,
Ref 6,5.56444e-08,,,,,,1.1983e-02,4.2123e-03,4.9015e-05,4.6404e-06,4.4935e-08,,,,,,,,,,,
Sam 6,5.46216e-08,1.20787e-02,4.2985e-03,5.0404e-05,4.8333e-06,4.5936e-08,,,,,,            7.9701,           20.4642,           28.3031,           41.5306,           12.5595,            4.8864,           14.4478,           -0.2072,            0.1761,          -35.1753,
Ref 7,5.47462e-08,,,,,,1.1983e-02,4.2124e-03,4.9019e-05,4.6409e-06,4.5806e-08,,,,,,,,,,,
Sam 7,5.36823e-08,1.20789e-02,4.2986e-03,5.0401e-05,4.8323e-06,4.8063e-08,,,,,,            7.9728,           20.4666,           28.2255,           41.3211,           65.9641,            4.8891,           14.4501,           -0.2876,           -0.0297,           15.7041,
Ref 8,5.38665e-08,,,,,,1.1983e-02,4.2124e-03,4.9017e-05,4.6401e-06,4.4359e-08,,,,,,,,,,,
Sam 8,5.27669e-08,1.20788e-02,4.2987e-03,5.0401e-05,4.8318e-06,4.8866e-08,,,,,,            7.9670,           20.4789,           28.1597,           41.4489,          124.8495,            4.8826,           14.4623,           -0.3576,            0.0690,           71.7941,
Ref 9,5.30050e-08,,,,,,1.1983e-02,4.2124e-03,4.9025e-05,4.6388e-06,4.2510e-08,,,,,,,,,,,
Sam 9,5.18701e-08,1.20788e-02,4.2986e-03,5.0402e-05,4.8308e-06,4.3902e-08,,,,,,            7.9615,           20.4479,           28.1031,           41.4827,           24.9259,            4.8778,           14.4315,           -0.3771,            0.1622,          -23.3523,
Ref 10,5.21606e-08,,,,,,1.1983e-02,4.2125e-03,4.9022e-05,4.6380e-06,4.3164e-08,,,,,,,,,,,
Sam 10,5.09924e-08,1.20788e-02,4.2987e-03,5.0405e-05,4.8290e-06,4.5885e-08,,,,,,            7.9653,           20.4577,           28.2201,           40.9848,           37.2906,            4.8815,           14.4413,           -0.2767,           -0.3352,          -11.5928,
Ref 11,5.13352e-08,,,,,,1.1983e-02,4.2125e-03,4.9020e-05,4.6398e-06,4.5324e-08,,,,,,,,,,,
Sam 11,5.01396e-08,1.20789e-02,4.2988e-03,5.0406e-05,4.8295e-06,4.7511e-08,,,,,,            7.9729,           20.4797,           28.2345,           40.8052,           89.8002,            4.8888,           14.4631,           -0.2917,           -0.5508,           38.3899,
Ref 12,5.05290e-08,,,,,,1.1983e-02,4.2125e-03,4.9024e-05,4.6404e-06,4.1840e-08,,,,,,,,,,,
Sam 12,4.93050e-08,1.20788e-02,4.2988e-03,5.0406e-05,4.8303e-06,4.5316e-08,,,,,,            7.9674,           20.4751,           28.1751,           40.9878,           99.3276,            4.8832,           14.4586,           -0.3394,           -0.3664,           47.4832,
Ref 13,4.97376e-08,,,,,,1.1983e-02,4.2125e-03,4.9025e-05,4.6398e-06,4.0593e-08,,,,,,,,,,,
Sam 13,4.84853e-08,1.20788e-02,4.2988e-03,5.0403e-05,4.8315e-06,4.4780e-08,,,,,,            7.9721,           20.4780,           28.0933,           41.5334,          118.9782,            4.8880,           14.4614,           -0.4265,            0.1518,           66.1959,
Ref 14,4.89580e-08,,,,,,1.1983e-02,4.2126e-03,4.9027e-05,4.6379e-06,3.9435e-08,,,,,,,,,,,
Sam 14,4.76807e-08,1.20789e-02,4.2988e-03,5.0409e-05,4.8269e-06,4.4785e-08,,,,,,            7.9710,           20.4729,           28.2093,           40.6872,           98.4253,            4.8870,           14.4564,           -0.3076,           -0.6508,           46.6239,
Ref 15,4.81934e-08,,,,,,1.1983e-02,4.2126e-03,4.9026e-05,4.6385e-06,4.2131e-08,,,,,,,,,,,
Sam 15,4.68979e-08,1.20788e-02,4.2988e-03,5.0406e-05,4.8264e-06,4.2559e-08,,,,,,            7.9678,           20.4573,           28.1411,           40.9107,           57.1568,            4.8841,           14.4409,           -0.3556,           -0.4056,            7.3354,
Ref 16,4.74500e-08,,,,,,1.1983e-02,4.2126e-03,4.9027e-05,4.6349e-06,3.8355e-08,,,,,,,,,,,
Sam 16,4.61349e-08,1.20789e-02,4.2988e-03,5.0404e-05,4.8278e-06,4.2147e-08,,,,,,            7.9692,           20.4682,           28.0646,           41.4064,          107.0409,            4.8853,           14.4518,           -0.4420,            0.0489,           54.8447,
Ref 17,4.67210e-08,,,,,,1.1983e-02,4.2126e-03,4.9029e-05,4.6368e-06,3.7783e-08,,,,,,,,,,,
Sam 17,4.53854e-08,1.20788e-02,4.2989e-03,5.0403e-05,4.8279e-06,4.0809e-08,,,,,,            7.9639,           20.4769,           28.1217,           41.1512,          112.9835,            4.8794,           14.4604,           -0.3895,           -0.2131,           60.4952,
Ref 18,4.60053e-08,,,,,,1.1983e-02,4.2127e-03,4.9019e-05,4.6373e-06,3.5533e-08,,,,,,,,,,,
Sam 18,4.46517e-08,1.20789e-02,4.2989e-03,5.0407e-05,4.8266e-06,3.8324e-08,,,,,,            7.9731,           20.4543,           28.3261,           41.1000,           49.0631,            4.8899,           14.4378,           -0.1783,           -0.2179,           -0.3766,
Ref 19,4.53009e-08,,,,,,1.1983e-02,4.2127e-03,4.9018e-05,4.6347e-06,3.7546e-08,,,,,,,,,,,
Sam 19,4.39313e-08,1.20787e-02,4.2988e-03,5.0410e-05,4.8269e-06,3.4117e-08,,,,,,            7.9663,           20.4537,           28.3519,           41.3887,          -16.0037,            4.8827,           14.4373,           -0.1457,            0.0606,          -62.3691,
Ref 20,4.46112e-08,,,,,,1.1983e-02,4.2127e-03,4.9023e-05,4.6354e-06,3.1754e-08,,,,,,,,,,,
Sam 20,4.32222e-08,1.20788e-02,4.2988e-03,5.0405e-05,4.8264e-06,3.2956e-08,,,,,,            7.9804,           20.4496,           28.1483,           41.2808,          -10.0291,            4.8978,           14.4332,           -0.3541,           -0.0351,          -56.6826,
Ref 21,4.39365e-08,,,,,,1.1983e-02,4.2127e-03,4.9026e-05,4.6347e-06,3.4850e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.36043e-08,,,,,,1.1983e-02,4.2126e-03,4.9022e-05,4.6345e-06,3.5308e-08,
Sam 1,4.21847e-08,1.20785e-02,4.2988e-03,5.0410e-05,4.8258e-06,3.8777e-08,,,,,,            7.9543,           20.4480,           28.3101,           41.3180,          146.0501,            4.8701,           14.4317,           -0.1685,            0.0037,           92.0743,
Ref 2,4.29455e-08,,,,,,1.1983e-02,4.2126e-03,4.9023e-05,4.6341e-06,3.2340e-08,,,,,,,,,,,
Sam 2,4.15117e-08,1.20786e-02,4.2988e-03,5.0406e-05,4.8257e-06,3.4952e-08,,,,,,            7.9708,           20.4655,           28.2234,           41.1014,          165.1808,            4.8871,           14.4490,           -0.2867,           -0.2385,          110.2471,
Ref 3,4.23046e-08,,,,,,1.1983e-02,4.2126e-03,4.9022e-05,4.6363e-06,2.7618e-08,,,,,,,,,,,
Sam 3,4.08494e-08,1.20785e-02,4.2988e-03,5.0410e-05,4.8236e-06,2.8768e-08,,,,,,            7.9667,           20.4530,           28.3146,           40.8135,           90.6791,            4.8832,           14.4366,           -0.1817,           -0.4906,           39.2875,
Ref 4,4.16709e-08,,,,,,1.1983e-02,4.2126e-03,4.9021e-05,4.6325e-06,2.5116e-08,,,,,,,,,,,
Sam 4,4.02051e-08,1.20785e-02,4.2988e-03,5.0403e-05,4.8190e-06,2.7931e-08,,,,,,            7.9674,           20.4520,           28.1725,           40.6081,           90.6570,            4.8839,           14.4356,           -0.3196,           -0.6859,           39.2677,
Ref 5,4.10505e-08,,,,,,1.1983e-02,4.2126e-03,4.9023e-05,4.6292e-06,2.6109e-08,,,,,,,,,,,
Sam 5,3.95706e-08,1.20785e-02,4.2987e-03,5.0407e-05,4.8224e-06,2.7759e-08,,,,,,            7.9683,           20.4438,           28.2689,           41.4147,          100.9185,            4.8851,           14.4274,           -0.2189,            0.1048,           49.0614,
Ref 6,4.04396e-08,,,,,,1.1983e-02,4.2126e-03,4.9019e-05,4.6321e-06,2.4306e-08,,,,,,,,,,,
Sam 6,3.89500e-08,1.20784e-02,4.2987e-03,5.0406e-05,4.8247e-06,2.3923e-08,,,,,,            7.9699,           20.4418,           28.3052,           41.7519,           17.9736,            4.8869,           14.4254,           -0.1833,            0.4327,          -29.9742,
Ref 7,3.98419e-08,,,,,,1.1983e-02,4.2126e-03,4.9018e-05,4.6305e-06,2.2683e-08,,,,,,,,,,,
Sam 7,3.83467e-08,1.20782e-02,4.2987e-03,5.0400e-05,4.8209e-06,2.0849e-08,,,,,,            7.9624,           20.4472,           28.2010,           41.3922,            3.5325,            4.8787,           14.4308,           -0.2821,            0.0766,          -43.7375,
Ref 8,3.92567e-08,,,,,,1.1983e-02,4.2126e-03,4.9017e-05,4.6280e-06,1.8839e-08,,,,,,,,,,,
Sam 8,3.77541e-08,1.20782e-02,4.2987e-03,5.0405e-05,4.8207e-06,2.1029e-08,,,,,,            7.9617,           20.4449,           28.2507,           41.4074,          156.5540,            4.8781,           14.4286,           -0.2309,            0.0956,          102.0815,
Ref 9,3.86806e-08,,,,,,1.1983e-02,4.2126e-03,4.9023e-05,4.6300e-06,1.7516e-08,,,,,,,,,,,
Sam 9,3.71738e-08,1.20781e-02,4.2987e-03,5.0404e-05,4.8175e-06,2.0342e-08,,,,,,            7.9651,           20.4522,           28.2549,           40.6588,           78.3144,            4.8815,           14.4358,           -0.2374,           -0.6375,           27.5089,
Ref 10,3.81152e-08,,,,,,1.1983e-02,4.2125e-03,4.9015e-05,4.6284e-06,2.0234e-08,,,,,,,,,,,
Sam 10,3.66075e-08,1.20780e-02,4.2987e-03,5.0401e-05,4.8199e-06,1.9539e-08,,,,,,            7.9569,           20.4538,           28.2282,           41.2672,           27.4896,            4.8727,           14.4374,           -0.2566,           -0.0564,          -20.9159,
Ref 11,3.75636e-08,,,,,,1.1983e-02,4.2125e-03,4.9020e-05,4.6293e-06,1.7780e-08,,,,,,,,,,,
Sam 11,3.60549e-08,1.20780e-02,4.2987e-03,5.0400e-05,4.8160e-06,1.6629e-08,,,,,,            7.9700,           20.4495,           28.1563,           40.7497,           51.8979,            4.8868,           14.4331,           -0.3356,           -0.5449,            2.3372,
Ref 12,3.70209e-08,,,,,,1.1982e-02,4.2125e-03,4.9020e-05,4.6255e-06,1.3809e-08,,,,,,,,,,,
Sam 12,3.55137e-08,1.20777e-02,4.2985e-03,5.0396e-05,4.8171e-06,1.5392e-08,,,,,,            7.9494,           20.4221,           28.0784,           41.3178,          128.3751,            4.8658,           14.4059,           -0.3639,            0.0544,           75.2911,
Ref 13,3.64920e-08,,,,,,1.1982e-02,4.2124e-03,4.9019e-05,4.6265e-06,1.3470e-08,,,,,,,,,,,
Sam 13,3.49813e-08,1.20777e-02,4.2985e-03,5.0391e-05,4.8163e-06,1.5044e-08,,,,,,            7.9538,           20.4238,           28.0351,           41.0218,          268.4959,            4.8704,           14.4076,           -0.4122,           -0.2334,          208.8100,
Ref 14,3.59723e-08,,,,,,1.1982e-02,4.2125e-03,4.9015e-05,4.6266e-06,1.0225e-08,,,,,,,,,,,
Sam 14,3.44610e-08,1.20777e-02,4.2985e-03,5.0390e-05,4.8134e-06,8.4579e-09,,,,,,            7.9626,           20.4273,           28.1305,           40.7961,          -48.7232,            4.8796,           14.4111,           -0.3317,           -0.4570,          -93.4972,
Ref 15,3.54643e-08,,,,,,1.1982e-02,4.2124e-03,4.9008e-05,4.6229e-06,7.5379e-09,,,,,,,,,,,
Sam 15,3.39493e-08,1.20776e-02,4.2984e-03,5.0386e-05,4.8121e-06,9.5333e-09,,,,,,            7.9589,           20.4330,           28.0684,           40.8180,          407.3644,            4.8755,           14.4168,           -0.3938,           -0.4471,          341.1132,
Ref 16,3.49641e-08,,,,,,1.1982e-02,4.2123e-03,4.9013e-05,4.6239e-06,5.9990e-09,,,,,,,,,,,
Sam 16,3.34469e-08,1.20774e-02,4.2984e-03,5.0394e-05,4.8144e-06,7.3617e-09,,,,,,            7.9500,           20.4220,           28.2292,           41.1501,          763.4966,            4.8665,           14.4058,           -0.2178,           -0.1065,          680.5316,
Ref 17,3.44716e-08,,,,,,1.1982e-02,4.2123e-03,4.9008e-05,4.6243e-06,2.3240e-09,,,,,,,,,,,
Sam 17,3.29512e-08,1.20774e-02,4.2984e-03,5.0396e-05,4.8098e-06,3.2776e-09,,,,,,            7.9583,           20.4317,           28.2345,           40.2635,         -160.0656,            4.8749,           14.4154,           -0.2305,           -0.9770,         -199.6020,
Ref 18,3.39891e-08,,,,,,1.1982e-02,4.2123e-03,4.9016e-05,4.6230e-06,5.5028e-09,,,,,,,,,,,
Sam 18,3.24643e-08,1.20774e-02,4.2983e-03,5.0392e-05,4.8135e-06,6.8850e-09,,,,,,            7.9567,           20.4301,           28.1980,           41.1483,         2839.4308,            4.8733,           14.4138,           -0.2627,           -0.1241,         2658.7173,
Ref 19,3.35154e-08,,,,,,1.1982e-02,4.2122e-03,4.9005e-05,4.6236e-06,-1.9688e-09,,,,,,,,,,,
Sam 19,3.19878e-08,1.20773e-02,4.2983e-03,5.0383e-05,4.8138e-06,-3.4938e-09,,,,,,            7.9544,           20.4316,           28.1157,           41.4319,          165.3288,            4.8708,           14.4153,           -0.3419,            0.1453,          110.4800,
Ref 20,3.30467e-08,,,,,,1.1982e-02,4.2122e-03,4.9006e-05,4.6210e-06,-4.0421e-09,,,,,,,,,,,
Sam 20,3.15194e-08,1.20772e-02,4.2983e-03,5.0387e-05,4.8074e-06,-4.1471e-09,,,,,,            7.9576,           20.4521,           28.1150,           40.1690,         -343.0473,            4.8735,           14.4357,           -0.3656,           -1.1077,         -373.9943,
Ref 21,3.25870e-08,,,,,,1.1982e-02,4.2122e-03,4.9013e-05,4.6225e-06,-8.6151e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.23604e-08,,,,,,1.1982e-02,4.2121e-03,4.9008e-05,4.6217e-06,-8.4877e-09,
Sam 1,3.08361e-08,1.20771e-02,4.2982e-03,5.0382e-05,4.8048e-06,-6.4658e-09,,,,,,            7.9596,           20.4400,           28.0229,           39.9967,         -397.4460,            4.8760,           14.4237,           -0.4455,           -1.2495,         -425.8181,
Ref 2,3.19131e-08,,,,,,1.1982e-02,4.2121e-03,4.9011e-05,4.6184e-06,-1.3005e-08,,,,,,,,,,,
Sam 2,3.03925e-08,1.20769e-02,4.2981e-03,5.0378e-05,4.8107e-06,-1.1185e-08,,,,,,            7.9494,           20.4019,           27.9401,           41.7969,         -128.9994,            4.8665,           14.3858,           -0.4789,            0.5540,         -169.9427,
Ref 3,3.14748e-08,,,,,,1.1982e-02,4.2122e-03,4.9007e-05,4.6171e-06,-1.2675e-08,,,,,,,,,,,
Sam 3,2.99574e-08,1.20769e-02,4.2981e-03,5.0389e-05,4.8118e-06,-1.0523e-08,,,,,,            7.9587,           20.4251,           28.2328,           42.0575,         -183.1048,            4.8756,           14.4089,           -0.2262,            0.7588,         -221.5471,
Ref 4,3.10446e-08,,,,,,1.1982e-02,4.2120e-03,4.9003e-05,4.6180e-06,-1.3092e-08,,,,,,,,,,,
Sam 4,2.95328e-08,1.20769e-02,4.2981e-03,5.0374e-05,4.8064e-06,-1.3078e-08,,,,,,            7.9588,           20.4191,           28.0215,           41.2223,           19.9371,            4.8758,           14.4029,           -0.4259,           -0.0316,          -28.0493,
Ref 5,3.06208e-08,,,,,,1.1982e-02,4.2121e-03,4.8998e-05,4.6142e-06,-1.2549e-08,,,,,,,,,,,
Sam 5,2.91127e-08,1.20769e-02,4.2981e-03,5.0382e-05,4.8078e-06,-1.0884e-08,,,,,,            7.9604,           20.4246,           28.2195,           41.7463,         -193.5930,            4.8775,           14.4083,           -0.2403,            0.4609,         -231.5423,
Ref 6,3.02039e-08,,,,,,1.1981e-02,4.2121e-03,4.9000e-05,4.6161e-06,-1.4457e-08,,,,,,,,,,,
Sam 6,2.87032e-08,1.20767e-02,4.2980e-03,5.0370e-05,4.8029e-06,-1.8571e-08,,,,,,            7.9616,           20.4209,           28.0156,           40.5105,          160.4165,            4.8788,           14.4046,           -0.4363,           -0.7186,          105.8133,
Ref 7,2.97971e-08,,,,,,1.1981e-02,4.2120e-03,4.8994e-05,4.6158e-06,-1.7571e-08,,,,,,,,,,,
Sam 7,2.83012e-08,1.20767e-02,4.2979e-03,5.0378e-05,4.7994e-06,-1.9245e-08,,,,,,            7.9652,           20.4118,           28.2098,           40.1816,          306.5558,            4.8830,           14.3956,           -0.2423,           -1.0166,          245.0929,
Ref 8,2.93956e-08,,,,,,1.1981e-02,4.2119e-03,4.8998e-05,4.6121e-06,-1.1850e-08,,,,,,,,,,,
Sam 8,2.79077e-08,1.20765e-02,4.2979e-03,5.0374e-05,4.8051e-06,-1.4621e-08,,,,,,            7.9534,           20.4110,           28.0845,           41.9916,            5.2899,            4.8705,           14.3948,           -0.3514,            0.7232,          -41.9871,
Ref 9,2.90022e-08,,,,,,1.1981e-02,4.2119e-03,4.8999e-05,4.6109e-06,-1.7276e-08,,,,,,,,,,,
Sam 9,2.75221e-08,1.20764e-02,4.2978e-03,5.0369e-05,4.8015e-06,-1.5554e-08,,,,,,            7.9544,           20.4094,           27.9768,           41.4402,          -67.0209,            4.8716,           14.3932,           -0.4555,            0.1969,         -110.8952,
Ref 10,2.86172e-08,,,,,,1.1981e-02,4.2118e-03,4.8997e-05,4.6100e-06,-1.6059e-08,,,,,,,,,,,
Sam 10,2.71422e-08,1.20763e-02,4.2978e-03,5.0371e-05,4.8005e-06,-1.9198e-08,,,,,,            7.9587,           20.4263,           28.0971,           41.0033,          -32.2198,            4.8756,           14.4100,           -0.3592,           -0.2559,          -77.7649,
Ref 11,2.82362e-08,,,,,,1.1981e-02,4.2117e-03,4.8992e-05,4.6128e-06,-2.3666e-08,,,,,,,,,,,
Sam 11,2.67707e-08,1.20761e-02,4.2977e-03,5.0368e-05,4.7990e-06,-2.2283e-08,,,,,,            7.9505,           20.4161,           28.0745,           40.7352,          115.6674,            4.8671,           14.3999,           -0.3630,           -0.4934,           63.1923,
Ref 12,2.78639e-08,,,,,,1.1981e-02,4.2118e-03,4.8994e-05,4.6096e-06,-1.6230e-08,,,,,,,,,,,
Sam 12,2.64052e-08,1.20760e-02,4.2977e-03,5.0365e-05,4.7938e-06,-2.1318e-08,,,,,,            7.9526,           20.3994,           28.0446,           40.1526,           53.1480,            4.8700,           14.3833,           -0.3782,           -1.0203,            3.6435,
Ref 13,2.74971e-08,,,,,,1.1981e-02,4.2118e-03,4.8988e-05,4.6079e-06,-2.4308e-08,,,,,,,,,,,
Sam 13,2.60471e-08,1.20759e-02,4.2976e-03,5.0368e-05,4.7989e-06,-2.4103e-08,,,,,,            7.9497,           20.3816,           28.2532,           41.3853,         -101.9034,            4.8675,           14.3656,           -0.1553,            0.1985,         -144.0872,
Ref 14,2.71373e-08,,,,,,1.1981e-02,4.2117e-03,4.8979e-05,4.6085e-06,-2.9401e-08,,,,,,,,,,,
Sam 14,2.56956e-08,1.20759e-02,4.2976e-03,5.0366e-05,4.8007e-06,-2.8726e-08,,,,,,            7.9549,           20.4029,           28.2347,           41.8391,          -60.9833,            4.8723,           14.3868,           -0.1990,            0.5925,         -105.1309,
Ref 15,2.67841e-08,,,,,,1.1981e-02,4.2116e-03,4.8986e-05,4.6073e-06,-3.1799e-08,,,,,,,,,,,
Sam 15,2.53508e-08,1.20757e-02,4.2976e-03,5.0362e-05,4.7937e-06,-3.0754e-08,,,,,,            7.9577,           20.4191,           28.1451,           40.6341,          -76.3600,            4.8748,           14.4028,           -0.3046,           -0.5964,         -119.8146,
Ref 16,2.64367e-08,,,,,,1.1980e-02,4.2115e-03,4.8981e-05,4.6057e-06,-3.4813e-08,,,,,,,,,,,
Sam 16,2.50094e-08,1.20757e-02,4.2976e-03,5.0357e-05,4.7951e-06,-3.4949e-08,,,,,,            7.9635,           20.4252,           28.0484,           41.3010,            6.3722,            4.8807,           14.4089,           -0.4105,            0.0322,          -40.9921,
Ref 17,2.60941e-08,,,,,,1.1980e-02,4.2115e-03,4.8987e-05,4.6040e-06,-3.4640e-08,,,,,,,,,,,
Sam 17,2.46745e-08,1.20755e-02,4.2974e-03,5.0361e-05,4.7900e-06,-3.9793e-08,,,,,,            7.9390,           20.3915,           28.0653,           40.5106,          145.6798,            4.8558,           14.3754,           -0.3365,           -0.6610,           91.8580,
Ref 18,2.57592e-08,,,,,,1.1980e-02,4.2115e-03,4.8986e-05,4.6030e-06,-3.4827e-08,,,,,,,,,,,
Sam 18,2.43447e-08,1.20756e-02,4.2974e-03,5.0362e-05,4.7925e-06,-4.0464e-08,,,,,,            7.9584,           20.3944,           28.1602,           41.4400,          104.2224,            4.8763,           14.3783,           -0.2669,            0.2259,           52.3208,
Ref 19,2.54284e-08,,,,,,1.1980e-02,4.2115e-03,4.8980e-05,4.6006e-06,-3.8487e-08,,,,,,,,,,,
Sam 19,2.40211e-08,1.20755e-02,4.2974e-03,5.0357e-05,4.7898e-06,-4.5044e-08,,,,,,            7.9568,           20.3991,           28.1124,           40.7524,          100.3662,            4.8745,           14.3830,           -0.3162,           -0.4436,           48.6382,
Ref 20,2.51031e-08,,,,,,1.1980e-02,4.2114e-03,4.8980e-05,4.6039e-06,-4.3416e-08,,,,,,,,,,,
Sam 20,2.37026e-08,1.20754e-02,4.2973e-03,5.0356e-05,4.7884e-06,-4.8848e-08,,,,,,            7.9571,           20.3957,           28.1499,           40.6468,          107.6617,            4.8749,           14.3796,           -0.2767,           -0.5383,           55.5973,
Ref 21,2.47824e-08,,,,,,1.1980e-02,4.2113e-03,4.8974e-05,4.5987e-06,-4.4793e-08,,,,,,,,,,,


