Nu Stable Isotope Analysis Program
Data Collected on Friday, February 17, 2023 at 16:41 with Stable 1.71.5 on PS019,Reanalyzed on Friday, February 17, 2023 at 17:40 with Stable 1.71.5 on PS019

Data File = Data_19353 KDW2_101_9A_A.txt, Sample Weight = 480,                      Vial Location = 33,                       Initial Sam Beam = 1.6123e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9158e-08,                Max Ref Beam = 1.0640e-07,                

Analysis undertaken at mass 46.04875
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.50737e-08,,,,,,1.1982e-02,4.2113e-03,4.9005e-05,4.6366e-06,4.9811e-08,
Sam 1,6.42332e-08,1.20322e-02,4.2567e-03,4.9716e-05,4.7355e-06,5.3352e-08,,,,,,            4.1589,           10.7293,           14.5110,           20.9934,           93.8578,            1.1653,            4.7684,           -0.3735,           -0.5682,           66.4160,
Ref 2,6.39422e-08,,,,,,1.1983e-02,4.2118e-03,4.9005e-05,4.6397e-06,4.7719e-08,,,,,,,,,,,
Sam 2,6.30603e-08,1.20326e-02,4.2569e-03,4.9720e-05,4.7393e-06,5.0800e-08,,,,,,            4.1473,           10.7063,           14.5200,           21.6257,           52.5465,            1.1538,            4.7455,           -0.3302,            0.0964,           26.1997,
Ref 3,6.28590e-08,,,,,,1.1983e-02,4.2119e-03,4.9012e-05,4.6382e-06,4.8818e-08,,,,,,,,,,,
Sam 3,6.19292e-08,1.20327e-02,4.2570e-03,4.9724e-05,4.7367e-06,4.9016e-08,,,,,,            4.1453,           10.7124,           14.5365,           21.1552,           20.9345,            1.1514,            4.7516,           -0.3179,           -0.3762,           -4.6307,
Ref 4,6.18121e-08,,,,,,1.1983e-02,4.2120e-03,4.9010e-05,4.6390e-06,4.7191e-08,,,,,,,,,,,
Sam 4,6.08262e-08,1.20329e-02,4.2571e-03,4.9723e-05,4.7368e-06,5.0890e-08,,,,,,            4.1500,           10.6980,           14.4964,           21.2393,           72.2570,            1.1569,            4.7372,           -0.3482,           -0.2654,           45.4307,
Ref 5,6.07825e-08,,,,,,1.1983e-02,4.2122e-03,4.9014e-05,4.6375e-06,4.7735e-08,,,,,,,,,,,
Sam 5,5.97470e-08,1.20330e-02,4.2573e-03,4.9726e-05,4.7387e-06,4.7134e-08,,,,,,            4.1432,           10.7049,           14.4027,           21.3693,            8.2576,            1.1495,            4.7441,           -0.4403,           -0.1518,          -16.9736,
Ref 6,5.97746e-08,,,,,,1.1983e-02,4.2123e-03,4.9025e-05,4.6415e-06,4.5746e-08,,,,,,,,,,,
Sam 6,5.86982e-08,1.20333e-02,4.2574e-03,4.9727e-05,4.7390e-06,4.7188e-08,,,,,,            4.1514,           10.7119,           14.3640,           21.2466,           40.7451,            1.1579,            4.7510,           -0.4936,           -0.2858,           14.6783,
Ref 7,5.87924e-08,,,,,,1.1984e-02,4.2124e-03,4.9021e-05,4.6393e-06,4.4928e-08,,,,,,,,,,,
Sam 7,5.76752e-08,1.20333e-02,4.2575e-03,4.9731e-05,4.7367e-06,4.8607e-08,,,,,,            4.1449,           10.7162,           14.4647,           20.8087,           64.3816,            1.1508,            4.7553,           -0.3919,           -0.7229,           37.7213,
Ref 8,5.78330e-08,,,,,,1.1984e-02,4.2124e-03,4.9024e-05,4.6411e-06,4.6419e-08,,,,,,,,,,,
Sam 8,5.66757e-08,1.20332e-02,4.2575e-03,4.9736e-05,4.7392e-06,4.7865e-08,,,,,,            4.1364,           10.7113,           14.5202,           21.1816,           39.4190,            1.1420,            4.7505,           -0.3238,           -0.3482,           13.4026,
Ref 9,5.68879e-08,,,,,,1.1984e-02,4.2124e-03,4.9026e-05,4.6408e-06,4.5675e-08,,,,,,,,,,,
Sam 9,5.56937e-08,1.20334e-02,4.2576e-03,4.9732e-05,4.7398e-06,4.4998e-08,,,,,,            4.1567,           10.7162,           14.4071,           21.4378,           19.1514,            1.1634,            4.7553,           -0.4608,           -0.1072,           -6.3885,
Ref 10,5.59644e-08,,,,,,1.1984e-02,4.2125e-03,4.9026e-05,4.6399e-06,4.2604e-08,,,,,,,,,,,
Sam 10,5.47358e-08,1.20334e-02,4.2576e-03,4.9737e-05,4.7378e-06,4.6030e-08,,,,,,            4.1555,           10.7104,           14.5230,           20.8279,           58.0273,            1.1624,            4.7495,           -0.3397,           -0.6926,           31.5262,
Ref 11,5.50591e-08,,,,,,1.1984e-02,4.2125e-03,4.9024e-05,4.6423e-06,4.4422e-08,,,,,,,,,,,
Sam 11,5.38011e-08,1.20334e-02,4.2577e-03,4.9735e-05,4.7408e-06,4.6208e-08,,,,,,            4.1555,           10.7203,           14.4741,           21.5152,           58.7236,            1.1620,            4.7594,           -0.3976,           -0.0396,           32.1850,
Ref 12,5.41709e-08,,,,,,1.1984e-02,4.2126e-03,4.9026e-05,4.6395e-06,4.2856e-08,,,,,,,,,,,
Sam 12,5.28882e-08,1.20334e-02,4.2578e-03,4.9744e-05,4.7372e-06,4.2465e-08,,,,,,            4.1473,           10.7149,           14.6383,           20.9503,            3.4873,            1.1534,            4.7540,           -0.2220,           -0.5817,          -21.6477,
Ref 13,5.33054e-08,,,,,,1.1984e-02,4.2127e-03,4.9028e-05,4.6406e-06,4.1770e-08,,,,,,,,,,,
Sam 13,5.19960e-08,1.20336e-02,4.2578e-03,4.9738e-05,4.7403e-06,4.2513e-08,,,,,,            4.1591,           10.7173,           14.4531,           21.3861,           14.7548,            1.1660,            4.7564,           -0.4190,           -0.1599,          -10.6795,
Ref 14,5.24558e-08,,,,,,1.1984e-02,4.2127e-03,4.9031e-05,4.6416e-06,4.2021e-08,,,,,,,,,,,
Sam 14,5.11205e-08,1.20335e-02,4.2579e-03,4.9736e-05,4.7392e-06,4.1667e-08,,,,,,            4.1480,           10.7254,           14.3504,           21.2109,            2.9197,            1.1538,            4.7645,           -0.5166,           -0.3474,          -22.2218,
Ref 15,5.16202e-08,,,,,,1.1984e-02,4.2127e-03,4.9033e-05,4.6399e-06,4.1063e-08,,,,,,,,,,,
Sam 15,5.02692e-08,1.20334e-02,4.2578e-03,4.9744e-05,4.7389e-06,4.0597e-08,,,,,,            4.1420,           10.7008,           14.4270,           21.2824,          -37.0574,            1.1483,            4.7400,           -0.4111,           -0.2287,          -61.1459,
Ref 16,5.08082e-08,,,,,,1.1984e-02,4.2127e-03,4.9040e-05,4.6404e-06,4.3274e-08,,,,,,,,,,,
Sam 16,4.94341e-08,1.20334e-02,4.2579e-03,4.9744e-05,4.7382e-06,4.1985e-08,,,,,,            4.1418,           10.7144,           14.3755,           21.2154,          -18.5152,            1.1476,            4.7535,           -0.4748,           -0.3212,          -43.0926,
Ref 17,5.00083e-08,,,,,,1.1984e-02,4.2128e-03,4.9039e-05,4.6391e-06,4.2272e-08,,,,,,,,,,,
Sam 17,4.86178e-08,1.20334e-02,4.2579e-03,4.9743e-05,4.7372e-06,4.2620e-08,,,,,,            4.1350,           10.7178,           14.3816,           21.0032,           32.2397,            1.1402,            4.7570,           -0.4652,           -0.5358,            6.3918,
Ref 18,4.92271e-08,,,,,,1.1984e-02,4.2128e-03,4.9037e-05,4.6403e-06,4.0291e-08,,,,,,,,,,,
Sam 18,4.78194e-08,1.20336e-02,4.2580e-03,4.9742e-05,4.7384e-06,4.3915e-08,,,,,,            4.1453,           10.7210,           14.3736,           21.3007,           47.5043,            1.1511,            4.7601,           -0.4868,           -0.2509,           21.2567,
Ref 19,4.84596e-08,,,,,,1.1984e-02,4.2128e-03,4.9037e-05,4.6388e-06,4.3582e-08,,,,,,,,,,,
Sam 19,4.70385e-08,1.20336e-02,4.2580e-03,4.9747e-05,4.7409e-06,4.4625e-08,,,,,,            4.1509,           10.7153,           14.4088,           22.2226,           70.2100,            1.1572,            4.7545,           -0.4522,            0.6628,           43.3988,
Ref 20,4.77115e-08,,,,,,1.1984e-02,4.2129e-03,4.9043e-05,4.6370e-06,3.9783e-08,,,,,,,,,,,
Sam 20,4.62702e-08,1.20336e-02,4.2580e-03,4.9743e-05,4.7369e-06,4.5061e-08,,,,,,            4.1543,           10.7123,           14.3418,           21.4006,           88.3355,            1.1610,            4.7515,           -0.5189,           -0.1359,           61.0725,
Ref 21,4.69789e-08,,,,,,1.1984e-02,4.2128e-03,4.9036e-05,4.6383e-06,4.3049e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.66151e-08,,,,,,1.1984e-02,4.2129e-03,4.9031e-05,4.6373e-06,4.2878e-08,
Sam 1,4.51464e-08,1.20335e-02,4.2580e-03,4.9746e-05,4.7372e-06,4.2356e-08,,,,,,            4.1391,           10.6994,           14.5714,           21.4119,           13.8587,            1.1452,            4.7387,           -0.2645,           -0.0993,          -11.4978,
Ref 2,4.58960e-08,,,,,,1.1984e-02,4.2129e-03,4.9032e-05,4.6385e-06,4.0659e-08,,,,,,,,,,,
Sam 2,4.44128e-08,1.20334e-02,4.2579e-03,4.9743e-05,4.7394e-06,4.1369e-08,,,,,,            4.1433,           10.6863,           14.4707,           21.6064,           -0.0076,            1.1502,            4.7256,           -0.3552,            0.1172,          -24.9967,
Ref 3,4.51939e-08,,,,,,1.1984e-02,4.2129e-03,4.9036e-05,4.6397e-06,4.2090e-08,,,,,,,,,,,
Sam 3,4.36945e-08,1.20334e-02,4.2580e-03,4.9746e-05,4.7374e-06,4.1492e-08,,,,,,            4.1488,           10.7062,           14.4864,           21.0013,            4.1649,            1.1554,            4.7454,           -0.3649,           -0.5146,          -20.9722,
Ref 4,4.45066e-08,,,,,,1.1984e-02,4.2129e-03,4.9035e-05,4.6401e-06,4.0538e-08,,,,,,,,,,,
Sam 4,4.29941e-08,1.20334e-02,4.2580e-03,4.9749e-05,4.7411e-06,4.0180e-08,,,,,,            4.1533,           10.7076,           14.5619,           21.7268,           -1.5709,            1.1601,            4.7468,           -0.2964,            0.1928,          -26.5718,
Ref 5,4.38304e-08,,,,,,1.1983e-02,4.2129e-03,4.9034e-05,4.6405e-06,3.9944e-08,,,,,,,,,,,
Sam 5,4.23096e-08,1.20332e-02,4.2579e-03,4.9741e-05,4.7429e-06,4.0218e-08,,,,,,            4.1446,           10.6796,           14.3674,           22.2400,           -6.1444,            1.1518,            4.7189,           -0.4519,            0.7506,          -30.9689,
Ref 6,4.31721e-08,,,,,,1.1984e-02,4.2129e-03,4.9039e-05,4.6389e-06,4.0996e-08,,,,,,,,,,,
Sam 6,4.16390e-08,1.20332e-02,4.2579e-03,4.9745e-05,4.7384e-06,4.1681e-08,,,,,,            4.1397,           10.6921,           14.3920,           21.5393,           53.3794,            1.1462,            4.7314,           -0.4348,            0.0399,           27.0484,
Ref 7,4.25221e-08,,,,,,1.1984e-02,4.2129e-03,4.9040e-05,4.6381e-06,3.8120e-08,,,,,,,,,,,
Sam 7,4.09822e-08,1.20332e-02,4.2580e-03,4.9745e-05,4.7377e-06,3.8623e-08,,,,,,            4.1456,           10.7122,           14.3905,           21.6658,           16.8993,            1.1517,            4.7514,           -0.4619,            0.1239,           -8.5649,
Ref 8,4.18869e-08,,,,,,1.1984e-02,4.2128e-03,4.9039e-05,4.6362e-06,3.7840e-08,,,,,,,,,,,
Sam 8,4.03414e-08,1.20332e-02,4.2579e-03,4.9746e-05,4.7335e-06,3.7973e-08,,,,,,            4.1453,           10.7099,           14.4455,           20.8235,            5.1606,            1.1515,            4.7491,           -0.4052,           -0.6960,          -20.0049,
Ref 9,4.12618e-08,,,,,,1.1984e-02,4.2129e-03,4.9037e-05,4.6376e-06,3.7716e-08,,,,,,,,,,,
Sam 9,3.97107e-08,1.20331e-02,4.2579e-03,4.9747e-05,4.7355e-06,3.4938e-08,,,,,,            4.1356,           10.6903,           14.4680,           21.0375,          -19.5217,            1.1419,            4.7296,           -0.3539,           -0.4477,          -44.0229,
Ref 10,4.06488e-08,,,,,,1.1983e-02,4.2129e-03,4.9038e-05,4.6383e-06,3.3520e-08,,,,,,,,,,,
Sam 10,3.90965e-08,1.20329e-02,4.2578e-03,4.9743e-05,4.7387e-06,3.5226e-08,,,,,,            4.1390,           10.6847,           14.3772,           21.7209,           51.4031,            1.1456,            4.7240,           -0.4414,            0.2323,           25.1370,
Ref 11,4.00475e-08,,,,,,1.1983e-02,4.2128e-03,4.9039e-05,4.6375e-06,3.3488e-08,,,,,,,,,,,
Sam 11,3.84944e-08,1.20329e-02,4.2578e-03,4.9747e-05,4.7335e-06,3.6307e-08,,,,,,            4.1491,           10.6926,           14.4593,           20.6821,           60.9317,            1.1561,            4.7318,           -0.3786,           -0.8002,           34.4006,
Ref 12,3.94585e-08,,,,,,1.1983e-02,4.2128e-03,4.9037e-05,4.6376e-06,3.4967e-08,,,,,,,,,,,
Sam 12,3.79040e-08,1.20328e-02,4.2579e-03,4.9740e-05,4.7347e-06,3.8061e-08,,,,,,            4.1423,           10.7041,           14.2849,           20.7884,           40.4133,            1.1485,            4.7433,           -0.5547,           -0.7189,           14.3800,
Ref 13,3.88806e-08,,,,,,1.1983e-02,4.2127e-03,4.9041e-05,4.6390e-06,3.8223e-08,,,,,,,,,,,
Sam 13,3.73326e-08,1.20327e-02,4.2578e-03,4.9746e-05,4.7321e-06,3.5847e-08,,,,,,            4.1410,           10.6950,           14.3435,           20.4170,           10.8260,            1.1475,            4.7343,           -0.4868,           -1.0646,          -14.4483,
Ref 14,3.83174e-08,,,,,,1.1983e-02,4.2127e-03,4.9044e-05,4.6357e-06,3.2662e-08,,,,,,,,,,,
Sam 14,3.67642e-08,1.20327e-02,4.2577e-03,4.9750e-05,4.7350e-06,3.1785e-08,,,,,,            4.1400,           10.6838,           14.4183,           21.3169,           32.4635,            1.1467,            4.7230,           -0.4010,           -0.1613,            6.6714,
Ref 15,3.77608e-08,,,,,,1.1983e-02,4.2127e-03,4.9042e-05,4.6367e-06,2.8881e-08,,,,,,,,,,,
Sam 15,3.62118e-08,1.20326e-02,4.2577e-03,4.9748e-05,4.7342e-06,3.3583e-08,,,,,,            4.1363,           10.6859,           14.4605,           20.8236,          130.1658,            1.1427,            4.7252,           -0.3577,           -0.6484,          101.9327,
Ref 16,3.72181e-08,,,,,,1.1983e-02,4.2127e-03,4.9036e-05,4.6386e-06,3.0561e-08,,,,,,,,,,,
Sam 16,3.56663e-08,1.20325e-02,4.2578e-03,4.9742e-05,4.7374e-06,3.1500e-08,,,,,,            4.1480,           10.7046,           14.3775,           21.7830,          -38.9997,            1.1545,            4.7438,           -0.4697,            0.2537,          -63.0525,
Ref 17,3.66842e-08,,,,,,1.1983e-02,4.2127e-03,4.9037e-05,4.6341e-06,3.5027e-08,,,,,,,,,,,
Sam 17,3.51288e-08,1.20324e-02,4.2577e-03,4.9736e-05,4.7317e-06,3.3412e-08,,,,,,            4.1461,           10.6916,           14.2632,           20.7535,           -2.0548,            1.1529,            4.7308,           -0.5676,           -0.7283,          -27.0057,
Ref 18,3.61581e-08,,,,,,1.1983e-02,4.2126e-03,4.9035e-05,4.6368e-06,3.1912e-08,,,,,,,,,,,
Sam 18,3.46019e-08,1.20324e-02,4.2577e-03,4.9742e-05,4.7340e-06,2.9823e-08,,,,,,            4.1377,           10.6879,           14.4116,           21.1008,          -39.1363,            1.1442,            4.7271,           -0.4093,           -0.3810,          -63.1450,
Ref 19,3.56431e-08,,,,,,1.1983e-02,4.2127e-03,4.9035e-05,4.6354e-06,3.0151e-08,,,,,,,,,,,
Sam 19,3.40894e-08,1.20324e-02,4.2576e-03,4.9743e-05,4.7332e-06,3.1562e-08,,,,,,            4.1468,           10.6872,           14.4024,           20.9304,          110.4306,            1.1539,            4.7264,           -0.4270,           -0.5464,           82.6758,
Ref 20,3.51386e-08,,,,,,1.1983e-02,4.2125e-03,4.9038e-05,4.6368e-06,2.6670e-08,,,,,,,,,,,
Sam 20,3.35822e-08,1.20322e-02,4.2576e-03,4.9746e-05,4.7334e-06,2.7571e-08,,,,,,            4.1442,           10.6949,           14.3711,           21.0483,           37.2178,            1.1509,            4.7342,           -0.4627,           -0.4464,           11.2804,
Ref 21,3.46400e-08,,,,,,1.1983e-02,4.2126e-03,4.9044e-05,4.6349e-06,2.6492e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.43970e-08,,,,,,1.1983e-02,4.2125e-03,4.9037e-05,4.6330e-06,2.5577e-08,
Sam 1,3.28427e-08,1.20321e-02,4.2576e-03,4.9750e-05,4.7295e-06,2.5791e-08,,,,,,            4.1427,           10.6989,           14.4836,           20.9290,          -21.2168,            1.1492,            4.7381,           -0.3542,           -0.5709,          -45.6988,
Ref 2,3.39120e-08,,,,,,1.1982e-02,4.2125e-03,4.9042e-05,4.6322e-06,2.7134e-08,,,,,,,,,,,
Sam 2,3.23632e-08,1.20320e-02,4.2575e-03,4.9740e-05,4.7317e-06,2.4438e-08,,,,,,            4.1416,           10.6824,           14.2144,           21.3431,          -97.8133,            1.1485,            4.7217,           -0.6022,           -0.1330,         -120.3501,
Ref 3,3.34351e-08,,,,,,1.1982e-02,4.2124e-03,4.9042e-05,4.6334e-06,2.7040e-08,,,,,,,,,,,
Sam 3,3.18904e-08,1.20319e-02,4.2574e-03,4.9744e-05,4.7346e-06,2.5238e-08,,,,,,            4.1385,           10.6908,           14.2819,           21.5107,          -50.7478,            1.1449,            4.7301,           -0.5408,            0.0145,          -74.4725,
Ref 4,3.29673e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6365e-06,2.6127e-08,,,,,,,,,,,
Sam 4,3.14305e-08,1.20318e-02,4.2574e-03,4.9748e-05,4.7310e-06,2.5163e-08,,,,,,            4.1407,           10.6828,           14.4265,           20.6872,          -61.8869,            1.1475,            4.7221,           -0.3928,           -0.7759,          -85.3210,
Ref 5,3.25099e-08,,,,,,1.1982e-02,4.2124e-03,4.9036e-05,4.6337e-06,2.7529e-08,,,,,,,,,,,
Sam 5,3.09758e-08,1.20317e-02,4.2574e-03,4.9745e-05,4.7336e-06,2.7663e-08,,,,,,            4.1384,           10.6851,           14.4550,           21.5556,           -5.0295,            1.1450,            4.7244,           -0.3645,            0.0698,          -29.8858,
Ref 6,3.20569e-08,,,,,,1.1982e-02,4.2124e-03,4.9036e-05,4.6338e-06,2.8080e-08,,,,,,,,,,,
Sam 6,3.05317e-08,1.20317e-02,4.2573e-03,4.9735e-05,4.7323e-06,2.9758e-08,,,,,,            4.1440,           10.6865,           14.2593,           21.6143,           28.8856,            1.1509,            4.7258,           -0.5645,            0.1244,            3.1733,
Ref 7,3.16169e-08,,,,,,1.1982e-02,4.2123e-03,4.9036e-05,4.6305e-06,2.9777e-08,,,,,,,,,,,
Sam 7,3.00976e-08,1.20316e-02,4.2573e-03,4.9744e-05,4.7359e-06,2.7751e-08,,,,,,            4.1395,           10.6821,           14.4465,           22.6735,          -28.3141,            1.1462,            4.7214,           -0.3712,            1.1699,          -52.5844,
Ref 8,3.11816e-08,,,,,,1.1982e-02,4.2123e-03,4.9035e-05,4.6312e-06,2.7325e-08,,,,,,,,,,,
Sam 8,2.96737e-08,1.20316e-02,4.2573e-03,4.9745e-05,4.7315e-06,2.6768e-08,,,,,,            4.1401,           10.6795,           14.4262,           21.3666,          -22.6653,            1.1470,            4.7188,           -0.3893,           -0.1042,          -47.0724,
Ref 9,3.07577e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6339e-06,2.7452e-08,,,,,,,,,,,
Sam 9,2.92554e-08,1.20315e-02,4.2572e-03,4.9751e-05,4.7346e-06,2.8642e-08,,,,,,            4.1279,           10.6620,           14.5909,           22.1611,           63.0401,            1.1346,            4.7014,           -0.1974,            0.7082,           36.5413,
Ref 10,3.03399e-08,,,,,,1.1982e-02,4.2123e-03,4.9030e-05,4.6299e-06,2.6427e-08,,,,,,,,,,,
Sam 10,2.88460e-08,1.20314e-02,4.2572e-03,4.9747e-05,4.7323e-06,3.1943e-08,,,,,,            4.1367,           10.6725,           14.5127,           21.8317,          154.9491,            1.1436,            4.7119,           -0.2937,            0.3649,          126.1256,
Ref 11,2.99297e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6326e-06,2.8904e-08,,,,,,,,,,,
Sam 11,2.84444e-08,1.20313e-02,4.2571e-03,4.9741e-05,4.7283e-06,2.4498e-08,,,,,,            4.1362,           10.6610,           14.3976,           20.6559,         -135.1919,            1.1435,            4.7004,           -0.3955,           -0.7634,         -156.7551,
Ref 12,2.95257e-08,,,,,,1.1982e-02,4.2122e-03,4.9030e-05,4.6327e-06,2.7743e-08,,,,,,,,,,,
Sam 12,2.80503e-08,1.20312e-02,4.2571e-03,4.9737e-05,4.7261e-06,2.9203e-08,,,,,,            4.1242,           10.6590,           14.3502,           20.3918,           58.5148,            1.1308,            4.6984,           -0.4278,           -1.0179,           32.1389,
Ref 13,2.91311e-08,,,,,,1.1982e-02,4.2121e-03,4.9037e-05,4.6306e-06,2.7432e-08,,,,,,,,,,,
Sam 13,2.76612e-08,1.20312e-02,4.2571e-03,4.9741e-05,4.7334e-06,2.7137e-08,,,,,,            4.1334,           10.6796,           14.4027,           21.9393,         -106.9779,            1.1399,            4.7190,           -0.4056,            0.4562,         -129.2736,
Ref 14,2.87406e-08,,,,,,1.1982e-02,4.2121e-03,4.9033e-05,4.6330e-06,3.3385e-08,,,,,,,,,,,
Sam 14,2.72824e-08,1.20311e-02,4.2570e-03,4.9733e-05,4.7308e-06,2.9520e-08,,,,,,            4.1343,           10.6720,           14.2835,           20.7837,         -147.6941,            1.1411,            4.7113,           -0.5166,           -0.6600,         -168.9615,
Ref 15,2.83592e-08,,,,,,1.1981e-02,4.2120e-03,4.9032e-05,4.6360e-06,3.5903e-08,,,,,,,,,,,
Sam 15,2.69102e-08,1.20308e-02,4.2569e-03,4.9741e-05,4.7345e-06,3.3849e-08,,,,,,            4.1258,           10.6736,           14.3763,           21.9595,           39.9446,            1.1320,            4.7130,           -0.4180,            0.4879,           14.0007,
Ref 16,2.79845e-08,,,,,,1.1981e-02,4.2119e-03,4.9041e-05,4.6295e-06,2.9150e-08,,,,,,,,,,,
Sam 16,2.65435e-08,1.20309e-02,4.2569e-03,4.9733e-05,4.7364e-06,3.5246e-08,,,,,,            4.1303,           10.6781,           14.1901,           22.3467,          175.2691,            1.1367,            4.7174,           -0.6105,            0.8581,          145.9338,
Ref 17,2.76163e-08,,,,,,1.1981e-02,4.2119e-03,4.9032e-05,4.6363e-06,3.0840e-08,,,,,,,,,,,
Sam 17,2.61831e-08,1.20307e-02,4.2568e-03,4.9729e-05,4.7307e-06,3.0398e-08,,,,,,            4.1277,           10.6678,           14.1910,           20.4700,           -9.1531,            1.1342,            4.7072,           -0.5968,           -0.9587,          -33.8629,
Ref 18,2.72549e-08,,,,,,1.1981e-02,4.2119e-03,4.9034e-05,4.6353e-06,3.0514e-08,,,,,,,,,,,
Sam 18,2.58274e-08,1.20305e-02,4.2569e-03,4.9740e-05,4.7293e-06,2.9750e-08,,,,,,            4.1232,           10.6894,           14.3995,           20.8538,          -55.3173,            1.1287,            4.7287,           -0.4078,           -0.6257,          -78.9102,
Ref 19,2.68968e-08,,,,,,1.1981e-02,4.2118e-03,4.9034e-05,4.6300e-06,3.2483e-08,,,,,,,,,,,
Sam 19,2.54782e-08,1.20307e-02,4.2567e-03,4.9739e-05,4.7336e-06,3.3000e-08,,,,,,            4.1423,           10.6525,           14.3889,           21.9937,           40.1467,            1.1503,            4.6919,           -0.4019,            0.5632,           14.2219,
Ref 20,2.65452e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6334e-06,3.0960e-08,,,,,,,,,,,
Sam 20,2.51359e-08,1.20304e-02,4.2567e-03,4.9738e-05,4.7313e-06,2.5318e-08,,,,,,            4.1359,           10.6528,           14.4686,           20.8261,         -220.0852,            1.1434,            4.6923,           -0.3171,           -0.5805,         -239.5191,
Ref 21,2.62021e-08,,,,,,1.1981e-02,4.2118e-03,4.9024e-05,4.6361e-06,3.3985e-08,,,,,,,,,,,


