Nu Stable Isotope Analysis Program
Data Collected on Friday, February 17, 2023 at 18:03 with Stable 1.71.5 on PS019,Reanalyzed on Friday, February 17, 2023 at 19:02 with Stable 1.71.5 on PS019

Data File = Data_19354 ETH-4.txt,         Sample Weight = 415,                      Vial Location = 34,                       Initial Sam Beam = 1.3633e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8274e-08,                Max Ref Beam = 1.0617e-07,                

Analysis undertaken at mass 46.04374
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.38631e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6410e-06,4.8047e-08,
Sam 1,5.31675e-08,1.18953e-02,4.1888e-03,4.8363e-05,4.5900e-06,4.6513e-08,,,,,,           -7.3063,           -5.5918,          -13.5451,          -10.8066,           -8.5535,          -10.4714,          -11.4487,           -0.5615,            0.3495,           10.2909,
Ref 2,5.29728e-08,,,,,,1.1983e-02,4.2124e-03,4.9030e-05,4.6392e-06,4.5763e-08,,,,,,,,,,,
Sam 2,5.22391e-08,1.18955e-02,4.1889e-03,4.8364e-05,4.5888e-06,4.4335e-08,,,,,,           -7.3251,           -5.6087,          -13.5658,          -11.0820,          -33.6526,          -10.4909,          -11.4656,           -0.5462,            0.1051,          -15.2323,
Ref 3,5.21211e-08,,,,,,1.1983e-02,4.2125e-03,4.9027e-05,4.6413e-06,4.5996e-08,,,,,,,,,,,
Sam 3,5.13425e-08,1.18957e-02,4.1889e-03,4.8377e-05,4.5894e-06,4.8386e-08,,,,,,           -7.3151,           -5.5969,          -13.3659,          -11.6836,           24.3900,          -10.4806,          -11.4538,           -0.3659,           -0.5271,           43.8809,
Ref 4,5.12929e-08,,,,,,1.1983e-02,4.2125e-03,4.9037e-05,4.6461e-06,4.8492e-08,,,,,,,,,,,
Sam 4,5.04682e-08,1.18957e-02,4.1890e-03,4.8376e-05,4.5919e-06,4.7584e-08,,,,,,           -7.3167,           -5.5807,          -13.3901,          -11.4892,          -29.6021,          -10.4829,          -11.4377,           -0.4047,           -0.3631,          -11.1684,
Ref 5,5.04844e-08,,,,,,1.1983e-02,4.2126e-03,4.9029e-05,4.6445e-06,4.9588e-08,,,,,,,,,,,
Sam 5,4.96192e-08,1.18957e-02,4.1890e-03,4.8374e-05,4.5919e-06,4.5576e-08,,,,,,           -7.3253,           -5.5916,          -13.4336,          -11.1735,          -26.5437,          -10.4917,          -11.4485,           -0.4290,           -0.0219,           -8.0213,
Ref 6,4.96946e-08,,,,,,1.1983e-02,4.2127e-03,4.9036e-05,4.6430e-06,4.4007e-08,,,,,,,,,,,
Sam 6,4.87875e-08,1.18958e-02,4.1891e-03,4.8370e-05,4.5923e-06,4.2725e-08,,,,,,           -7.3235,           -5.5909,          -13.5099,          -10.5987,          -24.0092,          -10.4898,          -11.4478,           -0.5089,            0.5579,           -5.4419,
Ref 7,4.89198e-08,,,,,,1.1984e-02,4.2126e-03,4.9028e-05,4.6400e-06,4.3541e-08,,,,,,,,,,,
Sam 7,4.79721e-08,1.18958e-02,4.1891e-03,4.8372e-05,4.5885e-06,4.3242e-08,,,,,,           -7.3238,           -5.5945,          -13.3933,          -11.4658,            6.7089,          -10.4899,          -11.4515,           -0.3869,           -0.3116,           25.8683,
Ref 8,4.81594e-08,,,,,,1.1984e-02,4.2127e-03,4.9030e-05,4.6434e-06,4.2357e-08,,,,,,,,,,,
Sam 8,4.71745e-08,1.18957e-02,4.1891e-03,4.8377e-05,4.5903e-06,4.2397e-08,,,,,,           -7.3281,           -5.5992,          -13.4099,          -11.4542,            1.9178,          -10.4944,          -11.4561,           -0.3946,           -0.2905,           21.0001,
Ref 9,4.74142e-08,,,,,,1.1983e-02,4.2127e-03,4.9040e-05,4.6436e-06,4.2273e-08,,,,,,,,,,,
Sam 9,4.63966e-08,1.18956e-02,4.1891e-03,4.8377e-05,4.5940e-06,4.5458e-08,,,,,,           -7.3303,           -5.5961,          -13.5090,          -10.6839,           49.3511,          -10.4969,          -11.4530,           -0.4957,            0.4824,           69.3328,
Ref 10,4.66810e-08,,,,,,1.1984e-02,4.2127e-03,4.9040e-05,4.6435e-06,4.4385e-08,,,,,,,,,,,
Sam 10,4.56335e-08,1.18956e-02,4.1891e-03,4.8376e-05,4.5924e-06,4.7237e-08,,,,,,           -7.3293,           -5.5976,          -13.5919,          -11.1894,            7.2537,          -10.4958,          -11.4545,           -0.5793,           -0.0258,           26.4357,
Ref 11,4.59650e-08,,,,,,1.1983e-02,4.2127e-03,4.9045e-05,4.6452e-06,4.9449e-08,,,,,,,,,,,
Sam 11,4.48855e-08,1.18956e-02,4.1890e-03,4.8376e-05,4.5938e-06,5.0267e-08,,,,,,           -7.3208,           -5.6211,          -13.5976,          -11.2470,           26.1988,          -10.4858,          -11.4779,           -0.5706,           -0.0368,           45.7807,
Ref 12,4.52599e-08,,,,,,1.1983e-02,4.2127e-03,4.9040e-05,4.6469e-06,4.8512e-08,,,,,,,,,,,
Sam 12,4.41591e-08,1.18955e-02,4.1891e-03,4.8381e-05,4.5910e-06,5.0710e-08,,,,,,           -7.3288,           -5.6026,          -13.4437,          -11.5554,           -2.3870,          -10.4950,          -11.4595,           -0.4248,           -0.3860,           16.6209,
Ref 13,4.45749e-08,,,,,,1.1983e-02,4.2127e-03,4.9040e-05,4.6424e-06,5.3185e-08,,,,,,,,,,,
Sam 13,4.34463e-08,1.18955e-02,4.1891e-03,4.8379e-05,4.5958e-06,5.2764e-08,,,,,,           -7.3253,           -5.5983,          -13.5237,          -10.0663,          -20.3633,          -10.4914,          -11.4552,           -0.5137,            1.1114,           -1.7101,
Ref 14,4.38981e-08,,,,,,1.1983e-02,4.2127e-03,4.9043e-05,4.6425e-06,5.4547e-08,,,,,,,,,,,
Sam 14,4.27477e-08,1.18955e-02,4.1892e-03,4.8380e-05,4.5919e-06,5.2083e-08,,,,,,           -7.3283,           -5.5940,          -13.5450,          -11.3636,          -43.4011,          -10.4948,          -11.4509,           -0.5364,           -0.2093,          -25.1917,
Ref 15,4.32337e-08,,,,,,1.1983e-02,4.2128e-03,4.9045e-05,4.6468e-06,5.4343e-08,,,,,,,,,,,
Sam 15,4.20628e-08,1.18954e-02,4.1891e-03,4.8382e-05,4.5930e-06,5.0240e-08,,,,,,           -7.3328,           -5.6127,          -13.4577,          -11.5876,          -74.7496,          -10.4989,          -11.4695,           -0.4248,           -0.3981,          -57.0974,
Ref 16,4.25828e-08,,,,,,1.1983e-02,4.2127e-03,4.9039e-05,4.6470e-06,5.4254e-08,,,,,,,,,,,
Sam 16,4.13954e-08,1.18954e-02,4.1891e-03,4.8375e-05,4.5940e-06,5.2030e-08,,,,,,           -7.3272,           -5.5939,          -13.5608,          -11.2414,          -59.6734,          -10.4936,          -11.4508,           -0.5537,           -0.0860,          -41.7752,
Ref 17,4.19474e-08,,,,,,1.1983e-02,4.2127e-03,4.9041e-05,4.6455e-06,5.6427e-08,,,,,,,,,,,
Sam 17,4.07432e-08,1.18953e-02,4.1891e-03,4.8383e-05,4.5978e-06,5.6918e-08,,,,,,           -7.3286,           -5.5853,          -13.4716,          -10.4292,           25.3156,          -10.4954,          -11.4423,           -0.4703,            0.7182,           44.8154,
Ref 18,4.13216e-08,,,,,,1.1983e-02,4.2127e-03,4.9047e-05,4.6470e-06,5.4585e-08,,,,,,,,,,,
Sam 18,4.00992e-08,1.18952e-02,4.1891e-03,4.8386e-05,4.5936e-06,5.3021e-08,,,,,,           -7.3285,           -5.5920,          -13.4783,          -11.5401,           -9.0943,          -10.4950,          -11.4489,           -0.4706,           -0.3917,            9.7644,
Ref 19,4.07073e-08,,,,,,1.1983e-02,4.2127e-03,4.9047e-05,4.6474e-06,5.2413e-08,,,,,,,,,,,
Sam 19,3.94693e-08,1.18951e-02,4.1891e-03,4.8381e-05,4.5955e-06,5.4755e-08,,,,,,           -7.3342,           -5.5825,          -13.5407,          -11.2165,           41.2249,          -10.5014,          -11.4394,           -0.5373,           -0.0837,           61.0275,
Ref 20,4.01050e-08,,,,,,1.1983e-02,4.2126e-03,4.9044e-05,4.6478e-06,5.2764e-08,,,,,,,,,,,
Sam 20,3.88541e-08,1.18952e-02,4.1890e-03,4.8388e-05,4.5963e-06,5.3804e-08,,,,,,           -7.3194,           -5.6140,          -13.3989,          -10.6179,            6.3669,          -10.4846,          -11.4708,           -0.3778,            0.5850,           25.5544,
Ref 21,3.95193e-08,,,,,,1.1983e-02,4.2126e-03,4.9047e-05,4.6435e-06,5.4174e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.92266e-08,,,,,,1.1983e-02,4.2126e-03,4.9046e-05,4.6460e-06,5.6288e-08,
Sam 1,3.79448e-08,1.18950e-02,4.1891e-03,4.8386e-05,4.5946e-06,5.6102e-08,,,,,,           -7.3246,           -5.5945,          -13.3845,          -11.1512,            0.2436,          -10.4908,          -11.4514,           -0.3772,            0.0065,           19.2807,
Ref 2,3.86517e-08,,,,,,1.1983e-02,4.2126e-03,4.9039e-05,4.6468e-06,5.5886e-08,,,,,,,,,,,
Sam 2,3.73560e-08,1.18949e-02,4.1890e-03,4.8395e-05,4.5955e-06,5.0352e-08,,,,,,           -7.3353,           -5.6149,          -13.2494,          -11.2282,          -88.7533,          -10.5015,          -11.4717,           -0.2089,           -0.0303,          -71.3618,
Ref 3,3.80890e-08,,,,,,1.1983e-02,4.2126e-03,4.9050e-05,4.6486e-06,5.4617e-08,,,,,,,,,,,
Sam 3,3.67776e-08,1.18949e-02,4.1889e-03,4.8383e-05,4.5937e-06,5.9064e-08,,,,,,           -7.3268,           -5.6154,          -13.6384,          -11.5365,           75.1715,          -10.4924,          -11.4723,           -0.6114,           -0.3410,           95.6826,
Ref 4,3.75354e-08,,,,,,1.1983e-02,4.2126e-03,4.9054e-05,4.6459e-06,5.5256e-08,,,,,,,,,,,
Sam 4,3.62117e-08,1.18949e-02,4.1890e-03,4.8395e-05,4.5969e-06,5.5311e-08,,,,,,           -7.3282,           -5.5983,          -13.3575,          -10.8833,           -4.5298,          -10.4945,          -11.4552,           -0.3424,            0.2850,           14.4280,
Ref 5,3.69931e-08,,,,,,1.1983e-02,4.2125e-03,4.9045e-05,4.6491e-06,5.5873e-08,,,,,,,,,,,
Sam 5,3.56605e-08,1.18947e-02,4.1890e-03,4.8386e-05,4.5984e-06,5.5895e-08,,,,,,           -7.3308,           -5.5851,          -13.4930,          -10.4261,           18.2118,          -10.4978,          -11.4420,           -0.4899,            0.7209,           37.5785,
Ref 6,3.64573e-08,,,,,,1.1982e-02,4.2124e-03,4.9049e-05,4.6445e-06,5.3903e-08,,,,,,,,,,,
Sam 6,3.51160e-08,1.18946e-02,4.1889e-03,4.8382e-05,4.5992e-06,5.0768e-08,,,,,,           -7.3284,           -5.5974,          -13.5953,          -10.2907,          -23.9590,          -10.4948,          -11.4542,           -0.5839,            0.8825,           -5.3728,
Ref 7,3.59319e-08,,,,,,1.1982e-02,4.2125e-03,4.9048e-05,4.6496e-06,5.0098e-08,,,,,,,,,,,
Sam 7,3.45845e-08,1.18945e-02,4.1889e-03,4.8383e-05,4.5962e-06,4.9294e-08,,,,,,           -7.3338,           -5.5990,          -13.5016,          -11.5105,           -7.5272,          -10.5004,          -11.4558,           -0.4818,           -0.3478,           11.3810,
Ref 8,3.54165e-08,,,,,,1.1982e-02,4.2124e-03,4.9042e-05,4.6498e-06,4.9232e-08,,,,,,,,,,,
Sam 8,3.40649e-08,1.18947e-02,4.1889e-03,4.8379e-05,4.5957e-06,4.8912e-08,,,,,,           -7.3166,           -5.5951,          -13.6536,          -11.8374,          -25.0107,          -10.4823,          -11.4521,           -0.6574,           -0.6862,           -6.4614,
Ref 9,3.49124e-08,,,,,,1.1982e-02,4.2124e-03,4.9056e-05,4.6518e-06,5.1115e-08,,,,,,,,,,,
Sam 9,3.35562e-08,1.18944e-02,4.1888e-03,4.8387e-05,4.5993e-06,5.2244e-08,,,,,,           -7.3218,           -5.6018,          -13.5579,          -10.9249,            0.5574,          -10.4876,          -11.4587,           -0.5485,            0.2501,           19.6122,
Ref 10,3.44152e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6484e-06,5.3329e-08,,,,,,,,,,,
Sam 10,3.30579e-08,1.18943e-02,4.1887e-03,4.8379e-05,4.5975e-06,5.8500e-08,,,,,,           -7.3329,           -5.6145,          -13.6156,          -11.2159,           85.5924,          -10.4990,          -11.4713,           -0.5828,           -0.0186,          106.3075,
Ref 11,3.39284e-08,,,,,,1.1982e-02,4.2123e-03,4.9045e-05,4.6510e-06,5.4453e-08,,,,,,,,,,,
Sam 11,3.25713e-08,1.18941e-02,4.1887e-03,4.8392e-05,4.5979e-06,5.4438e-08,,,,,,           -7.3356,           -5.5970,          -13.3407,          -11.1983,          -28.7701,          -10.5025,          -11.4539,           -0.3188,           -0.0361,          -10.2686,
Ref 12,3.34523e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6488e-06,5.7671e-08,,,,,,,,,,,
Sam 12,3.20947e-08,1.18942e-02,4.1887e-03,4.8380e-05,4.5984e-06,5.8406e-08,,,,,,           -7.3247,           -5.5991,          -13.6361,          -10.8605,           38.0836,          -10.4907,          -11.4560,           -0.6274,            0.3098,           57.8506,
Ref 13,3.29877e-08,,,,,,1.1982e-02,4.2123e-03,4.9051e-05,4.6489e-06,5.4835e-08,,,,,,,,,,,
Sam 13,3.16324e-08,1.18941e-02,4.1886e-03,4.8388e-05,4.5953e-06,5.5794e-08,,,,,,           -7.3307,           -5.6056,          -13.4883,          -11.5011,           11.1222,          -10.4969,          -11.4624,           -0.4651,           -0.3251,           30.3956,
Ref 14,3.25361e-08,,,,,,1.1982e-02,4.2122e-03,4.9048e-05,4.6486e-06,5.5530e-08,,,,,,,,,,,
Sam 14,3.11775e-08,1.18940e-02,4.1885e-03,4.8391e-05,4.5966e-06,5.6637e-08,,,,,,           -7.3275,           -5.6137,          -13.3936,          -11.3129,          -23.3719,          -10.4932,          -11.4705,           -0.3643,           -0.1185,           -4.7434,
Ref 15,3.20862e-08,,,,,,1.1982e-02,4.2122e-03,4.9048e-05,4.6499e-06,6.0488e-08,,,,,,,,,,,
Sam 15,3.07270e-08,1.18939e-02,4.1885e-03,4.8381e-05,4.5972e-06,5.8910e-08,,,,,,           -7.3273,           -5.6253,          -13.5898,          -11.4730,           -4.9400,          -10.4926,          -11.4821,           -0.5518,           -0.2569,           14.0633,
Ref 16,3.16463e-08,,,,,,1.1982e-02,4.2122e-03,4.9046e-05,4.6513e-06,5.7899e-08,,,,,,,,,,,
Sam 16,3.02840e-08,1.18938e-02,4.1885e-03,4.8395e-05,4.5975e-06,5.8308e-08,,,,,,           -7.3362,           -5.6056,          -13.2813,          -10.9989,            4.5014,          -10.5028,          -11.4624,           -0.2495,            0.1828,           23.6547,
Ref 17,3.12152e-08,,,,,,1.1982e-02,4.2121e-03,4.9047e-05,4.6460e-06,5.8195e-08,,,,,,,,,,,
Sam 17,2.98501e-08,1.18938e-02,4.1885e-03,4.8389e-05,4.6020e-06,5.8694e-08,,,,,,           -7.3264,           -5.6158,          -13.4139,           -9.8047,           11.8698,          -10.4920,          -11.4726,           -0.3839,            1.4112,           31.1736,
Ref 18,3.07904e-08,,,,,,1.1982e-02,4.2122e-03,4.9047e-05,4.6491e-06,5.7813e-08,,,,,,,,,,,
Sam 18,2.94239e-08,1.18937e-02,4.1885e-03,4.8388e-05,4.6000e-06,6.0547e-08,,,,,,           -7.3256,           -5.5909,          -13.4492,          -10.8707,           22.8124,          -10.4920,          -11.4478,           -0.4452,            0.2828,           42.2727,
Ref 19,3.03725e-08,,,,,,1.1981e-02,4.2120e-03,4.9049e-05,4.6521e-06,6.0599e-08,,,,,,,,,,,
Sam 19,2.90043e-08,1.18937e-02,4.1884e-03,4.8387e-05,4.5938e-06,5.7896e-08,,,,,,           -7.3261,           -5.6062,          -13.5012,          -12.6358,          -10.6981,          -10.4920,          -11.4631,           -0.4822,           -1.4713,            8.1557,
Ref 20,2.99611e-08,,,,,,1.1981e-02,4.2120e-03,4.9050e-05,4.6531e-06,5.6417e-08,,,,,,,,,,,
Sam 20,2.86029e-08,1.18935e-02,4.1885e-03,4.8382e-05,4.5986e-06,5.5408e-08,,,,,,           -7.3441,           -5.6017,          -13.6394,          -11.4493,            3.6540,          -10.5113,          -11.4585,           -0.6081,           -0.2805,           22.7919,
Ref 21,2.95784e-08,,,,,,1.1982e-02,4.2121e-03,4.9053e-05,4.6505e-06,5.3980e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.93798e-08,,,,,,1.1981e-02,4.2121e-03,4.9050e-05,4.6539e-06,5.1599e-08,
Sam 1,2.80170e-08,1.18936e-02,4.1885e-03,4.8388e-05,4.6003e-06,5.1480e-08,,,,,,           -7.3248,           -5.5938,          -13.5603,          -11.4902,          -39.0367,          -10.4911,          -11.4507,           -0.5558,           -0.3378,          -20.7484,
Ref 2,2.89897e-08,,,,,,1.1981e-02,4.2120e-03,4.9056e-05,4.6536e-06,5.5569e-08,,,,,,,,,,,
Sam 2,2.76301e-08,1.18936e-02,4.1884e-03,4.8386e-05,4.6018e-06,5.3016e-08,,,,,,           -7.3218,           -5.6133,          -13.6359,          -11.1961,          -36.1285,          -10.4872,          -11.4701,           -0.6162,           -0.0012,          -17.7501,
Ref 3,2.86045e-08,,,,,,1.1981e-02,4.2120e-03,4.9054e-05,4.6543e-06,5.4430e-08,,,,,,,,,,,
Sam 3,2.72480e-08,1.18934e-02,4.1883e-03,4.8384e-05,4.6000e-06,5.2762e-08,,,,,,           -7.3221,           -5.6160,          -13.5754,          -11.4066,          -22.8532,          -10.4875,          -11.4728,           -0.5519,           -0.2085,           -4.2159,
Ref 4,2.82259e-08,,,,,,1.1981e-02,4.2119e-03,4.9046e-05,4.6519e-06,5.3557e-08,,,,,,,,,,,
Sam 4,2.68698e-08,1.18933e-02,4.1883e-03,4.8386e-05,4.6035e-06,4.9232e-08,,,,,,           -7.3243,           -5.5909,          -13.3790,          -10.3346,          -54.5802,          -10.4907,          -11.4479,           -0.3754,            0.8252,          -36.5935,
Ref 5,2.78481e-08,,,,,,1.1981e-02,4.2118e-03,4.9037e-05,4.6513e-06,5.0572e-08,,,,,,,,,,,
Sam 5,2.65085e-08,1.18932e-02,4.1882e-03,4.8389e-05,4.6005e-06,5.0254e-08,,,,,,           -7.3257,           -5.6024,          -13.3201,          -10.8542,            6.8933,          -10.4917,          -11.4593,           -0.3029,            0.3228,           26.0742,
Ref 6,2.74905e-08,,,,,,1.1981e-02,4.2118e-03,4.9048e-05,4.6507e-06,4.9240e-08,,,,,,,,,,,
Sam 6,2.61488e-08,1.18930e-02,4.1882e-03,4.8389e-05,4.6011e-06,4.9680e-08,,,,,,           -7.3353,           -5.6016,          -13.4862,          -10.6817,           14.3416,          -10.5020,          -11.4585,           -0.4620,            0.4957,           33.6734,
Ref 7,2.71306e-08,,,,,,1.1981e-02,4.2118e-03,4.9054e-05,4.6508e-06,4.8713e-08,,,,,,,,,,,
Sam 7,2.57930e-08,1.18930e-02,4.1882e-03,4.8389e-05,4.6011e-06,5.2536e-08,,,,,,           -7.3254,           -5.5849,          -13.4370,          -11.1429,           78.4188,          -10.4920,          -11.4419,           -0.4389,           -0.0043,           98.9239,
Ref 8,2.67791e-08,,,,,,1.1981e-02,4.2117e-03,4.9043e-05,4.6552e-06,4.8718e-08,,,,,,,,,,,
Sam 8,2.54438e-08,1.18931e-02,4.1881e-03,4.8390e-05,4.6012e-06,5.1408e-08,,,,,,           -7.3185,           -5.6022,          -13.3709,          -11.4597,           21.1143,          -10.4841,          -11.4591,           -0.3621,           -0.2901,           40.5576,
Ref 9,2.64261e-08,,,,,,1.1981e-02,4.2117e-03,4.9050e-05,4.6540e-06,5.1994e-08,,,,,,,,,,,
Sam 9,2.50981e-08,1.18927e-02,4.1880e-03,4.8383e-05,4.6047e-06,5.8165e-08,,,,,,           -7.3472,           -5.6129,          -13.6152,          -10.3792,           30.0634,          -10.5143,          -11.4697,           -0.5691,            0.8244,           49.7318,
Ref 10,2.60835e-08,,,,,,1.1981e-02,4.2116e-03,4.9051e-05,4.6519e-06,6.1000e-08,,,,,,,,,,,
Sam 10,2.47631e-08,1.18927e-02,4.1880e-03,4.8389e-05,4.6039e-06,6.0743e-08,,,,,,           -7.3315,           -5.6142,          -13.5175,          -10.6534,           48.0043,          -10.4974,          -11.4710,           -0.4854,            0.5495,           67.9998,
Ref 11,2.57493e-08,,,,,,1.1981e-02,4.2116e-03,4.9054e-05,4.6550e-06,5.4882e-08,,,,,,,,,,,
Sam 11,2.44340e-08,1.18926e-02,4.1879e-03,4.8393e-05,4.6042e-06,5.8641e-08,,,,,,           -7.3334,           -5.6110,          -13.4356,          -11.3174,           33.5836,          -10.4996,          -11.4678,           -0.4034,           -0.1283,           53.2996,
Ref 12,2.54188e-08,,,,,,1.1980e-02,4.2115e-03,4.9051e-05,4.6588e-06,5.8613e-08,,,,,,,,,,,
Sam 12,2.41105e-08,1.18927e-02,4.1880e-03,4.8383e-05,4.6067e-06,5.6409e-08,,,,,,           -7.3172,           -5.5974,          -13.6125,          -10.8578,          -59.3822,          -10.4828,          -11.4543,           -0.6130,            0.3091,          -41.4819,
Ref 13,2.50941e-08,,,,,,1.1980e-02,4.2116e-03,4.9050e-05,4.6558e-06,6.1345e-08,,,,,,,,,,,
Sam 13,2.37935e-08,1.18926e-02,4.1879e-03,4.8380e-05,4.6031e-06,6.1700e-08,,,,,,           -7.3269,           -5.6088,          -13.7139,          -11.1442,           16.2952,          -10.4928,          -11.4657,           -0.6943,            0.0424,           35.6698,
Ref 14,2.47764e-08,,,,,,1.1980e-02,4.2114e-03,4.9056e-05,4.6542e-06,6.0068e-08,,,,,,,,,,,
Sam 14,2.34807e-08,1.18925e-02,4.1879e-03,4.8379e-05,4.6079e-06,5.9065e-08,,,,,,           -7.3196,           -5.5803,          -13.7372,          -10.2384,          -33.6051,          -10.4860,          -11.4373,           -0.7537,            0.9012,          -15.2450,
Ref 15,2.44628e-08,,,,,,1.1980e-02,4.2114e-03,4.9050e-05,4.6569e-06,6.2183e-08,,,,,,,,,,,
Sam 15,2.31747e-08,1.18924e-02,4.1877e-03,4.8377e-05,4.6053e-06,5.9675e-08,,,,,,           -7.3271,           -5.6141,          -13.6587,          -10.9614,          -50.4760,          -10.4928,          -11.4709,           -0.6329,            0.2379,          -32.3640,
Ref 16,2.41536e-08,,,,,,1.1980e-02,4.2114e-03,4.9045e-05,4.6557e-06,6.3520e-08,,,,,,,,,,,
Sam 16,2.28726e-08,1.18923e-02,4.1877e-03,4.8388e-05,4.5968e-06,6.2284e-08,,,,,,           -7.3329,           -5.6012,          -13.4862,          -12.6995,           -4.9117,          -10.4994,          -11.4581,           -0.4649,           -1.5457,           14.0498,
Ref 17,2.38497e-08,,,,,,1.1980e-02,4.2113e-03,4.9054e-05,4.6561e-06,6.1652e-08,,,,,,,,,,,
Sam 17,2.25754e-08,1.18921e-02,4.1877e-03,4.8386e-05,4.6067e-06,6.3627e-08,,,,,,           -7.3306,           -5.6086,          -13.5869,          -10.5245,          -11.9567,          -10.4968,          -11.4654,           -0.5620,            0.6687,            6.8828,
Ref 18,2.35520e-08,,,,,,1.1980e-02,4.2113e-03,4.9052e-05,4.6552e-06,6.7177e-08,,,,,,,,,,,
Sam 18,2.22864e-08,1.18921e-02,4.1876e-03,4.8381e-05,4.6018e-06,7.0703e-08,,,,,,           -7.3233,           -5.6205,          -13.6203,          -11.5802,           67.0876,          -10.4885,          -11.4773,           -0.5917,           -0.3751,           87.4512,
Ref 19,2.32607e-08,,,,,,1.1980e-02,4.2113e-03,4.9047e-05,4.6562e-06,6.5327e-08,,,,,,,,,,,
Sam 19,2.19989e-08,1.18921e-02,4.1876e-03,4.8383e-05,4.6021e-06,6.8887e-08,,,,,,           -7.3108,           -5.6036,          -13.5028,          -11.0209,           82.9446,          -10.4758,          -11.4605,           -0.5023,            0.1565,          103.5591,
Ref 20,2.29726e-08,,,,,,1.1980e-02,4.2112e-03,4.9043e-05,4.6505e-06,6.1873e-08,,,,,,,,,,,
