Nu Stable Isotope Analysis Program
Data Collected on Saturday, February 18, 2023 at 00:50 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, February 18, 2023 at 01:49 with Stable 1.71.5 on PS019

Data File = Data_19359 ETH-1.txt,         Sample Weight = 466,                      Vial Location = 39,                       Initial Sam Beam = 1.5860e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4957e-08,                Max Ref Beam = 1.0577e-07,                

Analysis undertaken at mass 46.04375
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.38335e-08,,,,,,1.1982e-02,4.2116e-03,4.9011e-05,4.6389e-06,4.7596e-08,
Sam 1,6.30048e-08,1.20392e-02,4.2590e-03,4.9758e-05,4.7422e-06,4.6570e-08,,,,,,            4.7249,           11.2158,           15.1862,           22.2498,           -9.2275,            1.7509,            5.2512,           -0.7620,           -0.3007,          -35.5748,
Ref 2,6.27328e-08,,,,,,1.1983e-02,4.2119e-03,4.9016e-05,4.6391e-06,4.6402e-08,,,,,,,,,,,
Sam 2,6.18565e-08,1.20394e-02,4.2591e-03,4.9756e-05,4.7445e-06,4.8195e-08,,,,,,            4.7009,           11.1732,           15.0972,           22.4130,           58.4386,            1.7268,            5.2089,           -0.7837,           -0.0570,           30.4032,
Ref 3,6.16791e-08,,,,,,1.1983e-02,4.2121e-03,4.9015e-05,4.6419e-06,4.4652e-08,,,,,,,,,,,
Sam 3,6.07447e-08,1.20397e-02,4.2592e-03,4.9759e-05,4.7461e-06,4.7717e-08,,,,,,            4.7115,           11.1790,           15.0901,           22.3228,           36.8331,            1.7379,            5.2146,           -0.8071,           -0.1566,            9.3475,
Ref 4,6.06523e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6429e-06,4.7416e-08,,,,,,,,,,,
Sam 4,5.96627e-08,1.20397e-02,4.2593e-03,4.9758e-05,4.7455e-06,4.7318e-08,,,,,,            4.7110,           11.1841,           14.9683,           22.0790,           -6.6911,            1.7372,            5.2197,           -0.9315,           -0.4052,          -33.0321,
Ref 5,5.96502e-08,,,,,,1.1983e-02,4.2122e-03,4.9025e-05,4.6430e-06,4.7862e-08,,,,,,,,,,,
Sam 5,5.86022e-08,1.20398e-02,4.2594e-03,4.9766e-05,4.7462e-06,5.0069e-08,,,,,,            4.7075,           11.1957,           15.0855,           22.1558,           55.9572,            1.7331,            5.2313,           -0.8240,           -0.3530,           27.9353,
Ref 6,5.86672e-08,,,,,,1.1983e-02,4.2123e-03,4.9027e-05,4.6436e-06,4.6963e-08,,,,,,,,,,,
Sam 6,5.75715e-08,1.20398e-02,4.2595e-03,4.9770e-05,4.7465e-06,4.9590e-08,,,,,,            4.7022,           11.1984,           15.1869,           22.2373,           53.3846,            1.7273,            5.2340,           -0.7213,           -0.2787,           25.4314,
Ref 7,5.77078e-08,,,,,,1.1983e-02,4.2123e-03,4.9024e-05,4.6429e-06,4.7192e-08,,,,,,,,,,,
Sam 7,5.65651e-08,1.20398e-02,4.2595e-03,4.9765e-05,4.7444e-06,4.9739e-08,,,,,,            4.6988,           11.1921,           15.0930,           21.8248,           49.7678,            1.7239,            5.2278,           -0.8041,           -0.6696,           21.9267,
Ref 8,5.67693e-08,,,,,,1.1984e-02,4.2125e-03,4.9025e-05,4.6432e-06,4.7572e-08,,,,,,,,,,,
Sam 8,5.55801e-08,1.20399e-02,4.2596e-03,4.9763e-05,4.7458e-06,4.7097e-08,,,,,,            4.6979,           11.1915,           15.0209,           22.1575,            0.5696,            1.7230,            5.2271,           -0.8735,           -0.3431,          -25.9646,
Ref 9,5.58483e-08,,,,,,1.1984e-02,4.2125e-03,4.9028e-05,4.6426e-06,4.6560e-08,,,,,,,,,,,
Sam 9,5.46165e-08,1.20399e-02,4.2597e-03,4.9767e-05,4.7462e-06,4.6157e-08,,,,,,            4.7058,           11.1895,           15.1291,           22.3405,           17.3169,            1.7314,            5.2251,           -0.7731,           -0.1600,           -9.6657,
Ref 10,5.49451e-08,,,,,,1.1984e-02,4.2126e-03,4.9023e-05,4.6425e-06,4.4162e-08,,,,,,,,,,,
Sam 10,5.36748e-08,1.20399e-02,4.2597e-03,4.9774e-05,4.7447e-06,4.5438e-08,,,,,,            4.7082,           11.1895,           15.2777,           21.8565,           -3.5124,            1.7341,            5.2251,           -0.6294,           -0.6335,          -29.9452,
Ref 11,5.40547e-08,,,,,,1.1983e-02,4.2126e-03,4.9027e-05,4.6440e-06,4.7057e-08,,,,,,,,,,,
Sam 11,5.27528e-08,1.20400e-02,4.2597e-03,4.9772e-05,4.7456e-06,4.7296e-08,,,,,,            4.7123,           11.1880,           15.1746,           21.9593,           16.8382,            1.7385,            5.2236,           -0.7336,           -0.5298,          -10.1356,
Ref 12,5.31927e-08,,,,,,1.1984e-02,4.2126e-03,4.9028e-05,4.6433e-06,4.5960e-08,,,,,,,,,,,
Sam 12,5.18543e-08,1.20399e-02,4.2597e-03,4.9771e-05,4.7466e-06,4.3874e-08,,,,,,            4.6964,           11.1685,           15.0638,           22.1100,          -33.9801,            1.7222,            5.2042,           -0.8075,           -0.3440,          -59.5544,
Ref 13,5.23426e-08,,,,,,1.1984e-02,4.2127e-03,4.9036e-05,4.6445e-06,4.4865e-08,,,,,,,,,,,
Sam 13,5.09765e-08,1.20400e-02,4.2598e-03,4.9774e-05,4.7463e-06,4.6741e-08,,,,,,            4.6972,           11.1809,           15.0731,           21.9525,           45.9835,            1.7226,            5.2165,           -0.8111,           -0.5224,           18.2669,
Ref 14,5.15135e-08,,,,,,1.1984e-02,4.2127e-03,4.9033e-05,4.6441e-06,4.4504e-08,,,,,,,,,,,
Sam 14,5.01189e-08,1.20401e-02,4.2599e-03,4.9780e-05,4.7471e-06,4.6389e-08,,,,,,            4.7100,           11.1883,           15.1951,           22.2292,           68.3550,            1.7360,            5.2239,           -0.7114,           -0.2665,           40.0165,
Ref 15,5.06999e-08,,,,,,1.1984e-02,4.2127e-03,4.9036e-05,4.6436e-06,4.2319e-08,,,,,,,,,,,
Sam 15,4.92804e-08,1.20402e-02,4.2599e-03,4.9772e-05,4.7483e-06,4.8103e-08,,,,,,            4.7082,           11.1851,           15.0000,           22.6681,           94.9532,            1.7342,            5.2207,           -0.8985,            0.1690,           65.9178,
Ref 16,4.99051e-08,,,,,,1.1984e-02,4.2128e-03,4.9036e-05,4.6425e-06,4.5570e-08,,,,,,,,,,,
Sam 16,4.84620e-08,1.20402e-02,4.2600e-03,4.9772e-05,4.7461e-06,4.5322e-08,,,,,,            4.7117,           11.2005,           15.0029,           22.2228,           -2.9884,            1.7374,            5.2361,           -0.9142,           -0.2970,          -29.4594,
Ref 17,4.91249e-08,,,,,,1.1984e-02,4.2128e-03,4.9037e-05,4.6433e-06,4.5343e-08,,,,,,,,,,,
Sam 17,4.76597e-08,1.20400e-02,4.2599e-03,4.9781e-05,4.7465e-06,4.8208e-08,,,,,,            4.6980,           11.1792,           15.1783,           22.3396,           10.6408,            1.7236,            5.2148,           -0.7068,           -0.1405,          -16.1369,
Ref 18,4.83597e-08,,,,,,1.1984e-02,4.2128e-03,4.9036e-05,4.6423e-06,5.0095e-08,,,,,,,,,,,
Sam 18,4.68804e-08,1.20401e-02,4.2600e-03,4.9779e-05,4.7475e-06,4.6473e-08,,,,,,            4.7052,           11.1832,           15.1652,           22.4089,          -15.8050,            1.7310,            5.2189,           -0.7309,           -0.0807,          -41.8968,
Ref 19,4.76153e-08,,,,,,1.1984e-02,4.2129e-03,4.9034e-05,4.6446e-06,4.4299e-08,,,,,,,,,,,
Sam 19,4.61120e-08,1.20400e-02,4.2599e-03,4.9782e-05,4.7468e-06,4.6131e-08,,,,,,            4.6955,           11.1628,           15.1995,           22.0333,           -5.9283,            1.7214,            5.1986,           -0.6674,           -0.4079,          -32.2336,
Ref 20,4.68825e-08,,,,,,1.1984e-02,4.2129e-03,4.9039e-05,4.6443e-06,4.8546e-08,,,,,,,,,,,
Sam 20,4.53560e-08,1.20399e-02,4.2599e-03,4.9781e-05,4.7423e-06,4.9253e-08,,,,,,            4.6970,           11.1818,           15.1069,           20.8370,           25.2436,            1.7224,            5.2175,           -0.7786,           -1.6153,           -1.9251,
Ref 21,4.61639e-08,,,,,,1.1984e-02,4.2128e-03,4.9041e-05,4.6468e-06,4.7527e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.58116e-08,,,,,,1.1984e-02,4.2127e-03,4.9033e-05,4.6457e-06,4.4669e-08,
Sam 1,4.42530e-08,1.20399e-02,4.2599e-03,4.9779e-05,4.7473e-06,4.6068e-08,,,,,,            4.6997,           11.1833,           15.1798,           21.9916,            9.0658,            1.7252,            5.2189,           -0.7110,           -0.4890,          -17.6797,
Ref 2,4.51104e-08,,,,,,1.1984e-02,4.2129e-03,4.9036e-05,4.6447e-06,4.6655e-08,,,,,,,,,,,
Sam 2,4.35341e-08,1.20400e-02,4.2599e-03,4.9776e-05,4.7504e-06,4.8632e-08,,,,,,            4.7066,           11.1748,           15.0408,           22.5681,           49.8621,            1.7329,            5.2105,           -0.8466,            0.0916,           22.0446,
Ref 3,4.44311e-08,,,,,,1.1984e-02,4.2128e-03,4.9040e-05,4.6464e-06,4.5984e-08,,,,,,,,,,,
Sam 3,4.28313e-08,1.20398e-02,4.2600e-03,4.9780e-05,4.7468e-06,4.7435e-08,,,,,,            4.6958,           11.1890,           15.1718,           21.8446,           60.2747,            1.7208,            5.2246,           -0.7204,           -0.6441,           32.1646,
Ref 4,4.37608e-08,,,,,,1.1983e-02,4.2128e-03,4.9033e-05,4.6443e-06,4.3473e-08,,,,,,,,,,,
Sam 4,4.21458e-08,1.20396e-02,4.2599e-03,4.9781e-05,4.7474e-06,4.5283e-08,,,,,,            4.6992,           11.1822,           15.2431,           22.4517,           10.1706,            1.7247,            5.2179,           -0.6471,           -0.0369,          -16.6018,
Ref 5,4.30994e-08,,,,,,1.1983e-02,4.2128e-03,4.9034e-05,4.6420e-06,4.6202e-08,,,,,,,,,,,
Sam 5,4.14708e-08,1.20395e-02,4.2598e-03,4.9777e-05,4.7476e-06,4.5119e-08,,,,,,            4.6969,           11.1624,           15.1375,           22.7592,           -3.4070,            1.7230,            5.1982,           -0.7295,            0.3030,          -29.7797,
Ref 6,4.24508e-08,,,,,,1.1983e-02,4.2128e-03,4.9036e-05,4.6419e-06,4.4330e-08,,,,,,,,,,,
Sam 6,4.08097e-08,1.20395e-02,4.2599e-03,4.9785e-05,4.7438e-06,4.6748e-08,,,,,,            4.6999,           11.1741,           15.2296,           21.7607,           44.9467,            1.7257,            5.2098,           -0.6532,           -0.6966,           17.2681,
Ref 7,4.18140e-08,,,,,,1.1983e-02,4.2128e-03,4.9040e-05,4.6438e-06,4.5151e-08,,,,,,,,,,,
Sam 7,4.01652e-08,1.20395e-02,4.2598e-03,4.9778e-05,4.7451e-06,4.6470e-08,,,,,,            4.7008,           11.1693,           15.0510,           22.1203,           51.5942,            1.7269,            5.2050,           -0.8253,           -0.3355,           23.7480,
Ref 8,4.11882e-08,,,,,,1.1983e-02,4.2128e-03,4.9040e-05,4.6410e-06,4.3214e-08,,,,,,,,,,,
Sam 8,3.95328e-08,1.20396e-02,4.2599e-03,4.9781e-05,4.7461e-06,4.3920e-08,,,,,,            4.7094,           11.1914,           15.1628,           22.2452,           18.9106,            1.7352,            5.2270,           -0.7455,           -0.2571,           -8.1218,
Ref 9,4.05753e-08,,,,,,1.1983e-02,4.2128e-03,4.9035e-05,4.6447e-06,4.2994e-08,,,,,,,,,,,
Sam 9,3.89160e-08,1.20393e-02,4.2598e-03,4.9775e-05,4.7473e-06,4.6385e-08,,,,,,            4.6882,           11.1670,           15.0965,           21.8527,           60.1800,            1.7135,            5.2028,           -0.7654,           -0.5927,           32.1249,
Ref 10,3.99748e-08,,,,,,1.1983e-02,4.2127e-03,4.9035e-05,4.6470e-06,4.4522e-08,,,,,,,,,,,
Sam 10,3.83135e-08,1.20392e-02,4.2598e-03,4.9782e-05,4.7456e-06,4.5579e-08,,,,,,            4.6944,           11.1683,           15.1825,           21.4547,           15.0032,            1.7201,            5.2041,           -0.6883,           -0.9846,          -11.8655,
Ref 11,3.93868e-08,,,,,,1.1983e-02,4.2127e-03,4.9040e-05,4.6449e-06,4.5295e-08,,,,,,,,,,,
Sam 11,3.77208e-08,1.20393e-02,4.2597e-03,4.9782e-05,4.7478e-06,4.3570e-08,,,,,,            4.7076,           11.1576,           15.1354,           22.4772,           17.5993,            1.7345,            5.1934,           -0.7379,            0.0367,           -9.3313,
Ref 12,3.88068e-08,,,,,,1.1983e-02,4.2127e-03,4.9039e-05,4.6420e-06,4.0300e-08,,,,,,,,,,,
Sam 12,3.71407e-08,1.20391e-02,4.2597e-03,4.9785e-05,4.7476e-06,4.1920e-08,,,,,,            4.6988,           11.1678,           15.2571,           22.9034,           13.7361,            1.7248,            5.2035,           -0.6188,            0.4334,          -13.1025,
Ref 13,3.82420e-08,,,,,,1.1983e-02,4.2127e-03,4.9034e-05,4.6406e-06,4.2419e-08,,,,,,,,,,,
Sam 13,3.65778e-08,1.20392e-02,4.2597e-03,4.9779e-05,4.7465e-06,4.5259e-08,,,,,,            4.7057,           11.1637,           15.1744,           22.4383,           93.7659,            1.7323,            5.1994,           -0.7033,           -0.0133,           64.8092,
Ref 14,3.76894e-08,,,,,,1.1983e-02,4.2127e-03,4.9035e-05,4.6441e-06,4.0323e-08,,,,,,,,,,,
Sam 14,3.60181e-08,1.20390e-02,4.2597e-03,4.9781e-05,4.7459e-06,4.3286e-08,,,,,,            4.6921,           11.1734,           15.2333,           22.1077,           66.0153,            1.7174,            5.2091,           -0.6409,           -0.3559,           37.7885,
Ref 15,3.71427e-08,,,,,,1.1983e-02,4.2126e-03,4.9033e-05,4.6424e-06,4.0892e-08,,,,,,,,,,,
Sam 15,3.54752e-08,1.20389e-02,4.2597e-03,4.9783e-05,4.7445e-06,4.2275e-08,,,,,,            4.6987,           11.1736,           15.2334,           22.2245,           87.5385,            1.7244,            5.2093,           -0.6477,           -0.2420,           58.7341,
Ref 16,3.66144e-08,,,,,,1.1983e-02,4.2126e-03,4.9038e-05,4.6403e-06,3.6823e-08,,,,,,,,,,,
Sam 16,3.49433e-08,1.20388e-02,4.2596e-03,4.9781e-05,4.7435e-06,4.2581e-08,,,,,,            4.6940,           11.1538,           15.1280,           22.1841,          100.7410,            1.7201,            5.1897,           -0.7275,           -0.2425,           71.6334,
Ref 17,3.60921e-08,,,,,,1.1983e-02,4.2126e-03,4.9040e-05,4.6409e-06,4.0571e-08,,,,,,,,,,,
Sam 17,3.44188e-08,1.20387e-02,4.2596e-03,4.9784e-05,4.7414e-06,3.6580e-08,,,,,,            4.6929,           11.1707,           15.1719,           21.6374,          -87.7837,            1.7184,            5.2064,           -0.6995,           -0.8106,         -111.9342,
Ref 18,3.55808e-08,,,,,,1.1982e-02,4.2126e-03,4.9040e-05,4.6411e-06,3.9622e-08,,,,,,,,,,,
Sam 18,3.39030e-08,1.20387e-02,4.2595e-03,4.9784e-05,4.7440e-06,3.7542e-08,,,,,,            4.6962,           11.1462,           15.1760,           22.2005,            0.6831,            1.7228,            5.1821,           -0.6751,           -0.2115,          -25.7665,
Ref 19,3.50741e-08,,,,,,1.1982e-02,4.2125e-03,4.9038e-05,4.6409e-06,3.5381e-08,,,,,,,,,,,
Sam 19,3.33963e-08,1.20384e-02,4.2595e-03,4.9777e-05,4.7422e-06,4.1582e-08,,,,,,            4.6851,           11.1620,           15.1687,           22.0050,           82.2692,            1.7104,            5.1978,           -0.6862,           -0.4339,           53.6432,
Ref 20,3.45790e-08,,,,,,1.1982e-02,4.2124e-03,4.9028e-05,4.6393e-06,4.1504e-08,,,,,,,,,,,
Sam 20,3.28995e-08,1.20386e-02,4.2594e-03,4.9776e-05,4.7446e-06,3.9823e-08,,,,,,            4.7030,           11.1497,           15.1957,           22.5703,           11.1131,            1.7299,            5.1855,           -0.6661,            0.1434,          -15.6260,
Ref 21,3.40896e-08,,,,,,1.1982e-02,4.2124e-03,4.9033e-05,4.6405e-06,3.7237e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.38504e-08,,,,,,1.1982e-02,4.2125e-03,4.9034e-05,4.6367e-06,3.6555e-08,
Sam 1,3.21753e-08,1.20384e-02,4.2594e-03,4.9772e-05,4.7445e-06,3.5179e-08,,,,,,            4.6891,           11.1481,           15.0544,           22.7025,            4.2689,            1.7151,            5.1840,           -0.7893,            0.2758,          -22.2717,
Ref 2,3.33779e-08,,,,,,1.1982e-02,4.2124e-03,4.9035e-05,4.6417e-06,3.3483e-08,,,,,,,,,,,
Sam 2,3.17069e-08,1.20384e-02,4.2593e-03,4.9772e-05,4.7431e-06,3.7278e-08,,,,,,            4.7037,           11.1433,           15.0049,           22.1514,           87.1388,            1.7308,            5.1791,           -0.8483,           -0.2537,           58.4017,
Ref 3,3.29123e-08,,,,,,1.1982e-02,4.2124e-03,4.9037e-05,4.6389e-06,3.5108e-08,,,,,,,,,,,
Sam 3,3.12435e-08,1.20383e-02,4.2593e-03,4.9771e-05,4.7412e-06,3.4088e-08,,,,,,            4.6972,           11.1396,           15.1033,           21.8318,          -15.3565,            1.7241,            5.1754,           -0.7412,           -0.5589,          -41.3708,
Ref 4,3.24526e-08,,,,,,1.1982e-02,4.2124e-03,4.9023e-05,4.6410e-06,3.4124e-08,,,,,,,,,,,
Sam 4,3.07922e-08,1.20380e-02,4.2593e-03,4.9773e-05,4.7411e-06,3.3211e-08,,,,,,            4.6835,           11.1361,           15.1829,           21.6226,          -69.3070,            1.7096,            5.1720,           -0.6454,           -0.7566,          -93.8766,
Ref 5,3.20045e-08,,,,,,1.1982e-02,4.2124e-03,4.9034e-05,4.6406e-06,3.7266e-08,,,,,,,,,,,
Sam 5,3.03480e-08,1.20378e-02,4.2593e-03,4.9776e-05,4.7442e-06,3.1470e-08,,,,,,            4.6754,           11.1497,           15.1537,           22.6763,          -76.8217,            1.7005,            5.1856,           -0.6791,            0.2470,         -101.2089,
Ref 6,3.15614e-08,,,,,,1.1982e-02,4.2122e-03,4.9031e-05,4.6373e-06,3.0866e-08,,,,,,,,,,,
Sam 6,2.99124e-08,1.20380e-02,4.2592e-03,4.9775e-05,4.7395e-06,2.8939e-08,,,,,,            4.6902,           11.1497,           15.1024,           21.7841,          -59.6329,            1.7163,            5.1856,           -0.7449,           -0.6256,          -84.4886,
Ref 7,3.11281e-08,,,,,,1.1982e-02,4.2123e-03,4.9038e-05,4.6397e-06,3.0681e-08,,,,,,,,,,,
Sam 7,2.94884e-08,1.20380e-02,4.2591e-03,4.9776e-05,4.7401e-06,2.8882e-08,,,,,,            4.7003,           11.1342,           15.0880,           22.2163,          -52.0791,            1.7276,            5.1701,           -0.7543,           -0.1722,          -77.1164,
Ref 8,3.07047e-08,,,,,,1.1982e-02,4.2122e-03,4.9034e-05,4.6345e-06,3.0254e-08,,,,,,,,,,,
Sam 8,2.90718e-08,1.20378e-02,4.2592e-03,4.9768e-05,4.7402e-06,3.0016e-08,,,,,,            4.6949,           11.1610,           15.0253,           22.2945,           69.0210,            1.7209,            5.1968,           -0.8365,           -0.1488,           40.7366,
Ref 9,3.02864e-08,,,,,,1.1981e-02,4.2122e-03,4.9028e-05,4.6392e-06,2.5872e-08,,,,,,,,,,,
Sam 9,2.86627e-08,1.20376e-02,4.2591e-03,4.9775e-05,4.7393e-06,2.4430e-08,,,,,,            4.6934,           11.1488,           15.1887,           21.6090,          -66.8639,            1.7196,            5.1846,           -0.6621,           -0.7950,          -91.5298,
Ref 10,2.98786e-08,,,,,,1.1981e-02,4.2120e-03,4.9033e-05,4.6389e-06,2.6494e-08,,,,,,,,,,,
Sam 10,2.82607e-08,1.20375e-02,4.2590e-03,4.9768e-05,4.7427e-06,2.3177e-08,,,,,,            4.6855,           11.1410,           15.0653,           22.4766,         -144.8098,            1.7116,            5.1769,           -0.7680,            0.0690,         -167.3959,
Ref 11,2.94762e-08,,,,,,1.1981e-02,4.2121e-03,4.9025e-05,4.6381e-06,2.7717e-08,,,,,,,,,,,
Sam 11,2.78681e-08,1.20374e-02,4.2590e-03,4.9777e-05,4.7421e-06,2.3529e-08,,,,,,            4.6873,           11.1521,           15.3806,           22.0784,         -104.2553,            1.7131,            5.1880,           -0.4703,           -0.3425,         -127.9330,
Ref 12,2.90807e-08,,,,,,1.1981e-02,4.2120e-03,4.9021e-05,4.6413e-06,2.4799e-08,,,,,,,,,,,
Sam 12,2.74809e-08,1.20372e-02,4.2589e-03,4.9773e-05,4.7435e-06,2.0191e-08,,,,,,            4.6864,           11.1370,           15.2306,           22.0393,         -195.6539,            1.7126,            5.1729,           -0.6023,           -0.3508,         -216.8917,
Ref 13,2.86907e-08,,,,,,1.1981e-02,4.2119e-03,4.9032e-05,4.6411e-06,2.5410e-08,,,,,,,,,,,
Sam 13,2.71021e-08,1.20372e-02,4.2588e-03,4.9762e-05,4.7398e-06,2.0717e-08,,,,,,            4.6885,           11.1301,           14.9377,           21.2925,         -199.5724,            1.7152,            5.1660,           -0.8861,           -1.0676,         -220.6980,
Ref 14,2.83129e-08,,,,,,1.1981e-02,4.2120e-03,4.9027e-05,4.6408e-06,2.6361e-08,,,,,,,,,,,
Sam 14,2.67304e-08,1.20372e-02,4.2589e-03,4.9775e-05,4.7405e-06,2.2858e-08,,,,,,            4.6958,           11.1602,           15.2335,           21.5656,          -73.0397,            1.7219,            5.1960,           -0.6317,           -0.8600,          -97.5648,
Ref 15,2.79360e-08,,,,,,1.1981e-02,4.2119e-03,4.9029e-05,4.6400e-06,2.2934e-08,,,,,,,,,,,
Sam 15,2.63636e-08,1.20370e-02,4.2588e-03,4.9764e-05,4.7373e-06,2.2098e-08,,,,,,            4.6818,           11.1428,           15.1159,           21.2040,          -19.4046,            1.7075,            5.1787,           -0.7162,           -1.1794,          -45.3023,
Ref 16,2.75688e-08,,,,,,1.1981e-02,4.2118e-03,4.9017e-05,4.6379e-06,2.2131e-08,,,,,,,,,,,
Sam 16,2.60038e-08,1.20370e-02,4.2587e-03,4.9757e-05,4.7434e-06,1.8388e-08,,,,,,            4.6925,           11.1408,           15.0643,           22.5383,         -188.5185,            1.7190,            5.1766,           -0.7759,            0.1298,         -209.9556,
Ref 17,2.72052e-08,,,,,,1.1981e-02,4.2118e-03,4.9020e-05,4.6398e-06,2.3195e-08,,,,,,,,,,,
Sam 17,2.56496e-08,1.20370e-02,4.2587e-03,4.9764e-05,4.7372e-06,2.4184e-08,,,,,,            4.6918,           11.1367,           15.0718,           20.8838,           77.6247,            1.7184,            5.1726,           -0.7639,           -1.4805,           49.1658,
Ref 18,2.68489e-08,,,,,,1.1981e-02,4.2118e-03,4.9030e-05,4.6407e-06,2.1678e-08,,,,,,,,,,,
Sam 18,2.53016e-08,1.20367e-02,4.2587e-03,4.9762e-05,4.7419e-06,2.0078e-08,,,,,,            4.6796,           11.1362,           14.9867,           22.5568,          -49.0151,            1.7054,            5.1721,           -0.8347,            0.1568,          -74.1167,
Ref 19,2.64996e-08,,,,,,1.1981e-02,4.2117e-03,4.9024e-05,4.6339e-06,2.0540e-08,,,,,,,,,,,
Sam 19,2.49611e-08,1.20368e-02,4.2586e-03,4.9755e-05,4.7394e-06,2.0818e-08,,,,,,            4.6897,           11.1415,           15.0089,           22.3483,          192.4437,            1.7160,            5.1774,           -0.8284,           -0.0575,          160.9442,
Ref 20,2.61571e-08,,,,,,1.1981e-02,4.2117e-03,4.9014e-05,4.6377e-06,1.4336e-08,,,,,,,,,,,
Sam 20,2.46263e-08,1.20366e-02,4.2585e-03,4.9762e-05,4.7407e-06,1.7485e-08,,,,,,            4.6867,           11.1249,           15.1502,           22.2325,           22.0204,            1.7134,            5.1609,           -0.6700,           -0.1381,           -4.9419,
Ref 21,2.58211e-08,,,,,,1.1980e-02,4.2117e-03,4.9025e-05,4.6375e-06,1.9917e-08,,,,,,,,,,,


