Nu Stable Isotope Analysis Program
Data Collected on Saturday, February 18, 2023 at 15:32 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, February 18, 2023 at 16:31 with Stable 1.71.5 on PS019

Data File = Data_19362 KDW2_119_1A_A.txt, Sample Weight = 514,                      Vial Location = 43,                       Initial Sam Beam = 1.5882e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9770e-08,                Max Ref Beam = 1.0607e-07,                

Analysis undertaken at mass 46.04877
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.38316e-08,,,,,,1.1982e-02,4.2111e-03,4.9002e-05,4.6379e-06,4.8962e-08,
Sam 1,6.30274e-08,1.20282e-02,4.2575e-03,4.9715e-05,4.7406e-06,4.9354e-08,,,,,,            3.8553,           10.9536,           14.4717,           21.9998,           23.2893,            0.8344,            4.9922,           -0.3189,           -0.0268,           -2.4968,
Ref 2,6.27416e-08,,,,,,1.1982e-02,4.2116e-03,4.9010e-05,4.6392e-06,4.7487e-08,,,,,,,,,,,
Sam 2,6.18997e-08,1.20286e-02,4.2577e-03,4.9710e-05,4.7409e-06,4.8780e-08,,,,,,            3.8405,           10.9381,           14.2541,           21.8623,          -15.7558,            0.8193,            4.9768,           -0.5031,           -0.1307,          -40.5140,
Ref 3,6.16942e-08,,,,,,1.1983e-02,4.2117e-03,4.9013e-05,4.6398e-06,5.1670e-08,,,,,,,,,,,
Sam 3,6.08061e-08,1.20288e-02,4.2578e-03,4.9719e-05,4.7413e-06,5.2701e-08,,,,,,            3.8393,           10.9336,           14.3317,           22.1369,           36.8300,            0.8182,            4.9723,           -0.4211,            0.1470,           10.7591,
Ref 4,6.06749e-08,,,,,,1.1983e-02,4.2118e-03,4.9019e-05,4.6375e-06,4.9974e-08,,,,,,,,,,,
Sam 4,5.97400e-08,1.20290e-02,4.2580e-03,4.9718e-05,4.7427e-06,4.9529e-08,,,,,,            3.8483,           10.9414,           14.2657,           22.0918,           32.8697,            0.8275,            4.9801,           -0.5029,            0.0873,            6.8735,
Ref 5,5.96784e-08,,,,,,1.1983e-02,4.2120e-03,4.9019e-05,4.6430e-06,4.5897e-08,,,,,,,,,,,
Sam 5,5.86945e-08,1.20291e-02,4.2581e-03,4.9720e-05,4.7421e-06,4.9667e-08,,,,,,            3.8436,           10.9375,           14.2735,           21.7037,           73.8483,            0.8225,            4.9763,           -0.4866,           -0.2848,           46.8338,
Ref 6,5.87015e-08,,,,,,1.1983e-02,4.2121e-03,4.9022e-05,4.6398e-06,4.6612e-08,,,,,,,,,,,
Sam 6,5.76748e-08,1.20291e-02,4.2582e-03,4.9721e-05,4.7419e-06,4.8078e-08,,,,,,            3.8392,           10.9415,           14.2726,           21.7730,           20.1388,            0.8177,            4.9802,           -0.4868,           -0.2248,           -5.5275,
Ref 7,5.77454e-08,,,,,,1.1983e-02,4.2121e-03,4.9021e-05,4.6419e-06,4.7653e-08,,,,,,,,,,,
Sam 7,5.66805e-08,1.20292e-02,4.2583e-03,4.9727e-05,4.7424e-06,4.8441e-08,,,,,,            3.8460,           10.9554,           14.3798,           21.7075,           16.9164,            0.8244,            4.9940,           -0.4016,           -0.3162,           -8.7027,
Ref 8,5.68088e-08,,,,,,1.1983e-02,4.2121e-03,4.9023e-05,4.6414e-06,4.7618e-08,,,,,,,,,,,
Sam 8,5.57067e-08,1.20292e-02,4.2583e-03,4.9722e-05,4.7437e-06,4.8781e-08,,,,,,            3.8319,           10.9393,           14.2909,           22.2409,          -16.4627,            0.8100,            4.9781,           -0.4592,            0.2373,          -41.1967,
Ref 9,5.58927e-08,,,,,,1.1983e-02,4.2123e-03,4.9020e-05,4.6396e-06,5.1610e-08,,,,,,,,,,,
Sam 9,5.47562e-08,1.20292e-02,4.2584e-03,4.9724e-05,4.7421e-06,5.0114e-08,,,,,,            3.8320,           10.9518,           14.3250,           21.9146,           15.3940,            0.8097,            4.9905,           -0.4379,           -0.1066,          -10.1653,
Ref 10,5.49976e-08,,,,,,1.1983e-02,4.2122e-03,4.9024e-05,4.6411e-06,4.7063e-08,,,,,,,,,,,
Sam 10,5.38262e-08,1.20292e-02,4.2585e-03,4.9725e-05,4.7432e-06,4.9745e-08,,,,,,            3.8310,           10.9622,           14.2461,           21.8793,           15.5162,            0.8083,            5.0008,           -0.5247,           -0.1616,          -10.0650,
Ref 11,5.41170e-08,,,,,,1.1983e-02,4.2123e-03,4.9029e-05,4.6421e-06,5.0938e-08,,,,,,,,,,,
Sam 11,5.29129e-08,1.20293e-02,4.2584e-03,4.9732e-05,4.7442e-06,5.0826e-08,,,,,,            3.8374,           10.9310,           14.2759,           21.9906,           32.3357,            0.8162,            4.9698,           -0.4716,            0.0089,            6.3849,
Ref 12,5.32531e-08,,,,,,1.1983e-02,4.2124e-03,4.9035e-05,4.6422e-06,4.7503e-08,,,,,,,,,,,
Sam 12,5.20228e-08,1.20293e-02,4.2585e-03,4.9734e-05,4.7437e-06,5.1325e-08,,,,,,            3.8371,           10.9277,           14.2706,           21.9038,           73.6311,            0.8159,            4.9665,           -0.4732,           -0.0696,           46.6494,
Ref 13,5.24089e-08,,,,,,1.1983e-02,4.2125e-03,4.9033e-05,4.6420e-06,4.8111e-08,,,,,,,,,,,
Sam 13,5.11535e-08,1.20293e-02,4.2586e-03,4.9734e-05,4.7431e-06,4.9732e-08,,,,,,            3.8405,           10.9438,           14.3398,           21.6302,           21.1259,            0.8191,            4.9825,           -0.4242,           -0.3690,           -4.5711,
Ref 14,5.15822e-08,,,,,,1.1983e-02,4.2125e-03,4.9029e-05,4.6435e-06,4.9305e-08,,,,,,,,,,,
Sam 14,5.03020e-08,1.20294e-02,4.2585e-03,4.9735e-05,4.7439e-06,5.0841e-08,,,,,,            3.8479,           10.9325,           14.3859,           21.5510,           44.5687,            0.8274,            4.9712,           -0.3754,           -0.4241,           18.2962,
Ref 15,5.07722e-08,,,,,,1.1983e-02,4.2125e-03,4.9029e-05,4.6441e-06,4.8028e-08,,,,,,,,,,,
Sam 15,4.94667e-08,1.20292e-02,4.2586e-03,4.9736e-05,4.7442e-06,5.0011e-08,,,,,,            3.8339,           10.9387,           14.4760,           21.4239,           41.9461,            0.8122,            4.9775,           -0.2783,           -0.5609,           15.7423,
Ref 16,4.99751e-08,,,,,,1.1983e-02,4.2125e-03,4.9024e-05,4.6453e-06,4.7968e-08,,,,,,,,,,,
Sam 16,4.86524e-08,1.20294e-02,4.2587e-03,4.9733e-05,4.7480e-06,4.7890e-08,,,,,,            3.8393,           10.9477,           14.3393,           22.0907,          -23.9061,            0.8176,            4.9863,           -0.4272,            0.0740,          -48.4758,
Ref 17,4.91984e-08,,,,,,1.1983e-02,4.2126e-03,4.9036e-05,4.6454e-06,5.0175e-08,,,,,,,,,,,
Sam 17,4.78547e-08,1.20293e-02,4.2586e-03,4.9737e-05,4.7448e-06,4.9521e-08,,,,,,            3.8333,           10.9275,           14.3011,           21.5904,            7.4392,            0.8120,            4.9663,           -0.4392,           -0.3758,          -17.8748,
Ref 18,4.84344e-08,,,,,,1.1983e-02,4.2126e-03,4.9035e-05,4.6437e-06,4.8120e-08,,,,,,,,,,,
Sam 18,4.70732e-08,1.20293e-02,4.2586e-03,4.9735e-05,4.7424e-06,4.8816e-08,,,,,,            3.8382,           10.9287,           14.3479,           21.1532,           15.1143,            0.8172,            4.9675,           -0.3992,           -0.8059,          -10.4000,
Ref 19,4.76854e-08,,,,,,1.1983e-02,4.2126e-03,4.9027e-05,4.6447e-06,4.8058e-08,,,,,,,,,,,
Sam 19,4.63055e-08,1.20293e-02,4.2587e-03,4.9737e-05,4.7426e-06,4.9243e-08,,,,,,            3.8416,           10.9366,           14.3092,           21.2547,           34.6403,            0.8204,            4.9753,           -0.4484,           -0.7222,            8.6162,
Ref 20,4.69540e-08,,,,,,1.1983e-02,4.2126e-03,4.9043e-05,4.6432e-06,4.7124e-08,,,,,,,,,,,
Sam 20,4.55542e-08,1.20292e-02,4.2587e-03,4.9738e-05,4.7485e-06,4.7300e-08,,,,,,            3.8391,           10.9253,           14.1738,           22.4676,          -28.0765,            0.8182,            4.9641,           -0.5683,            0.4869,          -52.4999,
Ref 21,4.62368e-08,,,,,,1.1983e-02,4.2127e-03,4.9043e-05,4.6452e-06,5.0233e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.58861e-08,,,,,,1.1983e-02,4.2126e-03,4.9037e-05,4.6454e-06,4.9853e-08,
Sam 1,4.44514e-08,1.20293e-02,4.2587e-03,4.9739e-05,4.7470e-06,4.7588e-08,,,,,,            3.8383,           10.9340,           14.3088,           21.8782,            3.9413,            0.8170,            4.9728,           -0.4430,           -0.1070,          -21.3023,
Ref 2,4.51893e-08,,,,,,1.1983e-02,4.2126e-03,4.9037e-05,4.6455e-06,4.4912e-08,,,,,,,,,,,
Sam 2,4.37292e-08,1.20293e-02,4.2587e-03,4.9743e-05,4.7474e-06,4.5033e-08,,,,,,            3.8355,           10.9302,           14.4105,           22.0887,          -26.5857,            0.8142,            4.9689,           -0.3362,            0.1065,          -51.0519,
Ref 3,4.45011e-08,,,,,,1.1983e-02,4.2127e-03,4.9034e-05,4.6441e-06,4.7636e-08,,,,,,,,,,,
Sam 3,4.30249e-08,1.20292e-02,4.2587e-03,4.9736e-05,4.7446e-06,4.6444e-08,,,,,,            3.8326,           10.9329,           14.2778,           21.4257,          -17.8414,            0.8110,            4.9717,           -0.4666,           -0.5477,          -42.5296,
Ref 4,4.38291e-08,,,,,,1.1983e-02,4.2127e-03,4.9037e-05,4.6461e-06,4.6934e-08,,,,,,,,,,,
Sam 4,4.23364e-08,1.20291e-02,4.2587e-03,4.9741e-05,4.7452e-06,4.7503e-08,,,,,,            3.8307,           10.9247,           14.3550,           21.4989,            4.6664,            0.8093,            4.9635,           -0.3806,           -0.4597,          -20.5699,
Ref 5,4.31676e-08,,,,,,1.1983e-02,4.2127e-03,4.9038e-05,4.6446e-06,4.7637e-08,,,,,,,,,,,
Sam 5,4.16620e-08,1.20291e-02,4.2586e-03,4.9734e-05,4.7450e-06,4.6671e-08,,,,,,            3.8392,           10.9031,           14.0964,           21.5024,          -26.2825,            0.8191,            4.9420,           -0.6232,           -0.4137,          -50.7101,
Ref 6,4.25180e-08,,,,,,1.1983e-02,4.2127e-03,4.9048e-05,4.6457e-06,4.8230e-08,,,,,,,,,,,
Sam 6,4.10032e-08,1.20291e-02,4.2586e-03,4.9744e-05,4.7446e-06,5.0491e-08,,,,,,            3.8302,           10.8988,           14.2347,           21.2669,           68.4910,            0.8096,            4.9377,           -0.4734,           -0.6355,           41.7046,
Ref 7,4.18814e-08,,,,,,1.1983e-02,4.2127e-03,4.9043e-05,4.6458e-06,4.6265e-08,,,,,,,,,,,
Sam 7,4.03589e-08,1.20291e-02,4.2587e-03,4.9752e-05,4.7450e-06,4.7186e-08,,,,,,            3.8336,           10.9273,           14.4994,           21.3115,           16.1078,            0.8123,            4.9661,           -0.2437,           -0.6482,           -9.4239,
Ref 8,4.12573e-08,,,,,,1.1983e-02,4.2126e-03,4.9038e-05,4.6461e-06,4.6613e-08,,,,,,,,,,,
Sam 8,3.97280e-08,1.20290e-02,4.2587e-03,4.9742e-05,4.7462e-06,4.9105e-08,,,,,,            3.8353,           10.9210,           14.3099,           22.0231,           83.1601,            0.8143,            4.9598,           -0.4261,            0.0606,           55.9547,
Ref 9,4.06450e-08,,,,,,1.1983e-02,4.2127e-03,4.9042e-05,4.6417e-06,4.4038e-08,,,,,,,,,,,
Sam 9,3.91115e-08,1.20289e-02,4.2587e-03,4.9742e-05,4.7448e-06,4.7082e-08,,,,,,            3.8296,           10.9198,           14.2434,           22.1880,           72.9089,            0.8083,            4.9587,           -0.4847,            0.2242,           45.9696,
Ref 10,4.00454e-08,,,,,,1.1983e-02,4.2127e-03,4.9044e-05,4.6420e-06,4.3724e-08,,,,,,,,,,,
Sam 10,3.85069e-08,1.20290e-02,4.2586e-03,4.9735e-05,4.7462e-06,4.4375e-08,,,,,,            3.8395,           10.9226,           14.1233,           22.7430,           15.2394,            0.8187,            4.9614,           -0.6158,            0.7618,          -10.2675,
Ref 11,3.94551e-08,,,,,,1.1983e-02,4.2126e-03,4.9041e-05,4.6393e-06,4.3694e-08,,,,,,,,,,,
Sam 11,3.79148e-08,1.20288e-02,4.2586e-03,4.9746e-05,4.7451e-06,4.5884e-08,,,,,,            3.8353,           10.9346,           14.3663,           22.1999,           81.4318,            0.8138,            4.9733,           -0.3838,            0.2066,           54.2419,
Ref 12,3.88785e-08,,,,,,1.1983e-02,4.2126e-03,4.9043e-05,4.6450e-06,4.1145e-08,,,,,,,,,,,
Sam 12,3.73374e-08,1.20287e-02,4.2586e-03,4.9752e-05,4.7477e-06,4.0511e-08,,,,,,            3.8322,           10.9276,           14.4508,           21.9095,            1.1013,            0.8108,            4.9664,           -0.2906,           -0.0637,          -24.0525,
Ref 13,3.83089e-08,,,,,,1.1983e-02,4.2126e-03,4.9044e-05,4.6468e-06,3.9778e-08,,,,,,,,,,,
Sam 13,3.67709e-08,1.20287e-02,4.2585e-03,4.9740e-05,4.7440e-06,4.1889e-08,,,,,,            3.8316,           10.9016,           14.2220,           20.7547,          -63.1564,            0.8110,            4.9405,           -0.4901,           -1.1422,          -86.6487,
Ref 14,3.77548e-08,,,,,,1.1983e-02,4.2126e-03,4.9040e-05,4.6482e-06,4.9721e-08,,,,,,,,,,,
Sam 14,3.62175e-08,1.20285e-02,4.2586e-03,4.9743e-05,4.7461e-06,4.6425e-08,,,,,,            3.8235,           10.9216,           14.3362,           21.3528,          -30.3868,            0.8017,            4.9604,           -0.3887,           -0.5964,          -54.7295,
Ref 15,3.72074e-08,,,,,,1.1983e-02,4.2126e-03,4.9039e-05,4.6455e-06,4.6012e-08,,,,,,,,,,,
Sam 15,3.56734e-08,1.20286e-02,4.2585e-03,4.9742e-05,4.7421e-06,4.5855e-08,,,,,,            3.8281,           10.8983,           14.2944,           20.6395,           39.5533,            0.8075,            4.9372,           -0.4120,           -1.2485,           13.4956,
Ref 16,3.66735e-08,,,,,,1.1983e-02,4.2125e-03,4.9042e-05,4.6470e-06,4.2181e-08,,,,,,,,,,,
Sam 16,3.51417e-08,1.20284e-02,4.2584e-03,4.9743e-05,4.7421e-06,4.4854e-08,,,,,,            3.8269,           10.8921,           14.2936,           20.5392,           32.0004,            0.8064,            4.9311,           -0.4055,           -1.3344,            6.1454,
Ref 17,3.61471e-08,,,,,,1.1982e-02,4.2125e-03,4.9042e-05,4.6463e-06,4.4764e-08,,,,,,,,,,,
Sam 17,3.46199e-08,1.20283e-02,4.2585e-03,4.9743e-05,4.7455e-06,4.6264e-08,,,,,,            3.8329,           10.9071,           14.2124,           21.7269,           28.4423,            0.8122,            4.9459,           -0.5062,           -0.2018,            2.6410,
Ref 18,3.56305e-08,,,,,,1.1982e-02,4.2125e-03,4.9050e-05,4.6429e-06,4.5207e-08,,,,,,,,,,,
Sam 18,3.41080e-08,1.20282e-02,4.2584e-03,4.9743e-05,4.7454e-06,4.3472e-08,,,,,,            3.8245,           10.9028,           14.1792,           21.8658,          -58.0023,            0.8035,            4.9417,           -0.5261,           -0.0573,          -81.6191,
Ref 19,3.51231e-08,,,,,,1.1982e-02,4.2125e-03,4.9046e-05,4.6448e-06,4.7103e-08,,,,,,,,,,,
Sam 19,3.36071e-08,1.20281e-02,4.2584e-03,4.9743e-05,4.7460e-06,4.9009e-08,,,,,,            3.8187,           10.9026,           14.2432,           21.9237,           55.4514,            0.7973,            4.9415,           -0.4569,           -0.0003,           28.9969,
Ref 20,3.46284e-08,,,,,,1.1982e-02,4.2124e-03,4.9043e-05,4.6434e-06,4.5756e-08,,,,,,,,,,,
Sam 20,3.31175e-08,1.20280e-02,4.2583e-03,4.9748e-05,4.7453e-06,4.6780e-08,,,,,,            3.8251,           10.9092,           14.3504,           22.2665,            2.8436,            0.8038,            4.9481,           -0.3642,            0.3221,          -22.3115,
Ref 21,3.41410e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6405e-06,4.7551e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.39002e-08,,,,,,1.1982e-02,4.2124e-03,4.9046e-05,4.6447e-06,4.6745e-08,
Sam 1,3.23971e-08,1.20280e-02,4.2583e-03,4.9743e-05,4.7451e-06,4.5000e-08,,,,,,            3.8271,           10.8990,           14.2711,           21.5173,          -64.7797,            0.8064,            4.9379,           -0.4346,           -0.3909,          -88.2225,
Ref 2,3.34267e-08,,,,,,1.1982e-02,4.2123e-03,4.9041e-05,4.6455e-06,4.9509e-08,,,,,,,,,,,
Sam 2,3.19309e-08,1.20278e-02,4.2582e-03,4.9739e-05,4.7431e-06,4.8905e-08,,,,,,            3.8195,           10.8901,           14.1920,           21.3892,           -3.3474,            0.7985,            4.9291,           -0.4960,           -0.4988,          -28.3054,
Ref 3,3.29619e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6419e-06,4.8623e-08,,,,,,,,,,,
Sam 3,3.14728e-08,1.20278e-02,4.2582e-03,4.9746e-05,4.7451e-06,5.4969e-08,,,,,,            3.8267,           10.9018,           14.2378,           22.1820,          142.6356,            0.8058,            4.9407,           -0.4697,            0.2541,          113.9882,
Ref 4,3.25056e-08,,,,,,1.1982e-02,4.2123e-03,4.9050e-05,4.6423e-06,4.7584e-08,,,,,,,,,,,
Sam 4,3.10246e-08,1.20277e-02,4.2582e-03,4.9742e-05,4.7461e-06,4.7296e-08,,,,,,            3.8246,           10.9047,           14.1847,           22.1974,           -3.7514,            0.8035,            4.9436,           -0.5227,            0.2634,          -28.7320,
Ref 5,3.20565e-08,,,,,,1.1982e-02,4.2122e-03,4.9041e-05,4.6439e-06,4.7364e-08,,,,,,,,,,,
Sam 5,3.05822e-08,1.20277e-02,4.2582e-03,4.9734e-05,4.7438e-06,4.8957e-08,,,,,,            3.8329,           10.9239,           14.0910,           21.3501,           23.7593,            0.8117,            4.9627,           -0.6422,           -0.6037,           -1.9572,
Ref 6,3.16160e-08,,,,,,1.1982e-02,4.2122e-03,4.9045e-05,4.6454e-06,4.8284e-08,,,,,,,,,,,
Sam 6,3.01489e-08,1.20275e-02,4.2581e-03,4.9737e-05,4.7466e-06,5.2418e-08,,,,,,            3.8084,           10.8932,           14.1705,           21.8130,           98.3812,            0.7866,            4.9322,           -0.5088,           -0.0900,           70.8820,
Ref 7,3.11818e-08,,,,,,1.1982e-02,4.2122e-03,4.9038e-05,4.6452e-06,4.7155e-08,,,,,,,,,,,
Sam 7,2.97243e-08,1.20276e-02,4.2580e-03,4.9742e-05,4.7422e-06,4.3867e-08,,,,,,            3.8220,           10.8919,           14.2872,           21.0391,          -69.2724,            0.8011,            4.9309,           -0.4065,           -0.8448,          -92.5849,
Ref 8,3.07577e-08,,,,,,1.1982e-02,4.2121e-03,4.9045e-05,4.6439e-06,4.7108e-08,,,,,,,,,,,
Sam 8,2.93062e-08,1.20273e-02,4.2580e-03,4.9736e-05,4.7449e-06,4.5444e-08,,,,,,            3.8184,           10.8936,           14.1284,           21.7519,          -27.4169,            0.7973,            4.9326,           -0.5610,           -0.1506,          -51.7775,
Ref 9,3.03389e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6439e-06,4.6338e-08,,,,,,,,,,,
Sam 9,2.88975e-08,1.20274e-02,4.2580e-03,4.9745e-05,4.7387e-06,5.1656e-08,,,,,,            3.8288,           10.9032,           14.3263,           20.0967,          126.5436,            0.8080,            4.9421,           -0.3860,           -1.7893,           98.2941,
Ref 10,2.99302e-08,,,,,,1.1981e-02,4.2121e-03,4.9043e-05,4.6467e-06,4.5363e-08,,,,,,,,,,,
Sam 10,2.84957e-08,1.20273e-02,4.2579e-03,4.9743e-05,4.7429e-06,4.7616e-08,,,,,,            3.8330,           10.8823,           14.3706,           21.6644,           43.5503,            0.8131,            4.9213,           -0.3262,           -0.2139,           17.4190,
Ref 11,2.95275e-08,,,,,,1.1981e-02,4.2121e-03,4.9033e-05,4.6378e-06,4.5897e-08,,,,,,,,,,,
Sam 11,2.81011e-08,1.20272e-02,4.2579e-03,4.9734e-05,4.7445e-06,4.8940e-08,,,,,,            3.8306,           10.8961,           14.1742,           22.1406,           31.8436,            0.8102,            4.9351,           -0.5309,            0.2246,            5.9806,
Ref 12,2.91315e-08,,,,,,1.1981e-02,4.2120e-03,4.9045e-05,4.6456e-06,4.8983e-08,,,,,,,,,,,
Sam 12,2.77152e-08,1.20271e-02,4.2579e-03,4.9734e-05,4.7471e-06,4.6737e-08,,,,,,            3.8180,           10.9090,           14.0580,           22.8469,          -28.6236,            0.7962,            4.9479,           -0.6449,            0.8904,          -52.9818,
Ref 13,2.87445e-08,,,,,,1.1981e-02,4.2120e-03,4.9044e-05,4.6364e-06,4.7235e-08,,,,,,,,,,,
Sam 13,2.73353e-08,1.20272e-02,4.2578e-03,4.9743e-05,4.7483e-06,4.3684e-08,,,,,,            3.8384,           10.8817,           14.2271,           23.0305,          -55.1689,            0.8190,            4.9207,           -0.4727,            1.1241,          -78.8325,
Ref 14,2.83630e-08,,,,,,1.1981e-02,4.2120e-03,4.9046e-05,4.6464e-06,4.5222e-08,,,,,,,,,,,
Sam 14,2.69628e-08,1.20270e-02,4.2578e-03,4.9733e-05,4.7465e-06,4.6065e-08,,,,,,            3.8301,           10.8893,           14.0515,           21.7217,            0.4012,            0.8099,            4.9283,           -0.6446,           -0.1717,          -24.6600,
Ref 15,2.79880e-08,,,,,,1.1981e-02,4.2119e-03,4.9041e-05,4.6448e-06,4.6882e-08,,,,,,,,,,,
Sam 15,2.65975e-08,1.20268e-02,4.2577e-03,4.9734e-05,4.7420e-06,4.3296e-08,,,,,,            3.8220,           10.8889,           14.1569,           20.9507,           -0.4801,            0.8012,            4.9279,           -0.5321,           -0.9254,          -25.5102,
Ref 16,2.76213e-08,,,,,,1.1981e-02,4.2118e-03,4.9038e-05,4.6446e-06,3.9704e-08,,,,,,,,,,,
Sam 16,2.62379e-08,1.20269e-02,4.2578e-03,4.9736e-05,4.7476e-06,4.0898e-08,,,,,,            3.8199,           10.9088,           14.2161,           22.0471,          -38.3866,            0.7983,            4.9477,           -0.4910,            0.1081,          -62.5016,
Ref 17,2.72589e-08,,,,,,1.1981e-02,4.2118e-03,4.9039e-05,4.6458e-06,4.5394e-08,,,,,,,,,,,
Sam 17,2.58845e-08,1.20267e-02,4.2576e-03,4.9737e-05,4.7420e-06,4.5739e-08,,,,,,            3.8096,           10.8750,           14.2331,           20.7734,          115.8935,            0.7885,            4.9141,           -0.4307,           -1.0714,           87.9929,
Ref 18,2.69020e-08,,,,,,1.1981e-02,4.2118e-03,4.9038e-05,4.6452e-06,3.6525e-08,,,,,,,,,,,
Sam 18,2.55375e-08,1.20266e-02,4.2576e-03,4.9721e-05,4.7458e-06,4.7810e-08,,,,,,            3.8216,           10.9004,           13.9212,           21.5227,          253.0028,            0.8004,            4.9393,           -0.7752,           -0.3884,          221.5981,
Ref 19,2.65506e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6464e-06,3.9809e-08,,,,,,,,,,,
Sam 19,2.51949e-08,1.20266e-02,4.2576e-03,4.9729e-05,4.7458e-06,3.7438e-08,,,,,,            3.8240,           10.9148,           14.0581,           21.4469,           -4.8033,            0.8025,            4.9537,           -0.6567,           -0.4911,          -29.7762,
Ref 20,2.62066e-08,,,,,,1.1981e-02,4.2116e-03,4.9041e-05,4.6460e-06,3.5399e-08,,,,,,,,,,,
Sam 20,2.48597e-08,1.20266e-02,4.2576e-03,4.9738e-05,4.7439e-06,3.8389e-08,,,,,,            3.8269,           10.9027,           14.2357,           21.1977,          -25.7175,            0.8060,            4.9416,           -0.4729,           -0.7110,          -50.1460,
Ref 21,2.58692e-08,,,,,,1.1981e-02,4.2116e-03,4.9039e-05,4.6449e-06,4.3457e-08,,,,,,,,,,,


