Nu Stable Isotope Analysis Program
Data Collected on Saturday, February 18, 2023 at 23:03 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 19, 2023 at 00:02 with Stable 1.71.5 on PS019

Data File = Data_19367 KDW_51_0_A.txt,    Sample Weight = 454,                      Vial Location = 48,                       Initial Sam Beam = 1.5693e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5618e-08,                Max Ref Beam = 1.0619e-07,                

Analysis undertaken at mass 46.04626
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.30052e-08,,,,,,1.1982e-02,4.2116e-03,4.9014e-05,4.6401e-06,4.7972e-08,
Sam 1,6.22011e-08,1.20507e-02,4.2618e-03,4.9852e-05,4.7490e-06,5.0377e-08,,,,,,            5.6816,           11.8805,           17.0134,           23.3746,            6.4288,            2.7461,            5.9106,           -0.5914,           -0.5152,          -22.5898,
Ref 2,6.19253e-08,,,,,,1.1983e-02,4.2120e-03,4.9023e-05,4.6410e-06,5.2176e-08,,,,,,,,,,,
Sam 2,6.10732e-08,1.20511e-02,4.2620e-03,4.9861e-05,4.7515e-06,5.1618e-08,,,,,,            5.6736,           11.8601,           17.0867,           23.9128,            5.4586,            2.7384,            5.8903,           -0.4914,            0.0508,          -23.4852,
Ref 3,6.08843e-08,,,,,,1.1983e-02,4.2121e-03,4.9024e-05,4.6401e-06,5.0486e-08,,,,,,,,,,,
Sam 3,5.99759e-08,1.20513e-02,4.2621e-03,4.9859e-05,4.7517e-06,5.0240e-08,,,,,,            5.6750,           11.8645,           17.0556,           23.9447,           -2.9428,            2.7397,            5.8947,           -0.5276,            0.0732,          -31.6545,
Ref 4,5.98715e-08,,,,,,1.1983e-02,4.2122e-03,4.9023e-05,4.6411e-06,5.0289e-08,,,,,,,,,,,
Sam 4,5.89086e-08,1.20514e-02,4.2623e-03,4.9861e-05,4.7535e-06,5.1405e-08,,,,,,            5.6715,           11.8707,           17.0564,           24.2984,            8.9538,            2.7358,            5.9009,           -0.5293,            0.4064,          -20.1087,
Ref 5,5.88850e-08,,,,,,1.1984e-02,4.2123e-03,4.9027e-05,4.6403e-06,5.1620e-08,,,,,,,,,,,
Sam 5,5.78661e-08,1.20515e-02,4.2623e-03,4.9864e-05,4.7509e-06,5.0975e-08,,,,,,            5.6708,           11.8655,           16.9925,           23.5852,           21.8445,            2.7351,            5.8957,           -0.5863,           -0.2799,           -7.5785,
Ref 6,5.79201e-08,,,,,,1.1984e-02,4.2124e-03,4.9035e-05,4.6426e-06,4.8121e-08,,,,,,,,,,,
Sam 6,5.68538e-08,1.20516e-02,4.2624e-03,4.9871e-05,4.7513e-06,5.2081e-08,,,,,,            5.6809,           11.8701,           17.0340,           23.4034,           67.6133,            2.7458,            5.9003,           -0.5604,           -0.4666,           36.8521,
Ref 7,5.69765e-08,,,,,,1.1984e-02,4.2124e-03,4.9036e-05,4.6428e-06,4.9454e-08,,,,,,,,,,,
Sam 7,5.58609e-08,1.20516e-02,4.2624e-03,4.9872e-05,4.7504e-06,5.1595e-08,,,,,,            5.6787,           11.8747,           17.0495,           23.0002,           72.8528,            2.7433,            5.9049,           -0.5473,           -0.8694,           41.9338,
Ref 8,5.60503e-08,,,,,,1.1984e-02,4.2124e-03,4.9035e-05,4.6445e-06,4.6705e-08,,,,,,,,,,,
Sam 8,5.48901e-08,1.20515e-02,4.2624e-03,4.9878e-05,4.7520e-06,4.8331e-08,,,,,,            5.6666,           11.8653,           17.1050,           23.1385,           12.7522,            2.7307,            5.8955,           -0.4713,           -0.7158,          -16.4043,
Ref 9,5.51410e-08,,,,,,1.1984e-02,4.2125e-03,4.9043e-05,4.6445e-06,4.8756e-08,,,,,,,,,,,
Sam 9,5.39394e-08,1.20516e-02,4.2625e-03,4.9876e-05,4.7540e-06,5.0741e-08,,,,,,            5.6761,           11.8698,           17.0554,           23.8203,            8.5170,            2.7407,            5.9000,           -0.5341,           -0.0588,          -20.5359,
Ref 10,5.42535e-08,,,,,,1.1983e-02,4.2126e-03,4.9036e-05,4.6423e-06,5.1894e-08,,,,,,,,,,,
Sam 10,5.30153e-08,1.20516e-02,4.2626e-03,4.9875e-05,4.7515e-06,4.9767e-08,,,,,,            5.6827,           11.8733,           16.9798,           23.4079,            4.3604,            2.7476,            5.9035,           -0.6186,           -0.4685,          -24.5863,
Ref 11,5.33871e-08,,,,,,1.1984e-02,4.2126e-03,4.9048e-05,4.6434e-06,4.7169e-08,,,,,,,,,,,
Sam 11,5.21115e-08,1.20515e-02,4.2626e-03,4.9877e-05,4.7525e-06,4.6643e-08,,,,,,            5.6657,           11.8771,           16.9378,           23.2927,           -1.1150,            2.7294,            5.9072,           -0.6461,           -0.5884,          -29.8934,
Ref 12,5.25349e-08,,,,,,1.1984e-02,4.2126e-03,4.9045e-05,4.6452e-06,4.6212e-08,,,,,,,,,,,
Sam 12,5.12241e-08,1.20516e-02,4.2625e-03,4.9880e-05,4.7506e-06,4.5779e-08,,,,,,            5.6734,           11.8331,           17.0839,           22.4853,            5.2751,            2.7391,            5.8635,           -0.4676,           -1.2902,          -23.6120,
Ref 13,5.16984e-08,,,,,,1.1984e-02,4.2127e-03,4.9040e-05,4.6472e-06,4.4854e-08,,,,,,,,,,,
Sam 13,5.03609e-08,1.20516e-02,4.2626e-03,4.9872e-05,4.7566e-06,4.5672e-08,,,,,,            5.6650,           11.8562,           16.9368,           23.5444,           24.7841,            2.7293,            5.8865,           -0.6261,           -0.3014,           -4.6995,
Ref 14,5.08816e-08,,,,,,1.1984e-02,4.2126e-03,4.9043e-05,4.6473e-06,4.4277e-08,,,,,,,,,,,
Sam 14,4.95159e-08,1.20515e-02,4.2627e-03,4.9884e-05,4.7542e-06,4.6397e-08,,,,,,            5.6587,           11.8664,           17.0489,           23.4351,            4.6495,            2.7223,            5.8966,           -0.5194,           -0.4282,          -24.2676,
Ref 15,5.00821e-08,,,,,,1.1984e-02,4.2127e-03,4.9052e-05,4.6433e-06,4.8119e-08,,,,,,,,,,,
Sam 15,4.86913e-08,1.20517e-02,4.2627e-03,4.9885e-05,4.7542e-06,4.6463e-08,,,,,,            5.6757,           11.8637,           17.0144,           23.4065,          -19.2042,            2.7405,            5.8939,           -0.5681,           -0.4509,          -47.4469,
Ref 16,4.92994e-08,,,,,,1.1984e-02,4.2128e-03,4.9049e-05,4.6476e-06,4.6615e-08,,,,,,,,,,,
Sam 16,4.78819e-08,1.20517e-02,4.2628e-03,4.9883e-05,4.7577e-06,4.8037e-08,,,,,,            5.6783,           11.8696,           17.0389,           23.6175,           26.0485,            2.7431,            5.8998,           -0.5524,           -0.2564,           -3.5114,
Ref 17,4.85310e-08,,,,,,1.1984e-02,4.2127e-03,4.9046e-05,4.6483e-06,4.7022e-08,,,,,,,,,,,
Sam 17,4.70936e-08,1.20516e-02,4.2627e-03,4.9885e-05,4.7547e-06,4.9475e-08,,,,,,            5.6713,           11.8609,           17.0267,           22.8971,            0.0691,            2.7359,            5.8911,           -0.5487,           -0.9428,          -28.7187,
Ref 18,4.77772e-08,,,,,,1.1984e-02,4.2128e-03,4.9053e-05,4.6483e-06,5.1959e-08,,,,,,,,,,,
Sam 18,4.63182e-08,1.20516e-02,4.2628e-03,4.9879e-05,4.7578e-06,5.0978e-08,,,,,,            5.6715,           11.8597,           16.8513,           23.8087,            9.7269,            2.7362,            5.8899,           -0.7201,           -0.0501,          -19.3368,
Ref 19,4.70390e-08,,,,,,1.1984e-02,4.2128e-03,4.9052e-05,4.6459e-06,4.8992e-08,,,,,,,,,,,
Sam 19,4.55603e-08,1.20515e-02,4.2627e-03,4.9884e-05,4.7556e-06,5.1960e-08,,,,,,            5.6659,           11.8400,           16.9140,           23.6427,           54.9927,            2.7309,            5.8704,           -0.6337,           -0.1734,           24.6713,
Ref 20,4.63149e-08,,,,,,1.1984e-02,4.2128e-03,4.9056e-05,4.6456e-06,4.9515e-08,,,,,,,,,,,
Sam 20,4.48164e-08,1.20515e-02,4.2627e-03,4.9878e-05,4.7560e-06,4.7273e-08,,,,,,            5.6644,           11.8575,           16.8530,           23.3639,          -53.1229,            2.7287,            5.8878,           -0.7092,           -0.4803,          -80.3668,
Ref 21,4.56085e-08,,,,,,1.1984e-02,4.2128e-03,4.9047e-05,4.6493e-06,5.0341e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.52624e-08,,,,,,1.1984e-02,4.2127e-03,4.9055e-05,4.6442e-06,4.9612e-08,
Sam 1,4.37262e-08,1.20514e-02,4.2628e-03,4.9884e-05,4.7559e-06,4.8885e-08,,,,,,            5.6626,           11.8617,           16.9842,           23.8208,            1.1408,            2.7266,            5.8920,           -0.5824,           -0.0423,          -27.6705,
Ref 2,4.45713e-08,,,,,,1.1984e-02,4.2128e-03,4.9047e-05,4.6462e-06,4.8034e-08,,,,,,,,,,,
Sam 2,4.30127e-08,1.20515e-02,4.2628e-03,4.9884e-05,4.7544e-06,4.7351e-08,,,,,,            5.6734,           11.8601,           17.0371,           23.3081,           28.0576,            2.7381,            5.8904,           -0.5399,           -0.5399,           -1.5365,
Ref 3,4.38952e-08,,,,,,1.1983e-02,4.2128e-03,4.9050e-05,4.6459e-06,4.4052e-08,,,,,,,,,,,
Sam 3,4.23186e-08,1.20514e-02,4.2628e-03,4.9886e-05,4.7563e-06,4.7211e-08,,,,,,            5.6756,           11.8652,           17.0621,           23.6279,           49.0452,            2.7403,            5.8954,           -0.5225,           -0.2376,           18.8345,
Ref 4,4.32321e-08,,,,,,1.1983e-02,4.2128e-03,4.9050e-05,4.6472e-06,4.5969e-08,,,,,,,,,,,
Sam 4,4.16387e-08,1.20512e-02,4.2627e-03,4.9884e-05,4.7523e-06,4.6002e-08,,,,,,            5.6612,           11.8396,           16.9653,           22.8985,           19.3285,            2.7259,            5.8699,           -0.5780,           -0.8994,           -9.9621,
Ref 5,4.25778e-08,,,,,,1.1983e-02,4.2128e-03,4.9054e-05,4.6446e-06,4.4277e-08,,,,,,,,,,,
Sam 5,4.09729e-08,1.20513e-02,4.2627e-03,4.9883e-05,4.7532e-06,4.5985e-08,,,,,,            5.6739,           11.8569,           16.9064,           23.0597,           -1.9434,            2.7387,            5.8872,           -0.6658,           -0.7762,          -30.6684,
Ref 6,4.19371e-08,,,,,,1.1983e-02,4.2127e-03,4.9054e-05,4.6476e-06,4.7900e-08,,,,,,,,,,,
Sam 6,4.03219e-08,1.20511e-02,4.2627e-03,4.9886e-05,4.7560e-06,4.7078e-08,,,,,,            5.6635,           11.8499,           17.0157,           23.6788,          -17.6382,            2.7280,            5.8802,           -0.5409,           -0.1577,          -45.8881,
Ref 7,4.13104e-08,,,,,,1.1983e-02,4.2128e-03,4.9049e-05,4.6444e-06,4.7947e-08,,,,,,,,,,,
Sam 7,3.96855e-08,1.20509e-02,4.2626e-03,4.9883e-05,4.7567e-06,4.6180e-08,,,,,,            5.6573,           11.8432,           17.0071,           23.9404,           -4.8902,            2.7215,            5.8736,           -0.5364,            0.1111,          -33.4877,
Ref 8,4.06934e-08,,,,,,1.1983e-02,4.2127e-03,4.9050e-05,4.6466e-06,4.4842e-08,,,,,,,,,,,
Sam 8,3.90621e-08,1.20511e-02,4.2627e-03,4.9889e-05,4.7551e-06,4.8446e-08,,,,,,            5.6713,           11.8610,           17.0242,           23.4671,           61.6894,            2.7359,            5.8912,           -0.5513,           -0.3864,           31.1276,
Ref 9,4.00870e-08,,,,,,1.1983e-02,4.2127e-03,4.9057e-05,4.6456e-06,4.6431e-08,,,,,,,,,,,
Sam 9,3.84528e-08,1.20511e-02,4.2627e-03,4.9891e-05,4.7526e-06,4.8753e-08,,,,,,            5.6753,           11.8614,           17.0466,           22.5653,           28.0549,            2.7401,            5.8916,           -0.5338,           -1.2679,           -1.5438,
Ref 10,3.94964e-08,,,,,,1.1983e-02,4.2128e-03,4.9052e-05,4.6500e-06,4.8429e-08,,,,,,,,,,,
Sam 10,3.78579e-08,1.20509e-02,4.2626e-03,4.9883e-05,4.7552e-06,5.0468e-08,,,,,,            5.6589,           11.8471,           16.9725,           22.8090,           36.7099,            2.7232,            5.8774,           -0.5759,           -1.0016,            6.9076,
Ref 11,3.89144e-08,,,,,,1.1983e-02,4.2127e-03,4.9049e-05,4.6482e-06,4.8937e-08,,,,,,,,,,,
Sam 11,3.72721e-08,1.20508e-02,4.2626e-03,4.9882e-05,4.7560e-06,4.6771e-08,,,,,,            5.6677,           11.8499,           16.9219,           23.2301,          -12.0244,            2.7324,            5.8802,           -0.6373,           -0.5958,          -40.4398,
Ref 12,3.83444e-08,,,,,,1.1983e-02,4.2127e-03,4.9055e-05,4.6478e-06,4.5720e-08,,,,,,,,,,,
Sam 12,3.67025e-08,1.20508e-02,4.2625e-03,4.9887e-05,4.7549e-06,5.0215e-08,,,,,,            5.6785,           11.8508,           16.9694,           23.3122,           47.0993,            2.7439,            5.8811,           -0.6025,           -0.5175,           16.9700,
Ref 13,3.77873e-08,,,,,,1.1983e-02,4.2126e-03,4.9055e-05,4.6455e-06,5.0227e-08,,,,,,,,,,,
Sam 13,3.61456e-08,1.20509e-02,4.2625e-03,4.9884e-05,4.7531e-06,4.7056e-08,,,,,,            5.6830,           11.8548,           16.9238,           22.9490,          -21.3751,            2.7485,            5.8851,           -0.6559,           -0.8802,          -49.5461,
Ref 14,3.72426e-08,,,,,,1.1983e-02,4.2126e-03,4.9052e-05,4.6474e-06,4.5910e-08,,,,,,,,,,,
Sam 14,3.55983e-08,1.20506e-02,4.2625e-03,4.9890e-05,4.7569e-06,4.2621e-08,,,,,,            5.6640,           11.8432,           16.9958,           23.5874,           20.6133,            2.7287,            5.8735,           -0.5544,           -0.2336,           -8.7240,
Ref 15,3.67106e-08,,,,,,1.1983e-02,4.2125e-03,4.9060e-05,4.6472e-06,3.7550e-08,,,,,,,,,,,
Sam 15,3.50636e-08,1.20504e-02,4.2624e-03,4.9879e-05,4.7569e-06,3.8804e-08,,,,,,            5.6544,           11.8427,           16.7851,           23.9576,           25.0264,            2.7185,            5.8731,           -0.7512,            0.1290,           -4.4268,
Ref 16,3.61870e-08,,,,,,1.1983e-02,4.2125e-03,4.9051e-05,4.6440e-06,3.8167e-08,,,,,,,,,,,
Sam 16,3.45352e-08,1.20503e-02,4.2624e-03,4.9891e-05,4.7590e-06,4.1256e-08,,,,,,            5.6627,           11.8409,           17.0981,           25.0330,           65.0178,            2.7274,            5.8712,           -0.4503,            1.1829,           34.4101,
Ref 17,3.56710e-08,,,,,,1.1982e-02,4.2125e-03,4.9053e-05,4.6416e-06,3.9316e-08,,,,,,,,,,,
Sam 17,3.40155e-08,1.20503e-02,4.2624e-03,4.9887e-05,4.7533e-06,3.9221e-08,,,,,,            5.6687,           11.8386,           16.9872,           24.1170,           18.2279,            2.7339,            5.8689,           -0.5632,            0.2927,          -11.0370,
Ref 18,3.51645e-08,,,,,,1.1982e-02,4.2125e-03,4.9054e-05,4.6411e-06,3.7711e-08,,,,,,,,,,,
Sam 18,3.35049e-08,1.20502e-02,4.2623e-03,4.9888e-05,4.7551e-06,3.9621e-08,,,,,,            5.6626,           11.8167,           17.0365,           24.1285,           15.5756,            2.7281,            5.8471,           -0.4872,            0.3473,          -13.5646,
Ref 19,3.46630e-08,,,,,,1.1982e-02,4.2125e-03,4.9052e-05,4.6451e-06,4.0335e-08,,,,,,,,,,,
Sam 19,3.30072e-08,1.20505e-02,4.2624e-03,4.9877e-05,4.7542e-06,4.4065e-08,,,,,,            5.6780,           11.8441,           16.8866,           23.4581,          100.8311,            2.7435,            5.8744,           -0.6769,           -0.3618,           69.1700,
Ref 20,3.41747e-08,,,,,,1.1982e-02,4.2124e-03,4.9046e-05,4.6454e-06,3.9719e-08,,,,,,,,,,,
Sam 20,3.25180e-08,1.20502e-02,4.2624e-03,4.9886e-05,4.7558e-06,3.9180e-08,,,,,,            5.6608,           11.8518,           17.0398,           23.8702,            4.3203,            2.7250,            5.8821,           -0.5162,            0.0256,          -24.5617,
Ref 21,3.36955e-08,,,,,,1.1982e-02,4.2124e-03,4.9054e-05,4.6445e-06,3.8293e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.34582e-08,,,,,,1.1982e-02,4.2124e-03,4.9059e-05,4.6445e-06,3.9067e-08,
Sam 1,3.18022e-08,1.20500e-02,4.2622e-03,4.9882e-05,4.7543e-06,3.8155e-08,,,,,,            5.6561,           11.8219,           16.8193,           24.0943,            7.4409,            2.7211,            5.8524,           -0.6991,            0.3035,          -21.4693,
Ref 2,3.29896e-08,,,,,,1.1982e-02,4.2123e-03,4.9054e-05,4.6403e-06,3.6663e-08,,,,,,,,,,,
Sam 2,3.13378e-08,1.20498e-02,4.2622e-03,4.9883e-05,4.7545e-06,3.9183e-08,,,,,,            5.6484,           11.8404,           16.9379,           24.1030,           31.0513,            2.7122,            5.8708,           -0.5926,            0.2754,            1.4357,
Ref 3,3.25309e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6449e-06,3.9362e-08,,,,,,,,,,,
Sam 3,3.08825e-08,1.20499e-02,4.2621e-03,4.9880e-05,4.7536e-06,3.8018e-08,,,,,,            5.6576,           11.8183,           16.9107,           23.2585,          -45.4864,            2.7228,            5.8488,           -0.6074,           -0.5058,          -72.8726,
Ref 4,3.20724e-08,,,,,,1.1982e-02,4.2123e-03,4.9051e-05,4.6462e-06,4.0304e-08,,,,,,,,,,,
Sam 4,3.04294e-08,1.20496e-02,4.2621e-03,4.9890e-05,4.7545e-06,3.7268e-08,,,,,,            5.6510,           11.8386,           17.0701,           23.5729,          -37.6058,            2.7150,            5.8690,           -0.4636,           -0.2388,          -65.2485,
Ref 5,3.16283e-08,,,,,,1.1982e-02,4.2122e-03,4.9055e-05,4.6438e-06,3.7122e-08,,,,,,,,,,,
Sam 5,3.12149e-08,1.20293e-02,4.2468e-03,4.9669e-05,4.7216e-06,3.8816e-08,,,,,,            3.9634,            8.2061,           12.5797,           16.7888,           83.5832,            1.0444,            2.2578,            0.3818,            0.3042,           61.8263,
Ref 6,3.13027e-08,,,,,,1.1982e-02,4.2122e-03,4.9049e-05,4.6434e-06,3.4509e-08,,,,,,,,,,,
Sam 6,2.96707e-08,1.20494e-02,4.2620e-03,4.9880e-05,4.7466e-06,3.6678e-08,,,,,,            5.6504,           11.8210,           16.8811,           21.9297,          101.8951,            2.7151,            5.8514,           -0.6317,           -1.8089,           70.2829,
Ref 7,3.08728e-08,,,,,,1.1982e-02,4.2122e-03,4.9056e-05,4.6461e-06,3.2047e-08,,,,,,,,,,,
Sam 7,2.92495e-08,1.20493e-02,4.2620e-03,4.9880e-05,4.7551e-06,3.7359e-08,,,,,,            5.6511,           11.8086,           16.8743,           24.0168,          101.9449,            2.7162,            5.8392,           -0.6270,            0.2541,           70.3562,
Ref 8,3.04516e-08,,,,,,1.1982e-02,4.2122e-03,4.9049e-05,4.6409e-06,3.5784e-08,,,,,,,,,,,
Sam 8,2.88346e-08,1.20493e-02,4.2618e-03,4.9879e-05,4.7508e-06,3.9348e-08,,,,,,            5.6663,           11.8032,           16.9139,           23.7667,           43.8132,            2.7325,            5.8337,           -0.5983,            0.0206,           13.8854,
Ref 9,3.00381e-08,,,,,,1.1981e-02,4.2120e-03,4.9049e-05,4.6401e-06,3.9634e-08,,,,,,,,,,,
Sam 9,2.84306e-08,1.20490e-02,4.2619e-03,4.9880e-05,4.7542e-06,3.9938e-08,,,,,,            5.6493,           11.8250,           16.9880,           23.9665,           34.7655,            2.7137,            5.8555,           -0.5293,            0.1727,            5.0725,
Ref 10,2.96339e-08,,,,,,1.1981e-02,4.2121e-03,4.9044e-05,4.6457e-06,3.7544e-08,,,,,,,,,,,
Sam 10,2.80343e-08,1.20491e-02,4.2618e-03,4.9879e-05,4.7510e-06,3.7907e-08,,,,,,            5.6525,           11.8270,           16.9142,           22.8503,           47.7613,            2.7171,            5.8574,           -0.6071,           -0.9216,           17.6879,
Ref 11,2.92361e-08,,,,,,1.1981e-02,4.2119e-03,4.9056e-05,4.6439e-06,3.4795e-08,,,,,,,,,,,
Sam 11,2.76424e-08,1.20490e-02,4.2618e-03,4.9879e-05,4.7459e-06,4.0184e-08,,,,,,            5.6559,           11.8389,           16.8856,           21.6010,           25.5352,            2.7202,            5.8693,           -0.6503,           -2.1654,           -3.9269,
Ref 12,2.88432e-08,,,,,,1.1981e-02,4.2119e-03,4.9046e-05,4.6472e-06,4.3632e-08,,,,,,,,,,,
Sam 12,2.72575e-08,1.20490e-02,4.2617e-03,4.9880e-05,4.7520e-06,3.4211e-08,,,,,,            5.6646,           11.8134,           16.9621,           22.7898,         -136.3306,            2.7303,            5.8439,           -0.5592,           -0.9539,         -161.1086,
Ref 13,2.84599e-08,,,,,,1.1981e-02,4.2119e-03,4.9051e-05,4.6450e-06,3.5537e-08,,,,,,,,,,,
Sam 13,2.68836e-08,1.20487e-02,4.2616e-03,4.9883e-05,4.7528e-06,3.8073e-08,,,,,,            5.6393,           11.8103,           16.9857,           23.6770,            0.5212,            2.7036,            5.8409,           -0.5071,           -0.0812,          -28.1512,
Ref 14,2.80843e-08,,,,,,1.1981e-02,4.2119e-03,4.9049e-05,4.6407e-06,4.0602e-08,,,,,,,,,,,
Sam 14,2.65138e-08,1.20488e-02,4.2616e-03,4.9876e-05,4.7539e-06,3.6735e-08,,,,,,            5.6525,           11.8234,           16.8230,           24.3227,          -29.8313,            2.7172,            5.8539,           -0.6932,            0.5237,          -57.6710,
Ref 15,2.77107e-08,,,,,,1.1981e-02,4.2118e-03,4.9052e-05,4.6412e-06,3.5091e-08,,,,,,,,,,,
Sam 15,2.61517e-08,1.20486e-02,4.2616e-03,4.9888e-05,4.7548e-06,4.1463e-08,,,,,,            5.6499,           11.8373,           17.0448,           24.5338,           85.8534,            2.7139,            5.8677,           -0.4862,            0.7023,           54.6684,
Ref 16,2.73457e-08,,,,,,1.1981e-02,4.2118e-03,4.9052e-05,4.6407e-06,4.1320e-08,,,,,,,,,,,
Sam 16,2.57944e-08,1.20485e-02,4.2616e-03,4.9870e-05,4.7563e-06,3.9860e-08,,,,,,            5.6513,           11.8203,           16.7775,           24.9294,          -25.4768,            2.7160,            5.8507,           -0.7337,            1.1225,          -53.4345,
Ref 17,2.69902e-08,,,,,,1.1981e-02,4.2118e-03,4.9041e-05,4.6404e-06,4.0480e-08,,,,,,,,,,,
Sam 17,2.54479e-08,1.20484e-02,4.2615e-03,4.9870e-05,4.7502e-06,3.7846e-08,,,,,,            5.6482,           11.8259,           16.8771,           23.4067,          -37.2827,            2.7125,            5.8564,           -0.6381,           -0.3760,          -64.9089,
Ref 18,2.66384e-08,,,,,,1.1981e-02,4.2116e-03,4.9043e-05,4.6427e-06,3.8128e-08,,,,,,,,,,,
Sam 18,2.50990e-08,1.20483e-02,4.2615e-03,4.9869e-05,4.7498e-06,3.7802e-08,,,,,,            5.6469,           11.8275,           16.8543,           23.1824,           17.3411,            2.7110,            5.8580,           -0.6607,           -0.5983,          -11.8542,
Ref 19,2.62876e-08,,,,,,1.1981e-02,4.2117e-03,4.9042e-05,4.6417e-06,3.6174e-08,,,,,,,,,,,
Sam 19,2.47608e-08,1.20484e-02,4.2614e-03,4.9869e-05,4.7508e-06,3.3393e-08,,,,,,            5.6582,           11.8131,           16.9196,           23.2422,          -64.7541,            2.7235,            5.8436,           -0.5940,           -0.5112,          -91.5788,
Ref 20,2.59470e-08,,,,,,1.1981e-02,4.2116e-03,4.9036e-05,4.6440e-06,3.5229e-08,,,,,,,,,,,
Sam 20,2.44300e-08,1.20480e-02,4.2614e-03,4.9866e-05,4.7526e-06,3.1174e-08,,,,,,            5.6408,           11.8160,           16.9084,           23.5675,          -85.0357,            2.7050,            5.8465,           -0.5902,           -0.1993,         -111.2674,
Ref 21,2.56123e-08,,,,,,1.1980e-02,4.2116e-03,4.9038e-05,4.6422e-06,3.2897e-08,,,,,,,,,,,


