Nu Stable Isotope Analysis Program
Data Collected on Sunday, February 19, 2023 at 00:25 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, February 19, 2023 at 01:24 with Stable 1.71.5 on PS019

Data File = Data_19368 IAEA-C2.txt,       Sample Weight = 439,                      Vial Location = 49,                       Initial Sam Beam = 1.3990e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4849e-08,                Max Ref Beam = 1.0581e-07,                

Analysis undertaken at mass 46.04628
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.56272e-08,,,,,,1.1983e-02,4.2121e-03,4.9031e-05,4.6398e-06,4.9211e-08,
Sam 1,5.49144e-08,1.19247e-02,4.2303e-03,4.8965e-05,4.6812e-06,5.0641e-08,,,,,,           -4.8727,            4.2896,           -1.3949,            8.6304,           19.4376,           -8.2243,           -1.6204,           -0.5747,            0.0324,           16.1533,
Ref 2,5.46984e-08,,,,,,1.1983e-02,4.2124e-03,4.9036e-05,4.6424e-06,5.0148e-08,,,,,,,,,,,
Sam 2,5.39518e-08,1.19251e-02,4.2305e-03,4.8974e-05,4.6784e-06,4.6669e-08,,,,,,           -4.8771,            4.2835,           -1.2648,            7.9824,          -61.3278,           -8.2287,           -1.6265,           -0.4339,           -0.5979,          -64.3364,
Ref 3,5.38131e-08,,,,,,1.1984e-02,4.2125e-03,4.9036e-05,4.6403e-06,4.9282e-08,,,,,,,,,,,
Sam 3,5.30149e-08,1.19251e-02,4.2306e-03,4.8977e-05,4.6802e-06,4.6546e-08,,,,,,           -4.8805,            4.2877,           -1.2490,            8.4527,          -34.5370,           -8.2324,           -1.6224,           -0.4187,           -0.1398,          -37.6357,
Ref 4,5.29498e-08,,,,,,1.1984e-02,4.2126e-03,4.9040e-05,4.6416e-06,4.7123e-08,,,,,,,,,,,
Sam 4,5.21008e-08,1.19251e-02,4.2306e-03,4.8974e-05,4.6817e-06,4.8056e-08,,,,,,           -4.8864,            4.2712,           -1.3670,            8.7167,           23.6163,           -8.2382,           -1.6388,           -0.5145,            0.1547,           20.3704,
Ref 5,5.21054e-08,,,,,,1.1984e-02,4.2126e-03,4.9041e-05,4.6409e-06,4.6768e-08,,,,,,,,,,,
Sam 5,5.12053e-08,1.19252e-02,4.2306e-03,4.8982e-05,4.6827e-06,4.7688e-08,,,,,,           -4.8802,            4.2727,           -1.2288,            8.6360,            7.2316,           -8.2317,           -1.6372,           -0.3841,            0.0716,            4.0278,
Ref 6,5.12760e-08,,,,,,1.1984e-02,4.2126e-03,4.9043e-05,4.6442e-06,4.7933e-08,,,,,,,,,,,
Sam 6,5.03338e-08,1.19252e-02,4.2307e-03,4.8975e-05,4.6822e-06,4.9803e-08,,,,,,           -4.8806,            4.2750,           -1.4003,            8.6213,           35.4774,           -8.2322,           -1.6350,           -0.5576,            0.0525,           32.1797,
Ref 7,5.04647e-08,,,,,,1.1984e-02,4.2127e-03,4.9043e-05,4.6402e-06,4.8264e-08,,,,,,,,,,,
Sam 7,4.94786e-08,1.19252e-02,4.2307e-03,4.8978e-05,4.6804e-06,5.0054e-08,,,,,,           -4.8743,            4.2826,           -1.3180,            8.2310,           17.8754,           -8.2257,           -1.6274,           -0.4892,           -0.3496,           14.6118,
Ref 8,4.96687e-08,,,,,,1.1984e-02,4.2127e-03,4.9043e-05,4.6442e-06,5.0100e-08,,,,,,,,,,,
Sam 8,4.86407e-08,1.19251e-02,4.2307e-03,4.8981e-05,4.6805e-06,4.8809e-08,,,,,,           -4.8795,            4.2751,           -1.2448,            7.8670,           -8.7665,           -8.2310,           -1.6348,           -0.4032,           -0.6956,          -11.9247,
Ref 9,4.88915e-08,,,,,,1.1984e-02,4.2127e-03,4.9041e-05,4.6437e-06,4.8369e-08,,,,,,,,,,,
Sam 9,4.78289e-08,1.19250e-02,4.2307e-03,4.8983e-05,4.6831e-06,4.7750e-08,,,,,,           -4.8838,            4.2860,           -1.2393,            8.6525,          -31.9766,           -8.2359,           -1.6240,           -0.4040,            0.0614,          -35.0771,
Ref 10,4.81299e-08,,,,,,1.1984e-02,4.2127e-03,4.9046e-05,4.6423e-06,5.0301e-08,,,,,,,,,,,
Sam 10,4.70324e-08,1.19251e-02,4.2307e-03,4.8980e-05,4.6808e-06,4.9862e-08,,,,,,           -4.8777,            4.2732,           -1.4072,            7.8651,           38.0336,           -8.2290,           -1.6367,           -0.5658,           -0.6937,           34.7281,
Ref 11,4.73834e-08,,,,,,1.1984e-02,4.2127e-03,4.9053e-05,4.6463e-06,4.5735e-08,,,,,,,,,,,
Sam 11,4.62536e-08,1.19251e-02,4.2307e-03,4.8988e-05,4.6828e-06,4.5526e-08,,,,,,           -4.8757,            4.2698,           -1.2958,            7.9878,          -14.5600,           -8.2267,           -1.6402,           -0.4530,           -0.5651,          -17.6935,
Ref 12,4.66528e-08,,,,,,1.1984e-02,4.2128e-03,4.9050e-05,4.6450e-06,4.6669e-08,,,,,,,,,,,
Sam 12,4.54909e-08,1.19251e-02,4.2307e-03,4.8984e-05,4.6816e-06,4.6780e-08,,,,,,           -4.8773,            4.2655,           -1.3114,            7.8973,           10.2610,           -8.2283,           -1.6444,           -0.4628,           -0.6465,            7.0587,
Ref 13,4.59345e-08,,,,,,1.1984e-02,4.2128e-03,4.9047e-05,4.6449e-06,4.5935e-08,,,,,,,,,,,
Sam 13,4.47450e-08,1.19250e-02,4.2308e-03,4.8989e-05,4.6831e-06,4.6685e-08,,,,,,           -4.8795,            4.2797,           -1.1848,            8.5627,           -2.4082,           -8.2311,           -1.6303,           -0.3478,           -0.0150,           -5.5957,
Ref 14,4.52317e-08,,,,,,1.1983e-02,4.2127e-03,4.9048e-05,4.6418e-06,4.7673e-08,,,,,,,,,,,
Sam 14,4.40154e-08,1.19249e-02,4.2307e-03,4.8989e-05,4.6825e-06,4.8937e-08,,,,,,           -4.8795,            4.2714,           -1.1630,            8.7689,           42.4723,           -8.2308,           -1.6385,           -0.3178,            0.2060,           39.1583,
Ref 15,4.45421e-08,,,,,,1.1983e-02,4.2127e-03,4.9043e-05,4.6418e-06,4.6203e-08,,,,,,,,,,,
Sam 15,4.33033e-08,1.19247e-02,4.2307e-03,4.8983e-05,4.6830e-06,4.8793e-08,,,,,,           -4.8851,            4.2775,           -1.2693,            8.8269,           40.0367,           -8.2370,           -1.6324,           -0.4243,            0.2513,           36.7243,
Ref 16,4.38661e-08,,,,,,1.1983e-02,4.2126e-03,4.9046e-05,4.6422e-06,4.7636e-08,,,,,,,,,,,
Sam 16,4.26056e-08,1.19248e-02,4.2307e-03,4.8980e-05,4.6826e-06,4.6498e-08,,,,,,           -4.8847,            4.2814,           -1.3784,            8.7328,          -25.2726,           -8.2367,           -1.6286,           -0.5377,            0.1503,          -28.3849,
Ref 17,4.32027e-08,,,,,,1.1983e-02,4.2127e-03,4.9049e-05,4.6419e-06,4.7772e-08,,,,,,,,,,,
Sam 17,4.19223e-08,1.19247e-02,4.2307e-03,4.8990e-05,4.6837e-06,4.8672e-08,,,,,,           -4.8839,            4.2726,           -1.2088,            8.6870,           20.3350,           -8.2356,           -1.6374,           -0.3602,            0.1225,           17.0939,
Ref 18,4.25530e-08,,,,,,1.1983e-02,4.2127e-03,4.9050e-05,4.6449e-06,4.7631e-08,,,,,,,,,,,
Sam 18,4.12526e-08,1.19247e-02,4.2307e-03,4.8986e-05,4.6826e-06,4.5969e-08,,,,,,           -4.8787,            4.2863,           -1.3085,            7.9728,          -20.1559,           -8.2305,           -1.6237,           -0.4788,           -0.6130,          -23.3002,
Ref 19,4.19141e-08,,,,,,1.1983e-02,4.2127e-03,4.9049e-05,4.6463e-06,4.6186e-08,,,,,,,,,,,
Sam 19,4.05937e-08,1.19246e-02,4.2307e-03,4.8983e-05,4.6837e-06,4.6741e-08,,,,,,           -4.8869,            4.2758,           -1.3805,            8.1662,           -3.5531,           -8.2389,           -1.6342,           -0.5320,           -0.4003,           -6.7214,
Ref 20,4.12910e-08,,,,,,1.1983e-02,4.2127e-03,4.9052e-05,4.6452e-06,4.7641e-08,,,,,,,,,,,
Sam 20,3.99458e-08,1.19247e-02,4.2307e-03,4.8986e-05,4.6831e-06,4.5937e-08,,,,,,           -4.8794,            4.2816,           -1.3349,            8.5322,          -41.4068,           -8.2311,           -1.6284,           -0.4999,           -0.0491,          -44.4733,
Ref 21,4.06768e-08,,,,,,1.1983e-02,4.2127e-03,4.9051e-05,4.6417e-06,4.8206e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.03763e-08,,,,,,1.1983e-02,4.2127e-03,4.9048e-05,4.6432e-06,4.4477e-08,
Sam 1,3.89966e-08,1.19245e-02,4.2307e-03,4.8990e-05,4.6781e-06,4.8105e-08,,,,,,           -4.8822,            4.2708,           -1.1416,            7.2784,           97.9676,           -8.2337,           -1.6391,           -0.2930,           -1.2706,           94.4816,
Ref 2,3.97763e-08,,,,,,1.1983e-02,4.2127e-03,4.9044e-05,4.6455e-06,4.3139e-08,,,,,,,,,,,
Sam 2,3.83816e-08,1.19244e-02,4.2306e-03,4.8985e-05,4.6821e-06,4.0066e-08,,,,,,           -4.8855,            4.2637,           -1.2704,            8.0650,          -85.0259,           -8.2369,           -1.6462,           -0.4115,           -0.4767,          -87.9150,
Ref 3,3.91903e-08,,,,,,1.1983e-02,4.2126e-03,4.9051e-05,4.6439e-06,4.4450e-08,,,,,,,,,,,
Sam 3,3.77782e-08,1.19244e-02,4.2306e-03,4.8989e-05,4.6813e-06,3.9793e-08,,,,,,           -4.8790,            4.2801,           -1.2473,            8.1960,          -67.7136,           -8.2306,           -1.6299,           -0.4111,           -0.3794,          -70.6936,
Ref 4,3.86149e-08,,,,,,1.1983e-02,4.2126e-03,4.9050e-05,4.6427e-06,4.0889e-08,,,,,,,,,,,
Sam 4,3.71886e-08,1.19242e-02,4.2306e-03,4.8993e-05,4.6801e-06,4.1962e-08,,,,,,           -4.8846,            4.2868,           -1.1540,            7.6604,            9.2008,           -8.2368,           -1.6233,           -0.3185,           -0.9236,            5.9679,
Ref 5,3.80549e-08,,,,,,1.1983e-02,4.2125e-03,4.9050e-05,4.6464e-06,4.2280e-08,,,,,,,,,,,
Sam 5,3.66154e-08,1.19242e-02,4.2305e-03,4.8990e-05,4.6833e-06,3.7970e-08,,,,,,           -4.8759,            4.2788,           -1.2667,            7.8576,          -71.2701,           -8.2273,           -1.6312,           -0.4324,           -0.7122,          -74.2393,
Ref 6,3.74969e-08,,,,,,1.1983e-02,4.2125e-03,4.9054e-05,4.6472e-06,3.9466e-08,,,,,,,,,,,
Sam 6,3.60499e-08,1.19241e-02,4.2305e-03,4.8983e-05,4.6837e-06,4.0351e-08,,,,,,           -4.8821,            4.2616,           -1.4447,            8.0212,           44.9632,           -8.2333,           -1.6483,           -0.5874,           -0.5158,           41.6643,
Ref 7,3.69510e-08,,,,,,1.1983e-02,4.2125e-03,4.9054e-05,4.6458e-06,3.7751e-08,,,,,,,,,,,
Sam 7,3.54951e-08,1.19242e-02,4.2305e-03,4.8989e-05,4.6832e-06,4.3128e-08,,,,,,           -4.8691,            4.2755,           -1.3724,            8.3260,          -18.4055,           -8.2199,           -1.6345,           -0.5420,           -0.2412,          -21.5446,
Ref 8,3.64158e-08,,,,,,1.1983e-02,4.2125e-03,4.9059e-05,4.6433e-06,5.0213e-08,,,,,,,,,,,
Sam 8,3.49543e-08,1.19241e-02,4.2304e-03,4.8980e-05,4.6830e-06,4.7090e-08,,,,,,           -4.8797,            4.2603,           -1.5491,            8.4689,          -46.3941,           -8.2307,           -1.6496,           -0.6931,           -0.0693,          -49.4046,
Ref 9,3.58910e-08,,,,,,1.1983e-02,4.2124e-03,4.9054e-05,4.6441e-06,4.8536e-08,,,,,,,,,,,
Sam 9,3.44248e-08,1.19240e-02,4.2305e-03,4.8985e-05,4.6800e-06,4.5850e-08,,,,,,           -4.8848,            4.2746,           -1.4372,            7.5677,          -17.4735,           -8.2366,           -1.6354,           -0.5897,           -0.9913,          -20.5974,
Ref 10,3.53767e-08,,,,,,1.1982e-02,4.2125e-03,4.9056e-05,4.6456e-06,4.4768e-08,,,,,,,,,,,
Sam 10,3.39106e-08,1.19241e-02,4.2305e-03,4.8984e-05,4.6817e-06,4.6962e-08,,,,,,           -4.8672,            4.2911,           -1.3475,            7.6875,           51.9693,           -8.2184,           -1.6190,           -0.5344,           -0.9054,           48.5709,
Ref 11,3.48758e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6463e-06,4.4514e-08,,,,,,,,,,,
Sam 11,3.34060e-08,1.19239e-02,4.2304e-03,4.8984e-05,4.6828e-06,4.8062e-08,,,,,,           -4.8810,            4.2516,           -1.3136,            8.1941,           82.8958,           -8.2317,           -1.6583,           -0.4475,           -0.3244,           79.4970,
Ref 12,3.43805e-08,,,,,,1.1982e-02,4.2125e-03,4.9052e-05,4.6432e-06,4.4250e-08,,,,,,,,,,,
Sam 12,3.29095e-08,1.19238e-02,4.2304e-03,4.8992e-05,4.6842e-06,4.5908e-08,,,,,,           -4.8818,            4.2556,           -1.1549,            8.5053,           44.6985,           -8.2327,           -1.6542,           -0.2919,           -0.0239,           41.4122,
Ref 13,3.38963e-08,,,,,,1.1982e-02,4.2124e-03,4.9044e-05,4.6463e-06,4.3632e-08,,,,,,,,,,,
Sam 13,3.24236e-08,1.19237e-02,4.2304e-03,4.8983e-05,4.6813e-06,4.3336e-08,,,,,,           -4.8849,            4.2662,           -1.3153,            7.5854,          -21.3938,           -8.2364,           -1.6437,           -0.4595,           -0.9571,          -24.4892,
Ref 14,3.34197e-08,,,,,,1.1982e-02,4.2124e-03,4.9051e-05,4.6458e-06,4.4945e-08,,,,,,,,,,,
Sam 14,3.19473e-08,1.19235e-02,4.2303e-03,4.8981e-05,4.6792e-06,4.5869e-08,,,,,,           -4.8867,            4.2579,           -1.3422,            7.1192,            2.0423,           -8.2380,           -1.6520,           -0.4764,           -1.4028,           -1.1090,
Ref 15,3.29531e-08,,,,,,1.1982e-02,4.2123e-03,4.9043e-05,4.6465e-06,4.6618e-08,,,,,,,,,,,
Sam 15,3.14813e-08,1.19235e-02,4.2303e-03,4.8989e-05,4.6823e-06,4.2685e-08,,,,,,           -4.8757,            4.2751,           -1.1918,            8.0857,          -48.3868,           -8.2269,           -1.6348,           -0.3541,           -0.4788,          -51.4227,
Ref 16,3.24919e-08,,,,,,1.1982e-02,4.2123e-03,4.9052e-05,4.6430e-06,4.3069e-08,,,,,,,,,,,
Sam 16,3.10240e-08,1.19234e-02,4.2302e-03,4.8984e-05,4.6846e-06,4.3735e-08,,,,,,           -4.8742,            4.2663,           -1.3031,            9.2118,          -13.6661,           -8.2250,           -1.6436,           -0.4585,            0.6552,          -16.7974,
Ref 17,3.20428e-08,,,,,,1.1982e-02,4.2122e-03,4.9044e-05,4.6408e-06,4.5632e-08,,,,,,,,,,,
Sam 17,3.05776e-08,1.19233e-02,4.2302e-03,4.8985e-05,4.6812e-06,4.5327e-08,,,,,,           -4.8808,            4.2660,           -1.2310,            8.3107,          -43.6912,           -8.2321,           -1.6439,           -0.3791,           -0.2375,          -46.7198,
Ref 18,3.16013e-08,,,,,,1.1982e-02,4.2122e-03,4.9047e-05,4.6444e-06,4.9189e-08,,,,,,,,,,,
Sam 18,3.01387e-08,1.19232e-02,4.2301e-03,4.8984e-05,4.6813e-06,4.2510e-08,,,,,,           -4.8928,            4.2536,           -1.3322,            8.3477,          -78.9398,           -8.2444,           -1.6563,           -0.4558,           -0.1761,          -81.8227,
Ref 19,3.11665e-08,,,,,,1.1982e-02,4.2122e-03,4.9051e-05,4.6406e-06,4.3076e-08,,,,,,,,,,,
Sam 19,2.97085e-08,1.19232e-02,4.2301e-03,4.8979e-05,4.6744e-06,4.1501e-08,,,,,,           -4.8864,            4.2481,           -1.4587,            6.9133,          -20.5436,           -8.2374,           -1.6617,           -0.5837,           -1.5875,          -23.6054,
Ref 20,3.07395e-08,,,,,,1.1982e-02,4.2122e-03,4.9049e-05,4.6441e-06,4.1656e-08,,,,,,,,,,,
Sam 20,2.92867e-08,1.19231e-02,4.2300e-03,4.8984e-05,4.6820e-06,4.1402e-08,,,,,,           -4.8882,            4.2388,           -1.2860,            8.1152,          -29.3079,           -8.2390,           -1.6709,           -0.3999,           -0.3774,          -32.3229,
Ref 21,3.03221e-08,,,,,,1.1982e-02,4.2121e-03,4.9044e-05,4.6445e-06,4.3663e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.01159e-08,,,,,,1.1982e-02,4.2121e-03,4.9049e-05,4.6446e-06,4.6236e-08,
Sam 1,2.86692e-08,1.19231e-02,4.2300e-03,4.8985e-05,4.6881e-06,4.3654e-08,,,,,,           -4.8827,            4.2394,           -1.2959,            9.6218,          -26.8443,           -8.2332,           -1.6704,           -0.4161,            1.1156,          -29.8737,
Ref 2,2.97094e-08,,,,,,1.1982e-02,4.2121e-03,4.9048e-05,4.6423e-06,4.3462e-08,,,,,,,,,,,
Sam 2,2.82685e-08,1.19229e-02,4.2300e-03,4.8985e-05,4.6792e-06,4.2989e-08,,,,,,           -4.8893,            4.2535,           -1.3088,            8.1330,          -23.5101,           -8.2407,           -1.6564,           -0.4359,           -0.3888,          -26.5699,
Ref 3,2.93084e-08,,,,,,1.1981e-02,4.2120e-03,4.9051e-05,4.6407e-06,4.4593e-08,,,,,,,,,,,
Sam 3,2.78731e-08,1.19230e-02,4.2299e-03,4.8978e-05,4.6804e-06,3.9480e-08,,,,,,           -4.8790,            4.2500,           -1.4747,            8.2366,          -83.7428,           -8.2296,           -1.6598,           -0.6093,           -0.2792,          -86.6177,
Ref 4,2.89155e-08,,,,,,1.1981e-02,4.2119e-03,4.9050e-05,4.6438e-06,4.1563e-08,,,,,,,,,,,
Sam 4,2.74851e-08,1.19228e-02,4.2299e-03,4.8988e-05,4.6834e-06,4.2978e-08,,,,,,           -4.8798,            4.2602,           -1.2276,            8.5848,            1.5742,           -8.2308,           -1.6497,           -0.3710,            0.0458,           -1.5874,
Ref 5,2.85292e-08,,,,,,1.1981e-02,4.2120e-03,4.9046e-05,4.6433e-06,4.4276e-08,,,,,,,,,,,
Sam 5,2.71054e-08,1.19227e-02,4.2298e-03,4.8983e-05,4.6792e-06,4.4873e-08,,,,,,           -4.8903,            4.2589,           -1.3898,            7.8282,            7.9504,           -8.2419,           -1.6509,           -0.5213,           -0.7018,            4.7823,
Ref 6,2.81491e-08,,,,,,1.1981e-02,4.2119e-03,4.9056e-05,4.6425e-06,4.4765e-08,,,,,,,,,,,
Sam 6,2.67332e-08,1.19227e-02,4.2298e-03,4.8977e-05,4.6839e-06,4.3076e-08,,,,,,           -4.8862,            4.2654,           -1.5262,            8.4861,          -27.3820,           -8.2377,           -1.6445,           -0.6685,           -0.0625,          -30.4557,
Ref 7,2.77778e-08,,,,,,1.1981e-02,4.2119e-03,4.9046e-05,4.6465e-06,4.3806e-08,,,,,,,,,,,
Sam 7,2.63680e-08,1.19225e-02,4.2297e-03,4.8986e-05,4.6846e-06,4.3632e-08,,,,,,           -4.8898,            4.2476,           -1.3066,            8.7731,          -35.5323,           -8.2410,           -1.6622,           -0.4274,            0.2577,          -38.5427,
Ref 8,2.74128e-08,,,,,,1.1981e-02,4.2118e-03,4.9055e-05,4.6412e-06,4.6692e-08,,,,,,,,,,,
Sam 8,2.60108e-08,1.19224e-02,4.2297e-03,4.8985e-05,4.6846e-06,4.6596e-08,,,,,,           -4.8880,            4.2514,           -1.4130,            8.7825,          -15.7338,           -8.2392,           -1.6585,           -0.5395,            0.2594,          -18.8152,
Ref 9,2.70538e-08,,,,,,1.1981e-02,4.2118e-03,4.9054e-05,4.6464e-06,4.7999e-08,,,,,,,,,,,
Sam 9,2.56573e-08,1.19223e-02,4.2297e-03,4.8975e-05,4.6824e-06,4.6430e-08,,,,,,           -4.8821,            4.2582,           -1.5479,            8.1517,           10.5144,           -8.2332,           -1.6517,           -0.6872,           -0.3797,            7.3309,
Ref 10,2.66996e-08,,,,,,1.1981e-02,4.2118e-03,4.9047e-05,4.6428e-06,4.3867e-08,,,,,,,,,,,
Sam 10,2.53112e-08,1.19224e-02,4.2297e-03,4.8976e-05,4.6793e-06,4.3455e-08,,,,,,           -4.8741,            4.2513,           -1.4179,            7.8255,           25.3316,           -8.2244,           -1.6585,           -0.5588,           -0.6894,           22.1065,
Ref 11,2.63528e-08,,,,,,1.1981e-02,4.2117e-03,4.9045e-05,4.6432e-06,4.0875e-08,,,,,,,,,,,
Sam 11,2.49706e-08,1.19221e-02,4.2296e-03,4.8991e-05,4.6794e-06,4.9576e-08,,,,,,           -4.8954,            4.2386,           -1.1346,            7.2908,           65.1550,           -8.2466,           -1.6711,           -0.2407,           -1.1943,           61.8552,
Ref 12,2.60124e-08,,,,,,1.1981e-02,4.2117e-03,4.9049e-05,4.6479e-06,5.2285e-08,,,,,,,,,,,
Sam 12,2.46373e-08,1.19222e-02,4.2296e-03,4.8982e-05,4.6793e-06,4.8113e-08,,,,,,           -4.8827,            4.2524,           -1.3544,            7.6118,           -1.0418,           -8.2335,           -1.6575,           -0.4874,           -0.9034,           -4.1769,
Ref 13,2.56760e-08,,,,,,1.1981e-02,4.2116e-03,4.9047e-05,4.6400e-06,4.3986e-08,,,,,,,,,,,
Sam 13,2.43095e-08,1.19220e-02,4.2295e-03,4.8984e-05,4.6828e-06,4.0949e-08,,,,,,           -4.8924,            4.2493,           -1.3304,            8.5486,          -82.5063,           -8.2438,           -1.6605,           -0.4502,            0.0317,          -85.3707,
Ref 14,2.53459e-08,,,,,,1.1981e-02,4.2116e-03,4.9052e-05,4.6461e-06,4.5286e-08,,,,,,,,,,,
Sam 14,2.39885e-08,1.19219e-02,4.2295e-03,4.8971e-05,4.6824e-06,4.7595e-08,,,,,,           -4.8934,            4.2435,           -1.5869,            7.9002,           13.5727,           -8.2446,           -1.6663,           -0.7003,           -0.5998,           10.4208,
Ref 15,2.50226e-08,,,,,,1.1980e-02,4.2116e-03,4.9046e-05,4.6453e-06,4.8651e-08,,,,,,,,,,,
Sam 15,2.36718e-08,1.19221e-02,4.2294e-03,4.8977e-05,4.6818e-06,4.7250e-08,,,,,,           -4.8734,            4.2454,           -1.3468,            7.5247,           20.9747,           -8.2234,           -1.6644,           -0.4825,           -0.9759,           17.7743,
Ref 16,2.47048e-08,,,,,,1.1980e-02,4.2116e-03,4.9040e-05,4.6483e-06,4.3877e-08,,,,,,,,,,,
Sam 16,2.33619e-08,1.19218e-02,4.2294e-03,4.8974e-05,4.6785e-06,4.0268e-08,,,,,,           -4.8814,            4.2510,           -1.3801,            7.5592,          -77.0671,           -8.2321,           -1.6589,           -0.5130,           -0.9527,          -79.9623,
Ref 17,2.43934e-08,,,,,,1.1980e-02,4.2114e-03,4.9043e-05,4.6384e-06,4.3382e-08,,,,,,,,,,,
Sam 17,2.30555e-08,1.19216e-02,4.2293e-03,4.8976e-05,4.6821e-06,3.6514e-08,,,,,,           -4.8908,            4.2320,           -1.3182,            8.9087,         -158.0755,           -8.2415,           -1.6777,           -0.4228,            0.4231,         -160.6769,
Ref 18,2.40847e-08,,,,,,1.1980e-02,4.2115e-03,4.9040e-05,4.6431e-06,4.3359e-08,,,,,,,,,,,
Sam 18,2.27593e-08,1.19215e-02,4.2292e-03,4.8971e-05,4.6800e-06,4.2262e-08,,,,,,           -4.8947,            4.2286,           -1.4738,            7.6696,          -42.4878,           -8.2455,           -1.6811,           -0.5712,           -0.7988,          -45.4363,
Ref 19,2.37822e-08,,,,,,1.1980e-02,4.2113e-03,4.9046e-05,4.6457e-06,4.4925e-08,,,,,,,,,,,
Sam 19,2.24643e-08,1.19215e-02,4.2293e-03,4.8969e-05,4.6830e-06,4.0930e-08,,,,,,           -4.8863,            4.2640,           -1.5138,            8.0616,          -21.9477,           -8.2378,           -1.6459,           -0.6545,           -0.4805,          -25.0356,
Ref 20,2.34848e-08,,,,,,1.1980e-02,4.2113e-03,4.9040e-05,4.6454e-06,3.8733e-08,,,,,,,,,,,
Sam 20,2.21757e-08,1.19215e-02,4.2292e-03,4.8969e-05,4.6824e-06,4.2334e-08,,,,,,           -4.8792,            4.2439,           -1.3920,            8.3611,           28.9248,           -8.2295,           -1.6659,           -0.5204,           -0.1436,           25.7087,
