Batch,20230510 clumped PREC KDB NTA,Collected on,2023/05/10 18:17:57,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2023/05/10 19:16:57,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19559 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 18:17:57,418,1,1.1912e-07,2.849707E-10,CF,20.325,5.962e-02,1,5.8296e-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9662e-08,1.0630e-07,4.5935e-08,4.5702e-08,4.5667e-08,4.5552e-08,0.96,2023/05/10 18:17:11,0.25,7703,8448,5.9621e-02,46.046,20,0.000,-2.4233e-13,-1.1516e-13,-1.2386e-13,-6.8733e-14,2.9701e-14,3.2151e-12,23.00,23.00,64.18,2.81384e-08,2.72639e-08,1.20346e-02,4.2590e-03,4.9766e-05,4.7071e-06,-5.2248e-08,1.1979e-02,4.2113e-03,4.9008e-05,4.6035e-06,-5.1458e-08,4.6791,11.3193,15.4623,22.5008,148.9787,1.6986,0.0011,0,60,5.3544,0.0019,0,60,-0.5442,-0.2600,118.2508,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19560 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 19:39:32,422,2,1.2808e-07,3.034996E-10,CF,21.149,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8822e-08,1.0671e-07,4.9851e-08,4.9997e-08,4.9964e-08,4.9843e-08,0.96,2023/05/10 19:38:46,0.24,7219,8447,5.8296e-02,46.046,20,0.000,-2.4797e-13,-1.1775e-13,-1.2656e-13,-6.9952e-14,2.9647e-14,3.4162e-12,23.00,24.00,64.18,3.04040e-08,2.94679e-08,1.18940e-02,4.1896e-03,4.8386e-05,4.5755e-06,-3.3013e-09,1.1980e-02,4.2117e-03,4.9029e-05,4.6249e-06,-1.0045e-09,-7.1560,-5.2504,-13.1073,-10.7293,-347.5235,-10.3233,0.0010,0,60,-11.1093,0.0013,0,60,-0.6117,-0.2589,-335.6867,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19561 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 21:01:03,459,3,1.4726e-07,3.208188E-10,CF,24.383,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8040e-08,1.0645e-07,5.8477e-08,5.8644e-08,5.8601e-08,5.8463e-08,0.96,2023/05/10 21:00:17,0.24,6508,8446,5.8296e-02,46.049,20,0.000,-2.5160e-13,-1.1943e-13,-1.2838e-13,-7.0882e-14,2.9004e-14,3.5602e-12,24.00,25.00,64.28,3.48583e-08,3.37700e-08,1.20336e-02,4.2620e-03,4.9832e-05,4.7452e-06,2.1374e-08,1.1981e-02,4.2121e-03,4.9044e-05,4.6351e-06,2.0012e-08,4.4290,11.8552,16.0617,23.7691,293.3235,1.4140,0.0010,0,60,5.8881,0.0026,0,60,-0.2189,-0.0799,257.7675,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19562 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 22:22:31,500,4,1.6005e-07,3.201062E-10,CF,26.153,5.962e-02,1,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7192e-08,1.0653e-07,6.4339e-08,6.4406e-08,6.4338e-08,6.4204e-08,0.96,2023/05/10 22:21:45,0.21,6089,8446,5.9621e-02,46.044,20,0.000,-2.5313e-13,-1.2000e-13,-1.2913e-13,-7.1080e-14,2.9004e-14,3.5727e-12,25.00,25.00,64.50,3.78323e-08,3.66772e-08,1.19222e-02,4.2306e-03,4.8992e-05,4.6732e-06,2.3706e-08,1.1981e-02,4.2120e-03,4.9037e-05,4.6322e-06,2.4331e-08,-4.8794,4.4164,-0.9051,8.8530,1221.0548,-8.2357,0.0009,0,60,-1.4942,0.0021,0,60,-0.2018,0.0006,1213.3548,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19563 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/10 23:43:50,495,5,1.6225e-07,3.277871E-10,CF,26.581,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6458e-08,1.0650e-07,6.5252e-08,6.5374e-08,6.5333e-08,6.5171e-08,0.96,2023/05/10 23:43:05,0.25,5967,8446,5.8296e-02,46.046,20,0.000,-2.5502e-13,-1.2071e-13,-1.2982e-13,-7.1247e-14,2.8718e-14,3.6809e-12,25.00,25.00,64.50,3.82896e-08,3.71765e-08,1.20419e-02,4.2596e-03,4.9829e-05,4.7495e-06,6.3304e-08,1.1981e-02,4.2121e-03,4.9053e-05,4.6450e-06,6.0173e-08,5.0864,11.2609,15.8211,22.4887,53.1202,2.1340,0.0011,0,60,5.2954,0.0023,0,60,-0.5517,-0.1564,24.6334,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19564 AU_MJ1_253_82.txt,AU_MJ1_253_82,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 01:03:51,662,6,7.5870e-08,1.146076E-10,CF,12.604,5.962e-02,0,5.6999e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5623e-08,1.0612e-07,7.2821e-08,7.4382e-08,7.4268e-08,7.3639e-08,0.96,2023/05/11 01:03:06,0.85,5533,8446,5.9621e-02,46.044,20,0.000,-2.5530e-13,-1.2095e-13,-1.3018e-13,-7.2126e-14,2.8753e-14,3.7068e-12,35.00,35.00,64.50,3.17380e-08,3.00361e-08,1.19475e-02,4.2069e-03,4.8840e-05,4.6274e-06,3.6807e-08,1.1980e-02,4.2118e-03,4.9054e-05,4.6392e-06,3.7308e-08,-2.7254,-1.1724,-4.3757,-2.5425,-15.4491,-5.7496,0.0012,0,60,-7.0607,0.0025,0,60,-0.4184,-0.1996,-10.3078,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19565 AU_MJ1_113_07.txt,AU_MJ1_113_07,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 02:26:22,709,7,1.1836e-07,1.669382E-10,CF,19.684,5.830e-02,1,5.5732e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4934e-08,1.0664e-07,4.5250e-08,4.5441e-08,4.5405e-08,4.5303e-08,0.96,2023/05/11 02:25:37,0.22,7193,8446,5.8296e-02,46.046,20,0.000,-2.5557e-13,-1.2115e-13,-1.3036e-13,-7.3873e-14,2.5928e-14,3.5191e-12,23.00,23.00,64.50,2.79879e-08,2.71266e-08,1.19470e-02,4.2080e-03,4.8858e-05,4.6396e-06,5.7245e-08,1.1980e-02,4.2121e-03,4.9068e-05,4.6495e-06,5.6604e-08,-2.7891,-0.9952,-4.2788,-2.1197,10.5008,-5.8235,0.0011,0,60,-6.8842,0.0014,0,60,-0.4298,-0.1307,15.4933,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19567 ETH-4.txt,ETH-4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/10 18:17:57,2023/05/11 05:09:12,493,9,1.5454e-07,3.13463E-10,CF,25.299,5.962e-02,1,5.8296e-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4010e-08,1.0607e-07,6.1738e-08,6.1792e-08,6.1737e-08,6.1602e-08,0.96,2023/05/11 05:08:26,0.22,5929,8450,5.9621e-02,46.049,20,0.000,-2.5665e-13,-1.2151e-13,-1.3075e-13,-7.4819e-14,2.2924e-14,3.3054e-12,24.00,25.00,64.50,3.64891e-08,3.53248e-08,1.18932e-02,4.1892e-03,4.8408e-05,4.5964e-06,6.1359e-08,1.1981e-02,4.2123e-03,4.9061e-05,4.6470e-06,6.0700e-08,-7.3386,-5.4719,-13.3007,-10.8934,8.8210,-10.5100,0.0010,0,60,-11.3294,0.0014,0,60,-0.3990,0.0207,27.7874,
