Batch,20230510 clumped PREC KDB NTA,Collected on,5/10/2023 18:17,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,5/10/2023 19:16,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19559 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/10/2023 18:17,418,1,1.19E-07,2.85E-10,CF,20.325,5.96E-02,1,5.83E-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.97E-08,1.06E-07,4.59E-08,4.57E-08,4.57E-08,4.56E-08,0.96,5/10/2023 18:17,0.25,7703,8448,5.96E-02,46.046,20,0,-2.42E-13,-1.15E-13,-1.24E-13,-6.87E-14,2.97E-14,3.22E-12,23,23,64.18,2.81E-08,2.73E-08,1.20E-02,4.26E-03,4.98E-05,4.71E-06,-5.22E-08,1.20E-02,4.21E-03,4.90E-05,4.60E-06,-5.15E-08,4.6791,11.3193,15.4623,22.5008,148.9787,1.6986,0.0011,0,60,5.3544,0.0019,0,60,-0.5442,-0.26,118.2508
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19560 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/10/2023 19:39,422,2,1.28E-07,3.03E-10,CF,21.149,5.83E-02,1,5.57E-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.88E-08,1.07E-07,4.99E-08,5.00E-08,5.00E-08,4.98E-08,0.96,5/10/2023 19:38,0.24,7219,8447,5.83E-02,46.046,20,0,-2.48E-13,-1.18E-13,-1.27E-13,-7.00E-14,2.96E-14,3.42E-12,23,24,64.18,3.04E-08,2.95E-08,1.19E-02,4.19E-03,4.84E-05,4.58E-06,-3.30E-09,1.20E-02,4.21E-03,4.90E-05,4.62E-06,-1.00E-09,-7.156,-5.2504,-13.1073,-10.7293,-347.5235,-10.3233,0.001,0,60,-11.1093,0.0013,0,60,-0.6117,-0.2589,-335.6867
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19561 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/10/2023 21:01,459,3,1.47E-07,3.21E-10,CF,24.383,5.83E-02,1,5.57E-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.80E-08,1.06E-07,5.85E-08,5.86E-08,5.86E-08,5.85E-08,0.96,5/10/2023 21:00,0.24,6508,8446,5.83E-02,46.049,20,0,-2.52E-13,-1.19E-13,-1.28E-13,-7.09E-14,2.90E-14,3.56E-12,24,25,64.28,3.49E-08,3.38E-08,1.20E-02,4.26E-03,4.98E-05,4.75E-06,2.14E-08,1.20E-02,4.21E-03,4.90E-05,4.64E-06,2.00E-08,4.429,11.8552,16.0617,23.7691,293.3235,1.414,0.001,0,60,5.8881,0.0026,0,60,-0.2189,-0.0799,257.7675
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19562 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/10/2023 22:22,500,4,1.60E-07,3.20E-10,CF,26.153,5.96E-02,1,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.72E-08,1.07E-07,6.43E-08,6.44E-08,6.43E-08,6.42E-08,0.96,5/10/2023 22:21,0.21,6089,8446,5.96E-02,46.044,20,0,-2.53E-13,-1.20E-13,-1.29E-13,-7.11E-14,2.90E-14,3.57E-12,25,25,64.5,3.78E-08,3.67E-08,1.19E-02,4.23E-03,4.90E-05,4.67E-06,2.37E-08,1.20E-02,4.21E-03,4.90E-05,4.63E-06,2.43E-08,-4.8794,4.4164,-0.9051,8.853,1221.0548,-8.2357,0.0009,0,60,-1.4942,0.0021,0,60,-0.2018,0.0006,1213.3548
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19563 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/10/2023 23:43,495,5,1.62E-07,3.28E-10,CF,26.581,5.83E-02,1,5.57E-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.65E-08,1.07E-07,6.53E-08,6.54E-08,6.53E-08,6.52E-08,0.96,5/10/2023 23:43,0.25,5967,8446,5.83E-02,46.046,20,0,-2.55E-13,-1.21E-13,-1.30E-13,-7.12E-14,2.87E-14,3.68E-12,25,25,64.5,3.83E-08,3.72E-08,1.20E-02,4.26E-03,4.98E-05,4.75E-06,6.33E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,6.02E-08,5.0864,11.2609,15.8211,22.4887,53.1202,2.134,0.0011,0,60,5.2954,0.0023,0,60,-0.5517,-0.1564,24.6334
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19564 AU_MJ1_253_82.txt,AU_MJ1_253_82,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 1:03,662,6,7.59E-08,1.15E-10,CF,12.604,5.96E-02,0,5.70E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.56E-08,1.06E-07,7.28E-08,7.44E-08,7.43E-08,7.36E-08,0.96,5/11/2023 1:03,0.85,5533,8446,5.96E-02,46.044,20,0,-2.55E-13,-1.21E-13,-1.30E-13,-7.21E-14,2.88E-14,3.71E-12,35,35,64.5,3.17E-08,3.00E-08,1.19E-02,4.21E-03,4.88E-05,4.63E-06,3.68E-08,1.20E-02,4.21E-03,4.91E-05,4.64E-06,3.73E-08,-2.7254,-1.1724,-4.3757,-2.5425,-15.4491,-5.7496,0.0012,0,60,-7.0607,0.0025,0,60,-0.4184,-0.1996,-10.3078
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19565 AU_MJ1_113_07.txt,AU_MJ1_113_07,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 2:26,709,7,1.18E-07,1.67E-10,CF,19.684,5.83E-02,1,5.57E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.49E-08,1.07E-07,4.53E-08,4.54E-08,4.54E-08,4.53E-08,0.96,5/11/2023 2:25,0.22,7193,8446,5.83E-02,46.046,20,0,-2.56E-13,-1.21E-13,-1.30E-13,-7.39E-14,2.59E-14,3.52E-12,23,23,64.5,2.80E-08,2.71E-08,1.19E-02,4.21E-03,4.89E-05,4.64E-06,5.72E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,5.66E-08,-2.7891,-0.9952,-4.2788,-2.1197,10.5008,-5.8235,0.0011,0,60,-6.8842,0.0014,0,60,-0.4298,-0.1307,15.4933
C:\Nu Stable\Results\2023\20230510 clumped PREC KDB NTA,20230510 clumped PREC KDB NTA,Data_19567 ETH-4.txt,ETH-4,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,5/10/2023 18:17,5/11/2023 5:09,493,9,1.55E-07,3.13E-10,CF,25.299,5.96E-02,1,5.83E-02,15616, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.40E-08,1.06E-07,6.17E-08,6.18E-08,6.17E-08,6.16E-08,0.96,5/11/2023 5:08,0.22,5929,8450,5.96E-02,46.049,20,0,-2.57E-13,-1.22E-13,-1.31E-13,-7.48E-14,2.29E-14,3.31E-12,24,25,64.5,3.65E-08,3.53E-08,1.19E-02,4.19E-03,4.84E-05,4.60E-06,6.14E-08,1.20E-02,4.21E-03,4.91E-05,4.65E-06,6.07E-08,-7.3386,-5.4719,-13.3007,-10.8934,8.821,-10.51,0.001,0,60,-11.3294,0.0014,0,60,-0.399,0.0207,27.7874
