Nu Stable Isotope Analysis Program
Data Collected on Wednesday, May 10, 2023 at 18:17 with Stable 1.71.5 on PS019,Reanalyzed on Wednesday, May 10, 2023 at 19:16 with Stable 1.71.5 on PS019

Data File = Data_19559 ETH-1.txt,         Sample Weight = 418,                      Vial Location = 1,                        Initial Sam Beam = 1.1912e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9662e-08,                Max Ref Beam = 1.0630e-07,                

Analysis undertaken at mass 46.0461
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.36084e-08,,,,,,1.1978e-02,4.2109e-03,4.9034e-05,4.6425e-06,5.0694e-08,
Sam 1,4.29955e-08,1.20349e-02,4.2588e-03,4.9799e-05,4.7482e-06,5.1970e-08,,,,,,            4.6945,           11.3403,           15.6144,           22.8383,          120.3245,            1.7143,            5.3752,           -0.4306,            0.0285,           90.3028,
Ref 2,4.28226e-08,,,,,,1.1979e-02,4.2111e-03,4.9032e-05,4.6418e-06,4.2003e-08,,,,,,,,,,,
Sam 2,4.21800e-08,1.20349e-02,4.2589e-03,4.9801e-05,4.7439e-06,4.4856e-08,,,,,,            4.6788,           11.3382,           15.6680,           21.9701,          107.7736,            1.6976,            5.3731,           -0.3596,           -0.8162,           78.1106,
Ref 3,4.20886e-08,,,,,,1.1979e-02,4.2112e-03,4.9033e-05,4.6419e-06,3.8955e-08,,,,,,,,,,,
Sam 3,4.14080e-08,1.20350e-02,4.2589e-03,4.9799e-05,4.7482e-06,4.4090e-08,,,,,,            4.6881,           11.3377,           15.5788,           22.7417,          175.1077,            1.7076,            5.3727,           -0.4566,           -0.0609,          143.6314,
Ref 4,4.13748e-08,,,,,,1.1979e-02,4.2111e-03,4.9037e-05,4.6433e-06,3.6061e-08,,,,,,,,,,,
Sam 4,4.06507e-08,1.20350e-02,4.2589e-03,4.9803e-05,4.7442e-06,3.9400e-08,,,,,,            4.6860,           11.3363,           15.6095,           21.6659,           57.1572,            1.7053,            5.3713,           -0.4228,           -1.1099,           28.8456,
Ref 5,4.06729e-08,,,,,,1.1979e-02,4.2113e-03,4.9038e-05,4.6440e-06,3.8499e-08,,,,,,,,,,,
Sam 5,3.99121e-08,1.20350e-02,4.2590e-03,4.9800e-05,4.7504e-06,3.7629e-08,,,,,,            4.6873,           11.3295,           15.5348,           22.7895,           54.8366,            1.7070,            5.3645,           -0.4911,            0.0020,           26.5992,
Ref 6,3.99948e-08,,,,,,1.1979e-02,4.2113e-03,4.9038e-05,4.6452e-06,3.2799e-08,,,,,,,,,,,
Sam 6,3.91990e-08,1.20351e-02,4.2590e-03,4.9797e-05,4.7422e-06,3.8692e-08,,,,,,            4.6926,           11.3326,           15.5041,           21.3806,          210.3952,            1.7125,            5.3676,           -0.5298,           -1.3816,          177.9798,
Ref 7,3.93360e-08,,,,,,1.1979e-02,4.2113e-03,4.9036e-05,4.6407e-06,3.1121e-08,,,,,,,,,,,
Sam 7,3.85054e-08,1.20350e-02,4.2591e-03,4.9806e-05,4.7452e-06,3.4355e-08,,,,,,            4.6850,           11.3368,           15.7322,           22.8769,          112.0217,            1.7043,            5.3717,           -0.3015,            0.0731,           82.2408,
Ref 8,3.86909e-08,,,,,,1.1979e-02,4.2113e-03,4.9033e-05,4.6375e-06,3.0664e-08,,,,,,,,,,,
Sam 8,3.78300e-08,1.20351e-02,4.2591e-03,4.9798e-05,4.7451e-06,3.8570e-08,,,,,,            4.6891,           11.3291,           15.5823,           22.7356,          266.6416,            1.7089,            5.3641,           -0.4458,           -0.0499,          232.7328,
Ref 9,3.80645e-08,,,,,,1.1979e-02,4.2114e-03,4.9034e-05,4.6418e-06,3.0234e-08,,,,,,,,,,,
Sam 9,3.71664e-08,1.20351e-02,4.2591e-03,4.9800e-05,4.7448e-06,2.8107e-08,,,,,,            4.6799,           11.3217,           15.5842,           22.3808,           85.1493,            1.6994,            5.3567,           -0.4273,           -0.3820,           56.1248,
Ref 10,3.74405e-08,,,,,,1.1979e-02,4.2114e-03,4.9039e-05,4.6402e-06,2.1496e-08,,,,,,,,,,,
Sam 10,3.65190e-08,1.20352e-02,4.2591e-03,4.9800e-05,4.7453e-06,2.4247e-08,,,,,,            4.6839,           11.3398,           15.5449,           22.9410,          128.0707,            1.7030,            5.3747,           -0.4876,            0.1298,           97.8549,
Ref 11,3.68323e-08,,,,,,1.1979e-02,4.2114e-03,4.9038e-05,4.6375e-06,2.1492e-08,,,,,,,,,,,
Sam 11,3.58879e-08,1.20351e-02,4.2591e-03,4.9799e-05,4.7417e-06,2.5122e-08,,,,,,            4.6816,           11.3225,           15.5438,           22.4741,          111.0380,            1.7012,            5.3575,           -0.4696,           -0.2925,           81.3173,
Ref 12,3.62390e-08,,,,,,1.1979e-02,4.2114e-03,4.9037e-05,4.6374e-06,2.3749e-08,,,,,,,,,,,
Sam 12,3.52751e-08,1.20350e-02,4.2591e-03,4.9794e-05,4.7399e-06,2.4398e-08,,,,,,            4.6800,           11.3314,           15.4658,           22.1552,          109.3582,            1.6992,            5.3664,           -0.5534,           -0.6219,           79.6656,
Ref 13,3.56604e-08,,,,,,1.1979e-02,4.2114e-03,4.9034e-05,4.6370e-06,2.0208e-08,,,,,,,,,,,
Sam 13,3.46712e-08,1.20350e-02,4.2591e-03,4.9800e-05,4.7404e-06,2.1965e-08,,,,,,            4.6763,           11.3143,           15.6028,           22.5056,           83.5895,            1.6958,            5.3494,           -0.3982,           -0.2455,           54.6258,
Ref 14,3.50940e-08,,,,,,1.1979e-02,4.2115e-03,4.9036e-05,4.6351e-06,2.0335e-08,,,,,,,,,,,
Sam 14,3.40874e-08,1.20351e-02,4.2592e-03,4.9798e-05,4.7413e-06,2.0039e-08,,,,,,            4.6860,           11.3479,           15.4671,           23.5182,          109.0522,            1.7049,            5.3828,           -0.5742,            0.6781,           79.3265,
Ref 15,3.45379e-08,,,,,,1.1979e-02,4.2114e-03,4.9042e-05,4.6296e-06,1.5765e-08,,,,,,,,,,,
Sam 15,3.35119e-08,1.20351e-02,4.2592e-03,4.9789e-05,4.7374e-06,1.9513e-08,,,,,,            4.6897,           11.3296,           15.2852,           23.1264,          446.2693,            1.7095,            5.3645,           -0.7393,            0.3313,          407.5496,
Ref 16,3.39950e-08,,,,,,1.1979e-02,4.2115e-03,4.9036e-05,4.6312e-06,1.1183e-08,,,,,,,,,,,
Sam 16,3.29554e-08,1.20350e-02,4.2592e-03,4.9793e-05,4.7386e-06,1.4927e-08,,,,,,            4.6780,           11.3400,           15.4530,           22.7616,          268.3041,            1.6967,            5.3749,           -0.5722,           -0.0459,          234.3393,
Ref 17,3.34640e-08,,,,,,1.1979e-02,4.2114e-03,4.9033e-05,4.6351e-06,1.2365e-08,,,,,,,,,,,
Sam 17,3.24072e-08,1.20350e-02,4.2592e-03,4.9791e-05,4.7348e-06,1.0472e-08,,,,,,            4.6773,           11.3317,           15.4932,           22.0173,           11.0041,            1.6962,            5.3667,           -0.5238,           -0.7573,          -16.0537,
Ref 18,3.29440e-08,,,,,,1.1979e-02,4.2115e-03,4.9029e-05,4.6304e-06,8.3207e-09,,,,,,,,,,,
Sam 18,3.18723e-08,1.20351e-02,4.2592e-03,4.9794e-05,4.7358e-06,7.8376e-09,,,,,,            4.6918,           11.3244,           15.5947,           22.8764,          555.8025,            1.7119,            5.3594,           -0.4317,            0.0972,          514.1623,
Ref 19,3.24371e-08,,,,,,1.1979e-02,4.2115e-03,4.9030e-05,4.6294e-06,1.7033e-09,,,,,,,,,,,
Sam 19,3.13463e-08,1.20350e-02,4.2591e-03,4.9786e-05,4.7326e-06,3.8447e-09,,,,,,            4.6845,           11.3211,           15.4590,           22.8641,         5624.1488,            1.7043,            5.3561,           -0.5547,            0.0916,         5446.9466,
Ref 20,3.19390e-08,,,,,,1.1979e-02,4.2114e-03,4.9027e-05,4.6242e-06,-5.5998e-10,,,,,,,,,,,
Sam 20,3.08331e-08,1.20350e-02,4.2592e-03,4.9787e-05,4.7278e-06,-2.6331e-09,,,,,,            4.6782,           11.3467,           15.5026,           22.4433,         -299.2620,            1.6967,            5.3817,           -0.5301,           -0.3704,         -318.0365,
Ref 21,3.14501e-08,,,,,,1.1979e-02,4.2115e-03,4.9027e-05,4.6239e-06,-7.0048e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.12136e-08,,,,,,1.1979e-02,4.2115e-03,4.9023e-05,4.6250e-06,-5.5226e-09,
Sam 1,3.00512e-08,1.20352e-02,4.2593e-03,4.9790e-05,4.7309e-06,-1.0193e-08,,,,,,            4.6924,           11.3373,           15.6682,           22.9553,          396.2836,            1.7121,            5.3722,           -0.3726,            0.1487,          358.8778,
Ref 2,3.07106e-08,,,,,,1.1979e-02,4.2115e-03,4.9022e-05,4.6244e-06,-9.1067e-09,,,,,,,,,,,
Sam 2,2.95622e-08,1.20349e-02,4.2591e-03,4.9787e-05,4.7266e-06,-9.9201e-09,,,,,,            4.6766,           11.3085,           15.6191,           21.9987,          -12.3492,            1.6963,            5.3436,           -0.3767,           -0.7296,          -38.7378,
Ref 3,3.02473e-08,,,,,,1.1979e-02,4.2114e-03,4.9022e-05,4.6253e-06,-1.0996e-08,,,,,,,,,,,
Sam 3,2.90851e-08,1.20349e-02,4.2592e-03,4.9786e-05,4.7290e-06,-1.2622e-08,,,,,,            4.6836,           11.3265,           15.5381,           22.8198,          -84.7276,            1.7031,            5.3615,           -0.4811,            0.0377,         -109.2201,
Ref 4,2.97891e-08,,,,,,1.1979e-02,4.2115e-03,4.9026e-05,4.6216e-06,-1.6628e-08,,,,,,,,,,,
Sam 4,2.86193e-08,1.20348e-02,4.2591e-03,4.9780e-05,4.7269e-06,-9.1909e-09,,,,,,            4.6801,           11.3069,           15.4086,           23.1628,         -433.3843,            1.7001,            5.3420,           -0.5860,            0.4118,         -448.5237,
Ref 5,2.93433e-08,,,,,,1.1979e-02,4.2114e-03,4.9023e-05,4.6182e-06,-1.5808e-08,,,,,,,,,,,
Sam 5,2.81679e-08,1.20348e-02,4.2591e-03,4.9788e-05,4.7246e-06,-1.7572e-08,,,,,,            4.6799,           11.3237,           15.6335,           22.8355,           -0.8795,            1.6993,            5.3587,           -0.3806,            0.0586,          -27.6067,
Ref 6,2.89051e-08,,,,,,1.1979e-02,4.2114e-03,4.9020e-05,4.6200e-06,-1.9394e-08,,,,,,,,,,,
Sam 6,2.77262e-08,1.20347e-02,4.2591e-03,4.9781e-05,4.7211e-06,-2.1760e-08,,,,,,            4.6702,           11.3293,           15.5365,           22.2592,          -16.7683,            1.6888,            5.3643,           -0.4717,           -0.5160,          -43.0711,
Ref 7,2.84778e-08,,,,,,1.1979e-02,4.2114e-03,4.9019e-05,4.6167e-06,-2.4909e-08,,,,,,,,,,,
Sam 7,2.72949e-08,1.20348e-02,4.2591e-03,4.9781e-05,4.7208e-06,-2.3132e-08,,,,,,            4.6759,           11.3211,           15.4946,           22.8926,         -123.8812,            1.6952,            5.3562,           -0.5108,            0.1195,         -147.3102,
Ref 8,2.80587e-08,,,,,,1.1979e-02,4.2114e-03,4.9022e-05,4.6135e-06,-2.7920e-08,,,,,,,,,,,
Sam 8,2.68741e-08,1.20348e-02,4.2591e-03,4.9773e-05,4.7150e-06,-3.0874e-08,,,,,,            4.6824,           11.3160,           15.2816,           21.9798,           11.1505,            1.7022,            5.3510,           -0.7221,           -0.7629,          -15.8864,
Ref 9,2.76474e-08,,,,,,1.1979e-02,4.2114e-03,4.9024e-05,4.6136e-06,-3.3186e-08,,,,,,,,,,,
Sam 9,2.64635e-08,1.20347e-02,4.2591e-03,4.9779e-05,4.7181e-06,-3.4806e-08,,,,,,            4.6864,           11.3229,           15.4654,           22.8253,          -59.7230,            1.7062,            5.3579,           -0.5521,            0.0501,          -84.8810,
Ref 10,2.72438e-08,,,,,,1.1978e-02,4.2114e-03,4.9018e-05,4.6120e-06,-4.0904e-08,,,,,,,,,,,
Sam 10,2.60600e-08,1.20347e-02,4.2591e-03,4.9768e-05,4.7105e-06,-4.1046e-08,,,,,,            4.6924,           11.3198,           15.3045,           21.7501,           45.0117,            1.7128,            5.3548,           -0.7136,           -0.9950,           17.0510,
Ref 11,2.68491e-08,,,,,,1.1979e-02,4.2114e-03,4.9018e-05,4.6085e-06,-3.7629e-08,,,,,,,,,,,
Sam 11,2.56674e-08,1.20346e-02,4.2591e-03,4.9774e-05,4.7114e-06,-4.0727e-08,,,,,,            4.6764,           11.3146,           15.4310,           22.7856,          -52.6381,            1.6959,            5.3497,           -0.5677,            0.0277,          -77.9611,
Ref 12,2.64632e-08,,,,,,1.1979e-02,4.2114e-03,4.9018e-05,4.6044e-06,-4.8428e-08,,,,,,,,,,,
Sam 12,2.52903e-08,1.20347e-02,4.2590e-03,4.9768e-05,4.7062e-06,-4.5484e-08,,,,,,            4.6743,           11.3123,           15.3465,           21.4844,         -100.7182,            1.6937,            5.3474,           -0.6463,           -1.2401,         -124.7501,
Ref 13,2.60903e-08,,,,,,1.1979e-02,4.2114e-03,4.9013e-05,4.6100e-06,-5.2759e-08,,,,,,,,,,,
Sam 13,2.49145e-08,1.20345e-02,4.2591e-03,4.9772e-05,4.7103e-06,-5.0276e-08,,,,,,            4.6605,           11.3176,           15.5629,           22.7952,          -85.8169,            1.6788,            5.3527,           -0.4243,            0.0312,         -110.2431,
Ref 14,2.57246e-08,,,,,,1.1979e-02,4.2114e-03,4.9007e-05,4.6006e-06,-5.7263e-08,,,,,,,,,,,
Sam 14,2.45462e-08,1.20346e-02,4.2590e-03,4.9763e-05,4.7036e-06,-5.4264e-08,,,,,,            4.6736,           11.3093,           15.3967,           22.3024,          -62.5822,            1.6931,            5.3444,           -0.5933,           -0.4342,          -87.6272,
Ref 15,2.53646e-08,,,,,,1.1978e-02,4.2114e-03,4.9011e-05,4.6014e-06,-5.8520e-08,,,,,,,,,,,
Sam 15,2.41830e-08,1.20345e-02,4.2590e-03,4.9765e-05,4.7059e-06,-6.0862e-08,,,,,,            4.6689,           11.3016,           15.3461,           22.6631,            7.8629,            1.6883,            5.3367,           -0.6308,           -0.0663,          -19.0446,
Ref 16,2.50105e-08,,,,,,1.1979e-02,4.2114e-03,4.9015e-05,4.6019e-06,-6.2280e-08,,,,,,,,,,,
Sam 16,2.38237e-08,1.20345e-02,4.2590e-03,4.9763e-05,4.7044e-06,-6.6794e-08,,,,,,            4.6728,           11.3154,           15.3273,           22.1361,            6.7729,            1.6921,            5.3504,           -0.6667,           -0.6088,          -20.1359,
Ref 17,2.46603e-08,,,,,,1.1978e-02,4.2113e-03,4.9009e-05,4.6032e-06,-7.0466e-08,,,,,,,,,,,
Sam 17,2.34705e-08,1.20344e-02,4.2589e-03,4.9768e-05,4.7030e-06,-7.2370e-08,,,,,,            4.6687,           11.3097,           15.5611,           22.6362,           32.9298,            1.6878,            5.3448,           -0.4268,           -0.1086,            5.3374,
Ref 18,2.43164e-08,,,,,,1.1979e-02,4.2113e-03,4.9001e-05,4.5945e-06,-6.9654e-08,,,,,,,,,,,
Sam 18,2.31246e-08,1.20344e-02,4.2590e-03,4.9759e-05,4.6954e-06,-7.6553e-08,,,,,,            4.6720,           11.3228,           15.4601,           21.9451,           53.4627,            1.6909,            5.3578,           -0.5424,           -0.8101,           25.2921,
Ref 19,2.39796e-08,,,,,,1.1978e-02,4.2113e-03,4.9002e-05,4.5945e-06,-7.5725e-08,,,,,,,,,,,
Sam 19,2.27870e-08,1.20344e-02,4.2589e-03,4.9756e-05,4.6941e-06,-8.2521e-08,,,,,,            4.6768,           11.2914,           15.4236,           22.3552,           74.3760,            1.6971,            5.3266,           -0.5526,           -0.3472,           45.7048,
Ref 20,2.36477e-08,,,,,,1.1978e-02,4.2113e-03,4.8998e-05,4.5883e-06,-7.7907e-08,,,,,,,,,,,
Sam 20,2.24559e-08,1.20342e-02,4.2589e-03,4.9761e-05,4.6929e-06,-8.0840e-08,,,,,,            4.6598,           11.3017,           15.5943,           22.5909,           32.0430,            1.6787,            5.3369,           -0.3773,           -0.1370,            4.4994,
Ref 21,2.33218e-08,,,,,,1.1978e-02,4.2112e-03,4.8997e-05,4.5902e-06,-7.8758e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.31621e-08,,,,,,1.1978e-02,4.2113e-03,4.9008e-05,4.5933e-06,-8.4481e-08,
Sam 1,2.19733e-08,1.20344e-02,4.2589e-03,4.9753e-05,4.6952e-06,-9.0785e-08,,,,,,            4.6863,           11.2936,           15.3821,           23.4352,           32.0777,            1.7071,            5.3288,           -0.6054,            0.7044,            4.5209,
Ref 2,2.28447e-08,,,,,,1.1978e-02,4.2113e-03,4.8990e-05,4.5820e-06,-9.1494e-08,,,,,,,,,,,
Sam 2,2.16597e-08,1.20343e-02,4.2589e-03,4.9745e-05,4.6924e-06,-9.5319e-08,,,,,,            4.6793,           11.3025,           15.4039,           23.2930,           45.4680,            1.6993,            5.3376,           -0.5853,            0.5479,           17.5436,
Ref 3,2.25346e-08,,,,,,1.1978e-02,4.2112e-03,4.8990e-05,4.5891e-06,-9.0849e-08,,,,,,,,,,,
Sam 3,2.13546e-08,1.20343e-02,4.2589e-03,4.9742e-05,4.6855e-06,-1.0083e-07,,,,,,            4.6726,           11.3135,           15.3520,           21.2863,           65.2249,            1.6918,            5.3486,           -0.6403,           -1.4360,           36.7579,
Ref 4,2.22293e-08,,,,,,1.1978e-02,4.2112e-03,4.8990e-05,4.5865e-06,-9.8508e-08,,,,,,,,,,,
Sam 4,2.10526e-08,1.20343e-02,4.2588e-03,4.9740e-05,4.6918e-06,-1.0685e-07,,,,,,            4.6789,           11.3045,           15.3328,           23.2912,           32.4118,            1.6989,            5.3396,           -0.6570,            0.5421,            4.8325,
Ref 5,2.19299e-08,,,,,,1.1978e-02,4.2112e-03,4.8988e-05,4.5834e-06,-1.0855e-07,,,,,,,,,,,
Sam 5,2.07593e-08,1.20342e-02,4.2588e-03,4.9742e-05,4.6864e-06,-1.1781e-07,,,,,,            4.6810,           11.2954,           15.4295,           22.9065,           44.7978,            1.7014,            5.3306,           -0.5551,            0.1838,           16.9034,
Ref 6,2.16389e-08,,,,,,1.1978e-02,4.2112e-03,4.8985e-05,4.5795e-06,-1.1702e-07,,,,,,,,,,,
Sam 6,2.04726e-08,1.20342e-02,4.2588e-03,4.9744e-05,4.6785e-06,-1.2413e-07,,,,,,            4.6781,           11.3147,           15.6296,           22.2127,           65.1295,            1.6977,            5.3498,           -0.3739,           -0.5326,           36.6565,
Ref 7,2.13500e-08,,,,,,1.1978e-02,4.2111e-03,4.8972e-05,4.5742e-06,-1.1606e-07,,,,,,,,,,,
Sam 7,2.01919e-08,1.20342e-02,4.2588e-03,4.9738e-05,4.6767e-06,-1.1661e-07,,,,,,            4.6820,           11.3225,           15.5446,           22.2741,          -19.6817,            1.7015,            5.3575,           -0.4691,           -0.4880,          -45.9058,
Ref 8,2.10696e-08,,,,,,1.1978e-02,4.2112e-03,4.8982e-05,4.5754e-06,-1.2189e-07,,,,,,,,,,,
Sam 8,1.99133e-08,1.20340e-02,4.2587e-03,4.9739e-05,4.6778e-06,-1.3325e-07,,,,,,            4.6732,           11.2921,           15.5137,           22.9086,           85.6373,            1.6933,            5.3273,           -0.4611,            0.1925,           56.6680,
Ref 9,2.07895e-08,,,,,,1.1978e-02,4.2112e-03,4.8975e-05,4.5706e-06,-1.2360e-07,,,,,,,,,,,
Sam 9,1.96396e-08,1.20339e-02,4.2588e-03,4.9730e-05,4.6720e-06,-1.3270e-07,,,,,,            4.6673,           11.3108,           15.3635,           23.1593,           44.9124,            1.6863,            5.3459,           -0.6210,            0.4007,           16.9992,
Ref 10,2.05158e-08,,,,,,1.1978e-02,4.2112e-03,4.8980e-05,4.5619e-06,-1.3044e-07,,,,,,,,,,,
Sam 10,1.93742e-08,1.20340e-02,4.2587e-03,4.9723e-05,4.6657e-06,-1.4112e-07,,,,,,            4.6738,           11.3050,           15.2036,           22.3880,           59.8927,            1.6934,            5.3401,           -0.7794,           -0.3420,           31.5839,
Ref 11,2.02472e-08,,,,,,1.1978e-02,4.2111e-03,4.8977e-05,4.5652e-06,-1.3588e-07,,,,,,,,,,,
Sam 11,1.91134e-08,1.20340e-02,4.2587e-03,4.9730e-05,4.6667e-06,-1.3672e-07,,,,,,            4.6877,           11.3166,           15.4417,           21.7968,           23.8487,            1.7078,            5.3516,           -0.5706,           -0.9429,           -3.5346,
Ref 12,1.99838e-08,,,,,,1.1978e-02,4.2111e-03,4.8971e-05,4.5691e-06,-1.3116e-07,,,,,,,,,,,
Sam 12,1.88552e-08,1.20341e-02,4.2587e-03,4.9725e-05,4.6651e-06,-1.5243e-07,,,,,,            4.6856,           11.3136,           15.4694,           22.2533,          121.0531,            1.7057,            5.3486,           -0.5381,           -0.4906,           91.0790,
Ref 13,1.97230e-08,,,,,,1.1978e-02,4.2110e-03,4.8965e-05,4.5579e-06,-1.4084e-07,,,,,,,,,,,
Sam 13,1.86020e-08,1.20339e-02,4.2587e-03,4.9716e-05,4.6583e-06,-1.5179e-07,,,,,,            4.6701,           11.3360,           15.2903,           21.9792,           42.5997,            1.6884,            5.3709,           -0.7203,           -0.8029,           14.6956,
Ref 14,1.94687e-08,,,,,,1.1978e-02,4.2109e-03,4.8970e-05,4.5583e-06,-1.5040e-07,,,,,,,,,,,
Sam 14,1.83536e-08,1.20339e-02,4.2587e-03,4.9718e-05,4.6484e-06,-1.5774e-07,,,,,,            4.6736,           11.3281,           15.2436,           20.3777,           27.6783,            1.6924,            5.3631,           -0.7622,           -2.3532,            0.1852,
Ref 15,1.92179e-08,,,,,,1.1978e-02,4.2111e-03,4.8972e-05,4.5528e-06,-1.5663e-07,,,,,,,,,,,
Sam 15,1.81107e-08,1.20340e-02,4.2587e-03,4.9724e-05,4.6586e-06,-1.6186e-07,,,,,,            4.6849,           11.3047,           15.4565,           24.0736,           17.2918,            1.7053,            5.3398,           -0.5416,            1.3067,           -9.8902,
Ref 16,1.89705e-08,,,,,,1.1978e-02,4.2110e-03,4.8962e-05,4.5454e-06,-1.6163e-07,,,,,,,,,,,
Sam 16,1.78708e-08,1.20339e-02,4.2586e-03,4.9709e-05,4.6539e-06,-1.7478e-07,,,,,,            4.6740,           11.2955,           15.2964,           23.2990,           68.3645,            1.6940,            5.3307,           -0.6790,            0.5675,           39.8484,
Ref 17,1.87292e-08,,,,,,1.1978e-02,4.2110e-03,4.8959e-05,4.5506e-06,-1.6560e-07,,,,,,,,,,,
Sam 17,1.76330e-08,1.20338e-02,4.2586e-03,4.9712e-05,4.6527e-06,-1.7543e-07,,,,,,            4.6687,           11.3039,           15.4195,           23.2707,           83.9067,            1.6880,            5.3390,           -0.5605,            0.5232,           54.9645,
Ref 18,1.84883e-08,,,,,,1.1978e-02,4.2110e-03,4.8955e-05,4.5432e-06,-1.5805e-07,,,,,,,,,,,
Sam 18,1.74026e-08,1.20337e-02,4.2586e-03,4.9706e-05,4.6429e-06,-1.7691e-07,,,,,,            4.6630,           11.2976,           15.2574,           22.3573,           66.0688,            1.6822,            5.3328,           -0.7082,           -0.3574,           37.6218,
Ref 19,1.82585e-08,,,,,,1.1978e-02,4.2110e-03,4.8963e-05,4.5395e-06,-1.7394e-07,,,,,,,,,,,
Sam 19,1.71730e-08,1.20338e-02,4.2586e-03,4.9705e-05,4.6450e-06,-1.8086e-07,,,,,,            4.6724,           11.3137,           15.2276,           22.7003,           31.1039,            1.6917,            5.3488,           -0.7628,           -0.0538,            3.5485,
Ref 20,1.80222e-08,,,,,,1.1978e-02,4.2109e-03,4.8955e-05,4.5444e-06,-1.7688e-07,,,,,,,,,,,
Sam 20,1.69461e-08,1.20337e-02,4.2586e-03,4.9698e-05,4.6364e-06,-1.9253e-07,,,,,,            4.6828,           11.3347,           15.2588,           20.5518,           37.7261,            1.7020,            5.3696,           -0.7631,           -2.1959,            9.9414,
Ref 21,1.77925e-08,,,,,,1.1978e-02,4.2109e-03,4.8946e-05,4.5417e-06,-1.9430e-07,,,,,,,,,,,


