Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 11, 2023 at 01:03 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 11, 2023 at 02:02 with Stable 1.71.5 on PS019

Data File = Data_19564 AU_MJ1_253_82.txt, Sample Weight = 662,                      Vial Location = 6,                        Initial Sam Beam = 7.5870e-08,            ColdFinger Status = CF,                   Min Ref Beam = 3.5623e-08,                Max Ref Beam = 1.0612e-07,                

Analysis undertaken at mass 46.04364
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.75517e-08,,,,,,1.1979e-02,4.2100e-03,4.8995e-05,4.6360e-06,4.8505e-08,
Sam 1,6.66753e-08,1.19469e-02,4.2053e-03,4.8791e-05,4.6268e-06,5.0446e-08,,,,,,           -2.7137,           -1.1663,           -4.2877,           -2.2504,           14.6200,           -5.7374,           -7.0547,           -0.3479,            0.0810,           19.8945,
Ref 2,6.52743e-08,,,,,,1.1980e-02,4.2104e-03,4.9008e-05,4.6385e-06,5.0975e-08,,,,,,,,,,,
Sam 2,6.42811e-08,1.19473e-02,4.2056e-03,4.8799e-05,4.6290e-06,4.8375e-08,,,,,,           -2.7296,           -1.1813,           -4.3433,           -2.2265,          -11.6309,           -5.7538,           -7.0696,           -0.3726,            0.1350,           -6.4467,
Ref 3,6.31407e-08,,,,,,1.1980e-02,4.2107e-03,4.9017e-05,4.6402e-06,4.6844e-08,,,,,,,,,,,
Sam 3,6.19987e-08,1.19478e-02,4.2059e-03,4.8809e-05,4.6284e-06,4.8036e-08,,,,,,           -2.7145,           -1.1721,           -4.2410,           -2.3433,            9.8773,           -5.7381,           -7.0604,           -0.2946,           -0.0005,           15.1396,
Ref 4,6.10850e-08,,,,,,1.1981e-02,4.2110e-03,4.9017e-05,4.6384e-06,4.8312e-08,,,,,,,,,,,
Sam 4,5.97955e-08,1.19480e-02,4.2062e-03,4.8808e-05,4.6297e-06,4.8164e-08,,,,,,           -2.7259,           -1.1666,           -4.3488,           -1.9736,           -4.7474,           -5.7504,           -7.0550,           -0.3964,            0.3591,            0.4400,
Ref 5,5.91277e-08,,,,,,1.1981e-02,4.2112e-03,4.9026e-05,4.6394e-06,4.8478e-08,,,,,,,,,,,
Sam 5,5.76783e-08,1.19482e-02,4.2064e-03,4.8818e-05,4.6292e-06,5.0499e-08,,,,,,           -2.7220,           -1.1741,           -4.2492,           -2.3664,           60.2808,           -5.7460,           -7.0624,           -0.2931,           -0.0198,           65.8183,
Ref 6,5.72356e-08,,,,,,1.1981e-02,4.2114e-03,4.9026e-05,4.6409e-06,4.6750e-08,,,,,,,,,,,
Sam 6,5.56634e-08,1.19484e-02,4.2066e-03,4.8823e-05,4.6316e-06,4.8106e-08,,,,,,           -2.7162,           -1.1656,           -4.1967,           -2.2985,           31.7835,           -5.7401,           -7.0540,           -0.2546,            0.0314,           37.1486,
Ref 7,5.54245e-08,,,,,,1.1981e-02,4.2116e-03,4.9031e-05,4.6436e-06,4.6494e-08,,,,,,,,,,,
Sam 7,5.37344e-08,1.19487e-02,4.2068e-03,4.8829e-05,4.6312e-06,4.6276e-08,,,,,,           -2.7036,           -1.1380,           -4.1904,           -2.3633,            3.3692,           -5.7276,           -7.0265,           -0.2886,           -0.0888,            8.5181,
Ref 8,5.36625e-08,,,,,,1.1981e-02,4.2117e-03,4.9038e-05,4.6406e-06,4.5734e-08,,,,,,,,,,,
Sam 8,5.18824e-08,1.19487e-02,4.2069e-03,4.8825e-05,4.6314e-06,4.7190e-08,,,,,,           -2.7222,           -1.1437,           -4.4287,           -2.2233,           25.3323,           -5.7472,           -7.0322,           -0.5031,            0.0629,           30.6259,
Ref 9,5.20161e-08,,,,,,1.1982e-02,4.2118e-03,4.9046e-05,4.6427e-06,4.6323e-08,,,,,,,,,,,
Sam 9,5.01364e-08,1.19488e-02,4.2070e-03,4.8827e-05,4.6321e-06,4.5926e-08,,,,,,           -2.7276,           -1.1559,           -4.4895,           -2.1693,           15.1421,           -5.7526,           -7.0443,           -0.5464,            0.1415,           20.4136,
Ref 10,5.04194e-08,,,,,,1.1981e-02,4.2120e-03,4.9048e-05,4.6417e-06,4.4126e-08,,,,,,,,,,,
Sam 10,4.84436e-08,1.19489e-02,4.2072e-03,4.8829e-05,4.6328e-06,4.6143e-08,,,,,,           -2.7198,           -1.1589,           -4.4274,           -1.8126,           27.6656,           -5.7442,           -7.0473,           -0.4892,            0.5050,           32.9996,
Ref 11,4.88735e-08,,,,,,1.1981e-02,4.2121e-03,4.9044e-05,4.6407e-06,4.5701e-08,,,,,,,,,,,
Sam 11,4.68204e-08,1.19488e-02,4.2072e-03,4.8836e-05,4.6305e-06,4.6670e-08,,,,,,           -2.7262,           -1.1471,           -4.3162,           -2.4173,           47.4477,           -5.7514,           -7.0356,           -0.3825,           -0.1247,           52.8670,
Ref 12,4.73925e-08,,,,,,1.1982e-02,4.2121e-03,4.9051e-05,4.6427e-06,4.3375e-08,,,,,,,,,,,
Sam 12,4.52772e-08,1.19488e-02,4.2073e-03,4.8838e-05,4.6345e-06,4.5630e-08,,,,,,           -2.7219,           -1.1377,           -4.3046,           -1.8116,           66.1491,           -5.7471,           -7.0262,           -0.3847,            0.4635,           71.6403,
Ref 13,4.59687e-08,,,,,,1.1981e-02,4.2121e-03,4.9048e-05,4.6431e-06,4.2206e-08,,,,,,,,,,,
Sam 13,4.37912e-08,1.19488e-02,4.2073e-03,4.8840e-05,4.6319e-06,4.2479e-08,,,,,,           -2.7240,           -1.1546,           -4.3146,           -2.3937,          -33.9374,           -5.7488,           -7.0430,           -0.3759,           -0.0860,          -28.9270,
Ref 14,4.45990e-08,,,,,,1.1981e-02,4.2122e-03,4.9056e-05,4.6430e-06,4.5791e-08,,,,,,,,,,,
Sam 14,4.23721e-08,1.19490e-02,4.2074e-03,4.8838e-05,4.6332e-06,4.6066e-08,,,,,,           -2.7169,           -1.1460,           -4.4527,           -2.1761,           -3.3103,           -5.7416,           -7.0345,           -0.5302,            0.1148,            1.8344,
Ref 15,4.32848e-08,,,,,,1.1982e-02,4.2123e-03,4.9057e-05,4.6435e-06,4.6661e-08,,,,,,,,,,,
Sam 15,4.10235e-08,1.19489e-02,4.2074e-03,4.8839e-05,4.6312e-06,4.4800e-08,,,,,,           -2.7134,           -1.1382,           -4.4461,           -2.6417,          -49.4131,           -5.7381,           -7.0267,           -0.5349,           -0.3675,          -44.5246,
Ref 16,4.20231e-08,,,,,,1.1981e-02,4.2122e-03,4.9057e-05,4.6434e-06,4.7611e-08,,,,,,,,,,,
Sam 16,3.97175e-08,1.19489e-02,4.2075e-03,4.8848e-05,4.6335e-06,4.7129e-08,,,,,,           -2.7054,           -1.1340,           -4.2779,           -2.2414,           -2.4123,           -5.7297,           -7.0226,           -0.3785,            0.0254,            2.7010,
Ref 17,4.08084e-08,,,,,,1.1981e-02,4.2123e-03,4.9059e-05,4.6443e-06,4.6863e-08,,,,,,,,,,,
Sam 17,3.84758e-08,1.19488e-02,4.2074e-03,4.8850e-05,4.6309e-06,4.7162e-08,,,,,,           -2.7107,           -1.1647,           -4.2030,           -2.5843,           39.8961,           -5.7343,           -7.0530,           -0.2677,           -0.2569,           45.2952,
Ref 18,3.96508e-08,,,,,,1.1981e-02,4.2123e-03,4.9053e-05,4.6415e-06,4.3799e-08,,,,,,,,,,,
Sam 18,3.72929e-08,1.19486e-02,4.2075e-03,4.8845e-05,4.6301e-06,4.5916e-08,,,,,,           -2.7315,           -1.1429,           -4.3005,           -2.6634,           42.0484,           -5.7572,           -7.0313,           -0.3655,           -0.3798,           47.4371,
Ref 19,3.85297e-08,,,,,,1.1981e-02,4.2123e-03,4.9058e-05,4.6436e-06,4.4335e-08,,,,,,,,,,,
Sam 19,3.61455e-08,1.19486e-02,4.2075e-03,4.8851e-05,4.6309e-06,4.3302e-08,,,,,,           -2.7347,           -1.1613,           -4.2350,           -2.7153,          -17.4398,           -5.7599,           -7.0496,           -0.2784,           -0.3950,          -12.3197,
Ref 20,3.74467e-08,,,,,,1.1981e-02,4.2124e-03,4.9059e-05,4.6434e-06,4.3798e-08,,,,,,,,,,,
Sam 20,3.50527e-08,1.19485e-02,4.2075e-03,4.8851e-05,4.6313e-06,4.4080e-08,,,,,,           -2.7311,           -1.1641,           -4.2354,           -2.6550,           25.9964,           -5.7560,           -7.0525,           -0.2797,           -0.3289,           31.3447,
Ref 21,3.63998e-08,,,,,,1.1981e-02,4.2124e-03,4.9058e-05,4.6439e-06,4.2105e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.59014e-08,,,,,,1.1981e-02,4.2123e-03,4.9065e-05,4.6427e-06,4.2730e-08,
Sam 1,3.34740e-08,1.19484e-02,4.2075e-03,4.8848e-05,4.6331e-06,4.0513e-08,,,,,,           -2.7207,           -1.1524,           -4.3876,           -2.0082,           11.1615,           -5.7454,           -7.0408,           -0.4547,            0.2959,           16.3977,
Ref 2,3.49047e-08,,,,,,1.1981e-02,4.2123e-03,4.9061e-05,4.6423e-06,3.7326e-08,,,,,,,,,,,
Sam 2,3.24766e-08,1.19484e-02,4.2075e-03,4.8847e-05,4.6306e-06,4.4047e-08,,,,,,           -2.7255,           -1.1587,           -4.4513,           -2.4126,          122.1584,           -5.7502,           -7.0471,           -0.5076,           -0.0968,          127.9891,
Ref 3,3.39700e-08,,,,,,1.1981e-02,4.2124e-03,4.9070e-05,4.6413e-06,4.1232e-08,,,,,,,,,,,
Sam 3,3.15106e-08,1.19484e-02,4.2075e-03,4.8850e-05,4.6311e-06,4.1698e-08,,,,,,           -2.7236,           -1.1609,           -4.4159,           -1.8095,           58.2603,           -5.7482,           -7.0493,           -0.4717,            0.5122,           63.7617,
Ref 4,3.30495e-08,,,,,,1.1981e-02,4.2124e-03,4.9064e-05,4.6376e-06,3.7522e-08,,,,,,,,,,,
Sam 4,3.05634e-08,1.19481e-02,4.2073e-03,4.8858e-05,4.6302e-06,3.9468e-08,,,,,,           -2.7320,           -1.1721,           -4.1848,           -2.2836,          -14.4969,           -5.7567,           -7.0604,           -0.2201,            0.0593,           -9.3431,
Ref 5,3.21470e-08,,,,,,1.1981e-02,4.2122e-03,4.9063e-05,4.6442e-06,4.2647e-08,,,,,,,,,,,
Sam 5,2.96796e-08,1.19480e-02,4.2073e-03,4.8843e-05,4.6297e-06,3.9360e-08,,,,,,           -2.7211,           -1.1454,           -4.5080,           -2.7649,          -60.4202,           -5.7460,           -7.0338,           -0.5822,           -0.4766,          -55.5673,
Ref 6,3.13003e-08,,,,,,1.1981e-02,4.2121e-03,4.9065e-05,4.6408e-06,4.1115e-08,,,,,,,,,,,
Sam 6,2.88422e-08,1.19479e-02,4.2072e-03,4.8850e-05,4.6302e-06,4.0546e-08,,,,,,           -2.7260,           -1.1783,           -4.3698,           -2.5742,          -35.6940,           -5.7500,           -7.0666,           -0.4059,           -0.2195,          -30.6454,
Ref 7,3.04916e-08,,,,,,1.1981e-02,4.2123e-03,4.9064e-05,4.6435e-06,4.3004e-08,,,,,,,,,,,
Sam 7,2.80352e-08,1.19480e-02,4.2073e-03,4.8850e-05,4.6313e-06,4.0272e-08,,,,,,           -2.7166,           -1.1763,           -4.4339,           -2.8059,          -31.2155,           -5.7402,           -7.0646,           -0.4819,           -0.4558,          -26.1571,
Ref 8,2.97001e-08,,,,,,1.1981e-02,4.2123e-03,4.9071e-05,4.6453e-06,4.0098e-08,,,,,,,,,,,
Sam 8,2.72549e-08,1.19480e-02,4.2073e-03,4.8857e-05,4.6303e-06,3.9017e-08,,,,,,           -2.7115,           -1.1680,           -4.3094,           -2.8093,          -35.1254,           -5.7350,           -7.0564,           -0.3704,           -0.4758,          -30.1085,
Ref 9,2.89309e-08,,,,,,1.1980e-02,4.2122e-03,4.9065e-05,4.6413e-06,4.0787e-08,,,,,,,,,,,
Sam 9,2.65059e-08,1.19479e-02,4.2073e-03,4.8851e-05,4.6303e-06,3.8366e-08,,,,,,           -2.7168,           -1.1691,           -4.3284,           -2.6713,          -41.2798,           -5.7406,           -7.0574,           -0.3829,           -0.3354,          -36.2875,
Ref 10,2.82017e-08,,,,,,1.1980e-02,4.2122e-03,4.9062e-05,4.6442e-06,3.9229e-08,,,,,,,,,,,
Sam 10,2.57911e-08,1.19479e-02,4.2073e-03,4.8848e-05,4.6342e-06,3.9429e-08,,,,,,           -2.7246,           -1.1762,           -4.3316,           -1.7418,           10.4272,           -5.7487,           -7.0645,           -0.3710,            0.6107,           15.7116,
Ref 11,2.74926e-08,,,,,,1.1981e-02,4.2123e-03,4.9059e-05,4.6404e-06,3.8810e-08,,,,,,,,,,,
Sam 11,2.50915e-08,1.19478e-02,4.2072e-03,4.8856e-05,4.6313e-06,3.7906e-08,,,,,,           -2.7266,           -1.1881,           -4.1971,           -1.7452,          -30.3797,           -5.7504,           -7.0764,           -0.2222,            0.6311,          -25.2838,
Ref 12,2.68010e-08,,,,,,1.1980e-02,4.2121e-03,4.9065e-05,4.6383e-06,3.9384e-08,,,,,,,,,,,
Sam 12,2.44251e-08,1.19477e-02,4.2072e-03,4.8857e-05,4.6271e-06,3.8472e-08,,,,,,           -2.7188,           -1.1718,           -4.2023,           -2.5436,          -49.6502,           -5.7426,           -7.0602,           -0.2515,           -0.2018,          -44.6942,
Ref 13,2.61434e-08,,,,,,1.1980e-02,4.2121e-03,4.9062e-05,4.6396e-06,4.1606e-08,,,,,,,,,,,
Sam 13,2.37731e-08,1.19476e-02,4.2070e-03,4.8853e-05,4.6224e-06,3.6044e-08,,,,,,           -2.7312,           -1.2047,           -4.3233,           -3.8253,          -80.8313,           -5.7548,           -7.0928,           -0.3278,           -1.4208,          -75.9659,
Ref 14,2.54939e-08,,,,,,1.1980e-02,4.2121e-03,4.9068e-05,4.6408e-06,3.6760e-08,,,,,,,,,,,
Sam 14,2.31659e-08,1.19477e-02,4.2072e-03,4.8847e-05,4.6289e-06,2.9471e-08,,,,,,           -2.7239,           -1.1629,           -4.5214,           -2.4268,         -118.9387,           -5.7483,           -7.0513,           -0.5754,           -0.1025,         -114.3547,
Ref 15,2.48963e-08,,,,,,1.1980e-02,4.2120e-03,4.9068e-05,4.6395e-06,3.0058e-08,,,,,,,,,,,
Sam 15,2.25633e-08,1.19475e-02,4.2071e-03,4.8849e-05,4.6273e-06,2.6200e-08,,,,,,           -2.7284,           -1.1835,           -4.3728,           -2.7680,         -126.8087,           -5.7525,           -7.0718,           -0.4012,           -0.4033,         -122.2259,
Ref 16,2.42935e-08,,,,,,1.1980e-02,4.2120e-03,4.9059e-05,4.6407e-06,2.9950e-08,,,,,,,,,,,
Sam 16,2.19820e-08,1.19474e-02,4.2070e-03,4.8851e-05,4.6295e-06,3.0131e-08,,,,,,           -2.7312,           -1.2055,           -4.3433,           -1.9826,         -135.8905,           -5.7547,           -7.0936,           -0.3471,            0.4280,         -131.3150,
Ref 17,2.37167e-08,,,,,,1.1980e-02,4.2121e-03,4.9070e-05,4.6366e-06,3.9907e-08,,,,,,,,,,,
Sam 17,2.14215e-08,1.19473e-02,4.2070e-03,4.8850e-05,4.6271e-06,3.6478e-08,,,,,,           -2.7354,           -1.1867,           -4.4372,           -1.8676,           63.6567,           -5.7598,           -7.0749,           -0.4556,            0.5055,           69.2537,
Ref 18,2.31626e-08,,,,,,1.1980e-02,4.2120e-03,4.9067e-05,4.6349e-06,2.8549e-08,,,,,,,,,,,
Sam 18,2.08671e-08,1.19473e-02,4.2069e-03,4.8853e-05,4.6238e-06,2.4499e-08,,,,,,           -2.7265,           -1.2079,           -4.3537,           -2.6176,         -158.6022,           -5.7496,           -7.0960,           -0.3601,           -0.2038,         -154.1473,
Ref 19,2.26200e-08,,,,,,1.1980e-02,4.2120e-03,4.9067e-05,4.6371e-06,2.9700e-08,,,,,,,,,,,
Sam 19,2.03445e-08,1.19471e-02,4.2069e-03,4.8843e-05,4.6240e-06,2.8899e-08,,,,,,           -2.7321,           -1.1971,           -4.4739,           -2.6657,          -49.6588,           -5.7560,           -7.0852,           -0.4856,           -0.2737,          -44.6418,
Ref 20,2.20933e-08,,,,,,1.1980e-02,4.2119e-03,4.9058e-05,4.6357e-06,3.1136e-08,,,,,,,,,,,
Sam 20,1.98335e-08,1.19471e-02,4.2069e-03,4.8844e-05,4.6285e-06,2.2513e-08,,,,,,           -2.7183,           -1.1844,           -4.4598,           -1.3484,         -228.9914,           -5.7416,           -7.0726,           -0.4982,            1.0213,         -224.9518,
Ref 21,2.15836e-08,,,,,,1.1980e-02,4.2119e-03,4.9068e-05,4.6337e-06,2.7216e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.13352e-08,,,,,,1.1980e-02,4.2119e-03,4.9052e-05,4.6372e-06,2.6962e-08,
Sam 1,1.91016e-08,1.19469e-02,4.2069e-03,4.8836e-05,4.6301e-06,2.6221e-08,,,,,,           -2.7411,           -1.1862,           -4.4702,           -1.2009,          -49.4591,           -5.7659,           -7.0744,           -0.4833,            1.1729,          -44.4523,
Ref 2,2.08514e-08,,,,,,1.1980e-02,4.2119e-03,4.9059e-05,4.6340e-06,2.8222e-08,,,,,,,,,,,
Sam 2,1.86348e-08,1.19469e-02,4.2069e-03,4.8847e-05,4.6242e-06,2.7291e-08,,,,,,           -2.7391,           -1.1716,           -4.3376,           -2.5249,          -55.2127,           -5.7643,           -7.0599,           -0.3666,           -0.1835,          -50.2656,
Ref 3,2.03771e-08,,,,,,1.1980e-02,4.2118e-03,4.9061e-05,4.6378e-06,2.9564e-08,,,,,,,,,,,
Sam 3,1.81852e-08,1.19468e-02,4.2067e-03,4.8844e-05,4.6253e-06,3.0109e-08,,,,,,           -2.7424,           -1.2023,           -4.4180,           -2.9499,          197.5170,           -5.7667,           -7.0904,           -0.4137,           -0.5482,          203.8643,
Ref 4,1.99192e-08,,,,,,1.1980e-02,4.2118e-03,4.9061e-05,4.6402e-06,2.0620e-08,,,,,,,,,,,
Sam 4,1.77482e-08,1.19469e-02,4.2068e-03,4.8844e-05,4.6269e-06,2.4462e-08,,,,,,           -2.7211,           -1.1884,           -4.3158,           -3.0465,          105.9674,           -5.7446,           -7.0767,           -0.3467,           -0.6727,          111.7739,
Ref 5,1.94763e-08,,,,,,1.1979e-02,4.2118e-03,4.9051e-05,4.6420e-06,2.3651e-08,,,,,,,,,,,
Sam 5,1.73271e-08,1.19468e-02,4.2067e-03,4.8851e-05,4.6227e-06,2.9856e-08,,,,,,           -2.7272,           -1.1970,           -4.1063,           -3.2331,          134.6844,           -5.7507,           -7.0852,           -0.1217,           -0.8425,          140.6684,
Ref 6,1.90502e-08,,,,,,1.1979e-02,4.2118e-03,4.9054e-05,4.6332e-06,2.9032e-08,,,,,,,,,,,
Sam 6,1.69235e-08,1.19467e-02,4.2068e-03,4.8849e-05,4.6245e-06,2.9395e-08,,,,,,           -2.7329,           -1.1738,           -4.2744,           -2.3910,          -42.0111,           -5.7576,           -7.0621,           -0.3073,           -0.0449,          -36.9971,
Ref 7,1.86316e-08,,,,,,1.1979e-02,4.2117e-03,4.9063e-05,4.6381e-06,3.2372e-08,,,,,,,,,,,
Sam 7,1.65215e-08,1.19465e-02,4.2067e-03,4.8829e-05,4.6225e-06,2.6463e-08,,,,,,           -2.7367,           -1.1858,           -4.7326,           -3.4331,         -105.3717,           -5.7613,           -7.0740,           -0.7516,           -1.0655,         -100.6643,
Ref 8,1.82141e-08,,,,,,1.1979e-02,4.2117e-03,4.9059e-05,4.6387e-06,2.6723e-08,,,,,,,,,,,
Sam 8,1.61326e-08,1.19466e-02,4.2068e-03,4.8842e-05,4.6236e-06,3.1102e-08,,,,,,           -2.7317,           -1.1781,           -4.3800,           -2.8161,          111.3371,           -5.7562,           -7.0664,           -0.4104,           -0.4624,          117.1617,
Ref 9,1.78224e-08,,,,,,1.1979e-02,4.2117e-03,4.9056e-05,4.6345e-06,2.9277e-08,,,,,,,,,,,
Sam 9,1.57632e-08,1.19463e-02,4.2067e-03,4.8844e-05,4.6218e-06,2.8518e-08,,,,,,           -2.7461,           -1.1884,           -4.3152,           -2.9012,           55.4244,           -5.7711,           -7.0765,           -0.3204,           -0.5272,           60.9937,
Ref 10,1.74369e-08,,,,,,1.1979e-02,4.2116e-03,4.9056e-05,4.6360e-06,2.4715e-08,,,,,,,,,,,
Sam 10,1.54061e-08,1.19464e-02,4.2066e-03,4.8837e-05,4.6226e-06,2.1148e-08,,,,,,           -2.7332,           -1.1751,           -4.4716,           -3.5312,         -234.0407,           -5.7579,           -7.0634,           -0.5038,           -1.1851,         -230.0293,
Ref 11,1.70707e-08,,,,,,1.1979e-02,4.2116e-03,4.9057e-05,4.6420e-06,3.0566e-08,,,,,,,,,,,
Sam 11,1.50636e-08,1.19463e-02,4.2066e-03,4.8829e-05,4.6218e-06,2.7445e-08,,,,,,           -2.7457,           -1.1802,           -4.6640,           -3.8888,         -124.3762,           -5.7709,           -7.0684,           -0.6791,           -1.5334,         -119.7702,
Ref 12,1.67205e-08,,,,,,1.1979e-02,4.2116e-03,4.9059e-05,4.6376e-06,3.2136e-08,,,,,,,,,,,
Sam 12,1.47288e-08,1.19463e-02,4.2066e-03,4.8843e-05,4.6337e-06,3.3993e-08,,,,,,           -2.7272,           -1.1656,           -4.3979,           -0.4413,          -37.0752,           -5.7519,           -7.0539,           -0.4453,            1.8929,          -32.0568,
Ref 13,1.63656e-08,,,,,,1.1979e-02,4.2114e-03,4.9057e-05,4.6340e-06,3.8537e-08,,,,,,,,,,,
Sam 13,1.43973e-08,1.19462e-02,4.2065e-03,4.8839e-05,4.6225e-06,3.1919e-08,,,,,,           -2.7122,           -1.1735,           -4.3960,           -2.1851,          -61.3072,           -5.7356,           -7.0619,           -0.4511,            0.1610,          -56.4155,
Ref 14,1.60222e-08,,,,,,1.1979e-02,4.2114e-03,4.9052e-05,4.6313e-06,2.9374e-08,,,,,,,,,,,
Sam 14,1.40812e-08,1.19462e-02,4.2065e-03,4.8848e-05,4.6175e-06,3.6459e-08,,,,,,           -2.7148,           -1.1690,           -4.2491,           -2.1300,          342.7527,           -5.7385,           -7.0573,           -0.3055,            0.2071,          349.7415,
Ref 15,1.56940e-08,,,,,,1.1979e-02,4.2114e-03,4.9061e-05,4.6232e-06,2.4884e-08,,,,,,,,,,,
Sam 15,1.37740e-08,1.19460e-02,4.2065e-03,4.8840e-05,4.6165e-06,3.0508e-08,,,,,,           -2.7234,           -1.1823,           -4.5090,           -2.5526,          177.9372,           -5.7471,           -7.0706,           -0.5444,           -0.1899,          184.1101,
Ref 16,1.53747e-08,,,,,,1.1979e-02,4.2114e-03,4.9062e-05,4.6336e-06,2.6936e-08,,,,,,,,,,,
Sam 16,1.34734e-08,1.19461e-02,4.2063e-03,4.8834e-05,4.6166e-06,2.6822e-08,,,,,,           -2.7252,           -1.2010,           -4.6926,           -4.2502,          169.4667,           -5.7484,           -7.0892,           -0.7085,           -1.8541,          175.6408,
Ref 17,1.50621e-08,,,,,,1.1979e-02,4.2113e-03,4.9068e-05,4.6390e-06,1.8852e-08,,,,,,,,,,,
Sam 17,1.31808e-08,1.19461e-02,4.2064e-03,4.8840e-05,4.6228e-06,2.3307e-08,,,,,,           -2.7275,           -1.1678,           -4.5365,           -2.9351,         -159.2734,           -5.7520,           -7.0561,           -0.5821,           -0.6023,         -154.8879,
Ref 18,1.47507e-08,,,,,,1.1979e-02,4.2113e-03,4.9057e-05,4.6337e-06,3.6779e-08,,,,,,,,,,,
Sam 18,1.28953e-08,1.19459e-02,4.2063e-03,4.8839e-05,4.6127e-06,2.1992e-08,,,,,,           -2.7345,           -1.1989,           -4.4571,           -4.6830,         -421.0223,           -5.7584,           -7.0870,           -0.4645,           -2.2922,         -417.9621,
Ref 19,1.44548e-08,,,,,,1.1979e-02,4.2113e-03,4.9058e-05,4.6350e-06,3.9215e-08,,,,,,,,,,,
Sam 19,1.26193e-08,1.19460e-02,4.2064e-03,4.8836e-05,4.6143e-06,3.0904e-08,,,,,,           -2.7303,           -1.1703,           -4.4779,           -4.6858,         -133.4886,           -5.7549,           -7.0586,           -0.5178,           -2.3521,         -128.9617,
Ref 20,1.41684e-08,,,,,,1.1979e-02,4.2114e-03,4.9054e-05,4.6370e-06,3.2044e-08,,,,,,,,,,,
