Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 11, 2023 at 14:49 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 11, 2023 at 15:48 with Stable 1.71.5 on PS019

Data File = Data_19574 AU_KAR1_1437_31.txt,Sample Weight = 694,                      Vial Location = 16,                       Initial Sam Beam = 1.5492e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8169e-08,                Max Ref Beam = 1.0626e-07,                

Analysis undertaken at mass 46.04605
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.89821e-08,,,,,,1.1981e-02,4.2112e-03,4.9021e-05,4.6414e-06,5.3188e-08,
Sam 1,5.81212e-08,1.20341e-02,4.2438e-03,4.9608e-05,4.7131e-06,5.1957e-08,,,,,,            4.4377,            7.6962,           11.9047,           15.2434,           -1.8330,            1.5667,            1.7493,           -0.2739,           -0.2050,          -21.3923,
Ref 2,5.78477e-08,,,,,,1.1981e-02,4.2115e-03,4.9028e-05,4.6434e-06,5.0895e-08,,,,,,,,,,,
Sam 2,5.69574e-08,1.20343e-02,4.2439e-03,4.9605e-05,4.7138e-06,5.2564e-08,,,,,,            4.4272,            7.6815,           11.7113,           15.2351,           14.7520,            1.5561,            1.7347,           -0.4398,           -0.1839,           -5.0925,
Ref 3,5.67672e-08,,,,,,1.1981e-02,4.2117e-03,4.9034e-05,4.6426e-06,5.2721e-08,,,,,,,,,,,
Sam 3,5.58302e-08,1.20345e-02,4.2441e-03,4.9610e-05,4.7136e-06,5.3644e-08,,,,,,            4.4304,            7.6927,           11.7809,           15.3625,           41.9653,            1.5591,            1.7458,           -0.3852,           -0.0807,           21.5627,
Ref 4,5.57133e-08,,,,,,1.1982e-02,4.2117e-03,4.9031e-05,4.6418e-06,5.0223e-08,,,,,,,,,,,
Sam 4,5.47373e-08,1.20347e-02,4.2442e-03,4.9615e-05,4.7129e-06,5.0086e-08,,,,,,            4.4359,            7.6858,           11.8693,           15.2745,           14.7387,            1.5652,            1.7389,           -0.2968,           -0.1537,           -5.1232,
Ref 5,5.46938e-08,,,,,,1.1981e-02,4.2119e-03,4.9035e-05,4.6421e-06,4.8478e-08,,,,,,,,,,,
Sam 5,5.36646e-08,1.20347e-02,4.2443e-03,4.9613e-05,4.7125e-06,5.1320e-08,,,,,,            4.4413,            7.6955,           11.7417,           14.9213,           48.8204,            1.5706,            1.7486,           -0.4378,           -0.5208,           28.2660,
Ref 6,5.36837e-08,,,,,,1.1982e-02,4.2119e-03,4.9039e-05,4.6444e-06,4.9394e-08,,,,,,,,,,,
Sam 6,5.26254e-08,1.20347e-02,4.2444e-03,4.9618e-05,4.7147e-06,5.2783e-08,,,,,,            4.4375,            7.7042,           11.8207,           15.2799,           24.6253,            1.5662,            1.7572,           -0.3645,           -0.1849,            4.5322,
Ref 7,5.26975e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6432e-06,5.3674e-08,,,,,,,,,,,
Sam 7,5.16153e-08,1.20346e-02,4.2444e-03,4.9623e-05,4.7159e-06,5.2915e-08,,,,,,            4.4217,            7.6886,           11.9207,           15.4623,           20.6566,            1.5500,            1.7418,           -0.2342,            0.0257,            0.6885,
Ref 8,5.17516e-08,,,,,,1.1982e-02,4.2121e-03,4.9039e-05,4.6450e-06,4.9980e-08,,,,,,,,,,,
Sam 8,5.06259e-08,1.20349e-02,4.2445e-03,4.9620e-05,4.7141e-06,5.1572e-08,,,,,,            4.4322,            7.7004,           11.7814,           15.0021,           31.4098,            1.5607,            1.7535,           -0.3941,           -0.4510,           11.1967,
Ref 9,5.08208e-08,,,,,,1.1982e-02,4.2121e-03,4.9045e-05,4.6438e-06,5.0023e-08,,,,,,,,,,,
Sam 9,4.96663e-08,1.20348e-02,4.2445e-03,4.9621e-05,4.7137e-06,5.1128e-08,,,,,,            4.4229,            7.6721,           11.7677,           15.2959,           34.2492,            1.5519,            1.7254,           -0.3706,           -0.1056,           14.0463,
Ref 10,4.99102e-08,,,,,,1.1982e-02,4.2122e-03,4.9043e-05,4.6415e-06,4.8836e-08,,,,,,,,,,,
Sam 10,4.87306e-08,1.20348e-02,4.2446e-03,4.9627e-05,4.7170e-06,5.1772e-08,,,,,,            4.4292,            7.6877,           11.8399,           15.9035,           64.7991,            1.5579,            1.7409,           -0.3208,            0.4619,           43.9609,
Ref 11,4.90302e-08,,,,,,1.1982e-02,4.2123e-03,4.9049e-05,4.6448e-06,4.8403e-08,,,,,,,,,,,
Sam 11,4.78219e-08,1.20349e-02,4.2447e-03,4.9629e-05,4.7157e-06,5.2528e-08,,,,,,            4.4277,            7.7053,           11.8482,           15.4134,           53.4797,            1.5558,            1.7584,           -0.3283,           -0.0557,           32.8291,
Ref 12,4.81676e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6435e-06,5.1345e-08,,,,,,,,,,,
Sam 12,4.69356e-08,1.20348e-02,4.2447e-03,4.9628e-05,4.7159e-06,5.2594e-08,,,,,,            4.4278,            7.6897,           11.8302,           15.7766,           46.0087,            1.5564,            1.7429,           -0.3310,            0.3329,           25.5356,
Ref 13,4.73305e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6417e-06,4.9197e-08,,,,,,,,,,,
Sam 13,4.60673e-08,1.20349e-02,4.2448e-03,4.9627e-05,4.7152e-06,5.1827e-08,,,,,,            4.4363,            7.7056,           11.7866,           15.4884,            6.4705,            1.5650,            1.7587,           -0.3983,            0.0176,          -13.2682,
Ref 14,4.64941e-08,,,,,,1.1982e-02,4.2124e-03,4.9051e-05,4.6449e-06,5.3832e-08,,,,,,,,,,,
Sam 14,4.52117e-08,1.20348e-02,4.2448e-03,4.9628e-05,4.7116e-06,5.2907e-08,,,,,,            4.4270,            7.6922,           11.7201,           14.3334,           19.0935,            1.5555,            1.7454,           -0.4414,           -1.0933,           -0.8568,
Ref 15,4.56764e-08,,,,,,1.1982e-02,4.2124e-03,4.9055e-05,4.6452e-06,4.9965e-08,,,,,,,,,,,
Sam 15,4.43794e-08,1.20350e-02,4.2448e-03,4.9637e-05,4.7154e-06,5.0696e-08,,,,,,            4.4375,            7.6975,           11.8530,           15.0160,            8.6320,            1.5664,            1.7507,           -0.3260,           -0.4317,          -11.1347,
Ref 16,4.48839e-08,,,,,,1.1982e-02,4.2124e-03,4.9055e-05,4.6461e-06,5.0564e-08,,,,,,,,,,,
Sam 16,4.35722e-08,1.20350e-02,4.2449e-03,4.9636e-05,4.7180e-06,5.1138e-08,,,,,,            4.4404,            7.7013,           11.8981,           15.5856,           65.7756,            1.5695,            1.7543,           -0.2882,            0.1219,           44.8782,
Ref 17,4.41092e-08,,,,,,1.1982e-02,4.2125e-03,4.9050e-05,4.6451e-06,4.5355e-08,,,,,,,,,,,
Sam 17,4.27824e-08,1.20349e-02,4.2449e-03,4.9635e-05,4.7153e-06,5.0151e-08,,,,,,            4.4328,            7.6973,           11.9154,           15.4195,           78.7782,            1.5615,            1.7504,           -0.2593,           -0.0337,           57.6427,
Ref 18,4.33536e-08,,,,,,1.1982e-02,4.2125e-03,4.9051e-05,4.6422e-06,4.7643e-08,,,,,,,,,,,
Sam 18,4.20101e-08,1.20348e-02,4.2449e-03,4.9641e-05,4.7148e-06,5.2601e-08,,,,,,            4.4262,            7.6852,           12.0147,           15.3614,           73.4117,            1.5549,            1.7384,           -0.1426,           -0.0670,           52.4134,
Ref 19,4.26128e-08,,,,,,1.1982e-02,4.2125e-03,4.9052e-05,4.6447e-06,5.0389e-08,,,,,,,,,,,
Sam 19,4.12595e-08,1.20348e-02,4.2448e-03,4.9636e-05,4.7157e-06,5.2189e-08,,,,,,            4.4208,            7.6711,           11.8822,           15.2548,           68.6939,            1.5496,            1.7244,           -0.2543,           -0.1441,           47.8227,
Ref 20,4.18909e-08,,,,,,1.1982e-02,4.2125e-03,4.9053e-05,4.6450e-06,4.7253e-08,,,,,,,,,,,
Sam 20,4.05187e-08,1.20347e-02,4.2449e-03,4.9630e-05,4.7193e-06,4.6854e-08,,,,,,            4.4156,            7.6862,           11.6182,           15.6563,          -20.1357,            1.5436,            1.7394,           -0.5245,            0.2214,          -39.2952,
Ref 21,4.11869e-08,,,,,,1.1982e-02,4.2125e-03,4.9066e-05,4.6481e-06,4.8391e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.08579e-08,,,,,,1.1982e-02,4.2126e-03,4.9066e-05,4.6467e-06,4.5577e-08,
Sam 1,3.94471e-08,1.20349e-02,4.2450e-03,4.9638e-05,4.7164e-06,4.9532e-08,,,,,,            4.4250,            7.6864,           11.7292,           15.0289,           79.5725,            1.5536,            1.7396,           -0.4247,           -0.3969,           58.4525,
Ref 2,4.01675e-08,,,,,,1.1982e-02,4.2126e-03,4.9059e-05,4.6464e-06,4.6191e-08,,,,,,,,,,,
Sam 2,3.87429e-08,1.20348e-02,4.2450e-03,4.9643e-05,4.7179e-06,4.7479e-08,,,,,,            4.4202,            7.6885,           11.9392,           15.1633,            9.8327,            1.5484,            1.7417,           -0.2143,           -0.2687,           -9.9219,
Ref 3,3.94949e-08,,,,,,1.1982e-02,4.2126e-03,4.9056e-05,4.6486e-06,4.7856e-08,,,,,,,,,,,
Sam 3,3.80593e-08,1.20348e-02,4.2450e-03,4.9642e-05,4.7202e-06,5.1315e-08,,,,,,            4.4273,            7.6800,           11.9370,           15.7676,           71.6022,            1.5562,            1.7332,           -0.2154,            0.3433,           50.6487,
Ref 4,3.88364e-08,,,,,,1.1982e-02,4.2126e-03,4.9056e-05,4.6454e-06,4.7917e-08,,,,,,,,,,,
Sam 4,3.73897e-08,1.20348e-02,4.2450e-03,4.9646e-05,4.7180e-06,5.1550e-08,,,,,,            4.4299,            7.6999,           11.9098,           15.4687,           98.1919,            1.5584,            1.7530,           -0.2644,            0.0095,           76.6737,
Ref 5,3.81888e-08,,,,,,1.1982e-02,4.2126e-03,4.9068e-05,4.6469e-06,4.5948e-08,,,,,,,,,,,
Sam 5,3.67352e-08,1.20347e-02,4.2450e-03,4.9645e-05,4.7174e-06,5.0151e-08,,,,,,            4.4201,            7.6865,           11.7975,           15.2947,           29.4116,            1.5484,            1.7397,           -0.3523,           -0.1353,            9.2778,
Ref 6,3.75563e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6459e-06,5.1536e-08,,,,,,,,,,,
Sam 6,3.60987e-08,1.20348e-02,4.2450e-03,4.9647e-05,4.7185e-06,5.2309e-08,,,,,,            4.4386,            7.6804,           11.8622,           15.2722,          -10.3137,            1.5682,            1.7336,           -0.3014,           -0.1454,          -29.6779,
Ref 7,3.69379e-08,,,,,,1.1982e-02,4.2126e-03,4.9065e-05,4.6493e-06,5.4194e-08,,,,,,,,,,,
Sam 7,3.54820e-08,1.20345e-02,4.2450e-03,4.9640e-05,4.7177e-06,5.4533e-08,,,,,,            4.4213,            7.6744,           11.7054,           14.9856,           21.3621,            1.5500,            1.7277,           -0.4327,           -0.4157,            1.4083,
Ref 8,3.63392e-08,,,,,,1.1982e-02,4.2126e-03,4.9066e-05,4.6468e-06,5.2578e-08,,,,,,,,,,,
Sam 8,3.48797e-08,1.20347e-02,4.2450e-03,4.9650e-05,4.7157e-06,5.1348e-08,,,,,,            4.4368,            7.6874,           11.9164,           14.8818,          -24.3818,            1.5661,            1.7406,           -0.2528,           -0.5437,          -43.4820,
Ref 9,3.57488e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6463e-06,5.2686e-08,,,,,,,,,,,
Sam 9,3.42959e-08,1.20346e-02,4.2450e-03,4.9643e-05,4.7188e-06,5.3901e-08,,,,,,            4.4216,            7.6861,           11.7562,           15.5031,           32.7514,            1.5499,            1.7393,           -0.3942,            0.0706,           12.5516,
Ref 10,3.51752e-08,,,,,,1.1982e-02,4.2126e-03,4.9069e-05,4.6474e-06,5.1689e-08,,,,,,,,,,,
Sam 10,3.37213e-08,1.20346e-02,4.2450e-03,4.9645e-05,4.7182e-06,5.6119e-08,,,,,,            4.4261,            7.6715,           11.7186,           15.4193,           87.8645,            1.5552,            1.7247,           -0.4217,            0.0172,           66.6121,
Ref 11,3.46124e-08,,,,,,1.1981e-02,4.2127e-03,4.9072e-05,4.6457e-06,5.1481e-08,,,,,,,,,,,
Sam 11,3.31636e-08,1.20345e-02,4.2449e-03,4.9641e-05,4.7226e-06,5.1115e-08,,,,,,            4.4258,            7.6668,           11.5988,           15.8548,          -15.9143,            1.5551,            1.7201,           -0.5352,            0.4553,          -35.1301,
Ref 12,3.40604e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6522e-06,5.2410e-08,,,,,,,,,,,
Sam 12,3.26182e-08,1.20344e-02,4.2449e-03,4.9648e-05,4.7175e-06,5.4042e-08,,,,,,            4.4217,            7.6687,           11.7818,           14.1491,           35.0543,            1.5507,            1.7220,           -0.3520,           -1.2281,           14.8438,
Ref 13,3.35211e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6511e-06,5.2010e-08,,,,,,,,,,,
Sam 13,3.20855e-08,1.20344e-02,4.2449e-03,4.9644e-05,4.7212e-06,5.3005e-08,,,,,,            4.4296,            7.6615,           11.6930,           15.5102,          -25.9435,            1.5593,            1.7148,           -0.4409,            0.1266,          -44.9575,
Ref 14,3.30006e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6470e-06,5.6862e-08,,,,,,,,,,,
Sam 14,3.15678e-08,1.20343e-02,4.2449e-03,4.9652e-05,4.7242e-06,6.1731e-08,,,,,,            4.4309,            7.6717,           11.8279,           16.1883,           75.3868,            1.5604,            1.7249,           -0.3189,            0.7742,           54.3725,
Ref 15,3.24899e-08,,,,,,1.1981e-02,4.2125e-03,4.9072e-05,4.6510e-06,5.7954e-08,,,,,,,,,,,
Sam 15,3.10568e-08,1.20344e-02,4.2449e-03,4.9647e-05,4.7185e-06,5.8423e-08,,,,,,            4.4329,            7.6760,           11.7689,           14.0853,           -2.1801,            1.5623,            1.7292,           -0.3833,           -1.3054,          -21.6890,
Ref 16,3.19926e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6550e-06,5.9156e-08,,,,,,,,,,,
Sam 16,3.05598e-08,1.20341e-02,4.2449e-03,4.9646e-05,4.7213e-06,5.9104e-08,,,,,,            4.4172,            7.6738,           11.7325,           14.7362,            0.2808,            1.5457,            1.7271,           -0.4011,           -0.6602,          -19.2558,
Ref 17,3.15047e-08,,,,,,1.1981e-02,4.2125e-03,4.9072e-05,4.6504e-06,5.9017e-08,,,,,,,,,,,
Sam 17,3.00660e-08,1.20342e-02,4.2448e-03,4.9651e-05,4.7195e-06,5.8302e-08,,,,,,            4.4266,            7.6650,           11.8101,           14.8038,          -47.5369,            1.5561,            1.7183,           -0.3256,           -0.5761,          -66.1328,
Ref 18,3.10214e-08,,,,,,1.1981e-02,4.2125e-03,4.9071e-05,4.6508e-06,6.3441e-08,,,,,,,,,,,
Sam 18,2.95820e-08,1.20340e-02,4.2449e-03,4.9652e-05,4.7241e-06,5.9752e-08,,,,,,            4.4083,            7.6786,           11.7902,           15.9377,          -32.3106,            1.5360,            1.7319,           -0.3397,            0.5137,          -51.2105,
Ref 19,3.05459e-08,,,,,,1.1981e-02,4.2126e-03,4.9076e-05,4.6491e-06,6.0026e-08,,,,,,,,,,,
Sam 19,2.91105e-08,1.20341e-02,4.2448e-03,4.9649e-05,4.7234e-06,6.2728e-08,,,,,,            4.4184,            7.6619,           11.6985,           15.3866,           31.9849,            1.5474,            1.7153,           -0.4244,            0.0039,           11.8512,
Ref 20,3.00813e-08,,,,,,1.1981e-02,4.2125e-03,4.9074e-05,4.6546e-06,6.1554e-08,,,,,,,,,,,
Sam 20,2.86491e-08,1.20340e-02,4.2448e-03,4.9655e-05,4.7244e-06,6.5049e-08,,,,,,            4.4222,            7.6739,           11.9053,           15.1038,           79.9041,            1.5511,            1.7272,           -0.2357,           -0.2983,           58.8065,
Ref 21,2.96251e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6535e-06,5.8898e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.94045e-08,,,,,,1.1981e-02,4.2125e-03,4.9072e-05,4.6491e-06,6.1219e-08,
Sam 1,2.79788e-08,1.20340e-02,4.2448e-03,4.9661e-05,4.7211e-06,6.5943e-08,,,,,,            4.4275,            7.6737,           11.9796,           15.4372,           22.5603,            1.5567,            1.7270,           -0.1675,            0.0304,            2.5777,
Ref 2,2.89607e-08,,,,,,1.1981e-02,4.2125e-03,4.9074e-05,4.6495e-06,6.7807e-08,,,,,,,,,,,
Sam 2,2.75475e-08,1.20338e-02,4.2448e-03,4.9653e-05,4.7229e-06,6.6080e-08,,,,,,            4.4136,            7.6697,           11.7996,           15.5439,           16.6487,            1.5421,            1.7230,           -0.3272,            0.1434,           -3.1958,
Ref 3,2.85289e-08,,,,,,1.1981e-02,4.2125e-03,4.9073e-05,4.6517e-06,6.2145e-08,,,,,,,,,,,
Sam 3,2.71231e-08,1.20337e-02,4.2447e-03,4.9657e-05,4.7226e-06,6.5762e-08,,,,,,            4.4097,            7.6640,           11.7963,           16.0615,           41.6778,            1.5381,            1.7173,           -0.3209,            0.6646,           21.3604,
Ref 4,2.81084e-08,,,,,,1.1981e-02,4.2124e-03,4.9082e-05,4.6441e-06,6.4131e-08,,,,,,,,,,,
Sam 4,2.67090e-08,1.20335e-02,4.2447e-03,4.9659e-05,4.7245e-06,6.2510e-08,,,,,,            4.4087,            7.6631,           11.8255,           16.4994,          -37.9975,            1.5370,            1.7165,           -0.2901,            1.0976,          -56.7583,
Ref 5,2.76965e-08,,,,,,1.1981e-02,4.2124e-03,4.9074e-05,4.6516e-06,6.5840e-08,,,,,,,,,,,
Sam 5,2.63055e-08,1.20336e-02,4.2448e-03,4.9662e-05,4.7250e-06,6.3367e-08,,,,,,            4.4180,            7.6803,           11.8783,           15.4938,           -8.7703,            1.5464,            1.7335,           -0.2643,            0.0731,          -28.1433,
Ref 6,2.72975e-08,,,,,,1.1981e-02,4.2124e-03,4.9084e-05,4.6543e-06,6.1988e-08,,,,,,,,,,,
Sam 6,2.59148e-08,1.20336e-02,4.2447e-03,4.9655e-05,4.7178e-06,6.6655e-08,,,,,,            4.4271,            7.6641,           11.6662,           13.9539,           43.7497,            1.5566,            1.7174,           -0.4673,           -1.4113,           23.3728,
Ref 7,2.69004e-08,,,,,,1.1980e-02,4.2124e-03,4.9080e-05,4.6514e-06,6.5761e-08,,,,,,,,,,,
Sam 7,2.55254e-08,1.20335e-02,4.2446e-03,4.9648e-05,4.7243e-06,6.9507e-08,,,,,,            4.4252,            7.6729,           11.6477,           15.4460,           76.8687,            1.5542,            1.7262,           -0.4922,            0.0407,           55.8292,
Ref 8,2.65064e-08,,,,,,1.1981e-02,4.2123e-03,4.9072e-05,4.6534e-06,6.3312e-08,,,,,,,,,,,
Sam 8,2.51422e-08,1.20334e-02,4.2447e-03,4.9650e-05,4.7283e-06,6.9684e-08,,,,,,            4.4113,            7.6848,           11.6675,           15.8368,           83.4014,            1.5390,            1.7381,           -0.4701,            0.4019,           62.2252,
Ref 9,2.61258e-08,,,,,,1.1980e-02,4.2123e-03,4.9082e-05,4.6557e-06,6.5343e-08,,,,,,,,,,,
Sam 9,2.47735e-08,1.20335e-02,4.2447e-03,4.9664e-05,4.7295e-06,7.1645e-08,,,,,,            4.4261,            7.6915,           11.9061,           15.6514,           47.1814,            1.5546,            1.7446,           -0.2560,            0.2061,           26.6838,
Ref 10,2.57564e-08,,,,,,1.1980e-02,4.2123e-03,4.9076e-05,4.6575e-06,7.1536e-08,,,,,,,,,,,
Sam 10,2.44098e-08,1.20335e-02,4.2447e-03,4.9663e-05,4.7319e-06,6.7197e-08,,,,,,            4.4320,            7.6847,           11.9619,           16.2452,          -49.2772,            1.5611,            1.7379,           -0.2004,            0.8043,          -67.8804,
Ref 11,2.53884e-08,,,,,,1.1980e-02,4.2123e-03,4.9077e-05,4.6549e-06,6.9812e-08,,,,,,,,,,,
Sam 11,2.40542e-08,1.20335e-02,4.2446e-03,4.9662e-05,4.7233e-06,6.9536e-08,,,,,,            4.4330,            7.6656,           11.8898,           14.6553,            0.0141,            1.5628,            1.7188,           -0.2539,           -0.7235,          -19.5179,
Ref 12,2.50300e-08,,,,,,1.1980e-02,4.2123e-03,4.9080e-05,4.6553e-06,6.9254e-08,,,,,,,,,,,
Sam 12,2.36994e-08,1.20334e-02,4.2446e-03,4.9649e-05,4.7256e-06,7.7217e-08,,,,,,            4.4340,            7.6669,           11.5684,           15.0760,           64.1520,            1.5638,            1.7202,           -0.5737,           -0.3118,           43.3635,
Ref 13,2.46727e-08,,,,,,1.1980e-02,4.2122e-03,4.9083e-05,4.6556e-06,7.5917e-08,,,,,,,,,,,
Sam 13,2.33574e-08,1.20331e-02,4.2445e-03,4.9655e-05,4.7325e-06,7.4879e-08,,,,,,            4.4143,            7.6664,           11.7403,           15.8848,           10.9541,            1.5429,            1.7197,           -0.3833,            0.4858,           -8.7736,
Ref 14,2.43283e-08,,,,,,1.1980e-02,4.2122e-03,4.9075e-05,4.6615e-06,7.2192e-08,,,,,,,,,,,
Sam 14,2.30219e-08,1.20332e-02,4.2445e-03,4.9661e-05,4.7260e-06,7.7531e-08,,,,,,            4.4190,            7.6753,           11.9419,           14.0402,           52.1798,            1.5476,            1.7286,           -0.1976,           -1.3485,           31.6246,
Ref 15,2.39895e-08,,,,,,1.1980e-02,4.2121e-03,4.9075e-05,4.6596e-06,7.5202e-08,,,,,,,,,,,
Sam 15,2.26915e-08,1.20330e-02,4.2445e-03,4.9659e-05,4.7319e-06,7.7660e-08,,,,,,            4.4104,            7.6669,           11.8504,           15.6025,           40.8542,            1.5387,            1.7202,           -0.2709,            0.2068,           20.5464,
Ref 16,2.36550e-08,,,,,,1.1980e-02,4.2122e-03,4.9080e-05,4.6589e-06,7.4013e-08,,,,,,,,,,,
Sam 16,2.23674e-08,1.20330e-02,4.2445e-03,4.9661e-05,4.7354e-06,8.6220e-08,,,,,,            4.4181,            7.6669,           11.8543,           16.9047,          111.9412,            1.5469,            1.7202,           -0.2750,            1.4892,           90.2375,
Ref 17,2.33247e-08,,,,,,1.1980e-02,4.2122e-03,4.9078e-05,4.6544e-06,8.1117e-08,,,,,,,,,,,
Sam 17,2.20459e-08,1.20330e-02,4.2444e-03,4.9662e-05,4.7332e-06,8.0226e-08,,,,,,            4.4205,            7.6548,           11.8818,           16.7140,          -12.3703,            1.5499,            1.7081,           -0.2384,            1.3256,          -31.6272,
Ref 18,2.30041e-08,,,,,,1.1980e-02,4.2122e-03,4.9079e-05,4.6565e-06,8.1346e-08,,,,,,,,,,,
Sam 18,2.17345e-08,1.20329e-02,4.2445e-03,4.9652e-05,4.7327e-06,8.3597e-08,,,,,,            4.4113,            7.6677,           11.6150,           16.0593,           30.5930,            1.5396,            1.7210,           -0.5051,            0.6551,           10.4829,
Ref 19,2.26875e-08,,,,,,1.1980e-02,4.2121e-03,4.9086e-05,4.6593e-06,8.0881e-08,,,,,,,,,,,
Sam 19,2.14288e-08,1.20328e-02,4.2443e-03,4.9660e-05,4.7319e-06,7.8614e-08,,,,,,            4.4043,            7.6369,           11.7464,           15.6264,          -13.5055,            1.5333,            1.6904,           -0.3382,            0.2898,          -32.6899,
Ref 20,2.23781e-08,,,,,,1.1980e-02,4.2122e-03,4.9081e-05,4.6588e-06,7.8484e-08,,,,,,,,,,,
Sam 20,2.11271e-08,1.20329e-02,4.2444e-03,4.9664e-05,4.7200e-06,8.1514e-08,,,,,,            4.4230,            7.6553,           11.8076,           13.2400,           27.9312,            1.5525,            1.7086,           -0.3148,           -2.0969,            7.8848,
Ref 21,2.20733e-08,,,,,,1.1980e-02,4.2121e-03,4.9087e-05,4.6578e-06,8.0126e-08,,,,,,,,,,,


