Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 11, 2023 at 18:55 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 11, 2023 at 19:54 with Stable 1.71.5 on PS019

Data File = Data_19577 ETH-3.txt,         Sample Weight = 442,                      Vial Location = 19,                       Initial Sam Beam = 1.3352e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6423e-08,                Max Ref Beam = 1.0623e-07,                

Analysis undertaken at mass 46.04605
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.98598e-08,,,,,,1.1981e-02,4.2117e-03,4.9041e-05,4.6396e-06,5.3899e-08,
Sam 1,4.91491e-08,1.20340e-02,4.2618e-03,4.9830e-05,4.7529e-06,5.1862e-08,,,,,,            4.4385,           11.8705,           16.0211,           23.9004,          -13.8356,            1.4235,            5.9034,           -0.2835,            0.0180,          -40.9914,
Ref 2,4.89316e-08,,,,,,1.1981e-02,4.2119e-03,4.9047e-05,4.6443e-06,5.1256e-08,,,,,,,,,,,
Sam 2,4.82011e-08,1.20343e-02,4.2620e-03,4.9837e-05,4.7551e-06,5.3450e-08,,,,,,            4.4360,           11.8748,           16.1251,           23.9418,           72.0255,            1.4207,            5.9077,           -0.1828,            0.0500,           42.4994,
Ref 3,4.80626e-08,,,,,,1.1981e-02,4.2121e-03,4.9046e-05,4.6434e-06,4.8436e-08,,,,,,,,,,,
Sam 3,4.72861e-08,1.20344e-02,4.2621e-03,4.9830e-05,4.7542e-06,4.8884e-08,,,,,,            4.4333,           11.8727,           15.9099,           23.6299,           24.0681,            1.4179,            5.9056,           -0.3897,           -0.2506,           -4.1302,
Ref 4,4.72163e-08,,,,,,1.1981e-02,4.2121e-03,4.9052e-05,4.6455e-06,4.7021e-08,,,,,,,,,,,
Sam 4,4.63982e-08,1.20344e-02,4.2621e-03,4.9835e-05,4.7543e-06,4.8898e-08,,,,,,            4.4333,           11.8653,           15.9715,           23.6451,           19.9818,            1.4182,            5.8982,           -0.3219,           -0.2211,           -8.0897,
Ref 5,4.63901e-08,,,,,,1.1981e-02,4.2122e-03,4.9051e-05,4.6435e-06,4.8876e-08,,,,,,,,,,,
Sam 5,4.55284e-08,1.20344e-02,4.2622e-03,4.9836e-05,4.7543e-06,4.8254e-08,,,,,,            4.4406,           11.8787,           16.0045,           23.7441,            3.9520,            1.4255,            5.9115,           -0.3100,           -0.1507,          -23.7113,
Ref 6,4.55735e-08,,,,,,1.1981e-02,4.2122e-03,4.9051e-05,4.6445e-06,4.7237e-08,,,,,,,,,,,
Sam 6,4.46792e-08,1.20343e-02,4.2622e-03,4.9841e-05,4.7533e-06,4.9455e-08,,,,,,            4.4342,           11.8583,           16.0562,           23.6735,           55.9750,            1.4193,            5.8913,           -0.2327,           -0.1795,           26.9258,
Ref 7,4.47891e-08,,,,,,1.1981e-02,4.2122e-03,4.9055e-05,4.6423e-06,4.6423e-08,,,,,,,,,,,
Sam 7,4.38649e-08,1.20344e-02,4.2622e-03,4.9840e-05,4.7530e-06,4.7638e-08,,,,,,            4.4414,           11.8728,           15.9501,           23.8543,           19.3295,            1.4265,            5.9057,           -0.3585,           -0.0315,           -8.7470,
Ref 8,4.40204e-08,,,,,,1.1981e-02,4.2122e-03,4.9060e-05,4.6423e-06,4.7051e-08,,,,,,,,,,,
Sam 8,4.30624e-08,1.20344e-02,4.2623e-03,4.9847e-05,4.7527e-06,4.6399e-08,,,,,,            4.4468,           11.8841,           16.0980,           23.9460,           25.7997,            1.4319,            5.9169,           -0.2296,            0.0357,           -2.4826,
Ref 9,4.32789e-08,,,,,,1.1981e-02,4.2122e-03,4.9054e-05,4.6407e-06,4.3383e-08,,,,,,,,,,,
Sam 9,4.22821e-08,1.20344e-02,4.2623e-03,4.9846e-05,4.7507e-06,4.2236e-08,,,,,,            4.4378,           11.8719,           16.1220,           23.7899,           -2.1762,            1.4227,            5.9047,           -0.1848,           -0.0925,          -29.6548,
Ref 10,4.25336e-08,,,,,,1.1981e-02,4.2123e-03,4.9056e-05,4.6399e-06,4.1255e-08,,,,,,,,,,,
Sam 10,4.15078e-08,1.20344e-02,4.2623e-03,4.9840e-05,4.7492e-06,4.4200e-08,,,,,,            4.4391,           11.8604,           15.9709,           23.7383,           49.5715,            1.4245,            5.8933,           -0.3236,           -0.1202,           20.6892,
Ref 11,4.18034e-08,,,,,,1.1981e-02,4.2124e-03,4.9057e-05,4.6381e-06,4.2985e-08,,,,,,,,,,,
Sam 11,4.07622e-08,1.20344e-02,4.2623e-03,4.9848e-05,4.7501e-06,4.2104e-08,,,,,,            4.4395,           11.8614,           16.1452,           23.6364,           16.9994,            1.4249,            5.8943,           -0.1536,           -0.2218,          -10.9890,
Ref 12,4.11024e-08,,,,,,1.1981e-02,4.2123e-03,4.9054e-05,4.6427e-06,3.9789e-08,,,,,,,,,,,
Sam 12,4.00389e-08,1.20345e-02,4.2624e-03,4.9843e-05,4.7498e-06,4.1699e-08,,,,,,            4.4479,           11.8798,           16.0434,           23.0984,           48.1646,            1.4332,            5.9126,           -0.2803,           -0.7836,           19.2730,
Ref 13,4.04231e-08,,,,,,1.1981e-02,4.2124e-03,4.9057e-05,4.6423e-06,3.9777e-08,,,,,,,,,,,
Sam 13,3.93360e-08,1.20344e-02,4.2624e-03,4.9840e-05,4.7509e-06,4.3358e-08,,,,,,            4.4389,           11.8752,           15.9767,           24.0024,           99.6001,            1.4238,            5.9081,           -0.3322,            0.1084,           69.3104,
Ref 14,3.97493e-08,,,,,,1.1981e-02,4.2124e-03,4.9056e-05,4.6367e-06,3.9079e-08,,,,,,,,,,,
Sam 14,3.86396e-08,1.20344e-02,4.2624e-03,4.9847e-05,4.7491e-06,3.8600e-08,,,,,,            4.4314,           11.8656,           16.1249,           24.2234,           22.0921,            1.4162,            5.8985,           -0.1694,            0.3433,           -6.0360,
Ref 15,3.90857e-08,,,,,,1.1981e-02,4.2125e-03,4.9057e-05,4.6369e-06,3.6430e-08,,,,,,,,,,,
Sam 15,3.79702e-08,1.20346e-02,4.2624e-03,4.9844e-05,4.7478e-06,3.4034e-08,,,,,,            4.4497,           11.8704,           16.0305,           24.0373,          -24.2841,            1.4354,            5.9033,           -0.2857,            0.1520,          -51.1632,
Ref 16,3.84300e-08,,,,,,1.1981e-02,4.2124e-03,4.9059e-05,4.6359e-06,3.3306e-08,,,,,,,,,,,
Sam 16,3.72913e-08,1.20343e-02,4.2624e-03,4.9844e-05,4.7492e-06,3.4184e-08,,,,,,            4.4336,           11.8706,           15.9881,           23.6907,          -10.5360,            1.4183,            5.9036,           -0.3111,           -0.1870,          -37.7778,
Ref 17,3.77993e-08,,,,,,1.1981e-02,4.2124e-03,4.9061e-05,4.6429e-06,3.5811e-08,,,,,,,,,,,
Sam 17,3.66451e-08,1.20343e-02,4.2624e-03,4.9844e-05,4.7489e-06,3.2625e-08,,,,,,            4.4360,           11.8551,           16.0535,           23.6108,          -59.1895,            1.4213,            5.8881,           -0.2341,           -0.2344,          -85.0664,
Ref 18,3.71806e-08,,,,,,1.1981e-02,4.2124e-03,4.9052e-05,4.6358e-06,3.3526e-08,,,,,,,,,,,
Sam 18,3.60105e-08,1.20342e-02,4.2624e-03,4.9842e-05,4.7493e-06,2.8527e-08,,,,,,            4.4331,           11.8560,           16.1357,           24.2640,          -61.7325,            1.4183,            5.8890,           -0.1511,            0.4019,          -87.5384,
Ref 19,3.65753e-08,,,,,,1.1981e-02,4.2124e-03,4.9050e-05,4.6377e-06,2.7231e-08,,,,,,,,,,,
Sam 19,3.53938e-08,1.20341e-02,4.2624e-03,4.9837e-05,4.7451e-06,2.2467e-08,,,,,,            4.4270,           11.8631,           16.0006,           23.4045,         -128.3209,            1.4116,            5.8961,           -0.2847,           -0.4517,         -152.3015,
Ref 20,3.59862e-08,,,,,,1.1981e-02,4.2124e-03,4.9054e-05,4.6355e-06,2.4293e-08,,,,,,,,,,,
Sam 20,3.47871e-08,1.20340e-02,4.2624e-03,4.9845e-05,4.7450e-06,2.2484e-08,,,,,,            4.4271,           11.8598,           16.1254,           23.4763,          -77.1509,            1.4117,            5.8927,           -0.1587,           -0.3749,         -102.5335,
Ref 21,3.54126e-08,,,,,,1.1981e-02,4.2124e-03,4.9054e-05,4.6369e-06,2.4434e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.51306e-08,,,,,,1.1981e-02,4.2123e-03,4.9048e-05,4.6369e-06,2.3373e-08,
Sam 1,3.39000e-08,1.20342e-02,4.2624e-03,4.9843e-05,4.7482e-06,2.0872e-08,,,,,,            4.4411,           11.8766,           16.1455,           24.0070,          -56.4582,            1.4261,            5.9095,           -0.1697,            0.1102,          -82.4537,
Ref 2,3.45724e-08,,,,,,1.1981e-02,4.2124e-03,4.9055e-05,4.6369e-06,2.0849e-08,,,,,,,,,,,
Sam 2,3.33245e-08,1.20340e-02,4.2623e-03,4.9836e-05,4.7483e-06,1.8104e-08,,,,,,            4.4246,           11.8590,           15.9650,           24.5430,          -41.1661,            1.4091,            5.8919,           -0.3132,            0.6685,          -67.5346,
Ref 3,3.40205e-08,,,,,,1.1981e-02,4.2124e-03,4.9050e-05,4.6321e-06,1.6883e-08,,,,,,,,,,,
Sam 3,3.27799e-08,1.20340e-02,4.2624e-03,4.9839e-05,4.7460e-06,2.1264e-08,,,,,,            4.4272,           11.8524,           16.0058,           24.4499,          294.5662,            1.4122,            5.8854,           -0.2694,            0.5905,          258.9773,
Ref 4,3.34978e-08,,,,,,1.1981e-02,4.2125e-03,4.9057e-05,4.6334e-06,1.5961e-08,,,,,,,,,,,
Sam 4,3.22338e-08,1.20339e-02,4.2624e-03,4.9843e-05,4.7431e-06,2.2811e-08,,,,,,            4.4214,           11.8495,           16.0850,           24.0207,          336.4245,            1.4061,            5.8825,           -0.1827,            0.1771,          299.7002,
Ref 5,3.29742e-08,,,,,,1.1981e-02,4.2125e-03,4.9051e-05,4.6303e-06,1.8194e-08,,,,,,,,,,,
Sam 5,3.17024e-08,1.20340e-02,4.2623e-03,4.9848e-05,4.7427e-06,1.7096e-08,,,,,,            4.4332,           11.8544,           16.2011,           23.8129,          -77.4739,            1.4184,            5.8874,           -0.0853,           -0.0356,         -102.8441,
Ref 6,3.24564e-08,,,,,,1.1981e-02,4.2124e-03,4.9055e-05,4.6346e-06,1.8875e-08,,,,,,,,,,,
Sam 6,3.11754e-08,1.20339e-02,4.2623e-03,4.9839e-05,4.7370e-06,1.4523e-08,,,,,,            4.4342,           11.8398,           16.0364,           22.9875,         -198.4367,            1.4200,            5.8728,           -0.2341,           -0.8128,         -220.4590,
Ref 7,3.19504e-08,,,,,,1.1981e-02,4.2125e-03,4.9050e-05,4.6264e-06,1.7350e-08,,,,,,,,,,,
Sam 7,3.06685e-08,1.20338e-02,4.2624e-03,4.9836e-05,4.7368e-06,2.0121e-08,,,,,,            4.4372,           11.8635,           16.0098,           23.6420,          255.5069,            1.4224,            5.8964,           -0.2865,           -0.2203,          220.9526,
Ref 8,3.14575e-08,,,,,,1.1981e-02,4.2124e-03,4.9051e-05,4.6283e-06,1.4683e-08,,,,,,,,,,,
Sam 8,3.01717e-08,1.20338e-02,4.2623e-03,4.9843e-05,4.7373e-06,1.2197e-08,,,,,,            4.4311,           11.8529,           16.1298,           23.5894,          -92.1162,            1.4162,            5.8859,           -0.1519,           -0.2510,         -117.0792,
Ref 9,3.09805e-08,,,,,,1.1981e-02,4.2124e-03,4.9052e-05,4.6280e-06,1.2167e-08,,,,,,,,,,,
Sam 9,2.96940e-08,1.20339e-02,4.2624e-03,4.9834e-05,4.7385e-06,1.3549e-08,,,,,,            4.4361,           11.8705,           15.8830,           24.0292,          164.4934,            1.4210,            5.9034,           -0.4169,            0.1439,          132.4298,
Ref 10,3.05081e-08,,,,,,1.1981e-02,4.2124e-03,4.9058e-05,4.6265e-06,1.1095e-08,,,,,,,,,,,
Sam 10,2.92296e-08,1.20337e-02,4.2623e-03,4.9843e-05,4.7389e-06,1.0510e-08,,,,,,            4.4275,           11.8423,           16.0455,           24.1563,          326.5558,            1.4127,            5.8753,           -0.2208,            0.3238,          290.1126,
Ref 11,3.00468e-08,,,,,,1.1981e-02,4.2124e-03,4.9055e-05,4.6277e-06,4.7014e-09,,,,,,,,,,,
Sam 11,2.87700e-08,1.20338e-02,4.2623e-03,4.9834e-05,4.7392e-06,8.1856e-09,,,,,,            4.4357,           11.8450,           15.9368,           24.3039,          217.4151,            1.4214,            5.8780,           -0.3388,            0.4626,          183.9536,
Ref 12,2.96039e-08,,,,,,1.1981e-02,4.2123e-03,4.9049e-05,4.6258e-06,8.7764e-09,,,,,,,,,,,
Sam 12,2.83316e-08,1.20338e-02,4.2623e-03,4.9840e-05,4.7412e-06,6.5451e-09,,,,,,            4.4355,           11.8606,           16.1331,           24.6718,            0.9692,            1.4207,            5.8935,           -0.1606,            0.7911,          -26.5724,
Ref 13,2.91642e-08,,,,,,1.1981e-02,4.2124e-03,4.9049e-05,4.6283e-06,4.2675e-09,,,,,,,,,,,
Sam 13,2.78930e-08,1.20337e-02,4.2623e-03,4.9838e-05,4.7381e-06,-4.2300e-10,,,,,,            4.4318,           11.8502,           16.0202,           23.8039,        -2160.6694,            1.4171,            5.8832,           -0.2579,           -0.0361,        -2128.7601,
Ref 14,2.87352e-08,,,,,,1.1981e-02,4.2124e-03,4.9056e-05,4.6275e-06,-3.5968e-09,,,,,,,,,,,
Sam 14,2.74645e-08,1.20338e-02,4.2623e-03,4.9835e-05,4.7376e-06,-4.3948e-09,,,,,,            4.4419,           11.8525,           15.9055,           23.8137,          -19.4921,            1.4278,            5.8855,           -0.3832,           -0.0310,          -46.4621,
Ref 15,2.83140e-08,,,,,,1.1980e-02,4.2124e-03,4.9053e-05,4.6273e-06,-5.3806e-09,,,,,,,,,,,
Sam 15,2.69892e-08,1.20334e-02,4.2621e-03,4.9838e-05,4.7343e-06,-8.2090e-09,,,,,,            4.4259,           11.8220,           16.0009,           23.7802,          301.0090,            1.4118,            5.8551,           -0.2433,           -0.0033,          265.3196,
Ref 16,2.78544e-08,,,,,,1.1980e-02,4.2122e-03,4.9052e-05,4.6214e-06,-7.2542e-09,,,,,,,,,,,
Sam 16,2.66300e-08,1.20336e-02,4.2624e-03,4.9835e-05,4.7359e-06,-7.9839e-09,,,,,,            4.4495,           11.8870,           15.9546,           24.6862,          -86.6903,            1.4347,            5.9198,           -0.3764,            0.7528,         -111.8787,
Ref 17,2.74983e-08,,,,,,1.1980e-02,4.2124e-03,4.9052e-05,4.6223e-06,-1.0248e-08,,,,,,,,,,,
Sam 17,2.62222e-08,1.20335e-02,4.2623e-03,4.9832e-05,4.7346e-06,-1.3897e-08,,,,,,            4.4314,           11.8522,           15.8374,           25.0245,          429.7291,            1.4166,            5.8852,           -0.4392,            1.1522,          390.4188,
Ref 18,2.71014e-08,,,,,,1.1980e-02,4.2123e-03,4.9058e-05,4.6158e-06,-9.1845e-09,,,,,,,,,,,
Sam 18,2.58187e-08,1.20334e-02,4.2622e-03,4.9836e-05,4.7308e-06,-1.1905e-08,,,,,,            4.4264,           11.8307,           15.8610,           24.0201,          161.6394,            1.4121,            5.8638,           -0.3900,            0.2137,          129.7535,
Ref 19,2.67068e-08,,,,,,1.1980e-02,4.2123e-03,4.9057e-05,4.6240e-06,-1.1329e-08,,,,,,,,,,,
Sam 19,2.54271e-08,1.20335e-02,4.2623e-03,4.9839e-05,4.7273e-06,-1.8699e-08,,,,,,            4.4364,           11.8646,           16.0358,           22.4799,          325.9999,            1.4215,            5.8975,           -0.2611,           -1.3577,          289.5038,
Ref 20,2.63213e-08,,,,,,1.1980e-02,4.2123e-03,4.9048e-05,4.6227e-06,-1.6916e-08,,,,,,,,,,,
Sam 20,2.50434e-08,1.20335e-02,4.2622e-03,4.9835e-05,4.7226e-06,-2.1320e-08,,,,,,            4.4459,           11.8566,           16.0605,           21.8574,          124.6365,            1.4319,            5.8896,           -0.2388,           -1.9499,           93.6886,
Ref 21,2.59146e-08,,,,,,1.1980e-02,4.2122e-03,4.9047e-05,4.6205e-06,-2.1031e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.56988e-08,,,,,,1.1980e-02,4.2120e-03,4.9050e-05,4.6206e-06,-2.3003e-08,
Sam 1,2.44202e-08,1.20330e-02,4.2620e-03,4.9828e-05,4.7248e-06,-2.7107e-08,,,,,,            4.4293,           11.8520,           15.8753,           22.4594,           42.1845,            1.4144,            5.8850,           -0.3996,           -1.3528,           13.5325,
Ref 2,2.53396e-08,,,,,,1.1980e-02,4.2121e-03,4.9048e-05,4.6215e-06,-2.9060e-08,,,,,,,,,,,
Sam 2,2.40847e-08,1.20331e-02,4.2619e-03,4.9828e-05,4.7252e-06,-3.1205e-08,,,,,,            4.4441,           11.8406,           15.9727,           23.0725,           82.3746,            1.4305,            5.8736,           -0.3078,           -0.7315,           52.6245,
Ref 3,2.49621e-08,,,,,,1.1980e-02,4.2120e-03,4.9042e-05,4.6157e-06,-2.8597e-08,,,,,,,,,,,
Sam 3,2.37033e-08,1.20328e-02,4.2619e-03,4.9828e-05,4.7247e-06,-3.5079e-08,,,,,,            4.4243,           11.8474,           16.1115,           23.2687,          188.5079,            1.4092,            5.8805,           -0.1575,           -0.5533,          155.8495,
Ref 4,2.46142e-08,,,,,,1.1980e-02,4.2119e-03,4.9033e-05,4.6188e-06,-3.0446e-08,,,,,,,,,,,
Sam 4,2.34041e-08,1.20331e-02,4.2620e-03,4.9815e-05,4.7241e-06,-3.8775e-08,,,,,,            4.4415,           11.8682,           15.9721,           23.3027,          180.0435,            1.4268,            5.9011,           -0.3326,           -0.5612,          147.5503,
Ref 5,2.43194e-08,,,,,,1.1980e-02,4.2121e-03,4.9030e-05,4.6143e-06,-3.5300e-08,,,,,,,,,,,
Sam 5,2.30345e-08,1.20329e-02,4.2619e-03,4.9825e-05,4.7237e-06,-3.5500e-08,,,,,,            4.4257,           11.8288,           16.1564,           23.9921,           25.6310,            1.4113,            5.8619,           -0.0966,            0.1900,           -2.5171,
Ref 6,2.39633e-08,,,,,,1.1980e-02,4.2120e-03,4.9035e-05,4.6119e-06,-3.3915e-08,,,,,,,,,,,
Sam 6,2.26907e-08,1.20328e-02,4.2618e-03,4.9820e-05,4.7241e-06,-3.6022e-08,,,,,,            4.4370,           11.8358,           15.9997,           23.9174,           28.3846,            1.4231,            5.8688,           -0.2692,            0.1033,            0.1354,
Ref 7,2.35840e-08,,,,,,1.1980e-02,4.2119e-03,4.9036e-05,4.6156e-06,-3.6158e-08,,,,,,,,,,,
Sam 7,2.24188e-08,1.20329e-02,4.2620e-03,4.9820e-05,4.7203e-06,-3.2192e-08,,,,,,            4.4401,           11.8569,           15.9613,           22.8591,          -97.6615,            1.4257,            5.8898,           -0.3308,           -0.9720,         -122.4871,
Ref 8,2.33351e-08,,,,,,1.1980e-02,4.2122e-03,4.9038e-05,4.6140e-06,-3.5188e-08,,,,,,,,,,,
Sam 8,2.21042e-08,1.20330e-02,4.2619e-03,4.9824e-05,4.7234e-06,-3.3984e-08,,,,,,            4.4368,           11.8245,           15.9942,           23.4864,          -62.2653,            1.4233,            5.8576,           -0.2635,           -0.2954,          -88.0042,
Ref 9,2.30154e-08,,,,,,1.1980e-02,4.2121e-03,4.9041e-05,4.6161e-06,-3.7308e-08,,,,,,,,,,,
Sam 9,2.17897e-08,1.20329e-02,4.2620e-03,4.9820e-05,4.7242e-06,-3.8841e-08,,,,,,            4.4274,           11.8349,           15.9527,           23.7854,           14.0072,            1.4130,            5.8680,           -0.3049,           -0.0240,          -13.8355,
Ref 10,2.27009e-08,,,,,,1.1980e-02,4.2122e-03,4.9034e-05,4.6128e-06,-3.9314e-08,,,,,,,,,,,
Sam 10,2.14855e-08,1.20329e-02,4.2619e-03,4.9815e-05,4.7150e-06,-3.8883e-08,,,,,,            4.4300,           11.8303,           15.9455,           22.6722,          -27.1071,            1.4159,            5.8634,           -0.3101,           -1.1021,          -53.8149,
Ref 11,2.23935e-08,,,,,,1.1980e-02,4.2120e-03,4.9032e-05,4.6082e-06,-4.0628e-08,,,,,,,,,,,
Sam 11,2.11837e-08,1.20331e-02,4.2620e-03,4.9816e-05,4.7154e-06,-4.7549e-08,,,,,,            4.4443,           11.8554,           15.9588,           23.4220,          -43.5261,            1.4302,            5.8884,           -0.3361,           -0.4194,          -69.8427,
Ref 12,2.20901e-08,,,,,,1.1980e-02,4.2121e-03,4.9034e-05,4.6068e-06,-5.8922e-08,,,,,,,,,,,
Sam 12,2.08897e-08,1.20330e-02,4.2619e-03,4.9814e-05,4.7140e-06,-5.6016e-08,,,,,,            4.4366,           11.8404,           15.8571,           22.8831,           43.9412,            1.4225,            5.8734,           -0.4137,           -0.9161,           15.2559,
Ref 13,2.17949e-08,,,,,,1.1980e-02,4.2121e-03,4.9040e-05,4.6104e-06,-4.8324e-08,,,,,,,,,,,
Sam 13,2.05999e-08,1.20329e-02,4.2619e-03,4.9821e-05,4.7180e-06,-5.4938e-08,,,,,,            4.4358,           11.8324,           16.0398,           24.2263,           63.4416,            1.4220,            5.8655,           -0.2253,            0.4117,           34.2375,
Ref 14,2.14993e-08,,,,,,1.1980e-02,4.2121e-03,4.9030e-05,4.6023e-06,-5.5043e-08,,,,,,,,,,,
Sam 14,2.03140e-08,1.20328e-02,4.2619e-03,4.9813e-05,4.7131e-06,-5.9514e-08,,,,,,            4.4320,           11.8433,           15.9544,           23.6721,           80.8960,            1.4175,            5.8763,           -0.3160,           -0.1511,           51.1945,
Ref 15,2.12104e-08,,,,,,1.1980e-02,4.2120e-03,4.9031e-05,4.6059e-06,-5.5076e-08,,,,,,,,,,,
Sam 15,2.00329e-08,1.20326e-02,4.2619e-03,4.9803e-05,4.7122e-06,-6.6222e-08,,,,,,            4.4218,           11.8341,           15.8018,           23.2454,           98.9797,            1.4070,            5.8672,           -0.4468,           -0.5499,           68.8119,
Ref 16,2.09279e-08,,,,,,1.1980e-02,4.2121e-03,4.9026e-05,4.6044e-06,-6.5509e-08,,,,,,,,,,,
Sam 16,1.97598e-08,1.20327e-02,4.2618e-03,4.9809e-05,4.7129e-06,-7.1029e-08,,,,,,            4.4443,           11.8230,           15.9601,           24.4515,           68.5822,            1.4313,            5.8561,           -0.3033,            0.6503,           39.2465,
Ref 17,2.06511e-08,,,,,,1.1979e-02,4.2120e-03,4.9028e-05,4.5963e-06,-6.7444e-08,,,,,,,,,,,
Sam 17,1.94885e-08,1.20327e-02,4.2618e-03,4.9806e-05,4.7092e-06,-6.8200e-08,,,,,,            4.4407,           11.8197,           15.9268,           24.1032,            4.2385,            1.4276,            5.8528,           -0.3291,            0.3166,          -23.3207,
Ref 18,2.03791e-08,,,,,,1.1980e-02,4.2120e-03,4.9022e-05,4.6005e-06,-6.8388e-08,,,,,,,,,,,
Sam 18,1.92250e-08,1.20326e-02,4.2618e-03,4.9799e-05,4.7049e-06,-7.9543e-08,,,,,,            4.4309,           11.8374,           15.8213,           22.6464,          143.5294,            1.4166,            5.8704,           -0.4401,           -1.1413,          112.1209,
Ref 19,2.01115e-08,,,,,,1.1979e-02,4.2120e-03,4.9025e-05,4.6010e-06,-7.0747e-08,,,,,,,,,,,
Sam 19,1.89648e-08,1.20323e-02,4.2617e-03,4.9797e-05,4.7113e-06,-7.6627e-08,,,,,,            4.4168,           11.8274,           15.8197,           24.8782,          121.6324,            1.4019,            5.8606,           -0.4175,            1.0584,           90.8627,
Ref 20,1.98482e-08,,,,,,1.1979e-02,4.2119e-03,4.9018e-05,4.5929e-06,-6.5856e-08,,,,,,,,,,,
Sam 20,1.87067e-08,1.20324e-02,4.2617e-03,4.9807e-05,4.7044e-06,-8.1403e-08,,,,,,            4.4322,           11.8205,           16.1162,           23.6417,          163.4169,            1.4185,            5.8537,           -0.1349,           -0.1358,          131.4976,
Ref 21,1.95876e-08,,,,,,1.1979e-02,4.2119e-03,4.9016e-05,4.5987e-06,-7.4136e-08,,,,,,,,,,,


