Nu Stable Isotope Analysis Program
Data Collected on Thursday, May 11, 2023 at 20:17 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, May 11, 2023 at 21:16 with Stable 1.71.5 on PS019

Data File = Data_19578 IAEA-C2.txt,       Sample Weight = 493,                      Vial Location = 20,                       Initial Sam Beam = 1.5675e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5932e-08,                Max Ref Beam = 1.0613e-07,                

Analysis undertaken at mass 46.04849
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.95084e-08,,,,,,1.1981e-02,4.2113e-03,4.9026e-05,4.6407e-06,4.9262e-08,
Sam 1,5.86112e-08,1.19226e-02,4.2301e-03,4.8983e-05,4.6810e-06,5.0129e-08,,,,,,           -4.8816,            4.4282,           -0.8838,            8.4520,            5.0675,           -8.2385,           -1.4825,           -0.1897,           -0.4204,            1.5672,
Ref 2,5.83511e-08,,,,,,1.1981e-02,4.2116e-03,4.9027e-05,4.6428e-06,5.0502e-08,,,,,,,,,,,
Sam 2,5.74310e-08,1.19229e-02,4.2303e-03,4.8981e-05,4.6841e-06,5.0228e-08,,,,,,           -4.8848,            4.4072,           -1.0385,            9.1628,           10.1526,           -8.2412,           -1.5034,           -0.3207,            0.3259,            6.6792,
Ref 3,5.72526e-08,,,,,,1.1982e-02,4.2118e-03,4.9038e-05,4.6404e-06,4.8929e-08,,,,,,,,,,,
Sam 3,5.62849e-08,1.19230e-02,4.2304e-03,4.8982e-05,4.6833e-06,4.9014e-08,,,,,,           -4.8943,            4.3966,           -1.1237,            9.0607,           24.7913,           -8.2509,           -1.5140,           -0.3857,            0.2460,           21.2994,
Ref 4,5.61862e-08,,,,,,1.1982e-02,4.2119e-03,4.9037e-05,4.6420e-06,4.6707e-08,,,,,,,,,,,
Sam 4,5.51673e-08,1.19230e-02,4.2304e-03,4.8991e-05,4.6839e-06,4.8062e-08,,,,,,           -4.8987,            4.3969,           -0.9355,            8.8904,           29.2965,           -8.2556,           -1.5136,           -0.1931,            0.0765,           25.7933,
Ref 5,5.51447e-08,,,,,,1.1982e-02,4.2119e-03,4.9037e-05,4.6433e-06,4.6681e-08,,,,,,,,,,,
Sam 5,5.40868e-08,1.19231e-02,4.2305e-03,4.8991e-05,4.6838e-06,4.6642e-08,,,,,,           -4.8951,            4.4086,           -0.9753,            8.5683,           18.5862,           -8.2522,           -1.5019,           -0.2482,           -0.2661,           15.0922,
Ref 6,5.41416e-08,,,,,,1.1982e-02,4.2120e-03,4.9041e-05,4.6448e-06,4.4884e-08,,,,,,,,,,,
Sam 6,5.30410e-08,1.19232e-02,4.2306e-03,4.8993e-05,4.6867e-06,4.7110e-08,,,,,,           -4.8984,            4.4128,           -1.0273,            9.0171,           63.1229,           -8.2558,           -1.4978,           -0.3008,            0.1705,           59.4714,
Ref 7,5.31527e-08,,,,,,1.1982e-02,4.2121e-03,4.9046e-05,4.6448e-06,4.3731e-08,,,,,,,,,,,
Sam 7,5.20039e-08,1.19232e-02,4.2307e-03,4.9003e-05,4.6836e-06,4.4563e-08,,,,,,           -4.8952,            4.3997,           -0.9071,            8.4273,           13.6898,           -8.2520,           -1.5108,           -0.1710,           -0.3881,           10.2305,
Ref 8,5.21810e-08,,,,,,1.1982e-02,4.2122e-03,4.9048e-05,4.6441e-06,4.4196e-08,,,,,,,,,,,
Sam 8,5.10027e-08,1.19232e-02,4.2307e-03,4.8991e-05,4.6829e-06,4.5027e-08,,,,,,           -4.8922,            4.4021,           -1.0891,            8.4418,           21.9743,           -8.2488,           -1.5085,           -0.3587,           -0.3784,           18.4786,
Ref 9,5.12381e-08,,,,,,1.1982e-02,4.2122e-03,4.9041e-05,4.6434e-06,4.3920e-08,,,,,,,,,,,
Sam 9,5.00090e-08,1.19232e-02,4.2307e-03,4.8995e-05,4.6848e-06,4.4399e-08,,,,,,           -4.8897,            4.3926,           -1.0071,            8.7360,           10.1662,           -8.2459,           -1.5179,           -0.2699,           -0.0680,            6.7268,
Ref 10,5.02971e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6451e-06,4.3984e-08,,,,,,,,,,,
Sam 10,4.90596e-08,1.19232e-02,4.2308e-03,4.9001e-05,4.6850e-06,4.2076e-08,,,,,,           -4.8977,            4.3939,           -0.9407,            8.8732,          -37.5825,           -8.2544,           -1.5166,           -0.1964,            0.0654,          -40.8536,
Ref 11,4.94028e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6424e-06,4.3449e-08,,,,,,,,,,,
Sam 11,4.81329e-08,1.19233e-02,4.2309e-03,4.9005e-05,4.6827e-06,4.2422e-08,,,,,,           -4.8913,            4.4115,           -0.8903,            8.5461,           10.6475,           -8.2482,           -1.4991,           -0.1698,           -0.2939,            7.1710,
Ref 12,4.85270e-08,,,,,,1.1982e-02,4.2123e-03,4.9050e-05,4.6435e-06,4.0474e-08,,,,,,,,,,,
Sam 12,4.72386e-08,1.19233e-02,4.2310e-03,4.9004e-05,4.6842e-06,4.3244e-08,,,,,,           -4.8919,            4.4239,           -0.9851,            8.5407,           66.1043,           -8.2493,           -1.4868,           -0.2762,           -0.3238,           62.4120,
Ref 13,4.76725e-08,,,,,,1.1982e-02,4.2124e-03,4.9054e-05,4.6456e-06,4.0652e-08,,,,,,,,,,,
Sam 13,4.63567e-08,1.19233e-02,4.2310e-03,4.9004e-05,4.6815e-06,4.0780e-08,,,,,,           -4.8976,            4.4043,           -1.0201,            8.0510,            3.7913,           -8.2547,           -1.5062,           -0.2862,           -0.7703,            0.3591,
Ref 14,4.68362e-08,,,,,,1.1982e-02,4.2124e-03,4.9054e-05,4.6426e-06,4.0599e-08,,,,,,,,,,,
Sam 14,4.54979e-08,1.19234e-02,4.2310e-03,4.9004e-05,4.6846e-06,4.2717e-08,,,,,,           -4.8925,            4.4135,           -1.0519,            8.9095,           54.9810,           -8.2496,           -1.4971,           -0.3323,            0.0625,           51.3493,
Ref 15,4.60185e-08,,,,,,1.1982e-02,4.2125e-03,4.9058e-05,4.6439e-06,4.0380e-08,,,,,,,,,,,
Sam 15,4.46609e-08,1.19234e-02,4.2311e-03,4.9003e-05,4.6806e-06,4.3037e-08,,,,,,           -4.8884,            4.4148,           -1.1522,            8.0885,           74.3877,           -8.2453,           -1.4958,           -0.4382,           -0.7540,           70.6818,
Ref 16,4.52115e-08,,,,,,1.1982e-02,4.2125e-03,4.9061e-05,4.6422e-06,3.9729e-08,,,,,,,,,,,
Sam 16,4.38329e-08,1.19234e-02,4.2311e-03,4.9015e-05,4.6838e-06,4.1961e-08,,,,,,           -4.8831,            4.4047,           -0.9063,            9.2513,           50.6828,           -8.2393,           -1.5058,           -0.1876,            0.4186,           47.0734,
Ref 17,4.44258e-08,,,,,,1.1982e-02,4.2125e-03,4.9057e-05,4.6396e-06,4.0149e-08,,,,,,,,,,,
Sam 17,4.30348e-08,1.19232e-02,4.2311e-03,4.9010e-05,4.6851e-06,3.8958e-08,,,,,,           -4.9008,            4.4021,           -1.0278,            9.3026,          -37.6453,           -8.2581,           -1.5085,           -0.2883,            0.4748,          -40.9281,
Ref 18,4.36597e-08,,,,,,1.1982e-02,4.2126e-03,4.9063e-05,4.6442e-06,4.0821e-08,,,,,,,,,,,
Sam 18,4.22554e-08,1.19233e-02,4.2311e-03,4.9014e-05,4.6838e-06,3.8911e-08,,,,,,           -4.8875,            4.4128,           -0.9156,            8.5728,          -32.8304,           -8.2442,           -1.4978,           -0.2004,           -0.2699,          -36.1637,
Ref 19,4.29164e-08,,,,,,1.1982e-02,4.2126e-03,4.9056e-05,4.6438e-06,3.9632e-08,,,,,,,,,,,
Sam 19,4.14958e-08,1.19234e-02,4.2312e-03,4.9013e-05,4.6810e-06,3.8322e-08,,,,,,           -4.8835,            4.4099,           -0.9302,            8.0604,           14.0968,           -8.2398,           -1.5007,           -0.2163,           -0.7720,           10.6032,
Ref 20,4.21818e-08,,,,,,1.1982e-02,4.2126e-03,4.9062e-05,4.6434e-06,3.5914e-08,,,,,,,,,,,
Sam 20,4.07424e-08,1.19233e-02,4.2312e-03,4.9012e-05,4.6839e-06,3.8614e-08,,,,,,           -4.8936,            4.3945,           -1.0582,            8.6793,           64.6439,           -8.2501,           -1.5160,           -0.3189,           -0.1279,           61.0196,
Ref 21,4.14694e-08,,,,,,1.1982e-02,4.2126e-03,4.9067e-05,4.6439e-06,3.6630e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.11143e-08,,,,,,1.1982e-02,4.2126e-03,4.9063e-05,4.6387e-06,3.8847e-08,
Sam 1,3.96460e-08,1.19233e-02,4.2312e-03,4.9014e-05,4.6822e-06,3.7665e-08,,,,,,           -4.8975,            4.4055,           -0.9981,            8.8434,           34.2423,           -8.2546,           -1.5051,           -0.2654,            0.0128,           30.7036,
Ref 2,4.04263e-08,,,,,,1.1982e-02,4.2126e-03,4.9063e-05,4.6437e-06,3.3948e-08,,,,,,,,,,,
Sam 2,3.89381e-08,1.19233e-02,4.2313e-03,4.9018e-05,4.6822e-06,3.4906e-08,,,,,,           -4.8855,            4.4130,           -0.9323,            8.0233,           -3.2661,           -8.2421,           -1.4976,           -0.2193,           -0.8150,           -6.7038,
Ref 3,3.97535e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6462e-06,3.6110e-08,,,,,,,,,,,
Sam 3,3.82516e-08,1.19232e-02,4.2312e-03,4.9012e-05,4.6840e-06,3.5289e-08,,,,,,           -4.8905,            4.4027,           -1.0210,            8.4901,          -30.1517,           -8.2471,           -1.5079,           -0.2928,           -0.3318,          -33.4719,
Ref 4,3.90869e-08,,,,,,1.1982e-02,4.2126e-03,4.9061e-05,4.6429e-06,3.6667e-08,,,,,,,,,,,
Sam 4,3.75795e-08,1.19232e-02,4.2312e-03,4.9017e-05,4.6838e-06,3.7895e-08,,,,,,           -4.8897,            4.4081,           -0.8960,            8.7471,           54.7398,           -8.2464,           -1.5025,           -0.1739,           -0.0878,           51.1169,
Ref 5,3.84442e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6435e-06,3.5177e-08,,,,,,,,,,,
Sam 5,3.69245e-08,1.19232e-02,4.2312e-03,4.9014e-05,4.6828e-06,3.6243e-08,,,,,,           -4.8942,            4.4091,           -1.0950,            8.4405,          -24.6034,           -8.2513,           -1.5015,           -0.3692,           -0.3936,          -27.9509,
Ref 6,3.78036e-08,,,,,,1.1982e-02,4.2127e-03,4.9073e-05,4.6438e-06,3.9170e-08,,,,,,,,,,,
Sam 6,3.62827e-08,1.19232e-02,4.2312e-03,4.9011e-05,4.6830e-06,3.7978e-08,,,,,,           -4.8919,            4.3934,           -1.1829,            8.5787,           -3.6359,           -8.2483,           -1.5171,           -0.4443,           -0.2255,           -7.0274,
Ref 7,3.71814e-08,,,,,,1.1982e-02,4.2127e-03,4.9065e-05,4.6426e-06,3.7046e-08,,,,,,,,,,,
Sam 7,3.56602e-08,1.19232e-02,4.2313e-03,4.9021e-05,4.6815e-06,3.9042e-08,,,,,,           -4.8817,            4.4128,           -0.8667,            8.3839,           75.4666,           -8.2381,           -1.4978,           -0.1574,           -0.4572,           71.7535,
Ref 8,3.65711e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6426e-06,3.5547e-08,,,,,,,,,,,
Sam 8,3.50565e-08,1.19230e-02,4.2312e-03,4.9017e-05,4.6847e-06,3.5598e-08,,,,,,           -4.8965,            4.4023,           -0.9620,            9.0406,           14.0085,           -8.2534,           -1.5083,           -0.2272,            0.2147,           10.5443,
Ref 9,3.59760e-08,,,,,,1.1982e-02,4.2127e-03,4.9068e-05,4.6429e-06,3.4658e-08,,,,,,,,,,,
Sam 9,3.44555e-08,1.19230e-02,4.2312e-03,4.9011e-05,4.6823e-06,3.7698e-08,,,,,,           -4.8948,            4.4054,           -1.1739,            8.4774,           99.2173,           -8.2518,           -1.5051,           -0.4441,           -0.3498,           95.4533,
Ref 10,3.53927e-08,,,,,,1.1982e-02,4.2126e-03,4.9069e-05,4.6429e-06,3.3926e-08,,,,,,,,,,,
Sam 10,3.38816e-08,1.19229e-02,4.2312e-03,4.9015e-05,4.6864e-06,3.1154e-08,,,,,,           -4.8903,            4.4107,           -1.0272,           10.0774,         -111.5464,           -8.2472,           -1.4999,           -0.3071,            1.2256,         -114.6021,
Ref 11,3.48270e-08,,,,,,1.1981e-02,4.2126e-03,4.9061e-05,4.6363e-06,3.6223e-08,,,,,,,,,,,
Sam 11,3.33213e-08,1.19229e-02,4.2312e-03,4.9019e-05,4.6813e-06,3.5439e-08,,,,,,           -4.8882,            4.4186,           -0.9325,            8.9435,          -14.1427,           -8.2452,           -1.4920,           -0.2222,            0.0859,          -17.5508,
Ref 12,3.42757e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6433e-06,3.5668e-08,,,,,,,,,,,
Sam 12,3.27740e-08,1.19228e-02,4.2311e-03,4.9020e-05,4.6883e-06,2.9555e-08,,,,,,           -4.8969,            4.3903,           -0.9752,            9.5899,         -105.2738,           -8.2534,           -1.5202,           -0.2282,            0.7831,         -108.3091,
Ref 13,3.37368e-08,,,,,,1.1981e-02,4.2126e-03,4.9067e-05,4.6442e-06,3.0355e-08,,,,,,,,,,,
Sam 13,3.22416e-08,1.19228e-02,4.2311e-03,4.9017e-05,4.6802e-06,2.7897e-08,,,,,,           -4.8883,            4.3892,           -1.0586,            8.2528,          -79.6648,           -8.2443,           -1.5213,           -0.3195,           -0.5401,          -82.7934,
Ref 14,3.32074e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6395e-06,3.0268e-08,,,,,,,,,,,
Sam 14,3.17183e-08,1.19228e-02,4.2311e-03,4.9020e-05,4.6795e-06,2.9146e-08,,,,,,           -4.8866,            4.3839,           -1.0517,            8.2606,            4.4766,           -8.2423,           -1.5266,           -0.3091,           -0.5218,            1.0706,
Ref 15,3.26946e-08,,,,,,1.1981e-02,4.2126e-03,4.9072e-05,4.6430e-06,2.7745e-08,,,,,,,,,,,
Sam 15,3.12040e-08,1.19228e-02,4.2311e-03,4.9015e-05,4.6803e-06,2.8486e-08,,,,,,           -4.8848,            4.4036,           -1.1113,            8.1140,           -8.0731,           -8.2411,           -1.5070,           -0.3899,           -0.7063,          -11.4767,
Ref 16,3.21926e-08,,,,,,1.1981e-02,4.2125e-03,4.9067e-05,4.6423e-06,2.9706e-08,,,,,,,,,,,
Sam 16,3.07025e-08,1.19224e-02,4.2310e-03,4.9010e-05,4.6832e-06,2.8882e-08,,,,,,           -4.9010,            4.3961,           -1.1562,            8.8413,          -48.9888,           -8.2581,           -1.5144,           -0.4109,            0.0294,          -52.2218,
Ref 17,3.16980e-08,,,,,,1.1981e-02,4.2125e-03,4.9067e-05,4.6420e-06,3.1043e-08,,,,,,,,,,,
Sam 17,3.02032e-08,1.19224e-02,4.2310e-03,4.9010e-05,4.6812e-06,2.9815e-08,,,,,,           -4.9006,            4.3882,           -1.1192,            8.5074,          -30.2795,           -8.2574,           -1.5222,           -0.3664,           -0.2858,          -33.5615,
Ref 18,3.12119e-08,,,,,,1.1981e-02,4.2125e-03,4.9062e-05,4.6415e-06,3.0444e-08,,,,,,,,,,,
Sam 18,2.97189e-08,1.19225e-02,4.2310e-03,4.9010e-05,4.6768e-06,2.6330e-08,,,,,,           -4.8934,            4.4046,           -1.0969,            7.5410,          -82.0032,           -8.2502,           -1.5059,           -0.3678,           -1.2764,          -85.1466,
Ref 19,3.07334e-08,,,,,,1.1981e-02,4.2124e-03,4.9066e-05,4.6421e-06,2.6892e-08,,,,,,,,,,,
Sam 19,2.92435e-08,1.19224e-02,4.2310e-03,4.9013e-05,4.6799e-06,2.3138e-08,,,,,,           -4.8924,            4.3932,           -1.0501,            8.0897,          -96.4553,           -8.2488,           -1.5173,           -0.3106,           -0.7098,          -99.5299,
Ref 20,3.02615e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6425e-06,2.4304e-08,,,,,,,,,,,
Sam 20,2.87798e-08,1.19222e-02,4.2309e-03,4.9014e-05,4.6801e-06,2.7972e-08,,,,,,           -4.9019,            4.3723,           -1.0425,            8.3689,           18.6753,           -8.2582,           -1.5381,           -0.2727,           -0.3913,           15.2608,
Ref 21,2.98061e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6399e-06,3.0662e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.95821e-08,,,,,,1.1981e-02,4.2125e-03,4.9066e-05,4.6402e-06,2.8791e-08,
Sam 1,2.81080e-08,1.19224e-02,4.2310e-03,4.9020e-05,4.6817e-06,2.3576e-08,,,,,,           -4.8815,            4.3881,           -0.9519,            8.7845,         -211.6560,           -8.2369,           -1.5224,           -0.2188,           -0.0110,         -214.3401,
Ref 2,2.91391e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6417e-06,3.1039e-08,,,,,,,,,,,
Sam 2,2.76726e-08,1.19222e-02,4.2309e-03,4.9015e-05,4.6801e-06,2.5595e-08,,,,,,           -4.9006,            4.3618,           -1.0918,            8.1740,         -142.1449,           -8.2564,           -1.5485,           -0.3132,           -0.5638,         -145.0041,
Ref 3,2.87013e-08,,,,,,1.1981e-02,4.2125e-03,4.9069e-05,4.6427e-06,2.8615e-08,,,,,,,,,,,
Sam 3,2.72452e-08,1.19222e-02,4.2310e-03,4.9014e-05,4.6822e-06,3.2153e-08,,,,,,           -4.8982,            4.3974,           -1.0744,            8.7172,          -47.8093,           -8.2551,           -1.5132,           -0.3331,           -0.0961,          -51.0514,
Ref 4,2.82780e-08,,,,,,1.1981e-02,4.2124e-03,4.9064e-05,4.6407e-06,3.8997e-08,,,,,,,,,,,
Sam 4,2.68280e-08,1.19221e-02,4.2309e-03,4.9019e-05,4.6855e-06,3.5586e-08,,,,,,           -4.8974,            4.3925,           -0.9111,            9.5902,          -11.8395,           -8.2541,           -1.5180,           -0.1657,            0.7791,          -15.1955,
Ref 5,2.78610e-08,,,,,,1.1981e-02,4.2124e-03,4.9063e-05,4.6412e-06,3.2982e-08,,,,,,,,,,,
Sam 5,2.64200e-08,1.19222e-02,4.2309e-03,4.9014e-05,4.6841e-06,2.8622e-08,,,,,,           -4.8882,            4.3779,           -0.9941,            9.3121,         -114.1823,           -8.2437,           -1.5325,           -0.2441,            0.5324,         -117.1742,
Ref 6,2.74458e-08,,,,,,1.1981e-02,4.2124e-03,4.9063e-05,4.6406e-06,3.1631e-08,,,,,,,,,,,
Sam 6,2.60163e-08,1.19221e-02,4.2308e-03,4.9013e-05,4.6825e-06,3.0173e-08,,,,,,           -4.8861,            4.3847,           -0.9610,            9.1589,           41.4178,           -8.2417,           -1.5257,           -0.2198,            0.3669,           37.8841,
Ref 7,2.70443e-08,,,,,,1.1981e-02,4.2124e-03,4.9058e-05,4.6394e-06,2.6276e-08,,,,,,,,,,,
Sam 7,2.56259e-08,1.19221e-02,4.2308e-03,4.9018e-05,4.6810e-06,2.4492e-08,,,,,,           -4.8853,            4.3856,           -0.8282,            8.6843,           31.6290,           -8.2409,           -1.5249,           -0.0886,           -0.1054,           28.1258,
Ref 8,2.66497e-08,,,,,,1.1981e-02,4.2123e-03,4.9058e-05,4.6421e-06,2.1169e-08,,,,,,,,,,,
Sam 8,2.52423e-08,1.19219e-02,4.2308e-03,4.9011e-05,4.6716e-06,1.5252e-08,,,,,,           -4.8918,            4.3849,           -1.0548,            6.8801,         -310.7411,           -8.2478,           -1.5256,           -0.3079,           -1.8923,         -313.0759,
Ref 9,2.62649e-08,,,,,,1.1980e-02,4.2123e-03,4.9068e-05,4.6373e-06,2.3100e-08,,,,,,,,,,,
Sam 9,2.48691e-08,1.19219e-02,4.2308e-03,4.9013e-05,4.6820e-06,2.0751e-08,,,,,,           -4.8816,            4.3810,           -1.0562,            9.2669,         -159.6343,           -8.2368,           -1.5295,           -0.3160,            0.4815,         -162.4836,
Ref 10,2.58889e-08,,,,,,1.1980e-02,4.2123e-03,4.9061e-05,4.6406e-06,2.6309e-08,,,,,,,,,,,
Sam 10,2.45030e-08,1.19219e-02,4.2308e-03,4.9014e-05,4.6784e-06,2.9103e-08,,,,,,           -4.8884,            4.4065,           -1.0177,            8.4589,          -11.7865,           -8.2450,           -1.5041,           -0.2954,           -0.3702,          -15.1791,
Ref 11,2.55206e-08,,,,,,1.1981e-02,4.2123e-03,4.9067e-05,4.6376e-06,3.2637e-08,,,,,,,,,,,
Sam 11,2.41448e-08,1.19218e-02,4.2307e-03,4.9012e-05,4.6810e-06,2.8283e-08,,,,,,           -4.8980,            4.3725,           -1.1487,            8.9763,         -126.5076,           -8.2540,           -1.5379,           -0.3833,            0.2102,         -129.4395,
Ref 12,2.51592e-08,,,,,,1.1980e-02,4.2123e-03,4.9070e-05,4.6412e-06,3.2118e-08,,,,,,,,,,,
Sam 12,2.37940e-08,1.19216e-02,4.2307e-03,4.9018e-05,4.6808e-06,3.1278e-08,,,,,,           -4.9043,            4.3795,           -0.9656,            9.2094,          -39.3011,           -8.2610,           -1.5310,           -0.2003,            0.4275,          -42.5323,
Ref 13,2.48037e-08,,,,,,1.1980e-02,4.2122e-03,4.9060e-05,4.6350e-06,3.3004e-08,,,,,,,,,,,
Sam 13,2.34508e-08,1.19216e-02,4.2307e-03,4.9019e-05,4.6831e-06,3.2894e-08,,,,,,           -4.9063,            4.3874,           -0.8854,            9.9269,           -1.8894,           -8.2633,           -1.5231,           -0.1257,            1.1230,           -5.2597,
Ref 14,2.44567e-08,,,,,,1.1980e-02,4.2123e-03,4.9065e-05,4.6391e-06,3.2909e-08,,,,,,,,,,,
Sam 14,2.31085e-08,1.19217e-02,4.2307e-03,4.9004e-05,4.6743e-06,2.3539e-08,,,,,,           -4.8911,            4.3936,           -1.3408,            7.2918,         -224.3999,           -8.2474,           -1.5169,           -0.6034,           -1.5016,         -227.0409,
Ref 15,2.41098e-08,,,,,,1.1980e-02,4.2122e-03,4.9075e-05,4.6418e-06,2.7753e-08,,,,,,,,,,,
Sam 15,2.27786e-08,1.19216e-02,4.2307e-03,4.9018e-05,4.6795e-06,2.2184e-08,,,,,,           -4.8953,            4.3940,           -1.0749,            8.8748,         -216.5675,           -8.2519,           -1.5165,           -0.3333,            0.0668,         -219.2323,
Ref 16,2.37751e-08,,,,,,1.1980e-02,4.2122e-03,4.9066e-05,4.6348e-06,2.8888e-08,,,,,,,,,,,
Sam 16,2.24518e-08,1.19215e-02,4.2306e-03,4.9014e-05,4.6767e-06,2.8321e-08,,,,,,           -4.9040,            4.3795,           -1.0296,            8.7239,           -8.2886,           -8.2607,           -1.5309,           -0.2647,           -0.0538,          -11.6245,
Ref 17,2.34427e-08,,,,,,1.1980e-02,4.2121e-03,4.9063e-05,4.6377e-06,2.8223e-08,,,,,,,,,,,
Sam 17,2.21307e-08,1.19214e-02,4.2306e-03,4.9014e-05,4.6747e-06,3.1528e-08,,,,,,           -4.9090,            4.3864,           -0.9480,            7.4158,          102.2561,           -8.2662,           -1.5241,           -0.1846,           -1.3642,           98.5393,
Ref 18,2.31197e-08,,,,,,1.1980e-02,4.2122e-03,4.9058e-05,4.6428e-06,2.8988e-08,,,,,,,,,,,
Sam 18,2.18158e-08,1.19214e-02,4.2306e-03,4.9024e-05,4.6826e-06,2.3098e-08,,,,,,           -4.8962,            4.3667,           -0.7358,            8.8001,         -129.2273,           -8.2519,           -1.5437,            0.0338,            0.0473,         -132.1418,
Ref 19,2.28012e-08,,,,,,1.1980e-02,4.2122e-03,4.9062e-05,4.6407e-06,2.4029e-08,,,,,,,,,,,
Sam 19,2.15072e-08,1.19214e-02,4.2306e-03,4.9011e-05,4.6802e-06,2.7661e-08,,,,,,           -4.8997,            4.3716,           -1.1308,            8.2810,          108.5984,           -8.2558,           -1.5388,           -0.3628,           -0.4773,          104.8812,
Ref 20,2.24906e-08,,,,,,1.1980e-02,4.2121e-03,4.9070e-05,4.6428e-06,2.5887e-08,,,,,,,,,,,
Sam 20,2.12040e-08,1.19214e-02,4.2307e-03,4.9016e-05,4.6782e-06,2.5375e-08,,,,,,           -4.8878,            4.3962,           -1.0118,            7.6052,           21.3602,           -8.2440,           -1.5144,           -0.2800,           -1.1960,           17.8737,
