Nu Stable Isotope Analysis Program
Data Collected on Friday, May 12, 2023 at 00:31 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 12, 2023 at 01:30 with Stable 1.71.5 on PS019

Data File = Data_19581 AU_MANYA6_677_23.txt,Sample Weight = 627,                      Vial Location = 23,                       Initial Sam Beam = 1.7988e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1088e-08,                Max Ref Beam = 1.0632e-07,                

Analysis undertaken at mass 46.04357
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.89766e-08,,,,,,1.1979e-02,4.2097e-03,4.8986e-05,4.6363e-06,4.3218e-08,
Sam 1,6.78816e-08,1.20017e-02,4.2287e-03,4.9279e-05,4.6775e-06,4.6770e-08,,,,,,            1.8959,            4.4588,            5.8663,            8.6849,           59.1620,           -1.0265,           -1.4669,           -0.4811,           -0.2503,           47.8205,
Ref 2,6.75948e-08,,,,,,1.1979e-02,4.2101e-03,4.8998e-05,4.6381e-06,4.5117e-08,,,,,,,,,,,
Sam 2,6.64769e-08,1.20022e-02,4.2290e-03,4.9283e-05,4.6759e-06,4.5308e-08,,,,,,            1.8820,            4.4465,            5.7756,            8.3065,           -7.4093,           -1.0408,           -1.4790,           -0.5450,           -0.6010,          -18.0000,
Ref 3,6.62896e-08,,,,,,1.1980e-02,4.2105e-03,4.9001e-05,4.6367e-06,4.6186e-08,,,,,,,,,,,
Sam 3,6.51055e-08,1.20025e-02,4.2292e-03,4.9289e-05,4.6780e-06,4.8193e-08,,,,,,            1.8847,            4.4341,            5.8239,            8.6836,           51.7493,           -1.0375,           -1.4914,           -0.4876,           -0.2024,           40.5498,
Ref 4,6.50170e-08,,,,,,1.1980e-02,4.2106e-03,4.9007e-05,4.6388e-06,4.5451e-08,,,,,,,,,,,
Sam 4,6.37920e-08,1.20028e-02,4.2295e-03,4.9292e-05,4.6785e-06,4.7078e-08,,,,,,            1.8892,            4.4508,            5.8245,            8.4930,           13.9260,           -1.0333,           -1.4748,           -0.5080,           -0.4245,            3.0917,
Ref 5,6.37894e-08,,,,,,1.1980e-02,4.2108e-03,4.9006e-05,4.6395e-06,4.7430e-08,,,,,,,,,,,
Sam 5,6.25034e-08,1.20030e-02,4.2296e-03,4.9296e-05,4.6788e-06,5.1313e-08,,,,,,            1.8793,            4.4313,            5.8674,            8.6425,           51.1131,           -1.0432,           -1.4941,           -0.4361,           -0.2377,           39.9320,
Ref 6,6.26143e-08,,,,,,1.1981e-02,4.2111e-03,4.9011e-05,4.6379e-06,5.0231e-08,,,,,,,,,,,
Sam 6,6.12977e-08,1.20033e-02,4.2299e-03,4.9299e-05,4.6799e-06,5.0986e-08,,,,,,            1.8889,            4.4584,            5.8660,            8.9347,           32.5484,           -1.0339,           -1.4673,           -0.4738,           -0.0019,           21.5003,
Ref 7,6.14401e-08,,,,,,1.1981e-02,4.2112e-03,4.9013e-05,4.6391e-06,4.8510e-08,,,,,,,,,,,
Sam 7,6.00291e-08,1.20034e-02,4.2299e-03,4.9302e-05,4.6831e-06,4.7836e-08,,,,,,            1.8881,            4.4390,            5.8577,            9.5420,          -23.1188,           -1.0341,           -1.4865,           -0.4622,            0.6386,          -33.5338,
Ref 8,6.02537e-08,,,,,,1.1981e-02,4.2113e-03,4.9018e-05,4.6386e-06,4.9436e-08,,,,,,,,,,,
Sam 8,5.88328e-08,1.20035e-02,4.2300e-03,4.9311e-05,4.6821e-06,4.8502e-08,,,,,,            1.8915,            4.4392,            5.9224,            8.9505,          -19.5192,           -1.0305,           -1.4863,           -0.4017,            0.0519,          -29.9765,
Ref 9,5.91166e-08,,,,,,1.1981e-02,4.2114e-03,4.9023e-05,4.6426e-06,4.9500e-08,,,,,,,,,,,
Sam 9,5.76665e-08,1.20034e-02,4.2302e-03,4.9313e-05,4.6828e-06,4.9827e-08,,,,,,            1.8776,            4.4471,            5.9198,            8.8354,           11.1206,           -1.0456,           -1.4785,           -0.3976,           -0.0778,            0.3359,
Ref 10,5.80105e-08,,,,,,1.1981e-02,4.2115e-03,4.9023e-05,4.6409e-06,4.9054e-08,,,,,,,,,,,
Sam 10,5.65285e-08,1.20036e-02,4.2302e-03,4.9314e-05,4.6812e-06,4.9973e-08,,,,,,            1.8844,            4.4356,            5.8934,            8.6702,           37.7835,           -1.0379,           -1.4900,           -0.4197,           -0.2186,           26.7301,
Ref 11,5.69342e-08,,,,,,1.1981e-02,4.2116e-03,4.9027e-05,4.6410e-06,4.7236e-08,,,,,,,,,,,
Sam 11,5.54233e-08,1.20037e-02,4.2303e-03,4.9318e-05,4.6846e-06,4.9163e-08,,,,,,            1.8801,            4.4394,            5.9288,            9.7904,           53.5143,           -1.0426,           -1.4861,           -0.3838,            0.8841,           42.2903,
Ref 12,5.58823e-08,,,,,,1.1981e-02,4.2117e-03,4.9029e-05,4.6373e-06,4.6084e-08,,,,,,,,,,,
Sam 12,5.43451e-08,1.20040e-02,4.2304e-03,4.9311e-05,4.6819e-06,4.7062e-08,,,,,,            1.8930,            4.4462,            5.7150,            9.0241,          -15.2858,           -1.0292,           -1.4794,           -0.6160,            0.1111,          -25.8030,
Ref 13,5.48468e-08,,,,,,1.1981e-02,4.2118e-03,4.9032e-05,4.6428e-06,4.9533e-08,,,,,,,,,,,
Sam 13,5.32896e-08,1.20039e-02,4.2305e-03,4.9318e-05,4.6843e-06,4.8068e-08,,,,,,            1.8849,            4.4401,            5.8225,            8.7508,           10.7271,           -1.0376,           -1.4854,           -0.4950,           -0.1479,           -0.0475,
Ref 14,5.38344e-08,,,,,,1.1981e-02,4.2118e-03,4.9033e-05,4.6445e-06,4.5545e-08,,,,,,,,,,,
Sam 14,5.22587e-08,1.20040e-02,4.2306e-03,4.9325e-05,4.6848e-06,4.8571e-08,,,,,,            1.8890,            4.4360,            5.9652,            8.7653,           49.1210,           -1.0330,           -1.4895,           -0.3535,           -0.1253,           37.9408,
Ref 15,5.28507e-08,,,,,,1.1981e-02,4.2119e-03,4.9033e-05,4.6437e-06,4.7063e-08,,,,,,,,,,,
Sam 15,5.12540e-08,1.20039e-02,4.2306e-03,4.9322e-05,4.6821e-06,4.5912e-08,,,,,,            1.8827,            4.4267,            5.9017,            8.1993,          -15.7210,           -1.0394,           -1.4988,           -0.4009,           -0.6677,          -26.1858,
Ref 16,5.18909e-08,,,,,,1.1981e-02,4.2120e-03,4.9032e-05,4.6444e-06,4.6221e-08,,,,,,,,,,,
Sam 16,5.02796e-08,1.20040e-02,4.2307e-03,4.9328e-05,4.6842e-06,4.5088e-08,,,,,,            1.8869,            4.4391,            5.9173,            8.7402,          -28.8781,           -1.0354,           -1.4865,           -0.4019,           -0.1562,          -39.2306,
Ref 17,5.09561e-08,,,,,,1.1981e-02,4.2120e-03,4.9043e-05,4.6429e-06,4.6640e-08,,,,,,,,,,,
Sam 17,4.93274e-08,1.20039e-02,4.2307e-03,4.9332e-05,4.6849e-06,4.4468e-08,,,,,,            1.8763,            4.4363,            5.9007,            9.1269,          -10.5281,           -1.0465,           -1.4892,           -0.4048,            0.2325,          -21.0600,
Ref 18,5.00419e-08,,,,,,1.1981e-02,4.2121e-03,4.9042e-05,4.6420e-06,4.3212e-08,,,,,,,,,,,
Sam 18,4.84039e-08,1.20041e-02,4.2308e-03,4.9332e-05,4.6833e-06,4.4921e-08,,,,,,            1.8897,            4.4419,            5.8751,            8.5239,            2.2652,           -1.0325,           -1.4836,           -0.4495,           -0.3763,           -8.4278,
Ref 19,4.91476e-08,,,,,,1.1981e-02,4.2121e-03,4.9046e-05,4.6455e-06,4.6457e-08,,,,,,,,,,,
Sam 19,4.74923e-08,1.20040e-02,4.2308e-03,4.9334e-05,4.6862e-06,4.7708e-08,,,,,,            1.8812,            4.4290,            5.9082,            8.8679,           68.1709,           -1.0411,           -1.4965,           -0.3951,           -0.0096,           56.8110,
Ref 20,4.82725e-08,,,,,,1.1981e-02,4.2121e-03,4.9042e-05,4.6444e-06,4.2836e-08,,,,,,,,,,,
Sam 20,4.66002e-08,1.20040e-02,4.2309e-03,4.9333e-05,4.6797e-06,4.7355e-08,,,,,,            1.8834,            4.4393,            5.8946,            7.5541,           99.7994,           -1.0391,           -1.4862,           -0.4211,           -1.3323,           88.0787,
Ref 21,4.74226e-08,,,,,,1.1982e-02,4.2122e-03,4.9046e-05,4.6448e-06,4.3283e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.70093e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6451e-06,4.3447e-08,
Sam 1,4.52990e-08,1.20041e-02,4.2309e-03,4.9333e-05,4.6868e-06,4.4969e-08,,,,,,            1.8847,            4.4298,            5.8447,            8.8568,           33.8441,           -1.0374,           -1.4957,           -0.4627,           -0.0223,           22.8438,
Ref 2,4.61821e-08,,,,,,1.1982e-02,4.2123e-03,4.9047e-05,4.6463e-06,4.3547e-08,,,,,,,,,,,
Sam 2,4.44556e-08,1.20041e-02,4.2310e-03,4.9338e-05,4.6847e-06,4.8839e-08,,,,,,            1.8774,            4.4370,            5.8540,            8.3050,           97.1658,           -1.0454,           -1.4885,           -0.4530,           -0.5835,           85.4849,
Ref 3,4.53748e-08,,,,,,1.1982e-02,4.2123e-03,4.9055e-05,4.6459e-06,4.5497e-08,,,,,,,,,,,
Sam 3,4.36371e-08,1.20040e-02,4.2309e-03,4.9335e-05,4.6852e-06,4.7329e-08,,,,,,            1.8800,            4.4285,            5.7225,            8.7503,           50.1703,           -1.0424,           -1.4970,           -0.5780,           -0.1251,           39.0043,
Ref 4,4.45880e-08,,,,,,1.1981e-02,4.2123e-03,4.9053e-05,4.6432e-06,4.4631e-08,,,,,,,,,,,
Sam 4,4.28408e-08,1.20041e-02,4.2311e-03,4.9344e-05,4.6875e-06,4.8301e-08,,,,,,            1.8965,            4.4452,            5.9539,            9.2073,           87.4294,           -1.0254,           -1.4803,           -0.3814,            0.2944,           75.8131,
Ref 5,4.38182e-08,,,,,,1.1981e-02,4.2124e-03,4.9050e-05,4.6462e-06,4.4199e-08,,,,,,,,,,,
Sam 5,4.20666e-08,1.20040e-02,4.2311e-03,4.9341e-05,4.6871e-06,4.6818e-08,,,,,,            1.8812,            4.4262,            5.8907,            8.8498,           72.3596,           -1.0409,           -1.4993,           -0.4099,           -0.0220,           60.9610,
Ref 6,4.30687e-08,,,,,,1.1982e-02,4.2124e-03,4.9055e-05,4.6457e-06,4.3108e-08,,,,,,,,,,,
Sam 6,4.13114e-08,1.20041e-02,4.2311e-03,4.9343e-05,4.6863e-06,4.4648e-08,,,,,,            1.8851,            4.4329,            5.8229,            8.8023,            5.5332,           -1.0370,           -1.4926,           -0.4878,           -0.0824,           -5.1723,
Ref 7,4.23268e-08,,,,,,1.1982e-02,4.2125e-03,4.9059e-05,4.6450e-06,4.5719e-08,,,,,,,,,,,
Sam 7,4.05718e-08,1.20040e-02,4.2310e-03,4.9345e-05,4.6893e-06,4.6418e-08,,,,,,            1.8739,            4.4130,            5.8429,            9.5058,           -3.7826,           -1.0483,           -1.5124,           -0.4369,            0.6545,          -14.3387,
Ref 8,4.16069e-08,,,,,,1.1982e-02,4.2124e-03,4.9058e-05,4.6452e-06,4.7485e-08,,,,,,,,,,,
Sam 8,3.98585e-08,1.20040e-02,4.2311e-03,4.9347e-05,4.6841e-06,4.8877e-08,,,,,,            1.8776,            4.4270,            5.8978,            8.2276,           24.2511,           -1.0449,           -1.4985,           -0.3998,           -0.6402,           13.3662,
Ref 9,4.09052e-08,,,,,,1.1981e-02,4.2124e-03,4.9056e-05,4.6466e-06,4.7959e-08,,,,,,,,,,,
Sam 9,3.91569e-08,1.20040e-02,4.2311e-03,4.9339e-05,4.6865e-06,5.0164e-08,,,,,,            1.8821,            4.4191,            5.8018,            8.6438,           61.1127,           -1.0398,           -1.5063,           -0.4921,           -0.2121,           49.8473,
Ref 10,4.02164e-08,,,,,,1.1981e-02,4.2125e-03,4.9053e-05,4.6461e-06,4.6579e-08,,,,,,,,,,,
Sam 10,3.84766e-08,1.20038e-02,4.2312e-03,4.9349e-05,4.6848e-06,4.7552e-08,,,,,,            1.8715,            4.4307,            5.9771,            8.3261,           80.8775,           -1.0514,           -1.4947,           -0.3185,           -0.5500,           69.3899,
Ref 11,3.95464e-08,,,,,,1.1981e-02,4.2125e-03,4.9058e-05,4.6462e-06,4.1364e-08,,,,,,,,,,,
Sam 11,3.78114e-08,1.20039e-02,4.2311e-03,4.9347e-05,4.6870e-06,4.1569e-08,,,,,,            1.8763,            4.4072,            5.9287,            8.7966,          -19.8172,           -1.0455,           -1.5181,           -0.3485,           -0.0370,          -30.1950,
Ref 12,3.88870e-08,,,,,,1.1981e-02,4.2126e-03,4.9055e-05,4.6461e-06,4.3472e-08,,,,,,,,,,,
Sam 12,3.71624e-08,1.20038e-02,4.2312e-03,4.9349e-05,4.6884e-06,4.2170e-08,,,,,,            1.8671,            4.4180,            5.9354,            9.2518,          -15.6514,           -1.0558,           -1.5074,           -0.3429,            0.3927,          -26.0843,
Ref 13,3.82648e-08,,,,,,1.1982e-02,4.2126e-03,4.9060e-05,4.6448e-06,4.2198e-08,,,,,,,,,,,
Sam 13,3.65474e-08,1.20038e-02,4.2312e-03,4.9350e-05,4.6872e-06,4.2087e-08,,,,,,            1.8657,            4.4188,            5.9187,            9.1435,           40.9866,           -1.0572,           -1.5066,           -0.3588,            0.2839,           29.9534,
Ref 14,3.76445e-08,,,,,,1.1981e-02,4.2126e-03,4.9061e-05,4.6447e-06,3.8632e-08,,,,,,,,,,,
Sam 14,3.59329e-08,1.20040e-02,4.2312e-03,4.9349e-05,4.6899e-06,4.1582e-08,,,,,,            1.8832,            4.4253,            5.8430,            9.5695,           43.2746,           -1.0389,           -1.5001,           -0.4584,            0.6931,           32.1848,
Ref 15,3.70396e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6463e-06,4.1103e-08,,,,,,,,,,,
Sam 15,3.53227e-08,1.20040e-02,4.2312e-03,4.9345e-05,4.6892e-06,4.1875e-08,,,,,,            1.8928,            4.4211,            5.7560,            9.2649,           28.6136,           -1.0285,           -1.5043,           -0.5506,            0.3996,           17.6776,
Ref 16,3.64398e-08,,,,,,1.1981e-02,4.2126e-03,4.9063e-05,4.6460e-06,4.0312e-08,,,,,,,,,,,
Sam 16,3.47209e-08,1.20039e-02,4.2312e-03,4.9350e-05,4.6899e-06,4.3229e-08,,,,,,            1.8869,            4.4199,            5.7662,            9.6696,           10.9270,           -1.0347,           -1.5055,           -0.5333,            0.8031,            0.1876,
Ref 17,3.58434e-08,,,,,,1.1981e-02,4.2125e-03,4.9070e-05,4.6439e-06,4.5253e-08,,,,,,,,,,,
Sam 17,3.41327e-08,1.20037e-02,4.2311e-03,4.9344e-05,4.6817e-06,4.5342e-08,,,,,,            1.8784,            4.3982,            5.6257,            7.8840,           46.5508,           -1.0430,           -1.5272,           -0.6429,           -0.9235,           35.4865,
Ref 18,3.52778e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6463e-06,4.1366e-08,,,,,,,,,,,
Sam 18,3.35639e-08,1.20039e-02,4.2311e-03,4.9350e-05,4.6875e-06,4.1491e-08,,,,,,            1.8768,            4.4055,            5.8352,            9.5527,          -23.7668,           -1.0449,           -1.5198,           -0.4403,            0.7159,          -34.1000,
Ref 19,3.47102e-08,,,,,,1.1981e-02,4.2125e-03,4.9061e-05,4.6400e-06,4.3655e-08,,,,,,,,,,,
Sam 19,3.30029e-08,1.20037e-02,4.2311e-03,4.9350e-05,4.6873e-06,3.9173e-08,,,,,,            1.8660,            4.4081,            5.9118,            9.1370,          -32.8073,           -1.0565,           -1.5172,           -0.3556,            0.2987,          -43.0387,
Ref 20,3.41590e-08,,,,,,1.1981e-02,4.2125e-03,4.9059e-05,4.6498e-06,3.7297e-08,,,,,,,,,,,
Sam 20,3.24564e-08,1.20037e-02,4.2311e-03,4.9349e-05,4.6857e-06,4.2681e-08,,,,,,            1.8745,            4.4152,            5.8502,            7.6159,            0.5930,           -1.0477,           -1.5101,           -0.4324,           -1.2233,          -10.0145,
Ref 21,3.36176e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6509e-06,4.8100e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.33570e-08,,,,,,1.1981e-02,4.2125e-03,4.9061e-05,4.6421e-06,4.3298e-08,
Sam 1,3.16671e-08,1.20035e-02,4.2311e-03,4.9350e-05,4.6911e-06,4.3993e-08,,,,,,            1.8612,            4.4380,            5.8747,           10.2976,           20.7865,           -1.0627,           -1.4874,           -0.4168,            1.3895,            9.9341,
Ref 2,3.28330e-08,,,,,,1.1981e-02,4.2124e-03,4.9063e-05,4.6445e-06,4.2894e-08,,,,,,,,,,,
Sam 2,3.11535e-08,1.20034e-02,4.2311e-03,4.9349e-05,4.6846e-06,4.1045e-08,,,,,,            1.8691,            4.4226,            5.7470,            8.8202,            3.4107,           -1.0538,           -1.5029,           -0.5366,           -0.0441,           -7.2352,
Ref 3,3.23135e-08,,,,,,1.1981e-02,4.2125e-03,4.9070e-05,4.6428e-06,3.8885e-08,,,,,,,,,,,
Sam 3,3.06483e-08,1.20033e-02,4.2311e-03,4.9351e-05,4.6859e-06,3.9277e-08,,,,,,            1.8729,            4.4120,            5.7919,            8.4526,            5.6221,           -1.0493,           -1.5134,           -0.4856,           -0.3874,           -5.0307,
Ref 4,3.18136e-08,,,,,,1.1981e-02,4.2125e-03,4.9062e-05,4.6504e-06,3.9232e-08,,,,,,,,,,,
Sam 4,3.01609e-08,1.20034e-02,4.2311e-03,4.9346e-05,4.6887e-06,3.4558e-08,,,,,,            1.8743,            4.4218,            5.7784,            9.2760,          -71.2591,           -1.0482,           -1.5036,           -0.5102,            0.4091,          -81.1166,
Ref 5,3.13221e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6408e-06,3.5155e-08,,,,,,,,,,,
Sam 5,2.96845e-08,1.20034e-02,4.2310e-03,4.9350e-05,4.6846e-06,3.3179e-08,,,,,,            1.8819,            4.4214,            5.9411,            9.1659,          -86.1191,           -1.0401,           -1.5041,           -0.3557,            0.3010,          -95.8253,
Ref 6,3.08439e-08,,,,,,1.1981e-02,4.2123e-03,4.9053e-05,4.6433e-06,3.7474e-08,,,,,,,,,,,
Sam 6,2.92187e-08,1.20034e-02,4.2310e-03,4.9349e-05,4.6837e-06,4.1150e-08,,,,,,            1.8840,            4.4198,            5.9221,            8.4778,           47.7984,           -1.0377,           -1.5056,           -0.3753,           -0.3780,           36.6708,
Ref 7,3.03775e-08,,,,,,1.1981e-02,4.2124e-03,4.9063e-05,4.6453e-06,4.1099e-08,,,,,,,,,,,
Sam 7,2.87612e-08,1.20033e-02,4.2311e-03,4.9358e-05,4.6837e-06,3.5991e-08,,,,,,            1.8777,            4.4295,            6.0205,            8.3843,          -82.3086,           -1.0448,           -1.4959,           -0.2806,           -0.4900,          -92.0657,
Ref 8,2.99148e-08,,,,,,1.1981e-02,4.2124e-03,4.9062e-05,4.6441e-06,3.7311e-08,,,,,,,,,,,
Sam 8,2.83167e-08,1.20033e-02,4.2310e-03,4.9347e-05,4.6844e-06,3.6986e-08,,,,,,            1.8788,            4.4072,            5.7335,            8.4714,          -24.9968,           -1.0429,           -1.5181,           -0.5449,           -0.3593,          -35.3222,
Ref 9,2.94653e-08,,,,,,1.1981e-02,4.2124e-03,4.9069e-05,4.6459e-06,3.8566e-08,,,,,,,,,,,
Sam 9,2.78799e-08,1.20032e-02,4.2310e-03,4.9347e-05,4.6848e-06,3.7950e-08,,,,,,            1.8798,            4.3966,            5.7124,            8.9166,          -22.5583,           -1.0415,           -1.5288,           -0.5566,            0.1032,          -32.8904,
Ref 10,2.90251e-08,,,,,,1.1981e-02,4.2124e-03,4.9065e-05,4.6408e-06,3.9089e-08,,,,,,,,,,,
Sam 10,2.74518e-08,1.20032e-02,4.2310e-03,4.9346e-05,4.6829e-06,3.5845e-08,,,,,,            1.8800,            4.4160,            5.7960,            8.9357,           -5.6858,           -1.0419,           -1.5094,           -0.4927,            0.0836,          -16.2339,
Ref 11,2.85871e-08,,,,,,1.1981e-02,4.2124e-03,4.9059e-05,4.6419e-06,3.2964e-08,,,,,,,,,,,
Sam 11,2.70292e-08,1.20031e-02,4.2310e-03,4.9353e-05,4.6794e-06,3.1470e-08,,,,,,            1.8628,            4.4231,            5.9683,            7.8782,           22.0166,           -1.0605,           -1.5023,           -0.3107,           -0.9789,           11.1789,
Ref 12,2.81656e-08,,,,,,1.1981e-02,4.2124e-03,4.9062e-05,4.6438e-06,2.8588e-08,,,,,,,,,,,
Sam 12,2.66233e-08,1.20031e-02,4.2309e-03,4.9349e-05,4.6815e-06,2.8451e-08,,,,,,            1.8718,            4.3948,            5.8819,            8.0795,           35.8904,           -1.0499,           -1.5305,           -0.3782,           -0.7229,           24.9528,
Ref 13,2.77537e-08,,,,,,1.1980e-02,4.2124e-03,4.9060e-05,4.6442e-06,2.6326e-08,,,,,,,,,,,
Sam 13,2.62236e-08,1.20030e-02,4.2310e-03,4.9352e-05,4.6842e-06,3.0964e-08,,,,,,            1.8742,            4.4159,            5.9297,            9.0506,          113.6633,           -1.0481,           -1.5095,           -0.3538,            0.1977,          101.8562,
Ref 14,2.73491e-08,,,,,,1.1981e-02,4.2123e-03,4.9063e-05,4.6402e-06,2.9304e-08,,,,,,,,,,,
Sam 14,2.58319e-08,1.20029e-02,4.2310e-03,4.9355e-05,4.6846e-06,2.6782e-08,,,,,,            1.8799,            4.4309,            5.9114,            9.2630,           25.9780,           -1.0425,           -1.4946,           -0.3925,            0.3782,           15.0644,
Ref 15,2.69514e-08,,,,,,1.1980e-02,4.2122e-03,4.9067e-05,4.6430e-06,2.2856e-08,,,,,,,,,,,
Sam 15,2.54473e-08,1.20029e-02,4.2309e-03,4.9343e-05,4.6839e-06,2.8950e-08,,,,,,            1.8771,            4.4313,            5.7116,            9.1123,          178.3564,           -1.0456,           -1.4942,           -0.5885,            0.2280,          165.8246,
Ref 16,2.65578e-08,,,,,,1.1981e-02,4.2122e-03,4.9058e-05,4.6401e-06,2.6306e-08,,,,,,,,,,,
Sam 16,2.50688e-08,1.20029e-02,4.2309e-03,4.9352e-05,4.6834e-06,2.1663e-08,,,,,,            1.8651,            4.4172,            5.9599,            9.6174,         -204.3374,           -1.0579,           -1.5082,           -0.3157,            0.7568,         -212.7675,
Ref 17,2.61748e-08,,,,,,1.1980e-02,4.2123e-03,4.9062e-05,4.6373e-06,2.8159e-08,,,,,,,,,,,
Sam 17,2.46978e-08,1.20029e-02,4.2309e-03,4.9344e-05,4.6845e-06,2.3711e-08,,,,,,            1.8679,            4.4041,            5.6663,            9.9143,         -110.0304,           -1.0544,           -1.5212,           -0.5975,            1.0773,         -119.4397,
Ref 18,2.57993e-08,,,,,,1.1981e-02,4.2124e-03,4.9070e-05,4.6396e-06,2.5104e-08,,,,,,,,,,,
Sam 18,2.43325e-08,1.20029e-02,4.2309e-03,4.9346e-05,4.6793e-06,2.4648e-08,,,,,,            1.8740,            4.4048,            5.6587,            8.6764,          -18.8592,           -1.0479,           -1.5205,           -0.6120,           -0.1513,          -29.2401,
Ref 19,2.54284e-08,,,,,,1.1980e-02,4.2123e-03,4.9067e-05,4.6384e-06,2.5140e-08,,,,,,,,,,,
Sam 19,2.39740e-08,1.20028e-02,4.2308e-03,4.9344e-05,4.6814e-06,2.3428e-08,,,,,,            1.8696,            4.4039,            5.6911,            9.2184,          -40.4977,           -1.0526,           -1.5214,           -0.5744,            0.3878,          -50.6435,
Ref 20,2.50669e-08,,,,,,1.1980e-02,4.2123e-03,4.9062e-05,4.6388e-06,2.3683e-08,,,,,,,,,,,
Sam 20,2.36256e-08,1.20027e-02,4.2308e-03,4.9347e-05,4.6772e-06,2.8867e-08,,,,,,            1.8595,            4.4023,            5.8305,            8.2262,          191.1384,           -1.0632,           -1.5230,           -0.4240,           -0.5926,          178.5594,
Ref 21,2.47154e-08,,,,,,1.1980e-02,4.2122e-03,4.9061e-05,4.6392e-06,2.4794e-08,,,,,,,,,,,


