Nu Stable Isotope Analysis Program
Data Collected on Friday, May 12, 2023 at 08:43 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 12, 2023 at 09:42 with Stable 1.71.5 on PS019

Data File = Data_19587 IAEA-C2.txt,       Sample Weight = 427,                      Vial Location = 29,                       Initial Sam Beam = 1.3337e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6896e-08,                Max Ref Beam = 1.0665e-07,                

Analysis undertaken at mass 46.04354
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.98014e-08,,,,,,1.1981e-02,4.2120e-03,4.9046e-05,4.6419e-06,4.8131e-08,
Sam 1,4.91041e-08,1.19230e-02,4.2308e-03,4.9001e-05,4.6838e-06,5.0202e-08,,,,,,           -4.8891,            4.4171,           -0.9637,            8.8731,           21.7393,           -8.2461,           -1.4936,           -0.2509,            0.0193,           18.2113,
Ref 2,4.88861e-08,,,,,,1.1982e-02,4.2123e-03,4.9051e-05,4.6433e-06,5.0155e-08,,,,,,,,,,,
Sam 2,4.81488e-08,1.19232e-02,4.2309e-03,4.9000e-05,4.6835e-06,5.3319e-08,,,,,,           -4.8875,            4.4133,           -0.9999,            8.7296,           43.7609,           -8.2442,           -1.4973,           -0.2852,           -0.1155,           40.1626,
Ref 3,4.80133e-08,,,,,,1.1982e-02,4.2124e-03,4.9047e-05,4.6425e-06,5.2028e-08,,,,,,,,,,,
Sam 3,4.72329e-08,1.19232e-02,4.2310e-03,4.9005e-05,4.6836e-06,5.0813e-08,,,,,,           -4.8990,            4.4086,           -0.8628,            8.6268,           -5.9623,           -8.2564,           -1.5019,           -0.1315,           -0.2081,           -9.3678,
Ref 4,4.71695e-08,,,,,,1.1982e-02,4.2125e-03,4.9047e-05,4.6446e-06,5.0191e-08,,,,,,,,,,,
Sam 4,4.63394e-08,1.19233e-02,4.2310e-03,4.9010e-05,4.6844e-06,5.0766e-08,,,,,,           -4.8979,            4.3938,           -0.8010,            8.6027,            8.7579,           -8.2547,           -1.5167,           -0.0563,           -0.2026,            5.3298,
Ref 5,4.63387e-08,,,,,,1.1982e-02,4.2125e-03,4.9051e-05,4.6443e-06,5.0462e-08,,,,,,,,,,,
Sam 5,4.54677e-08,1.19232e-02,4.2310e-03,4.9013e-05,4.6835e-06,5.2023e-08,,,,,,           -4.9009,            4.3976,           -0.8313,            8.5702,           22.2625,           -8.2580,           -1.5129,           -0.0872,           -0.2422,           18.7843,
Ref 6,4.55249e-08,,,,,,1.1982e-02,4.2125e-03,4.9058e-05,4.6431e-06,5.1325e-08,,,,,,,,,,,
Sam 6,4.46211e-08,1.19232e-02,4.2310e-03,4.9006e-05,4.6839e-06,5.2617e-08,,,,,,           -4.8977,            4.3866,           -1.0095,            8.9044,            7.6836,           -8.2542,           -1.5239,           -0.2580,            0.1110,            4.2733,
Ref 7,4.47353e-08,,,,,,1.1982e-02,4.2126e-03,4.9052e-05,4.6421e-06,5.3122e-08,,,,,,,,,,,
Sam 7,4.37946e-08,1.19233e-02,4.2311e-03,4.9009e-05,4.6881e-06,5.3590e-08,,,,,,           -4.8909,            4.4043,           -0.9559,            9.6982,            9.9264,           -8.2475,           -1.5063,           -0.2288,            0.8626,            6.4662,
Ref 8,4.39626e-08,,,,,,1.1982e-02,4.2126e-03,4.9060e-05,4.6441e-06,5.3002e-08,,,,,,,,,,,
Sam 8,4.29858e-08,1.19233e-02,4.2312e-03,4.9006e-05,4.6841e-06,5.2518e-08,,,,,,           -4.8876,            4.4080,           -1.1086,            8.6048,          -50.1228,           -8.2441,           -1.5026,           -0.3887,           -0.2286,          -53.3874,
Ref 9,4.32041e-08,,,,,,1.1982e-02,4.2126e-03,4.9061e-05,4.6441e-06,5.7616e-08,,,,,,,,,,,
Sam 9,4.22041e-08,1.19232e-02,4.2312e-03,4.9014e-05,4.6875e-06,5.3546e-08,,,,,,           -4.8939,            4.4233,           -0.9116,            9.1565,          -28.8552,           -8.2514,           -1.4874,           -0.2000,            0.2878,          -32.2153,
Ref 10,4.24656e-08,,,,,,1.1982e-02,4.2126e-03,4.9057e-05,4.6459e-06,5.2614e-08,,,,,,,,,,,
Sam 10,4.14265e-08,1.19231e-02,4.2312e-03,4.9012e-05,4.6903e-06,5.1948e-08,,,,,,           -4.9021,            4.4069,           -0.8740,            9.3603,          -12.2634,           -8.2596,           -1.5036,           -0.1378,            0.5223,          -15.6409,
Ref 11,4.17310e-08,,,,,,1.1982e-02,4.2126e-03,4.9053e-05,4.6476e-06,5.2572e-08,,,,,,,,,,,
Sam 11,4.06842e-08,1.19231e-02,4.2312e-03,4.9014e-05,4.6868e-06,5.3410e-08,,,,,,           -4.8897,            4.4153,           -0.8795,            8.4611,           -4.2137,           -8.2467,           -1.4953,           -0.1644,           -0.3857,           -7.6481,
Ref 12,4.10249e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6473e-06,5.4719e-08,,,,,,,,,,,
Sam 12,3.99514e-08,1.19232e-02,4.2312e-03,4.9018e-05,4.6872e-06,5.7039e-08,,,,,,           -4.8871,            4.4036,           -0.9114,            9.1453,            4.5839,           -8.2435,           -1.5070,           -0.1875,            0.3159,            1.1394,
Ref 13,4.03400e-08,,,,,,1.1982e-02,4.2127e-03,4.9063e-05,4.6421e-06,5.8875e-08,,,,,,,,,,,
Sam 13,3.92455e-08,1.19231e-02,4.2312e-03,4.9016e-05,4.6890e-06,5.4589e-08,,,,,,           -4.8893,            4.4106,           -0.9409,            9.4406,          -39.8062,           -8.2461,           -1.5000,           -0.2217,            0.5947,          -43.1094,
Ref 14,3.96658e-08,,,,,,1.1982e-02,4.2126e-03,4.9061e-05,4.6481e-06,5.4795e-08,,,,,,,,,,,
Sam 14,3.85524e-08,1.19231e-02,4.2312e-03,4.9021e-05,4.6875e-06,5.3687e-08,,,,,,           -4.8782,            4.4105,           -0.8544,            8.7970,          -15.0414,           -8.2342,           -1.5002,           -0.1465,           -0.0430,          -18.4413,
Ref 15,3.90053e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6451e-06,5.4215e-08,,,,,,,,,,,
Sam 15,3.78738e-08,1.19231e-02,4.2312e-03,4.9024e-05,4.6902e-06,5.5390e-08,,,,,,           -4.8848,            4.3960,           -0.8318,            9.3690,           11.0913,           -8.2408,           -1.5145,           -0.1029,            0.5528,            7.6369,
Ref 16,3.83561e-08,,,,,,1.1982e-02,4.2126e-03,4.9065e-05,4.6483e-06,5.5360e-08,,,,,,,,,,,
Sam 16,3.72115e-08,1.19229e-02,4.2311e-03,4.9017e-05,4.6870e-06,5.7107e-08,,,,,,           -4.8978,            4.4026,           -0.9538,            8.5224,           24.3699,           -8.2549,           -1.5079,           -0.2179,           -0.2996,           20.8711,
Ref 17,3.77265e-08,,,,,,1.1982e-02,4.2126e-03,4.9063e-05,4.6465e-06,5.6142e-08,,,,,,,,,,,
Sam 17,3.65677e-08,1.19230e-02,4.2312e-03,4.9021e-05,4.6886e-06,6.0596e-08,,,,,,           -4.8857,            4.4090,           -0.9266,            9.2472,           44.8534,           -8.2422,           -1.5016,           -0.2095,            0.4061,           41.2581,
Ref 18,3.71106e-08,,,,,,1.1981e-02,4.2127e-03,4.9071e-05,4.6446e-06,5.9878e-08,,,,,,,,,,,
Sam 18,3.59484e-08,1.19229e-02,4.2313e-03,4.9020e-05,4.6870e-06,5.5328e-08,,,,,,           -4.8933,            4.4026,           -1.0296,            9.1774,          -45.4614,           -8.2500,           -1.5080,           -0.2984,            0.3497,          -48.7263,
Ref 19,3.65182e-08,,,,,,1.1982e-02,4.2127e-03,4.9070e-05,4.6440e-06,5.6017e-08,,,,,,,,,,,
Sam 19,3.53374e-08,1.19230e-02,4.2313e-03,4.9016e-05,4.6866e-06,5.5662e-08,,,,,,           -4.8815,            4.4215,           -1.0711,            9.3232,          -19.6121,           -8.2382,           -1.4892,           -0.3706,            0.4566,          -23.0137,
Ref 20,3.58885e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6426e-06,5.7548e-08,,,,,,,,,,,
Sam 20,3.46898e-08,1.19229e-02,4.2312e-03,4.9014e-05,4.6881e-06,5.7794e-08,,,,,,           -4.8825,            4.3937,           -1.1006,            9.2766,            4.4750,           -8.2382,           -1.5168,           -0.3720,            0.4657,            1.0452,
Ref 21,3.53525e-08,,,,,,1.1981e-02,4.2127e-03,4.9069e-05,4.6474e-06,5.7525e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.50723e-08,,,,,,1.1982e-02,4.2127e-03,4.9074e-05,4.6460e-06,5.5976e-08,
Sam 1,3.38463e-08,1.19229e-02,4.2312e-03,4.9024e-05,4.6868e-06,5.8056e-08,,,,,,           -4.8894,            4.4120,           -1.0502,            8.6137,           26.1415,           -8.2462,           -1.4986,           -0.3323,           -0.2278,           22.6087,
Ref 2,3.45132e-08,,,,,,1.1981e-02,4.2126e-03,4.9078e-05,4.6475e-06,5.7188e-08,,,,,,,,,,,
Sam 2,3.32422e-08,1.19227e-02,4.2312e-03,4.9027e-05,4.6890e-06,5.7874e-08,,,,,,           -4.8903,            4.4067,           -0.9235,            8.7767,            8.4838,           -8.2470,           -1.5038,           -0.1994,           -0.0558,            5.0230,
Ref 3,3.39127e-08,,,,,,1.1981e-02,4.2125e-03,4.9067e-05,4.6489e-06,5.7589e-08,,,,,,,,,,,
Sam 3,3.26693e-08,1.19226e-02,4.2311e-03,4.9026e-05,4.6897e-06,5.7280e-08,,,,,,           -4.8906,            4.3927,           -0.8627,            8.9074,          -28.1160,           -8.2469,           -1.5178,           -0.1244,            0.1018,          -31.4241,
Ref 4,3.34026e-08,,,,,,1.1981e-02,4.2126e-03,4.9069e-05,4.6476e-06,6.0305e-08,,,,,,,,,,,
Sam 4,3.21748e-08,1.19228e-02,4.2312e-03,4.9024e-05,4.6848e-06,5.7832e-08,,,,,,           -4.8754,            4.4161,           -0.9722,            8.1297,          -72.6917,           -8.2314,           -1.4946,           -0.2727,           -0.7156,          -75.9055,
Ref 5,3.29097e-08,,,,,,1.1981e-02,4.2126e-03,4.9075e-05,4.6465e-06,6.4457e-08,,,,,,,,,,,
Sam 5,3.16465e-08,1.19226e-02,4.2312e-03,4.9030e-05,4.6905e-06,6.1301e-08,,,,,,           -4.8931,            4.3983,           -0.9157,            9.0404,          -42.3282,           -8.2497,           -1.5123,           -0.1805,            0.2225,          -45.5959,
Ref 6,3.24003e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6504e-06,6.3556e-08,,,,,,,,,,,
Sam 6,3.11360e-08,1.19225e-02,4.2312e-03,4.9036e-05,4.6921e-06,5.8268e-08,,,,,,           -4.8959,            4.3962,           -0.8647,            8.8855,          -84.9458,           -8.2526,           -1.5144,           -0.1244,            0.0731,          -88.0616,
Ref 7,3.19084e-08,,,,,,1.1981e-02,4.2126e-03,4.9082e-05,4.6512e-06,6.3801e-08,,,,,,,,,,,
Sam 7,3.06271e-08,1.19225e-02,4.2312e-03,4.9035e-05,4.6908e-06,6.4836e-08,,,,,,           -4.9002,            4.4161,           -0.9666,            8.7640,           38.3518,           -8.2578,           -1.4945,           -0.2415,           -0.0869,           34.7805,
Ref 8,3.14059e-08,,,,,,1.1981e-02,4.2126e-03,4.9083e-05,4.6489e-06,6.1059e-08,,,,,,,,,,,
Sam 8,3.01272e-08,1.19226e-02,4.2312e-03,4.9035e-05,4.6934e-06,6.3983e-08,,,,,,           -4.8949,            4.3970,           -1.0067,           10.0367,           41.1367,           -8.2516,           -1.5135,           -0.2685,            1.2126,           37.5888,
Ref 9,3.09226e-08,,,,,,1.1981e-02,4.2126e-03,4.9085e-05,4.6445e-06,6.1857e-08,,,,,,,,,,,
Sam 9,2.96417e-08,1.19225e-02,4.2311e-03,4.9034e-05,4.6918e-06,6.4445e-08,,,,,,           -4.8903,            4.4049,           -0.9339,            9.7415,           30.3046,           -8.2469,           -1.5056,           -0.2081,            0.9042,           26.7726,
Ref 10,3.04462e-08,,,,,,1.1981e-02,4.2125e-03,4.9074e-05,4.6485e-06,6.3253e-08,,,,,,,,,,,
Sam 10,2.91656e-08,1.19224e-02,4.2311e-03,4.9029e-05,4.6951e-06,6.6362e-08,,,,,,           -4.8889,            4.4028,           -0.9436,           10.0163,            8.2370,           -8.2454,           -1.5077,           -0.2171,            1.1807,            4.7833,
Ref 11,2.99793e-08,,,,,,1.1981e-02,4.2126e-03,4.9077e-05,4.6485e-06,6.8426e-08,,,,,,,,,,,
Sam 11,2.87009e-08,1.19224e-02,4.2311e-03,4.9043e-05,4.6897e-06,6.9081e-08,,,,,,           -4.8873,            4.3804,           -0.7482,            8.4733,            9.7455,           -8.2429,           -1.5301,           -0.0013,           -0.3041,            6.3291,
Ref 12,2.95215e-08,,,,,,1.1981e-02,4.2126e-03,4.9082e-05,4.6521e-06,6.8403e-08,,,,,,,,,,,
Sam 12,2.82480e-08,1.19223e-02,4.2310e-03,4.9042e-05,4.6905e-06,6.3099e-08,,,,,,           -4.8919,            4.3765,           -0.8080,            8.2434,          -60.7545,           -8.2476,           -1.5339,           -0.0526,           -0.5243,          -63.9207,
Ref 13,2.90809e-08,,,,,,1.1981e-02,4.2126e-03,4.9082e-05,4.6522e-06,6.5940e-08,,,,,,,,,,,
Sam 13,2.78122e-08,1.19225e-02,4.2311e-03,4.9034e-05,4.6946e-06,7.0742e-08,,,,,,           -4.8792,            4.3969,           -0.9804,            9.2481,           56.8410,           -8.2349,           -1.5137,           -0.2582,            0.4312,           53.2222,
Ref 14,2.86476e-08,,,,,,1.1981e-02,4.2125e-03,4.9082e-05,4.6510e-06,6.7949e-08,,,,,,,,,,,
Sam 14,2.73821e-08,1.19223e-02,4.2311e-03,4.9039e-05,4.6916e-06,6.7145e-08,,,,,,           -4.8858,            4.4040,           -0.9622,            8.2087,          -54.7499,           -8.2421,           -1.5066,           -0.2401,           -0.6133,          -57.9931,
Ref 15,2.82234e-08,,,,,,1.1981e-02,4.2125e-03,4.9091e-05,4.6558e-06,7.4165e-08,,,,,,,,,,,
Sam 15,2.69577e-08,1.19221e-02,4.2310e-03,4.9030e-05,4.6938e-06,7.7316e-08,,,,,,           -4.8907,            4.3958,           -1.1156,            8.6335,           65.0958,           -8.2471,           -1.5147,           -0.3805,           -0.1760,           61.4640,
Ref 16,2.78100e-08,,,,,,1.1981e-02,4.2125e-03,4.9079e-05,4.6514e-06,7.0992e-08,,,,,,,,,,,
Sam 16,2.65477e-08,1.19221e-02,4.2309e-03,4.9047e-05,4.6977e-06,7.3364e-08,,,,,,           -4.8872,            4.3837,           -0.6793,            9.5820,           16.9722,           -8.2430,           -1.5268,            0.0644,            0.7885,           13.5248,
Ref 17,2.74086e-08,,,,,,1.1981e-02,4.2125e-03,4.9082e-05,4.6547e-06,7.3304e-08,,,,,,,,,,,
Sam 17,2.61433e-08,1.19220e-02,4.2310e-03,4.9035e-05,4.6938e-06,7.4492e-08,,,,,,           -4.8971,            4.3903,           -0.9950,            8.6675,          -17.8225,           -8.2537,           -1.5202,           -0.2478,           -0.1312,          -21.1542,
Ref 18,2.70133e-08,,,,,,1.1981e-02,4.2125e-03,4.9086e-05,4.6522e-06,7.8421e-08,,,,,,,,,,,
Sam 18,2.57442e-08,1.19220e-02,4.2311e-03,4.9040e-05,4.6962e-06,8.0057e-08,,,,,,           -4.9097,            4.4147,           -0.9491,            9.3139,           29.3971,           -8.2679,           -1.4959,           -0.2127,            0.4609,           25.8700,
Ref 19,2.66233e-08,,,,,,1.1981e-02,4.2124e-03,4.9087e-05,4.6535e-06,7.7111e-08,,,,,,,,,,,
Sam 19,2.53580e-08,1.19220e-02,4.2310e-03,4.9042e-05,4.6950e-06,7.4359e-08,,,,,,           -4.8945,            4.3968,           -0.9350,            8.5208,          -36.2733,           -8.2511,           -1.5138,           -0.1968,           -0.2895,          -39.5573,
Ref 20,2.62413e-08,,,,,,1.1981e-02,4.2124e-03,4.9088e-05,4.6572e-06,7.7205e-08,,,,,,,,,,,
Sam 20,2.49768e-08,1.19220e-02,4.2310e-03,4.9046e-05,4.6986e-06,8.0692e-08,,,,,,           -4.8841,            4.3966,           -0.8543,            8.9230,           29.6560,           -8.2401,           -1.5139,           -0.1267,            0.1093,           26.1362,
Ref 21,2.58643e-08,,,,,,1.1980e-02,4.2124e-03,4.9087e-05,4.6569e-06,7.9547e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.56797e-08,,,,,,1.1981e-02,4.2124e-03,4.9090e-05,4.6610e-06,8.1393e-08,
Sam 1,2.44193e-08,1.19218e-02,4.2308e-03,4.9044e-05,4.6984e-06,8.6356e-08,,,,,,           -4.9088,            4.3854,           -0.9520,            8.2254,            1.5290,           -8.2659,           -1.5250,           -0.1880,           -0.5598,           -1.8465,
Ref 2,2.53136e-08,,,,,,1.1980e-02,4.2123e-03,4.9090e-05,4.6591e-06,9.1125e-08,,,,,,,,,,,
Sam 2,2.40610e-08,1.19217e-02,4.2308e-03,4.9046e-05,4.6998e-06,8.5948e-08,,,,,,           -4.9017,            4.3852,           -0.9742,            8.1964,          -32.9014,           -8.2583,           -1.5253,           -0.2173,           -0.5881,          -36.1678,
Ref 3,2.49555e-08,,,,,,1.1980e-02,4.2124e-03,4.9098e-05,4.6640e-06,8.6586e-08,,,,,,,,,,,
Sam 3,2.37105e-08,1.19218e-02,4.2308e-03,4.9042e-05,4.6959e-06,9.5250e-08,,,,,,           -4.8893,            4.3891,           -1.0299,            7.1980,           71.4459,           -8.2454,           -1.5214,           -0.2896,           -1.5856,           67.8049,
Ref 4,2.46045e-08,,,,,,1.1980e-02,4.2123e-03,4.9087e-05,4.6606e-06,9.1244e-08,,,,,,,,,,,
Sam 4,2.33641e-08,1.19216e-02,4.2308e-03,4.9044e-05,4.7005e-06,9.0578e-08,,,,,,           -4.9023,            4.3865,           -0.9052,            8.7258,           -3.6954,           -8.2591,           -1.5240,           -0.1488,           -0.0659,           -7.0622,
Ref 5,2.42581e-08,,,,,,1.1980e-02,4.2124e-03,4.9089e-05,4.6591e-06,9.0579e-08,,,,,,,,,,,
Sam 5,2.30239e-08,1.19217e-02,4.2308e-03,4.9051e-05,4.7063e-06,9.3361e-08,,,,,,           -4.8903,            4.3818,           -0.8144,            9.9329,           30.3704,           -8.2461,           -1.5287,           -0.0658,            1.1401,           26.8848,
Ref 6,2.39183e-08,,,,,,1.1980e-02,4.2123e-03,4.9093e-05,4.6609e-06,9.0639e-08,,,,,,,,,,,
Sam 6,2.26930e-08,1.19215e-02,4.2307e-03,4.9053e-05,4.7049e-06,9.7109e-08,,,,,,           -4.8872,            4.3919,           -0.8255,            9.1536,           28.4231,           -8.2432,           -1.5187,           -0.0900,            0.3475,           24.9205,
Ref 7,2.35531e-08,,,,,,1.1980e-02,4.2121e-03,4.9094e-05,4.6637e-06,9.8270e-08,,,,,,,,,,,
Sam 7,2.23395e-08,1.19213e-02,4.2306e-03,4.9040e-05,4.7042e-06,9.7357e-08,,,,,,           -4.8969,            4.3936,           -1.1110,            8.5009,          -17.4066,           -8.2536,           -1.5169,           -0.3674,           -0.3030,          -20.7464,
Ref 8,2.32609e-08,,,,,,1.1980e-02,4.2122e-03,4.9094e-05,4.6655e-06,9.9904e-08,,,,,,,,,,,
Sam 8,2.20465e-08,1.19213e-02,4.2307e-03,4.9051e-05,4.7012e-06,1.0462e-07,,,,,,           -4.9063,            4.4035,           -0.8643,            7.7352,           45.8500,           -8.2639,           -1.5071,           -0.1204,           -1.0816,           42.2856,
Ref 9,2.29397e-08,,,,,,1.1980e-02,4.2121e-03,4.9092e-05,4.6646e-06,1.0017e-07,,,,,,,,,,,
Sam 9,2.17347e-08,1.19214e-02,4.2308e-03,4.9044e-05,4.7079e-06,1.0656e-07,,,,,,           -4.8924,            4.4186,           -1.0859,            9.4451,           47.0644,           -8.2497,           -1.4920,           -0.3714,            0.5832,           43.4494,
Ref 10,2.26265e-08,,,,,,1.1980e-02,4.2121e-03,4.9102e-05,4.6631e-06,1.0339e-07,,,,,,,,,,,
Sam 10,2.14256e-08,1.19214e-02,4.2307e-03,4.9050e-05,4.7040e-06,1.0593e-07,,,,,,           -4.8933,            4.3952,           -1.0169,            8.8358,            5.7879,           -8.2498,           -1.5154,           -0.2785,            0.0258,            2.3624,
Ref 11,2.23167e-08,,,,,,1.1980e-02,4.2122e-03,4.9098e-05,4.6624e-06,1.0726e-07,,,,,,,,,,,
Sam 11,2.11272e-08,1.19213e-02,4.2307e-03,4.9044e-05,4.7022e-06,1.0721e-07,,,,,,           -4.8948,            4.3910,           -1.0816,            8.0563,           -7.2835,           -8.2513,           -1.5195,           -0.3376,           -0.7385,          -10.6548,
Ref 12,2.20159e-08,,,,,,1.1980e-02,4.2121e-03,4.9096e-05,4.6668e-06,1.0874e-07,,,,,,,,,,,
Sam 12,2.08337e-08,1.19212e-02,4.2306e-03,4.9056e-05,4.7050e-06,1.0631e-07,,,,,,           -4.9041,            4.3966,           -0.8621,            8.4501,           -5.5436,           -8.2614,           -1.5139,           -0.1138,           -0.3593,           -8.9218,
Ref 13,2.17187e-08,,,,,,1.1980e-02,4.2121e-03,4.9101e-05,4.6642e-06,1.0504e-07,,,,,,,,,,,
Sam 13,2.05451e-08,1.19213e-02,4.2307e-03,4.9054e-05,4.7057e-06,1.1322e-07,,,,,,           -4.8942,            4.4072,           -0.9462,            8.3137,           36.7056,           -8.2511,           -1.5034,           -0.2186,           -0.5156,           33.1514,
Ref 14,2.14381e-08,,,,,,1.1980e-02,4.2122e-03,4.9101e-05,4.6696e-06,1.1345e-07,,,,,,,,,,,
Sam 14,2.02709e-08,1.19213e-02,4.2306e-03,4.9050e-05,4.7068e-06,1.0944e-07,,,,,,           -4.8846,            4.3834,           -0.9869,            8.0093,          -19.6458,           -8.2402,           -1.5271,           -0.2458,           -0.7699,          -22.9711,
Ref 15,2.11506e-08,,,,,,1.1980e-02,4.2121e-03,4.9097e-05,4.6692e-06,1.0979e-07,,,,,,,,,,,
Sam 15,1.99897e-08,1.19213e-02,4.2306e-03,4.9050e-05,4.7081e-06,1.1606e-07,,,,,,           -4.8888,            4.3830,           -0.9028,            8.5067,           32.3442,           -8.2446,           -1.5275,           -0.1571,           -0.2762,           28.8478,
Ref 16,2.08663e-08,,,,,,1.1980e-02,4.2121e-03,4.9093e-05,4.6675e-06,1.1509e-07,,,,,,,,,,,
Sam 16,1.97126e-08,1.19212e-02,4.2305e-03,4.9057e-05,4.7111e-06,1.1817e-07,,,,,,           -4.8927,            4.3782,           -0.8712,            9.1503,           23.9428,           -8.2486,           -1.5322,           -0.1167,            0.3714,           20.4886,
Ref 17,2.05921e-08,,,,,,1.1980e-02,4.2120e-03,4.9106e-05,4.6692e-06,1.1573e-07,,,,,,,,,,,
Sam 17,1.94484e-08,1.19211e-02,4.2305e-03,4.9060e-05,4.7091e-06,1.1187e-07,,,,,,           -4.8845,            4.3973,           -0.8124,            8.5540,          -23.3209,           -8.2405,           -1.5132,           -0.0851,           -0.2578,          -26.6606,
Ref 18,2.03201e-08,,,,,,1.1980e-02,4.2120e-03,4.9095e-05,4.6690e-06,1.1333e-07,,,,,,,,,,,
Sam 18,1.91831e-08,1.19210e-02,4.2306e-03,4.9057e-05,4.7108e-06,1.1226e-07,,,,,,           -4.8931,            4.4137,           -0.8202,            8.7397,          -19.9607,           -8.2503,           -1.4969,           -0.0999,           -0.1062,          -23.3341,
Ref 19,2.00511e-08,,,,,,1.1980e-02,4.2120e-03,4.9099e-05,4.6709e-06,1.1577e-07,,,,,,,,,,,
Sam 19,1.89228e-08,1.19207e-02,4.2304e-03,4.9058e-05,4.7158e-06,1.2050e-07,,,,,,           -4.9144,            4.3639,           -0.7911,           10.2011,           37.0005,           -8.2712,           -1.5465,            0.0001,            1.4417,           33.5554,
Ref 20,1.97918e-08,,,,,,1.1980e-02,4.2120e-03,4.9095e-05,4.6654e-06,1.1664e-07,,,,,,,,,,,
Sam 20,1.86687e-08,1.19209e-02,4.2305e-03,4.9053e-05,4.7168e-06,1.2079e-07,,,,,,           -4.8883,            4.3882,           -0.9240,           10.8947,           50.4760,           -8.2442,           -1.5223,           -0.1838,            2.0807,           46.9070,
