Nu Stable Isotope Analysis Program
Data Collected on Friday, May 12, 2023 at 11:36 with Stable 1.71.5 on PS019,Reanalyzed on Friday, May 12, 2023 at 12:35 with Stable 1.71.5 on PS019

Data File = Data_19589 AU_GR10_601_9.txt, Sample Weight = 888,                      Vial Location = 31,                       Initial Sam Beam = 2.6447e-08,            ColdFinger Status = CF,                   Min Ref Beam = 4.1850e-08,                Max Ref Beam = 1.0639e-07,                

Analysis undertaken at mass 46.04355
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.97080e-08,,,,,,1.1981e-02,4.2123e-03,4.9063e-05,4.6500e-06,5.6092e-08,
Sam 1,2.28264e-08,1.19855e-02,4.2442e-03,4.9457e-05,4.7232e-06,6.2489e-08,,,,,,            0.3596,            7.5573,            7.9293,           16.1706,          130.6308,           -2.7686,            1.6200,            0.1176,            0.9840,          113.5823,
Ref 2,3.85516e-08,,,,,,1.1981e-02,4.2125e-03,4.9073e-05,4.6460e-06,5.4421e-08,,,,,,,,,,,
Sam 2,2.22265e-08,1.19855e-02,4.2442e-03,4.9446e-05,4.7299e-06,6.9944e-08,,,,,,            0.3584,            7.5332,            7.6492,           17.1520,          201.9956,           -2.7691,            1.5960,           -0.1355,            1.9987,          183.9283,
Ref 3,3.74578e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6543e-06,6.2068e-08,,,,,,,,,,,
Sam 3,2.16526e-08,1.19854e-02,4.2442e-03,4.9461e-05,4.7323e-06,7.8727e-08,,,,,,            0.3564,            7.5178,            7.9750,           16.9266,          229.2130,           -2.7707,            1.5807,            0.2048,            1.8071,          210.7754,
Ref 4,3.64058e-08,,,,,,1.1981e-02,4.2125e-03,4.9070e-05,4.6527e-06,6.6082e-08,,,,,,,,,,,
Sam 4,2.10974e-08,1.19853e-02,4.2441e-03,4.9457e-05,4.7374e-06,8.3214e-08,,,,,,            0.3560,            7.5194,            7.8348,           17.8351,          268.0828,           -2.7712,            1.5823,            0.0646,            2.6991,          249.0590,
Ref 5,3.53987e-08,,,,,,1.1981e-02,4.2125e-03,4.9075e-05,4.6560e-06,6.5148e-08,,,,,,,,,,,
Sam 5,2.05613e-08,1.19851e-02,4.2441e-03,4.9461e-05,4.7368e-06,8.6062e-08,,,,,,            0.3511,            7.5071,            7.8771,           17.3147,          267.8244,           -2.7759,            1.5701,            0.1235,            2.2107,          248.8408,
Ref 6,3.44183e-08,,,,,,1.1981e-02,4.2124e-03,4.9074e-05,4.6563e-06,7.0693e-08,,,,,,,,,,,
Sam 6,2.00419e-08,1.19850e-02,4.2439e-03,4.9461e-05,4.7379e-06,9.3770e-08,,,,,,            0.3601,            7.4924,            7.8529,           17.5498,          293.7077,           -2.7659,            1.5554,            0.1047,            2.4716,          274.3611,
Ref 7,3.34840e-08,,,,,,1.1981e-02,4.2123e-03,4.9078e-05,4.6560e-06,7.4321e-08,,,,,,,,,,,
Sam 7,1.95438e-08,1.19849e-02,4.2440e-03,4.9463e-05,4.7396e-06,9.5675e-08,,,,,,            0.3560,            7.5002,            7.8960,           17.5631,          279.1863,           -2.7705,            1.5632,            0.1440,            2.4692,          260.0430,
Ref 8,3.25846e-08,,,,,,1.1981e-02,4.2124e-03,4.9073e-05,4.6596e-06,7.5280e-08,,,,,,,,,,,
Sam 8,1.90574e-08,1.19848e-02,4.2439e-03,4.9466e-05,4.7429e-06,1.0467e-07,,,,,,            0.3480,            7.4731,            7.9238,           17.4760,          334.2109,           -2.7781,            1.5362,            0.2064,            2.4374,          314.3249,
Ref 9,3.17191e-08,,,,,,1.1981e-02,4.2124e-03,4.9081e-05,4.6632e-06,8.1703e-08,,,,,,,,,,,
Sam 9,1.85899e-08,1.19848e-02,4.2439e-03,4.9477e-05,4.7529e-06,1.1285e-07,,,,,,            0.3494,            7.4690,            7.9749,           19.1153,          356.9745,           -2.7765,            1.5321,            0.2597,            4.0606,          336.7580,
Ref 10,3.08816e-08,,,,,,1.1981e-02,4.2124e-03,4.9090e-05,4.6642e-06,8.4660e-08,,,,,,,,,,,
Sam 10,1.81361e-08,1.19847e-02,4.2438e-03,4.9474e-05,4.7462e-06,1.1356e-07,,,,,,            0.3540,            7.4660,            7.9207,           17.3157,          301.3146,           -2.7714,            1.5291,            0.2041,            2.2937,          281.9286,
Ref 11,3.00752e-08,,,,,,1.1980e-02,4.2123e-03,4.9081e-05,4.6666e-06,8.9945e-08,,,,,,,,,,,
Sam 11,1.76962e-08,1.19845e-02,4.2437e-03,4.9473e-05,4.7598e-06,1.2486e-07,,,,,,            0.3381,            7.4516,            7.9029,           19.7009,          348.5789,           -2.7879,            1.5149,            0.2169,            4.6722,          328.5485,
Ref 12,2.92981e-08,,,,,,1.1980e-02,4.2123e-03,4.9089e-05,4.6692e-06,9.5302e-08,,,,,,,,,,,
Sam 12,1.72743e-08,1.19847e-02,4.2438e-03,4.9477e-05,4.7633e-06,1.3705e-07,,,,,,            0.3605,            7.4738,            7.8672,           19.7858,          375.9816,           -2.7648,            1.5369,            0.1366,            4.7116,          355.4533,
Ref 13,2.85466e-08,,,,,,1.1980e-02,4.2123e-03,4.9094e-05,4.6726e-06,1.0402e-07,,,,,,,,,,,
Sam 13,1.68639e-08,1.19844e-02,4.2437e-03,4.9485e-05,4.7603e-06,1.5119e-07,,,,,,            0.3478,            7.4461,            7.9168,           18.4733,          409.8976,           -2.7774,            1.5093,            0.2261,            3.4738,          388.9573,
Ref 14,2.78219e-08,,,,,,1.1980e-02,4.2123e-03,4.9100e-05,4.6754e-06,1.1054e-07,,,,,,,,,,,
Sam 14,1.64658e-08,1.19844e-02,4.2436e-03,4.9484e-05,4.7666e-06,1.6602e-07,,,,,,            0.3515,            7.4435,            7.8107,           19.1103,          471.2426,           -2.7733,            1.5068,            0.1194,            4.1065,          449.3926,
Ref 15,2.71239e-08,,,,,,1.1980e-02,4.2122e-03,4.9101e-05,4.6792e-06,1.1521e-07,,,,,,,,,,,
Sam 15,1.58891e-08,1.19842e-02,4.2436e-03,4.9485e-05,4.7737e-06,1.7431e-07,,,,,,            0.3506,            7.4531,            7.8248,           20.4075,          444.4838,           -2.7747,            1.5163,            0.1250,            5.3655,          423.0060,
Ref 16,2.64326e-08,,,,,,1.1980e-02,4.2122e-03,4.9102e-05,4.6772e-06,1.2628e-07,,,,,,,,,,,
Sam 16,1.56074e-08,1.19839e-02,4.2436e-03,4.9504e-05,4.7761e-06,1.8492e-07,,,,,,            0.3322,            7.4641,            8.1568,           20.9660,          415.1716,           -2.7946,            1.5273,            0.4626,            5.8938,          394.1268,
Ref 17,2.57855e-08,,,,,,1.1980e-02,4.2121e-03,4.9106e-05,4.6788e-06,1.3516e-07,,,,,,,,,,,
Sam 17,1.52845e-08,1.19839e-02,4.2435e-03,4.9505e-05,4.7819e-06,1.9881e-07,,,,,,            0.3411,            7.4632,            8.1173,           20.9247,          433.5650,           -2.7851,            1.5264,            0.4151,            5.8549,          412.2358,
Ref 18,2.51519e-08,,,,,,1.1980e-02,4.2121e-03,4.9107e-05,4.6891e-06,1.4229e-07,,,,,,,,,,,
Sam 18,1.49493e-08,1.19839e-02,4.2434e-03,4.9518e-05,4.7870e-06,2.1485e-07,,,,,,            0.3444,            7.4241,            8.3214,           20.2141,          483.3119,           -2.7803,            1.4875,            0.6525,            5.2328,          461.3491,
Ref 19,2.45427e-08,,,,,,1.1980e-02,4.2121e-03,4.9112e-05,4.6953e-06,1.4746e-07,,,,,,,,,,,
Sam 19,1.46191e-08,1.19838e-02,4.2435e-03,4.9525e-05,4.8078e-06,2.2146e-07,,,,,,            0.3447,            7.4670,            8.3697,           24.4696,          450.6221,           -2.7814,            1.5302,            0.6582,            9.3399,          429.0231,
Ref 20,2.39532e-08,,,,,,1.1980e-02,4.2120e-03,4.9117e-05,4.6906e-06,1.5801e-07,,,,,,,,,,,
Sam 20,1.42897e-08,1.19837e-02,4.2434e-03,4.9529e-05,4.8064e-06,2.3700e-07,,,,,,            0.3402,            7.4603,            8.1676,           23.1034,          442.1390,           -2.7860,            1.5235,            0.4689,            8.0072,          420.6917,
Ref 21,2.33871e-08,,,,,,1.1980e-02,4.2119e-03,4.9140e-05,4.7053e-06,1.7083e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.31088e-08,,,,,,1.1980e-02,4.2120e-03,4.9134e-05,4.7015e-06,1.8056e-07,
Sam 1,1.38200e-08,1.19835e-02,4.2433e-03,4.9537e-05,4.8215e-06,2.6396e-07,,,,,,            0.3145,            7.4293,            8.2081,           24.9518,          455.6081,           -2.8122,            1.4928,            0.5657,            9.8904,          434.0863,
Ref 2,2.25633e-08,,,,,,1.1980e-02,4.2119e-03,4.9133e-05,4.7068e-06,1.8215e-07,,,,,,,,,,,
Sam 2,1.35139e-08,1.19835e-02,4.2433e-03,4.9545e-05,4.8266e-06,2.7782e-07,,,,,,            0.3409,            7.4538,            8.3759,           24.1804,          499.1899,           -2.7850,            1.5171,            0.6812,            9.0812,          476.9117,
Ref 3,2.20355e-08,,,,,,1.1979e-02,4.2118e-03,4.9134e-05,4.7186e-06,1.8855e-07,,,,,,,,,,,
Sam 3,1.32157e-08,1.19836e-02,4.2432e-03,4.9561e-05,4.8230e-06,2.9669e-07,,,,,,            0.3581,            7.4573,            8.5447,           21.9512,          498.5452,           -2.7668,            1.5205,            0.8276,            6.8780,          476.2397,
Ref 4,2.15209e-08,,,,,,1.1979e-02,4.2119e-03,4.9148e-05,4.7202e-06,2.0765e-07,,,,,,,,,,,
Sam 4,1.29267e-08,1.19834e-02,4.2432e-03,4.9543e-05,4.8429e-06,3.2650e-07,,,,,,            0.3421,            7.4475,            8.0283,           25.4275,          533.3919,           -2.7834,            1.5107,            0.3411,           10.3227,          510.6222,
Ref 5,2.10274e-08,,,,,,1.1979e-02,4.2119e-03,4.9149e-05,4.7256e-06,2.1832e-07,,,,,,,,,,,
Sam 5,1.26491e-08,1.19833e-02,4.2431e-03,4.9567e-05,4.8374e-06,3.4770e-07,,,,,,            0.3426,            7.4332,            8.3820,           23.7447,          538.3852,           -2.7825,            1.4965,            0.7056,            8.6935,          515.5830,
Ref 6,2.05486e-08,,,,,,1.1979e-02,4.2117e-03,4.9161e-05,4.7248e-06,2.3389e-07,,,,,,,,,,,
Sam 6,1.23765e-08,1.19830e-02,4.2431e-03,4.9591e-05,4.8640e-06,3.6986e-07,,,,,,            0.3255,            7.4317,            8.7300,           28.2752,          530.2042,           -2.8006,            1.4951,            1.0701,           13.1602,          507.5549,
Ref 7,2.00829e-08,,,,,,1.1979e-02,4.2118e-03,4.9161e-05,4.7357e-06,2.4971e-07,,,,,,,,,,,
Sam 7,1.21138e-08,1.19827e-02,4.2430e-03,4.9601e-05,4.8699e-06,3.9652e-07,,,,,,            0.3140,            7.4077,            8.8693,           27.1816,          558.1430,           -2.8120,            1.4712,            1.2436,           12.1309,          535.1708,
Ref 8,1.96331e-08,,,,,,1.1979e-02,4.2117e-03,4.9168e-05,4.7464e-06,2.5936e-07,,,,,,,,,,,
Sam 8,1.18572e-08,1.19829e-02,4.2430e-03,4.9601e-05,4.8719e-06,4.1078e-07,,,,,,            0.3351,            7.4388,            8.7952,           25.9819,          529.6615,           -2.7906,            1.5021,            1.1180,           10.8865,          506.9841,
Ref 9,1.91936e-08,,,,,,1.1979e-02,4.2116e-03,4.9168e-05,4.7506e-06,2.7793e-07,,,,,,,,,,,
Sam 9,1.16089e-08,1.19831e-02,4.2430e-03,4.9613e-05,4.8912e-06,4.4753e-07,,,,,,            0.3548,            7.4431,            8.9283,           28.6779,          559.6101,           -2.7699,            1.5064,            1.2255,           13.5340,          536.4435,
Ref 10,1.87718e-08,,,,,,1.1979e-02,4.2117e-03,4.9179e-05,4.7592e-06,2.9616e-07,,,,,,,,,,,
Sam 10,1.13666e-08,1.19828e-02,4.2429e-03,4.9617e-05,4.8991e-06,4.7480e-07,,,,,,            0.3493,            7.4163,            8.8129,           29.4638,          556.1502,           -2.7747,            1.4797,            1.1428,           14.3623,          533.1241,
Ref 11,1.83590e-08,,,,,,1.1979e-02,4.2116e-03,4.9188e-05,4.7586e-06,3.1426e-07,,,,,,,,,,,
Sam 11,1.11317e-08,1.19828e-02,4.2429e-03,4.9637e-05,4.9082e-06,4.9202e-07,,,,,,            0.3579,            7.4274,            9.1214,           30.3714,          546.3352,           -2.7660,            1.4908,            1.4293,           15.2342,          523.4075,
Ref 12,1.79599e-08,,,,,,1.1979e-02,4.2116e-03,4.9189e-05,4.7686e-06,3.2221e-07,,,,,,,,,,,
Sam 12,1.09024e-08,1.19826e-02,4.2429e-03,4.9641e-05,4.9233e-06,5.0654e-07,,,,,,            0.3417,            7.4332,            9.0014,           31.5270,          547.9187,           -2.7834,            1.4965,            1.3213,           16.3612,          524.9766,
Ref 13,1.75730e-08,,,,,,1.1979e-02,4.2116e-03,4.9207e-05,4.7771e-06,3.3238e-07,,,,,,,,,,,
Sam 13,1.06806e-08,1.19825e-02,4.2429e-03,4.9665e-05,4.9388e-06,5.2746e-07,,,,,,            0.3290,            7.4418,            9.2808,           32.9569,          568.4064,           -2.7972,            1.5051,            1.6032,           17.7528,          545.1556,
Ref 14,1.72012e-08,,,,,,1.1979e-02,4.2115e-03,4.9210e-05,4.7856e-06,3.4031e-07,,,,,,,,,,,
Sam 14,1.04636e-08,1.19827e-02,4.2428e-03,4.9661e-05,4.9392e-06,5.5712e-07,,,,,,            0.3508,            7.4330,            9.1371,           31.4481,          585.9544,           -2.7737,            1.4963,            1.4467,           16.2839,          562.4340,
Ref 15,1.68369e-08,,,,,,1.1978e-02,4.2115e-03,4.9212e-05,4.7918e-06,3.6250e-07,,,,,,,,,,,
Sam 15,1.02515e-08,1.19827e-02,4.2428e-03,4.9690e-05,4.9512e-06,5.7531e-07,,,,,,            0.3515,            7.4417,            9.6180,           33.2234,          539.8111,           -2.7733,            1.5050,            1.9148,           18.0155,          516.9481,
Ref 16,1.64816e-08,,,,,,1.1979e-02,4.2115e-03,4.9221e-05,4.7922e-06,3.8499e-07,,,,,,,,,,,
Sam 16,1.00429e-08,1.19828e-02,4.2428e-03,4.9696e-05,4.9578e-06,6.0833e-07,,,,,,            0.3493,            7.4290,            9.5007,           33.4984,          553.7681,           -2.7752,            1.4923,            1.8130,           18.3121,          530.7395,
Ref 17,1.61388e-08,,,,,,1.1978e-02,4.2116e-03,4.9237e-05,4.8022e-06,3.9818e-07,,,,,,,,,,,
Sam 17,9.83955e-09,1.19827e-02,4.2428e-03,4.9708e-05,4.9751e-06,6.3556e-07,,,,,,            0.3428,            7.4207,            9.5489,           36.1553,          566.4446,           -2.7818,            1.4841,            1.8756,           20.9468,          543.2637,
Ref 18,1.58042e-08,,,,,,1.1979e-02,4.2115e-03,4.9240e-05,4.8007e-06,4.1345e-07,,,,,,,,,,,
Sam 18,9.64361e-09,1.19826e-02,4.2428e-03,4.9715e-05,4.9724e-06,6.5217e-07,,,,,,            0.3384,            7.4237,            9.5278,           33.9770,          541.4733,           -2.7866,            1.4871,            1.8563,           18.7945,          518.6603,
Ref 19,1.54768e-08,,,,,,1.1979e-02,4.2116e-03,4.9253e-05,4.8175e-06,4.3292e-07,,,,,,,,,,,
Sam 19,9.45052e-09,1.19827e-02,4.2428e-03,4.9743e-05,4.9985e-06,6.9902e-07,,,,,,            0.3529,            7.4363,            9.8680,           36.5545,          582.4484,           -2.7717,            1.4996,            2.1667,           21.3085,          558.9665,
Ref 20,1.51589e-08,,,,,,1.1978e-02,4.2114e-03,4.9260e-05,4.8271e-06,4.5074e-07,,,,,,,,,,,
Sam 20,9.26351e-09,1.19823e-02,4.2427e-03,4.9727e-05,5.0026e-06,7.0250e-07,,,,,,            0.3356,            7.4370,            9.5411,           35.9569,          543.8339,           -2.7900,            1.5004,            1.8593,           20.7181,          520.9506,
Ref 21,1.48510e-08,,,,,,1.1978e-02,4.2114e-03,4.9253e-05,4.8309e-06,4.5942e-07,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.46961e-08,,,,,,1.1978e-02,4.2115e-03,4.9266e-05,4.8286e-06,4.7152e-07,
Sam 1,8.99174e-09,1.19825e-02,4.2427e-03,4.9745e-05,5.0297e-06,7.4600e-07,,,,,,            0.3567,            7.4339,            9.6642,           40.3118,          556.9767,           -2.7674,            1.4972,            1.9627,           25.0154,          533.8736,
Ref 2,1.44036e-08,,,,,,1.1978e-02,4.2113e-03,4.9272e-05,4.8412e-06,4.8690e-07,,,,,,,,,,,
Sam 2,8.81933e-09,1.19825e-02,4.2426e-03,4.9768e-05,5.0199e-06,7.6308e-07,,,,,,            0.3647,            7.4226,           10.1120,           36.9523,          554.3782,           -2.7585,            1.4860,            2.4099,           21.7281,          531.3344,
Ref 3,1.41158e-08,,,,,,1.1978e-02,4.2114e-03,4.9266e-05,4.8409e-06,4.9503e-07,,,,,,,,,,,
Sam 3,8.64901e-09,1.19822e-02,4.2426e-03,4.9775e-05,5.0514e-06,7.9287e-07,,,,,,            0.3437,            7.4246,           10.0597,           42.8185,          563.3397,           -2.7810,            1.4879,            2.3779,           27.5043,          540.1917,
Ref 4,1.38348e-08,,,,,,1.1978e-02,4.2113e-03,4.9292e-05,4.8472e-06,5.1955e-07,,,,,,,,,,,
Sam 4,8.48434e-09,1.19821e-02,4.2427e-03,4.9819e-05,5.0555e-06,8.1685e-07,,,,,,            0.3467,            7.4360,           10.5629,           41.6291,          561.8884,           -2.7782,            1.4993,            2.8630,           26.3091,          538.7226,
Ref 5,1.35618e-08,,,,,,1.1978e-02,4.2113e-03,4.9304e-05,4.8599e-06,5.2651e-07,,,,,,,,,,,
Sam 5,8.32278e-09,1.19822e-02,4.2428e-03,4.9813e-05,5.0641e-06,8.3813e-07,,,,,,            0.3554,            7.4611,           10.4011,           40.8402,          555.9555,           -2.7697,            1.5243,            2.6687,           25.4806,          532.7882,
Ref 6,1.32957e-08,,,,,,1.1978e-02,4.2113e-03,4.9296e-05,4.8709e-06,5.5105e-07,,,,,,,,,,,
Sam 6,8.16564e-09,1.19822e-02,4.2426e-03,4.9831e-05,5.0719e-06,8.7939e-07,,,,,,            0.3542,            7.4384,           10.6835,           40.7282,          564.1710,           -2.7702,            1.5016,            2.9725,           25.4167,          540.9519,
Ref 7,1.30361e-08,,,,,,1.1978e-02,4.2112e-03,4.9312e-05,4.8760e-06,5.7360e-07,,,,,,,,,,,
Sam 7,8.01146e-09,1.19822e-02,4.2425e-03,4.9831e-05,5.0873e-06,8.9893e-07,,,,,,            0.3704,            7.4191,           10.6349,           42.6018,          567.7871,           -2.7524,            1.4824,            2.9265,           27.3020,          544.5459,
Ref 8,1.27827e-08,,,,,,1.1978e-02,4.2113e-03,4.9301e-05,4.8829e-06,5.7315e-07,,,,,,,,,,,
Sam 8,7.86259e-09,1.19821e-02,4.2425e-03,4.9848e-05,5.1116e-06,9.2223e-07,,,,,,            0.3578,            7.4182,           10.7584,           46.2320,          567.5447,           -2.7658,            1.4816,            3.0630,           30.8806,          544.3304,
Ref 9,1.25384e-08,,,,,,1.1978e-02,4.2112e-03,4.9334e-05,4.8886e-06,6.0380e-07,,,,,,,,,,,
Sam 9,7.71603e-09,1.19822e-02,4.2425e-03,4.9860e-05,5.1245e-06,9.3842e-07,,,,,,            0.3547,            7.4377,           10.7430,           47.7326,          549.3492,           -2.7697,            1.5009,            3.0317,           32.3194,          526.3514,
Ref 10,1.22968e-08,,,,,,1.1978e-02,4.2112e-03,4.9325e-05,4.8937e-06,6.0762e-07,,,,,,,,,,,
Sam 10,7.57377e-09,1.19820e-02,4.2426e-03,4.9875e-05,5.1385e-06,9.7156e-07,,,,,,            0.3423,            7.4513,           10.9371,           49.2418,          577.3209,           -2.7835,            1.5146,            3.2239,           33.7784,          553.8871,
Ref 11,1.20643e-08,,,,,,1.1978e-02,4.2111e-03,4.9345e-05,4.9010e-06,6.2446e-07,,,,,,,,,,,
Sam 11,7.43402e-09,1.19821e-02,4.2425e-03,4.9880e-05,5.1408e-06,9.8388e-07,,,,,,            0.3601,            7.4367,           10.7189,           47.4690,          554.7341,           -2.7639,            1.5000,            3.0032,           32.0617,          531.6506,
Ref 12,1.18357e-08,,,,,,1.1978e-02,4.2111e-03,4.9357e-05,4.9147e-06,6.4137e-07,,,,,,,,,,,
Sam 12,7.29905e-09,1.19817e-02,4.2424e-03,4.9878e-05,5.1521e-06,1.0022e-06,,,,,,            0.3489,            7.4495,           10.5449,           47.0105,          548.2270,           -2.7763,            1.5128,            2.8295,           31.5837,          525.2200,
Ref 13,1.16133e-08,,,,,,1.1977e-02,4.2110e-03,4.9358e-05,4.9270e-06,6.5339e-07,,,,,,,,,,,
Sam 13,7.16600e-09,1.19819e-02,4.2424e-03,4.9893e-05,5.1730e-06,1.0552e-06,,,,,,            0.3677,            7.4378,           10.7462,           50.3710,          587.1380,           -2.7559,            1.5011,            3.0214,           34.9187,          563.5573,
Ref 14,1.13966e-08,,,,,,1.1978e-02,4.2111e-03,4.9368e-05,4.9228e-06,6.7654e-07,,,,,,,,,,,
Sam 14,7.03645e-09,1.19818e-02,4.2423e-03,4.9912e-05,5.1730e-06,1.0767e-06,,,,,,            0.3578,            7.4154,           10.8872,           49.5215,          574.1572,           -2.7657,            1.4788,            3.1935,           34.1276,          550.8534,
Ref 15,1.11854e-08,,,,,,1.1978e-02,4.2110e-03,4.9381e-05,4.9351e-06,6.9151e-07,,,,,,,,,,,
Sam 15,6.90918e-09,1.19819e-02,4.2423e-03,4.9959e-05,5.1761e-06,1.0904e-06,,,,,,            0.3612,            7.4237,           11.7838,           47.3239,          549.3432,           -2.7623,            1.4870,            4.0716,           31.9453,          526.3766,
Ref 16,1.09781e-08,,,,,,1.1978e-02,4.2111e-03,4.9374e-05,4.9494e-06,7.1626e-07,,,,,,,,,,,
Sam 16,6.78468e-09,1.19816e-02,4.2423e-03,4.9945e-05,5.1789e-06,1.1370e-06,,,,,,            0.3426,            7.4267,           11.3384,           46.0664,          553.0338,           -2.7822,            1.4900,            3.6459,           30.7002,          530.0338,
Ref 17,1.07768e-08,,,,,,1.1977e-02,4.2110e-03,4.9396e-05,4.9522e-06,7.4821e-07,,,,,,,,,,,
Sam 17,6.66368e-09,1.19817e-02,4.2423e-03,4.9973e-05,5.2094e-06,1.1819e-06,,,,,,            0.3616,            7.4518,           11.6759,           52.1015,          571.5746,           -2.7629,            1.5150,            3.9366,           36.5951,          548.1929,
Ref 18,1.05783e-08,,,,,,1.1977e-02,4.2109e-03,4.9396e-05,4.9506e-06,7.5590e-07,,,,,,,,,,,
Sam 18,6.54092e-09,1.19814e-02,4.2422e-03,4.9968e-05,5.2314e-06,1.1907e-06,,,,,,            0.3416,            7.4398,           11.3806,           54.6694,          563.7810,           -2.7838,            1.5031,            3.6761,           39.1498,          540.5842,
Ref 19,1.03823e-08,,,,,,1.1977e-02,4.2108e-03,4.9414e-05,4.9701e-06,7.6704e-07,,,,,,,,,,,
Sam 19,6.42493e-09,1.19817e-02,4.2422e-03,4.9973e-05,5.2347e-06,1.2114e-06,,,,,,            0.3674,            7.4489,           11.3395,           52.6349,          560.7286,           -2.7566,            1.5122,            3.5995,           37.1264,          537.5073,
Ref 20,1.01947e-08,,,,,,1.1977e-02,4.2109e-03,4.9412e-05,4.9758e-06,7.8553e-07,,,,,,,,,,,
Sam 20,6.31180e-09,1.19814e-02,4.2423e-03,4.9985e-05,5.2437e-06,1.2454e-06,,,,,,            0.3510,            7.4454,           11.7116,           53.6038,          575.3499,           -2.7739,            1.5087,            3.9892,           38.0882,          551.9487,
Ref 21,1.00122e-08,,,,,,1.1977e-02,4.2110e-03,4.9401e-05,4.9781e-06,7.9566e-07,,,,,,,,,,,


