Nu Stable Isotope Analysis Program
Data Collected on Friday, May 12, 2023 at 23:59 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 13, 2023 at 00:58 with Stable 1.71.5 on PS019

Data File = Data_19598 ETH-1.txt,         Sample Weight = 478,                      Vial Location = 40,                       Initial Sam Beam = 1.3901e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5161e-08,                Max Ref Beam = 1.0639e-07,                

Analysis undertaken at mass 46.04352
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.19987e-08,,,,,,1.1981e-02,4.2120e-03,4.9039e-05,4.6430e-06,5.0093e-08,
Sam 1,5.12307e-08,1.20377e-02,4.2599e-03,4.9795e-05,4.7471e-06,5.0984e-08,,,,,,            4.6892,           11.3456,           15.4020,           22.7692,           24.9663,            1.7084,            5.3805,           -0.6393,           -0.0496,           -2.5047,
Ref 2,5.10115e-08,,,,,,1.1982e-02,4.2122e-03,4.9042e-05,4.6398e-06,4.9384e-08,,,,,,,,,,,
Sam 2,5.02166e-08,1.20379e-02,4.2601e-03,4.9797e-05,4.7483e-06,5.1187e-08,,,,,,            4.6788,           11.3454,           15.3731,           23.0230,           70.8931,            1.6973,            5.3803,           -0.6569,            0.1989,           42.2032,
Ref 3,5.00849e-08,,,,,,1.1982e-02,4.2123e-03,4.9045e-05,4.6431e-06,4.6184e-08,,,,,,,,,,,
Sam 3,4.92416e-08,1.20378e-02,4.2601e-03,4.9800e-05,4.7491e-06,4.7891e-08,,,,,,            4.6674,           11.3346,           15.4018,           22.8154,           27.5224,            1.6856,            5.3695,           -0.6064,            0.0174,            0.0275,
Ref 4,4.91826e-08,,,,,,1.1982e-02,4.2123e-03,4.9045e-05,4.6432e-06,4.7039e-08,,,,,,,,,,,
Sam 4,4.82954e-08,1.20380e-02,4.2602e-03,4.9797e-05,4.7501e-06,4.8714e-08,,,,,,            4.6827,           11.3478,           15.3340,           23.0498,           32.8156,            1.7014,            5.3827,           -0.7017,            0.2204,            5.1368,
Ref 5,4.83030e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6430e-06,4.7296e-08,,,,,,,,,,,
Sam 5,4.73710e-08,1.20379e-02,4.2602e-03,4.9805e-05,4.7489e-06,4.8366e-08,,,,,,            4.6710,           11.3371,           15.4799,           22.6176,           17.0702,            1.6893,            5.3720,           -0.5357,           -0.1810,          -10.1536,
Ref 6,4.74395e-08,,,,,,1.1982e-02,4.2125e-03,4.9046e-05,4.6448e-06,4.7817e-08,,,,,,,,,,,
Sam 6,4.64672e-08,1.20380e-02,4.2602e-03,4.9801e-05,4.7506e-06,5.0588e-08,,,,,,            4.6847,           11.3442,           15.3781,           22.6215,           74.2551,            1.7037,            5.3791,           -0.6569,           -0.1912,           45.4710,
Ref 7,4.65974e-08,,,,,,1.1982e-02,4.2125e-03,4.9049e-05,4.6464e-06,4.6352e-08,,,,,,,,,,,
Sam 7,4.55937e-08,1.20379e-02,4.2603e-03,4.9803e-05,4.7510e-06,4.9836e-08,,,,,,            4.6765,           11.3454,           15.3552,           22.3644,           68.7482,            1.6949,            5.3803,           -0.6723,           -0.4450,           40.1181,
Ref 8,4.57742e-08,,,,,,1.1982e-02,4.2126e-03,4.9050e-05,4.6477e-06,4.6913e-08,,,,,,,,,,,
Sam 8,4.47405e-08,1.20379e-02,4.2603e-03,4.9802e-05,4.7523e-06,4.6965e-08,,,,,,            4.6777,           11.3473,           15.2414,           22.6738,            6.5488,            1.6961,            5.3822,           -0.7873,           -0.1463,          -20.4199,
Ref 9,4.49752e-08,,,,,,1.1982e-02,4.2125e-03,4.9058e-05,4.6462e-06,4.6402e-08,,,,,,,,,,,
Sam 9,4.39103e-08,1.20379e-02,4.2603e-03,4.9807e-05,4.7491e-06,4.9344e-08,,,,,,            4.6748,           11.3420,           15.3480,           21.9971,            9.8368,            1.6932,            5.3769,           -0.6742,           -0.7972,          -17.2066,
Ref 10,4.41888e-08,,,,,,1.1982e-02,4.2126e-03,4.9050e-05,4.6476e-06,5.1368e-08,,,,,,,,,,,
Sam 10,4.30990e-08,1.20380e-02,4.2604e-03,4.9808e-05,4.7513e-06,5.0567e-08,,,,,,            4.6756,           11.3356,           15.4159,           22.4954,          -13.7352,            1.6943,            5.3705,           -0.6019,           -0.2975,          -40.1363,
Ref 11,4.34235e-08,,,,,,1.1982e-02,4.2126e-03,4.9052e-05,4.6458e-06,5.1173e-08,,,,,,,,,,,
Sam 11,4.23124e-08,1.20379e-02,4.2604e-03,4.9814e-05,4.7509e-06,4.9107e-08,,,,,,            4.6729,           11.3319,           15.4335,           22.7606,          -28.0342,            1.6915,            5.3669,           -0.5784,           -0.0309,          -54.0432,
Ref 12,4.26798e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6444e-06,4.9861e-08,,,,,,,,,,,
Sam 12,4.15407e-08,1.20380e-02,4.2604e-03,4.9807e-05,4.7478e-06,5.2528e-08,,,,,,            4.6868,           11.3349,           15.2245,           21.5386,           52.8458,            1.7063,            5.3698,           -0.8012,           -1.2316,           24.6515,
Ref 13,4.19466e-08,,,,,,1.1982e-02,4.2126e-03,4.9059e-05,4.6510e-06,4.9923e-08,,,,,,,,,,,
Sam 13,4.07896e-08,1.20378e-02,4.2604e-03,4.9811e-05,4.7534e-06,5.1001e-08,,,,,,            4.6784,           11.3332,           15.3457,           22.4621,            4.9538,            1.6974,            5.3682,           -0.6718,           -0.3254,          -21.9461,
Ref 14,4.12347e-08,,,,,,1.1982e-02,4.2126e-03,4.9057e-05,4.6470e-06,5.1591e-08,,,,,,,,,,,
Sam 14,4.00589e-08,1.20377e-02,4.2604e-03,4.9815e-05,4.7529e-06,5.3851e-08,,,,,,            4.6761,           11.3370,           15.3784,           22.4621,           64.6195,            1.6948,            5.3719,           -0.6407,           -0.3328,           36.1175,
Ref 15,4.05394e-08,,,,,,1.1982e-02,4.2126e-03,4.9064e-05,4.6499e-06,4.9556e-08,,,,,,,,,,,
Sam 15,3.93420e-08,1.20378e-02,4.2604e-03,4.9812e-05,4.7542e-06,5.3419e-08,,,,,,            4.6832,           11.3407,           15.3756,           22.3719,           34.7812,            1.7022,            5.3757,           -0.6544,           -0.4284,            7.0631,
Ref 16,3.98560e-08,,,,,,1.1982e-02,4.2127e-03,4.9052e-05,4.6504e-06,5.3726e-08,,,,,,,,,,,
Sam 16,3.86434e-08,1.20377e-02,4.2604e-03,4.9812e-05,4.7554e-06,5.2710e-08,,,,,,            4.6742,           11.3396,           15.4055,           22.7987,           -6.4703,            1.6927,            5.3746,           -0.6148,           -0.0089,          -33.0721,
Ref 17,3.91888e-08,,,,,,1.1982e-02,4.2126e-03,4.9061e-05,4.6483e-06,5.2368e-08,,,,,,,,,,,
Sam 17,3.79605e-08,1.20378e-02,4.2605e-03,4.9815e-05,4.7543e-06,5.8891e-08,,,,,,            4.6732,           11.3534,           15.3132,           22.7580,           77.4171,            1.6912,            5.3883,           -0.7180,           -0.0761,           48.5421,
Ref 18,3.85336e-08,,,,,,1.1982e-02,4.2127e-03,4.9067e-05,4.6487e-06,5.6990e-08,,,,,,,,,,,
Sam 18,3.72956e-08,1.20377e-02,4.2605e-03,4.9820e-05,4.7549e-06,5.9308e-08,,,,,,            4.6660,           11.3357,           15.3609,           22.6701,           51.8174,            1.6841,            5.3707,           -0.6464,           -0.1270,           23.6715,
Ref 19,3.78933e-08,,,,,,1.1982e-02,4.2127e-03,4.9065e-05,4.6503e-06,5.5773e-08,,,,,,,,,,,
Sam 19,3.66454e-08,1.20377e-02,4.2605e-03,4.9812e-05,4.7528e-06,5.5871e-08,,,,,,            4.6739,           11.3465,           15.1999,           22.1330,           61.5263,            1.6921,            5.3814,           -0.8234,           -0.6733,           33.0904,
Ref 20,3.72706e-08,,,,,,1.1982e-02,4.2127e-03,4.9068e-05,4.6495e-06,4.9441e-08,,,,,,,,,,,
Sam 20,3.60070e-08,1.20377e-02,4.2604e-03,4.9816e-05,4.7525e-06,5.3227e-08,,,,,,            4.6770,           11.3153,           15.2040,           21.9226,           70.6705,            1.6965,            5.3504,           -0.7923,           -0.8174,           42.0495,
Ref 21,3.66639e-08,,,,,,1.1982e-02,4.2127e-03,4.9071e-05,4.6517e-06,4.9990e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.63635e-08,,,,,,1.1982e-02,4.2128e-03,4.9071e-05,4.6499e-06,5.3757e-08,
Sam 1,3.50699e-08,1.20376e-02,4.2604e-03,4.9825e-05,4.7558e-06,5.6602e-08,,,,,,            4.6755,           11.3201,           15.3071,           22.8242,            0.1596,            1.6948,            5.3551,           -0.6939,            0.0547,          -26.5841,
Ref 2,3.57718e-08,,,,,,1.1982e-02,4.2127e-03,4.9077e-05,4.6495e-06,5.9475e-08,,,,,,,,,,,
Sam 2,3.44628e-08,1.20376e-02,4.2604e-03,4.9822e-05,4.7558e-06,5.8797e-08,,,,,,            4.6788,           11.3329,           15.2881,           22.7033,            4.7359,            1.6978,            5.3678,           -0.7284,           -0.0889,          -22.1579,
Ref 3,3.51943e-08,,,,,,1.1982e-02,4.2127e-03,4.9066e-05,4.6510e-06,5.7550e-08,,,,,,,,,,,
Sam 3,3.38739e-08,1.20376e-02,4.2604e-03,4.9827e-05,4.7609e-06,6.4101e-08,,,,,,            4.6850,           11.3463,           15.5077,           23.5692,           88.4186,            1.7039,            5.3812,           -0.5318,            0.7311,           59.2502,
Ref 4,3.46271e-08,,,,,,1.1981e-02,4.2126e-03,4.9067e-05,4.6515e-06,6.0259e-08,,,,,,,,,,,
Sam 4,3.32954e-08,1.20375e-02,4.2604e-03,4.9823e-05,4.7590e-06,6.3909e-08,,,,,,            4.6852,           11.3284,           15.3687,           22.9725,           50.0892,            1.7048,            5.3634,           -0.6513,            0.1831,           21.9833,
Ref 5,3.40681e-08,,,,,,1.1981e-02,4.2127e-03,4.9071e-05,4.6529e-06,6.1473e-08,,,,,,,,,,,
Sam 5,3.27326e-08,1.20374e-02,4.2604e-03,4.9824e-05,4.7542e-06,6.4364e-08,,,,,,            4.6776,           11.3313,           15.3557,           22.1708,           40.2110,            1.6966,            5.3663,           -0.6592,           -0.6063,           12.3720,
Ref 6,3.35240e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6494e-06,6.2284e-08,,,,,,,,,,,
Sam 6,3.21840e-08,1.20373e-02,4.2604e-03,4.9826e-05,4.7583e-06,6.2461e-08,,,,,,            4.6716,           11.3337,           15.4057,           23.3773,           15.3193,            1.6901,            5.3687,           -0.6061,            0.5684,          -11.8518,
Ref 7,3.29899e-08,,,,,,1.1981e-02,4.2126e-03,4.9070e-05,4.6499e-06,6.0740e-08,,,,,,,,,,,
Sam 7,3.16512e-08,1.20373e-02,4.2604e-03,4.9826e-05,4.7575e-06,6.0455e-08,,,,,,            4.6758,           11.3415,           15.4056,           22.8881,           10.8935,            1.6943,            5.3764,           -0.6181,            0.0749,          -16.1784,
Ref 8,3.24703e-08,,,,,,1.1981e-02,4.2126e-03,4.9070e-05,4.6522e-06,5.8853e-08,,,,,,,,,,,
Sam 8,3.11298e-08,1.20372e-02,4.2603e-03,4.9824e-05,4.7581e-06,5.7700e-08,,,,,,            4.6763,           11.3236,           15.3441,           22.5230,           -3.8166,            1.6955,            5.3586,           -0.6618,           -0.2469,          -30.4615,
Ref 9,3.19627e-08,,,,,,1.1981e-02,4.2126e-03,4.9073e-05,4.6543e-06,5.6974e-08,,,,,,,,,,,
Sam 9,3.06213e-08,1.20372e-02,4.2603e-03,4.9822e-05,4.7600e-06,5.9452e-08,,,,,,            4.6836,           11.3274,           15.3091,           22.5351,           46.9523,            1.7031,            5.3624,           -0.7073,           -0.2426,           18.9342,
Ref 10,3.14627e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6558e-06,5.6595e-08,,,,,,,,,,,
Sam 10,3.01271e-08,1.20370e-02,4.2603e-03,4.9828e-05,4.7594e-06,5.8475e-08,,,,,,            4.6701,           11.3252,           15.4321,           22.3899,            2.5539,            1.6888,            5.3602,           -0.5704,           -0.3801,          -24.2579,
Ref 11,3.09750e-08,,,,,,1.1981e-02,4.2126e-03,4.9074e-05,4.6545e-06,6.0084e-08,,,,,,,,,,,
Sam 11,2.96450e-08,1.20370e-02,4.2603e-03,4.9827e-05,4.7647e-06,5.9293e-08,,,,,,            4.6625,           11.3142,           15.3474,           23.4300,           33.1427,            1.6811,            5.3493,           -0.6351,            0.6587,            5.5426,
Ref 12,3.05011e-08,,,,,,1.1981e-02,4.2127e-03,4.9074e-05,4.6568e-06,5.4657e-08,,,,,,,,,,,
Sam 12,2.91702e-08,1.20371e-02,4.2604e-03,4.9829e-05,4.7630e-06,6.2220e-08,,,,,,            4.6706,           11.3298,           15.4238,           23.2851,          102.4027,            1.6892,            5.3648,           -0.5834,            0.4861,           72.9104,
Ref 13,3.00307e-08,,,,,,1.1981e-02,4.2126e-03,4.9070e-05,4.6524e-06,5.8252e-08,,,,,,,,,,,
Sam 13,2.87124e-08,1.20369e-02,4.2603e-03,4.9824e-05,4.7613e-06,6.2215e-08,,,,,,            4.6634,           11.3294,           15.2859,           22.4928,           51.8117,            1.6816,            5.3644,           -0.7115,           -0.2878,           23.6814,
Ref 14,2.95864e-08,,,,,,1.1981e-02,4.2126e-03,4.9077e-05,4.6608e-06,6.0063e-08,,,,,,,,,,,
Sam 14,2.82683e-08,1.20368e-02,4.2602e-03,4.9825e-05,4.7578e-06,6.3952e-08,,,,,,            4.6643,           11.3244,           15.2365,           21.4044,           76.7084,            1.6827,            5.3595,           -0.7561,           -1.3422,           47.9214,
Ref 15,2.91467e-08,,,,,,1.1981e-02,4.2125e-03,4.9076e-05,4.6554e-06,5.8718e-08,,,,,,,,,,,
Sam 15,2.78241e-08,1.20367e-02,4.2602e-03,4.9828e-05,4.7624e-06,6.5532e-08,,,,,,            4.6651,           11.3309,           15.3135,           22.8504,           57.6442,            1.6832,            5.3659,           -0.6874,            0.0590,           29.3532,
Ref 16,2.87108e-08,,,,,,1.1981e-02,4.2125e-03,4.9076e-05,4.6567e-06,6.5252e-08,,,,,,,,,,,
Sam 16,2.73901e-08,1.20368e-02,4.2602e-03,4.9834e-05,4.7612e-06,6.2784e-08,,,,,,            4.6707,           11.3219,           15.4991,           22.7967,          -29.9292,            1.6895,            5.3570,           -0.5018,            0.0241,          -55.8669,
Ref 17,2.82868e-08,,,,,,1.1981e-02,4.2126e-03,4.9071e-05,4.6534e-06,6.4182e-08,,,,,,,,,,,
Sam 17,2.69664e-08,1.20367e-02,4.2602e-03,4.9835e-05,4.7654e-06,6.5621e-08,,,,,,            4.6645,           11.3216,           15.4971,           23.5554,           26.6305,            1.6830,            5.3567,           -0.4971,            0.7664,           -0.8124,
Ref 18,2.78709e-08,,,,,,1.1981e-02,4.2125e-03,4.9078e-05,4.6582e-06,6.3651e-08,,,,,,,,,,,
Sam 18,2.65472e-08,1.20366e-02,4.2601e-03,4.9832e-05,4.7586e-06,7.2281e-08,,,,,,            4.6629,           11.3134,           15.3879,           21.4887,          115.3308,            1.6816,            5.3485,           -0.5949,           -1.2378,           85.5361,
Ref 19,2.74591e-08,,,,,,1.1981e-02,4.2125e-03,4.9075e-05,4.6588e-06,6.5980e-08,,,,,,,,,,,
Sam 19,2.61423e-08,1.20366e-02,4.2602e-03,4.9829e-05,4.7649e-06,7.1478e-08,,,,,,            4.6654,           11.3160,           15.2380,           22.6797,           73.0175,            1.6841,            5.3511,           -0.7476,           -0.0785,           44.3451,
Ref 20,2.70594e-08,,,,,,1.1981e-02,4.2125e-03,4.9088e-05,4.6597e-06,6.7258e-08,,,,,,,,,,,
Sam 20,2.57444e-08,1.20367e-02,4.2602e-03,4.9837e-05,4.7605e-06,6.9416e-08,,,,,,            4.6747,           11.3315,           15.3497,           21.6825,           41.0111,            1.6935,            5.3665,           -0.6622,           -1.0841,           13.1535,
Ref 21,2.66644e-08,,,,,,1.1981e-02,4.2124e-03,4.9080e-05,4.6593e-06,6.6096e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.64692e-08,,,,,,1.1981e-02,4.2125e-03,4.9087e-05,4.6622e-06,7.2703e-08,
Sam 1,2.51598e-08,1.20366e-02,4.2602e-03,4.9833e-05,4.7645e-06,7.2919e-08,,,,,,            4.6676,           11.3280,           15.2248,           22.3723,          -11.4297,            1.6861,            5.3630,           -0.7745,           -0.4028,          -37.8702,
Ref 2,2.60850e-08,,,,,,1.1981e-02,4.2124e-03,4.9085e-05,4.6582e-06,7.4837e-08,,,,,,,,,,,
Sam 2,2.47808e-08,1.20365e-02,4.2601e-03,4.9837e-05,4.7663e-06,7.5716e-08,,,,,,            4.6763,           11.3250,           15.3165,           23.0147,           26.0687,            1.6954,            5.3600,           -0.6903,            0.2312,           -1.3782,
Ref 3,2.57063e-08,,,,,,1.1980e-02,4.2124e-03,4.9084e-05,4.6600e-06,7.2732e-08,,,,,,,,,,,
Sam 3,2.44126e-08,1.20364e-02,4.2601e-03,4.9831e-05,4.7651e-06,7.6916e-08,,,,,,            4.6707,           11.3229,           15.1991,           22.1673,           47.6580,            1.6896,            5.3580,           -0.7981,           -0.5932,           19.6438,
Ref 4,2.53362e-08,,,,,,1.1981e-02,4.2124e-03,4.9086e-05,4.6636e-06,7.4113e-08,,,,,,,,,,,
Sam 4,2.40493e-08,1.20363e-02,4.2601e-03,4.9835e-05,4.7605e-06,7.4963e-08,,,,,,            4.6600,           11.3196,           15.3290,           20.4916,           31.1947,            1.6783,            5.3547,           -0.6561,           -2.2252,            3.6385,
Ref 5,2.49738e-08,,,,,,1.1980e-02,4.2124e-03,4.9079e-05,4.6662e-06,7.1257e-08,,,,,,,,,,,
Sam 5,2.36938e-08,1.20365e-02,4.2601e-03,4.9829e-05,4.7683e-06,7.5318e-08,,,,,,            4.6771,           11.3305,           15.2161,           22.1457,           59.5570,            1.6960,            5.3655,           -0.7952,           -0.6294,           31.2025,
Ref 6,2.46197e-08,,,,,,1.1980e-02,4.2123e-03,4.9085e-05,4.6638e-06,7.0909e-08,,,,,,,,,,,
Sam 6,2.33484e-08,1.20362e-02,4.2600e-03,4.9827e-05,4.7710e-06,7.6662e-08,,,,,,            4.6639,           11.3127,           15.1698,           22.7825,           74.1374,            1.6826,            5.3478,           -0.8100,            0.0285,           45.4434,
Ref 7,2.42713e-08,,,,,,1.1980e-02,4.2123e-03,4.9079e-05,4.6657e-06,7.1839e-08,,,,,,,,,,,
Sam 7,2.30070e-08,1.20362e-02,4.2600e-03,4.9840e-05,4.7578e-06,7.3735e-08,,,,,,            4.6650,           11.3204,           15.3874,           19.6135,            3.1674,            1.6835,            5.3555,           -0.6045,           -3.0853,          -23.6465,
Ref 8,2.39317e-08,,,,,,1.1980e-02,4.2123e-03,4.9089e-05,4.6670e-06,7.5189e-08,,,,,,,,,,,
Sam 8,2.26757e-08,1.20362e-02,4.2600e-03,4.9841e-05,4.7607e-06,7.5088e-08,,,,,,            4.6741,           11.3209,           15.2639,           20.3291,          -28.5809,            1.6932,            5.3560,           -0.7358,           -2.3866,          -54.5562,
Ref 9,2.35981e-08,,,,,,1.1980e-02,4.2123e-03,4.9094e-05,4.6647e-06,7.9435e-08,,,,,,,,,,,
Sam 9,2.23503e-08,1.20363e-02,4.2599e-03,4.9840e-05,4.7707e-06,8.0549e-08,,,,,,            4.6857,           11.3161,           15.2623,           22.8086,           26.5252,            1.7058,            5.3511,           -0.7446,            0.0473,           -0.9265,
Ref 10,2.32704e-08,,,,,,1.1980e-02,4.2123e-03,4.9089e-05,4.6640e-06,7.7487e-08,,,,,,,,,,,
Sam 10,2.20301e-08,1.20361e-02,4.2600e-03,4.9843e-05,4.7683e-06,8.4512e-08,,,,,,            4.6675,           11.3409,           15.4510,           22.3061,           73.7282,            1.6855,            5.3759,           -0.5644,           -0.4930,           44.9838,
Ref 11,2.29479e-08,,,,,,1.1980e-02,4.2123e-03,4.9081e-05,4.6646e-06,7.9948e-08,,,,,,,,,,,
Sam 11,2.17175e-08,1.20360e-02,4.2599e-03,4.9840e-05,4.7708e-06,8.2971e-08,,,,,,            4.6576,           11.3075,           15.3946,           22.5436,           12.5289,            1.6761,            5.3426,           -0.5772,           -0.1948,          -14.5027,
Ref 12,2.26329e-08,,,,,,1.1980e-02,4.2122e-03,4.9087e-05,4.6667e-06,8.3968e-08,,,,,,,,,,,
Sam 12,2.14120e-08,1.20361e-02,4.2599e-03,4.9832e-05,4.7766e-06,8.2643e-08,,,,,,            4.6781,           11.3165,           15.1286,           23.8525,           -2.4050,            1.6977,            5.3516,           -0.8689,            1.0671,          -29.0761,
Ref 13,2.23242e-08,,,,,,1.1980e-02,4.2122e-03,4.9091e-05,4.6639e-06,8.1701e-08,,,,,,,,,,,
Sam 13,2.11108e-08,1.20359e-02,4.2598e-03,4.9836e-05,4.7740e-06,9.0014e-08,,,,,,            4.6660,           11.3069,           15.1898,           23.5612,          124.5032,            1.6851,            5.3420,           -0.7868,            0.8013,           94.4738,
Ref 14,2.20244e-08,,,,,,1.1980e-02,4.2121e-03,4.9090e-05,4.6642e-06,7.8372e-08,,,,,,,,,,,
Sam 14,2.08186e-08,1.20359e-02,4.2599e-03,4.9837e-05,4.7618e-06,8.5170e-08,,,,,,            4.6611,           11.3344,           15.2658,           20.8455,           38.0746,            1.6789,            5.3694,           -0.7337,           -1.9083,           10.3043,
Ref 15,2.17255e-08,,,,,,1.1980e-02,4.2122e-03,4.9085e-05,4.6649e-06,8.5771e-08,,,,,,,,,,,
Sam 15,2.05287e-08,1.20359e-02,4.2599e-03,4.9836e-05,4.7681e-06,8.7810e-08,,,,,,            4.6655,           11.3248,           15.2570,           21.9814,           51.5552,            1.6840,            5.3599,           -0.7376,           -0.7787,           23.4386,
Ref 16,2.14337e-08,,,,,,1.1980e-02,4.2122e-03,4.9089e-05,4.6661e-06,8.1208e-08,,,,,,,,,,,
Sam 16,2.02426e-08,1.20359e-02,4.2597e-03,4.9840e-05,4.7761e-06,8.9016e-08,,,,,,            4.6732,           11.2972,           15.3212,           23.3508,           67.0801,            1.6931,            5.3324,           -0.6555,            0.6148,           38.5957,
Ref 17,2.11435e-08,,,,,,1.1980e-02,4.2121e-03,4.9087e-05,4.6681e-06,8.5663e-08,,,,,,,,,,,
Sam 17,1.99617e-08,1.20357e-02,4.2598e-03,4.9845e-05,4.7746e-06,8.8352e-08,,,,,,            4.6549,           11.3147,           15.4160,           23.3120,           53.5641,            1.6729,            5.3498,           -0.5604,            0.5423,           25.4255,
Ref 18,2.08608e-08,,,,,,1.1980e-02,4.2122e-03,4.9089e-05,4.6635e-06,8.2032e-08,,,,,,,,,,,
Sam 18,1.96876e-08,1.20360e-02,4.2598e-03,4.9838e-05,4.7704e-06,8.2424e-08,,,,,,            4.6737,           11.2965,           15.2168,           22.4898,           12.7833,            1.6936,            5.3316,           -0.7580,           -0.2256,          -14.2508,
Ref 19,2.05823e-08,,,,,,1.1980e-02,4.2122e-03,4.9093e-05,4.6674e-06,8.0727e-08,,,,,,,,,,,
Sam 19,1.94181e-08,1.20357e-02,4.2598e-03,4.9842e-05,4.7703e-06,8.6948e-08,,,,,,            4.6557,           11.3001,           15.2150,           22.3232,           67.7440,            1.6743,            5.3353,           -0.7449,           -0.3958,           39.2552,
Ref 20,2.03117e-08,,,,,,1.1980e-02,4.2122e-03,4.9096e-05,4.6648e-06,8.2146e-08,,,,,,,,,,,
Sam 20,1.91551e-08,1.20356e-02,4.2597e-03,4.9846e-05,4.7688e-06,8.9887e-08,,,,,,            4.6583,           11.2988,           15.3535,           22.1310,           45.5747,            1.6772,            5.3339,           -0.6099,           -0.5810,           17.6773,
Ref 21,2.00420e-08,,,,,,1.1980e-02,4.2121e-03,4.9089e-05,4.6663e-06,8.9844e-08,,,,,,,,,,,


