Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 13, 2023 at 01:30 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 13, 2023 at 02:28 with Stable 1.71.5 on PS019

Data File = Data_19599 SB1_192_A.txt,     Sample Weight = 457,                      Vial Location = 41,                       Initial Sam Beam = 1.2689e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2734e-08,                Max Ref Beam = 1.0641e-07,                

Analysis undertaken at mass 46.04596
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.64088e-08,,,,,,1.1981e-02,4.2123e-03,4.9052e-05,4.6430e-06,5.1130e-08,
Sam 1,4.57091e-08,1.20552e-02,4.2704e-03,5.0016e-05,4.7703e-06,5.2178e-08,,,,,,            6.1344,           13.7745,           19.6855,           27.4342,           42.8100,            3.1628,            7.7944,           -0.2718,           -0.2962,            8.5409,
Ref 2,4.55567e-08,,,,,,1.1982e-02,4.2125e-03,4.9048e-05,4.6427e-06,4.8922e-08,,,,,,,,,,,
Sam 2,4.48354e-08,1.20554e-02,4.2705e-03,5.0015e-05,4.7705e-06,4.7001e-08,,,,,,            6.1354,           13.7675,           19.6807,           27.2846,          -50.6827,            3.1641,            7.7875,           -0.2708,           -0.4281,          -81.8681,
Ref 3,4.47520e-08,,,,,,1.1982e-02,4.2126e-03,4.9051e-05,4.6448e-06,5.0110e-08,,,,,,,,,,,
Sam 3,4.39923e-08,1.20554e-02,4.2705e-03,5.0018e-05,4.7699e-06,5.3832e-08,,,,,,            6.1391,           13.7544,           19.6817,           27.0195,           90.3326,            3.1685,            7.7744,           -0.2608,           -0.6601,           54.5376,
Ref 4,4.39698e-08,,,,,,1.1982e-02,4.2126e-03,4.9054e-05,4.6441e-06,4.8622e-08,,,,,,,,,,,
Sam 4,4.31748e-08,1.20554e-02,4.2706e-03,5.0017e-05,4.7732e-06,4.8929e-08,,,,,,            6.1423,           13.7666,           19.5875,           28.1389,           27.3481,            3.1715,            7.7866,           -0.3684,            0.4050,           -6.4061,
Ref 5,4.32093e-08,,,,,,1.1982e-02,4.2126e-03,4.9058e-05,4.6410e-06,4.6614e-08,,,,,,,,,,,
Sam 5,4.23838e-08,1.20553e-02,4.2706e-03,5.0013e-05,4.7726e-06,4.9538e-08,,,,,,            6.1243,           13.7676,           19.4412,           28.3789,           98.2244,            3.1523,            7.7876,           -0.4944,            0.6364,           62.1596,
Ref 6,4.24718e-08,,,,,,1.1982e-02,4.2126e-03,4.9060e-05,4.6408e-06,4.3575e-08,,,,,,,,,,,
Sam 6,4.16092e-08,1.20554e-02,4.2706e-03,5.0023e-05,4.7703e-06,4.8024e-08,,,,,,            6.1399,           13.7731,           19.6951,           27.5574,           78.1585,            3.1687,            7.7930,           -0.2667,           -0.1736,           42.7245,
Ref 7,4.17472e-08,,,,,,1.1982e-02,4.2126e-03,4.9054e-05,4.6440e-06,4.5527e-08,,,,,,,,,,,
Sam 7,4.08529e-08,1.20553e-02,4.2706e-03,5.0024e-05,4.7688e-06,5.0134e-08,,,,,,            6.1327,           13.7545,           19.7175,           27.2507,           75.5208,            3.1616,            7.7745,           -0.2193,           -0.4354,           40.2190,
Ref 8,4.10388e-08,,,,,,1.1982e-02,4.2127e-03,4.9059e-05,4.6406e-06,4.7720e-08,,,,,,,,,,,
Sam 8,4.01051e-08,1.20554e-02,4.2705e-03,5.0020e-05,4.7726e-06,4.9156e-08,,,,,,            6.1437,           13.7403,           19.5898,           28.1130,           37.2032,            3.1738,            7.7604,           -0.3419,            0.4317,            3.1751,
Ref 9,4.03257e-08,,,,,,1.1982e-02,4.2126e-03,4.9059e-05,4.6436e-06,4.7061e-08,,,,,,,,,,,
Sam 9,3.93720e-08,1.20550e-02,4.2706e-03,5.0019e-05,4.7698e-06,4.8387e-08,,,,,,            6.1276,           13.7509,           19.5602,           27.1270,           69.0942,            3.1564,            7.7710,           -0.3648,           -0.5486,           34.0160,
Ref 10,3.96474e-08,,,,,,1.1982e-02,4.2126e-03,4.9059e-05,4.6440e-06,4.3428e-08,,,,,,,,,,,
Sam 10,3.86714e-08,1.20551e-02,4.2707e-03,5.0019e-05,4.7719e-06,4.6128e-08,,,,,,            6.1255,           13.7678,           19.5549,           28.2302,           56.3030,            3.1536,            7.7878,           -0.3843,            0.4914,           21.6132,
Ref 11,3.89914e-08,,,,,,1.1982e-02,4.2127e-03,4.9060e-05,4.6376e-06,4.3915e-08,,,,,,,,,,,
Sam 11,3.79964e-08,1.20553e-02,4.2706e-03,5.0022e-05,4.7701e-06,4.3498e-08,,,,,,            6.1326,           13.7356,           19.6218,           28.1984,           17.8619,            3.1622,            7.7558,           -0.2946,            0.5240,          -15.5113,
Ref 12,3.83504e-08,,,,,,1.1982e-02,4.2127e-03,4.9058e-05,4.6410e-06,4.1535e-08,,,,,,,,,,,
Sam 12,3.73298e-08,1.20553e-02,4.2706e-03,5.0024e-05,4.7683e-06,4.5884e-08,,,,,,            6.1428,           13.7541,           19.6447,           27.0964,           73.0682,            3.1725,            7.7741,           -0.3006,           -0.5848,           37.8365,
Ref 13,3.77163e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6441e-06,4.4006e-08,,,,,,,,,,,
Sam 13,3.66739e-08,1.20552e-02,4.2706e-03,5.0023e-05,4.7720e-06,3.7587e-08,,,,,,            6.1333,           13.7537,           19.6234,           27.8089,         -101.3908,            3.1623,            7.7737,           -0.3113,            0.1094,         -130.8849,
Ref 14,3.70951e-08,,,,,,1.1982e-02,4.2127e-03,4.9059e-05,4.6415e-06,3.9614e-08,,,,,,,,,,,
Sam 14,3.60371e-08,1.20551e-02,4.2706e-03,5.0022e-05,4.7712e-06,4.1656e-08,,,,,,            6.1248,           13.7453,           19.6300,           28.0441,           71.0758,            3.1536,            7.7655,           -0.2881,            0.3547,           35.9468,
Ref 15,3.64972e-08,,,,,,1.1982e-02,4.2127e-03,4.9060e-05,4.6405e-06,3.8156e-08,,,,,,,,,,,
Sam 15,3.54283e-08,1.20551e-02,4.2707e-03,5.0029e-05,4.7686e-06,4.0761e-08,,,,,,            6.1306,           13.7433,           19.7602,           27.4078,           93.8360,            3.1598,            7.7634,           -0.1644,           -0.2605,           57.9582,
Ref 16,3.59075e-08,,,,,,1.1981e-02,4.2128e-03,4.9059e-05,4.6422e-06,3.6358e-08,,,,,,,,,,,
Sam 16,3.47982e-08,1.20550e-02,4.2706e-03,5.0020e-05,4.7716e-06,3.8519e-08,,,,,,            6.1290,           13.7314,           19.6077,           27.8035,           35.6381,            3.1586,            7.7516,           -0.3008,            0.1480,            1.6940,
Ref 17,3.53087e-08,,,,,,1.1982e-02,4.2127e-03,4.9058e-05,4.6429e-06,3.8043e-08,,,,,,,,,,,
Sam 17,3.42091e-08,1.20550e-02,4.2706e-03,5.0027e-05,4.7703e-06,3.4791e-08,,,,,,            6.1311,           13.7464,           19.7418,           27.2560,          -72.2969,            3.1603,            7.7665,           -0.1860,           -0.4143,         -102.7313,
Ref 18,3.47385e-08,,,,,,1.1982e-02,4.2127e-03,4.9058e-05,4.6446e-06,3.6954e-08,,,,,,,,,,,
Sam 18,3.36237e-08,1.20548e-02,4.2705e-03,5.0016e-05,4.7656e-06,3.8476e-08,,,,,,            6.1265,           13.7385,           19.5122,           26.5112,           11.7354,            3.1556,            7.7586,           -0.3986,           -1.1234,          -21.4360,
Ref 19,3.41775e-08,,,,,,1.1981e-02,4.2126e-03,4.9059e-05,4.6404e-06,3.9124e-08,,,,,,,,,,,
Sam 19,3.30531e-08,1.20548e-02,4.2705e-03,5.0025e-05,4.7680e-06,3.9314e-08,,,,,,            6.1309,           13.7454,           19.7236,           27.3064,          114.9436,            3.1601,            7.7655,           -0.2026,           -0.3631,           78.3689,
Ref 20,3.36346e-08,,,,,,1.1981e-02,4.2126e-03,4.9056e-05,4.6422e-06,3.1335e-08,,,,,,,,,,,
Sam 20,3.25029e-08,1.20548e-02,4.2706e-03,5.0023e-05,4.7677e-06,3.7691e-08,,,,,,            6.1391,           13.7652,           19.6830,           26.8201,          139.1543,            3.1681,            7.7852,           -0.2701,           -0.8756,          101.7333,
Ref 21,3.31102e-08,,,,,,1.1981e-02,4.2126e-03,4.9059e-05,4.6441e-06,3.4866e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.28468e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6400e-06,3.3877e-08,
Sam 1,3.16823e-08,1.20547e-02,4.2705e-03,5.0022e-05,4.7683e-06,3.4315e-08,,,,,,            6.1388,           13.7428,           19.5320,           27.5336,           -8.7481,            3.1685,            7.7629,           -0.3960,           -0.1369,          -41.2683,
Ref 2,3.23292e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6410e-06,3.5371e-08,,,,,,,,,,,
Sam 2,3.11540e-08,1.20545e-02,4.2704e-03,5.0023e-05,4.7734e-06,3.7050e-08,,,,,,            6.1310,           13.7282,           19.6135,           28.7565,          114.6073,            3.1608,            7.7484,           -0.2940,            1.0818,           78.0794,
Ref 3,3.18265e-08,,,,,,1.1981e-02,4.2126e-03,4.9058e-05,4.6390e-06,3.1075e-08,,,,,,,,,,,
Sam 3,3.06423e-08,1.20547e-02,4.2705e-03,5.0014e-05,4.7656e-06,3.6314e-08,,,,,,            6.1332,           13.7547,           19.4366,           26.9715,          166.4080,            3.1622,            7.7747,           -0.4953,           -0.7074,          128.1219,
Ref 4,3.13343e-08,,,,,,1.1981e-02,4.2126e-03,4.9063e-05,4.6419e-06,3.1193e-08,,,,,,,,,,,
Sam 4,3.01391e-08,1.20546e-02,4.2705e-03,5.0020e-05,4.7681e-06,3.7811e-08,,,,,,            6.1305,           13.7462,           19.4685,           26.9889,          161.3212,            3.1597,            7.7663,           -0.4532,           -0.6739,          123.2235,
Ref 5,3.08473e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6437e-06,3.3946e-08,,,,,,,,,,,
Sam 5,2.96477e-08,1.20546e-02,4.2705e-03,5.0025e-05,4.7682e-06,3.5446e-08,,,,,,            6.1327,           13.7592,           19.5910,           27.4393,           99.4246,            3.1615,            7.7793,           -0.3479,           -0.2612,           63.3282,
Ref 6,3.03724e-08,,,,,,1.1981e-02,4.2126e-03,4.9062e-05,4.6380e-06,3.0508e-08,,,,,,,,,,,
Sam 6,2.91719e-08,1.20545e-02,4.2704e-03,5.0030e-05,4.7643e-06,2.7479e-08,,,,,,            6.1274,           13.7400,           19.8199,           27.2153,          -56.1437,            3.1565,            7.7601,           -0.0994,           -0.4412,          -87.0932,
Ref 7,2.99099e-08,,,,,,1.1981e-02,4.2126e-03,4.9054e-05,4.6382e-06,2.7698e-08,,,,,,,,,,,
Sam 7,2.87072e-08,1.20545e-02,4.2704e-03,5.0015e-05,4.7698e-06,2.9550e-08,,,,,,            6.1379,           13.7320,           19.5629,           28.5702,            5.6707,            3.1680,            7.7521,           -0.3544,            0.8931,          -27.3013,
Ref 8,2.94550e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6365e-06,3.1094e-08,,,,,,,,,,,
Sam 8,2.82520e-08,1.20544e-02,4.2705e-03,5.0022e-05,4.7673e-06,3.3925e-08,,,,,,            6.1350,           13.7569,           19.6440,           27.7115,          188.5573,            3.1640,            7.7770,           -0.2960,            0.0082,          149.5370,
Ref 9,2.90141e-08,,,,,,1.1981e-02,4.2125e-03,4.9060e-05,4.6409e-06,2.5952e-08,,,,,,,,,,,
Sam 9,2.78115e-08,1.20544e-02,4.2704e-03,5.0016e-05,4.7675e-06,3.0714e-08,,,,,,            6.1360,           13.7612,           19.4520,           27.6020,          223.8651,            3.1650,            7.7812,           -0.4895,           -0.1068,          183.6744,
Ref 10,2.85869e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6379e-06,2.4226e-08,,,,,,,,,,,
Sam 10,2.73914e-08,1.20543e-02,4.2704e-03,5.0015e-05,4.7672e-06,3.1727e-08,,,,,,            6.1360,           13.7501,           19.4232,           27.8800,          226.5230,            3.1654,            7.7701,           -0.5070,            0.1857,          186.2707,
Ref 11,2.81673e-08,,,,,,1.1981e-02,4.2126e-03,4.9060e-05,4.6378e-06,2.7533e-08,,,,,,,,,,,
Sam 11,2.69685e-08,1.20544e-02,4.2705e-03,5.0018e-05,4.7676e-06,2.5753e-08,,,,,,            6.1381,           13.7548,           19.5068,           27.9289,          -77.8059,            3.1675,            7.7748,           -0.4317,            0.2240,         -108.0807,
Ref 12,2.77588e-08,,,,,,1.1981e-02,4.2125e-03,4.9061e-05,4.6383e-06,2.8324e-08,,,,,,,,,,,
Sam 12,2.65623e-08,1.20544e-02,4.2704e-03,5.0027e-05,4.7673e-06,3.2178e-08,,,,,,            6.1288,           13.7238,           19.6420,           27.6166,          212.6702,            3.1586,            7.7440,           -0.2595,           -0.0188,          172.9412,
Ref 13,2.73507e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6401e-06,2.4719e-08,,,,,,,,,,,
Sam 13,2.61597e-08,1.20543e-02,4.2704e-03,5.0026e-05,4.7648e-06,2.7431e-08,,,,,,            6.1250,           13.7324,           19.5891,           26.6973,           61.4036,            3.1542,            7.7526,           -0.3159,           -0.9304,           26.6173,
Ref 14,2.69562e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6418e-06,2.6985e-08,,,,,,,,,,,
Sam 14,2.57640e-08,1.20542e-02,4.2704e-03,5.0014e-05,4.7695e-06,2.2286e-08,,,,,,            6.1301,           13.7320,           19.3735,           28.1975,         -152.3509,            3.1596,            7.7521,           -0.5320,            0.5303,         -180.1352,
Ref 15,2.65694e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6356e-06,2.5588e-08,,,,,,,,,,,
Sam 15,2.53738e-08,1.20541e-02,4.2703e-03,5.0014e-05,4.7682e-06,2.4313e-08,,,,,,            6.1205,           13.7255,           19.3981,           28.9745,           66.2289,            3.1497,            7.7457,           -0.4918,            1.2992,           31.3033,
Ref 16,2.61903e-08,,,,,,1.1981e-02,4.2124e-03,4.9060e-05,4.6322e-06,1.9977e-08,,,,,,,,,,,
Sam 16,2.49889e-08,1.20540e-02,4.2703e-03,5.0018e-05,4.7646e-06,2.3185e-08,,,,,,            6.1204,           13.7259,           19.4938,           28.0126,           63.5988,            3.1495,            7.7461,           -0.3983,            0.3624,           28.7587,
Ref 17,2.58091e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6373e-06,2.3646e-08,,,,,,,,,,,
Sam 17,2.46078e-08,1.20540e-02,4.2703e-03,5.0023e-05,4.7652e-06,2.3834e-08,,,,,,            6.1260,           13.7319,           19.5477,           27.9997,            0.1790,            3.1553,            7.7521,           -0.3569,            0.3380,          -32.6006,
Ref 18,2.54416e-08,,,,,,1.1981e-02,4.2124e-03,4.9064e-05,4.6336e-06,2.4016e-08,,,,,,,,,,,
Sam 18,2.42408e-08,1.20540e-02,4.2702e-03,5.0018e-05,4.7632e-06,2.9277e-08,,,,,,            6.1353,           13.7243,           19.4089,           27.6530,          162.4218,            3.1655,            7.7445,           -0.4952,            0.0157,          124.3303,
Ref 19,2.50791e-08,,,,,,1.1980e-02,4.2124e-03,4.9067e-05,4.6366e-06,2.6374e-08,,,,,,,,,,,
Sam 19,2.38800e-08,1.20539e-02,4.2702e-03,5.0021e-05,4.7601e-06,2.1962e-08,,,,,,            6.1359,           13.7321,           19.5492,           26.9128,          -75.3850,            3.1659,            7.7523,           -0.3659,           -0.7200,         -105.6978,
Ref 20,2.47265e-08,,,,,,1.1980e-02,4.2124e-03,4.9056e-05,4.6341e-06,2.1095e-08,,,,,,,,,,,
Sam 20,2.35276e-08,1.20539e-02,4.2702e-03,5.0013e-05,4.7630e-06,2.0422e-08,,,,,,            6.1353,           13.7286,           19.4032,           27.3522,            5.0403,            3.1654,            7.7488,           -0.5051,           -0.2857,          -27.9021,
Ref 21,2.43788e-08,,,,,,1.1980e-02,4.2124e-03,4.9066e-05,4.6383e-06,1.9533e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.42077e-08,,,,,,1.1980e-02,4.2124e-03,4.9066e-05,4.6362e-06,2.4213e-08,
Sam 1,2.30158e-08,1.20538e-02,4.2701e-03,5.0026e-05,4.7611e-06,2.8598e-08,,,,,,            6.1323,           13.7132,           19.6526,           27.2930,          224.7742,            3.1626,            7.7335,           -0.2424,           -0.3128,          184.6687,
Ref 2,2.38692e-08,,,,,,1.1980e-02,4.2124e-03,4.9056e-05,4.6330e-06,2.2474e-08,,,,,,,,,,,
Sam 2,2.26799e-08,1.20538e-02,4.2702e-03,5.0010e-05,4.7617e-06,2.6562e-08,,,,,,            6.1401,           13.7386,           19.3888,           27.2108,          222.5166,            3.1701,            7.7587,           -0.5337,           -0.4428,          182.4170,
Ref 3,2.35354e-08,,,,,,1.1980e-02,4.2123e-03,4.9062e-05,4.6381e-06,2.0970e-08,,,,,,,,,,,
Sam 3,2.23532e-08,1.20538e-02,4.2702e-03,5.0019e-05,4.7605e-06,2.8406e-08,,,,,,            6.1371,           13.7436,           19.5141,           27.3367,          254.1487,            3.1667,            7.7637,           -0.4126,           -0.3301,          213.0037,
Ref 4,2.32092e-08,,,,,,1.1980e-02,4.2123e-03,4.9062e-05,4.6294e-06,2.4354e-08,,,,,,,,,,,
Sam 4,2.20299e-08,1.20537e-02,4.2701e-03,5.0020e-05,4.7573e-06,3.1217e-08,,,,,,            6.1276,           13.7306,           19.6234,           26.4851,          335.2722,            3.1571,            7.7508,           -0.2832,           -1.1333,          291.5110,
Ref 5,2.28881e-08,,,,,,1.1980e-02,4.2123e-03,4.9053e-05,4.6397e-06,2.2391e-08,,,,,,,,,,,
Sam 5,2.17158e-08,1.20537e-02,4.2701e-03,5.0025e-05,4.7609e-06,2.7297e-08,,,,,,            6.1386,           13.7286,           19.8532,           26.6896,          137.1371,            3.1689,            7.7488,           -0.0672,           -0.9304,           99.8610,
Ref 6,2.25742e-08,,,,,,1.1980e-02,4.2123e-03,4.9050e-05,4.6345e-06,2.5641e-08,,,,,,,,,,,
Sam 6,2.14059e-08,1.20534e-02,4.2700e-03,5.0025e-05,4.7612e-06,2.1769e-08,,,,,,            6.1181,           13.6996,           19.8261,           27.7808,         -142.9350,            3.1480,            7.7199,           -0.0445,            0.1889,         -170.9653,
Ref 7,2.22638e-08,,,,,,1.1980e-02,4.2122e-03,4.9056e-05,4.6305e-06,2.5155e-08,,,,,,,,,,,
Sam 7,2.11028e-08,1.20536e-02,4.2701e-03,5.0017e-05,4.7540e-06,2.4768e-08,,,,,,            6.1338,           13.7357,           19.5770,           26.6786,           49.2605,            3.1635,            7.7559,           -0.3400,           -0.9551,           14.8562,
Ref 8,2.19601e-08,,,,,,1.1980e-02,4.2122e-03,4.9058e-05,4.6305e-06,2.2034e-08,,,,,,,,,,,
Sam 8,2.08098e-08,1.20535e-02,4.2701e-03,5.0017e-05,4.7656e-06,2.5727e-08,,,,,,            6.1304,           13.7304,           19.5015,           28.9831,           36.9154,            3.1601,            7.7506,           -0.4054,            1.2978,            2.9299,
Ref 9,2.16642e-08,,,,,,1.1980e-02,4.2123e-03,4.9061e-05,4.6324e-06,2.7626e-08,,,,,,,,,,,
Sam 9,2.05209e-08,1.20534e-02,4.2701e-03,5.0014e-05,4.7631e-06,2.5096e-08,,,,,,            6.1272,           13.7322,           19.5527,           28.2241,          -37.0697,            3.1566,            7.7524,           -0.3537,            0.5557,          -68.6304,
Ref 10,2.13755e-08,,,,,,1.1980e-02,4.2122e-03,4.9047e-05,4.6324e-06,2.4477e-08,,,,,,,,,,,
Sam 10,2.02398e-08,1.20535e-02,4.2700e-03,5.0009e-05,4.7610e-06,2.6469e-08,,,,,,            6.1384,           13.7080,           19.4992,           27.2548,          -54.5743,            3.1693,            7.7283,           -0.3941,           -0.3397,          -85.5290,
Ref 11,2.10911e-08,,,,,,1.1980e-02,4.2123e-03,4.9058e-05,4.6371e-06,3.1564e-08,,,,,,,,,,,
Sam 11,1.99618e-08,1.20534e-02,4.2700e-03,5.0013e-05,4.7647e-06,3.2517e-08,,,,,,            6.1349,           13.7174,           19.4521,           27.8888,          126.5045,            3.1652,            7.7376,           -0.4457,            0.2587,           89.6050,
Ref 12,2.08104e-08,,,,,,1.1980e-02,4.2122e-03,4.9060e-05,4.6339e-06,2.6130e-08,,,,,,,,,,,
Sam 12,1.96871e-08,1.20533e-02,4.2700e-03,5.0017e-05,4.7606e-06,2.1608e-08,,,,,,            6.1257,           13.7281,           19.5528,           27.6177,         -102.6810,            3.1551,            7.7483,           -0.3480,           -0.0262,         -132.0828,
Ref 13,2.05354e-08,,,,,,1.1980e-02,4.2122e-03,4.9056e-05,4.6315e-06,2.2004e-08,,,,,,,,,,,
Sam 13,1.94187e-08,1.20533e-02,4.2699e-03,5.0011e-05,4.7544e-06,2.6419e-08,,,,,,            6.1281,           13.7031,           19.4350,           26.1494,           93.2269,            3.1585,            7.7234,           -0.4417,           -1.4057,           57.4544,
Ref 14,2.02647e-08,,,,,,1.1980e-02,4.2122e-03,4.9060e-05,4.6351e-06,2.6357e-08,,,,,,,,,,,
Sam 14,1.91556e-08,1.20532e-02,4.2699e-03,5.0008e-05,4.7627e-06,2.6446e-08,,,,,,            6.1232,           13.7111,           19.3297,           27.7798,           16.9260,            3.1531,            7.7314,           -0.5478,            0.1650,          -16.3600,
Ref 15,2.00015e-08,,,,,,1.1980e-02,4.2122e-03,4.9059e-05,4.6329e-06,2.5649e-08,,,,,,,,,,,
Sam 15,1.88975e-08,1.20532e-02,4.2700e-03,5.0014e-05,4.7648e-06,2.4706e-08,,,,,,            6.1264,           13.7337,           19.4795,           28.2827,           16.9424,            3.1557,            7.7539,           -0.4260,            0.6099,          -16.3905,
Ref 16,1.97369e-08,,,,,,1.1980e-02,4.2121e-03,4.9058e-05,4.6346e-06,2.2921e-08,,,,,,,,,,,
Sam 16,1.86404e-08,1.20532e-02,4.2700e-03,5.0005e-05,4.7589e-06,2.1219e-08,,,,,,            6.1245,           13.7368,           19.2716,           26.8707,           20.8225,            3.1536,            7.7569,           -0.6309,           -0.7703,          -12.6415,
Ref 17,1.94813e-08,,,,,,1.1980e-02,4.2122e-03,4.9061e-05,4.6341e-06,1.8624e-08,,,,,,,,,,,
Sam 17,1.83888e-08,1.20532e-02,4.2699e-03,5.0005e-05,4.7622e-06,1.6939e-08,,,,,,            6.1294,           13.7101,           19.2264,           27.9225,            6.2487,            3.1597,            7.7304,           -0.6544,            0.3059,          -26.6922,
Ref 18,1.92256e-08,,,,,,1.1980e-02,4.2121e-03,4.9062e-05,4.6316e-06,1.5021e-08,,,,,,,,,,,
Sam 18,1.81425e-08,1.20532e-02,4.2699e-03,5.0020e-05,4.7554e-06,2.1536e-08,,,,,,            6.1315,           13.7343,           19.5472,           26.3103,          332.1038,            3.1611,            7.7545,           -0.3656,           -1.3107,          288.4319,
Ref 19,1.89782e-08,,,,,,1.1980e-02,4.2120e-03,4.9060e-05,4.6354e-06,1.7327e-08,,,,,,,,,,,
Sam 19,1.79021e-08,1.20530e-02,4.2699e-03,5.0010e-05,4.7599e-06,1.8419e-08,,,,,,            6.1219,           13.7406,           19.4416,           26.9888,          127.8884,            3.1507,            7.7608,           -0.4653,           -0.6628,           90.9094,
Ref 20,1.87329e-08,,,,,,1.1980e-02,4.2120e-03,4.9053e-05,4.6343e-06,1.5320e-08,,,,,,,,,,,
Sam 20,1.76641e-08,1.20532e-02,4.2699e-03,5.0017e-05,4.7564e-06,2.4234e-08,,,,,,            6.1488,           13.7388,           19.5411,           27.1678,          347.5843,            3.1794,            7.7589,           -0.3936,           -0.4851,          303.3697,
Ref 21,1.84943e-08,,,,,,1.1979e-02,4.2120e-03,4.9063e-05,4.6268e-06,2.0681e-08,,,,,,,,,,,


