Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 13, 2023 at 04:13 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 13, 2023 at 05:12 with Stable 1.71.5 on PS019

Data File = Data_19601 SB1_98_A.txt,      Sample Weight = 439,                      Vial Location = 43,                       Initial Sam Beam = 1.3729e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.1159e-08,                Max Ref Beam = 1.0670e-07,                

Analysis undertaken at mass 46.04594
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.11277e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6419e-06,4.8205e-08,
Sam 1,5.04097e-08,1.20612e-02,4.2881e-03,5.0236e-05,4.8097e-06,5.1353e-08,,,,,,            6.6329,           18.0101,           24.3213,           36.0129,           57.2979,            3.5475,           12.0085,           -0.3494,           -0.3201,           13.6663,
Ref 2,5.01670e-08,,,,,,1.1982e-02,4.2124e-03,4.9045e-05,4.6432e-06,4.8942e-08,,,,,,,,,,,
Sam 2,4.94079e-08,1.20613e-02,4.2883e-03,5.0247e-05,4.8125e-06,5.1374e-08,,,,,,            6.6109,           18.0186,           24.4802,           36.3523,           59.6245,            3.5239,           12.0170,           -0.1801,           -0.0093,           15.9039,
Ref 3,4.92481e-08,,,,,,1.1982e-02,4.2124e-03,4.9047e-05,4.6442e-06,4.8015e-08,,,,,,,,,,,
Sam 3,4.84476e-08,1.20615e-02,4.2884e-03,5.0244e-05,4.8122e-06,5.2492e-08,,,,,,            6.6177,           18.0201,           24.3455,           36.1267,          126.6921,            3.5311,           12.0184,           -0.3199,           -0.2298,           80.1933,
Ref 4,4.83627e-08,,,,,,1.1982e-02,4.2125e-03,4.9053e-05,4.6447e-06,4.5137e-08,,,,,,,,,,,
Sam 4,4.75219e-08,1.20615e-02,4.2885e-03,5.0240e-05,4.8126e-06,5.2028e-08,,,,,,            6.6260,           18.0232,           24.2671,           36.3032,          127.4476,            3.5397,           12.0215,           -0.4079,           -0.0657,           80.9017,
Ref 5,4.74988e-08,,,,,,1.1982e-02,4.2126e-03,4.9047e-05,4.6434e-06,4.7174e-08,,,,,,,,,,,
Sam 5,4.66148e-08,1.20615e-02,4.2885e-03,5.0247e-05,4.8120e-06,5.1625e-08,,,,,,            6.6165,           18.0177,           24.4116,           36.4686,           99.9960,            3.5299,           12.0161,           -0.2519,            0.1047,           54.6051,
Ref 6,4.66598e-08,,,,,,1.1982e-02,4.2126e-03,4.9052e-05,4.6419e-06,4.6685e-08,,,,,,,,,,,
Sam 6,4.57373e-08,1.20617e-02,4.2886e-03,5.0247e-05,4.8129e-06,4.8647e-08,,,,,,            6.6288,           18.0155,           24.3234,           36.4216,           30.4183,            3.5430,           12.0138,           -0.3484,            0.0637,          -12.1099,
Ref 7,4.58326e-08,,,,,,1.1982e-02,4.2127e-03,4.9055e-05,4.6456e-06,4.7746e-08,,,,,,,,,,,
Sam 7,4.48787e-08,1.20616e-02,4.2886e-03,5.0255e-05,4.8146e-06,4.6844e-08,,,,,,            6.6205,           18.0208,           24.4309,           36.7550,           -2.6649,            3.5340,           12.0191,           -0.2400,            0.3751,          -43.8290,
Ref 8,4.50371e-08,,,,,,1.1982e-02,4.2127e-03,4.9058e-05,4.6421e-06,4.6179e-08,,,,,,,,,,,
Sam 8,4.40443e-08,1.20615e-02,4.2886e-03,5.0253e-05,4.8114e-06,4.8418e-08,,,,,,            6.6173,           18.0092,           24.4263,           36.0093,           30.4004,            3.5310,           12.0076,           -0.2301,           -0.3217,          -12.1030,
Ref 9,4.42566e-08,,,,,,1.1982e-02,4.2128e-03,4.9052e-05,4.6462e-06,4.7814e-08,,,,,,,,,,,
Sam 9,4.32326e-08,1.20615e-02,4.2885e-03,5.0248e-05,4.8128e-06,4.5530e-08,,,,,,            6.6212,           18.0022,           24.2733,           35.9928,           18.7294,            3.5354,           12.0006,           -0.3766,           -0.3238,          -23.2834,
Ref 10,4.34721e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6450e-06,4.1516e-08,,,,,,,,,,,
Sam 10,4.24216e-08,1.20614e-02,4.2886e-03,5.0254e-05,4.8131e-06,4.4053e-08,,,,,,            6.6210,           18.0163,           24.3650,           36.4244,           58.2655,            3.5347,           12.0146,           -0.3005,            0.0650,           14.5947,
Ref 11,4.27236e-08,,,,,,1.1982e-02,4.2127e-03,4.9054e-05,4.6429e-06,4.1741e-08,,,,,,,,,,,
Sam 11,4.16453e-08,1.20614e-02,4.2886e-03,5.0255e-05,4.8062e-06,4.4470e-08,,,,,,            6.6102,           18.0194,           24.3991,           35.4519,           29.6936,            3.5230,           12.0177,           -0.2592,           -0.8796,          -12.7927,
Ref 12,4.19925e-08,,,,,,1.1982e-02,4.2127e-03,4.9062e-05,4.6405e-06,4.4660e-08,,,,,,,,,,,
Sam 12,4.08865e-08,1.20614e-02,4.2886e-03,5.0252e-05,4.8141e-06,5.0491e-08,,,,,,            6.6100,           18.0104,           24.3102,           36.9692,          124.2088,            3.5232,           12.0088,           -0.3371,            0.6022,           77.8415,
Ref 13,4.12659e-08,,,,,,1.1982e-02,4.2128e-03,4.9055e-05,4.6446e-06,4.5169e-08,,,,,,,,,,,
Sam 13,4.01488e-08,1.20615e-02,4.2887e-03,5.0256e-05,4.8129e-06,4.5727e-08,,,,,,            6.6249,           18.0154,           24.3830,           36.2208,           58.8915,            3.5389,           12.0138,           -0.2862,           -0.1299,           15.1924,
Ref 14,4.05722e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6447e-06,4.1164e-08,,,,,,,,,,,
Sam 14,3.94287e-08,1.20613e-02,4.2886e-03,5.0253e-05,4.8093e-06,4.6122e-08,,,,,,            6.6123,           18.0211,           24.2112,           35.7481,           48.2353,            3.5253,           12.0195,           -0.4465,           -0.5972,            4.9782,
Ref 15,3.98862e-08,,,,,,1.1982e-02,4.2127e-03,4.9065e-05,4.6419e-06,4.6884e-08,,,,,,,,,,,
Sam 15,3.87394e-08,1.20613e-02,4.2887e-03,5.0261e-05,4.8091e-06,4.4847e-08,,,,,,            6.6172,           18.0347,           24.4889,           35.8017,           11.6673,            3.5300,           12.0330,           -0.1936,           -0.5722,          -30.1112,
Ref 16,3.92145e-08,,,,,,1.1982e-02,4.2127e-03,4.9054e-05,4.6439e-06,4.1732e-08,,,,,,,,,,,
Sam 16,3.80368e-08,1.20612e-02,4.2887e-03,5.0249e-05,4.8122e-06,4.5379e-08,,,,,,            6.6140,           18.0163,           24.2295,           36.2709,           72.7489,            3.5272,           12.0147,           -0.4256,           -0.0833,           28.4881,
Ref 17,3.85595e-08,,,,,,1.1982e-02,4.2128e-03,4.9066e-05,4.6435e-06,4.2882e-08,,,,,,,,,,,
Sam 17,3.73682e-08,1.20611e-02,4.2886e-03,5.0251e-05,4.8120e-06,4.5837e-08,,,,,,            6.6107,           18.0060,           24.1392,           36.2760,          113.4703,            3.5240,           12.0045,           -0.5005,           -0.0581,           67.5541,
Ref 18,3.79202e-08,,,,,,1.1982e-02,4.2128e-03,4.9067e-05,4.6436e-06,3.9422e-08,,,,,,,,,,,
Sam 18,3.67153e-08,1.20612e-02,4.2886e-03,5.0255e-05,4.8102e-06,4.4938e-08,,,,,,            6.6272,           18.0094,           24.2618,           35.9963,          109.0209,            3.5415,           12.0078,           -0.4010,           -0.3347,           63.2626,
Ref 19,3.72937e-08,,,,,,1.1982e-02,4.2127e-03,4.9063e-05,4.6425e-06,4.1638e-08,,,,,,,,,,,
Sam 19,3.60811e-08,1.20612e-02,4.2887e-03,5.0257e-05,4.8129e-06,4.3399e-08,,,,,,            6.6240,           18.0193,           24.3488,           36.5295,           62.7740,            3.5378,           12.0176,           -0.3223,            0.1605,           18.9080,
Ref 20,3.66836e-08,,,,,,1.1982e-02,4.2128e-03,4.9062e-05,4.6442e-06,4.0020e-08,,,,,,,,,,,
Sam 20,3.54521e-08,1.20611e-02,4.2886e-03,5.0262e-05,4.8082e-06,4.2323e-08,,,,,,            6.6260,           18.0112,           24.4173,           35.0291,          -27.6963,            3.5401,           12.0096,           -0.2497,           -1.2715,          -67.8154,
Ref 21,3.60855e-08,,,,,,1.1982e-02,4.2127e-03,4.9067e-05,4.6468e-06,4.7095e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.57937e-08,,,,,,1.1982e-02,4.2127e-03,4.9064e-05,4.6419e-06,4.5746e-08,
Sam 1,3.45381e-08,1.20611e-02,4.2886e-03,5.0261e-05,4.8135e-06,4.7942e-08,,,,,,            6.6172,           18.0160,           24.4678,           36.6288,           92.9351,            3.5306,           12.0143,           -0.1960,            0.2628,           47.8385,
Ref 2,3.52179e-08,,,,,,1.1982e-02,4.2127e-03,4.9056e-05,4.6448e-06,4.1954e-08,,,,,,,,,,,
Sam 2,3.39463e-08,1.20609e-02,4.2886e-03,5.0258e-05,4.8105e-06,4.2783e-08,,,,,,            6.6129,           17.9981,           24.3692,           35.8111,          -22.7444,            3.5266,           11.9966,           -0.2706,           -0.4913,          -63.0312,
Ref 3,3.46510e-08,,,,,,1.1982e-02,4.2128e-03,4.9069e-05,4.6435e-06,4.5633e-08,,,,,,,,,,,
Sam 3,3.33606e-08,1.20610e-02,4.2886e-03,5.0259e-05,4.8112e-06,4.9468e-08,,,,,,            6.6262,           17.9982,           24.3420,           35.9531,          107.0922,            3.5408,           11.9967,           -0.3109,           -0.3545,           61.4377,
Ref 4,3.40933e-08,,,,,,1.1982e-02,4.2128e-03,4.9061e-05,4.6451e-06,4.3716e-08,,,,,,,,,,,
Sam 4,3.27949e-08,1.20608e-02,4.2886e-03,5.0256e-05,4.8114e-06,4.7704e-08,,,,,,            6.6162,           18.0035,           24.3495,           35.6647,          114.0765,            3.5300,           12.0019,           -0.2984,           -0.6431,           68.1344,
Ref 5,3.35457e-08,,,,,,1.1982e-02,4.2127e-03,4.9063e-05,4.6463e-06,4.1908e-08,,,,,,,,,,,
Sam 5,3.22395e-08,1.20607e-02,4.2885e-03,5.0254e-05,4.8073e-06,4.6989e-08,,,,,,            6.6124,           18.0046,           24.2997,           34.9698,           89.6376,            3.5260,           12.0030,           -0.3442,           -1.3157,           44.7053,
Ref 6,3.30099e-08,,,,,,1.1981e-02,4.2127e-03,4.9060e-05,4.6435e-06,4.4360e-08,,,,,,,,,,,
Sam 6,3.17023e-08,1.20608e-02,4.2886e-03,5.0259e-05,4.8116e-06,4.4729e-08,,,,,,            6.6181,           18.0074,           24.4453,           36.2803,           20.7047,            3.5319,           12.0058,           -0.2106,           -0.0566,          -21.3962,
Ref 7,3.24908e-08,,,,,,1.1982e-02,4.2127e-03,4.9059e-05,4.6429e-06,4.3274e-08,,,,,,,,,,,
Sam 7,3.11838e-08,1.20607e-02,4.2885e-03,5.0266e-05,4.8146e-06,4.7984e-08,,,,,,            6.6062,           17.9879,           24.5018,           37.0035,          108.6804,            3.5199,           11.9864,           -0.1244,            0.6795,           63.0041,
Ref 8,3.19865e-08,,,,,,1.1981e-02,4.2128e-03,4.9069e-05,4.6428e-06,4.3286e-08,,,,,,,,,,,
Sam 8,3.06703e-08,1.20606e-02,4.2885e-03,5.0257e-05,4.8126e-06,4.5283e-08,,,,,,            6.6140,           17.9800,           24.2644,           36.7453,           74.4779,            3.5285,           11.9785,           -0.3565,            0.4459,           30.2180,
Ref 9,3.14829e-08,,,,,,1.1981e-02,4.2127e-03,4.9064e-05,4.6413e-06,4.0985e-08,,,,,,,,,,,
Sam 9,3.01731e-08,1.20604e-02,4.2884e-03,5.0270e-05,4.8114e-06,4.8334e-08,,,,,,            6.6096,           17.9644,           24.6103,           36.4015,          144.7275,            3.5243,           11.9630,            0.0007,            0.1448,           97.6119,
Ref 10,3.09950e-08,,,,,,1.1981e-02,4.2127e-03,4.9062e-05,4.6436e-06,4.3482e-08,,,,,,,,,,,
Sam 10,2.96814e-08,1.20604e-02,4.2885e-03,5.0256e-05,4.8084e-06,5.0888e-08,,,,,,            6.6072,           17.9901,           24.3031,           35.4565,          152.9527,            3.5209,           11.9886,           -0.3215,           -0.8175,          105.4465,
Ref 11,3.05158e-08,,,,,,1.1981e-02,4.2127e-03,4.9064e-05,4.6438e-06,4.4803e-08,,,,,,,,,,,
Sam 11,2.92057e-08,1.20604e-02,4.2884e-03,5.0259e-05,4.8147e-06,5.0805e-08,,,,,,            6.6082,           17.9783,           24.4097,           36.4366,          110.2137,            3.5224,           11.9769,           -0.2071,            0.1512,           64.4916,
Ref 12,3.00508e-08,,,,,,1.1981e-02,4.2126e-03,4.9059e-05,4.6471e-06,4.6734e-08,,,,,,,,,,,
Sam 12,2.87452e-08,1.20602e-02,4.2884e-03,5.0263e-05,4.8056e-06,5.1047e-08,,,,,,            6.6041,           17.9863,           24.4921,           34.7968,          163.9058,            3.5177,           11.9848,           -0.1302,           -1.4466,          115.9601,
Ref 13,2.95932e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6409e-06,4.0937e-08,,,,,,,,,,,
Sam 13,2.82906e-08,1.20601e-02,4.2884e-03,5.0257e-05,4.8114e-06,3.4978e-08,,,,,,            6.6114,           17.9974,           24.2905,           36.7488,         -120.3210,            3.5251,           11.9959,           -0.3452,            0.4150,         -156.5827,
Ref 14,2.91521e-08,,,,,,1.1981e-02,4.2126e-03,4.9066e-05,4.6408e-06,3.8570e-08,,,,,,,,,,,
Sam 14,2.78510e-08,1.20603e-02,4.2884e-03,5.0264e-05,4.8111e-06,4.2445e-08,,,,,,            6.6256,           17.9962,           24.4685,           36.4572,          113.9124,            3.5403,           11.9946,           -0.1849,            0.1361,           67.9815,
Ref 15,2.87186e-08,,,,,,1.1981e-02,4.2125e-03,4.9062e-05,4.6430e-06,3.7632e-08,,,,,,,,,,,
Sam 15,2.74185e-08,1.20602e-02,4.2884e-03,5.0264e-05,4.8098e-06,4.5612e-08,,,,,,            6.6142,           17.9956,           24.4596,           35.5934,          147.6920,            3.5281,           11.9940,           -0.1813,           -0.6963,          100.3827,
Ref 16,2.82920e-08,,,,,,1.1981e-02,4.2126e-03,4.9065e-05,4.6460e-06,4.1885e-08,,,,,,,,,,,
Sam 16,2.69878e-08,1.20603e-02,4.2883e-03,5.0267e-05,4.8098e-06,4.7685e-08,,,,,,            6.6215,           17.9770,           24.4458,           35.5317,          146.0070,            3.5366,           11.9755,           -0.1842,           -0.7194,           98.7982,
Ref 17,2.78706e-08,,,,,,1.1981e-02,4.2126e-03,4.9069e-05,4.6435e-06,4.1331e-08,,,,,,,,,,,
Sam 17,2.65686e-08,1.20602e-02,4.2884e-03,5.0260e-05,4.8150e-06,4.0577e-08,,,,,,            6.6209,           17.9968,           24.2328,           36.5764,           43.2945,            3.5352,           11.9953,           -0.4106,            0.2498,            0.2793,
Ref 18,2.74616e-08,,,,,,1.1981e-02,4.2125e-03,4.9073e-05,4.6468e-06,3.6418e-08,,,,,,,,,,,
Sam 18,2.61574e-08,1.20600e-02,4.2883e-03,5.0261e-05,4.8082e-06,4.2151e-08,,,,,,            6.6089,           17.9812,           24.2315,           35.1856,          105.4315,            3.5230,           11.9797,           -0.3845,           -1.0615,           59.8998,
Ref 19,2.70581e-08,,,,,,1.1981e-02,4.2126e-03,4.9070e-05,4.6427e-06,3.9869e-08,,,,,,,,,,,
Sam 19,2.57553e-08,1.20600e-02,4.2883e-03,5.0261e-05,4.8091e-06,4.3274e-08,,,,,,            6.6134,           17.9845,           24.2942,           35.7968,          122.6474,            3.5277,           11.9831,           -0.3313,           -0.4784,           76.3944,
Ref 20,2.66649e-08,,,,,,1.1981e-02,4.2126e-03,4.9069e-05,4.6430e-06,3.7205e-08,,,,,,,,,,,
Sam 20,2.53656e-08,1.20600e-02,4.2883e-03,5.0265e-05,4.8104e-06,3.8039e-08,,,,,,            6.6216,           17.9847,           24.4273,           36.2081,           59.8893,            3.5364,           11.9832,           -0.2098,           -0.0817,           16.2130,
Ref 21,2.62776e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6417e-06,3.4555e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.60834e-08,,,,,,1.1981e-02,4.2125e-03,4.9071e-05,4.6432e-06,3.7616e-08,
Sam 1,2.47897e-08,1.20599e-02,4.2882e-03,5.0274e-05,4.8106e-06,4.6266e-08,,,,,,            6.6109,           17.9795,           24.6016,           36.1236,          133.8855,            3.5252,           11.9781,           -0.0238,           -0.1531,           87.1829,
Ref 2,2.57077e-08,,,,,,1.1981e-02,4.2125e-03,4.9062e-05,4.6426e-06,4.4036e-08,,,,,,,,,,,
Sam 2,2.44220e-08,1.20598e-02,4.2882e-03,5.0261e-05,4.8157e-06,4.3147e-08,,,,,,            6.6061,           17.9634,           24.4148,           36.7905,           14.5738,            3.5206,           11.9621,           -0.1856,            0.5220,          -27.1792,
Ref 3,2.53410e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6470e-06,4.0997e-08,,,,,,,,,,,
Sam 3,2.40595e-08,1.20598e-02,4.2882e-03,5.0251e-05,4.8154e-06,3.7889e-08,,,,,,            6.6198,           17.9952,           24.0999,           36.3814,          -49.4007,            3.5341,           11.9937,           -0.5377,            0.0648,          -88.5901,
Ref 4,2.49814e-08,,,,,,1.1980e-02,4.2124e-03,4.9074e-05,4.6459e-06,3.8703e-08,,,,,,,,,,,
Sam 4,2.37042e-08,1.20597e-02,4.2882e-03,5.0267e-05,4.8077e-06,4.0509e-08,,,,,,            6.6151,           17.9877,           24.4032,           35.5064,           99.2467,            3.5293,           11.9862,           -0.2296,           -0.7648,           53.9495,
Ref 5,2.46288e-08,,,,,,1.1980e-02,4.2125e-03,4.9065e-05,4.6398e-06,3.4973e-08,,,,,,,,,,,
Sam 5,2.33582e-08,1.20597e-02,4.2881e-03,5.0260e-05,4.8159e-06,4.2556e-08,,,,,,            6.6087,           17.9715,           24.2823,           36.8971,          148.4842,            3.5231,           11.9701,           -0.3253,            0.6090,          101.1999,
Ref 6,2.42805e-08,,,,,,1.1981e-02,4.2123e-03,4.9072e-05,4.6493e-06,3.9164e-08,,,,,,,,,,,
Sam 6,2.30194e-08,1.20597e-02,4.2882e-03,5.0260e-05,4.8164e-06,4.5458e-08,,,,,,            6.6061,           17.9947,           24.2257,           36.7252,          237.7773,            3.5195,           11.9932,           -0.4004,            0.3977,          186.7668,
Ref 7,2.39412e-08,,,,,,1.1981e-02,4.2124e-03,4.9071e-05,4.6421e-06,3.4252e-08,,,,,,,,,,,
Sam 7,2.26876e-08,1.20598e-02,4.2882e-03,5.0266e-05,4.8139e-06,3.8281e-08,,,,,,            6.6142,           17.9975,           24.3356,           36.7105,           23.3661,            3.5281,           11.9960,           -0.3042,            0.3778,          -18.8219,
Ref 8,2.36081e-08,,,,,,1.1980e-02,4.2123e-03,4.9071e-05,4.6449e-06,4.0605e-08,,,,,,,,,,,
Sam 8,2.23616e-08,1.20596e-02,4.2880e-03,5.0266e-05,4.8173e-06,4.2845e-08,,,,,,            6.6013,           17.9679,           24.2970,           37.4425,          129.9430,            3.5154,           11.9666,           -0.3001,            1.1424,           83.4380,
Ref 9,2.32812e-08,,,,,,1.1980e-02,4.2124e-03,4.9076e-05,4.6420e-06,3.5193e-08,,,,,,,,,,,
Sam 9,2.20414e-08,1.20597e-02,4.2882e-03,5.0266e-05,4.8079e-06,4.7588e-08,,,,,,            6.6184,           18.0095,           24.2703,           34.9715,          204.0193,            3.5321,           12.0079,           -0.3838,           -1.3238,          154.3519,
Ref 10,2.29597e-08,,,,,,1.1980e-02,4.2123e-03,4.9075e-05,4.6489e-06,4.3917e-08,,,,,,,,,,,
Sam 10,2.17287e-08,1.20596e-02,4.2881e-03,5.0268e-05,4.8207e-06,4.5508e-08,,,,,,            6.6183,           17.9944,           24.4319,           37.2850,           15.1288,            3.5325,           11.9929,           -0.2113,            0.9383,          -26.7180,
Ref 11,2.26469e-08,,,,,,1.1980e-02,4.2123e-03,4.9063e-05,4.6459e-06,4.5756e-08,,,,,,,,,,,
Sam 11,2.14227e-08,1.20595e-02,4.2880e-03,5.0260e-05,4.8173e-06,4.4572e-08,,,,,,            6.6199,           17.9827,           24.3292,           36.6755,           23.9358,            3.5347,           11.9813,           -0.3019,            0.3731,          -18.2536,
Ref 12,2.23374e-08,,,,,,1.1980e-02,4.2123e-03,4.9069e-05,4.6479e-06,4.1274e-08,,,,,,,,,,,
Sam 12,2.11173e-08,1.20593e-02,4.2880e-03,5.0272e-05,4.8165e-06,4.7859e-08,,,,,,            6.6147,           17.9812,           24.4975,           36.1889,          128.4537,            3.5292,           11.9797,           -0.1309,           -0.0934,           81.9670,
Ref 13,2.20296e-08,,,,,,1.1980e-02,4.2122e-03,4.9071e-05,4.6487e-06,4.3564e-08,,,,,,,,,,,
Sam 13,2.08205e-08,1.20593e-02,4.2879e-03,5.0261e-05,4.8096e-06,4.5647e-08,,,,,,            6.6204,           17.9650,           24.2344,           34.9963,           11.9522,            3.5358,           11.9636,           -0.3778,           -1.2125,          -29.7105,
Ref 14,2.17305e-08,,,,,,1.1980e-02,4.2122e-03,4.9072e-05,4.6453e-06,4.6673e-08,,,,,,,,,,,
Sam 14,2.05283e-08,1.20593e-02,4.2879e-03,5.0273e-05,4.8150e-06,4.5887e-08,,,,,,            6.6235,           17.9871,           24.4852,           37.2611,           48.1942,            3.5383,           11.9856,           -0.1576,            0.9297,            4.9931,
Ref 15,2.14355e-08,,,,,,1.1980e-02,4.2122e-03,4.9071e-05,4.6387e-06,4.0842e-08,,,,,,,,,,,
Sam 15,2.02469e-08,1.20592e-02,4.2879e-03,5.0266e-05,4.8168e-06,4.9016e-08,,,,,,            6.6157,           17.9774,           24.2754,           37.5713,          153.4484,            3.5304,           11.9759,           -0.3450,            1.2481,          105.9389,
Ref 16,2.11524e-08,,,,,,1.1980e-02,4.2122e-03,4.9078e-05,4.6462e-06,4.4170e-08,,,,,,,,,,,
Sam 16,1.99702e-08,1.20592e-02,4.2879e-03,5.0265e-05,4.8112e-06,4.6507e-08,,,,,,            6.6246,           17.9817,           24.2399,           36.0044,          112.7219,            3.5397,           11.9802,           -0.3928,           -0.2723,           66.8711,
Ref 17,2.08686e-08,,,,,,1.1980e-02,4.2121e-03,4.9072e-05,4.6418e-06,3.9390e-08,,,,,,,,,,,
Sam 17,1.96931e-08,1.20588e-02,4.2878e-03,5.0265e-05,4.8133e-06,4.0906e-08,,,,,,            6.6068,           17.9802,           24.2280,           36.2223,           50.0566,            3.5208,           11.9787,           -0.3848,           -0.0591,            6.8099,
Ref 18,2.05900e-08,,,,,,1.1980e-02,4.2121e-03,4.9079e-05,4.6483e-06,3.8516e-08,,,,,,,,,,,
Sam 18,1.94222e-08,1.20590e-02,4.2878e-03,5.0268e-05,4.8245e-06,4.5987e-08,,,,,,            6.6202,           17.9737,           24.2410,           38.1667,           94.3600,            3.5353,           11.9722,           -0.3796,            1.8299,           49.2869,
Ref 19,2.03155e-08,,,,,,1.1980e-02,4.2122e-03,4.9077e-05,4.6460e-06,4.5576e-08,,,,,,,,,,,
Sam 19,1.91547e-08,1.20591e-02,4.2879e-03,5.0259e-05,4.8216e-06,5.1223e-08,,,,,,            6.6214,           17.9812,           24.1100,           37.2345,          128.5070,            3.5363,           11.9797,           -0.5160,            0.9155,           82.0103,
Ref 20,2.00449e-08,,,,,,1.1980e-02,4.2122e-03,4.9075e-05,4.6510e-06,4.5201e-08,,,,,,,,,,,
Sam 20,1.88930e-08,1.20590e-02,4.2878e-03,5.0272e-05,4.8257e-06,4.8761e-08,,,,,,            6.6215,           17.9890,           24.3515,           36.8358,          122.7363,            3.5361,           11.9875,           -0.2878,            0.5156,           76.4613,
Ref 21,1.97808e-08,,,,,,1.1980e-02,4.2120e-03,4.9078e-05,4.6576e-06,4.1637e-08,,,,,,,,,,,


