Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 13, 2023 at 11:03 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 13, 2023 at 12:02 with Stable 1.71.5 on PS019

Data File = Data_19606 IAEA-C1.txt,       Sample Weight = 473,                      Vial Location = 48,                       Initial Sam Beam = 1.5064e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7401e-08,                Max Ref Beam = 1.0672e-07,                

Analysis undertaken at mass 46.0435
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.69056e-08,,,,,,1.1981e-02,4.2114e-03,4.9023e-05,4.6416e-06,4.6952e-08,
Sam 1,5.60547e-08,1.20420e-02,4.2590e-03,4.9807e-05,4.7452e-06,4.7343e-08,,,,,,            5.0895,           11.2676,           15.8842,           22.0322,          -22.3775,            2.1371,            5.3020,           -0.4991,           -0.6159,          -48.8379,
Ref 2,5.58040e-08,,,,,,1.1981e-02,4.2117e-03,4.9033e-05,4.6442e-06,4.9930e-08,,,,,,,,,,,
Sam 2,5.49142e-08,1.20422e-02,4.2591e-03,4.9803e-05,4.7460e-06,5.0358e-08,,,,,,            5.0742,           11.2447,           15.7269,           21.9158,            2.6549,            2.1216,            5.2792,           -0.6160,           -0.6845,          -24.4239,
Ref 3,5.47504e-08,,,,,,1.1981e-02,4.2119e-03,4.9031e-05,4.6442e-06,5.0525e-08,,,,,,,,,,,
Sam 3,5.38112e-08,1.20423e-02,4.2593e-03,4.9809e-05,4.7466e-06,5.1207e-08,,,,,,            5.0752,           11.2422,           15.8671,           21.9605,           32.2943,            2.1228,            5.2768,           -0.4768,           -0.6360,            4.4186,
Ref 4,5.37343e-08,,,,,,1.1981e-02,4.2119e-03,4.9031e-05,4.6451e-06,4.8668e-08,,,,,,,,,,,
Sam 4,5.27468e-08,1.20424e-02,4.2593e-03,4.9806e-05,4.7464e-06,4.5562e-08,,,,,,            5.0782,           11.2574,           15.7299,           21.6734,          -32.6986,            2.1255,            5.2919,           -0.6296,           -0.9467,          -58.8500,
Ref 5,5.27439e-08,,,,,,1.1982e-02,4.2119e-03,4.9039e-05,4.6464e-06,4.5507e-08,,,,,,,,,,,
Sam 5,5.17129e-08,1.20424e-02,4.2593e-03,4.9818e-05,4.7461e-06,4.7268e-08,,,,,,            5.0786,           11.2427,           15.8842,           21.9172,           28.8907,            2.1264,            5.2772,           -0.4638,           -0.6792,            1.1025,
Ref 6,5.17783e-08,,,,,,1.1982e-02,4.2120e-03,4.9040e-05,4.6421e-06,4.6383e-08,,,,,,,,,,,
Sam 6,5.07084e-08,1.20424e-02,4.2594e-03,4.9815e-05,4.7464e-06,5.1199e-08,,,,,,            5.0815,           11.2485,           15.7806,           22.4811,           97.8312,            2.1292,            5.2830,           -0.5743,           -0.1393,           68.1657,
Ref 7,5.08374e-08,,,,,,1.1981e-02,4.2120e-03,4.9043e-05,4.6419e-06,4.6894e-08,,,,,,,,,,,
Sam 7,4.97300e-08,1.20423e-02,4.2594e-03,4.9818e-05,4.7499e-06,4.9214e-08,,,,,,            5.0720,           11.2416,           15.8963,           23.1782,           50.3334,            2.1194,            5.2762,           -0.4441,            0.5560,           21.9754,
Ref 8,4.99193e-08,,,,,,1.1982e-02,4.2121e-03,4.9034e-05,4.6427e-06,4.6817e-08,,,,,,,,,,,
Sam 8,4.87797e-08,1.20424e-02,4.2596e-03,4.9817e-05,4.7512e-06,4.9748e-08,,,,,,            5.0739,           11.2568,           15.8506,           23.3043,           79.9156,            2.1209,            5.2913,           -0.5058,            0.6494,           50.7258,
Ref 9,4.90242e-08,,,,,,1.1982e-02,4.2122e-03,4.9044e-05,4.6433e-06,4.5302e-08,,,,,,,,,,,
Sam 9,4.78512e-08,1.20425e-02,4.2596e-03,4.9820e-05,4.7489e-06,4.8587e-08,,,,,,            5.0782,           11.2522,           15.8069,           22.3661,           51.9650,            2.1256,            5.2867,           -0.5487,           -0.2590,           23.5352,
Ref 10,4.81476e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6466e-06,4.7088e-08,,,,,,,,,,,
Sam 10,4.69424e-08,1.20424e-02,4.2597e-03,4.9822e-05,4.7463e-06,4.9977e-08,,,,,,            5.0722,           11.2433,           15.8214,           21.5373,           54.0105,            2.1196,            5.2779,           -0.5197,           -1.0520,           25.5496,
Ref 11,4.72931e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6459e-06,4.7750e-08,,,,,,,,,,,
Sam 11,4.60645e-08,1.20426e-02,4.2597e-03,4.9821e-05,4.7499e-06,4.7692e-08,,,,,,            5.0838,           11.2372,           15.7607,           22.4737,           -0.2123,            2.1321,            5.2717,           -0.5853,           -0.1242,          -27.2094,
Ref 12,4.64470e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6451e-06,4.7654e-08,,,,,,,,,,,
Sam 12,4.51846e-08,1.20425e-02,4.2597e-03,4.9824e-05,4.7481e-06,4.8348e-08,,,,,,            5.0765,           11.2536,           15.7844,           22.1479,           37.5878,            2.1238,            5.2881,           -0.5705,           -0.4753,            9.5455,
Ref 13,4.56154e-08,,,,,,1.1982e-02,4.2123e-03,4.9049e-05,4.6453e-06,4.5519e-08,,,,,,,,,,,
Sam 13,4.43404e-08,1.20425e-02,4.2597e-03,4.9819e-05,4.7518e-06,4.9317e-08,,,,,,            5.0801,           11.2439,           15.6810,           22.8368,           59.8286,            2.1280,            5.2784,           -0.6665,            0.2177,           31.2009,
Ref 14,4.48125e-08,,,,,,1.1982e-02,4.2124e-03,4.9052e-05,4.6462e-06,4.7564e-08,,,,,,,,,,,
Sam 14,4.35211e-08,1.20425e-02,4.2598e-03,4.9823e-05,4.7502e-06,4.6034e-08,,,,,,            5.0762,           11.2488,           15.7334,           22.3479,           33.6101,            2.1237,            5.2833,           -0.6157,           -0.2701,            5.6850,
Ref 15,4.40310e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6465e-06,4.1456e-08,,,,,,,,,,,
Sam 15,4.27188e-08,1.20425e-02,4.2598e-03,4.9820e-05,4.7510e-06,4.3148e-08,,,,,,            5.0718,           11.2488,           15.6920,           22.3010,           19.5312,            2.1190,            5.2833,           -0.6519,           -0.3160,           -8.0088,
Ref 16,4.32653e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6483e-06,4.3202e-08,,,,,,,,,,,
Sam 16,4.19341e-08,1.20425e-02,4.2598e-03,4.9831e-05,4.7510e-06,4.4296e-08,,,,,,            5.0789,           11.2550,           15.8676,           22.3737,            8.4800,            2.1263,            5.2895,           -0.4924,           -0.2572,          -18.7808,
Ref 17,4.25109e-08,,,,,,1.1982e-02,4.2124e-03,4.9056e-05,4.6458e-06,4.4658e-08,,,,,,,,,,,
Sam 17,4.11696e-08,1.20424e-02,4.2598e-03,4.9833e-05,4.7506e-06,4.5210e-08,,,,,,            5.0695,           11.2520,           15.8775,           22.3052,            9.2713,            2.1164,            5.2865,           -0.4701,           -0.3181,          -17.9952,
Ref 18,4.17773e-08,,,,,,1.1982e-02,4.2124e-03,4.9052e-05,4.6480e-06,4.4933e-08,,,,,,,,,,,
Sam 18,4.04257e-08,1.20424e-02,4.2599e-03,4.9842e-05,4.7487e-06,4.8926e-08,,,,,,            5.0717,           11.2856,           15.9938,           21.7650,          113.4508,            2.1175,            5.3199,           -0.3906,           -0.9128,           83.2964,
Ref 19,4.10683e-08,,,,,,1.1982e-02,4.2124e-03,4.9063e-05,4.6470e-06,4.2931e-08,,,,,,,,,,,
Sam 19,3.97035e-08,1.20424e-02,4.2598e-03,4.9833e-05,4.7470e-06,4.3484e-08,,,,,,            5.0793,           11.2556,           15.7958,           21.5244,           25.4125,            2.1267,            5.2900,           -0.5640,           -1.0888,           -2.3074,
Ref 20,4.03775e-08,,,,,,1.1981e-02,4.2124e-03,4.9053e-05,4.6469e-06,4.1872e-08,,,,,,,,,,,
Sam 20,3.89928e-08,1.20423e-02,4.2598e-03,4.9832e-05,4.7507e-06,4.2625e-08,,,,,,            5.0771,           11.2375,           15.8454,           22.4232,           25.7919,            2.1249,            5.2721,           -0.4954,           -0.1741,           -1.9009,
Ref 21,3.96926e-08,,,,,,1.1981e-02,4.2125e-03,4.9055e-05,4.6461e-06,4.1230e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.93578e-08,,,,,,1.1981e-02,4.2124e-03,4.9060e-05,4.6454e-06,4.0135e-08,
Sam 1,3.79473e-08,1.20423e-02,4.2598e-03,4.9838e-05,4.7491e-06,4.3630e-08,,,,,,            5.0754,           11.2529,           15.8473,           22.4968,           36.9807,            2.1226,            5.2874,           -0.5068,           -0.1325,            8.9575,
Ref 2,3.87016e-08,,,,,,1.1982e-02,4.2125e-03,4.9061e-05,4.6438e-06,4.4045e-08,,,,,,,,,,,
Sam 2,3.72761e-08,1.20422e-02,4.2599e-03,4.9838e-05,4.7499e-06,4.5509e-08,,,,,,            5.0726,           11.2455,           15.8355,           22.8606,           23.4630,            2.1199,            5.2800,           -0.5083,            0.2378,           -4.1777,
Ref 3,3.80582e-08,,,,,,1.1981e-02,4.2125e-03,4.9061e-05,4.6437e-06,4.4894e-08,,,,,,,,,,,
Sam 3,3.66278e-08,1.20421e-02,4.2599e-03,4.9837e-05,4.7482e-06,4.4001e-08,,,,,,            5.0656,           11.2394,           15.8458,           22.2313,           27.6565,            2.1127,            5.2740,           -0.4852,           -0.3655,           -0.0782,
Ref 4,3.74407e-08,,,,,,1.1981e-02,4.2125e-03,4.9059e-05,4.6462e-06,4.0705e-08,,,,,,,,,,,
Sam 4,3.59910e-08,1.20422e-02,4.2599e-03,4.9833e-05,4.7487e-06,4.4456e-08,,,,,,            5.0713,           11.2407,           15.7214,           22.3845,           85.5026,            2.1187,            5.2752,           -0.6145,           -0.2183,           56.1978,
Ref 5,3.68100e-08,,,,,,1.1981e-02,4.2125e-03,4.9065e-05,4.6432e-06,4.1208e-08,,,,,,,,,,,
Sam 5,3.53630e-08,1.20422e-02,4.2599e-03,4.9839e-05,4.7503e-06,4.3304e-08,,,,,,            5.0848,           11.2380,           15.7742,           22.8420,           40.9998,            2.1331,            5.2726,           -0.5738,            0.2344,           12.8872,
Ref 6,3.62182e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6453e-06,4.1995e-08,,,,,,,,,,,
Sam 6,3.47475e-08,1.20421e-02,4.2599e-03,4.9846e-05,4.7489e-06,4.6531e-08,,,,,,            5.0696,           11.2294,           15.9355,           22.3340,          111.4748,            2.1172,            5.2640,           -0.3911,           -0.2452,           81.4946,
Ref 7,3.56164e-08,,,,,,1.1981e-02,4.2126e-03,4.9065e-05,4.6451e-06,4.1731e-08,,,,,,,,,,,
Sam 7,3.41643e-08,1.20421e-02,4.2599e-03,4.9845e-05,4.7509e-06,4.3243e-08,,,,,,            5.0659,           11.2347,           15.8626,           22.7133,           61.7994,            2.1131,            5.2693,           -0.4643,            0.1151,           33.1523,
Ref 8,3.50468e-08,,,,,,1.1981e-02,4.2126e-03,4.9068e-05,4.6456e-06,3.9705e-08,,,,,,,,,,,
Sam 8,3.35851e-08,1.20421e-02,4.2599e-03,4.9838e-05,4.7487e-06,4.0443e-08,,,,,,            5.0726,           11.2367,           15.6970,           22.2603,           -6.9414,            2.1202,            5.2713,           -0.6360,           -0.3319,          -33.7444,
Ref 9,3.44759e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6449e-06,4.1763e-08,,,,,,,,,,,
Sam 9,3.30188e-08,1.20420e-02,4.2599e-03,4.9840e-05,4.7510e-06,3.9490e-08,,,,,,            5.0783,           11.2346,           15.7958,           22.7695,          -47.7320,            2.1264,            5.2692,           -0.5426,            0.1703,          -73.4358,
Ref 10,3.39244e-08,,,,,,1.1981e-02,4.2125e-03,4.9063e-05,4.6456e-06,4.1171e-08,,,,,,,,,,,
Sam 10,3.24687e-08,1.20419e-02,4.2598e-03,4.9837e-05,4.7488e-06,4.3028e-08,,,,,,            5.0631,           11.2100,           15.7642,           22.0857,          113.4696,            2.1111,            5.2447,           -0.5342,           -0.4498,           83.4838,
Ref 11,3.33841e-08,,,,,,1.1981e-02,4.2126e-03,4.9065e-05,4.6468e-06,3.6074e-08,,,,,,,,,,,
Sam 11,3.19365e-08,1.20421e-02,4.2599e-03,4.9836e-05,4.7490e-06,3.8298e-08,,,,,,            5.0837,           11.2378,           15.7379,           22.6936,           23.4531,            2.1320,            5.2724,           -0.6083,            0.0896,           -4.1841,
Ref 12,3.28518e-08,,,,,,1.1981e-02,4.2126e-03,4.9063e-05,4.6404e-06,3.8787e-08,,,,,,,,,,,
Sam 12,3.14044e-08,1.20419e-02,4.2599e-03,4.9836e-05,4.7493e-06,3.5838e-08,,,,,,            5.0736,           11.2298,           15.6973,           23.1761,          -47.2513,            2.1215,            5.2644,           -0.6300,            0.5775,          -72.9548,
Ref 13,3.23325e-08,,,,,,1.1981e-02,4.2125e-03,4.9068e-05,4.6431e-06,3.6424e-08,,,,,,,,,,,
Sam 13,3.08959e-08,1.20418e-02,4.2597e-03,4.9837e-05,4.7458e-06,3.4095e-08,,,,,,            5.0727,           11.2101,           15.6970,           22.2434,          -15.3503,            2.1212,            5.2448,           -0.6103,           -0.2958,          -41.8769,
Ref 14,3.18312e-08,,,,,,1.1981e-02,4.2124e-03,4.9065e-05,4.6419e-06,3.2801e-08,,,,,,,,,,,
Sam 14,3.03981e-08,1.20418e-02,4.2598e-03,4.9843e-05,4.7459e-06,3.2200e-08,,,,,,            5.0727,           11.2387,           15.9087,           22.1065,          -11.1127,            2.1202,            5.2733,           -0.4297,           -0.4862,          -37.8069,
Ref 15,3.13428e-08,,,,,,1.1981e-02,4.2125e-03,4.9060e-05,4.6447e-06,3.2319e-08,,,,,,,,,,,
Sam 15,2.99075e-08,1.20418e-02,4.2598e-03,4.9833e-05,4.7493e-06,2.6313e-08,,,,,,            5.0860,           11.2434,           15.7245,           23.1399,         -107.3079,            2.1342,            5.2779,           -0.6292,            0.5151,         -131.4255,
Ref 16,3.08617e-08,,,,,,1.1981e-02,4.2125e-03,4.9064e-05,4.6391e-06,2.6589e-08,,,,,,,,,,,
Sam 16,2.94245e-08,1.20417e-02,4.2599e-03,4.9838e-05,4.7493e-06,3.0950e-08,,,,,,            5.0708,           11.2483,           15.7123,           23.3096,           58.3173,            2.1179,            5.2828,           -0.6305,            0.6713,           29.7316,
Ref 17,3.03915e-08,,,,,,1.1981e-02,4.2125e-03,4.9071e-05,4.6431e-06,3.1942e-08,,,,,,,,,,,
Sam 17,2.89527e-08,1.20416e-02,4.2598e-03,4.9843e-05,4.7468e-06,3.2721e-08,,,,,,            5.0565,           11.2367,           15.7491,           22.3889,           80.8017,            2.1031,            5.2713,           -0.5683,           -0.2062,           51.6483,
Ref 18,2.99242e-08,,,,,,1.1981e-02,4.2125e-03,4.9069e-05,4.6425e-06,2.8581e-08,,,,,,,,,,,
Sam 18,2.84861e-08,1.20416e-02,4.2597e-03,4.9835e-05,4.7434e-06,3.0288e-08,,,,,,            5.0679,           11.2093,           15.7365,           21.6633,          -25.6035,            2.1161,            5.2440,           -0.5657,           -0.8616,          -51.8475,
Ref 19,2.94720e-08,,,,,,1.1981e-02,4.2125e-03,4.9057e-05,4.6431e-06,3.3625e-08,,,,,,,,,,,
Sam 19,2.80359e-08,1.20416e-02,4.2597e-03,4.9837e-05,4.7432e-06,3.1067e-08,,,,,,            5.0787,           11.2209,           15.8521,           21.3648,          -76.7503,            2.1273,            5.2556,           -0.4744,           -1.1764,         -101.6474,
Ref 20,2.90236e-08,,,,,,1.1981e-02,4.2124e-03,4.9062e-05,4.6449e-06,3.3676e-08,,,,,,,,,,,
Sam 20,2.75925e-08,1.20415e-02,4.2597e-03,4.9833e-05,4.7422e-06,2.4691e-08,,,,,,            5.0759,           11.2060,           15.7181,           21.3152,         -161.0548,            2.1248,            5.2407,           -0.5888,           -1.1954,         -183.6522,
Ref 21,2.85866e-08,,,,,,1.1981e-02,4.2125e-03,4.9062e-05,4.6414e-06,2.5121e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.83697e-08,,,,,,1.1981e-02,4.2124e-03,4.9060e-05,4.6422e-06,2.6252e-08,
Sam 1,2.69518e-08,1.20413e-02,4.2596e-03,4.9839e-05,4.7449e-06,2.5928e-08,,,,,,            5.0661,           11.1956,           15.8142,           22.1789,            8.3423,            2.1147,            5.2303,           -0.4740,           -0.3301,          -18.7879,
Ref 2,2.79513e-08,,,,,,1.1981e-02,4.2124e-03,4.9066e-05,4.6416e-06,2.5167e-08,,,,,,,,,,,
Sam 2,2.65410e-08,1.20413e-02,4.2597e-03,4.9843e-05,4.7421e-06,2.3567e-08,,,,,,            5.0691,           11.2353,           15.8100,           21.7019,          -58.8135,            2.1166,            5.2699,           -0.5200,           -0.8752,          -84.2106,
Ref 3,2.75361e-08,,,,,,1.1981e-02,4.2124e-03,4.9068e-05,4.6411e-06,2.4910e-08,,,,,,,,,,,
Sam 3,2.61318e-08,1.20413e-02,4.2596e-03,4.9842e-05,4.7414e-06,2.4340e-08,,,,,,            5.0638,           11.2236,           15.7753,           21.7814,            5.4498,            2.1113,            5.2582,           -0.5373,           -0.7743,          -21.6536,
Ref 4,2.71325e-08,,,,,,1.1981e-02,4.2123e-03,4.9068e-05,4.6396e-06,2.3495e-08,,,,,,,,,,,
Sam 4,2.57371e-08,1.20412e-02,4.2597e-03,4.9831e-05,4.7432e-06,2.3059e-08,,,,,,            5.0571,           11.2365,           15.5899,           22.7237,           74.0752,            2.1037,            5.2711,           -0.7253,            0.1218,           45.1032,
Ref 5,2.67392e-08,,,,,,1.1981e-02,4.2124e-03,4.9065e-05,4.6361e-06,1.9413e-08,,,,,,,,,,,
Sam 5,2.53524e-08,1.20413e-02,4.2596e-03,4.9838e-05,4.7435e-06,2.3296e-08,,,,,,            5.0692,           11.2224,           15.8093,           22.9030,          260.3245,            2.1171,            5.2570,           -0.5082,            0.3250,          226.3464,
Ref 6,2.63504e-08,,,,,,1.1980e-02,4.2123e-03,4.9060e-05,4.6385e-06,1.7542e-08,,,,,,,,,,,
Sam 6,2.49725e-08,1.20413e-02,4.2596e-03,4.9840e-05,4.7382e-06,2.4030e-08,,,,,,            5.0754,           11.2160,           15.8730,           21.6887,          349.5315,            2.1239,            5.2506,           -0.4456,           -0.8498,          313.1561,
Ref 7,2.59691e-08,,,,,,1.1980e-02,4.2123e-03,4.9062e-05,4.6368e-06,1.8075e-08,,,,,,,,,,,
Sam 7,2.45968e-08,1.20413e-02,4.2596e-03,4.9838e-05,4.7405e-06,1.8131e-08,,,,,,            5.0781,           11.2134,           15.8145,           22.9280,           66.2433,            2.1268,            5.2481,           -0.5034,            0.3672,           37.5060,
Ref 8,2.55903e-08,,,,,,1.1981e-02,4.2124e-03,4.9063e-05,4.6315e-06,1.5918e-08,,,,,,,,,,,
Sam 8,2.42328e-08,1.20413e-02,4.2596e-03,4.9837e-05,4.7392e-06,1.9569e-08,,,,,,            5.0722,           11.2159,           15.8812,           22.8214,          104.1175,            2.1206,            5.2506,           -0.4342,            0.2580,           74.3608,
Ref 9,2.52280e-08,,,,,,1.1980e-02,4.2124e-03,4.9054e-05,4.6354e-06,1.9555e-08,,,,,,,,,,,
Sam 9,2.38784e-08,1.20412e-02,4.2596e-03,4.9832e-05,4.7363e-06,1.5336e-08,,,,,,            5.0725,           11.2105,           15.7527,           21.5653,         -112.4097,            2.1210,            5.2452,           -0.5557,           -0.9598,         -136.3220,
Ref 10,2.48703e-08,,,,,,1.1980e-02,4.2124e-03,4.9065e-05,4.6372e-06,1.4969e-08,,,,,,,,,,,
Sam 10,2.35292e-08,1.20411e-02,4.2596e-03,4.9834e-05,4.7368e-06,1.0503e-08,,,,,,            5.0671,           11.2142,           15.7480,           22.2652,         -207.2614,            2.1152,            5.2489,           -0.5584,           -0.2826,         -228.6195,
Ref 11,2.45145e-08,,,,,,1.1980e-02,4.2123e-03,4.9057e-05,4.6300e-06,1.1503e-08,,,,,,,,,,,
Sam 11,2.31855e-08,1.20410e-02,4.2595e-03,4.9830e-05,4.7400e-06,1.0944e-08,,,,,,            5.0592,           11.2022,           15.7302,           22.8738,         -128.5296,            2.1071,            5.2370,           -0.5561,            0.3364,         -151.9819,
Ref 12,2.41700e-08,,,,,,1.1980e-02,4.2123e-03,4.9059e-05,4.6382e-06,1.3627e-08,,,,,,,,,,,
Sam 12,2.28481e-08,1.20411e-02,4.2595e-03,4.9835e-05,4.7321e-06,1.6819e-08,,,,,,            5.0649,           11.2180,           15.8611,           21.1554,          425.1519,            2.1126,            5.2527,           -0.4485,           -1.3754,          386.7483,
Ref 13,2.38313e-08,,,,,,1.1980e-02,4.2123e-03,4.9055e-05,4.6299e-06,9.9492e-09,,,,,,,,,,,
Sam 13,2.25212e-08,1.20410e-02,4.2595e-03,4.9830e-05,4.7400e-06,6.8519e-09,,,,,,            5.0685,           11.2175,           15.7698,           23.2156,         -261.5469,            2.1166,            5.2522,           -0.5416,            0.6403,         -281.4480,
Ref 14,2.34992e-08,,,,,,1.1980e-02,4.2123e-03,4.9057e-05,4.6350e-06,8.5987e-09,,,,,,,,,,,
Sam 14,2.21981e-08,1.20409e-02,4.2595e-03,4.9818e-05,4.7373e-06,1.2107e-08,,,,,,            5.0600,           11.2118,           15.5045,           22.1901,          600.0019,            2.1077,            5.2465,           -0.7884,           -0.3513,          556.9131,
Ref 15,2.31720e-08,,,,,,1.1980e-02,4.2123e-03,4.9057e-05,4.6340e-06,6.5206e-09,,,,,,,,,,,
Sam 15,2.18817e-08,1.20409e-02,4.2594e-03,4.9828e-05,4.7327e-06,1.6587e-09,,,,,,            5.0730,           11.1987,           15.7210,           21.0197,         -730.9785,            2.1219,            5.2334,           -0.5758,           -1.4699,         -738.2200,
Ref 16,2.28530e-08,,,,,,1.1980e-02,4.2123e-03,4.9056e-05,4.6366e-06,5.8058e-09,,,,,,,,,,,
Sam 16,2.15714e-08,1.20407e-02,4.2594e-03,4.9828e-05,4.7360e-06,6.4076e-09,,,,,,            5.0615,           11.2121,           15.7636,           21.9219,          464.0084,            2.1092,            5.2468,           -0.5352,           -0.6142,          424.5790,
Ref 17,2.25362e-08,,,,,,1.1980e-02,4.2121e-03,4.9054e-05,4.6322e-06,2.9276e-09,,,,,,,,,,,
Sam 17,2.12647e-08,1.20408e-02,4.2594e-03,4.9832e-05,4.7369e-06,4.5996e-09,,,,,,            5.0677,           11.2181,           15.8551,           22.6171,          887.6496,            2.1156,            5.2528,           -0.4574,            0.0538,          836.7770,
Ref 18,2.22270e-08,,,,,,1.1980e-02,4.2122e-03,4.9054e-05,4.6321e-06,1.9390e-09,,,,,,,,,,,
Sam 18,2.09662e-08,1.20407e-02,4.2594e-03,4.9833e-05,4.7349e-06,6.7355e-10,,,,,,            5.0593,           11.2074,           15.9189,           22.2707,         -743.3532,            2.1071,            5.2422,           -0.3756,           -0.2638,         -750.2623,
Ref 19,2.19254e-08,,,,,,1.1980e-02,4.2122e-03,4.9051e-05,4.6313e-06,3.3192e-09,,,,,,,,,,,
Sam 19,2.06733e-08,1.20408e-02,4.2594e-03,4.9832e-05,4.7327e-06,2.5689e-09,,,,,,            5.0696,           11.2298,           15.9040,           21.6564,          171.7606,            2.1173,            5.2644,           -0.4226,           -0.9088,          140.1531,
Ref 20,2.16280e-08,,,,,,1.1980e-02,4.2121e-03,4.9054e-05,4.6334e-06,1.0499e-09,,,,,,,,,,,
Sam 20,2.03847e-08,1.20406e-02,4.2594e-03,4.9834e-05,4.7312e-06,5.4125e-09,,,,,,            5.0801,           11.2157,           15.8486,           21.2801,        -4553.1058,            2.1289,            5.2504,           -0.4742,           -1.2490,        -4457.3184,
Ref 21,2.13373e-08,,,,,,1.1980e-02,4.2121e-03,4.9059e-05,4.6318e-06,-4.1316e-09,,,,,,,,,,,


