Nu Stable Isotope Analysis Program
Data Collected on Saturday, May 13, 2023 at 13:47 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, May 13, 2023 at 14:46 with Stable 1.71.5 on PS019

Data File = Data_19608 ETH-1.txt,         Sample Weight = 483,                      Vial Location = 50,                       Initial Sam Beam = 1.4232e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5988e-08,                Max Ref Beam = 1.0618e-07,                

Analysis undertaken at mass 46.0435
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.33281e-08,,,,,,1.1981e-02,4.2118e-03,4.9045e-05,4.6471e-06,4.7597e-08,
Sam 1,5.25045e-08,1.20375e-02,4.2597e-03,4.9798e-05,4.7497e-06,4.9342e-08,,,,,,            4.6937,           11.3543,           15.4374,           22.2329,           46.7330,            1.7129,            5.3891,           -0.6176,           -0.5910,           18.6566,
Ref 2,5.23018e-08,,,,,,1.1982e-02,4.2120e-03,4.9038e-05,4.6457e-06,4.6671e-08,,,,,,,,,,,
Sam 2,5.14456e-08,1.20378e-02,4.2599e-03,4.9802e-05,4.7519e-06,4.9843e-08,,,,,,            4.6908,           11.3639,           15.4963,           22.6283,           91.7055,            1.7095,            5.3987,           -0.5660,           -0.2235,           62.4062,
Ref 3,5.13462e-08,,,,,,1.1982e-02,4.2121e-03,4.9046e-05,4.6479e-06,4.4622e-08,,,,,,,,,,,
Sam 3,5.04296e-08,1.20378e-02,4.2600e-03,4.9802e-05,4.7515e-06,4.5894e-08,,,,,,            4.6844,           11.3570,           15.4266,           22.5851,           28.2981,            1.7029,            5.3919,           -0.6214,           -0.2521,            0.7207,
Ref 4,5.04079e-08,,,,,,1.1982e-02,4.2122e-03,4.9044e-05,4.6452e-06,4.4640e-08,,,,,,,,,,,
Sam 4,4.94450e-08,1.20379e-02,4.2600e-03,4.9804e-05,4.7494e-06,4.6540e-08,,,,,,            4.6851,           11.3553,           15.4251,           22.5216,            5.8530,            1.7038,            5.3901,           -0.6219,           -0.3108,          -21.1199,
Ref 5,4.94976e-08,,,,,,1.1982e-02,4.2122e-03,4.9052e-05,4.6443e-06,4.7928e-08,,,,,,,,,,,
Sam 5,4.84891e-08,1.20380e-02,4.2601e-03,4.9808e-05,4.7519e-06,4.9419e-08,,,,,,            4.6925,           11.3684,           15.4758,           22.7888,           55.2521,            1.7112,            5.4032,           -0.5924,           -0.0756,           26.9201,
Ref 6,4.85930e-08,,,,,,1.1982e-02,4.2122e-03,4.9045e-05,4.6478e-06,4.5714e-08,,,,,,,,,,,
Sam 6,4.75328e-08,1.20378e-02,4.2601e-03,4.9803e-05,4.7498e-06,4.8499e-08,,,,,,            4.6830,           11.3619,           15.4025,           21.8536,           30.3885,            1.7012,            5.3967,           -0.6483,           -0.9770,            2.7470,
Ref 7,4.77125e-08,,,,,,1.1982e-02,4.2123e-03,4.9050e-05,4.6488e-06,4.8447e-08,,,,,,,,,,,
Sam 7,4.66233e-08,1.20377e-02,4.2601e-03,4.9806e-05,4.7526e-06,5.0192e-08,,,,,,            4.6756,           11.3373,           15.4364,           22.2145,           43.9452,            1.6942,            5.3722,           -0.5835,           -0.5754,           15.9967,
Ref 8,4.68649e-08,,,,,,1.1982e-02,4.2124e-03,4.9048e-05,4.6498e-06,4.7705e-08,,,,,,,,,,,
Sam 8,4.57383e-08,1.20378e-02,4.2602e-03,4.9801e-05,4.7525e-06,4.7141e-08,,,,,,            4.6861,           11.3549,           15.3551,           22.2169,            9.4907,            1.7049,            5.3898,           -0.6915,           -0.6080,          -17.5801,
Ref 9,4.60349e-08,,,,,,1.1982e-02,4.2123e-03,4.9048e-05,4.6486e-06,4.5672e-08,,,,,,,,,,,
Sam 9,4.48823e-08,1.20377e-02,4.2602e-03,4.9799e-05,4.7531e-06,4.6347e-08,,,,,,            4.6856,           11.3604,           15.3098,           22.6053,            1.5557,            1.7041,            5.3953,           -0.7409,           -0.2391,          -25.3122,
Ref 10,4.52333e-08,,,,,,1.1982e-02,4.2123e-03,4.9048e-05,4.6475e-06,4.6888e-08,,,,,,,,,,,
Sam 10,4.40438e-08,1.20378e-02,4.2602e-03,4.9804e-05,4.7544e-06,4.7330e-08,,,,,,            4.6845,           11.3629,           15.3376,           22.8531,           -9.3198,            1.7029,            5.3977,           -0.7147,           -0.0017,          -35.8995,
Ref 11,4.44549e-08,,,,,,1.1982e-02,4.2125e-03,4.9054e-05,4.6489e-06,4.8679e-08,,,,,,,,,,,
Sam 11,4.32195e-08,1.20377e-02,4.2602e-03,4.9814e-05,4.7509e-06,5.1274e-08,,,,,,            4.6728,           11.3370,           15.5357,           21.9151,           57.0814,            1.6912,            5.3719,           -0.4826,           -0.8675,           28.7849,
Ref 12,4.36591e-08,,,,,,1.1982e-02,4.2124e-03,4.9050e-05,4.6492e-06,4.8329e-08,,,,,,,,,,,
Sam 12,4.24421e-08,1.20378e-02,4.2604e-03,4.9803e-05,4.7495e-06,4.7815e-08,,,,,,            4.6857,           11.3769,           15.3167,           21.8399,           39.1652,            1.7036,            5.4116,           -0.7501,           -1.0200,           11.2558,
Ref 13,4.29213e-08,,,,,,1.1982e-02,4.2125e-03,4.9055e-05,4.6469e-06,4.3656e-08,,,,,,,,,,,
Sam 13,4.16516e-08,1.20379e-02,4.2604e-03,4.9807e-05,4.7534e-06,4.6473e-08,,,,,,            4.6866,           11.3638,           15.3695,           22.6368,           55.8342,            1.7051,            5.3986,           -0.6864,           -0.2149,           27.5024,
Ref 14,4.21728e-08,,,,,,1.1982e-02,4.2125e-03,4.9052e-05,4.6496e-06,4.4380e-08,,,,,,,,,,,
Sam 14,4.08956e-08,1.20378e-02,4.2604e-03,4.9812e-05,4.7517e-06,4.4931e-08,,,,,,            4.6749,           11.3552,           15.4348,           22.0876,           73.1659,            1.6929,            5.3901,           -0.6018,           -0.7350,           44.3992,
Ref 15,4.14601e-08,,,,,,1.1982e-02,4.2126e-03,4.9057e-05,4.6485e-06,3.9312e-08,,,,,,,,,,,
Sam 15,4.01634e-08,1.20379e-02,4.2604e-03,4.9812e-05,4.7518e-06,4.2821e-08,,,,,,            4.6856,           11.3511,           15.3528,           22.2887,           63.6916,            1.7044,            5.3859,           -0.6894,           -0.5302,           35.1756,
Ref 16,4.07580e-08,,,,,,1.1982e-02,4.2126e-03,4.9060e-05,4.6480e-06,4.1218e-08,,,,,,,,,,,
Sam 16,3.94395e-08,1.20379e-02,4.2604e-03,4.9818e-05,4.7501e-06,4.1925e-08,,,,,,            4.6957,           11.3563,           15.4757,           21.8377,            4.5115,            1.7150,            5.3911,           -0.5839,           -0.9814,          -22.4383,
Ref 17,4.00708e-08,,,,,,1.1982e-02,4.2126e-03,4.9057e-05,4.6491e-06,4.2264e-08,,,,,,,,,,,
Sam 17,3.87346e-08,1.20379e-02,4.2605e-03,4.9811e-05,4.7518e-06,4.3030e-08,,,,,,            4.6943,           11.3689,           15.3090,           21.9423,           49.3107,            1.7131,            5.4037,           -0.7589,           -0.9041,           21.1353,
Ref 18,3.93957e-08,,,,,,1.1982e-02,4.2126e-03,4.9063e-05,4.6505e-06,3.9729e-08,,,,,,,,,,,
Sam 18,3.80477e-08,1.20377e-02,4.2604e-03,4.9817e-05,4.7543e-06,3.8984e-08,,,,,,            4.6782,           11.3517,           15.4204,           22.8912,           -1.2649,            1.6965,            5.3866,           -0.6160,            0.0576,          -28.0331,
Ref 19,3.87384e-08,,,,,,1.1982e-02,4.2126e-03,4.9058e-05,4.6453e-06,3.8326e-08,,,,,,,,,,,
Sam 19,3.73636e-08,1.20377e-02,4.2603e-03,4.9806e-05,4.7522e-06,3.9655e-08,,,,,,            4.6922,           11.3436,           15.1926,           22.6756,           53.1932,            1.7117,            5.3785,           -0.8467,           -0.1371,           24.9664,
Ref 20,3.80734e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6483e-06,3.6967e-08,,,,,,,,,,,
Sam 20,3.67039e-08,1.20377e-02,4.2604e-03,4.9818e-05,4.7539e-06,3.6587e-08,,,,,,            4.6904,           11.3442,           15.4342,           22.7847,           15.6999,            1.7098,            5.3790,           -0.6075,           -0.0315,          -11.5211,
Ref 21,3.74398e-08,,,,,,1.1982e-02,4.2126e-03,4.9058e-05,4.6476e-06,3.5061e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.71286e-08,,,,,,1.1982e-02,4.2125e-03,4.9060e-05,4.6446e-06,3.5841e-08,
Sam 1,3.57465e-08,1.20377e-02,4.2604e-03,4.9810e-05,4.7532e-06,3.1004e-08,,,,,,            4.6801,           11.3486,           15.2916,           23.1541,          -95.4049,            1.6987,            5.3835,           -0.7417,            0.3208,         -119.6464,
Ref 2,3.65225e-08,,,,,,1.1982e-02,4.2126e-03,4.9060e-05,4.6467e-06,3.2681e-08,,,,,,,,,,,
Sam 2,3.51323e-08,1.20376e-02,4.2604e-03,4.9807e-05,4.7508e-06,3.1699e-08,,,,,,            4.6757,           11.3294,           15.2499,           22.8002,          -52.2212,            1.6946,            5.3644,           -0.7595,            0.0127,          -77.5812,
Ref 3,3.59377e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6430e-06,3.4223e-08,,,,,,,,,,,
Sam 3,3.45456e-08,1.20376e-02,4.2604e-03,4.9811e-05,4.7507e-06,3.8066e-08,,,,,,            4.6837,           11.3475,           15.3081,           23.0372,          159.3355,            1.7025,            5.3824,           -0.7280,            0.2087,          128.2656,
Ref 4,3.53562e-08,,,,,,1.1982e-02,4.2126e-03,4.9064e-05,4.6444e-06,3.1422e-08,,,,,,,,,,,
Sam 4,3.39612e-08,1.20377e-02,4.2604e-03,4.9824e-05,4.7528e-06,3.3440e-08,,,,,,            4.6924,           11.3332,           15.5343,           23.3397,           48.8512,            1.7123,            5.3681,           -0.5003,            0.5328,           20.7613,
Ref 5,3.47907e-08,,,,,,1.1981e-02,4.2126e-03,4.9059e-05,4.6444e-06,3.2349e-08,,,,,,,,,,,
Sam 5,3.33811e-08,1.20375e-02,4.2604e-03,4.9819e-05,4.7493e-06,3.3560e-08,,,,,,            4.6863,           11.3566,           15.5447,           22.9880,           84.3687,            1.7050,            5.3914,           -0.5067,            0.1426,           55.2862,
Ref 6,3.42241e-08,,,,,,1.1981e-02,4.2126e-03,4.9053e-05,4.6408e-06,2.9525e-08,,,,,,,,,,,
Sam 6,3.28216e-08,1.20373e-02,4.2603e-03,4.9812e-05,4.7453e-06,2.7725e-08,,,,,,            4.6732,           11.3408,           15.4556,           22.0772,           -7.0395,            1.6916,            5.3758,           -0.5656,           -0.7167,          -33.6274,
Ref 7,3.36791e-08,,,,,,1.1981e-02,4.2126e-03,4.9055e-05,4.6449e-06,2.6292e-08,,,,,,,,,,,
Sam 7,3.22787e-08,1.20373e-02,4.2604e-03,4.9810e-05,4.7471e-06,2.9781e-08,,,,,,            4.6786,           11.3512,           15.3838,           21.9498,           91.5169,            1.6970,            5.3861,           -0.6520,           -0.8618,           62.2625,
Ref 8,3.31560e-08,,,,,,1.1981e-02,4.2125e-03,4.9056e-05,4.6453e-06,2.8292e-08,,,,,,,,,,,
Sam 8,3.17411e-08,1.20372e-02,4.2603e-03,4.9805e-05,4.7444e-06,3.1277e-08,,,,,,            4.6836,           11.3429,           15.2513,           21.6515,          170.0729,            1.7025,            5.3778,           -0.7793,           -1.1371,          138.7254,
Ref 9,3.26205e-08,,,,,,1.1981e-02,4.2126e-03,4.9057e-05,4.6423e-06,2.5144e-08,,,,,,,,,,,
Sam 9,3.12195e-08,1.20373e-02,4.2603e-03,4.9813e-05,4.7445e-06,2.6662e-08,,,,,,            4.6878,           11.3339,           15.4094,           22.3704,           53.3951,            1.7073,            5.3688,           -0.6192,           -0.4163,           25.1872,
Ref 10,3.21139e-08,,,,,,1.1981e-02,4.2125e-03,4.9056e-05,4.6390e-06,2.5480e-08,,,,,,,,,,,
Sam 10,3.07151e-08,1.20373e-02,4.2603e-03,4.9813e-05,4.7456e-06,2.5778e-08,,,,,,            4.6873,           11.3539,           15.5104,           22.7213,           55.1388,            1.7062,            5.3887,           -0.5388,           -0.1127,           26.8447,
Ref 11,3.16131e-08,,,,,,1.1981e-02,4.2125e-03,4.9049e-05,4.6414e-06,2.3366e-08,,,,,,,,,,,
Sam 11,3.02142e-08,1.20373e-02,4.2604e-03,4.9807e-05,4.7437e-06,2.1554e-08,,,,,,            4.6918,           11.3576,           15.3581,           22.0170,           39.5519,            1.7108,            5.3924,           -0.6969,           -0.8086,           11.6637,
Ref 12,3.11189e-08,,,,,,1.1981e-02,4.2125e-03,4.9059e-05,4.6416e-06,1.8060e-08,,,,,,,,,,,
Sam 12,2.97258e-08,1.20372e-02,4.2603e-03,4.9812e-05,4.7455e-06,2.2672e-08,,,,,,            4.6771,           11.3369,           15.3846,           22.6128,          212.5235,            1.6959,            5.3719,           -0.6357,           -0.1853,          180.0606,
Ref 13,3.06396e-08,,,,,,1.1981e-02,4.2125e-03,4.9056e-05,4.6396e-06,1.9346e-08,,,,,,,,,,,
Sam 13,2.92503e-08,1.20372e-02,4.2603e-03,4.9812e-05,4.7433e-06,2.0577e-08,,,,,,            4.6872,           11.3340,           15.3936,           22.4243,          164.5244,            1.7067,            5.3690,           -0.6344,           -0.3640,          133.3409,
Ref 14,3.01687e-08,,,,,,1.1981e-02,4.2125e-03,4.9058e-05,4.6390e-06,1.5968e-08,,,,,,,,,,,
Sam 14,2.87833e-08,1.20370e-02,4.2602e-03,4.9808e-05,4.7452e-06,2.2284e-08,,,,,,            4.6795,           11.3230,           15.2953,           23.2787,          422.6105,            1.6989,            5.3580,           -0.7126,            0.4933,          384.5568,
Ref 15,2.97054e-08,,,,,,1.1981e-02,4.2126e-03,4.9056e-05,4.6354e-06,1.5356e-08,,,,,,,,,,,
Sam 15,2.83288e-08,1.20372e-02,4.2603e-03,4.9812e-05,4.7449e-06,1.7882e-08,,,,,,            4.6936,           11.3372,           15.3859,           23.1789,          245.3347,            1.7134,            5.3721,           -0.6515,            0.3676,          211.9716,
Ref 16,2.92584e-08,,,,,,1.1981e-02,4.2125e-03,4.9058e-05,4.6395e-06,1.3348e-08,,,,,,,,,,,
Sam 16,2.78857e-08,1.20371e-02,4.2603e-03,4.9807e-05,4.7432e-06,1.6082e-08,,,,,,            4.6828,           11.3363,           15.3101,           22.5080,          118.5045,            1.7020,            5.3712,           -0.7143,           -0.2866,           88.5536,
Ref 17,2.88193e-08,,,,,,1.1981e-02,4.2126e-03,4.9055e-05,4.6381e-06,1.5425e-08,,,,,,,,,,,
Sam 17,2.74583e-08,1.20371e-02,4.2603e-03,4.9806e-05,4.7417e-06,1.2777e-08,,,,,,            4.6821,           11.3376,           15.3198,           22.4004,         -221.6456,            1.7011,            5.3726,           -0.7053,           -0.3943,         -242.4894,
Ref 18,2.83917e-08,,,,,,1.1981e-02,4.2125e-03,4.9053e-05,4.6375e-06,1.7421e-08,,,,,,,,,,,
Sam 18,2.70334e-08,1.20370e-02,4.2603e-03,4.9807e-05,4.7436e-06,1.4175e-08,,,,,,            4.6830,           11.3481,           15.3801,           22.9578,           65.2843,            1.7018,            5.3830,           -0.6571,            0.1298,           36.7343,
Ref 19,2.79691e-08,,,,,,1.1981e-02,4.2125e-03,4.9052e-05,4.6367e-06,9.1298e-09,,,,,,,,,,,
Sam 19,2.66135e-08,1.20370e-02,4.2602e-03,4.9804e-05,4.7387e-06,8.8353e-09,,,,,,            4.6880,           11.3301,           15.3585,           22.4511,         -176.9019,            1.7077,            5.3650,           -0.6658,           -0.3299,         -198.9371,
Ref 20,2.75530e-08,,,,,,1.1981e-02,4.2125e-03,4.9050e-05,4.6325e-06,1.2363e-08,,,,,,,,,,,
Sam 20,2.62017e-08,1.20368e-02,4.2602e-03,4.9804e-05,4.7391e-06,1.0906e-08,,,,,,            4.6788,           11.3371,           15.4037,           22.7738,          341.3015,            1.6977,            5.3721,           -0.6189,           -0.0283,          305.3879,
Ref 21,2.71424e-08,,,,,,1.1981e-02,4.2124e-03,4.9046e-05,4.6347e-06,3.8343e-09,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.69478e-08,,,,,,1.1981e-02,4.2125e-03,4.9049e-05,4.6329e-06,-3.8493e-10,
Sam 1,2.56106e-08,1.20369e-02,4.2601e-03,4.9802e-05,4.7376e-06,2.1643e-10,,,,,,            4.6857,           11.3080,           15.3227,           22.7110,         -682.5674,            1.7060,            5.3431,           -0.6773,           -0.0321,         -691.0512,
Ref 2,2.65527e-08,,,,,,1.1981e-02,4.2125e-03,4.9052e-05,4.6319e-06,1.7645e-09,,,,,,,,,,,
Sam 2,2.52281e-08,1.20367e-02,4.2601e-03,4.9800e-05,4.7362e-06,2.0839e-09,,,,,,            4.6669,           11.3084,           15.3064,           22.6925,         1170.8965,            1.6860,            5.3435,           -0.6744,           -0.0510,         1112.9150,
Ref 3,2.61676e-08,,,,,,1.1981e-02,4.2125e-03,4.9047e-05,4.6303e-06,1.4357e-10,,,,,,,,,,,
Sam 3,2.48483e-08,1.20367e-02,4.2602e-03,4.9800e-05,4.7331e-06,-5.1099e-10,,,,,,            4.6656,           11.3343,           15.3397,           22.3971,         -488.0128,            1.6837,            5.3693,           -0.6655,           -0.3910,         -501.7114,
Ref 4,2.57878e-08,,,,,,1.1981e-02,4.2124e-03,4.9049e-05,4.6284e-06,-2.1565e-09,,,,,,,,,,,
Sam 4,2.44774e-08,1.20367e-02,4.2601e-03,4.9796e-05,4.7329e-06,-6.4287e-09,,,,,,            4.6758,           11.3076,           15.2756,           22.8074,          313.9860,            1.6954,            5.3427,           -0.7130,            0.0629,          278.8814,
Ref 5,2.54169e-08,,,,,,1.1981e-02,4.2125e-03,4.9045e-05,4.6264e-06,-7.6684e-09,,,,,,,,,,,
Sam 5,2.41154e-08,1.20367e-02,4.2602e-03,4.9799e-05,4.7297e-06,-5.5315e-09,,,,,,            4.6859,           11.3384,           15.3343,           22.1749,          167.7507,            1.7051,            5.3734,           -0.6956,           -0.6164,          136.4726,
Ref 6,2.50529e-08,,,,,,1.1980e-02,4.2124e-03,4.9048e-05,4.6277e-06,-1.7628e-09,,,,,,,,,,,
Sam 6,2.37617e-08,1.20367e-02,4.2601e-03,4.9801e-05,4.7307e-06,-1.0663e-08,,,,,,            4.6981,           11.3145,           15.2860,           22.3090,          144.6093,            1.7190,            5.3495,           -0.7325,           -0.4381,          113.9885,
Ref 7,2.46975e-08,,,,,,1.1980e-02,4.2125e-03,4.9054e-05,4.6271e-06,-1.6978e-08,,,,,,,,,,,
Sam 7,2.34132e-08,1.20366e-02,4.2601e-03,4.9801e-05,4.7311e-06,-1.7673e-08,,,,,,            4.6831,           11.3181,           15.3139,           22.5158,          244.2034,            1.7029,            5.3532,           -0.6931,           -0.2430,          210.9289,
Ref 8,2.43492e-08,,,,,,1.1980e-02,4.2124e-03,4.9045e-05,4.6266e-06,-1.1390e-08,,,,,,,,,,,
Sam 8,2.30741e-08,1.20364e-02,4.2601e-03,4.9797e-05,4.7282e-06,-1.1663e-08,,,,,,            4.6736,           11.3284,           15.2712,           22.0677,         -191.9195,            1.6924,            5.3634,           -0.7355,           -0.7015,         -213.5382,
Ref 9,2.40064e-08,,,,,,1.1980e-02,4.2124e-03,4.9051e-05,4.6256e-06,-1.7519e-08,,,,,,,,,,,
Sam 9,2.27384e-08,1.20364e-02,4.2601e-03,4.9790e-05,4.7264e-06,-2.2900e-08,,,,,,            4.6736,           11.3296,           15.1266,           21.7049,          253.7805,            1.6923,            5.3646,           -0.8789,           -1.0585,          220.2350,
Ref 10,2.36714e-08,,,,,,1.1980e-02,4.2124e-03,4.9045e-05,4.6264e-06,-1.9021e-08,,,,,,,,,,,
Sam 10,2.24101e-08,1.20361e-02,4.2601e-03,4.9785e-05,4.7264e-06,-2.0275e-08,,,,,,            4.6581,           11.3336,           15.1597,           21.8682,           53.2318,            1.6757,            5.3686,           -0.8342,           -0.9067,           25.0609,
Ref 11,2.33393e-08,,,,,,1.1980e-02,4.2123e-03,4.9039e-05,4.6241e-06,-1.9483e-08,,,,,,,,,,,
Sam 11,2.20796e-08,1.20363e-02,4.2600e-03,4.9789e-05,4.7201e-06,-1.9825e-08,,,,,,            4.6836,           11.3226,           15.2373,           20.9802,          -10.1218,            1.7033,            5.3576,           -0.7734,           -1.7533,          -36.6035,
Ref 12,2.30067e-08,,,,,,1.1980e-02,4.2122e-03,4.9045e-05,4.6222e-06,-2.0581e-08,,,,,,,,,,,
Sam 12,2.17646e-08,1.20364e-02,4.2600e-03,4.9786e-05,4.7224e-06,-2.2306e-08,,,,,,            4.6898,           11.3363,           15.2450,           21.6926,           21.8988,            1.7094,            5.3712,           -0.7855,           -1.0838,           -5.4726,
Ref 13,2.26880e-08,,,,,,1.1980e-02,4.2122e-03,4.9033e-05,4.6220e-06,-2.3093e-08,,,,,,,,,,,
Sam 13,2.14551e-08,1.20361e-02,4.2600e-03,4.9790e-05,4.7195e-06,-2.9595e-08,,,,,,            4.6692,           11.3452,           15.5070,           21.5783,          257.5027,            1.6872,            5.3801,           -0.5151,           -1.2131,          223.8261,
Ref 14,2.23747e-08,,,,,,1.1980e-02,4.2122e-03,4.9027e-05,4.6175e-06,-2.3983e-08,,,,,,,,,,,
Sam 14,2.11529e-08,1.20363e-02,4.2600e-03,4.9789e-05,4.7264e-06,-2.9579e-08,,,,,,            4.6950,           11.3407,           15.3609,           23.8493,           68.8956,            1.7147,            5.3756,           -0.6810,            1.0161,           40.2508,
Ref 15,2.20701e-08,,,,,,1.1980e-02,4.2123e-03,4.9044e-05,4.6152e-06,-3.1412e-08,,,,,,,,,,,
Sam 15,2.08556e-08,1.20362e-02,4.2599e-03,4.9794e-05,4.7198e-06,-3.2598e-08,,,,,,            4.6861,           11.3123,           15.3766,           22.3242,           90.9325,            1.7063,            5.3474,           -0.6288,           -0.4189,           61.7657,
Ref 16,2.17706e-08,,,,,,1.1980e-02,4.2122e-03,4.9035e-05,4.6184e-06,-2.8329e-08,,,,,,,,,,,
Sam 16,2.05631e-08,1.20361e-02,4.2599e-03,4.9794e-05,4.7283e-06,-3.1497e-08,,,,,,            4.6786,           11.3318,           15.4519,           24.0686,           47.5089,            1.6977,            5.3668,           -0.5660,            1.2481,           19.4724,
Ref 17,2.14758e-08,,,,,,1.1980e-02,4.2121e-03,4.9036e-05,4.6160e-06,-3.1831e-08,,,,,,,,,,,
Sam 17,2.02794e-08,1.20361e-02,4.2598e-03,4.9778e-05,4.7242e-06,-3.4177e-08,,,,,,            4.6847,           11.3266,           15.1482,           23.2911,          136.4803,            1.7043,            5.3615,           -0.8660,            0.4984,          106.0668,
Ref 18,2.11875e-08,,,,,,1.1980e-02,4.2121e-03,4.9035e-05,4.6175e-06,-2.8290e-08,,,,,,,,,,,
Sam 18,1.99991e-08,1.20357e-02,4.2598e-03,4.9788e-05,4.7207e-06,-3.6703e-08,,,,,,            4.6599,           11.3233,           15.3993,           22.6430,          127.8788,            1.6780,            5.3583,           -0.5903,           -0.1289,           97.7313,
Ref 19,2.09035e-08,,,,,,1.1980e-02,4.2122e-03,4.9030e-05,4.6148e-06,-3.6852e-08,,,,,,,,,,,
Sam 19,1.97228e-08,1.20360e-02,4.2599e-03,4.9783e-05,4.7219e-06,-4.2730e-08,,,,,,            4.6809,           11.3394,           15.3179,           23.7258,          247.5387,            1.6998,            5.3744,           -0.7077,            0.8979,          214.1276,
Ref 20,2.06266e-08,,,,,,1.1980e-02,4.2121e-03,4.9034e-05,4.6101e-06,-3.1616e-08,,,,,,,,,,,
Sam 20,1.94542e-08,1.20358e-02,4.2597e-03,4.9786e-05,4.7210e-06,-4.4533e-08,,,,,,            4.6808,           11.3164,           15.3193,           23.0135,          269.8304,            1.7005,            5.3514,           -0.6838,            0.2470,          235.8778,
Ref 21,2.03523e-08,,,,,,1.1980e-02,4.2121e-03,4.9037e-05,4.6196e-06,-3.8570e-08,,,,,,,,,,,


