Batch,20230515 clumped PREC 2 KDB NTA,Collected on,2023/05/15 13:46:11,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2023/05/15 14:45:07,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19609 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 13:46:11,475,1,9.0501e-08,1.905291E-10,CF,15.594,5.830e-02,0,5.8296e-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8801e-08,1.0685e-07,8.6839e-08,7.8962e-08,7.7611e-08,7.7969e-08,0.96,2023/05/15 13:45:13,-0.46,5614,8448,5.8296e-02,46.048,20,0.000,-2.4893e-13,-1.1806e-13,-1.2690e-13,-6.9115e-14,3.0613e-14,3.6657e-12,36.00,35.00,64.32,3.29480e-08,3.05824e-08,1.20359e-02,4.2592e-03,4.9789e-05,4.7283e-06,6.0557e-09,1.1980e-02,4.2116e-03,4.9032e-05,4.6249e-06,6.9188e-09,4.6762,11.2795,15.4308,22.3264,28.8741,1.6968,0.0019,0,60,5.3147,0.0061,0,60,-0.5334,-0.3518,1.4354,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19610 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 15:08:41,494,2,1.1567e-07,2.341547E-10,CF,19.470,5.830e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7792e-08,1.0635e-07,4.3807e-08,4.3520e-08,4.3486e-08,4.3389e-08,0.96,2023/05/15 15:07:56,0.22,7715,8448,5.8296e-02,46.046,20,0.000,-2.5044e-13,-1.1887e-13,-1.2798e-13,-7.1270e-14,2.6071e-14,3.5575e-12,23.00,23.00,64.32,2.68069e-08,2.59988e-08,1.18944e-02,4.1900e-03,4.8391e-05,4.5637e-06,-1.9507e-08,1.1980e-02,4.2120e-03,4.9033e-05,4.6141e-06,-1.7272e-08,-7.1591,-5.2188,-13.1004,-10.9406,73.3816,-10.3278,0.0010,0,60,-11.0779,0.0011,0,60,-0.6326,-0.5358,92.8056,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19611 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 16:30:27,471,3,1.3854e-07,2.941455E-10,CF,23.437,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7134e-08,1.0617e-07,5.3927e-08,5.4254e-08,5.4227e-08,5.4092e-08,0.96,2023/05/15 16:29:42,0.25,6735,8448,5.6999e-02,46.048,20,0.000,-2.5428e-13,-1.2076e-13,-1.2974e-13,-7.2361e-14,2.5499e-14,3.5468e-12,24.00,24.00,64.46,3.23594e-08,3.13716e-08,1.20337e-02,4.2622e-03,4.9850e-05,4.7564e-06,5.7270e-08,1.1981e-02,4.2124e-03,4.9066e-05,4.6457e-06,5.4884e-08,4.3960,11.8213,15.9714,23.8350,44.8967,1.3800,0.0010,0,60,5.8545,0.0026,0,60,-0.2409,0.0515,16.2665,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19612 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 17:52:19,418,4,1.2438e-07,2.975538E-10,CF,20.874,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6378e-08,1.0613e-07,4.7585e-08,4.7821e-08,4.7780e-08,4.7680e-08,0.96,2023/05/15 17:51:33,0.21,7158,8448,5.6999e-02,46.051,20,0.000,-2.5348e-13,-1.2057e-13,-1.2945e-13,-7.2520e-14,2.5767e-14,3.5656e-12,23.00,24.00,64.46,2.90465e-08,2.81842e-08,1.19222e-02,4.2308e-03,4.9023e-05,4.6926e-06,5.2998e-08,1.1981e-02,4.2124e-03,4.9072e-05,4.6519e-06,5.2022e-08,-4.9013,4.3699,-1.0010,8.7319,15.7434,-8.2575,0.0011,0,60,-1.5405,0.0014,0,60,-0.2295,-0.0268,12.3427,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19613 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 19:14:10,483,5,1.5321e-07,3.172121E-10,CF,25.299,5.830e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5670e-08,1.0629e-07,6.0341e-08,6.0478e-08,6.0444e-08,6.0385e-08,0.96,2023/05/15 19:13:25,0.10,6186,8448,5.8296e-02,46.048,20,0.000,-2.5512e-13,-1.2115e-13,-1.3013e-13,-7.1801e-14,2.6733e-14,3.6237e-12,25.00,25.00,64.46,3.55489e-08,3.44139e-08,1.20424e-02,4.2600e-03,4.9830e-05,4.7398e-06,3.0438e-08,1.1982e-02,4.2126e-03,4.9055e-05,4.6361e-06,2.8997e-08,5.0779,11.2436,15.7994,22.3749,53.6607,2.1256,0.0009,0,60,5.2781,0.0021,0,60,-0.5474,-0.2334,25.2024,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19614 WS1_178_9_A.txt,WS1_178_9_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 20:36:01,439,6,1.4301e-07,3.257664E-10,CF,23.468,5.700e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4958e-08,1.0615e-07,5.5644e-08,5.5860e-08,5.5818e-08,5.5702e-08,0.96,2023/05/15 20:35:16,0.21,6395,8446,5.6999e-02,46.051,20,0.000,-2.5585e-13,-1.2145e-13,-1.3043e-13,-7.2777e-14,2.5857e-14,3.5584e-12,24.00,24.00,64.46,3.31663e-08,3.21347e-08,1.20349e-02,4.2641e-03,4.9872e-05,4.7634e-06,6.8503e-08,1.1982e-02,4.2127e-03,4.9074e-05,4.6504e-06,6.5791e-08,4.4410,12.1868,16.2520,24.3015,39.6711,1.4153,0.0010,0,60,6.2181,0.0022,0,60,-0.3665,-0.2153,10.4180,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19615 AU_LMW1_307_34.txt,AU_LMW1_307_34,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 21:57:53,1154,7,2.3257e-07,2.015341E-10,CF,36.346,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4225e-08,1.0603e-07,9.5332e-08,9.4628e-08,9.4536e-08,9.4271e-08,0.96,2023/05/15 21:57:07,0.28,4643,8446,5.8296e-02,46.048,20,0.000,-2.5601e-13,-1.2145e-13,-1.3045e-13,-6.9401e-14,2.9415e-14,3.8660e-12,27.00,28.00,64.46,5.27901e-08,5.13116e-08,1.20747e-02,4.2514e-03,4.9859e-05,4.7203e-06,4.2239e-08,1.1981e-02,4.2117e-03,4.9025e-05,4.6339e-06,4.1309e-08,7.7747,9.4169,16.9985,18.6453,22.0825,5.0588,0.0215,0,60,3.4543,0.0245,0,60,-0.3492,-0.2719,-4.8228,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19616 ST2_24_6_A.txt,ST2_24_6_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 23:19:33,455,8,1.4238e-07,3.129126E-10,CF,23.376,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3329e-08,1.0643e-07,5.5412e-08,5.5578e-08,5.5539e-08,5.5407e-08,0.96,2023/05/15 23:18:47,0.24,6235,8448,5.6999e-02,46.046,20,0.000,-2.5615e-13,-1.2176e-13,-1.3078e-13,-7.2734e-14,2.5427e-14,3.6997e-12,24.00,24.00,64.46,3.29901e-08,3.20035e-08,1.20510e-02,4.2795e-03,5.0127e-05,4.8044e-06,7.1315e-08,1.1981e-02,4.2127e-03,4.9079e-05,4.6561e-06,6.7564e-08,5.8051,15.8642,21.3523,31.8372,52.8195,2.7404,0.0010,0,60,9.8748,0.0025,0,60,-0.3278,-0.1385,14.4588,
