Batch,20230515 clumped PREC 2 KDB NTA,Collected on,2023/05/15 13:46:11,Analysis Instrument,PS019,Acquisition Software,Stable 1.71.5,Reanalyzed  on,2023/05/15 14:45:07,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19609 ETH-1.txt,ETH-1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 13:46:11,475,1,9.0501e-08,1.905291E-10,CF,15.594,5.830e-02,0,5.8296e-02,15648, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8801e-08,1.0685e-07,8.6839e-08,7.8962e-08,7.7611e-08,7.7969e-08,0.96,2023/05/15 13:45:13,-0.46,5614,8448,5.8296e-02,46.048,20,8,20,20,0.000,-2.4893e-13,-1.1806e-13,-1.2690e-13,-6.9115e-14,3.0613e-14,3.6657e-12,36.00,35.00,64.32,-1.95e02,-1.75e02,64.32,0.00,64.32,64.32,2023/05/15 12:46:34,2023/05/15 13:45:51,119,3.29480e-08,0.000,0,63,3.05824e-08,2.05002e-09,0,60,1.20359e-02,1.40114e-07,0,60,4.2592e-03,7.7663e-08,0,60,4.9789e-05,2.6902e-09,0,60,4.7283e-06,2.2482e-09,0,60,6.0557e-09,4.4754e-09,0,60,1.1980e-02,1.2813e-07,0,63,4.2116e-03,8.5452e-08,0,63,4.9032e-05,2.2895e-09,0,63,4.6249e-06,1.7671e-09,0,63,6.9188e-09,3.8933e-09,0,63,4.6762,0.0020,0,60,11.2795,0.0062,0,60,15.4308,0.0227,0,60,22.3264,0.1212,0,60,28.8741,112.0364,0,60,1.6968,0.0019,0,60,5.3147,0.0061,0,60,-0.5334,0.0172,0,60,-0.3518,0.1129,0,60,1.4354,109.0589,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19610 ETH-2.txt,ETH-2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 15:08:41,494,2,1.1567e-07,2.341547E-10,CF,19.470,5.830e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7792e-08,1.0635e-07,4.3807e-08,4.3520e-08,4.3486e-08,4.3389e-08,0.96,2023/05/15 15:07:56,0.22,7715,8448,5.8296e-02,46.046,20,8,20,20,0.000,-2.5044e-13,-1.1887e-13,-1.2798e-13,-7.1270e-14,2.6071e-14,3.5575e-12,23.00,23.00,64.32,-1.95e02,-1.62e02,64.32,0.00,64.32,64.32,2023/05/15 14:08:06,2023/05/15 14:49:10,82,2.68069e-08,0.000,0,63,2.59988e-08,9.31029e-10,0,60,1.18944e-02,8.39856e-08,0,60,4.1900e-03,2.8610e-08,0,60,4.8391e-05,3.1079e-09,0,60,4.5637e-06,3.8066e-09,0,60,-1.9507e-08,7.0605e-09,0,60,1.1980e-02,8.3806e-08,0,63,4.2120e-03,2.9343e-08,0,63,4.9033e-05,2.6462e-09,0,63,4.6141e-06,3.5250e-09,0,63,-1.7272e-08,6.5371e-09,0,63,-7.1591,0.0010,0,60,-5.2188,0.0012,0,60,-13.1004,0.0158,0,60,-10.9406,0.1045,0,60,73.3816,34.4633,0,60,-10.3278,0.0010,0,60,-11.0779,0.0011,0,60,-0.6326,0.0161,0,60,-0.5358,0.1057,0,60,92.8056,35.0882,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19611 ETH-3.txt,ETH-3,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 16:30:27,471,3,1.3854e-07,2.941455E-10,CF,23.437,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7134e-08,1.0617e-07,5.3927e-08,5.4254e-08,5.4227e-08,5.4092e-08,0.96,2023/05/15 16:29:42,0.25,6735,8448,5.6999e-02,46.048,20,8,20,20,0.000,-2.5428e-13,-1.2076e-13,-1.2974e-13,-7.2361e-14,2.5499e-14,3.5468e-12,24.00,24.00,64.46,-1.95e02,-1.72e02,64.46,0.00,64.46,64.46,2023/05/15 15:31:59,2023/05/15 16:11:41,79,3.23594e-08,0.000,0,63,3.13716e-08,1.20259e-09,0,60,1.20337e-02,9.38597e-08,0,60,4.2622e-03,3.0117e-08,0,60,4.9850e-05,1.3111e-09,0,60,4.7564e-06,5.0504e-10,0,60,5.7270e-08,1.1364e-09,0,60,1.1981e-02,8.5809e-08,0,63,4.2124e-03,2.4745e-08,0,63,4.9066e-05,1.4469e-09,0,63,4.6457e-06,4.4640e-10,0,63,5.4884e-08,1.0695e-09,0,63,4.3960,0.0010,0,60,11.8213,0.0026,0,60,15.9714,0.0124,0,60,23.8350,0.0891,0,60,44.8967,6.1535,0,60,1.3800,0.0010,0,60,5.8545,0.0026,0,60,-0.2409,0.0118,0,60,0.0515,0.0882,0,60,16.2665,5.9845,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19612 IAEA-C2.txt,IAEA-C2,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 17:52:19,418,4,1.2438e-07,2.975538E-10,CF,20.874,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6378e-08,1.0613e-07,4.7585e-08,4.7821e-08,4.7780e-08,4.7680e-08,0.96,2023/05/15 17:51:33,0.21,7158,8448,5.6999e-02,46.051,20,8,20,20,0.000,-2.5348e-13,-1.2057e-13,-1.2945e-13,-7.2520e-14,2.5767e-14,3.5656e-12,23.00,24.00,64.46,-1.95e02,-1.70e02,64.46,0.00,64.46,64.46,2023/05/15 16:54:30,2023/05/15 17:33:27,78,2.90465e-08,0.000,0,63,2.81842e-08,1.03977e-09,0,60,1.19222e-02,9.97978e-08,0,60,4.2308e-03,3.2720e-08,0,60,4.9023e-05,1.1872e-09,0,60,4.6926e-06,6.6218e-10,0,60,5.2998e-08,1.3212e-09,0,60,1.1981e-02,9.6867e-08,0,63,4.2124e-03,3.1321e-08,0,63,4.9072e-05,1.1789e-09,0,63,4.6519e-06,5.8248e-10,0,63,5.2022e-08,1.2558e-09,0,63,-4.9013,0.0010,0,60,4.3699,0.0014,0,60,-1.0010,0.0128,0,60,8.7319,0.0916,0,60,15.7434,7.9220,0,60,-8.2575,0.0011,0,60,-1.5405,0.0014,0,60,-0.2295,0.0131,0,60,-0.0268,0.0909,0,60,12.3427,7.8953,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19613 IAEA-C1.txt,IAEA-C1,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 19:14:10,483,5,1.5321e-07,3.172121E-10,CF,25.299,5.830e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5670e-08,1.0629e-07,6.0341e-08,6.0478e-08,6.0444e-08,6.0385e-08,0.96,2023/05/15 19:13:25,0.10,6186,8448,5.8296e-02,46.048,20,8,20,20,0.000,-2.5512e-13,-1.2115e-13,-1.3013e-13,-7.1801e-14,2.6733e-14,3.6237e-12,25.00,25.00,64.46,-1.95e02,-1.60e02,64.46,0.00,64.46,64.46,2023/05/15 18:16:15,2023/05/15 18:55:17,78,3.55489e-08,0.000,0,63,3.44139e-08,1.35951e-09,0,60,1.20424e-02,8.24246e-08,0,60,4.2600e-03,3.3590e-08,0,60,4.9830e-05,1.0718e-09,0,60,4.7398e-06,6.7164e-10,0,60,3.0438e-08,1.3853e-09,0,60,1.1982e-02,7.5608e-08,0,63,4.2126e-03,3.4457e-08,0,63,4.9055e-05,1.0751e-09,0,63,4.6361e-06,6.2358e-10,0,63,2.8997e-08,1.2803e-09,0,63,5.0779,0.0009,0,60,11.2436,0.0021,0,60,15.7994,0.0153,0,60,22.3749,0.0695,0,60,53.6607,16.1004,0,60,2.1256,0.0009,0,60,5.2781,0.0021,0,60,-0.5474,0.0142,0,60,-0.2334,0.0680,0,60,25.2024,15.6656,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19614 WS1_178_9_A.txt,WS1_178_9_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 20:36:01,439,6,1.4301e-07,3.257664E-10,CF,23.468,5.700e-02,1,5.6999e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4958e-08,1.0615e-07,5.5644e-08,5.5860e-08,5.5818e-08,5.5702e-08,0.96,2023/05/15 20:35:16,0.21,6395,8446,5.6999e-02,46.051,20,8,20,20,0.000,-2.5585e-13,-1.2145e-13,-1.3043e-13,-7.2777e-14,2.5857e-14,3.5584e-12,24.00,24.00,64.46,-1.95e02,-1.72e02,64.46,0.00,64.46,64.46,2023/05/15 19:38:06,2023/05/15 20:17:10,78,3.31663e-08,0.000,0,63,3.21347e-08,1.24306e-09,0,60,1.20349e-02,9.63957e-08,0,60,4.2641e-03,3.1370e-08,0,60,4.9872e-05,1.6005e-09,0,60,4.7634e-06,7.3296e-10,0,60,6.8503e-08,1.6461e-09,0,60,1.1982e-02,8.9230e-08,0,63,4.2127e-03,2.7775e-08,0,63,4.9074e-05,1.6939e-09,0,63,4.6504e-06,7.2158e-10,0,63,6.5791e-08,1.5045e-09,0,63,4.4410,0.0010,0,60,12.1868,0.0022,0,60,16.2520,0.0140,0,60,24.3015,0.0831,0,60,39.6711,4.2233,0,60,1.4153,0.0010,0,60,6.2181,0.0022,0,60,-0.3665,0.0134,0,60,-0.2153,0.0803,0,60,10.4180,4.1051,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19615 AU_LMW1_307_34.txt,AU_LMW1_307_34,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 21:57:53,1154,7,2.3257e-07,2.015341E-10,CF,36.346,5.830e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4225e-08,1.0603e-07,9.5332e-08,9.4628e-08,9.4536e-08,9.4271e-08,0.96,2023/05/15 21:57:07,0.28,4643,8446,5.8296e-02,46.048,20,8,20,20,0.000,-2.5601e-13,-1.2145e-13,-1.3045e-13,-6.9401e-14,2.9415e-14,3.8660e-12,27.00,28.00,64.46,-1.95e02,-1.63e02,64.46,0.00,64.46,64.46,2023/05/15 21:00:04,2023/05/15 21:39:00,77,5.27901e-08,0.000,0,63,5.13116e-08,2.25547e-09,0,60,1.20747e-02,2.60135e-07,0,60,4.2514e-03,2.4342e-07,0,60,4.9859e-05,5.4025e-09,0,60,4.7203e-06,4.0234e-10,0,60,4.2239e-08,5.9056e-10,0,60,1.1981e-02,4.4211e-07,0,63,4.2117e-03,2.8831e-07,0,63,4.9025e-05,6.1839e-09,0,63,4.6339e-06,5.0313e-10,0,63,4.1309e-08,5.6080e-10,0,63,7.7747,0.0210,0,60,9.4169,0.0247,0,60,16.9985,0.0426,0,60,18.6453,0.0666,0,60,22.0825,6.0401,0,60,5.0588,0.0215,0,60,3.4543,0.0245,0,60,-0.3492,0.0105,0,60,-0.2719,0.0406,0,60,-4.8228,5.8664,0,60,
C:\Nu Stable\Results\2023\20230515 clumped PREC 2 KDB NTA,20230515 clumped PREC 2 KDB NTA,Data_19616 ST2_24_6_A.txt,ST2_24_6_A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2023/05/15 13:46:11,2023/05/15 23:19:33,455,8,1.4238e-07,3.129126E-10,CF,23.376,5.700e-02,1,5.5732e-02,15584, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.3329e-08,1.0643e-07,5.5412e-08,5.5578e-08,5.5539e-08,5.5407e-08,0.96,2023/05/15 23:18:47,0.24,6235,8448,5.6999e-02,46.046,20,8,20,20,0.000,-2.5615e-13,-1.2176e-13,-1.3078e-13,-7.2734e-14,2.5427e-14,3.6997e-12,24.00,24.00,64.46,-1.95e02,-1.75e02,64.46,0.00,64.46,64.46,2023/05/15 22:21:44,2023/05/15 23:00:39,78,3.29901e-08,0.000,0,63,3.20035e-08,1.23545e-09,0,60,1.20510e-02,1.04841e-07,0,60,4.2795e-03,3.1946e-08,0,60,5.0127e-05,1.9544e-09,0,60,4.8044e-06,1.0229e-09,0,60,7.1315e-08,1.9278e-09,0,60,1.1981e-02,9.8208e-08,0,63,4.2127e-03,2.5526e-08,0,63,4.9079e-05,1.9758e-09,0,63,4.6561e-06,9.0469e-10,0,63,6.7564e-08,1.6535e-09,0,63,5.8051,0.0009,0,60,15.8642,0.0025,0,60,21.3523,0.0135,0,60,31.8372,0.0785,0,60,52.8195,4.8704,0,60,2.7404,0.0010,0,60,9.8748,0.0025,0,60,-0.3278,0.0132,0,60,-0.1385,0.0780,0,60,14.4588,4.6957,0,60,
