Nu Stable Isotope Analysis Program
Data Collected on Monday, May 15, 2023 at 20:36 with Stable 1.71.5 on PS019,Reanalyzed on Monday, May 15, 2023 at 21:34 with Stable 1.71.5 on PS019

Data File = Data_19614 WS1_178_9_A.txt,   Sample Weight = 439,                      Vial Location = 6,                        Initial Sam Beam = 1.4301e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4958e-08,                Max Ref Beam = 1.0615e-07,                

Analysis undertaken at mass 46.05084
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.31219e-08,,,,,,1.1982e-02,4.2121e-03,4.9041e-05,4.6432e-06,4.9502e-08,
Sam 1,5.23271e-08,1.20354e-02,4.2637e-03,4.9836e-05,4.7566e-06,5.2608e-08,,,,,,            4.4509,           12.2114,           16.1553,           24.4790,           32.7122,            1.4249,            6.2427,           -0.4956,           -0.0907,            3.5962,
Ref 2,5.21021e-08,,,,,,1.1982e-02,4.2124e-03,4.9046e-05,4.6426e-06,5.2410e-08,,,,,,,,,,,
Sam 2,5.12716e-08,1.20356e-02,4.2639e-03,4.9846e-05,4.7563e-06,5.1627e-08,,,,,,            4.4356,           12.2104,           16.2641,           24.4881,           -7.0707,            1.4087,            6.2417,           -0.3719,           -0.0798,          -35.0475,
Ref 3,5.11296e-08,,,,,,1.1983e-02,4.2125e-03,4.9050e-05,4.6427e-06,5.1571e-08,,,,,,,,,,,
Sam 3,5.02545e-08,1.20357e-02,4.2639e-03,4.9841e-05,4.7554e-06,5.2270e-08,,,,,,            4.4381,           12.2051,           16.1788,           24.1154,           20.8175,            1.4115,            6.2363,           -0.4532,           -0.4330,           -7.9374,
Ref 4,5.01936e-08,,,,,,1.1982e-02,4.2126e-03,4.9044e-05,4.6441e-06,5.0830e-08,,,,,,,,,,,
Sam 4,4.92691e-08,1.20357e-02,4.2640e-03,4.9849e-05,4.7556e-06,5.2952e-08,,,,,,            4.4402,           12.1985,           16.3770,           24.3277,           36.5744,            1.4140,            6.2298,           -0.2540,           -0.2129,            7.3863,
Ref 5,4.92780e-08,,,,,,1.1982e-02,4.2126e-03,4.9048e-05,4.6411e-06,5.1342e-08,,,,,,,,,,,
Sam 5,4.83066e-08,1.20358e-02,4.2640e-03,4.9850e-05,4.7556e-06,5.4344e-08,,,,,,            4.4457,           12.2042,           16.3400,           24.4368,           29.0197,            1.4197,            6.2355,           -0.3017,           -0.1177,            0.0273,
Ref 6,4.83886e-08,,,,,,1.1983e-02,4.2127e-03,4.9050e-05,4.6433e-06,5.4307e-08,,,,,,,,,,,
Sam 6,4.73715e-08,1.20357e-02,4.2641e-03,4.9857e-05,4.7567e-06,5.3107e-08,,,,,,            4.4346,           12.2089,           16.4138,           24.2065,           17.2938,            1.4076,            6.2402,           -0.2222,           -0.3518,          -11.3656,
Ref 7,4.75168e-08,,,,,,1.1982e-02,4.2127e-03,4.9054e-05,4.6453e-06,5.0062e-08,,,,,,,,,,,
Sam 7,4.64636e-08,1.20358e-02,4.2641e-03,4.9853e-05,4.7557e-06,5.1323e-08,,,,,,            4.4551,           12.1999,           16.2861,           24.1998,           27.7556,            1.4298,            6.2312,           -0.3601,           -0.3406,           -1.2028,
Ref 8,4.66683e-08,,,,,,1.1982e-02,4.2127e-03,4.9055e-05,4.6412e-06,4.9811e-08,,,,,,,,,,,
Sam 8,4.55784e-08,1.20357e-02,4.2641e-03,4.9861e-05,4.7585e-06,5.5278e-08,,,,,,            4.4425,           12.2003,           16.3846,           24.9867,           54.7195,            1.4164,            6.2316,           -0.2506,            0.4268,           25.0143,
Ref 9,4.58429e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6437e-06,5.5057e-08,,,,,,,,,,,
Sam 9,4.47197e-08,1.20357e-02,4.2642e-03,4.9860e-05,4.7582e-06,5.4152e-08,,,,,,            4.4384,           12.2045,           16.3719,           24.4348,          -13.1643,            1.4119,            6.2358,           -0.2631,           -0.1203,          -40.9613,
Ref 10,4.50359e-08,,,,,,1.1983e-02,4.2128e-03,4.9054e-05,4.6458e-06,5.4689e-08,,,,,,,,,,,
Sam 10,4.38794e-08,1.20357e-02,4.2642e-03,4.9859e-05,4.7567e-06,5.7671e-08,,,,,,            4.4338,           12.1929,           16.3274,           24.2625,           85.8937,            1.4074,            6.2243,           -0.2908,           -0.2655,           55.3354,
Ref 11,4.42444e-08,,,,,,1.1983e-02,4.2129e-03,4.9063e-05,4.6422e-06,5.1501e-08,,,,,,,,,,,
Sam 11,4.30543e-08,1.20358e-02,4.2643e-03,4.9863e-05,4.7586e-06,5.6559e-08,,,,,,            4.4413,           12.2002,           16.3322,           24.7424,           95.4463,            1.4151,            6.2315,           -0.3008,            0.1886,           64.5957,
Ref 12,4.34646e-08,,,,,,1.1983e-02,4.2129e-03,4.9060e-05,4.6453e-06,5.1763e-08,,,,,,,,,,,
Sam 12,4.22515e-08,1.20360e-02,4.2643e-03,4.9864e-05,4.7582e-06,5.8789e-08,,,,,,            4.4542,           12.2154,           16.3355,           24.4273,          103.2654,            1.4283,            6.2466,           -0.3256,           -0.1491,           72.1482,
Ref 13,4.27108e-08,,,,,,1.1983e-02,4.2129e-03,4.9066e-05,4.6441e-06,5.4836e-08,,,,,,,,,,,
Sam 13,4.14743e-08,1.20359e-02,4.2644e-03,4.9861e-05,4.7584e-06,5.6476e-08,,,,,,            4.4508,           12.2114,           16.2620,           24.6237,           -2.1625,            1.4248,            6.2426,           -0.3905,            0.0505,          -30.2951,
Ref 14,4.19729e-08,,,,,,1.1982e-02,4.2129e-03,4.9060e-05,4.6441e-06,5.8391e-08,,,,,,,,,,,
Sam 14,4.07118e-08,1.20358e-02,4.2644e-03,4.9860e-05,4.7582e-06,5.8921e-08,,,,,,            4.4471,           12.2031,           16.2768,           24.4100,           32.1033,            1.4212,            6.2344,           -0.3640,           -0.1417,            3.0248,
Ref 15,4.12502e-08,,,,,,1.1983e-02,4.2130e-03,4.9063e-05,4.6455e-06,5.5764e-08,,,,,,,,,,,
Sam 15,3.99718e-08,1.20357e-02,4.2643e-03,4.9867e-05,4.7578e-06,5.7816e-08,,,,,,            4.4393,           12.1781,           16.3483,           23.9836,           22.4295,            1.4138,            6.2095,           -0.2615,           -0.5083,           -6.3199,
Ref 16,4.05435e-08,,,,,,1.1982e-02,4.2130e-03,4.9066e-05,4.6474e-06,5.7344e-08,,,,,,,,,,,
Sam 16,3.92490e-08,1.20356e-02,4.2644e-03,4.9866e-05,4.7597e-06,5.7509e-08,,,,,,            4.4415,           12.2072,           16.2804,           24.6947,            0.1004,            1.4151,            6.2384,           -0.3588,            0.1282,          -28.0783,
Ref 17,3.98562e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6427e-06,5.7665e-08,,,,,,,,,,,
Sam 17,3.85447e-08,1.20357e-02,4.2643e-03,4.9871e-05,4.7603e-06,5.9047e-08,,,,,,            4.4488,           12.1929,           16.3623,           24.7607,           49.8627,            1.4234,            6.2242,           -0.2719,            0.2208,           20.3021,
Ref 18,3.91856e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6479e-06,5.4796e-08,,,,,,,,,,,
Sam 18,3.78575e-08,1.20356e-02,4.2644e-03,4.9865e-05,4.7587e-06,5.3024e-08,,,,,,            4.4444,           12.1947,           16.2450,           23.9871,            3.6752,            1.4186,            6.2260,           -0.3845,           -0.5378,          -24.5836,
Ref 19,3.85239e-08,,,,,,1.1982e-02,4.2130e-03,4.9068e-05,4.6467e-06,5.0831e-08,,,,,,,,,,,
Sam 19,3.71883e-08,1.20355e-02,4.2643e-03,4.9872e-05,4.7584e-06,5.6594e-08,,,,,,            4.4490,           12.1794,           16.3412,           24.0666,           60.9525,            1.4240,            6.2108,           -0.2796,           -0.4300,           31.1066,
Ref 20,3.78854e-08,,,,,,1.1982e-02,4.2130e-03,4.9073e-05,4.6464e-06,5.5897e-08,,,,,,,,,,,
Sam 20,3.65299e-08,1.20355e-02,4.2644e-03,4.9869e-05,4.7607e-06,5.7458e-08,,,,,,            4.4498,           12.2046,           16.2153,           24.3055,           53.3562,            1.4240,            6.2359,           -0.4288,           -0.2466,           23.6729,
Ref 21,3.72596e-08,,,,,,1.1982e-02,4.2129e-03,4.9073e-05,4.6490e-06,5.3174e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.69525e-08,,,,,,1.1982e-02,4.2130e-03,4.9075e-05,4.6497e-06,5.6089e-08,
Sam 1,3.55721e-08,1.20354e-02,4.2644e-03,4.9867e-05,4.7601e-06,5.4083e-08,,,,,,            4.4457,           12.2004,           16.1664,           24.0734,          -13.0572,            1.4198,            6.2317,           -0.4687,           -0.4647,          -40.8569,
Ref 2,3.63497e-08,,,,,,1.1982e-02,4.2130e-03,4.9073e-05,4.6466e-06,5.3487e-08,,,,,,,,,,,
Sam 2,3.49491e-08,1.20355e-02,4.2643e-03,4.9867e-05,4.7611e-06,5.6373e-08,,,,,,            4.4469,           12.1757,           16.1673,           24.1991,           65.0037,            1.4220,            6.2071,           -0.4449,           -0.2932,           35.0536,
Ref 3,3.57477e-08,,,,,,1.1982e-02,4.2130e-03,4.9074e-05,4.6507e-06,5.2367e-08,,,,,,,,,,,
Sam 3,3.43381e-08,1.20355e-02,4.2644e-03,4.9877e-05,4.7605e-06,5.6079e-08,,,,,,            4.4504,           12.1926,           16.3950,           23.9838,           10.8635,            1.4250,            6.2239,           -0.2410,           -0.5369,          -17.6000,
Ref 4,3.51671e-08,,,,,,1.1982e-02,4.2130e-03,4.9072e-05,4.6474e-06,5.8637e-08,,,,,,,,,,,
Sam 4,3.37454e-08,1.20353e-02,4.2643e-03,4.9871e-05,4.7570e-06,6.0794e-08,,,,,,            4.4482,           12.1989,           16.2290,           23.1629,           28.5933,            1.4225,            6.2302,           -0.4082,           -1.3506,           -0.3794,
Ref 5,3.45470e-08,,,,,,1.1982e-02,4.2128e-03,4.9077e-05,4.6512e-06,5.9580e-08,,,,,,,,,,,
Sam 5,3.31316e-08,1.20349e-02,4.2642e-03,4.9871e-05,4.7632e-06,6.2579e-08,,,,,,            4.4403,           12.2028,           16.2162,           24.9658,           17.3536,            1.4140,            6.2340,           -0.4164,            0.4015,          -11.3017,
Ref 6,3.39765e-08,,,,,,1.1982e-02,4.2128e-03,4.9073e-05,4.6432e-06,6.3476e-08,,,,,,,,,,,
Sam 6,3.25482e-08,1.20349e-02,4.2641e-03,4.9859e-05,4.7628e-06,6.2163e-08,,,,,,            4.4364,           12.1748,           16.0641,           25.3388,            4.7233,            1.4108,            6.2063,           -0.5348,            0.8208,          -23.5191,
Ref 7,3.34448e-08,,,,,,1.1982e-02,4.2129e-03,4.9069e-05,4.6470e-06,6.0240e-08,,,,,,,,,,,
Sam 7,3.20514e-08,1.20353e-02,4.2644e-03,4.9871e-05,4.7641e-06,6.4945e-08,,,,,,            4.4518,           12.2193,           16.2929,           24.7787,           53.6832,            1.4256,            6.2505,           -0.3688,            0.1862,           23.9593,
Ref 8,3.29503e-08,,,,,,1.1982e-02,4.2130e-03,4.9074e-05,4.6509e-06,6.3054e-08,,,,,,,,,,,
Sam 8,3.15187e-08,1.20352e-02,4.2643e-03,4.9870e-05,4.7598e-06,6.4340e-08,,,,,,            4.4306,           12.1832,           16.1958,           23.4920,           56.0515,            1.4043,            6.2146,           -0.4074,           -0.9983,           26.3560,
Ref 9,3.24320e-08,,,,,,1.1982e-02,4.2130e-03,4.9076e-05,4.6502e-06,5.8763e-08,,,,,,,,,,,
Sam 9,3.09967e-08,1.20352e-02,4.2644e-03,4.9873e-05,4.7606e-06,6.3809e-08,,,,,,            4.4389,           12.1998,           16.2259,           24.0734,           48.2465,            1.4126,            6.2311,           -0.4026,           -0.4636,           18.7285,
Ref 10,3.19181e-08,,,,,,1.1982e-02,4.2130e-03,4.9076e-05,4.6472e-06,6.3015e-08,,,,,,,,,,,
Sam 10,3.04874e-08,1.20353e-02,4.2644e-03,4.9875e-05,4.7650e-06,6.6141e-08,,,,,,            4.4532,           12.2088,           16.3090,           25.1056,           50.5582,            1.4275,            6.2401,           -0.3443,            0.5260,           20.9418,
Ref 11,3.14155e-08,,,,,,1.1982e-02,4.2129e-03,4.9073e-05,4.6494e-06,6.2901e-08,,,,,,,,,,,
Sam 11,2.99889e-08,1.20351e-02,4.2643e-03,4.9880e-05,4.7626e-06,6.5995e-08,,,,,,            4.4379,           12.1877,           16.3646,           23.9259,           14.7467,            1.4120,            6.2191,           -0.2534,           -0.5838,          -13.8038,
Ref 12,3.09233e-08,,,,,,1.1982e-02,4.2130e-03,4.9081e-05,4.6533e-06,6.7204e-08,,,,,,,,,,,
Sam 12,2.95037e-08,1.20350e-02,4.2643e-03,4.9873e-05,4.7675e-06,6.8341e-08,,,,,,            4.4401,           12.1953,           16.1485,           25.1553,           21.2069,            1.4140,            6.2266,           -0.4755,            0.6012,           -7.5423,
Ref 13,3.04472e-08,,,,,,1.1982e-02,4.2129e-03,4.9081e-05,4.6476e-06,6.6634e-08,,,,,,,,,,,
Sam 13,2.90313e-08,1.20349e-02,4.2642e-03,4.9881e-05,4.7660e-06,6.8997e-08,,,,,,            4.4405,           12.1759,           16.3081,           24.8417,           57.0399,            1.4151,            6.2073,           -0.3000,            0.3335,           27.3203,
Ref 14,2.99768e-08,,,,,,1.1982e-02,4.2129e-03,4.9080e-05,4.6533e-06,6.3892e-08,,,,,,,,,,,
Sam 14,2.85655e-08,1.20347e-02,4.2641e-03,4.9879e-05,4.7648e-06,7.0560e-08,,,,,,            4.4258,           12.1532,           16.2807,           24.1508,           64.6795,            1.4002,            6.1847,           -0.2899,           -0.2960,           34.8069,
Ref 15,2.95166e-08,,,,,,1.1982e-02,4.2129e-03,4.9080e-05,4.6514e-06,6.8693e-08,,,,,,,,,,,
Sam 15,2.81119e-08,1.20347e-02,4.2641e-03,4.9877e-05,4.7620e-06,7.0675e-08,,,,,,            4.4393,           12.1727,           16.2009,           23.8666,            4.2019,            1.4140,            6.2041,           -0.4012,           -0.6119,          -24.0248,
Ref 16,2.90700e-08,,,,,,1.1981e-02,4.2128e-03,4.9083e-05,4.6506e-06,7.2091e-08,,,,,,,,,,,
Sam 16,2.76696e-08,1.20349e-02,4.2642e-03,4.9883e-05,4.7613e-06,7.0182e-08,,,,,,            4.4533,           12.1844,           16.3759,           23.2805,           17.7672,            1.4285,            6.2158,           -0.2549,           -1.2071,          -10.8780,
Ref 17,2.86371e-08,,,,,,1.1982e-02,4.2128e-03,4.9075e-05,4.6554e-06,6.5776e-08,,,,,,,,,,,
Sam 17,2.72381e-08,1.20346e-02,4.2641e-03,4.9880e-05,4.7655e-06,7.3973e-08,,,,,,            4.4333,           12.1751,           16.3136,           23.7302,           60.4873,            1.4075,            6.2065,           -0.2866,           -0.7499,           30.6801,
Ref 18,2.82114e-08,,,,,,1.1982e-02,4.2128e-03,4.9083e-05,4.6547e-06,7.3791e-08,,,,,,,,,,,
Sam 18,2.68146e-08,1.20347e-02,4.2641e-03,4.9882e-05,4.7628e-06,7.5695e-08,,,,,,            4.4429,           12.1727,           16.2261,           23.1196,           22.3787,            1.4177,            6.2041,           -0.3801,           -1.3411,           -6.3627,
Ref 19,2.77964e-08,,,,,,1.1981e-02,4.2129e-03,4.9088e-05,4.6556e-06,7.4288e-08,,,,,,,,,,,
Sam 19,2.63980e-08,1.20346e-02,4.2641e-03,4.9873e-05,4.7693e-06,7.5778e-08,,,,,,            4.4377,           12.1831,           16.0092,           24.7448,           27.2808,            1.4119,            6.2145,           -0.5983,            0.2246,           -1.6132,
Ref 20,2.73853e-08,,,,,,1.1981e-02,4.2127e-03,4.9086e-05,4.6527e-06,7.3236e-08,,,,,,,,,,,
Sam 20,2.59907e-08,1.20345e-02,4.2641e-03,4.9878e-05,4.7630e-06,7.6690e-08,,,,,,            4.4340,           12.1913,           16.1757,           23.6251,           53.3132,            1.4076,            6.2227,           -0.4386,           -0.8844,           23.6747,
Ref 21,2.69819e-08,,,,,,1.1981e-02,4.2128e-03,4.9081e-05,4.6535e-06,7.2375e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.67815e-08,,,,,,1.1981e-02,4.2128e-03,4.9081e-05,4.6545e-06,7.3765e-08,
Sam 1,2.53962e-08,1.20344e-02,4.2640e-03,4.9880e-05,4.7669e-06,7.6902e-08,,,,,,            4.4266,           12.1594,           16.2973,           23.9590,           30.7238,            1.4009,            6.1909,           -0.2804,           -0.4955,            1.7910,
Ref 2,2.63911e-08,,,,,,1.1981e-02,4.2127e-03,4.9080e-05,4.6563e-06,7.5466e-08,,,,,,,,,,,
Sam 2,2.50116e-08,1.20345e-02,4.2641e-03,4.9885e-05,4.7680e-06,8.2810e-08,,,,,,            4.4381,           12.1849,           16.3271,           24.9789,           90.5451,            1.4123,            6.2163,           -0.2878,            0.4496,           59.8675,
Ref 3,2.60066e-08,,,,,,1.1981e-02,4.2127e-03,4.9087e-05,4.6472e-06,7.6410e-08,,,,,,,,,,,
Sam 3,2.46352e-08,1.20346e-02,4.2640e-03,4.9888e-05,4.7656e-06,7.7194e-08,,,,,,            4.4484,           12.1815,           16.3338,           24.7614,           35.7891,            1.4234,            6.2128,           -0.2884,            0.2441,            6.6476,
Ref 4,2.56318e-08,,,,,,1.1981e-02,4.2127e-03,4.9085e-05,4.6539e-06,7.2616e-08,,,,,,,,,,,
Sam 4,2.42674e-08,1.20344e-02,4.2640e-03,4.9881e-05,4.7697e-06,7.8408e-08,,,,,,            4.4420,           12.1724,           16.2629,           24.5572,           65.8442,            1.4168,            6.2039,           -0.3427,            0.0626,           35.8823,
Ref 5,2.52601e-08,,,,,,1.1981e-02,4.2127e-03,4.9080e-05,4.6569e-06,7.4527e-08,,,,,,,,,,,
Sam 5,2.39047e-08,1.20342e-02,4.2639e-03,4.9877e-05,4.7691e-06,7.9710e-08,,,,,,            4.4243,           12.1534,           16.1682,           24.1477,           65.6548,            1.3987,            6.1850,           -0.3992,           -0.2994,           35.7559,
Ref 6,2.48969e-08,,,,,,1.1981e-02,4.2127e-03,4.9087e-05,4.6565e-06,7.5075e-08,,,,,,,,,,,
Sam 6,2.35515e-08,1.20341e-02,4.2639e-03,4.9888e-05,4.7646e-06,7.9281e-08,,,,,,            4.4225,           12.1642,           16.2962,           23.3688,           15.3100,            1.3964,            6.1957,           -0.2820,           -1.0811,          -13.1951,
Ref 7,2.45439e-08,,,,,,1.1981e-02,4.2126e-03,4.9089e-05,4.6550e-06,8.1138e-08,,,,,,,,,,,
Sam 7,2.32051e-08,1.20342e-02,4.2639e-03,4.9886e-05,4.7638e-06,8.5619e-08,,,,,,            4.4522,           12.1780,           16.2400,           23.1897,           62.8639,            1.4275,            6.2094,           -0.3812,           -1.2832,           32.9635,
Ref 8,2.41955e-08,,,,,,1.1981e-02,4.2126e-03,4.9089e-05,4.6567e-06,7.9964e-08,,,,,,,,,,,
Sam 8,2.28673e-08,1.20340e-02,4.2639e-03,4.9884e-05,4.7711e-06,7.9283e-08,,,,,,            4.4412,           12.1693,           16.1672,           24.5869,           -3.7147,            1.4160,            6.2007,           -0.4330,            0.0979,          -31.7144,
Ref 9,2.38544e-08,,,,,,1.1981e-02,4.2126e-03,4.9092e-05,4.6565e-06,7.9189e-08,,,,,,,,,,,
Sam 9,2.25356e-08,1.20340e-02,4.2638e-03,4.9885e-05,4.7686e-06,7.8109e-08,,,,,,            4.4398,           12.1571,           16.2409,           23.8849,          -34.0471,            1.4151,            6.1886,           -0.3472,           -0.5632,          -61.1707,
Ref 10,2.35191e-08,,,,,,1.1981e-02,4.2126e-03,4.9084e-05,4.6582e-06,8.2560e-08,,,,,,,,,,,
Sam 10,2.22113e-08,1.20341e-02,4.2639e-03,4.9881e-05,4.7674e-06,8.6286e-08,,,,,,            4.4467,           12.1759,           16.2358,           24.3872,           66.0350,            1.4217,            6.2073,           -0.3775,           -0.1101,           36.0558,
Ref 11,2.31919e-08,,,,,,1.1981e-02,4.2125e-03,4.9086e-05,4.6496e-06,7.9299e-08,,,,,,,,,,,
Sam 11,2.18929e-08,1.20340e-02,4.2638e-03,4.9878e-05,4.7752e-06,8.6022e-08,,,,,,            4.4405,           12.1831,           16.1636,           26.3192,          124.3730,            1.4149,            6.2145,           -0.4493,            1.7614,           92.7448,
Ref 12,2.28727e-08,,,,,,1.1981e-02,4.2125e-03,4.9083e-05,4.6559e-06,7.3675e-08,,,,,,,,,,,
Sam 12,2.15818e-08,1.20339e-02,4.2638e-03,4.9894e-05,4.7728e-06,8.3534e-08,,,,,,            4.4425,           12.1743,           16.5030,           24.5002,           90.7830,            1.4173,            6.2057,           -0.1089,            0.0033,           60.1156,
Ref 13,2.25539e-08,,,,,,1.1981e-02,4.2125e-03,4.9085e-05,4.6614e-06,7.9529e-08,,,,,,,,,,,
Sam 13,2.12747e-08,1.20338e-02,4.2638e-03,4.9885e-05,4.7717e-06,8.5092e-08,,,,,,            4.4398,           12.1844,           16.2689,           24.0568,           73.9273,            1.4141,            6.2158,           -0.3462,           -0.4494,           43.7164,
Ref 14,2.22452e-08,,,,,,1.1981e-02,4.2125e-03,4.9088e-05,4.6578e-06,7.8936e-08,,,,,,,,,,,
Sam 14,2.09760e-08,1.20337e-02,4.2637e-03,4.9884e-05,4.7728e-06,8.4838e-08,,,,,,            4.4360,           12.1805,           16.2482,           24.6768,           62.3350,            1.4102,            6.2119,           -0.3589,            0.1635,           32.4621,
Ref 15,2.19436e-08,,,,,,1.1980e-02,4.2124e-03,4.9086e-05,4.6580e-06,8.0795e-08,,,,,,,,,,,
Sam 15,2.06829e-08,1.20337e-02,4.2637e-03,4.9880e-05,4.7732e-06,8.2858e-08,,,,,,            4.4382,           12.1638,           16.1768,           24.5763,           11.0041,            1.4131,            6.1953,           -0.4152,            0.0982,          -17.3958,
Ref 16,2.16447e-08,,,,,,1.1981e-02,4.2124e-03,4.9086e-05,4.6595e-06,8.3134e-08,,,,,,,,,,,
Sam 16,2.03917e-08,1.20336e-02,4.2636e-03,4.9884e-05,4.7719e-06,9.2662e-08,,,,,,            4.4249,           12.1548,           16.2232,           24.4670,           97.0241,            1.3993,            6.1863,           -0.3472,            0.0095,           66.2416,
Ref 17,2.13512e-08,,,,,,1.1981e-02,4.2124e-03,4.9089e-05,4.6563e-06,8.5817e-08,,,,,,,,,,,
Sam 17,2.01071e-08,1.20337e-02,4.2636e-03,4.9868e-05,4.7662e-06,8.8859e-08,,,,,,            4.4414,           12.1574,           15.8673,           23.4961,           47.6423,            1.4167,            6.1889,           -0.7167,           -0.9435,           18.2225,
Ref 18,2.10615e-08,,,,,,1.1980e-02,4.2124e-03,4.9089e-05,4.6572e-06,8.3806e-08,,,,,,,,,,,
Sam 18,1.98273e-08,1.20337e-02,4.2637e-03,4.9878e-05,4.7723e-06,9.4451e-08,,,,,,            4.4390,           12.1767,           16.1050,           25.0098,           64.7183,            1.4135,            6.2081,           -0.4991,            0.4960,           34.7828,
Ref 19,2.07806e-08,,,,,,1.1981e-02,4.2124e-03,4.9086e-05,4.6544e-06,9.3681e-08,,,,,,,,,,,
Sam 19,1.95538e-08,1.20337e-02,4.2637e-03,4.9887e-05,4.7641e-06,8.7634e-08,,,,,,            4.4295,           12.1794,           16.2483,           22.3512,           11.0720,            1.4033,            6.2108,           -0.3511,           -2.1043,          -17.3504,
Ref 20,2.05034e-08,,,,,,1.1981e-02,4.2125e-03,4.9094e-05,4.6656e-06,7.9572e-08,,,,,,,,,,,
Sam 20,1.92827e-08,1.20337e-02,4.2637e-03,4.9878e-05,4.7773e-06,8.4897e-08,,,,,,            4.4400,           12.1858,           15.9814,           25.2615,           33.6824,            1.4143,            6.2172,           -0.6306,            0.7237,            4.6007,
Ref 21,2.02277e-08,,,,,,1.1980e-02,4.2123e-03,4.9093e-05,4.6535e-06,8.4723e-08,,,,,,,,,,,


