Nu Stable Isotope Analysis Program
Data Collected on Monday, May 15, 2023 at 23:19 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 16, 2023 at 00:18 with Stable 1.71.5 on PS019

Data File = Data_19616 ST2_24_6_A.txt,    Sample Weight = 455,                      Vial Location = 8,                        Initial Sam Beam = 1.4238e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.3329e-08,                Max Ref Beam = 1.0643e-07,                

Analysis undertaken at mass 46.04594
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.28304e-08,,,,,,1.1982e-02,4.2122e-03,4.9043e-05,4.6447e-06,4.5162e-08,
Sam 1,5.20666e-08,1.20517e-02,4.2792e-03,5.0098e-05,4.7912e-06,4.5622e-08,,,,,,            5.8183,           15.8916,           21.5285,           31.5669,           -0.1213,            2.7535,            9.9020,           -0.1954,           -0.4543,          -36.6182,
Ref 2,5.18112e-08,,,,,,1.1982e-02,4.2124e-03,4.9042e-05,4.6444e-06,4.6102e-08,,,,,,,,,,,
Sam 2,5.10193e-08,1.20519e-02,4.2793e-03,5.0097e-05,4.7911e-06,4.7122e-08,,,,,,            5.8082,           15.8706,           21.4080,           31.4139,           34.5098,            2.7435,            9.8812,           -0.2827,           -0.5613,           -3.2001,
Ref 3,5.08477e-08,,,,,,1.1982e-02,4.2125e-03,4.9052e-05,4.6460e-06,4.4989e-08,,,,,,,,,,,
Sam 3,5.00114e-08,1.20519e-02,4.2794e-03,5.0096e-05,4.7941e-06,4.7579e-08,,,,,,            5.7990,           15.8812,           21.2606,           31.9931,           23.3940,            2.7333,            9.8917,           -0.4278,           -0.0209,          -13.9213,
Ref 4,4.99151e-08,,,,,,1.1982e-02,4.2125e-03,4.9054e-05,4.6450e-06,4.8022e-08,,,,,,,,,,,
Sam 4,4.90354e-08,1.20520e-02,4.2795e-03,5.0096e-05,4.7952e-06,4.9346e-08,,,,,,            5.8124,           15.8899,           21.2474,           32.1208,           53.0857,            2.7473,            9.9003,           -0.4629,            0.0857,           14.6563,
Ref 5,4.90075e-08,,,,,,1.1982e-02,4.2126e-03,4.9055e-05,4.6470e-06,4.5674e-08,,,,,,,,,,,
Sam 5,4.80730e-08,1.20519e-02,4.2795e-03,5.0104e-05,4.7904e-06,5.0479e-08,,,,,,            5.7976,           15.8750,           21.4085,           30.9201,           52.5985,            2.7320,            9.8856,           -0.2755,           -1.0484,           14.2321,
Ref 6,4.81091e-08,,,,,,1.1982e-02,4.2126e-03,4.9053e-05,4.6464e-06,5.0281e-08,,,,,,,,,,,
Sam 6,4.71427e-08,1.20519e-02,4.2796e-03,5.0103e-05,4.7929e-06,5.4335e-08,,,,,,            5.8005,           15.8897,           21.3832,           31.6985,           70.3023,            2.7346,            9.9001,           -0.3175,           -0.3229,           31.2580,
Ref 7,4.72465e-08,,,,,,1.1982e-02,4.2127e-03,4.9054e-05,4.6449e-06,5.1260e-08,,,,,,,,,,,
Sam 7,4.62394e-08,1.20520e-02,4.2796e-03,5.0097e-05,4.7937e-06,5.2032e-08,,,,,,            5.8043,           15.8760,           21.2064,           31.4566,           19.6372,            2.7392,            9.8865,           -0.4812,           -0.5304,          -17.5367,
Ref 8,4.64036e-08,,,,,,1.1982e-02,4.2127e-03,4.9060e-05,4.6501e-06,5.0796e-08,,,,,,,,,,,
Sam 8,4.53561e-08,1.20519e-02,4.2796e-03,5.0110e-05,4.7948e-06,5.3534e-08,,,,,,            5.7999,           15.8883,           21.3805,           31.3271,           54.1514,            2.7340,            9.8987,           -0.3182,           -0.6801,           15.6997,
Ref 9,4.55765e-08,,,,,,1.1982e-02,4.2127e-03,4.9063e-05,4.6482e-06,5.0772e-08,,,,,,,,,,,
Sam 9,4.45054e-08,1.20520e-02,4.2796e-03,5.0109e-05,4.7961e-06,5.2991e-08,,,,,,            5.8104,           15.8752,           21.3105,           31.9608,           54.4425,            2.7457,            9.8857,           -0.3848,           -0.0404,           15.9946,
Ref 10,4.47791e-08,,,,,,1.1982e-02,4.2128e-03,4.9064e-05,4.6469e-06,4.9728e-08,,,,,,,,,,,
Sam 10,4.36757e-08,1.20520e-02,4.2797e-03,5.0112e-05,4.7936e-06,5.1791e-08,,,,,,            5.8091,           15.8681,           21.3512,           31.4560,           40.2884,            2.7445,            9.8786,           -0.3367,           -0.5155,            2.3718,
Ref 11,4.39939e-08,,,,,,1.1982e-02,4.2128e-03,4.9064e-05,4.6479e-06,4.9843e-08,,,,,,,,,,,
Sam 11,4.28582e-08,1.20519e-02,4.2797e-03,5.0119e-05,4.7976e-06,5.3580e-08,,,,,,            5.8019,           15.8895,           21.5338,           32.3383,           63.9211,            2.7361,            9.8999,           -0.1714,            0.2973,           25.1085,
Ref 12,4.32212e-08,,,,,,1.1982e-02,4.2128e-03,4.9060e-05,4.6467e-06,5.0887e-08,,,,,,,,,,,
Sam 12,4.20646e-08,1.20519e-02,4.2798e-03,5.0115e-05,4.7947e-06,5.3970e-08,,,,,,            5.8009,           15.8915,           21.5102,           31.6121,           19.2135,            2.7349,            9.9020,           -0.1954,           -0.4104,          -17.9709,
Ref 13,4.24703e-08,,,,,,1.1982e-02,4.2129e-03,4.9058e-05,4.6490e-06,5.5054e-08,,,,,,,,,,,
Sam 13,4.12836e-08,1.20520e-02,4.2797e-03,5.0110e-05,4.7976e-06,5.6585e-08,,,,,,            5.8012,           15.8683,           21.4159,           31.9841,           21.2785,            2.7360,            9.8789,           -0.2655,           -0.0042,          -15.9372,
Ref 14,4.17344e-08,,,,,,1.1982e-02,4.2129e-03,4.9060e-05,4.6488e-06,5.5764e-08,,,,,,,,,,,
Sam 14,4.05297e-08,1.20518e-02,4.2798e-03,5.0118e-05,4.7966e-06,5.5193e-08,,,,,,            5.7949,           15.8743,           21.4481,           31.3977,            8.1606,            2.7292,            9.8848,           -0.2333,           -0.5841,          -28.5819,
Ref 15,4.10154e-08,,,,,,1.1982e-02,4.2129e-03,4.9071e-05,4.6525e-06,5.3711e-08,,,,,,,,,,,
Sam 15,3.97938e-08,1.20519e-02,4.2798e-03,5.0115e-05,4.7962e-06,5.8236e-08,,,,,,            5.8130,           15.8820,           21.2710,           30.8779,           69.2059,            2.7482,            9.8925,           -0.4326,           -1.1031,           30.2033,
Ref 16,4.03177e-08,,,,,,1.1982e-02,4.2129e-03,4.9072e-05,4.6526e-06,5.5235e-08,,,,,,,,,,,
Sam 16,3.90764e-08,1.20519e-02,4.2798e-03,5.0112e-05,4.7993e-06,5.8550e-08,,,,,,            5.8147,           15.8738,           21.1986,           31.7010,           67.8594,            2.7503,            9.8843,           -0.4973,           -0.2894,           28.9204,
Ref 17,3.96294e-08,,,,,,1.1982e-02,4.2130e-03,4.9072e-05,4.6510e-06,5.4417e-08,,,,,,,,,,,
Sam 17,3.83730e-08,1.20518e-02,4.2798e-03,5.0121e-05,4.7967e-06,5.8365e-08,,,,,,            5.8028,           15.8875,           21.3876,           31.6022,           41.1167,            2.7371,            9.8980,           -0.3134,           -0.4121,            3.1389,
Ref 18,3.89580e-08,,,,,,1.1982e-02,4.2128e-03,4.9070e-05,4.6484e-06,5.7732e-08,,,,,,,,,,,
Sam 18,3.76893e-08,1.20518e-02,4.2798e-03,5.0117e-05,4.7980e-06,5.9538e-08,,,,,,            5.8108,           15.8997,           21.2892,           31.7791,            1.1385,            2.7452,            9.9100,           -0.4296,           -0.2645,          -35.4117,
Ref 19,3.83077e-08,,,,,,1.1982e-02,4.2129e-03,4.9075e-05,4.6520e-06,6.1237e-08,,,,,,,,,,,
Sam 19,3.70261e-08,1.20517e-02,4.2797e-03,5.0123e-05,4.7993e-06,5.9440e-08,,,,,,            5.8077,           15.8651,           21.3531,           31.4998,            2.5147,            2.7431,            9.8756,           -0.3304,           -0.4671,          -34.0178,
Ref 20,3.76709e-08,,,,,,1.1982e-02,4.2129e-03,4.9076e-05,4.6535e-06,5.7312e-08,,,,,,,,,,,
Sam 20,3.63725e-08,1.20517e-02,4.2798e-03,5.0123e-05,4.7988e-06,6.2829e-08,,,,,,            5.8161,           15.8833,           21.3994,           31.6793,           44.0560,            2.7514,            9.8938,           -0.3114,           -0.3291,            5.9650,
Ref 21,3.70486e-08,,,,,,1.1982e-02,4.2129e-03,4.9070e-05,4.6493e-06,6.3091e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.67399e-08,,,,,,1.1982e-02,4.2129e-03,4.9069e-05,4.6544e-06,6.0424e-08,
Sam 1,3.54158e-08,1.20516e-02,4.2798e-03,5.0121e-05,4.8045e-06,6.1355e-08,,,,,,            5.8059,           15.8726,           21.3886,           32.3909,           28.2330,            2.7409,            9.8831,           -0.3011,            0.3816,           -9.2494,
Ref 2,3.61396e-08,,,,,,1.1982e-02,4.2129e-03,4.9074e-05,4.6531e-06,5.8904e-08,,,,,,,,,,,
Sam 2,3.47969e-08,1.20517e-02,4.2798e-03,5.0122e-05,4.7981e-06,6.3438e-08,,,,,,            5.8140,           15.8835,           21.3946,           31.7389,           55.9574,            2.7492,            9.8940,           -0.3141,           -0.2718,           17.4341,
Ref 3,3.55507e-08,,,,,,1.1982e-02,4.2129e-03,4.9069e-05,4.6478e-06,6.1268e-08,,,,,,,,,,,
Sam 3,3.41932e-08,1.20516e-02,4.2797e-03,5.0118e-05,4.8018e-06,6.3769e-08,,,,,,            5.8071,           15.8733,           21.3159,           32.3132,           -1.7586,            2.7421,            9.8838,           -0.3742,            0.3050,          -38.1501,
Ref 4,3.49714e-08,,,,,,1.1982e-02,4.2129e-03,4.9076e-05,4.6552e-06,6.6537e-08,,,,,,,,,,,
Sam 4,3.36034e-08,1.20514e-02,4.2798e-03,5.0131e-05,4.8009e-06,6.9145e-08,,,,,,            5.8057,           15.8925,           21.5054,           31.2494,           73.1958,            2.7400,            9.9029,           -0.2059,           -0.7637,           34.0346,
Ref 5,3.43987e-08,,,,,,1.1982e-02,4.2128e-03,4.9075e-05,4.6556e-06,6.2286e-08,,,,,,,,,,,
Sam 5,3.30260e-08,1.20514e-02,4.2797e-03,5.0131e-05,4.8025e-06,6.9222e-08,,,,,,            5.8166,           15.8735,           21.4905,           31.8925,           75.9544,            2.7523,            9.8840,           -0.2133,           -0.1032,           36.7189,
Ref 6,3.38380e-08,,,,,,1.1982e-02,4.2128e-03,4.9078e-05,4.6524e-06,6.6420e-08,,,,,,,,,,,
Sam 6,3.24639e-08,1.20512e-02,4.2797e-03,5.0126e-05,4.8028e-06,6.6896e-08,,,,,,            5.8018,           15.8538,           21.4094,           32.1274,           27.1802,            2.7372,            9.8644,           -0.2584,            0.1632,          -10.2236,
Ref 7,3.32939e-08,,,,,,1.1982e-02,4.2129e-03,4.9073e-05,4.6542e-06,6.3810e-08,,,,,,,,,,,
Sam 7,3.19198e-08,1.20514e-02,4.2797e-03,5.0122e-05,4.8037e-06,6.7633e-08,,,,,,            5.8123,           15.8585,           21.3461,           32.1645,           56.4617,            2.7482,            9.8691,           -0.3357,            0.1899,           17.9711,
Ref 8,3.27621e-08,,,,,,1.1982e-02,4.2129e-03,4.9075e-05,4.6538e-06,6.4229e-08,,,,,,,,,,,
Sam 8,3.13860e-08,1.20512e-02,4.2796e-03,5.0123e-05,4.8021e-06,6.7444e-08,,,,,,            5.8063,           15.8546,           21.3050,           31.4194,           13.6676,            2.7420,            9.8652,           -0.3659,           -0.5243,          -23.2501,
Ref 9,3.22413e-08,,,,,,1.1982e-02,4.2128e-03,4.9080e-05,4.6579e-06,6.8877e-08,,,,,,,,,,,
Sam 9,3.08706e-08,1.20509e-02,4.2796e-03,5.0129e-05,4.8025e-06,7.1292e-08,,,,,,            5.8018,           15.8595,           21.3988,           31.5658,           42.1784,            2.7370,            9.8701,           -0.2743,           -0.3922,            4.2175,
Ref 10,3.17355e-08,,,,,,1.1981e-02,4.2128e-03,4.9077e-05,4.6532e-06,6.7930e-08,,,,,,,,,,,
Sam 10,3.03651e-08,1.20511e-02,4.2796e-03,5.0129e-05,4.8056e-06,7.0978e-08,,,,,,            5.8225,           15.8797,           21.4375,           32.8699,           30.9866,            2.7583,            9.8902,           -0.2772,            0.8317,           -6.6273,
Ref 11,3.12376e-08,,,,,,1.1981e-02,4.2127e-03,4.9076e-05,4.6520e-06,6.9774e-08,,,,,,,,,,,
Sam 11,2.98674e-08,1.20509e-02,4.2795e-03,5.0129e-05,4.8029e-06,7.3112e-08,,,,,,            5.8082,           15.8553,           21.4658,           31.9665,           55.8195,            2.7439,            9.8659,           -0.2111,            0.0045,           17.3632,
Ref 12,3.07470e-08,,,,,,1.1981e-02,4.2128e-03,4.9076e-05,4.6563e-06,6.8712e-08,,,,,,,,,,,
Sam 12,2.93847e-08,1.20508e-02,4.2795e-03,5.0123e-05,4.8067e-06,7.1161e-08,,,,,,            5.8072,           15.8550,           21.2314,           31.9443,           25.7458,            2.7429,            9.8656,           -0.4393,           -0.0164,          -11.6135,
Ref 13,3.02725e-08,,,,,,1.1981e-02,4.2127e-03,4.9086e-05,4.6596e-06,7.0049e-08,,,,,,,,,,,
Sam 13,2.89170e-08,1.20509e-02,4.2796e-03,5.0130e-05,4.8059e-06,7.2034e-08,,,,,,            5.8152,           15.8753,           21.2777,           31.5170,           39.5943,            2.7507,            9.8857,           -0.4218,           -0.4705,            1.6827,
Ref 14,2.98127e-08,,,,,,1.1981e-02,4.2127e-03,4.9085e-05,4.6585e-06,6.8520e-08,,,,,,,,,,,
Sam 14,2.84586e-08,1.20508e-02,4.2795e-03,5.0131e-05,4.8067e-06,7.6524e-08,,,,,,            5.8125,           15.8521,           21.3406,           32.2918,           89.7800,            2.7487,            9.8627,           -0.3350,            0.3260,           50.0884,
Ref 15,2.93598e-08,,,,,,1.1981e-02,4.2128e-03,4.9082e-05,4.6541e-06,7.1946e-08,,,,,,,,,,,
Sam 15,2.80084e-08,1.20506e-02,4.2795e-03,5.0139e-05,4.8080e-06,7.6605e-08,,,,,,            5.7931,           15.8307,           21.5334,           32.7972,           36.4166,            2.7287,            9.8414,           -0.1057,            0.8578,           -1.2696,
Ref 16,2.89339e-08,,,,,,1.1981e-02,4.2127e-03,4.9082e-05,4.6565e-06,7.5910e-08,,,,,,,,,,,
Sam 16,2.75809e-08,1.20507e-02,4.2796e-03,5.0122e-05,4.8048e-06,7.7151e-08,,,,,,            5.7957,           15.8651,           21.1407,           31.6085,           28.0127,            2.7304,            9.8757,           -0.5261,           -0.3618,           -9.4367,
Ref 17,2.85023e-08,,,,,,1.1981e-02,4.2127e-03,4.9086e-05,4.6587e-06,7.4174e-08,,,,,,,,,,,
Sam 17,2.71437e-08,1.20508e-02,4.2796e-03,5.0129e-05,4.8066e-06,7.6496e-08,,,,,,            5.8080,           15.8734,           21.2898,           31.7153,           28.3385,            2.7432,            9.8839,           -0.4007,           -0.2746,           -9.1514,
Ref 18,2.80784e-08,,,,,,1.1981e-02,4.2127e-03,4.9083e-05,4.6591e-06,7.4606e-08,,,,,,,,,,,
Sam 18,2.67201e-08,1.20506e-02,4.2796e-03,5.0132e-05,4.8078e-06,7.3707e-08,,,,,,            5.8029,           15.8856,           21.3006,           31.7445,          -18.6686,            2.7373,            9.8960,           -0.3968,           -0.2703,          -54.4620,
Ref 19,2.76637e-08,,,,,,1.1981e-02,4.2127e-03,4.9090e-05,4.6607e-06,7.5620e-08,,,,,,,,,,,
Sam 19,2.63068e-08,1.20507e-02,4.2795e-03,5.0139e-05,4.8064e-06,7.8182e-08,,,,,,            5.8145,           15.8706,           21.3955,           30.9265,           41.8284,            2.7502,            9.8811,           -0.3013,           -1.0335,            3.8452,
Ref 20,2.72530e-08,,,,,,1.1981e-02,4.2126e-03,4.9088e-05,4.6637e-06,7.4457e-08,,,,,,,,,,,
Sam 20,2.59011e-08,1.20505e-02,4.2795e-03,5.0139e-05,4.8082e-06,7.7860e-08,,,,,,            5.8058,           15.8734,           21.4652,           31.3877,           51.5862,            2.7408,            9.8839,           -0.2269,           -0.5921,           13.2511,
Ref 21,2.68496e-08,,,,,,1.1981e-02,4.2126e-03,4.9084e-05,4.6600e-06,7.3618e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.66503e-08,,,,,,1.1981e-02,4.2127e-03,4.9094e-05,4.6628e-06,7.9536e-08,
Sam 1,2.53071e-08,1.20505e-02,4.2794e-03,5.0134e-05,4.8036e-06,8.2288e-08,,,,,,            5.8054,           15.8358,           21.2306,           30.3200,           40.5852,            2.7417,            9.8465,           -0.4197,           -1.5528,            2.7245,
Ref 2,2.62601e-08,,,,,,1.1981e-02,4.2127e-03,4.9089e-05,4.6617e-06,7.8614e-08,,,,,,,,,,,
Sam 2,2.49255e-08,1.20504e-02,4.2794e-03,5.0134e-05,4.8136e-06,8.1008e-08,,,,,,            5.7987,           15.8389,           21.3387,           32.8121,           21.1313,            2.7345,            9.8496,           -0.3101,            0.8561,          -16.0206,
Ref 3,2.58772e-08,,,,,,1.1981e-02,4.2126e-03,4.9083e-05,4.6596e-06,8.0060e-08,,,,,,,,,,,
Sam 3,2.45149e-08,1.20502e-02,4.2793e-03,5.0131e-05,4.8107e-06,8.5100e-08,,,,,,            5.7911,           15.8333,           21.3597,           32.2972,           78.0651,            2.7265,            9.8440,           -0.2762,            0.3682,           38.8614,
Ref 4,2.54918e-08,,,,,,1.1981e-02,4.2125e-03,4.9082e-05,4.6608e-06,7.7799e-08,,,,,,,,,,,
Sam 4,2.41836e-08,1.20503e-02,4.2793e-03,5.0132e-05,4.8140e-06,8.4965e-08,,,,,,            5.7969,           15.8394,           21.2732,           32.7324,           89.4587,            2.7325,            9.8501,           -0.3729,            0.7778,           49.8218,
Ref 5,2.51365e-08,,,,,,1.1981e-02,4.2126e-03,4.9093e-05,4.6620e-06,7.8180e-08,,,,,,,,,,,
Sam 5,2.38264e-08,1.20503e-02,4.2793e-03,5.0147e-05,4.8080e-06,8.9758e-08,,,,,,            5.8023,           15.8494,           21.4824,           31.0823,           93.3609,            2.7379,            9.8600,           -0.1831,           -0.8408,           53.5557,
Ref 6,2.47784e-08,,,,,,1.1981e-02,4.2125e-03,4.9091e-05,4.6642e-06,8.6064e-08,,,,,,,,,,,
Sam 6,2.34718e-08,1.20502e-02,4.2793e-03,5.0144e-05,4.8128e-06,9.1701e-08,,,,,,            5.8111,           15.8644,           21.3437,           31.5077,           78.5345,            2.7467,            9.8750,           -0.3424,           -0.4581,           39.2291,
Ref 7,2.44009e-08,,,,,,1.1980e-02,4.2124e-03,4.9102e-05,4.6674e-06,8.3966e-08,,,,,,,,,,,
Sam 7,2.31126e-08,1.20501e-02,4.2793e-03,5.0139e-05,4.8143e-06,8.7107e-08,,,,,,            5.8042,           15.8560,           21.2099,           32.3846,           61.0846,            2.7397,            9.8666,           -0.4583,            0.4081,           22.4393,
Ref 8,2.40795e-08,,,,,,1.1981e-02,4.2125e-03,4.9094e-05,4.6590e-06,8.0193e-08,,,,,,,,,,,
Sam 8,2.27939e-08,1.20501e-02,4.2792e-03,5.0148e-05,4.8172e-06,9.1729e-08,,,,,,            5.7996,           15.8405,           21.3695,           33.2846,          122.0261,            2.7353,            9.8512,           -0.2823,            1.3107,           81.1989,
Ref 9,2.37424e-08,,,,,,1.1981e-02,4.2124e-03,4.9103e-05,4.6651e-06,8.3335e-08,,,,,,,,,,,
Sam 9,2.24645e-08,1.20502e-02,4.2793e-03,5.0142e-05,4.8118e-06,8.8864e-08,,,,,,            5.8101,           15.8728,           21.2077,           31.2591,           57.3105,            2.7454,            9.8833,           -0.4828,           -0.7155,           18.7632,
Ref 10,2.34104e-08,,,,,,1.1980e-02,4.2125e-03,4.9097e-05,4.6669e-06,8.4769e-08,,,,,,,,,,,
Sam 10,2.21431e-08,1.20500e-02,4.2792e-03,5.0141e-05,4.8121e-06,9.0864e-08,,,,,,            5.8003,           15.8411,           21.2277,           31.7821,           58.5779,            2.7360,            9.8518,           -0.4224,           -0.1464,           20.0575,
Ref 11,2.30845e-08,,,,,,1.1980e-02,4.2125e-03,4.9099e-05,4.6608e-06,8.6918e-08,,,,,,,,,,,
Sam 11,2.18260e-08,1.20501e-02,4.2792e-03,5.0148e-05,4.8164e-06,9.3053e-08,,,,,,            5.8179,           15.8523,           21.4067,           33.2530,           96.4220,            2.7544,            9.8629,           -0.2761,            1.2570,           56.4819,
Ref 12,2.27643e-08,,,,,,1.1980e-02,4.2125e-03,4.9094e-05,4.6621e-06,8.2792e-08,,,,,,,,,,,
Sam 12,2.15132e-08,1.20500e-02,4.2791e-03,5.0145e-05,4.8179e-06,8.6294e-08,,,,,,            5.8037,           15.8302,           21.3242,           32.9285,           83.1933,            2.7401,            9.8409,           -0.3210,            0.9861,           43.7954,
Ref 13,2.24476e-08,,,,,,1.1981e-02,4.2124e-03,4.9103e-05,4.6666e-06,7.6496e-08,,,,,,,,,,,
Sam 13,2.12089e-08,1.20499e-02,4.2791e-03,5.0146e-05,4.8173e-06,8.5643e-08,,,,,,            5.7931,           15.8306,           21.3045,           32.6510,           96.5606,            2.7288,            9.8414,           -0.3297,            0.7163,           56.6876,
Ref 14,2.21430e-08,,,,,,1.1980e-02,4.2124e-03,4.9097e-05,4.6635e-06,7.9729e-08,,,,,,,,,,,
Sam 14,2.09111e-08,1.20499e-02,4.2792e-03,5.0144e-05,4.8123e-06,9.0574e-08,,,,,,            5.8023,           15.8614,           21.3622,           31.3763,           87.8299,            2.7375,            9.8719,           -0.3125,           -0.5794,           48.2017,
Ref 15,2.18405e-08,,,,,,1.1980e-02,4.2124e-03,4.9092e-05,4.6684e-06,8.6842e-08,,,,,,,,,,,
Sam 15,2.06167e-08,1.20497e-02,4.2792e-03,5.0152e-05,4.8146e-06,8.7166e-08,,,,,,            5.7945,           15.8538,           21.5721,           31.5634,          -16.7682,            2.7294,            9.8644,           -0.0916,           -0.3833,          -52.5642,
Ref 16,2.15454e-08,,,,,,1.1980e-02,4.2124e-03,4.9093e-05,4.6661e-06,9.0488e-08,,,,,,,,,,,
Sam 16,2.03312e-08,1.20498e-02,4.2791e-03,5.0145e-05,4.8120e-06,9.1829e-08,,,,,,            5.7953,           15.8488,           21.3375,           31.7978,          106.7383,            2.7305,            9.8595,           -0.3174,           -0.1464,           66.4550,
Ref 17,2.12548e-08,,,,,,1.1980e-02,4.2123e-03,4.9103e-05,4.6612e-06,7.5354e-08,,,,,,,,,,,
Sam 17,2.00483e-08,1.20498e-02,4.2790e-03,5.0139e-05,4.8137e-06,9.0003e-08,,,,,,            5.8043,           15.8322,           21.1745,           32.4038,          164.9993,            2.7406,            9.8430,           -0.4700,            0.4736,          122.6209,
Ref 18,2.09674e-08,,,,,,1.1980e-02,4.2124e-03,4.9096e-05,4.6640e-06,7.9184e-08,,,,,,,,,,,
Sam 18,1.97687e-08,1.20497e-02,4.2790e-03,5.0136e-05,4.8129e-06,9.4080e-08,,,,,,            5.8019,           15.8302,           21.1814,           31.6314,          144.9467,            2.7381,            9.8410,           -0.4589,           -0.2710,          103.3048,
Ref 19,2.06841e-08,,,,,,1.1980e-02,4.2123e-03,4.9096e-05,4.6667e-06,8.5197e-08,,,,,,,,,,,
Sam 19,1.94950e-08,1.20497e-02,4.2790e-03,5.0137e-05,4.8135e-06,8.7614e-08,,,,,,            5.8038,           15.8601,           21.1967,           30.7703,           48.8099,            2.7391,            9.8707,           -0.4748,           -1.1643,           10.6039,
Ref 20,2.04082e-08,,,,,,1.1980e-02,4.2122e-03,4.9097e-05,4.6729e-06,8.1854e-08,,,,,,,,,,,
Sam 20,1.92267e-08,1.20495e-02,4.2789e-03,5.0153e-05,4.8173e-06,9.4119e-08,,,,,,            5.7897,           15.8246,           21.5109,           32.3761,          135.0427,            2.7254,            9.8354,           -0.1185,            0.4617,           93.7869,
Ref 21,2.01349e-08,,,,,,1.1980e-02,4.2123e-03,4.9097e-05,4.6595e-06,8.4004e-08,,,,,,,,,,,


