Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 16, 2023 at 09:01 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 16, 2023 at 10:00 with Stable 1.71.5 on PS019

Data File = Data_19623 ETH-1.txt,         Sample Weight = 484,                      Vial Location = 15,                       Initial Sam Beam = 1.3987e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9089e-08,                Max Ref Beam = 1.0620e-07,                

Analysis undertaken at mass 46.04838
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.17984e-08,,,,,,1.1982e-02,4.2125e-03,4.9047e-05,4.6406e-06,4.8157e-08,
Sam 1,5.10228e-08,1.20387e-02,4.2603e-03,4.9800e-05,4.7460e-06,4.9103e-08,,,,,,            4.6803,           11.3060,           15.3306,           22.5044,            2.0162,            1.7003,            5.3411,           -0.6620,           -0.2302,          -24.7554,
Ref 2,5.08030e-08,,,,,,1.1983e-02,4.2128e-03,4.9049e-05,4.6424e-06,4.9868e-08,,,,,,,,,,,
Sam 2,5.00011e-08,1.20388e-02,4.2604e-03,4.9803e-05,4.7461e-06,5.0686e-08,,,,,,            4.6661,           11.2857,           15.3081,           22.1662,           41.3568,            1.6859,            5.3209,           -0.6498,           -0.5206,           13.5895,
Ref 3,4.98633e-08,,,,,,1.1983e-02,4.2128e-03,4.9055e-05,4.6440e-06,4.7455e-08,,,,,,,,,,,
Sam 3,4.90146e-08,1.20388e-02,4.2604e-03,4.9809e-05,4.7500e-06,5.0374e-08,,,,,,            4.6708,           11.3037,           15.3326,           22.7852,           28.4280,            1.6903,            5.3389,           -0.6481,            0.0489,            0.9653,
Ref 4,4.89338e-08,,,,,,1.1983e-02,4.2128e-03,4.9059e-05,4.6444e-06,5.0538e-08,,,,,,,,,,,
Sam 4,4.79461e-08,1.20385e-02,4.2601e-03,4.9804e-05,4.7460e-06,4.9539e-08,,,,,,            4.6659,           11.2498,           15.2529,           22.0631,           -3.6304,            1.6869,            5.2852,           -0.6691,           -0.5506,          -30.1303,
Ref 5,4.79447e-08,,,,,,1.1982e-02,4.2126e-03,4.9052e-05,4.6428e-06,4.8884e-08,,,,,,,,,,,
Sam 5,4.70351e-08,1.20384e-02,4.2602e-03,4.9802e-05,4.7472e-06,5.0704e-08,,,,,,            4.6814,           11.2932,           15.2969,           22.3463,           40.1599,            1.7019,            5.3283,           -0.6838,           -0.3594,           12.3933,
Ref 6,4.70896e-08,,,,,,1.1982e-02,4.2126e-03,4.9052e-05,4.6441e-06,4.8606e-08,,,,,,,,,,,
Sam 6,4.61321e-08,1.20386e-02,4.2603e-03,4.9808e-05,4.7478e-06,5.4584e-08,,,,,,            4.6876,           11.3013,           15.3110,           22.3125,           98.1012,            1.7082,            5.3364,           -0.6842,           -0.4085,           68.7640,
Ref 7,4.62469e-08,,,,,,1.1983e-02,4.2127e-03,4.9062e-05,4.6444e-06,5.0829e-08,,,,,,,,,,,
Sam 7,4.52622e-08,1.20387e-02,4.2604e-03,4.9805e-05,4.7510e-06,5.2413e-08,,,,,,            4.6694,           11.2685,           15.1267,           23.0292,           39.3551,            1.6900,            5.3038,           -0.8150,            0.3572,           11.6714,
Ref 8,4.55176e-08,,,,,,1.1983e-02,4.2130e-03,4.9062e-05,4.6437e-06,5.0021e-08,,,,,,,,,,,
Sam 8,4.44778e-08,1.20390e-02,4.2607e-03,4.9816e-05,4.7486e-06,5.2007e-08,,,,,,            4.6746,           11.2962,           15.3242,           22.5095,            8.5590,            1.6946,            5.3314,           -0.6530,           -0.2058,          -18.3628,
Ref 9,4.47266e-08,,,,,,1.1983e-02,4.2131e-03,4.9066e-05,4.6444e-06,5.3137e-08,,,,,,,,,,,
Sam 9,4.36498e-08,1.20389e-02,4.2606e-03,4.9817e-05,4.7466e-06,5.4296e-08,,,,,,            4.6646,           11.2722,           15.3415,           22.0025,           12.3739,            1.6848,            5.3075,           -0.6023,           -0.6541,          -14.5932,
Ref 10,4.39500e-08,,,,,,1.1983e-02,4.2132e-03,4.9062e-05,4.6443e-06,5.4137e-08,,,,,,,,,,,
Sam 10,4.28335e-08,1.20390e-02,4.2607e-03,4.9817e-05,4.7497e-06,5.3632e-08,,,,,,            4.6677,           11.2838,           15.3797,           22.6688,           20.1386,            1.6877,            5.3191,           -0.5792,           -0.0256,           -7.0611,
Ref 11,4.31769e-08,,,,,,1.1983e-02,4.2131e-03,4.9063e-05,4.6445e-06,5.0981e-08,,,,,,,,,,,
Sam 11,4.20353e-08,1.20390e-02,4.2608e-03,4.9819e-05,4.7495e-06,5.6024e-08,,,,,,            4.6702,           11.2986,           15.3403,           22.6138,           57.4448,            1.6898,            5.3337,           -0.6348,           -0.1086,           29.2182,
Ref 12,4.24257e-08,,,,,,1.1983e-02,4.2133e-03,4.9069e-05,4.6444e-06,5.5015e-08,,,,,,,,,,,
Sam 12,4.12646e-08,1.20389e-02,4.2609e-03,4.9817e-05,4.7510e-06,5.4652e-08,,,,,,            4.6582,           11.2919,           15.1911,           22.9133,           -5.3271,            1.6773,            5.3271,           -0.7630,            0.1975,          -31.8533,
Ref 13,4.16949e-08,,,,,,1.1983e-02,4.2132e-03,4.9074e-05,4.6448e-06,5.4873e-08,,,,,,,,,,,
Sam 13,4.05092e-08,1.20389e-02,4.2608e-03,4.9817e-05,4.7485e-06,6.0059e-08,,,,,,            4.6647,           11.2828,           15.1998,           21.8823,           58.2181,            1.6846,            5.3180,           -0.7522,           -0.7926,           30.0084,
Ref 14,4.09777e-08,,,,,,1.1983e-02,4.2133e-03,4.9067e-05,4.6488e-06,5.8670e-08,,,,,,,,,,,
Sam 14,3.97660e-08,1.20388e-02,4.2609e-03,4.9827e-05,4.7525e-06,5.8412e-08,,,,,,            4.6596,           11.2965,           15.4306,           22.4996,           41.0674,            1.6786,            5.3317,           -0.5332,           -0.2161,           13.2933,
Ref 15,4.02714e-08,,,,,,1.1983e-02,4.2132e-03,4.9072e-05,4.6470e-06,5.3500e-08,,,,,,,,,,,
Sam 15,3.90446e-08,1.20386e-02,4.2608e-03,4.9823e-05,4.7525e-06,6.2142e-08,,,,,,            4.6551,           11.2865,           15.2909,           22.5639,          108.5116,            1.6742,            5.3218,           -0.6563,           -0.1335,           78.9643,
Ref 16,3.95772e-08,,,,,,1.1983e-02,4.2132e-03,4.9073e-05,4.6482e-06,5.8663e-08,,,,,,,,,,,
Sam 16,3.83400e-08,1.20387e-02,4.2608e-03,4.9817e-05,4.7529e-06,6.0248e-08,,,,,,            4.6724,           11.2850,           15.2591,           22.5383,           -3.3691,            1.6926,            5.3202,           -0.7038,           -0.1554,          -29.9490,
Ref 17,3.89183e-08,,,,,,1.1983e-02,4.2133e-03,4.9065e-05,4.6481e-06,6.2271e-08,,,,,,,,,,,
Sam 17,3.76605e-08,1.20387e-02,4.2608e-03,4.9822e-05,4.7501e-06,6.3263e-08,,,,,,            4.6715,           11.2882,           15.3539,           21.8256,            3.7725,            1.6916,            5.3234,           -0.6127,           -0.8587,          -23.0030,
Ref 18,3.82673e-08,,,,,,1.1983e-02,4.2133e-03,4.9073e-05,4.6492e-06,6.3793e-08,,,,,,,,,,,
Sam 18,3.69903e-08,1.20388e-02,4.2608e-03,4.9824e-05,4.7529e-06,6.4733e-08,,,,,,            4.6792,           11.2837,           15.3169,           22.2945,           56.6420,            1.6999,            5.3190,           -0.6527,           -0.3914,           28.4566,
Ref 19,3.76241e-08,,,,,,1.1983e-02,4.2133e-03,4.9071e-05,4.6493e-06,5.8690e-08,,,,,,,,,,,
Sam 19,3.63378e-08,1.20387e-02,4.2609e-03,4.9827e-05,4.7520e-06,6.2412e-08,,,,,,            4.6642,           11.2801,           15.2573,           22.6346,           37.2995,            1.6841,            5.3154,           -0.6925,           -0.0517,            9.6532,
Ref 20,3.69984e-08,,,,,,1.1983e-02,4.2134e-03,4.9085e-05,4.6444e-06,6.1669e-08,,,,,,,,,,,
Sam 20,3.56983e-08,1.20386e-02,4.2608e-03,4.9831e-05,4.7487e-06,6.5428e-08,,,,,,            4.6584,           11.2626,           15.2286,           22.2299,           59.0479,            1.6785,            5.2979,           -0.6976,           -0.4127,           30.8636,
Ref 21,3.63941e-08,,,,,,1.1983e-02,4.2133e-03,4.9083e-05,4.6465e-06,6.1893e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.60972e-08,,,,,,1.1983e-02,4.2134e-03,4.9077e-05,4.6510e-06,6.3967e-08,
Sam 1,3.47669e-08,1.20387e-02,4.2609e-03,4.9832e-05,4.7526e-06,6.5504e-08,,,,,,            4.6706,           11.2970,           15.4253,           21.7595,           17.6210,            1.6903,            5.3322,           -0.5502,           -0.9408,           -9.5401,
Ref 2,3.54979e-08,,,,,,1.1983e-02,4.2133e-03,4.9073e-05,4.6518e-06,6.4780e-08,,,,,,,,,,,
Sam 2,3.41540e-08,1.20386e-02,4.2608e-03,4.9824e-05,4.7552e-06,6.5062e-08,,,,,,            4.6706,           11.2850,           15.2523,           22.2844,           24.0115,            1.6907,            5.3202,           -0.7087,           -0.4038,           -3.2967,
Ref 3,3.49201e-08,,,,,,1.1983e-02,4.2133e-03,4.9078e-05,4.6513e-06,6.2272e-08,,,,,,,,,,,
Sam 3,3.35621e-08,1.20385e-02,4.2608e-03,4.9828e-05,4.7522e-06,6.4877e-08,,,,,,            4.6658,           11.2738,           15.2199,           22.0679,           55.5449,            1.6860,            5.3091,           -0.7248,           -0.5932,           27.4233,
Ref 4,3.43528e-08,,,,,,1.1983e-02,4.2133e-03,4.9084e-05,4.6479e-06,6.0641e-08,,,,,,,,,,,
Sam 4,3.29860e-08,1.20384e-02,4.2608e-03,4.9832e-05,4.7564e-06,6.3338e-08,,,,,,            4.6627,           11.2751,           15.2618,           23.4900,           47.5426,            1.6827,            5.3104,           -0.6816,            0.7946,           19.6350,
Ref 5,3.38004e-08,,,,,,1.1983e-02,4.2133e-03,4.9082e-05,4.6466e-06,6.0283e-08,,,,,,,,,,,
Sam 5,3.24228e-08,1.20383e-02,4.2608e-03,4.9826e-05,4.7556e-06,5.8984e-08,,,,,,            4.6571,           11.2771,           15.2471,           23.2218,           23.8820,            1.6767,            5.3124,           -0.6924,            0.5283,           -3.3934,
Ref 6,3.32580e-08,,,,,,1.1983e-02,4.2133e-03,4.9074e-05,4.6488e-06,5.4889e-08,,,,,,,,,,,
Sam 6,3.18793e-08,1.20384e-02,4.2607e-03,4.9835e-05,4.7579e-06,5.9423e-08,,,,,,            4.6693,           11.2665,           15.4653,           22.8921,           51.3711,            1.6900,            5.3018,           -0.4799,            0.2270,           23.3713,
Ref 7,3.27288e-08,,,,,,1.1982e-02,4.2133e-03,4.9077e-05,4.6540e-06,5.8175e-08,,,,,,,,,,,
Sam 7,3.13426e-08,1.20382e-02,4.2607e-03,4.9838e-05,4.7539e-06,6.3082e-08,,,,,,            4.6663,           11.2652,           15.4230,           21.4957,           71.5728,            1.6868,            5.3005,           -0.5170,           -1.1359,           43.0411,
Ref 8,3.22043e-08,,,,,,1.1982e-02,4.2133e-03,4.9084e-05,4.6537e-06,5.9573e-08,,,,,,,,,,,
Sam 8,3.08175e-08,1.20382e-02,4.2607e-03,4.9835e-05,4.7573e-06,6.7052e-08,,,,,,            4.6619,           11.2760,           15.3475,           22.2559,           95.1659,            1.6818,            5.3112,           -0.5973,           -0.4137,           65.9886,
Ref 9,3.16923e-08,,,,,,1.1982e-02,4.2132e-03,4.9080e-05,4.6538e-06,6.2905e-08,,,,,,,,,,,
Sam 9,3.03092e-08,1.20382e-02,4.2607e-03,4.9832e-05,4.7590e-06,6.7345e-08,,,,,,            4.6657,           11.2782,           15.3017,           22.4534,           35.6718,            1.6858,            5.3134,           -0.6484,           -0.2250,            8.0712,
Ref 10,3.11930e-08,,,,,,1.1982e-02,4.2132e-03,4.9082e-05,4.6551e-06,6.7179e-08,,,,,,,,,,,
Sam 10,2.98164e-08,1.20382e-02,4.2607e-03,4.9832e-05,4.7555e-06,6.6491e-08,,,,,,            4.6635,           11.2694,           15.2307,           21.6040,           11.9983,            1.6837,            5.3047,           -0.7075,           -1.0382,          -14.9523,
Ref 11,3.07094e-08,,,,,,1.1982e-02,4.2132e-03,4.9086e-05,4.6546e-06,6.4202e-08,,,,,,,,,,,
Sam 11,2.93323e-08,1.20380e-02,4.2607e-03,4.9840e-05,4.7591e-06,6.6801e-08,,,,,,            4.6618,           11.2842,           15.3619,           22.6251,           18.4074,            1.6814,            5.3194,           -0.5911,           -0.0690,           -8.7407,
Ref 12,3.02319e-08,,,,,,1.1982e-02,4.2131e-03,4.9086e-05,4.6530e-06,6.7008e-08,,,,,,,,,,,
Sam 12,2.88631e-08,1.20379e-02,4.2606e-03,4.9840e-05,4.7603e-06,7.3166e-08,,,,,,            4.6726,           11.2675,           15.4456,           22.8035,           39.0710,            1.6934,            5.3028,           -0.5035,            0.1384,           11.3934,
Ref 13,2.97675e-08,,,,,,1.1982e-02,4.2131e-03,4.9078e-05,4.6553e-06,7.3874e-08,,,,,,,,,,,
Sam 13,2.84022e-08,1.20380e-02,4.2606e-03,4.9839e-05,4.7594e-06,8.1323e-08,,,,,,            4.6761,           11.2726,           15.4489,           22.2716,           52.7407,            1.6971,            5.3079,           -0.5089,           -0.3918,           24.6850,
Ref 14,2.93106e-08,,,,,,1.1982e-02,4.2131e-03,4.9083e-05,4.6561e-06,8.0675e-08,,,,,,,,,,,
Sam 14,2.79534e-08,1.20380e-02,4.2607e-03,4.9840e-05,4.7598e-06,8.3370e-08,,,,,,            4.6699,           11.2806,           15.3692,           22.6111,           39.6390,            1.6902,            5.3159,           -0.5886,           -0.0757,           11.9234,
Ref 15,2.88724e-08,,,,,,1.1982e-02,4.2131e-03,4.9089e-05,4.6529e-06,7.9701e-08,,,,,,,,,,,
Sam 15,2.75160e-08,1.20379e-02,4.2607e-03,4.9843e-05,4.7591e-06,8.4501e-08,,,,,,            4.6604,           11.2801,           15.3959,           22.8540,           59.8988,            1.6800,            5.3154,           -0.5521,            0.1629,           31.6544,
Ref 16,2.84398e-08,,,,,,1.1982e-02,4.2132e-03,4.9086e-05,4.6525e-06,7.9750e-08,,,,,,,,,,,
Sam 16,2.70831e-08,1.20380e-02,4.2606e-03,4.9840e-05,4.7608e-06,8.6762e-08,,,,,,            4.6744,           11.2693,           15.4120,           22.8177,           51.6204,            1.6953,            5.3046,           -0.5401,            0.1487,           23.6030,
Ref 17,2.80176e-08,,,,,,1.1982e-02,4.2130e-03,4.9082e-05,4.6568e-06,8.5298e-08,,,,,,,,,,,
Sam 17,2.66586e-08,1.20377e-02,4.2606e-03,4.9842e-05,4.7606e-06,8.5542e-08,,,,,,            4.6528,           11.2739,           15.4015,           22.2291,           13.1657,            1.6722,            5.3092,           -0.5329,           -0.4360,          -13.8136,
Ref 18,2.76007e-08,,,,,,1.1982e-02,4.2131e-03,4.9091e-05,4.6575e-06,8.3548e-08,,,,,,,,,,,
Sam 18,2.62414e-08,1.20378e-02,4.2605e-03,4.9836e-05,4.7623e-06,8.7317e-08,,,,,,            4.6678,           11.2583,           15.1736,           22.4936,           34.0205,            1.6887,            5.2937,           -0.7574,           -0.1464,            6.5005,
Ref 19,2.71948e-08,,,,,,1.1982e-02,4.2131e-03,4.9091e-05,4.6576e-06,8.5354e-08,,,,,,,,,,,
Sam 19,2.58351e-08,1.20375e-02,4.2605e-03,4.9840e-05,4.7663e-06,8.6469e-08,,,,,,            4.6506,           11.2485,           15.1431,           22.6312,           11.3650,            1.6706,            5.2840,           -0.7602,            0.0075,          -15.5153,
Ref 20,2.67880e-08,,,,,,1.1982e-02,4.2131e-03,4.9102e-05,4.6641e-06,8.5642e-08,,,,,,,,,,,
Sam 20,2.54358e-08,1.20376e-02,4.2604e-03,4.9843e-05,4.7665e-06,8.6090e-08,,,,,,            4.6580,           11.2409,           15.2179,           22.4226,           31.4516,            1.6789,            5.2764,           -0.6868,           -0.1814,            4.0443,
Ref 21,2.63949e-08,,,,,,1.1982e-02,4.2131e-03,4.9089e-05,4.6599e-06,8.1254e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.62036e-08,,,,,,1.1982e-02,4.2130e-03,4.9095e-05,4.6577e-06,8.2823e-08,
Sam 1,2.48580e-08,1.20375e-02,4.2604e-03,4.9844e-05,4.7650e-06,8.7947e-08,,,,,,            4.6619,           11.2592,           15.2890,           22.9364,           30.0462,            1.6824,            5.2946,           -0.6386,            0.2848,            2.6365,
Ref 2,2.58207e-08,,,,,,1.1982e-02,4.2130e-03,4.9092e-05,4.6586e-06,8.7978e-08,,,,,,,,,,,
Sam 2,2.44825e-08,1.20375e-02,4.2604e-03,4.9838e-05,4.7635e-06,9.4321e-08,,,,,,            4.6621,           11.2614,           15.1612,           22.2588,           62.8010,            1.6825,            5.2967,           -0.7667,           -0.3820,           34.5151,
Ref 3,2.54457e-08,,,,,,1.1982e-02,4.2130e-03,4.9095e-05,4.6610e-06,8.9528e-08,,,,,,,,,,,
Sam 3,2.41121e-08,1.20375e-02,4.2604e-03,4.9844e-05,4.7656e-06,9.2684e-08,,,,,,            4.6656,           11.2630,           15.2693,           22.4459,           47.5226,            1.6862,            5.2983,           -0.6654,           -0.2023,           19.6364,
Ref 4,2.50784e-08,,,,,,1.1982e-02,4.2129e-03,4.9094e-05,4.6610e-06,8.7416e-08,,,,,,,,,,,
Sam 4,2.37565e-08,1.20374e-02,4.2604e-03,4.9842e-05,4.7680e-06,9.5585e-08,,,,,,            4.6689,           11.2706,           15.1845,           23.1855,           66.2767,            1.6894,            5.3059,           -0.7597,            0.5058,           37.8721,
Ref 5,2.47198e-08,,,,,,1.1981e-02,4.2129e-03,4.9098e-05,4.6588e-06,9.1903e-08,,,,,,,,,,,
Sam 5,2.34076e-08,1.20373e-02,4.2604e-03,4.9842e-05,4.7668e-06,9.0302e-08,,,,,,            4.6678,           11.2748,           15.1455,           22.5799,          -34.4252,            1.6881,            5.3101,           -0.8011,           -0.0948,          -60.1538,
Ref 6,2.43670e-08,,,,,,1.1981e-02,4.2129e-03,4.9098e-05,4.6643e-06,9.5164e-08,,,,,,,,,,,
Sam 6,2.30617e-08,1.20372e-02,4.2604e-03,4.9849e-05,4.7627e-06,1.0119e-07,,,,,,            4.6624,           11.2793,           15.2701,           21.3852,           62.9599,            1.6822,            5.3145,           -0.6772,           -1.2717,           34.6334,
Ref 7,2.40236e-08,,,,,,1.1981e-02,4.2128e-03,4.9100e-05,4.6617e-06,9.5237e-08,,,,,,,,,,,
Sam 7,2.27264e-08,1.20372e-02,4.2603e-03,4.9849e-05,4.7706e-06,9.8013e-08,,,,,,            4.6663,           11.2691,           15.2839,           23.6990,            0.3575,            1.6867,            5.3044,           -0.6578,            1.0109,          -26.2855,
Ref 8,2.36866e-08,,,,,,1.1981e-02,4.2128e-03,4.9097e-05,4.6586e-06,1.0076e-07,,,,,,,,,,,
Sam 8,2.23957e-08,1.20371e-02,4.2603e-03,4.9852e-05,4.7694e-06,1.0426e-07,,,,,,            4.6585,           11.2571,           15.3915,           23.0081,           26.7431,            1.6788,            5.2925,           -0.5322,            0.3590,           -0.5711,
Ref 9,2.33540e-08,,,,,,1.1981e-02,4.2128e-03,4.9096e-05,4.6657e-06,1.0234e-07,,,,,,,,,,,
Sam 9,2.20744e-08,1.20371e-02,4.2602e-03,4.9851e-05,4.7708e-06,1.0542e-07,,,,,,            4.6667,           11.2378,           15.3347,           22.7651,           43.4948,            1.6882,            5.2732,           -0.5776,            0.1596,           15.7645,
Ref 10,2.30336e-08,,,,,,1.1981e-02,4.2129e-03,4.9099e-05,4.6634e-06,9.9695e-08,,,,,,,,,,,
Sam 10,2.17583e-08,1.20370e-02,4.2602e-03,4.9846e-05,4.7673e-06,9.5225e-08,,,,,,            4.6651,           11.2521,           15.2559,           22.6150,          -50.9847,            1.6860,            5.2875,           -0.6675,           -0.0154,          -76.2284,
Ref 11,2.27123e-08,,,,,,1.1981e-02,4.2128e-03,4.9094e-05,4.6603e-06,1.0100e-07,,,,,,,,,,,
Sam 11,2.14473e-08,1.20370e-02,4.2603e-03,4.9852e-05,4.7666e-06,9.9073e-08,,,,,,            4.6697,           11.2745,           15.3492,           22.5604,            0.1477,            1.6902,            5.3098,           -0.6022,           -0.1132,          -26.5034,
Ref 12,2.23963e-08,,,,,,1.1981e-02,4.2128e-03,4.9103e-05,4.6625e-06,9.7095e-08,,,,,,,,,,,
Sam 12,2.11411e-08,1.20369e-02,4.2601e-03,4.9848e-05,4.7687e-06,9.8478e-08,,,,,,            4.6623,           11.2267,           15.2201,           22.6020,          -32.6859,            1.6840,            5.2622,           -0.6753,            0.0220,          -58.3671,
Ref 13,2.20888e-08,,,,,,1.1981e-02,4.2128e-03,4.9098e-05,4.6640e-06,1.0658e-07,,,,,,,,,,,
Sam 13,2.08441e-08,1.20369e-02,4.2603e-03,4.9839e-05,4.7650e-06,1.0506e-07,,,,,,            4.6673,           11.2784,           15.0725,           21.6774,           -7.6019,            1.6874,            5.3136,           -0.8759,           -0.9842,          -34.0512,
Ref 14,2.17891e-08,,,,,,1.1981e-02,4.2128e-03,4.9100e-05,4.6639e-06,1.0514e-07,,,,,,,,,,,
Sam 14,2.05539e-08,1.20368e-02,4.2602e-03,4.9857e-05,4.7693e-06,1.0602e-07,,,,,,            4.6620,           11.2525,           15.3568,           22.3741,           19.1250,            1.6827,            5.2879,           -0.5654,           -0.2518,           -7.9811,
Ref 15,2.14921e-08,,,,,,1.1981e-02,4.2127e-03,4.9105e-05,4.6660e-06,1.0289e-07,,,,,,,,,,,
Sam 15,2.02635e-08,1.20368e-02,4.2602e-03,4.9852e-05,4.7704e-06,1.0677e-07,,,,,,            4.6528,           11.2502,           15.2176,           22.1716,           25.0863,            1.6730,            5.2856,           -0.6907,           -0.4452,           -2.1643,
Ref 16,2.11983e-08,,,,,,1.1981e-02,4.2128e-03,4.9105e-05,4.6679e-06,1.0543e-07,,,,,,,,,,,
Sam 16,1.99819e-08,1.20367e-02,4.2602e-03,4.9858e-05,4.7693e-06,1.1063e-07,,,,,,            4.6456,           11.2407,           15.3251,           22.0558,           61.5910,            1.6656,            5.2762,           -0.5683,           -0.5397,           33.3970,
Ref 17,2.09146e-08,,,,,,1.1981e-02,4.2128e-03,4.9106e-05,4.6647e-06,1.0296e-07,,,,,,,,,,,
Sam 17,1.97049e-08,1.20368e-02,4.2601e-03,4.9861e-05,4.7722e-06,1.1301e-07,,,,,,            4.6581,           11.2524,           15.3433,           22.9495,           29.0917,            1.6786,            5.2878,           -0.5747,            0.3111,            1.7246,
Ref 18,2.06335e-08,,,,,,1.1981e-02,4.2126e-03,4.9109e-05,4.6656e-06,1.1675e-07,,,,,,,,,,,
Sam 18,1.94328e-08,1.20367e-02,4.2601e-03,4.9851e-05,4.7718e-06,1.1946e-07,,,,,,            4.6570,           11.2518,           15.2213,           23.1844,           52.0317,            1.6774,            5.2872,           -0.6930,            0.5420,           24.0570,
Ref 19,2.03582e-08,,,,,,1.1981e-02,4.2128e-03,4.9098e-05,4.6617e-06,1.1030e-07,,,,,,,,,,,
Sam 19,1.91653e-08,1.20367e-02,4.2601e-03,4.9852e-05,4.7679e-06,1.1275e-07,,,,,,            4.6611,           11.2682,           15.3572,           22.7062,           39.1324,            1.6812,            5.3035,           -0.5794,            0.0419,           11.4641,
Ref 20,2.00870e-08,,,,,,1.1981e-02,4.2126e-03,4.9098e-05,4.6623e-06,1.0669e-07,,,,,,,,,,,
Sam 20,1.89025e-08,1.20368e-02,4.2600e-03,4.9856e-05,4.7705e-06,1.1268e-07,,,,,,            4.6751,           11.2567,           15.4868,           23.2722,           26.9583,            1.6965,            5.2920,           -0.4550,            0.6182,           -0.3782,
Ref 21,1.98208e-08,,,,,,1.1981e-02,4.2126e-03,4.9093e-05,4.6618e-06,1.1279e-07,,,,,,,,,,,


