Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 16, 2023 at 13:10 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 16, 2023 at 14:09 with Stable 1.71.5 on PS019

Data File = Data_19626 WS4_49_3_A.txt,    Sample Weight = 475,                      Vial Location = 18,                       Initial Sam Beam = 1.4830e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6887e-08,                Max Ref Beam = 1.0681e-07,                

Analysis undertaken at mass 46.0484
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.55700e-08,,,,,,1.1980e-02,4.2113e-03,4.9020e-05,4.6376e-06,4.8689e-08,
Sam 1,5.47573e-08,1.20575e-02,4.2720e-03,5.0036e-05,4.7747e-06,4.8379e-08,,,,,,            6.4139,           14.3728,           20.6534,           29.2925,           -4.5921,            3.4396,            8.3892,           -0.1900,            0.3308,          -38.7041,
Ref 2,5.44903e-08,,,,,,1.1981e-02,4.2116e-03,4.9026e-05,4.6400e-06,4.8515e-08,,,,,,,,,,,
Sam 2,5.36450e-08,1.20579e-02,4.2722e-03,5.0035e-05,4.7747e-06,4.8496e-08,,,,,,            6.4145,           14.3515,           20.4920,           28.8413,           25.6136,            3.4410,            8.3681,           -0.3280,           -0.0658,           -9.4933,
Ref 3,5.34679e-08,,,,,,1.1981e-02,4.2118e-03,4.9034e-05,4.6417e-06,4.6031e-08,,,,,,,,,,,
Sam 3,5.25757e-08,1.20578e-02,4.2723e-03,5.0040e-05,4.7745e-06,4.5972e-08,,,,,,            6.3924,           14.3493,           20.5253,           28.7330,           43.5236,            3.4176,            8.3659,           -0.2706,           -0.1666,            7.8315,
Ref 4,5.24933e-08,,,,,,1.1981e-02,4.2119e-03,4.9034e-05,4.6406e-06,4.2042e-08,,,,,,,,,,,
Sam 4,5.15500e-08,1.20582e-02,4.2724e-03,5.0041e-05,4.7732e-06,4.5253e-08,,,,,,            6.4094,           14.3644,           20.5066,           28.3002,           72.4792,            3.4352,            8.3809,           -0.3210,           -0.6170,           35.7479,
Ref 5,5.15149e-08,,,,,,1.1981e-02,4.2120e-03,4.9037e-05,4.6430e-06,4.2351e-08,,,,,,,,,,,
Sam 5,5.05224e-08,1.20582e-02,4.2725e-03,5.0042e-05,4.7699e-06,4.6022e-08,,,,,,            6.4092,           14.3674,           20.5259,           27.7297,           82.1727,            3.4349,            8.3839,           -0.3049,           -1.1774,           45.1034,
Ref 6,5.05673e-08,,,,,,1.1981e-02,4.2120e-03,4.9034e-05,4.6393e-06,4.2706e-08,,,,,,,,,,,
Sam 6,4.95338e-08,1.20583e-02,4.2726e-03,5.0044e-05,4.7726e-06,4.2453e-08,,,,,,            6.4169,           14.3669,           20.5640,           28.4060,          -12.2075,            3.4430,            8.3834,           -0.2748,           -0.5191,          -46.0506,
Ref 7,4.96417e-08,,,,,,1.1981e-02,4.2121e-03,4.9037e-05,4.6423e-06,4.3254e-08,,,,,,,,,,,
Sam 7,4.85670e-08,1.20582e-02,4.2726e-03,5.0048e-05,4.7724e-06,4.4664e-08,,,,,,            6.3997,           14.3556,           20.5126,           28.4059,           75.1123,            3.4251,            8.3721,           -0.2966,           -0.4970,           38.3191,
Ref 8,4.87410e-08,,,,,,1.1982e-02,4.2121e-03,4.9046e-05,4.6388e-06,3.9801e-08,,,,,,,,,,,
Sam 8,4.76313e-08,1.20584e-02,4.2727e-03,5.0042e-05,4.7738e-06,4.0511e-08,,,,,,            6.4093,           14.3587,           20.3618,           28.9785,            3.5004,            3.4352,            8.3752,           -0.4572,            0.0534,          -30.8577,
Ref 9,4.78605e-08,,,,,,1.1982e-02,4.2122e-03,4.9041e-05,4.6401e-06,4.0948e-08,,,,,,,,,,,
Sam 9,4.67162e-08,1.20584e-02,4.2727e-03,5.0047e-05,4.7726e-06,4.3479e-08,,,,,,            6.4091,           14.3513,           20.4489,           28.9769,           64.1557,            3.4353,            8.3679,           -0.3646,            0.0664,           27.7357,
Ref 10,4.70057e-08,,,,,,1.1982e-02,4.2123e-03,4.9046e-05,4.6364e-06,4.0765e-08,,,,,,,,,,,
Sam 10,4.58283e-08,1.20582e-02,4.2728e-03,5.0048e-05,4.7697e-06,4.1375e-08,,,,,,            6.4014,           14.3642,           20.4510,           28.5315,           46.1322,            3.4267,            8.3807,           -0.3671,           -0.3919,           10.3120,
Ref 11,4.61666e-08,,,,,,1.1981e-02,4.2123e-03,4.9044e-05,4.6384e-06,3.8314e-08,,,,,,,,,,,
Sam 11,4.49575e-08,1.20583e-02,4.2728e-03,5.0044e-05,4.7714e-06,4.1604e-08,,,,,,            6.4005,           14.3413,           20.3964,           28.8801,          109.1727,            3.4265,            8.3579,           -0.3975,           -0.0079,           71.2425,
Ref 12,4.53412e-08,,,,,,1.1982e-02,4.2124e-03,4.9043e-05,4.6364e-06,3.6689e-08,,,,,,,,,,,
Sam 12,4.41065e-08,1.20585e-02,4.2729e-03,5.0050e-05,4.7692e-06,3.6042e-08,,,,,,            6.4122,           14.3541,           20.5355,           28.9267,          -18.2363,            3.4385,            8.3706,           -0.2856,            0.0122,          -51.8446,
Ref 13,4.45360e-08,,,,,,1.1982e-02,4.2124e-03,4.9043e-05,4.6337e-06,3.6734e-08,,,,,,,,,,,
Sam 13,4.32837e-08,1.20585e-02,4.2728e-03,5.0052e-05,4.7711e-06,3.5789e-08,,,,,,            6.4128,           14.3406,           20.5615,           29.5811,           34.1175,            3.4395,            8.3572,           -0.2476,            0.6748,           -1.2575,
Ref 14,4.37552e-08,,,,,,1.1982e-02,4.2125e-03,4.9044e-05,4.6342e-06,3.2444e-08,,,,,,,,,,,
Sam 14,4.24800e-08,1.20584e-02,4.2730e-03,5.0050e-05,4.7694e-06,3.5801e-08,,,,,,            6.4134,           14.3697,           20.5069,           29.4048,           85.4063,            3.4393,            8.3862,           -0.3300,            0.4460,           48.2168,
Ref 15,4.29907e-08,,,,,,1.1982e-02,4.2125e-03,4.9044e-05,4.6320e-06,3.3533e-08,,,,,,,,,,,
Sam 15,4.16943e-08,1.20584e-02,4.2730e-03,5.0048e-05,4.7696e-06,3.2753e-08,,,,,,            6.4150,           14.3596,           20.4380,           28.9403,           -4.0634,            3.4413,            8.3761,           -0.3893,            0.0145,          -38.1700,
Ref 16,4.22450e-08,,,,,,1.1981e-02,4.2125e-03,4.9048e-05,4.6389e-06,3.2229e-08,,,,,,,,,,,
Sam 16,4.09302e-08,1.20583e-02,4.2730e-03,5.0051e-05,4.7676e-06,3.1918e-08,,,,,,            6.4093,           14.3584,           20.4926,           28.2896,          -16.9472,            3.4353,            8.3749,           -0.3288,           -0.6155,          -50.6046,
Ref 17,4.15159e-08,,,,,,1.1982e-02,4.2125e-03,4.9044e-05,4.6339e-06,3.2713e-08,,,,,,,,,,,
Sam 17,4.01826e-08,1.20583e-02,4.2730e-03,5.0057e-05,4.7678e-06,3.1368e-08,,,,,,            6.3997,           14.3520,           20.6171,           28.9605,           34.1064,            3.4253,            8.3686,           -0.1908,            0.0492,           -1.2766,
Ref 18,4.08002e-08,,,,,,1.1982e-02,4.2126e-03,4.9048e-05,4.6332e-06,2.7913e-08,,,,,,,,,,,
Sam 18,3.94520e-08,1.20584e-02,4.2730e-03,5.0056e-05,4.7663e-06,3.2706e-08,,,,,,            6.4134,           14.3487,           20.5871,           28.4975,          201.5434,            3.4399,            8.3652,           -0.2310,           -0.3943,          160.4221,
Ref 19,4.01060e-08,,,,,,1.1982e-02,4.2126e-03,4.9043e-05,4.6353e-06,2.6515e-08,,,,,,,,,,,
Sam 19,3.87446e-08,1.20583e-02,4.2730e-03,5.0048e-05,4.7683e-06,2.8453e-08,,,,,,            6.4123,           14.3449,           20.4268,           28.6663,          121.5597,            3.4389,            8.3615,           -0.3832,           -0.2229,           83.1848,
Ref 20,3.94227e-08,,,,,,1.1981e-02,4.2126e-03,4.9048e-05,4.6356e-06,2.4203e-08,,,,,,,,,,,
Sam 20,3.80487e-08,1.20584e-02,4.2731e-03,5.0054e-05,4.7659e-06,2.7873e-08,,,,,,            6.4135,           14.3647,           20.4995,           28.5535,           82.4203,            3.4395,            8.3812,           -0.3325,           -0.3715,           45.3432,
Ref 21,3.87664e-08,,,,,,1.1982e-02,4.2126e-03,4.9049e-05,4.6317e-06,2.7325e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.84429e-08,,,,,,1.1981e-02,4.2126e-03,4.9048e-05,4.6324e-06,2.6271e-08,
Sam 1,3.70296e-08,1.20582e-02,4.2730e-03,5.0052e-05,4.7666e-06,2.4758e-08,,,,,,            6.4074,           14.3461,           20.5001,           29.2251,           83.5651,            3.4336,            8.3627,           -0.3076,            0.3179,           46.4934,
Ref 2,3.77981e-08,,,,,,1.1981e-02,4.2126e-03,4.9045e-05,4.6301e-06,1.9368e-08,,,,,,,,,,,
Sam 2,3.63671e-08,1.20581e-02,4.2730e-03,5.0054e-05,4.7648e-06,1.9879e-08,,,,,,            6.3984,           14.3498,           20.5213,           28.9716,           32.4710,            3.4240,            8.3664,           -0.2811,            0.0644,           -2.8503,
Ref 3,3.71676e-08,,,,,,1.1981e-02,4.2126e-03,4.9049e-05,4.6312e-06,1.9138e-08,,,,,,,,,,,
Sam 3,3.57201e-08,1.20580e-02,4.2730e-03,5.0047e-05,4.7657e-06,2.1185e-08,,,,,,            6.3957,           14.3441,           20.3209,           29.2389,          176.8608,            3.4213,            8.3607,           -0.4692,            0.3353,          136.6155,
Ref 4,3.65470e-08,,,,,,1.1981e-02,4.2126e-03,4.9051e-05,4.6295e-06,1.6846e-08,,,,,,,,,,,
Sam 4,3.50944e-08,1.20582e-02,4.2730e-03,5.0054e-05,4.7622e-06,1.8618e-08,,,,,,            6.4134,           14.3393,           20.4490,           28.3898,          219.5605,            3.4402,            8.3559,           -0.3572,           -0.4806,          177.8440,
Ref 5,3.59455e-08,,,,,,1.1981e-02,4.2126e-03,4.9052e-05,4.6320e-06,1.3660e-08,,,,,,,,,,,
Sam 5,3.44833e-08,1.20580e-02,4.2730e-03,5.0054e-05,4.7629e-06,1.3317e-08,,,,,,            6.4072,           14.3411,           20.5323,           28.5809,          -38.9820,            3.4335,            8.3578,           -0.2709,           -0.2984,          -71.8519,
Ref 6,3.53520e-08,,,,,,1.1981e-02,4.2126e-03,4.9042e-05,4.6291e-06,1.4057e-08,,,,,,,,,,,
Sam 6,3.38849e-08,1.20581e-02,4.2731e-03,5.0048e-05,4.7653e-06,1.1789e-08,,,,,,            6.4059,           14.3544,           20.5006,           29.1876,         -112.9633,            3.4318,            8.3710,           -0.3136,            0.2651,         -143.3237,
Ref 7,3.47722e-08,,,,,,1.1981e-02,4.2127e-03,4.9043e-05,4.6312e-06,1.2512e-08,,,,,,,,,,,
Sam 7,3.33082e-08,1.20580e-02,4.2730e-03,5.0042e-05,4.7635e-06,1.2283e-08,,,,,,            6.3990,           14.3402,           20.3579,           28.9030,          -51.1871,            3.4249,            8.3568,           -0.4325,            0.0166,          -83.6299,
Ref 8,3.42076e-08,,,,,,1.1981e-02,4.2126e-03,4.9045e-05,4.6282e-06,1.3387e-08,,,,,,,,,,,
Sam 8,3.27457e-08,1.20580e-02,4.2730e-03,5.0047e-05,4.7573e-06,1.3974e-08,,,,,,            6.4095,           14.3372,           20.4159,           28.0081,          461.0833,            3.4361,            8.3539,           -0.3835,           -0.8474,          411.1166,
Ref 9,3.36603e-08,,,,,,1.1981e-02,4.2126e-03,4.9046e-05,4.6271e-06,5.6788e-09,,,,,,,,,,,
Sam 9,3.21935e-08,1.20580e-02,4.2731e-03,5.0051e-05,4.7611e-06,8.1705e-09,,,,,,            6.4151,           14.3486,           20.4881,           29.3595,          339.4259,            3.4418,            8.3651,           -0.3297,            0.4436,          293.5835,
Ref 10,3.31166e-08,,,,,,1.1981e-02,4.2126e-03,4.9046e-05,4.6235e-06,6.5281e-09,,,,,,,,,,,
Sam 10,3.16507e-08,1.20577e-02,4.2730e-03,5.0053e-05,4.7599e-06,5.9998e-09,,,,,,            6.4001,           14.3420,           20.5408,           29.5766,          -16.7637,            3.4261,            8.3586,           -0.2563,            0.6676,          -50.3881,
Ref 11,3.25830e-08,,,,,,1.1981e-02,4.2126e-03,4.9046e-05,4.6229e-06,5.6692e-09,,,,,,,,,,,
Sam 11,3.11257e-08,1.20578e-02,4.2730e-03,5.0041e-05,4.7558e-06,5.4462e-09,,,,,,            6.4076,           14.3288,           20.2669,           28.7503,          -83.3743,            3.4345,            8.3455,           -0.5195,           -0.1095,         -114.7051,
Ref 12,3.20636e-08,,,,,,1.1981e-02,4.2126e-03,4.9047e-05,4.6230e-06,6.2183e-09,,,,,,,,,,,
Sam 12,3.06170e-08,1.20578e-02,4.2730e-03,5.0046e-05,4.7590e-06,6.0681e-09,,,,,,            6.3917,           14.3155,           20.3465,           29.5913,          129.8655,            3.4180,            8.3322,           -0.4123,            0.7344,           91.2926,
Ref 13,3.15636e-08,,,,,,1.1981e-02,4.2127e-03,4.9050e-05,4.6214e-06,4.5095e-09,,,,,,,,,,,
Sam 13,3.01200e-08,1.20579e-02,4.2730e-03,5.0041e-05,4.7578e-06,7.5416e-10,,,,,,            6.4004,           14.3313,           20.3899,           29.2173,         -751.9443,            3.4267,            8.3480,           -0.3941,            0.3395,         -760.4219,
Ref 14,3.10751e-08,,,,,,1.1981e-02,4.2126e-03,4.9033e-05,4.6241e-06,1.5480e-09,,,,,,,,,,,
Sam 14,2.96339e-08,1.20578e-02,4.2731e-03,5.0052e-05,4.7572e-06,-3.4995e-10,,,,,,            6.4027,           14.3549,           20.6415,           28.9420,        -2087.1753,            3.4284,            8.3714,           -0.1727,            0.0255,        -2049.9660,
Ref 15,3.05974e-08,,,,,,1.1981e-02,4.2126e-03,4.9046e-05,4.6227e-06,-9.2333e-10,,,,,,,,,,,
Sam 15,2.91544e-08,1.20576e-02,4.2729e-03,5.0052e-05,4.7550e-06,9.5072e-10,,,,,,            6.4014,           14.3251,           20.5323,           29.0055,        -1568.4327,            3.4280,            8.3418,           -0.2495,            0.1459,        -1549.0099,
Ref 16,3.01283e-08,,,,,,1.1981e-02,4.2126e-03,4.9044e-05,4.6191e-06,-2.4334e-09,,,,,,,,,,,
Sam 16,2.86839e-08,1.20576e-02,4.2730e-03,5.0046e-05,4.7537e-06,-4.2202e-09,,,,,,            6.4000,           14.3487,           20.4580,           28.6120,          272.5927,            3.4257,            8.3653,           -0.3438,           -0.2831,          229.0570,
Ref 17,2.96693e-08,,,,,,1.1981e-02,4.2126e-03,4.9040e-05,4.6240e-06,-4.2128e-09,,,,,,,,,,,
Sam 17,2.82242e-08,1.20578e-02,4.2730e-03,5.0044e-05,4.7530e-06,-3.6873e-09,,,,,,            6.4129,           14.3405,           20.4210,           28.6814,          354.2076,            3.4397,            8.3571,           -0.3852,           -0.1994,          307.8829,
Ref 18,2.96305e-08,,,,,,1.1981e-02,4.2126e-03,4.9045e-05,4.6171e-06,-1.2309e-09,,,,,,,,,,,
Sam 18,2.78204e-08,1.20577e-02,4.2730e-03,5.0046e-05,4.7544e-06,-8.9598e-09,,,,,,            6.4112,           14.3331,           20.4850,           29.6180,         3190.3483,            3.4382,            8.3497,           -0.3136,            0.7255,         3047.0688,
Ref 19,2.88225e-08,,,,,,1.1981e-02,4.2126e-03,4.9038e-05,4.6181e-06,-3.0709e-09,,,,,,,,,,,
Sam 19,2.73818e-08,1.20576e-02,4.2729e-03,5.0043e-05,4.7498e-06,-7.1637e-09,,,,,,            6.4120,           14.3217,           20.5325,           28.3676,          572.0558,            3.4393,            8.3384,           -0.2568,           -0.4673,          518.3357,
Ref 20,2.83890e-08,,,,,,1.1981e-02,4.2126e-03,4.9035e-05,4.6194e-06,-6.0655e-09,,,,,,,,,,,
Sam 20,2.69506e-08,1.20574e-02,4.2729e-03,5.0034e-05,4.7474e-06,-8.1078e-09,,,,,,            6.4038,           14.3242,           20.3856,           27.6151,         -275.3844,            3.4305,            8.3409,           -0.3947,           -1.2037,         -300.1428,
Ref 21,2.79597e-08,,,,,,1.1981e-02,4.2125e-03,4.9034e-05,4.6203e-06,-1.6391e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.77508e-08,,,,,,1.1981e-02,4.2125e-03,4.9039e-05,4.6172e-06,-1.7030e-08,
Sam 1,2.63219e-08,1.20576e-02,4.2729e-03,5.0030e-05,4.7471e-06,-1.6019e-08,,,,,,            6.4249,           14.3379,           20.2275,           28.2257,         -110.4933,            3.4525,            8.3545,           -0.5845,           -0.6371,         -140.9278,
Ref 2,2.73380e-08,,,,,,1.1981e-02,4.2125e-03,4.9037e-05,4.6164e-06,-1.9001e-08,,,,,,,,,,,
Sam 2,2.59170e-08,1.20572e-02,4.2728e-03,5.0045e-05,4.7467e-06,-2.4004e-08,,,,,,            6.3888,           14.3263,           20.5182,           28.1029,          115.7688,            3.4145,            8.3431,           -0.2516,           -0.7338,           77.6578,
Ref 3,2.69303e-08,,,,,,1.1981e-02,4.2125e-03,4.9040e-05,4.6175e-06,-2.4063e-08,,,,,,,,,,,
Sam 3,2.55194e-08,1.20573e-02,4.2729e-03,5.0028e-05,4.7445e-06,-2.3431e-08,,,,,,            6.4027,           14.3395,           20.2132,           27.9882,          -80.5964,            3.4288,            8.3561,           -0.5773,           -0.8712,         -112.0358,
Ref 4,2.65340e-08,,,,,,1.1981e-02,4.2124e-03,4.9033e-05,4.6130e-06,-2.6929e-08,,,,,,,,,,,
Sam 4,2.51293e-08,1.20572e-02,4.2728e-03,5.0020e-05,4.7430e-06,-3.2668e-08,,,,,,            6.3933,           14.3321,           20.1320,           27.9742,          233.4149,            3.4191,            8.3488,           -0.6402,           -0.8703,          191.2664,
Ref 5,2.61458e-08,,,,,,1.1981e-02,4.2124e-03,4.9033e-05,4.6148e-06,-2.6036e-08,,,,,,,,,,,
Sam 5,2.47494e-08,1.20573e-02,4.2729e-03,5.0035e-05,4.7442e-06,-2.9023e-08,,,,,,            6.3995,           14.3450,           20.4695,           28.9378,          -18.0201,            3.4253,            8.3616,           -0.3284,            0.0409,          -51.6063,
Ref 6,2.57644e-08,,,,,,1.1981e-02,4.2125e-03,4.9030e-05,4.6067e-06,-3.3127e-08,,,,,,,,,,,
Sam 6,2.43786e-08,1.20573e-02,4.2729e-03,5.0031e-05,4.7385e-06,-3.2919e-08,,,,,,            6.4065,           14.3383,           20.3847,           28.3453,            4.7572,            3.4330,            8.3549,           -0.4121,           -0.5217,          -29.6026,
Ref 7,2.53918e-08,,,,,,1.1981e-02,4.2125e-03,4.9033e-05,4.6091e-06,-3.2394e-08,,,,,,,,,,,
Sam 7,2.40138e-08,1.20573e-02,4.2729e-03,5.0031e-05,4.7396e-06,-3.7790e-08,,,,,,            6.4104,           14.3350,           20.3437,           28.7520,          167.2948,            3.4372,            8.3516,           -0.4531,           -0.1200,          127.3791,
Ref 8,2.50258e-08,,,,,,1.1981e-02,4.2125e-03,4.9034e-05,4.6051e-06,-3.2353e-08,,,,,,,,,,,
Sam 8,2.36596e-08,1.20572e-02,4.2728e-03,5.0033e-05,4.7446e-06,-2.8720e-08,,,,,,            6.3984,           14.3378,           20.3659,           30.3947,         -124.1727,            3.4244,            8.3545,           -0.4218,            1.4711,         -154.1154,
Ref 9,2.46682e-08,,,,,,1.1980e-02,4.2124e-03,4.9034e-05,4.6042e-06,-3.3236e-08,,,,,,,,,,,
Sam 9,2.33104e-08,1.20573e-02,4.2728e-03,5.0023e-05,4.7387e-06,-3.2310e-08,,,,,,            6.4101,           14.3271,           20.2473,           29.0341,          -61.2789,            3.4372,            8.3438,           -0.5395,            0.1698,          -93.3642,
Ref 10,2.43169e-08,,,,,,1.1981e-02,4.2125e-03,4.9026e-05,4.6057e-06,-3.5620e-08,,,,,,,,,,,
Sam 10,2.29694e-08,1.20572e-02,4.2727e-03,5.0029e-05,4.7381e-06,-4.0621e-08,,,,,,            6.4117,           14.3263,           20.5224,           28.6664,          160.4924,            3.4389,            8.3430,           -0.2709,           -0.1860,          120.8267,
Ref 11,2.39732e-08,,,,,,1.1980e-02,4.2123e-03,4.9020e-05,4.6065e-06,-3.4378e-08,,,,,,,,,,,
Sam 11,2.26329e-08,1.20570e-02,4.2727e-03,5.0027e-05,4.7337e-06,-4.1391e-08,,,,,,            6.4071,           14.3414,           20.5754,           28.0563,          101.6481,            3.4335,            8.3580,           -0.2289,           -0.8087,           63.9677,
Ref 12,2.36333e-08,,,,,,1.1980e-02,4.2124e-03,4.9018e-05,4.6024e-06,-4.0812e-08,,,,,,,,,,,
Sam 12,2.23049e-08,1.20570e-02,4.2727e-03,5.0028e-05,4.7325e-06,-4.9239e-08,,,,,,            6.4031,           14.3158,           20.5505,           28.6216,           90.4881,            3.4301,            8.3325,           -0.2243,           -0.2088,           53.2462,
Ref 13,2.33021e-08,,,,,,1.1980e-02,4.2125e-03,4.9022e-05,4.5992e-06,-4.9557e-08,,,,,,,,,,,
Sam 13,2.19859e-08,1.20572e-02,4.2727e-03,5.0030e-05,4.7321e-06,-4.7709e-08,,,,,,            6.4176,           14.3058,           20.5765,           28.6429,          -16.1603,            3.4459,            8.3225,           -0.2040,           -0.1684,          -49.7560,
Ref 14,2.29789e-08,,,,,,1.1980e-02,4.2123e-03,4.9020e-05,4.6014e-06,-4.7414e-08,,,,,,,,,,,
Sam 14,2.16699e-08,1.20571e-02,4.2727e-03,5.0016e-05,4.7342e-06,-5.4536e-08,,,,,,            6.4180,           14.3313,           20.3391,           28.6379,          139.1292,            3.4455,            8.3479,           -0.4618,           -0.2235,          100.1757,
Ref 15,2.26593e-08,,,,,,1.1980e-02,4.2124e-03,4.9019e-05,4.6033e-06,-4.8343e-08,,,,,,,,,,,
Sam 15,2.13619e-08,1.20568e-02,4.2727e-03,5.0012e-05,4.7257e-06,-5.4426e-08,,,,,,            6.4039,           14.3293,           20.2080,           27.3488,          137.5273,            3.4305,            8.3459,           -0.5738,           -1.4725,           98.6493,
Ref 16,2.23489e-08,,,,,,1.1980e-02,4.2123e-03,4.9025e-05,4.5965e-06,-4.7342e-08,,,,,,,,,,,
Sam 16,2.10583e-08,1.20568e-02,4.2726e-03,5.0023e-05,4.7274e-06,-5.2324e-08,,,,,,            6.4051,           14.3030,           20.4073,           28.8389,           74.6919,            3.4326,            8.3198,           -0.3542,            0.0276,           38.0131,
Ref 17,2.20394e-08,,,,,,1.1980e-02,4.2123e-03,4.9020e-05,4.5933e-06,-5.0051e-08,,,,,,,,,,,
Sam 17,2.07592e-08,1.20567e-02,4.2726e-03,5.0010e-05,4.7271e-06,-5.1553e-08,,,,,,            6.3954,           14.3041,           20.2150,           29.2721,           32.9905,            3.4224,            8.3209,           -0.5339,            0.4465,           -2.2570,
Ref 18,2.17372e-08,,,,,,1.1980e-02,4.2123e-03,4.9017e-05,4.5921e-06,-4.9760e-08,,,,,,,,,,,
Sam 18,2.04655e-08,1.20566e-02,4.2725e-03,5.0028e-05,4.7329e-06,-5.9527e-08,,,,,,            6.3893,           14.2976,           20.6334,           30.4015,           79.4289,            3.4161,            8.3145,           -0.1115,            1.5570,           42.6166,
Ref 19,2.14398e-08,,,,,,1.1980e-02,4.2122e-03,4.9015e-05,4.5945e-06,-6.0609e-08,,,,,,,,,,,
Sam 19,2.01775e-08,1.20566e-02,4.2725e-03,5.0018e-05,4.7280e-06,-6.9390e-08,,,,,,            6.3892,           14.3162,           20.5717,           29.6905,           59.8134,            3.4153,            8.3329,           -0.1898,            0.8293,           23.6333,
Ref 20,2.11488e-08,,,,,,1.1980e-02,4.2123e-03,4.9004e-05,4.5888e-06,-7.0405e-08,,,,,,,,,,,
Sam 20,1.98959e-08,1.20566e-02,4.2725e-03,5.0006e-05,4.7183e-06,-7.5845e-08,,,,,,            6.3940,           14.2990,           20.3713,           27.1139,          119.6141,            3.4210,            8.3159,           -0.3743,           -1.6413,           81.4230,
Ref 21,2.08633e-08,,,,,,1.1980e-02,4.2122e-03,4.9012e-05,4.5986e-06,-6.5043e-08,,,,,,,,,,,


