Nu Stable Isotope Analysis Program
Data Collected on Tuesday, May 16, 2023 at 16:35 with Stable 1.71.5 on PS019,Reanalyzed on Tuesday, May 16, 2023 at 17:34 with Stable 1.71.5 on PS019

Data File = Data_19628 IAEA-C2.txt,       Sample Weight = 406,                      Vial Location = 20,                       Initial Sam Beam = 1.0971e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5385e-08,                Max Ref Beam = 1.0633e-07,                

Analysis undertaken at mass 46.04838
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.89965e-08,,,,,,1.1982e-02,4.2127e-03,4.9055e-05,4.6435e-06,5.0957e-08,
Sam 1,3.84372e-08,1.19229e-02,4.2310e-03,4.9015e-05,4.6837e-06,5.0685e-08,,,,,,           -4.9050,            4.3448,           -0.9390,            8.3349,           17.2134,           -8.2605,           -1.5654,           -0.1391,           -0.3705,           13.8616,
Ref 2,3.83074e-08,,,,,,1.1982e-02,4.2127e-03,4.9068e-05,4.6465e-06,4.8677e-08,,,,,,,,,,,
Sam 2,3.77315e-08,1.19228e-02,4.2311e-03,4.9020e-05,4.6849e-06,4.9424e-08,,,,,,           -4.9212,            4.3399,           -0.9695,            8.4409,            2.3293,           -8.2776,           -1.5703,           -0.1480,           -0.2556,           -0.9466,
Ref 3,3.76576e-08,,,,,,1.1982e-02,4.2128e-03,4.9068e-05,4.6449e-06,4.9953e-08,,,,,,,,,,,
Sam 3,3.70488e-08,1.19231e-02,4.2311e-03,4.9016e-05,4.6858e-06,4.8187e-08,,,,,,           -4.8985,            4.3424,           -1.0384,            8.6565,          -17.8171,           -8.2535,           -1.5678,           -0.2429,           -0.0469,          -21.0557,
Ref 4,3.70261e-08,,,,,,1.1982e-02,4.2128e-03,4.9066e-05,4.6462e-06,4.8154e-08,,,,,,,,,,,
Sam 4,3.63880e-08,1.19229e-02,4.2311e-03,4.9014e-05,4.6884e-06,4.8463e-08,,,,,,           -4.9003,            4.3455,           -1.0430,            9.0502,          -34.9188,           -8.2555,           -1.5648,           -0.2487,            0.3374,          -38.1049,
Ref 5,3.64169e-08,,,,,,1.1982e-02,4.2128e-03,4.9065e-05,4.6466e-06,5.2313e-08,,,,,,,,,,,
Sam 5,3.57450e-08,1.19230e-02,4.2311e-03,4.9008e-05,4.6884e-06,5.2881e-08,,,,,,           -4.8937,            4.3415,           -1.1421,            9.1393,           41.6260,           -8.2484,           -1.5688,           -0.3508,            0.4336,           38.1879,
Ref 6,3.58193e-08,,,,,,1.1982e-02,4.2128e-03,4.9063e-05,4.6453e-06,4.9197e-08,,,,,,,,,,,
Sam 6,3.51227e-08,1.19228e-02,4.2310e-03,4.9018e-05,4.6856e-06,5.1334e-08,,,,,,           -4.9079,            4.3198,           -0.9768,            9.1375,           18.2514,           -8.2628,           -1.5903,           -0.1494,            0.4750,           14.9490,
Ref 7,3.52292e-08,,,,,,1.1982e-02,4.2128e-03,4.9070e-05,4.6410e-06,5.1651e-08,,,,,,,,,,,
Sam 7,3.45055e-08,1.19228e-02,4.2311e-03,4.9013e-05,4.6892e-06,4.9993e-08,,,,,,           -4.9008,            4.3488,           -1.1787,            9.4589,          -13.1932,           -8.2562,           -1.5615,           -0.3872,            0.7359,          -16.4569,
Ref 8,3.46573e-08,,,,,,1.1982e-02,4.2128e-03,4.9072e-05,4.6495e-06,4.9655e-08,,,,,,,,,,,
Sam 8,3.39070e-08,1.19226e-02,4.2310e-03,4.9015e-05,4.6895e-06,4.8481e-08,,,,,,           -4.9102,            4.3103,           -1.1445,            8.7590,          -24.1452,           -8.2648,           -1.5997,           -0.3056,            0.1186,          -27.2896,
Ref 9,3.40962e-08,,,,,,1.1981e-02,4.2129e-03,4.9071e-05,4.6481e-06,4.9706e-08,,,,,,,,,,,
Sam 9,3.33248e-08,1.19225e-02,4.2311e-03,4.9020e-05,4.6843e-06,4.8249e-08,,,,,,           -4.9135,            4.3306,           -1.0252,            8.1372,          -61.1325,           -8.2691,           -1.5796,           -0.2026,           -0.5381,          -64.1915,
Ref 10,3.35518e-08,,,,,,1.1981e-02,4.2128e-03,4.9069e-05,4.6449e-06,5.3103e-08,,,,,,,,,,,
Sam 10,3.27470e-08,1.19225e-02,4.2310e-03,4.9019e-05,4.6891e-06,5.5577e-08,,,,,,           -4.9124,            4.3246,           -1.0862,            9.0205,           58.8725,           -8.2677,           -1.5855,           -0.2589,            0.3495,           55.4336,
Ref 11,3.30043e-08,,,,,,1.1981e-02,4.2128e-03,4.9075e-05,4.6495e-06,5.1860e-08,,,,,,,,,,,
Sam 11,3.21910e-08,1.19225e-02,4.2311e-03,4.9016e-05,4.6874e-06,5.4487e-08,,,,,,           -4.9157,            4.3381,           -1.1776,            8.5256,           29.1211,           -8.2717,           -1.5721,           -0.3602,           -0.1681,           25.7552,
Ref 12,3.24792e-08,,,,,,1.1981e-02,4.2128e-03,4.9072e-05,4.6461e-06,5.4047e-08,,,,,,,,,,,
Sam 12,3.16507e-08,1.19225e-02,4.2310e-03,4.9023e-05,4.6858e-06,4.7982e-08,,,,,,           -4.9117,            4.3265,           -1.0017,            8.4315,          -81.4672,           -8.2670,           -1.5836,           -0.1769,           -0.2383,          -84.4545,
Ref 13,3.19705e-08,,,,,,1.1981e-02,4.2128e-03,4.9073e-05,4.6472e-06,5.0399e-08,,,,,,,,,,,
Sam 13,3.11250e-08,1.19224e-02,4.2311e-03,4.9032e-05,4.6890e-06,5.2056e-08,,,,,,           -4.9151,            4.3443,           -0.8252,            8.7033,           38.5065,           -8.2712,           -1.5659,           -0.0143,           -0.0042,           35.0967,
Ref 14,3.14706e-08,,,,,,1.1981e-02,4.2127e-03,4.9073e-05,4.6500e-06,4.9848e-08,,,,,,,,,,,
Sam 14,3.06050e-08,1.19224e-02,4.2310e-03,4.9023e-05,4.6874e-06,5.3233e-08,,,,,,           -4.9160,            4.3357,           -1.0495,            8.0346,           75.7878,           -8.2719,           -1.5744,           -0.2294,           -0.6501,           72.2746,
Ref 15,3.09778e-08,,,,,,1.1981e-02,4.2128e-03,4.9077e-05,4.6501e-06,4.9111e-08,,,,,,,,,,,
Sam 15,3.01006e-08,1.19224e-02,4.2310e-03,4.9019e-05,4.6874e-06,5.0495e-08,,,,,,           -4.9134,            4.3332,           -1.0447,            8.4759,           16.1305,           -8.2690,           -1.5770,           -0.2247,           -0.2075,           12.8144,
Ref 16,3.04966e-08,,,,,,1.1981e-02,4.2126e-03,4.9064e-05,4.6458e-06,5.0285e-08,,,,,,,,,,,
Sam 16,2.96069e-08,1.19225e-02,4.2310e-03,4.9025e-05,4.6939e-06,5.0334e-08,,,,,,           -4.8997,            4.3415,           -0.9009,           10.3939,          -13.6392,           -8.2548,           -1.5688,           -0.1031,            1.6774,          -16.8885,
Ref 17,3.00259e-08,,,,,,1.1981e-02,4.2128e-03,4.9075e-05,4.6454e-06,5.1788e-08,,,,,,,,,,,
Sam 17,2.91244e-08,1.19224e-02,4.2310e-03,4.9025e-05,4.6897e-06,4.9412e-08,,,,,,           -4.9022,            4.3332,           -1.0295,            9.2354,          -50.2799,           -8.2571,           -1.5770,           -0.2212,            0.5455,          -53.3905,
Ref 18,2.95663e-08,,,,,,1.1981e-02,4.2127e-03,4.9077e-05,4.6482e-06,5.2272e-08,,,,,,,,,,,
Sam 18,2.86538e-08,1.19221e-02,4.2310e-03,4.9024e-05,4.6839e-06,5.0473e-08,,,,,,           -4.9161,            4.3328,           -0.9842,            7.8760,           -6.1723,           -8.2719,           -1.5774,           -0.1610,           -0.8014,           -9.4120,
Ref 19,2.91199e-08,,,,,,1.1981e-02,4.2127e-03,4.9067e-05,4.6463e-06,4.9279e-08,,,,,,,,,,,
Sam 19,2.81911e-08,1.19222e-02,4.2309e-03,4.9027e-05,4.6897e-06,4.9760e-08,,,,,,           -4.9061,            4.3262,           -0.9220,            9.2732,          -39.2158,           -8.2610,           -1.5840,           -0.1027,            0.5969,          -42.3456,
Ref 20,2.86798e-08,,,,,,1.1981e-02,4.2127e-03,4.9077e-05,4.6470e-06,5.4343e-08,,,,,,,,,,,
Sam 20,2.77392e-08,1.19222e-02,4.2310e-03,4.9023e-05,4.6886e-06,4.8650e-08,,,,,,           -4.9137,            4.3415,           -1.1759,            8.9572,          -90.4955,           -8.2697,           -1.5687,           -0.3639,            0.2530,          -93.4781,
Ref 21,2.82465e-08,,,,,,1.1981e-02,4.2126e-03,4.9085e-05,4.6471e-06,5.2625e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.80395e-08,,,,,,1.1981e-02,4.2127e-03,4.9075e-05,4.6502e-06,4.7377e-08,
Sam 1,2.70740e-08,1.19221e-02,4.2309e-03,4.9021e-05,4.6884e-06,5.1384e-08,,,,,,           -4.9083,            4.3257,           -1.0905,            8.1191,           -2.7700,           -8.2633,           -1.5845,           -0.2685,           -0.5462,           -6.0152,
Ref 2,2.76208e-08,,,,,,1.1981e-02,4.2126e-03,4.9075e-05,4.6511e-06,5.5740e-08,,,,,,,,,,,
Sam 2,2.66428e-08,1.19222e-02,4.2309e-03,4.9032e-05,4.6899e-06,6.1404e-08,,,,,,           -4.8972,            4.3470,           -0.9405,            8.7949,          125.6911,           -8.2523,           -1.5633,           -0.1507,            0.0813,          121.9678,
Ref 3,2.72092e-08,,,,,,1.1981e-02,4.2126e-03,4.9081e-05,4.6469e-06,5.3337e-08,,,,,,,,,,,
Sam 3,2.62202e-08,1.19221e-02,4.2309e-03,4.9019e-05,4.6916e-06,5.1612e-08,,,,,,           -4.8988,            4.3541,           -1.2103,            9.0104,          -14.0616,           -8.2542,           -1.5562,           -0.4262,            0.2806,          -17.3348,
Ref 4,2.68029e-08,,,,,,1.1981e-02,4.2126e-03,4.9076e-05,4.6525e-06,5.1343e-08,,,,,,,,,,,
Sam 4,2.58060e-08,1.19220e-02,4.2309e-03,4.9029e-05,4.6901e-06,5.8808e-08,,,,,,           -4.8986,            4.3464,           -0.9278,            8.5769,           40.7113,           -8.2537,           -1.5639,           -0.1360,           -0.1336,           37.2718,
Ref 5,2.64070e-08,,,,,,1.1981e-02,4.2126e-03,4.9072e-05,4.6479e-06,6.1749e-08,,,,,,,,,,,
Sam 5,2.54278e-08,1.19219e-02,4.2308e-03,4.9026e-05,4.6917e-06,5.4240e-08,,,,,,           -4.8958,            4.3339,           -0.8978,            8.9505,          -98.9864,           -8.2503,           -1.5763,           -0.0967,            0.2615,         -101.9450,
Ref 6,2.60238e-08,,,,,,1.1981e-02,4.2126e-03,4.9067e-05,4.6523e-06,5.8625e-08,,,,,,,,,,,
Sam 6,2.50211e-08,1.19218e-02,4.2308e-03,4.9025e-05,4.6928e-06,6.1446e-08,,,,,,           -4.9119,            4.3250,           -0.9973,            8.3102,           77.7188,           -8.2671,           -1.5851,           -0.1709,           -0.3555,           74.2171,
Ref 7,2.56432e-08,,,,,,1.1981e-02,4.2126e-03,4.9080e-05,4.6560e-06,5.5381e-08,,,,,,,,,,,
Sam 7,2.46360e-08,1.19219e-02,4.2308e-03,4.9026e-05,4.6827e-06,5.2782e-08,,,,,,           -4.9003,            4.3235,           -1.1202,            6.0342,           -5.5216,           -8.2548,           -1.5866,           -0.3044,           -2.6090,           -8.7622,
Ref 8,2.52702e-08,,,,,,1.1981e-02,4.2126e-03,4.9083e-05,4.6532e-06,5.0736e-08,,,,,,,,,,,
Sam 8,2.42616e-08,1.19219e-02,4.2307e-03,4.9019e-05,4.6928e-06,5.5705e-08,,,,,,           -4.8988,            4.3142,           -1.2471,            8.7473,          109.5168,           -8.2529,           -1.5959,           -0.4238,            0.0993,          105.9198,
Ref 9,2.49093e-08,,,,,,1.1981e-02,4.2125e-03,4.9079e-05,4.6511e-06,4.9669e-08,,,,,,,,,,,
Sam 9,2.38998e-08,1.19217e-02,4.2308e-03,4.9030e-05,4.6963e-06,5.1857e-08,,,,,,           -4.8996,            4.3386,           -0.9564,            9.6894,           63.5039,           -8.2546,           -1.5716,           -0.1560,            0.9848,           60.0064,
Ref 10,2.45541e-08,,,,,,1.1980e-02,4.2125e-03,4.9076e-05,4.6513e-06,4.7839e-08,,,,,,,,,,,
Sam 10,2.35423e-08,1.19215e-02,4.2308e-03,4.9033e-05,4.6897e-06,5.4011e-08,,,,,,           -4.9116,            4.3486,           -0.9105,            8.4747,          124.4365,           -8.2677,           -1.5617,           -0.1073,           -0.2393,          120.7311,
Ref 11,2.42017e-08,,,,,,1.1980e-02,4.2125e-03,4.9078e-05,4.6492e-06,4.8232e-08,,,,,,,,,,,
Sam 11,2.31930e-08,1.19216e-02,4.2307e-03,4.9022e-05,4.6895e-06,5.4624e-08,,,,,,           -4.9110,            4.3329,           -1.2396,            8.5885,           34.2926,           -8.2665,           -1.5773,           -0.4220,           -0.0953,           30.9151,
Ref 12,2.38599e-08,,,,,,1.1980e-02,4.2125e-03,4.9088e-05,4.6500e-06,5.7459e-08,,,,,,,,,,,
Sam 12,2.28523e-08,1.19215e-02,4.2307e-03,4.9037e-05,4.6932e-06,6.0595e-08,,,,,,           -4.9088,            4.3236,           -1.0139,            9.2150,           -1.8894,           -8.2638,           -1.5866,           -0.1893,            0.5444,           -5.1328,
Ref 13,2.35285e-08,,,,,,1.1980e-02,4.2125e-03,4.9085e-05,4.6508e-06,6.4006e-08,,,,,,,,,,,
Sam 13,2.25209e-08,1.19213e-02,4.2307e-03,4.9027e-05,4.6897e-06,6.2575e-08,,,,,,           -4.9142,            4.3451,           -1.1613,            8.5216,            9.9142,           -8.2703,           -1.5651,           -0.3523,           -0.1859,            6.5958,
Ref 14,2.32035e-08,,,,,,1.1980e-02,4.2124e-03,4.9082e-05,4.6493e-06,5.9886e-08,,,,,,,,,,,
Sam 14,2.21939e-08,1.19213e-02,4.2307e-03,4.9024e-05,4.6906e-06,6.5446e-08,,,,,,           -4.9108,            4.3405,           -1.1955,            9.1131,           43.2751,           -8.2665,           -1.5697,           -0.3855,            0.4096,           39.8527,
Ref 15,2.28856e-08,,,,,,1.1980e-02,4.2124e-03,4.9083e-05,4.6470e-06,6.5617e-08,,,,,,,,,,,
Sam 15,2.18704e-08,1.19213e-02,4.2307e-03,4.9030e-05,4.6865e-06,6.4117e-08,,,,,,           -4.9002,            4.3550,           -1.0894,            7.2377,            7.0542,           -8.2557,           -1.5553,           -0.3046,           -1.4784,            3.7108,
Ref 16,2.25681e-08,,,,,,1.1980e-02,4.2123e-03,4.9084e-05,4.6588e-06,6.1691e-08,,,,,,,,,,,
Sam 16,2.15485e-08,1.19211e-02,4.2305e-03,4.9036e-05,4.6956e-06,6.4128e-08,,,,,,           -4.9171,            4.3126,           -0.8992,            8.5468,           27.4132,           -8.2723,           -1.5974,           -0.0552,           -0.0963,           24.1056,
Ref 17,2.22577e-08,,,,,,1.1980e-02,4.2124e-03,4.9077e-05,4.6527e-06,6.3154e-08,,,,,,,,,,,
Sam 17,2.12335e-08,1.19213e-02,4.2306e-03,4.9038e-05,4.6954e-06,6.3918e-08,,,,,,           -4.9054,            4.3199,           -0.7083,            8.9771,           17.3640,           -8.2601,           -1.5902,            0.1167,            0.3158,           14.0616,
Ref 18,2.19483e-08,,,,,,1.1980e-02,4.2124e-03,4.9069e-05,4.6545e-06,6.2496e-08,,,,,,,,,,,
Sam 18,2.09272e-08,1.19212e-02,4.2306e-03,4.9030e-05,4.6946e-06,6.2521e-08,,,,,,           -4.9048,            4.3328,           -1.0375,            8.8639,           -2.4758,           -8.2599,           -1.5774,           -0.2261,            0.1778,           -5.7396,
Ref 19,2.16483e-08,,,,,,1.1980e-02,4.2124e-03,4.9094e-05,4.6521e-06,6.2859e-08,,,,,,,,,,,
Sam 19,2.06274e-08,1.19211e-02,4.2306e-03,4.9029e-05,4.6989e-06,6.0396e-08,,,,,,           -4.9112,            4.3393,           -1.1881,            9.6704,           -4.5607,           -8.2669,           -1.5709,           -0.3766,            0.9645,           -7.8235,
Ref 20,2.13546e-08,,,,,,1.1980e-02,4.2123e-03,4.9080e-05,4.6558e-06,5.8456e-08,,,,,,,,,,,
Sam 20,2.03348e-08,1.19211e-02,4.2306e-03,4.9031e-05,4.6937e-06,5.9119e-08,,,,,,           -4.9082,            4.3364,           -1.0526,            8.8275,          -11.3003,           -8.2636,           -1.5738,           -0.2413,            0.1346,          -14.5387,
Ref 21,2.10653e-08,,,,,,1.1980e-02,4.2123e-03,4.9085e-05,4.6494e-06,6.1152e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,2.09222e-08,,,,,,1.1980e-02,4.2123e-03,4.9090e-05,4.6517e-06,5.7750e-08,
Sam 1,1.99036e-08,1.19212e-02,4.2305e-03,4.9038e-05,4.6931e-06,5.7633e-08,,,,,,           -4.9050,            4.3321,           -1.0499,            9.6984,           -0.7196,           -8.2601,           -1.5781,           -0.2376,            1.0066,           -3.9875,
Ref 2,2.06421e-08,,,,,,1.1980e-02,4.2122e-03,4.9089e-05,4.6443e-06,5.7598e-08,,,,,,,,,,,
Sam 2,1.96272e-08,1.19209e-02,4.2305e-03,4.9036e-05,4.6981e-06,6.8849e-08,,,,,,           -4.9132,            4.3321,           -1.0019,           10.7373,          131.0734,           -8.2688,           -1.5780,           -0.1811,            2.0366,          127.3843,
Ref 3,2.03673e-08,,,,,,1.1980e-02,4.2122e-03,4.9080e-05,4.6520e-06,6.4187e-08,,,,,,,,,,,
Sam 3,1.93546e-08,1.19209e-02,4.2305e-03,4.9033e-05,4.6912e-06,6.9356e-08,,,,,,           -4.9087,            4.3288,           -0.8917,            8.5629,           47.4666,           -8.2639,           -1.5814,           -0.0722,           -0.1125,           44.0520,
Ref 4,2.00956e-08,,,,,,1.1980e-02,4.2122e-03,4.9073e-05,4.6508e-06,6.8267e-08,,,,,,,,,,,
Sam 4,1.90888e-08,1.19208e-02,4.2305e-03,4.9043e-05,4.6905e-06,6.6088e-08,,,,,,           -4.9241,            4.3243,           -0.7750,            8.6444,          -23.5646,           -8.2802,           -1.5858,            0.0650,           -0.0227,          -26.7230,
Ref 5,1.98322e-08,,,,,,1.1980e-02,4.2123e-03,4.9089e-05,4.6497e-06,6.7091e-08,,,,,,,,,,,
Sam 5,1.88278e-08,1.19211e-02,4.2303e-03,4.9029e-05,4.6990e-06,6.7137e-08,,,,,,           -4.8957,            4.3019,           -1.1332,           10.5287,           26.1131,           -8.2491,           -1.6082,           -0.3010,            1.8900,           22.8077,
Ref 6,1.95720e-08,,,,,,1.1980e-02,4.2122e-03,4.9081e-05,4.6504e-06,6.3744e-08,,,,,,,,,,,
Sam 6,1.85715e-08,1.19208e-02,4.2304e-03,4.9032e-05,4.6981e-06,6.4299e-08,,,,,,           -4.9079,            4.3105,           -0.9815,            9.8021,          -56.3542,           -8.2624,           -1.5996,           -0.1450,            1.1524,          -59.3975,
Ref 7,1.93173e-08,,,,,,1.1980e-02,4.2122e-03,4.9080e-05,4.6545e-06,7.2591e-08,,,,,,,,,,,
Sam 7,1.83201e-08,1.19209e-02,4.2305e-03,4.9034e-05,4.7022e-06,6.7221e-08,,,,,,           -4.9000,            4.3266,           -1.0513,            9.1795,          -26.1383,           -8.2546,           -1.5836,           -0.2387,            0.5032,          -29.3177,
Ref 8,1.90646e-08,,,,,,1.1980e-02,4.2122e-03,4.9092e-05,4.6643e-06,6.5412e-08,,,,,,,,,,,
Sam 8,1.80722e-08,1.19209e-02,4.2304e-03,4.9028e-05,4.6895e-06,6.4640e-08,,,,,,           -4.9052,            4.3098,           -1.1337,            6.4997,          -12.1197,           -8.2595,           -1.6003,           -0.2993,           -2.1202,          -15.3070,
Ref 9,1.88172e-08,,,,,,1.1980e-02,4.2123e-03,4.9075e-05,4.6541e-06,6.5455e-08,,,,,,,,,,,
Sam 9,1.78298e-08,1.19208e-02,4.2303e-03,4.9032e-05,4.6926e-06,6.1558e-08,,,,,,           -4.9157,            4.2890,           -0.9734,            7.7292,          -61.0522,           -8.2700,           -1.6210,           -0.1076,           -0.8598,          -64.0330,
Ref 10,1.85740e-08,,,,,,1.1980e-02,4.2121e-03,4.9085e-05,4.6591e-06,6.5667e-08,,,,,,,,,,,
Sam 10,1.75963e-08,1.19208e-02,4.2304e-03,4.9032e-05,4.6893e-06,6.5698e-08,,,,,,           -4.9099,            4.3411,           -1.0206,            6.5684,           69.9803,           -8.2656,           -1.5691,           -0.2120,           -2.1144,           66.4679,
Ref 11,1.83389e-08,,,,,,1.1980e-02,4.2121e-03,4.9080e-05,4.6583e-06,5.7080e-08,,,,,,,,,,,
Sam 11,1.73631e-08,1.19209e-02,4.2305e-03,4.9028e-05,4.6979e-06,5.8177e-08,,,,,,           -4.9079,            4.3499,           -1.0463,            8.8643,          -23.5277,           -8.2638,           -1.5604,           -0.2484,            0.1442,          -26.7520,
Ref 12,1.81062e-08,,,,,,1.1980e-02,4.2122e-03,4.9078e-05,4.6549e-06,6.2109e-08,,,,,,,,,,,
Sam 12,1.71339e-08,1.19208e-02,4.2303e-03,4.9029e-05,4.6919e-06,6.0301e-08,,,,,,           -4.9149,            4.3276,           -1.0720,            8.3115,            4.4363,           -8.2704,           -1.5826,           -0.2451,           -0.3594,            1.1710,
Ref 13,1.78744e-08,,,,,,1.1980e-02,4.2121e-03,4.9086e-05,4.6516e-06,5.7933e-08,,,,,,,,,,,
Sam 13,1.69083e-08,1.19207e-02,4.2304e-03,4.9033e-05,4.6898e-06,6.2787e-08,,,,,,           -4.9184,            4.3357,           -1.0383,            7.9935,           53.0156,           -8.2745,           -1.5744,           -0.2156,           -0.6908,           49.5795,
Ref 14,1.76480e-08,,,,,,1.1980e-02,4.2121e-03,4.9081e-05,4.6537e-06,6.1341e-08,,,,,,,,,,,
Sam 14,1.66872e-08,1.19204e-02,4.2303e-03,4.9030e-05,4.6980e-06,6.1969e-08,,,,,,           -4.9300,            4.3004,           -1.0607,            9.3268,           21.0591,           -8.2856,           -1.6096,           -0.1914,            0.7014,           17.8104,
Ref 15,1.74251e-08,,,,,,1.1979e-02,4.2122e-03,4.9083e-05,4.6556e-06,6.0032e-08,,,,,,,,,,,
Sam 15,1.64699e-08,1.19208e-02,4.2304e-03,4.9033e-05,4.6860e-06,5.4220e-08,,,,,,           -4.8917,            4.3284,           -1.0786,            7.7998,          -88.9988,           -8.2458,           -1.5818,           -0.2765,           -0.8684,          -91.9844,
Ref 16,1.72037e-08,,,,,,1.1979e-02,4.2121e-03,4.9089e-05,4.6438e-06,5.8996e-08,,,,,,,,,,,
Sam 16,1.62543e-08,1.19208e-02,4.2303e-03,4.9035e-05,4.6901e-06,6.3410e-08,,,,,,           -4.8937,            4.3295,           -1.1217,            9.9008,          -30.7633,           -8.2479,           -1.5807,           -0.3187,            1.2125,          -33.9397,
Ref 17,1.69890e-08,,,,,,1.1979e-02,4.2121e-03,4.9092e-05,4.6443e-06,7.1930e-08,,,,,,,,,,,
Sam 17,1.60432e-08,1.19208e-02,4.2304e-03,4.9027e-05,4.6943e-06,7.6739e-08,,,,,,           -4.8959,            4.3535,           -1.3571,            9.5678,          106.9823,           -8.2511,           -1.5568,           -0.5755,            0.8344,          103.3051,
Ref 18,1.67761e-08,,,,,,1.1980e-02,4.2120e-03,4.9094e-05,4.6554e-06,6.6682e-08,,,,,,,,,,,
Sam 18,1.58362e-08,1.19208e-02,4.2303e-03,4.9029e-05,4.6944e-06,6.7817e-08,,,,,,           -4.8998,            4.3336,           -1.1243,            8.6761,           -1.2857,           -8.2546,           -1.5766,           -0.3189,           -0.0099,           -4.5602,
Ref 19,1.65673e-08,,,,,,1.1980e-02,4.2121e-03,4.9074e-05,4.6528e-06,6.9141e-08,,,,,,,,,,,
Sam 19,1.56324e-08,1.19207e-02,4.2303e-03,4.9026e-05,4.6821e-06,6.5246e-08,,,,,,           -4.9076,            4.3115,           -0.8919,            6.2337,          -22.4478,           -8.2621,           -1.5986,           -0.0566,           -2.3872,          -25.6025,
Ref 20,1.63612e-08,,,,,,1.1979e-02,4.2121e-03,4.9066e-05,4.6534e-06,6.4318e-08,,,,,,,,,,,
Sam 20,1.54322e-08,1.19207e-02,4.2303e-03,4.9040e-05,4.6961e-06,5.9755e-08,,,,,,           -4.8993,            4.3256,           -0.6982,            9.5417,          -36.6967,           -8.2537,           -1.5845,            0.1147,            0.8642,          -39.8407,
